MAT.1.1	Ísu Káráísitina akúni'a uráan-kwasai. Ísu aíkwá'náma Tévítimani. Tévíti aíkwá'náma Ááváramumani.
ACT.2.11	Árómáa-naopakewaiya évaka'a Yútaa-kwaasiya évaka'a á'on-ampa'a tuwéta Yútaa-monor-ampata kwégwareta ánivo évaka'a Kíríti-maravakewaiya évaka'a Árépiyaa-maravakewaiya tayorupamái máyaunasaya Áánútu kawe'-máyáí mairáin-aimba kwésesa moórá-morawai kesááivinkenta kwésewata kwéisaundayaawe sésa 
ACT.2.12	táátavai ésa ávááran-imayaa ésa iséise ésa sésa mintántáákóná ááimba náára íníyo suwasá 
ACT.2.13	évakarawai kwíráái sésa miwí uwoaó'-nómbá nésa uwoaó'á ésa ó'on-o'on-kwaasi tááivinkemba kwésewe siráawe.
ACT.2.14	simásúwówana aantá-kwaasi 11 kwaasi usásinompimba Pítaa usásimbai ména torupamái máyón-kwaasiyavena anónka'a simátimena séna kesí Yútaa-kwaasiyono. Yérúsaremu-naopaken-kwaasiye ó'om-baravaken-Yutaa-kwaasiye maísáaro. Kárírivakewai ó'on-o'on-kwaasi tááivinkemba kwésewaina ááimba simátimumpo ísáaro. 
ACT.2.15	uwoaó'-nómbó nésa uwoaó'ó owémó kwésemba minkwáásí íma uwoaó'á kwéowe. kwaási no'wáámba uwoaó'-nómbá nésa uwoaó'á kwéovo ívé'a aaváyaavimba isasá minkwáásí íma uwoaó'á kwéowe. mintántáákóná ááimba maará ínívo 
ACT.2.16	naaóvá'á Áánútun-aai simátímakowai áwí'a Yóweri agaimaréna siráin-aimba kwévaariye. maarán-áímbá agaimaréna séna
ACT.2.17	Áánútu séna naaén-kanaa maará ónaumne. kesimambó amáparawaimo timénaunda kentáánimbaare kentiyáámúmbaare kesáái avora'á simátimenaaowe. kentí ívé-kwaasiye anónutan-kwaasiye kaaimbá awánanaaowe. 
ACT.2.18	árai'a minkánáárá'á kesimambá kesí kwayór-ínínákwá'á timénaunda kesáái avora'á simátimenaaowe. 
ACT.2.19	kwíyómpa'a marapá'á ó'on-o'om-bayai-awaame'a ónaunda naaegwárá iragwárá anón-umunkwara'a paáriniye. 
ACT.2.20	aaváúmá tunínana kwíyómba naaerírí'a váína'a mirámó ónaunda kesí ó'on-o'on-kanaa ságayan-kanaama paárinimba 
ACT.2.21	kentávésamo Ísóigowemo síyawaima sáwí'o umáímo maíyampinkemba kawer-ámpá'á métinkanaumne Áánútu siráiye
ACT.2.21	Yóweri agaimaréna siráiye Pítaa mináímbá simásuwena 
ACT.2.22	séna Ísareri-kwaasiyono. senda-áímbá ísáaro. Áánútuma Ísumba Násáretivakewaimba asirayámbá amúwana simámakaim-bayai maéna kawe'-máyáí ó'on-o'om-bayai-awaame'a uráimba keinárawapimba úmba awánaraawe. 
ACT.2.23	naaóvá'á Áánútu imáyáamo éna mirá-mira ónaumnemo siráinka'a pósa évakarawai Ísumba áí'mai keinárawa'a tímúwa'a tuvuwónáe sé'a sáwí-kwaasi tímúwasa áí'maesa taaira'á tuvúwúwana puwúmbanivo 
ACT.2.24	Áánútu pukáimpinkemba usásinankaraiye. pukéna marapá'á maígómá íma kanaán-umai tátorowana Áánútu Ísumba ayúrankowana pukáimpinkemba usásinkaiye. 
ACT.2.25	mindáyavena naaóvá'á kentáá síkwá'náo áwí'a Tévíti Ísun-aai agaimaréna séna
ACT.2.25	aasiyaasí Ísóigo kesé máyáísa'a awánaraumne. kwemá sirávaimai máyáimba pó'a íma sáwí-imayaa kwéune. 
ACT.2.26+ACT.2.27	mindáyave'a kesirumbá kawe'á umái mé'a Áánútu áwí'a mósá kwémaraumne. púwón-ayampa'a kesimambá íma másiyuwaniyone. kesirumbá ámakaundawaima ená kwayó-kwáásí únda po puképa'a íma másiyuwenana súma kaviráníye. mindáyave'a máyaunda pó'a imáyáa é'a púwóndavinkemba usásisinkaniye. 
ACT.2.28	púwíndavinkemba usásine maí'mai'a íníyone séma kesé máyaanda póna kesirumbá kawe'á umái anómba ína'a ménaumne
ACT.2.28	Tévíti agaimaréna siráiye Pítaa mináímbá simásuwena séna 
ACT.2.29	kesí kwaásiyono. kentáá síkwá'náo áwí'a Tévítin-aai avora'á simátimunda kwemó agaimakáimba íma kwesáváí siráiye. kwemá puwúwasa utámakowana kwená maravaraambá á'a awánaraamba póna agaimarómba íma kwesáváí siráiye. 
ACT.2.30	naaóvá'á Áánútu séna Tévítimo kawááná'ó ménamo uráintemba moóráwai minákúmpákéwáí anondára'a kawááná'á méniye Áánútu siráimba Tévíti Áánútun-aai simátímakaiwai póna kwemá séna Áánútu siráin-aimba árai'a paáriniye Tévíti siráiye. 
ACT.2.31	Tévíti Áánútumo naaémbo ínín-imayaa éna séna Áánútumo usásinkaiwaima Káráísiti kwemá puwíndavinkemba usásinaniye súntavena séna
ACT.2.31	pukén-ayampa'a íma máuwainana
ACT.2.31	áúma kaviráníye
ACT.2.31	Tévíti súmba 
ACT.2.32	mindá Ísuntavena siráiye. ánivo Áánútu Ísumba pukáimpinkemba usásinankowata áta awánaraundayaawe. 
ACT.2.33	Áánútu kunáí'maena anón-kwaasi póna ayáánúrapa'a asirayán-áyámpá'á móankena kwenamambá ámakaiye. avowámó árai'a kesimambá aménaumnemo siráimba ámakaisana kwenamambá kembá símakaimba kwéise'a kwésuwane'a kwéowe Pítaa mináímbá simásuwena séna 
ACT.2.34	Tévíti íma kwíyómpa'a iráiwai séna
ACT.2.34	kesí Ísóigontavena séna Áánútu séna kesiyáánúrapa'a asirayán-áyámpá'á mara'á ména'a 
ACT.2.35	ená namuro-kwáásí usáyaaitaanasa miwí ánásanaaowe Tévíti siráiye. kwemá íma kwíyómpa'a iráiwai póna kwesáváí íma siráiye.
ACT.2.36	ánivo keinárawa'a taaira'á tuvúkáawaintavena Áánútu séna kemá usásinankaundawai Káráísiti éna Ísóigoma iyémá Áánútu siráimba pósa Ísareri-kwaasi amáparawai kawe'á umái ísáaro Pítaa simásuwowasa 
ACT.2.37	ísómba tirumbá umbaí tówasa Pítaawe aantá-kwaasiyavaiye sésa sáwí'a uráumpo nóra ónaunanayaawa siíyó suwaná 
ACT.2.38	Pítaa séna keinárawa'a moórá-morawai amáparawai misáwí-ímáyáá tínaaemba umáme'a Áánútunopa'a té'a Ísu Káráísitintave'a ísámai nombá péráaro. mindáyavena kentí sáwí-imayaa maitiyuwéna Áánútun-amankomba úwoi timíníye. 
ACT.2.39	Áánútu kesópa'a terómó sendawáímá kesimambá timénaumne Áánútu siráimba pósa keinárawatavaiye kentíráá'maatavaiye ó'on-o'om-baravakewaiyavaiye asirayán-áímbá siráiye Pítaa siráiye.
ACT.2.40	Pítaa simásuwena ó'on-o'on-ainkwara kawer-áínkwárá'á simásuwena égési umái simátimena séna ívé'o sáwí-kwaasi méwaimo é'a sáwí-meyamba mayánááowe. kemá ívé'a sáwí-ampa'a tuwé'a pó'a íma sáwí-meyamba mayánááowe Pítaa súwasa 
ACT.2.41	sáwíva-kwaasi isésa kwenááiyavesa áraire sésa nombá kwéveresa mitáwai sáwíva-kwaasi 3,000 kwaasi Ísun-aaiyavesa árairemo suwasá Ísuna kwaási sáwíva-kwaasi-i'a ésa 
ACT.2.42	torupamái maivá'á iyésa aantá-kwaasi Ísun-aai simátíma'mae kwáávantan-úmaesa kwéiyesa moórá-mora-umai-kwaasi kwétuwa'naa-esa Ísuntavesa ísámai aráá-tomba kwénesa námúnaa sinté iráawe.
ACT.2.43	námúnaa sinté iyésa mirámó umbá aantá-kwaasi kawe'-máyáí ó'on-o'om-bayaima kwémayowasa pósa amáparawai táátavai uwasá 
ACT.2.44	Ísun-aaiyavesa áraire suwáí mimbórá-ímáyáá kwéesa torupanté kwéiyesa imáyáa ésa kentáásí náaindaamba amáparawainein-iye sésa 
ACT.2.45	miwítí maramá miwítí náaindaamba ó'on-kwaasi timésa óntamba mairésa taaínkaar-umai ímo makón-kwaasi tímatuwesa 
ACT.2.46	aasiyaasi-táwai Yútaa-kwaasiti anóm-bono'-naumpa'a Áánútuntavesa ísámai torupanté kwéiyesa ó'on-o'owiti naaúmpa'a komésa Ísuntavesa ísámai aráá-tomba kwénesa tirumbá kawe'á umái mésa toómbá taaínkaar-umai kwétimesa nésa 
ACT.2.47	Áánútu áwí'a mósá marówasa amáparawai tuwánésa miwíyávésa kawe'á kwéowe suwaná aasiyaasi-táwai Ísóigo évakarawai sáwí'o umáímo máyómpinkemba kawer-ámpá'á métinkowasa Ísun-aaiyavesa áraire suwáíyé torupamái méraawe.
ACT.3.1+ACT.3.2	moórá-kwaasi anówa maránkarompinkemba aísamaima pukurón-kwaasi máyowasa aasiyaasi-táwai áí'maesa anóm-bono'-nankona ontará'á áwí'a kawer-óntárá'á móankarowana ména anóm-bono'-naumpa'o íyún-kwaasiyavena óntantavai inaainaaí sún-kwaasi máyonka'a anóm-bono'-naumpa'a Pítaae Yóniye íyúyana aaváúmá toraétáápa'a kúwasa námúnaa kwésen-kanaara'a íyúyana 
ACT.3.3	tuwánéna séna óntamba símékaiyo súwasarai 
ACT.3.4	túramba kararésarai Pítaa séna kenkáí suwánaao suyaná 
ACT.3.5	siméyááoiye-imayaa éna tuwánówana 
ACT.3.6	Pítaa séna íma óntamba makáumpo Ísuna asirayándéí kawe'á umánkanaumne. Ísu Káráísitima Násáretivakewaina asirayámbá kwáyáintave'a sé'a usásine naauwó súne Pítaa séna 
ACT.3.7	ayáánúrapa'a táto'mai usásinankowana aísaumba aísána kawe'á úwana 
ACT.3.8	usásinkwena tokávara taúvaraa'a éna aamoí éna Áánútu áwí'a mósá kwémarena mindáraiye anóm-bono'-naumpa'a 
ACT.3.9	kweyááríka'a marapá'á iyéna Áánútu áwí'a mósá marówasa amáparawai awánésa 
ACT.3.10	sésa miwá aasiyaasi-táwai anóm-bono'-nankona kawer-óntárá'á ména óntan-inaai síma-sima'a indá'án-iye sésa táátavai ésa kweyááríka'a marapá'á kwéiyuntavesa tiyáámba tuvimpín-ésa táátavai uráawe.
ACT.3.11	kweyááríka'a kwéiyena aamoí éna Pítaante Yóninte tine'á tátorowasa amáparawai táátavai ésa miwítópa'a tóyo ésa anóm-bono'-naumpa'a Sórómoni áúgwimai úmakopa'a tóyo uwaná 
ACT.3.12	Pítaa tuwánéna séna Ísareri-kwaasiyono. mintántáátáváí íma táá'a kaíno. íma túramba kenkáí aráá'a sivuwóro. íma kenkáísí asirayánkó kawe'á umái arupí umái mékai kwéuvo 
ACT.3.13	Áánútuna asirayánkó mirá kwéisana minkwáásí kweyááríka'a kwénaaiye. mirá uráintavai Áánútu Ísu áwí'a mósá maréna kentáá síkwá'ná Ááváramu Áísákaa Yákópo miwítí Ísóigoma kwená kwayó'nákó áwí'a Ísumba póna mósá makáiye. ánivo Ísumba áí'mae'a Árómáani-kamaani-kawaanako áwí'a Páírátinopa'a máánkarowana Páíráti séna ayúrankanae súwa'a a'áo siráawe. 
ACT.3.14	kawe-kwáásí arupí umái máyon-kwaasiyave'a a'áo sé'a moórá-kwaasi inkamúwana puwúwasa ándáva'a áúkon-kwaasiyave'a ayúrankaao siráawe. 
ACT.3.15	mirá uráantave'a aúnái'a umái maí'mai'a ónááowaina ááin-kwaasi kemá tuvúwana pukáimpinkemba Áánútu usásinankowakai awánarauye. 
ACT.3.16	awánarauyawai Ísuna asirayánkó aísamaima pukón-kwaasi kawe'á umánkaraiye. Ísuna asirayántávéna áraire siráimba isaná minkwáásí kawe'á umái kwénaaisa'a kwéawanaawe Pítaa siráiye.
ACT.3.17	Pítaa mináímbá simásuwena séna keinárawate kentí kawáánárawate íma awánamai Ísumba kawer-uré'a tuvukáawe. 
ACT.3.18	naaóvá'á Áánútu kwenáái simátímakowaiyavena séna simátime'a sé'a kemó usásinankaundawaimba sáwí'a umánkanaaowe Áánútu siráinka'a póna keinárawa'o Ísumbo uráamba mináímbá paáruraiye. 
ACT.3.19	mindáyave'a kentí sáwí-imayaa tínaaemba umásuwe'a Áánútunopa'a tíyana póna Áánútu kentí sáwí-imayaa maitiyuwáníye. 
ACT.3.20	moórá-mora-tawai Ísóigo kwená asirayámbá timína'a kwesé ménaaontave'a kentí sáwí-imayaa tuwé'a Áánútunopa'a teró. Áánútuma túwa'naa ínkwáe séna usásinankaiwaimba Ísumba ai'maráínana kumíníntave'a kentí sáwí-imayaa tuwé'a Áánútunopa'a teró. 
ACT.3.21	Ísu kwíyómpa'a umáyáimba póna naaén-kanaamo éna amápa-tantaa'a aúnái'o índa-tawai ókwara'a marapá'á kumíníye. naaóvá'á Áánútu mináímbá simátimuwasa Áánútun-aai ísón-kwaasi kawe-kwáásí isésa simátímakaawe. 
ACT.3.22	Áánútun-aai simátímakowai áwí'a Mósesi séna Áánútu kentí Ísóigo kembá kesí mayáí mayaaó séna si'mákainten-umai Áánútun-aaimo simátiminiwaimba keándárakemba moóráwaimba ai'maráínana kwenáái simátiminasa isánááowe. 
ACT.3.23	ímo isáíyawaimo éna Áánútu kwená kwaásivinkemba tí'maena moóráva'o tinkáindawai ánásanaaowe Mósesi siráiye. 
ACT.3.24	Áánútun-aai simátímakowai áwí'a Sámúwéri kwemá simátímakonka'a naaén-kwaasi simátímíntemba mai-simátíma'maesa iyémáyáamba kwévaariye. 
ACT.3.25	naaóvá'á Áánútu kentáá síkwá'ná áwí'a Ááváramuntavena séna enándáraken-kwaasiyavena amápa'-marava-kwaasi kawe'á umátinkanaumne Áánútu asiramái siráiye. Ááváramun-andaraken-kwaasi owaná póna keinárawatavena Áánútu mináímbá asiramái siráiye. 
ACT.3.26	miráumai Áánútu Ísuntavena kesí mayáí mayaaó séna ai'marówana keinárawapimba kunkáiye. amáparawai kentí sáwí-imayaa tínaaemba umásuwaiyana aiva'á keinárawa'a kawe'á umátinkanintavena keinárawapimba kunkáiye Pítaa Ísareri-kwaasiyavena simátímakaiye.
ACT.4.1	anóm-bono'-naumpa'a Pítaae Yóniye kwésimatimuyasa tóyo ésa mono'-máyáí-kwáásíyé mono'-nánká'ó kárákwirowaiye Sátúsi-monor-aimbo sun-kwáásíyé tóyo ésa 
ACT.4.2	miwí táái taisésa áwáá'a suwasaráí mindárai Ísu pukáimpinkemba usásinkain-aimba simátímúyasa úwoi-kwaasi isésa sésa Ísu pukáimpinkemba usásinkaintavesa amápa-kwaasi pukémpinkemba usásinanaaowe suwasá mináímbá isésa kamparé sésa áwáá'a kwésesa 
ACT.4.3	mindárai tátoresa sésa eénáimba póta aaváyaavimba aaivimbá maitinkánaumne sésa kawáá-kwáásí ándáva'a tínkómbanivo 
ACT.4.4	úwoi-kwaasi sáwíva'a 5,000 kwaasi mindárai tááiyavesa árairema siráawe.
ACT.4.5	aaváyaavimba aaivimbá maitinkánaumne sésa kwáúmba aaváyaavimba Yérúsaremu-naopa'a Yútaa-kawaa-kwaasiye anón-kwaasiye ámáámba sun-kwáásíyé miráumai-kwaasi miwí táái isánáe sésa torupésa 
ACT.4.6	aiva'-mónó-káwáánákó áwí'a Ánásiye kwená akún-ándá-kwáásíyé Káyavaasiye Yóniye Arekesándaawe torupamái mésa 
ACT.4.7	Pítaante Yóninte tááyowasarai miwítópa'a tuyasá tísaa esa sésa aísamaimo pukáin-kwaasi nóra urááiyo. nááwana asirayáná keináraivimba kwáyáintavaiya kawe'á umánkaraaiyo. nááwa áwíra tékai kawe'á umánkaraaiyo suwaná 
ACT.4.8	Áánútun-amankoma kwempímbá anómba umánkowana Pítaa séna Ísareri-kawaa-kwaasiye anón-kwaasiye ísáaro. 
ACT.4.9	aísamaimo pukáin-kwaasi kawe'á umánkaraundayave'a kwésisaa-owe. nóra séra kawe'ó umánkaraundayave'a kwésisaa-owe. 
ACT.4.10	avora'á simátíménda keinárawate amápar-Isareri-kwaasiye ísáaro. Ísu Káráísitima Násáretivakewaimba taaira'á tuvúwówana Áánútu pukáimpinkemba usásinankaraiwaimba kwenáwíka'a súyana kwená asirayánkó minkwáásí kawe'á umánkáísana keinárawapimba kawe'á umái máyáísa'a kwéawanaawe. 
ACT.4.11	Áánútun-aai aúváí-kwandaaivimba Ísun-aai agaimaréna séna
ACT.4.11	óntan-damba on-kwáásí moórá-ontantavesa sáwí'a kwéiye sésa maisukáawe. aáno minóntánkó ávonkaamba uráiye
ACT.4.11	mináímbá Ísuntavena agaimaréna siráiye. 
ACT.4.12	kwewé su'mai sáwí'o umáímo máyáampinkemba kawer-ámpátá mésinkanintaawe. Áánútu séna kwenáwíkare su'mai kwená asirayánkówé su'mai kwaási sáwí'o umáímo máyáampinkemba kawer-ámpá'á métinkaniye Pítaa siráiye.
ACT.4.13	Pítaa mináímbá kwésimatimena Pítaae Yóniye íma táá'a kwégowasarai asiramái simátímúyasa minkáwáá-kwáásí tuwánésa táátavai ésa mindáraimo úwoi-kwaasirai ímo aúváívimbo awánaroyawaiyavesa pósa táátavai ésa sésa Ísuwe kwénaauyantavesarai mirá kwéoiye sésa 
ACT.4.14	awánomba Pítaante Yóninteyopa'a aísamaima kawe'á umánkaron-kwaasi máyowasa awánésa mindáraimo simátimenaaon-aintavesa avakáá uwááesa ivátiyuwesa 
ACT.4.15	sésa máápa'a kúmókaiyo suwasaráí kúmúyasa minkáwáá-kwáásí iséise esa sésa 
ACT.4.16	mindáraiye nóra ónaumno. ó'om-bayai kawe'-máyáímá mairááyamba pósa Yérúsaremuvaken-kwaasi amápa'a ísáamba póta íma kamparéyá sénaundayaanivo 
ACT.4.17	ó'on-o'on-daopaken-kwaasi íma isánááontaveta mindáraiyaveta simátimeta séta Ísu áwíka'a íma simátímékaiyo sénaundayaaniye sésa 
ACT.4.18	tááyowasarai íyúyasa sésa Ísun-aai íma simátímékaiyo. Ísu áwí'a íma taakaiyó suwasaráí 
ACT.4.19	Pítaae Yóniye sésarai kemó mirá simásinkaiyakaimo Áánútun-aaimo tuwékaimo Áánútu aúrampimba kawerá íníya ke mináímbá ókwara'a ísáaro. 
ACT.4.20	keiráímá awárauyan-tantaa ísarauyan-tantaa'a íma tuwáyauvo úwoi simátimeyauye suyasá 
ACT.4.21+ACT.4.22	kawáá-kwáásí ó'onkwara'a asiramái simátímatuwesa sésa ánivo úwoi kárúwaakaiyo sirá. aísamaima kawe'á umánkaron-kwaasi kae-kwááí aíyayaan-ira'a 40 ira'a íma kweyááríka'a kwénaauwasarai kawe'á umánkóyasa úwoi-kwaasi isésa Áánútu áwí'a mósá maróntavesa mindárai íma tínkamesa úwoi kárúwaakaiyo siráawe.
ACT.4.23	kárúwaakaiyo suwasaráí Pítaae Yóniye kentí kwaásitopa'a tésarai mono-káwáá-kwáásíyé anón-kwaasiye simátímakaan-aimba másimátímúyasa 
ACT.4.24	isésa Áánútumpa'a námúnaa sésa Ísóigoo kwíyómba maramá uwí-nómbá tarórumarena miwán-arumpimba tarórumaraanda-yantaakakwara'a kwégawaa-one. 
ACT.4.25	naaóvá'á emá sunaná enamankómá ená kwayó-kwáásí kentáá síkwá'náomba Tévítimba kusimámuwana agaimaréna maará séna
ACT.4.25	nóintavai ó'om-baravakewai áwáá'a sésa nóintavai ámááyu-aimba suwááesa áúkaawe. 
ACT.4.26	ó'om-baravaken-kawaa-kwaasi tokwaa úmae tayorupésa Ísóigonte kwemó usásinkaiwainte áái'a tiyamátinkanae siráawe
ACT.4.26	mináímbá Tévíti agaimaréna siráiye. 
ACT.4.27	mináímbá paárúwasa Yérúsaremu-naopa'a Érótiye Póntiyasi Páírátiye ó'onkaa-kwaasiye Ísareri-kwaasiye torupésa Ísuna ámááyu-aimba sésa emó usásinankaandawaimba ená kawe-kwáyó-kwáásí Ísuntavesa ámááyu-aimba siráawe. 
ACT.4.28	naaóvá'ó emó mirá ónááowemo siráanda pósa torupésa mirá uráawe. emó ímo mirá ónááowemo siráandarakai íma Ísumba tuvúkáasino. 
ACT.4.29	Ísóigoo mono-káwáá-kwáásí tááimo simáímo káráraamba ísaraanda po súwa'naa íníyonda póta íma inkaiséta enáái úwoi asiramái simátimenaundayaawe. 
ACT.4.30	ená asirayámbá símínata tí'o índa-kwaasiya asóvamatinkavata konó. ená kawe-kwáyó-kwáásígó áwí'a Ísuwe súnanaya kwená asirayánkó ó'on-o'om-bayaima kawe'-máyáímá paáriniye 
ACT.4.31	námúnaa simásúwówana torupamái máyón-daumpa'a toraa'náára'a úwana Áánútun-amankoma miwívímbá anómba umátinkowasa Áánútun-aai asiramái simátíma'mae kuráawe.
ACT.4.32	Ísuna aampa'á kwéguwai mimbórá-ímáyáá kwéesa mésa kentí náaindaantavesa íma kendéí kendeiye kwésesa úwoi moórá-mora-umai tíma'maesa kuwasá 
ACT.4.33	aantá-kwaasi ávááraumai asirayánkwárá'á mésa Ísu pukáimpinkemba usásinkain-aimba asiramái simátíma'maesa kwégwesa Áánútu aantá-kwaasi túwa'naa úntavesa kawe'-máyáí maimaé kwéguwasa 
ACT.4.34+ACT.4.35	Ísuna aampa'á kwéguwai maramá naambá makówai ó'on-kwaasi kwétimesa óntamba mairésa aantá-kwaasi tímúwasa taaínkaar-umai íma makón-kwaasi tímakaamba pósa Ísuna aampa'á kwéguwai amápa-tantaa'a íma aáváán-túwówana 
ACT.4.36+ACT.4.37	moóráwai áwí'a Yósépi póna kwegwárá'á mirá éna moórá-marama ó'on-kwaasigomba aména óntamba mairéna aantá-kwaasi tiména kwemá Árívái-andarakewai Sáíparasi-ayampakemba tamáyowasa aantá-kwaasi moórá áwí'a simámesa Kíríki tááivinkemba Páánápáasiye sésa kwántámai-kwi'a tirávayaina'a iyémó suwáímá minóntámbá tímakaiye.
ACT.5.1	Páánápáasi minóntámbá tímúwasarai moóráwai áwí'a Ánánáesi awainínkó áwí'a Sáváerae mésarai moórá-marama ó'on-kwaasi kwétimesarai óntamba mairésarai 
ACT.5.2	taaináyauyo-aimba awainínkómbá simámuwana mirá íníyone súwana minóntámbá taaínkaar-urena évaka'a kwesáváí maéna évaka'a maimaéna aantá-kwaasi mói tiména kampa'á séna amápa'a timúne súwana 
ACT.5.3	Pítaa séna Ánánáesiyo Sáátáánigo áísaa umai isánáe sintáváí owé se mararákén-óntámbá amápa'a timúne siráanda Áánútun-amankomba kampa'á simáukaane. 
ACT.5.4	mimbárámá ená maramá isa tuwé óntamba mairé ená óntamba isa évaka'a timé íma sáwí'a éma mararákén-óntámbá évaka'a timúne íma sénda amápa'a timúne séndama sáwí'a ómpo íma kwaásiye su'mai kampa'á simátíyukaampo Áánútun-amankomba kampa'á simáukaane Pítaa súwana 
ACT.5.5	Ánánáesi iséna pu'maéna tuvamúwasa mináímbá ísaraan-kwaasi ávááraumai táátavai uwasá 
ACT.5.6	ívé-kwaasi tésa puwúmba taasááúmaesa maimaésa máutaraawe.
ACT.5.7	máutaawana awainínkó sáwíyanka'a ména awaikómó puwún-aimba íma ísarena Pítaa-iyaitopa'a túwana 
ACT.5.8	Pítaa séna keináraiti mararákén-óntámbá amápara símakaiyo súwana minínínkó séna owé amápa'an-iye kampa'á súwana 
ACT.5.9	Pítaa séna enawaikóe esé mimbórá-ímáyáá ékai Ísóigon-amankomba kampa'á simáu'mai awánayae sirááiye. enawai'ó mágwéutaan-kwaasi tésa embá tamaimaésa máutanaaowe Pítaa súwana 
ACT.5.10	pu'maéna Pítaa aísamaivimba tuvamúwasa ívé-kwaasi tésa puwúmba taawánésa maimaésa awaikómbó utamánkópa'a máutowasa 
ACT.5.11	Ísóigona kwaásiye ó'on-kwaasiye isésa táátavai uráawe.
ACT.5.12	aantá-kwaasi kwaási túranka'a ó'on-o'om-bayai kawe'-máyáímá maimaésa íyúwasa Ísuna aampa'á kwéguwai anóm-bono'-namba Sórómoni áúgwimai úmakopa'a aasiyaaí torupamái kwémauwasa 
ACT.5.13+ACT.5.14	ó'on-o'on-akwa'a sáwíva'a Ísóigon-aaiyavesa áraire sésa miwísé torupamái maémáémbanivo ó'on-kwaasi tuwánésa sésa kawe-kwáásín-owe sésa táátavai ésa íma miwísé torupamái máyówasa 
ACT.5.15	aantá-kwaasimo uráamba isésa tí'o ún-kwaasi tuvaipímbá taagwiya'maésa naambáru'a mátinkesa sésa Pítaa kwénaaena amankó'naanko taaugwétáínasa asóvaigwae suwasá 
ACT.5.16	ó'on-o'on-daopakemba tí'o ún-kwaasigwara tirumpimbá taraváá-kwámbá máyon-kwaasigwara'a tí'maesa Yérúsaremu-naopa'a mátínkówana Áánútu Pítaamba áwa'naa úwasa amápa'a asóvasaraawe.
ACT.5.17	mirá kwéuwana aiva'-mónó-káwáánákóe kwená kwaási Sátúsi-monor-aimbo sun-kwáásíyé sésa amáparawai íma kentáásiraaima kwáráavo aantá-kwaasi tirááíma kwáráawe sésa tíyántavai ésa 
ACT.5.18	táto'mai ándáva'a tiyúwówana 
ACT.5.19	mindó'wáámbá kwáúnka'a Ísóigona kwayó'nákó kwíyómpakendako ontamá tisuwéna tí'maena máápa'a móruntinkena séna 
ACT.5.20	anóm-bono'-naumpa'a umé'a aúná-amba kwaási kawe'á umái maí'mai'a ónááon-ankona ááimba usimátíméro súwasa 
ACT.5.21	isésa irataró'a anóm-bono'-naumpa'a umésa mináímbá simátímakaawe.
ACT.5.21	anóm-bono'-naumpa'a moóráva'a kwésimatimuwasa moóráva'a aiva'-mónó-káwáánákóe kwená kwaásiye tésa ándá-kwaasi táái isánáe sésa Ísareri-anon-kwaasi tááyowasa tésa mono'-nánkár-í-kwáásíyávésa sésa aantá-kwaasi ándáva'a máyáavo kotí'mae'a teró suwasá 
ACT.5.22	kumbá íma máyówasa koyauwerésa tésa sésa 
ACT.5.23	ándá-namba ontamá umásuwesa i-kwáásí ontará'á máyáawata onta tisuwéta awánáúndaya íma máyáawata úne suwasá 
ACT.5.24	mono-káwáá-kwáásíyé mono'-nánká'ó kárákwirowaiye isésa táátavai ésa sésa mindá nóraya ónaundaya'iyo simásuwesa sáwívar-imayaa kwéuwana 
ACT.5.25	moóráwai téna séna ándáva'a mátíyukaan-kwaasi anóm-bono'-naumpa'a mésa kwésimatimewa'a tuwánáúmne súwasa 
ACT.5.26	mono'-nánká'ó kárákwirowaiye kwembó áwa'naa un-kwáásíyé kotí'maesa kwempa'á tésa sésa úwoi-kwaasi miwí táái isésa sínkamovo sésa kwempa'á 
ACT.5.27	tí'maesa aaimó isáí-kwáásítópa'a mátínkówana aiva'-mónó-káwáánákó 
ACT.5.28	séna á'a simátimeta séta minkwáásígón-áái kwenáwíka'a íma simátíma'mae'a koróyá siráundaya isa'á á'a simátíméwasa Yérúsaremuvaken-kwaasi amápa'a ísáyaraawa'a ke kampa-kúvímbá sinkéta minkwáásí tuvúkáawe kwésewe aiva'-mónó-káwáánákó súwasa 
ACT.5.29	Pítaa-iyai ó'on-aanta-kwaasiyonkwara'a sésa Áánútun-aai aivar-áínkómá póna kwaási tááigomba usáyaaitaraimba póta kentááiya íya iséta Áánútun-aaiya iséta miráyá ónaumne. 
ACT.5.30	keinárawa'a Ísumba taaira'á inkámúwana puwúwana kentáá síkwá'náona Ísóigo Áánútu Ísumba pukáimpinkemba usásinankena 
ACT.5.31	séna anón-kwaasi póna sáwí'o umáímo máyáampinkemba kawer-ámpá'á métinkaniye séna ayáánúrapa'a asirayán-áyámpá'á móankena Ísareri-kwaasi kentí sáwí-imayaa tuwé'a Áánútunopa'a tíyana kentí sáwí-imayaa maitiyuwáníye séna Áánútu Ísumba pukáimpinkemba usásinankena ayáánúrapa'a asirayán-áyámpá'á móankaraiye. 
ACT.5.32	mináímbá iséta kawe'á umáíya kwésimatimunanaya Áánútun-amanko mináímbá kawe'á umái kwésimatimiye. Áánútuma kwenáái ísámai kawe'á kwéowai kwenamambá kwétimisana Áánútun-amanko mináímbá kwésimatimiye aantá-kwaasi siráawe.
ACT.5.33	simásúwówasa aaimó isáí-kwáásí isésa tirumbá sáwíte úwasa tínkamonae-imayaa uwaná 
