MAT.1.1	Tákɨ̀rɨ́b ndùtì ndútí Yésù Krístù nyȩ Dàvît ya dundóŋce nyȩ Àbɨ̀ràháàm á rè:
ACT.16.13	Ye 
ACT.16.14	Nɨ̀mwi̧ ŋgáb noò ɨ́r yaá Lìdí. Ŋgə́ yi go Tìyàtíìr á, ŋgə́ yaá sə́rɨ̀tèènɨ júúb jandɨ́b yi du júúb mònéè, ŋgə́ yaácè jə̀ŋnɨ Mèín. Ŋgə́ yaá óknɨ nɨ́m nɨ́m yi du nyìnniì, á Kéké yi na ŋgə́ kɨ̀cáàb ŋgə́ gə́ŋhȩ tóó, óknɨ nɨ́m Pôl yi du tàniì. 
ACT.16.15	Á kùb kɔhe ŋgə́ kɔ ə́mní ŋgə́ ɓe nùb no yóò lâs. Ɗà ŋgə́ ɨ́ ɓê nɨ́m, ŋgə́ ɨ́ tà: «Hȩ nyí pə́ mɨ ə́əmmeɓatɨ́ Kékéé, gonáam mo yó, nɨ́m dùhó̧náyè jíìb ti ŋgób.» Ŋgə́ ɨ́ kpɔ́hè nɨ́m nɨ́m ə́ə̀mháa.
ACT.16.16	Ye kù, nɨ́m á cè gìnɨ yɨ́ mɨ̀yú̧ú̧ á nɨ̀gwi kù yi du nò ə́ré gainwo nɨ́m: ŋgə́ yaá ɓe nyéhè ɓáŋhîn só yi du ndɨ̀ŋnɨ ŋgə́ nómɨ̀ ŋgámí. Vùùm mwèìn ŋgámí kɨ́ cè, ŋgə́ a gènà tá ə́ré bɨ noò. 
ACT.16.17	Ŋgə́ ɨ́ yà nɨ́me Pôl tùnɨ ŋgə́ a tace kúu còóm ɨnè: «Nɨ̀ŋgwáàb lè bɨ nùb ə́ré Mèín nò du còóm cóo á! Ŋgáb túumna nyí jɨ̀r nyí fɨ́tɨ tùnɨ nyí a kwà ɓə́rì á!» 
ACT.16.18	Ŋgə́ ɨ́ ndɨ̀ŋɓà nɨ́ nɨ́m kɨ́ jíìb ví̧i̧. Hȩ ya ndóoŋcɨré á Pôl ya ók njù̧, ŋgə́ ɨ́ ɓàndɨ̀cùrê ŋgə́ no, ɗà ŋgə́ ɨ́ tànà nyéhè ɓáŋhîn ndè ɨnè: «Ɓe ɨ́r Yésù Krístùù, mɨ taá wu éíkɨ́ nɨ̀gwi rèè só!» Ɓè mu̧u̧, nyéhè kɨ́ ɨ́ éíkî. 
ACT.16.19	Ɓwâ tá bɨ ə́ré nɨ̀gwi rèè yi pə́ bɨ́ ŋgə́ tɨ̀ nɨ vúm mòné kwànàcɨ̀wáá, á ŋgáb bɨnjóoge Pôl ɓe Sílàs laŋtaŋ ŋgù̧ní ya, yá nùb kɨ́ɨ́ tií duré. 
ACT.16.20	Ŋgáb ɨ́ nàrê ŋgáb tɨ́ŋgù̧ú̧ bɨ yi du nùb Róòm ŋgáré, ŋgáb ɨ́ tà: «Nɨ̀ŋgwáàb lè ndóoŋtɨ́ nɨ́m nɨ́mè kwé hò̧. 
ACT.16.21	Ŋgáb bɨ Jwîf á, ŋgáb á cè bɨ́ tɔ̀ɔ̀nɨ ɗɨ́m bɨ ɓíì nɨ́m nùb Róòm du kààŋnɨ nɨ́m ndɨ̀ŋtɨ rɨ.» 
ACT.16.22	Mɨ̀kwìn nɨ̀vɨ́tɨ̀bì ɨ́ gbə̀mndéɓwê Pôl ɓe Sílàs ya. Tɨ́ŋgù̧ú̧ bɨ ɨ́ tà kùb wòòbɨ̀kɨ́ ŋgáb júk só kùb a sàŋ ŋgáb yáá. 
ACT.16.23	Sàŋcáŋhȩ̀ȩ́ ŋgábè, kùb ɨ́ ɗènndê ŋgáb dúú nìrì. Kùb ɨ́ tà nò gə́tɨ dúú kíì góòmɓà ŋgáb íí ya mîn. 
ACT.16.24	Jɔ̀ kùb tànànɨ nɨ̀ŋgwá rè u̧nèé, ŋgə́ ɨ́ njóòrésò ŋgáb há̧á̧ ndúkín dúú nìrì, lúùm cáŋhɨ̀rí no, ɗà ŋgə́ ɨ́ kóllê ŋgáb gurub nàmȩ́ȩ́. 
ACT.16.25	Péín cɨ́m tə̧né, Pôl ɓe Sílàs yaá yóŋnɨ Mèín ŋgáb a soŋce wààì ŋgəm Mèín nóò; nùb nìrì yi duɓwée yó kwe a ókce ŋgáb. 
ACT.16.26	Ŋgáb sɨ̀rɨ̀cɨ̀ na ɗɔ̀ɔ́b jɨɨɓatɨ́ ɓe dúú nìrì cúk. Ɓè mu̧u̧ ɓavɨ̀ì ɨ́ kùùmtèèɓà ɓe síí, nàmé bɨ yi nùb nìrì gureè lâs ɨ́ pàrɨ̀tèèɓà ɓe síí. 
ACT.16.27	Ɓwâ nò gə́te dúú nìrì yi səəmndé ŋgə́ ɨ́ pê ɓàvɨ̀ì lâs á bɨ fuuŋ, á ŋgə́ ɗamhó̧ jì̧í̧ nóò àm ní kwíikɨ́ síhé, ɓetí ŋgə́ yi lə́mne ɨnayâna nùb nìrì lâs luú bɨ́. 
ACT.16.28	Á Pôl pámso ŋgə́ ɓe nyòme cúk, ŋgə́ ɨ́ tà: «Wu wu síí wóò ɓáŋhîn ndɨ̀ŋ! Nɨ́m lâs, nɨ́m á nɨ kaín!» 
ACT.16.29	Kí á nɨ̀ŋgwá rè ta kùb tòŋwònà ní wa. Ŋgə́ ɨ́ lə́sòkɔ́hè lúmnìn ŋgə́ a bɨ́ndɨgece ɓe vùù; ŋgə́ ɨ́ gì gùcáàmsénɨ Pôl ɓe Sílàs ɓusiín. 
ACT.16.30	Ɗà ŋgə́ ɨ́ tà ŋgáb fó̧tɨ, ŋgə́ ɨ́ fɔ́gì ŋgáb ɨnè: «Tá bɨ, ní á mɨ fɨ́tɨ ndɨ̀ŋnɨ ɗà Mèín a ɓátè mɨ?» 
ACT.16.31	Ŋgáb ɨ́ pììnà ŋgə́ ɨnè: «Ə́mnɨm Yésù nò du Kékéé ɗà Mèín a ɓátè nyíne nùb wo yóò.» 
ACT.16.32	Á ŋgáb tanagi ŋgə́ ɓe nùb no yóò lâs Kìn du ɓe ɨ́r Kékéé. 
ACT.16.33	Sɨ́mnɨ̀r kɨ́ no ɓè mu̧u̧ nɨ̀ŋgwá rè ɨ́ gè ŋgáb, ŋgə́ ɨ́ sènà ŋgáb ɓààì yi ŋgábè sóò. Ŋgə́ ɓe nùb no yóò ɨ́ kwàcê kɔ ə́mní ɓè mu̧u̧. 
ACT.16.34	Ŋgə́ ɨ́ gèwû Pôl ɓe Sílàs no yó, ŋgə́ ɨ́ nà ŋgáb cɔŋ. Nɨ̀ŋgwá rè ɓe nùb no yóò lâs ɨ́ ókɓà mɨ̀tù àm ŋgə́ yi ə́mne Mèín kɨ́.
ACT.16.35	Ɓwâ ye yi sallé, á tɨ́ŋgù̧ú̧ bɨ yi tómso nùb ə́ré tànànɨ nò gə́tɨ dúú nìrì ɨnè: «Mbɨ́khóom nùb ɗàrɨ́.» 
ACT.16.36	Á nɨ̀ŋgwá rè yi gi tànànɨ Pôl ɨnè: «Tɨ́ŋgù̧ú̧ bɨ tawotɨ́ mɨ mbɨ́khó̧ nyí. Á sàmàìn nyí fó̧ré nyí a gì, nyí nɨ àm kù mácɨ̀r.» 
ACT.16.37	Ɨ́dù Pôl ɨ́ tànà nùb kùb yi tómso kɨ́ ɨnè: «Nɨ́m nùb du nùb Róòm, ŋgáb ndɨŋtɨ́ kùb jɨ̀m nɨ́m mɨ̀kùnín kùb nɨ́m ŋgwìnwá, Ŋgáb ɨ́ njóòrê nɨ́m dúú nìrì! Ɗàrò ŋgáb a ɗúgì nɨ́m mbɨ́kcùhó̧nɨ yoó à? Nɨ́m kɨ́ nɨ u̧ ndɨ̀ŋnɨ ɗàà, ŋgáb nɨ̀miib ŋgáb gòɓàhá nɨ́m mbɨ́khó̧nɨ!» 
ACT.16.38	Á nùb ə́ré ya gecuna tɨ́ŋgù̧ú̧ bɨ nyindí kɨ́. Ɗà vùù ɨ́ bɨ̀ɓà nɨ́ ŋgáb ɓwâ ŋgáb yi ók ɨnayâna Pôl ɓe Sílàs du bɨ nùb Róòm á na rè. 
ACT.16.39	Kí á ŋgáb go ɓwèìnɨ Pôl ɓe Sílàs tɨ́ɨ́r, ɗà ŋgáb ɨ́ mbɨ́khó̧gì ŋgə́ ɓe kùùŋ, ŋgáb ɨ́ tà: «Yée, gɨ̀ná nɨ!» 
ACT.16.40	Ɓwâ Pôl ɓe Sílàs ya fó̧ré, ŋgáb ɨ́ gì yá Lìdíí. Ŋgáb ɨ́ ɓàìntèècù ɓe mwin yàá bɨ ə́mní tààmnɨ ŋgáb njɔ̧̀. Cùr kɨ́ no, ŋgáb ɨ́ gì bɨ́.
ACT.17.1	Ŋgáb ɨ́ ndóŋdôŋ Àmfìpòlîs ɓe Àpòlònî, ŋgáb ɨ́ gì féínnɨ Tèsàlònîk yɨ́ ŋgáb yi kwa 
ACT.17.2	Pôl ɨ́ gì dúú mɨ̀yú̧ú̧ no ɓetí yɨɨ́m ɗɨ́m nóò á. Ŋgə́ ɓe nùb yi du ɓèé ɨ́ yà tùlɨ́ŋnɨ sà̧à̧ há̧á̧ 
ACT.17.3	Ŋgə́ ɨ́ yà ŋgáb tànànɨ njàb nɨ́ɨ́b du tɨín kíì, túùmnànɨ ŋgáb ɨnayâna tɨtɨnné kɨ́ ya tacií nɨ́ ɨnayâna 
ACT.17.4	Nùb kù mvókín ŋgábè no ɨ́ ə́mnè àm kɨ́, ŋgáb ɨ́ ə́ə̀ŋndê Pôl ɓe Sílàs cùrì. Gɨrêk bɨ ví̧i̧ yi jəŋkom Mèèín, dùgɨ̀ nɨ̀gub ɨ́r sóò ɨ́ ndɨ̀ŋɓwê u̧. 
ACT.17.5	Ɨ́dù njɔ̧̀ ɨ́ ɓáàŋɓà nɨ́ Jwîf bɨ cei, ŋgáb ɨ́ ɓáhè nyinyáàb kù ŋgáb yi kwa ə́ə̀ŋtèèniì, ŋgáb ɨ́ wútè mɨ̀kwìn nùb kíì ndɨ̀ŋtèènɨ ŋgwé ɓáŋhîn kúr bɨ̂ŋ. Ŋgáb ɨ́ gì jóblénɨ ɓavɨ̀r Jàsóòŋ, mánɨ Pôl ɓe Sílàs yó ku àm vúm ge ŋgáb yá nùb lâs ɓáaré. 
ACT.17.6	Hȩ ŋgáb yi du Pôl ɓe Sílàs kwàwáá, ŋgáb ɨ́ bì Jàsôŋ ɓe mwin yàá bɨ ə́mní yi du yó kwe, gèsònɨ ŋgáb yá nùb kɨ́ɨ́ tií. Féín nùb kíì tíí, ŋgáb ɨ́ yàrê kɨ́ɨ̀ŋnɨ ɨnè: «Nɨ̀ŋgwáàb lè ɓáaŋkíí ɗɔ̀ɔ́b lè bɨ̂ŋ, á ŋgáb féínwo hò̧ rè! 
ACT.17.7	Jàsôŋ tɨ gamndéé ŋgáb no yó! Nɨ́ɨ́b ŋgáb du ndɨ̀ŋniì lâs nɨ ɗóònɨ ɓe ɓíì mvèìn kàm nɨ́mè jírií ɗàà, ɓetí ŋgáb á bɨ tàɓànɨ wááŋ mvèìn jíri kù á ndóŋ nɨ ku, ɨ́r á Yésù.» 
ACT.17.8	Nyindí kɨ́ ɨ́ wútɨ̀ndóŋɓàgì mɨ̀kwìn nɨ̀vɨ́tɨ̀bì ɓe nùb kɨ́ɨ́ tií. 
ACT.17.9	Jàsôŋ ɓe nùb noò ɨ́ njáàbɓàyè bɨ́ mòné, ɗà kùb ɨ́ mbɨ́kgì ŋgáb.
ACT.17.10	Jɔ̀ sɨ́mnɨ̀r sɨ́ɨ̀mnɨ ɨnè, á mwin yàá bɨ ə́mní ndɨŋ Pôl ɓe Sílàs ə́llé bɨ gìnɨ Bèrê. Ɓwâ ŋgáb yi féín kwe, ŋgáb ɨ́ gì 
ACT.17.11	Jwîf bɨ Bèrê kwe yaá bɨ ɓe ɗɨ́m nyɔ̧ɔ̧́ ndôŋ kɨ́ nùb Tèsàlòníìk; ŋgáb yi ə́əmtɨ́ bɨ́ Kìn Mèèín Pôl yi tanakom ŋgábè ɓe njɔ̧̀ mwi̧. Ye lâs ŋgáb yaá cànyààŋnɨ Kìn Mèèín yi du tɨín káàtààb Mèèín noò pénɨ nɨ́m Pôl du nyìnnɨ kɨ́ yè á àmɨɨr kè. 
ACT.17.12	Nùb ví̧i̧ mvókín ŋgábè no ɨ́ ə́mnè Yésù. Mvókín Gɨrêk bɨ no cè nɨ̀gub ɨ́r sóò ví̧i̧ ɓe nɨ̀ŋgwáàb kù ɨ́ ə́ə̀mɓwê. 
ACT.17.13	Ɨ́dù ɓwâ Jwîf bɨ Tèsàlòníìk yi ók ɨnayâna Pôl á tànɨ Kìn Mèèín Bèrê ɓwê na, á ŋgáb éíso gìnɨ wútɨ̀ɓwênɨ mɨ̀kwìn nɨ̀vɨ́tɨ̀bì ŋgáb ndɨ̀ŋ ŋgwé ɓáŋhîn kwé ku. 
ACT.17.14	Ɓwâ ŋgáb yi féínndé, á mwin yàáb ə́mní yi ndɨŋ Pôl éíkɨ́kɔ́ɔ̀nɨ gìnɨ péín mɨ̀kwehɨ̀rí; ɨ́dù Sílàs ɓe Tìmòtê ɨ́ mèkɨ́sò bɨ́ Bèrê ɓè. 
ACT.17.15	Nùb ya háaso Pôl ɨ́ gè ŋgə́ há̧á̧ Àtên. Ɗà ŋgáb ɨ́ cùwò Bèrê ɓe pénè Pôl yi tómwona Sílàs ɓe Tìmòtê ɨnayâna ŋgáb tùwò ní kɔ́klîn yáá.
ACT.17.16	Ɓwâ Pôl yi du Àtên ku móŋnɨ Sílàs ɓe Tìmòtê rè, kɨ̀cáàb yaá ɓà ŋgə́ ŋgwȩ́ȩ́ tuklɨkí̧i̧ ɓe pê ŋgə́ yi pə́ mèín nyaŋhɨ́b kwé fá̧à̧ rè. 
ACT.17.17	Ŋgə́ ɓe Jwîf bɨ ɓe nùb yi du Jwîf séé ya jəŋkom Mèèín yaá ndáŋlɨ́ŋnɨ 
ACT.17.18	Tá tɔ̀hí bɨ kù yi du nùb Èpìkúùr bɨ, nùb kù cè nùb Sɨ̀tòwáà ɨ́ yàréɓwê nyìnnɨ ɓe ŋgə́. Nùb kù yaá fɔ́nɨ ɨnè: «Nèìn ndè nyinye ní?» Nùb kù yi duce óknɨ hȩ Pôl yi du ɓéènɨ àm Yésùù ɓe sə̀ə̀mcùhô̧ cwéé
ACT.17.19	Á ŋgáb ya ɓége ŋgə́ ŋgwìn Àrèyòpâjə̀
ACT.17.20	Ɓetí nɨ́m nɨ ókkɨ́yèwá nɨ́m wu du nɨ́m tànànɨ kɨ́, á nɨ́m ɗú wu tànànyààŋ nɨ́m njàb kɨ́ ru.» 
ACT.17.21	(Kí du nùb Àtên tə̧né ɓe nùb go go̧né yi dukomhácɨ ju ŋgáb átɨtee ŋgáb a ókteece nɨ́ɨ́b heé kíì á.) 
ACT.17.22	Pôl ɨ́ éíwúgì còóm ŋgábè tɨŋtɨ̧̀ɨ̧́, ŋgə́ ɨ́ tà: «Nùb Àtéèn, mɨ péé mɨ́ nyí á nɨ jə̀ŋɓànɨ mèín bɨ ví̧i̧. 
ACT.17.23	Ɓetí ɓwâ mɨ tɨ yəŋteekom kwé tə̧né, mɨ a góomteece yɨ́ mɨ̀yú̧ú̧ bɨ nyínè, mɨ tɨ kwatɨ́ yɨ́ mɨ̀yú̧ú̧ kù ma̧á̧ ɓe sɨɨ, nɨ́m kù cè ya tɨín ɨnè: ‹kɨ́ rè kɨ́ mèín kùb ɗə̀ə̀ŋwáá á.› Àà! Nɨ́m nyí ɗə̀ə̀ŋwáá nyí du jə̀ŋnɨ kɨ́, kí ma á mɨ go mɨ́ nyí tànànɨ rè. 
ACT.17.24	Mèín nò ya nyaŋhȩ ɗɔ̀ɔ́b ɓe nɨ́ɨ́b du nó kwe lâs ɨ́ du Kéké ɓɨɨr ɓe ɗɔ̀bí ru, ŋgə́ nɨ dùtèènɨ dúhɨ́b nɨ̀vɨ́tɨ̀b óŋnaɓa Mèèín no ɗàà. 
ACT.17.25	Nɨ tàwá nɨ́m kù á ŋgə́ tùŋnɨ ɨ́ tà nɨ̀vɨ́tɨ̀b kpɔ́k ŋgə́ na, ŋgə́ ɨ́ du nɨ́ nànɨ nùb lâs mè ɓe nɨ́ɨ́b lâs lu. 
ACT.17.26	Yàwòó nɨ̀vɨ́tè mwi̧í̧ ya á ŋgə́ ya nyaŋhȩ gbàŋ lâs, ŋgə́ ɨ́ kɨ́ktèè ŋgáb ɗɔ̀ɔ́b bɨ̂ŋ. Ŋgə́ ɨ́ ɓwáítèènà ŋgáb jíìb dáín ɓe sɨ́ɨ̀mí, ŋgə́ ɨ́ ndìntèènàɓwê ŋgáb jɔ̀ ɗɔ̀ɔ́b ŋgáb ɓa dùtèènɨ noò. 
ACT.17.27	Ŋgə́ yi ndɨŋ u̧ àm nɨ̀vɨ́tɨ̀b a mátèè ŋgə́, ŋgáb yè tɨ kwa ní kè na á, u̧ kɨ́ mvókín nùb lâs, ŋgə́ nɨ ɓàcéyè cóo ɓe nɨ̀mwi̧ ɗàà. 
ACT.17.28	Ɓetí,
ACT.17.28	‹Ɓe ŋgə́ á nɨ́m du kwànɨ mè ru, nɨ́m á tɨ̀ŋnɨ, nɨ́m á cè dùnɨ.›
ACT.17.28	Nùb kù mvókín nyínè no yi taɓacéyetɨ́ ɨnè:
ACT.17.28	‹Nɨ́m duɓwée munɨ́b ŋgéé á.›
ACT.17.29	Hȩ nɨ́m dùnɨ munɨ́b ŋgéé, nɨ ɗúwa nɨ́m lə́mnɨ̀ ɨnayâna Mèín du nɨ hȩ nɨ́m nɨ̀vɨ́tè cábɓa ŋgə́ nɨ̀mɨr nyààŋnɨ ɓe gôl kɨ́ kù ɓe sɨɨ á. 
ACT.17.30	Mèín nɨ góòmcɨ̀ nɨ nɨ́m yi ndóŋ ɓwâ nɨ̀vɨ́tè yi duye nɨ́m kù ɗə̀ə̀ŋwáá íí ya ɗàà. Ɨ́dù ɗàrò, ŋgə́ ɗúú nùb lâs, wu dùgɨ̀ yɨ́ ŋge, wu ɓàndɨ̀ sum. 
ACT.17.31	Ɓetí ŋgə́ ɓwáícií nɨ́ ye ŋgə́ ɓa ŋgùnnɨ nùb ɗɔ̀bɨ́nné lâs ŋgwìn ɗɨ́ɗɨ̧́ɨ̧́, nò ŋgə́ yi caré ɨ́ ɓa dùnɨ tɨ́ŋgù̧ú̧ ru. Ŋgə́ túumhó̧ɓatɨ́ laŋtɨ̧ɨ̧́ ní ɓa ndɨ̀ŋmènɨ nɨ́m kɨ́ á, ɓe sə̀ə̀mnèé ŋgə́ səəmcuhó̧ nɨ̀ŋgwá kɨ́ mvókín nɨ̀kwíbí rè!»
ACT.17.32	Ɓwâ nùb kɨ́ yi ók Pôl nyìnnɨ àm sə̀ə̀mcùhô̧ mvókín nɨ̀kwíbí kɨ́, nùb kù ɨ́ yà ŋgə́ sɔ̀knɨ, nùb kù ɨ́ tàcè: «Nɨ́m tɨ̀ óknacɨ wu kɨ́ ɗàrɨ́ ɓwâ kù.» 
ACT.17.33	Yɨ́ kɨ́ á Pôl éímbɨ́kkɨ́so nɨ́ ŋgáb. 
ACT.17.34	Ɨ́dù nùb kù ɨ́ ə́ə̀ŋndéhâ bɨ́ no cùrì, ŋgáb ɨ́ ə́mnè bɨ́ Yésù. Dènîs yi duɓwéhe tɨ́ŋgù̧ú̧ Àrèyòpâjə̀
ACT.18.1	Cùr kɨ́ no, Pôl ɨ́ éì Àtên gìnɨ Kòréèntə̀. 
ACT.18.2	Kòréèntə̀ ku, ŋgə́ ɨ́ kwà nɨ̀ŋgwá Jwîf kù ɨ́r yi du Àkìlâs; kùb yi fein ŋgə́ ɗɔ̀ɔ́b Pôŋ no á. Ŋgə́ ɓe gwi noò Pɨ̀rìsîl féínsòkɨ́gɨ̀cèénɨ éíwòó Ìtàlî, yá kùb ya juwo ŋgábè á. Ɓetí Kùlôdə̀ yi ta Jwîf bɨ lâs éíkɨ́ níì kwé yáá. Pôl ɨ́ gàìnsò ŋgáb. 
ACT.18.3	Hȩ ŋgə́ yi ɗəəŋɓwéhe ə́r nyààŋtèé njáŋnè ɓe júú hȩ ŋgábè, ŋgə́ ɨ́ gì dùnɨ ŋgábè yó, ŋgáb a éíɓáace yá mwi̧. 
ACT.18.4	 mɨ̀yú̧ú̧ no, ye 
ACT.18.5	Ɓwâ Sílàs ɓe Tìmòtê yi féínsoré, éíwòó ŋgábè Màsèduwáàn, Pôl ɨ́ ábɨ̂ŋcɨ̀ nɨ́ ɓéhèé Kìn Mèèín, ŋgə́ a tananyaaŋce Jwîf bɨ wáànànɨ ŋgáb ɨnayâna, Yésù dumeɓa 
ACT.18.6	Ɨ́dù ŋgáb ya bɨ́ ə́ə̀mnɨ àm kɨ́ ɗàà; ŋgáb ɨ́ yà bɨ́ ŋgə́ àndɨ̀nɨ. Kí á ŋgə́ lámkɨ́sona ŋgáb mvútúúb no júú, ŋgə́ ɨ́ tànà ŋgáb ɨnè: «Óo nyíne Mèín bɨ ɨ́ gɔ̀ɔ̀ɓà bɨ́, nyí ɨ́ máɓacɨ nɨ́ kí ru. Kí nɨ mɨ góòmcɨ̀wá. Yànɨ ɗàrò, mɨ tɨ̀ gɨcɨ mɨ yɨ́ nùb du bɨ́ Jwîf séé.» 
ACT.18.7	Kí á ŋgə́ éíkɨ́ ɓè, ŋgə́ ɨ́ gì yɨ́ nɨ̀ŋgwá kù ɨ́r yi du Tìtíyús Yùstûs; dúú nóò yaá gín dúú mɨ̀yú̧ú̧. Ŋgə́ yaá jə̀ŋlɨ́ŋnɨ Mèín. 
ACT.18.8	Kríspùs nò yi du mvèìn dúú mɨ̀yú̧ú̧ ɓe nùb no yóò lâs ɨ́ ə́mnè Kéké. Nùb Kòréèntə̀ ví̧i̧ yi ókkom Pôl nyìnniì ɨ́ ə́mnè Kéké, ŋgáb ɨ́ gàm kɔ ə́mní.
ACT.18.9	Sɨ́mnɨ̀r kù no, Pôl ɨ́ pê Kéké gònɨ ŋgə́ tànànɨ ɨnè hȩ nɨ́m ndɨŋ wumné rɨ u̧: «Wu wu vùù lùr, nyinhá wu nyiín, wu wu néín dùr. 
ACT.18.10	Mɨ á wu gə́tɨ̀nɨ. Nò kù tɨ̀ nɨ wu dì̧nɨ̀r àm ndɨŋ wu ɓáŋhɨ́nne, ɓetí kwɨ́í lè no, nùb ók ɓe mé á bɨ ví̧i̧.» 
ACT.18.11	Pôl ɨ́ jə̂b Kòréèntə̀ ku há̧á̧ dáín mwi̧ ɨ́ gbɨ́ktèìn ŋgə́ a tanace nɨ̀vɨ́tɨ̀b Kìn Mèèín.
ACT.18.12	Ɓwâ ya kɨ́, nɨ̀ŋgwá Róòm kù ɨ́r yi du Gàlìyôŋ yi ɨ́ du gómnà ɗɔ̀ɔ́b Àkàyíì ru, á Jwîf bɨ yi ɓáhe ɓɔ̧ ɗà ŋgáb ɨ́ bɨ̀gè Pôl yɨ́ ŋgù̧ní. 
ACT.18.13	Ŋgáb ɨ́ gì ku tànɨ ɨnè: «Nɨ̀ŋgwá rè á njóòrénɨ nɨ̀vɨ́tɨ̀b jɨ̧ Mèèín no, jɨ̧ kɨ́ ɨ́ dù nɨ́ hàrák ɓe nɨ́m ɓíì du tàniì ɗàà.» 
ACT.18.14	Pôl ɗúnɨ wèìnɨ ɓɔ̧, á Gàlìyôŋ gam nyindí tànànɨ Jwîf bɨ ɨnè: «Tɨ dùyè àm kwíhèé ŋgwéé, kɨ́ kù àm ɓáŋhîn kàm kù, mɨ yè mbɨ́ktɨ́ nyí Jwîf bɨ ɗàrɨ́ nyí nyìntɨ. 
ACT.18.15	Ɨ́dù hȩ nyí du nɨ́ ndáŋnɨ sɨ̀ɨ̀ŋ nyindíí ya, ɓe ɓíì nyí nɨ̀mibi ya, dùgɨ̀ ɨ́r bɨ rèé; ɗə̀ə̀ŋnáɓà nɨ hȩ nyí ɓa nɨ́ ndɨ̀ŋniì. Mɨ mɨ ɗúwa dùnɨ tɨ́ŋgù̧ú̧ kúúŋ àám kíì no!» 
ACT.18.16	Ŋgə́ ɨ́ tà ŋgáb éíkɨ́ bɨ ní ya. 
ACT.18.17	Kí á ŋgáb ya bɨ Sòstên, nò yi du mvèìn dúú mɨ̀yú̧ú̧, ŋgáb ɨ́ yàrê ŋgə́ jɨ̀mnɨ yɨ́ ŋgù̧ní ɓè. Ɨ́dù Gàlìyôŋ yi nɨ́ jɨ̀ɨ̀m kɨ́ ɓɔ̧ɔ̧ áréwa.
ACT.18.18	Pôl ɨ́ dùɓà nɨ́ Kòréèntə̀ ku jíìb no, ɗà ŋgə́ ɨ́ mbɨ́kkɨ́sò mwin yàáb ə́mní, ŋgə́ ɨ́ ə́llê, ŋgə́ ɓe Pɨ̀rìsîl ɓe Àkìlâs gìnɨ Sìrî. Ŋgáb féín sɔ̀ Sàŋkɨ̀réè no yɨ́ ŋgáb yi ɓa lénɨ kwáìn gìnɨ kɨ́, Pôl ɨ́ njèìnkɨ́gì ŋgwé túùmnɨ ɨnayâna ní cáaŋtɨ́ ɓwáár ní ya ɓwáína Mèèín. 
ACT.18.19	Ŋgáb ɨ́ féìn Èfês, yɨ́ ŋgə́ ɓe Pɨ̀rìsîl ɓe Àkìlâs yi gɔɔré, ŋgə́ ɨ́ gì 
ACT.18.20	Ŋgáb ɨ́ tà ŋgə́ jə́b ɓe vúm nȩ̀ȩ́ yáá, ɨ́dù ŋgə́ ɨ́ mvû nɨ́. 
ACT.18.21	Ŋgə́ ɨ́ mbɨ́kkɨ́sò nɨ́ ŋgáb ŋgə́ a tace: «Mɨ ɓa cùwòhánɨ yɨ́ nyínè á, ɓè Mèín ə́əmndé.» Ŋgə́ ɨ́ lê nɨ́ kwáìn gìnɨ Sèsàrê. 
ACT.18.22	Ɓwâ ŋgə́ féín Sèsàréè, ŋgə́ ɨ́ gì Yèrúsàlèm nyìndɨ̀nɨ mɨ̀kwìn nùb ə́mní ku, ɗà ŋgə́ ɨ́ gɨ̀ndôŋ Àŋtìyôs du ɗɔ̀ɔ́b Sìríì rɨ no. 
ACT.18.23	Ŋgə́ ɨ́ jə́bhô̧ Àŋtìyôs ɓè ŋgób, ŋgə́ ɨ́ éícùrê. Ŋgə́ ɨ́ ɔ̀kndôŋ ɗɔ̀ɔ́b Gàlàtî ɓe Fɨ̀rìjíì ŋgə́ a taamgece njɔ̧̀ nùb ə́mní.
ACT.18.24	Nɨ̀ŋgwá Jwîf kù ɨ́ féínsò Èfês ku. Ɨ́r noò yaá Àpòlôs, kùb yi fein ŋgə́ Àlèksàndɨ́rî á. Nɨ̀ŋgwá kɨ́ yaá wáàɓànɨ nyindí mîn, ŋgə́ yi ɗəəŋceé njàb Kìn Mèèín du tɨín káàtà Mèèín noò. 
ACT.18.25	Ŋgə́ ya ɗəəŋɓatɨ́ àm Kékéé mîn. Ŋgə́ ɨ́ yà tànɨ Kìn Mèèín, ŋgə́ a tɔɔce nyindí du ɓe ɨ́r Yésùù hàrák ɓà ɓe mɨ̀tù sumí. Ɨ́dù kɔ ə́mní ŋgə́ ya kɔkɗóoré á kɨ́ Jáàŋ. 
ACT.18.26	 mɨ̀yú̧ú̧ no, ŋgə́ ɨ́ yàrê nyìnɓànɨ ŋgə́ vùù ókwa. Ɓwâ Pɨ̀rìsîl ɓe Àkìlâs yi ók ŋgə́ nyìnniì, ŋgáb ɨ́ gè ŋgə́ ɓo yó tànànyààŋnɨ ŋgə́ njàb jɨ̀r Mèèín mîn. 
