GEN.1.1	Ainau anai bag God safam a tafanam ifourai. 
ACT.24.15	Yau on yaterabobai God amomousin, on nanaba on atonio osi sabu mat on eta kaitamomai nanaba sefofour, on sabu engon tutufin komasis o obis on arimon rabob emon sinmisisirin men. 
ACT.24.16	On mes yau ra fufur afofourtobon nunuau totorinai wat God a sabu matasi.
ACT.24.17	“Yau Jerusalem aikirir agat on kwanda ruamom nanaba isawar, ato yau amatabir men agim abo anat nan tou au sabu auris ato sirifu atkuteten mes. 
ACT.24.18	Yau on bobo afofour tou aigumidareu ato Moses an baifafaro iyau nanaba on isawar gibunai on nan tafaror goai sigatureu. Ato sabu kuayo a baisurutin on nan on ambin. 
ACT.24.19	Baise Jew yangan fani Asia tafanam emon sinat on nan; osi tous sitnat nin namui sittawar ato bobo komasis aifan afofour on sitiubareu. 
ACT.24.20	O sabu atonio nin on unawures sinkasoneu Jew babadis Rurubinis nasi atatawar on sigatureu abi bobo komasin afour— 
ACT.24.21	Baise bobo kaitamom wat osi nasi atatawar on ayor au; ‘Omi ari yau wobigurubabaniu, yabin yau abitutum on sabu arimon rabob emon sinmisisirin sinyawas men.’”
ACT.24.22	Namon Felix on ato Bada an Eta aurin on isagob tiwag, on dura tatam an wera on na ikutuwe ra tani weie dura tatamin mes, ato on iyau, “Om am dura aurin on bainetewarotin gagamin Lysias, on innat weie aninonotai.” 
ACT.24.23	On dura wawaninai iyau, wou an babad tani on Paul nana inkakaifarai, baise on iyawures sinikirir an gogoi aifan nanaba on tuturan sinibaisin.
ACT.24.24	Ra fani sisawar gibunai Felix on awan wabin Drusilla, on min Jew jever on rus sinat. Felix on Paul aurin dura iyafar ato on inat, Iesu Keriso mamaba sebitutumai on aurin on ikakafun sitatam. 
ACT.24.25	Baise Paul on bobo obis auris, mamaba toum unrutotorim aurin a Ra enat Baigurubaban aurin ibikakafun on, Felix iber ato iyau, “Om unan. Yau au wera angaturai weie anyorem men.” 
ACT.24.26	On wera kaitamomai Felix inonosin Paul on arimon agim fani ititai; ato on yabinai on ra fufur iyoyorai irur rus sibikakafun.
ACT.24.27	Kwanda ruam nanaba isawar gibunai, Porcius Festus on Felix an efan ibo gawan imatar. Felix on igogoi Jew yangan asi gogoi on itafour, on mes Paul on nana fafatum goai ikirir ima.
ACT.25.1	Festus inat tafanamai irui, ato ra ton nanaba isawar gibunai on Caesarea mafam gagamin emon igai au Jerusalem. 
ACT.25.2	On nan on priest aiwabis a Jew asi bainetewarotis on Paul siubarai. Osi Festus sifefeyanai, 
ACT.25.3	asi gogoi on itafour weines, Paul itboai itnat au Jerusalem, yabin osi bubuniai sitarasisib Paul etai itananat on nan sitasubun. 
ACT.25.4	Festus iyafotes iyau, “Paul on Caesarea mafam gagaminai nan fafatum goai sekakaifarai ato yau tou on wera men weromin amonai arimon anmatabir men anan nan. 
ACT.25.5	Omi ami bainetewarotis on yau mat wanan au Caesarea, ato orot bobo komasin tani infofour mes on woniubarai.”
ACT.25.6	Festus on nan mat sima ra nimtereban baitonin o auyotoat nanaba isawar weie on inai au Caesarea. Ra itom on an baigurubaban an efanai imair ato dura wawaninai iyau Paul sibo sirui aurin. 
ACT.25.7	Paul inat irui mom, ato Jew yangan Jerusalem emon sinat on sikufifinai ato sibosuruf bobo komasis bag auris on sibiubarai ato osi bobo sigaraba amosi on men tani sidura bagai on. 
ACT.25.8	Baise Paul toun irufafarai iyau, “Yau on men bobo komasin tani Jew yangan asi Baifafaro aurin afour on, o tafaror goa aurin, o Caesar aurin afour on.”
ACT.25.9	Festus igogoi on Jew yangan asi gogoi on itafour, on mes Paul itetemai iyau, “Om egogoi tanan au Jerusalem nan atonio osi ubar auris on nan nawui untawar?” 
ACT.25.10	Paul iyau, “Yau on Caesar toun an baigurubaban an efanai atatawar, on nan wotigurubabaniu. Yau men bobo komasin Jew yangan auris afour on, om toum usagob tiwag. 
ACT.25.11	Yau baifafaro atastob mes o bobo komasis atfofour mes onai baimaki wotiteu wotasubunueu on, men arimon atgat atyawas aurin atifefeyan on. Baise atonio on men dura bag aurin on sebiubareu, on men iyafan tani inboeu osi imasi inyagaiiu. Yau on Caesar aurin abifefeyan, on au dura intatam weineu.” 
ACT.25.12	Namon Festus on an sabu ato aurin dura sau baiyatai yangan on, mat sidurusof isawar ato iyafotai iyau, “Om Caesar aurin ufefeyan on am dura intatam, on mes om Caesar aurin unan.”
ACT.25.13	Ra fani sisawar gibunai Aiwab Agrippa a Bernice rus on sinat au Caesarea mafam gagaminai Festus sitfasiuai sitikakaiwai mes. 
ACT.25.14	Ra fani on nan sima gibunai, Festus on Paul an dudur mamaba, on aiwab orot aurin idudur iyau, “Orot tani nin Felix fafatum goai ikirir emama; 
ACT.25.15	ato yau anai au Jerusalem nan on, Jew yangan asi priest aiwabis a asi sabu kwatus on siubarai ato sifefeyaniu yau atimakiai mes. 
ACT.25.16	Baise yau awures on Rome yangan asi kik on men nanaba iyau, orot jever asir fetag osi imasi tanyagai, baise on ainau rus sintawar duraiai siniyoyo, ato sebiubarai on toun inrufafarai. 
ACT.25.17	Osi nin sinat mom on, yau men amousin mes, baise ra itom mom on yau au baigurubaban efanai amair ato dura wawaninai aikakafun orot sibo sirui. 
ACT.25.18	On an ragit simisir sitawar, baise osi men tani bobo komasis bag auris on siubarai mes, yau anos on arimon on nanaba dura komasis auris on sitikakafunen. 
ACT.25.19	Osi asi gamo on ato tous asi eta mamaba God sekwakwafirai aurin on a orot Wabin Iesu on inat irarabob aurin on segagamois; baise Paul ebikakafun yau, On on yawasin emama. 
ACT.25.20	Yau tou on aitagogoiiu atonio dura aurin on mamaba atsagob tiwag, on mes yau Paul aitetemai on egogoi inan Jerusalem nan an ubar aurin on nan an dura antatam. 
ACT.25.21	Baise Paul on Caesar aurin ifefeyan; on ifefeyan nana sinkakaifarai ato Caesar on an dura intatam ininonotai. On mes yau dura wawaninai awures on sinkakaifarai ato aniyafarai inan Caesar aurin.”
ACT.25.22	Agrippa on Festus aurin iyau, “Yau agogoi atonio orot an dura on tou antatam.” Festus iyafotai iyau, “Raso weie an dura untatam.” 
ACT.25.23	Ra itom Agrippa a Bernice, osi sinat sirur on sabu dour tatafai nan sibogagaiis auman ato osi wou yangan asi aiwabis a mafam gagamin asi bainetewarotis sabu, osi mat sinat goa gagaminai sirui. Festus dura wawaninai iyau ato Paul sibo sirui. 
ACT.25.24	Festus iyau, “Aiwab Agrippa a sabu iyabon engon mat nin tamama on: Orot atonio woit on, Jew yangan engon nin semama a Jerusalem semama on engon sebiubarai ato asi dura on auriu sikakafun. Osi siyoku siyau on, on men nana inama mes. 
ACT.25.25	Baise yau on orot an komasin on men agaturai on an rabob aurin anikakafun. Ato on toun ainau an baifefeyan iyamai Caesar aurin, on an dura intatam mes, ato yau ainonotai on aniyafarai inan mes. 
ACT.25.26	Baise yau on orot aurin an dura maiauin bag on men asagob on Caesar aurin angayam anawur. On mes yau orot abo anat namui intawar—Aiwab Agrippa om namui!—ato on an dura unnuen unsagob weie, yau anidura bag angayam. 
ACT.25.27	Yau anonosin men kafakakai yabin auman on, aibo mes asir fetag orot fatum auman aniyafarai inan, ato on sebiubarai aurin on an yabin men agaturai on.”
ACT.26.1	Agrippa on Paul aurin iyau, “Om ari abibasitem unikakafun toum unrufafarem.” Paul iman ibogai ato toun aurin on ikakafun iyau:
ACT.26.2	“Aiwab Agrippa! Yau tou anonosin on yasisir gagamin ari om namui atatawar ato Jew yangan bobo engon auris sebiubareu on aurin on tou anrufafareu. 
ACT.26.3	Atonio on dura bag, yabin Jew yangan asi kik a asi baitetem on usagob tiwag. Yau abifefeyanim om yaterabobai nan au dura untatam.
ACT.26.4	“Jew yangan engon tutufin sisagob ainau yau kafakakaiui bag au yawas mamaba ama inat ari igat. Osi sisagob ainau anai bag yau au yawas tutufinai tou au tafanamai a Jerusalem amonai amama on. 
ACT.26.5	Osi on ainau bag yau sisagobiu ato osi singogoi on sinawurem yau ainau mamaba God akwakwafirai an eta aurin on kuayo wawanin tani wabin Pharisee, on an orot tani amama on. 
ACT.26.6	Ato ari on atonio namui atatawar yabin God an aumatan wawat agirit auris ibiyamai on abitutumai amomousin— 
ACT.26.7	aumatan kaitamom min on ato ati sabu dam auyotoat sasagis ruam nanaba on baitutumai simomousin sitboai mes; ato osi fom ra on God sikwakwafirai. Ab atonio baitutumai amomousin aurin on, au Aiwab, Jew yangan on yau sebiubareu! 
ACT.26.8	Aibo mes omi Jew yangan aurim on iwani men fofonin wonitutum God on sabu rabobis inbobaimisires men?
ACT.26.9	“Yau tou anos on mamaba bobo engon tutufin atafour Iesu Keriso Nazareth emon Wabin on atiagirai mes! 
ACT.26.10	Yau atonio bobo on Jerusalem nan afour. Yau on priest aiwabis on baibad siteu ato God an sabu sigaraba aboes fafatum goai arereberues; a osi bairabobis aurin si’yau on, yau mat abibasites. 
ACT.26.11	Ra sigaraba maiau bayoi goa engon amosi nan aimakies a yau afourtobon aiyames asi baitutum Iesu aurin siyeyeinin on sitisosouf mes. Yau osi auris on aiyatatab kwakwan ato anai mafam gagamis toumanai nan baikokosar abites.”
ACT.26.12	Paul an dura nana ikakafun iyau, “Atonio bobo aurin on priest aiwabis baibad siteu a siyawureu on anai au Damascus. 
ACT.26.13	Au Aiwab, eta nenenai nan ra aiyet basun nanaba nan ratafin ait on itagawai kwakwan men ato wera safam emon ekudidir ba, on isur usiui itagawai a sabu fani mat wa’nan on usisi mat itagawai. 
ACT.26.14	Wei engon tutufin motobai wafeu ato fonan atatam on Hebrew yangan fonasi nan auriu ikakafun iyau, ‘Saul, Saul! Om aibo mes yau baikokosar ebiteu i? Om bobo nanaba efofour on toum ebikomasim, am wera mat ebisawarai dura maiauin on ebiragitai ato foro ox ba, toun ann on aufut aufut nan an siwa erarabin men.’ 
ACT.26.15	Yau aitetem au, ‘Bada, Om Iyafan?’ Ato Bada iyau: ‘Yau on Iesu, om on Yau baikokosar ebiteu. 
ACT.26.16	Baise om emisir etawar. Yau arobotet aurim on arubinem au agirotim unmatar mes; om ari Yau uteu aurin on sabu fani unkasones a aifan ra gibui enat aurin on aniyoboem. 
ACT.26.17	Yau arimon Israel yangan a sabu men Jew yangan osi emon on aniyawasim, Yau arimon osi sabu auris on aniyafarem unan. 
ACT.26.18	Om arimon osi sabu unfouris matas sineit a wouman emon on unikitabires sinnat au ratafin singat a Afaguban an faiwarai semama on unikitabires sinnat God aurin, ato Yau sinbitutumeu on God asi bokomas innotbur ato On an sabu rurubinis semama on amosi nan asi efan sinboai.’”
ACT.26.19	Paul an dura nana ikakafun iyau, “On mes Aiwab Agrippa, yau on safam emon God an dura ibo igat auriu on fonan men aseir mes. 
ACT.26.20	Yau ainau Damascus nan dura akurereb weie Jerusalem nan ato Jew yangan asi tafanam engon tutufin a sabu men Jew yangan sanasi, yau dura akurereb on osi ya baikitabir sinboai ato God aurin sinrutabir, ato on bobo sinfofour nan iniyoboet on osi ya baikitabir sibo. 
ACT.26.21	On yabinai yau tafaror goai amama on Jew yangan sifatumeu ato sifourtobon sitasubuniu mes. 
ACT.26.22	Baise ari on yau God nana ebibaisiu, on mes yau nin atatawar ato bobo aifan mataui aitai on omi engon aurim akurereb, sabu wabis gugudis a sabu wabis gagamis auris. Yau dura aifan abikakafun on ato bobo kaitamom aurin on aubairuruotis a Moses, osi si’yau on arimon inmatar: 
ACT.26.23	Keriso on arimon inarab ato On ainau rabob emon inmisir ato yawas an ratafin aurin on dura inkurereb Jew yangan a sabu men Jew yangan auris.”
ACT.26.24	Paul atonio etaiai dura ibikakafun toun irufafarai on, Festus on aurin iyoku iyau, “Paul om ukokok bait! Om am sagob gagamin emon on iyamem unai ukokok!” 
ACT.26.25	Paul iyafotai iyau, “Orot Gagamim! Yau men aikokok on. Yau dura ato abikakafun on dura bag ato men uniu ikomas on. 
ACT.26.26	Aiwab Agrippa! Yau au dura engon totor wat aurim abikakafun, yau men abeber on yabin om atonio osi bobo auris on usagob. Yau asagob om osi bobo kakaita kakaita auris on usagob yabin atonio bobo imamatar on men sibuni ususunai nan imatar on. 
ACT.26.27	Aiwab Agrippa, om aubairuruotis min ebitutumes i? Yau asagob om ebitutum!”
ACT.26.28	Agrippa on Paul aurin iyau, “Om atonio ari wera dibon wat on enonosin om yau uniyameu Keriso an baigibubunuotin anmatar i?” 
ACT.26.29	Paul iyafotai iyau, “Wera dibon wat o wera weromin, yau abifefeyan on om a sabu engon nin woma yau wotatamiu on wonnat yau ba wonmatar—baise men atonio yau imau fafatum auman ba on!” 
ACT.26.30	Namon Aiwab, gawan, Bernice a sabu engon simisiririn,
ACT.26.31	ato osi goa sibikirir on tous wat siyau bonen, “Atonio orot on men bobo komasin tani ifour on sinasubun o fafatum goai sinreberuai.” 
ACT.26.32	Ato Agrippa on Festus aurin iyau, “Atonio orot on men Caesar aurin itbifefeyan an dura ittatam on arimon tatboseirai itgat.”
ACT.27.1	Osi sibasit on wei wa watboai watan au Italy, osi Paul a sabu fani sifafatumes on, orot wabin Julius, Rome asi wou yangan an baibad tani on imanai siyagai, on wou yangan on seyoyores, “Caesar An Wou Yangan Sigaraba.” 
ACT.27.2	Wei wa tefanai wakaruge ato wanai, on wa on Adramyttium mafam gagamin emon ato on ibotitiwag tafanam Asia amonai wa an efan menan erur egat, on nanaba itabib itan mes. Aristarchus on Thessalonica mafam gagamin emon, Macedonia tafanam amonai on mat wanai. 
ACT.27.3	Ra itom mom on, wei wanat Sidon mafam gagaminai nan wagat. Julius on orot obin, on Paul ikirir igat tuturan itites an gogoi aifan on sitibaisin. 
ACT.27.4	Wei Sidon waikirir wanai ato yabat wawanin isisin kwakwan, on mes wei wa wabo ato Cyprus nua sesebin an rufafarinai on nan wanai. 
ACT.27.5	Wei on Cilicia a Pamphylia tafanam asi kamit on basunai wasutin warabon wanai ato wanat Myra mafam gagamin, Lycia tafanam amonai on nan wagat. 
ACT.27.6	Alexandria mafam gagamin an wa tani on au Italy itan mes, ato wou yangan an babad orot on wa an eta igaturai ato nan iyagaii wanai.
ACT.27.7	Yabat wawaninai isisin kwakwan, on mes wei sunub sunub wa’nan mom asir ra fani sisawar weie wanat Cnidus mafam gagaminai wagat. Ato wei ai wa mutfon menan wayein wanan on, yabat wawanin isisin kwakwan on mes wei Crete nua sesebin an rufafarinai nan wasur wanai Salmone mutfon on waikirir. 
ACT.27.8	Wei nana tore rerewan wanai ato wa boinotis on wawaninai wa sibo wanat efan seyoyorai, Rufafarinai Nan Wa Seyoyot, on nan wagat, on efan on men weromin Lasea mafam gagamin bisinai.
ACT.27.9	Wei nan ra weromin wama, ato kwanda an ra on mes yabat yawarad on ikomas kwakwan men fofonin watan on, yabin ari on Bokomas Bainotbur an Ra on isawar nono. On mes Paul on atonio baisosoan dura on iyawures iyau, 
ACT.27.10	“Sabu, ot ati bib ari ebosuruf ato na tannanan on arimon beruber komasin bag inmatar, ot ati wa on arimon tanisiwanai a sawar on arimon sinkomasis a ot ati yawas mat arimon tanisiwanen.” 
ACT.27.11	Baise wa boinotin an bainetewar orot a wa matuanin, osi asi dura sibikakafun on wou yangan asi babad orot on nunuan sikitabirai ato Paul dura i’yau on men aurin sifonabo on. 
ACT.27.12	Efan menan wa sebiyoyot on men obin kwanda aurin; on mes sabu engon sigogoi watafourtobon fofonin on watan Phoenix mafam gagamin aurin watiufin. wa baiyoyot an efan ato Crete nua nan yen on magin au wera sifun a koun on au wera matan nanaba yen, ato kwanda an ra on osi fofonin nan sitama.
ACT.27.13	Nuba on rega emon ibosuruf isusur, ato sabu sinos asi bainonot sibiyamai on nanaba itmatar; on mes osi wa an agim siribirirai nan wa i’botan on sitein igai ato wa wabo Crete tore rerewan nanaba wanai. 
ACT.27.14	Baise men weromin yabat wawanin bag isisin-on yabat wabin seyoyorai, “Wowog,” on nua emon isisin isusur. 
ACT.27.15	Yabat isisin kwakwan wa irarabin ato wa mutfon ato yabat wanai watyein watan mes on wafour wat, ato waisuweigan wa waikirir yabat an gogoi nanaba on irabi isisinei wanai. 
ACT.27.16	Wei on au wera sifun na wasur nua kafakakai wabin Cauda on an rufafarin amonai warui. On nan on wei bobo wawaninai nan wafourtobon kairag ato wa sifunai iteteinin on watein igai. 
ACT.27.17	Osi kairag sitein igai ato uram sibo wa auman siyous tatan. Osi siber, ari fetag Libya an tore gasa komasin babanai yen on tefanai sitag; on mes sog on sitein isur ato sikirir yabat an gogoi nanaba wat on wa itsisin itan. 
ACT.27.18	Yabat komasin bag on nana isisin ato ra itom on osi sibosuruf sawar ato wa amonai si’yen on siboen au kamit siribiriren sisur, 
ACT.27.19	ato ra baitonin nanaba on wa sog an uram, an siwa on tous imasi siboen ato au kamit siribirir sisur. 
ACT.27.20	Yabin ra sigaraba maiau on wei men fofonin wera magin o siribod watiten on ato yabat on nana wawaninai bag isisin. Kanfounai wei ai bainonot wayein watafourtobon watan watyayawas aurin wanonosin on asir isawar mom.
ACT.27.21	Ra weromin maiau sabu bayu men siyam, ato gibui Paul imisir nasi itawar ato iyau, “Sabu, omi yau fonau wottatam on Crete nua on men tatikirir mes; on bobo nanaba wotfofour on, ari men komasin tatgaturai a sawar men tatisiwanen on. 
ACT.27.22	Baise ari on abifefeyanim, omi nunuam sinwani! Omi men tani an yawas inisiwanai on; arimon wa wat on tanisiwanai. 
ACT.27.23	Yabin fom God an anea on yau ebinoaniu a On yau akwakwafirai on inat auriu, 
ACT.27.24	ato iyau, ‘Paul men unaber! Om Caesar nanai untawar; ato God an obin emon on am yawas initem ato osi sabu om mat wa tefanai wo’nat on.’ 
ACT.27.25	On mes sabu, omi nunuam sinwani! Yabin yau God abitutumai ato dura mamaba iyawureu on arimon nanaba inmatar. 
ACT.27.26	Baise ot arimon tanan nua taniai on nan inrabit tanag.”
ACT.27.27	Tafaror ruam nanaba isawar, on fom on wei yabat isisinei wanai Adriatic kamitai nan wagat. Fom nub basun wa bobo’otis sinos on wei wanat tafanam aurin waiufin bait. 
ACT.27.28	On mes osi uram weromin sibo agim siyous ato kamitai siribirirai isur ato sigaturai kamit an borit on mita orot ruam nanaba; kafakakai warui ato on bobo kaitamom nanaba sifour men, ato sigaturai kamit an borit on orot kaitamom auyotoat nanaba. 
ACT.27.29	Osi siber, wei ai wa fetag aru tefanai itag mat, on mes osi agim engon bat nanaba on wa sifun emon siribiriren sisur ato sibabayoi mom ra itom. 
ACT.27.30	Wa boinotis on sifourtobon wa emon sitiyai sitan mes; osi kairag on wa tefan emon sibo siyeirai isur au kamit ato sisigo si’nan au wa mutfonai nan agim fani ba sitribiriren sitsur wa itbotan mes. 
ACT.27.31	Baise Paul on wou yangan asi babad a wou yangan auris iyau, “Atonio wa boinotis on men wa tefanai sinmama on, omi arimon men wonyawas on.” 
ACT.27.32	On mes wou yangan sinai uram ato wa ibotan on siyasutin ato kairag iyaru inai.
ACT.27.33	Ra awan, Paul sabu ifefeyanis osi engon bayu sitam mes, on iyau, “Omi womomousin on ari tafaror ruam isawar, ato wera weromin maiau omi men bayu aifan tani wam on. 
ACT.27.34	Yau abifefeyanim, omi bayu fani wonam ato yawasim wonama. Omi unimui tefam kaitamom on arimon men sinsiwan on.” 
ACT.27.35	Paul atonio dura iyau weie, rafi sarar fani iboen osi nasi nan God aurin ikakaiu, iyabaseseben ato ibosuruf iyam. 
ACT.27.36	Osi nunuas siwani ato osi sabu kakaita kakaita mat on bayu fani siyam. 
ACT.27.37	Wei sabu engon 276 nanaba on wa tefanai. 
ACT.27.38	Sabu bayu siyam isawar weie osi sawareg ato wa tefanai si’yen on au kamit siribiriren sisur ato wa isas.
ACT.27.39	Ra itom ato wa an bobo’otis on tore sit siyoi, baise osi tore ususun gasa on sit sisagob ato sinonotis fofonin on wa nan sitboai sitar au tore. 
ACT.27.40	On mes osi agim an uram ato wa ibotan on siyasutuenen ato nan sikiriren sidarir sisur, ato on wera kaitamomai on uram ato wa an boi siyouten si’yen on sirufanen. Namon osi sog mutfonai sikubogai onai yabat itsisin auman itboai itar, ato mutfon ainau on tore nan ittuwegai. 
ACT.27.41	Baise wa on aru irab ato nana itawar; wa mutfon on aruai iyagai ato men fofonin itiyayob on, ato wa sifun on yawarad gagamin wan irukikiai i’nat on irab iyaseseb gugud gugud simatar.
ACT.27.42	Wou yangan sinonotis sabu ato sifafatumes on engon sitasububunues itsawar ato men iyafan tani itatoi itar au tore ato itiyai itan ityawas. 
ACT.27.43	Baise wou yangan asi babad on igogoi Paul itiyawasai mes on atonio bobo sitafour mes on irufotes. Baise on sabu engon dura wawaniai iyawures iyabon toi sisagob on ainau wa emon sinsobit ato sinatoi sinar au tore; 
ACT.27.44	sabu fani on tuturas sigibubunues, wengar siyaruen a wa an wengar tuturis on siboen auman sitoi sirui. Atonio bobo nanaba imatar on wei engon yawasi wat watoi warui tore wagai.
ACT.28.1	Wei watoi warui tore wagai, engon yawasi wat, ato wasagob on nua on wabin Malta. 
ACT.28.2	On nua an sabu on baibaisotis. Usan ibosuruf iyayar ato isibu, on mes osi wairaf siyasir ato engon sikakaiwi. 
ACT.28.3	Paul wengar iboen wairaf iyasir ato wairaf an forabinai on mota wengar amon emon igat, ato imanai igi iroror. 
ACT.28.4	On nua an sabu on mota sit Paul imanai igi iroror ato osi tous wat siyau bonen, “Atonio orot on sabu asububunenotin bait, baise god wabin Justus, on men arimon inikirir inama on, basit on kamit emon inat iyawas min on.” 
ACT.28.5	Baise Paul on mota iman emon irukou ifeu wairaf tefanai igai ato on iman men igi ikomasai mes. 
ACT.28.6	Osi simomousin Paul iman itadau itag o on ra kaita itafeu itarab. Baise osi wera weromin maiau sima, ato sit on men bobo aifan komasin tani aurin imatar on, osi asi not sikitabirai ato siyau, “On on god!”
ACT.28.7	Masau fani on nan auwatin, osi masau on nua an aiwab wabin Publius on noan. On orot on obinai ikakaiwai ato ra ton nanaba on an goai wama. 
ACT.28.8	Publius taman on ireai i’yen, on isawau a ya susur auman ibo. Paul inai on i’yen an efanai nan, aurin ibayoi ato iman usinai iyein iyawasai. 
ACT.28.9	Atonio bobo nanaba imatar mom on, sabu sawauotis engon nuai simama on sinat ato siyawas. 
ACT.28.10	Osi siwar sigaraba sitei on gibunai wei wabotitiwagi wa tani watboai watan mes ato wei ai gogoi bayu etai watam on wa tefanai siyagagaien.
ACT.28.11	Roke ton isawar gibunai, wei on Alexandria mafam gagamin an wa wabin seyoyorai, “Sisiru God,” on kwanda an ra on nuaiai nan itatawar, on wa on wabo wanai. 
ACT.28.12	Wei wanat Syracuse mafam gagaminai wagat ato nan wama ra ton nanaba isawar. 
ACT.28.13	On nan on wei wa wabo ato wanat Rhegium mafam gagaminai wagat. Ra itom ato yabat rega emon ibosuruf isisin, ato ra ruam isawar gibunai wei wanat Puteoli mafam gagaminai wagat. 
ACT.28.14	Wei baitutumotis fani nan wagatures ato osi sigogoi on wei mat nan tafaror kaitamom watama. Ato wei wanat au Rome mafam gagamin. 
ACT.28.15	Taitai tutuai baitutumotis on wei ai dura sitatam ato sinat Appius an Baitotobon Efanai a Nanawan Goa Ton on nan sigat sitnefotei mes. Paul osi sabu ites mom on nunuan iwani ato God ikakaiwai.
ACT.28.16	Wei wanat Rome mafam gagamin wagat mom, Paul on ikirirei ekesin mabinai ato wou orot tani ikakaifarai.
ACT.28.17	Ra ton nanaba isawar gibunai, Paul on Jew mafam sabu asi bainetewarotis iyores siruayo. Osi siruayo ato on auris iyau, “Yau taitaiu tutuau! Yau men bobo komasis ati sabu auris afour o men bobo komasis ati kik ato wawat agirit bisisi emon taboai on auris afour mes, baise yau on Jerusalem nan sifatumeu ato Rome yangan imasi siyagai. 
ACT.28.18	Osi sitetemiu ato sigogoi sitrufaniu yabin osi sigaturai on yau men bobo aifan komasin tani afour on sitasubuniu. 
ACT.28.19	Baise Jew yangan on men sigogoi yau sitboseiriu, ato iyobin yau on Caesar aurin aifefeyan on au dura ittatam, baise yau on men ubar tani au sabu auris ayein on. 
ACT.28.20	On fasinai yau aifefeyan omi atitem ato mat tatikakafun; yabin yau ato Orot aurin abitutum on imaui fafatum siyein ato Israel yangan On aurin baitutumai semomousin on.”
ACT.28.21	Osi on aurin siyau, “Om aurim on wei men fef tani Judea emon sigayam wabo on, o taitait tutuat on tafanam emon senat on om am dura tani ambin o men dura komasin om aurim sebikakafun on. 
ACT.28.22	Baise wei wagogoi om am bainonot on wansagob yabin wei wasagob sabu sigaraba tafanam au engon on kuayo ato amonai emama on aurin sebiragitai.”
ACT.28.23	On mes osi Paul mat asi ra siyein ato sabu kuayo gagamin on ra nan sinat menan Paul imama nan siruayo. Fomenei inai awa ifom on Paul dura osi auris iyaububunagen a God an Baiaiwab aurin on dura ikurereb. Paul ifourtobon Iesu aurin on Moses an Baifafaroai a aubairuruotis asi buk amonai sigagayamen on nan dura ibikakafun ato nan nunuas itikitabiren mes. 
ACT.28.24	Sabu fani on an dura emon on nunuas ikitabiren, baise sabu fani on men situtum on. 
ACT.28.25	Paul atonio dura kaitamom wat on ikakafun iyau, “Isaiah an dura on Ayu Kakafotin emon ikakafun tiwag wawam agirim auris! On mes osi sinai tous amosi wat on men sibasites on. 
ACT.28.26	Isaiah iyau,
ACT.28.26	‘Om enai ato atonio osi sabu auris unau:
ACT.28.26	Omi dura wontatam wat wontatam wat, baise men wonsagob; omi matam woneit wat woneit wat, baise men wonitai.
ACT.28.27	Yabin atonio osi sabu nunuas on wawanis, osi tainas sirufofoten a osi matas siyafofoten.
ACT.28.27	Ato osi matas siteit, tainas sittatam, nunuas on sitruseren mes on, God iyau,
ACT.28.27	osi Yau auriu sinrutabir ato aniyawasis, baise osi men nanaba sifour on.’”
ACT.28.28	Ato Paul an dura kanfounai iyau, “Omi wonsagob God an yawas dura on sabu men Jew yangan auris siyafar nono. Osi arimon sintatam!” 
ACT.28.29	(Paul atonio dura iyau gibunai Jew yangan sinai yatatabai nan tous amosi sigagamois bonen.) 
ACT.28.30	Kwanda ruam on Paul an goa menan aurin ibibaiyan on nan ima, ato sabu si’nat si’tai on ibikakaiwis. 
ACT.28.31	On God an Baiaiwab aurin on dura sabu engon auris on totor wat ikakafun men iber mes ato men iyafan tani awanai iyafotai on.
ROM.1.1	Yau Paul on Keriso Iesu an agirotin, a yau God irubineu On an baiyoyobotin amatar a On yau iyoreu On an Wasagobin an kurereb mes. 
ROM.1.2	God on ainau bag Wasagobin aurin on an aubairuruotis auris on iyaumatan, ato osi sibo buk Kakafotin amonai sigayam. 
ROM.1.3+ROM.1.4	Atonio Wasagobin min On Natun, ot ati Bada Iesu Keriso aurin: On inat Orot maiauin imatar, David an dam warar emon irat; God Toun an Ayu Kakafotinai, On rabob emon ibobaimisirai onai iyoboet On an faiwar gagaminai idura bag on God Natun. 
ROM.1.5	Keriso emon on God bobo gagamin tani iteu anat baiyoyobotiu amatar, yabin Keriso fasinai on sabu tafanam engon tutufinai on atinetewaris On aurin sititutum a sitifonabo. 
ROM.1.6	Atonio dura on omi sabu iyabon Rome womama mat aurim, omi on God iyorem Iesu Keriso ininoanai mes.
ROM.1.7	On mes yau on fef agagayam omi Rome womama yangan aurim, omi on God inuaboim a iyorem On Toun an sabu mes womatar:
ROM.1.7	Yau ababayoi God Tamat a Bada Iesu Keriso an kaber a an tuf initem.
ROM.1.8	Ainau on, yau Iesu Kerisoai on omi engon tutufin aurim on au God abikakaiwai; yabin tafanam engon on omi Iesu Keriso wobitutumai on duram sitatam. 
ROM.1.9	God isagob yau dura aifan abikakafun on dura bag—God ato yau nunuau tutufinai abiagirai, On Natun an Wasagobin akurereb aurin on. God isagob yau ra fufur On aurin ababayoi on 
ROM.1.10	omi anonosim. Yau God abifefeyanai, On an gogoiai on an werai bag nan auriu inbibasiteu on ari anan anfasiuem. 
