GEN.1.1	U poèetku stvori Bog nebo i zemlju. 
2CH.9.9	Potom dade caru sto i dvadeset talanata zlata i vrlo mnogo mirisa i dragoga kamenja; nigda više ne bi takvih mirisa kakve dade carica Savska caru Solomunu. 
2CH.9.10	I sluge Hiramove i sluge Solomunove koje donesoše zlata iz Ofira, dovezoše drveta almugima i dragoga kamenja. 
2CH.9.11	I naèini car od toga drveta almugima put u dom Gospodnji i u dom carev, i gusle i psaltire za pjevaèe; nigda se prije nijesu vidjele take stvari u zemlji Judinoj. 
2CH.9.12	A car Solomun dade carici Savskoj što god zaželje i zaiska osim uzdarja za ono što bješe donijela caru. Potom ona otide i vrati se u zemlju svoju sa slugama svojim. 
2CH.9.13	A zlata što dohoðaše Solomunu svake godine bješe šest stotina i šezdeset i šest talanata, 
2CH.9.14	Osim onoga što donošahu trgovci i oni koji prodavahu mirise; i svi carevi arapski i glavari zemaljski donošahu Solomunu zlato i srebro. 
2CH.9.15	I naèini car Solomun dvjesta štitova od kovanoga zlata, šest stotina sikala kovanoga zlata dajuæi na jedan štit, 
2CH.9.16	I tri stotine malijeh štitova od kovanoga zlata, dajuæi trista sikala zlata na jedan štitiæ. I ostavi ih car u domu od šume Livanske. 
2CH.9.17	I naèini car velik prijesto od slonove kosti, i obloži ga èistijem zlatom. 
2CH.9.18	A bijaše šest basamaka u prijestola, i podnožje od zlata sastavljeno s prijestolom, i ruèice s obje strane sjedišta, i dva lava stajahu pokraj ruèica. 
2CH.9.19	I dvanaest lavova stajaše na šest basamaka otud i odovud. Ne bi taki naèinjen ni u kojem carstvu. 
2CH.9.20	I svi sudovi iz kojih pijaše car Solomun bijahu zlatni, i svi sudovi u domu od šume Livanske bijahu od èistoga zlata; od srebra ne bješe ništa; srebro bješe ništa za vremena Solomunova. 
2CH.9.21	Jer careve laðe hoðahu u Tarsis sa slugama Hiramovijem: jedanput u tri godine vraæahu se laðe Tarsiske donoseæi zlato i srebro, slonove kosti i majmune i paune. 
2CH.9.22	Tako car Solomun bijaše veæi od svijeh careva zemaljskih bogatstvom i mudrošæu. 
2CH.9.23	I svi carevi zemaljski tražahu da vide Solomuna da èuju mudrost njegovu, koju mu dade Gospod u srce. 
2CH.9.24	I donošahu mu svi dare, sudove srebrne i sudove zlatne, i haljine i oružje i mirise, konje i mazge svake godine, 
2CH.9.25	Tako da imaše Solomun èetiri tisuæe staja za konje i kola, i dvanaest tisuæa konjika, koje namjesti po gradovima gdje mu bijahu kola i kod sebe u Jerusalimu. 
2CH.9.26	I vladaše nad svijem carevima od rijeke do zemlje Filistejske i do meðe Misirske. 
2CH.9.27	I uèini car, te u Jerusalimu bješe srebra kao kamena, a kedrovijeh drva kao divljih smokava koje rastu po polju, tako mnogo. 
2CH.9.28	I dovoðahu Solomunu konje iz Misira i iz svijeh zemalja. 
2CH.9.29	A ostala djela Solomunova prva i pošljednja nijesu li zapisana u knjizi Natana proroka i u proroèanstvu Ahije Silomljanina i u utvari Ida vidioca o Jerovoamu sinu Navatovu? 
2CH.9.30	A carova Solomun u Jerusalimu nad svijem Izrailjem èetrdeset godina. 
2CH.9.31	I poèinu Solomun kod otaca svojih, i pogreboše ga u gradu Davida oca njegova; a na njegovo mjesto zacari se Rovoam sin njegov.
2CH.10.1	Tada otide Rovoam u Sihem, jer se ondje skupi sav Izrailj da ga zacare. 
2CH.10.2	A kad èu Jerovoam sin Navatov, koji bijaše u Misiru pobjegav onamo od cara Solomuna, vrati se Jerovoam iz Misira. 
2CH.10.3	Jer poslaše, te ga dozvaše; i doðe Jerovoam i sav Izrailj i rekoše Rovoamu govoreæi: 
2CH.10.4	Tvoj je otac metnuo na nas težak jaram; nego ti sada olakšaj ljutu službu oca svojega i teški jaram koji je metnuo na nas, pa æemo ti služiti. 
2CH.10.5	A on im reèe: do tri dana doðite opet k meni. I narod otide. 
2CH.10.6	Tada car Rovoam uèini vijeæe sa starcima koji stajaše pred Solomunom ocem njegovijem dok bijaše živ, i reèe: kako svjetujete da odgovorim narodu? 
2CH.10.7	A oni mu odgovoriše govoreæi: ako se udobriš narodu i ugodiš im i odgovoriš im lijepim rijeèima, oni æe ti biti sluge svagda. 
2CH.10.8	Ali on ostavi svjet, što ga svjetovaše starci, i uèini vijeæe s mladiæima koji odrastoše s njim i koji stajahu pred njim; 
2CH.10.9	I reèe im: šta vi svjetujete da odgovorimo narodu koji mi rekoše govoreæi: olakšaj jaram koji je metnuo na nas tvoj otac. 
2CH.10.10	Tada mu odgovoriše mladiæi koji odrastoše s njim, i rekoše: ovako kaži narodu što ti reèe: otac je tvoj metnuo na nas težak jaram, nego nam ti olakšaj; ovako im reci: moj mali prst deblji je od bedara oca mojega. 
2CH.10.11	Otac je moj metnuo na vas težak jaram, a ja æu još dometnuti na vaš jaram; otac vas je moj šibao bièevima, a ja æu vas šibati bodljivijem bièevima. 
2CH.10.12	A treæi dan doðe Jerovoam i sav narod k Rovoamu kako im bješe kazao car rekav: doðite opet k meni do tri dana. 
2CH.10.13	I car im odgovori oštro, jer ostavi car Rovoam svjet staraèki, 
2CH.10.14	I odgovori im kako ga svjetovaše mladiæi, govoreæi: moj je otac metnuo na vas težak jaram, a ja æu još dometnuti na nj; otac vas je moj šibao bièevima, a ja æu bodljivijem bièevima. 
2CH.10.15	I car se ogluši naroda, jer Bog bješe tako uredio da bi potvrdio Gospod rijeè svoju što je rekao preko Ahije Silomljanina Jerovoamu sinu Navatovu. 
2CH.10.16	A kad vidje sav Izrailj da ih se car ogluši, odgovori narod caru govoreæi: kakav dio mi imamo s Davidom? nemamo našljedstva sa sinom Jesejevijem. Svak u svoj šator, Izrailju! A ti, Davide, sad gledaj svoju kuæu. Tako otide sav Izrailj u šatore svoje. 
2CH.10.17	Samo nad sinovima Izrailjevijem koji življahu po gradovima Judinijem zacari se Rovoam. 
2CH.10.18	I car Rovoam posla Adorama koji bijaše nad dankom, ali ga sinovi Izrailjevi zasuše kamenjem, te pogibe. Tada car Rovoam brže sjede na kola, te pobježe u Jerusalim. 
2CH.10.19	Tako otpade Izrailj od doma Davidova do današnjega dana.
2CH.11.1	A kad doðe Rovoam u Jerusalim, sazva dom Judin i Venijaminov, sto i osamdeset tisuæa odabranijeh vojnika, da zavojšte na Izrailja da povrate carstvo Rovoamu. 
2CH.11.2	Ali doðe rijeè Gospodnja Semaji èovjeku Božijemu govoreæi: 
2CH.11.3	Kaži Rovoamu sinu Solomunovu caru Judinu i svijem sinovima Izrailjevijem od Jude i Venijamina, i reci: 
2CH.11.4	Ovako veli Gospod: ne idite i ne bijte se s braæom svojom, vratite se svak svojoj kuæi, jer sam ja naredio tako da bude. I oni poslušaše rijeè Gospodnju i vratiše se i ne idoše na Jerovoama. 
2CH.11.5	I Rovoam sjede u Jerusalimu, i sazida tvrde gradove u zemlji Judinoj; 
2CH.11.6	Sazida Vitlejem i Itam i Tekuju, 
2CH.11.7	I Vet-Sur i Sohot i Odolam, 
2CH.11.8	I Gat i Marisu i Zif, 
2CH.11.9	I Adoraim i Lahis i Aziku, 
2CH.11.10	I Saraju i Ejalon i Hevron, koji su u zemlji Judinoj i Venijaminovoj tvrdi gradovi. 
2CH.11.11	A kad utvrdi te gradove, namjesti u njima zapovjednike, i staje za žito i za ulje i za vino, 
2CH.11.12	I u svakom gradu štitova i kopalja, i utvrdi ih jako. Tako njegov bijaše Juda i Venijamin. 
2CH.11.13	I sveštenici i Leviti, koji bijahu po svemu Izrailju, sabraše se k njemu iz svijeh krajeva svojih. 
2CH.11.14	Jer ostaviše Leviti podgraða svoja i dostojanja svoja, i otidoše u Judejsku i u Jerusalim, jer ih otjera Jerovoam i sinovi njegovi da ne vrše službe sveštenièke Gospodu. 
2CH.11.15	I postavi sebi sveštenike za visine i za ðavole i za teoce, koje naèini. 
2CH.11.16	A za njima iz svijeh plemena Izrailjevijeh koji upraviše srce svoje da traže Gospoda Boga Izrailjeva, doðoše u Jerusalim da prinesu žrtvu Gospodu Bogu otaca svojih. 
2CH.11.17	I tako utvrdiše carstvo Judino, i ukrijepiše Rovoama sina Solomunova za tri godine, jer za te tri godine hoðahu putem Davidovijem i Solomunovijem. 
2CH.11.18	A Rovoam se oženi Maeletom kæerju Jerimota sina Davidova i Avihailom kæerju Esijava sina Jesejeva, 
2CH.11.19	Koja mu rodi sinove: Jeusa i Samariju i Zama. 
2CH.11.20	A poslije nje oženi se Mahom kæerju Avesalomovom, koja mu rodi Aviju i Ataja i Zivu i Selomita. 
2CH.11.21	A ljubljaše Rovoam Mahu kæer Avesalomovu veæma od svijeh žena svojih i inoèa svojih; jer imaše osamnaest žena i šezdeset inoèa, i rodi dvadeset i osam sinova i šezdeset kæeri. 
2CH.11.22	I Rovoam postavi Aviju sina Mašina poglavarom i knezom nad braæom njegovom, jer ga šæaše postaviti carem. 
2CH.11.23	I mudro radeæi rasturi sve sinove svoje po svijem krajevima Judinijem i Venijaminovijem, po svijem tvrdijem gradovima, i dade im hrane izobila, i dovede im mnogo žena.
2CH.12.1	A kad Rovoam utvrdi carstvo i kad osili, ostavi zakon Gospodnji i sav Izrailj s njim. 
2CH.12.2	A pete godine carovanja Rovoamova doðe Sisak car Misirski na Jerusalim, jer zgriješiše Gospodu, 
2CH.12.3	S tisuæu i dvije stotine kola i sa šezdeset tisuæa konjika, i ne bješe broja narodu koji doðe s njim iz Misira, Luvejima, Suhejima i Husejima. 
2CH.12.4	I uze tvrde gradove Judine i doðe do Jerusalima. 
2CH.12.5	Tada doðe Semaja prorok k Rovoamu i knezovima Judinijem, koji se bijahu skupili u Jerusalim od Sisaka, i reèe im: ovako veli Gospod: vi ostaviste mene, zato i ja ostavljam vas u ruke Sisaku. 
2CH.12.6	Tada se poniziše knezovi Izrailjevi i car i rekoše: pravedan je Gospod. 
2CH.12.7	A kad ih vidje Gospod gdje se poniziše, doðe rijeè Gospodnja Semaji govoreæi: poniziše se, neæu ih potrti, nego æu im sada dati izbavljenje, i neæe se izliti jarost moja na Jerusalim preko Sisaka. 
2CH.12.8	Nego æe mu biti sluge da poznadu šta je meni služiti, šta li služiti carstvima zemaljskim. 
2CH.12.9	I tako doðe Sisak car Misirski u Jerusalim i uze blago doma Gospodnjega i blago doma careva, sve to uze; uze i štitove zlatne, koje bješe naèinio Solomun; 
2CH.12.10	I na njihovo mjesto naèini car Rovoam štitove od mjedi, i predade ih starješinama nad stražarima koji èuvahu vrata doma careva. 
2CH.12.11	I kad iðaše car u dom Gospodnji dolažahu stražari i nošahu ih, a poslije ih opet ostavljahu u riznicu stražarsku. 
2CH.12.12	Što se dakle ponizi, odvrati se od njega gnjev Gospodnji, i ne zatr ga sasvijem; jer još u Judi bješe dobra. 
2CH.12.13	I utvrdi se car Rovoam u Jerusalimu, i carova; jer bijaše Rovoamu èetrdeset i jedna godina kad se zacari, i sedamnaest godina carova u Jerusalimu gradu, koji izabra Gospod izmeðu svijeh plemena Izrailjevijeh da ondje namjesti ime svoje. A materi njegovoj bješe ime Nama, Amonka. 
2CH.12.14	Ali on èinjaše zlo, jer ne upravi srca svojega da traži Gospoda. 
2CH.12.15	Ali djela Rovoamova prva i pošljednja nijesu li zapisana u knjizi proroka Semaje i vidioca Ida, gdje se kazuju koljena a i ratovi koji bijahu jednako meðu Rovoamom i Jerovoamom? 
2CH.12.16	I poèinu Rovoam kod otaca svojih, i bi pogreben u gradu Davidovu; a na njegovo se mjesto zacari Avija sin njegov.
2CH.13.1	Godine osamnaeste carovanja Jerovoamova zacari se Avija nad Judom. 
2CH.13.2	Tri godine carova u Jerusalimu. Materi mu bješe ime Mihaja, kæi Urilova iz Gavaje. A bijaše rat izmeðu Avije i Jerovoama. 
2CH.13.3	I Avija izide na boj s hrabrom vojskom, èetiri stotine tisuæa izabranijeh vojnika; a Jerovoam uvrsta prema njemu vojsku, osam stotina tisuæa izabranijeh hrabrijeh vojnika. 
2CH.13.4	I sta Avija navrh brda Semarajima u gori Jefremovoj, i reèe: èujte me, Jerovoame i sav Izrailju! 
2CH.13.5	Ne trebaše li vam znati da je Gospod Bog Izrailjev predao Davidu carstvo nad Izrailjem dovijeka, njemu i sinovima njegovijem zavjetom osoljenijem? 
2CH.13.6	Ali usta Jerovoam sin Navatov, sluga Solomuna sina Davidova, i odvrže se od gospodara svojega. 
2CH.13.7	I skupiše se k njemu ljudi praznovi i nevaljalci, i odapriješe se Rovoamu sinu Solomunovu, koji bijaše dijete i strašljiva srca, te im se ne odaprije. 
2CH.13.8	Pa vi sad velite da se oprete carstvu Gospodnjemu, koje je u ruku sinova Davidovijeh, jer vas je mnogo i imate kod sebe zlatne teoce, koje vam je naèinio Jerovoam da su vam bogovi. 
2CH.13.9	Nijeste li otjerali sveštenike Gospodnje sinove Aronove i Levite? i naèinili sebi sveštenike kao narodi po drugim zemljama? ko god doðe da mu se posvete ruke s teletom i sa sedam ovnova, postaje sveštenik onima koji nijesu bogovi. 
2CH.13.10	Ali s nama je Gospod Bog, niti smo ga ostavili, a sveštenici koji služe Gospodu jesu sinovi Aronovi, i Leviti rade svoj posao; 
2CH.13.11	I pale Gospodu žrtve paljenice svako jutro i svako veèe, i kade mirisima, i hljebovi postavljeni stoje na èistom stolu, i pale se svako veèe žišci na zlatnom svijetnjaku; jer držimo što je Gospod Bog naš naredio, a vi ga ostaviste. 
2CH.13.12	Zato evo s nama je naprijed Bog i sveštenici njegovi i trube glasne da trube protivu vas. Sinovi Izrailjevi, ne vojujte na Gospoda Boga otaca svojih, jer neæete biti sreæni. 
2CH.13.13	Ali Jerovoam zavede zasjedu da im zaðu za leða, i tako Judejcima bijahu sprijed jedni a s leða zasjeda. 
2CH.13.14	I kad se obazreše Judejci, a to boj i sprijed i sastrag, te povikaše ka Gospodu a sveštenici zatrubiše u trube. 
2CH.13.15	I narod Judin opet povika, i kad vikaše narod Judin, razbi Bog Jerovoama i svega Izrailja pred Avijom i Judom. 
2CH.13.16	I pobjegoše sinovi Izrailjevi od Jude, i dade ih Bog njima u ruke. 
2CH.13.17	I pobi ih ljuto Avija i narod njegov, i pade od Izrailja pobijenijeh pet stotina tisuæa odabranijeh ljudi. 
2CH.13.18	Tako biše pokoreni sinovi Izrailjevi u to vrijeme, a sinovi Judini osiliše, jer se pouzdaše u Gospoda Boga otaca svojih. 
2CH.13.19	I Avija potjera Jerovoama, i uze mu gradove Vetilj i sela njegova, i Jesanu i sela njezina, i Efron i sela njegova. 
2CH.13.20	I Jerovoam se više ne oporavi za života Avijina; i udari ga Gospod, te umrije. 
2CH.13.21	A Avija utvrdi se, i uze èetrnaest žena, i rodi dvadeset i dva sina i šesnaest kæeri. 
2CH.13.22	A ostala djela Avijina i putovi njegovi i besjede njegove zapisane su u knjizi proroka Ida.
2CH.14.1	A kad poèinu Avija kod otaca svojih i pogreboše ga u gradu Davidovu, zacari se na njegovo mjesto Asa sin njegov. Za njegova vremena poèinu zemlja deset godina. 
2CH.14.2	I èinjaše Asa što je dobro i pravo pred Gospodom Bogom njegovijem. 
2CH.14.3	Jer obori oltare tuðe i visine, i izlomi likove njihove i isijeèe lugove njihove. 
2CH.14.4	I zapovjedi sinovima Judinijem da traže Gospoda Boga otaca svojih i da izvršuju zakon i zapovijest njegovu. 
2CH.14.5	Obori po svijem gradovima Judinijem visine i sunèane likove, i poèinu carstvo za njegova vremena. 
2CH.14.6	I sazida tvrde gradove u zemlji Judinoj, jer zemlja bijaše u miru, niti bješe rata s njim onijeh godina, jer mu Gospod dade mir. 
2CH.14.7	I reèe Judi: da sazidamo ove gradove i da ih opašemo zidom i kulama i vratima i prijevornicama, dok je zemlja naša; jer tražismo Gospoda Boga svojega, tražismo ga i dade nam mir otsvuda. I tako zidaše, i biše sreæni. 
2CH.14.8	I imaše Asa vojske trista tisuæa od Jude sa štitovima i kopljima, a od Venijamina dvjesta i osamdeset tisuæa sa štitovima i lukovima. Svi bijahu hrabri vojnici. 
2CH.14.9	I izide na njih Zara Etiopljanin s tisuæu tisuæa vojske i s trista kola, i doðe do Marise. 
2CH.14.10	I Asa izide preda nj; i uvrstaše se vojske u dolini Sefati kod Marise. 
2CH.14.11	I zavapi Asa ka Gospodu Bogu svojemu govoreæi: Gospode, tebi je ništa pomoæi množini ili nejakomu; pomozi nam, Gospode Bože naš, jer se u te uzdamo, i u tvoje ime doðosmo na ovo mnoštvo. Gospode, ti si Bog naš, ne daj da može što na te èovjek. 
2CH.14.12	I razbi Gospod Etiopljane pred Asom i pred Judom, i pobjegoše Etiopljani. 
2CH.14.13	I tjera ih Asa i narod koji bijaše s njim dori do Gerara. I popadaše Etiopljani da ih nijedan ne osta živ, jer se satrše pred Gospodom i pred vojskom njegovom; i oni odnesoše plijen velik veoma. 
2CH.14.14	I pobiše sve gradove oko Gerara, jer doðe na njih strah Gospodnji, i oplijeniše sve one gradove, jer bijaše u njima mnogo plijena. 
2CH.14.15	Pobiše i po stanovima pastirskim ljude, i odvedoše mnogo ovaca i kamila; i vratiše se u Jerusalim.
2CH.15.1	Tada duh Božji doðe na Azariju sina Odidova; 
2CH.15.2	Te otide pred Asu i reèe mu: èujte me, Aso i sve pleme Judino i Venijaminovo; Gospod je s vama, jer ste vi s njim; i ako ga ustražite, naæi æete ga; ako li ga ostavite, i on æe vas ostaviti. 
2CH.15.3	Dugo je Izrailj bez pravoga Boga i bez sveštenika uèitelja, i bez zakona. 
2CH.15.4	A da su se u nevolji svojoj obratili ka Gospodu Bogu Izrailjevu i tražili ga, našli bi ga. 
2CH.15.5	Ali u ovo vrijeme ne može se na miru odlaziti ni dolaziti; jer je nemir velik meðu svijem stanovnicima zemaljskim; 
2CH.15.6	I potiru narodi jedan drugi, i gradovi jedan drugi, jer ih Bog smete svakojakim nevoljama. 
2CH.15.7	Zato vi budite hrabri i nemojte da vam klonu ruke, jer ima plata za vaš trud. 
2CH.15.8	A kad èu Asa te rijeèi i proroštvo proroka Odida, ohrabri se, i istrijebi gadne bogove iz sve zemlje Judine i Venijaminove i iz gradova koje bješe uzeo u gori Jefremovoj, i ponovi oltar Gospodnji koji bijaše pred trijemom Gospodnjim. 
2CH.15.9	Potom sazva sve pleme Judino i Venijaminovo i došljake koji bijahu kod njih od Jefrema i Manasije i Simeuna, jer ih mnogo prebježe k njemu iz naroda Izrailjeva kad vidješe da je Gospod Bog njegov s njim. 
2CH.15.10	I skupiše se u Jerusalim treæega mjeseca petnaeste godine carovanja Asina. 
2CH.15.11	I u onaj dan prinesoše Gospodu žrtve od plijena koji dognaše, sedam stotina volova i sedam tisuæa ovaca. 
2CH.15.12	I uhvatiše vjeru da traže Gospoda Boga otaca svojih svijem srcem svojim i svom dušom svojom; 
2CH.15.13	A ko god ne bi tražio Gospoda Boga Izrailjeva, da se pogubi, bio mali ili veliki, èovjek ili žena. 
2CH.15.14	I zakleše se Gospodu glasom velikim i uz klikovanje i uz trube i rogove. 
2CH.15.15	I radovaše se sav narod Judin radi te zakletve, jer iz svega srca svojega zakleše se, i od sve volje svoje tražiše ga i naðoše ga; i Gospod im dade mir otsvuda. 
2CH.15.16	Jošte i Mahu mater svoju svrže Asa s vlasti, jer bješe naèinila u lugu idola; i Asa obali idola njezina i izlomi ga i sažeže na potoku Kedronu. 
2CH.15.17	Ali visine ne biše oborene u Izrailju, ali srce Asino bješe pravo svega vijeka njegova. 
2CH.15.18	I unese u dom Božji što bješe posvetio otac njegov i što bješe sam posvetio, srebro i zlato i sudove. 
2CH.15.19	I ne bi rata do trideset pete godine carovanja Asina.
2CH.16.1	Godine trideset šeste carovanja Asina izide Vasa car Izrailjev na Judu, i stade zidati Ramu da ne da nikomu otiæi k Asi caru Judinu ni od njega doæi. 
2CH.16.2	Tada uze Asa srebro i zlato iz riznica doma Gospodnjega i doma careva, i posla Ven-Adadu caru Sirskomu, koji življaše u Damasku, i poruèi: 
2CH.16.3	Vjera je izmeðu mene i tebe, izmeðu oca mojega i oca tvojega, evo šaljem ti srebra i zlata, hajde, pokvari vjeru koju imaš s Vasom carem Izrailjevijem, eda bi otišao od mene. 
2CH.16.4	I posluša Ven-Adad cara Asu, i posla vojvode svoje na gradove Izrailjeve, i osvojiše Ijon i Dan i Avel-Majim i sve gradove Neftalimove u kojima bijahu žitnice. 
2CH.16.5	A kad Vasa to èu, presta zidati Ramu i ostavi djelo svoje. 
2CH.16.6	Tada car Asa uze sav narod Judin, te odnesoše kamenje iz Rame i drvo, èim zidaše Vasa, i od njega sazida Gavaju i Mispu. 
2CH.16.7	A u to vrijeme doðe Ananije vidjelac k Asi caru Judinu i reèe mu: što si se pouzdao u cara Sirskoga a nijesi se pouzdao u Gospoda Boga svojega, zato se vojska cara Sirskoga izmaèe iz tvojih ruku. 
2CH.16.8	Nijesu li Etiopljani i Luveji imali velike vojske s vrlo mnogo kola i konjika? pa kad si se pouzdao u Gospoda, dade ti ih u ruke. 
2CH.16.9	Jer oèi Gospodnje gledaju po svoj zemlji da bi pokazivao silu svoju prema onima kojima je srce cijelo prema njemu. Ludo si u tom radio; zato æe otsele biti ratovi na te. 
2CH.16.10	Tada se Asa razgnjevi na proroka, i vrže ga u tamnicu, jer se rasrdi na nj za to; i potlaèi Asa neke iz naroda u to vrijeme. 
2CH.16.11	Ali gle, djela Asina, prva i pošljednja, eno zapisana su u knjizi o carevima Judinijem i Izrailjevijem. 
2CH.16.12	I razbolje se Asa trideset devete godine carovanja svojega od nogu, i bolest njegova bi vrlo teška, ali ni u bolesti svojoj ne traži Gospoda nego ljekare. 
2CH.16.13	I tako poèinu Asa kod otaca svojih, i umrije èetrdeset prve godine carovanja svojega. 
2CH.16.14	I pogreboše ga u grobu njegovu, koji iskopa sebi u gradu Davidovu, i metnuše ga na postelju koju bješe napunio mirisavijeh stvari i masti zgotovljenijeh vještinom apotekarskom, i spališe mu ih vrlo mnogo.
2CH.17.1	Tada se zacari Josafat sin njegov na njegovo mjesto, i ukrijepi se na Izrailja. 
2CH.17.2	I ponamješta vojsku po svijem tvrdijem gradovima Judinijem, i ponamješta straže po zemlji Judinoj i po gradovima Jefremovijem, koje zadobi Asa otac njegov. 
2CH.17.3	I bijaše Gospod s Josafatom, jer hoðaše prvijem putovima Davida oca svojega i ne tražaše Vala. 
2CH.17.4	Nego Boga oca svojega tražaše i po zapovijestima njegovijem hoðaše, i ne èinjaše kao sinovi Izrailjevi. 
2CH.17.5	Zato utvrdi Gospod carstvo u ruci njegovoj, i sav narod Judin davaše dare Josafatu, te imaše veliko blago i slavu. 
2CH.17.6	I srce se njegovo oslobodi na putovima Gospodnjim, te još obori visine i lugove u Judeji. 
2CH.17.7	I treæe godine svoga carovanja posla knezove svoje Ven-Aila i Ovadiju i Zahariju i Natanaila i Miheju da uèe po gradovima Judinijem; 
2CH.17.8	I s njima Levite: Semaju i Nataniju i Zevadiju i Asaila i Semiramota i Jonatana i Adoniju i Toviju i Tov-Adoniju, Levite, i s njima Elisamu i Jorama sveštenike. 
2CH.17.9	I uèahu po Judeji imajuæi pri sebi knjigu zakona Gospodnjega, i prohoðahu sve gradove Judine uèeæi narod. 
2CH.17.10	I doðe strah Gospodnji na sva carstva po zemljama oko Jude, te ne vojevaše na Josafata. 
2CH.17.11	I sami Filisteji donošahu Josafatu dare i danak u novcu; i Arapi dogonjahu mu stoku, po sedam tisuæa i sedam stotina ovnova i po sedam tisuæa i sedam stotina jaraca. 
2CH.17.12	Tako napredovaše Josafat i podiže se veoma; i sazida u Judeji kule i gradove za žitnice. 
2CH.17.13	I imaše mnogo dobra po gradovima Judinijem, i vojnika, hrabrijeh junaka u Jerusalimu. 
2CH.17.14	A ovo je broj njihov po domovima otaca njihovijeh; od Jude tisuænici: Adna vojvoda, s kojim bijaše tri stotine tisuæa hrabrijeh junaka. 
2CH.17.15	A za njim Joanan vojvoda, s kojim bijaše dvjesta i osamdeset tisuæa; 
2CH.17.16	A za njim Amasija sin Zihrijev, koji se dragovoljno dade Gospodu, i s njim bijaše dvjesta tisuæa hrabrijeh junaka. 
2CH.17.17	A od Venijamina: hrabri junak Elijada, s kojim bijaše dvjesta tisuæa naoružanijeh lukom i štitom; 
2CH.17.18	A za njim Jozavad, s kojim bijaše sto i osamdeset tisuæa naoružanijeh za boj. 
2CH.17.19	Ovi služahu caru osim onijeh koje ponamješta car po tvrdijem gradovima u svoj zemlji Judinoj.
2CH.18.1	I Josafat imajuæi veliko blago i slavu oprijatelji se s Ahavom. 
2CH.18.2	I poslije nekoliko godina otide k Ahavu u Samariju; i nakla mu Ahav mnogo ovaca i volova i narodu koji bijaše s njim, i nagovaraše ga da poðe na Ramot Galadski. 
2CH.18.3	I reèe Ahav car Izrailjev Josafatu caru Judinu: hoæeš li iæi sa mnom na Ramot Galadski? A on reèe: ja kao ti, narod moj kao tvoj narod; hoæemo s tobom na vojsku. 
2CH.18.4	Još reèe Josafat caru Izrailjevu: pitaj danas šta æe Gospod reæi. 
2CH.18.5	Tada sazva car Izrailjev proroke svoje, èetiri stotine ljudi, i reèe im: hoæemo li iæi na vojsku na Ramot Galadski, ili æu se okaniti? A oni rekoše: idi, jer æe ga Gospod dati u ruke caru. 
2CH.18.6	A Josafat reèe: ima li tu još koji prorok Gospodnji da ga pitamo? 
2CH.18.7	A car reèe Josafatu: ima još jedan èovjek preko kojega bismo mogli upitati Gospoda; ali ja mrzim na nj, jer mi ne prorièe dobra nego svagda zlo; to je Miheja sin Jemlin. A Josafat reèe: neka car ne govori tako. 
2CH.18.8	Tada car Izrailjev dozva jednoga dvoranina, i reèe mu: brže dovedi Miheju sina Jemlina. 
2CH.18.9	A car Izrailjev i Josafat car Judin sjeðahu svaki na svom prijestolu obuèeni u carske haljine, sjeðahu na poljani kod vrata Samarijskih, i svi proroci prorokovahu pred njima. 
2CH.18.10	I Sedekija sin Hananin naèini sebi gvozdene rogove, i reèe: ovako veli Gospod: ovijem æeš biti Sirce dokle ih ne istrijebiš. 
2CH.18.11	Tako i svi proroci prorokovahu govoreæi: idi na Ramot Galadski, i biæeš sreæan, jer æe ga Gospod predati caru u ruke. 
2CH.18.12	A poslanik koji otide da dozove Miheju reèe mu govoreæi: evo proroci prorièu svi jednijem glasom dobro caru; neka i tvoja rijeè bude kao njihova, i govori dobro. 
2CH.18.13	A Miheja reèe: tako da je živ Gospod, govoriæu ono što reèe Bog moj. 
2CH.18.14	I kad doðe k caru, reèe mu car: Miheja! hoæemo li iæi na vojsku na Ramot Galadski, ili æu se okaniti? A on reèe: idite, biæete sreæni, i daæe vam se u ruke. 
2CH.18.15	A car mu reèe: koliko æu te puta zaklinjati da mi ne govoriš nego istinu u ime Gospodnje? 
2CH.18.16	Tada reèe: vidio sam sav narod Izrailjev razasut po planinama kao ovce koje nemaju pastira, jer reèe Gospod: ovi nemaju gospodara, neka se vrate svak svojoj kuæi s mirom. 
2CH.18.17	Tada reèe car Izrailjev Josafatu: nijesam li ti rekao da mi neæe prorokovati dobra nego zlo? 
2CH.18.18	A Miheja reèe: zato èujte rijeè Gospodnju: vidjeh Gospoda gdje sjedi na prijestolu svom, a sva vojska nebeska stajaše mu s desne i s lijeve strane; 
2CH.18.19	I Gospod reèe: ko æe prevariti Ahava cara Izrailjeva da otide i padne kod Ramota Galadskoga? Još reèe: jedan reèe ovo a drugi ono. 
2CH.18.20	Tada izide jedan duh, i stavši pred Gospoda reèe: ja æu ga prevariti. A Gospod mu reèe: kako? 
2CH.18.21	Odgovori: iziæi æu, i biæu lažljiv duh u ustima svijeh proroka njegovijeh. A Gospod mu reèe: prevariæeš ga i nadvladaæeš, idi i uèini tako. 
2CH.18.22	Zato sada eto, Gospod je metnuo lažljiv duh u usta tijem prorocima tvojim; a Gospod je izrekao zlo po te. 
2CH.18.23	Tada pristupi Sedekija sin Hananin, i udari Miheju po obrazu govoreæi: kojim je putem otišao duh Gospodnji od mene da govori s tobom? 
