MAT.1.1	A wo li nwer nyi etꞌtohngo ji Jisos Kraist lohng no, ji jolo mmon a Devid,
ACT.24.18	Eji n jo lim ano, bo kehm ba kpir-m go etahk Esowo, eji m ma bum elname saang. Ellong ane jolem a name, nfem anyehng anyehng jolem. 
ACT.24.19	Jus jindiki ji lohngo go Esia jolo o. Bo ba fuumu re bo ba go ega esamahr ba ka-m ebi, joare n li go nfem a bo.
ACT.24.20	Eji ane bao ki li, nong, ane baa tooro ebi ji bo nyehn-m, n limi no, eji n yiimi go bo esamahr elam,
ACT.24.21	sehngem ejum na ajehng jia ji m bungu no, eji n yiimi go bo esamahr. Tib go esi jio ji elnyahme ngubjing go elkv, ji ji wahnge lela n wob esub a.”
ACT.24.22	Feliks ji kahne mbang nyi Jisos nob nob, kehm bulu elam jio, kehm bungu re, “Lisias ntubesi a nsoja lꞌba, owo m bahke elam ejahne lam, fere kimi.”
ACT.24.23	Á kehm tongo ntubesi a nsoja noko re á baabe Pol. Á jo ka Pol eyake, jo taame ate ebe jo ba nyehn-e, fere ka-e ejum ajehng ajehng ji lꞌrin-e.
ACT.24.24	Eji ma kang abon afung ntiil, Feliks kehm koko nkal ewe ba a ne, no jolo nne a Jus. Mbing enye, bo jo lung-e re Drusilla. Feliks kehm tumu tv Pol re á ba, ba tong-e bada mbang nyi Jisos Kraist.
ACT.24.25	Eji Pol kehme elbungu bade ana nne bahke lehke eno go esamahr Esowo, fere bung bade ana nne bahke jo bob elne, a elam ji kpꞌbake go esꞌsong, Feliks, ala kehm-e teele. Á kehm faange re, “A li ma song anv. N lꞌbel eyake, m bahk-a kpe lung.”
ACT.24.26	Á jo tiri re, Pol bahk-e kake ngu. Esi jio ji wahnge á jo lung-e ngare anyehng anyehng, bo jo tub aka.
ACT.24.27	Eji ma kang nnya ebal, Porsius Festus kehm koko nji etul nyi Feliks. Feliks jo sebe re á lim nnoobo ka Jus, owo eji á tahme no, á tahme Pol sa go ngbekobo.
ACT.25.1	Eji Festus ma ba go ejahbe ji á bahke fili, eji ma kang nfung era, á kehm tahme go Sisaria, sehng song rehng go Jerusalem. 
ACT.25.2	Atubesi abalimajom, a atubesi Jus kehm tooro Pol tong-e, fere gboong-e re, 
ACT.25.3	á lim bo nnoobo, ko Pol ba a ne go Jerusalem. Tibre bobtohko lam wuku wuku re bo biiri go mbang wul-e.
ACT.25.4	Festus kehm faange re, “Pol noa, kpeke wob ngbekobo go Sisaria. N kpꞌsebe re me n gulu eljeke ona. 
ACT.25.5	Nong, atubesi ejahbe ejahne toon-m song rehng go Sisaria, song ka-e ebi, joare yeblim ebi ajehng ajehng.”
ACT.25.6	Festus kehm kange a bo ejum nfung enehkeni, fundiki nfung ewubu, kehm soro tahm song rehng go Sisaria. Etoono efung behko á kehm jehke go ege a nji elam, kehm tongo re, bo ko Pol ba a ne. 
ACT.25.7	Eji Pol ba no, Jus ji lohng go Jerusalem ba, kehm ba yiimi sennge Pol kak, jo kpu agburu afem tvv kun-e. Bo tikem ma tib ekahmekahme ejum.
ACT.25.8	Pol kehm kehme eltooro re á yehke elne. Á bungu re, “Atahm nya Jus n gboom. Etahk Esowo n soodem, jol ntul a Rom we n soodem.”
ACT.25.9	Festus jo sebe re á lim nnoobo ka Jus. Owo wahnge á kehm bahbe Pol re, “Anv, a kpꞌsebe re, wo je go Jerusalem, bo kpe lam elam eja go egame esamahra?”
ACT.25.10	Pol kehm faange re, “Anv, n yim go esamahr eti elam ji ntul a Rom. A wo nobo re bo lam-m. Wofono antahng kpꞌkahne re, ebi ajehng ajehng limm, ji n limi Jus. 
ACT.25.11	Joare me n gbo ntahm, fere lim ebꞌbi ajehng ajehng ji fuumu re bo wul-m, n nehme seb re me n for go elkv nio. Lꞌfere jol re bo kp-m ebi ka mbol mbol, eji n ki lim ejumjum, nnene limm, no bahk-m ma rod kak bo go abo. N kpꞌsebe re me n lennge elam ejame tv goji ntul a Rom.”
ACT.25.12	Festus kehm toobo a abalamalam ebe, kehm faange re, “Woblennge elam eja tv go Rom. Go wo a bahke jeke goji ntul a Rom.”
ACT.25.13	Kange kan abon afung ntiil, ntul Agrippa, a Bernis kehm bake go Sisaria re bo ba kak ntul a Festus nnyo. 
ACT.25.14	Eji bo ma kang abon afung ntiil o, Festus kehm jo lennge elam ji Pol ka bo re, “Nne awohng li ana, no Feliks tahm-e no sa go ngbekobo.
ACT.25.15	Eji n jolo go Jerusalem atubesi abalimajom, a anebkul Jus jo tong-m bada ne, fere tong-m re me n kimi ebi ka-e. 
ACT.25.16	N kehm faange bo re, ‘Eljini enahre, wahr anebe Rom, e kpehme ka na ka nne ebi, sehngem re nne noo tohko kpiri ane bao ba ko nfem kun-e, fere bel eyake ji á bungu, yehke elne.’ 
ACT.25.17	Eji bo ba no, n laangem nkpel anyehng anyehng. Etoono efung behko n kehm soro ji go eti elam, kehm tongo re bo ko Pol ba a ne.
ACT.25.18	“Eji ane ba jo ka-e ebi mehle no yiimi, jo tooro, n wukem ebi ajehng ajehng ji á limi no, ana n tiri no. 
ACT.25.19	Jolo na jol nfaabe alimi nyi nyi bada mbang nyi bo kpꞌkake Esowo, a elkohn nne awohng no kpo no, no bo jo lung-e re Jisos, ji Pol jo bung re á kpeke li go elkpin. 
ACT.25.20	N joom kahn ana m bahke lꞌlim, kehm kahne nsol nyio o. Owo n kehm bahbe Pol re, joare á bahke jeke go Jerusalem, kpe song lennge elam eje go. 
ACT.25.21	Pol jo sebe re á lennge elam eje tv goji ntul a Rom. Á fere tong re, bo nong-e, á sa woomo go ngbekobo. Owo n kehm tongo re, bo jo baab-e tete me n tum-e tv goji ntul a Rom.”
ACT.25.22	Ntul Agrippa kehm bungu tong Festus re, “Kor-m kor re, me n tob wuk-e go ege a nnyo antahng.”
ACT.25.22	Festus kehm faange re, “Behna wo, a bahk-e wuku.”
ACT.25.23	Etoono efung behko Agrippa abola Bernis kehm bake a egburu ellub, sehng song yel go ekpꞌkpa esub, go atubesi nsoja, a atubesi nfam. Festus kehm tumu ane re bo song ko Pol ba a ne.
ACT.25.24	Festus kehm bungu re, “Ntul Agrippa, a ane bako wahn, nyehnen nne no Jus kpee ji li a, a ji li go Jerusalem jo gbiing-m, fere jo rabe re, á kpeem fuumu re á jol go elkpin. 
ACT.25.25	Ji n sebe no kahn li re, ejumjum á limem ji fuumu re bo wul-e. Ana yefono tongo re, á bahke lennge elam eje tv go Rom, n kehm taame re, m bahk-e tumu tv goji ntul a Rom. 
ACT.25.26	N nehme kahn akahmekahme alum nya m bahke nyꞌnyon go nwer tum tv ntul a Rom. Owo wahng ka m m-e ko ba a ne go egahne esamahr, asehngesehnge wo ntul Agrippa. Ngare nyi e lꞌbahb-e abahbe kpee, owo fundiki m bahke bele ejum ji m bahke nyono. 
ACT.25.27	Egame, n kpꞌtiri re, nobem re nne tum nne a ngbekobo tv, eji á ki lennge ebi ji bo m-e ka.”
ACT.26.1	Ntul Agrippa kehm bungu tong Pol re, “Anv, a li ma bung yehke elna.”
ACT.26.1	Pol kehm soro tanne ebo ebe, kehm kehme elbungu re á yehke elne. Á bungu re, 
ACT.26.2	“Ntul Agrippa, n kpꞌtiri re esi ma-m nob lela, eji m ma bel eyake ji m bahke bungu yehke elname go ega esamahr bada nsol nyi Jus kp-m kake ebi. 
ACT.26.3	Tibre a kpꞌkahne eljini ni Jus, a afemfem ebo kpee. Owo wahng ka n kp-a gboongo re wo lub wuung-m atung.
ACT.26.4	“Jus kpee kpꞌkahne eljini ename, bomo ngare nyi n jolo ntiil. Tibre n jo kono eljolo a ane ebame go Jerusalem. 
ACT.26.5	Bo kpꞌkahne go wuku wuku re, n jo limi eljini ni Farisis ji jo sahb bꞌbum atahm enyahre,
ACT.26.6	“Anv, n yim eti elam jia, tibre n kpꞌkunu ekpu go nsol nyi Esowo nyame no tong babnso ejahre, 
ACT.26.7	nsol nyio nyi ane ebahre, ewubu etꞌtohngo ebbal, jo kunu ekpu re bo bahke bele, eji bo kpꞌkake Esowo atv a njul, a ntim a ntim ebo. Ntul Agrippa, ekunukpu jio ji wahng ka, Jus kp-m kake ebi. 
ACT.26.8	Jen ji wahnge, wahn Jus, kp-n riidi ana re wahn taame re, Esowo kpo nyahme akvne?
ACT.26.9	“Me fvfo, n jo tob tiri re, m bahke tiki lim mbang anyehng anyehng, eji mbing nyi Jisos ji Nasaret lꞌtan. 
ACT.26.10	N jo limi ano go Jerusalem. N jo ko nsahm goji atubesi abalimajom, fere jo song bob aneb Esowo gbalee kak bo ngbekobo. Eji bo jo gohro lam elam, fere kimi re bo bahke wulu bo, n jo tꞌtob taame. 
ACT.26.11	Nkpel tvv n jo song kake bo erem go ntahk ero nyi Jus. N jo gare re me n sennge bo ntim, bo su Kraist. Eltim jo rak-m tob bo sehng, owo wahnge n jo tob je ajahbe nyandiki, song nohk bo fvfo.
ACT.26.12	“Esi jio ji wahng ka, n kehm jeke song ko nsahm goji atubesi abalimajom, kehm tahme go Damaskus. 
ACT.26.13	Ntul, ano wo jolo no. Eji e jo jen asongo ngare efin, n kehm nyehne ellennge ni lohngo go elbung, ni jo sahb yꞌya sehnge njul, kehm yake tub-m, a ane ba jo jen a name. 
ACT.26.14	Wahr ane kpee kehm gboko go ndi. N kehm wuku nne no bungu a name go alum Hibru re, ‘Sol, Sol, jen ji wahng ka a kp-m nohko anae? Bahke wofono antahng yam ana nfong nyi kpo sahn ekpade tv nfono, eji bo m-e kahn nlehke go ekpade.’
ACT.26.15	“N kehm bahbe re, ‘Wo nne awo, Ntul?’
ACT.26.15	“Ntul a Jisos kehm soro bung re, ‘Me Jisos wo, ji a kpꞌnohko. 
ACT.26.16	Mehl yiimi! M ma-a kpiri lela, fere yehk-a re, wo jol nlokeltum ewame, fere jo yiimi ntianse enyame go nsol kpee nyi a ma nyehn lela, a nsol nya m bahk-a kpe tib go esꞌsong. 
ACT.26.17	M bahk-a tahre yehke go abo nya aneb Israel, fere yehk-a go abo nya ane baka baka ba m bahk-a tumu tv bo. 
ACT.26.18	A bahke bo amahr lennge, eji bo lꞌfere lohng go ejannge, feere ga ellennge, eji bo lꞌfere lohng go elwo ni nnehm, feere goji Esowo. Bo lꞌfere taame tv-m, bo bahke bele eltahmeka go bo abiafem, fere bel eyake go ellong ane ba Esowo ma yehke.’
ACT.26.19	“Ntul Agrippa, ano wo wahnge n ki faabe alum nya n wuku no, nya lohngo go elbung. 
ACT.26.20	M bomo alum Esowo abungu go Damaskus, sehng song rehng go Jerusalem sehng asongo tete rehng go ajahbe nya li go Judea, fere tob bung tong ane baka baka ba ki li Jus re, nne awohng awohng gbo ndon go ege abiafem, feere goji Esowo, fere jo lim eljini ni bahke jo tib re, yeblohko gbo ndon.
ACT.26.21	Esi jia ji wahnge Jus bob-m no go etahk Esowo, jo gare ana bo bahk-m wulu.
ACT.26.22	“Tete sik anv Esowo kp-m nkake nkake ebo. Owo wahng ka n yim ana go egahne esamahr, kpi ntianse yiimi, fere tong nne awohng awohng, afi jolo mmonse, afi jolo nnenkul. Ejumjum limm, ji n kpꞌbungu, sehngem nyao nya Moses, a anyehnamahr Esowo bungu no re bahke limi, nya nya n kpꞌtob bung,
ACT.26.23	nya li re, Kraist bahke nyehne erem kpo, fere jol ngbokambang a nne no bahke nyahme go elkv,
ACT.26.24	Pol gohro bung kan ano me, Festus kehm rabe re, “Pol, wobgbo esahl!
ACT.26.25	Pol kehm faange re, “Egburu ntul a Festus, esahl n ka gbo. Alum enyame nya n kpꞌbungu, n kpꞌbungu nseenga nseenge, li go etingitingi. 
ACT.26.26	Tibre ntul Agrippa kpꞌkahne nsol nyia, owo wahng ka n kpꞌbungu a ne gbul gbul gbuul. N kpꞌsahb kꞌkahn re, ejumjum limm, ji á ki jo wuk, fere kahn. Tibre nsol nyio limem go nkpohko.
ACT.26.27	Ntul Agrippa, anv, a kpꞌtaame tv abanyehnamahr Esowoa? N kpꞌkahne re, a kpꞌtaame.”
ACT.26.28	Agrippa kehm faange Pol re, “Mmongare ana noa, a kpꞌtiri re, a bahk-m ma sennge eltim n jol nne a Kraista?”
ACT.26.29	Pol kehm faange re, “Afi mmongare ntiil wo, afi fere labe na ekidi, n kpꞌkake ero ka Esowo, jol wo ntahngtahng sang, wahn ane kpee ba wuk-m no lela re wahn jol ana me n li no, sehngem agbekobo nyaa nya ń lꞌkꞌwoomo.”
ACT.26.30	Ntul Agrippa, ntul a Festus, a Bernis, bo kehm mehle yiimi, a egom ane bako fvfo, 
ACT.26.31	kehm lohngo ekpꞌkpa jio, fere jo bung atemtem re, “Ejumjum limm, ji nne noa limi no, ji fuumu re á woomo go ngbekobo, jol ji fuumu re bo wul-e.”
ACT.26.32	Agrippa kehm bungu tong Festus re, “Li re nne noa ka lennge elam eje tv goji ntul a Rom, kehn e jol-e ma yehke yake.”
ACT.27.1	Eji bo toobo no re, wahr yel go egbang tahm go Itali, bo kehm koko Pol, a aneb agbekobo bako, kak ntubesi a nsoja awohng go ebo, no bo jo lung-e re Julius ji woomo go ellong nsoja nyi bo jo lung re, ellong nsoja nyi ntul Agostos. 
ACT.27.2	E kehm yele egbang bi lohngo go Adramitium ba, bi yahke tahm go ajahbe nyao nya li go Esia, nya li nkpe alahb, adi nyao nya agbang kpo kono eltehme. E kehm tahme asongo. Aristarkus ji lohng go Tesalonaika ji Masedonia tꞌtob toon-r fvfo.
ACT.27.3	Etoono efung behko e kehm song rehng go Saidon. Julius jo bumu Pol ndok ndok, fere jo yak-e re á song nyehn ate ebe, eji bo lꞌka-e ejum ajehng ajehng ji m-e rin. 
ACT.27.4	E kehm tahme o asongo, song sehng Saiprus sa go ebobkal. Tibre nfeb jo gbiing-r sehng. 
ACT.27.5	E kehm siiri aya ma li kohlo Silisia, a Pamfilia, fere sehng o song rehng go Mira nyi li go Lisa. 
ACT.27.6	Owo ntubesi a nsoja nyehne egbang bi lohngo go Aleksandria kpꞌtahme go Itali. Á kehm-r kake go egbang bio, e tahm.
ACT.27.7	Ngare nyio jolo ejahkjahk ngare area. Egbang bio jo jene beem. Eji ma kang afung tvv, e kehm song rehng kohlo Knidus. Nfeb nongem re, wahr sehng asongo. E kehm fere tannge, feere go Salmone, sehng Krit sa go eboblum. 
ACT.27.8	Eji e jo sehng nkpe egbuk nkpe egbuk nyi Krit, ngare nyio kpe jol ejahkjahk ngare area, tete e kehm song rehng go edi ji bo jo lung re, Edi ji nobo eljolo, ji agbang kpo tehme, ji li kohlo Lasea.
ACT.27.9	E kange afung tvv ona. Ngare nyio efin gbale go aya sehng. Tibre efung bi Jus jo bade njal ebsehng. Owo Pol kehm tubu bo elle re, 
ACT.27.10	“Babnsoo wahn, n kpꞌkahne re, eljen enahre ni e fi a, bahke gbale efin sehng, a erem. Fundiki egbang bahke wake, nsol tan, fundiki ane bake tane elkpin ebo.”
ACT.27.11	Alum nya nfono egbang, a nya ntubesi egbang, nya nya ntubesi a nsoja jo ga wuungu atung sehnge nya Pol. 
ACT.27.12	Edi jio ji egbang bio jolo no gaam nob re agbang jol o ngare elkoko. Ane gbalee ba tubu bo elle re bo wob tahm, eji fundiki bo lꞌnok ano ano rehng Feniks, song jol o tete elkoko nio mal. Feniks tob li ejahbe Krit. Edi jio li edi ji nfeb kil jo lohng ba.
ACT.27.13	Eji mmonfeb no nse bomo ellimi go ejang aya bio, ane bao kehm tiri re, bo li ma lim ana bo toobo no. Owo bo kehm wobo akuungu nya jolo ana nlo, nya bo tubu kak alahb re egbang yiimi, jo fing nkpe egbuk nkpe egbuk nyi Krit.
ACT.27.14	Tvtv ona nfeb nyi nnen a nnen nyi bo jo lung re nfeb egbuk kehm soro lohng egbuk ba, kehm kehme ellimi. 
ACT.27.15	Nfeb jo yehke na yehke egbang asongo. Bo joom kpe ma soongo esi egbang. E kehm fere yake elsoongo, tibre nfeb jo yehke na yehke egbang tv edi ajehng ajehng. 
ACT.27.16	Eji e song rehng go mmojahbe no li go elka alahb, no bo kpo lung re Kloda, e kehm fere jo sehng nkpe egbuk nkpe egbuk. Owo nfeb kehm tele ntiil. Bo kehm noko, tahre egbang bi nse bi laake nkpe, 
ACT.27.17	rod kak atahng egbang bi nnen. Bo kehm sebe alehke, te egbang bi nnen tꞌtahne tꞌtahne. Tibre bo jo fꞌfahl re egbang li ma bahm go erikehndi ji li go nkpe egbuk nyi Libia. Owo bo kehm soro fannge afara go egbang, yake egbang jo fab asongo.
ACT.27.18	Eji nfeb tahne sehng, egbang kehm kehme elgbiingi na gbiingi go alahb. Owo etoono efung behko bo kehm kehme nsol are nyi bo kake go egbang raade, tuubu kak go alahb. 
ACT.27.19	Etoono efung behko bo kehm kehme nsol egbang raade, tuubu kak alahb fvfo. 
ACT.27.20	Afung tvv e kpeem jo nyehn njul, a alonlo. Nfeb jo limi na lim lim lim, tikem rahke. E joom kpe kunu ekpu re e bahke kpe kpin.
ACT.27.21	Eji ane bao ma ji njal ekidi ma lab. Pol kehm song bung tong bo re, “Ate ebame wahn, ń jol-m wuku, eji n tong-n no re, wahn kꞌtahm go Krit, kehn nsol ana nyia jolem tane, jol kehn erem ana bia e jolem nyehne. 
ACT.27.22	N kp-n tongo re, wahn bob eltim. Nnene limm, no bahke tane elkpin ene, sehngem re egbang bi bahke tane. 
ACT.27.23	Nyaane atv, enjel nyi Esowo bi n tohk-e no, fere kp-e kake yiimi kohl-m, 
ACT.27.24	kehm bungu re, ‘Pol, ka kpe fahl! A bahke tiki yiimi go esamahr ntul a Rom. Esowo ma-a ka elkpin ane baa kpee, ba wob a na go egbang, tib go ege a nnoobo.’ 
ACT.27.25	Owo wahnge n kp-n tongo re, wahn bob eltim, ate ebame wahn. N kpꞌtaame tv Esowo re, bahke lohko lim jang jang ana n wuku no. 
ACT.27.26	Nfeb bahke yehke egbang song rehng a nahre go ejahbe ji li go elka alahb.”
ACT.27.27	Eji ma kang ewuba nfung eni, ngare nyio egbang kpi nfabe nfabe asongo go aya ma bo kpo lung re Adria, nlum atv, abafingegbang kehm kehme eltiri re, bo yahke ba elrehnge go egbuk. 
ACT.27.28	Owo bo kehm gare, kahn ana alahb rahbe no. Jolo efut atahl arakera. Eji bo kpe fab ntiil rehng esꞌsong, bo kehm yake nlehke, kpe kak, kehm sebe kahn re, jolo efut atahl ani a ngbahk ewubu. 
ACT.27.29	Bo kehm kehme elfahle re, egbang ebahre bahke fabe, song kahd kak atal. Owo bo kehm fannge ekuungu emni bi jolo ana nlo, kak alahb, kehm kake ero re, edi lub lennge. 
ACT.27.30	Abafingegbang kehm kehme elgare re bo weele ebo be. Ngare nyio nyi bo kehme mmogbang noo fannge re bo kak alahb, fere lim awak re bo fi song fannge akuungu nyao nya li ana nlo go esi egbang, kak alahb.
ACT.27.31	Pol kehm bungu tong ntubesi a nsoja, a nsoja enye re, “Tohko tiki jol re abafingegbang baa, woomo go egbang bi nnen, ń nehm ma tahre elkpin enahne.”
ACT.27.32	Nsoja nyio kehm soro kiimi alehke nya bo gbade egbang bi nse, egbang bi nse fooro yel alahb, fab tahm.
ACT.27.33	Ngare nyio edi yahke lennge. Pol kehm tongo bo kpee re, bo li nsol alehke. Á kehm bungu re, “Lela ewubu a nfung eni nyi a, nyi ḿ ma ji njal, ń kala kpe li ejumjum. 
ACT.27.34	Anv, n kp-n gboongo re, wahn li nsol. Bahk-n eko ka. Jol ellv esi enahne anehng anehng nehm tan.”
ACT.27.35	Á bungu kan ano mal me, á kehm soro rod ebred, kak Esowo saam go esamahr ane kpee, kehm kehme elbakke li. 
ACT.27.36	Bo ane kpee kehm bobo eltim, tob li nsol. 
ACT.27.37	E jolo ane atahl awubu atahl ara ane elku a nne awohng ba woomo go egbang bio. 
ACT.27.38	Ngare nyio eji nne awohng awohng ma li nsol wohngo, bo kehm yehke nkohl nyi bo kake egbang, saade kak go alahb, eji lꞌlim egbang yaare, kꞌga kpe lub.
ACT.27.39	Eji efungfu se no, bo tikem liingi edi ji bo yahke rehng. Ji bo nyehne no, bo nyehne edi ana nkpohko aya, a elga ona ni jolo erikehndi erikehndi. Owo bo kehm tiri re, bo lꞌfere mal, bo bahke fingi egbang song rehng go egbuk. 
ACT.27.40	Bo kehm soro kiimi alehke akuungu nyao nya jolo ana nlo, nya bo kake go alahb, fere song fannge alehke nya bo gbade ejum ji bo kpo ko soongo egbang, fere song tab afara nya jolo go esi egbang wahre, fere nyange, eji nfeb lꞌgbul egbang tahm a bi go elga. 
ACT.27.41	Esi egbang kehm soro song bahm go erikehndi, joom kpe ma yuudu. Nnahb egbang kehm wake, tib go nsahm ebuku. 
ACT.27.42	Nsoja nyio kehm toobo re bo wul aneb agbekobo bao, eji nne awohng awohng lꞌkꞌbe ngare nyi bo lꞌkehme alahb nyok. 
ACT.27.43	Ntubesi a nsoja noo jo sebe re á tahre Pol. Owo á kehm soro sahde bo re, bo kꞌlim ano. Á kehm tongo ane ba jo mal alahb anyoko re, bo gbo mbang nyok song rehng go egbuk, 
ACT.27.44	fere tong egom jehka re, bo jabbe ajang nti, a ajang egbang toono bo. Ano wo jolo no, e kehm tahre elkpin enahre, rehng go egbuk.
ACT.28.1	Eji wahr ane kpee, e ma nyok lohng, owo e kehm kahne re, ejahbe jio bo kpo lung re Malta. 
ACT.28.2	Afono ejahbe bao ona jo gbaam-r sehng. Bo kehm kono agun ka-r. Tibre ngare nyio elahb ebbom elnake, alohk jo fꞌfili.
ACT.28.3	Eji Pol song rak nkun ba a nyi re á ba kak agun, nnyo kehm soro lohng nkun nyio, kpenng-e go ebo. Tibre agun nyao jo fubu sehng. 
ACT.28.4	Eji afono ejahbe nyehne nnyo nyio m-e kpennge go ebo, bo kehm kehme elbungu atemtem re, “Nne noo lohko li nwulane, nfaabe anyehng anyehng limm. Jol eji á ma fꞌfor aya, Esowo m-e demme na o.”
ACT.28.5	Pol kehm soro mahd nnyo nyio kak agun, jol ejumjum we limem.
ACT.28.6	Ane bao jo siki re bo nyehn, joare Pol bahke tungu, fundiki á bahke tuulu gbo kpo. Eji bo ma seenge, ekidi ma lab, eji ejumjum kil-e eltiki lim, bo kehm fere yaange nnyo, fere jo bung re, “Ye Esowo bi.”
ACT.28.7	Ebgbe jolo o kpidi kpidi, bi ntubesi ejahbe no bo jo lung-e re Publius bahme no. Á kehm-r gbaame, ko-r tahm a nahre go ege etahk. E kange nfung era a ne. 
ACT.28.8	Ngare nyio nyi nde a Publius noongo go edilnong jo yam arumbum, fere jo yam ala alung. Pol kehm jeke song nyehn-e, fere kak ero, kun-e ebo, á nob eyam ebe. 
ACT.28.9	Eji nkpokosi nyia limi no, aneb ayam bako kpee ba jolo ejahbe jio kehm bake, bo nobo ane kpee. 
ACT.28.10	Bo kehm-r yare ka nsol gbalee. Re wahr kehm yele egbang tahm, bo kak-r nsol gbalee go egbang, nyi rin-r no.
ACT.28.11	Eji ma kang nnyahng era, e kehm yele go egbang bi jolo o ngare elkoko, bi lohngo go Aleksandria ba. Egbang bio o bele elokelom ji bo jo lung re Ayafele. 
ACT.28.12	Eji e rehnge go Sirakus, e kehm kange o nfung era, 
ACT.28.13	kehm wobo tahm song rehng go Regium. Etoono efung behko nfeb kehm kehme ellimi, nyi jo lohng go ejang Malta. Owo eji ma kang nfung ebal e kehm rehnge go Puteoli. 
ACT.28.14	E nyehne abon Esowo o, bo kehm-r tongo re, wahr kang a bo nfung esehma. Owo e kehm soro sehng, song rehng go Rom. 
ACT.28.15	Abon Esowo ba jolo go Rom, eji bo wuku re, wahr ebba, bo kehm bake ba wan-r go are ma Appius. Bandiki wan-r go Tres Taberna. Eji Pol nyehne bo, á kehm kake Esowo saam, fere bob eltim.
ACT.28.16	Eji e song rehng go Rom, bo kehm yake Pol re á jol edi jꞌje eje eje, a nne a nsoja awohng no jo baab-e.
ACT.28.17	Eji ma kang nfung era, Pol kehm lungu atubesi Jus ba jolo go Rom. Bo ba kono kan edi ajehng, á kehm bungu tong bo re, “Abonanee, jol eji n ki lꞌlim ane ebahre ejumjum, jol atahm nya babnso ejahre n soodem, bo bohk na bohk bob-m kak go ngbekobo go Jerusalem, fere faak-m kak anebe Rom go ebo. 
ACT.28.18	Eji bo ma lam elam ejame, bo kehm tahme re bo yehk-m yake, tibre bo sebe kahn re, ejumjum limm, ji bahke wahnge bo wul-m. 
ACT.28.19	Eji anebe Jus tene re bo ki-m yehke yake, jol eji ki-m kꞌkor re me n lennge elam ejame tv goji ntul a Rom, n lennge na lennge, jol ejumjum m belem ji m bake bungu tob ane ebame. 
ACT.28.20	Owo wahng ka, n sebe re me n nyehn-n fere bung a nahne. Tibre nne noo no Israel kp-e kunu ekpu, ye wo wahnge bo ma-m kak agbekobo nyaa.”
ACT.28.21	Bo kehm-e faange re, “E ka tiki bel nwer anyehng anyehng nyi lohng go Judea, nyi bungu bada na. Jol nne ejahbe ewahre awohng awohng limm, no ma lohng go ba ana ba bung ebꞌbi ajehng ajehng bada na. 
ACT.28.22	E kpꞌsebe re wahr kahn ntir atahng enya. Tibre wahr kpꞌkahne re, edi ajehng ajehng ane kpꞌbungu tob mmollong ane bao ba a wob no.”
ACT.28.23	Bo kehm kunu afung, ellong ane gbalee kehm bake go etahk Pol. Á kehm kehme eltooro, bomo efungfu tete elgung ba, fere lennge atahm nya Moses, a awer nya abanyehnamahr Esowo nyono no, tong bo bade etul bi Esowo, eji á lꞌsennge bo ntim, bo feere goji Jisos. 
ACT.28.24	Egom jindiki tꞌtaame tv alum nya á jo bung. Egom jehko taamem.
ACT.28.25	Jus kehm kehme nfaabe lim atemtem, eji Pol ma gohro bung alum nyaa re, “Etingi Etohko lohko bung etingitingi, eji á bungu sehng go nnyo mi nnyehnamahr Aisaya tong babnso ejahre re,
ACT.28.26	“ ‘Song goji ane bao, wo song tong bo re,
ACT.28.26	Etingitingi, ḿ bahke jo wuk na wuk, ń nehm kahn ana lohngo no.
ACT.28.26	Ḿ bahke jo seenge na seenge, ń nehm nyehn.
ACT.28.27	Tibre asi ane bao ebfere tahne.
ACT.28.27	Bobsahde atung ebo.
ACT.28.27	Bobbulu amahr ebo.
ACT.28.27	Ki li ano, kehn bo kpꞌnyehne, fere jo wuk, kahn, fere sennge,
ACT.28.27	feere go egame, eji n lꞌlim bo, bo nob.’ ”
ACT.28.28	Pol kehm kpe bung re, “Nobo re wahn kahn re, etib bia bi eltahre ni Esowo, bobtiingi ane baka baka ba ki li Jus. Bo bahke wuungu atung.” 
ACT.28.29	Pol bungu kan ano mal me, Jus kehm tahme a nfaaba nfaabe asongo.
ACT.28.30	Pol kange nnya ebal go etahk ji á yaame no. Á jo gbaame ane kpee ba jo ba, ba nyehn-e. 
ACT.28.31	Á jo bungu alum Esowo bade etul bi Esowo, fere jo tib ane bada Ntul a Jisos Kraist gbul gbul gbuul. Nnene jolem no jo sahd-e.
ROM.1.1	Me Pol, me wo kpꞌnyono nwer nyia, me ji li nlokeltum no Jisos Kraist, ji Esowo lung-m no re me n jol ntiingetib, fere yehk-m re me n tiingi nnoobo etib bi Esowo,
ROM.1.2	bi Esowo nyame no mahne mahne sehng go anyo nya abanyehnamahr ba nyono no kak go mbarebara nwer Esowo.
ROM.1.3	Nnoobo etib bio li bada Mmon ewe. Ana nne, bo jel-e kak go etꞌtohngo ji Devid.
ROM.1.4	Go eyaame ji Etingi Etohko ji li eje eje, á jolo Mmon no Esowo, Jisos Kraist Ntul ewahre. Esowo tibi jia go ege egburu nsahm, eji á nyahm-e go elkv,
ROM.1.5	ye ji ma wahnge Esowo ma-r ka nnoobo, fere ka-r eltum ni nnoobo etib atiingi, eji e lꞌwahnge egom ane bandiki go nnahb anyehng anyehng nyi li go njini taame, fere jo wuk Esowo tib esi mbing nyi Jisos. 
ROM.1.6	Wahn tob wob go ellong nio, wahn ji Jisos Kraist ma-n lung. 
