GEN.1.1	No princípio, quando Deus criou o céu e a terra
ISA.59.18	Vai dar a cada um o que merece:
ISA.59.18	o furor para os adversários,
ISA.59.18	a represália para os inimigos,
ISA.59.18	atingindo mesmo os que estão longe.
ISA.59.19	Então os do Oriente hão de temer o 
ISA.59.19	e os do Ocidente respeitar a sua glória.
ISA.59.19	A sua vinda será como torrente impetuosa
ISA.59.19	impelida pelo sopro do 
ISA.59.20	Então virá um libertador para 
ISA.59.20	e para os que se afastam do crime, em Jacob.
ISA.59.20	É ele mesmo quem o declara
ISA.59.21	E declara ainda mais:
ISA.59.21	«É esta a minha 
ISA.59.21	o meu espírito que repousa sobre ti,
ISA.59.21	as minhas palavras que coloquei na tua boca,
ISA.59.21	não se afastarão da tua boca,
ISA.59.21	nem da boca dos teus filhos,
ISA.59.21	nem da boca dos teus netos.
ISA.59.21	Sou eu, o 
ISA.59.21	desde agora e para sempre.»
ISA.60.1	Levanta-te e brilha, Jerusalém,
ISA.60.1	porque a tua luz está a chegar!
ISA.60.1	A glória do 
ISA.60.2	As trevas cobrem a terra, e a escuridão, os povos;
ISA.60.2	mas a ti, o 
ISA.60.2	A sua glória vai aparecer sobre ti!
ISA.60.3	Então as nações encaminhar-se-ão para a tua luz,
ISA.60.3	e os reis serão atraídos para o esplendor da tua aurora.
ISA.60.4	Olha com atenção à tua volta,
ISA.60.4	e vê como todos eles se reuniram e veem a ti.
ISA.60.4	Os teus filhos vêm de longe
ISA.60.4	e as tuas filhas são trazidas aos ombros.
ISA.60.5	Ao veres isto, ficarás radiante de felicidade;
ISA.60.5	o teu 
ISA.60.5	ao ver que as riquezas do mar são despejadas junto de ti
ISA.60.5	e os tesouros das nações te são entregues.
ISA.60.6	Serás inundada por uma multidão de camelos,
ISA.60.6	caravanas de Madiã e de Efá.
ISA.60.6	De Sabá, virão todos, trazendo ouro e 
ISA.60.6	enquanto proclamam os louvores do 
ISA.60.7	Os rebanhos da região de Quedar vão-te ser entregues,
ISA.60.7	os carneiros de Nebaiot estarão ao teu serviço.
ISA.60.7	Serão apresentados no meu 
ISA.60.7	como vítimas agradáveis,
ISA.60.7	e farei resplandecer a glória do meu 
ISA.60.8	Quem é toda esta gente?
ISA.60.8	Parecem-se a uma nuvem que corre,
ISA.60.8	ou a uma multidão de pombos que voltam ao pombal.
ISA.60.9	São navios que navegam para aqui,
ISA.60.9	aparecendo em primeiro lugar
ISA.60.9	os grandes navios de Társis.
ISA.60.9	Trazem os teus filhos que vêm de longe
ISA.60.9	e com eles a sua prata e o seu ouro.
ISA.60.9	Vêm glorificar o 
ISA.60.9	que assim te enche de honra.
ISA.60.10	Os estrangeiros reconstruirão as tuas muralhas,
ISA.60.10	e os seus reis estarão ao teu serviço;
ISA.60.10	se eu, o 
ISA.60.10	agora quero mostrar-te o meu amor e boa vontade.
ISA.60.11	As tuas portas ficarão sempre abertas;
ISA.60.11	não serão fechadas nem de dia nem de noite,
ISA.60.11	para te trazerem as riquezas das nações,
ISA.60.11	e os seus reis com a sua comitiva.
ISA.60.12	Qualquer povo ou rei que não te servir
ISA.60.12	será destruído.
ISA.60.12	Esses povos serão totalmente arrasados.
ISA.60.13	O melhor das florestas do Líbano será para ti,
ISA.60.13	madeiras de cipreste, de pinho e de buxo,
ISA.60.13	para ornarem o meu 
ISA.60.13	E assim vou mostrar o esplendor do trono
ISA.60.13	em que me sento.
ISA.60.14	Aqueles que te oprimiam virão a ti de cabeça baixa;
ISA.60.14	os que te desprezavam vão prostrar-se a teus pés.
ISA.60.14	E tu serás chamada «a cidade do 
ISA.60.14	«a 
ISA.60.15	Tu eras uma cidade abandonada e desprezada
ISA.60.15	que ninguém ia visitar.
ISA.60.15	Mas agora farei de ti um motivo de orgulho e alegria
ISA.60.15	para toda a Humanidade futura.
ISA.60.16	As nações e os seus reis serão as tuas amas de leite,
ISA.60.16	e então saberás que sou eu, o 
ISA.60.16	que o teu Redentor é o Poderoso de Jacob.
ISA.60.17	Em vez do bronze, vou trazer-te ouro,
ISA.60.17	prata, em vez do ferro,
ISA.60.17	bronze, em vez da madeira,
ISA.60.17	ferro, em vez das pedras.
ISA.60.17	Como inspetor vou dar-te a paz
ISA.60.17	e como governador, a justiça.
ISA.60.18	Não se ouvirá mais falar de violência na tua terra,
ISA.60.18	nem de ruína e destruição dentro das tuas fronteiras.
ISA.60.18	Vais poder chamar às tuas muralhas «salvação»
ISA.60.18	e às tuas portas «louvor».
ISA.60.19	Já não será o Sol que te iluminará durante o dia,
ISA.60.19	nem a Lua, durante a noite.
ISA.60.19	O 
ISA.60.19	o teu esplendor, para sempre.
ISA.60.20	Não mais se porá o teu Sol
ISA.60.20	e a tua Lua não mais se esconderá,
ISA.60.20	porque o 
ISA.60.20	E então será o fim do teu luto
ISA.60.21	Todos os teus habitantes formarão um povo de 
ISA.60.21	e hão de possuir esta terra para sempre.
ISA.60.21	Serão como uma árvore que eu plantei,
ISA.60.21	a obra das minhas mãos,
ISA.60.21	para manifestarem a minha glória.
ISA.60.22	A família mais pequena terá mil pessoas,
ISA.60.22	a mais modesta será como uma nação poderosa.
ISA.60.22	Eu sou o 
ISA.60.22	e em breve farei com que tudo isto aconteça.
ISA.61.1	O 
ISA.61.1	porque o 
ISA.61.1	para levar a 
ISA.61.1	para curar os desesperados,
ISA.61.1	para proclamar a libertação aos exilados
ISA.61.1	e aos prisioneiros a liberdade
ISA.61.2	para anunciar o ano da graça do 
ISA.61.2	e o dia em que o nosso Deus se vai vingar dos inimigos;
ISA.61.2	para consolar os que estão de luto
ISA.61.3	para colocar na cabeça dos enlutados de 
ISA.61.3	uma coroa em vez da 
ISA.61.3	um perfume de felicidade em vez da cara triste,
ISA.61.3	um vestido de festa em vez do rosto abatido.
ISA.61.3	Então serão chamados: «Terebintos do Deus Justo,
ISA.61.3	jardim plantado para a glória do 
ISA.61.4	Reconstruirão o que há muito estava em ruínas,
ISA.61.4	levantarão as casas em escombros,
ISA.61.4	restaurarão as cidades arrasadas por muitas gerações.
ISA.61.5	Os estrangeiros ficarão lá
ISA.61.5	a apascentar os vossos rebanhos,
ISA.61.5	gente de fora cultivará os vossos campos e vinhas.
ISA.61.6	Sereis chamados «
ISA.61.6	e proclamados «
ISA.61.6	Haveis de comer da fortuna das nações
ISA.61.6	e substituí-las na sua glória
ISA.61.7	Em vez da dupla desonra, que padecestes
ISA.61.7	e das injúrias que, contentes,
ISA.61.7	os inimigos vos prepararam,
ISA.61.7	ireis receber também a dobrar
ISA.61.7	a riqueza das terras dos vossos inimigos,
ISA.61.7	e haveis de viver sempre com alegria.
ISA.61.8	Eu, o 
ISA.61.8	mas odeio o roubo e o crime.
ISA.61.8	Por isso, vou recompensá-los de modo fiel
ISA.61.8	e farei com eles uma 
ISA.61.9	Os seus descendentes serão conhecidos
ISA.61.9	em toda a parte e entre todas as nações;
ISA.61.9	os que os viram reconhecerão
ISA.61.9	que sois a raça que o 
ISA.61.10	Rejubilo de alegria no 
ISA.61.10	e exulto de contentamento no meu Deus,
ISA.61.10	porque a sua salvação cobre-me como um vestido de festa
ISA.61.10	e a sua vitória, como um manto de triunfo.
ISA.61.10	Sou como um noivo com o traje solene de casamento
ISA.61.10	como uma 
ISA.61.11	Na verdade, assim como a terra faz nascer os rebentos,
ISA.61.11	ou como um jardim faz brotar as sementes,
ISA.61.11	assim o 
ISA.61.11	diante de todas as nações.
ISA.62.1	Pelo amor que tenho a 
ISA.62.1	pelo amor de Jerusalém não descansarei,
ISA.62.1	até que apareça a aurora da sua justiça
ISA.62.1	e a sua salvação brilhe como uma chama.
ISA.62.2	As nações hão de ver a tua justiça,
ISA.62.2	todos os reis contemplarão a tua glória;
ISA.62.2	hão de chamar-te um nome novo
ISA.62.2	que o próprio 
ISA.62.3	Serás como uma coroa brilhante
ISA.62.3	na mão do 
ISA.62.3	como um diadema real
ISA.62.3	na palma do teu Deus.
ISA.62.4	Não mais serás chamada «cidade abandonada»,
ISA.62.4	nem a tua terra será «terra devastada».
ISA.62.4	Antes serás chamada «preferida do 
ISA.62.4	e à tua terra chamarão «a bem casada».
ISA.62.4	Na verdade, terás a preferência do 
ISA.62.4	e a tua terra terá um esposo.
ISA.62.5	Assim como um rapaz se casa com uma jovem,
ISA.62.5	também aquele que te reconstrói
ISA.62.5	Assim como a 
ISA.62.5	também tu serás a alegria do teu Deus.
ISA.62.6	Sobre as tuas muralhas, Jerusalém,
ISA.62.6	coloquei sentinelas.
ISA.62.6	Elas nunca se poderão calar,
ISA.62.6	nem de dia nem de noite.
ISA.62.6	«Os que se lembram do 
ISA.62.6	não se deem descanso
ISA.62.7	e não permitam que ele descanse
ISA.62.7	até que dê a Jerusalém estabilidade
ISA.62.7	e faça dela a admiração da terra.»
ISA.62.8	O 
ISA.62.8	garantindo pelo poder da sua mão direita e do seu braço:
ISA.62.8	«Nunca mais deixarei que o teu trigo
ISA.62.8	sirva de alimento para os teus inimigos,
ISA.62.8	e que o teu vinho novo, que tanto te custou a cultivar,
ISA.62.8	sirva de bebida aos estrangeiros.
ISA.62.9	Os que hão de comer o trigo, louvando o 
ISA.62.9	são os que o ceifarem;
ISA.62.9	os que hão de beber o vinho no meu 
ISA.62.9	são os que o vindimarem.»
ISA.62.10	Saiam! Saiam depressa pelas portas!
ISA.62.10	Preparem o caminho para o povo,
ISA.62.10	aplanem, aplanem a calçada
ISA.62.10	e limpem-na das pedras,
ISA.62.10	levantem um sinal para que os povos vejam.
ISA.62.11	O 
ISA.62.11	Digam, pois, ao povo de 
ISA.62.11	«Vem aí o teu salvador
ISA.62.11	traz consigo, o prémio da sua vitória
ISA.62.11	e a recompensa o acompanha
ISA.62.12	Esses serão chamados «povo 
ISA.62.12	«resgatados pelo 
ISA.62.12	E tu serás chamada «a desejada»,
ISA.62.12	«cidade não abandonada».
ISA.63.1	Quem é este que vem de Bosra, capital de Edom
ISA.63.1	com as roupas tingidas de vermelho?
ISA.63.1	Quem é este tão ricamente vestido
ISA.63.1	e que avança cheio de força?
ISA.63.1	— Sou eu!
ISA.63.1	Aquele que pronuncia a sentença justa
ISA.63.1	e tem todo o poder para salvar.
ISA.63.2	— Mas por que é que as tuas roupas estão vermelhas
ISA.63.2	e parecem as dos que pisam uvas no lagar?
ISA.63.3	— Trabalhei sozinho no lagar,
ISA.63.3	sem que nenhum outro povo
ISA.63.3	Pisei os povos na minha cólera,
ISA.63.3	esmaguei-os no meu furor.
ISA.63.3	O seu sangue salpicou as minhas roupas
ISA.63.3	e fiquei todo manchado
ISA.63.4	Porque este é o dia em que decidi vingar-me;
ISA.63.4	chegou o tempo do resgate.
ISA.63.5	Procurei, mas não vi ninguém para me ajudar.
ISA.63.5	Fiquei admirado por ninguém me apoiar
ISA.63.5	Então eu mesmo pus mãos à obra
ISA.63.5	e a minha indignação foi o meu apoio.
ISA.63.6	Esmaguei os povos na minha ira,
ISA.63.6	embriaguei-os na minha indignação
ISA.63.6	e fiz correr o seu sangue pela terra.
ISA.63.7	Vou recordar as misericórdias do 
ISA.63.7	e os motivos para o louvar:
ISA.63.7	tudo quanto fez por nós o 
ISA.63.7	toda a sua 
ISA.63.7	tudo quanto lhes retribuiu com amor,
ISA.63.7	e com a sua imensa bondade.
ISA.63.8	Ele disse de Israel: «Estes são o meu povo,
ISA.63.8	os filhos que não me hão de atraiçoar!»
ISA.63.8	E foi para eles o seu salvador.
ISA.63.9	Em todas as suas amarguras,
ISA.63.9	não foi um 
ISA.63.9	mas foi ele mesmo que os salvou
ISA.63.9	foi ele que os resgatou
ISA.63.9	com o seu amor e a sua clemência;
ISA.63.9	foi ele que se encarregou deles e os transportou
ISA.63.9	durante toda a sua história passada.
ISA.63.10	Mas eles revoltaram-se
ISA.63.10	e ofenderam o 
ISA.63.10	E então tornou-se inimigo deles e pôs-se a combatê-los.
ISA.63.11	O povo recordou-se da história antiga
ISA.63.11	nos tempos de Moisés:
ISA.63.11	«Onde está aquele que tirou este povo do mar,
ISA.63.11	tanto os pastores como o seu rebanho?
ISA.63.11	Onde está aquele que pôs o seu santo espírito
ISA.63.11	no meio do seu povo?
ISA.63.12	Era ele que avançava à direita de Moisés
ISA.63.12	com o glorioso poder do seu braço.
ISA.63.12	Dividiu o mar diante deles,
ISA.63.12	conquistando para si um título eterno de glória.
ISA.63.13	Foi ele que os encaminhou pelo fundo do mar,
ISA.63.13	como um cavalo pela planície,
ISA.63.13	sem nunca os deixar tropeçar.
ISA.63.14	Mais pareciam um rebanho de gado
ISA.63.14	a descer por entre desfiladeiros,
ISA.63.14	conduzidos ao lugar de repouso pelo 
ISA.63.14	Foi assim, 
ISA.63.14	conquistando para ti um nome glorioso.
ISA.63.15	Desde a tua morada santa e esplêndida nos céus,
ISA.63.15	repara bem e vê!
ISA.63.15	Onde está o teu zelo e a tua valentia?
ISA.63.15	Onde estão os teus sentimentos de ternura?
ISA.63.15	Já se esgotou a tua misericórdia para comigo?
ISA.63.16	Mas tu és o nosso pai
ISA.63.16	Abraão, nosso antepassado, não nos conheceu
ISA.63.16	e Israel não se importou connosco;
ISA.63.16	só tu, 
ISA.63.16	e o teu nome, desde sempre, é «nosso Libertador».
ISA.63.17	Por que nos deixas extraviar dos teus caminhos,
ISA.63.17	e que o nosso 
ISA.63.17	Volta, por amor de nós, teus 
ISA.63.17	as tribos da tua herança.
ISA.63.18	Por pouco tempo o teu povo santo tomou posse do país;
ISA.63.18	os inimigos espezinharam o teu santo 
ISA.63.19	Desde há muito que não governas sobre nós,
ISA.63.19	nem somos chamados pelo teu nome!
ISA.63.19	Quem dera que rasgasses os céus e descesses!
ISA.63.19	Diante de ti as montanhas haviam de estremecer!
ISA.64.1	Serias como um fogo que abrasa a lenha seca,
ISA.64.1	ou que faz ferver a água.
ISA.64.1	Os teus adversários ficariam a saber quem tu és;
ISA.64.1	as nações haviam de tremer diante de ti,
ISA.64.2	pelos prodígios inesperados que realizarias.
ISA.64.2	Ao desceres, as montanhas haviam de tremer, diante de ti.
ISA.64.3	Nunca alguém ouviu dizer
ISA.64.3	e jamais olho algum pôde ver
ISA.64.3	que algum deus, exceto tu,
ISA.64.3	tenha feito o que tu fazes por quem em ti confia.
ISA.64.4	Vais ao encontro dos que praticam com alegria o que é 
ISA.64.4	e se recordam dos teus caminhos para os seguir.
ISA.64.4	Se tu te irritaste foi por causa dos nossos 
ISA.64.4	mas seremos salvos seguindo os caminhos de outrora
ISA.64.5	Somos todos pessoas 
ISA.64.5	todas as nossas melhores ações
ISA.64.5	são como um pano manchado de sangue;
ISA.64.5	estamos murchos como as folhas secas
ISA.64.5	e as nossas maldades arrebatam-nos como o vento.
ISA.64.6	Não há quem te invoque,
ISA.64.6	nem se esforce para procurar apoio em ti,
ISA.64.6	porque desviaste de nós o teu olhar
ISA.64.6	e afastaste-te de nós, devido às nossas iniquidades.
ISA.64.7	Mas tu, 
ISA.64.7	Nós somos o barro e tu és o oleiro;
ISA.64.7	foste tu que nos moldaste a todos
ISA.64.8	Não te irrites, 
ISA.64.8	nem lembres para sempre das nossas faltas;
ISA.64.8	olha com atenção que todos nós somos o teu povo.
ISA.64.9	As tuas cidades santas estão despovoadas,
ISA.64.10	O nosso 
ISA.64.10	onde os nossos antepassados celebravam os teus louvores,
ISA.64.10	tornou-se presa das chamas.
ISA.64.10	Este lugar que nós amávamos acima de tudo
ISA.64.10	ficou em completa ruína.
ISA.64.11	Diante de tudo isto, 
ISA.64.11	Vais permanecer calado e humilhar-nos ainda mais?
ISA.65.1	Eu estava pronto a responder, mas não me consultaram,
ISA.65.1	estava à disposição, mas não me procuraram.
ISA.65.1	A uma nação que não me invocava
ISA.65.1	eu dizia: «Estou aqui! Estou aqui!»
ISA.65.2	Estendi as mãos todos os dias a um povo rebelde,
ISA.65.2	que andava por maus caminhos,
ISA.65.2	seguindo apenas os seus planos pessoais.
ISA.65.3	É um povo que me provoca descarada e continuamente:
ISA.65.3	oferecem 
ISA.65.3	e queimam 
ISA.65.4	vão sentar-se nos sepulcros
ISA.65.4	e passar algum tempo nas grutas
ISA.65.4	comem carne de porco
ISA.65.4	e põem nos seus pratos alimentos 
ISA.65.5	Dizem a quem deles se aproxima:
ISA.65.5	«Cuidado! Não te aproximes de mim,
ISA.65.5	por causa da minha santidade.»
ISA.65.5	Estas práticas deixam-me a arder em cólera,
ISA.65.5	como fogo que arde continuamente.
ISA.65.6	Tomei nota, por escrito, de tudo isto
ISA.65.6	e não me calarei; vou obrigá-los a pagar por tudo;
ISA.65.6	vou lançar-lhes com tudo à cara.
ISA.65.7	Vou tomar em conta conjuntamente
ISA.65.7	as vossas faltas e as faltas dos vossos antepassados.
ISA.65.7	É o 
ISA.65.7	Também eles me ultrajavam nas montanhas e colinas,
ISA.65.7	queimando incenso em honra dos falsos deuses.
ISA.65.7	Hei de juntar o que eles fizeram desde antigamente
ISA.65.7	e lançar-lhes com tudo à cara.
ISA.65.8	Eis o que diz o 
ISA.65.8	«Quando se vê que um cacho de uvas tem sumo,
ISA.65.8	não se destrói porque promete bom vinho»,
ISA.65.8	assim farei eu também, por causa dos meus fiéis;
ISA.65.8	não quero deitar tudo a perder.
ISA.65.9	Darei descendentes a Jacob,
ISA.65.9	e de Judá sairá o possuidor das minhas montanhas;
ISA.65.9	aqueles que eu escolhi serão os seus proprietários;
ISA.65.9	os meus fiéis habitarão lá.
ISA.65.10	Para aqueles que de entre o meu povo me procurarem
ISA.65.10	a planície de Saron será pastagem das ovelhas
ISA.65.10	e o vale de Acor logradouro para as vacas
ISA.65.11	Quanto aos que abandonaram o 
ISA.65.11	e esqueceram a minha montanha santa,
ISA.65.11	que serviram refeições e taças cheias de vinho
ISA.65.11	a Gad e Meni, deuses do destino,
ISA.65.12	eu é que vos vou dar o destino duma morte sangrenta;
ISA.65.12	hão de ser degolados com os joelhos por terra.
ISA.65.12	Porque eu chamei-vos, mas não me responderam,
ISA.65.12	falei-vos, mas não me ouviram;
ISA.65.12	fizeram o mal que me desagrada
ISA.65.12	e escolheram aquilo de que eu não gosto.
ISA.65.13	Por isso, assim declara o 
ISA.65.13	«Enquanto os que me são fiéis hão de comer,
ISA.65.13	vós passareis fome;
ISA.65.13	os que me são fiéis terão o que beber,
ISA.65.13	mas vós morrereis de sede;
ISA.65.13	os que me são fiéis hão de rejubilar,
ISA.65.13	e vós ficareis envergonhados.
ISA.65.14	Os que me são fiéis cantarão cheios de felicidade,
ISA.65.14	enquanto vós haveis de gritar cheios de dor,
ISA.65.14	haveis de vos lamentar de 
ISA.65.15	Para os meus escolhidos,
ISA.65.15	os vossos nomes servirão de maldição:
ISA.65.15	“Que o 
ISA.65.15	Mas para abençoar os que me são fiéis
ISA.65.15	será invocado um nome bem diferente!
ISA.65.16	Aquele que quiser ser abençoado, neste país,
ISA.65.16	será abençoado em nome do único Deus verdadeiro;
ISA.65.16	aquele que quiser jurar, neste país,
ISA.65.16	jurará pelo nome do único Deus verdadeiro.
ISA.65.16	Na verdade, as angústias do passado serão esquecidas,
ISA.65.16	desaparecerão para longe da minha vista.»
ISA.65.17	«Eu, o 
ISA.65.17	de modo que não pensareis mais no passado,
ISA.65.17	nem vos preocupareis por coisas de outrora
ISA.65.18	Alegrem-se e rejubilem por aquilo que eu vou criar,
ISA.65.18	pois vou criar uma Jerusalém cheia de entusiasmo
ISA.65.18	e um povo cheio de alegria.
ISA.65.19	Eu mesmo me entusiasmo com esta Jerusalém,
ISA.65.19	e me alegro com este povo;
ISA.65.19	e não se hão de ouvir mais nem choros nem gritos
ISA.65.20	Não haverá ali criança que morra de tenra idade,
ISA.65.20	nem adulto que não chegue à velhice,
ISA.65.20	pois será ainda novo o que morrer aos cem anos,
ISA.65.20	e quem não chegar a esta idade será como um amaldiçoado.
ISA.65.21	Construirão casas e habitarão nelas,
ISA.65.21	plantarão vinhas e comerão o seu fruto.
ISA.65.22	Não construirão casas para os outros gozarem delas,
ISA.65.22	nem plantarão vinhas para os outros as aproveitarem.
ISA.65.22	O meu povo viverá longos anos como as árvores
ISA.65.22	e os meus escolhidos
ISA.65.22	hão de gozar dos bens que produzirem
ISA.65.23	Nunca mais se hão de fatigar em vão,
ISA.65.23	nem hão de gerar filhos para os ver morrer,
ISA.65.23	porque serão a descendência bendita do 
ISA.65.23	tanto eles como os seus filhos.
ISA.65.24	Ainda antes de me chamarem, eu lhes hei de responder,
ISA.65.24	antes de acabarem de falar, eu os hei de ouvir.
ISA.65.25	O lobo e o cordeiro pastarão juntos,
ISA.65.25	o leão e o boi comerão palha
ISA.65.25	e o alimento da serpente será o pó da terra.
ISA.65.25	Sou eu, o 
ISA.65.25	Não se cometerá mais o mal e a destruição
ISA.65.25	em todo o meu monte 
ISA.66.1	Eis o que o 
ISA.66.1	«O céu é o meu trono e a terra o estrado dos meus pés
ISA.66.1	Que género de 
ISA.66.1	ou que lugar para eu repousar?
ISA.66.2	Tudo quanto existe é obra das minhas mãos;
ISA.66.2	repito: tudo me pertence.
ISA.66.2	Eu olho com atenção é para o pobre
ISA.66.2	e para o que tem o 
ISA.66.2	pois escutam a minha palavra com todo o respeito.
ISA.66.3	Há quem imole um touro,
ISA.66.3	mas é capaz também de matar um homem;
ISA.66.3	há quem sacrifique uma ovelha,
ISA.66.3	mas é capaz também de degolar um cão;
ISA.66.3	há quem apresente uma oferta de farinha,
ISA.66.3	mas é capaz também de apresentar sangue de porco;
ISA.66.3	há quem ofereça o 
ISA.66.3	mas honra também os falsos deuses.
ISA.66.3	Para os que escolheram seguir tais caminhos
ISA.66.3	e se comprazem em tais abominações,
ISA.66.4	também eu escolhi entregá-los aos seus caprichos,
ISA.66.4	e fazer vir sobre eles o que eles mesmos temem.
ISA.66.4	Porque eu chamei, mas ninguém respondeu,
ISA.66.4	falei, mas não ouviram.
ISA.66.4	Fizeram o mal que me desagrada
ISA.66.4	e escolheram aquilo de que eu não gosto.»
ISA.66.5	Ouçam o que diz o 
ISA.66.5	vós que aceitais a sua palavra com todo o respeito.
ISA.66.5	Há compatriotas vossos que vos detestam
ISA.66.5	e vos excluem por causa da vossa fidelidade ao 
ISA.66.5	Eles dizem: «Que o 
ISA.66.5	para podermos comprovar a vossa alegria!»
ISA.66.5	Mas eles é que serão humilhados.
ISA.66.6	Ouçam o barulho que vem da cidade,
ISA.66.6	este ruído que vem do templo!
ISA.66.6	É a voz do 
ISA.66.6	conforme aquilo que eles merecem.
ISA.66.7	Antes das contrações do parto, ela deu à luz,
ISA.66.7	antes que as dores viessem, teve um menino.
ISA.66.8	Quem alguma vez ouviu tal
ISA.66.8	ou viu coisa semelhante?
ISA.66.8	Porventura um povo nasce num só dia
ISA.66.8	ou uma nação nasce duma só vez?
ISA.66.8	Mas foi este o caso de 
ISA.66.8	mal sentiu as contrações, deu à luz os seus filhos.
ISA.66.9	E agora pergunta o 
ISA.66.9	«Se eu conduzo a mulher até ao fim da gravidez,
ISA.66.9	iria impedir que lhe nasça o filho?
ISA.66.9	Se eu preparo o nascimento,
ISA.66.9	será para o tornar impossível?»
ISA.66.10	Vós, que amais Jerusalém,
ISA.66.10	alegrai-vos e rejubilai com ela.
ISA.66.10	Todos quantos têm partilhado com ela do seu luto
ISA.66.10	regozijem-se agora com o seu regozijo.
ISA.66.11	E assim podereis amamentar-vos dos seus peitos
ISA.66.11	e saciar-vos dos seus consolos,
ISA.66.11	saboreando a delícia dos seus peitos abundantes.
ISA.66.12	Eis o que o 
ISA.66.12	«Vou levar a Jerusalém a paz como um rio abundante
ISA.66.12	e as riquezas das nações
ISA.66.12	como uma torrente que transborda.
ISA.66.12	Sereis amamentados, levados ao colo,
ISA.66.12	e acariciados sobre os joelhos.
ISA.66.13	Assim como uma mãe consola o seu filho,
ISA.66.13	também eu vos consolarei.
ISA.66.13	E é em Jerusalém que haveis de ser consolados.
ISA.66.14	Ao ver tudo isto
ISA.66.14	o vosso coração ficará cheio de alegria;
ISA.66.14	o vosso corpo retomará vigor como a erva na primavera.»
ISA.66.14	O 
ISA.66.14	mas a sua indignação aos seus inimigos.
ISA.66.15	Eis como o 
ISA.66.15	ele vai chegar no meio dum fogo,
ISA.66.15	e os seus carros serão como um furacão.
ISA.66.15	Vem dar a paga com o furor da sua ira
ISA.66.15	e amaldiçoar com a chama do seu fogo.
ISA.66.16	É pelo fogo e pela espada
ISA.66.16	que o 
ISA.66.16	E muitos cairão sob os seus golpes.
ISA.66.17	São aqueles que se consagram e se 
ISA.66.17	para os seus rituais nos jardins
ISA.66.17	e se colocam atrás daquele que fica ao centro,
ISA.66.17	aqueles que comem carne de porco ou de rato,
ISA.66.17	que são coisas abomináveis.
ISA.66.17	É o 
ISA.66.17	Todos esses hão de morrer de uma vez por todas
ISA.66.18	Eu conheço as suas obras e os seus planos!
ISA.66.18	Eu, o 
ISA.66.19	Colocarei no meio delas um sinal: enviarei os que forem salvos aos povos de Társis, de Pul, da Etiópia e da Líbia, especialistas do arco, de Tubal, da Grécia e das ilhas longínquas, onde nunca se ouviu falar de mim e onde nunca se viu a minha glória. Eles revelarão a minha glória a estas nações
ISA.66.20	E de todos estes países, como se se tratasse duma oferta feita ao 
ISA.66.21	E destas nações vou escolher 
ISA.66.22	Os vossos descendentes e o vosso nome
ISA.66.22	existirão sempre na minha presença
ISA.66.22	tal como o novo céu e a nova terra que eu vou criar.
ISA.66.22	É o 
ISA.66.23	Desta maneira, em cada mês e em cada 
ISA.66.23	todos virão inclinar-se diante de mim,
ISA.66.23	diz o 
ISA.66.24	Ao sair, hão de ver
ISA.66.24	os cadáveres dos que se revoltaram contra mim.
ISA.66.24	Os seus vermes não morrem
ISA.66.24	e o fogo que os devora não se apaga.
ISA.66.24	Eles serão um objeto de horror para todos os humanos
JER.1.1	Palavras de Jeremias, filho de Hilquias, um dos 
JER.1.2	Pois o 
JER.1.3	E falou-lhe ainda durante o reinado de Joaquim, filho de Josias, rei de Judá, e até ao fim do décimo primeiro ano do reinado de Sedecias, igualmente filho de Josias, rei de Judá. No quinto mês desse ano os habitantes de Jerusalém foram levados para o exílio
JER.1.4	O 
JER.1.5	«Antes de te ter dado a vida eu já te conhecia;
JER.1.5	antes de a tua mãe te ter dado à luz,
JER.1.5	já eu te tinha escolhido,
JER.1.5	para seres 
JER.1.6	Eu respondi: «Ah! 
JER.1.7	Porém o 
JER.1.7	«Não digas que ainda és muito novo,
JER.1.7	mas vai aonde eu te enviar,
JER.1.7	e fala como eu te mandar.
JER.1.8	Não tenhas medo de ninguém;
JER.1.8	eu estarei ao teu lado para te proteger.
JER.1.8	Sou eu, que to digo!»
JER.1.9	Então o 
JER.1.9	«Ouve, vou pôr as minhas palavras nos teus lábios;
JER.1.10	a partir de hoje vou dar-te autoridade sobre povos e reinos:
JER.1.10	terás poder para arrancar e para destronar,
JER.1.10	para destruir e para arruinar,
JER.1.10	mas também para plantar e para reconstruir.»
JER.1.11	O 
JER.1.12	«Viste bem — disse-me o 
JER.1.13	E o 
JER.1.13	Eu respondi: «Vejo uma panela com água a ferver a deitar fora pelo lado norte.»
JER.1.14	O 
JER.1.14	«Do norte virá a derrota dos habitantes desta terra
JER.1.15	porque vou convocar os povos do norte.
JER.1.15	Os seus reis virão colocar o seu trono diante das portas de Jerusalém,
JER.1.15	junto das muralhas que a circundam.
JER.1.15	E o mesmo farão às outras cidades de Judá.
JER.1.16	Castigarei o meu povo por causa do seu 
JER.1.16	abandonaram-me e ofereceram 
JER.1.16	fizeram ídolos e ajoelharam-se diante deles.
JER.1.17	E tu prepara-te para lhes dizer
JER.1.17	tudo o que eu te mandar.
JER.1.17	Não tenhas medo deles
JER.1.17	senão, não vais ter coragem para os enfrentar.
JER.1.18	A partir de hoje,
JER.1.18	te darei poder para lhes resistires
JER.1.18	serás como uma cidade com mulharas,
JER.1.18	uma coluna de ferro ou um muro de bronze
