GEN.1.1	No princípio Deus criou o céu e a Terra. 
ISA.13.9	Vejam como o dia do 
ISA.13.10	Os céus tornar-se-ão negros por cima da cidade; luz alguma lhes virá, seja do Sol da Lua ou das estrelas. 
ISA.13.11	Castigarei o mundo pela sua maldade e o pecador pela sua iniquidade. Esmagarei a arrogância do orgulhoso e humilharei o orgulho dos tiranos. 
ISA.13.12	Poucos sobrevirão após eu ter terminado a minha ação. Os homens tornar-se-ão mais raros que o ouro; serão mais raros que o ouro de Ofir. 
ISA.13.13	Porque farei abalar os céus com a minha cólera, a minha terrível ira; até a Terra alterará a sua posição no universo. É a manifestação da ira do 
ISA.13.14	Os exércitos da Babilónia desgastar-se-ão até ficarem exaustos, batendo em retirada para a sua terra, como uma gazela perseguida por cães de caça, ou vagueando perdidos como ovelhas cujo pastor fugiu. 
ISA.13.15	Aqueles que não fugirem serão abatidos. 
ISA.13.16	Os seus meninos serão despedaçados contra o chão à vista deles; as suas casas serão saqueadas e as mulheres violadas pelos exércitos atacantes. 
ISA.13.17	Incitarei contra a Babilónia os medos, que não estimam a prata nem se deleitam com o ouro. 
ISA.13.18	Com os seus arcos abaterão os jovens; eles não terão compaixão nem das crianças, nem dos bebés da Babilónia.
ISA.13.19	Então Babilónia, o mais glorioso dos reinos, a fina flor da cultura da Caldeia, será destruída tão completamente como foram Sodoma e Gomorra, as cidades sobre as quais Deus mandou fogo do céu. 
ISA.13.20	Nunca mais será reconstruída e habitada. Novas gerações se sucederão umas às outras, mas naquela terra nunca mais viverá ninguém. Nem sequer os nómadas ali acamparão, nem os pastores deixarão os rebanhos ali passar a noite. 
ISA.13.21	Os animais selvagens feitos à vida nos desertos, esses sim, habitarão naquele sítio. As suas ruínas ficarão cheias de animais horríveis. Viverão ali corujas do deserto e virão bodes para ali dançar. 
ISA.13.22	Hienas e chacais farão dos seus palácios tocas. Os dias da Babilónia estão contados. A hora da sua condenação chegará em breve!
ISA.14.1	Mas o 
ISA.14.2	As nações do mundo os ajudarão a regressar e aqueles que vierem estabelecer-se na sua terra os servirão; aqueles que os escravizaram serão seus escravos; Israel dominará sobre os seus inimigos.
ISA.14.3	Nesse dia, em que o 
ISA.14.4	dirás assim do rei da Babilónia: “O tirano desaparece, enfim! A sua opressão terminou! 
ISA.14.5	O 
ISA.14.6	Perseguiste os povos com os golpes contínuos da tua raiva odiosa, tiranizaste nações sob as tuas garras. Era insustentável a tua atrocidade! 
ISA.14.7	Finalmente, a Terra está sossegada e em descanso! Todo o mundo começa a cantar! 
ISA.14.8	Até as árvores dos bosques, as faias e os cedros do Líbano cantam com alegria: ‘Desde que tu caíste, ninguém mais nos incomoda. Até que enfim, estamos em paz!’ ”
ISA.14.9	Os habitantes do mundo dos mortos juntam-se em magotes para te receberem quando entrares nos seus domínios. Entre eles estão grandes chefes mundiais e poderosos governantes que vieram esperar-te. 
ISA.14.10	E todos chorarão juntos em voz alta: “Também te tornaste em nada, tal como nós!” 
ISA.14.11	A tua força e o teu poder desapareceram; foi tudo lançado no mundo dos mortos. Cessou de vez a bela música dos teus palácios. Agora, são os bichinhos o teu lençol; os vermes são o cobertor com que te tapas!
ISA.14.12	Como caíste do céu, ó Lúcifer, estrela matinal! Como foste abatido, tu que enfraqueceste as nações do mundo! 
ISA.14.13	Dizias no teu íntimo: “Hei de subir aos céus; levantarei o meu trono acima das estrelas de Deus; ascenderei ao mais alto trono e governarei a partir do monte da assembleia, lá no extremo norte! 
ISA.14.14	Subirei aos mais altos céus e serei semelhante ao Altíssimo!”
ISA.14.15	Mas em vez disso serás levado para o mundo dos mortos, lá bem para as profundezas do abismo. 
ISA.14.16	Todos os que lá te virem perguntarão espantados: “Então é este quem fazia tremer a Terra e as nações do mundo? 
ISA.14.17	É este quem tudo arrasou e fez da Terra um açougue? Quem demoliu as grandes cidades, sem ter a mínima compaixão dos prisioneiros?”
ISA.14.18	Os reis, os grandes chefes das nações jazem, cada um, no seu pomposo mausoléu. 
ISA.14.19	Quanto a ti, o teu corpo foi lançado fora da tua sepultura como se fosse um pau seco que não presta. E ali está, de cova aberta, coberto com os cadáveres dos que foram mortos nos combates, tão desprezado como um cadáver espezinhado. 
ISA.14.20	Não te juntarás a eles no túmulo, pois destruíste a tua nação e assassinaste o teu povo. Nunca o teu filho te sucederá como rei. 
ISA.14.21	Matem os filhos desse malvado! Não deixem que venham a levantar-se, a reconquistar a terra e a tornar a encher o mundo de cidades reconstruídas!
ISA.14.22	“Eu próprio me levantarei contra ele”, diz o 
ISA.14.23	“Reduzirei a Babilónia a uma terra desolada, cheia de porcos-espinhos, de charcos fétidos e de pântanos insalubres. Varrerei aquela terra com a vassoura da destruição”, diz o 
ISA.14.24	O 
ISA.14.25	“Decidi destruir os exércitos da Assíria, enquanto se encontram em Judá, na minha terra, e esmagá-los, enquanto ocupam as minhas montanhas. O meu povo não mais será escravo deles. 
ISA.14.26	E este é o meu plano a aplicar em toda a Terra. Farei isso pela minha força poderosa que é capaz de atuar no mundo inteiro.”
ISA.14.27	O 
ISA.14.28	Esta é a mensagem que veio até mim, no ano em que o rei Acaz morreu: 
ISA.14.29	“Não se alegrem, filisteus, pelo facto de ter morrido o rei que vos afligia. A vara quebrou-se, é verdade, mas o seu filho tornar-se-á num açoite ainda mais duro do que o seu pai! Da cobra nascerá uma terrível serpente venenosa que te destruirá! 
ISA.14.30	Tratarei dos pobres do meu povo com os cuidados dum pastor; os necessitados estarão em segurança. Quanto a ti, escorraçar-te-ei por meio da fome e da guerra; a ti e aos teus descendentes. 
ISA.14.31	Gritem de dor, ó cidades filisteias, vocês estão condenadas, tal como toda a vossa nação! Toda ela está condenada. Eles são como uma nuvem negra de fumaça vinda do norte contra ti. Não há ninguém que vacile naquelas fileiras. 
ISA.14.32	Que se dirá, então, aos mensageiros deste povo? Que o 
ISA.15.1	Eis a mensagem de Deus sobre Moabe: Numa só noite as tuas cidades de Ar e de Quir de Moabe serão destruídas. 
ISA.15.2	O teu povo em Dibom vai-se lamentando; vão para os santuários pagãos lamentando-se pelo destino que Nebo e Medeba vão ter; rapam as cabeças de tristeza e cortam as barbas. 
ISA.15.3	Andam vestidos de saco pelas ruas e de cada casa saem clamores de lamentações. 
ISA.15.4	Os choros, nas cidades de Hesbom e de Eleale, até de longe se ouvem, até mesmo em Jaaz! Os mais valentes dos combatentes de Moabe gritam de terror.
ISA.15.5	O meu coração chora por causa de Moabe! O seu povo foge para Zoar e para Eglate-Selichia. Vão subindo a ladeira até Luite, a chorar, e os seus prantos ouvem-se por todo o caminho de Horonaim. 
ISA.15.6	Até o ribeiro de Nimrim se tornou num sítio desolado; as suas verdes margens secaram; desapareceu toda a sua vegetação. 
ISA.15.7	Os que fogem, desesperados, levam apenas o que podem transportar consigo e atravessam o ribeiro dos Salgueiros. 
ISA.15.8	A terra toda de Moabe está em pranto, duma ponta à outra; as suas lamentações chegam até Eglaim, fazem-se ouvir até Beer-Elim. 
ISA.15.9	A torrente que passa em Dibom ficará vermelha, por causa do sangue, mas isto não será tudo quanto a Dibom. Por fim, andarão leões atrás dos sobreviventes, daqueles que escaparam e ficaram na terra.
ISA.16.1	Enviem um cordeiro como tributo ao governante da terra de Sela, pelo deserto até ao monte Sião. 
ISA.16.2	As mulheres de Moabe são deixadas nos baixios do rio Arnom como pássaros vagueando sem ninho. 
ISA.16.3	Os embaixadores que acompanham a oferta a Jerusalém imploram conselho e ajuda: “Deem-nos um santuário! Protejam-nos! Não nos entreguem aos nossos inimigos! 
ISA.16.4	Deixem que os nossos refugiados fiquem no vosso meio; escondam-nos dos nossos adversários!”
ISA.16.4	Deus vos recompensará pela vossa boa vontade para connosco. 
ISA.16.5	Sendo assim, em bondade, estabelecer-se-á um trono de David para sempre. Sentar-se-á nele com lealdade e será um juiz preocupado com a retidão, e sempre pronto a fazer o que é justo.
ISA.16.6	Ouvimos falar da arrogância e soberba de Moabe. Com efeito, é espantoso como toda a sua arrogância, o seu ódio e toda a sua insolência se foram! 
ISA.16.7	Agora Moabe inteira chora. Sim, Moabe, lamentar-te-ás, por causa dos bolos de passas de Quir-Haresete! 
ISA.16.8	Também por causa das quintas de Hesbom e das vinhas de Sibma que foram abandonados. Os grandes senhores, os generais do inimigo, cortaram os melhores cachos de uvas e as suas armas se espalharam por toda aquela terra, até Jazer, lá no deserto, e até à beira-mar. 
ISA.16.9	Por isso, gemo e me lamento por Jazer e pelas vinhas de Sibma. Derramo as minhas lágrimas, por causa de Hesbom e de Eleale, pois desapareceu a alegria dos teus frutos de verão e das tuas segas. 
ISA.16.10	Foi-se o júbilo e a alegria dos campos férteis! Nunca mais se ouvirão as canções dos vinhateiros! Acabou-se aquela festa que era o pisar das uvas nos lagares! Fiz cessar toda aquela alegria! 
ISA.16.11	Todas as minhas entranhas choram e se lamentam por Moabe. Estou profundamente triste, por causa de Quir-Haresete. 
ISA.16.12	O povo de Moabe virá a fazer angustiosas rezas aos seus ídolos, no cimo das colinas, mas isso não lhes servirá para nada. Implorarão aos seus deuses nos templos dos seus ídolos e nenhum deles virá salvá-los.
ISA.16.13	Esta é a palavra que o 
ISA.16.14	Agora o 
ISA.17.1	Esta é a mensagem de Deus para Damasco, capital de Aram: “Vejam como Damasco acabou! Já não é mais uma cidade! É praticamente um montão de ruínas! 
ISA.17.2	As cidades de Aroer estão desertas. Só rebanhos se veem ali a pastar; os animais deitam-se sossegadamente, porque não há ninguém que os espante. 
ISA.17.3	A força de Israel e o poder de Damasco terão fim e os que ficarem de Aram serão destruídos, porque como a glória de Israel desapareceu, a deles certamente também desaparecerá, declara o 
ISA.17.4	É verdade! A glória de Jacob tornar-se-á bem diminuta, quando a pobreza invadir a terra. 
ISA.17.5	Tornar-se-á numa terra tão abandonada como os campos de trigo do vale de Refaim. 
ISA.17.6	Muito poucos da sua gente serão poupados! Será como quando se sacodem as oliveiras e só fica nos ramos mais altos uma ou outra azeitona. Eis o que acontecerá com Damasco e com Israel, sacudidos e despojados, com exceção de alguns dos mais pobres que serão poupados!” Assim diz o Senhor, o Deus de Israel.
ISA.17.7	Então, por fim, pensarão em Deus, o seu Criador, e se voltarão para o Santo de Israel. 
ISA.17.8	Não mais se dirigirão aos altares, pedindo socorro, nem adorarão mais aquilo que as suas próprias mãos fabricaram! Nunca mais prestarão culto às imagens de Achera e aos altares de incenso.
ISA.17.9	Naquele tempo as suas cidades fortificadas serão como as cumeadas abandonadas dos amorreus, que eles abandonaram por causa dos israelitas; haverá desolação. 
ISA.17.10	E porque é que isto tudo se dará? Porque vocês abandonaram o Deus que vos salva, o rochedo que pode proteger-vos. Por isso, ainda que venham a plantar videiras importadas e de alta qualidade, 
ISA.17.11	e mesmo que tenha tanta vitalidade que chegue a crescer na manhã em que a semearem, mesmo assim nunca chegarão a colhê-la; irão colher unicamente fardos de tribulação e dolorosos sofrimentos.
ISA.17.12	Reparem bem! Eis que se ouve o alvoroço de uma multidão de povos, como o rugir dos mares revoltosos. Este rugir das nações mais parece o agitar tempestuoso das grandes vagas do mar. 
ISA.17.13	No entanto, ainda que venham bramando como as vagas do mar que se quebram com violência contra a costa, Deus os silenciará. Acabarão por fugir como a palha levada pelo vento, como o pó da terra levantado em turbilhão por um vendaval. 
ISA.17.14	Ao anoitecer, Israel estará em pavor, mas pela manhã verá os seus inimigos mortos. Esta será a sorte dos que nos saqueiam e nos destroem.
ISA.18.1	Ai da terra onde se ouve o zumbido dos gafanhotos, que fica para além dos rios de Cuche! 
ISA.18.2	Terra que envia embaixadores em barcos de junco pelo Nilo abaixo! Velozes mensageiros voltarão para ti, ó forte e ilustre nação, temida em toda a parte, nação que conquista e destrói, cuja terra o rio divide. Esta é a mensagem que te é dirigida: 
ISA.18.3	“Quando se levantar a bandeira sobre a montanha, que todo o mundo o saiba! Quando tocar a trombeta do ataque a Israel, que toda a gente preste atenção!” 
ISA.18.4	Porque o 
ISA.18.5	Antes que comecem o ataque, na altura em que os vossos planos estiverem a amadurecer como uvas na vinha, eu vos cortarei como uma tesoura de podar; cortarei os sarmentos e os ramos. 
ISA.18.6	O vosso poderoso exército será deixado morto no campo, para as aves de rapina e animais selvagens. As aves de rapina terão o que comer durante todo o verão; todos os animais da terra terão ossos para roer o inverno inteiro.
ISA.18.7	Virá o tempo em que essa forte e poderosa nação, o terror de todos, de longe e de perto, essa nação de conquistas e destruição, cuja terra o rio divide, virá trazer ofertas ao 
ISA.19.1	Esta é a mensagem de Deus referente ao Egito: Vejam, o 
ISA.19.2	“Farei com que lutem um contra o outro; irmão contra irmão, vizinho contra vizinho, cidade contra cidade, província contra província. 
ISA.19.3	Os seus sábios conselheiros estão completamente confusos sem saber o que fazer. Rogam aos ídolos por sabedoria e fazem apelo aos médiuns, aos feiticeiros e aos adivinhos, para que lhes ensinem as medidas a tomar. 
ISA.19.4	Entregarei o Egito a um senhor duro e cruel; um rei despótico os governará”, diz Deus, o 
ISA.19.5	As águas do rio Nilo deixarão de cobrir e irrigar os campos; a sua corrente esgotar-se-á e secará. 
ISA.19.6	Os seus canais cheirarão mal e as suas correntes diminuirão e secarão; encher-se-á de canas e juncos murchos. 
ISA.19.7	Tudo o que é verde, ao longo das margens, ficará sem vida e desaparecerá. Todas as sementeiras morrerão. Tudo morrerá. 
ISA.19.8	Os pescadores lamentar-se-ão pela falta de trabalho. Tanto os que pescam à linha como os que usam redes ficarão inativos. 
ISA.19.9	Os tecelões não terão nem linho nem algodão, porque os campos não terão produzido nada. 
ISA.19.10	Toda a gente, grandes e pequenos, assim como os trabalhadores que vivem dos seus salários, andará acabrunhada e triste.
ISA.19.11	Como foram insensatos os conselheiros de Zoã! Tudo o que se lembram de dizer ao rei do Egito é apenas estupidez e asneiras. Será que mesmo assim continuarão a gabar-se da sua grande sabedoria? Ousarão ainda lembrar ao Faraó a longa linhagem de sábios de quem descendem? 
ISA.19.12	Que foi que aconteceu aos teus sábios conselheiros, ó Faraó? Para onde foi afinal a sabedoria deles? Se são assim tão sábios, que te digam o que o 
ISA.19.13	Os sábios de Zoã são igualmente loucos e os de Menfis estão profundamente errados. Eles podem constituir a elite da sua sociedade, mas o certo é que arruinaram o Egito com os seus conselhos disparatados. 
ISA.19.14	O 
ISA.19.15	Não, o Egito não poderá ser salvo por coisa nenhuma nem por ninguém; não há quem possa mostrar-lhe o caminho.
ISA.19.16	Nesse dia, os egípcios serão tão fracos como mulheres, tremendo de medo sob a mão estendida do 
ISA.19.17	A terra de Judá será um terror para o Egito; todo o que mencionar Judá ficará trémulo de medo, pois o 
ISA.19.18	Nesse tempo, haverá cinco cidades do Egito que tomarão a decisão de seguir o 
ISA.19.19	Haverá um altar em honra do 
ISA.19.20	Isto será um sinal de lealdade ao 
ISA.19.21	Nesse dia, o 
ISA.19.22	O 
ISA.19.23	Naquele dia, o Egito e a Assíria estarão ligados por uma larga estrada; as populações de ambos poderão deslocar-se livremente entre um e o outro país e adorarão o mesmo Deus. 
ISA.19.24	Israel será aliado deles; juntar-se-ão os três e Israel será para eles uma bênção. 
ISA.19.25	Porque o 
ISA.20.1	No ano em que Sargom, rei da Assíria, enviou o comandante supremo do seu exército contra Asdode, cidade da Filisteia, e a tomou, 
ISA.20.2	o 
ISA.20.3	Então o 
ISA.20.4	Porque o rei da Assíria virá levar os egípcios e os cuchitas como prisioneiros, fazendo-os andar nus e descalços, tanto jovens como velhos; andarão com as nádegas à mostra, para vergonha do Egito. 
ISA.20.5	Então ficarão aflitos os filisteus que contavam com o poder de Cuche, que descansavam no seu glorioso aliado, o Egito! 
ISA.20.6	E dirão nessa altura: ‘Se tal pode acontecer até ao Egito, qual não será a nossa sorte!’ ”
ISA.21.1	Esta é a mensagem de Deus respeitante à Babilónia: “A desgraça aproxima-se, rugindo das bandas do horrível deserto, como se fosse um tufão soprando furiosamente do Negueve!”
ISA.21.2	Estou a ter uma visão tremenda. Oh! Que horror que é isto tudo! Deus está a dizer-me o que vai fazer. Vejo-vos saqueados e destruídos. Serão os elamitas e os medos que tomarão parte no assalto. A Babilónia cairá e cessará enfim o clamor de todas as nações que escravizou.
ISA.21.3	Até o meu próprio estômago se contrai, o meu íntimo se angustia; dores agudas me oprimem, como quando uma mulher está para dar à luz. 
ISA.21.4	A minha mente como que cambaleia e o meu coração bate descompassadamente; estou cativo dum terrível pavor. O descanso da noite, que para mim era tão sossegado, foi-se; fico a tremer sem conseguir dormir.
ISA.21.5	Vejam! Estão a preparar um grande banquete! Enchem as mesas de comida, estendem os tapetes e preparam tudo para se instalarem em volta das mesas. Levantem-se, capitães, e preparem as armas!
ISA.21.6	Entretanto, o Senhor disse-me: “Põe um vigia sobre a muralha da cidade, para que grite aquilo que vir. 
ISA.21.7	Quando vir cavaleiros aos pares montados em jumentos e em camelos, que diga: ‘Aqui está! É isto mesmo!’ ”
ISA.21.8	Coloquei um vigia sobre a muralha e passado algum tempo ele gritou: “Senhor, tenho estado aqui no meu posto dia após dia e noite após noite. 
ISA.21.9	Agora sim, estou a ver cavaleiros aproximando-se aos pares!” Então ouvi uma voz a gritar: “Caiu a Babilónia, caiu! Todos os ídolos da Babilónia estão quebrados pelo chão!”
ISA.21.10	Ó povo meu, batido e espancado, comuniquei-vos tudo quanto o 
ISA.21.11	Esta é a mensagem de Deus para Edom: “Alguém do vosso meio me grita continuamente: ‘Guarda, que se passa de noite? Guarda, que se passa de noite? Quanto tempo ainda falta?’ 
ISA.21.12	E o guarda replica: ‘Está a amanhecer o dia do vosso julgamento. Voltem-se para Deus, para que possa dar-vos notícias mais encorajadoras. Procurem-no e então venham perguntar-me outra vez.’ ”
ISA.21.13	Esta é a mensagem de Deus referente à Arábia: “Ó caravanas de Dedam, ainda terão de se esconder nos desertos da Arábia! 
ISA.21.14	Ó gente de Tema, venham trazer comida e água a estes cansados fugitivos! 
ISA.21.15	Eles estão a fugir das espadas nuas, das agudas flechas e dos horrores da guerra!”
ISA.21.16	Assim me disse o Senhor: “Daqui a um ano, a grande força do inimigo deles, a poderosa tribo de Quedar, terminará. 
ISA.21.17	Apenas um pequeno número dos seus soldados atiradores sobreviverá.” Assim falou o 
ISA.22.1	Esta é a mensagem de Deus sobre o vale da Visão
ISA.22.2	A cidade inteira encontra-se em plena agitação. Que se passa nesta ativa e feliz cidade? São corpos, mortos não por armas, nem na guerra. 
ISA.22.3	Todos os teus chefes estão a fugir ou rendem-se sem resistência. O povo esgueira-se e escapa como pode, mas acaba por ser igualmente capturado. 
ISA.22.4	Deixem-me sozinho a chorar amargamente. Não tentem consolar-me; deixem-me que chore pelo meu povo que está a ser liquidado.
ISA.22.5	Oh! Que dia de tremenda desgraça! Dia de perturbação e de terror que nos mandou Deus, o 
ISA.22.6	Os que transportam as armas são elamitas e vêm com carros e cavalos; os homens de Quir são quem traz os escudos. 
ISA.22.7	E vêm enchendo os vossos melhores vales, juntando-se em magotes junto dos portões da cidade.
ISA.22.8	É que Deus retirou a sua vigilante proteção! Vocês bem correm ao depósito das armas na casa da floresta
ISA.22.9	Bem inspecionam os muros da Cidade de David a ver se podem reparar e tapar as brechas! Ainda armazenaram as águas da piscina inferior! 
ISA.22.10	Vão mesmo ver que casas de Jerusalém poderiam derrubar, a fim de ter pedra para essas reparações. 
ISA.22.11	Entre as duas muralhas fazem um reservatório de água da piscina velha! Mas todos esses vossos precipitados planos de nada servirão, porque nunca pedem a ajuda de Deus, o qual permite que tudo isto vos aconteça. Pois foi ele quem planeou todas estas coisas já desde há muito tempo.
ISA.22.12	Deus, o 
ISA.22.13	Em vez disso, mataram-se bois e cordeiros, cantaram, dançaram, divertiram-se em festas e beberetes. E diziam: “Comamos e bebamos, pois amanhã morreremos!” 
ISA.22.14	Deus, o 
ISA.22.15	Além disso, Deus, o 
ISA.22.16	‘Quem pensas tu ser, para teres mandado construir na rocha este belo sepulcro para ti mesmo?
ISA.22.17	Eis que o 
ISA.22.18	Amachucar-te-á nas mãos, como se fosses um pedaço de trapo, e lançar-te-á para bem longe, para uma terra espaçosa, e aí morrerás tu, o grande senhor que desgraçou a sua nação! 
ISA.22.19	Sim, expulsar-te-ei das tuas funções, diz o Senhor, derrubar-te-ei da tua alta posição.
ISA.22.20	Chamarei então o meu servo Eliaquim, filho de Hilquias, para te substituir. 
ISA.22.21	Vesti-lo-ei com a tua túnica, cingi-lo-ei com o teu cinto, colocarei nas suas mãos o teu poder. Será um pai para os habitantes de Jerusalém e para o reino de Judá. 
ISA.22.22	Porei sobre os seus ombros a chave da casa de David. O que ele abrir, ninguém poderá fechar; o que ele fechar, ninguém poderá abrir. 
ISA.22.23	Fixá-lo-ei como uma estaca em terreno firme e será um motivo de glória para a casa de seu pai. 
ISA.22.24	Será responsabilizado pela honra do nome da sua família.’
ISA.22.25	Quanto a essa estaca que parece tão segura em terreno firme, o 
ISA.23.1	Esta é a mensagem para Tiro: Chorem, ó navios de Társis que regressam a casa vindos de terras distantes! Chorem pelo vosso porto, porque desapareceu! Os rumores preocupantes que vos tinham chegado aos ouvidos em Chipre eram afinal certos! 
ISA.23.2	Pesa por toda a parte um silêncio de morte. A calma reina no vosso porto, onde antes fervilhava a agitação dos barcos que vinham de Sídon. 
ISA.23.3	Traziam mercadorias de além dos mares do Egito e do Nilo e vocês eram os donos do comércio dos mares e do mundo.
ISA.23.4	Envergonha-te, Sídon, a fortaleza do mar! É o mar quem agora te diz: “Não tive dores de parto, nem dei à luz; não criei meninos, nem eduquei meninas!” 
ISA.23.5	Quando o Egito ouvir as notícias acerca de Tiro, haverá grande tristeza.
ISA.23.6	Fujam a chorar para Társis, habitantes das costas marítimas! 
ISA.23.7	Estas ruínas silenciosas é tudo quanto resta da vossa terra que pulsava de alegria. Que triste história a vossa! Pensem só em todos os colonos que mandaram para terras tão longínquas! 
ISA.23.8	E afinal quem foi que trouxe tamanho desastre sobre Tiro, a cidade edificadora de impérios, a sede do comércio mundial? 
ISA.23.9	Foi o 
ISA.23.10	Façam-se ao mar, ó barcos de Társis, naveguem porque o vosso porto desapareceu! 
ISA.23.11	O 
ISA.23.12	Diz ele: “Nunca mais, ó desonrada virgem, filha de Sídon, te alegrarás e serás forte. Ainda que fujas para Chipre, nem por isso encontrarás repouso.”
ISA.23.13	Serão os caldeus e não os assírios, quem entregará Tiro aos animais selvagens. Sitiá-la-ão, arrasarão as suas fortalezas, farão dela um montão de ruínas.
ISA.23.14	Uivem, navios que cruzam os oceanos, porque o vosso porto de abrigo foi destruído!
ISA.23.15	Durante 70 anos, Tiro será esquecida. E então, nos dias doutro rei, a cidade voltará de novo à vida. Ao fim dos 70 anos, acontecerá a Tiro o que diz a Canção da Prostituta:
ISA.23.16	“Toma a harpa, e percorre a cidade,
ISA.23.16	ó prostituta esquecida!
ISA.23.16	Toca o melhor que puderes e canta sem parar,
ISA.23.16	para que se lembrem de ti!”
ISA.23.17	Sim, após 70 anos, o 
ISA.23.18	Contudo, virá o tempo em que todos os seus grandes negócios trarão benefícios para o 
ISA.24.1	Vejam! O 
ISA.24.2	Sacerdotes e povo,
ISA.24.2	servos e senhores,
ISA.24.2	escravas e patroas,
ISA.24.2	gente que compra e que vende,
ISA.24.2	gente que empresta e que pede emprestado,
ISA.24.2	banqueiros e financeiros,
ISA.24.2	ninguém será poupado.
ISA.24.3	A Terra ficará completamente vazia e será pilhada, foi o 
ISA.24.4	Porque a Terra sofre por causa dos pecados do povo; vai perdendo vitalidade, as searas murcham, os céus recusam a chuva. 
ISA.24.5	A Terra foi profanada pelos seus habitantes. O povo transgrediu as leis de Deus, violaram os seus preceitos e quebraram a aliança eterna. 
ISA.24.6	Por essa razão, caiu sobre eles a maldição de Deus; são abandonados e destruídos pela seca; poucos resistirão a isto tudo.
ISA.24.7	Todas as alegrias da vida desaparecerão; as vindimas cessarão e não haverá mais vinho novo; mesmo os que tinham um carácter folgazão não farão mais do que suspirar e gemer. 
ISA.24.8	Não se ouvirão mais os sons melodiosos da harpa e o ritmo alegre dos tambores. Acabaram-se os dias de alegria. 
ISA.24.9	Não haverá mais folguedos de vinho; as bebidas fortes se farão amargas na boca.
ISA.24.10	A cidade está um caos. Cada casa, cada loja, está trancada a cadeado para impedir os assaltos. 
ISA.24.11	Nas ruas formam-se ajuntamentos de gente que pede vinho. A alegria é verdadeiramente uma coisa bem rara; o contentamento foi banido da Terra. 
ISA.24.12	A cidade foi deixada em ruínas; as portas de entrada foram derrubadas. 
ISA.24.13	Assim será na terra, entre todas as nações, como quando se usa a vara na oliveira ou se buscam os restos das uvas após a colheita.
ISA.24.14	No entanto, todos esses que foram poupados gritarão e cantarão de alegria. Os que estão no ocidente, do lado do mar, louvarão a majestade do 
ISA.24.15	Por isso, glorifiquem o 
ISA.24.16	Ouvimos cantar desde as extremidades da Terra: “Glória ao justo!”
ISA.24.16	Contudo, o meu coração está pesado de tristeza, porque o mal ainda prevalece e a desonestidade reina por toda a parte. 
ISA.24.17	O terror, a cova e a armadilha é o que vocês merecem, ó habitantes da Terra. 
ISA.24.18	Quando fugirem dos gritos de terror, cairão numa cova; se escaparem da cova, serão apanhados numa armadilha, porque esta destruição que vos cai em cima vem do céu. Até em baixo a Terra treme! 
ISA.24.19	Toda a Terra está profundamente perturbada e caótica; tudo está ao abandono e perdido. 
ISA.24.20	Ela cambaleia como um embriagado; parece uma tenda sacudida sob uma forte tempestade. Cairá e não mais se levantará, porque os seus pecados são de extrema gravidade.
ISA.24.21	Nesse dia, o 
ISA.24.22	Serão cercados e feitos prisioneiros, postos numa masmorra até serem julgados e condenados. 
ISA.24.23	O 
ISA.25.1	Ó 
ISA.25.2	Tornaste poderosas cidades em montões de ruínas. As mais poderosas fortalezas foram feitas num amontoado de pedregulhos. Em terras distantes, luxuosos palácios desapareceram e nunca mais serão reedificados. 
ISA.25.3	Por isso, fortes nações tremerão de medo na tua presença; nações cruéis obedecerão e glorificarão o teu nome.
ISA.25.4	Mas para os pobres és um refúgio na tempestade, uma sombra no calor, a sua defesa contra gente sem misericórdia que contra eles investe como a chuva torrencial contra um muro de terra! 
ISA.25.5	Tal como a terra seca e quente é resfriada pela sombra das nuvens, assim esfriarás o orgulho desses povos tiranos.
ISA.25.6	Aqui no monte Sião, em Jerusalém, o 
ISA.25.7	Por esse tempo, ele tirará a sombra de melancolia, a máscara de morte com que toda a gente na Terra anda encoberta. 
ISA.25.8	Aniquilará a morte para sempre. O 
ISA.25.9	Nesse dia, o povo proclamará: “Este é o nosso Deus, aquele por quem esperávamos e ele nos salvou! Este é o 
ISA.25.10	A mão do 
ISA.25.11	Deus os empurrará e os afastará como o nadador que estende as mãos para nadar. Acabará com o seu orgulho e com todos os seus atos malvados. 
ISA.25.12	As altas muralhas de Moabe serão demolidas e feitas em pó.
ISA.26.1	Ouçam como eles cantam! Naquele dia, toda a terra de Judá cantará este cântico:
ISA.26.1	A nossa cidade é bem forte!
ISA.26.1	Estamos protegidos pelas muralhas da salvação de Deus!
ISA.26.2	Abram os portões para que por eles entre o povo reto
ISA.26.2	que se mantém leal.
ISA.26.3	Tu conservarás em paz
ISA.26.3	aquele cuja mente está firme em ti, porque confia em ti!
ISA.26.4	Confiem sempre no 
ISA.26.4	porque o 
ISA.26.5	Ele humilha o altivo
ISA.26.5	e derriba a orgulhosa cidade até ao pó.
ISA.26.6	Ela é pisada pelos pobres,
ISA.26.6	calcada pelos indefesos.
ISA.26.7	Para os justos o caminho não é trabalhoso e escarpado,
ISA.26.7	porque Deus lhes suaviza a estrada à sua frente.
ISA.26.8	É através do caminho dos teus juízos que nós esperamos em ti, ó 
ISA.26.8	O nosso maior desejo é glorificar o teu nome!
ISA.26.9	Durante toda a noite te procuro;
ISA.26.9	fervorosamente te busco, ó Deus!
ISA.26.9	Só quando a tua justiça for aplicada na Terra
ISA.26.9	é que as gentes deixarão a maldade e farão o que é reto.
ISA.26.10	Ainda que te mostres bom para com os maus,
