GEN.1.1	Naa tiba jutyunu uwanun, Dios tiba deke' faawaandu, selu bain, tu bain dekemi. 
JHN.5.21	Ya' Apa pemulanuren mangujte' chujti' chuwaawaa kemuñu, ya' Na bain munu chuwaanu tya'ba tsaren kemuve. 
JHN.5.22	Tsenmin ya' Apaa munuba kavitu kityuve, ya' Nanu tene kavitu kikenuu tirekive, 
JHN.5.23	tsenmalaa naa mu bain, yanu naake balenguremu deju' bain ya' Nanu bain tsangue debalenguresa tyatu. Mun ya' Nanu balenguretyulaya, naa entsa tusha eemu ruku ura ya' Apanu bain tsaren dejuve.
JHN.5.24	Uwaindiyu, i naatiñu bain mun juntsanu meedi', naa inu engu eemu rukunu bain keenguishu juntsaa, Diosba chutu naa-i chunuu juñu bain, yumaa juntsaa chudiñuu juuve, tsenmin ne kavitu i' kuipa viiñuu in dejutyuve, yumaa pemu juuñuuren umaa Diosba chunu chachi detiya' mitya. 
JHN.5.25	Uwaindiyu juntsa ura jantsuve; ura patiñuya, yumaa jave juntsa ura, matyu pemu juuñuularen Diosa' Na' palaa mera merakenu ura, tsejtu mun ya' palaa mere' bain naa-uwanuba Diosba ura' chunu detsuve. 
JHN.5.26	Naajunga ya' Apa, muba kindetyuren maali tiya' chunuu jushu ya' Nanu bain tsaren junuu tireve, 
JHN.5.27	tsenmin Chachi Tiya' Nakayamu juñu' mitya kavitu kenuu bain tireve. 
JHN.5.28	I entsandintsuñu wapannu kityudei; naa pemula ujkun tujuusha puturen ya' palaa demere' mangujpanu malu bain janu tsuve. 
JHN.5.29	Juntsa malu janmala mun ura' ken chumu deju' bain Diosba ura' chunu mangujnu detsuve, tsenmala mun firu' ken chumu deju' bain kavitu i' kuipa vinu mangujnu detsuve.
JHN.5.30	Iya maali in pensachi kenu jutyuyu. In Apa naake kavitu kesa tyañu bain juntsanguemu ju' iya mika deechu' kavitu kemuyu, maali tsanguichi tenñu kityu', inu engu eemu in Apa tyee kesa tyañu bain juntsanguemu' mitya. 
JHN.5.31	Tsandenna iya maali in mitya pa' ne kikishu juntsaa, in palaa pai'ñuba ne uraanu juve. 
JHN.5.32	Tsaanuu junuren in Apaa inu laapu' pa' kuinda kemuve. Tsenñu iya miyu ya tsandi' inu paka' pañu kuindaa naa muchi bain keenguenu bale kuindaa juñu bain. 
JHN.5.33	Juan bain ura' pamuwaave, ñulla yanu pake'meenu de-eeñu pakatu. 
JHN.5.34	Naa tsaañu bain, ma chachi in mitya uwain entsa tsaa rukaa tiñaa iya keemijakutinu jutyuyu, matyu entsandi' mandengaapumiya, ñulla delivee-isa tenñundiyu. 
JHN.5.35	Juan Mungaamu ñillu juuñungue llu'ñu, ñulla juntsa dangarachi jayu tinbu' mityan ura' puinu tyaimuwa deeve. 
JHN.5.36	Juanya iya naajuñuba yumaa pamuwaañu bain, juntsanu kayu pullati wainmu kuinda juu tanayu. Tsaju' juntsa kuinda in Aparen kisa tyañu iya kikentsaashu juntsaa juntsave. Entsa iya kikentsaashu juntsaa uwain in Apa inu engu eeve ti' wanditiñundintsuve. 
JHN.5.37	Naa in Apa inu engu eemu ruku bain in mityaa iya naajuñu bain tsaave ti' pave, naamika ñullaya ya' palaa mera' kerajdetuñu bain, ne ya' kajuru juuba kata' kerajdetuñu bain. 
JHN.5.38	Tsenmin ya' kuindanu bain ñulla demeenguityuve, tsejtu tsaaya keewaawaadekive ya' Aparen eeñu jamu rukunu bain ñulla keranguityu de' mitya. 
JHN.5.39	Ñullaya Diosa' Kiikanaa mika tejan lenmu deeve, juntsa kiikanaa naa-uwanuba Diosba ura' chunuu jumu katawanu juve tyatu. Tsejtu Diosa' pilla kiikanu bain in kuindaren kentsuñu bain, 
JHN.5.40	ñullaa inu meenguityu deeve, tsai' keenguitaa Diosba ura' chunuu junuren.
JHN.5.41	Iyaa chachillachi daj kurainuu menestejtuyu. 
JHN.5.42	Tsenmin iyaa ñullanu kera' mitya, naa Diosnu estyatyu deeñu bain miyu. 
JHN.5.43	Iya in Apa' mityaa engu jañuren, ñullaa inu keenguindyatyu deeve; tsaaren tsandenna main maali ya' mityan juu jañuya, yanuya keenguichu deeve. 
JHN.5.44	¿Naa ketaa inu keenguichu deeyu tenguen, ñulla ñui tenee veta' veta' bale dekuusa tya', Dios main juu jumuchee tsaa balenguranu kityumujchiba? 
JHN.5.45	In Apa' ajuusha ne iyaa ñullanu kuipa pu' panu juve tyatyudei; tsangue' ñullanu kuipa pumu rukuya ñulla' keranguiikenu Moisésren juve. 
JHN.5.46	Moisés naatimuñuba ñulla keranguemutuya inu bain keranguichu deeve, yaa in kuindaa piikemuwaañu' mitya. 
JHN.5.47	Tsaaren ñulla, naa ya tyee piikemuñuba ma keranguityuulaba, ¿naa ketaa in pañu palaanu bain keranguichu deeyu? timi.
JHN.6.1	Tsangue' puitu Jesús, Galilea aa pi pusu bejkusha miimi, tsandityumee Tiberias tiitinu pusu bejkusha. 
JHN.6.2	Tsenñu yanu pure' chachilla surekila, dilulanu ura' mandire', naa Diosyaa tsanguekaantsuve tyainuu juu bain kes neneiñu keekeedena' mitya. 
JHN.6.3	Tsejtu tsaindetsuñu Jesús ya' disipululaba ma kuyisha lu' chudimi. 
JHN.6.4	Tsaindetsu judíolachi Dapulla' livee kiñu fandangu kayu bale malu chanu yumaa kalenami. 
JHN.6.5	Ya' junga chachilla ma pure' jaindetsuñu Jesús kata-eetu, Felipenu tsandimi: ¿Naa ketaa panda ati'ka' kumuinchi juntsa chachillanu fikaanu dejuwa? timi.
JHN.6.6	Tsaaren Jesúsya tyee kenuu ju'ba miren Felipenu tsandi pake'meemi, asu naatiñuba mijachi tyatu. 
JHN.6.7	Tsenñu Felipe tsandikami: Ma añu tingumake taawasha ke', kumuinchi juntsa lushinchi pan ma kakiñu bain naa jayu jayu fike'ba tse'waren jutyu ma judeeve, timi.
JHN.6.8	Tsenñu ya' kama disipulu Andrés, Simón Pedro' naatala, entsandimi: 
JHN.6.9	Enu ma kaana man sebada pan tanamin, alla bain pallu tanave, tsaaren chachilla puredenañu' mitya entsaya tiba juñu jutyuve, timi.
JHN.6.10	Tsenñu Jesús tsandikami: Kumuinchi dechunu mandanguidei, timi. Tsenñu jundala ishta' tenañu' mitya dechudila, kumuinchibi unbee rukulan juuren 5.000 jula. 
JHN.6.11	Tsenñu Jesús ya' tyaapachi pan kake' Diosba kuinda ke' dyatu, deveekaami kumuinchi junu chuja'tenamu chachillanu. Tsejtu allanu bain tsarenguiñu, kumuinchi naa naake findya'ba tsangue fila. 
JHN.6.12	Umaa kumuinchi fi' tyubai' dedyañu, Jesús ya' disipululanu tsandimi: Tiba kepun jutyu kumuinchi laramu demande'kakidei, timi.
JHN.6.13	Tsenñu ya' disipulula mande'katu, 12 kubi ma seranguila juntsa man sebada pan jumu llujpeperen. 
JHN.6.14	Muba entsanguityu deenuren Jesús tsanguiñu dekatatu, chachilla entsa entsandila: Uwain entsa rukaa Diosa' mitya pamu ruku entsa tusha jainuu juushu juntsañuve, tiitila.
JHN.6.15	Tsanditu yaa merendyu bain, deranchi ka' taji' rei ma tirekenu dejuñuba Jesús mijatu, maali juu kuyisha malumi.
JHN.6.16	Dekependu' kañu Jesús' disipululaya pususha demiji' 
JHN.6.17	baakunu demavi' bejkusha, Cafarnaúmsha mandyakantsula. Tsai' miindetsu ma yapijuru' kakeñun, Jesúsya yaiba kayu mabuudindyumi. 
JHN.6.18	Tsaindetsun ishuwa jelekenguiñu pisunda pureimi. 
JHN.6.19	Tsai' miindu man kilumetru, tsaityu'ba mika mandishmain kilumetru miindetsunu uwanu, pi jandala neepachi miituren Jesús baakusha yumaa kalen miintsu' katawami, tsenñu jeetyala. 
JHN.6.20	Tsa detyañu Jesús tsandimi: Iren tsaintsuyu, jeetyatyudei, timi.
JHN.6.21	Tsenñu yala baakusha sunden mamikala, tsenmala tu keesha baaku jei tyuinajimi.
JHN.6.22	Juntsa ayunchi bejkusha shuwamu chachilla mijala naa junu ma baaku unamunuya Jesús' disipululaa demavi' bejkusha demandyakañu bain. Tsejtu Jesús putyu yai tenen juu mandyaka dekiñu bain mijala. 
JHN.6.23	Tsai' demijadeinu uranu Tiberias pebulusha pu' jimu baakula junu tyuidijila; kishinchi Jesús, Diosnu yuj urave ti' panda dekuñu yala pure' fideke' puiñu tena keesha. 
JHN.6.24	Tsenñu naa Jesús bain, naa ya' disipulula bain ma kataatyu deenmalan, purenamu chachilla tsaa yai bain junu jimu baakulanu devi', Jesúsnu mami'kenu Cafarnaúmsha tyakakila.
JHN.6.25	Tsai' bejkusha detyaka' Jesúsnu mangatatu entsandi pake'meela: Mashturu, ¿ñu naamaa engu jayu? tila.
JHN.6.26	Tsa detiñu Jesús entsandikami: Uwaindiyu ñulla, Diosyaa tsanguekaantsuve tyainuu jumu iya ke' keewaañu aseetangue' mityaa inu mami'kindetyuve; ajka tyuwanbera panda defi' mityaa ñulla inu mi'kendetsuve. 
JHN.6.27	Finmalan de-iimu panda' mityaa taawasha kityudei, naa-uwanuba Diosba ura' chumishtimu de-ityu panda' mityaa taawasha kidei. Chachi Tiya' Nakayamuya entsa de-ityu pandaa me'nu tsuve, ya' Apa Dios, yanaa tsaa uuden kuwa' tsanguenuu tireñu' mitya, timi.
JHN.6.28	Tsenñu chachilla entsandi manbake'meela: ¿Tyee kenu dejuwa lala, Dios naakesa tyañuba juntsaa kenu? tila.
JHN.6.29	Tsa detiñu Jesús entsa mandimi: Dios ñullanu kisa tyamiya, ya' eeñu Nanaa dekeranguisa tyave, timi.
JHN.6.30	Tsenñu entsa mandila: ¿Tyee ketaa Diosyaa tsanguekaantsuve tyainuu jumu ke' ñu lalanu keenguikaachuyu tenguen? ¿Ñu tyee ke' keewaanu juyu? 
JHN.6.31	Naajunga Diosa' Kiikanu entsa pillashu: 
JHN.6.32	Tsa detiñu Jesús entsandi pakami: Uwaindiyu Moisésya tsangue' selusha pan pajte' ñulla' tinbu aa-apalanu kuwaindyuve. In Apaa ura selusha jumu pan kuwantsuve. 
JHN.6.33	Tsa' mitya selusha paja' entsa tusha chumu chachillanu Diosba ura' chumishtimu pan juushu juntsa Diosa' kuñu panve, timi.
JHN.6.34	Tsenñu yala tsandila: Bale ruku, tsaaya umaa naa-uwanuba lalanu juntsa pan tene kuwaka, tila.
JHN.6.35	Tsa detiñu Jesús tsandimi: Iyaa chuwaamu panyu. Mun in junga ja' inu kerangue' bain naa-uwanuba panda mutyan dejutyuve, tsenmin naa ne pi juu bain mutyan dejutyuve. 
JHN.6.36	Tsaaren kaspele pa'bandyeesu, ñulla naa inu ma kataake' bain keranguityu deeve. 
JHN.6.37	Naaju chachillanaa in Apa inu kuwañu bain in junga janu detsuve; tsenmala iya in junga jamulanuya majukaren jutyuyu. 
JHN.6.38	Matyu iya selusha pu' pajamiya, maali in pensachi tyee kenu tenñuba tsanguenu jaindyuyu. Iya jamiya inu engu eemu ruku in Apa tyeenguisa tyañu bain tsanguenaa jayu. 
JHN.6.39	Inu engu eemu in Apa entsaaya kisa tyave; ya' inu kuwanu chachillanuya maliba piretyu' demangujtekisa tyave de-inu malunu. 
JHN.6.40	In Apaya entsaaya mutyamuve: mun Diosa' Nanu kata' kerangue' bain naa-uwanuba Diosba ura' chumu detisa tyave; tsenmala iyaa de-inu malusha demangujtenu tsuyu, timi.
JHN.6.41	Tsejtu Jesús tsandi' yaa: Selusha pajamu panyu, tiñu, judío bale rukula dejatsa' pensangue' patu, 
JHN.6.42	entsandila: ¿Entsa José' na, Jesús jutyuu? Lala ya' apanu bain, ya' amanu bain kera deewashuba, tsen, ¿nejtaa challaya selusha pu' pajamuyu titundin? tila.
JHN.6.43	Tsandindetsuñu Jesús entsandimi: Ne paviya kintsutyudei. 
JHN.6.44	Muba in junga ja' inu keranguen dejutyuve, in Apa inu engu eemu rukuren in ajuusha tajaindyuya; tsenmala iyaa de-inu malunu demangujtenu tsuyu. 
JHN.6.45	 ti' pillave Diosa' mitya pamu rukula' kiikanu. Tsa' mitya in Apanaa meedi' ti bain yanaa aseetangue' keetadi' mijashu juntsaa mu bain inu keranguenu detsuve.
JHN.6.46	Ne entsanditu mallee in Apanu kera deeve titundindyuyu; Diosnu fale' jamu mainren keraave. 
JHN.6.47	Uwaindiyu, mun kerangue' bain Diosba chutu naa-i chunuu juñu bain, yumaa juntsa chudiñuu juuve. 
JHN.6.48	Tsenmala iyaa Diosba ura' chumishtimu panyu. 
JHN.6.49	Kaspee chumu ñulla' aa-apala tiba den chutyuin tenasha nendu 
JHN.6.50	Tsaaren iya patintsaashu juntsa panya selusha pajamu pannaa pantsuyu, mun juntsa pan fi' bain manbeyan jutyu pan. 
JHN.6.51	Juntsa, selusha paja' Diosba ura' chumishtimu pan iyaa juntsayu. Mun juntsa pan fi' bain manbeyai'mujchin naa-uwanuba Diosba ura' chunu detsuve. Juntsa iya kuwakenuuwashu juntsa pan in bulaa juntsave. In alla dekunu tsuyu kumuinchi chachilla Diosba ura' chunudetsu, timi.
JHN.6.52	Tsandiñu judíola yai tene paviyai eevitu: ¿Nejtaa entsa ruku ya' allaa lalanu defikaanujdin? tiitila.
JHN.6.53	Tsandindetsuñu Jesús tsandimi: Uwaindiyu ñulla, Chachi Tiya' Nakayamu' alla fityushu juntsaa, tsenmin naa ne ya' asa bain kushtyushu juntsaa, uwain Diosba ura' chunu tiyan dejutyuve. 
JHN.6.54	Mun in alla fimin, naa in asa bain kushminguishu juntsaa uwain naa-uwanuba Diosba ura' chunu detsuve; tsenmala de-inu malubi juntsalanu iya demangujtenu tsuyu. 
JHN.6.55	Matyu in alla ura deendyawaamu pandañu' mitya, tsenmin naa in asa bain ura deendyawaamu kushnu piñu' mitya, uwain Diosba ura' chunu detsuve. 
JHN.6.56	Mun in alla fimin, naa in asa bain kushminguemulaya, iba ma bulu juu dechunmala i bain yaiba ma bulu juu chuyu. 
JHN.6.57	Inu engu eemu Apa naa-uwanuba tsana chumuñu' mitya, i bain ya' mityaa chuyu. Tsenmala mun inu fi' bain in mityaa chunu detsuve. 
JHN.6.58	Tsa' mitya entsaa selusha pajamu panve. Entsa panya ñulla' tinbu aa-apala fituren peyaimuwa deesu juntsa 
JHN.6.59	Jesús entsaa ke' demijakaamiya Cafarnaúmbi yala' cha' waku wakudinu yanaa tsanguemi.
JHN.6.60	Jesús tsandi' dyañu ya' bendaa neneimu chachilla, yuj entsa entsandila: Entsa patishu juntsa kuinda naake' keranguen tsaave, ¿ka tsaa kuindanuba maa meedichu deenga? tiitila.
JHN.6.61	Tsejtu tsandi' yai tene paviya kendetsuñuba Jesús mijatu, yalanu tsandimi: ¿I entsandiñu ñullanaa jayuba ura' meejatyutyuka? 
JHN.6.62	Tsaashu juntsaa, ¿kayu naa tyanuj deeyu tsandenna Chachi Tiya' Nakayamunu ya' kaspee chuinsha selusha ma maluintsu katatuya? 
JHN.6.63	Espírituya uwain Diosba ura' chumishtimuve, tsaaren cha' allaya tiba uraanuu kityuve. Tsenmala iya ñullanu patintsaashu juntsa palaaya Espíritu' mityaa faamumin Diosba ura' chumishtinu palaa bain dejuve, 
JHN.6.64	tsaanuren chaiba ñulla mantsa inu keranguindetyuve, timi.
JHN.6.64	Jesús ya' taawasha kenu peepunduren, ya yumaa mun yanu keranguityu deeñu bain mi ju', mun yanu tu'kaanuu juñu bain miwa' mityaa, tsandimi. 
JHN.6.65	Tsejtu kayu pa' jindu entsandimi: Tsaañu' mityandiwayu in Aparen in ajuusha jakaanu kikarendyuya, mu bain in junga janu dejutyuve, timi.
JHN.6.66	Jesús tsandiñu' mitya, ya' bendaa nemu chachilla pure' demanba'ke' mijiila, tsa-i' yaba manetyui tiyala. 
JHN.6.67	Tsa deiñu Jesús ya' disipulula 12 ruku jumulanu entsandi pake'meemi: ¿Ñui bain inu demanba'ke' miinu tenguen? timi.
JHN.6.68	Tsandiñu Simón Pedro entsandimi: Bale Ruku, tsen, lala ñunu mandyaike' miitu, ¿munaa kayu masuudinu dejuwa? Ñu' palaaya naa-uwanuba Diosba ura' chumishtimu palaa deeve. 
JHN.6.69	Lalaya yumaa tinbu ñunu dekeranguiyu, tsenmin mideeyu naa ñuya Dioschin juu chachiñu bain, timi.
JHN.6.70	Tsenñu Jesús entsa mandimi: ¿Iya ñullanu 12 unbere mi'ke' kaindyuwa? Tsanguiñuren, mainya dyabuluve, timi.
JHN.6.71	Jesús tsanditu Simón Iscariote' na, Judasnu laapu' pataa tsandimi. Jesús 12 unbere mi'ke' kañu entsa kayamu rukuren, yanu tu'kaanu juñuba mi' mityaa tsandimi.
JHN.7.1	Entsaa i' depuitu Jesús Galilea tutalan neitu, Judea tushaa nenu kityu jujuumi, jungaa judío bale rukula yanu tu'nu mi'kes nendetsuñu' mitya. 
JHN.7.2	Tsejtu tsaita nentsuren judío chachillachi yapaya ke' fandangu kiikenu tinbu yumaa jantsuñu' mitya, 
JHN.7.3	ya' naatalala yanu entsandila: Vee mujtaa lu' ji', ñu tyeenguiikemu ju'ba tsangue keewares nede; Judeashaa jide, tsenmalaa ñu' bendaa nemula bain ñu tyeenguentsuñuba katanudetsu. 
JHN.7.4	Matyu muchiba uwain daj rukuve tikutinu tyashu juntsaa, naa ti bain ne pantsu juundene kityuwa deeve. Tsa' mitya ñu tsa tsanguemuya muba dekeenaa tsangue' keewaawaakide, tila.
JHN.7.5	Tsaaren ya' naatalala tsandilaya, yai bain yanu keranguityu de' mityaa, tsandila. 
JHN.7.6	Tsenñu Jesús entsandimi yalanu: Fandangu jinu ju'ba ñuichiya naaju malunu kiñuba tsaren juuñu bain, inchiya tsanguenu malu kayu jaindyuve. 
JHN.7.7	Ñullaya ujcha lan chumu chachillachi tyutyakayan dejutyuve, tyutyamiya inaa tyutyamu deeve, yala' kiikentsumunu tsanguetaa ura' kindetyaa ti', iya ma entsangue de-aseetanguikare' keewaawaa kentsuñu' mitya. 
JHN.7.8	Ñullaa fandangu jidei, iya jin jutyuyu; chaiba kayu inchiya tsanguenu ura jaindyuve, timi.
JHN.7.9	Jesús entsanditu Galileabi shuwaimi.
JHN.7.10	Tsejturen ya' naatalala umaa dejiñu, Jesús bain bene maali fandangu kinsha ji' pantsuu punañunami. 
JHN.7.11	Tsenñu juntsa fandangu kenu malutala yanu judío bale rukula mi'kes nenchin juutu entsa entsandila: ¿Juntsa ruku nukaa puñanga? tiitila.
JHN.7.12	Tsenmin naaju chachilla bain junu pumulaa yanu laapu' kuinda tene kiiketu, mantsaa: Aa ura' rukuve, detiñun, mantsalaya: Ti' mityaaba ne ura' rukuu juba jutyuve, chachillanu anbukuinda keranguikares nenun balee rukuve, tiitila. 
JHN.7.13	Tsejturen naa mu bain, naatinu tya' bain, tsandi panu jutyu dus panchi tene jujuula, judío bale rukulanu jelanchiren.
JHN.7.14	Fandangu nan malu kemu deju'ba yumaa ma kejtaa jingue kindetsunu uranu, Jesús aa elesha chunu juusha avindaa tenasha ji' chachillanu mijakaantsumi. 
JHN.7.15	Tsenñu judío bale rukula mika keenbashindu entsa entsandila: Tsen, ¿nejtaa tsamantsa mitun entsa ruku naa nukaba kiika vi'mujchiba? tiitila.
JHN.7.16	Tsandindetsuñu Jesús entsandimi: Iya mijakaakentsaashu juntsa in pensasha faamu jutyuve, inu engu eemu ruku' mijakarave. 
JHN.7.17	Matyu mun Dios naakesa tyañu bain tsanguenu tyamulaya, aseetanguenu dejuve in mijakaakintsaashu juntsa, uwain Dioschi mijakarañu bain, naa ne maali in pensasha kalarañu bain. 
JHN.7.18	Mun maali ya' pensachi tsandindya' ne patintsushu juntsaa, chachillachi daj katawachi tyataa tsandimu deeve, tsaaren mun yanu eemu rukunaa chachillachi ura' katakaachi tya' kemuya, uwain ura' kentsuve, tsenmin yanuya naati' ne ura' kendyuve tinuba dejutyuve.
JHN.7.19	¿Moisésya ñullanu lei kumuwaatyuka? Tsaanuren ñulla muba juntsa leinu meepungui kityu deeve. ¿Nenñaa ñulla inu tu'nu tenguen? timi.
JHN.7.20	Tsenñu chachilla entsandila: ¡Ura ñu dyabuluchi ma kayaamee tenve! ¿Maa ñunu tu'nu detyan? tila.
JHN.7.21	Tsenñu Jesús kayu pa' jindu tsandimi: Ñulla tsamantsa jatsandya' inu mika dekeenbaishve, lekanu malunu iya ma bijee tyeeba kikiñun. 
JHN.7.22	Tsaaren ñullanu Moisés Dioschi señas inu demandanguiñu (ura patiñuya Moisésya tsaa mandanguindyu, ñulla' aa-apala tinbunuren yumaa tsanguentsumuwa deeñu), ñulla naa saaduma lekanu malu'baasa ¿tsanguemu dejutyuu? 
JHN.7.23	Ñulla Moisés' wandya lei naatiñuba tsanguenu tyanchin saaduma lekanu malunun Dioschi señas kiikemulaba, ¿inu tsamantsa ajaa tenguee, naa lekanu maluñu bain iya ma rukunu ura' mandireñuba? 
JHN.7.24	Naa-uwanu kavitu ke' bain kayu ura' mijturen kuipa putyudei; uwain tsaañuba ura' aseetanguitaa kidei, timi.
JHN.7.25	Tsenñu mantsa Jerusalénbi chulla, yai tene veta' veta' pake'meranjui depaishtu entsandintsula: Tsen, ¿entsa rukunaa tu'nu mi'kes nendetsutyuu? 
JHN.7.26	Juntsanashaaka junu cha' kejtsapala kuinda kiken uinami, tsaaren naa muba yanu bulla kindetyuve. ¿Naa bale rukula bain uwain entsaa Dioschi Mi'ke' Kayamuve tya', yai bain umaa keranguituden, bulla ki'la? 
JHN.7.27	Tsaaren Dioschi Mi'ke' Kayamu janmalaya nukaa ja' tsaiñuba muba minu dejutyuve, tsaanuren lala mideeyu entsa rukuya nukaa fale' jamuñu bain, tiitila.
JHN.7.28+JHN.7.29	Tsejtu tsandindetsuñu Jesús meenatu, aa elesha chunu jurusha avindala pu' mijakarentsu' mitya, kayu daran palaachi pa' entsandimi: ¿Tsejtu uwain ñulla inu kera dejuu, tsenmin iya nuka jamuñu bain midejuu? Tsaaren iya maali ne tsai' jachi tenñu jaindyuyu engu; ya naati'ba uwaindive tyakaanuu jumu rukaa inu engu eeñu iyu tsai' jami. Ñullaa juntsa rukunu kerajdetuve, tsaanuren iya ya' jungaa fale', ya eeñu jamu' mitya, yanu kerayu, timi.
JHN.7.30	Tsandiñu judío bale rukula peesu kanu tyatun, naa muba yanu ne ta'kajiiba i'la, kayu Jesúschi peesu kayanu tinbu jaindyuñu' mitya. 
JHN.7.31	Naa tsaañu bain, pure' chachi Jesúsnu keenguiketu entsandinchin juula: ¿Entsa ruku' kiikishu juntsa, matyu Diosyaa tsanguekaantsuve tyainuu ke' keewara jumu, Dioschi Mi'ke' Kayamu jatu kayu pullaa kichunga? tiitila.
JHN.7.32	Tsejtu chachilla tsandindetsuñu, fariseo chachilla demeetu, chachilla' mitya Diosnu kalen jimula' bale rukulaba debuudi' aa elesha washkemu chachillanu eela Jesúsnu peesu kanu. 
JHN.7.33	Tsa deiñu Jesús entsandimi: Iya chaikama ñuiba bulu pu'ba, wajturen inu eemu ruku' junga miinu tsuyu. 
JHN.7.34	Tsenmala ñulla inu mami'kituren katai'nu detsuve, iya nukaa punuuñu bain ñulla junga janu dejutyu' mitya, timi.
JHN.7.35	Tsandiñu judío bale rukula yai tene veta' veta' pake'meran juutu entsandintsula: Tsen, ¿entsa ruku nukaa jiñaa lala mangatai'nu dejuwa? Tsandenna, ¿yala' tu jutyusharen judíola chudenashu junga ji', naa judío chachi jutyulanu bain kuinda mijakares nenaandin tsandimi? 
JHN.7.36	Tsen, ¿tyeenditundin: Ñulla inu mami'kituren katai'nu detsuve; tsenmin: I nukaa puñu bain ñullaa junga janu dejutyuve, timi? tiitila.
JHN.7.37	Fandangu de-inu malusha, kayu bale malunu, Jesús uidi' patu daran palaachi entsandimi: Mun pi mujñuba in junga ja' kushdei. 
JHN.7.38	Naatinga Diosa' Kiikanuren, 
JHN.7.39	Tsaaren Jesús tsanditu, yanu keranguemulaya bene Espíritu kanu detsuve titaa tsandimi. Juntsa uwanuya Espíritu kayu jaindyumi, Jesús kayu peya' mangujta' selusha malu' tsamantsa balen chachi mandiyaindyuñu' mitya.
JHN.7.40	Jesús tsandi' dyañu mantsala yanu meenamulaya entsandila: Uwain entsa rukaa janu keedenaashu juntsa Diosa' mitya pamu rukuñuve, tiitila.
JHN.7.41	Tsenmala veela bain: Entsaa Dioschi Mi'ke' Kayamuve, tiitila; tsenmala kayu veelaya: Entsaa verave, Dioschi Mi'ke' Kayamuya Galileasha chumu chachi jun jutyuve. 
JHN.7.42	Diosa' Kiikanu, Dioschi Mi'ke' Kayamuya rei Davidnu sera' jamu chachillanaa fale' janu juve ti' pillave. Tsenmin rei David milla Belén pebulunaa chumuwaañu' mitya, juntsa pebulubiee faanu juve ti' pillave, tiitila.
JHN.7.43	Tsai' chachilla Jesús' mityaren main main vee vee pensa juu tiyaila. 
JHN.7.44	Tsejtu mantsala Jesúsnu peesu ka' jinu pensa dekituren, muba tsangui'la.
JHN.7.45	Aa elesha washkemu chachilla naa fariseola bain, naa chachilla' mitya Diosnu kalen jimula' bale rukula bain wa'nainsha miila. Tsa deiñu juntsa balela yalanu entsandi pake'meela: ¿Nenñaa deka' taatyuyu? tila.
JHN.7.46	Tsenñu aa elesha washkemu chachilla entsandikala: Jayuuba naa munu bain, juntsa ruku naati pamuñuba ne tsandi pantsu mera' kerajtuwa deeyu, tikala.
JHN.7.47	Tsa detikañu fariseola entsandila: ¿Naa ñui bain yumaa yachi anbukuinda ikuti' dechi'kayaa? 
JHN.7.48	¿Tsejtu lala' bale rukula bain, naa fariseola bain mallee yanu dekeranguiwa? 
JHN.7.49	Keranguindetyuyu. Tsaaren juntsa chachilla yanu keranguikindetsushu juntsalaya, Moisés' wandya lei mijtu chachi, Dioschi kavitu i' kuipa ma puu chachi jumula deeve, tila.
JHN.7.50	Tsa detiñuren ma ruku Nicodemoya, naa ya bain fariseo bale chachi ju' bain, ma bijee Jesúsnu katanu ji' ma mityakiimu rukuya entsandimi: 
JHN.7.51	¿Tsejtu lala' leiya ma ruku ti firu' kikeñu bain, pake'mera' mijaba i'mujchin kuipa punuu juve tin? timi.
JHN.7.52	Tsandiñu yala entsa mandikala: ¿Tsaashu juntsaa, ñu bain Galileasha chumuu? Diosa' Kiikanu tejan mi'ke'kerakide; tsejtu ñu katanu tsuve maliiba Diosa' mitya pamu rukulaya Galileashaa faatyuwa deeñu bain, tila.
JHN.7.53	Tsandi' dyatu bene main main yala' yasha miila.
JHN.8.1	Tsenñu Jesúsya Ulibu chi chunu kuyisha jimi. 
JHN.8.2	Tsejturen ayunchi dishkepenene manen aa eleshasha miiñu chachilla tsamantsai wa'dila. Tsa deiñu Jesús chudi' manen yalanu mamijakaantsumi.
JHN.8.3	Tsangue' mijakaanu uwanu leichi mashturula, fariseo chachillaba bulu ya' junga jila, ma shinbu vee matsainduren ma katawaimu shinbunu miyaa. Tsai' detajitu juntsa shinbunu cha' kejtsapala uyukare', 
JHN.8.4	Jesúsnu entsangue pake'meela: Mashturu, entsa shinbu vee matsaindu ura tsanguenu uwanu ma katawaive. 
JHN.8.5	Moisés' wandya leichiya tsaimu shinbulanu shupukachi tya'ke' tu'nuu dejuve timuwaañuba, ¿ñaa, naa tiyu? tila.
JHN.8.6	Yala tsandi' pake'meelaya Jesús pakatu kuipa viinuu palaa paka'banguenmalaya, kuipa puchi tyataa tsandila. Tsenñuren Jesús naa pakabangui'mujchi wayu' chudi' tunu tyamishuchi ne piikedundaimi. 
JHN.8.7	Tsanaturen juntsa chachilla pake'mera dyaindetyuñu' mitya, Jesús uiditu entsandimi: Ñulla mun jaiba ujcha tajtu ju'ba, juntsaa shupuka ajke' tya'kide, timi.
JHN.8.8	Tsandi' dyatu manen mawayu' chudi' tunuren manbiikentsumi. 
