MAT.1.1	Ma əlfa na Zezu Krestu, wətən Davitti*, wətən Abraham:
ACT.28.8	Affən Publiyus tay də gbəgba' na gamba gəm gədəviya, Pol ambatək azani azulika, aɗiyək van akani, ambəlka. 
ACT.28.9	Dərɓaga ambəl gən ɗəffəska, məs gbəgbaɗe na mətuwəra pak azoŋguk aza Pol, ambəlgitike. 
ACT.28.10	Aɗɗaŋ səmənək gakdak də tive temtem diiɗa. Adan mədawtoŋ adəv bəlay vi kawmbata, apsəmənək zəga məs wəray nam azan aka tive na malaka pakə.
ACT.28.11	Dərɓaga təla hoku agəɗə məmbatək də bəlay məs dəde sə Aleksandiriya, məs adawyaŋ na maŋgəlveɗ meseŋɗe. Ndəni məs dəzəv aka mətuwəra nani. 
ACT.28.12	Məgapək awalaŋ gəla na Sirakus, məsamək adak wəvoŋ hoku. 
ACT.28.13	Məsilik sədaka məgapək awalaŋ gəla na Regiyus. Vit pumpum nani, səmnya na dohoŋ atəŋgək wəɓla. Pay sula agəɗə, ndəni məgap atəki na prike net bəlayɗe a Potiyoli. 
ACT.28.14	Mərahək ɗii na Maŋgəlva adaka, assohomənək məgəɗ gən walaŋ lumo taka anetda. Vaski məgap a Roma. 
ACT.28.15	Adan milmiŋgiɗəm na Roma apprəmən labara nam na, azoŋguk a Lumo-na-Appiyus gəm Atəki-Naw-Ziw-Hoku. Vi kalmaŋ də mənamə. Adan Pol awle, agəɗək soko sən Maŋgəlva makran bo anneke.
ACT.28.16	Adan məgap a Roma, apsənənək tive sən Pol dəsan gən adəv gəla nani, amma sozeɗ bo dəganən gəni.
ACT.28.17	Yaŋ agəɗ pay hoku ni, Pol ayek ɗii gugiriɗ net Yahudiyenɗe na Roma, akkalaŋka, yaŋ apsit na: Milmiŋgiɗwa, nəgəɗ sit mbrayen sit ɗii nam ɓa, walla aka matuya net ɓa, amma arəmwənək sə Zerusalem, apsuwənək sit ɗii na Roma. 
ACT.28.18	Net bo assohowənka, mi nəgəɗ di, yaŋ aŋglaŋ wəppawəni vi awlanənək na nəgəɗ mbrayen ko suɗike gala nawbayu akan ɓa. 
ACT.28.19	Amma adan Yahudiyenɗe dəŋglaŋ dəppawən gən ɓa, yaŋ nula wənnan na dewleyi azaw nəŋgəl gən kita naw aza məlĩ na Roma. Vi ko əntat də wənna wəli ɗii naw ɓa. 
ACT.28.20	Vini nəyukum, vi kawlukum, kawpel sukum bo. Aka wənna ɗəf məs Israyelɗe agaŋ, ndəni aynawən dit ngiyamɗe aka wənnani. 
ACT.28.21	Apsənən na: Mərah ɗerewel sə Zude aka wən nok ɓa, ɗəf nam tay dəde sədak aŋ nawnah səm məs dəgəɗ akok ɓa. 
ACT.28.22	Amma mamaka wəpprəm an kədaɗum sən ɗa, vi ko aŋga pak tahəŋ wəzelenən wənnet ɗii məs kəsok aretiŋki.
ACT.28.23	Yaŋ aɗiyən pay məs adakkalaŋ əmpa. Yaŋ kan pay nan agapə, ɗii məs dəkkalaŋ atəki məs Pol asani, adayək ki laŋka də diiɗa net ɗiiyi. Pol asɓətək aka wəpprəman sit gabba wənnani, də wərban sit wənna məlĩ na Maŋgəlva. Agayək də wərban sit goŋga na wənna Zezu də wəpprəmansit wənna dəv ɗerewel na ma henziŋ də wənnet məs kleŋɗe. 
ACT.28.24	Ɗii meɓɓet atafənək an Pol adawpele, amma ɗii meɓɓet dətafən wənnan ɓa. 
ACT.28.25	Yaŋ daga ada tərayaŋ, tahəŋ wəbayaŋ ma awalaŋ ziti daga dəɓəlaŋ wətərayaŋ tagay ɓa. Yaŋ Pol anah sit wən taka: An məs Əmpəs Salala anah sit dəhiŋgiɗkum də ma məs kleŋ Ezay agəɗək gesiŋ kakaŋka. 
ACT.28.26	Maŋgəlva amna:
ACT.28.26	Doku nah sit ɗii naw na:
ACT.28.26	Wakəpprəmən lewlewi amma kəsənən na gabban ɓa.
ACT.28.26	Wakulanən lewlewi, amma kəsəŋgəna ɓa.
ACT.28.27	Ɗiiyiŋki kiyit ɓəlli,
ACT.28.27	asukunək sləmeti, aɗəpunək hereti,
ACT.28.27	va vas ɓana heret wawələ, sləmet wapprəmə,
ACT.28.27	makret wasən gabbani wakpaŋgaŋ azawa,
ACT.28.27	wanəmbəl giti vaski Maŋgəlva anahə.
ACT.28.28	Yaŋ Pol anah əmpa na: Say kəsənən gən na Maŋgəlva aslənək labara na koh nan azet ɗii məza Yahudiyenɗeŋ ɓa. Net na wapprəməni! 
ACT.28.29	[Səza abay ma wəpel nani, Yahudiyenɗe ambataŋka, tahəŋ wəbayaŋ ma awalaŋ zit də sembe aka wənnani.]
ACT.28.30	Wəsva sula Pol asan adəv gəla nawfaɗ akani. Tay taf ɗiiyen dədazoŋ azan pakə. 
ACT.28.31	Arbanək wənna məlĩ na Maŋgəlva, arbanək wənna Zezu Ɗəfdaya, apelik də zən soksoku, ɗəf tay dədatakən ɓa.
ROM.1.1	Letərəŋka Pol məs dəsan balam na Zezu Krestu wi dəver azet kretiyenɗe na Roma.
ROM.1.1	Maŋgəlva ayuwəka, aɗiwək ka masləŋ nani, awelwəka ka nərban gən Labara Nenek nani. 
ROM.1.2	Vi Maŋgəlva anəhək wənna Labara Nenek nan də met məs kleŋɗe daga farə, adəv ɗerewel nani, wakohgit ɗiiyi va məŋɗan wənnan adəv ɗerewel an salala*. 
ROM.1.3+ROM.1.4	Kakaŋ na aɗɗak wəkoh nak də Wətəni, ndəni Zezu Krestu Ɗəfdaya namə. Muwani Zezu Krestu adəv ma əlfa na məlĩ Davitti. Amma Əmpəs Salala* na Maŋgəlva arbanək wənnan appaka ta'ə, ndəni Wətən Maŋgəlva*, daga pay asil gən suweleŋgit ɗii mimtit də sembe nani. 
ROM.1.5	Vi wənnani, Maŋgəlva avay tive nəkpaŋ gən masləŋ nani, vi nəka gən Labara Nenek nan sit ɗii namba dələv pakə, dətafən gəni, dəpprəmən gən ma Maŋgəlva də wə gakdakan iya na Krestu. 
ROM.1.6	Nokum bo, aweleŋgit ɗii məs Maŋgəlva ayə dəsoŋ gən ka ɗii na Krestu kənanaŋ.
ROM.1.7	Nəsɗo kumko munokum ɗii na Maŋgəlva a Roma pakə, ayukumko ka kəsoŋ gən ɗii nani. Maŋgəlva Affəmə də Ɗəfdaya namə də Ɗəfdaya nam Zezu Krestu dəpsukumən mbəlembəle də zam neti.
ROM.1.8	Vi zəzay na Zezu Krestu, əntatəɗɗa soko sən Maŋgəlva naw vikum pakə, ko aŋga a duniya pak ɗii tay pelin wənna taf nokum. 
ROM.1.9	Pay məs nədawzuli sən Maŋgəlva pakə, əntatəɗumon wən nokum. Wən nan gesiŋgi, Maŋgəlvayi naɗɗa saydawa akawa, əntatə gəɗ sən wəza də makraw taka, ndəni wərban Labara Nenek na Wətəni. 
ROM.1.10	Pay pak əntatə kaman Maŋgəlva də zaɓan suwə gən wənna mbat naw anokumda, an aŋgerke. 
ROM.1.11	Mawaka ulukum sawɓa, vi kawɗakan zəga məs əmpəs na Maŋgəlva avay suwa. Vaski nəŋgəl wəsɓokum. 
ROM.1.12	Vas kana, məsɓan səm zəm də wətaf namə, ina anəsɓokum də ətaf nawa, munokum bo, wakəsɓawən də wətaf nokum.
ROM.1.13	Milmiŋgiɗwa, nəŋgəl kəsənən gən na, təl ɓəɓɓay nəkay tive naw mbat anokumda, amma ha kakaŋka Maŋgəlva dəvay su tive tagay ɓa. Nəŋgəl na nərah gən ɗii naw tubi anokumda, va nərah anet ɗii da aka dələv maɓɓani. 
ROM.1.14	Aŋ wəza nawi, dewle nəka gən wənnan azet məsənaŋ zəga, dit ɗii məs dəsənaŋ zəga ɓa. 
ROM.1.15	Vini nəkay tive narban sukum Labara Nenek na Maŋgəlva, munokum ɗii na Roma tamə.
ROM.1.16	Wil aduwənna darban Labara Nenek na Maŋgəlva ɓa, vi sembe na Maŋgəlva taya dəvən. Labara nan waɓap wəkoh git ɗii məs dətafən pakə, anet Yahudiyenɗe adawkoh git dabəŋ, asna ɗii məza Grekɗe ɓa kana. 
ROM.1.17	Vi də Labara Nenek vani Maŋgəlva arbana də wətafi ɗəf adawsan təstəs abani, daga wətəŋ nani, ha gap wəgrak nani: Va məverin adəv ɗerewel anah na: Say də wətafi ɗəf adawsan təstəs aba Maŋgəlva, ɗəf nan wasan də zeŋgille vi ətaf nani.
ROM.1.18	Əda gədəv na Maŋgəlva arbanək zən daga sə disiŋ, gədəvən adək aka mambray də ɗarɗar an məs ɗii adaɗɗaŋ pakə, dəsbanən an Maŋgəlva aŋgəl ɓa. Mambray net aɗamanək goŋga na Maŋgəlva. 
ROM.1.19	Maŋgəlva atawək kita aketi, vi an məs ɗəf adawɓap wəsən Maŋgəlva pak ama hereti appaka ta'ə. Vi Maŋgəlvayi dəvan dərbansiti. 
ROM.1.20	Gesiŋ ɗəf tay dədawɓap ula Maŋgəlva ɓa, amma daga azəməɗ dəlva, sembe nani dəkpak nan pak arban sitik ɗii də wəza nani. Vi wənnani ɗii tahəŋ də tive nawnah na məsən ɓaɓa. 
ROM.1.21	Asənənək Maŋgəlva, amma də gakdakanən va an dəslə ɓa, dəɗɗaŋ sənən soko ɓa. Vi wənnani kana, wəɗum net akpaŋgək dərwa, makret mbrayeni aknahək də guzliyo. 
ROM.1.22	Yaŋ adaw kaɓaŋ, azet na asənaŋgək zega, amma akpaŋgaŋgək dərweŋge. 
ROM.1.23	Dəngereŋ wəzuliyaŋ kaw gakdakan Maŋgəlva məs amta ɓaɓa nɗəɗaŋ dal əzuli sit fotoɗe net ɗii mimtiti, dit biŋgeɗi, dit zigeɗ mamayeɗi, gəm zigeɗ məkroketi.
ROM.1.24	Vini Maŋgəlva apet dəsbanən gən wəɗum na makreti, dəray gənən gən zit də wəza na wil net məs adaɗɗaŋ awalaŋ ziti. 
ROM.1.25	Akpaŋganənək goŋga na Maŋgəlva ka tepelke, azuliyaŋ sənənək zəga məs Maŋgəlva agəɗe, də wəgəɗ sən wəza apanənək ɗəf məs dəɗɗa zəga van dərəŋ, aslək wəgakdakan anan ha faɗə. Amin.
ROM.1.26	Vini Maŋgəlva apet adəv wəsim zəga na wil netiŋka. Gil net bo, akpaŋganənək wəvoŋ an dəslə, də an məs dəslə aza ɗəf ɓa. 
ROM.1.27	Vaski bo, zel apanən wəvoŋ dit gili, say əvoŋ dit zel tusso, vaski kan adaɗɗanən zəga na wil nani. Warəhaŋ kita va an dəslə aza mambray net an adaɗɗaŋ.
ROM.1.28	Adan dəŋglaŋ wəsən Maŋgəlva ɓa. Vini Maŋgəlva apet dəɗɗanən gən wəɗum mbrayen neti, dəɗɗanən gən an məza tay lew ɓa. 
ROM.1.29	Tahəŋ wətafən wən naɗɗa wəza mambray ko muwandi pak pay pakə, aknəhaŋgək də wəsim zəga temtemi, də wəɗɗa zəga nzeɗi də kotoroku, tay bayaŋ gəbaya, tay gayaŋ dit ɗiiyi, məɗɗaŋ vuruməŋ də uwa tepelke. 
ROM.1.30	Tay peleŋ wənnasiya aza ziti, tay zelin Maŋgəlva. Məkayaŋ mamaŋ, məzuɗiyən ki zitiŋ, məzu gakadakanən zitiŋ ɗarə. Pay pak tay kayaŋ tive meleketen naɗɗa mambraya. Apprəmən met migilit ɓa. 
ROM.1.31	Tahəŋ də əɗum mogon ɓa, aslgaŋ sləma aka wən məs aynaŋ ɓa, əŋgla taya zet ɓa, awlaŋ saha aket ɗii ɓa. 
ROM.1.32	Asənənək kita na Maŋgəlva gesiŋ, ɗii məɗɗaŋ zev wəza vas pak kita net say əbeyti. Də as pak tayəɗɗanən wəza nan vaska'a. An məs dəray day van əmpa na, yaŋ kadaw ɗiyən kiyit məɗɗaŋ zev wəza vas pakə.
ROM.2.1	Is ɗəf mətaw kita aket ɗiiyi, akə nah na kamə ɓa, ko nawa kənan di pakə. Kita məs kədataw aket ɗii vanəŋka, aka zuk tusso kədataw kita nani, vi istatəɗɗa zev wəza məs mətaw sit kita akani. 
ROM.2.2	Məsənka kita məs Maŋgəlva adataw aket ɗii məɗɗaŋ zəv wəza vaskəŋka, kita nan də goŋgay. 
ROM.2.3	Ya munokum mətawaŋ kita aket ɗii məɗɗaŋ zev wəza vaska, ya nokum bo munokum tatəɗɗanən zev wəza vaneti, azokum na wakukohoŋ səma kita na Maŋgəlva sa? 
ROM.2.4	Walla munokum tatə zelin mogon nanəŋ metiŋginəŋ də an adaw ɓəsnəŋ sa? Kəsənən na, mogon na Maŋgəlva na, ndəni dəda kpaŋgokum kətubiyaŋ gəni kəmilyoŋ gən azan ɓa sa? 
ROM.2.5	Amma makrokum ɓəlli kəngereŋ ətubi ɓa. Də wəɗɗa vaski kəda tattuwãhnən kita na Maŋgəlva diiɗa akokum pay adarban zən də wəda gədəv nan də kita nan an də goŋga. 
ROM.2.6	Ko naway pakə, wafaɗ sən va aza wəza nan məs agəɗə. 
ROM.2.7	Ɗii məzu sokən zit wəɗɗa mogoni, də gakdak nani, də zeŋgille məza amta ɓa, Maŋgəlva wapsit zeŋgille nassa ha faɗə. 
ROM.2.8	Amma ɗii məs dəɓoŋgoŋ akani, dəsbanən goŋga nan ɓa, dəppanən zit sən zəga mbrayen, Maŋgəlva waki wədda gədəv nan də tattuwãh nan pak aketi. 
ROM.2.9	Məɗɗaŋ wəza mambray pakə, wazəm saha an də tattuwãh pak wade aketi, dabəŋ nani aket Yahudiyenɗe, asna aket ɗii pak məs dəsənən Maŋgəlva ɓa. 
ROM.2.10	Amma ko naway dəgəɗ mogoni, ko Yahudiyen, ko ɗəf məza Yahudiyenni ɓa pak Maŋgəlva wapsən gakdaka də zam nani də wəɗi kiti. 
ROM.2.11	Vi Maŋgəlva awɗeket ɗii ɓa.
ROM.2.12	Ɗii məza Yahudiyenɗeŋ ɓa, dəsənən ma henziŋ na Maŋgəlva ɓa, aɗɗaŋgək mbrayen, net wazaŋ məza də ma henziŋ ɓa. Amma Grekɗe, asənənək ma henziŋ na Maŋgəlva, də as pak aɗɗaŋgək mambraya, net katawi kita aket də ma henziŋ na Maŋgəlva. 
ROM.2.13	Ɗəf arah na wəsan təstəs aba Maŋgəlva də əpprəm ma henziŋ na Maŋgəlva də sləman kaaka ɓa, say də wəsbani də əɗɗa an məs ma henziŋ anahə. 
ROM.2.14	Ɗiiyen Yahudiyenɗeŋ ɓa, dəsənən ma henziŋ məs Maŋgəlva apsit ɓa, an ndəɗaŋ sən kiyit asbanənək də əŋgla neti, an məs ma henziŋ anahə, asna akayaŋgək ma henziŋ sən kiti, ko vi Maŋgəlva dəpsit vanet Yahudiyenɗe ɓa zlaŋ. 
ROM.2.15	An məs ma henziŋ aŋgəl naɗɗa tay məverin amekreti, wəza net dədarban wənnani. Wəɗum net tayərbani, ya pay mbrən bo wəɗum net tay taw kita aketi, pay mbrən bo tay təki. 
ROM.2.16	Payan nawtaw kita adazani, Maŋgəlva də Zezu Krestu watawən kita aka wəɗum məs dəɗam amekret ɗiiyi, warban zəni, va Labara Nenek məs nədarban wənnan anahə.
ROM.2.17	Amma nok istatəɗi zuk na Yahudiyen kənani, aka ma henziŋ kəziwi, istatə gakdakan zuk də wənna Maŋgəlva noko, 
ROM.2.18	kəsənək wəɗɗa əŋgla na Maŋgəlva, vi ma henziŋ nan arban sukuk tive ka kəwel gən zəga mogoni. 
ROM.2.19	Azok na wakəɓap wəkdəh deŋgerɗe, wakəɓap wəsok va təki babar net ɗii məzet ara guzliyo. 
ROM.2.20	Istə mərbə zəga sit ɗii məs dəsənaŋ zəga ɓa, istə mərbə zəga sit kirin məmeɗeŋɗe, vi zəga an kəsən də goŋga pak sədəv ma henziŋ kərəha. 
ROM.2.21	Is mərbə zəga sit ɗiiyi, ya vimi karban sən zuk ɓa di? Istatərban wənnan sit ɗii na, kədaw hãl ɓa, ya vi mi nok kədaw hãl di? 
ROM.2.22	Istatə nah sit ɗii na, kədaɗɗaŋ mana'a ɓa, ya vimi nok kəɗɗa mana'a di? Istatə zel matuya, ya vi mi kədaw hãl zəga sədəvət gileɗe nan di? 
ROM.2.23	Istatə gakdakan zuko vi Maŋgəlva apsukuk ma henziŋ, amma istatə zel gakdak na Maŋgəlva, də wəɗɗa an ma henziŋ nan atak daɗɗa. 
ROM.2.24	Va ɗerewel anah na: Ɗii namba dələv pak tay peleŋ mbrayen aka wənna Maŋgəlva, vi wən nokum munokum Yahudiyenɗe.
ROM.2.25	Wən na wəskəlawra atər suk na wəray ɓa, say an kəsbanək ma henziŋ də goŋga. Amma an kəɗɗak an məs ma henziŋ atakə, wəskəl awra akpaŋgək zəga ɗar azoko, nok dakadaka kənan də ɗəf məs dəskəl awra ɓa. 
ROM.2.26	Ya an ɗəf ɗar asbanək an məs ma henziŋ anah na, Maŋgəlva awlana va məskəlawra ɓa sa? 
ROM.2.27	Ɗef ɗar məs dəskəl awra ɓa, amma an asbanək wənna ma henziŋ, wataw kita akok iskəŋ məza kasban wənna ma henziŋ ɓa, ko vi istat də wənnan məverin, də əskəl awra zlaŋ vaski adawsani. 
ROM.2.28	Ɗəffan dəsan Yahudiyen aza gəɓa zən appaka kaaka'ə, Maŋgəlva aŋɗan na aweleŋgit ɗii nan ɓa, say ɗəf məs dəkpaŋ Yahudiyen amakrani. 
ROM.2.29	Ɗəf məs dəskəl awra aza zəni, nan Yahudiyen an də goŋgay ɓa, say an məs dəskəl awra amakrani. Wəskəl awra an də goŋga, say də Əmpəs na Maŋgəlva adawsani, asanna də wənna dəv ɗerewel na ma henziŋ ɓa, Yahudiyen an də goŋga, akay na gakdak nan avet ɗii ɓa, say aza Maŋgəlva kaaka'ə.
ROM.3.1	Ya an vaski na, də mi Yahudiyenɗe adayaŋ kiyit ɗii məs Yahudiyenɗeŋ ɓa di? Wəskəl awra net tay də sləman sa? 
ROM.3.2	Gesiŋ, tay də sləman diiɗa. Dabəŋ nani, Maŋgəlva apanək wəpel nan mogon aveti. 
ROM.3.3	An ɗii meɓɓet suweleŋgit tahəŋ də goŋga ɓana, watak goŋga na Maŋgəlva sa? 
ROM.3.4	Atak na ɓa sam! Maŋgəlva warban na də goŋgay, ko an ɗii pak akpaŋgaŋgək məwaŋ tepelke. Va ɗerewel anah na:
ROM.3.4	Say ɗii dəsənən gən təstəs noko, də wəpel noko,
ROM.3.4	wakədayki ɗəf məs dədaw yuk aka kita.
ROM.3.5	Ya an mambray məs mədaɗɗaŋ arbanək na Maŋgəlva tay təstəs ɓa, ya mbar mədaw nah kan di? Maŋgəlva tay təstəs ɓa, vi adaw taw kita akam sa? Əntatə sohon va ɗii ada sohoŋ. 
ROM.3.6	Tay vas ɓa sam! Va Maŋgəlva təstəssi ɓana mbarmbari adawtaw kita aka dələv gboŋ pak di?
ROM.3.7	Amma an tepelke məs nədawa tayərbanən gakdak na Maŋgəlva, də goŋga nan pak dəl gən abe na, ya vi mi Maŋgəlva adawtaw kita akaw kakaŋ va məgəɗ mambray di? 
ROM.3.8	Mbari an mənahək na: Məgəɗ səm mambraya ka mogon dəde gini di. Ɗii meɓɓet tay waŋ suwən tepelke, tay nahaŋ na, in nənahə. Midi, haya, warəhaŋ kita gala wəza neti.
ROM.3.9	Ya mbari kakaŋ kandi? Mənam Yahudiyenɗe na də mi məday kiyit ɗii meɓɓet di? Məday ɓa sam! Va nənah dabəŋ, Yahudiyenɗe dit ɗii məza Yahudiyenɗeŋ ɓa pak dakadakaŋ, vi mambray adayək kiyit pakə. 
ROM.3.10	Apprəm va ɗerewel anahə:
ROM.3.10	Ɗəf tay məgəɗ mogon ɓa, ko taka zlaŋ tay ɓa.
ROM.3.11	Ɗəf tay məs maɗulan məsən zəga ɓa, ko məzu kayan Maŋgəlva tay ɓa.
ROM.3.12	Ɗii pak amzlahaŋgək ki tive faraɗa də Maŋgəlva, azaŋgək pak giti.
ROM.3.12	Ɗəf tay məgəɗ mogon ɓa, ko taka zlaŋ tay ɓa sam.
ROM.3.13	Guyorguyor na wəllet tay va magamas məkol mani,
ROM.3.13	ərzləmit tay pel naw zet ɗiiyi,
ROM.3.13	wənna bay ɗii tay gilyan səmba sleyit va muwən na barway.
ROM.3.14	Met aknahək də wəray gən diiɗa.
ROM.3.15	Tilit tay mbat də kakara wədaw zi mbeli.
ROM.3.16	Kəti ambataŋ pak ɗii tahəŋ wəɗəkaŋ də wəraya.
ROM.3.17	Dəsənən tive na zam ɓa.
ROM.3.18	Geslne na Maŋgəlva taya zit ɓa.
ROM.3.19	Məsənək na, mogoni an məs ma henziŋ adawnah pakə, tay nah sit ɗii məs məpsit ma henziŋ, vi ɗəf adawrəh tive nawkoh gən kini, vi kita na Maŋgəlva dəde gən aket ɗii naka dələv pakə. 
ROM.3.20	Ɗəf arah na wəsuwa təstəs aba Maŋgəlva də wəsban ma henziŋ ɓa. Wəza na ma henziŋ na, warban sən ɗəf na də mambray kənani kaaka'ə.
ROM.3.21	An məs ma henziŋ dit məs kleŋɗe arbanən daga far pakə, kakaŋ agəɗka: Maŋgəlva sən kiyən arbanək tive va ɗii adasoŋ təstəs abani, məza də ma henziŋ ɓa. 
ROM.3.22	Maŋgəlva wataf ɗii dəsoŋ gən təstəs abani, an atafənək Zezu Krestu. Ko naway dətaf Krestu wasan təstəs aba Maŋgəlva vi aza Maŋgəlva na, ɗii pak dakadakaŋ. 
ROM.3.23	Ɗii pak aɗɗaŋgək mambraya, dərəhaŋ gakdak məs Maŋgəlva aynan napsitiŋ ɓa. 
ROM.3.24	Amma Maŋgəlva awələk saha aketi, wapsit təstəs nan na mekeleŋ. Də Zezu Krestuwi amet səza sembe na mambraya. 
ROM.3.25+ROM.3.26	Maŋgəlva aɗiyək aban ka ɗəf nawsleren dit ɗii na duniya pakə. Mbel nan məs dənzuwaŋ aka wəlaŋga məzliwrihe ndəɗaŋgəŋ dəda kpaŋgetin ɗii məs dətafaŋ təstəs aba Maŋgəlva. Daga far laŋka Maŋgəlva aɓəsəka dətaw kita aka mambray net ɓa. Amma kakaŋ na, tay əviyan sit mambray neti. Vaski kan arban təstəs nani. Gesiŋ də payan nam kakaŋki aŋgəl wərban vaska. Maŋgəlva təstəssi, tay ɗi ɗii məs dətafən Zezu pak ka ɗii təstəssə.
ROM.3.27	Ya tive tay dəmbər səm ka məkaɓ gən əmpa sa? Tay dəmbər ɓa! Ya vi mi di? Vi Maŋgəlva aŋɗan wəza na ɗəf ɓa, say wətaf nani. 
ROM.3.28	Məsənka, Maŋgəlva aɗi ɗəf ka ɗəf təstəs vi wənna wəza na ma henziŋ ɓa, say vi ataf Zezu Krestu. 
ROM.3.29	Ya vasna, Maŋgəlva nan tay kanet Yahudiyenɗe kaaka sa? Maŋgəlva net ɗii məs Yahudiyenɗeŋ ɓa ndən ɓa sa? Vaski, Maŋgəlva net ɗii meɓɓeti pakə. 
ROM.3.30	Maŋgəlva takayi, ɗii məs dətafən Zezu Krestu pak waɗi ka ɗii təstəssə, ko məskəl awreɗeŋ, ko məs dəsklaŋ awreɗeŋ ɓa pakə. 
ROM.3.31	An nənahək vasna, ma henziŋ nədaw zelen sa? Tay vas ɓa! Əntatə ɗi ki ma henziŋ.
ROM.4.1	Mbari wənna dəhəm Abraham di? 
ROM.4.2	Maŋgəlva aɗi ka ɗəf təstəs na, vi wənna wəza nan sa? Ya an vaski na warah tive naw kaɓ aba Maŋgəlva. Amma dərah tive ɓa. 
ROM.4.3	Gesiŋ ɗerewel anahək na: Abraham atafək Maŋgəlva, Maŋgəlva aŋɗanək ka ɗəf də goŋga vi wətaf nani. 
ROM.4.4	Məgəɗ wəza pak aslək dərah gən əya nani, kaŋɗani va məpsən na mekeleŋ ɓa. 
ROM.4.5	Amma aza Maŋgəlva tay vas ɓa. Amma ɗəf məs dəgəɗ wəza ɓa, apanək zən sən Maŋgəlva, asna Maŋgəlva waŋɗan sən ka wətafa waɗi ka ɗəf təstəs abani. 
ROM.4.6	Ndəni Davit bo, anah pay məs apel wənna wəneken zə ɗəf məs Maŋgəlva aɗi ka ɗəf təstəs məza wəza ɓa. Amna:
ROM.4.7	Zit ɗii wasan neki an Maŋgəlva aviyanək mambray neti,
ROM.4.7	an aɗamanək wəzlaɓ net pakə.
ROM.4.8	Zə ɗəf nan wasan neki an Ɗəfdaya dəŋɗan sən mambray nan ɓa.
ROM.4.9	Məskəl awreɗeŋ dədasoŋ mekret genegene kaaka sa? Ɗii məs dəsklaŋ awra ɓana net mekret asana genegene ndən ɓa sa? Nənahək dabəŋ na: Abraham atafək Maŋgəlva, aŋɗanək ka ɗəf təstəs abani. 
ROM.4.10	Nadewɗe agəɗ vaskəs di? Daga dəɓəl əskəl awra ɓa sa, walla dərɓaga əskəl awra nani. Kay dərɓagani ɓa, dabəŋ ki əskəl awra agəɗə. 
ROM.4.11	Dərɓagani Abraham arah əskəl awra va gəla huwa ərbanna Maŋgəlva aɗiyək ka ɗəf təstəs abani vi ətaf nani, daga dəɓəl əskəl awra ɓa. Vaski Abraham asan ka affit ɗii məs dətafaŋ pakə, məs Maŋgəlva aɗi ke ɗii təstəs abani, ko an dəsklaŋ awra ɓa. 
ROM.4.12	Gesiŋ affit məskəl awreɗeyi. Amma məskəl awreɗe pakəŋ kirtin Abraham ɓa, say ɗii məs dəsbanən wətaf nan daga dəɓəl əskəl awra ɓa.
ROM.4.13	Maŋgəlva anah sənək Abraham na, sən əlfa nani adawrəh sən dələv pakə. Wən nan dəde azan vi asban ma henziŋ ɓa, amma vi asan təstəs aba Maŋgəlva vi wətaf nani. 
ROM.4.14	An ɗəf arəhək zəgas pak vi asban ma henziŋ, asna wətaf atərna wəray əmpa ɓa, əpel na Maŋgəlva bo wakpaŋ zəga ɗarə.
ROM.4.15	Zəga tay ma henziŋ adaw ki sit ɗii ɓa, say wəda gədəv na Maŋgəlva kaaka'ə, Va dawka tay ɓa wəzlaɓ bo wasan ɓa. 
ROM.4.16	Vini Maŋgəlva aziw gən əpel nan aka wətafa, vi dəsan gən ka əvəl nan na mekeleŋ. Əpel tay vaska akpaŋ na ɓa viyit kirtin Abraham pakə, viyit ɗii dərəhaŋ ma henziŋgi kaaka' ɓa, amma dit ɗii məs dəsbanən ətaf na Abraham pakə, Abraham akpaŋgək affəm pakə, 
ROM.4.17+ROM.4.18	va məver wənnani: Maŋgəlva amna nəɗikuk ka affit ɗii diiɗa, yaŋ Maŋgəlva anah sən əmpa bo: Ma əlfa nok wasan diiɗa va ngirzleɗ na disiŋ. Abraham atafək Maŋgəlva məs dədapsit zeŋgille sit ɗii mimtiti, waɗɗa zəga məs tay lahəŋ ɓa dəgəɗ gəni. Də əgani Abraham ataf Maŋgəlva, zəga tay ataf viyin. Vaski bo asan afit ɗii diiɗa. 
ROM.4.19	Pay nani wəsva na Abraham tay va səkatə. Asənka aɓapna uwa kirin ɓa. Guluk nan Saratu bo təgalək sawɓa təɓap na wəɗi daway ɓa. 
ROM.4.20	Də as pak dəgəɗ kuzuŋ amakran aka wəpel na Maŋgəlva ɓa, amma yas dərəŋ adaw gakdakan də wətaf nan də sembe. 
ROM.4.21	Atafək gesiŋ na, Maŋgəlva tay də sembe naɗɗa zəga məs anah vas pakə. 
ROM.4.22	Apprəm kana, vini Maŋgəlva aŋɗan Abraham azan ka ɗəf təstəssə, vi wətaf nani. 
ROM.4.23	Wənnəŋ məvernəŋ na, vi Abraham mi kaaka ɓa, amma viyəm pak məverin. 
ROM.4.24	An mətafək Maŋgəlva, waŋɗam azan ka ɗii təstəssə, ndəni dəsil gən Ɗəfdaya nam Zezu Krestu səkəti əmta. 
ROM.4.25	Maŋgəlva apanək amtəka, vi mambray namə. Asil gənək səkəti əmta, ka məsam gən təstəs aba Maŋgəlva vini.
ROM.5.1	Maŋgəlva akpaŋgamək təstəs abani, vi mətaf wənnani. Kakaŋ na, məslerik slorɗok dəndən vi wənna Ɗəfdaya nam Zezu Krestu. 
