MAT.1.1	Yeezuu yaabɔɔ wɔɔ ba n nɩ: Yeezuu ɩ yɩrɛ ɩ ʊ, cir *Davɩd Nyɩ m, Abraham do gʊaa m sɔ.
JHN.14.24	Gʊaa k'a n mɔɔ ŋʊa bɩ bɩr zum mɔɔ lemim ʊ y. Bɩ lemim k'awɔɔ n'a mam naa, mɔɔ hɔ bɛɛ y, a to a ʊ Zɩ k'a mɔɔ nyɔɔ bɩ zi.
JHN.14.25	Nawɔnnɔ hɩ mɔɔ nawʊrɛ awɔɔ m kʊ mɔɔ gɔɔta m nɩ kan awɔɔ kɩ bɩ minto. 
JHN.14.26	Daahanzaa Sɛnt-Ɛspri kʊ Zɩ n n'a nyɔɔm mɔɔ tɔ minto bɩ hɔ haay dɩndarɛ awɔɔ m, a hɔ haay kʊ mɔɔ hɩ awɔɔ m nɔ wɔɔ tɔ darɛ awɔɔ nɔ ʊ.
JHN.14.27	Mɔɔ laafɩɩ to awɔɔ m, m nɩ m laafɩɩ karɛ awɔɔ ʊ. Mɔɔ bɩr a karɛ amba durnya n'a kam bɩ nɩ y. A b'a ka a heer n a zar gɛɛ, a da n bɔ ʊ y. 
JHN.14.28	Awɔɔ ma mɔɔ n a hɩ awɔɔ m, mɔɔ ʊ, mɔɔ cenim, bɩ mɔɔ yɩ m bɔrɛ, m bʊr awɔɔ zi. K'awɔɔ ɩ mɔɔ ŋʊarɛ, awɔɔ y'a heer nyɔɔm kʊ mɔɔ nɩ tam Zɩ zi bɩ minto. Bala, Zɩ bɩ lɛ da mɔɔ ra. 
JHN.14.29	Minno nɔɔn duro hɩ mɔɔ nawʊrɛ awɔɔ m naa ma, bɩ ŋ n a ku cɩna y. Kʊ ŋ b'a ku, k'a ŋ si. 
JHN.14.30	Naa ma kɛɛrɛ bɩ, mɔɔ bɩ m yarɛ, m meer gʊta ba kan awɔɔ kɩ y. Bala, durnya cir b'ɩ zɛrɛ. B'a hɔsɩ ba mɔɔ gʊr zi y. 
JHN.14.31	Bɩ, kʊ durnya n a dɔ a ʊ, mɔɔ yɩ m Zɩ ŋʊarɛ, m nɩ zi barɛ amba Zɩ lɛ ka mɔɔ ʊ bɩ m. K'a wuti, k'ʊ cem.»
JHN.15.1	«*Dɩvɛn gɔ paan… m mɔɔ m, bɩ wutuzaa m mɔɔ Zɩ m. 
JHN.15.2	Mɔɔ vəŋŋə haay k'a bɩr nyɩ dam bɩ, n y'a zɛm la, n n a zo. Bɩ, mɔɔ vəŋŋə haay k'a nyɩ da bɩ, n y'a bankarɛ, k'an nyɩ da an lɛ da biisi ra. 
JHN.15.3	Awɔɔ lɛɛ ka, a bankarɛ yɩ kan lemim kʊ mɔɔ hɩ awɔɔ m bɩ kɩ. 
JHN.15.4	K'a gɔɔta kan mɔɔ kɩ amba mɔɔ nɩ kan awɔɔ kɩ bɩ m. Bala, kʊ dɩvɛn gɔ vəŋŋə bɩ n gɔɔta kan kɩ, a b'a dam ma, an nyɩ da a zim y. B'a hɔdeem k'an awɔɔ kɩ, k'awɔɔ n a naasʊ mɔɔ ma y.» 
JHN.15.5	«Mɔɔ m *dɩvɛn gɔ, awɔɔ n'a vəŋŋoo. Gʊaa k'a a naasʊ mɔɔ ma, mɔɔ nɩ m naasʊ ma sɔ, a zaa nyɩ dam gʊta, bala, kʊ mɔɔ ba kan awɔɔ kɩ, awɔɔ b'a dam ma a hɔsɩ ba y. 
JHN.15.6	Kʊ gʊaa n a naasʊ mɔɔ ma, n y'a zom garga ra, amba gɔvəŋŋə kʊ n y'a zɛ ra hɔ bɩ m, an ga, n n'a gʊr n n'a da sɛ rɛ, an a bɩ. 
JHN.15.7	K'awɔɔ a naasʊ mɔɔ ma, mɔɔ lemim bɩ nɩ kan awɔɔ kɩ, awɔɔ n hɔ k'awɔɔ lɛ n taa bɩ yɛ, a y'a yɩrɛ. 
JHN.15.8	K'awɔɔ nyɩ da gʊta, bɩ n nɩ nyɩntam mɔɔ Zɩ lɛbɔʊrɛ, b'awɔɔ gɔɔtam mɔɔ karɩndanyɩnɔ.»
JHN.15.9	«Kʊ Zɩ mɔɔ ŋʊa bɩ, mɔɔ awɔɔ ŋʊa sɔ. K'a gɔɔta mɔɔ ŋʊarɛ nɔ ʊ. 
JHN.15.10	K'awɔɔ zu mɔɔ lɛrɔ wɔɔ ʊ, awɔɔ gɔɔta mɔɔ ŋʊarɛ nɔ ʊ, amba mɔɔ nɩ zum m Zɩ lɛrɔ ʊ, m gɔɔta a ŋʊarɛ nɔ ʊ bɩ m. 
JHN.15.11	Naa hɩ mɔɔ ʊ awɔɔ nɩ, kʊ mɔɔ heernyɔɔ n bɩr kan awɔɔ kɩ, k'awɔɔ heernyɔɔ n bɩr mɩŋŋa paan….»
JHN.15.12	«Ba mɔɔ lɛ bɩ n na: k'a kʊ ŋʊa, amba mɔɔ awɔɔ ŋʊa bɩ m. 
JHN.15.13	Gʊaa ŋʊarɛ ba ʊ an lɛ da gʊaa k'a mɩsɩrbaa ka zɛ ma gʊɔɔ k'a ŋ ŋʊa rɔ wɔɔ minto y. 
JHN.15.14	Hɔ kʊ mɔɔ hɩ awɔɔ m bɩ, k'awɔɔ ba, mɔɔ gʊaasɩbɔɔ n'awɔɔ m. 
JHN.15.15	Mɔɔ bɩ m yarɛ m awɔɔ bir, m zibəənyɩnɔ y, bala, zibəənyɩ bɩ n hɔ k'a zuuba n'a bam bɩ dɔ y. Awɔɔ bir mɔɔ nawʊrɛ, m gʊaasɩbɔɔ, bala, hɔ kʊ mɔɔ ma m Zɩ zi bɩ, mɔɔ ka awɔɔ n a dɔ. 
JHN.15.16	Awɔɔ bɛɛ mɔɔ bɔ ʊ y, mɔɔ y'awɔɔ bɔ ʊ, m zibəə ka awɔɔ ʊ, k'a ta, k'a nyɩ da, k'awɔɔ nyɩ bɩ nya y. Bɩ y'a ka, k'awɔɔ hɔ haay yɛ mɔɔ Zɩ bɩ han mɔɔ tɔ ma, a y'a karɛ awɔɔ ʊ. 
JHN.15.17	Hɔ kʊ mɔɔ n'a hɩm k'awɔɔ n a ba bɩ, k'a kʊ ŋʊa.»
JHN.15.18	«Kʊ durnya sɔ awɔɔ m, k'a dɔ a ʊ, lɛɛ a ka an sɔ mɔɔ m. 
JHN.15.19	Kʊ durnya bɩ zannɔ n'awɔɔ m, durnya bɩ hɔ k'a so ʊ bɩ ŋʊam. Bɩ durnya bɩ zannɔ bɛɛ n'awɔɔ nɩ y. Mɔɔ y'awɔɔ bɔ ʊ durnya nɔ ʊ a hɔ, bɩ y'a ka, durnya n sɔ awɔɔ m. 
JHN.15.20	K'a hɔ kʊ mɔɔ hɩ awɔɔ m bɩ tɔ da a nɔ ʊ: zibəənyɩ n lɛ da a zuuba ra y. Kʊ ŋ fɩr ka mɔɔ ma, ŋ fɩr karɛ awɔɔ ma sɔ. Kʊ ŋ zu mɔɔ lemim b'ʊ, ŋ zure awɔɔ hɔ ʊ sɔ. 
JHN.15.21	Ŋ naa haay barɛ awɔɔ m mɔɔ tɔ ma, bala, ŋ n Zɩ k'a mɔɔ nyɔɔ bɩ dɔ y. 
JHN.15.22	Kʊ mɔɔ ɩ nɩ bʊr ŋ bire ʊ, m bɩ hɔ k'an ta ʊ hɩ ŋ nɩ, ŋ mimbʊnyaa bɩ nyɩntaŋ ʊ y. Bɩ dɩɩtaa naa, ŋ mimbʊnyaa bɩ sugur ba ʊ y. 
JHN.15.23	Gʊaa k'a sɔ mɔɔ m, sɔ a ʊ mɔɔ Zɩ m sɔ. 
JHN.15.24	Kʊ mɔɔ ɩ nɩ zibəəro nɔɔn duro kʊ gʊaa n a ba rɔ nɔɔm ba ŋ bire ʊ, ŋ mimbʊnyaa bɩ nyɩntaŋ ʊ y. Bɩ dɩɩtaa naa, ŋ yɩ ŋ yɩ, ŋn'a gu, ŋn'ɩ sɔm wɔɔ m, mɔɔ kan m Zɩ kɩ. 
JHN.15.25	A lɛ taa k'a hɩ a ʊ, lemim kʊ n y'a gʊrsɩra ba ŋ *lɛrɔ ci nɔ ʊ bɩ kʊ yɩ. ‹N sɔ mɔɔ m, b'a jɩ ba ʊ y.› »
JHN.15.26	«Kʊ mɔɔ ta m Zɩ zi, mɔɔ Daahanzaa bɩ nyɔɔrɛ awɔɔ m. Sɩra *Ɛspri k'a n'a tore m Zɩ zi bɩ, a mɔɔ kasɛtɩ karɛ a zim. 
JHN.15.27	Awɔɔ sɔ, awɔɔ mɔɔ kasɛtɩ kam, bala, awɔɔ ɩ kan mɔɔ kɩ hallɩ a sɩŋŋɩda ʊ.»
JHN.16.1	«Naa haay hɩ mɔɔ ʊ awɔɔ m, k'awɔɔ b'a gəm zɛ y. 
JHN.16.2	Ŋ larɛ awɔɔ ra *sokʊmacɛrɔ ʊ. Dɔmɩm ta ʊ an nɩ zɛm, gʊaa k'a n'awɔɔ zɛm gər bɩ y'a hɔɔn darɛ a ʊ, mannɩ a ba, a ka Woso ʊ. 
JHN.16.3	Ŋ y'a barɛ awɔɔ m ncɩnaaʊ, bala, ŋ n Zɩ dɔ, ŋ n mɔɔ dɔ sɔ y. 
JHN.16.4	Naa hɩ mɔɔ ʊ awɔɔ m, kʊ wakatɩ bɩ bɩ bʊr, k'a hɔ kʊ mɔɔ hɩ awɔɔ m bɩ tɔ da a nɔ ʊ.»
JHN.16.4	«Mɔɔ n lɛɛ ka m a hɩ awɔɔ m a sɩŋŋɩda ʊ y, bala, mɔɔ nyɩnta kan awɔɔ kɩ. 
JHN.16.5	Bɩ naa ma bɩ, ta mɔɔ nawʊm Zɩ k'a mɔɔ nyɔɔ bɩ zi, b'awɔɔ bire ʊ bɩ, gʊaa ba ʊ, an nɩ mɔɔ larm, a ʊ: ta ɩ nawʊm ka? 
JHN.16.6	Kʊ mɔɔ hɩ awɔɔ m bɩ minto y'a ka, awɔɔ heer n a zar. 
JHN.16.7	Sɩra mɔɔ hɩ awɔɔ m. Awɔɔ daahan minto y'a ka, mɔɔ nɩ tarɛ. Bɩ, kʊ mɔɔ n doo, Daahanzaa bɩ bɩ zɛrɛ awɔɔ zi y. Bɩ kʊ mɔɔ doo, mɔɔ y'a nyɔɔrɛ awɔɔ m. 
JHN.16.8	K'a mɩŋŋa bɩ bʊr, a mimbʊnyaa, tɩrgabaa kan dʊdɔkarɛ kɩ, kʊ ŋ lʊnlɔ, a y'a hɩnkam durnyazannɔ m. 
JHN.16.9	Mimbʊnyaa bɩncɛ ʊ, ŋ n sɩra ka mɔɔ ʊ y. 
JHN.16.10	Tɩrgabaa bɩncɛ ʊ, ta mɔɔ nawʊrɛ m Zɩ zi, b'awɔɔ b'a yarɛ a mɔɔ yɩ y. 
JHN.16.11	Dʊdɔkarɛ bɩncɛ ʊ, n durnya cir bɩ dʊdɔ ka.»
JHN.16.12	«Hɔ gʊta ta ʊ mɔɔ n n'a hɩrɛ awɔɔ m, b'awɔɔ b'a dam ma, a ŋ si naa ma y. 
JHN.16.13	Kʊ sɩra *Ɛspri bɩ bɩ bʊr, a y'awɔɔ dam sɩra haay zaa ra, bala, a bɛɛ n n'a mɩŋŋa meer barɛ y, bɩ, a hɔ k'a n'a mam bɩ hɩrɛ, a hɔ k'a nɩ zɛm bɩ dɩndarɛ awɔɔ m. 
JHN.16.14	A y'a lɛ bɔm mɔɔ ʊ, bala, a hɔ k'a nɩ mɔɔ ʊ bɩ sire, an a hɩ awɔɔ m. 
JHN.16.15	Hɔ haay kʊ mɔɔ Zɩ n tam bɩ, mɔɔ hɔ m. Bɩ y'a ka, mɔɔ n a hɩ, mɔɔ ʊ, a hɔ kʊ mɔɔ n n'a hɩm bɩ hɩrɛ awɔɔ m.»
JHN.16.16	«A gɔɔta poore, awɔɔ b'a yarɛ a mɔɔ yɩ mɩm ʊ y, bɩ k'a yɩ poore sɔ, awɔɔ mɔɔ yɩm.» 
JHN.16.17	A karɩndanyɩnɔ gɔsɩnnɔ y'a hɩm kʊ m, ŋ ʊ: «Bɔ a a ŋʊa k'a hɩ wɔɔ nɩ? A gɔɔta poore awɔɔ b'a yarɛ a mɔɔ yɩ a mɩm ʊ y, b'a gɔɔta poore awɔɔ mɔɔ yɩrɛ, gɛɛ, ta mɔɔ nawʊrɛ, m Zɩ zi?» 
JHN.16.18	Ŋ n a hɩrɛ, ŋ ʊ: «Poore naa do jɩ lɛ taa k'a hɩ, a ʊ lɔ? Wɔɔ bɩr hɔ k'a n'a hɩm bɩ jɩ dɔrɛ y!»
JHN.16.19	Yeezuu k'a a dɔ a ʊ, karɩndanyɩnɔ wɔɔ lɛ taa k'a a lar bɩ, a a hɩ ŋ nɩ, a ʊ: «Laaka awɔɔ n'a dam kʊ han k'a mɔɔ mim bɩ jɩ dɔ ra? A gɔɔta poore awɔɔ b'a yarɛ a mɔɔ yɩ a mɩm ʊ y, poore awɔɔ mɔɔ yɩrɛ. 
JHN.16.20	Sɩra paan… mɔɔ n'a hɩrɛ awɔɔ m, awɔɔ nyi karɛ, a zee da, durnyazannɔ n bɩr a heer nyɔɔm. Awɔɔ heer y'a zarm, b'awɔɔ heerzar y'a bam heernyɔɔ. 
JHN.16.21	Kʊ lʊ ɩ nyɩ yɩrɛ, a ɩ busum ma, a dɔmɩm k'a ku bɩ minto. Bɩ k'a nyɩ bɩ yɩ, a fɩr yɩrɛ bɩ tɔ bɔ a nɔ ʊ. Heernyɔɔ gʊta ɩ kan kɩ k'a nyɩ yɩ durnya ʊ bɩ minto. 
JHN.16.22	Bɩ minto y'a ka, awɔɔ nɩ heerzar nɔ ʊ naa ma, bɩ mɔɔ yɩ m yarɛ, m awɔɔ yɩ heernyɔɔ nɔ ʊ, bɩ, heernyɔɔ bɩ do, gʊaa b'a dam ma, an a zar y. 
JHN.16.23	Ncɩnaaʊ, dɔmɩm bɩ do ʊ, awɔɔ b'a yarɛ a mɔɔ lar hɔsɩ minto y. Sɩra paan… mɔɔ n'a hɩrɛ awɔɔ m, k'awɔɔ hɔ yɛ mɔɔ Zɩ han mɔɔ tɔ ma, a y'a karɛ awɔɔ ʊ. 
JHN.16.24	A n ta, an dɩɩtaa ku, awɔɔ n hɔsɩ yɛ mɔɔ tɔ ma y. K'a hɔ yɛ, a y'a yɩrɛ, k'awɔɔ heernyɔɔ bɩ n bɩr mɩŋŋa paan….»
JHN.16.25	«Naa haay hɩ mɔɔ ʊ awɔɔ m *hɔbɔkʊrɛnoom m, bɩ wakatɩ ɩ zɛm mɔɔ bɩ m yarɛ, m meer ba kan awɔɔ kɩ ncɩnaaʊ y. Mɔɔ Zɩ bɩ mim hɩrɛ awɔɔ m paan…. 
JHN.16.26	Hinni bɩ do ʊ bɩ, awɔɔ hɔ yɛm mɔɔ tɔ ma, bɩ mɔɔ n a hɩ awɔɔ m, mɔɔ ʊ, mɔɔ yaa dam Zɩ m awɔɔ tɔ ma y. 
JHN.16.27	Bala, Zɩ b'awɔɔ ŋʊa. K'awɔɔ mɔɔ ŋʊa, a si sɔ, a ʊ, m to mɔɔ ʊ Woso zi bɩ minto. 
JHN.16.28	M to mɔɔ ʊ Zɩ zi, m bʊr durnya ʊ. Bɩ naa ma bɩ, bɔ mɔɔ nawʊm durnya ʊ, m n nɩ tam Zɩ zi.»
JHN.16.29	A karɩndanyɩnɔ wɔɔ n a hɩ m, ŋ ʊ: «Ba ɩbɩɩ nɩ meer bam paan… kɛɛrɛ ɩ wɔ saa hɔbɔkʊrɛnoom darɛ haay ma na. 
JHN.16.30	Kɛɛrɛ naa, wɔɔ dɔ wɔɔ ʊ ɩbɩɩ hɔ haay dɔ, ɩbɩɩ lɛ baa kʊ gʊaa n ɩ lar y. Bɩ y'a ka, wɔɔ n a dɔ mɩŋŋa wɔɔ ʊ, ɩ to ɩbɩɩ ʊ Woso zi.» 
JHN.16.31	Yeezuu n a nyɩ bɔ ŋ nʊ, a ʊ: «Dɩɩtaa awɔɔ bɔkarɛ an n'a hɩrɛ a ʊ, awɔɔ sɩra ka kɛɛrɛ ra? 
JHN.16.32	Ba wakatɩ n nɩ zɛm na, b'a lee ku kɛɛrɛ, awɔɔ hɩsɩga dam, gʊaa biyəə n bɩr tarɛ a lɛ a lɛ, a mɔɔ to m deem. Bɩ mɔɔ bɩ m deem nɩ y, Zɩ ɩ kan mɔɔ kɩ. 
JHN.16.33	Naa hɩ mɔɔ ʊ awɔɔ m k'a laafɩɩ yɩ mɔɔ zi. Awɔɔ ɩ fɩryɩrɛ nɔ ʊ durnya naa do nɔ ʊ. Bɩ k'a heer ba kookoo, mɔɔ bʊr durnya ra.»
JHN.17.1	Kʊ Yeezuu meer ba ncɩnaaʊ bɩ, a a bɔɔta an dɩga brama, an a hɩ, a ʊ: «M Zɩ, wakatɩ a ku, ɩ Nyɩ bɩ tɔ busu, k'ɩ Nyɩ bɩ n a da ma, an ɩ tɔ busu sɔ. 
JHN.17.2	Paŋŋa k'ɩbɩɩ ka ʊ gʊaa haay burə ʊ bɩ, a *mɩsɩrbaa k'a nyarɛ ba ʊ bɩ kam gʊɔɔ haay k'ɩbɩɩ ŋ ka ʊ rɔ wɔɔ ʊ. 
JHN.17.3	Bala, mɩsɩrbaa k'a nyarɛ ba ʊ bɩ, kʊ ŋ y'ɩbɩɩ dɔ bɩ m, ɩbɩɩ k'ɩ m Woso a deem paan… kan gʊaa k'ɩbɩɩ nyɔɔ Yeezuu *Krista bɩ kɩ. 
JHN.17.4	Mɔɔ m lɛ bɔ ɩbɩɩ ʊ tara burə ʊ. Zibəə k'ɩbɩɩ ka mɔɔ ʊ kʊ ma ba bɩ, mɔɔ ba, m a nya. 
JHN.17.5	Kɛɛrɛ bɩ, Zɩ, mɔɔ da ʊ ɩ zi, cirbəə niŋŋə kʊ mɔɔ n ta m ɩ zi, bɩ ma bɩ, durnya n nyɩnta ʊ bɩ m.»
JHN.17.6	«Gʊɔɔ niŋŋoo k'ɩbɩɩ ŋ bɔ ʊ durnya nɔ ʊ, ɩ ŋ ka mɔɔ ʊ rɔ wɔɔ, mɔɔ ɩbɩɩ tɔ hɩnka ŋ nɩ. Nyɩnta ŋ y'a ʊ ɩbɩɩ gʊɔɔ, ɩ ŋ ka mɔɔ ʊ, bɩ ŋ zu ɩbɩɩ lemim b'ʊ. 
JHN.17.7	Ŋ y'a dɔ kɛɛrɛ, ŋ ʊ, hɔ haay k'ɩbɩɩ ka mɔɔ ʊ bɩ, a to a ʊ ɩbɩɩ zi. 
JHN.17.8	Lemim kʊ mɔɔ hɩ ŋ nɩ bɩ, ɩbɩɩ n a ka mɔɔ ʊ bɩ m. Ŋ y'a si, ŋn'a dɔ sɩra paan… ŋ ʊ, bɔ mɔɔ ʊ ɩbɩɩ zi, ŋn'a si, ŋ ʊ, ɩbɩɩ ɩ mɔɔ nyɔɔ. 
JHN.17.9	Mɔɔ ɩ yaa darɛ ŋ minto. Mɔɔ bɩr yaa dam durnya minto y, yaa mɔɔ n'a dam gʊɔɔ k'ɩbɩɩ ŋ ka mɔɔ ʊ rɔ wɔɔ minto. Ɩbɩɩ gʊɔɔ m. 
JHN.17.10	Bɩ, hɔ haay k'an mɔɔ hɔ bɩ, ɩbɩɩ hɔ m sɔ, amba hɔ haay k'a n'ɩbɩɩ hɔ bɩ, mɔɔ hɔ m. Mɔɔ lɛbɔʊrɛ yɩ ŋ gʊr zi. 
JHN.17.11	Bɩ, mɔɔ bɩ maasɩrɛ bam durnya nɔ ʊ dɔ y, ŋ mɩŋŋɔɔ gɔɔtarɛ ŋ n bɩr durnya nɔ ʊ. Zɛ mɔɔ nawʊrɛ ɩbɩɩ zi. M Zɩ mɩŋŋa, dɔ ŋ ma ɩ tɔ k'ɩbɩɩ ka mɔɔ ʊ bɩ minto, kʊ ŋ nɩ bɩr deem, amba wɔɔ n deem bɩ m. 
JHN.17.12	Kʊ mɔɔ nyɩnta kan ŋ kɩ bɩ, dɔ mɔɔ nawʊrɛ ŋ ma ɩbɩɩ tɔ k'ɩbɩɩ ka mɔɔ ʊ bɩ minto. Mɔɔ ku ŋ la, bɩ ŋ gʊaa deem n nyaam nɩ y, kʊ n bɩ m, nyaanlɛzaa bɩ m, kʊ *Wosoci meerbaarɔ wɔɔ n kʊ yɩ.»
JHN.17.13	«Zɛ mɔɔ nawʊrɛ ɩbɩɩ zi kɛɛrɛ, bɩ meerbaarɔ nɔɔn duro ba mɔɔ nawʊm durnya nɔ ʊ kʊ ŋ nɩ mɔɔ heernyɔɔ yɩ haay. 
JHN.17.14	Mɔɔ ɩbɩɩ lemim bɩ ka ŋ ʊ, durnya n sɔ ŋ nɩ, kʊ durnya hɔɔ bɛɛ nɩ ŋ mɩ, amba durnya hɔ bɛɛ m mɔɔ m bɩ minto. 
JHN.17.15	Mɔɔ n a yɛ k'ɩbɩɩ nɩ ŋ bɔ durnya ʊ y, bɩ, k'ɩ dɔ ŋ ma Sʊtaana minto. 
JHN.17.16	Durnya hɔɔ bɛɛ y, amba durnya hɔ bɛɛ m mɔɔ m bɩ m. 
JHN.17.17	A ka k'ɩ sɩra bɩ n ŋ ba a hɔ. Ɩbɩɩ lemim bɩ sɩra m. 
JHN.17.18	Amba ɩbɩɩ mɔɔ nyɔɔ durnya nɔ ʊ bɩ, ŋ nyɔɔ mɔɔ nawʊm durnya nɔ ʊ sɔ. 
JHN.17.19	Ŋ minto, mɔɔ yɩ m mɩŋŋa kam, kʊ ŋ mɩŋŋɔɔ n a mɩŋŋɔɔ ka sɩra minto.»
JHN.17.20	«Yaa bɛɛ mɔɔ n'a darɛ ŋ minto bala y. Yaa mɔɔ n'a dam gʊɔɔ kʊ ŋ nɩ zɛm bɩ sɩra ka mɔɔ ʊ, ŋ meerbaarɔ wɔɔ tɔ ma rɔ wɔɔ minto sɔ. 
JHN.17.21	Zɩ, kʊ ŋ haay n bɩr deem amba ɩbɩɩ n nɩ kan mɔɔ kɩ, mɔɔ nɩ kan ɩbɩɩ kɩ bɩ m. Kʊ ŋ n nyɩnta kan wɔɔ kɩ sɔ, kʊ durnya n a si, a ʊ, ɩbɩɩ ɩ mɔɔ nyɔɔ. 
JHN.17.22	Bɩ mɔɔ, mɔɔ lɛbɔʊrɛ k'ɩbɩɩ ka mɔɔ ʊ bɩ ka ŋ ʊ, kʊ ŋ nɩ bɩr deem amba wɔɔ n deem bɩ m. 
JHN.17.23	Kʊ mɔɔ n bɩr kan ŋ kɩ amba ɩbɩɩ nɩ kan mɔɔ kɩ bɩ m. Kʊ ŋn'a zɛ kʊ ra deem kʊ durnya n a dɔ a ʊ, ɩbɩɩ mɔɔ nyɔɔ, ɩ ŋ ŋʊa amba ɩbɩɩ ɩ mɔɔ ŋʊa bɩ m.»
JHN.17.24	«Zɩ, mɔɔ lɛ taa bɩncɛ kʊ mɔɔ n ta ʊ bɩ, kʊ gʊɔɔ k'ɩbɩɩ ŋ ka mɔɔ ʊ rɔ wɔɔ n bɩ nyɩnta kan mɔɔ kɩ b'ʊ sɔ, kʊ ŋ nɩ lɛbɔʊrɛ k'ɩbɩɩ ka mɔɔ bɩ yɩ, bala, ɩbɩɩ lɛɛ ka ɩ mɔɔ ŋʊa bɩ ma bɩ, durnya n nyɩnta ʊ y. 
JHN.17.25	M Zɩ k'an tɩrga, durnya k'a n ɩbɩɩ dɔ bɩ, mɔɔ ɩbɩɩ dɔ. Bɩ, nawɔnnɔ a dɔ, ŋ ʊ, ɩbɩɩ ɩ mɔɔ nyɔɔ. 
JHN.17.26	Mɔɔ ka ŋn'ɩbɩɩ dɔ, bɩ mɔɔ yɩ m yarɛ m a ka ŋn'ɩ dɔ, kʊ ŋʊarɛ k'ɩbɩɩ mɔɔ ŋʊam bɩ m nyɩnta ŋ ʊ, kʊ mɔɔ n bɩr kan ŋ kɩ.»
JHN.18.1	Kʊ Yeezuu meer bɩ ba ncɩnaaʊ bɩ, a a hʊr kan a *karɩndanyɩnɔ wɔɔ kɩ, an bra Sedrɔn bɔrkɔ bɩ ma. Gɔsɩra nɩ b'ʊ, an gasʊ ʊ kan a karɩndanyɩnɔ wɔɔ kɩ.
JHN.18.2	Zidas k'a n'a nyasʊm k'a ka bɩ bɩncɛ bɩ dɔ, bala, Yeezuu tɩr ta b'ʊ kan a karɩndanyɩnɔ wɔɔ kɩ. 
JHN.18.3	Zidas ka *Rɔm sʊrdaarɔ wɔɔ lɛɛ kan Wosocɛ dɔmazannɔ kʊ *wosocɛmannɩbənno jɩtannɔ wɔɔ ŋ ka rɔ wɔɔ kɩ, kan *farizɛɛnrɔ kɩ, ŋnɩ bʊr gɔsɩra ʊ b'ʊ kan yar mɔr kɩ, fɩtɩrɛrɔ kɩ, ŋnɩ sɛ gungu.
JHN.18.4	Yeezuu k'a hɔ k'a nɩ zɛm b'a yɩ bɩ dɔ bɩ, a a zɔ, an a hɩ ŋ nɩ, a ʊ: «Nka awɔɔ n'a kam ma?» 
JHN.18.5	Ŋ n a nyɩ bɔ nʊ, ŋ ʊ: «Nazarɛtɩ Yeezuu.» A n a hɩ ŋ nɩ, a ʊ: «A m mɔɔ m.» Bɩ, Zidas k'a n'a nyasʊm k'a ka bɩ yɩ ŋ barla. 
JHN.18.6	Yeezuu k'a naa hɩ ŋ nɩ bɩ, ŋ y'a bɔ a kur m, ŋn'a dundo. 
JHN.18.7	Yeezuu n a ya, an ŋ lar, a ʊ: «Nka awɔɔ n'a kam ma?» Ŋ n a nyɩ bɔ ʊ, ŋ ʊ: «Nazarɛtɩ Yeezuu.» 
JHN.18.8	Yeezuu n a nyɩ bɔ ŋ nʊ, a ʊ: «Mɔɔ hɩ awɔɔ m, mɔɔ ʊ, a m mɔɔ m. K'a ka awɔɔ nawʊm mɔɔ ma, k'a nawɔnnɔ to, ŋnɩ cem.» 
JHN.18.9	Meerbaa kʊ Yeezuu a hɩ bɩ, kʊ an n'a yɩrɛ ncɩnaaʊ: «Gʊɔɔ k'ɩbɩɩ ŋ ka mɔɔ ʊ rɔ wɔɔ, mɔɔ n deem to, an nyaam y.»
JHN.18.10	Sɩmɔɔn Pɩyɛɛr nyɩnta kargʊ m, an a gaa ʊ, an wosocɛmannɩbər jɩtaarɛ bɩ zibəənyɩ zɛ an a bɩsɩ tʊr gʊ ma. Zibəənyɩ bɩ do tɔ m Malkus. 
JHN.18.11	Yeezuu n a hɩ Pɩyɛɛr m, a ʊ: «Ɩ bɔ, ɩ ɩ kargʊ bɩ du a caan ʊ. Mɔɔ bɩ fɩryɩrɛ niŋŋə kʊ mɔɔ Zɩ a ka mɔɔ ʊ bɩ yɩm na?» 
JHN.18.12	Sʊrdaarɔ wɔɔ kan a cir bɩ kɩ kan zɩɩfʊrɔ Wosocɛ dɔmazannɔ wɔɔ kɩ Yeezuu nyasʊ, ŋn'a wɔrɔ sur.
JHN.18.13	Lɛɛ ŋ y'a ka, ŋnɩ ta m Hannɩ zi. Bɩ, Hannɩ nyɩmbʊɛɛrɛ zim m *Kayiifʊ m. Kayiifʊ bɩ, wosocɛmannɩbər jɩtaarɛ m dɔɔraa bɩ do ʊ. 
JHN.18.14	Kayiifʊ deem-deem bɩ do ɩ zɩɩfʊrɔ wɔɔ dʊndɔ, a ʊ: kʊ gʊaa deem ga gʊaa haay minto, a jɩra bɩ.
JHN.18.15	Sɩmɔɔn Pɩyɛɛr kan karɩndanyɩ vanta kɩ zu Yeezuu jɛ ʊ. Bɩ, kʊ wosocɛmannɩbər bɩ karɩndanyɩ deem bɩ dɔ bɩ, a gasʊ kan Yeezuu kɩ wosocɛmannɩbər jɩtaarɛ bɩ har ʊ b'ʊ. 
