MAT.1.1	Oyo ezali bakombo ya bankoko ya Yesu Kristo, mwana ya David, mwana ya Abraham :
ACT.2.7	Bakamwaki mingi penza mpe bakomaki kotuna : “Boni, bato nyonso oyo bazali koloba, bazali bato ya Galile te ? 
ACT.2.8	Boye, ndenge nini moto na moto kati na biso azali koyoka bango koloba na monoko na ye ya mboka ? 
ACT.2.9	Bato ya Parte, ya Medesi mpe ya Elami, bato oyo bavandaka na Mezopotami, na Yudea, na Kapadose, na Ponti mpe na Azi, 
ACT.2.10	na Friji mpe na Pafili, na Ejipito mpe na Libi oyo ezali pembeni ya Sirene, bapaya oyo bawutaki na Rome, 
ACT.2.11	bango nyonso, ezala Bayuda to bapaya oyo bakota na lingomba ya Bayuda : bato ya Krete mpe ya Arabi, biso nyonso tozali koyoka bango kotatola misala minene ya Nzambe na minoko na biso ya mboka !” 
ACT.2.12	Bango nyonso, elekelaki bango, bazalaki kokamwa mingi mpe bakomaki kotunana : “Likambo oyo elingi koloba nini ?”
ACT.2.13	Nzoka nde, bato mosusu bazalaki koseka bango mpe koloba : “Balangwe masanga ya vino.”
ACT.2.14	Boye, Piere atelemaki elongo na bantoma zomi na moko, mpe na mongongo makasi, alobaki na ebele ya bato :
ACT.2.14	—Bino Bayuda, mpe bino nyonso oyo bovandaka na Yelusalemi, botika ete nalimbolela bino likambo oyo, boyoka malamu makambo oyo nalingi koloba. 
ACT.2.15	Bato oyo balangwe masanga te ndenge bozali kokanisa. Pamba te, tozali nanu na ngonga ya libwa ya tongo. 
ACT.2.16	Kasi, ezali nde makambo oyo mosakoli Joeli alobaki :
ACT.2.22	Bato ya Isalaele, boyoka maloba oyo : Yesu ya Nazareti, moto oyo, na nzela ya bikamwa, ya bilembo mpe ya misala ya minene, Nzambe alakisaki bino ete awutaki epai na ye ndenge bino moko boyebi yango ; 
ACT.2.23	bakabaki ye na maboko na bino kolanda mokano oyo Nzambe asila kozwa na mabongisi na ye wuta kala. Bongo bino, na lisungi ya bato mabe, bobomaki ye na kobaka ye na ekulusu. 
ACT.2.24	Kasi, Nzambe abukaki minyololo ya liwa, asekwisaki ye, pamba te ekokaki kosalama te ete liwa ekanga ye. 
ACT.2.25	Boye, tala makambo oyo Davidi alobaki na tina na ye :
ACT.2.25	“Nazalaki tango nyonso komona Nkolo liboso na ngai.
ACT.2.25	Pamba te, azali na loboko na ngai ya mobali
ACT.2.25	mpo ete naningana te.
ACT.2.26	Yango wana, motema na ngai etondi na esengo
ACT.2.26	mpe lolemo na ngai ezali kosepela,
ACT.2.26	solo, nzoto na ngai ekopema na elikya,
ACT.2.27	Pamba te, okosundola te molimo na ngai
ACT.2.27	na mboka ya bakufi
ACT.2.27	mpe okotika te ete Mosantu na yo apola.
ACT.2.28	Pamba te, olakisaki ngai nzela ya bomoi,
ACT.2.28	mpe okotondisa ngai na esengo na miso na yo.”
ACT.2.29	Bandeko na ngai, tika ete naloba na bino solo na tina ya koko na biso Davidi ete akufa mpe bakunda ye, bongo lilita na ye ezali awa kino lelo. 
ACT.2.30	Kasi, azalaki mosakoli mpe ayebaki ete Nzambe apesaki ye elaka na nzela ya ndayi ete, moko kati na bakitani na ye akovanda na kiti na ye ya bokonzi. 
ACT.2.31	Davidi amonaki makambo oyo wuta kala, alobelaki nde lisekwa ya Klisto, ete Nzambe akosundola ye na mboka ya bakufi te mpe nzoto na ye ekopola te. 
ACT.2.32	Nzambe asekwisaki Yesu kati na bakufi, boye biso nyonso tozali batatoli ya lisekwa yango. 
ACT.2.33	Anetolamaki kino na loboko ya mobali ya Nzambe, bongo azwaki epai ya Tata, Molimo Mosantu oyo ye Tata alakaki mpe asopeli biso Molimo Mosantu yango ndenge bozali komona mpe koyoka sikʼoyo.
ACT.2.34	Pamba te, Davidi abutaki na likolo te, kasi alobaki :
ACT.2.36	Yango wana, tika ete bato nyonso ya Isalaele bayeba solo ete Nzambe akomisi Yesu oyo bobaki na ekulusu Nkolo mpe Klisto.
ACT.2.37	Tango bato bayokaki bongo, mitema na bango eyokaki pasi makasi mpe balobaki na Piere mpe bantoma misusu :
ACT.2.37	—Bandeko, tosala nini ?
ACT.2.38	Piere azongiselaki bango :
ACT.2.38	—Bobongola mitema mpe moko na moko kati na bino azwa libatisi na Kombo ya Yesu Klisto mpo ete masumu na bino elimbisama. Bongo, bokozwa likabo ya Molimo Mosantu. 
ACT.2.39	Pamba te, elaka oyo ezali mpo na bino, mpo na bana na bino mpe mpo na bato nyonso oyo bavandaka na bikolo ya mosika, bato nyonso oyo Yawe Nzambe na biso akobenga.
ACT.2.40	Piere azalaki kokebisa bango na maloba ebele mpe azalaki kolendisa bango na maloba oyo : “Boyamba lobiko mpo ete bozwa etumbu oyo ezali kozela bato ya mabe te.”
ACT.2.41	Bato oyo bandimaki maloba ya Piere bazwaki libatisi. Mpe na mokolo wana, bato pene nkoto misato (3.000) babakisamaki na lisanga ya bandimi.
ACT.2.42	Bazalaki komipesa mingi penza na malakisi ya bantoma, na kozala lisanga, na kobuka lipa mpe na kasambela. 
ACT.2.43	Bato nyonso batondisamaki na somo, mpo ete bantoma bazalaki kosala makambo minene mpe ya kokamwa. 
ACT.2.44	Bandimi nyonso bakomaki na bomoko, mpe biloko na bango ezalaki mpo na bango nyonso. 
ACT.2.45	Bazalaki koteka mabele na bango mpe biloko na bango, mpe bazalaki kakabola mbongo kati na bango, ndenge ezalaki posa ya moto na moto. 
ACT.2.46	Mikolo nyonso bazalaki kokoba kosangana na Tempelo. Bazalaki kokabola lipa na bandako na bango, kolia bilei na bango na esengo nyonso mpe na motema ya komikitisa. 
ACT.2.47	Bazalaki kokumisa Nzambe, mpe bato nyonso bazalaki kolinga bango. Bongo, mikolo nyonso, Nkolo azalaki kobakisa na lisanga na bango bato oyo bazalaki kobika.
ACT.3.1	Ezalaki mokolo moko, Piere na Yoane bakendaki na Tempelo na tango ya mabondeli : ezalaki na ngonga ya misato sima ya midi. 
ACT.3.2	Nzoka nde, ezalaki mpe na bato moko oyo bazalaki komema moto moko akufa makolo wuta abotama, mpe bazalaki kotia ye mikolo nyonso na ekuke ya Tempelo mpo ete asengaka makabo ya mawa epai ya bato oyo bazalaki kokota. Bazalaki kobenga ekuke yango : “Ekuke ya kitoko.” 
ACT.3.3	Tango amonaki Piere mpe Yoane kokota na Tempelo, asengaki bango likabo ya mawa.
ACT.3.4	Boye, Piere na Yoane batalaki ye malamu, mpe Piere alobaki na ye : “Tala biso !”
ACT.3.5	Moto yango atalaki bango malamu penza ; na likanisi ya kozwa eloko epai na bango.
ACT.3.6	Kasi, Piere alobaki na ye :
ACT.3.6	—Nazali na mbongo to wolo ya kopesa yo te, kasi oyo nazali na yango, napesi yo yango : na Kombo na Yesu Klisto ya Nazareti, tambola !
ACT.3.7	Bongo, asimbaki ye na loboko ya mobali mpe atelemisaki ye. Kaka na tango wana, makolo na ye ekomaki makasi. 
ACT.3.8	Na mbala moko, atelemaki mpe abandaki kotambola, akotaki nzela moko na bango na Tempelo : azalaki kotambola, kopumbwa mpe kokumisa Nzambe.
ACT.3.9	Tango bato nyonso bamonaki ye kotambola mpe kokumisa Nzambe, 
ACT.3.10	basosolaki ete ezalaki moto oyo azalaki kovanda na “Ekuke ya kitoko” ya Tempelo mpo na kosenga makabo ya mawa. Bango nyonso bakamwaki mingi penza mpe somo ekangaki bango mpo na makambo oyo esalamaki epai na ye.
ACT.3.11	Lokola moto yango atingamaki na Piere mpe Yoane, bato nyonso bakamwaki mpe bayaki na mbangu epai na bango, na esika oyo babengaka : “Veranda ya Salomo.” 
ACT.3.12	Tango Piere amonaki bongo, alobaki na bango :
ACT.3.12	—Bato ya Isalaele, mpo na nini bozali kokamwa likambo oyo ? Mpo na nini bozali kotala biso lokola nde biso bato tosali ete moto oyo atambola na nguya mpe na boyengebene na biso moko ?
ACT.3.13	Kasi ezali Nzambe ya Abrayami, ya Izaki mpe ya Jakobi, Nzambe ya bakoko na biso nde apesi nkembo na mosali na ye Yesu oyo bino bokabaki mpo ete baboma ye. Yango wana, bowanganaki ye liboso ya Pilato tango azwaki mokano ya kokangola ye. 
ACT.3.14	Bowanganaki ye oyo azali Mosantu mpe Sembo. Boye, bosengaki ete Pilato atikela bino mobomi na esika ya Yesu. 
ACT.3.15	Bobomaki nde Mobandisi ya bomoi, nzoka nde, Nzambe asekwisaki ye kati na bakufi, bongo biso, tozali penza batatoli ya likambo yango.
ACT.3.16	Ezali na nzela ya kondima na Kombo ya Yesu, nde Kombo yango epesi makasi na moto oyo bozali komona mpe boyebi. Ezali kondima oyo ewuti kati na Yesu nde ekomisi nzoto na ye mobimba kolongono ndenge bozali komona yango.
ACT.3.17	Nzoka nde, bandeko na ngai, nayebi ete bosalaki makambo oyo na kozanga boyebi ndenge bakonzi na bino basalaki. 
ACT.3.18	Kasi ezali na lolenge wana nde Nzambe akokisaki makambo oyo aloba wuta kala na nzela ya basakoli nyonso, ete Klisto na ye asengelaki komona pasi. 
ACT.3.19	Yango wana, bobongola mitema mpe bozonga epai na Nzambe mpo ete masumu na bino elimbisama. 
ACT.3.20	Boye, Nkolo akopesa bino tango ya kopema mpe akotindela bino Klisto, ye nde Yesu, oyo apona mpo na bino. 
ACT.3.21	Asengeli kotikala kuna na likolo kino tango Nzambe akobongisa biloko nyonso, ndenge alaka yango wuta kala na nzela ya babulami na ye, basakoli. 
ACT.3.22	Pamba te Moyize alobaki : “Yawe, Nzambe na bino akobimisa mpo na bino mosakoli moko lokola ngai, oyo akowuta kati na bandeko na bino : bosengeli kotosa nyonso oyo akoloba na bino. 
ACT.3.23	Moto nyonso oyo akozanga kotosa ye, esengeli balongola ye kati na bato na ye mpe baboma ye.”
ACT.3.24	Basakoli nyonso, wuta na Samuele kino na basakoli oyo bayaki sima na ye, bango nyonso basakolaki na tina ya makambo oyo ezali kosalema na mikolo oyo.
ACT.3.25	Bino nde bozali bakitani ya basakoli mpe ya Boyokani oyo Nzambe asalaki na bakoko na bino, tango alobaki na Abrayami : “Nakopambola mabota nyonso ya mokili na nzela ya bakitani na yo !” 
ACT.3.26	Tango Nzambe asekwisaki Mosali na ye, atindaki ye liboso epai na bino mpo ete apambola bino na kolongola moko na moko kati na bino, na nzela na ye ya mabe.
ACT.4.1	Wana Piere mpe Yoane bazalaki nanu koloba na bato, banganga-Nzambe, mokonzi ya bakengeli ya Tempelo mpe basaduseo bayaki, 
ACT.4.2	na kanda makasi ndenge bamonaki bantoma koteya bato mpe kotatola ete bato bakufa bakosekwa ndenge Yesu asekwaki. 
ACT.4.3	Bakangaki Piere mpe Yoane, bongo babwakaki bango na boloko kino na mokolo oyo elandaki, pamba te pokwa esilaki kokoma. 
ACT.4.4	Kasi, bato mingi kati na bato oyo bayokaki mateya bandimaki yango, bongo motango ya bandimi ebakisamaki mpe bakomaki bato pene nkoto mitano (5.000).
ACT.4.5	Boye, na mokolo oyo elandaki, bakonzi ya Bayuda, bampaka mpe balakisi ya mibeko basanganaki na Yelusalemi. 
ACT.4.6	Ana, mokonzi ya banganga-Nzambe azalaki wana elongo na Kayifa, Yoane, Alekizandre mpe bato mosusu ya libota ya mokonzi ya banganga-Nzambe. 
ACT.4.7	Bamemaki Piere mpe Yoane liboso na bango, mpe bakomaki kotuna bango mituna :
ACT.4.7	—Bozali kosala makambo oyo na bokonzi to na kombo ya nani ?
ACT.4.8	Bongo, Piere oyo atondisamaki na Molimo Mosantu alobaki na bango :
ACT.4.8	—Bakonzi mpe bampaka ya Isalaele ! 
ACT.4.9	Lokola botuni biso lelo mpo na bolamu oyo esalami epai ya moto oyo akufa makolo mpe ndenge nini asili kobika, 
ACT.4.10	tika ete bino nyonso mpe bato nyonso ya Isalaele boyeba ete ezali na Kombo ya Yesu Klisto ya Nazareti nde moto oyo atelemi liboso na bino na nzoto kolongono, kaka Yesu oyo bino bobakaki na ekulusu kasi Nzambe asekwisaki ye kati na bakufi. 
ACT.4.11	Ye nde azali
ACT.4.11	“libanga oyo bino batongi ya ndako bobwakaki,
ACT.4.11	kasi ekomi libanga oyo ezali na tina mingi koleka.”
ACT.4.12	Lobiko ekoki kozwama na moto mosusu te, pamba te kombo mosusu ezali te na mokili, oyo epesama na bato, oyo ekoki kobikisa biso.
ACT.4.13	Wana bamonaki ndenge nini Piere mpe Yoane bazalaki koloba na mpiko, mpe basosolaki ete bazalaki bato batanga te mpe bato pamba, bakamwaki mingi penza. Boye, basosolaki ete bango mpe bazalaki elongo na Yesu. 
ACT.4.14	Bazalaki ata na liloba moko te ya koloba, pamba te bazalaki komona moto oyo abikaki atelema wana pene na bango. 
ACT.4.15	Bongo, bapesaki mitindo ete babimisa bango na Likita monene, mpe batikalaki bango moko mpo na koyekola likambo yango malamu. 
ACT.4.16	Bazalaki kotunana : “Tosala nini penza na bato oyo ? Pamba te, bato nyonso oyo bavandaka na Yelusalemi bayebi malamu ete bango nde basalaki likamwisi wana ya monene mpe tokoki kowangana yango te. 
ACT.4.17	Kasi mpo ete sango ya likambo oyo ekoba kopanzana te kati na bato, tokebisa bango boye : ‘Bomeka lisusu te koloba na Kombo ya Yesu ezala ata na nani !’ ”
ACT.4.18	Boye, babengaki Piere na Yoane mpe bapekisaki bango ete bameka lisusu te koloba to koteya na Kombo na Yesu, ezala ata na lolenge nini. 
ACT.4.19	Kasi, Piere mpe Yoane bazongiselaki bango :
ACT.4.19	—Botala nanu ata bino moko, eloko nini ezali sembo na miso ya Nzambe : kotosa bino to kotosa Nzambe ? 
ACT.4.20	Pamba te, biso, tokokoka te kotika koloba makambo oyo tomonaki mpe toyokaki !
ACT.4.21	Sima ya kogangela bango, batikaki bango ete bakende, pamba te bamonaki te ndenge nini bakokaki kopesa bango etumbu, mpo ete bato nyonso bazalaki kokumisa Nzambe mpo na likambo oyo esalamaki. 
ACT.4.22	Moto oyo abikaki na ndenge ya kokamwa azalaki na mibu koleka tuku minei.
ACT.4.23	Tango batikaki bango, Piere mpe Yoane bakendaki koyebisa baninga na bango makambo nyonso oyo bakonzi ya banganga-Nzambe mpe bakambi balobelaki bango. 
ACT.4.24	Tango bayokaki bongo, batombolaki mingongo na bango elongo mpo na kobondela Nzambe. Balobaki :
ACT.4.24	—Nkolo Yawe, Yo oyo osala likolo mpe se, ebale monene mpe biloko nyonso oyo ezalaka kati na yango ; 
ACT.4.25	Yo oyo olobaki na nzela ya Molimo Mosantu, na monoko ya koko na biso Davidi, mosali na yo :
ACT.4.25	“Mpo na nini bikolo ezali kotomboka
ACT.4.25	mpe bato bazali kosala makita ezanga tina ?
ACT.4.26	Bakonzi ya mokili batelemi
ACT.4.26	mpe bayangeli basangani
ACT.4.26	mpo na kobundisa Nkolo
ACT.4.26	mpe Mopakolami na ye.”
ACT.4.27	Pamba te, Erode mpe Ponse Pilato basanganaki na engumba oyo, elongo na bato ya bikolo misusu mpe bato ya Isalaele mpo na kosalela Yesu likita, Mosali na yo Mosantu oyo obulisa. 
ACT.4.28	Ezali na ndenge wana nde bakokisaki mabongisi oyo osala wuta kala na nguya mpe na mokano na yo. 
ACT.4.29	Sikʼoyo Nkolo, tala ndenge bazali kotungisa biso, mpe pesa basali na yo makasi ya koteya Liloba na yo na molende nyonso. 
ACT.4.30	Boye, sembola loboko na yo mpo na kobikisa bato ya maladi, kosala bilembo ya kokamwa mpe misala minene na Kombo na Yesu, Mosali na yo Mosantu.
ACT.4.31	Boye, tango basilisaki kobondela, esika oyo basanganaki eninganaki. Mpe bango nyonso batondisamaki na Molimo Mosantu mpe bakomaki koteya Liloba ya Nzambe na molende nyonso.
ACT.4.32	Bandimi nyonso bazalaki motema moko mpe makanisi moko. Moko te kati na bango azalaki koloba ete biloko na ye ezali kaka ya ye moko, kasi biloko nyonso ezalaki mpo na bango nyonso. 
ACT.4.33	Bantoma bakobaki kotatola lisekwa ya Nkolo Yesu na nguya monene, mpe ngolu monene ezalaki na bango nyonso. 
ACT.4.34	Moko te kati na bango akelelaki. Pamba te, tango nyonso bato oyo bazalaki na mabele to na bandako bazalaki koteka yango, bazalaki komema mbongo oyo batekelaki 
ACT.4.35	epai ya bantoma. Boye, bantoma bazalaki kokabola yango na moto na moto, ndenge ezalaki bosenga na ye.
ACT.4.36	Boye, Jozefi, moto ya libota ya Levi, oyo abotama na esanga ya Shipre mpe oyo bantoma bapesaki kombo ya Barnabasi, oyo elakisi : “Molendisi” ; 
ACT.4.37	atekaki mpe elanga na ye mpe amemaki mbongo epai ya bantoma.
ACT.5.1	Nzoka nde, ezalaki na moto moko, na kombo ya Ananiya. Atekaki eteni ya mabele na ye na boyokani na mwasi na ye Safira. 
ACT.5.2	Abombaki ndambo ya mbongo mpo na ye moko, boye amemaki ndambo oyo etikalaki mpe apesaki yango na bantoma. Mwasi na ye mpe ayebaki yango.
ACT.5.3	Boye, Piere atunaki ye : “Ananiya, ndenge nini Satana atondisi motema na yo mpo ete okosa Molimo Mosantu, mpe obomba ndambo ya mbongo oyo otekeli elanga na yo ? 
ACT.5.4	Boni, liboso ete oteka yango, ezalaki ya yo te ? Mpe sima ya koteka yango, okokaki te kosala na mbongo yango likambo nyonso oyo motema na yo elingi ? Mpo na nini ozwaki likanisi ya kosala likambo ya boye ? Okosi bato te, kasi okosi nde Nzambe !”
ACT.5.5	Tango Ananiya ayokaki bongo, akweyaki mpe akufaki. Bongo, bato nyonso oyo bayokaki likambo yango batondaki na somo. 
ACT.5.6	Boye, bilenge mibali bayaki, bazipaki nzoto na ye mpe bamemaki yango libanda mpo na kokunda yango.
ACT.5.7	Sima ya ngonga pene misato, mwasi ya Ananiya akotaki, kasi ayebaki te likambo oyo ewutaki kosalama.
ACT.5.8	Piere atunaki ye :
ACT.5.8	—Yebisa ngai, ezali na talo wana nde yo mpe Ananiya botekaki elanga wana ?
ACT.5.8	Safira azongisaki :
ACT.5.8	—Ezali bongo, etekamaki Kaka na talo wana.
ACT.5.9	Piere alobaki na ye :
ACT.5.9	—Mpo na nini boyokanaki mpo na komeka Molimo ya Nkolo ? Tala ! Makolo ya bato oyo bawuti kokunda mobali na yo ezali liboso ya ekuke, yo mpe bakomema yo.
ACT.5.10	Kaka na tango wana, akweyaki liboso ya Piere mpe akufaki. Boye, tango bilenge mibali bakotaki, bakutaki ye ya kokufa. Bamemaki ye mpe bakendaki kokunda ye pembeni ya mobali na ye. 
ACT.5.11	Somo monene etondisaki lingomba mobimba mpe bato nyonso oyo bayokaki sango yango.
ACT.5.12	Bantoma bazalaki kosala bilembo mingi ya kokamwa mpe misala minene kati na bato. Boye, bandimi nyonso bazalaki na momesano ya kosangana na veranda ya Salomo. 
ACT.5.13	Moko te kati na bato oyo bazalaki na lisanga na bango te azalaki komeka kosangana na bango, ata bato bazalaki kopesa bango lokumu mingi. 
ACT.5.14	Nzoka nde, mibali mpe basi ebele penza bazalaki kondimela Nkolo mpe kobakisama na lisanga na bango. 
ACT.5.15	Bongo, bazalaki komema bato ya maladi na balabala, kolalisa bango na bambeto mpe na bitoko mpo ete tango Piere akoleka, elilingi na ye ekoka kozipa bamoko kati na bango. 
ACT.5.16	Mpe lisusu, bato ebele oyo bazalaki kowuta na bingumba ya zinga-zinga bazalaki kosangana na Yelusalemi. Bazalaki komema bato na bango ya maladi mpe oyo bazalaki kotungisama na milimo mabe ; mpe bango nyonso bazalaki kobika.
ACT.5.17	Boye, mokonzi ya banganga-Nzambe mpe bato nyonso oyo bazalaki kosala na ye elongo, oyo bazalaki bato ya lisanga ya basaduseo, batondaki na zuwa. 
ACT.5.18	Bakangaki bantoma mpe babwakaki bango na boloko ya monene. 
ACT.5.19	Kasi na butu, anjelu ya Nkolo afungolaki bikuke ya boloko mpe abimisaki bantoma. 
ACT.5.20	Alobaki na bango : “Bokende kotelema na Tempelo, mpe kuna, boyebisa bato maloba nyonso ya bomoi oyo ya sika !”
ACT.5.21	Bantoma batosaki. Boye, na tongo-tongo, bakotaki na Tempelo mpe bakomaki koteya bato. Tango mokonzi ya banganga-Nzambe mpe bato oyo basalaka na ye elongo bakomaki, babengisaki Likita monene : lisanga monene ya bato ya Isalaele, batindaki ete bakende kozwa bantoma na boloko.
ACT.5.22	Kasi tango basoda bakomaki na boloko, bakutaki bango te. Bongo, bazongaki mpe balobaki : 
ACT.5.23	“Tokuti boloko ya kokangama malamu mpe bakengeli liboso ya bikuke ; kasi tango tofongoli yango, tomoni ata moto moko te na kati.” 
ACT.5.24	Tango mokonzi ya bakengeli ya Tempelo mpe bakonzi ya banganga-Nzambe bayokaki sango yango, bakomaki mitema likolo mpe bakomaki kotunana soki likambo yango ekosuka ndenge nini.
ACT.5.25	Bongo, moto moko ayaki koyebisa bango : “Boyoka ! Bato oyo bobwakaki na boloko, batelemi kuna na Tempelo mpe bazali koteya bato.”
ACT.5.26	Mokonzi ya bakengeli akendaki elongo na basoda na ye mpo na kozwa bantoma. Kasi, amemaki bango na makasi te, pamba te bazalaki kobanga ete bato babamba bango mabanga.
ACT.5.27	Wana bamemaki bango, batiaki bango liboso ya Likita monene, mpe mokonzi ya banganga-Nzambe abandaki kotuna bango mituna.
ACT.5.28	Alobaki :
ACT.5.28	—Topekisaki bino ete bomeka lisusu te koteya na Kombo wana. Kasi tala sikʼoyo ndenge botondisi Yelusalemi na mateya na bino mpe bolingi komemisa biso ngambo ya makila ya moto wana.
ACT.5.29	Kasi Piere mpe bantoma misusu bazongisaki :
ACT.5.29	—Esengeli kotosa Nzambe kasi bato te ! 
ACT.5.30	Nzambe ya bakoko na biso asekwisaki Yesu kati na bakufi, Yesu oyo bino bobomaki mpe bobakaki na nzete. 
ACT.5.31	Ezali ye nde Nzambe atomboli kino na loboko na ye ya mobali lokola Mokonzi mpe Mobikisi, mpo ete bato ya Isalaele bakoka kozwa nzela ya kobongola mitema mpe kozwa bolimbisi ya masumu na bango. 
ACT.5.32	Biso tozali batatoli ya makambo oyo, ndenge moko mpe Molimo Mosantu oyo Nzambe apesaki na bato oyo batosaka ye azali motatoli ya makambo yango.
ACT.5.33	Tango bayokaki bongo, batombokaki makasi mpe bazwaki mokano ya kobomisa bantoma. 
ACT.5.34	Kasi, mofarizeo moko na kombo ya Gamaliele, ye azalaki molakisi ya mibeko mpe azalaki na lokumu mingi na miso ya bato nyonso, atelemaki kati na Likita monene, mpe atindaki ete babimisa bantoma mpo na mwa tango moke. 
ACT.5.35	Alobaki na bango : “Bato ya Isalaele, bosala keba mpo na makambo oyo bolingi kosala bato oyo. 
ACT.5.36	Eleki mikolo mingi te, moto moko na kombo ya Tewudasi awutaki kobima. Azalaki komimona moto monene, mpe bato pene nkama minei bazalaki kolanda ye. Kasi tango babomaki ye, bato nyonso oyo bazalaki kolanda ye bapalanganaki mpe lisanga na ye ekufaki. 
ACT.5.37	Sima na ye, tango tozalaki kotanga motango ya bato kati na mokili, moto moko mpe lisusu na kombo ya Yuda, moto ya mboka Galile, abimaki mpe amemaki bato ebele na botomboki. Ye mpe lisusu babomaki ye, bongo bato nyonso oyo bazalaki kolanda ye bapalanganaki. 
ACT.5.38	Yango wana, na likambo oyo, boyoka toli na ngai : Bokota lisusu makambo ya bato oyo te mpe botika bango bakende ! Pamba te, soki makanisi to mosala na bango ewuti na moto, solo, ekosuka kaka na nzela. 
ACT.5.39	Kasi soki yango ewuti na Nzambe, solo, bokolonga te kosukisa bato oyo. Bosala keba ete bobundisa Nzambe te.”
ACT.5.40	Bato ya Likita monene bandimaki likanisi ya Gamaliele. Babengisaki bantoma, babetisaki bango bafimbo mpe bapekisaki bango ete bateya lisusu Kombo ya Yesu te. Sima na yango batikaki bango kokende. 
ACT.5.41	Bantoma balongwaki liboso ya Likita monene, na esengo mingi ya komona ete bazali ya kokoka mpo na komona pasi na tina ya Kombo ya Yesu. 
ACT.5.42	Mokolo na mokolo bazalaki kotika te koteya, mpe kosakola sango malamu na Tempelo to na ndako moko na moko ete Yesu azali Klisto.
ACT.6.1	Na mikolo wana, motango ya bayekoli ezalaki kaka kobakisama. Bayuda oyo bazalaki koloba monoko ya greki bakomaki koyimayima mpo na kotelemela Bayuda oyo bazalaki koloba monoko ya ebreo, pamba te na tango ya kokabola bilei ya mokolo na mokolo, basi na bango oyo bakufisa mibali bazalaki kozangela. 
ACT.6.2	Boye, bantoma zomi na mibale basangisaki bayekoli nyonso mpe balobaki na bango : “Ekozala malamu te mpo na biso kotika mosala ya koteya Liloba ya Nzambe mpo na komipesa na mosala ya kokabola biloko ya kolia. 
ACT.6.3	Yango wana bandeko, bopona mibali sambo kati na bino, oyo bazali na bizaleli ya malamu, oyo batonda na Molimo Mosantu mpe na bwanya mpo ete topesa bango mokumba yango. 
ACT.6.4	Boye, biso tokomipesa na mabondeli mpe na mosala ya koteya Liloba ya Nzambe.”
ACT.6.5	Likanisi yango esepelisaki lisanga mobimba. Boye, baponaki : Etieni, moto oyo atonda na kondima mpe na Molimo Mosantu, Filipo, Prokore, Nikanori, Timoni, Parimenasi mpe Nikola, moto ya Antioshi oyo akotaki na lisanga ya Bayuda. 
ACT.6.6	Balakisaki bango epai ya Bantoma, oyo batiaki bango maboko mpe babondelaki mpo na bango.
ACT.6.7	Boye, Liloba ya Nzambe ezalaki kokoba kopanzana, motango ya bayekoli ezalaki mpe kobakisama makasi na Yelusalemi mpe banganga-Nzambe ebele bakomaki kondimela Yesu.
ACT.6.8	Nzoka nde, Etieni, moto oyo atondaki na ngolu mpe na nguya ya Nzambe azalaki kosala bikamwa mpe bilembo minene kati na bato. 
ACT.6.9	Bongo, bato mosusu ya ndako ya mayangani oyo babengaka “Ndako ya mayangani ya bansomi” : Bayuda ya Sirene, ya Alekizandri, ya bituka ya Silisi mpe ya Azi bazalaki na tembe na Etieni ; 
ACT.6.10	kasi balongaki te kotelemela bwanya mpe Molimo oyo azalaki kotinda ye koloba.
ACT.6.11	Bongo, bapesaki kanyaka epai ya bato mpo ete baloba : “Toyokaki Etieni koloba maloba ya kotuka Moyize mpe Nzambe.”
ACT.6.12	Basalaki ete bato, bampaka mpe balakisi ya mibeko batomboka. Boye, bayaki kokanga Etieni na mbalakata mpe bamemaki ye na Likita monene. 
ACT.6.13	Kuna, babimisaki batatoli ya lokuta oyo balobaki : “Moto oyo azali kolemba te kobebisa lokumu ya Tempelo mpe ya mibeko ya Moyize. 
ACT.6.14	Pamba te, toyokaki ye koloba ete Yesu ya Nazareti akobuka Tempelo oyo mpe akobongola bizaleli oyo Moyize atikela biso.”
ACT.6.15	Bato nyonso oyo bavandaki na Likita monene batalaki Etieni malamu penza, mpe bamonaki ete elongi na ye ekomaki lokola elongi ya anjelu.
ACT.7.1	Bongo, mokonzi ya banganga-Nzambe atunaki ye :
ACT.7.1	—Boni, makambo oyo bafundeli yo ezali ya solo ?
ACT.7.2	Etieni azongisaki :
ACT.7.2	—Batata mpe bandeko, boyoka ngai ! Nzambe ya nkembo abimelaki koko na biso Abrayami tango azalaki na Mezopotami, liboso ete akende kovanda na Sharani. 
ACT.7.3	Boye, Nzambe alobaki na ye : “Longwa na mokili na yo mpe na libota na yo, mpe kende na mokili oyo nakolakisa yo !” 
ACT.7.4	Boye, alongwaki na mokili ya Shaldeya mpe akendaki kovanda na mokili ya Sharani. Sima ya liwa ya tata na ye, Nzambe atindaki ye na mokili oyo, mokili oyo bino bozali kovanda sikʼoyo. 
ACT.7.5	Apesaki ye mabele moko te awa, ezala ata mwa eteni. Kasi, Nzambe apesaki ye elaka, ye elongo na bakitani na ye sima na ye ete, bakozwa mokili lokola libula, ata na tango wana, Abrayami azalaki nanu na mwana te.
ACT.7.6	Tala makambo oyo Nzambe alobaki :
ACT.7.6	“Bakitani na yo bakozala bapaya na mokili ya bato mosusu, bongo kuna, bakokoma bawumbu mpe bakonyokola bango mibu pene nkama minei.” 
