MRK.1.1	Seo mar a tha an Deagh Sgeul mu Iosa Crìosd, Mac Dhè, a' tòiseachadh. 
MRK.9.31	oir bha e a' teagasg a dheisciobail 's ag ràdh riu, “Bidh Mac an Duine air a thoirt thairis do dhaoine agus marbhaidh iad e. An dèidh dha a bhith air a chur gu bàs, èiridh e a‑rithist an ceann trì là.”
MRK.9.32	Cha robh iad a' tuigsinn a theagaisg, 's cha leigeadh an t‑eagal leo a cheasnachadh.
MRK.9.33	Thàinig iad gu Capernàum. Nuair a bha e san taigh, dh'fhaighnich e dhiubh, “Cò air a bha sibh a' deasbad air an rathad?”
MRK.9.34	Cha tuirt iad guth, oir 'se an rud a bha iad a' deasbad, cò am fear aca a bu mhotha inbhe. 
MRK.9.35	An dèidh dha suidhe, ghairm e thuige an dà fhear dheug 's thuirt e riu, “Ma tha fear sam bith ag iarraidh a bhith air thoiseach, bidh e air dheireadh air càch uile, 's na sheirbhiseach aig càch.” 
MRK.9.36	Ghabh e an‑uairsin leanabh agus chuir e na sheasamh e nam measg. Chuir e a ghàirdeanan timcheall air agus thuirt e riu, 
MRK.9.37	“Ma ghabhas duine sam bith ri leanabh nam ainm-sa, tha e a' gabhail riumsa, agus duine sam bith a ghabhas riumsa, chan ann riumsa a tha e a' gabhail, ach ria-san a chuir an seo mi.”
MRK.9.38	Thuirt Eòin ris, “A Mhaighistir, chunnaic sinne fear a' tilgeil a‑mach dhroch spiorad nad ainm-sa, 's chuir sinn stad air, a chionns nach robh e gar leantainn.” 
MRK.9.39	Ach thuirt Iosa riu, “Na cuiribh stad air idir, oir ma nì duine sam bith mìorbhailean nam ainm-sa, chan urrainn dha aig an aon àm facal olc a ràdh mam dheidhinn. 
MRK.9.40	Oir an duine nach eil nar n‑aghaidh, tha e leinn. 
MRK.9.41	Ma bheir duine sam bith deoch uisge dhuibh ri h‑òl nam ainm-sa, a chionns gur ann le Crìosd a tha sibh, gu fìrinneach tha mi ag ràdh ruibh gum bi a dhuais cinnteach dha.
MRK.9.42	“Ma chuireas neach sam bith cnap-starra roimh aon dhen fheadhainn as lugha a tha a' creidsinn annamsa, b'fheàrr dha a bhith air a thilgeil anns a' mhuir agus clach-mhuilinn ma amhaich. 
MRK.9.43	Ma bheir do làmh ort peacachadh, geàrr dhiot i; 's fheàrr a dhol a‑steach dhan bheatha air aon làimh na a dhol le dà làimh a theine ifrinn, nach gabh a mhùchadh. [
MRK.9.44	] 
MRK.9.45	'S mas e do chas a bheir ort peacachadh, geàrr dhiot i; 's fheàrr a dhol a‑steach dhan bheatha air aon chois na dà chois a bhith agad 's a bhith air do thilgeil a dh'ifrinn far nach tèid an teine a mhùchadh. [
MRK.9.46	] 
MRK.9.47	'S mas e do shùil a bheir ort peacachadh, spìon asad i; 's fheàrr a dhol a‑steach a rìoghachd Dhè le aon sùil na dà shùil a bhith agad 's a bhith air do thilgeil a dh'ifrinn, 
MRK.9.48	far nach bàsaich a' chnuimh a tha gan ithe, 's far nach tèid an teine ás.
MRK.9.49	“Oir thèid gach duine a ghlanadh le teine. 
MRK.9.50	Tha an salann math, ach ma chailleas an salann a shaillteachd, dè shailleas a‑rithist e?
MRK.9.50	“Biodh buaidh an t‑salainn agaibh annaibh fhèin, agus bithibh beò ann an sìth ri chèile.”
MRK.10.1	Nuair a dh'fhalbh e ás a sin, thàinig e gu Iudèa air taobh thall Iòrdain. Chruinnich mòran dhaoine thuige 's thòisich e air an teagasg, mar a chleachd e.
MRK.10.2	Thàinig Pharasaich far an robh e a chur ceist air, 's iad airson fheuchainn. “A bheil e laghail,” ars iadsan, “do dh'fhear-pòsda a bhean a chur bhuaithe?”
MRK.10.3	Fhreagair e iad, “Dè an t‑òrdugh a thug Maois dhuibh?” 
MRK.10.4	Thuirt iadsan, “Thug Maois cead litir-dhealachaidh a sgrìobhadh dhi agus a cur bhuaithe.”
MRK.10.5	Thuirt Iosa riu, “'Sann a chionns gu bheil ur cridhe cho cruaidh a sgrìobh e an lagh seo air ur son. 
MRK.10.6	Ach bho thoiseach a' chruthachaidh rinn Dia fireann agus boireann iad. 
MRK.10.7	Mar sin fàgaidh duine athair agus a mhàthair, agus bidh e air aonadh ri bhean. 
MRK.10.8	Fàsaidh an dithis mar aon fheòil, air dhòigh 's nach e dithis, ach aon, a bhios annta tuilleadh. 
MRK.10.9	Mar sin, an nì a cheangail Dia, na dèanadh duine sam bith a sgaradh.”
MRK.10.10	Nuair a bha iad a‑staigh, thòisich na deisciobail air faighneachd dheth a‑rithist man chùis seo. 
MRK.10.11	Thuirt e riu, “Ma chuireas fear-pòsda sam bith a bhean bhuaithe agus ma phòsas e bean eile, tha e a' dèanamh adhaltranais an aghaidh na ceud tè. 
MRK.10.12	'S ma chuireas bean bhuaipe a fear's ma phòsas i fear eile, tha ise a' dèanamh adhaltranais.”
MRK.10.13	Bha feadhainn a' toirt clann bheag thuige gus an cuireadh e a làmhan orra, ach chronaich na deisciobail iad. 
MRK.10.14	Nuair a chunnaic Iosa seo, dh'fhàs e feargach 's thuirt e, “Leigibh leis a' chloinn tighinn thugam 's na cuiribh bacadh orra, oir is ann dhan leithid-san a bhuineas rìoghachd Dhè. 
MRK.10.15	Gu cinnteach tha mise ag ràdh ruibh, mura gabh duine ri rìoghachd Dhè ann an spiorad an leinibh bhig, cha tèid e a‑steach innte gu bràth.” 
MRK.10.16	Ghabh e a' chlann na ghàirdeanan, chuir e a làmhan orra, agus bheannaich e iad.
MRK.10.17	Nuair a thog e a‑mach air an t‑slighe, thàinig fear na ruith thuige. Chaidh e air a ghlùinean air a bheulaibh. “A Mhaighistir mhaith,” ars esan, “dè nì mi airson gum faigh mi a' bheatha mhaireannach?”
MRK.10.18	Thuirt Iosa ris, “Carson a tha thu ag ràdh gu bheil mise math? 'Se Dia a‑mhàin a tha math. 
MRK.10.19	'S aithne dhut na h‑àithntean — na dèan mort; na dèan adhaltranas; na goid; na toir fianais bhreugach; na dèan mealladh; thoir urram dhad athair agus dhad mhàthair.”
MRK.10.20	Fhreagair esan, “A Mhaighistir, chùm mi a h‑uile gin dhiubh sin o m'òige.”
MRK.10.21	Sheall Iosa air le gràdh, 's thuirt e ris, “Tha aon rud fhathast a dhìth ort. Falbh agus reic a h‑uile nì a th'agad, 's thoir an t‑airgead dha na daoine bochda. Mar sin bidh beairteas agad air nèamh. An‑uairsin thig agus lean mise.” 
MRK.10.22	Dh'fhàs an duine dubhach nuair a chuala e seo, agus dh'fhalbh e gu brònach, oir bha e air leth beairteach.
MRK.10.23	Thug Iosa sùil man cuairt 's thuirt e ri dheisciobail, “Nach e bhios duilich dhan fheadhainn aig a bheil mòran saoibhreis a dhol a‑steach a rìoghachd Dhè.”
MRK.10.24	Nuair a chuala na deisciobail seo, chuir e uamhas orra. Ach thuirt Iosa riu, “A chlann, nach e tha duilich a dhol a‑steach a rìoghachd Dhè! 
MRK.10.25	Tha e nas fhasa do chàmhal a dhol troimh chrò snàthaid na tha e do dhuine beairteach a dhol a‑steach a rìoghachd Dhè.”
MRK.10.26	Chuir sin ioghnadh anabarrach orra 's thuirt iad nam measg fhèin, “Cò, ma tha, as urrainn a bhith air a theàrnadh?”
MRK.10.27	Sheall Iosa orra 's thuirt e, “Chan eil seo an comas dhaoine, ach tha e an comas Dhè, oir tha a h‑uile rud comasach dhàsan.”
MRK.10.28	Thòisich Peadar ag ràdh ris, “Seall, dh'fhàg sinne a h‑uile rud, 's tha sinn air thusa a leantainn.”
MRK.10.29	Fhreagair Iosa, “Gu fìrinneach tha mise ag innse dhuibh nach eil duine sam bith a dh'fhàg taigh no bràithrean no peathraichean no màthair no clann no fearann air mo shon-sa 's airson an Deagh Sgèil 
MRK.10.30	nach fhaigh a cheud urad sa bheatha seo fhèin — taighean, bràithrean, peathraichean, màthraichean, clann agus achaidhean, agus sàrachadh cruaidh cuideachd, 's anns an ath shaoghal a' bheatha shìorraidh. 
MRK.10.31	Ach tha mòran air thoiseach a bhios air dheireadh, 's mòran air dheireadh a bhios air thoiseach.”
MRK.10.32	Bha Iosa agus a dheisciobail a' gabhail an rathaid suas gu Ierusalem, 's Iosa a' dol rompa. Bha ioghnadh air na deisciobail, 's bha eagal air an fheadhainn a bha ga leantainn. An sin thug e an dà fhear dheug air leth a‑rithist, agus thòisich e air innse dhaibh dè bha gu tachairt dha. 
MRK.10.33	Thuirt e, “Eisdibh seo. Tha sinne a' dol suas gu Ierusalem, 's thèid Mac an Duine a thoirt dha na h‑àrd-shagairt 's dha na sgrìobhaichean. Dìtidh iad gu bàs e, 's bheir iad thairis e dha na coigrich. 
MRK.10.34	Nì iadsan magadh air, a' tilgeil smugaid air, 's ga sgiùrsadh. Marbhaidh iad e, ach èiridh e a‑rithist an ceann trì là.”
MRK.10.35	Thàinig Seumas agus Eòin, mic Shebede, thuige. “A Mhaighistir,” thuirt iad ris, “bu toigh leinne gun dèanadh tu dhuinn an rud a tha sinn a' dol a dh'iarraidh ort.”
MRK.10.36	“Dè,” ars esan, “a bu toigh leibh mise a dhèanamh air ur son?”
MRK.10.37	Thuirt iad ris, “Thoir cead dhan dara fear againn suidhe air do làimh dheis, 's am fear eile air do làimh chlì, nuair a bhios tu air do ghlòrachadh.”
MRK.10.38	Fhreagair Iosa, “Chan eil sibh a' tuigsinn dè tha sibh ag iarraidh. An urrainn dhuibh an cupa òl a tha mise dol a dh'òl, 's a bhith air ur baisteadh leis an aon bhaisteadh riumsa?”
MRK.10.39	“'S urrainn,” ars iadsan.
MRK.10.39	Thuirt Iosa riu, “Gu dearbh òlaidh sibh an cupa a dh'òlas mise, agus bidh sibh air ur baisteadh leis an aon bhaisteadh riumsa. 
MRK.10.40	Ach chan e mo ghnothach-sa cead a thoirt suidhe air mo làimh dheis no air mo làimh chlì. Buinidh na h‑àiteachan sin dhan fheadhainn dhan d'ullaich Dia iad.”
MRK.10.41	Nuair a chuala an deichnear eile seo, bha iad diumbach de Sheumas agus Eòin. 
MRK.10.42	Ghairm Iosa na deisciobail thuige, 's thuirt e riu, “An fheadhainn a tha air am meas nan ceannardan a‑measg nan cinneach, tha fhios agaibh gu bheil smachd aca thairis orra, 's gu bheil ùghdarras aig na daoine mòra aca thairis orra. 
MRK.10.43	Chan ann mar sin a tha e nur measg-sa, ach an duine a tha ag iarraidh a bhith mòr, feumaidh e a bhith na sheirbhiseach aig càch. 
MRK.10.44	'S ma tha fear sam bith nur measg a tha ag iarraidh a bhith air thoiseach air càch, feumaidh e a bhith na sheirbhiseach aig a h‑uile duine. 
MRK.10.45	Oir chan ann airson gum biodh seirbhisich aige a thàinig Mac an Duine fhèin, ach airson gum biodh e‑fhèin na sheirbhiseach, 's gun toireadh e seachad a bheatha gus saorsa a cheannach do mhòran.”
MRK.10.46	Thàinig iad gu Iericho. Nuair a bha Iosa 's a dheisdobail 's mòran dhaoine eile a' fàgail a' bhaile, bha dìol-dèirce dall, Bartimèus, 'se sin mac Thimèuis, na shuidhe ri taobh an rathaid. 
MRK.10.47	Chuala esan gur e Iosa an Nàsarach a bha a' dol seachad, 's thòisich e air eubhach, “A Mhic Dhàibhidh! Iosa! Dèan tròcair orm!”
MRK.10.48	Bha mòran dhaoine ga chronachadh 's ag iarraidh air a bhith sàmhach, ach 'sann a dh'eubh e na b'àirde builea'ch, “A Mhic Dhàibhidh, dèan tròcair orm!”
MRK.10.49	Stad Iosa agus thuirt e, “Iarraibh air tighinn thugam.”
MRK.10.49	Thuirt iad ris an dall, “Gabh misneach; èirich; tha e gad iarradh.”
MRK.10.50	Thilg e dheth a chòta, leum e air a chasan, agus thàinig e gu Iosa.
MRK.10.51	Dh'fhaighnich Iosa dheth, “Dè tha thu ag iarraidh orm a dhèanamh dhut?”
MRK.10.51	Thuirt an duine dall ris, “A Mhaighistir, 'se gum faighinn mo fhradharc.”
MRK.10.52	Thuirt Iosa ris, “Faodaidh tu falbh: rinn do chreideamh slàn thu.”
MRK.10.52	Anns an dearbh mhionaid fhuair e a fhradharc, agus lean e Iosa air an rathad.
MRK.11.1	Nuair a thàinig iad faisg air Ierusalem, Betphage agus Betani, 's iad aig Beinn nan Craobh-ola, dh'iarr e air dithis dhe dheisciobail a bhith gabhail air thoiseach. 
MRK.11.2	'S thuirt e riu, “Falbhaibh dhan bhaile a tha mur coinneamh, 's cho luath 's a thèid sibh a‑steach ann, lorgaidh sibh asal òg 's e air a cheangal. Cha robh duine riamh ga mharcachd. Fuasglaibh e 's thoiribh thugam e. 
MRK.11.3	Ma dh'fhaighnicheas duine sam bith carson a tha sibh a' dèanamh seo, their sibh ris gu bheil feum aig an Tighearna air 's gun cuir e air ais e gun dàil.”
MRK.11.4	Dh'fhalbh iad 's fhuair iad an t‑asal 's e air a cheangal a‑muigh air an t‑sràid, aig doras taighe. Nuair a bha iad ga fhuasgladh, 
MRK.11.5	thuirt feadhainn a bha nan seasamh an sin, “Dè tha sibh a' dèanamh, a' fuasgladh an asail?”
MRK.11.6	Fhreagair iadsan dìreach mar a thuirt Iosa riu, 's leig na daoine leo falbh. 
MRK.11.7	Thug iad an t‑asal gu Iosa, 's nuair a thilg iad an còtaichean air, chaidh esan air a mhuin. 
MRK.11.8	Sgaoil mòran dhaoine an còtaichean air an rathad. Sgaoil feadhainn eile geugan a bha iad air a ghearradh sna h‑achaidhean. 
MRK.11.9	Bha feadhainn a' dol air thoiseach air agus feadhainn a' tighinn ás a dhèidh, 's iad ag eubhach, “Hosana! Beannachd air an fhear a tha tighinn ann an ainm an Tighearna! 
MRK.11.10	Beannachd air an rìoghachd a tha tighinn, rìoghachd ar n‑athar Dàibhidh! Hosana anns na nèamhan!”
MRK.11.11	Nuair a ràinig e Ierusalem, chaidh e a‑steach dhan teampall, 's sheall e man cuairt air gach nì. On a bha e nise a' fàs anmoch, chaidh e a‑mach a Bhetani còmhla ris an dà fhear dheug.
MRK.11.12	An ath là, 's iad air a thighinn a‑mach à Betani, thàinig an t‑acras air. 
MRK.11.13	Astar bhuaithe chunnaic e craobh-fhìge 's i fo dhuilleach. Chaidh e a dh'fhaicinn am faigheadh e dad oirre, ach cha d'fhuair e nì ach duilleach, oir cha robh àm nam fìgean ann fhathast. 
MRK.11.14	Thuirt Iosa ris a' chraoibh, “Chan ith duine sam bith toradh dhiotsa gu bràth tuilleadh.”
MRK.11.14	Chuala na deisciobail an nì a thubhairt e.
MRK.11.15	Nuair a thàinig iad gu Ierusalem, chaidh Iosa a‑steach dhan teampall. Bha daoine ann an sin a' reic 's a' ceannach, 's thòisich e air an sadadh a‑mach. Thilg e bun-os‑cionn bùird na feadhainn a bha ag iomlaid an airgid agus suidheachain nan daoine a bha a' reic nan calman; 
MRK.11.16	's cha leigeadh e le duine sam bith dad a ghiùlan troimh chùirt an teampaill. 
MRK.11.17	An‑uairsin thòisich e air na daoine a theagasg, 's thuirt e riu, “Nach eil e sgrìobhte: ‘'Se taigh-ùrnaigh dha na cinnich uile a bhios nam thaigh-sa’; ach rinn sibhse cùil dha na mèirlich dheth.”
MRK.11.18	Chuala na h‑àrd-shagairt 's na sgrìobhaichean seo, 's bha iad a' feuchainn ri dòigh fhaighinn air cur ás dha. Bha eagal orra roimhe a chionns gun robh a theagasg a' cur ioghnadh mòr air a h‑uile duine.
MRK.11.19	Ann an ciaradh an fheasgair, chaidh iad a‑mach ás a' bhaile.
MRK.11.20	Tràth sa mhadainn nuair a bha iad a' dol seachad, chunnaic iad a' chraobh-fhìge 's i air crìonadh gu ruig na freumhan. 
MRK.11.21	Chuimhnich Peadar air na thachair 's thuirt e ri Iosa, “A Mhaighistir, seall! Tha a' chraobh-fhìge a mhallaich thu air seargadh.”
MRK.11.22	Fhreagair Iosa iad, “Biodh creideamh agaibh ann an Dia. 
MRK.11.23	Gu cinnteach tha mi ag ràdh ruibh, ma chanas duine sam bith ris a' bheinn seo, ‘Eirich agus tilg thu-fhèin sa mhuir’, 'se sin a nì i ma bhios an duine gun teagamh aige na chridhe, 's e a' creidsinn gun tachair an rud a tha e ag iarraidh. 
MRK.11.24	San aon dòigh tha mi ag ràdh ruibh, ma dh'iarras sibh rud sam bith ann an ùrnaigh, creidibh gu bheil e agaibh, agus gheibh sibh e. 
MRK.11.25	'S ma tha dad agaibh an aghaidh duine sam bith nuair a sheasas sibh ag ùrnaigh, thoiribh mathanas dha, 's bheir ur n‑athair anns na nèamhan mathanas dhuibhse air son ur peacaidhean.” [ 
MRK.11.26	]
MRK.11.27	Thill iad a‑rithist gu Ierusalem. Nuair a bha e a' coiseachd anns an teampall, thàinig na h‑àrd-shagairt, na sgrìobhaichean agus athraichean an t‑sionagoig thuige, 
MRK.11.28	's thuirt iad ris, “Dè an t‑ùghdarras a tha agad gu bhith a' dèanamh nan nithean seo, agus cò a thug an t‑ùghdarras seo dhut?”
MRK.11.29	Thuirt Iosa riu, “Cuiridh mise dìreach aon cheist oirbhse, 's ma fhreagras sibh i, innsidh mise dhuibh dè an t‑ùghdarras a th'agam gu bhith a' dèanamh nan nithean seo. 
MRK.11.30	Nuair a bha Eòin a' baisteadh, an ann bho Dhia no bho dhaoine a bha an t‑ùghdarras aige? Thoiribh freagairt dhomh.”
MRK.11.31	Bha iad a' deasbad ri cach-a‑chèile: “Ma their sinn gur ann bho nèamh a bha e, their esan, ‘Carson a‑rèisd nach do chreid sibh ann?’ 
MRK.11.32	Ach ma their sinn gur ann bho dhaoine a bha e…” (Bha eagal orra ron t‑sluagh, oir bha a h‑uile duine dhen bheachd gur e fàidh a bha ann an Eòin an ceart da‑rìribh.) 
MRK.11.33	Mar sin thuirt iad ris, “Chan eil fhios againn.”
MRK.11.33	Thuirt Iosa riu, “Cha mhò a dh'innseas mise dhuibhse dè an t‑ùghdarras a th'agamsa gu bhith dèanamh nan rudan seo.”
MRK.12.2	Nuair a thàinig an t‑àm, chuir e seirbhiseach gu na tuathanaich a dh'fhaighinn bhuapa a chuid fhèin de thoradh na lios. 
MRK.12.3	Ach 'se rinn iadsan, a chuipeadh, agus a chur air falbh falamh. 
MRK.12.4	Chuir e seirbhiseach eile thuca. 'Se rinn iad ris an fhear seo, a leòn sa cheann 's droch làimhseachadh a thoirt dha. 
MRK.12.5	Chuir e an‑uairsin seirbhiseach eile thuca, ach mharbh iad am fear seo. Chuir e mòran eile thuca a bharrachd orrasan. Chaidh cuid a leòn agus cuid a mharbhadh. 
MRK.12.6	Bha aon neach fhathast air fhàgail, a mhac fhèin air an robh gràdh mòr aige. Mu dheireadh thall, chuir e esan thuca, 's e an dùil gum biodh spèis aca dha mhac. 
MRK.12.7	Ach 'sann a thuirt iadsan ri cach-a‑chèile, ‘Seo an t‑oighre. Siùdaibh! Marbhaidh sinn e, 's bidh an oighreachd againn dhuinn fhìn.’ 
MRK.12.8	Rug iad air, mharbh iad e, agus thilg iad a chorp a‑mach ás an lios.
MRK.12.9	“Dè a‑nis a tha maighistir na lios a' dol a dhèanamh? Thig e agus sgriosaidh e na daoine sin, agus bheir e seachad an fhìon-lios do dh'fheadhainn eile. 
MRK.12.10	Nach do leugh sibh mar a tha e sgrìobhte:
MRK.12.10	‘An dearbh chlach ris nach gabhadh na clachairean gnothach,
MRK.12.10	sin a' chlach a tha a' cumail nam ballachan ri chèile.
MRK.12.11	'Se an Tighearna a rinn seo,
MRK.12.11	's tha e mìorbhaileach nar sealladh’.”
MRK.12.12	Dh'fheuch iad ri grèim a dhèanamh air, ach bha eagal orra ron t‑sluagh, oir thuig iad gur ann thuca fhèin a bha e ag iarraidh leis an t‑samhladh. Dh'fhàg iad e agus dh'fhalbh iad.
MRK.12.13	Chuir iad thuige feadhainn dhe na Pharasaich 's de mhuinntir Heroid, feuch an canadh e rud leis an glacadh iad e. 
MRK.12.14	Thàinig iad 's thuirt iad ris, “A Mhaighistir, tha fhios againn gu bheil thusa fìrinneach, 's nach eil taobh agad ri neach seach neach, oir chan eil suim agad do dh'inbhe duine, ach tha thu a' teagasg na fìrinn mu shlighe Dhè. A bheil e laghail, no nach eil, cìs a thoirt do Chèasar? Am pàigh sinn i, no nach pàigh?”
MRK.12.15	Thuig esan cho cealgach 's a bha iad, 's thuirt e riu, “Carson a tha sibh gam fheuchainn? Thoiribh dhomh bonn airgid, gus an seall mi air.”
MRK.12.16	Rinn iad sin. Thuirt Iosa riu, “Cò an dealbh agus cò an t‑ainm a tha seo?”
MRK.12.16	“Cèasar,” ars iadsan.
MRK.12.17	Fhreagair e iad, “Thoiribh do Chèasar na bhuineas do Chèasar, agus do Dhia na bhuineas do Dhia.”
MRK.12.17	Chuir e ioghnadh mòr orra leis a seo.
MRK.12.18	Thàinig Sadusaich thuige — sin an fheadhainn a tha ag ràdh nach eil aiseirigh ann — agus thòisich iad air a cheasnachadh.
MRK.12.20	Nise bha seachdnar bhràithrean ann. Phòs a' cheud fhear bean agus bhàsaich e gun teaghlach. 
MRK.12.21	Phòs an dara fear i agus bhàsaich esan gun chloinn, agus dh'èirich dhan treas fear air an aon dòigh. 
MRK.12.22	Bha i pòsda aig gach fear dhiubh, ach cha d'fhàg aon dhen t‑seachdnar clann. 'S nan dèidh uile bhàsaich a' bhean. 
MRK.12.23	Anns an aiseirigh, nuair a dh'èireas na mairbh, cò am fear aig am bi i na bean, oir bha i na bean mar-tha aig gach fear dhen t‑seachdnar?”
MRK.12.24	Fhreagair Iosa iad, “Nach sibh a tha a' dol iomrall, chionns nach eil eòlas agaibh air na sgriobtairean, no air cumhachd Dhè! 
MRK.12.25	Nuair a dh'èireas na mairbh, cha bhi iad a' pòsadh no air am pòsadh, ach bidh iad mar tha na h‑ainglean ann an nèamh. 
MRK.12.26	A thaobh èirigh nam marbh, nach do leugh sibh an nì a sgrìobh Maois man phreas, 's mar a bhruidhinn Dia ris, ag ràdh: ‘Is mise Dia Abrahàim, Dia Isaaic agus Dia Iacoib.’ 
MRK.12.27	Chan e Dia nam marbh a th'ann, ach Dia nam beò. Tha sibh fada, fada ceàrr.”
MRK.12.28	Chuala fear dhe na sgrìobhaichean an deasbad, agus mhothaich e gun tug Iosa an deagh fhreagairt dhaibh. Thàinig e 's dh'fhaighnich e dheth, “Dè an àithne a tha a' toirt bàrr air na h‑àithntean uile?”
MRK.12.30	Gràdhaichidh tu an Tighearna do Dhia led uile chridhe 's led uile anam 's led uile inntinn 's led uile neart.’ 
MRK.12.31	Seo an dara tè: ‘Gràdhaichidh tu do nàbaidh mar thu-fhèin. Chan eil àithne ann as motha na iad seo.’ ”
MRK.12.33	Ma ghràdhaicheas duine esan le uile chridhe, le uile thuigse, 's le uile neart, 's ma ghràdhaicheas e a nàbaidh mar e‑fhèin, tha sin mòran nas fheàrr na a bhith ag ìobradh bheathaichean is rudan eile do Dhia.”
MRK.12.34	Chunnaic Iosa gun do fhreagair e gu glic, 's thuirt e ris, “Chan eil thu fada bho rìoghachd Dhè.”
MRK.12.34	An dèidh sin, cha robh duine cho dàna 's gun cuireadh e ceist air.
MRK.12.35	Nuair a bha Iosa a' teagasg anns an teampall, dh'fhaighnich e dhen t‑sluagh, “Carson a tha na sgrìobhaichean ag ràdh gur e an Crìosd mac Dhàibhidh? 
MRK.12.36	Oir tha Dàibhidh fhèin ag ràdh fo bhuaidh an Spioraid Naoimh:
MRK.12.36	‘Thuirt an Tighearna ri mo Thighearna-sa,
MRK.12.36	Suidh air mo làimh dheis,
MRK.12.36	gus an cuir mi do nàimhdean fod chasan.’
MRK.12.37	Tha Dàibhidh fhèin ga ainmeachadh mar a Thighearna. Ciamar mar sin as urrainn dha a bhith na mhac dha?”
MRK.12.37	Bha an sluagh gu lèir ag èisdeachd ris le tlachd. 
MRK.12.38	Nuair a bha e gan teagasg, thuirt e riu, “Thoiribh an aire roimh na sgrìobhaichean, 's iad cho dèidheil air a bhith a' dol man cuairt ann an cleòcan fada, agus daoine a bhith gam fàilteachadh ann am meadhon a' bhaile. 
MRK.12.39	'S toigh leo cuideachd suidheachain sa cheud sreath a bhith aca anns an t‑sionagog, 's ceann a' bhùird a bhith aca aig na cuirmean. 
MRK.12.40	Bidh a' cheart fheadhainn a' spùinneadh taighean bhanntraichean, 's a' dèanamh ùmaighean fada air sgàth a bhith mòr. 'Sann as cruaidhe a bhios an dìteadh a gheibh iad.”
MRK.12.41	Shuidh Iosa mu choinneamh àite-tionail an airgid san teampall, 's bha e gabhail beachd mar a bha daoine a' cur ann. Bha mòran dhaoine beairteach a' cur airgead mòr ann. 
MRK.12.42	Thàinig an‑uairsin banntrach bhochd, agus thilg ise ann dà bhonn bheag nach b'fhiach urad ri sgillinn. 
MRK.12.43	Ghairm e thuige a dheisciobail, 's thuirt e riu, “Gu cinnteach tha mi ag ràdh ruibh gun tug a' bhanntrach bhochd seo barrachd seachad na thug càch gu lèir. 
MRK.12.44	Oir chuir iadsan ann a‑rèir am pailteis, ach chuir ise ann am beagan a bh'aice, a beòshlaint uile.”
MRK.13.1	Nuair a bha e tighinn a‑mach ás an teampall, thuirt fear dhe a dheisciobail ris, “Seall, a Mhaighistir, nach mìorbhaileach na clachan's na togalaichean a tha seo!”
MRK.13.2	Thuirt Iosa ris, “A bheil thu a' faicinn nan togalaichean mòra seo? Cha bhi fiù 's aon chlach air a fàgail air muin t'èile ann an seo.”
MRK.13.3	Nuair a bha e na shuidhe air Beinn nan Craobh-ola, thall mu choinneamh an teampaill, bhruidhinn Peadar, Seumas, Eòin agus Anndra ris nuair a bha iad leo fhèin. 
MRK.13.4	“Cuin,” ars iadsan, “a thachras seo, agus dè an comharra a bhios ann gu bheil na rudan seo uile a' tighinn gu buil?”
MRK.13.5	Thuirt Iosa riu, “Thoiribh an aire nach dèan duine sam bith ur mealladh. 
MRK.13.6	Thig mòran a' gabhail m'ainm-sa orra fhèin, 's ag ràdh, ‘'S mise e’, agus meallaidh iad iomadh neach. 
MRK.13.7	Nuair a chluinneas sibh ùbraid chogaidhean faisg air làimh agus iomradh air cogaidhean fad ás, na biodh eagal oirbh; feumaidh seo a bhith, ach chan e sin fhathast a' chrìoch. 
MRK.13.8	Eiridh sluagh an aghaidh sluaigh agus rìoghachd an aghaidh rìoghachd. Bidh crithean-talmhainn ann thall 's a‑bhos, agus gortan cuideachd, ach cha bhi ann an sin ach toiseach nan àmhghairean.
MRK.13.9	“Ach thoiribhse an aire, oir bheir iad thairis sibh do chomh-airlean 's do shionagogan gur feuchainn. Thèid ur cuipeadh, agus, air mo sgàth-sa, seasaidh sibh air beulaibh luchd-riaghlaidh agus rìghrean a dhèanamh fianais. 
MRK.13.10	Ach an toiseach feumar an Deagh Sgeul a shearmonachadh dha na cinnich uile. 
MRK.13.11	Nuair a bheir iad thairis sibh a sheasamh cùirt, na biodh cùram oirbh roimh-làimh dè a their sibh, ach canaibh an rud a thèid a thoirt dhuibh aig an uair sin fhèin, oir chan e sibhse a bhios a' bruidhinn ach an Spiorad Naomh. 
MRK.13.12	Bheir bràthair seachad bràthair airson a chur gu bàs, agus bheir athair seachad a mhac. Eiridh clann an aghaidh am pàrantan airson an cur gu bàs. 
MRK.13.13	Bidh fuath aig a h‑uile duine dhuibh air sgàth m'ainm-sa, ach an neach a sheasas daingeann chun na crìche, bidh e air a shaoradh.
MRK.13.15	Duine sam bith a tha shuas air mullach an taighe, cha dèan math dha dhol a‑steach nuair a thig e nuas, no feuchainn ri nì sam bith a thoirt leis. 
MRK.13.16	'S ma tha neach sam bith a‑muigh air an achadh, na tilleadh e a dh'iarraidh a chòta. 
MRK.13.17	'S mairg dhaibhsan a bhios trom le leanabh no aig am bi naoidhean air a' chìch aig an àm sin! 
MRK.13.18	Feumaidh sibh a bhith ag ùrnaigh nach ann sa gheamhradh a thachras e. 
MRK.13.19	Sna làithean sin, bidh èiginn ann nach fhacas riamh a leithid bho rinn Dia an cruthachadh, 's cha bhi a leithid ann tuilleadh. 
