GEN.1.1	Apanll chtakchu, kanindaatstam, tsapootstam tinarangiya. 
MRK.5.6+MRK.5.7+MRK.5.8	Ashirucha, tputs arapiri Isusoo pakeeru, iriptaranll ashirangiya. Isusush tutunllta ashirangu, watam Isus kamachtaku, Yashingoo, shtungangi; táranguwa. Isusoo, shiy Apanlliritishcha Wipish; mang, tárangu. ¿Shiy tamakatshasha ningeema? ¿Shiy nuwaa tamayachtazish? mang, tárangiya. Nuwaa waneeriyshpa. Aparimunich tina, tárangiya. 
MRK.5.9	Ashiri Isus: ¿Shiy chaksha surish? átu, uwsha: Nuw suri zapantanicha watam zapanniwa; tárangu. 
MRK.5.10	Itaru, uwsha Isusoo; Arap iyaa zanganiyshpa; táta táta ashirangiya. 
MRK.5.11+MRK.5.12	Napangi piya. Piy machimun kuch zapan katungkanaya. Ashiriya, k'chish pshtupani atiniya. Anush zanganingandama iyaatsi, tárangiya yashingu. 
MRK.5.13	Isussha: Naangsints, ashiriya watam átssawa; mang táyaru, tputsush shitungarangsin, k'chish pshturangana, manga. Kuchsha 2000 ashippari, wazawap turut ashiranllu, musash mang parat' ashirangu, musash chipuyartaranganaya. Itaru, yashingumun tputs wanasirireerangiya.
MRK.5.14	K'chipansha tputs suwarangana. Minupsha tputs kamanta minupsha tputs kamanta ashirangana. Yaktash kaman kaman mang ashirangana.
MRK.5.14	Tputssha anoo mazinayarusin, Isusupsha turut ashiranll mang ashirangana, pangani atusina. 
MRK.5.15	Isusush kuseersin, yashingumun wanasir kamartaru, mangpatarisha taarangiya, yuw sirú nuw wazapantanicha, tárangu anu. Tputssha anoo pakeeru, kizpur punirustayarusin, 
MRK.5.16	itaru, tputs Isus yararangu anoo pakeersin, Piytanda ashirangu, mang, tárangana; apinll kamanirangana. 
MRK.5.17	Tputssha puniksin, Isusoo, shiy naachcha. Nish shiy taarinllpa; mang, tárangana. 
MRK.5.18	Isussha zarukchu, yashingumun tputs mang: Isusoo, kayunutamta, átu, 
MRK.5.19	Isussha nda machku, Watsta. Waptam kanapungcha tárangu. Apanll shiyaa nayanirangu, ashiri maachiritaatsish kamanishincha; táyaru, 
MRK.5.20	uwsha kamanimaam waptam naatarangiya. Tikáporsush watsapun xiyrangu, kamanirangiya. Minush yakat kamanta kamanta ashirangiya. Ichingurusin tputs: ¿Tamaree ashik? tárangana.
MRK.5.20	Watamcha tsiyatssis yuw Isus yashingoo tashitungarangu anootsi.
MRK.5.21	Minush zari Isussha mang yusur arachich kítarangiya minupsha yakta. Mataykamchu, tputs kusta kusta ashirangana. Zapan tputs Isusunungi shaniyarangana. 
MRK.5.22	Jayro, tputs sura, Utaáshuchish shaniyshini ksutamapanimunatamcha. Isusush kuseeru, mang tutunlltarangiya. 
MRK.5.23	Ipari kiz tsipamaam zandakcha. Pza, pangatish. Shiynaapa kuwiptish patatkachush yarachsha; tárangiya. 
MRK.5.24	Isussha: Ayu; táyaru, naatarangana Jayropta. Naantachu, Isusumun tputs zapan tachitarusin kandan kandan kandanta mang ashirangana.
MRK.5.25	Kizsha tachitarangtamta. An kiz 12 masach kurassee kapeet kapeet mang ashirangiya. 
MRK.5.26	Ichtaru doctorap zapan naarangu, zapan kiyung kachiyarangiya. Urkiree mangu tuchingeeru, itaru yusursha aranginasha kizpurinasha misiseerangiya.
MRK.5.27+MRK.5.28	Isusoo kámanarangusin, kizsha Isusumun ush tachitarangiya. Wamaree patatkachuri, nuwaa yarachpari; mangush táyaru, Isusoo max wingootsim patatarangiya, tputs wazapan tstsaru anshu. 
MRK.5.29	Patatkachu, mang ursir puzatar tsípatara mang ashirangiya. Yareeru, kizsha waana natstarangiya. 
MRK.5.30+MRK.5.31+MRK.5.32	Isussha wizpuririneetsi yarkachu tácharangiya. Isussha: ¿Chaka nuwaa patateeranda? tárangu, wipunashsha: Ichee, tputs shiyaa kandan kandan kandan ashkusin, ¿mayaamsha, Chakaja nuwaa patatkanda; shiy átsha? tárangu, Isussha tputsip natpunuyaru, tputsush wach napta napta ashirangiya. 
MRK.5.33	Kizsha Isus nuwaa yareenlltee átu, kizpur punirustarangiya. Tata tata shitar ashirangiya. Isusush tutunlltayaru, ichinguru yuwaa kiyung kachiyarangu anoo kamanirangiya. 
MRK.5.34	Isussha: Izari, nuwamun mangish taturangush, yararangina nuwa. Na yareenlltishcha. Mapiyrush naachcha; tárangiya.
MRK.5.35	Isus kizapat tsiyatstaru, anush Jayroshuch tputs kusarangiya. Waanpatashtisin tsiyatkusin, Iparish tsipayanlluwa, Jayroa. Ashiri Isusoo yamarinllpa. Watstaya; yaani kanapuni; mang tárangiya. 
MRK.5.36	Itaru, Isussha, Mangish mantsarinllpa, zuwaa. Nuwamun mangish tatungcha; mang, tárangiya Isusu. 
MRK.5.37	Isussha, yaani napani átu, wipunashinandaritaa tapusarangu; Pitorpa, Sandeekurinpa, zoonllpat Wanga, ashpisin naatarangana. 
MRK.5.38	Jayrosh pang' kuseeramchusin, Isus tputsee zapan parangiya. Uwi tuwá tuwá ashishtarusin tanuksin parangiya. 
MRK.5.39	Pangusush pshtuyaru, Isussha: ¿Mayaama tanukus, kuweetsis tuwá tuwá ashiksa? Antaati pzurareeja; nllur maarimanda, mang, tárangiya. 
MRK.5.40	Tputssha mang starangana. Isussha tputsee: Pangusush shtungangints; tárangu, shitungaramchusin, waparpat wanirpa ashiru pshturangana nllur wayaru anshu. Isus wipunash anshutam pshturangitamta. 
MRK.5.41	Ashiri Isus kamasinamun uw putayaru, waanshuchiri kuk: Tárita kúmi; tárangiya. Iyashuch k'kini: Izaree, natu támangi; mang átu, tárangiya. 
MRK.5.42	Táyaru, chiyzata ashirangiya. Chiyzayaranllu xiytaramach ashirangiya. An kiz 12 masachirini taarangiya. Wapar Jayor punirustambach ashirangana. 
MRK.5.43	Isussha: Tputsee kamaninllpa; mang, tárangu. Wanireetssha: Maritangcha; táyaru, kasarangiya.
MRK.5.43	Ashiri wappari kamaneena yuwaa Isus nlluraa ituyamarangu anootsi.
MRK.6.1	Ashiri Kapárnáwash anush tsapoo kasayaru, Isus wipunashpat kanapurangu, yaptam kanungarangu ambtam naatarangiya. Anush Násaretush kuseeru, 
MRK.6.2	zari sápatush Isus Utaáshuchish shaniyshini pshtuyaru tayaspatarangiya. Tputssha: ¿Tamaru ashiru tsiyatka? ¿Tamayarishta yasaya? ¿Tamaru tputsee yarka, tputsee ichiyzata ashka? tárangana. 
MRK.6.3	¿Ndusha in tputs nishuch? ¿Ndusha panguspan ini? ¿Ndusha Mariy wip? tárangana. ¿Ndusha Sandeek' zoonll, misha Ustam zoonll, misha Utaástam zoonll, misha Simotam zoonll? tárangana. ¿Wizar iyash taakanawa? tárangana. Atusin, Isusoo natstarangusin, natsaranganaya. Isusoo kuk kaapa nda mazinarangana. 
MRK.6.4	Itaru, Isussha: Siy uru tsiyatssee kis payuksa. Apanllee kuk kamanimapan waanshuchpata tputs, misha zoonllpatatam uru nda kis mazinakana, átssa. Ashirucha, siy nuwaa ashkitampasa nda mazinamaam zandaksa, tárangiya. 
MRK.6.5	Tputssha mang' tatumaam ngatarangana; ashirucha Isus tputsee zapan yaramaam pinasarangiya. Tputsimun uwee wayayaru, machin yararangiya. 
MRK.6.6	Ashiri Isussha: ¿Tamashta nda mangoonkana? táyaru, kasayaranllu, minush zar minupsha yakat tayaspatat minush zar minupsha yakat tayaspatat ashirangiya.
MRK.6.7	Isus wipunashinandsha 12 kuruzeeru, shaniyeersin, Isussha; Siysa tsimbun ipuneerus piyam naaku, piyam naaku shintsa, tárangu. Wizpuriri siyaam panachintspa tárangu. Siyamari yashingoo kasichpasa, mang, tárangiya.
MRK.6.8+MRK.6.9	Naakchus, maacheetsi yarintspa; tushuwshimtis yángtsa. Itaru, pangaa, misha tsingasheetstamtis yarintspa. K'tunaris minamari k'tuntayarus, spatayarus naangtsa. Kurikireetsis kichpushis pshtayarus yarintspa, tárangiya.
MRK.6.10	Tputsush pang' kuskachus, anshuri taangtsa; tárangu. 
MRK.6.11	Yaktash kuskachus, itaru nda tputs kayunu taayani átu, natsaku, siyaa mazinamaam ngatku, ashiriya wanimaam kutsis káchingayarus naangtsa, Isus tárangiya, manga.
MRK.6.12	Wipunashsha ayu atusin, mang naataranganaya. Yaktash kuskamchusin tayaspatarangana. Mangishis itsinsayashtis chinangtsa; yutaritshishee ksangtsa; tárangana. 
MRK.6.13	Yashingoo zapan tashitungarangitamana. Mishat, kas yutamaa wayungunpa taparayarusin yararangtamana. Ashirangsincha.
MRK.6.13	Ashiri yuwaa Isus wipunashee kamachtarangu anoo kamaneena.
MRK.6.14	Anpurtam Herodesarini, Galileyshuch urkari, tsiyatssee Isusumun mazinarangiya. Watam tputs Isusoo tsiyatat tsiyatat ashiranganawa. Ashpatam tputs: Wangarineezuwa ichumampani; Isusoo, tárangana. Wangarineetsini pacharangana na támeenllparee; anparee. Ashirupa tputsee yarkiya; tárangana, manga. 
MRK.6.15	Itaru, ashpatam: Elíyasazuwa yusur kuseenlliwa mang, tárangana. Mishat, ashpatam: Apanllee kuk kamanimapan, ¿zitaminarini ndusha támeenll? anparee, mang ántangat ashirangana.
MRK.6.16	Herodesarinsha tsiyatssee Isusumun mazinayaru mang: Wangarineetsi kamachtaranguri, muchoo tururangana. ¿Anuzuwa, támeeshinuwa? anparee, tárangiya.
MRK.6.17+MRK.6.18	Sirú Wangarini Herodesarinee nambarangu, ¿Mayaamsha zuwanlleetsish, Felipeets wizanll isuwarangsha shiya? An yutarita; tárangiya Herodesarineetsi. Anumandsha Herodesarinsha Wangarinee putayaru, tumanarangiya. Tumaneeru, kateenpat kamuriyaru, kasarangiya.
MRK.6.19	Herodesarinsha wizanll Wangarineetsi natsarangiya. Pachamaam kamachtamaam zandarangu, itaru xapoorangshita. 
MRK.6.20	Herodesarini Wangarineets chinamana chinarangiya. Herodesarini: Wang wanasircha. Yutarit taakeeja; pachamaam watsta tárangiya. Wangarinsha tumanshishush tayaspataku Herodesarinsha: ¿Tamaru tayaspataka? tárangiya. Itaru, tayaspataku, kis mazinarangiya. 
MRK.6.21	Kis mazinarangitaa, ashiritaa wizanll Wangaa pachamaam zandarangiya. Minushsha zari, yap nda chinakich amb Wangarineetsi tupchamaam kamachtarangiya.
MRK.6.21	Herodesarinisha yuw nllurtarangu an masachirini tatsamkachu, tputsee zapani kuruzurangiya. Kurakaa misha komandanteetstam, misha Galileyshucheetstam wirakuch zapan kuruzurangiya. Naanints, shaniyeeruni katungeeni; zamamteeni; tárangiya. 
MRK.6.22	Anushsha wizanll wip pshtuyaru, michitchitat ashirangiya. Herodesarini wamkurpa kis napataranll ashirangana. Herodesarinsha kamasinaa: Nuwaa mashamaam zandkush mashangandama nuwaatsi, tárangiya. Yuwaa zandkish anoo panachinllpa, tárangu. 
MRK.6.23	Zurkuri atina. Aparimunich sura atina. Ngichkeezi. Shiy mashkachush, uru panachparina. Zandkush, nuwaanaatsi tsapunee tapuseerunll panachinllpa; ashtachinllpa, tárangiya. 
MRK.6.24	Kamasinsha shitungeeru wanireetsi: ¿Nuw mayaatsi mashchi? táyaru, wanirsha: Wang muchoo, ichumampani mashangcha muchootsi, tárangiya. 
MRK.6.25	Kamasinsha mikeeru kurakush pshtuyaru, Naturi Wangaa much ichumampani panangandama. Paratush pshtayarush panangandama, tárangiya.
MRK.6.26	Ashiri Herodesarinsha mang' kizpur mantsarangiya. Itaru, wamkur napanapawu Herodesarinsha pazirangiya. Dancha, watsta támaam mbamatarangiya, watam: Yuw zandkish anoo panachinllpa, táranguwa. 
MRK.6.27	Sundarootsshat: Wangaa muchoo turushini; tárangiya. Tumanshishish pshtuyaru, Wangarineetsi much tururangiya. 
MRK.6.28	Sheeru, paratush pshtayashinu, Neewa táyaru, kamasinaam panarangiya. Uwsha yáyaru, wanireem panarangiya Wangarineetsi muchu.
MRK.6.29	Wipunashsha tsiyatssee mazinayarusin, naayarandsin, kuseersin, Wangarineetsi tsiparee yáyarandsin, mapshiship kawineerangana.
MRK.6.29	Ashiri Wangarineetsi watamcha tsiyatssi.
MRK.6.30	Ashiriya, minushsha zari Isus táyaspatashsha kanapeeshinusin, Isusush shaniyarangusin, Apanllee kuk kamantayashinusin, Isusoo ichinguru kamaniramchinllina. 
MRK.6.31	Mishat, anshutam tputssha zapan kusatarangsin, kanusamaam xararangana. Katungamaam xararangitamta. Ashiri natam Isussha wipunashee: Pzaya; yaanita naayani yap tputs ndunari ambi, tárangu, 
MRK.6.32	Isuspa kanush zaruyarusin, arachich kítarangana. Yap tputs ndunari ambi naatarangana. 
MRK.6.33	Naakchusin, tputs zapan natstayarusin, wingumun iriputaranll ashirangana. Minshuch yakat shitungku piyamsha yakat minshuch shitungku, sheerandsin, ichingurusin wasina yamazarsin kusarangana. 
MRK.6.34	Isus mataykamchusin, káreeramchusin, tputsee zapan parangiya. Opeeja ashiru masaru taaru parangiya; yuw ksutamapan ndunpaz ashiru an parangiya.
MRK.6.35+MRK.6.36	Ashiri tayaspataku zar manginamun xameekamchu, Isussha wipunash: Tputsee zanganingcha katungtseema. Papcha, tapeekachpa; mang, tárangana Isusootsi. Nish upusap wanindaja. Ashiri ashpatam yaktap naakchusin, ashpatam tputsip mazari naakchusin, katungtsee pangachpasinaya. Sheersin katungchinllinaya, tárangana. 
MRK.6.37	Isussha: Nduni; nishuri maritangtsa siya; tákchu, wipunashsha: Tputsinaarich minamta masach kurikeem tarawaztayaruch, ¿tamaree ashpam tatsamooch? pshataru pishtachparee, tárangana. 
MRK.6.38	Isussha: ¿Wanipa pang taar? Napangints; tárangu, wipunashsha pakeersin, Pang kuwiz m'cheeru taariya. Kayupichsha tsimbunund taaritamta, tárangiya.
MRK.6.39	Itaru, Isussha tputsee kamachtarangu; Piyam kuxinta piyam kuxinta shingtsa chirichirimuna, táyaru, 
MRK.6.40	tputssha 50 kuxinta 50 kuxinta 100 kuxinta ashirangana. 
MRK.6.41	Sheeru, mang pangaa yáyaru, kayupcheetstam yáyaru, íwarsha kanindap naparangu, Apaa, wapparee; mang, tárangiya. Táyaru, pangaa tupta tupta tupta sheeru, wipunasheem panarangiya. Kayupcheetssha tatapta tatapta sheeru, wipunasheem panarangitamta. Na siysa tputseem pana pana shingints; tárangiya. 
MRK.6.42+MRK.6.43	Panayashtisin katungeersin, mang tazazartarangana. Wipunashsha 12 tsumb katuchimaa mang yarangana. 
MRK.6.44	Kamuzananda zameetpata mil katungarangana.
MRK.6.44	Ashiri yuwaa Isus tputsee kuwiz m'cheeru milo martarangu anoo kamaneena.
MRK.6.45	Natumatamcha Isus wipunasheetssha: Botish zaruyarus, arachich kiteerus, Betsáyanap wasina naatstsa; tárangu, wipunashsha kanush zaruyarandsin naataranganaya. Naatarangsin, Isus tputseetssha: Pangipis kanaputantsa, tárangiya. 
MRK.6.46	Isus machip kárirangiya Waparpat tsiyatamaama. 
MRK.6.47	Tapitaranllu, wipunash musush upusanand kchungatan ashirangana. Isussha urupunguri waanitari taarangiya. 
MRK.6.48	Kambusur kizpur kambustarangiya. Shipanung kambusur tap ashirangiya. Isussha wipunashi kizpur kchung kup kup shitar ashirangana punirustambatssin. Kiyung kachiyaranganaya. Isussha sitkachu naatarangiya. Kungumuna naantach ashirangiya. Wipunashingaz naatarangiya. Itaru, imarutachu parangana. 
MRK.6.49	Isusoo kungumuna naantachu parangana. Ay sitatstee; tárangana. ¿Chaka ashtar? Kanizparee, tárangana Isusootsi. 
MRK.6.50	Wipunash ichingurusin parangana. Kizpur punirangana. Isussha: Puniriyspa, nuwtanda. Isustana. Mapiyngtsa; tárangiya.
MRK.6.51+MRK.6.52	Táyaru, wipunashish wanurishsha zarukamchu, kambusuru zanay ashirangiya. Wipunashsha nda izuurasha Isusoo mangoonarangsin, mang' zuu ashiranganaya. Napa: Isus zameetpa tputs milo maritarangitaa, ashiritaa wipunashsha nda mangoonarangana. Mang' ndunarpaz ashirangana.
MRK.6.53	Ashiriya, minush zari yusur musaatssha kíteersin, tsap Kinísaritash sura anush matayarangana. 
MRK.6.54	Káreeranlltisin, tputs Isusoo natstayarusin, Isus piytanda, táta táta ashirangana. 
MRK.6.55	Kas yutamaa wayanllamarish kuyarandsin, Isusush yaraani atusin, Isusupsha yushindarangana. Uwsha Isus kas yutamaa yararangiya. 
MRK.6.56	Yapiri Isus xiyrangu ambtam tachitarangana. Yaktap naaku, chapungup naaku, ipuspita naaku, ambtam tachitarangana. Uru paxanxshishush kas yutamaa wayarangitamanaya. Kas yutamsha: Isusoo, shiyaa kamareetstaatish patatkachuri, nuwaa yarachpasha, tárangana. Táyarusin, Isusootssha wamaree patateersin yararanganaya.
MRK.6.56	Ashiri yuwaa Isus kungumun naatarangu anoo kamaneena.
MRK.7.1	Minush zar Móysispaniri wirkar kamanimapan Irusarinush káyashinusin, Parísiypanshuchpa táyaspatash ipuneersin, kusarangana. 
MRK.7.2	Kuseersin, Isus wipunash nda kaapa wanasir kuxeersin katungarangana anoo parangana. 
MRK.7.3	Sirútama Utaáshuch zitaminarini yapstarangusin, mangutari mangeetsich nda tayutaritaruneepa atusin uru izuuru kuxeersin katungtaranaya. Parísiypanshuch tputs misisinasha, itaru Utaáshuchtamta ichinguru anootsimari mang chinarangana. 
MRK.7.4	Paxanxkatssin, kanapkatssin, izuuru kuxeersin, katungarangana. Kupartamaam zapantam kamachtarangana. Mangawaa kupartaata, ngusambaatstam kupartaata, ngusambaatstam chumbeepimashee kupartaata sheersin, wanasir katungtaranaya. 
MRK.7.5	Ashirucha, Parísiypanshuchsha Isusoo masharangana; ¿Ipunshish mayaamshta nda zitaminarini Utaáshuchirini tayaspatarangu nda anoo kuk payukanaya? tárangu. ¿Mayaamshta uw nda izuuru kuxeersin katungkanaya? tárangana. 
MRK.7.6	Isussha: Siy uru yanuru Apanllee kuk payuksa; itsinsaru nda chinaksa. Apanll kamanimapani, Isáysarini sirútamasa yandayaru, siyashchee wasina kamanirangiya. Zurku, tárangiya;
MRK.7.6	In tputs kukpatari mangu Apanllee tsiyatkana; tárangiya. Itaru, Apanllee nda chinakana. Nda mangoonkana. 
MRK.7.7	Mangutari Apanllee mangoonaktana atanaya. Waanaatstamari chínash tayapstakanawa;
MRK.7.7	tárangimanda Isáysarini siyashcheetsi. 
MRK.7.8	Siy Apanllee kamachtamarini kapeeteerus, tputseetsimarisha kuk payuksa. 
MRK.7.9	¿Tamaysha zitaminaatsinaasha kuk kis payuksa; itaru Apanlleetssha kuk nda payuksa? 
MRK.7.10	Mishat, Apanll Móysisarineetsi tuyandaku, tárangiya;
MRK.7.10	Apareetsis wanasir ksutangtsa.
MRK.7.10	tárangiya Móysisarini. 
MRK.7.11	Tárangitaa, siysa apareetsis, aneereetstamtis istamaam nda chinaksa. Napa: siysa kurikireetsis Apanlleem ichinguru wayakus, anootssha kurik wayampancha átus, ísamatssa. 
MRK.7.12	Ashkachus, apareetsis, ¿Tamaree nuw shiyaa istachi? ¿Watam kurikireetsi wayaranginawa? átssa. 
MRK.7.13	Atutischa Apanllee kuk kapeetaksa. Itaru, zitaminaa kuk kis payuksa. Siy zapan yutarit tayaspataksa tputseetsi; tárangiya Isusu.
MRK.7.14	Isus minootssha tputs ichingurootssin kuruzurangiya. Nuwaa kuki mazinayarus, mangoonangtsa; táyaru, tayapstarangiya.
MRK.7.15	Tsarunpat kiseeruch katungkich anoo nda mangishich tayutaritkiya. Itaru, yuw yutarit mangishich chinakich ancha chiyaa tayutaritkiya. 
MRK.7.16	Ashiri tputs mangoonamaam zandkusin, wits mazinachinllinpa; tárangiya.
MRK.7.17+MRK.7.18+MRK.7.19	Táyaru, tputsee kasayaranllu, wipunashpatamsha pangusish pshturangiya. Pshtuyarusin, wipunashsha masharangiya; ¿Katungtsi amarangpasha? tárangana. Isussha: ¿Washa siy nda mangoonkis? tárangu. Katungats watam tputsush chik pshtuyaru, sheeru yusur arang shitungkuwa. An tputsee mang' yutaritkeeja; watam nda mangishich pshtukuwa. Ashiriya, katungtsina ichinguru waritariya. 
MRK.7.20	Itaru, mangishich chinakich ancha chiyaa tayutaritkiya, tárangiya. 
MRK.7.21	Ashiriya, chiyaa tayutaritku anoo kamanchintspa. Yutaritshishee chinachinaw ashkuch, yutarit taakchi. Ancha kizpur yutaritaya. Kizaa imbangartamaam yutaritcha; misha tputsee msangeeru pachakuch; misha shuchimaam; 
MRK.7.22	misha tputsingaz maachiri támarakuch; misha ngichimaam; misha tputspata yutarit patatamaam; misha chaanaatstamari kasiru taamaam; misha tputsee mangutari tamapingakuch; misha tputsee yutarit tsiyatamaam; misha tputs mangsharit taaku yutarittamcha; an ichinguru yutaritcha. 
MRK.7.23	Ashiriya, yutarit mangishich chinakich an chiyaa tayutaritkiya, tárangiya Isusu.
MRK.7.23	Ashiri Isus yutaritshishee kamanirangu anoo kamaneena.
MRK.7.24	Minush zari Isus Kinísaritaa tsap kasayaru, Tírshuchish tsap kuseeramchu, xiytaramach ashirangiya. Anush tputsush pang' taarsheem pshturangitaa, Tputs nuwaa yasarundama atitaa, tputssha nda zapish yasarangana. 
MRK.7.25+MRK.7.26	Kizsha istapanda átu kusarangitamta. An kiz Utaáshuchimunaja. Síro-fenisshuchish nllurtama. An kiz wip kizataa yashingumuncha. Ashiri tsiyatssee mazinayaru, Isusush kuskamchu, watsush timuchta ashirangiya. Isusootssha: Ichee, nuw ipari yashing'cha. Ipareetsi yashingurini tchiyangi; tárangu, 
MRK.7.27	Isussha: Xamachi, Utaáshucheetsima izuuru istachimasima. Antaati nuw Utaáshucheem nllurapaz watungash itutseeruri, shiyaam tumuzeempaz ashiruri panacheezi, tárangiya. 
MRK.7.28	Kizsha: Ashiritaataya, nuw tumuzpaz ashiruri taakuri, ashiritaa katuchimunzitaa pananda pakchitaaya. Pakchitaa ipareetsi istanda, tárangiya. 
MRK.7.29	Isussha kizaa: Shiy waptatcha tsiyatarangish, ashiri istachinllpa. Pangipish kanapungcha, watam yashing' shitungeenlluwa iparshish; tárangiya Isusu. 
MRK.7.30	Kizsha pangusip kanapurangu, wipaa parangiya. Maashimun tamoo ashirangu, yashingoo tashitungam parangiya.
MRK.7.31	Isussha Tírosh tsap káyashinu, Sitónaa tsap iturpiyaru, musush Galileyash kusarangiya. Apus zapanparee maarangiya. Zapishsha Tikáporsush tsap kusarangiya. 
MRK.7.32	Anush tputs mitsshartaa Isusup machtarangana; antam tputs makukshimuna. Kuwiptish ptatangi; mang, tárangiya wamkuri Isusootsi. 
MRK.7.33	Isussha tputsee mitsshartaa waani piyam macheeru, witsush patat ashirangiya. Uwimuna kawacheeru, tputsee waneepoo patatarangiya. 
MRK.7.34	Kanindapsha napeeru, Ipata, tárangiya. Itaru, iyashuch k'kini: Shuringi atiniya, tárangiya. 
MRK.7.35	Wits mazinarangshita. Waneep mureerangiya; wanasirsha tsiyatarangiya. 
MRK.7.36	Isussha waneerangiya; Tputsee nllitarita kamaniyspa; tárangiya. Kapung, tárangitaa, itaru uwshtisin aranganash kamanta kamanta ashirangana. 
MRK.7.37	Tputssha anoo mazinayarusin, kapung punirustarangana. Isus ichinguru wanasiri yarkiya. Napa mitsshartawaa yarkuwa; napa mazinakshita. Mishat, makuksheewaatstaata yarkitamta; tsiyatakshita, tárangana.
MRK.7.37	Ashiri kamaneena yuwaa Isus tputsee yararangu anootsi.
MRK.8.1	Anpuru yusursha tputs zapani shaniyarangsin, katungats pshatarangu. Ashiri Isussha wipunashee kuruzeeru, 
MRK.8.2+MRK.8.3	Tputsee ndaturi katungkuru zanganimaam zandkeezi, tárangiya. Ngootsishsha marizimun itsipachshapsinaya, watam na tuchip zari nda katungaranganawa; tárangiya. Tputs arap taarusin, 
MRK.8.4	wipunashsha: Nish pangus nduni, nish mzats nduntamcha. ¿Tamayareezich maritchich? ¿Yapeeja yachich? tárangana. 
MRK.8.5	Isussha: ¿Wanip pang taara? Wipunashsha: Tsimbun matayaru taariya, tárangiya.
MRK.8.6	Isussha tputsee: Tsapush k'xinangints; táyaru, pangaa tsimbun matayaru yáyaru, Apanllpat tsiyatarangiya. Apaa, anumand na wapparee táyaru, pangaa tupta tupta tupta sheeru, wipunasheem panarangiya. Wipunashsha tputseem panata panata ashirangana. 
MRK.8.7	Kayupichsha pakcheewa tsimbunand yarangitamta. Isus Apaa, wapparee; táyaru, wipunasheemtam panayaru, tputseem maritangints; tárangiya. 
MRK.8.8	Panayarusin, tputssha katungeersin, tazazartarangana. Katungeersin, kawapayarusin, tsumb tsimbun matayaru katuchirangiya. 
MRK.8.9	Tputs kamuz ipunpunarpari mil katungaranganaya. 
MRK.8.10	Ashiri Isus: Siy pangipis kanapungtsa, táyaru, wipunashpa kanush zaruyarusin, tsap sura Tármanotap kítarangana.
MRK.8.10	Ashiri yuwaa Isus tputsee yusur martarangu anoo kamaneena.
MRK.8.11	Anpurtam Parísiypanshuch táyaspatash Isusoo yacharangana. Mangu yachamaam: ¿Kamapari Apanlleesha shiy Apanllee wizpuririni yámandachsha? pangpani; tárangana. 
MRK.8.12	Isussha tsiyantayaru, ¿Mayaama Apanllee wizpuririnee yámandangcha átssa? Apanllee wizpuririni siy pangcheezis ndambari. Zurkutana siyaa táshina, tárangu. 
MRK.8.13	Támbeeranllu kasarangiya. Wapitam yusur Isus kanush zaruyarusin, wipunashpa arachich kítarangana.
MRK.8.14	Itaru, Isus wipunash botosh pangaa yamaam mbizarangana. Minamari pangaa payurangana kanushu. 
MRK.8.15	Isussha waneeku, Paptsa; Parísiypanshuch tputs tpootshishirinee; misha Herodesarineetstam tpootshishirinee paptsa siya; tárangiya. 
MRK.8.16	Wipunashsha waanpatatin tsiyatkusin, ¿Mayaamaja iyaa át? ¿Pangaa mbizarangini ndush anumandpa atiya? tárangana. 
MRK.8.17	Isussha wipunashee mazinayaru, ¿Mayaama pangarini nduni átssa? ¿Tamash nda yasasa? ¿Tamash nda mangoonaksa? ¿mangis ndun ashkis? tárangu. 
MRK.8.18	¿Kachis taaritaa nda pakis? ¿Mazinaktaatis nda mangoonkis? 
MRK.8.19	Pangaa zameetpata tatapta tatapta tatapta sheeruri, tputs zameetpata mil maritarangis, katungeersin, ¿wanip tsumboo yarangsa katuchimawaatsi? tárangu, wipunashsha: Arangtach tsimbun matayaru yaranginiya, tárangana. 
MRK.8.20	Isussha; Pangaa tsimbun matayaru tatapta tatapta tatapta sheeruri, tputseema ipunpunar mil maritarangis. ¿Wanip tsumboo yarangsa katuchimawaatsi? tárangu, wipunashsha: Tsimbun matayaru yaranginiya, tárangana. 
MRK.8.21	Isussha: ¿Ashirangtaati wand nda mangoonkis siya? ¿Antaati katungtsee tsiyatkeezi? Tputs tpootshirini aturi, ngichizpa kiseeru tayaspatakana anoo siyaa áti; tárangiya.
MRK.8.22	Isus wipunashpa ipuneersin Betsáyanap naatarangana. Anushsha kusaramchu, tputs wach mchusaa Isusup machtarangana. Mchusaa ptatangi, tárangana. 
MRK.8.23	Isussha mchusaa itateeru, yakta shitungarangana. Isus mchusash wach kawacheeru, patateeru, ¿Maachtaa paktaatish? tárangiya. 
MRK.8.24	Mchussha napta ashku, Yasinpaz ashiru paktana, itaru tputsparee, watam naakanawa; tárangiya. 
MRK.8.25	Isussha yusur wchush patat ashirangu, mchussha nap ashku, wach ichinguru yaramshita kamiransha parangu. 
MRK.8.26	Isussha: Pangipish kanapungcha; yaktash pshturinllpa; tárangiya.
MRK.8.26	Ashiri yuwaa Isus wipunashee mangoonamaam waneerangu anoo kamaneena.
MRK.8.27	Minush zari Isus wipunashpa ipuneersin, tsap sur Sesár-Felipi annungiri xiyranganaya. Naantachu Isussha wipunashee: ¿Piyartach tputs nuwaa amkanaya? mang, tárangiya. 
