GEN.1.1	Idi punganay, pinarsua ti Dios ti lubong.
2CH.16.3	“Isagutko kenka dagitoy pirak ken balitok. Dawatek nga agkaduata a kas iti panagkadua dagidi ammata. Ita, waswasem ti nagtulaganyo ken ni Baasa nga ari ti Israel tapno ipanawna dagiti soldadona iti sakupko.”
2CH.16.4	Immanamong ni Ben-hadad iti singasing ni Asa. Imbaonna dagiti ofisialesna ken dagiti armadada a mangraut kadagiti siudad ti Israel. Sinakupda ti Ijon, Dan, Abel Bet Maaca ken amin a siudad ti Neftali a nakaidulinan dagiti abasto. 
2CH.16.5	Idi madamag ni Ari Baasa ti mapaspasamak, insardengna ti panangsarikedkedna iti Rama ket dina intuloyen ti trabaho. 
2CH.16.6	Kalpasanna, nangummong ni Ari Asa kadagiti tattao manipud iti amin a paset ti Juda ket pinabunagna dagiti bato ken tarikayo nga us-usaren ni Baasa iti pannakasarikedked ti Rama. Inusarna dagitoy a pinangsarikedked kadagiti siudad ti Geba ken Mizpa.
2CH.16.7	Iti dayta a tiempo, napan ni profeta Hanani ken ni Ari Asa ket kinunana, “Agsipud ta nagtalekka iti ari ti Siria a saan ketdi nga iti 
2CH.16.8	Saan aya nga adu dagiti mannakigubat nga Etiopiano ken Libiano? Saan aya nga adu met dagiti luganda a pakigubat ken nagkabalio a mannakigubat? Ngem gapu ta nagtalekka idi iti 
2CH.16.9	Sikikita ti 
2CH.16.10	Kasta unay ti pungtot ni Asa iti profeta ket pinaibaludna. Daytoy met la a tiempo nga inrugi ni Asa ti panangparigatna iti sumagmamano kadagiti tattao.
2CH.16.11	Nailanad iti 
2CH.16.12	Iti maika-39 a tawen a panagturay ni Asa nga ari, adda nakaro a sakit a kimpet kadagiti sakana ket saanen a makapagna. Nagpatulong kadagiti mangngagas a saan ketdi ken ni Yahweh. 
2CH.16.13	Kalpasan ti dua a tawen, natay 
2CH.16.14	ket naitabon iti tanem iti kabatoan nga insaganana nga agpaay kenkuana iti Siudad ni David. Bangbanglo ken lana ti inaramatda iti pannakaisagana ti bangkayna a maitanem ket nagpasgedda iti dakkel nga apuy a kas panangipakitada iti panagladingitda iti ipapatayna.
2CH.17.1	Sinuktan ni Jehosafat ni Asa nga amana a kas ari ket pinapigsana ti pagarianna a sumaranget iti Israel. 
2CH.17.2	Nangipuesto kadagiti soldado kadagiti nasarikedkedan a siudad ti Juda, ken nangipasdek kadagiti kampo ti militar kadagiti away ken siudad a sinakup ni Asa iti pagilian ti Efraim. 
2CH.17.3	Binendisionan ni Yahweh ni Jehosafat, gapu ta sinurotna ti tugot ni amana kadagidi immuna a tawen a panagturay ti amana. Saan a nagdaydayaw ken ni didiosen a Baal. 
2CH.17.4	Nagserbi iti Dios ni amana, tinungpalna dagiti bilin ti Dios, ket dina tinulad ti aramid dagiti ari ti Israel. 
2CH.17.5	Gapu ken ni Yahweh, nagbalin a natalged ti pagarian ti Juda iti panangituray ni Jehosafat. Nagited dagiti amin a tattao kadagiti sagutda kenkuana isut' gapuna a bimmaknang ken nagbalin a mararaem unay. 
2CH.17.6	Imbilangna a dayaw ti panagserbina ken ni Yahweh ket dinadaelna amin a pagdaydayawan kadagiti nangato a lugar ken dagiti simbolo ni Asera a diosa iti Juda.
2CH.17.7+2CH.17.8+2CH.17.9	Iti maikatlo a tawen a panagturayna, imbaonna dagitoy sumaganad nga ofisiales tapno isuroda ti Linteg ni Yahweh kadagiti siudad ti Juda: Ben-hail, Obadias, Zacarias, Netanel ken Micaias. Siam a Levita ti kimmuyog kadakuada: Semaias, Netanias, Zebadias, Asael, Semiramot, Jehonatan, Adoniha, Tobijas, ken Tobadonijas, agraman dua a papadi, da Elisama ken Jehoram. Intugotda ti libro ti Linteg ni Yahweh iti panangsursorda iti amin nga ili ti Juda ket insursuroda dagiti tattao.
2CH.17.10	Gapu ken ni Yahweh, nagbuteng dagiti amin a kabangibang a pagarian a manggubat ken ni Jehosafat. 
2CH.17.11	Nangted ti sumagmamano a Filisteo ken ni Jehosafat iti adu a pirak ken dadduma a sagut; inikkan ti sumagmamano nga Arabe iti 7,700 a karnero ken 7,700 a kalding. 
2CH.17.12	Ngarud, bimmileg a bimmileg ni Jehosafat. Iti entero a Juda, nangbangon kadagiti sarikedked ken siudad 
2CH.17.13	a pakaidulinan ti adu nga abasto.
2CH.17.13	Idiay Jerusalem, nangipuesto kadagiti mamaingel nga ofisiales, 
2CH.17.14	segun ti familiada. Ni Adna ti pangulo dagiti soldado a nagtaud kadagiti kapuonan ti Juda ket adda 300,000 a mannakigubat iti babaenna. 
2CH.17.15	Sumaruno kenkuana ni Jehohanan iti saad ket adda 280,000 a mannakigubat iti babaenna; 
2CH.17.16	maikatlo ni Amasias nga anak ni Zikri ket adda 200,000 a soldadona. (Nagboluntario idi ni Amasias nga agserbi ken ni Yahweh.) 
2CH.17.17	Ni Eliada ti pangulo dagiti soldado a nagtaud kadagiti familia ti Benjamin. Maingel a soldado ni Eliada ket ipanguloanna ti 200,000 a tattao a nagtagikalasag ken nagtagipana. 
2CH.17.18	Ni Jehozabad ti sumaruno kenkuana iti saad; ipanguloanna ti 180,000 a nasayaat ti pannakaarmasna a soldado. 
2CH.17.19	Nagserbi dagitoy a tattao iti ari idiay Jerusalem malaksid la kadagiti mannakigubat nga impuestona kadagiti nasarikedkedan a siudad ti Juda.
2CH.18.1	Idi bimmaknang ken agdindinamag ni Ari Jehosafat, inyasawana ti maysa a kameng ti familiana iti kameng ti familia ni Ahab nga ari ti Israel. 
2CH.18.2	Kalpasan ti sumagmamano a tawen, napanna sinarungkaran ni Ahab idiay Samaria. Sinangaili ni Ahab ni Jehosafat ken dagiti kinakuyogna, ket adu a karnero ken baka ti pinartina iti padaya nga inangayna para kadakuada. Pinadasna a guyugoyen ni Jehosafat a makikadua kenkuana a mangraut iti siudad ti Ramot idiay Galaad. 
2CH.18.3	Kinunana, “Kuyogennak man a mangraut iti Ramot.”
2CH.18.3	Insungbat ni Jehosafat, “Madadaanak no nakasaganakan, kasta met ti armadak. Kumuyogkaminto kadakayo.” 
2CH.18.4	Sana innayon, “Ngem umuna pay a makiumanka iti 
2CH.18.5	Pinaayaban ni Ahab dagiti profeta. Dandani 400 kadakuada ti simmangpet ket sinaludsodna, “Innak kadi rauten ti Ramot?”
2CH.18.5	“Inka rauten,” insungbatda. “Pagballigiennakanto ti Dios.”
2CH.18.6	Ngem sinaludsod ni Jehosafat, “Awan kadin sabali a profeta a mabalintay a pakiumanan iti 
2CH.18.7	“Adda pay maysa,” insungbat ni Ahab. “Isu ni Micaias nga anak ni Imla. Ngem kagurgurak dayta a tao gapu ta awan a pulos ipadtona a pagimbagak.”
2CH.18.7	“Apo Ari,” insungbat ni Jehosafat, “dimo kunkuna ti kasta.”
2CH.18.8	Inayaban ngarud ni Ari Ahab ti maysa kadagiti ofisiales ti palasio ket imbilinna kenkuana a dagdagusenna a mapan alaen ni Micaias.
2CH.18.9	Adda dagiti dua nga ari iti pagirikan iti ruar ti ruangan ti Samaria. Agtutugawda kadagiti tronoda ken sikakawesda iti pagan-anayda nga ari. Iti sangoananda, agipadpadto dagiti amin a profeta. 
2CH.18.10	Maysa kadagiti profeta, ni Zedekias nga anak ni Kenaana ti nagaramid kadagiti sinan-sara a landok ket kinunana ken ni Ahab, “Kastoy ti kuna ti 
2CH.18.11	Kasta met ti imbaga dagiti dadduma a profeta, “Rautem ti Ramot ket agballigikanto. Pagballigiennaka ti 
2CH.18.12	Kabayatanna, kinuna ti naibaon a mangala ken ni Micaias, “Sangsangkamaysa dagiti profeta nga agkuna nga agballigi ti ari. Masapul a kasta met ti sawem.”
2CH.18.13	Ngem insungbat ni Micaias, “Isapatak iti nagan ti sibibiag a Dios a no ania ti sawen ti Diosko, isu ti sawek!”
2CH.18.14	Idi dumatag ti profeta iti ari, sinaludsod kenkuana ti ari, “Micaias, rumbeng kadi wenno saan a rautenmi ken ni Ari Jehosafat ti Ramot?”
2CH.18.14	“Inka rauten,” insungbat ni Micaias. “Awan duadua nga agballigika. Pagballigiennakanto ti 
2CH.18.15	Ngem kinuna ni Ahab, “Namin-anon nga imbagak kenka a ti laeng pudno ti sawem kaniak iti nagan ti Apo?”
2CH.18.16	Insungbat
2CH.18.17	Kinuna ni Ahab ken ni Jehosafat, “Kitaem man no di pudno ti imbagak kenka nga awan ti ipadto ni Micaias a naimbag maipapan kaniak; pasig a dakes!”
2CH.18.18	Intuloy ni Micaias: “Ita, denggem ti kuna ti 
2CH.18.19	Sinaludsod ti 
2CH.18.20	Idi agangay, adda maysa nga espiritu a nagpasango, inasitganna ti 
2CH.18.21	Insungbat ti espiritu, ‘Innak kadagiti profeta ni Ahab ket pagulbodek amin ida.’ Kinuna ti 
2CH.18.22	Ket inggibus ni Micaias: “Daytoy ti naaramid. Pinagulbod ti 
2CH.18.23	Inasitgan ni profeta Zedekias ni Micaias sana tinungpa ket sinaludsodna, “Kaano pay ti panangpanaw kaniak ti espiritu ti 
2CH.18.24	“Maammoamto inton inka aglemmeng iti maysa nga akin-uneg a kuarto,” insungbat ni Micaias.
2CH.18.25	Kalpasanna, imbilin ni Ari Ahab iti maysa kadagiti ofisialesna, “Tiliwem ni Micaias ket idatagmo iti mangituray iti siudad, ni Amon, ken ni Prinsipe Joas. 
2CH.18.26	Ibagam kadakuada nga ipisokda iti pagbaludan ket danum ken tinapay laeng ti itedda kenkuana agingga nga agsubliak a sikakaradkad.”
2CH.18.27	“No agsublika nga awan dakes a mapasamakmo,” kinuna ni Micaias, “dayta ti pakakitaan a saan a nagsao ti 
2CH.18.28	Nagkuyog ni Ahab nga ari ti Israel ken ni Jehosafat nga ari ti Juda a napan nangraut iti Ramot idiay Galaad. 
2CH.18.29	Kinuna ni Ahab ken ni Jehosafat, “Manglimlimoak a makigubat ngem agkaweska a kas ari.” Nanglimlimo ngarud ti ari ti Israel ket napan iti paggugubatan.
2CH.18.30	Nabilinen ti ari ti Siria dagiti pangulo dagiti lugan a pakigubat a ti laeng ari ti Israel ti darupenda. 
2CH.18.31	Ngarud, idi makitada ni Ari Jehosafat, impagarupda amin nga isu ti ari ti Israel ket nagmaymaysada a nangdarup kenkuana. Ngem nagpukkaw ni Jehosafat ket inispal ni Yahweh a Dios idi yadayona kadagiti mannakigubat a nangdarup kenkuana. 
2CH.18.32	Idi makita dagiti pangulo dagiti lugan a pakigubat a saan nga isu ti ari ti Israel, insardengda ti panangkamatda kenkuana. 
2CH.18.33	Ngem adda mannakigubat ti Siria a nangibiat iti panana ket naipaspasarak a napuntaan ti nagsaipan ti kalasag ni Ari Ahab. “Nasugatanak!” impukkaw ni Ari Ahab iti mangiturturong iti luganna a pakigubat ket binilinna a pumanawda iti paggugubatan. 
2CH.18.34	Bayat ti gubat, nakasanggir latta ni Ari Ahab iti luganna a pakigubat a sumangsango kadagiti taga-Siria. Natay idi lumnek ti init.
2CH.19.1	Nagawid ni Jehosafat nga ari ti Juda iti palasiona idiay Jerusalem nga awan ti nakaan-anoanna. 
2CH.19.2	Adda profeta, ni Jehu nga anak ni Hanani, a nangsabat iti ari ket kinunana kenkuana, “Ipagarupmo aya a nasayaat ti tumulong kadagiti managdakdakes ket ayatem
2CH.19.3	Ngem uray no kasta, adda naimbag nga aramidmo. Dinadaelmo amin a simbolo ni Asera a diosa a pagdaydayawan dagiti tattao ket inkagumaam a tungpalen ti pagayatan ti Dios.”
2CH.19.4	Uray no nagnaed ni Jehosafat idiay Jerusalem, masansan nga agdaliasat ket sarungkaranna dagiti tattao, manipud Beerseba iti abagatan agingga iti igid ti katurturodan ti Efraim iti amianan tapno pagsublienna ida ken ni Yahweh a Dios dagidi kapuonanda. 
2CH.19.5	Nangdutok kadagiti ukom iti tunggal nasarikedkedan a siudad ti Juda 
2CH.19.6	ket binilinna ida: “Agannadkay iti panangukomyo. Saan a tao ti pagtaudan ti turayyo a mangukom no di ket ti 
2CH.19.7	Agbutengkay iti 
2CH.19.8	Idiay Jerusalem, nangdutok ni Jehosafat kadagiti Levita, papadi ken sumagmamano a mabigbigbig nga umili nga agtugaw a kas ukom a mangrisut kadagiti kaso a mainaig iti panagsalungasing iti Linteg ni Yahweh wenno kadagiti riri dagiti umili ti siudad maipapan iti linteg. 
2CH.19.9	Imbilinna kadakuada: “Aramidenyo dagiti pagrebbenganyo a sibubuteng iti 
2CH.19.10	No adda kailianyo iti aniaman a siudad a mangidatag kadakayo iti kaso, pammapatay man wenno panagsalungasing iti linteg wenno bilin, masapul a bagbagaanyo ida a naimbag kadagiti annongenda bayat ti pannakausig ti kaso tapno saanda nga agbasol iti 
2CH.19.11	Ni Amarias a Nangato a Padi ti mangibanag kadagiti amin a kaso maipapan iti relihion. Ni met Zebadias nga anak ni Ismael, ti gobernador ti Juda, ti masurot kadagiti amin a kaso maipapan iti sibil. Dagiti Levita ti mangipatungpal kadagiti pangngeddeng ti pangukoman. Bumilegkayo ket tungpalenyo dagitoy a bilin ket sapay koma ta adda ti 
2CH.20.1	Iti saan a nabayag, dimteng dagiti armada ti Moab ken Ammon agraman dagiti kakaduada a Meunita
2CH.20.2	Sumagmamano a tattao ti naibaon a mapan ken ni Jehosafat ket impakaammoda: “Adda dakkel nga armada a naggapu idiay Edom iti ballasiw ti Natay a Baybay tapno umaydaka rauten. Nasakupdan ti Hazazon Tamar.” (Daytoy ti sabali a nagan ti Engedi.) 
2CH.20.3	Iti danag ni Jehosafat, nagkararag ken ni Yahweh ket kiniddawna nga idalanna. Imbilinna ti panagayunar iti entero a pagilian. 
2CH.20.4	Manipud iti amin a siudad ti Juda, nagdardaras dagiti tattao a napan idiay Jerusalem tapno dawatenda ti panangidalan ni Yahweh. 
2CH.20.5	Nagtakder ni Ari Jehosafat iti sangoanan dagiti tattao ti Jerusalem ken Juda a naguummong iti baro a paraangan ti Templo, 
2CH.20.6	ket inkararagna iti napigsa: “O 
2CH.20.7	Sika 
2CH.20.8	Nagnaedda ditoy ket binangonda ti Templo a pangdayawda kenka. Pagaammoda 
2CH.20.9	a no adda didigra a dumteng kadakuada a kas iti gubat, angol, wenno bisin—umayda agtakder iti sangoanan daytoy a Templo a pagdaydayawan kenka. Agkararagda kenka ket ipangagmo ida; isalakanmo ida iti panawen ti pannakadidigrada.
2CH.20.10	“Ita,
2CH.20.11	Ita, kastoy ketdin ti pagsupapakda kadakami. Umaydakami papanawen iti daytoy a daga nga intedmo kadakami. 
2CH.20.12	Sika ti Diosmi! Dusaem koma ida ta dimi kabaelan a sarangten ti kastoy a kadakkel nga armada a mangraut kadakami. Dimi ammo ti aramidenmi, ngem agpatulongkami kenka.”
2CH.20.13	Adda amin a lallaki iti Juda, agraman dagiti assawa ken annakda; nakatakderda iti imatang ni Yahweh. 
2CH.20.14	Inturayan ti espiritu ni Yahweh ti maysa a Levita nga adda iti tallaong. Isu ni Jahaziel nga anak ni Zacarias ken kameng ti familia ni Asaf iti kapuonan da Mattanias, Jeiel ken Benaias. 
2CH.20.15	Kinuna
2CH.20.16	Sarangtenyonto ida inton sumang-atda idiay Bessang ti Ziz inton bigat. Gubatenyonto ida iti ungto ti tanap nga agturong iti awan matagtagitao a lugar iti asideg ti Jeruel. 
2CH.20.17	Saanto
2CH.20.18	Kalpasanna, nagrukob ni Ari Jehosafat iti daga. Nagdumog met dagiti tattao ket nagdaydayawda amin ken ni Yahweh. 
2CH.20.19	Timmakder dagiti Levita a nagtaud iti familia da Kohat ken Kora ket iti napigsa a timek, indaydayawda ni Yahweh a Dios ti Israel.
2CH.20.20	Kabigatanna, sinapa dagiti tattao ti napan iti lugar nga awan matagtagitao iti asideg ti Tekoa. Idi agrubbuatda, kinuna ni Jehosafat kadakuada, “Tattao ti Juda ken Jerusalem, agtalekkayo iti 
2CH.20.21	Kalpasan ti pannakiuman ti ari kadagiti tattao, binilinna ti sumagmamano a kumakanta nga agkawesda kadagiti pagan-anay nga us-usarenda kadagiti nasagradoan nga okasion ket magnada iti sangoanan ti armada. Kastoy ti kantaenda:
2CH.20.21	“Madaydayaw ti 
2CH.20.21	Agnanayon ti ayatna!”
2CH.20.22	Idi rugianda ti agkanta, winarawara ni Yahweh ti armada dagiti kabusor. 
2CH.20.23	Ginubat dagiti Ammonita ken Moabita ti armada dagiti Edomita ket pinatayda amin ida. Kalpasanna, isudan ti nagraranget iti nadawel. 
2CH.20.24	Idi makadanon ti armada dagiti Judio iti torre a pakatannawaganda iti let-ang, nakitada a naiwalang amin a kabusor iti lugar a yanda; awan ti nakalasat kadakuada.
2CH.20.25	Immasideg ni Jehosafat ken dagiti buyotna tapno agsamsamda. Nakasarakda iti adu a baka,
2CH.20.26	Iti maikapat nga aldaw, naguummongda iti Tanap ti Beraca ket dinaydayawda ni Yahweh gapu kadagiti amin nga inaramidna. (Daytoy ti gapuna a napanaganan ti tanap iti “Beraca,” kayatna a sawen, “panagdayaw.”)
2CH.20.27	Impanguloan ni Jehosafat dagiti buyotna a nagsubli a sibaballigi idiay Jerusalem, agsipud ta pinarmek ni Yahweh dagiti kabusorda. 
2CH.20.28	Idi makadanonda iti siudad, nagtarusda iti Templo a nabuyogan ti uni dagiti arpa ken trumpeta.
2CH.20.29	Nagbuteng dagiti amin a nasion a nakadamag iti panangparmek ni Yahweh kadagiti kabusor ti Israel. 
2CH.20.30	Ket nagturay ti talna ken kappia iti pagarian bayat ti panagari ni Jehosafat, ta inikkan ti Dios iti talged iti aglawlaw.
2CH.20.31	Agtawen ni Jehosafat iti 35 idi maisaad nga ari ti Juda ket nagturay idiay Jerusalem iti 25 a tawen. Ni Azuba nga anak ni Silhi ti inana. 
2CH.20.32	Kas iti daydi amana nga Asa, nalinteg ti inaramidna iti imatang ni Yahweh. 
2CH.20.33	Ngem dina pinadadael dagiti pagdaydayawan kadagiti nangato a lugar. Saan met a pimmasnek dagiti tattao iti panagdaydayawda iti Dios dagiti kapuonanda.
2CH.20.34	Nailanad iti 
2CH.20.35	Iti naminsan, nakitulag ni Jehosafat nga ari ti Juda ken ni Ahazias nga ari ti Israel. Adu ti dakes nga aramid ni Ari Ahazias. 
2CH.20.36	Idiay sangladan ti Eziongeber, nagaramidda kadagiti barko nga aglayag idiay Tarsis. 
2CH.20.37	Ngem naballaagan ni Jehosafat idi kinuna kenkuana ni Eliezer nga anak ni Dodavahu, “Gapu ta nakitulagka ken ni Ahazias, dadaelento ti 
2CH.20.37	Narba dagiti barko, ket pulos a didan naglayag.
2CH.21.1	Natay ni Jehosafat. Naitabon iti tanem dagiti ar-ari iti Siudad ni David, ket ni Jehoram nga anakna ti simmukat kenkuana nga ari.
2CH.21.2	Innem ti lallaki a kakabsat ni Jehoram, da Azarias, Jehiel, Zacarias, Azariahu, Micael ken Sefatias. Annak amin ida ni Jehosafat nga ari ti Juda. 
2CH.21.3	Adu ti balitok, pirak ken dadduma nga agkakapateg a sanikua nga inted ti amada kadakuada. Naikkan ti tunggal maysa kadakuada iti aywanan a nasarikedkedan a siudad ti Juda. Ngem gapu ta ni Jehoram ti inauna, isu ti pinilina a sumukat kenkuana. 
2CH.21.4	Idi natalgeden ti panagturay ni Jehoram iti pagarian, pinapapatayna dagiti amin a kakabsatna agraman sumagmamano nga ofisiales nga Israelita.
2CH.21.5	Agtawen ni Jehoram iti 32 idi mangrugi nga agari, ket walo a tawen a nagturay idiay Jerusalem. 
2CH.21.6	Tinuladna dagiti dakes nga aramid ni Ari Ahab ken dagiti dadduma nga ari ti Israel, agsipud ta inasawana ti maysa kadagiti annak ni Ahab. Nagbasol ken ni Yahweh, 
2CH.21.7	ngem
2CH.21.8	Bayat
2CH.21.9	Iti kasta, nagrubbuat ni Jehoram ken dagiti ofisialesna agraman dagiti lugan a pakigubat tapno rautenda ti Edom. Sadiay, linakub ida dagiti armada ti Edom, ngem iti rabii naipamuspusanda ti panaglibasda. 
2CH.21.10	Manipud idin, naisinan ti Edom iti Juda. Iti dayta met la a tiempo, immalsa met ti siudad ti Libna gapu ta tinallikudan ni Jehoram ni Yahweh a Dios dagiti kapuonanna. 
2CH.21.11	Nangbangon pay kadagiti lugar a pagdaydayawan dagiti pagano kadagiti nangato a disso ti Juda, ket insungsongna dagiti tattao ti Juda ken Jerusalem nga agbasol ken ni Yahweh.
2CH.21.12	Nagsurat ni profeta Elias ken ni Jehoram. Kastoy ti nailanad iti surat: “Ukomennaka ti 
2CH.21.13	Sinurotmo ketdi ti aramid dagiti ari ti Israel ket insungsongmo dagiti tattao ti Juda ken Jerusalem nga agaramid iti dakes, kas iti panangisungsong ni Ahab ken dagiti simmaruno kenkuana iti Israel tapno agbiagda a saan a napudno iti Dios. Pinapataymo pay dagiti lallaki a kakabsatmo a naim-imbag ngem sika. 
2CH.21.14	Gapu kadagitoy, nakaronto ti panangdusa ti 
2CH.21.15	Kaptento ti nakaro a sakit dagiti bagismo, ket kumaronto a kumaro iti panaglabas dagiti aldaw.”
2CH.21.16	Adda dagiti Filisteo ken Arabo iti asideg ti pagnanaedan dagiti taga-Etiopia iti igid ti baybay. Imbaon ida ni Yahweh a manggubat ken ni Jehoram. 
2CH.21.17	Rinautda ti Juda, nagsamsamda iti palasio, ket impanawda a kas balud dagiti amin nga assawa ken annak ti ari malaksid ni Ahazias nga inaudi nga anakna.
2CH.21.18	Kalpasan amin dagitoy, nangyeg ni Yahweh iti naut-ot a sakit a kimpet kadagiti bagbagis ti ari. 
2CH.21.19	Dandani dua a tawen a kimmaro a kimmaro ti sakitna agingga a natay ti ari nga agsagsagaba. Saan a nagpasged dagiti iturayanna iti apuy a pangdung-awda kenkuana a kas iti inar-aramidda kadagiti kapuonanna.
2CH.21.20	Agtawen ni Jehoram iti 32 idi maisaad nga ari ket walo a tawen a nagturay idiay Jerusalem. Awan ti limdaang iti ipapatayna. Intabonda iti Siudad ni David, ngem saan nga iti tanem dagiti ar-ari.
2CH.22.1	Adda sumagmamano nga Arabo a rimmaut ket pinapatayda amin nga annak ni Ari Jehoram, malaksid ken ni Ahazias nga inaudi. Iti kasta, insaad dagiti tattao ti Jerusalem ni Ahazias a kas ari a sukat ni amana. 
2CH.22.2	Duapulo ket dua
2CH.22.3	Tinulad met ni Ahazias ti aramid ti familia ni Ari Ahab ta insungsong ni inana nga agaramid iti dakes. 
2CH.22.4	Nagbasol ken ni Yahweh, agsipud ta kalpasan ti ipapatay ni amana, nagbalin dagiti kamkameng ti familia ni Ari Ahab a mammagbaga kenkuana. Isuda ti nakaigapuan ti pannakatnagna. 
2CH.22.5	Sinurotna dagiti pammagbagada, ket nakikadua ken ni Joram nga ari ti Israel a nanggubat ken ni Hazael nga ari ti Siria. Nagranget dagiti armadada idiay Ramot iti Galaad. Idi nasugatan ni Joram iti gubat, 
2CH.22.6	nagsubli iti siudad ti Jezreel tapno agpaimbag. Sinarungkaran ni Ahazias ni Joram sadiay.
2CH.22.7	Inaramat ti Dios daytoy nga isasarungkar ni Ahazias ken ni Joram a pakadadaelan ni Ahazias. Idi adda ni Ahazias sadiay, sinaranget ni Jehu nga anak ni Nimsi ida, isu a pinili ni Yahweh a mangdadael iti kaputotan ni Ahab. 
2CH.22.8	Iti panangibanag ni Jehu iti inkeddeng ti Dios a mapasamak iti kaputotan ni Ahab, nasarakanna ti maysa a bunggoy dagiti papangulo ti Juda ken dagiti lallaki a kakaanakan ni Ahazias a nangkuyog kenkuana iti isasarungkarna. Pinapatay amin ni Jehu ida. 
2CH.22.9	Binirokda ni Ahazias, ket nasarakanda idiay Samaria a naglemmenganna. Impanda ken ni Jehu sada pinapatay. Nupay kasta, intabonda ti bangkayna a kas pammadayaw ken ni Ari Jehosafat nga apongna, isu a nangited iti amin a kabaelanna nga agserbi ken ni Yahweh.
2CH.22.9	Awan ti nabati iti familia ni Ahazias a mangituray iti pagarian.
2CH.22.10	Apaman a nadamag ni Atalia nga ina ni Ari Ahazias ti pannakapapatay ti anakna, pinapapatayna met dagiti amin a kamkameng ti familia ti ari ti Juda. 
2CH.22.11	Ni laeng Joas a maysa kadagiti annak ni Ahazias ti nakalasat, idi linibas ti ikitna nga innala iti ayan dagiti kakabsatna a dandani idi mapapatay. Isu ni Jehosaba nga asawa ni Jehoyada a padi ken kabsat ni Ahazias iti ama. Inlemmengna ni Joas iti maysa a kuarto ti Templo agraman ti maysa a babai a mangay-aywan kenkuana, ket naispal iti panangpapatay koma ni Atalia. 
2CH.22.12	Innem a tawen a naglemlemmeng sadiay bayat ti panagturay ni Reyna Atalia.
2CH.23.1	Kalpasan ti innem a tawen a panagur-uray ni Jehoyada a padi, napanunotna a dimtengen ti tiempo a panagtignayna. Nakitulag kadagiti lima nga ofisiales ti armada: da Azarias nga anak ni Jeroham, Ismael nga anak ni Jehohanan, Azarias nga anak ni Obed, Maaseyas nga anak ni Adaias ken ni Elisafat nga anak ni Zikri. 
2CH.23.2	Napanda kadagiti amin a siudad ti Juda, innalada dagiti amin a Levita ken amin nga ulo ti familia ket insublida ida idiay Jerusalem.
2CH.23.3	Naguummongda
2CH.23.4	Daytoy ti aramidentayo. Inton umay agserbi dagiti papadi ken Levita iti Aldaw a Panaginana, guardiaanto ti apagkatlo kadakuada dagiti ruangan ti Templo. 
2CH.23.5	Guardiaanto met ti sabali nga apagkatlo ti palasio ti ari, ket agyan dagiti dadduma iti Ruangan ti Fondasion. Maummongto dagiti amin a tattao iti paraangan ti Templo. 
2CH.23.6	Awan ti sumrek kadagiti patakder ti Templo malaksid kadagiti papadi ken Levita a naituding nga agserbi. Mabalinda ti sumrek agsipud ta nakonsagrarda. Ngem masapul a tungpalen dagiti dadduma a tattao ti bilin ti 
2CH.23.7	Agtakderto dagiti Levita iti lawlaw ti ari tapno guardiaanda. Siaasutdanto kadagiti igamda ket dida sinsinaan ti ari iti sadinoman a papananna. Mapapatay ti siasinoman nga agpanggep a sumrek iti Templo.”
2CH.23.8	Tinungpal dagiti Levita ken dagiti tattao ti Juda dagiti bilin ni Jehoyada. Saan a napagawid dagiti lallaki kalpasan ti panagserbida iti Aldaw ti Panaginana. Iti kasta, adda dagiti malpas ti panagserbida ken dagiti sumukat kadakuada nga agserbi kadagiti kakapitan. 
2CH.23.9	Inted ni Jehoyada kadagiti ofisiales dagiti pika ken kalasag a naidulin iti Templo a kukua idi ni Ari David. 
2CH.23.10	Impuestona dagiti lallaki iti aglawlaw ti Templo a kas guardia ti ari. Adda armas ti tunggal maysa. 
2CH.23.11	Kalpasanna, inruar ni Jehoyada ni Joas, insaadna ti korona iti ulona ket inikkanna iti libro a nakailanadan dagiti linteg maipapan iti panagari. Iti kasta, naisaad nga ari. Kinonsagrar ni Jehoyada a padi ken dagiti annakna ni Joas. Impukkaw ti tunggal maysa, “Agbiag ti ari!”
2CH.23.12	Idi mangngeg ni Atalia dagiti dir-i a pangkablaaw iti ari, nagdardaras a napan iti Templo a naguummongan dagiti tattao. 
2CH.23.13	Iti pagserkan ti Templo, nakitana ti baro nga ari a sitatakder iti abay ti adigi a nairanta nga agpaay kadagiti ari. Linikmut dagiti ofisiales ti armada ken dagiti agpuypuyot iti trumpeta. Siraragsak dagiti amin a tattao nga agpukpukkaw ken agpuypuyot iti trumpeta. Dagiti musiko iti Templo ti nangidadaulo iti rambak a binuyogan dagiti instrumentoda. Rinay-ab ni Atalia ti pagan-anayna sana impukkaw, “Panangliput daytoy! Panangliput daytoy!”
2CH.23.14	Saan a kayat ni Jehoyada a mapapatay ni Atalia iti sakup ti Templo, isu nga imbilinna kadagiti ofisiales ti armada, “Iruaryo nga ilasat iti nagbaetan dagiti guardia, ket papatayenyo ti siasinoman nga agpanggep a mangikaluya kenkuana.”
2CH.23.15	Tiniliwda ni Atalia, impanda iti palasio ket sadiay, iti Ruangan ti Kabalio, ti nangpapatayanda kenkuana.
