MAT.1.1	Ninteh iwejkatatawah n Cristo Jesús, non walewatok itech David iwa noijki walewatok itech Abraham.
ACT.7.7	Pero noiwa Dios okili: “Ne nikintlajtlakoltis n tlakah de non altepetl akimeh kintlaijyowiltiskeh mopilwah, satepa kisaskeh de ompa iwa nechtekichiwiliskeh itech nin tlali.” 
ACT.7.8	Dios omoyekka iwan Abraham, iwa Abraham okisentlali inawak Dios kichiwas n sirkunsisión kemi se neskayotl. Yika, ijkuak otlákatki ikone Isaac, ipan chikweyi tonati okisirkunsidaro. 
ACT.7.9	'Ninteh májtlakteh iwa ome ipilwah n Jacob, okatkah totatawah. Yejwah oxikojmikeh de inmikni José, iwa okinamakakeh para makiwikakah Egipto. Pero Dios okatka iwan José, 
ACT.7.10	iwa okipalewi itech nochi tlan otlaijyowiaya. Dios okichi mayeto se ixtlámatki n José iwa okipalewi para ijkó n Faraón rey de Egipto makiyekita. Iwa n rey okitlali n José mayeto non okachi weyi tlanawati de ompa Egipto iwa asta makinawatijto icha.
ACT.7.11	'Ijkuakó owala miak apisotl iwa miak tlaijyowílistli itech nochi n tlali de Egipto iwa de Canaán, iwa totatawah amo okipiayah tlan kikuaskeh. 
ACT.7.12	Pero ijkuak Jacob okima onka miak trigo kan tlali de Egipto, okintítlanki ompa itelpochwah non okatka totatawah. Ijkuakó sikinika oyajkeh Egipto. 
ACT.7.13	Ijkuak totatawah oksepa oyajkeh Egipto, José omoteixmatilti innawak ikniwah, iwa ijkó n Faraón okima kan owalewatoka n José iwa akimeh ikniwah. 
ACT.7.14	Satepa, José otlatítlanki makualikakah ita Jacob iwa nochteh non ken kinmita. Yejwah okatkah eyi póali iwa káxtoli por nochteh. 
ACT.7.15	Ijkó n Jacob otemok ochanchiwato kan tlali de Egipto. Satepa ompa omikki, iwa ompa noiwa omijmikeh nochteh totatawah. 
ACT.7.16	Okachi satepa inkuerpojwah okinwikakeh Siquem iwa okintookakeh ijtik miketékochtli non Abraham okinkuilijka ipilwah n Hamor ompa kan tlali de Siquem.
ACT.7.17	'Ijkuak yoajsitiwalaya n tonati para mochiwas tlan Dios yokilijka Abraham, n tokniwah de Israel okachi opé momiakiliah ompa Egipto. 
ACT.7.18	Ijkó otlamochi itech tlali de Egipto asta ijkuak opé tlanawatia ok se rey non amo okixma n José. 
ACT.7.19	Nin rey okinkajkaya n tlakah judíojteh iwa okintlaijyowilti totatawah, asta okintokti makinkakajtewakah inselekkonewah para mamikikah. 
ACT.7.20	Itech nonteh tonatijmeh otlákatki Moisés. Dios okitlanekili non konetl, iwa itajwah okiskaltijkeh icha san eyi mestli. 
ACT.7.21	Iwa keman okikajkawatoh n selekkonetl, ichpoch n Faraón, okiwík icha iwa okiskalti kemi yetoskia ikone. 
ACT.7.22	Satepa Moisés okixtlamachtijkeh ika nochi tlan egipsios okimatiah, ika noni Moisés okatka se tlakatl non kuali oixtlamatia itech nochi tlan okijtoaya iwa tlan okichiwaya.
ACT.7.23	'Ijkuak Moisés yokipiaya ome póali (40) xiwitl, okintlajpaloto ikniwah n tlakah de Israel. 
ACT.7.24	Ompa okitak se tlakatl egipsio okiwitektoka se israelita, ijkuakó Moisés okipalewi iwa okimikti n egipsio. 
ACT.7.25	Moisés ijkó okichi porke okimoli chamo kajsikamatiskiah n judíojteh Dios okitítlanki para makimpalewi. Pero yejwah mach okajsikamatkeh. 
ACT.7.26	Keman owalmostlatik, Moisés okimitak omotekilmakatokah ome tlakah de Israel, ye okinekia kintlakawaltis, iwa okinmili: “Nomejwah nonmiknimeh; ¿tleka nonmokojkoah?” 
ACT.7.27	Ijkuakó n tlakatl non otlawitektoka okontope n Moisés, iwa okili: “¿Akin omitstlali kemi titekiwa noso kemi titeyolsewi para ximokalaki towah? 
ACT.7.28	¿Tikneki techmiktis, kemi yala otikmikti n egipsio?” 
ACT.7.29	Ijkuak Moisés okikak tlan okili nin tlakatl, ocholo iwa oyá kan tlali de Madián. Ochanchiwato kan amo ialtépeu iwa ompa okímpixki ome ipilwah.
ACT.7.30	'Ome póali (40) xiwitl satepa, se tonati Moisés okatka kan amaka chanti, kan tepetl Sinaí iwa ompa okimonextili se ángel itech se tlátsmoli non otlatlatoka.
ACT.7.31	Ijkuak Moisés okitak non neskayotl, omotlajtlachialti, iwa keman omijkuani okachi tlayakapa, ijkuakó okikak itlajtol n Toteko non okiliaya: 
ACT.7.32	“Ne Idios nomotatawah, Ne Idios Abraham, Isaac iwa Jacob.” Moisés opé bibioka iwa mach ok omixewiaya kitlajtlatas n tlátsmoli. 
ACT.7.33	Iwa Toteko oksepa okitlapowi iwa, okili: “Xikinkixti mokakuah, porke n tlali kan titlaksatok tlatiochíwali. 
ACT.7.34	Ne yonikitak kenomi tlaijyowiah nopilwah akimeh kateh Egipto, Ne yonikinkak kenijki chokah, yika oniwaltemok onikimpalewiko. Axa, xiwiki, porke nimitstitlanis Egipto.”
ACT.7.35	'Maya nomotatawah okitlawelitakeh n Moisés iwa okilijkah: “¿Akin omitsnawati xiyeto totlanawati iwa toteyolsewi?” Dios okitlali n Moisés kemi tekiwa iwa kemi akin kinkixtiskia totatawah de kan tlali de Egipto ika iweletilis n ángel non okimonextili kan tlátsmoli non otlatlatoka. 
ACT.7.36	Ye n Moisés akin okinkixtih totatawah kan tlali de Egipto, iwa Ye okinchi milagros iwa neskayolteh itech non tlali, kan weyi atl non kiliah chichiltik iwa kan amaka chanti, ijkó okichijtínenki itech ome póali (40) xiwitl. 
ACT.7.37	Ye nin Moisés akin okinmili n tlakah de Israel: “Toteko Dios nomechaltitlanilis se profeta non kisas de intech nomokniwah kemi ne onechaltítlanki nomonawak. Xikneltokakah nochi tlan Ye nomechilis.” 
ACT.7.38	Ye nin Moisés, akin noiwa okatka iwa n tlakah de Israel kan amaka chanti. Noiwa ye akin omotlapowi iwa n ángel kan tepetl non itoka Sinaí iwa okinnonotski totatawah. Ye akin okinseli n tlájtolteh non techmachtiah kenijki tiyeknemiskeh iwa otechimpanoltili.
ACT.7.39	'Pero totatawah mach okinekeh okitlakitakeh, yej omoixkopkeh inawak iwa okinekiah mokopaskeh Egipto. 
ACT.7.40	Ijkuakó okilijkeh n Aarón: “Techinchijchiwili sikimeh diosmeh non kinchijchiwah ika inma non matechyakanakah porke amo tikmatih tlan omochi n Moisés non otechkixti de kan tlali de Egipto.” 
ACT.7.41	Ijkuakó okichijchijkeh se “dios” kemi se torojkonetl. Okinmiktijkeh sikimeh yolkameh, okinmanilijkeh iwa opakeh ijkuak okitakeh tlan okichijchijkeh ika inmawah. 
ACT.7.42	Pero Dios okinkajka makichiwakah tlan yejwah okinekiah, iwa okinka makinweyilikah n tláwilteh non kateh ilwikak. Ijkó kemi ijkuilitok itech ilibro n profeta:
ACT.7.42	Tlakah de Israel, itech nonteh ome póali (40) xiwitl ijkuak ononnentinemiah kan amaka chanti
ACT.7.42	¿kox Ne ononnechtlamiktilijkeh iwa Ne ononnechtlamanilijkeh?
ACT.7.43	Amó, yej nomejwah ononkimamajtinemiah itiopantsi n “dios” Moloc,
ACT.7.43	iwa n sítlali de n “dios” Renfán,
ACT.7.43	non san nomejwah ononkinchijchijkeh ika nomomawah.
ACT.7.43	Yika, Ne, nomechkixtis de nomopaís iwa nomechtitlanis okachi tlayakapa de Babilonia. 
ACT.7.44	'Ijkuak totatawah onemiah kan amaka chanti, okiwikatinemiah n tabernákulo, iwa ompa ijtik oyayah n temeh patlawakeh non intech oijkuilitoka n tlanawátili. Moisés okichijchi nin tabernákulo ijkó kemi Dios okinawati iwa okinextili makichijchiwa. 
ACT.7.45	Nin tabernákulo noso mantajtiopantsi non Moisés okichijchi okinmaxkatili totatawah, iwa akimeh owalajkeh nika iwan Josué, okualikakeh n tabernákulo ijkuak okintlanilijkeh intlal n oksikimeh altepemeh. Dios okinkixtili intlalwah akimeh nika ochantitokah iwa okinmaxkatili totatawah. Iwa ijkó okatka asta n tonatijmeh ijkuak n rey David onemia. 
ACT.7.46	Dios okitiochiwaya n David, iwa ye okinekia kichiwas se Weyi Tiopa kan machantito Idios Jacob. 
ACT.7.47	Pero amo David okichijchiwili iweyitiopa, yej Salomón okichijchiwili. 
ACT.7.48	Maya tikmatokeh Totajtsi Dios amo chantitok ijtik tiopameh non kinmachijchiwah n tlakah. Kemi okijkuilo n profeta Isaías:
ACT.7.49	N ilwikak ye kan niewatok,
ACT.7.49	iwa n tlaltíkpaktli kan nikinsewia nokxiwah.
ACT.7.49	¿Tlan kali nonkinekih nonnechchijchiwiliskeh nomejwah?, kijtoa n Toteko,
ACT.7.49	¿noso kan weletis nimosewis?
ACT.7.50	¿Mach amo Ne ika noma onikchijchi nochi tlan onka? 
ACT.7.51	Iwa Esteban noiwa okinmili n tlayakankeh:
ACT.7.51	—Nomejwah ayik nonkinekih nontetlakitaskeh. Ayik nonkinekih nonkikakiskeh nion nonkinekih nonkichiwaskeh tlan Dios nomechnawatia, ijkó kemi kichiwah akimeh amo kixmatih Dios. Ayik nonmotekawiliah manomechyakana n Espíritu Santo, nomejwah ijkó nonkichiwah kemi okichijkeh nomotatawah. 
ACT.7.52	¿Kox onka se profeta non amo okitlaijyowiltijkeh nomotatawah? Nochteh n profetas akimeh yowejka okitematiltijkeh walaskia neká tlakatl yekmilajka, nomotatawah okimiktijkeh. Iwa axa, nin tlakatl yekmilajka yowitsa, pero nomejwah ononkitemaktijkeh iwa ononkimiktijkeh. 
ACT.7.53	Iwa maya Dios okinnawati iangelwah manomechmakakah itlanawatil, nomejwah mach ononkitlakitakeh non tlanawátili.
ACT.7.54	Ijkuak n tlayakankeh okikakeh tlan okijto n Esteban, okualankamikeh iwa asta omotlannetsoniayah. 
ACT.7.55	Pero Esteban tentok de Espíritu Santo, oajkotláchixki ilwikak iwa okitak iweyijkachiwalis Dios, noiwa okitak n Jesús moketok ik iyekma n Totajtsi Dios. 
ACT.7.56	Iwa okijto:
ACT.7.56	—¡Xikitakah! Ne nikita n ilwikak tlapotok, iwa nikita n Jesús Akin omochi tlakatl moketok ik iyekma Dios.
ACT.7.57	Ijkuakó yejwah omonakastsajtsakeh, okojtsajtsikeh iwa nochteh oonewakeh ipan Esteban. 
ACT.7.58	Okikixtijkeh kala de kan altepetl iwa ompa okimojmotlakeh ika tetl. Iwa akimeh okimojmotlakeh n Esteban, okinkajtejkeh intlakenwah makinmokuitlawilijto se télpochtli non itoka Saulo.
ACT.7.59	Iwa ijkuak okimojmotlatokah, Esteban omotiotsajtsili iwa okijto:
ACT.7.59	—Noteko Jesús, xikseli noespíritu.
ACT.7.60	Omotlankuáketski iwa chikaktik okijto:
ACT.7.60	—¡Noteko, amo xikintlajtlakolti ninteh tlakah!
ACT.7.60	San nima ijkuak otlanki omotiotsajtsili, omikki. 
ACT.8.1	Saulo okimoli kuali makimiktikah n Esteban.
ACT.8.1	Itech non tonati, non de Jerusalén opé kintotojtokah porke okineltokayah Cristo Jesús. Nochteh ochocholojkeh omotlajtlaatitoh itech tlalmeh de Judea iwa de Samaria, iwa sanwel n tlatematiltijkeh omokajkeh. 
ACT.8.2	Sikimeh tokniwah non okimopantiayah Dios, okitookakeh n Esteban iwa satlawel okichokilijkeh. 
ACT.8.3	Pero Saulo okintotojtokatinemia non okineltokayah n Cristo, okalakia incha iwa okinkixtiaya kintilantiwits n tlakah iwa n siwameh, iwa okintsakuaya.
ACT.8.4	Akimeh ocholojkeh de Jerusalén, sentetl kan ik oyayah otetlapowiayah de n kualitlájtoli de Dios. 
ACT.8.5	Felipe, oyá kan se altepetl de Samaria iwa ompa opé kintlapowia de Cristo. 
ACT.8.6	Miakeh tlakah omoololoayah iwa ika pakílistli okikakiah tlan Felipe okinmiliaya. Okikakiah iwa okimitayah n milagros non ye okinchiwaya. 
ACT.8.7	Porke miakeh tlakah non okimpiayah espíritus amokualteh opajtiah, iwa ijkuak n espíritus amokualteh okisayah inmijtik nonteh kokoxkeh, chikaktik otsajtsiah. Miakeh koxomeh iwa non amo oweletiah onejnemiah noiwa opajtiah. 
ACT.8.8	Ika noni, nochteh non ochantitokah itech non altepetl okipiayah miak pakílistli.
ACT.8.9	Ompa Samaria ochantitoka se tlakatl non itoka Simón, ye achto otetlajchiwiaya iwa okinkajkayawaya n tlakah non ompa ochantitokah, iwa nochteh okimiliaya ye weletini. 
ACT.8.10	Iwa nochteh okikakiah, non okachi tsijtsikitsi asta non okachi ya teta, iwa okijtoayah:
ACT.8.10	—Nin tlakatl kipia iweletilis Dios.
ACT.8.11	Nochteh oyayah inawak, porke ika itetlajchiwilis miak xiwitl okinkajkaya. 
ACT.8.12	Pero ijkuak n tlakah de Samaria okineltokakeh tlan Felipe okinmatiltiaya ijkuak ye okintlapowiaya de Cristo Jesús iwa okinmajsikamatiltiaya tlan kijtosneki itlanawatil Dios, miakeh tlakah iwa siwameh omokuaatekiayah. 
ACT.8.13	Asta inewia n Simón otlaneltokak iwa omokuaateki, iwa opé kiwikatinemi n Felipe iwa satlawel omotlajtlachialtiaya ijkuak okimitaya n wejweyi milagros iwa neskayolteh non Felipe okinchiwaya.
ACT.8.14	Iwa ijkuak n tlatematiltijkeh non okatkah Jerusalén okimatkeh miakeh tlakah de Samaria yokiselijkeh itlajtol Dios, okititlankeh n Pedro iwa Juan mawiah ompa. 
ACT.8.15	Ijkuak Pedro iwa Juan okalakitoh Samaria, omotiotsajtsilijkeh inawak Dios para nochteh n tokniwah de Samaria non kineltokah Cristo Jesús, makiselikah n Espíritu Santo. 
ACT.8.16	Porke nion seme de yejwah yokiselijka n Espíritu Santo, porke san ok omokuatekijkah itech Itoka n Toteko Jesús. 
ACT.8.17	Ijkuakó Pedro iwa n Juan okintlalijkeh inmawah impah, iwa non kineltokah Cristo Jesús, okiselijkeh n Espíritu Santo.
ACT.8.18	Ijkuak Simón okitak n Espíritu Santo owaltemoaya ijkuak n tlatematiltijkeh okintlaliliayah inmawah impah, okinkakiti kinmakas tomi, 
ACT.8.19	iwa okinmili:
ACT.8.19	—Noiwa ne techmakakah non weletílistli, para ijkuak ne nikintlalis nomawah ipan aka noiwa makiseli n Espíritu Santo.
ACT.8.20	Ijkuakó Pedro okili:
ACT.8.20	—Motomi mapojpoliwi mowa, ken tikyejyekolia tlan Dios kitemaka weleti mokoa ika tomi. 
ACT.8.21	Te amitla tikpia towah nion mitsnamiki tikchiwas nin tekitl, porke moyolo amo chipawak inawak Dios. 
ACT.8.22	Ximolnamiki, iwa xiktlatlaujti Dios mamitstlapojpolwi, chamo ijkó mitstlapojpolwilis tlan otikmoli itech moyolo. 
ACT.8.23	Porke nikita moyolo tentok ika miak nexikólistli, iwa n tlajtlákoli mitstakatsojtok.
ACT.8.24	Ijkuakó Simón otlanankili:
ACT.8.24	—Xiktlatlautikah Dios amitla manechajsi ika tlan ononnechilijkeh.
ACT.8.25	Ijkuak yotlankeh okinmatiltijkeh itlajtol Toteko, n tlatematiltijkeh omokopkeh Jerusalén. Iwa itech miakeh altepetsitsinteh de Samaria kan ik opanotiayah, otetlapowiayah de n kualitlájtoli de Dios.
ACT.8.26	Satepa se iángel n Toteko okili n Felipe:
ACT.8.26	—Ximoketsa iwa xio kan tlalmeh non kateh ik tlatsintla, xikonana n ojtli non temoa de Jerusalén iwa onkisa Gaza.
ACT.8.26	Ye ni n ojtli non panoa kan tlaltejtéyinki. 
ACT.8.27	Felipe owalmóketski iwa oyá, iwa itech ojtli okajsito se tlakatl de Etiopía. Nin tlakatl okatka eunuco
ACT.8.28	Nin tlakatl yowalmokopaya kan ialtépeu, oewatotiwalaya ipan ikarreta iwa okiamapoaya se amatlajkuíloli non okijkuilo n profeta Isaías. 
ACT.8.29	Ijkuakó n Espíritu Santo okili n Felipe:
ACT.8.29	—Xikajsiti neká karreta iwa ximonetecho inakastla.
ACT.8.30	Ijkuak Felipe okajsito n tlakatl etíope, okikak okiamapoaya itlajkuilol n profeta Isaías, iwa okitlajtlani:
ACT.8.30	—¿Tikajsikamati tlan tikamapoa?
ACT.8.31	N tlakatl okinankili:
ACT.8.31	—¿Kenomi nikajsikamatis, tla amaka nechajsikamatiltia?
ACT.8.31	Iwa okitlatlaujti n Felipe matlejko ipan ikarreta iwa mamotlali inakastla.
ACT.8.32	Iwa ye ni n tlájtoli non okiamapoaya n tekiwa de Etiopía:
ACT.8.32	Kemi se ichkatsi okiwikakeh kan tlamiktilo;
ACT.8.32	iwa ijkó kemi se ichkakonetl amo tsajtsi ijkuak kiximah,
ACT.8.32	ijkó Ye amitla okijto keman okimiktijkeh.
ACT.8.33	Inmixpah nochteh okipijpinawijkeh iwa amaka okitlajtolpalewi;
ACT.8.33	¿akin weletis techinmititis ipilwah?,
ACT.8.33	porke okimiktijkeh itech nin tlaltíkpaktli. 
ACT.8.34	N etíope okitlajtlani n Felipe:
ACT.8.34	—Nimitstlatlaujtia, techili, ¿de akin tlajtoa n profeta, de ye inewia noso de ok se?
ACT.8.35	Ijkuakó Felipe opé kitlapowia de non tlajkuíloli n etíope kan okiamapoaya, iwa opé kajsikamatiltia n kualitlájtoli de Jesús. 
ACT.8.36	Okalakitoh kan okatka atl, iwa n tekiwa etíope okijto:
ACT.8.36	—Nika onka atl, amaka nechtsakuilia manimokuaateki.
ACT.8.37	Felipe okili:
ACT.8.37	—Tla milák titlaneltoka ika nochi moyolo, weletis timokuaatekis.
ACT.8.37	N tlakatl okinankili:
ACT.8.37	—Nikneltoka Cristo Jesús, Ye Ikone n Totajtsi Dios.
ACT.8.38	Ijkuakó otlanawati makiketsaltikah n karreta, iwa san ken ome otemokeh ijtik atl, iwa Felipe okikuaateki n tlakatl etíope. 
ACT.8.39	Ijkuak owalkiskeh ijtik atl, Iespíritu n Toteko Dios okiwík n Felipe, iwa n tekiwa etíope ayakmó oksepa okitak; iwa oyá icha ika pakílistli. 
ACT.8.40	Pero Felipe okalakito kan altepetl de Azoto, iwa opé kitematiltia n kualitlájtoli de Dios itech miakeh altepemeh asta okalakito Cesarea. 
ACT.9.1	Saulo ok otlamomojtijtinemia iwa okintemojtinemia akimeh kineltokah n Toteko Jesús, porke ye okinekia kinmiktis. Ika noni oyá okitato n tiópixki non okachi otlayakantoka, 
ACT.9.2	okitlajtlanilito makinmaka amameh ixmachotitokeh para ika kinteititis kan sinagogas de Damasco. Iwa ika noni makikawilikah makinkitski n tlakah noso siwameh akimeh okitlakitayah n kualitlájtoli para kualinwikas kintsakuaki Jerusalén. 
ACT.9.3	Pero ijkuak oyaya itech ojtli iwa yoonajsia Damasco, se tláwili non owalaya de ilwikak okualyawalo. 
ACT.9.4	Ijkuakó n Saulo owetsito ixko tlali, iwa okikak se tlájtoli non okiliaya:
ACT.9.4	—Saulo, Saulo, ¿tleka techtotojtokatinemi?
ACT.9.5	Ijkuakó Saulo otlájtlanki:
ACT.9.5	—¿Akin tejwatsi Noteko?
ACT.9.5	Ye okijto:
ACT.9.5	—Ne Ni Jesús, tleka techtotojtoka. 
ACT.9.6	Ximoketsa iwa xikalaki kan altepetl. Ompa mitsiliskeh tlan tikchiwas.
ACT.9.7	N tlakah non oyayah iwan Saulo, satlawel omomojtijkeh ken okikakeh n tlájtoli pero amaka okitakeh. 
ACT.9.8	Sa okikewaltijkeh n Saulo, pero ijkuak okintlapo ixtololowah mach ok otláchixki. Yika, sa okimatilantiayah iwa okiwikakeh Damasco. 
ACT.9.9	Eyi tonati amo otlachiaya, amitla okikua nion amitla okonik.
ACT.9.10	Ompa kan altepetl de Damasco ochantitoka se tlakatl non itoka Ananías non okineltokaya Toteko Jesús. N Toteko okimonextili iwa okili:
ACT.9.10	—¡Ananías!
ACT.9.10	Ye okinankili:
ACT.9.10	—Nika nika, Noteko.
ACT.9.11	Ijkuakó n Toteko okili:
ACT.9.11	—Ximoketsa iwa xio kan ojtli non kiliah Milaktik, iwa ijkuak tiajsiti icha n Judas xitlajtlani kox ompa kajki se tlakatl de Tarso non itoka Saulo. Ye ompa motiotsajtsilijtok, 
ACT.9.12	ye okimonextili se tlakatl non itoka Ananías, okitak non tlakatl okalakia kan ye kajki iwa ipa okintlaliaya imawah para oksepa matlachia.
ACT.9.13	Ijkuak Ananías ijkó okikak, okijto:
ACT.9.13	—Noteko, miakeh yonechtlapowijkeh tlan iteki non tlakatl, iwa nochi tlan yokintokti akimeh mitsneltokah, non chantitokeh Jerusalén. 
ACT.9.14	Iwa axa yowala nika, ye kualinwika amameh de n tiopixkeh non tlayakantokeh para makinwika makintsakuati nochteh akimeh kitenewah Motoka.
ACT.9.15	Pero n Toteko okili:
ACT.9.15	—Xio kan nimitstitlantok, porke non tlakatl yonikmopejpenili para manechteixmatilti innawak non amo judíojteh iwa inmixpah miakeh tlanawatijkeh, iwa innawak n tlakah de Israel. 
ACT.9.16	Ne nikititis kenijki tlaijyowis ijkuak nechteixmatiltis.
ACT.9.17	Ananías oyá kan okalotitoka n Saulo, iwa ijkuak okalak okintlali imawah ipan Saulo, iwa okili:
ACT.9.17	—Nokni Saulo, Noteko Jesús, Akin omitsmonextili itech ojtli kan ik otiwalaya, Ye onechaltítlanki para xitlachia oksepa iwa xikseli n Espíritu Santo.
ACT.9.18	San nima opé tetepewi de kan ixtololowah n Saulo siki kemi itotominyo n michi, iwa oksepa otláchixki. Ijkuakó Saulo omóketski iwa okikuaatekijkeh. 
ACT.9.19	Iwa ijkuak yotlakua, oksepa okónanki chikawálistli iwa ompa omoka kech tonati inwah tokniwah de Damasco non kineltokah n Cristo Jesús.
ACT.9.20	Satepa, Saulo opé tetlapowia de itlajtol Dios kan sinagogas, iwa okimiliaya Jesús Ye Ikone n Totajtsi Dios. 
ACT.9.21	Nochteh akimeh okikakiah san omotlajtlachialtiayah, iwa okijtoayah:
ACT.9.21	—¿Amo ye nin tlakatl non nepa kan altepetl de Jerusalén okintemojtinemia iwa okintlaijyowiltiayah akimeh motiotsajtsiliah ika Itoka n Jesús? ¿Amo ye non owala okinkitskiko n tokniwah para kintemakatih inmak n tiopixkeh non tlayakantokeh?
ACT.9.22	Pero n Saulo okachi omochikawaya iwa okinkuatlapololtiaya n judíojteh non ochantitokah Damasco, iwa okinmatiltiaya Jesús Ye n Cristo.
ACT.9.23	Ijkuak opanokeh sikimeh tonatijmeh 
ACT.9.24	omotlatlalwijkeh kimiktiskeh n Saulo. Pero n Saulo okima tlan okinekiah kitoktiskeh n judíojteh. Tlajka iwa n yuak okichichiayah kan ik ikaltenwah n altepetl de Damasco para kimiktiskeh. 
ACT.9.25	Pero ijkuak yotleyuak, akimeh okineltokayah Cristo Jesús okontlalijkeh n Saulo ijtik se chikiwitl, iwa okitemowijkeh kan ik tepamitl non okiyawalojtoka non altepetl, iwa ocholo.
ACT.9.26	Ijkuak Saulo okalakito Jerusalén, okinekia moseitilis iwa tokniwah non kineltokah Cristo Jesús. Pero nochteh okimawiliayah porke amo okineltokayah kox ye noiwa yokineltokaya n Cristo. 
ACT.9.27	Pero Bernabé okiwík n Saulo innawak n tlatematiltijkeh iwa okintlapowi kenijki n Saulo okitak iwa okitlapowi n Toteko ijkuak owalaya itech ojtli. Noiwa okinmili kenijki ika miak chikawálistli okiteixmatilti itoka n Jesús ijkuak okatka kan altepetl de Damasco. 
ACT.9.28	Ijkó Saulo omoka Jerusalén inwa n tlaneltokakeh, iwa nochipa onemia sentetl iwa otetlapowijtinemiah ika chikawálistli itech itoka n Toteko Jesús. 
ACT.9.29	Noiwa omotlajtolkokopaya iwan judíojteh non otlajtoayah griego, pero yejwah okitemoliayah kenijki kimiktiskeh. 
ACT.9.30	Yika, ijkuak n tokniwah okimatkeh tlan okinekiah kitoktiskeh, okiwikakeh Cesarea, iwa de ompa okititlankeh mawia Tarso.
ACT.9.31	Ijkuakó non okineltokayah Cristo Jesús okipiayah yolsewílistli itech tlali de Judea, Galilea iwa Samaria. Okachi omoyolchikawayah otlaneltokayah inawak Toteko. Iwa omomiakiliayah ika iweletilis n Espíritu Santo.
ACT.9.32	Ijkuak Pedro oyá okintlajpaloto n tokniwah kan omoololoayah, noiwa oyá okimitato akimeh yokineltokayah Cristo Jesús non ochantitokah Lida. 
ACT.9.33	Ompa okajsito se tlakatl non itoka Eneas, non yokiwikaya chikweyi xiwitl wilantok ipan ipetl, porke oikximijmiktoka. 
ACT.9.34	Iwa Pedro okili:
ACT.9.34	—Eneas, Cristo Jesús mitspajtia. Ximewa iwa xikyejyektlali mopetl.
ACT.9.34	Ijkuakó Eneas san nima owalmejtewak. 
ACT.9.35	Iwa nochteh non ochantitokah kan altepetl de Lida iwa Sarón okitakeh opajtik n Eneas, okikajkeh tlan achto okineltokayah iwa okineltokakeh n Toteko Jesús.
ACT.9.36	Itech nekateh tonatijmeh kan altepetl de Jope ochantitoka se siwatl non okineltokaya n Toteko non itoka Tabita, itech tlájtoli griego mijtoa Dorcas. Non siwatl nochipa okichiwaya tlan kuali iwa okimpalewiaya akimeh amitla okipiayah. 
ACT.9.37	Pero itech nonteh tonatijmeh Dorcas owalmokoko iwa omikki. Satepa de okipakeh ikuerpo n Dorcas, okiwilankeh tlakpak kan se kuarto. 
ACT.9.38	N altepetl de Jope iwan altepetl de Lida mach wejka omotayah, yika san nima ijkuak n tokniwah non kineltokah Cristo okimatkeh Pedro okatka Lida, okintitlankeh ome tlakah makilitih:
ACT.9.38	—Xiwiki san nima.
ACT.9.39	Pedro omóketski iwa oyá inwah. Iwa ijkuak yoajsito kan altepetl de Jope, okiwikakeh kan kuarto kan okatka n miketl. Nochteh n iknosiwameh, ochokatokah okiyawalojkeh n Pedro iwa okiititijkeh nochteh n kuemeh iwa n kotomeh non Dorcas okinchijchi ijkuak oyolitoka. 
ACT.9.40	Otlanki n Pedro okinmili makisakah nochteh, ijkuakó omotlankuáketski iwa omotiotsajtsili; otlanki okontlajtlatak n miketl iwa okili:
ACT.9.40	—¡Tabita, ximewa!
ACT.9.40	Ijkuakó okintlapo ixtololowah, iwa ijkuak okitak n Pedro, omotlali. 
ACT.9.41	Pedro okimakitski iwa okiketsalti. Otlanki okínnotski non kineltokah Cristo Jesús iwa n iknosiwameh, iwa okinmaktili yolitok. 
ACT.9.42	Nin milagro omoma itech nochi altepetl de Jope, iwa miakeh okineltokakeh n Toteko Jesús. 
ACT.9.43	Iwa Pedro omoka miakeh tonatijmeh itech non altepetl, icha n Simón non okintekitia kuítlaxteh.
ACT.10.1	Kan altepetl non itoka Cesarea ochantitoka se tlakatl non itoka Cornelio, ye kapita innawak se siento de soldadojteh non okintokayotiayah Italianos. 
ACT.10.2	Cornelio iwa nochi ichantlakawah okimopantiayah iwa okiweyijkachiwayah Dios. Iwa Ye okitemakaya miak tomi para kimpalewis ikniwah n judíojteh akimeh amitla okipiayah, iwa nochipa omotiotsajtsiliaya inawak Dios. 
ACT.10.3	Se tonati kemi las tres de tiotlak, Cornelio okitak se tlawilnextílistli kemi yaskia se tejtemiktok. Okitak se iángel Totajtsi Dios non owalkalak kan ye okatka, iwa okili:
ACT.10.3	—¡Cornelio!
ACT.10.4	Cornelio omoka kisentlajtlatok n ángel porke satlawel okimojti, iwa okijto:
ACT.10.4	—¿Tlan tikmonekiltia Noteko?
ACT.10.4	N ángel okili:
ACT.10.4	—Dios okiseli motiotsajtsilis iwa tlan otikchi ijkuak otikimpalewi non amitla kipiah. 
ACT.10.5	Axa, xikintitlani sikimeh tlakah kan altepetl de Jope para makinotsatih n Simón, akin noiwa itoka Pedro. 
ACT.10.6	Ye mokalotijtok icha n ok se Simón, non kintekiti kuítlaxteh, iwa chantitok itempa n atl, ye mitsilis tlan tikchiwas.
ACT.10.7	Ijkuak n ángel oyá, Cornelio okínnotski ome itlakawah iwa se isoldado akin okitlakitaya iwa okimopantiaya Dios. 
ACT.10.8	Cornelio okinmatilti nochi tlan otlamochijka, iwa satepa okintítlanki kan altepetl de Jope.
