MAT.1.1	Chitabu cha lukolo lwa Yesu Kiristu, mtsukulu wa Daudi, iyakalile mtsukulu wa Abrahamu. 
ACT.9.17	Apfo Ananiya kaghenda, kengila mng'anda amwo. Kuya kamwikila ghamoko Sauli, kalonga, “Ndughu yangu Sauli, Imtwatsa Yesu iyakulawile mnzila haung'ali kwakutsa hano, kanituma ili udahe ukwona keli na umemesighwe Ghumuhe Mwenzeluka.” 
ACT.9.18	Bahala ipfinu ka maghamba pfilaghala kulawa mnenge mwake, naye kadaha ukwona keli. Kuya kenuka, kabatitsighwa. 
ACT.9.19	Na hayamalitse ukuja ngupfu tsake tsimuyila.
ACT.9.19	Sauli tsakakala ghamatsuwa chidogho ne iwanu iwamtoghole Yesu ako Damasko. 
ACT.9.20	Baho kandusa kupeta mne tsing'anda tse ukulombela ka Yesu ka Imwana we Imulungu.
ACT.9.21	Iwanu wose iwamuhulike wakangawala, walonga, “Imunu yuno si yuyula bae iyawakomile iwanu iwamtamanile Yesu akula Yerusalemu? Ambe tsakatsa hano yawaghoghe iwanu awo kuya yawaghale kwe iwatambika wakulu!”
ACT.9.22	Lekeni Sauli kaghendelela kupata ingupfu na kuwakangawatsa Wayahudi iwokala Damasko kwa kulangusa ka Yesu iyo Kiristu.
ACT.9.23	Haghabitile ghamatsuwa mengi, Wayahudi tsawelaghana wamkome Sauli. 
ACT.9.24	Lekeni Sauli tsakalongelighwa imbuli ayo. Chilo na misi tsawamlolesa hane imibani ya kwingilila mkaye ili wamkome. 
ACT.9.25	Lekeni nechilo wanang'ina wake wamsola, wamuhulumsa mliseghe kubitila mne litundu ilikalile mne libanda lye ghumji.
ACT.9.26	Sauli hapfikile Yerusalemu, tsakabama yelunge ne iwanang'ina, lekeni wawo wang'ali wompfuka, kwaapfila ng'awatoghole bae ka naye tsakakala imwanang'ina. 
ACT.9.27	Lekeni Balinaba kamsola Sauli kamghala kwe iwatumighwa. Kawalongela Sauli pfayamwonile Imtwatsa mne ghumwanza ghwake na Imtwatsa tsakalonga naye, na pfayapetile taghwa lya Yesu bila kupfuka akula Damasko. 
ACT.9.28	Apfo Sauli kakala nawo na ukwanga Yerusalemu yose aku kopeta imbuli ye Imtwatsa bila kupfuka. 
ACT.9.29	Kalonga nawo na kwighutsa na Wayahudi iwolonga Chigiriki, lekeni nawo wabama kumkoma. 
ACT.9.30	Ndughu hawamanyile imbuli ayo wamsola Sauli mbaka Kaisariya, wamghala Taso.
ACT.9.31	Apfo iwanu iwomtoghola Kiristu tsawakala tseghamba mne isi ya Yudeya na Galilaya na Samariya, waghumighwa ghumoyo na Ghumuhe Mwenzeluka na wongetseka na kukala kwa kumpfuka Imtwatsa.
ACT.9.32	Petiri hayang'ali yobita chila hanu, kawangila iwanu we Imulungu iwokala Luda. 
ACT.9.33	Ako kampfika imunu yumwe iyakemighwe Eneya, yawasile mlusatsi kwa miyaka kumi na minane kwa utamu wa kuholola. 
ACT.9.34	Petiri kamlongela, “Eneya, Yesu Kiristu kokuhonetsa. Winuke, utandike lusatsi lwako.” Bahala Eneya kenuka. 
ACT.9.35	Iwanu wose iwokala Luda na Sharoni wamwona Eneya, nawo wamuyila Imtwatsa.
ACT.9.36	Ako Yopa tsakukala ne imwanang'ina yumwe pinga iyakemighwe Tabita kwa Chigiriki Dorika, mana yake mbawala. Ipinga ayo tsayang'ali yotenda ghanoghile matsuwa ghose na kuwapfila iwahingwa. 
ACT.9.37	Mna matsuwa agho kaghula, kafa, waghwopfugha lukuli wake na waghwika mchiheleto cha kuchanya. 
ACT.9.38	Luda si hatali ng'ani na Yopa, apfo iwanang'ina hawahulike Petiri ka ako, wawatuma iwanu weli kuna yeye, na wamlomba, “Utse kuna twetwe sambi baha.” 
ACT.9.39	Petiri kaghenda nawo, na hayapfikile, wamghala mchiheleto cha uchanya. Ipfitsuka wose wamtsunguluka Petiri aku wolila na kumlangusa maghwanda na maghwanda ghayatendile Dorika hayang'ali mghima. 
ACT.9.40	Petiri kawalapfa wose kunze, kuya katowa ghamaghoti, kalomba. Kamhundukila ipinga yula iyafile, kalonga, “Tabita, winuke.” Naye kafumbula tsinenge na hayamwonile Petiri, kenuka kakala. 
ACT.9.41	Petiri kamkinda ghumoko kamwapfila ukwimwinula. Kuya kawakema iwanu we Imulungu na wala ipfitsuka, kamleka mghamoko mwawo ka mghima. 
ACT.9.42	Imbuli ayo imanyika mne isi yose ya Yopa, na iwanu wengi wamtoghola Imtwatsa. 
ACT.9.43	Petiri kakala ako Yopa matsuwa mengi, tsakakala ne imunu iyotenda tsingotsi yakemighwe Simoni.
ACT.10.1	Ako Kaisariya tsakukala ne imunu yumwe taghwa lyake Korineli, chilongotsi wa chikosi chimwe cha asikali kumi ichikemighwe “Chikosi cha Italiya.” 
ACT.10.2	Yeye ne iwanu wa ukaye yake tsawang'ali wompfuka Imulungu. Tsaang'ali yowapfila wahingwa na komlomba Imulungu matsuwa ghose. 
ACT.10.3	Litsuwa limwe saa tisa nemisi kona ghamaono mwatsimwatsi, malaika we Imulungu kamtsila, kalonga, “Korineli!”
ACT.10.4	Korineli kamtsodolela tsinenge kwa kupfuka, kaghutsa, “Kuna choni Imtwatsa?”
ACT.10.4	Malaika ayo kedika, “Imulungu kahulika ukulomba kwako na sadaka tsako kwa iwahingwa, kuya ng'atsotsisemwa bae. 
ACT.10.5	Sambi watume iwanu ako Yopa wakamkeme imunu iyokemighwa Simoni, taghwa lyake lingi Petiri. 
ACT.10.6	Kokala mne ing'anda ya Simoni mtenda tsingotsi, ing'anda yake yahabehi ne ibahali.” 
ACT.10.7	Malaika yula iyalongile naye hayokile, Korineli kawakema iwatumwa wake weli hamwe na asikali wake yumwe iyompfuka Imulungu. 
ACT.10.8	Kawalongela ghose ighalawile, kuya kawatuma Yopa.
ACT.10.9	Litsuwa liwinzile, saa sita nemisi iwanu wala hawang'ali wamne ghumwanza, habehi na kupfika Yopa, Petiri kadina mchiswili ili yalombe. 
ACT.10.10	Inzala imtama, kabama ichijo yaje, na ichijo haching'ali chikwambikighwa, kona ghamaono. 
ACT.10.11	Kona kulanga kughubulighwa ne ichinu ka gholole kulu lyohulumsighwa muisi kwa membe tsake nne. 
ACT.10.12	Mghati mwake mna wanyama wose iwali na ghamaghulu mane, na iwotambala hasi na wapfideghe wa kulanga. 
ACT.10.13	Kuya kahulika litsi lyomlongela, “Petiri, winuke uchinje uje!”
ACT.10.14	Petiri kalonga, “Mbe, Imtwatsa, sina ndiye bae chinu chochose ichighomighwe au ichihile.”
ACT.10.15	Litsi limlongela keli, “Uleke kupfikema pfiha ipfinu ipfideghetighwe ne Imulungu.” 
ACT.10.16	Imbuli ayo ilawila mala ndatu, kuya gholole liyutsighwa kulanga.
ACT.10.17	Petiri hayang'ali yokangawala ghamaono ghala gholonga choni, iwanu wala iwatumighwe na Korineli wapfika kune ing'anda ya Simoni, wema mlibani. 
ACT.10.18	Wakemelela, waghutsa ka Simoni yokemighwa Petiri kokala hamo.
ACT.10.19	Simoni Petiri hayang'ali yokangawala ghamaono agho, baho Ghumuhe ghwe Imulungu kamlongela, “Simoni, hano hana iwanu wadatu wokubama ghweghwe. 
ACT.10.20	Apfo winuke uhulumke ughende nawo, uleke kupfuka, kwaapfila yaniwatumile nene.” 
ACT.10.21	Petiri kahulumka hasi, kawalongela iwanu awo, “Nene iyo yamumbama. Mtsilile choni hano?”
ACT.10.22	Wamwidika, “Twolawa kwa Korineli, imkulu we asikali, imunu yanoghile, mpfuka Imulungu na youlikitsighwa na Wayahudi wose. Malaika mwenzeluka kamlongela yakukeme ghweghwe ukaye yake ili yahulike chochose chautsomlongela.” 
ACT.10.23	Kuya Petiri kawalongela iwanu awo wengile mng'anda, wawe wahenza wake.
ACT.10.23	Litsuwa lya kabili Petiri kandusa ukuka nawo, ne iwanu wangi wa Yopa iwamtoghole Yesu waghenda naye. 
ACT.10.24	Litsuwa liwinzile Petiri kapfika Kaisariya. Korineli tsaang'ali yowabeta hamwe na iwandughu tsake na sale tsake iyawakemile. 
ACT.10.25	Petiri hayang'ali yakwingila mng'anda, Korineli kaghenda kumbokela, kamtowela ghamaghoti, kenama mbaka hasi ghendo. 
ACT.10.26	Lekeni Petiri kamwinula, kalonga, “Winuke, nene imwenyegho na imunu ka ghweghwe.” 
ACT.10.27	Na hang'ali yolonga naye, Petiri kengila mng'anda, kawapfika iwanu wengi wetingana. 
ACT.10.28	Kawalongela, “Mwemwe mwomanya ka Myahudi kaghomighwa na malaghitso ghe dini yake kukala ne imunu wa isi ingi, au kumwangila. Lekeni Imulungu kanilangusa ndeke kumwona imunu wowose ng'adeghete au keha. 
ACT.10.29	Apfo hamnikemile, silemile bae kutsa. Lelo nowaghutsa, mnikemile choni?”
ACT.10.30	Korineli kedika, “Matsuwa madatu ghabitile saa ka ino, tsanikala mng'anda mwangu nolomba. Bahala imunu yane maghwanda matselu ng'ani tsakema hambele hangu, 
ACT.10.31	kalonga, ‘Korineli, Imulungu kabokela malombi ghako na ng'aghasemwile aghala ghauweng'ile iwahingwa. 
ACT.10.32	Lelo, watume iwanu waghende Yopa kumkema Simoni yokemighwa Petiri, kokala mne ing'anda ya Simoni mtenda tsingotsi, iyokala habehi ne ibahali.’ 
ACT.10.33	Apfo bahala niwatuma iwanu kuna ghweghwe, naghwe kutenda ghoya ukutsa. Sambi twetwe twa hambele he Imulungu, kuhulikitsa chochose Imulungu chayakulaghitse kutulongela.”
ACT.10.34	Kuya Petiri kandusa ukulonga, “Lelo nomanya ka Imulungu ng'obaghula bae, 
ACT.10.35	ila kowatoghola iwanu iwompfuka na kutenda ghanoghile kulawa chila isi. 
ACT.10.36	Mwemwe mwomanya imbuli yaitumile Imulungu kuna iwanu wa Isiraeli, kalonga imbuli inoghile iitenda iwanu wakale tseghamba kubitila Yesu Kiristu, Imtwatsa wa wose. 
ACT.10.37	Mwemwe mwomanya ichilawile mne isi yose ya Yudeya, kwandusila Galilaya haumalile ubatitso yaupetile Yohane, 
ACT.10.38	Imulungu pfayamsaghule Yesu wa Natsareti kwa kumwing'a Ghumuhe Mwenzeluka ne ingupfu, na pfayaghendile chila hanu aku kotenda ghanoghile na kuhonetsa iwanu wose iwonelighwe na Setani, kwaapfila Imulungu tsakakala naye. 
ACT.10.39	Twetwe twa iwakalangama we ipfinu pfose pfatendile mne isi ya Wayahudi na Yerusalemu. Tsawamkoma kwa kumuwamba mna msalaba. 
ACT.10.40	Lekeni Imulungu kamtsilihula mne litsuwa lya kadatu, kuya kamtenda yoneke ne iwanu. 
ACT.10.41	Ng'oneke ne iwanu wose, ila na iwakalangama iwasaghulighwe ne Imulungu, twetwe iyatujile na ukunwa naye hayatsilihuke. 
ACT.10.42	Katulaghitsa tuwapetele iwanu na kuwalongela ka Yesu iyo iyasaghulighwe ne Imulungu yawe imlamutsi we iwaghima na iwafile. 
ACT.10.43	Wanabii wose we Imulungu tsawalonga mbuli tsake ka chila imunu iyomtoghola katsoleghusighwa nzambi tsake kwa taghwa lyake.”
ACT.10.44	Petiri hayang'ali yolonga mbuli atso, Ghumuhe Mwenzeluka kawahulumkila wose iwang'ali wotegheletsa mbuli atso. 
ACT.10.45	Awala Wayahudi iwatoghole iwatsile na Petiri wakangawala kwaapfila nzawadi ya Ghumuhe Mwenzeluka pfipfila ighumighwa kwe iwanu iwali si Wayahudi bae. 
ACT.10.46	Kwaapfila wawahulika wolonga kwa lugha ingi, na kumtunya Imulungu. Kuya Petiri kalonga, 
ACT.10.47	“Iwanu wano wambokela Ghumuhe Mwenzeluka ka twetwe pfatumbokele. Angu nani lelo iyodaha kuwaghoma iwanu wano waleke kubatitsighwa kwa ghamatsi?” 
ACT.10.48	Apfo kalaghitsa wabatitsighwe kwa taghwa lya Yesu Kiristu. Kuya wamlomba Petiri akale nawo kwa ghamatsuwa chidogho.
ACT.11.1	Kuya iwatumighwa ne iwamtoghole Yesu akula Yudeya wahulika ka iwanu iwali si Wayahudi nawo waibokela imbuli ye Imulungu. 
ACT.11.2	Apfo Petiri hayoile Yerusalemu, Wayahudi iwamtoghole Yesu wamlonga, 
ACT.11.3	walonga, “Ghweghwe kughenda mne tsing'anda tse iwanu ing'awengile ngoma bae na ukuja nawo.” 
ACT.11.4	Petiri kandusa kuwalongela lughalugha chila ichinu pfachilawile.
ACT.11.5	“Tsanikala mne isi ya Yopa nolomba, baho mbona ghamaono, mbona ichinu ka gholole kulu lyohulumsighwa hasi kulawa kulanga kwa membe tsake nne, kuya litsa bahala hanikalile. 
ACT.11.6	Nilola mghati, mbona iwanyama wane ghamaghulu mane iwali muisi, iwanyama wa kubagho, iwotambala, ne iwapfideghe wa kulanga. 
ACT.11.7	Kuya nihulika litsi lyonilongela, ‘Petiri, winuke uchinje uje.’ 
ACT.11.8	Nyidika, ‘Bae, Imtwatsa! Kuduhu ichinu chochose chihile au ichighomighwe ichingile mumlomo mwangu.’ 
ACT.11.9	Litsi lilonga keli kulawa kulanga, ‘Uleke kuchikema chiha ichinu chayadeghete Imulungu.’ 
ACT.11.10	Imbuli ayo tsailawila mala ndatu, kuya ligholole liyutsighwa keli kulanga. 
ACT.11.11	Baho iwanu wadatu iwatumighwe kuna nene kulawa Kaisariya wapfika mne ing'anda yaning'ali nikala. 
ACT.11.12	Ghumuhe ghwe Imulungu kanongela ndeke kupfuka, ng'ende nawo. Iwandughu wano sita pfipfila waghenda na nene, twingila mng'anda mwa Korineli. 
ACT.11.13	Katulongela pfamwonile malaika yemile mng'anda mwake iyamlongele, ‘Utume iwanu isi ya Yopa wamkeme Simoni iyokemighwa Petiri. 
ACT.11.14	Katsomghalilani imbuli iitsokukombola ghweghwe ne iwanu wose iwali mng'anda mwako.’ 
ACT.11.15	Hanyanduse ukulonga, Ghumuhe Mwenzeluka kawahulumkila ka pfayatuhulumkile twetwe aho mwanduso. 
ACT.11.16	Baho ng'umbuka chayalongile Imtwatsa. ‘Yohane tsakabatitsa kwa ghamatsi, lekeni mwemwe mtsobatitsa kwa Ghumuhe Mwenzeluka.’ 
ACT.11.17	Apfo ka Imulungu kaweng'a iwanu iwali si Wayahudi nzawadi iila iyatwing'ile twetwe yatumtoghola Imtwatsa Yesu Kiristu, lelo nene nani nimpinge Imulungu?”
ACT.11.18	Hawahulike apfo, wenyamala. Wamtunya Imulungu, walonga, “Lelo, Imulungu kaweng'a iwanu iwali si Wayahudi toba iighala ughima.”
ACT.11.19	Kwa maghayo ighalawile Stefani hayakomighwe, iwanu iwamtoghole Yesu tsawapwililika. Wangi waghenda mbaka Foinike, Kupulo na Antiyokiya wapeta imbuli ila kwa Wayahudi waliyeka. 
ACT.11.20	Wangi iwalawile Kupulo na Kirene waghenda Antiyokiya, pfipfila wandusa kulonga ne iwanu iwali si Wayahudi bae, wawapetela imbuli inoghile ye Imtwatsa Yesu. 
ACT.11.21	Ngupfu ye Imtwatsa tsaikala nawo, na iwanu wengi watoghola na kumuyila Imtwatsa.
ACT.11.22	Mbuli atso tsihulikighwa na iwanu iwamtoghole Yesu wa Yerusalemu, nawo wamtuma Balinaba aghende Antiyokiya. 
ACT.11.23	Naye hapfikile na kuwona uluso we Imulungu kwe iwanu wala, kadeng'elela na kawalomba waghendelele kumtoghola Imtwatsa kwa mimoyo yawo yose. 
ACT.11.24	Balinaba tsakakala imunu yanoghile na yamemile Ghumuhe Mwenzeluka na iyotoghola ghendo, na iwanu wengi tsawongetseka kwe Imtwatsa.
ACT.11.25	Kuya Balinaba kaghenda Taso kumbama Sauli. 
ACT.11.26	Hamwonile, kamghala Antiyokiya. Nawo wose weli kwa ghumwaka mghima tsawetingana na iwanu iwamtoghole Yesu na kuwalangulitsa iwanu wengi. Iwanang'ina tsawandusa ukukemighwa Wakiristu ako Antiyokiya.
ACT.11.27	Ghamatsuwa ghaghala manabii wangi we Imulungu iwalawile Yerusalemu wapfika Antiyokiya. 
ACT.11.28	Yumwe wao iyakemighwe Agabo kema, na kwa uwetso wa Ghumuhe Mwenzeluka kalonga ka itsolawila inzala ng'ulu muisi mwose. Na inzala ayo ilawila mne ghamatsuwa gha mndewa Kilaudi. 
ACT.11.29	Wakiristu wala walamula chila imunu ka pfayodaha aghale chochose ili kuwapfila iwanu iwamtoghole Yesu iwokala Yudeya. 
ACT.11.30	Tsawatenda apfo, wawatuma Balinaba na Sauli wawaghalile iwabala we iwanu iwomtoghola Kiristu.
ACT.12.1	Ghamatsuwa ghaghala mndewa Herodi kawaghogha iwanu wangi iwomtoghola Kiristu na kuwadununza. 
ACT.12.2	Kamkoma kwa limaghe Jakobu ndughu yake Yohane. 
ACT.12.3	Honile Wayahudi wanoghelesighwa na achila chayatendile, kaghendelela, kamghogha Petiri. Agha ghatendeka mne chihungo che ghamatsuwa ghe Pfighate ipfilihela hamila. 
ACT.12.4	Hamghoghile, kamwika mchifungo, mne ghamoko gha makingili mane gha asikali wane wane, wamlolese. Herodi tsakabama Pasaka ing'amala amlapfe hambele he iwanu. 
ACT.12.5	Petiri hayang'ali mchifungo, iwamtoghole Yesu wamlombela kwe Imulungu kwa ghumoyo.
ACT.12.6	Chilo chila Herodi ng'ana yamlapfe kunze hambele he iwanu, Petiri tsakawasa haghati ghati ha asikali weli, kohighwa minyororo mili, ne iwakalitsi tsawang'ali wololesa libani lya chifungo. 
ACT.12.7	Bahala, malaika we Imtwatsa kalawila na ghumwanga ghumulika mne chiheleto chila. Malaika ayo kamtowa Petiri mlubapfu, kamlamsa. Kalonga, “Hima, winuke.” Bahala minyororo imwohile ghamoko ilaghala hasi. 
ACT.12.8	Kuya malaika ayo kamlongela, “Pfala msipi ghwako na pfilatu pfako.” Petiri katenda apfo. Kuya kamlongela, “Pfala ghwanda lyako uniwinze.” 
ACT.12.9	Petiri kamkoleletsa kunze mwa gheletsa, lekeni ng'amanyile bae ighatendighwe ne malaika we Imulungu ghang'ali gholawila kweli, ila kapfikitsa kakona ghamaono. 
ACT.12.10	Wabita chituwo cha wakalitsi cha mwanduso na cha keli, kuya wapfika mne libani lye chuma ililongosa mne ghumji. Libani liwapfughukila lyenyegho, nawo walawa kunze. Hawang'ali woghenda mne inzila imwe, bahala malaika ayo kamleka Petiri.
ACT.12.11	Petiri hayatangile ichimlawile, kalonga, “Sambi nomanya ghendo ka Imtwatsa kamtuma malaika wake yandapfe mne ghamoko gha Herodi na kulawa mna chila chinu chawalolele Wayahudi.”
ACT.12.12	Hayatangile apfo, kaghenda kune ing'anda ya Mariya, mai wake Yohane, taghwa lyake lya keli Maliki ne iwanu wengi tsawetingana amo wolomba. 
ACT.12.13	Petiri hayagong'onde libani lya kunze, imtumwa yumwe ipinga, taghwa lyake Roda katsa kuhulikitsa. 
ACT.12.14	Naye hayamanyile litsi lya Petiri, kadeng'elela ng'ani mbaka kaleka kupfughula libani katsumila mng'anda, kawalongela, “Petiri kema kunze halibani.” 
ACT.12.15	Wamlongela, “Kuna lukwale.” Lekeni yeye kakomangitsa ka pfipfo pfaili. Walonga, “Ayo malaika wake.”
ACT.12.16	Petiri kaghendelela kughong'onda libani, na hawapfughule hawamwone yeye, wakangawala. 
ACT.12.17	Petiri kawapungila ghumoko wenyamale, kawalongela Imtwatsa pfayamlapfile mne ligheletsa. Kuya kawalongela wakamlongele Jakobu imbuli ayo, na awala wangi iwamtoghole Yesu, kuya yeye kaghenda hanu hangi.
ACT.12.18	Nemitondo haipfikile, asikali tsawapfuka ghendo kwa achila ichimlawile Petiri. 
ACT.12.19	Kuya Herodi kalaghitsa wambame Petiri, lekeni ng'awamwonile bae. Kawaghutsa iwakalitsi wala, kuya kalaghitsa wakomighwe.
ACT.12.19	Kuya Herodi kalawa Yudeya kaghenda Kaisariya, kakala ako matsuwa chidogho.
ACT.12.20	Naye Herodi tsakawonela maya iwanu wa Tiro na Sidoni. Apfo iwanu awo wamghendela hamwe. Hawamalitse kumtenda Balasto yawe sale yawo, imunu iyatogholighwe sideke ne imndewa. Walomba Herodi wakale nae tseghamba, kwaapfila isi tsawo tsatsing'ali tsihemela ichijo kulawa mne isi ye imndewa.
ACT.12.21	Litsuwa limwe ilisaghulighwe, Herodi kapfala maghwanda ghake gha chindewa, kakala mne chighoda chake che undewa, kalonga ne iwanu. 
ACT.12.22	Iwanu wakemelela, “Alino litsi lya yumwe we milungu, si litsi lye imunu bae!” 
ACT.12.23	Bahala malaika we Imtwatsa kamghwisa hasi Herodi, kwaapfila ng'amwing'ile bae Imulungu utunitso, kakindighwa na sango, kafa.
ACT.12.24	Imbuli ye Imulungu ighendelela kukula na ukwenela.
ACT.12.25	Balinaba na Sauli hawamalitse ing'onde ye Imulungu, woya kulawa Yerusalemu, wamsola na Yohane, iyakemighwe Maliki.
ACT.13.1	Mna awala iwamtoghole Yesu ako Antiyokiya tsakukala na manabii we Imulungu ne iwalangulitsi, nawo tsawakala Balinaba na Simoni iyakemighwe Mtitu na Lukiyo iyolawila Kirene na Sauli na Manaeni iyalelighwe hamwe na Herodi. 
ACT.13.2	Hawang'ali womtamanila Imulungu na kufunga kuja, Ghumuhe Mwenzeluka kalonga, “Nibaghulileni Balinaba na Sauli, wasang'ane ing'onde yaniwakemele.”
ACT.13.3	Kuya hawamalitse kufunga ukuja na ukulomba, wawekila ghamoko wawaleka waghende.
ACT.13.4	Kuya Balinaba na Sauli aku waghalighwa na Ghumuhe Mwenzeluka, wahulumkila Seleukiya, na kulawa ako wadina mnumbwi mbaka Kupulo. 
ACT.13.5	Hawapfikile ghumji ghwa Salami, wapeta imbuli ye Imulungu mne tsing'anda tsa ukulombela tse Wayahudi, Yohane Maliki tsayang'ali yowapfila mne sang'ano ayo.
ACT.13.6	Tsawanga mne chisiwa chose mbaka wapfika Pafo, ako wampfika Myahudi yumwe mhawi na nabii wa ughutsu iyakemighwe Bariyesu. 
ACT.13.7	Imunu ayu tsakakala sale wa Serigiyo Pauli, imkulu we isi, imunu yane tsimbutsi ng'ani. Serigiyo Pauli tsakawakema Balinaba na Sauli waghende kuna yeye, tsakabama yahulike imbuli ye Imulungu. 
ACT.13.8	Lekeni ayo mhawi Elima, kwaapfila ayo mana ya taghwa lyake tsakahisanya nawo, kabama amtende imkulu yula we ichisiwa aleke kutoghola Ukiristu. 
ACT.13.9	Lekeni Sauli, pfipfila iyakemighwe Pauli, aku kamema Ghumuhe Mwenzeluka, kamtsodolela tsinenge Elima, 
ACT.13.10	kalonga, “Ghweghwe kwa imwana wa Setani! Ghweghwe kwa mwihile wa chila chinu chinoghile! Kumema ughutsu na ung'enye wose. Ghamatsuwa ghose ng'uleka bae kutsihinya nzila itsigholoke tse Imtwatsa! 
ACT.13.11	Lelo ghumoko ghwe Imtwatsa ghutsokuhigha, naghwe kutsakuwa chimbughumbughu, ng'utsakwona bae litsua kwa ichipindi chino.”
ACT.13.11	Bahala ukungu ne ichisi pfimtsila mnenge, kaghenda kuno na kuno, kabama imunu wa kumkinda ghumoko yamlongotse. 
ACT.13.12	Ayula imkulu we ichisiwa haghonile ighalawile, kamtoghola Yesu, kakangawala kwa malangulitso ghe Imtwatsa
ACT.13.13	Kuya Pauli na weyaghe wadina mnumbwi kulawa Pafo wapfika Periga, ghumji ighuli Pamfiliya, baho Yohane Maliki kawaleka, koya Yerusalemu. 
ACT.13.14	Lekeni wawo waghendelela na ghumwanza kulawa Periga mbaka Antiyokiya ako Pisidiya. Litsuwa lya Sabato wengila mne ing'anda ye ukulombela, wakala hasi. 
ACT.13.15	Ichitabu cha malaghitso gha Musa ne ichitabu cha manabii we Imulungu hapfisomighwe, iwakulu we ing'anda ya ukulombela watuma imbuli kwa tsina Pauli, wawalongela, “Wandughu, ka mna imbuli yo ukuwalongela iwanu wano, walongeleni.” 
ACT.13.16	Pauli kenuka, kawapungila ghumoko kalonga,
ACT.13.16	“Mwemwe Waisiraeli weyangu, na mwemwe iwanu wangi yamumpfuka Imulungu mnitegheletse! 
ACT.13.17	Imulungu we iwanu wano wa Isiraeli tsakawasaghula aba tsetu, kawabaliki iwanu awo hala hawang'ali wahenza mne isi ya Misiri, kuya kwa uwetso wake mkulu kawalapfa mne isi ayo. 
ACT.13.18	Kwa miyaka ka alubaini kawadudumila akula kunyika. 
ACT.13.19	Naye tsakaghahinya makabila saba mne isi ya Kanani, na kuweng'a iwanu wake isi ila iwe yawo. 
ACT.13.20	Agha ghose ghakala kwa miyaka miya nne hamsini.
ACT.13.20	“Hambele, Imulungu kaweng'a walamutsi iwanu wake mbaka mne matsuwa gha Samweli, nabii we Imulungu. 
ACT.13.21	Kuya iwanu walomba wawe ne imndewa, Imulungu kaweng'a Sauli, imwana wa Kishi wa kabila lya Benjamini yawe mndewa wawo kwa chipindi cha miyaka alubaini. 
ACT.13.22	Imulungu hamlapfile Sauli, kamsaghula Daudi yawe mndewa wawo. Imulungu kamlonga pfino Daudi, ‘Nimwona Daudi imwana wa Yese, ka imunu yaghunoghele ghumoyo ghwangu. Yeye katsotenda aghala ghose ghanibama yaghatende.’ 
ACT.13.23	Kulawa mne lukolo lwa Daudi, Imulungu kawaghalila iwanu wa Isiraeli Mkombotsi Yesu, ka pfalongile. 
ACT.13.24	Hala Yesu ng'ana yanduse isang'ano yake, Yohane tsakawapetela iwanu wose wa Isiraeli watsileke nzambi na wabatitsighwe. 
ACT.13.25	Naye Yohane hang'ali yomalitsa isang'ano yake, kalonga, ‘Mwemwe mwolonga nene mkombotsi? Nene si yula bae yamumbeta. Ila ayo kakutsa kuchughu kwangu na nene sibamighwa bae kudohola imitsabi ye imikwabatsa yake.’
ACT.13.26	“Ndughu tsangu, watsukulu wa Abrahamu, namwe iwanu iwali si Wayahudi yamumpfuka Imulungu, imbuli ino ya ukombotsi ighalighwa kuna twetwe. 
ACT.13.27	Iwanu wa Yerusalemu na iwakulu wawo ng'awamtangile bae Yesu ka iyo imkombotsi, apfo watimilitsa mbuli tse manabii we Imulungu itsisomighwa chila litsuwa lya Sabato kwa kumuwamba mna msalaba. 
ACT.13.28	Hata ka ng'awonile bae imbuli iimtenda yakomighwe, wamlomba Pilato yamuhighe yamkome. 
ACT.13.29	Hawamalitse kughatenda ghose ghandikilighwe yeye mne Ghamaandiko, wamhulumsa kulawa mna msalaba, wamwika mne likabuli. 
ACT.13.30	Lekeni Imulungu kamtsilihula, 
ACT.13.31	na kwa ghamatsuwa mengi ang'ali yakoneka na awala iwang'ali wakwanga naye kulawa Galilaya kughenda Yerusalemu. Hawo sambi wa iwakalangama wake kwa iwanu wa Isiraeli. 
ACT.13.32	Na twetwe twompetelani mwemwe imbuli inoghile, mbuli ila Imulungu yelaghane ne iwabala wetu. 
ACT.13.33	Kaitimilitsa kuna twetwe watsukulu wawo kwa kumtsilihula Yesu ka pfayandikighwe mne Tsaburi ya kabili,
ACT.13.33	“Ghweghwe kwa imwanangu,
ACT.13.33	leloli niwa Aba wako.”
ACT.13.34	Kuya mne imbuli ya ukumtsilihula aleke kwola, Imulungu kalonga apfi,
ACT.13.34	“Nitsomwing'ani mwemwe tsibalaka tsa kweli itsideghete,
ACT.13.34	tsanilaghane na Daudi.”
ACT.13.35	Na hanu hangi mne Tsaburi holonga,
ACT.13.35	“Ng'utsomleka bae Mwenzeluka wako yole.”
ACT.13.36	Lekeni kwa Daudi ng'aiwile apfo bae, kwaapfila Daudi tsakamalitsa kumtumikila Imulungu mne ughima wake, kuya kafa, katsikighwa hamwe na aba tsake na lukuli lwake lwola. 
ACT.13.37	Lekeni ayula iyatsilihulighwe ne Imulungu, ng'olile bae.
ACT.13.38	“Apfo wandughu tsangu nobama mmanye ka kubitila Yesu, imbuli ya kuleghusighwa nzambi yopetighwa kuna mwemwe, 
ACT.13.39	na chila imunu iyomtoghola Yesu koleghusighwa nzambi tsake, chinu ing'achidahika bae kwa ghamalaghitso gha Musa. 
