MAT.1.1	Kitabu cha lukolo lwa Yesu Kilisito mzukulu wa Daudi, mzukulu wa Abulahamu.
ROM.8.7	Wanhu wokweleleza vilulonda lukuli woihila na Mulungu. Kwavija hawagagoga Malagizo ga Mulungu na hawadaha kugagoga. 
ROM.8.8	Wanhu wokweleleza vilulonda lukuli hawadaha kumnogeza Mulungu.
ROM.8.9	Lakini mweye, kamba Loho wa Mulungu kokala mgati mmwenu, hamulongozigwa na lukuli, ila molongozigwa na Loho. Kamba munhu yoyose kaduhu Loho wa Kilisito, munhu ayo heli wa Kilisito bule. 
ROM.8.10	Lakini kamba Kilisito kokala mgati mmwenu, hata kamba ng'huli zenu zofa mbuli ya nzambi, Loho kowatenda muwe wagima, kwavija Mulungu kawatenda munoge mgameso gake. 
ROM.8.11	Kamba Loho wa Mulungu yamzilibule Yesu kwa wafile kokala mgati mmwenu, avo ayo Mulungu yamzilibule Kilisito kwa wafile vivija kozizilibula ng'huli zenu zifaga, kotenda avo kubitila Loho wake, yokala mgati mmwenu.
ROM.8.12	Avo ndugu zangu, tuna ng'honde, tolondeka seketukale kamba vizilonda ng'huli zetu. 
ROM.8.13	Avo mwahakala kamba vizilonda ng'huli zenu, mofa, lakini kamba mozileka nzambi zenu kubitila Loho, mokuwa wagima. 
ROM.8.14	Kwavija wanhu wolongozigwa na Loho wa Mulungu wao wana wa Mulungu. 
ROM.8.15	Kwavija Mulungu hawagwelele bule Loho wa kuwatenda muwe watumwa kabili na kuwagela bwembwe, lakini kawagwaa Loho wa kuwatenda wana. Na kwa udahi wa Loho tomkema Mulungu, “Tata!” 
ROM.8.16	Nayo Loho mwenyego kolagusa hamoja na loho zetu kuwa tweye twa wana wa Mulungu. 
ROM.8.17	Kwavija tweye twa wanage, kotugwaa ganogile gayawekile wanhu zake, vivija tweye hamoja na Kilisito topata gaja gayamwikile, kamba tugaya nayo, vivija toupata ukulu wake.
ROM.8.18	Kwavija nojuwa magayo ga kipindi kino hagabanzile ukulu uja wonda ugubuligwe kumwetu. 
ROM.8.19	Vinhu vose viumbigwe vobetela kwa kusulukila ng'hani, Mulungu vonda yalaguse welihi wao wanage. 
ROM.8.20	Kwavija vinhu viumbigwe vitendigwa voneke si kinhu bule, siyo kwa kulonda venyego, lakini kamba viyalondile Mulungu. Hata ivo chabaho cha kutamanila, 
ROM.8.21	kuwa vinhu viumbigwe hana siku volekesigwa muutumwa wa kunangika na vokwingila muukulu wa kubwihila wa wana wa Mulungu. 
ROM.8.22	Kwavija tojuwa mbaka sambi baha, vinhu vose viumbigwe vogutilila kwa usungu kamba usungu wa kulela mwana. 
ROM.8.23	Lakini siyo vinhu viumbigwe viiyeka avo vigutilila kwa usungu, lakini tweye vivija tuli na Loho, yakalile nhunza ya ichanduso ya Mulungu, togutilila mgati kwa mgati, kuno tobetela Mulungu yatutende wanage na kutulekesa mna zing'huli zetu. 
ROM.8.24	Kwavija kwa kutamanila avo tukomboligwa, lakini twahachona acho kitubetela, tamanilo dijo hadifaya. Nani yotamanila kija kiyaone? 
ROM.8.25	Lakini kamba totamanila kija tung'hali hatunachona, tokibeta kwa kufunga umoyo.
ROM.8.26	Vivo ili, Loho mwenyego kotutaza tweye kuna ukunyolila kwetu. Kwavija hatujuwile kija kitulondeka kumpula Mulungu. Loho mwenyego kotupulila kwa Mulungu kwa kugutilila kuleka kulongeka. 
ROM.8.27	Ayo yolola mmizoyo yetu, kojuwa viyogesa Loho, kwavija Loho kowapulila wanhu wa Mulungu kamba viyolonda Mulungu.
ROM.8.28	Tojuwa kuwa mna ivinhu vose Mulungu kosang'hana vinogile kwa waja womnogela Mulungu, waja yawakemile watende goyolonda. 
ROM.8.29	Kwavija wanhu yawajuwile Mulungu toka mwaka, awo yawabagule waigale na Mwanage, muladi Imwana yawe mwana wa chaudele mulukolo lukulu. 
ROM.8.30	Avo waja wabaguligwe na Mulungu, wao yawakemile, na waja yawakemile, kawatenda wanoge mgameso gake, na waja yawatendile wanoge mgameso gake, wao yakalile nao muukulu wake.
ROM.8.31	Mzimbuli zose zino, tulonge choni, Mulungu yahawa ubanzi wetu, nani yodaha kututenda mbuli yoyose? 
ROM.8.32	Mulungu hamonele bazi hata Mwanage mwenyego, lakini kamulava mbuli ya tweye wose! Kamba katugwaa Mwanage, vino vivija honda yatugwee bule vinhu vose? 
ROM.8.33	Vino nani yonda yawalavile vitala wanhu wasaguligwe na Mulungu? Mulungu mwenyego kawatenda wanoge mgameso gake! 
ROM.8.34	Vino nani yonda yawataguse kuwa wabananga? Kuduhu! Kwavija Yesu Kilisito kafa, abaho kazilibuka kwa wafile, sambi kokala muukulu mwambu wa mkono wa kudila wa Mulungu, nayo ayo yotupulila kwa Mulungu. 
ROM.8.35	Vino nani yodaha kutugola na unogelwa wa Kilisito? Vino mbuli ya magayo hebu udala wa kupata vilondeka hebu madununzo hebu lufilili lwa nzala hebu ukiwa hebu zumozumo hebu ifa? 
ROM.8.36	Kamba Maandiko Gang'alile vigalonga,
ROM.8.36	“Mbuli yako, tweye twa mdizumozumo da kufa imisi na ikilo.
ROM.8.36	Tuigala na ng'hondolo wochola kuchinjigwa.”
ROM.8.37	Bule, mzimbuli zose zino tuhuma ng'hani kubitila heyo yotunogela tweye! 
ROM.8.38	Kwavija niye nojuwa goya kuduhu kinhu kidaha kutugola na unogelwa wake, si ifa hebu ugima hebu wasenga wa kuulanga hebu wakulu wayagwe wa kuulanga, si kipindi cha sambi hebu kipindi chonda kize, hebu udahi wowose, 
ROM.8.39	si kuulanga hebu hasi kuwochola wanhu wafile, hebu mna ivinhu vose viumbigwe, kuduhu kidaha kutugola na unogelwa wa Mulungu uli kwa Yesu Kilisito Mndewa wetu.
ROM.9.1	Niye nolonga ukweli, niye na munhu wa Kilisito, avo siviza bule. Moyo wangu, kwa kuitogolela na Loho Yang'alile, wonongela kamba silonga uvizi bule. 
ROM.9.2	Nolonga vino, kwavija nonyunyuwala ng'hani na usungu uli muumoyo haumala bule, 
ROM.9.3	mbuli ya Wayahudi wayangu, na wanhu wa lukolo lwangu, mbuli ya kuwataza nahadahile kupula niduiligwe na Mulungu na mbaguligwe na Kilisito. 
ROM.9.4	Awo wao Wayahudi, wasaguligwe na Mulungu wawe wanage, kawalagusila ukulu wake, kailagana nao, kawagwaa Malagizo gake, na vija viwolondeka kumtambikila na gaja gayalongile. 
ROM.9.5	Awo wao wazukulu wa wahenga wa Waebulania, nayo Kilisito muuunhu wake kalawa mulukolo lwao. Mulungu yotawala mna ivose, yatogoligwe siku zose! Ona.
ROM.9.6	Silonga bule Mulungu kalemelwa kutenda kija kiyalongile, kwavija siyo wanhu wose wa Izilaeli wao wanhu wa Mulungu. 
ROM.9.7	Vivija siyo lukolo lose lwa Abulahamu wao wanage Mulungu. Kwavija Mulungu kamulongela Abulahamu, “Lukolo lwako lolawa kwa Isaka.” 
ROM.9.8	Avo siyo wana wose wa Abulahamu waleligwe kwa lukuli wao wana wa Mulungu, lakini wana waleligwe kubitila kija kiyalongile Mulungu, awo wao lukolo lwa Abulahamu. 
ROM.9.9	Kwavija kija kiyalongile Mulungu acho kino, “Mna ikipindi kinogile nobwela na Sala kolela mwana.”
ROM.9.10	Na haimalile baho bule, ila Lebeka kalela wana wabili kwa tata imoja, nayo iyo Isaka muhenga wetu. 
ROM.9.11	Lakini wana wao wabili wang'hali hawanavumbuka na wang'hali hawanajuwa kutenda ganogile hebu gehile, muladi Mulungu yaoneke kana udahi wa kusagula, 
ROM.9.12	na yahasagula kosagula kamba viyolonda mwenyego, na siyo mbuli ya kija kiyatendile munhu, lakini kwa kija kiyalongile, “Imkulu komsang'hanila imdodo.” 
ROM.9.13	Kamba Maandiko Gang'alile vigalonga, “Nimnogela Yakobo, lakini nimwihila Esau.”
ROM.9.14	Vino tulonge choni? Mulungu kobagula? Bule habagula bule. 
ROM.9.15	Kwavija kamulongela Musa, “Nomtendela ganogile munhu yoyose inimulonda, na nomonela bazi munhu yoyose inimulonda.” 
ROM.9.16	Avo kila kinhu chotamanila bazi da Mulungu siyo viyolonda munhu hebu viyosang'hana munhu. 
ROM.9.17	Kwavija Maandiko Gang'alile gomulongela vino Falao, “Niye nikutenda mndewa, muladi kubitila gweye ndaguse udahi wangu na twaga jangu dijuwike mwiisi yose.” 
ROM.9.18	Avo, Mulungu komonela bazi munhu yoyose yoomulonda na komtenda munhu yoyose yoomulonda yawe mdala kutogola.
ROM.9.19	Lakini imoja wenu konilongela, “Kamba vino vivo ili, habali Mulungu kolonga tubananga? Nani yodaha kugalema goyolonda Mulungu?” 
ROM.9.20	Gweye mbwigangu kwa nani umwidika Mulungu? Vino kitumbe chodaha kumuuza munhu yakilumbile, “Habali unilumbile vino?” 
ROM.9.21	Avo munhu yalumbile kitumbe kodaha kukisang'hanila kamba viyolonda. Kodaha kulumba vitumbe vibili muulongo uuja, kitumbe kimoja kwa sang'hano ng'hulu na kiyagwe kwa sang'hano ndoo ndodo.
ROM.9.22	Vivo ili kwa kija kiyatendile Mulungu. Kalonda kulagusa ng'hasiliki yake na kutenda udahi wake ujuwike, lakini kafunga umoyo na kuwonela bazi wanhu wose walondeke kutagusigwa, wanhu walondeke kubanangigwa. 
ROM.9.23	Nayo mwenyego kalonda kulagusa ukulu wake, viyatonele bazi tweye wanhu zake, yatusagule toka mwaka tubokele ukulu wake. 
ROM.9.24	Avo tweye twa wanhu tukemigwe, siyo kulawa kwa Wayahudi waiyeka, lakini vivija kulawa kwa wanhu haweli Wayahudi. 
ROM.9.25	Kamba viyolonga Mndewa mkitabu cha mtula ndagu Hosea,
ROM.9.25	“Wanhu haweli wangu,
ROM.9.25	nowakema, ‘Wanhu zangu.’
ROM.9.25	Ija simnogele,
ROM.9.25	nomkema, ‘Nomnogela.’
ROM.9.26	Na hanhu hawalongeligwe, ‘Hamwili wanhu zangu,’
ROM.9.26	baho wokemigwa wana wa Mulungu yeli mgima.”
ROM.9.27	Nayo Isaya mtula ndagu wa Mulungu kalonga kwa kukemelela mbuli ya wanhu wa Izilaeli, “Hata kamba wanhu wa Izilaeli wengi kamba msanga wa mhwani, lakini wanhu wonda wakomboligwe wokuwa wadodo. 
ROM.9.28	Kwavija Mndewa kolopola kumambukiza kuwatagusa wanhu wa mwiisi.” 
ROM.9.29	Kamba Isaya viyalongile ako kukisogo, “Maza Mndewa yeli na udahi sambi yatulekele wanhu wayagwe mulukolo, twahabanangike kamba wanhu wa Sodoma na Gomola.”
ROM.9.30	Avo tulonge choni? Wanhu haweli Wayahudi hawatendile kinhu muladi watendigwe wanoge mgameso ga Mulungu, lakini kwa kumtamanila, Mulungu kawatenda wanoge mgameso gake. 
ROM.9.31	Wanhu wa Izilaeli wakalile wozahila malagizo muladi watendigwe wanoga na Mulungu, lakini hawagapatile malagizo ga kuwatenda wanoge mgameso ga Mulungu. 
ROM.9.32	Habali hawagapatile? Hawagapatile kwavija hawekile tamanilo jao kwa Mulungu lakini watamanila gaja gawakalile wosang'hana. Avo waikwala, “mwiing'walo ya dibwe.” 
ROM.9.33	Kamba vigolonga Maandiko Gang'alile,
ROM.9.33	“Loleni nokwika dibwe ako Sayuni
ROM.9.33	donda diwatende wanhu waikwale,
ROM.9.33	dibwe kulu donda diwalagaze wanhu.
ROM.9.33	Lakini munhu yoyose yonda yamtogole honda yagwe kinyala.”
ROM.10.1	Ndugu zangu, moyo wangu wolonda ng'hani na nowapulila kwa Mulungu Waizilaeli wayangu wakomboligwe! 
ROM.10.2	Nokona kuwa wowamba ng'hani kumnogeza Mulungu, lakini kuwamba kwao hakutimilike kwavija hawaujuwile ukweli wose. 
ROM.10.3	Kwavija hawajuwile vija Mulungu viyowatenda wanhu wanoge mgameso gake, lakini wao watenda viwogesa, avo walema kutogola vija Mulungu viyowatenda wanhu wanoge mgameso gake. 
ROM.10.4	Kwavija Kilisito viyezile, keza kugamambukiza Malagizo, avo munhu yoyose yomtogola Kilisito kotendigwa kanoga mgameso ga Mulungu.
ROM.10.5	Mbuli ya kutendigwa kunoga mgameso ga Mulungu kwa kugagoga Malagizo, Musa kandika vino, “Munhu yoyose yogoga Malagizo kokuwa mgima kwa Malagizo.” 
ROM.10.6	Lakini mbuli ya kutendigwa kunoga mgameso ga Mulungu kwa kumtamanila, Maandiko Gang'alile golonga vino, “Sekeuiuze mwenyego, nani yonda yachole kuulanga kumuhumulusa Kilisito?” 
ROM.10.7	“Vivija sekeuiuze, nani yonda yachole hasi kowochola wanhu wafile kumzilibula Kilisito?” 
ROM.10.8	Maandiko Gang'alile golonga, “Usenga wa Mulungu wa behi na gweye, wa mumulomo wako na muumoyo wako,” nao, awo usenga wa kumtamanila Mulungu, utuwapetela wanhu. 
ROM.10.9	Wahalonga kwa mulomo wako kuwa Yesu ayo Mndewa na kotogola muumoyo wako kuwa Mulungu kamzilibula kwa wafile, kokomboligwa. 
ROM.10.10	Kwavija wahatogola muumoyo wako, kotendigwa kunoga mgameso ga Mulungu na wahalonga kwa mulomo wako kokomboligwa. 
ROM.10.11	Maandiko Gang'alile golonga, “Munhu yoyose yomtogola honda yageligwe kinyala.” 
ROM.10.12	Mulungu hawabagula Wayahudi na wanhu haweli Wayahudi, kwavija wose Mndewa wao imoja, nayo kowatendela ganogile wanhu wose wompula. 
ROM.10.13	Kwavija Maandiko Gang'alile golonga, “Munhu yoyose yopula kwa twaga da Mndewa kokomboligwa.”
ROM.10.14	Vino wompulaze kamba hawamtogole? Na womtogolaze kamba hawauhulike usenga wake? Na wouhulikaze usenga kamba kuduhu munhu wa kuwapetela? 
ROM.10.15	Wanhu wopetaze usenga kamba hawatumigwe? Kamba Maandiko Gang'alile vigalonga, “Lola vivinogile kwiza kwa wanhu wopeta Mbuli Inogile!” 
ROM.10.16	Lakini siyo wose waitogola Mbuli Inogile ya Mulungu. Kwavija Isaya mtula ndagu wa Mulungu kalonga, “Mndewa, nani yautogole usenga wetu?” 
ROM.10.17	Avo munhu komtamanila Mulungu kwa kuuhulika usenga, usenga awo wokwiza kwa kupetigwa kwa mbuli inogile ya Kilisito.
ROM.10.18	Lakini niye nouza, vino hawauhulike usenga? Ona, kuuhulika wauhulika, kwavija Maandiko Gang'alile golonga,
ROM.10.18	“Nyangi zao zihulikigwa mwiisi yose,
ROM.10.18	mbuli zao zivika kuuhelelo wa isi.”
ROM.10.19	Nouza kabili, vino wanhu wa Izilaeli hawajuwa bule? Mulungu kalonga kwa mulomo wa Musa,
ROM.10.19	“Nowatenda mweye wanhu zangu muwonele migongo,
ROM.10.19	wanhu wa isi iyagwe
ROM.10.19	nowatenda muwagevuzikile
ROM.10.19	wanhu wabozi wa isi ziyagwe.”
ROM.10.20	Mulungu kagangamiza kulonga kwa mulomo wa Isaya,
ROM.10.20	“Wanhu walekile kunizahila wanyona,
ROM.10.20	niwalawilila wanhu walekile kuuza mbuli zangu.”
ROM.10.21	Lakini mbuli ya Izilaeli, Mulungu kolonga, “Imisi yose niwenulila makono gangu kuwabokela wanhu woleka kunihulika na wononga vihile.”
ROM.11.1	Nouza, vino Mulungu kowalema Wayahudi wanhu zake mwenyego? Bule, hawalema! Niye mwenyego na Mwiizilaeli, mzukulu wa Abulahamu, kabila da Benjamini. 
ROM.11.2	Mulungu hawalemile bule wanhu zake, yawasagule toka mwaka. Vino hamujuwile bule Maandiko Gang'alile vigalonga mbuli ya Eliya viyamuyalalile Mulungu mbuli ya wanhu wa Izilaeli? 
ROM.11.3	Kalonga, “Mndewa, wawakoma watula ndagu zako na kubomola kila upango wako wa kulavila nhosa. Niye niiyeka ayo nisigale na wao wolonda kung'homa.” 
ROM.11.4	Vino Mulungu kamwidikaze? Kamwidika vino, “Niye mwenyego niikila wanhu gana miyanza malongo saba waja hawamtambikile Baali yaitendile mulungu.” 
ROM.11.5	Sambi vivo ili, hana wanhu kidogo wasigala mna iwanhu wasaguligwe na Mulungu kwa ng'hekewa yake. 
ROM.11.6	Avo wasaguligwa kwa ng'hekewa ya Mulungu, siyo mbuli ya gaja gawasang'hane. Maza Mulungu kosagula wanhu kwa gaja goyosang'hana, baho ng'hekewa yake sambi iwe ng'hekewa bule.
ROM.11.7	Vino, wanhu wa Izilaeli wakipata kija kiwakalile wokizahila? Bule, lakini waja wasaguligwe na Mulungu wakipata, wayagwe wafumbigwa sekewajuwe. 
ROM.11.8	Kamba Maandiko Gang'alile vigalonga, “Mulungu kaifunga mizoyo yao na nzewele zao, mbaka lelo hawadaha kulola hebu kuhulika.”
ROM.11.9	Nayo Daudi kolonga,
ROM.11.9	“Nyimwili nyimwili zao ziwe mtego wa kuwanamata,
ROM.11.9	waikwale na watagusigwe!
ROM.11.10	Meso gao gafumbigwe sekewadahe kulola,
ROM.11.10	migongo yao iveduke mbuli ya kugaya siku zose.”
ROM.11.11	Nouza kabili, vino Wayahudi viwaikwalile na kugwa hawenuke kabili? Bule haili avo, kwavija Wayahudi watenda nzambi, wanhu haweli Wayahudi wakomboligwa, avo Wayahudi wowonela migongo. 
ROM.11.12	Nzambi za Wayahudi zigala vinhu vingi vinogile kwa wanhu wa mwiisi, na kulemelwa kwa Wayahudi kugala vinhu vingi vinogile kwa wanhu haweli Wayahudi. Avo kamba Wayahudi wahasang'hana goyolonda Mulungu wogala vinhu vingi ng'hani vinogile.
ROM.11.13	Sambi nolonga na mweye wanhu hamwili Wayahudi, kwavija niye na mtumigwa wa wanhu haweli Wayahudi, noigodela sang'hano yangu. 
ROM.11.14	Nogesa nodaha kuwatenda Wayahudi wayangu wawonele migongo mweye, avo ndahe kuwakombola wayagwe wao. 
ROM.11.15	Kwavija Wayahudi viwalemigwe, wanhu wose wa mwiisi wailumba na Mulungu. Sambi yokuwaze kamba wahatogoligwa? Wanhu wafile wozilibuka!
ROM.11.16	Kamba kihande cha ichanduso cha gate kilavigwa kwa Mulungu, avo gate jose dilavigwa kwa Mulungu, na kamba mzizi wa mbiki ulavigwa kwa Mulungu, vivija na matambi gake galavigwa kwa Mulungu. 
ROM.11.17	Kamba matambi gayagwe ga mzeituni wamumgunda gakanhigwa na tambi da mzeituni wa kumuhulo diombekigwa, avo mweye wanhu hamwili Wayahudi wao tambi da mzeituni wa kumuhulo. Sambi momweda kwa kupata vinhu vingi vinogile kulawa kwa Wayahudi. 
ROM.11.18	Avo sekemuwabeze waja wose wakanhigwe kamba matambi, moigodela choni? Mweye mwa matambi, hamuigogeleza mizizi, ila mizizi yowagogeleza mweye.
ROM.11.19	Lakini molonga, “Matambi gakanhigwa muladi niye niombekigwe mmwake.” 
ROM.11.20	Ona molonga. Wakanhigwa kwavija hawatogole, mweye musola hanhu hao kwavija mutogola. Lakini sekemuigodele mbuli ayo, ila dumbeni. 
ROM.11.21	Kamba Mulungu kagakanha matambi gakalile hanhu hake, vino viugesa kokonela bazi gweye? 
ROM.11.22	Loleni Mulungu viyeli na bazi na viyeliduhu mwangalo. Mulungu kaduhu mwangalo kwa waja watendile nzambi, lakini kokonela bazi kamba wahagendelela kutamanila bazi jake. Wahaleka kutenda avo vivija kokanhigwa. 
ROM.11.23	Wayahudi wahaleka kulema kutogola kwao, woombekigwa kabili, kwavija Mulungu kodaha kuwaombeka kabili. 
ROM.11.24	Mweye wanhu hamwili Wayahudi mukanhigwa kulawa mumzeituni wa kumuhulo na muombekigwa mumzeituni wa mumgunda, hanhu haheli henu, avo vibuha ng'hani kwa Mulungu kugaombeka matambi gakanhigwe mumbiki wao wenyego.
ROM.11.25	Ndugu zangu, nolonda muijuwe mbuli ino ifisigwe, muladi sekemuyone mwa wabala ng'hani, Wayahudi hawamtegeleze Mulungu kwa kipindi kidodo, mbaka wanhu haweli Wayahudi walondeke kumbwelela Mulungu wenele. 
ROM.11.26	Wanhu wose wa Izilaeli wokomboligwa, kamba vigalonga Maandiko Gang'alile,
ROM.11.26	“Mkombola kokwiza kulawa Sayuni
ROM.11.26	kowatenda wanhu wa lukolo lwa Yakobo waleke nzambi zao.
ROM.11.27	Vino vivo vonda niilagane nao,
ROM.11.27	nahasegeza nzambi zao.”
ROM.11.28	Kwavija Wayahudi wailema Mbuli Inogile, waihila na Mulungu mbuli ya mweye wanhu hamwili Wayahudi. Lakini kwavija wasaguligwa, wang'hali wonogeligwa na Mulungu mbuli ya wahenga zao. 
ROM.11.29	Kwavija Mulungu yahamsagula munhu na kumgwaa nhunza, hagesa habali yatendile vivo. 
ROM.11.30	Baho umwaka mweye wanhu hamwili Wayahudi hamumtegeleze Mulungu, lakini sambi Mulungu kowonela bazi kwavija Wayahudi waleka kumtegeleza. 
ROM.11.31	Vivo ili, kwavija Mulungu kawonela bazi mweye, na sambi Wayahudi nao hawamtegeleza Mulungu, muladi na wao vivija Mulungu yawonele bazi. 
ROM.11.32	Kwavija Mulungu kawagodeka wanhu wose sekewamtegeleze muladi yawonele bazi wanhu wose.
ROM.11.33	Loleni Mulungu viyanogile! Mulungu mbala ng'hani na kana nzewele ng'hani! Nani yodaha kugasimulila gaja goyolonda kusang'hana? Nani yodaha kuzijuwa nzila zake? 
ROM.11.34	Kamba vigalonga Maandiko Gang'alile,
ROM.11.34	“Nani yazijuwile nzewele za Mndewa?
ROM.11.34	Nani yodaha kumgwaa magesa?
ROM.11.35	Nani yasongile kumgwaa kinhu Mulungu,
ROM.11.35	ili Mulungu yambwelezele?”
ROM.11.36	Kwavija vinhu vose viumbigwa na Mulungu, na vose vabaho kubitila Mulungu na vabaho mbuli yake. Mulungu yagweleligwe ukulu siku zose! Ona.
ROM.12.1	Avo, ndugu zangu, kwavija Mulungu kana bazi ng'hani, nowapula ng'hani, ilaveni wenyego kwa Mulungu kamba nhosa ili ngima. Ilaveni wenyego kamba wanhu mung'alile na kumnogeza Mulungu. Ino ayo nzila inogile ya kumtambikila Mulungu. 
ROM.12.2	Sekemukweleleze vowotenda wanhu wa mwiisi ino, lakini mulekeni Mulungu yaigaluse mizoyo yenu kwa kugalusa vija vimugesa. Baho modaha kugajuwa goyolonda Mulungu, gaja ganogile na gomnogela heyo na kija kitimilike.
ROM.12.3	Kwavija Mulungu kanigwaa ng'hekewa, avo nowalongela mweye mose, sekemuitende munoga ng'hani kubanza vija vimulondeka kuwa, lakini nzewele zenu ziigale na tamanilo diyawagwelele Mulungu. 
ROM.12.4	Avo, mulukuli kuna maungo mengi, kila maungo gana sang'hano yake. 
ROM.12.5	Vivo ili kumwetu tweye, hamoja twa wengi, twa maungo mulukuli lwa Kilisito, na kila imoja wetu ni maungo ga miyage. 
ROM.12.6	Avo kila munhu vitwili kana nhuza yake, kamba Mulungu viyatugwee ng'hekewa. Kamba munhu kagweleligwa nhunza ya kulagula usenga wa Mulungu yatende vivo kamba viyomtamanila Mulungu. 
ROM.12.7	Munhu yagweleligwe nhunza ya kusang'hana yasang'hane, na munhu yagweleligwe nhunza ya kufundiza yafundize. 
ROM.12.8	Munhu yagweleligwe nhunza ya kuwagangamiza wayagwe yatende vivo. Munhu yomgolela miyage kinhu, yatende vivo kwa moyo unogile. Munhu yowalongoza wanhu, yawalongoze goya. Munhu yowonela bazi wanhu, yatende vivo kwa kusamhuka.
ROM.12.9	Unogelwa wenu uwe wa ukweli, gehileni gehile, gagogeni ganogile. 
ROM.12.10	Mwiinogele ng'hani kamba ndugu, kila munhu tanhu yamgese miyage kubanza mwenyego. 
ROM.12.11	Sang'haneni ng'hani, sekemuwe wanyeke. Msang'hanileni Mndewa kwa kuwamba. 
ROM.12.12	Kumtamanila kwenu Mulungu kuwatende mudeng'helele, mwahagaya beteleni kwa kufunga umoyo, mpuleni Mulungu siku zose. 
ROM.12.13	Wagweleleni vinhu wanhu wa Mulungu waliduhu, na wabokeleni wageni kwa moyo unogile.
ROM.12.14	Mpuleni Mulungu yawatendele ganogile wanhu wose wowadununza mweye, ona, mpuleni Mulungu yawatendele ganogile siyo yawaduile. 
ROM.12.15	Deng'heleleni hamoja na waja wodeng'helela, lileni hamoja na waja wolila. 
ROM.12.16	Kaleni goya mweye kwa mweye, sekemuigode, togoleni kusang'hana na wanhu wokoneka siyo kinhu. Sekemuyone muna nzewele ng'hani.
ROM.12.17	Kamba munhu kakutendela gehile, sekeumbwelezele gehile. Tenda ganogile mgameso ga wanhu wose. 
ROM.12.18	Mweye wenyego wambeni ng'hani mukale na wanhu wose kwa moyo uholile. 
ROM.12.19	Mbwiga zangu, sekemulipe gehile, lakini lekeni ng'hasiliki ya Mulungu itende vivo. Kwavija Maandiko Gang'alile golonga, “Mndewa kolonga, niye iyo yonda nilipe gehile.” 
ROM.12.20	Lakini, vivija Maandiko Gang'alile golonga, “Kamba munhu yakwihile kokona nzala mgwee lujo yaje, yahakona ng'hilu mgwee mazi yang'we, kwavija kwa kutenda avo komtenda yagwe kinyala na kohulika usungu muumoyo wake kamba usungu wa kumkutulila makala ga moto mdipala.” 
ROM.12.21	Sekeutogole gehile gakuhume, lakini gahume gehile kwa ganogile.
ROM.13.1	Kila munhu yawategeleze watawala wa isi, kwavija utawala wose wolawa kwa Mulungu. Utawala wose uli mziisi wikigwa baho na Mulungu. 
ROM.13.2	Avo, munhu youlema utawala wa mwiisi kolema kija kiyekile Mulungu, na munhu yoyose yotenda vivo koigalila mwenyego nhaguso yake. 
ROM.13.3	Kwavija watawala wa mziisi hawadumbigwa na wanhu wotenda ganogile, lakini wodumbigwa na wanhu wotenda gehile. Avo gweye wahalonda sekeuwadumbe watawala wa mziisi sang'hana ganogile, na wao wokutogola. 
ROM.13.4	Kwavija wao ni wasang'hanaji wa Mulungu, wokusang'hanila ganogile. Lakini wahasang'hana gehile baho wadumbe, kwavija wao wana udahi wa kutagusa. Wao ni wasang'hanaji wa Mulungu na wolagusa ng'hasiliki ya Mulungu kwa wanhu wotenda gehile. 
ROM.13.5	Kwa mbuli ayo wategelezeni watawala wa mwiisi, siyo mbuli ya ng'hasiliki ya Mulungu iiyeka, lakini kwavija vivo viulonda moyo usang'hane.
ROM.13.6	Lekaavo mweye molipa kodi, kwavija watawala wa mwiisi ni wasang'hanaji wa Mulungu, nao wowasang'hanila mweye. 
ROM.13.7	Mulipe kila munhu fungu jake, lipa kodi kwa munhu yobokela kodi, lipa ushulu kwa munhu yobokela ushulu, munhu wa kumdumba mdumbe, munhu wa kumtegeleza mtegeleze.
ROM.13.8	Sekemudaigwe kinhu chochose, lakini mudaigwe kuwanogela waenu. Munhu yotenda vivo kogagoga Malagizo gose ga Musa. 
ROM.13.9	Malagizo gano, “Sekeutende ugoni, sekeukome, sekewibe, sekeusulukile vinhu va miyago,” na Malagizo gose gayagwe gekigwa mna dilagizo dino dimoja, “Mnogele miyago kamba viuinogela mwenyego.” 
ROM.13.10	Wahamnogela miyago honda umtendele gehile, avo kuinogela ako kugagoga Malagizo gose.
ROM.13.11	Molondeka mutende vino, kwavija mojuwa kipindi chenu cha kulamuka muutulo kivika, kwavija ukombozi wetu wa mmabehi ng'hani sambi kubanza vitusongile kumtogola Yesu. 
ROM.13.12	Sambi kilo chomala na imisi ya mmabehi. Tuleke kusang'hana mbuli zisang'hanigwa mdiziza, tusole silaha za kuitowela mmulenge. 
ROM.13.13	Tukaleni goya kamba viwokala wanhu imisi, seketukale kwa umelo mna zinyimwili nyimwili hebu kwa kukoligwa hebu kwa dikwe hebu kwa ugoni hebu kwa kugomba na kuyonela migongo. 
ROM.13.14	Lakini muilumbe na Mndewa Yesu Kilisito, sekemugese kukweleleza vizilonda ng'huli zenu.
ROM.14.1	Wabokeleni wanhu waja kumtamanila kwao Mulungu hakunagangamala goya, sekemuibamilile nao kwavija wogesa viyagwe. 
ROM.14.2	Wanhu hawaigalile bule, wanhu wayagwe womtamanila Mulungu na woja kinhu chochose, lakini wanhu waja kumtamanila kwao Mulungu hakunagangamala goya woja mboga mboga ziiyeka. 
