GEN.1.1	No princípio, Deus criou os céus e a terra.
EZR.8.17	Enviei-os a Ido, chefe dos levitas em Casifia, para que pedissem a ele, a seus parentes e aos servidores do templo que nos enviassem ministros para o templo de Deus, em Jerusalém.
EZR.8.18	Visto que a bondosa mão de nosso Deus estava sobre nós, eles nos enviaram Serebias, junto com 18 de seus filhos e parentes. Era um homem inteligente, descendente de Mali, descendente de Levi, filho de Israel.
EZR.8.19	Também nos enviaram Hasabias, junto com Jesaías, dos descendentes de Merari, 20 de seus filhos e parentes, 
EZR.8.20	e 220 servidores do templo. Os servidores do templo eram assistentes dos levitas, um grupo de trabalhadores do templo instituído pelo rei Davi e por seus oficiais. Todos estavam registrados por nome.
EZR.8.21	Ali, junto ao canal de Aava, ordenei que todos nós jejuássemos e nos humilhássemos diante de nosso Deus. Oramos para que ele nos proporcionasse uma viagem segura e nos protegesse, como também a nossos filhos e a nossos bens. 
EZR.8.22	Pois tive vergonha de pedir ao rei soldados e cavaleiros para nos acompanhar e nos proteger de inimigos ao longo do caminho. Afinal, tínhamos dito ao rei: “A bondosa mão de nosso Deus está sobre todos que o adoram, mas seu poder e sua ira estão contra todos que o abandonam”. 
EZR.8.23	Assim, jejuamos e pedimos com fervor que nosso Deus cuidasse de nós, e ele atendeu à nossa oração.
EZR.8.24	Nomeei doze chefes dos sacerdotes — Serebias, Hasabias e outros dez sacerdotes — 
EZR.8.25	para ficarem encarregados do transporte da prata, do ouro e dos outros objetos que o rei, seu conselho, seus oficiais e todo o povo de Israel haviam doado para o templo de Deus. 
EZR.8.26	Pesei o tesouro ao entregá-lo, e seu total era:
EZR.8.26	22.750 quilos
EZR.8.26	3.500 quilos
EZR.8.26	3.500 quilos de ouro,
EZR.8.27	20 tigelas de ouro, cada uma pesando 8,6 quilos;
EZR.8.27	2 utensílios finos de bronze polido, tão valiosos como ouro.
EZR.8.28	Eu disse aos sacerdotes: “Vocês e esses tesouros foram consagrados ao S
EZR.8.29	Guardem bem esses tesouros até que os apresentem aos líderes dos sacerdotes, aos levitas e aos chefes de família de Israel, que os pesarão nos depósitos do templo do S
EZR.8.30	Os sacerdotes e os levitas aceitaram a responsabilidade de transportar esses tesouros de prata e de ouro até o templo de nosso Deus, em Jerusalém.
EZR.8.31	Levantamos acampamento junto ao canal de Aava, no dia 19 de abril,
EZR.8.32	Assim, chegamos em segurança a Jerusalém, onde descansamos por três dias.
EZR.8.33	No quarto dia depois de nossa chegada, a prata, o ouro e os utensílios valiosos foram pesados no templo de nosso Deus e entregues a Meremote, filho do sacerdote Urias. Estavam com ele Eleazar, filho de Fineias, e os levitas Jozabade, filho de Jesua, e Noadias, filho de Binui. 
EZR.8.34	Pesaram e contaram tudo, e o peso total foi registrado oficialmente.
EZR.8.35	Os exilados que haviam regressado do cativeiro ofereceram holocaustos ao Deus de Israel. Apresentaram 12 touros por todo o povo de Israel, 96 carneiros e 77 cordeiros. Também apresentaram 12 bodes como oferta pelo pecado. Tudo isso foi oferecido como holocausto ao S
EZR.8.36	Os decretos do rei foram entregues aos oficiais que ocupavam os cargos mais elevados e aos governadores da província a oeste do rio Eufrates,
EZR.9.1	Depois que essas coisas foram feitas, os líderes judeus vieram e me disseram: “Muitos israelitas, e até mesmo alguns sacerdotes e levitas, não se mantiveram separados dos outros povos que habitam nesta terra. Adotaram as práticas detestáveis dos cananeus, dos hititas, dos ferezeus, dos jebuseus, dos amonitas, dos moabitas, dos egípcios e dos amorreus. 
EZR.9.2	Os homens de Israel se casaram com mulheres desses povos e as tomaram como esposas para seus filhos. A descendência santa se contaminou por meio desses casamentos mistos. E, pior ainda, os líderes e os oficiais foram os primeiros a cometer essa infidelidade”.
EZR.9.3	Quando ouvi isso, rasguei minha túnica e meu manto, arranquei cabelos da cabeça e da barba e me sentei, absolutamente pasmo. 
EZR.9.4	Então todos que tremiam diante das palavras do Deus de Israel vieram e sentaram-se comigo por causa dessa infidelidade cometida pelos exilados que haviam regressado. E fiquei sentado ali, atônito, até o sacrifício da tarde.
EZR.9.5	Na hora do sacrifício, levantei-me de onde havia sentado em lamentação, com as roupas rasgadas. Caí de joelhos, ergui as mãos ao S
EZR.9.6	e orei:
EZR.9.6	“Ó meu Deus, estou profundamente humilhado e tenho vergonha de levantar meu rosto para ti. Pois nossos pecados se elevam acima de nossa cabeça, e nossa culpa chegou até os céus. 
EZR.9.7	Desde os dias de nossos antepassados até agora, temos vivido cheios de pecado. Por isso, nós, nossos reis e nossos sacerdotes fomos entregues nas mãos dos reis da terra. Fomos mortos, capturados, roubados e desprezados, como acontece hoje.
EZR.9.8	“Agora, porém, a graça do S
EZR.9.9	Éramos escravos, mas, em seu amor leal, nosso Deus não nos abandonou na escravidão. Em vez disso, fez os reis da Pérsia nos tratarem com bondade. Ele renovou nossas forças, para que reconstruíssemos o templo de nosso Deus e restaurássemos suas ruínas. Deu-nos um muro de proteção em Judá e em Jerusalém.
EZR.9.10	“Agora, ó nosso Deus, o que podemos dizer depois de tudo isso? Pois, mais uma vez, abandonamos teus mandamentos! 
EZR.9.11	Tu nos advertiste por meio de teus servos, os profetas, quando eles disseram: ‘A terra em que estão entrando está inteiramente contaminada pelas práticas detestáveis dos povos que nela habitam. Está cheia de corrupção, de uma extremidade à outra. 
EZR.9.12	Não permitam que suas filhas se casem com os filhos deles, nem tomem as filhas deles como esposas para seus filhos. Jamais promovam a paz e a prosperidade dessas nações. Se seguirem essas instruções, serão fortes, desfrutarão das coisas boas que a terra produz e deixarão essa prosperidade como herança para seus filhos para sempre’.
EZR.9.13	“Tudo que nos aconteceu é castigo de nossa maldade e de nossa grande culpa. Ainda assim, recebemos um castigo muito menor do que merecíamos, pois tu, nosso Deus, permitiste que alguns de nós sobrevivêssemos como um remanescente. 
EZR.9.14	E, no entanto, quebramos teus mandamentos outra vez e nos casamos com pessoas que praticam essas coisas detestáveis. Acaso tua ira não será suficiente para nos destruir, a ponto de não sobreviver nem mesmo este pequeno remanescente? 
EZR.9.15	Ó S
EZR.10.1	Enquanto Esdras orava e fazia essa confissão, chorando e com o rosto no chão diante do templo de Deus, uma grande multidão de israelitas — homens, mulheres e crianças — se reuniu e chorou amargamente com ele. 
EZR.10.2	Então Secanias, filho de Jeiel, descendente de Elão, disse a Esdras: “Fomos infiéis a nosso Deus, pois nos casamos com mulheres estrangeiras, dos povos desta terra. Apesar disso, há esperança para Israel. 
EZR.10.3	Façamos agora uma aliança com nosso Deus, firmando que nos divorciaremos de nossas esposas estrangeiras e as mandaremos embora com seus filhos. Seguiremos seu conselho e o conselho dos outros que tremem diante dos mandamentos de nosso Deus. Que tudo seja feito de acordo com a lei de Deus. 
EZR.10.4	Levante-se, pois é seu dever nos dizer como corrigir esta situação. Nós o apoiaremos; portanto, seja forte e faça o que tem de ser feito!”.
EZR.10.5	Então Esdras se levantou e exigiu que os líderes dos sacerdotes, os levitas e todo o povo de Israel jurassem que fariam o que Secanias tinha dito. E todos fizeram um juramento solene. 
EZR.10.6	Em seguida, Esdras se retirou de diante do templo de Deus e foi à sala de Joanã, filho de Eliasibe. Não bebeu nem comeu nada enquanto esteve ali, pois ainda lamentava a infidelidade dos exilados que haviam regressado.
EZR.10.7	Depois disso, foi feita uma proclamação por todo o Judá e Jerusalém, para que todos os que vieram do exílio se reunissem em Jerusalém. 
EZR.10.8	Aqueles que não viessem em três dias perderiam todas as suas propriedades e seriam expulsos da comunidade dos exilados, conforme a decisão dos líderes e das autoridades.
EZR.10.9	Dentro de três dias, todo o povo de Judá e de Benjamim havia se reunido em Jerusalém. A reunião aconteceu no dia 19 de dezembro,
EZR.10.10	Então o sacerdote Esdras se levantou e disse: “Vocês agiram de modo infiel. Aumentaram a culpa de Israel ao se casar com mulheres estrangeiras. 
EZR.10.11	Agora, confessem seu pecado ao S
EZR.10.12	Toda a comunidade respondeu em alta voz: “Você tem razão! Faremos o que disse! 
EZR.10.13	No entanto, não é algo que possa ser feito em um dia ou dois, pois há muitos de nós envolvidos neste grande pecado. E agora é a estação das chuvas, portanto não podemos ficar aqui fora por muito mais tempo. 
EZR.10.14	Que nossos líderes decidam por toda a comunidade. Todo aquele que tiver uma esposa estrangeira virá num dia marcado, acompanhado das autoridades e dos juízes de sua cidade, para que a ira ardente de nosso Deus a esse respeito seja afastada de nós”.
EZR.10.15	Os únicos que se opuseram à proposta foram Jônatas, filho de Asael, e Jazeías, filho de Ticvá, apoiados por Mesulão e pelo levita Sabetai.
EZR.10.16	Foi esse, portanto, o plano que seguiram. Esdras escolheu líderes para representarem suas famílias e designou cada representante por nome. No dia 29 de dezembro,
EZR.10.17	Assim, em 27 de março, o primeiro dia do novo ano,
EZR.10.18	Os sacerdotes que se casaram com mulheres estrangeiras foram:
EZR.10.18	Da família de Jesua, filho de Jeozadaque,
EZR.10.19	Assumiram o compromisso de divorciar-se de suas esposas, e cada um ofereceu um carneiro como sacrifício por causa de sua culpa.
EZR.10.20	Da família de Imer: Hanani e Zebadias.
EZR.10.21	Da família de Harim: Maaseias, Elias, Semaías, Jeiel e Uzias.
EZR.10.22	Da família de Pasur: Elioenai, Maaseias, Ismael, Natanael, Jozabade e Elasa.
EZR.10.23	Os levitas culpados desse pecado foram: Jozabade, Simei, Quelaías (também chamado Quelita), Petaías, Judá e Eliézer.
EZR.10.24	O cantor culpado desse pecado foi: Eliasibe.
EZR.10.24	Os porteiros culpados desse pecado foram: Salum, Telém e Uri.
EZR.10.25	Os outros israelitas culpados desse pecado foram:
EZR.10.25	Da família de Parós: Ramias, Jezias, Malquias, Miamim, Eleazar, Malquias e Benaia.
EZR.10.26	Da família de Elão: Matanias, Zacarias, Jeiel, Abdi, Jeremote e Elias.
EZR.10.27	Da família de Zatu: Elioenai, Eliasibe, Matanias, Jeremote, Zabade e Aziza.
EZR.10.28	Da família de Bebai: Joanã, Hananias, Zabai e Atlai.
EZR.10.29	Da família de Bani: Mesulão, Maluque, Adaías, Jasube, Seal e Jeremote.
EZR.10.30	Da família de Paate-Moabe: Adna, Quelal, Benaia, Maaseias, Matanias, Bezaleel, Binui e Manassés.
EZR.10.31	Da família de Harim: Eliézer, Issias, Malquias, Semaías, Simeão, 
EZR.10.32	Benjamim, Maluque e Semarias.
EZR.10.33	Da família de Hasum: Matenai, Matatá, Zabade, Elifelete, Jeremai, Manassés e Simei.
EZR.10.34	Da família de Bani: Maadai, Anrão, Uel, 
EZR.10.35	Benaia, Bedias, Queluí, 
EZR.10.36	Vanias, Meremote, Eliasibe, 
EZR.10.37	Matanias, Matenai e Jaasai.
EZR.10.38	Da família de Binui:
EZR.10.39	Selemias, Natã, Adaías, 
EZR.10.40	Macnadbai, Sasai, Sarai,
EZR.10.41	Azareel, Selemias, Semarias, 
EZR.10.42	Salum, Amarias e José.
EZR.10.43	Da família de Nebo: Jeiel, Matitias, Zabade, Zebina, Jadai, Joel e Benaia.
EZR.10.44	Todos esses homens se casaram com mulheres estrangeiras, e alguns tiveram filhos com essas esposas.
NEH.1.1	Estas são as memórias de Neemias, filho de Hacalias.
NEH.1.1	No mês de quisleu, no vigésimo ano do reinado do rei Artaxerxes,
NEH.1.2	Hanani, um de meus irmãos, veio me visitar com alguns homens que haviam chegado de Judá. Perguntei-lhes a respeito dos judeus que haviam regressado do cativeiro e da situação em Jerusalém.
NEH.1.3	Eles responderam: “As coisas não vão bem para os que regressaram à província de Judá. Eles estão passando por dificuldades e humilhações. O muro de Jerusalém foi derrubado, e suas portas foram destruídas pelo fogo”.
NEH.1.4	Quando ouvi isso, sentei-me e chorei. Durante alguns dias, lamentei, jejuei e orei ao Deus dos céus. 
NEH.1.5	Então disse:
NEH.1.5	“Ó S
NEH.1.6	ouve minha oração! Olha do alto e vê que oro noite e dia por teu povo, Israel. Confesso que temos pecado contra ti. Sim, minha própria família e eu temos pecado! 
NEH.1.7	Temos pecado terrivelmente contra ti. Não temos obedecido a teus mandamentos, decretos e estatutos, que nos deste por meio de teu servo Moisés.
NEH.1.8	“Por favor, lembra-te do que disseste a teu servo Moisés: ‘Se forem infiéis a mim, eu os dispersarei entre as nações, 
NEH.1.9	mas, se voltarem para mim e obedecerem a meus mandamentos e viverem de acordo com eles, então, mesmo que estejam exilados nos confins da terra,
NEH.1.10	“O povo que tu resgataste com teu grande poder e com tua forte mão é teu servo. 
NEH.1.11	Ó Senhor, por favor, ouve a oração deste teu servo! Ouve as orações de teus servos que se agradam em te honrar. Peço que me concedas êxito hoje e que o rei me seja favorável”.
NEH.1.11	Nesse tempo, eu era copeiro do rei.
NEH.2.1	No mês de nisã,
NEH.2.2	O rei me perguntou: “Por que está com o rosto tão triste? Você não parece doente. Deve estar profundamente angustiado”.
NEH.2.2	Fiquei com muito medo, 
NEH.2.3	mas respondi: “Que o rei viva para sempre! Como meu rosto não pareceria triste? A cidade onde estão sepultados meus antepassados está em ruínas, e suas portas foram destruídas pelo fogo”.
NEH.2.4	“O que você deseja que eu faça?”, perguntou o rei.
NEH.2.4	Depois de orar ao Deus dos céus, 
NEH.2.5	respondi: “Se lhe parecer bem, e se o rei for favorável a mim, seu servo, peço que me envie a Judá para reconstruir a cidade onde meus antepassados estão sepultados”.
NEH.2.6	O rei, com a rainha sentada ao seu lado, perguntou: “Quanto tempo você ficará ausente? Quando voltará?”. Respondi ao rei quanto tempo ficaria ausente, e ele atendeu a meu pedido.
NEH.2.7	Disse também: “Se lhe parecer bem, gostaria que o rei me desse cartas para levar aos governadores da província a oeste do rio Eufrates,
NEH.2.8	Peço ainda que o rei me dê uma carta para levar a Asafe, administrador da floresta real, com instruções para que me forneça madeira. Precisarei desse material para as vigas das portas da fortaleza junto ao templo, para o muro da cidade e para minha própria casa”. O rei atendeu a esses pedidos, pois a bondosa mão de Deus estava sobre mim.
NEH.2.9	Fui aos governadores da província a oeste do rio Eufrates e lhes entreguei as cartas do rei. Além disso, o rei enviou oficiais do exército e cavaleiros para me protegerem. 
NEH.2.10	Mas, quando Sambalate, o horonita, e Tobias, o oficial amonita, souberam de minha chegada, ficaram muito irritados porque alguém veio promover o bem dos israelitas.
NEH.2.11	Assim, cheguei a Jerusalém. Três dias depois, 
NEH.2.12	saí discretamente durante a noite, levando comigo uns poucos homens. Não havia contado a ninguém os planos para Jerusalém que Deus tinha colocado em meu coração. Não levamos nenhum animal de carga além daquele que eu montava. 
NEH.2.13	Depois que escureceu, saí pela porta do Vale, passei pelo poço do Chacal
NEH.2.14	Em seguida, fui à porta da Fonte e ao tanque do Rei, mas, por causa do entulho, não havia espaço para meu animal passar. 
NEH.2.15	Por isso, embora ainda estivesse escuro, subi pelo vale de Cedrom
NEH.2.16	Os oficiais da cidade não sabiam aonde eu tinha ido nem o que estava fazendo, pois não havia contado meus planos a ninguém. Ainda não tinha falado com os líderes judeus: os sacerdotes, os nobres, os oficiais e outros que realizariam o trabalho. 
NEH.2.17	Mas, então, eu lhes disse: “Vocês sabem muito bem da terrível situação em que estamos. Jerusalém está em ruínas, e suas portas foram destruídas pelo fogo. Venham, vamos reconstruir o muro de Jerusalém e acabar com essa vergonha!”. 
NEH.2.18	Então lhes contei como a mão de Deus tinha estado sobre mim e lhes relatei minha conversa com o rei.
NEH.2.18	Eles responderam: “Sim, vamos reconstruir o muro!”, e ficaram animados para realizar essa boa obra.
NEH.2.19	Mas, quando Sambalate, o horonita, Tobias, o oficial amonita, e Gesém, o árabe, souberam de nosso plano, zombaram de nós com desprezo e perguntaram: “O que estão fazendo? Estão se rebelando contra o rei?”.
NEH.2.20	Eu lhes respondi: “O Deus dos céus nos dará êxito. Nós, seus servos, começaremos a reconstruir este muro. Vocês, porém, não têm nenhuma parte, nenhum direito legal ou histórico sobre Jerusalém”.
NEH.3.1	Então o sumo sacerdote Eliasibe e os outros sacerdotes começaram a reconstruir a porta das Ovelhas. Eles a consagraram, colocaram as portas no lugar e reconstruíram o muro até a torre dos Cem, que também consagraram, e até a torre de Hananel. 
NEH.3.2	Os habitantes da cidade de Jericó trabalharam ao lado deles, e mais adiante estava Zacur, filho de Inri.
NEH.3.3	A porta do Peixe foi construída pelos filhos de Hassenaá. Colocaram as vigas, levantaram as portas e puseram os ferrolhos e as trancas. 
NEH.3.4	Meremote, filho de Urias e neto de Hacoz, consertou o trecho seguinte do muro. Ao seu lado estava Mesulão, filho de Berequias e neto de Mesezabel, e mais adiante, Zadoque, filho de Baaná. 
NEH.3.5	Os habitantes de Tecoa consertaram o trecho seguinte, embora seus líderes se recusassem a trabalhar com os supervisores da construção.
NEH.3.6	Os reparos da porta Antiga
NEH.3.7	Ao lado deles estavam Melatias, de Gibeom, Jadom, de Meronote, homens de Gibeom e homens de Mispá, cidades sob a autoridade do governador da província a oeste do rio Eufrates.
NEH.3.8	Uziel, filho de Haraías, ourives de profissão, consertou o trecho seguinte, e mais adiante estava Hananias, fabricante de perfumes. Reconstruíram Jerusalém até o muro Largo.
NEH.3.9	Refaías, filho de Hur, governador de metade do distrito de Jerusalém, trabalhou ao lado deles no muro. 
NEH.3.10	No trecho seguinte, Jedaías, filho de Harumafe, consertou o muro em frente de sua própria casa, e ao lado dele estava Hatus, filho de Hasabneias. 
NEH.3.11	Em seguida vinham Malquias, filho de Harim, e Hassube, filho de Paate-Moabe, que consertaram outra parte do muro e a torre dos Fornos. 
NEH.3.12	Salum, filho de Haloes, e as filhas dele, consertaram o trecho seguinte. Salum era governador da outra metade do distrito de Jerusalém.
NEH.3.13	Os reparos da porta do Vale foram realizados pelos habitantes de Zanoa, sob a liderança de Hanum. Levantaram as portas e puseram os ferrolhos e as trancas. Também consertaram os 450 metros
NEH.3.14	Os reparos da porta do Esterco foram realizados por Malquias, filho de Recabe, governador do distrito de Bete-Haquerém. Ele a reconstruiu, levantou as portas e pôs os ferrolhos e as trancas.
NEH.3.15	Os reparos da porta da Fonte foram realizados por Salum, filho de Col-Hozé, governador do distrito de Mispá. Ele a reconstruiu, colocou o telhado, levantou as portas e pôs os ferrolhos e as trancas. Além disso, consertou o muro do tanque de Siloé,
NEH.3.16	Ao lado dele estava Neemias, filho de Azbuque, governador de metade do distrito de Bete-Zur. Ele reconstruiu o muro desde o lugar em frente dos túmulos da família de Davi até o reservatório de água e até a Casa dos Guerreiros.
NEH.3.17	Os reparos do trecho seguinte foram realizados por um grupo de levitas que trabalharam sob a supervisão de Reum, filho de Bani. Depois deles vinha Hasabias, governador de metade do distrito de Queila, representando seu distrito. 
NEH.3.18	No trecho seguinte trabalharam seus parentes, liderados por Binui,
NEH.3.19	Ézer, filho de Jesua, governador do distrito de Mispá, consertou o trecho seguinte do muro, desde o lugar em frente da subida para a casa das armas até a esquina do muro. 
NEH.3.20	Mais adiante, Baruque, filho de Zabai, consertou com grande zelo o trecho desde a esquina do muro até a entrada da casa do sumo sacerdote Eliasibe. 
NEH.3.21	Meremote, filho de Urias e neto de Hacoz, reconstruiu o trecho do muro desde a entrada da casa de Eliasibe até o fim da casa.
NEH.3.22	Os reparos do trecho seguinte foram realizados pelos sacerdotes que moravam ao redor da cidade. 
NEH.3.23	Ao seu lado, Benjamim e Hassube consertaram o trecho em frente de suas casas, e Azarias, filho de Maaseias e neto de Ananias, consertou o trecho ao lado de sua casa. 
NEH.3.24	Em seguida vinha Binui, filho de Henadade, que consertou o trecho desde a casa de Azarias até a esquina do muro. 
NEH.3.25	Palal, filho de Uzai, consertou o trecho em frente da esquina do muro e da torre do palácio real, ao lado do pátio da guarda. Ao lado dele estavam Pedaías, filho de Parós, 
NEH.3.26	e os servidores do templo que moravam na colina de Ofel, que consertaram o muro até o lugar em frente da porta das Águas, a leste, e da torre do palácio. 
NEH.3.27	Mais adiante, os habitantes de Tecoa consertaram outro trecho, desde o lugar em frente da grande torre alta até o muro de Ofel.
NEH.3.28	Os reparos acima da porta dos Cavalos foram realizados pelos sacerdotes; cada um consertou o trecho do muro em frente de sua própria casa. 
NEH.3.29	Depois deles, Zadoque, filho de Imer, também consertou o trecho do muro em frente de sua casa. Ao seu lado estava Semaías, filho de Secanias, guarda da porta Oriental. 
NEH.3.30	Hananias, filho de Selemias, e Hanum, sexto filho de Zalafe, consertaram o trecho seguinte, enquanto Mesulão, filho de Berequias, consertou o trecho em frente de onde ele morava. 
NEH.3.31	Malquias, um dos ourives, consertou o muro até as casas para os servidores do templo e para os negociantes, em frente da porta da Guarda; então continuou o trabalho até a sala superior da esquina. 
NEH.3.32	Os outros ourives e negociantes consertaram o muro desde a sala superior da esquina até a porta das Ovelhas.
NEH.4.2	Disse na presença de seus companheiros e dos oficiais do exército samaritano: “O que esse punhado de judeus fracos pensa que está fazendo? Imaginam que serão capazes de construir o muro em um dia só porque ofereceram alguns sacrifícios?
NEH.4.3	Tobias, o amonita, estava ao seu lado e comentou: “Basta uma raposa subir lá, e esse muro de pedra desaba!”.
NEH.4.4	Então orei: “Ouve-nos, nosso Deus, pois estamos sendo ridicularizados. Que essa zombaria caia sobre a cabeça deles, e que eles próprios se tornem prisioneiros numa terra estrangeira! 
NEH.4.5	Não ignores sua culpa. Não apagues seus pecados, pois provocaram tua ira aqui, diante
NEH.4.6	Por fim, o muro foi reconstruído até metade de sua altura ao redor de toda a cidade, pois o povo trabalhou com entusiasmo.
NEH.4.8	Eles planejaram vir, lutar contra Jerusalém e causar confusão em nosso meio. 
NEH.4.9	Mas nós oramos a nosso Deus e colocamos guardas na cidade de dia e de noite para nos proteger.
NEH.4.10	Então o povo de Judá começou a se queixar: “Os trabalhadores estão cansados, e ainda há muito entulho para remover. Não seremos capazes de construir o muro sozinhos”.
NEH.4.11	Enquanto isso, nossos inimigos diziam: “Antes que eles se deem conta do que está acontecendo, cairemos sobre eles e os mataremos, acabando com seu trabalho”.
NEH.4.12	Os judeus que moravam perto dos inimigos nos disseram diversas vezes: “Eles virão de todas as direções e nos atacarão!”.
NEH.4.13	Por isso, coloquei guardas armados atrás das partes mais baixas do muro e nos lugares mais expostos. Dividi-os por famílias, para que montassem guarda armados com espadas, lanças e arcos.
NEH.4.14	Examinei a situação, reuni os nobres, os oficiais e o restante do povo e lhes disse: “Não tenham medo do inimigo! Lembrem-se do Senhor, que é grande e temível, e lutem por seus irmãos, seus filhos, suas filhas, suas esposas e seus lares!”.
NEH.4.15	Quando nossos inimigos descobriram que sabíamos de seus planos e que Deus os havia frustrado, todos nós voltamos ao trabalho no muro. 
NEH.4.16	Dali em diante, porém, apenas metade de meus homens trabalhava, pois a outra metade ficava de guarda com lanças, escudos, arcos e couraças. Os líderes ficavam na retaguarda de todo o povo de Judá, 
NEH.4.17	que construía o muro. Os trabalhadores prosseguiram com a obra; com uma das mãos levavam as cargas, enquanto, com a outra, seguravam uma arma. 
NEH.4.18	Todos os construtores tinham uma espada presa à cintura. O tocador de trombeta ficava comigo para dar o sinal de alerta.
NEH.4.19	Então expliquei aos nobres, aos oficiais e ao restante do povo: “A obra é extensa, e estamos muito separados uns dos outros ao longo do muro. 
NEH.4.20	Quando ouvirem o toque da trombeta, corram para onde ele soar. Nosso Deus lutará por nós”.
NEH.4.21	Trabalhávamos o dia inteiro, do nascer ao pôr do sol, e metade dos homens estava sempre de guarda. 
NEH.4.22	Nessa ocasião, eu disse aos que moravam fora dos muros que passassem a noite em Jerusalém. Assim, eles e seus servos poderiam ajudar na guarda à noite e trabalhar durante o dia. 
NEH.4.23	Nenhum de nós — nem eu, nem meus parentes, nem meus servos, nem os guardas que estavam comigo — trocava de roupa. Carregávamos sempre nossas armas, até mesmo quando íamos beber água.
NEH.5.1	Por esse tempo, alguns homens e suas esposas fizeram um grande protesto contra seus irmãos judeus. 
NEH.5.2	Alguns deles diziam: “Nossas famílias são grandes; precisamos de mais alimento para sobreviver”.
NEH.5.3	Outros diziam: “Hipotecamos nossos campos, nossas videiras e nossas casas para conseguir comida durante este período de escassez”.
NEH.5.4	Ainda outros diziam: “Tomamos dinheiro emprestado para pagar os impostos do rei sobre nossos campos e vinhedos. 
NEH.5.5	Somos da mesma família que os ricos, e nossos filhos são iguais aos filhos deles. Contudo, somos obrigados a vender nossos filhos como escravos só para termos dinheiro suficiente para viver. Já vendemos algumas de nossas filhas, e não há nada que possamos fazer, pois nossos campos e vinhedos agora pertencem a outros”.
NEH.5.6	Quando ouvi essas reclamações, fiquei muito indignado. 
NEH.5.7	Depois de pensar bem na questão, repreendi os nobres e os oficiais, dizendo: “Vocês estão prejudicando seus próprios irmãos ao cobrar juros quando lhes pedem dinheiro emprestado!”. Em seguida, convoquei uma reunião pública para tratar do problema.
NEH.5.8	Na reunião, eu lhes disse: “Temos feito todo o possível para resgatar nossos irmãos judeus que se venderam a estrangeiros, mas agora vocês os vendem de volta à escravidão. Quantas vezes precisaremos resgatá-los?”. E eles não tinham nada a dizer em sua defesa.
NEH.5.9	Então prossegui: “O que vocês estão fazendo não é certo! Acaso não deviam andar no temor de nosso Deus, para evitar a zombaria das nações inimigas? 
NEH.5.10	Eu, meus irmãos e os homens que trabalham para mim temos emprestado dinheiro e cereal para o povo. Agora, porém, deixemos de cobrar juros! 
NEH.5.11	Devolvam-lhes hoje mesmo seus campos, seus vinhedos, seus olivais e suas casas. Devolvam também a centésima parte, os juros que cobraram quando lhes emprestaram dinheiro, cereais, vinho novo e azeite”.
NEH.5.12	Eles responderam: “Devolveremos tudo e não exigiremos mais nada do povo. Faremos conforme você diz”. Então chamei os sacerdotes e fiz os nobres e os oficiais jurarem que cumpririam sua promessa.
NEH.5.13	Depois, sacudi as dobras de meu manto e disse: “Que Deus assim os sacuda de seus lares e de suas propriedades se vocês não cumprirem o que prometeram! Que fiquem sem absolutamente nada!”.
NEH.5.13	Toda a comunidade respondeu: “Amém”, e louvaram o S
NEH.5.14	Durante os doze anos em que fui governador de Judá, do vigésimo ano ao trigésimo segundo ano do reinado do rei Artaxerxes,
NEH.5.15	Os governadores anteriores, no entanto, haviam colocado cargas pesadas sobre o povo; exigiam uma porção de alimento e de vinho, além de quarenta peças
NEH.5.16	Dediquei-me ao trabalho no muro e não adquiri terras. Exigi que todos os meus servos também trabalhassem no muro. 
NEH.5.17	Não pedi nada, embora 150 judeus e oficiais comessem com frequência à minha mesa, além de todos os visitantes de outras terras. 
NEH.5.18	Os suprimentos pelos quais eu pagava todos os dias eram um boi, seis das melhores ovelhas, e muitas aves. Além disso, a cada dez dias, precisávamos de uma grande quantidade de vinhos de todo tipo. E, no entanto, não cobrei o tributo de alimentação a que o governador tinha direito, pois o trabalho que o povo realizava já representava uma carga pesada.
NEH.5.19	Lembra-te, ó meu Deus, de tudo que tenho feito por este povo, e abençoa-me por isso.
NEH.6.1	Sambalate, Tobias, Gesém, o árabe, e o restante de nossos inimigos descobriram que eu havia terminado de reconstruir o muro e que não restavam brechas, embora as portas ainda não tivessem sido colocadas em seus lugares. 
NEH.6.2	Então Sambalate e Gesém enviaram uma mensagem pedindo que eu me encontrasse com eles num dos povoados
NEH.6.2	Sabendo que eles planejavam me fazer mal, 
NEH.6.3	respondi com a seguinte mensagem: “Estou envolvido com uma obra muito importante e não posso ir. Por que eu deveria interromper o trabalho para me encontrar com vocês?”.
NEH.6.4	Quatro vezes eles enviaram a mesma mensagem, e cada vez lhes respondi da mesma forma. 
NEH.6.5	Na quinta vez, o servo de Sambalate trouxe nas mãos uma carta aberta, 
NEH.6.6	que dizia:
NEH.6.6	“Há um boato entre as nações vizinhas, e Gesém
NEH.6.7	Corre a notícia de que você nomeou profetas em Jerusalém para proclamarem a seu respeito: ‘Olhem! Há um rei em Judá!’.
NEH.6.7	“Pode ter certeza de que essa informação chegará ao conhecimento do rei. Sugiro, portanto, que venha conversar comigo”.
NEH.6.8	Eu lhe respondi: “Nada do que você diz é verdade. É tudo invenção sua”.
NEH.6.9	Estavam apenas tentando nos intimidar e imaginavam que iríamos interromper a obra. Assim, continuei o trabalho com determinação ainda maior.
