GEN.1.2	A terra, porém, era 
2SA.20.13	Tirado que foi Amasa da estrada, todo o povo seguiu a Joabe, para perseguir a Seba, filho de Bicri.
2SA.20.14	Joabe passou por todas as tribos de Israel até Abel, e a Bete-Maaca, e a todos os 
2SA.20.15	Foram e sitiaram-no em 
2SA.20.16	Gritou 
2SA.20.17	Tendo ele se chegado perto dela, perguntou a mulher: És tu Joabe? Respondeu ele: Sou. Ela lhe disse: Ouve as palavras da tua escrava. Disse ele: Ouço. 
2SA.20.18	A mulher prosseguiu: Antigamente, era costume dizer: Peça-se conselho em Abel; e assim punham termo às questões. 
2SA.20.19	Eu sou dentre as pacíficas e fiéis em Israel; 
2SA.20.20	Respondeu Joabe: Longe, longe de mim que eu devore ou destrua. 
2SA.20.21	A coisa não é assim. Porém um homem 
2SA.20.22	A mulher, 
2SA.20.24	Adorão, sobre os que trabalhavam forçados; Josafá, filho de Ailude, era cronista; 
2SA.20.25	Seva era secretário; Zadoque e Abiatar eram sacerdotes; 
2SA.20.26	e também 
2SA.21.1	Houve, nos dias de Davi, 
2SA.21.2	Chamou o rei aos gibeonitas e disse-lhes (Ora, os gibeonitas não eram dos filhos de Israel, mas do resto dos amorreus; e 
2SA.21.3	sim, Davi perguntou-lhes: Que quereis que eu vos faça? Com que farei expiação, 
2SA.21.4	Responderam-lhe os gibeonitas: 
2SA.21.5	Responderam ao rei: 
2SA.21.6	deem-se-nos sete de seus filhos, para que os enforquemos a 
2SA.21.7	O rei, porém, poupou a 
2SA.21.8	Mas o rei tomou os dois filhos de 
2SA.21.9	e entregou-os nas mãos dos gibeonitas, que os enforcaram no monte, diante de Jeová, e todos os sete caíram juntos. Foram mortos nos dias da ceifa, nos primeiros dias, 
2SA.21.11	Foi contado a Davi o que fizera Rispa, filha de Aiá e concubina de Saul.
2SA.21.12	Foi Davi e tomou 
2SA.21.13	Dali trouxe Davi os ossos de Saul e os de seu filho Jônatas; e recolheram os ossos dos que foram enforcados. 
2SA.21.14	Enterraram os ossos de Saul e de seu filho Jônatas na terra de Benjamim, em 
2SA.21.15	De novo, fizeram 
2SA.21.16	Isbi-Benobe, que era 
2SA.21.17	Abisai, porém, filho de Zeruia, socorreu-o, feriu ao filisteu e matou-o. Então, os homens de Davi lhe juraram, dizendo: 
2SA.21.19	Houve ainda, em Gobe, mais uma guerra contra os filisteus; e Elanã, filho de Jaaré-Oregim, belemita, matou a Golias, geteu, 
2SA.21.20	De novo, houve guerra em Gate, onde estava um homem de grande estatura, o qual tinha seis dedos em cada mão e, em cada pé, seis dedos; vinte e quatro ao todo. Este também 
2SA.21.21	Quando ele injuriava a Israel, tirou-lhe a vida Jônatas, filho de Simei, irmão de Davi. 
2SA.21.22	Esses quatro nasceram ao gigante em Gate; e caíram pela mão de Davi e pela mão dos seus servos.
2SA.22.2	e disse:
2SA.22.3	é o meu 
2SA.22.3	Ó meu salvador, da violência tu me livras.
2SA.22.4	Hei de invocar a Jeová, 
2SA.22.4	assim, serei salvo dos meus inimigos.
2SA.22.5	Porque me 
2SA.22.6	os laços da morte me apanharam.
2SA.22.7	sim, invoquei ao meu Deus.
2SA.22.7	Do seu templo ouviu a minha voz,
2SA.22.7	e o meu clamor chegou aos seus ouvidos.
2SA.22.8	Então, 
2SA.22.8	e se abalaram, porque ele se irou.
2SA.22.9	e da sua boca saiu fogo devorador,
2SA.22.10	Abaixou também os céus e desceu;
2SA.22.11	e foi visto 
2SA.22.12	ajuntamento de águas, espessas nuvens do céu.
2SA.22.13	Pelo esplendor que estava diante dele 
2SA.22.14	e o Altíssimo fez soar a sua voz.
2SA.22.15	raios, e desbaratou-os.
2SA.22.16	Então, apareceram as profundezas do mar,
2SA.22.16	descobriram-se os fundamentos do mundo,
2SA.22.16	pela repreensão de Jeová,
2SA.22.18	livrou-me do meu inimigo poderoso
2SA.22.18	e dos que me tinham ódio, porque eram mais fortes do que eu.
2SA.22.19	Vieram sobre mim no dia da minha calamidade,
2SA.22.20	livrou-me, 
2SA.22.21	retribuiu-me 
2SA.22.22	e não obrei impiamente, apartando-me do meu Deus.
2SA.22.23	e, quanto aos seus estatutos, deles não me arredei.
2SA.22.24	e guardei-me da minha iniquidade.
2SA.22.25	segundo a minha pureza diante dos seus olhos.
2SA.22.26	para com o homem perfeito, mostrar-te-ás perfeito,
2SA.22.29	e Jeová alumiará as minhas trevas.
2SA.22.30	e, com o auxílio do meu Deus, posso saltar um muro.
2SA.22.33	e faz o meu caminho perfeito.
2SA.22.36	Também me deste 
2SA.22.36	e a tua condescendência me engrandeceu.
2SA.22.37	e não vacilaram os meus artelhos.
2SA.22.38	Persegui os meus inimigos, e 
2SA.22.38	e não tornei atrás, até os consumir.
2SA.22.39	Consumi-os e os atravessei, de sorte que não se pudessem levantar.
2SA.22.39	Sim, 
2SA.22.40	Pois me cingiste de força para a peleja;
2SA.22.40	fizeste curvar-se debaixo de mim 
2SA.22.41	para que eu exterminasse os que me aborrecem.
2SA.22.45	logo que me conhecerem, obedecer-me-ão.
2SA.22.46	Os estrangeiros dissipar-se-ão
2SA.22.47	Jeová vive, e bendita seja a minha rocha!
2SA.22.49	e que me tira dentre os meus inimigos.
2SA.22.49	Tu me exaltas acima 
2SA.22.50	e entoarei louvores ao teu nome.
2SA.23.1	Estas são as últimas palavras de Davi.
2SA.23.1	Diz Davi, filho de Jessé,
2SA.23.1	e o suave salmista de Israel:
2SA.23.2	e a sua palavra está na minha língua.
2SA.23.3	Disse-me o Deus de Israel,
2SA.23.4	Manhã sem nuvens,
2SA.23.4	quando, depois da chuva, o seu esplendor faz brotar da terra a relva.
2SA.23.5	Na verdade, não é tal a minha casa para com Deus;
2SA.23.5	contudo, 
2SA.23.5	em tudo bem regulada e segura.
2SA.23.5	Pois é ele toda a minha salvação e todo o meu desejo,
2SA.23.5	ainda que ele não a faz brotar agora.
2SA.23.6	pois não podem ser tocados com a mão.
2SA.23.7	Mas, para alguém os tocar,
2SA.23.7	deve ser armado de ferro e da haste duma lança.
2SA.23.9	Depois dele, Eleazar, filho de 
2SA.23.10	Este se levantou e feriu os filisteus até lhe cansar a mão e ficar pegada à espada. Naquele dia, 
2SA.23.11	Depois dele, era Samá, filho de Agé, 
2SA.23.12	Porém este se pôs no meio do terreno, e o defendeu, e feriu os filisteus; e 
2SA.23.13	Três dos trinta cabeças desceram e foram ter com Davi, no tempo da ceifa, 
2SA.23.14	Davi estava, então, 
2SA.23.15	Davi teve desejos e disse: Quem me dera beber água do poço que está junto à porta de Belém! 
2SA.23.16	Os três valentes romperam pelo arraial dos filisteus, e tiraram água do poço que estava junto à porta de Belém, e tomaram-na, e a trouxeram a Davi. Ele não a quis beber, 
2SA.23.17	Disse: Guarda-me, Jeová, de que tal faça; 
2SA.23.19	Não era ele mais insigne do que os três? Portanto, se lhes tornou o cabeça; contudo, não chegou aos três primeiros nomeados.
2SA.23.21	Foi ele quem matou a um egípcio, homem de boa aparência; o egípcio tinha na mão uma lança, mas Benaia desceu a ele com um cajado, arrebatou-lhe da mão a lança e matou-o com ela. 
2SA.23.22	Essas coisas fez 
2SA.23.23	Ele era mais insigne do que os trinta, porém não chegou aos três primeiros. Davi pô-lo sobre a sua guarda.
2SA.23.25	Samá, 
2SA.23.26	Helez, paltita; Ira, filho Iques, 
2SA.23.27	Abiezer, 
2SA.23.28	Zalmom, aoíta; Maarai, 
2SA.23.29	Helebe, filho de Baaná, netofatita; Itai, filho de Ribai, de 
2SA.23.30	Benaia, 
2SA.23.31	Abi-Albom, arbatita; Azmavete, 
2SA.23.32	Eliaba, 
2SA.23.33	Samá, ararita; Aião, filho de Sarar, ararita; 
2SA.23.34	Elifelete, filho de Aasbai, filho do 
2SA.23.35	Hezrai, 
2SA.23.36	Igal, filho de Natã, de 
2SA.23.37	Zeleque, amonita; Naarai, 
2SA.23.38	Ira, 
2SA.23.39	e 
2SA.24.2	Disse o rei a Joabe, general do seu exército: Corre todas as tribos de Israel, 
2SA.24.3	Joabe respondeu ao rei: 
2SA.24.4	Todavia, a palavra do rei prevaleceu contra Joabe e contra os generais do exército. Saiu da presença do rei Joabe, com os generais do exército a contar o povo de Israel. 
2SA.24.5	Tendo eles passado o Jordão, acamparam-se em 
2SA.24.6	Em seguida, foram a Gileade e à terra de Tatim-Hodchi; foram a Dã-Jaã, dali virando-se para 
2SA.24.7	chegaram 
2SA.24.8	Tendo corrido toda a terra, chegaram a Jerusalém ao fim de nove meses e vinte dias. 
2SA.24.9	Deu Joabe ao rei a 
2SA.24.11	Levantando-se Davi pela manhã, veio a palavra de Jeová ao 
2SA.24.12	Vai e fala a Davi: Assim diz Jeová: Três coisas te ofereço; escolhe qual delas queres que te faça. 
2SA.24.13	Gade, indo ter com Davi, lho intimou e disse: Queres que te venham 
2SA.24.14	Respondeu Davi a Gade: Acho-me em grande aperto. Caiamos nas mãos de Jeová, 
2SA.24.15	Então, 
2SA.24.16	Quando o Anjo estendeu a mão sobre Jerusalém para a destruir, 
2SA.24.17	Davi, quando viu ao Anjo que feriu o povo, falou a Jeová: 
2SA.24.18	Veio Gade, naquele dia, ter com Davi e disse-lhe: Sobe e levanta um altar a Jeová na eira de 
2SA.24.19	Davi subiu conforme a palavra de Gade, como Jeová ordenou. 
2SA.24.20	Olhou Araúna, e, vendo que vinham ter com ele o rei e seus servos, saiu, e prostrou-se perante o rei com o rosto em terra. 
2SA.24.21	Perguntou: Por que vem o rei, meu senhor, ter com o seu servo? Respondeu Davi: Para comprar de ti a eira, para edificar um altar a Jeová, 
2SA.24.22	Araúna disse a Davi: Tome, e sacrifique o rei, meu senhor, o que bem lhe parecer; eis 
2SA.24.23	Tudo isso, ó rei, Araúna te oferece. Disse Araúna ao rei: Que Jeová, teu Deus, 
2SA.24.24	Então, disse o rei a Araúna: Não; porém to comprarei pelo que vale; não 
2SA.24.25	Edificou ali um altar a Jeová e ofereceu holocaustos e ofertas pacíficas. 
1KI.1.1	Ora, o rei Davi era já velho e de idade avançada; e, por mais que o cobrissem de roupas, não aquecia. 
1KI.1.2	Disseram-lhe os seus servos: Procure-se para o rei, meu senhor, uma jovem donzela, que esteja diante do rei, e tenha cuidado dele, e durma no seu seio, para que ele se aqueça. 
1KI.1.3	Assim, procuraram por todos os termos de Israel uma donzela formosa; acharam Abisague, 
1KI.1.4	Era a donzela sobremaneira formosa; cuidava do rei e lhe assistia; porém o rei não a conheceu.
1KI.1.6	Nunca seu pai o contrariou, dizendo: Por que fizeste isso? Ele era também de boa presença e 
1KI.1.7	Tinha inteligência com 
1KI.1.8	Mas 
1KI.1.9	Adonias imolou ovelhas, e bois, e animais cevados junto à pedra de Zoelete, que está perto de 
1KI.1.10	porém a Natã, o profeta, e a Benaia, e os valentes e a 
1KI.1.11	Então, disse Natã a Bate-Seba, mãe de Salomão: Não ouviste que Adonias, filho de Hagite, reina e que Davi, nosso senhor, não o sabe? 
1KI.1.12	Vem, agora e permite que eu te dê um conselho, para que salves a tua vida e a de teu filho Salomão. 
1KI.1.13	Vai, entra ao rei Davi e dize-lhe: Não juraste tu, ó rei, meu senhor, à tua escrava, dizendo: 
1KI.1.14	Estando tu lá falando ainda com o rei, eu também entrarei depois de ti e confirmarei as tuas palavras.
1KI.1.15	Entrou Bate-Seba ao rei na sua câmara. 
1KI.1.16	Bate-Seba inclinou-se e fez uma reverência ao rei, que perguntou: Que é o que queres? 
1KI.1.17	Respondeu-lhe ela: Meu senhor, tu juraste à tua escrava por Jeová, teu Deus, dizendo: 
1KI.1.18	Agora, eis que Adonias reina; e tu, ó rei, meu senhor, não o sabes. 
1KI.1.19	Ele imolou bois, e animais cevados, e ovelhas em abundância. Convidou todos os filhos do rei, e o sacerdote Abiatar, e a Joabe, general do exército, mas a Salomão, teu filho, não o convidou. 
1KI.1.20	Agora, ó rei, meu senhor, os olhos de todo o Israel estão sobre ti, para que lhe declares quem há de sentar-se no teu trono depois de ti. 
1KI.1.21	De outra forma, sucederá que, 
1KI.1.22	Enquanto ela ainda falava com o rei, entrou o profeta Natã. 
1KI.1.23	Avisaram ao rei, dizendo: Eis aí está o profeta Natã. Tendo entrado à presença do rei, lançou-se com o rosto em terra. 
1KI.1.24	E disse Natã: Ó rei, meu senhor, disseste tu: Adonias há de reinar depois de mim e há de sentar-se no meu trono? 
1KI.1.25	Pois desceu, hoje, e imolou bois, e animais cevados, e ovelhas em abundância, e convidou todos os filhos do rei, e os generais do exército, e ao sacerdote Abiatar. Eis que estão comendo, e bebendo diante dele, e dizendo: 
1KI.1.26	Porém não me convidou a mim, que sou servo teu, nem ao sacerdote Zadoque, nem Benaia, filho de Joiada, nem ao teu servo Salomão. 
1KI.1.27	Foi feito isso da parte do rei, meu senhor? Não declaraste ao teu servo quem havia de assentar-se no teu trono depois de ti?
1KI.1.28	O rei Davi respondeu: Chamai-me a Bate-Seba. Ela se apresentou ao rei e ficou de pé perante ele. 
1KI.1.29	O rei jurou e disse: 
1KI.1.30	que, 
1KI.1.31	Bate-Seba prostrou-se com o rosto em terra, e fez uma reverência ao rei, e disse: 
1KI.1.32	Disse o rei Davi: Chamai-me a 
1KI.1.33	Disse-lhes o rei: Tomai convosco 
1KI.1.34	O sacerdote Zadoque e o profeta Natã 
1KI.1.35	Então, subireis após ele, e ele há de vir e sentar-se no meu trono; pois há de reinar em meu lugar. A ele designei para ser príncipe sobre Israel e sobre Judá. 
1KI.1.36	Benaia, filho de Joiada, respondeu ao rei: Amém! Assim o diga também Jeová, Deus do rei, meu senhor. 
1KI.1.37	Bem como Jeová tem sido com o rei, meu senhor, assim seja ele com Salomão 
1KI.1.38	Desceu 
1KI.1.39	O sacerdote Zadoque 
1KI.1.40	Todo o povo subiu após ele, tocando flauta e alegrando-se com grande alegria, de modo que a terra retiniu com o seu clamor.
1KI.1.41	Adonias e todos os convidados que com ele estavam o ouviram, ao tempo em que tinham acabado de comer. Tendo Joabe ouvido o soar da trombeta, perguntou: Para que é este ruído da cidade alvoroçada? 
1KI.1.42	Ainda ele falava, eis que chegou 
1KI.1.43	Respondeu Jônatas a Adonias: O rei Davi, nosso senhor, constituiu rei a Salomão. 
1KI.1.44	O rei enviou com ele a Zadoque, o sacerdote, e a Natã, o profeta, e a Benaia, filho de Joiada, e aos quereteus e aos peleteus, os quais o fizeram montar na mula do rei. 
1KI.1.45	O sacerdote Zadoque e o profeta Natã ungiram-no rei em Giom; e dali subiram alegres, de modo que 
1KI.1.46	Também 
1KI.1.47	Além disso, os servos do rei foram abençoar o rei Davi, nosso senhor, dizendo: 
1KI.1.48	Também assim falou o rei: Bendito seja Jeová, Deus de Israel, que 
1KI.1.49	Todos os convidados de Adonias tremeram e levantaram-se, e cada um foi para sua parte. 
1KI.1.50	Adonias teve medo por causa de Salomão, e levantou-se, e 
1KI.1.51	Foi dito a Salomão: Adonias tem medo de Salomão, pois eis que está agarrado aos chifres do altar, dizendo: Jure-me, hoje, o rei Salomão que não fará morrer seu servo à espada. 
1KI.1.52	Salomão respondeu: Se ele se houver como homem de bem, não 
1KI.1.53	Enviou o rei Salomão, e fizeram-no descer, tirando-o do altar. Adonias veio e fez uma reverência ao rei Salomão, que lhe disse: Vai para tua casa.
1KI.2.2	Eu vou indo pelo caminho de toda a terra. 
1KI.2.3	e cumpre o serviço que é devido a Jeová, teu Deus, andando pelos seus caminhos, guardando os seus estatutos, os seus mandamentos, os seus juízos e os seus testemunhos, 
1KI.2.4	a fim de que Jeová confirme a sua palavra que falou acerca de mim, dizendo: 
1KI.2.5	Tu sabes também o que me fez Joabe, 
1KI.2.6	Faze conforme a tua sabedoria e não permitas que as suas cãs desçam em paz à sepultura. 
1KI.2.7	Porém usa de misericórdia com os filhos de Barzilai, gileadita, e 
1KI.2.8	Eis que também contigo está Simei, filho de Gera, homem benjamita, de Baurim, que me amaldiçoou com uma cruel maldição no dia em que eu ia a Maanaim. 
1KI.2.9	Agora, não o tenhas por inocente, 
1KI.2.11	Os dias que Davi reinou sobre Israel foram quarenta anos: em Hebrom 
1KI.2.12	Salomão sentou-se no trono de seu pai Davi, e o seu reino fortificou-se sobremaneira.
1KI.2.13	Então, foi Adonias, filho de Hagite, ter com Bate-Seba, mãe de Salomão, que lhe perguntou: 
1KI.2.14	E acrescentou: Tenho alguma coisa que te dizer. Ela tornou: Dize-a. 
1KI.2.15	Então, ele disse: Tu sabes que 
1KI.2.16	Agora, uma só coisa te peço; não ma recuses. Ela lhe disse: Fala. 
1KI.2.17	Ele disse: Fala ao rei Salomão (pois não to recusará.) 
1KI.2.18	Bate-Seba respondeu: Pois bem, eu falarei por ti ao rei.
1KI.2.19	Portanto, Bate-Seba foi ter com o rei Salomão, para lhe falar por Adonias. O rei levantou-se para a receber, e fez-lhe uma reverência, e sentou-se no seu trono, e 
1KI.2.20	Disse ela: É só uma pequena coisa que eu te peço; 
1KI.2.21	Ela disse: 
1KI.2.22	Respondeu o rei Salomão à sua mãe: Por que pedes tu a Abisague, sunamita, para Adonias? 
1KI.2.23	Jurou o rei Salomão por Jeová, dizendo: 
1KI.2.24	Agora, juro pela vida de Jeová, que me estabeleceu e me colocou no trono de Davi, meu pai, 
1KI.2.25	O rei Salomão 
1KI.2.26	Disse também o rei ao sacerdote Abiatar: 
1KI.2.27	Expulsou Salomão a Abiatar, para que não fosse sacerdote de Jeová, a fim de se cumprir 
1KI.2.28	Chegando essa notícia a Joabe 
1KI.2.29	Foi dito ao rei Salomão: Joabe fugiu para a tenda de Jeová e eis que está junto ao altar. Salomão 
1KI.2.30	Foi Benaia à tenda de Jeová e disse-lhe: Assim diz o rei: Sai para fora. Respondeu Joabe: Não sairei, porém hei de morrer aqui. Benaia deu parte disso ao rei, dizendo: Assim falou Joabe e assim me respondeu. 
1KI.2.31	Disse-lhe o rei: 
1KI.2.32	Jeová fará recair o sangue dele sobre a sua cabeça, 
1KI.2.33	Assim, o sangue destes recairá para sempre sobre a cabeça de Joabe e sobre a cabeça da sua descendência; mas a Davi, e à sua descendência, e à sua casa, e ao seu trono dê Jeová paz para sempre. 
1KI.2.34	Subiu 
1KI.2.35	Em lugar dele, constituiu o rei por general do exército 
1KI.2.36	Mandou o rei também chamar a 
1KI.2.37	Pois fica sabendo que, no dia em que saíres e 
1KI.2.38	Respondeu Simei ao rei: Boa é essa palavra. Como disse o rei, meu senhor, assim fará o teu servo. Simei habitou em Jerusalém muitos dias.
1KI.2.39	Ao fim de três anos, fugiram dois dos servos de Simei para 
1KI.2.40	Levantou-se Simei, albardou o seu jumento e foi a Gate ter com Aquis, em busca dos seus servos; assim foi Simei e trouxe de Gate os seus servos. 
1KI.2.41	Avisou-se a Salomão que Simei tinha ido de Jerusalém a Gate e que tinha voltado. 
1KI.2.42	Então, mandou o rei chamar a Simei e lhe disse: Não te fiz eu jurar por Jeová e não te protestei, dizendo: Fica sabendo que, no dia em que saíres e andares onde quer que seja, sem falta hás de morrer? E tu me respondeste: Boa é essa palavra que acabo de ouvir. 
1KI.2.43	Por que não guardaste logo o juramento de Jeová, e a ordem que te dei? 
1KI.2.44	Disse mais o rei a Simei: 
1KI.2.45	O rei Salomão será abençoado, 
1KI.2.46	O rei deu ordem a Benaia, filho de Joiada; este saiu e agrediu a Simei, de modo que morreu. 
1KI.3.2	Entretanto, o 
1KI.3.3	Salomão amava a Jeová, 
1KI.3.5	Em Gibeão, apareceu Jeová a Salomão, 
1KI.3.6	Respondeu Salomão: Tu 
1KI.3.7	Agora, ó Jeová, meu Deus, 
1KI.3.8	Teu servo está no meio de teu povo que escolheste, 
1KI.3.9	Dá, pois, ao teu servo um coração dócil para poder julgar ao teu povo 
1KI.3.10	Agradou ao Senhor essa oração, por ter Salomão pedido uma tal coisa. 
1KI.3.11	Disse-lhe Deus: Porquanto pediste essa coisa e não pediste muitos dias, nem riquezas, nem a vida dos teus inimigos, porém pediste entendimento para discernires o que é justo, 
1KI.3.12	eis 
1KI.3.13	Também te dei o que me não pediste, a saber, riquezas e glória, de modo que não haverá nenhum dentre os reis semelhante a ti, por todos os teus dias. 
1KI.3.14	Se tu andares nos meus caminhos, guardando os meus estatutos e os meus mandamentos, como andou teu pai Davi, prolongarei os teus dias. 
1KI.3.15	Então, 
1KI.3.16	Vieram ter com o rei duas mulheres prostitutas e 
1KI.3.17	Disse-lhe uma das mulheres: Ah! Meu senhor! Eu e esta mulher moramos na mesma casa. Dei à luz um filho, estando ela comigo. 
1KI.3.18	Três dias depois de ter eu dado à luz, também esta mulher deu à luz um filho. Nós estávamos juntas; nenhuma outra pessoa estava conosco na casa, somente nós estávamos ali. 
1KI.3.19	Durante a noite, morreu o filho desta mulher, porque se deitara sobre ele. 
1KI.3.20	Levantando-se ela à meia noite, enquanto dormia a tua escrava, tirou-me do lado a meu filho, e deitou-o no seu seio, e a seu filho morto deitou-o no meu seio. 
1KI.3.21	Levantando-me eu pela manhã, para dar de mamar a meu filho, eis que estava ele morto; mas, depois de eu o ter examinado de dia, eis que não era ele o filho que me nascera. 
1KI.3.22	A outra mulher respondeu: Não é assim; mas o vivo é meu filho, e o morto é o teu. A primeira replicou: Não; mas o morto é teu filho, e o vivo é o meu. Assim falavam diante do rei.
1KI.3.23	Disse o rei: Esta diz: O que está vivo é meu filho, e o teu é o morto; e a outra responde: Não, mas teu filho é o morto, e o meu é o vivo. 
1KI.3.24	Disse, pois, o rei: Trazei-me uma espada. Trouxeram uma espada diante do rei. 
1KI.3.25	Dividi, disse o rei, em duas partes o menino que está vivo e dai metade a uma e metade a outra. 
1KI.3.26	Então, a mulher de quem era o filho que estava vivo falou ao rei 
1KI.3.27	Respondeu o rei: Dai a esta o menino vivo e de modo nenhum o mateis; esta é sua mãe. 
1KI.3.28	Todo o Israel ouviu a sentença que o rei havia proferido; tiveram medo do rei, porque 
1KI.4.1	O rei Salomão reinou sobre todo o Israel. 
1KI.4.2	Estes eram os príncipes que tinha: Azarias, filho de Zadoque, era 
1KI.4.3	Eliorefe e Aías, filhos de Sisa, secretários; Josafá, filho de Ailude, era o cronista; 
1KI.4.4	Benaia, filho de Joiada, era general do exército; Zadoque e Abiatar eram sacerdotes; 
1KI.4.5	Azarias, filho de Natã, estava sobre os 
1KI.4.6	Abisar era mordomo; e Adonirão, filho de Abda, estava sobre os que trabalhavam forçados.
1KI.4.7	Salomão tinha doze oficiais sobre todo o Israel, que proviam de mantimentos o rei e sua casa; cada um tinha que fornecer mantimento para um mês no ano. 
1KI.4.8	São estes os seus nomes: Ben-Hur, 
1KI.4.9	Ben-Dequer, em Macaz, 
1KI.4.10	Ben-Hesede, em Arubote; a este pertencia 
1KI.4.11	Ben-Abinadabe, 
1KI.4.12	Baaná, filho de Ailude, 
1KI.4.13	Ben-Geder, em 
1KI.4.14	Ainadabe, filho de Ido, em 
1KI.4.15	Aimaás, em Naftali, o qual tomou por mulher a Basemate, filha de Salomão; 
1KI.4.16	Baaná, filho de 
1KI.4.17	Josafá, filho de Parua, em Issacar; 
1KI.4.18	Simei, filho de Ela, em Benjamim; 
1KI.4.19	Geber, filho de Uri, na terra de Gileade, 
1KI.4.21	Salomão dominava sobre todos os reinos desde o 
1KI.4.22	Os víveres para a mesa de Salomão eram cada dia trinta coros de flor de farinha e sessenta coros de farinha; 
1KI.4.23	dez bois cevados, e vinte bois tirados das pastagens, e cem ovelhas, afora veados, e gazelas, e cabras monteses, e aves cevadas. 
1KI.4.24	Pois dominava ele sobre toda a região e sobre 
1KI.4.25	Em Judá e Israel, habitava cada qual em segurança, debaixo da sua videira e debaixo da sua figueira, 
1KI.4.26	Salomão tinha quarenta mil manjedouras de cavalos para os seus carros e doze mil cavaleiros. 
1KI.4.27	Os sobreditos oficiais, cada qual no seu mês, proviam de mantimentos o rei Salomão e todos os que chegavam à sua mesa; coisa nenhuma deixavam faltar. 
1KI.4.28	Também levavam cevada e palha para os cavalos e 
1KI.4.30	A sabedoria de Salomão excedia 
1KI.4.31	Era mais sábio do que todos os homens, mais sábio do que 
1KI.4.32	Falou também três mil provérbios, e foram os seus cânticos mil e cinco. 
1KI.4.33	Tratou de todas as árvores, desde o cedro que está no Líbano até o hissopo que sai da parede; tratou também dos animais, e das aves, e dos répteis, e dos peixes. 
1KI.4.34	De todos os povos vinham pessoas a ouvir a sabedoria de Salomão, da parte de todos os reis que tinham ouvido da sua sabedoria.
1KI.5.1	Enviou também 
1KI.5.2	Salomão mandou dizer a Hirão: 
1KI.5.3	Tu sabes que 
1KI.5.4	Porém, agora, 
1KI.5.5	Eis que 
1KI.5.6	Dá ordem, agora, que do Líbano me cortem cedros; os meus servos estarão com os teus; e eu pagarei o salário dos teus servos, respeitando em tudo o que determinares. Pois tu sabes que entre nós não há quem saiba cortar madeira como os sidônios.
1KI.5.7	Ao ouvir Hirão as palavras de Salomão, alegrou-se muito e disse: Bendito seja hoje Jeová, que deu a Davi um filho sábio sobre este grande povo! 
1KI.5.8	Hirão mandou dizer a Salomão: Eu ouvi o que me mandaste dizer; farei tudo o que desejas acerca das madeiras de cedro e de cipreste. 
1KI.5.9	Os meus servos as levarão do Líbano até o mar; eu delas farei jangadas para irem por mar 
1KI.5.10	Dava Hirão a Salomão madeiras de cedro e de cipreste, conforme todo o seu desejo. 
1KI.5.11	Salomão dava a Hirão para sustento da sua casa vinte mil coros de trigo e vinte coros de azeite batido; e isso fazia anualmente. 
1KI.5.12	Deu Jeová a Salomão sabedoria, como lhe havia prometido. Havia paz entre Salomão e Hirão; e fizeram ambos entre si aliança.
1KI.5.14	Enviava por seu turno ao Líbano mensalmente cada dez mil: um mês estavam no Líbano, e dois meses, em casa; e 
1KI.5.15	Salomão tinha setenta mil que levavam as cargas e oitenta mil que talhavam pedras nas montanhas, 
1KI.5.16	afora os principais oficiais que dirigiam a obra, em número de três mil e trezentos, como superintendentes dos trabalhadores. 
1KI.5.17	Pela ordem do rei, cortaram-se pedras grandes, pedras de grande preço, para que os fundamentos da casa fossem de pedras lavradas. 
1KI.5.18	Lavraram-nas os edificadores de Salomão, e os de Hirão, e 
1KI.6.2	A casa que Salomão edificou para Jeová tinha sessenta cúbitos de comprido, vinte de largo e trinta de alto. 
1KI.6.3	O pórtico diante do templo da casa estendia-se por vinte cúbitos no sentido da largura da casa e projetava-se por dez cúbitos à frente da mesma. 
1KI.6.4	Para a casa 
1KI.6.5	Contra a parede da casa, tanto do templo 
1KI.6.6	o andar de baixo tinha cinco cúbitos de largo; o do meio, seis; e o terceiro, sete, porque, pelo lado de fora, na parede da casa fez encostas, para que as vigas não estribassem nas paredes da casa. 
1KI.6.7	Ao 
1KI.6.8	A porta para as câmaras laterais do meio estava à banda direita da casa; subiam por uma escada para o andar do meio e do andar do meio, para o terceiro. 
1KI.6.9	Assim, edificou a casa e a acabou, cobrindo-a com traves e pranchas de cedro. 
1KI.6.10	Os andares que edificou contra a casa toda eram de cinco cúbitos de altura, e os ligou à casa com madeira de cedro.
1KI.6.11	Então, veio a palavra de Jeová a Salomão, dizendo: 
1KI.6.12	Quanto a esta casa que tu estás edificando, 
1KI.6.13	Habitarei no meio dos filhos de Israel 
1KI.6.15	Guarneceu as paredes da casa por dentro com tábuas de cedro, cobrindo-as por dentro com madeiras desde o soalho da casa até as traves do teto. 
1KI.6.16	Do fundo da casa, a vinte cúbitos, fez com tábuas de cedro uma divisão desde o soalho até as traves; e preparou-a por dentro para o oráculo, para o 
1KI.6.17	A casa, isto é, o templo fronteiro ao oráculo, tinha quarenta cúbitos de comprido. 
1KI.6.18	A casa por dentro estava forrada de cedro lavrado 
1KI.6.19	No meio da casa, na parte mais interior, preparou um oráculo, para pôr nele a arca da Aliança de Jeová. 
1KI.6.20	Dentro do oráculo, havia um espaço de vinte cúbitos de comprimento, vinte de largura e vinte de altura, que cobriu de ouro puro. Cobriu de cedro o altar. 
