GEN.1.1	No princípio Deus criou os céus e a terra.
PRO.31.25	Reveste-se de força e dignidade;
PRO.31.25	sorri diante do futuro.
PRO.31.26	Fala com sabedoria
PRO.31.26	e ensina com amor.
PRO.31.27	Cuida dos negócios de sua casa
PRO.31.27	e não dá lugar à preguiça.
PRO.31.28	Seus filhos se levantam e a elogiam;
PRO.31.28	seu marido também a elogia, dizendo:
PRO.31.29	“Muitas mulheres são exemplares,
PRO.31.29	mas você a todas supera”.
PRO.31.30	A beleza é enganosa, e a formosura é passageira;
PRO.31.30	mas a mulher que teme o 
PRO.31.31	Que ela receba a recompensa merecida,
PRO.31.31	e as suas obras sejam elogiadas à porta da cidade.
ECC.1.1	As palavras do mestre, filho de Davi, rei em Jerusalém:
ECC.1.2	“Que grande inutilidade!”,
ECC.1.2	diz o mestre.
ECC.1.2	“Que grande inutilidade!
ECC.1.2	Nada faz sentido!”
ECC.1.3	O que o homem ganha com todo o seu trabalho
ECC.1.3	em que tanto se esforça debaixo do sol?
ECC.1.4	Gerações vêm e gerações vão,
ECC.1.4	mas a terra permanece para sempre.
ECC.1.5	O sol se levanta e o sol se põe e depressa volta
ECC.1.5	ao lugar de onde se levanta.
ECC.1.6	O vento sopra para o sul
ECC.1.6	e vira para o norte;
ECC.1.6	dá voltas e voltas,
ECC.1.6	seguindo sempre o seu curso.
ECC.1.7	Todos os rios vão para o mar,
ECC.1.7	contudo, o mar nunca se enche;
ECC.1.7	ainda que sempre corram para lá,
ECC.1.7	para lá voltam a correr.
ECC.1.8	Todas as coisas trazem canseira.
ECC.1.8	O homem não é capaz de descrevê-las;
ECC.1.8	os olhos nunca se saciam de ver,
ECC.1.8	nem os ouvidos de ouvir.
ECC.1.9	O que foi tornará a ser,
ECC.1.9	o que foi feito se fará novamente;
ECC.1.9	não há nada novo debaixo do sol.
ECC.1.10	Haverá algo de que se possa dizer:
ECC.1.10	“Veja! Isto é novo!”?
ECC.1.10	Não! Já existiu há muito tempo,
ECC.1.10	bem antes da nossa época.
ECC.1.11	Ninguém se lembra dos que viveram na antiguidade,
ECC.1.11	e aqueles que ainda virão
ECC.1.11	tampouco serão lembrados
ECC.1.11	pelos que vierem depois deles.
ECC.1.12	Eu, o mestre, fui rei de Israel em Jerusalém. 
ECC.1.13	Dediquei-me a investigar e a usar a sabedoria para explorar tudo o que é feito debaixo do céu. Que fardo pesado Deus pôs sobre os homens! 
ECC.1.14	Tenho visto tudo o que é feito debaixo do sol; tudo é inútil, é correr atrás do vento!
ECC.1.15	O que é torto não pode ser endireitado;
ECC.1.15	o que está faltando não pode ser contado.
ECC.1.16	Fiquei pensando: Eu me tornei famoso e ultrapassei em sabedoria todos os que governaram Jerusalém antes de mim; de fato adquiri muita sabedoria e conhecimento.
ECC.1.17	Por isso me esforcei para compreender a sabedoria, bem como a loucura e a insensatez, mas aprendi que isso também é correr atrás do vento.
ECC.1.18	Pois quanto maior a sabedoria, maior o sofrimento;
ECC.1.18	e quanto maior o conhecimento, maior o desgosto.
ECC.2.1	Eu disse a mim mesmo: Venha. Experimente a alegria. Descubra as coisas boas da vida! Mas isso também se revelou inútil. 
ECC.2.2	Concluí que o rir é loucura, e a alegria de nada vale. 
ECC.2.3	Decidi entregar-me ao vinho e à extravagância, mantendo, porém, a mente orientada pela sabedoria. Eu queria saber o que vale a pena, debaixo do céu, nos poucos dias da vida humana.
ECC.2.4	Lancei-me a grandes projetos: construí casas e plantei vinhas para mim. 
ECC.2.5	Fiz jardins e pomares e neles plantei todo tipo de árvore frutífera. 
ECC.2.6	Construí também reservatórios para irrigar os meus bosques verdejantes. 
ECC.2.7	Comprei escravos e escravas e tive escravos que nasceram em minha casa. Além disso, tive também mais bois e ovelhas do que todos os que viveram antes de mim em Jerusalém. 
ECC.2.8	Ajuntei para mim prata e ouro, tesouros de reis e de províncias. Servi-me de cantores e cantoras, e também de um harém, as delícias dos homens. 
ECC.2.9	Tornei-me mais famoso e poderoso do que todos os que viveram em Jerusalém antes de mim, conservando comigo a minha sabedoria.
ECC.2.10	Não me neguei nada que os meus olhos desejaram;
ECC.2.10	não me recusei a dar prazer algum ao meu coração.
ECC.2.10	Na verdade, eu me alegrei em todo o meu trabalho;
ECC.2.10	essa foi a recompensa de todo o meu esforço.
ECC.2.11	Contudo, quando avaliei
ECC.2.11	tudo o que as minhas mãos haviam feito e o trabalho
ECC.2.11	que eu tanto me esforçara para realizar,
ECC.2.11	percebi que tudo foi inútil,
ECC.2.11	foi correr atrás do vento;
ECC.2.11	não há nenhum proveito no que se faz debaixo do sol.
ECC.2.12	Então passei a refletir na sabedoria,
ECC.2.12	na loucura e na insensatez.
ECC.2.12	O que pode fazer o sucessor do rei,
ECC.2.12	a não ser repetir o que já foi feito?
ECC.2.13	Percebi que a sabedoria é melhor que a insensatez,
ECC.2.13	assim como a luz é melhor do que as trevas.
ECC.2.14	O homem sábio tem olhos que enxergam
ECC.2.14	mas o tolo anda nas trevas;
ECC.2.14	todavia, percebi que ambos têm o mesmo destino.
ECC.2.15	Aí fiquei pensando:
ECC.2.15	O que acontece ao tolo também me acontecerá.
ECC.2.15	Que proveito eu tive em ser sábio?
ECC.2.15	Então eu disse a mim mesmo:
ECC.2.15	Isso não faz o menor sentido!
ECC.2.16	Nem o sábio, nem o tolo serão lembrados para sempre;
ECC.2.16	nos dias futuros ambos serão esquecidos.
ECC.2.16	Como pode o sábio morrer como o tolo morre?
ECC.2.17	Por isso desprezei a vida, pois o trabalho que se faz debaixo do sol pareceu-me muito pesado. Tudo era inútil, era correr atrás do vento. 
ECC.2.18	Desprezei todas as coisas pelas quais eu tanto me esforçara debaixo do sol, pois terei que deixá-las para aquele que me suceder. 
ECC.2.19	E quem pode dizer se ele será sábio ou tolo? Todavia, terá domínio sobre tudo o que realizei com o meu trabalho e com a minha sabedoria debaixo do sol. Isso também não faz sentido. 
ECC.2.20	Cheguei ao ponto de me desesperar por todo o trabalho no qual tanto me esforcei debaixo do sol. 
ECC.2.21	Pois um homem pode realizar o seu trabalho com sabedoria, conhecimento e habilidade, mas terá que deixar tudo o que possui como herança para alguém que não se esforçou por aquilo. Isso também é um absurdo e uma grande injustiça. 
ECC.2.22	Que proveito tem um homem de todo o esforço e de toda a ansiedade com que trabalha debaixo do sol? 
ECC.2.23	Durante toda a sua vida, seu trabalho é pura dor e tristeza; mesmo à noite a sua mente não descansa. Isso também é absurdo.
ECC.2.24	Para o homem não existe nada melhor do que comer, beber e encontrar prazer em seu trabalho. E vi que isso também vem da mão de Deus. 
ECC.2.25	E quem aproveitou melhor as comidas e os prazeres do que eu?
ECC.2.26	Ao homem que o agrada, Deus dá sabedoria, conhecimento e felicidade. Quanto ao pecador, Deus o encarrega de ajuntar e armazenar riquezas para entregá-las a quem o agrada. Isso também é inútil, é correr atrás do vento.
ECC.3.1	Para tudo há uma ocasião certa;
ECC.3.1	há um tempo certo para cada propósito debaixo do céu:
ECC.3.2	Tempo de nascer e tempo de morrer,
ECC.3.2	tempo de plantar
ECC.3.2	e tempo de arrancar o que se plantou,
ECC.3.3	tempo de matar e tempo de curar,
ECC.3.3	tempo de derrubar e tempo de construir,
ECC.3.4	tempo de chorar e tempo de rir,
ECC.3.4	tempo de prantear e tempo de dançar,
ECC.3.5	tempo de espalhar pedras
ECC.3.5	e tempo de ajuntá-las,
ECC.3.5	tempo de abraçar e tempo de se conter,
ECC.3.6	tempo de procurar e tempo de desistir,
ECC.3.6	tempo de guardar
ECC.3.6	e tempo de jogar fora,
ECC.3.7	tempo de rasgar e tempo de costurar,
ECC.3.7	tempo de calar e tempo de falar,
ECC.3.8	tempo de amar e tempo de odiar,
ECC.3.8	tempo de lutar e tempo de viver em paz.
ECC.3.9	O que ganha o trabalhador com todo o seu esforço? 
ECC.3.10	Tenho visto o fardo que Deus impôs aos homens. 
ECC.3.11	Ele fez tudo apropriado ao seu tempo. Também pôs no coração do homem o anseio pela eternidade; mesmo assim ele não consegue compreender inteiramente o que Deus fez. 
ECC.3.12	Descobri que não há nada melhor para o homem do que ser feliz e praticar o bem enquanto vive. 
ECC.3.13	Descobri também que poder comer, beber e ser recompensado pelo seu trabalho é um presente de Deus. 
ECC.3.14	Sei que tudo o que Deus faz permanecerá para sempre; a isso nada se pode acrescentar, e disso nada se pode tirar. Deus assim faz para que os homens o temam.
ECC.3.15	Aquilo que é, já foi,
ECC.3.15	e o que será, já foi anteriormente;
ECC.3.15	Deus investigará
ECC.3.16	Descobri também que debaixo do sol:
ECC.3.16	No lugar da justiça havia impiedade;
ECC.3.16	no lugar da retidão, ainda mais impiedade.
ECC.3.17	Fiquei pensando:
ECC.3.17	O justo e o ímpio,
ECC.3.17	Deus julgará ambos,
ECC.3.17	pois há um tempo para todo propósito,
ECC.3.17	um tempo para tudo o que acontece.
ECC.3.18	Também pensei: Deus prova os homens para que vejam que são como os animais. 
ECC.3.19	O destino do homem é o mesmo do animal; o mesmo destino os aguarda. Assim como morre um, também morre o outro. Todos têm o mesmo fôlego de vida
ECC.3.20	Todos vão para o mesmo lugar; vieram todos do pó, e ao pó todos retornarão. 
ECC.3.21	Quem pode dizer se o fôlego do homem sobe às alturas e se o fôlego do animal desce
ECC.3.22	Por isso concluí que não há nada melhor para o homem do que desfrutar do seu trabalho, porque esta é a sua recompensa. Pois, quem poderá fazê-lo ver o que acontecerá depois de morto?
ECC.4.1	De novo olhei e vi toda a opressão que ocorre debaixo do sol:
ECC.4.1	Vi as lágrimas dos oprimidos,
ECC.4.1	mas não há quem os console;
ECC.4.1	o poder está do lado dos seus opressores,
ECC.4.1	e não há quem os console.
ECC.4.2	Por isso considerei os mortos
ECC.4.2	mais felizes do que os vivos,
ECC.4.2	pois estes ainda têm que viver!
ECC.4.3	No entanto, melhor do que ambos
ECC.4.3	é aquele que ainda não nasceu,
ECC.4.3	que não viu o mal que se faz debaixo do sol.
ECC.4.4	Descobri que todo trabalho e toda realização surgem da competição que existe entre as pessoas. Mas isso também é absurdo, é correr atrás do vento.
ECC.4.5	O tolo cruza os braços
ECC.4.5	e destrói a própria vida.
ECC.4.6	Melhor é ter um punhado com tranquilidade
ECC.4.6	do que dois punhados à custa de muito esforço
ECC.4.6	e de correr atrás do vento.
ECC.4.7	Descobri ainda outra situação absurda debaixo do sol:
ECC.4.8	Havia um homem totalmente solitário;
ECC.4.8	não tinha filho nem irmão.
ECC.4.8	Trabalhava sem parar!
ECC.4.8	Contudo, os seus olhos não se satisfaziam com a sua riqueza.
ECC.4.8	Ele sequer perguntava:
ECC.4.8	“Para quem estou trabalhando tanto,
ECC.4.8	e por que razão deixo de me divertir?”
ECC.4.8	Isso também é absurdo;
ECC.4.8	é um trabalho por demais ingrato!
ECC.4.9	É melhor ter companhia do que estar sozinho,
ECC.4.9	porque maior é a recompensa do trabalho de duas pessoas.
ECC.4.10	Se um cair,
ECC.4.10	o amigo pode ajudá-lo a levantar-se.
ECC.4.10	Mas pobre do homem que cai
ECC.4.10	e não tem quem o ajude a levantar-se!
ECC.4.11	E, se dois dormirem juntos,
ECC.4.11	vão manter-se aquecidos.
ECC.4.11	Como, porém, manter-se aquecido sozinho?
ECC.4.12	Um homem sozinho pode ser vencido,
ECC.4.12	mas dois conseguem defender-se.
ECC.4.12	Um cordão de três dobras não se rompe com facilidade.
ECC.4.13	Melhor é um jovem pobre e sábio, do que um rei idoso e tolo, que já não aceita repreensão. 
ECC.4.14	O jovem pode ter saído da prisão e chegado ao trono, ou pode ter nascido pobre no país daquele rei. 
ECC.4.15	Percebi que, ainda assim, o povo que vivia debaixo do sol seguia o jovem, o sucessor do rei. 
ECC.4.16	O número dos que aderiram a ele era incontável. A geração seguinte, porém, não ficou satisfeita com o sucessor. Isso também não faz sentido, é correr atrás do vento.
ECC.5.1	Quando você for ao santuário de Deus, seja reverente
ECC.5.2	Não seja precipitado de lábios,
ECC.5.2	nem apressado de coração
ECC.5.2	para fazer promessas diante de Deus.
ECC.5.2	Deus está nos céus,
ECC.5.2	e você está na terra,
ECC.5.2	por isso, fale pouco.
ECC.5.3	Das muitas ocupações brotam sonhos;
ECC.5.3	do muito falar nasce a prosa vã do tolo.
ECC.5.4	Quando você fizer um voto, cumpra-o sem demora, pois os tolos desagradam a Deus; cumpra o seu voto. 
ECC.5.5	É melhor não fazer voto do que fazer e não cumprir. 
ECC.5.6	Não permita que a sua boca o faça pecar. E não diga ao mensageiro de Deus
ECC.5.7	Em meio a tantos sonhos absurdos e conversas inúteis, tenha temor de Deus.
ECC.5.8	Se você vir o pobre oprimido numa província e vir que lhe são negados o direito e a justiça, não fique surpreso; pois todo oficial está subordinado a alguém que ocupa posição superior, e sobre os dois há outros em posição ainda mais alta. 
ECC.5.9	Mesmo assim, é vantagem a nação ter um rei que a governe e que se interesse pela agricultura.
ECC.5.10	Quem ama o dinheiro jamais terá o suficiente;
ECC.5.10	quem ama as riquezas
ECC.5.10	jamais ficará satisfeito com os seus rendimentos.
ECC.5.10	Isso também não faz sentido.
ECC.5.11	Quando aumentam os bens,
ECC.5.11	também aumentam os que os consomem.
ECC.5.11	E que benefício trazem os bens a quem os possui,
ECC.5.11	senão dar um pouco de alegria aos seus olhos?
ECC.5.12	O sono do trabalhador é ameno,
ECC.5.12	quer coma pouco quer coma muito,
ECC.5.12	mas a fartura de um homem rico
ECC.5.12	não lhe dá tranquilidade para dormir.
ECC.5.13	Há um mal terrível que vi debaixo do sol:
ECC.5.13	Riquezas acumuladas
ECC.5.13	para infelicidade do seu possuidor.
ECC.5.14	Se as riquezas dele se perdem num mau negócio,
ECC.5.14	nada ficará para o filho que lhe nascer.
ECC.5.15	O homem sai nu do ventre de sua mãe,
ECC.5.15	e como vem, assim vai.
ECC.5.15	De todo o trabalho em que se esforçou
ECC.5.15	nada levará consigo.
ECC.5.16	Há também outro mal terrível:
ECC.5.16	Como o homem vem, assim ele vai,
ECC.5.16	e o que obtém de todo o seu esforço
ECC.5.16	em busca do vento?
ECC.5.17	Passa
ECC.5.17	com grande frustração, doença e amargura.
ECC.5.18	Assim, descobri que, para o homem, o melhor e o que mais vale a pena é comer, beber e desfrutar o resultado de todo o esforço que se faz debaixo do sol durante os poucos dias de vida que Deus lhe dá, pois essa é a sua recompensa. 
ECC.5.19	E, quando Deus concede riquezas e bens a alguém e o capacita a desfrutá-los, a aceitar a sua sorte e a ser feliz em seu trabalho, isso é um presente de Deus. 
ECC.5.20	Raramente essa pessoa fica pensando na brevidade de sua vida, porque Deus o mantém ocupado com a alegria do coração.
ECC.6.1	Vi ainda outro mal debaixo do sol, que pesa bastante sobre a humanidade: 
ECC.6.2	Deus dá riquezas, bens e honra ao homem, de modo que não lhe falta nada que os seus olhos desejam; mas Deus não lhe permite desfrutar tais coisas, e outro as desfruta em seu lugar. Isso não faz sentido; é um mal terrível.
ECC.6.3	Um homem pode ter cem filhos e viver muitos anos. No entanto, se não desfrutar as coisas boas da vida, digo que uma criança que nasce morta e nem ao menos recebe um enterro digno tem melhor sorte que ele. 
ECC.6.4	Ela nasce em vão e parte em trevas, e nas trevas o seu nome fica escondido. 
ECC.6.5	Embora jamais tenha visto o sol ou conhecido qualquer coisa, ela tem mais descanso do que tal homem. 
ECC.6.6	Pois, de que lhe valeria viver dois mil anos, sem desfrutar a sua prosperidade? Afinal, não vão todos para o mesmo lugar?
ECC.6.7	Todo o esforço do homem é feito para a sua boca;
ECC.6.7	contudo, o seu apetite jamais se satisfaz.
ECC.6.8	Que vantagem tem o sábio em relação ao tolo?
ECC.6.8	Que vantagem tem o pobre
ECC.6.8	em saber como se portar diante dos outros?
ECC.6.9	Melhor é contentar-se com o que os olhos veem
ECC.6.9	do que sonhar com o que se deseja.
ECC.6.9	Isso também não faz sentido;
ECC.6.9	é correr atrás do vento.
ECC.6.10	Tudo o que existe já recebeu nome,
ECC.6.10	e já se sabe o que o homem é;
ECC.6.10	não se pode lutar contra alguém mais forte.
ECC.6.11	Quanto mais palavras,
ECC.6.11	mais tolices
ECC.6.11	e sem nenhum proveito.
ECC.6.12	Na verdade, quem sabe o que é bom para o homem, nos poucos dias de sua vida vazia, em que ele passa como uma sombra? Quem poderá contar-lhe o que acontecerá debaixo do sol depois que ele partir?
ECC.7.1	O bom nome é melhor do que um perfume finíssimo,
ECC.7.1	e o dia da morte é melhor do que o dia do nascimento.
ECC.7.2	É melhor ir a uma casa onde há luto
ECC.7.2	do que a uma casa em festa,
ECC.7.2	pois a morte é o destino de todos;
ECC.7.2	os vivos devem levar isso a sério!
ECC.7.3	A tristeza é melhor do que o riso,
ECC.7.3	porque o rosto triste melhora o coração.
ECC.7.4	O coração do sábio está na casa onde há luto,
ECC.7.4	mas o do tolo, na casa da alegria.
ECC.7.5	É melhor ouvir a repreensão de um sábio
ECC.7.5	do que a canção dos tolos.
ECC.7.6	Tal como o estalo de espinhos debaixo da panela,
ECC.7.6	assim é o riso dos tolos.
ECC.7.6	Isso também não faz sentido.
ECC.7.7	A opressão transforma o sábio em tolo,
ECC.7.7	e o suborno corrompe o coração.
ECC.7.8	O fim das coisas é melhor que o seu início,
ECC.7.8	e o paciente é melhor que o orgulhoso.
ECC.7.9	Não permita que a ira domine depressa o seu espírito,
ECC.7.9	pois a ira se aloja no íntimo dos tolos.
ECC.7.10	Não diga: “Por que os dias do passado foram melhores que os de hoje?”
ECC.7.10	Pois não é sábio fazer esse tipo de pergunta.
ECC.7.11	A sabedoria, como uma herança,
ECC.7.11	é coisa boa, e beneficia aqueles que veem o sol.
ECC.7.12	A sabedoria oferece proteção,
ECC.7.12	como o faz o dinheiro,
ECC.7.12	mas a vantagem do conhecimento é esta:
ECC.7.12	a sabedoria preserva a vida de quem a possui.
ECC.7.13	Considere o que Deus fez:
ECC.7.13	Quem pode endireitar
ECC.7.13	o que ele fez torto?
ECC.7.14	Quando os dias forem bons, aproveite-os bem;
ECC.7.14	mas, quando forem ruins, considere:
ECC.7.14	Deus fez tanto um quanto o outro,
ECC.7.14	para evitar que o homem descubra
ECC.7.14	alguma coisa sobre o seu futuro.
ECC.7.15	Nesta vida sem sentido eu já vi de tudo:
ECC.7.15	Um justo que morreu
ECC.7.15	e um ímpio que teve vida longa
ECC.7.15	apesar da sua impiedade.
ECC.7.16	Não seja excessivamente justo
ECC.7.16	nem demasiadamente sábio;
ECC.7.16	por que destruir a você mesmo?
ECC.7.17	Não seja demasiadamente ímpio
ECC.7.17	e não seja tolo;
ECC.7.17	por que morrer antes do tempo?
ECC.7.18	É bom reter uma coisa
ECC.7.18	e não abrir mão da outra,
ECC.7.18	pois quem teme a Deus evitará ambos os extremos
ECC.7.19	A sabedoria torna o sábio mais poderoso
ECC.7.19	que uma cidade guardada por dez valentes.
ECC.7.20	Todavia, não há um só justo na terra,
ECC.7.20	ninguém que pratique o bem e nunca peque.
ECC.7.21	Não dê atenção a todas as palavras que o povo diz,
ECC.7.21	caso contrário, poderá ouvir o seu próprio servo
ECC.7.21	falando mal de você;
ECC.7.22	pois em seu coração você sabe
ECC.7.22	que muitas vezes você também falou mal de outros.
ECC.7.23	Tudo isso eu examinei mediante a sabedoria e disse:
ECC.7.23	Estou decidido a ser sábio;
ECC.7.23	mas isso estava fora do meu alcance.
ECC.7.24	A realidade está bem distante e é muito profunda;
ECC.7.24	quem pode descobri-la?
ECC.7.25	Por isso dediquei-me a aprender,
ECC.7.25	a investigar, a buscar a sabedoria e a razão de ser das coisas,
ECC.7.25	para compreender a insensatez da impiedade
ECC.7.25	e a loucura da insensatez.
ECC.7.26	Descobri que muito mais amarga que a morte
ECC.7.26	é a mulher que serve de laço,
ECC.7.26	cujo coração é uma armadilha
ECC.7.26	e cujas mãos são correntes.
ECC.7.26	O homem que agrada a Deus escapará dela,
ECC.7.26	mas o pecador ela apanhará.
ECC.7.27	“Veja”, diz o mestre, “foi isto que descobri:
ECC.7.27	“Ao comparar uma coisa com outra
ECC.7.27	para descobrir a sua razão de ser,
ECC.7.28	sim, durante essa minha busca
ECC.7.28	que ainda não terminou
ECC.7.28	descobri apenas um que julgo digno,
ECC.7.28	mas entre as mulheres não achei uma sequer.
ECC.7.29	Assim, cheguei a esta conclusão:
ECC.7.29	Deus fez os homens justos,
ECC.7.29	mas eles foram em busca de muitas intrigas.”
ECC.8.1	Quem é como o sábio?
ECC.8.1	Quem sabe interpretar as coisas?
ECC.8.1	A sabedoria de um homem alcança o favor do rei
ECC.8.1	e muda o seu semblante carregado.
ECC.8.2	Este é o meu conselho: obedeça às ordens do rei porque você fez um juramento diante de Deus. 
ECC.8.3	Não se apresse em deixar a presença do rei, nem se levante em favor de uma causa errada, visto que o rei faz o que bem entende. 
ECC.8.4	Pois a palavra do rei é soberana, e ninguém lhe pode perguntar: “O que estás fazendo?”
ECC.8.5	Quem obedece às suas ordens
ECC.8.5	não sofrerá mal algum,
ECC.8.5	pois o coração sábio saberá a hora
ECC.8.5	e a maneira certa de agir.
ECC.8.6	Porquanto há uma hora certa
ECC.8.6	e também uma maneira certa de agir para cada situação.
ECC.8.6	O sofrimento de um homem,
ECC.8.6	no entanto, pesa muito sobre ele,
ECC.8.7	visto que ninguém conhece o futuro.
ECC.8.7	Quem lhe poderá dizer o que vai acontecer?
ECC.8.8	Ninguém tem o poder de dominar o próprio espírito
ECC.8.8	tampouco tem poder sobre o dia da sua morte
ECC.8.8	e de escapar dos efeitos da guerra
ECC.8.8	nem mesmo a maldade livra aqueles que a praticam.
ECC.8.9	Tudo isso vi quando me pus a refletir em tudo o que se faz debaixo do sol. Há ocasiões em que um homem domina sobre outros para a sua própria infelicidade
ECC.8.10	Nessas ocasiões, vi ímpios serem sepultados e gente indo e vindo do lugar onde eles foram enterrados. Todavia, os que haviam praticado o bem foram esquecidos na cidade.
ECC.8.11	Quando os crimes não são castigados logo, o coração do homem se enche de planos para fazer o mal. 
ECC.8.12	O ímpio pode cometer uma centena de crimes e, apesar disso, ter vida longa, mas sei muito bem que as coisas serão melhores para os que temem a Deus, para os que mostram respeito diante dele. 
ECC.8.13	Para os ímpios, no entanto, nada irá bem, porque não temem a Deus, e os seus dias, como sombras, serão poucos.
ECC.8.14	Há mais uma coisa sem sentido na terra: justos que recebem o que os ímpios merecem, e ímpios que recebem o que os justos merecem. Isto também, penso eu, não faz sentido. 
ECC.8.15	Por isso recomendo que se desfrute a vida, porque debaixo do sol não há nada melhor para o homem do que comer, beber e alegrar-se. Sejam esses os seus companheiros no seu duro trabalho durante todos os dias da vida que Deus lhe der debaixo do sol!
ECC.8.16	Quando voltei a mente para conhecer a sabedoria e observar as atividades do homem sobre a terra, daquele cujos olhos não veem sono
ECC.8.17	percebi tudo o que Deus tem feito. Ninguém é capaz de entender o que se faz debaixo do sol. Por mais que se esforce para descobrir o sentido das coisas, o homem não o encontrará. O sábio pode até afirmar que entende, mas, na realidade, não o consegue encontrar.
ECC.9.1	Refleti nisso tudo e cheguei à conclusão de que os justos e os sábios, e aquilo que eles fazem, estão nas mãos de Deus. O que os espera, seja amor ou ódio, ninguém sabe. 
ECC.9.2	Todos partilham um destino comum: o justo e o ímpio, o bom e o mau
ECC.9.2	O que acontece com o homem bom,
ECC.9.2	acontece com o pecador;
ECC.9.2	o que acontece com quem faz juramentos,
ECC.9.2	acontece com quem teme fazê-los.
ECC.9.3	Este é o mal que há em tudo o que acontece debaixo do sol: o destino de todos é o mesmo. O coração dos homens, além do mais, está cheio de maldade e de loucura durante toda a vida; e por fim eles se juntarão aos mortos. 
ECC.9.4	Quem está entre os vivos tem esperança;
ECC.9.5	Pois os vivos sabem que morrerão,
ECC.9.5	mas os mortos nada sabem;
ECC.9.5	para eles não haverá mais recompensa,
ECC.9.5	e já não se tem lembrança deles.
ECC.9.6	Para eles o amor, o ódio e a inveja
ECC.9.6	há muito desapareceram;
ECC.9.6	nunca mais terão parte em nada
ECC.9.6	do que acontece debaixo do sol.
ECC.9.7	Portanto, vá, coma com prazer a sua comida e beba o seu vinho de coração alegre, pois Deus já se agradou do que você faz. 
ECC.9.8	Esteja sempre vestido com roupas de festa
ECC.9.9	Desfrute a vida com a mulher a quem você ama, todos os dias desta vida sem sentido que Deus dá a você debaixo do sol; todos os seus dias sem sentido! Pois essa é a sua recompensa na vida pelo seu árduo trabalho debaixo do sol. 
ECC.9.10	O que as suas mãos tiverem que fazer, que o façam com toda a sua força, pois na sepultura
ECC.9.11	Percebi ainda outra coisa debaixo do sol:
ECC.9.11	Os velozes nem sempre vencem a corrida;
ECC.9.11	os fortes nem sempre triunfam na guerra;
ECC.9.11	os sábios nem sempre têm comida;
ECC.9.11	os prudentes nem sempre são ricos;
ECC.9.11	os instruídos nem sempre têm prestígio;
ECC.9.11	pois o tempo e o acaso afetam a todos.
ECC.9.12	Além do mais, ninguém sabe quando virá a sua hora:
ECC.9.12	Assim como os peixes são apanhados numa rede fatal
ECC.9.12	e os pássaros são pegos numa armadilha,
ECC.9.12	também os homens são enredados pelos tempos de desgraça
ECC.9.12	que caem inesperadamente sobre eles.
ECC.9.13	Também vi debaixo do sol este exemplo de sabedoria que muito me impressionou: 
ECC.9.14	Havia uma pequena cidade, de poucos habitantes. Um rei poderoso veio contra ela, cercou-a com muitos dispositivos de guerra. 
ECC.9.15	Ora, naquela cidade vivia um homem pobre mas sábio, e com sua sabedoria ele salvou a cidade. No entanto, ninguém se lembrou mais daquele pobre. 
ECC.9.16	Por isso pensei: Embora a sabedoria seja melhor do que a força, a sabedoria do pobre é desprezada, e logo suas palavras são esquecidas.
ECC.9.17	As palavras dos sábios devem ser ouvidas com mais atenção
ECC.9.17	do que os gritos de quem domina sobre tolos.
ECC.9.18	A sabedoria é melhor do que as armas de guerra,
ECC.9.18	mas um só pecador destrói muita coisa boa.
ECC.10.1	Assim como a mosca morta produz mau cheiro
ECC.10.1	e estraga o perfume,
ECC.10.1	também um pouco de insensatez
ECC.10.1	pesa mais que a sabedoria e a honra.
ECC.10.2	O coração do sábio se inclina para o bem,
ECC.10.2	mas o coração do tolo, para o mal
ECC.10.3	Mesmo quando anda pelo caminho,
ECC.10.3	o tolo age sem o mínimo bom senso
ECC.10.3	e mostra a todos que não passa de tolo.
ECC.10.4	Se a ira de uma autoridade se levantar contra você,
ECC.10.4	não abandone o seu posto;
ECC.10.4	a tranquilidade evita grandes erros.
ECC.10.5	Há outro mal que vi debaixo do sol,
ECC.10.5	um erro cometido pelos que governam:
ECC.10.6	tolos são postos em cargos elevados,
ECC.10.6	enquanto ricos ocupam cargos inferiores.
ECC.10.7	Tenho visto servos andando a cavalo,
ECC.10.7	e príncipes andando a pé, como servos.
ECC.10.8	Quem cava um poço cairá nele;
ECC.10.8	quem derruba um muro será picado por uma cobra.
ECC.10.9	Quem arranca pedras com elas se ferirá;
ECC.10.9	quem racha lenha se arrisca.
ECC.10.10	Se o machado está cego
ECC.10.10	e sua lâmina não foi afiada,
ECC.10.10	é preciso golpear com mais força;
ECC.10.10	agir com sabedoria assegura o sucesso.
ECC.10.11	Se a cobra morder antes de ser encantada,
ECC.10.11	para que servirá o encantador?
ECC.10.12	As palavras do sábio lhe trazem benefícios,
ECC.10.12	mas os lábios do insensato o destroem.
ECC.10.13	No início as suas palavras são mera tolice,
ECC.10.13	mas no final são loucura perversa.
ECC.10.14	Embora o tolo fale sem parar,
ECC.10.14	ninguém sabe o que está para vir;
ECC.10.14	quem poderá dizer a outrem
ECC.10.14	o que lhe acontecerá depois?
ECC.10.15	O trabalho do tolo o deixa tão exausto
ECC.10.15	que ele nem consegue achar o caminho de casa
ECC.10.16	Pobre da terra cujo rei é jovem demais
ECC.10.16	e cujos líderes fazem banquetes logo de manhã.
ECC.10.17	Feliz é a terra cujo rei é de origem nobre,
ECC.10.17	e cujos líderes comem no devido tempo
ECC.10.17	para recuperar as forças,
ECC.10.17	e não para embriagar-se.
