GEN.1.1	No princípio, criou Deus os céus e a terra. 
ISA.28.29	Também isso procede do 
ISA.29.1	Ai da Lareira de Deus, cidade-lareira de Deus, em que Davi assentou o seu arraial! Acrescentai ano a ano, deixai as festas que completem o seu ciclo; 
ISA.29.2	então, porei a Lareira de Deus em aperto, e haverá pranto e lamentação; e ela será para mim verdadeira Lareira de Deus. 
ISA.29.3	Acamparei ao derredor de ti, cercar-te-ei com baluartes e levantarei tranqueiras contra ti. 
ISA.29.4	Então, lançada por terra, do chão falarás, e do pó sairá afogada a tua fala; subirá da terra a tua voz como a de um fantasma; como um cochicho, a tua fala, desde o pó. 
ISA.29.5	Mas a multidão dos teus inimigos será como o pó miúdo, e a multidão dos tiranos, como a palha que voa; dar-se-á isto, de repente, num instante. 
ISA.29.6	Do 
ISA.29.7	Como sonho e visão noturna será a multidão de todas as nações que hão de pelejar contra a Lareira de Deus, como também todos os que pelejarem contra ela e contra os seus baluartes e a puserem em aperto. 
ISA.29.8	Será também como o faminto que sonha que está a comer, mas, acordando, sente-se vazio; ou como o sequioso que sonha que está a beber, mas, acordando, sente-se desfalecido e sedento; assim será toda a multidão das nações que pelejarem contra o monte Sião.
ISA.29.9	Estatelai-vos e ficai estatelados, cegai-vos e permanecei cegos; bêbados estão, mas não de vinho; andam cambaleando, mas não de bebida forte. 
ISA.29.10	Porque o 
ISA.29.11	Toda visão já se vos tornou como as palavras de um livro selado, que se dá ao que sabe ler, dizendo: Lê isto, peço-te; e ele responde: Não posso, porque está selado; 
ISA.29.12	e dá-se o livro ao que não sabe ler, dizendo: Lê isto, peço-te; e ele responde: Não sei ler.
ISA.29.13	O Senhor disse: Visto que este povo se aproxima
ISA.29.14	continuarei a fazer obra maravilhosa no meio deste povo; sim, obra maravilhosa e um portento; de maneira que a sabedoria dos seus sábios perecerá,
ISA.29.15	Ai dos que escondem profundamente o seu propósito do 
ISA.29.16	Que perversidade a vossa! Como se o oleiro fosse igual ao barro, e a obra dissesse do seu artífice: Ele não me fez; e a coisa feita dissesse do seu oleiro: Ele nada sabe.
ISA.29.17	Porventura, dentro em pouco não se converterá o Líbano em pomar, e o pomar não será tido por bosque? 
ISA.29.18	Naquele dia, os surdos ouvirão as palavras do livro, e os cegos, livres já da escuridão e das trevas, as verão. 
ISA.29.19	Os mansos terão regozijo sobre regozijo no 
ISA.29.20	Pois o tirano é reduzido a nada, o escarnecedor já não existe, e já se acham eliminados todos os que cogitam da iniquidade, 
ISA.29.21	os quais por causa de uma palavra condenam um homem, os que põem armadilhas ao que repreende na porta, e os que sem motivo negam ao justo o seu direito. 
ISA.29.22	Portanto, acerca da casa de Jacó, assim diz o 
ISA.29.23	Mas, quando ele e seus filhos virem a obra das minhas mãos no meio deles, santificarão o meu nome; sim, santificarão o Santo de Jacó e temerão o Deus de Israel. 
ISA.29.24	E os que erram de espírito virão a ter entendimento, e os murmuradores hão de aceitar instrução.
ISA.30.1	Ai dos filhos rebeldes, diz o 
ISA.30.2	Que descem ao Egito sem me consultar, buscando refúgio em Faraó e abrigo, à sombra do Egito! 
ISA.30.3	Mas o refúgio de Faraó se vos tornará em vergonha, e o abrigo na sombra do Egito, em confusão. 
ISA.30.4	Porque os príncipes de Judá já estão em Zoã, e os seus embaixadores já chegaram a Hanes. 
ISA.30.5	Todos se envergonharão de um povo que de nada lhes valerá, não servirá nem de ajuda nem de proveito, porém de vergonha e de opróbrio. 
ISA.30.6	Sentença contra a Besta do Sul. Através da terra da aflição e angústia de onde vêm a leoa, o leão, a víbora e a serpente volante, levam a lombos de jumento as suas riquezas e sobre as corcovas de camelos, os seus tesouros, a um povo que de nada lhes aproveitará. 
ISA.30.7	Pois, quanto ao Egito, vão e inútil é o seu auxílio; por isso, lhe chamei Gabarola que nada faz.
ISA.30.8	Vai, pois, escreve isso numa tabuinha perante eles, escreve-o num livro, para que fique registrado para os dias vindouros, para sempre, perpetuamente. 
ISA.30.9	Porque povo rebelde é este, filhos mentirosos, filhos que não querem ouvir a lei do 
ISA.30.10	Eles dizem aos videntes: Não tenhais visões; e aos profetas: Não profetizeis para nós o que é reto; dizei-nos coisas aprazíveis, profetizai-nos ilusões; 
ISA.30.11	desviai-vos do caminho, apartai-vos da vereda; não nos faleis mais do Santo de Israel. 
ISA.30.12	Pelo que assim diz o Santo de Israel: Visto que rejeitais esta palavra, confiais na opressão e na perversidade e sobre isso vos estribais, 
ISA.30.13	portanto, esta maldade vos será como a brecha de um muro alto, que, formando uma barriga, está prestes a cair, e cuja queda vem de repente, num momento. 
ISA.30.14	O 
ISA.30.15	Porque assim diz o 
ISA.30.16	Antes, dizeis: Não, sobre cavalos fugiremos; portanto, fugireis; e: Sobre cavalos ligeiros cavalgaremos; sim, ligeiros serão os vossos perseguidores. 
ISA.30.17	Mil homens fugirão pela ameaça de apenas um; pela ameaça de cinco, todos vós fugireis, até que sejais deixados como o mastro no cimo do monte e como o estandarte no outeiro.
ISA.30.18	Por isso, o 
ISA.30.19	Porque o povo habitará em Sião, em Jerusalém; tu não chorarás mais; certamente, se compadecerá de ti, à voz do teu clamor, e, ouvindo-a, te responderá. 
ISA.30.20	Embora o Senhor vos dê pão de angústia e água de aflição, contudo, não se esconderão mais os teus mestres; os teus olhos verão os teus mestres. 
ISA.30.21	Quando te desviares para a direita e quando te desviares para a esquerda, os teus ouvidos ouvirão atrás de ti uma palavra, dizendo: Este é o caminho, andai por ele. 
ISA.30.22	E terás por contaminados a prata que recobre as imagens esculpidas e o ouro que reveste as tuas imagens de fundição; lançá-las-ás fora como coisa imunda e a cada uma dirás: Fora daqui!
ISA.30.23	Então, o Senhor te dará chuva sobre a tua semente, com que semeares a terra, como também pão como produto da terra, o qual será farto e nutritivo; naquele dia, o teu gado pastará em lugares espaçosos. 
ISA.30.24	Os bois e os jumentos que lavram a terra comerão forragem com sal, alimpada com pá e forquilha. 
ISA.30.25	Em todo monte alto e em todo outeiro elevado haverá ribeiros e correntes de águas, no dia da grande matança quando caírem as torres. 
ISA.30.26	A luz da lua será como a do sol, e a do sol, sete vezes maior, como a luz de sete dias, no dia em que o 
ISA.30.27	Eis o nome do 
ISA.30.28	A sua respiração é como a torrente que transborda e chega até ao pescoço, para peneirar as nações com peneira de destruição; um freio de fazer errar estará nos queixos dos povos. 
ISA.30.29	Um cântico haverá entre vós, como na noite em que se celebra festa santa; e alegria de coração, como a daquele que sai ao som da flauta para ir ao monte do 
ISA.30.30	O 
ISA.30.31	Porque com a voz do 
ISA.30.32	Cada pancada castigadora, com a vara, que o 
ISA.30.33	Porque há muito está preparada a fogueira, preparada para o rei; a pira é profunda e larga, com fogo e lenha em abundância; o assopro do 
ISA.31.1	Ai dos que descem ao Egito em busca de socorro e se estribam em cavalos; que confiam em carros, porque são muitos, e em cavaleiros, porque são mui fortes, mas não atentam para o Santo de Israel, nem buscam ao 
ISA.31.2	Todavia, este é sábio, e faz vir o mal, e não retira as suas palavras; ele se levantará contra a casa dos malfeitores e contra a ajuda dos que praticam a iniquidade. 
ISA.31.3	Pois os egípcios são homens e não deuses; os seus cavalos, carne e não espírito. Quando o 
ISA.31.4	Porque assim me disse o 
ISA.31.5	Como pairam as aves, assim o 
ISA.31.6	Convertei-vos, pois, ó filhos de Israel, àquele de quem tanto vos afastastes. 
ISA.31.7	Pois, naquele dia, cada um lançará fora os seus ídolos de prata e os seus ídolos de ouro, que as vossas mãos fabricaram para pecardes. 
ISA.31.8	Então, a Assíria cairá pela espada, não de homem; a espada, não de homem, a devorará; fugirá diante da espada, e os seus jovens serão sujeitos a trabalhos forçados. 
ISA.31.9	De medo não atinará com a sua rocha de refúgio; os seus príncipes, espavoridos, desertarão a bandeira, diz o 
ISA.32.1	Eis aí está que reinará um rei com justiça, e em retidão governarão príncipes. 
ISA.32.2	Cada um servirá de esconderijo contra o vento, de refúgio contra a tempestade, de torrentes de águas em lugares secos e de sombra de grande rocha em terra sedenta. 
ISA.32.3	Os olhos dos que veem não se ofuscarão, e os ouvidos dos que ouvem estarão atentos. 
ISA.32.4	O coração dos temerários saberá compreender, e a língua dos gagos falará pronta e distintamente. 
ISA.32.5	Ao louco nunca mais se chamará nobre, e do fraudulento jamais se dirá que é magnânimo. 
ISA.32.6	Porque o louco fala loucamente, e o seu coração obra o que é iníquo, para usar de impiedade e para proferir mentiras contra o 
ISA.32.7	Também as armas do fraudulento são más; ele maquina intrigas para arruinar os desvalidos, com palavras falsas, ainda quando a causa do pobre é justa. 
ISA.32.8	Mas o nobre projeta coisas nobres e na sua nobreza perseverará.
ISA.32.9	Levantai-vos, mulheres que viveis despreocupadamente, e ouvi a minha voz; vós, filhas, que estais confiantes, inclinai os ouvidos às minhas palavras. 
ISA.32.10	Porque daqui a um ano e dias vireis a tremer, ó mulheres que estais confiantes, porque a vindima se acabará, e não haverá colheita. 
ISA.32.11	Tremei, mulheres que viveis despreocupadamente; turbai-vos, vós que estais confiantes. Despi-vos, e ponde-vos desnudas, e cingi com panos de saco os lombos. 
ISA.32.12	Batei no peito por causa dos campos aprazíveis e por causa das vinhas frutíferas. 
ISA.32.13	Sobre a terra do meu povo virão espinheiros e abrolhos, como também sobre todas as casas onde há alegria, na cidade que exulta. 
ISA.32.14	O palácio será abandonado, a cidade populosa ficará deserta; Ofel e a torre da guarda servirão de cavernas para sempre, folga para os jumentos selvagens e pastos para os rebanhos; 
ISA.32.15	até que se derrame sobre nós o Espírito lá do alto; então, o deserto se tornará em pomar, e o pomar será tido por bosque; 
ISA.32.16	o juízo habitará no deserto, e a justiça morará no pomar. 
ISA.32.17	O efeito da justiça será paz, e o fruto da justiça, repouso e segurança, para sempre. 
ISA.32.18	O meu povo habitará em moradas de paz, em moradas bem seguras e em lugares quietos e tranquilos, 
ISA.32.19	ainda que haja saraivada, caia o bosque e seja a cidade inteiramente abatida. 
ISA.32.20	Bem-aventurados vós, os que semeais junto a todas as águas e dais liberdade ao pé do boi e do jumento.
ISA.33.1	Ai de ti, destruidor que não foste destruído, que procedes perfidamente e não foste tratado com perfídia! Acabando tu de destruir, serás destruído, acabando de tratar perfidamente, serás tratado com perfídia. 
ISA.33.2	, tem misericórdia de nós; em ti temos esperado; sê tu o nosso braço manhã após manhã e a nossa salvação no tempo da angústia. 
ISA.33.3	Ao ruído do tumulto, fogem os povos; quando tu te ergues, as nações são dispersas. 
ISA.33.4	Então, ajuntar-se-á o vosso despojo como se ajuntam as lagartas; como os gafanhotos saltam, assim os homens saltarão sobre ele. 
ISA.33.5	O 
ISA.33.6	Haverá, ó Sião, estabilidade nos teus tempos, abundância de salvação, sabedoria e conhecimento; o temor do 
ISA.33.7	Eis que os heróis pranteiam de fora, e os mensageiros de paz estão chorando amargamente. 
ISA.33.8	As estradas estão desoladas, cessam os que passam por elas; rompem-se as alianças, as cidades são desprezadas, já não se faz caso do homem. 
ISA.33.9	A terra geme e desfalece; o Líbano se envergonha e se murcha; Sarom se torna como um deserto, Basã e Carmelo são despidos de suas folhas. 
ISA.33.10	Agora, me levantarei, diz o 
ISA.33.11	Concebestes palha, dareis à luz restolho; o vosso bufo enfurecido é fogo que vos há de devorar. 
ISA.33.12	Os povos serão queimados como se queima a cal; como espinhos cortados, arderão no fogo. 
ISA.33.13	Ouvi vós, os que estais longe, o que tenho feito; e vós, os que estais perto, reconhecei o meu poder.
ISA.33.14	Os pecadores em Sião se assombram, o tremor se apodera dos ímpios; e eles perguntam: Quem dentre nós habitará com o fogo devorador? Quem dentre nós habitará com chamas eternas? 
ISA.33.15	O que anda em justiça e fala o que é reto; o que despreza o ganho de opressão; o que, com um gesto de mãos, recusa aceitar suborno; o que tapa os ouvidos, para não ouvir falar de homicídios, e fecha os olhos, para não ver o mal, 
ISA.33.16	este habitará nas alturas; as fortalezas das rochas serão o seu alto refúgio, o seu pão lhe será dado, as suas águas serão certas.
ISA.33.17	Os teus olhos verão o rei na sua formosura, verão a terra que se estende até longe. 
ISA.33.18	O teu coração se recordará dos terrores, dizendo: Onde está aquele que registrou, onde, o que pesou o tributo, onde, o que contou as torres? 
ISA.33.19	Já não verás aquele povo atrevido, povo de fala obscura, que não se pode entender, e de língua bárbara, ininteligível. 
ISA.33.20	Olha para Sião, a cidade das nossas solenidades; os teus olhos verão a Jerusalém, habitação tranquila, tenda que não será removida, cujas estacas nunca serão arrancadas, nem rebentada nenhuma de suas cordas. 
ISA.33.21	Mas o 
ISA.33.22	Porque o 
ISA.33.23	Agora, as tuas enxárcias estão frouxas; não podem ter firme o mastro, nem estender a vela. Então, se repartirá a presa de abundantes despojos; até os coxos participarão dela. 
ISA.33.24	Nenhum morador de Jerusalém dirá: Estou doente; porque ao povo que habita nela, perdoar-se-lhe-á a sua iniquidade.
ISA.34.1	Chegai-vos, nações, para ouvir, e vós, povos, escutai; ouça a terra e a sua plenitude, o mundo e tudo quanto produz. 
ISA.34.2	Porque a indignação do 
ISA.34.3	Os seus mortos serão lançados fora, dos seus cadáveres subirá o mau cheiro, e do sangue deles os montes se inundarão. 
ISA.34.4	Todo o exército dos céus se dissolverá, e os céus se enrolarão
ISA.34.5	Porque a minha espada se embriagou nos céus; eis que, para exercer juízo, desce sobre Edom e sobre o povo que destinei para a destruição. 
ISA.34.6	A espada do 
ISA.34.7	Os bois selvagens cairão com eles, e os novilhos, com os touros; a sua terra se embriagará de sangue, e o seu pó se tornará fértil com a gordura.
ISA.34.8	Porque será o dia da vingança do 
ISA.34.9	Os ribeiros de Edom se transformarão em piche, e o seu pó, em enxofre; a sua terra se tornará em piche ardente. 
ISA.34.10	Nem de noite nem de dia se apagará; subirá para sempre a sua fumaça;
ISA.34.11	Mas o pelicano e o ouriço a possuirão; o bufo e o corvo habitarão nela. Estender-se-á sobre ela o cordel de destruição e o prumo de ruína. 
ISA.34.12	Já não haverá nobres para proclamarem um rei; os seus príncipes já não existem. 
ISA.34.13	Nos seus palácios, crescerão espinhos, e urtigas e cardos, nas suas fortalezas; será uma habitação de chacais e morada de avestruzes. 
ISA.34.14	As feras do deserto se encontrarão com as hienas, e os sátiros clamarão uns para os outros; fantasmas ali pousarão e acharão para si lugar de repouso. 
ISA.34.15	Aninhar-se-á ali a coruja, e porá os seus ovos, e os chocará, e na sombra abrigará os seus filhotes; também ali os abutres se ajuntarão, um com o outro.
ISA.34.16	Buscai no livro do 
ISA.34.17	Porque ele lançou as sortes a favor delas, e a sua mão lhes repartiu a terra com o cordel; para sempre a possuirão, através de gerações habitarão nela.
ISA.35.1	O deserto e a terra se alegrarão; o ermo exultará e florescerá como o narciso. 
ISA.35.2	Florescerá abundantemente, jubilará de alegria e exultará; deu-se-lhes a glória do Líbano, o esplendor do Carmelo e de Sarom; eles verão a glória do 
ISA.35.3	Fortalecei
ISA.35.4	Dizei aos desalentados de coração: Sede fortes, não temais. Eis o vosso Deus. A vingança vem, a retribuição de Deus; ele vem e vos salvará.
ISA.35.5	Então, se abrirão os olhos dos cegos, e se desimpedirão os ouvidos dos surdos; 
ISA.35.6	os coxos saltarão como cervos, e a língua dos mudos cantará; pois águas arrebentarão no deserto, e ribeiros, no ermo.
ISA.35.7	A areia esbraseada se transformará em lagos, e a terra sedenta, em mananciais de águas; onde outrora viviam os chacais, crescerá a erva com canas e juncos.
ISA.35.8	E ali haverá bom caminho, caminho que se chamará o Caminho Santo; o imundo não passará por ele, pois será somente para o seu povo; quem quer que por ele caminhe não errará, nem mesmo o louco. 
ISA.35.9	Ali não haverá leão, animal feroz não passará por ele, nem se achará nele; mas os remidos andarão por ele. 
ISA.35.10	Os resgatados do 
ISA.36.1	No ano décimo quarto do rei Ezequias, subiu Senaqueribe, rei da Assíria, contra todas as cidades fortificadas de Judá e as tomou. 
ISA.36.2	O rei da Assíria enviou Rabsaqué, de Laquis a Jerusalém, ao rei Ezequias, com grande exército; parou ele na extremidade do aqueduto do açude superior, junto ao caminho do campo do lavadeiro. 
ISA.36.3	Então, saíram a encontrar-se com ele Eliaquim, filho de Hilquias, o mordomo, Sebna, o escrivão, e Joá, filho de Asafe, o cronista.
ISA.36.4	Rabsaqué lhes disse: Dizei a Ezequias: Assim diz o sumo rei, o rei da Assíria: Que confiança é essa em que te estribas? 
ISA.36.5	Bem posso dizer-te que teu conselho e poder para a guerra não passam de vãs palavras; em quem, pois, agora confias, para que te rebeles contra mim? 
ISA.36.6	Confias no Egito, esse bordão de cana esmagada, o qual, se alguém nele apoiar-se, lhe entrará pela mão e a traspassará; assim é Faraó, rei do Egito, para com todos os que nele confiam. 
ISA.36.7	Mas, se me dizes: Confiamos no 
ISA.36.8	Ora, pois, empenha-te com meu senhor, rei da Assíria, e dar-te-ei dois mil cavalos, se de tua parte achares cavaleiros para os montar. 
ISA.36.9	Como, pois, se não podes afugentar um só capitão dos menores dos servos do meu senhor, confias no Egito por causa dos carros e cavaleiros? 
ISA.36.10	Acaso, subi eu agora sem o 
ISA.36.11	Então, disseram Eliaquim, Sebna e Joá a Rabsaqué: Pedimos-te que fales em aramaico aos teus servos, porque o entendemos, e não nos fales em judaico, aos ouvidos do povo que está sobre os muros. 
ISA.36.12	Mas Rabsaqué lhes respondeu: Mandou-me, acaso, o meu senhor para dizer-te estas palavras a ti somente e a teu senhor? E não, antes, aos homens que estão assentados sobre os muros, para que comam convosco o seu próprio excremento e bebam a sua própria urina?
ISA.36.13	Então, Rabsaqué se pôs em pé, e clamou em alta voz em judaico, e disse: Ouvi as palavras do sumo rei, do rei da Assíria. 
ISA.36.14	Assim diz o rei: Não vos engane Ezequias; porque não vos poderá livrar. 
ISA.36.15	Nem tampouco Ezequias vos faça confiar no 
ISA.36.16	Não deis ouvidos a Ezequias; porque assim diz o rei da Assíria: Fazei as pazes comigo e vinde para mim; e comei, cada um da sua própria vide e da sua própria figueira, e bebei, cada um da água da sua própria cisterna; 
ISA.36.17	até que eu venha e vos leve para uma terra como a vossa; terra de cereal e de vinho, terra de pão e de vinhas. 
ISA.36.18	Não vos engane Ezequias, dizendo: O 
ISA.36.19	Onde estão os deuses de Hamate e de Arpade? Onde estão os deuses de Sefarvaim? Acaso, livraram eles a Samaria das minhas mãos? 
ISA.36.20	Quais são, dentre todos os deuses destes países, os que livraram a sua terra das minhas mãos, para que o 
ISA.36.21	Eles, porém, se calaram e não lhe responderam palavra; porque assim lhes havia ordenado o rei, dizendo: Não lhe respondereis. 
ISA.36.22	Então, Eliaquim, filho de Hilquias, o mordomo, e Sebna, o escrivão, e Joá, filho de Asafe, o cronista, rasgaram suas vestes, vieram ter com Ezequias e lhe referiram as palavras de Rabsaqué.
ISA.37.1	Tendo o rei Ezequias ouvido isto, rasgou as suas vestes, cobriu-se de pano de saco e entrou na Casa do 
ISA.37.2	Então, enviou a Eliaquim, o mordomo, a Sebna, o escrivão, e aos anciãos dos sacerdotes, com vestes de pano de saco, ao profeta Isaías, filho de Amoz, 
ISA.37.3	os quais lhe dissessem: Assim diz Ezequias: Este dia é dia de angústia, de castigo e de opróbrio; porque filhos são chegados à hora de nascer, e não há força para dá-los à luz. 
ISA.37.4	Porventura, o 
ISA.37.5	Foram, pois, os servos do rei Ezequias ter com Isaías; 
ISA.37.6	Isaías lhes disse: Dizei isto a vosso senhor: Assim diz o 
ISA.37.7	Eis que meterei nele um espírito, e ele, ao ouvir certo rumor, voltará para a sua terra; e nela eu o farei cair morto à espada.
ISA.37.8	Voltou, pois, Rabsaqué e encontrou o rei da Assíria pelejando contra Libna; porque ouvira que o rei já se havia retirado de Laquis. 
ISA.37.9	O rei ouviu que, a respeito de Tiraca, rei da Etiópia, se dizia: Saiu para guerrear contra ti. Assim que ouviu isto, enviou mensageiros a Ezequias, dizendo: 
ISA.37.10	Assim falareis a Ezequias, rei de Judá: Não te engane o teu Deus, em quem confias, dizendo: Jerusalém não será entregue nas mãos do rei da Assíria. 
ISA.37.11	Já tens ouvido o que fizeram os reis da Assíria a todas as terras, como as destruíram totalmente; e crês tu que te livrarias? 
ISA.37.12	Porventura, os deuses das nações livraram os povos que meus pais destruíram: Gozã, Harã, Rezefe e os filhos de Éden, que estavam em Telassar? 
ISA.37.13	Onde está o rei de Hamate, e o rei de Arpade, e o rei da cidade de Sefarvaim, de Hena e de Iva?
ISA.37.14	Tendo Ezequias recebido a carta das mãos dos mensageiros, leu-a; então, subiu à Casa do 
ISA.37.15	e orou ao 
ISA.37.16	Ó 
ISA.37.17	Inclina, ó 
ISA.37.18	Verdade é, 
ISA.37.19	e lançaram no fogo os deuses deles, porque deuses não eram, senão obra de mãos de homens, madeira e pedra; por isso, os destruíram. 
ISA.37.20	Agora, pois, ó 
ISA.37.21	Então, Isaías, filho de Amoz, mandou dizer a Ezequias: Assim diz o 
ISA.37.22	esta é a palavra que o 
ISA.37.23	A quem afrontaste e de quem blasfemaste? E contra quem alçaste a voz e arrogantemente ergueste os olhos? Contra o Santo de Israel. 
ISA.37.24	Por meio dos teus servos, afrontaste o Senhor e disseste: Com a multidão dos meus carros, subi ao cimo dos montes, ao mais interior do Líbano; deitarei abaixo os seus altos cedros e os ciprestes escolhidos, chegarei ao seu mais alto cimo, ao seu denso e fértil pomar. 
ISA.37.25	Cavei e bebi as águas e com a planta de meus pés sequei todos os rios do Egito. 
ISA.37.26	Acaso, não ouviste que já há muito dispus eu estas coisas, já desde os dias remotos o tinha planejado? Agora, porém, as faço executar e eu quis que tu reduzisses a montões de ruínas as cidades fortificadas. 
ISA.37.27	Por isso, os seus moradores, debilitados, andaram cheios de temor e envergonhados; tornaram-se como a erva do campo, e a erva verde, e o capim dos telhados, e o cereal queimado antes de amadurecer. 
ISA.37.28	Mas eu conheço o teu assentar, e o teu sair, e o teu entrar, e o teu furor contra mim.
ISA.37.29	Por causa do teu furor contra mim, e porque a tua arrogância subiu até aos meus ouvidos, eis que porei o meu anzol no teu nariz, e o meu freio, na tua boca, e te farei voltar pelo caminho por onde vieste. 
ISA.37.30	Isto te será por sinal: este ano se comerá o que espontaneamente nascer e no segundo ano o que daí proceder; no terceiro ano, porém, semeai e colhei, plantai vinhas e comei os seus frutos. 
ISA.37.31	O que escapou da casa de Judá e ficou de resto tornará a lançar raízes para baixo e dará fruto por cima; 
ISA.37.32	porque de Jerusalém sairá o restante, e do monte Sião, o que escapou. O zelo do 
ISA.37.33	Pelo que assim diz o 
ISA.37.34	Pelo caminho por onde vier, por esse voltará; mas nesta cidade não entrará, diz o 
ISA.37.35	Porque eu defenderei esta cidade, para a livrar, por amor de mim e por amor do meu servo Davi.
ISA.37.36	Então, saiu o Anjo do 
ISA.37.37	Retirou-se, pois, Senaqueribe, rei da Assíria, e se foi; voltou e ficou em Nínive. 
ISA.37.38	Sucedeu que, estando ele a adorar na casa de Nisroque, seu deus, Adrameleque e Sarezer, seus filhos, o feriram à espada e fugiram para a terra de Ararate; e Esar-Hadom, seu filho, reinou em seu lugar.
ISA.38.1	Naqueles dias, Ezequias adoeceu de uma enfermidade mortal; veio ter com ele o profeta Isaías, filho de Amoz, e lhe disse: Assim diz o 
ISA.38.2	Então, virou Ezequias o rosto para a parede e orou ao 
ISA.38.3	E disse: Lembra-te, 
ISA.38.4	Então, veio a palavra do 
ISA.38.5	Vai e dize a Ezequias: Assim diz o 
ISA.38.6	Livrar-te-ei das mãos do rei da Assíria, a ti e a esta cidade, e defenderei esta cidade. 
ISA.38.7	Ser-te-á isto da parte do 
ISA.38.8	eis que farei retroceder dez graus a sombra lançada pelo sol declinante no relógio de Acaz. Assim, retrocedeu o sol os dez graus que já havia declinado.
ISA.38.9	Cântico de Ezequias, rei de Judá, depois de ter estado doente e se ter restabelecido:
ISA.38.10	Eu disse: Em pleno vigor de meus dias,
ISA.38.10	hei de entrar nas portas do além;
ISA.38.10	roubado estou do resto dos meus anos.
ISA.38.11	Eu disse: já não verei o 
ISA.38.11	jamais verei homem algum entre os moradores do mundo.
ISA.38.12	A minha habitação foi arrancada e removida para longe de mim,
ISA.38.12	como a tenda de um pastor;
ISA.38.12	tu, como tecelão, me cortarás a vida da urdidura,
ISA.38.12	do dia para a noite darás cabo de mim.
ISA.38.13	Espero com paciência até à madrugada,
ISA.38.13	mas ele, como leão, me quebrou todos os ossos;
ISA.38.13	do dia para a noite darás cabo de mim.
ISA.38.14	Como a andorinha ou o grou, assim eu chilreava
ISA.38.14	e gemia como a pomba;
ISA.38.14	os meus olhos se cansavam de olhar para cima.
ISA.38.14	Ó Senhor, ando oprimido, responde tu por mim.
ISA.38.15	Que direi? Como prometeu, assim me fez;
ISA.38.15	passarei tranquilamente por todos os meus anos,
ISA.38.15	depois desta amargura da minha alma.
ISA.38.16	Senhor, por estas disposições tuas vivem os homens,
ISA.38.16	e inteiramente delas depende o meu espírito;
ISA.38.16	portanto, restaura-me a saúde e faze-me viver.
ISA.38.17	Eis que foi para minha paz que tive eu grande amargura;
ISA.38.17	tu, porém, amaste a minha alma
ISA.38.17	e a livraste da cova da corrupção,
ISA.38.17	porque lançaste para trás de ti
ISA.38.17	todos os meus pecados.
ISA.38.18	A sepultura não te pode louvar,
ISA.38.18	nem a morte glorificar-te;
ISA.38.18	não esperam em tua fidelidade
ISA.38.18	os que descem à cova.
ISA.38.19	Os vivos, somente os vivos, esses te louvam
ISA.38.19	como hoje eu o faço;
ISA.38.19	o pai fará notória aos filhos a tua fidelidade.
ISA.38.20	O 
ISA.38.20	pelo que, tangendo os instrumentos de cordas,
ISA.38.20	nós o louvaremos todos os dias de nossa vida,
ISA.38.20	na Casa do 
ISA.38.21	Ora, Isaías dissera: Tome-se uma pasta de figos e ponha-se como emplasto sobre a úlcera; e ele recuperará a saúde. 
ISA.38.22	Também dissera Ezequias: Qual será o sinal de que hei de subir à Casa do 
ISA.39.1	Nesse tempo, Merodaque-Baladã, filho de Baladã, rei da Babilônia, enviou cartas e um presente a Ezequias, porque soube que estivera doente e já tinha convalescido. 
ISA.39.2	Ezequias se agradou disso e mostrou aos mensageiros a casa do seu tesouro, a prata, o ouro, as especiarias, os óleos finos, todo o seu arsenal e tudo quanto se achava nos seus tesouros; nenhuma coisa houve, nem em sua casa, nem em todo o seu domínio, que Ezequias não lhes mostrasse. 
ISA.39.3	Então, Isaías, o profeta, veio ao rei Ezequias e lhe disse: Que foi que aqueles homens disseram e donde vieram a ti? Respondeu Ezequias: De uma terra longínqua vieram a mim, da Babilônia. 
ISA.39.4	Perguntou ele: Que viram em tua casa? Respondeu Ezequias: Viram tudo quanto há em minha casa; coisa nenhuma há nos meus tesouros que eu não lhes mostrasse.
ISA.39.5	Então, disse Isaías a Ezequias: Ouve a palavra do 
ISA.39.6	Eis que virão dias em que tudo quanto houver em tua casa, com o que entesouraram teus pais até ao dia de hoje, será levado para a Babilônia; não ficará coisa alguma, disse o 
ISA.39.7	Dos teus próprios filhos, que tu gerares, tomarão, para que sejam eunucos no palácio do rei da Babilônia. 
ISA.39.8	Então, disse Ezequias a Isaías: Boa é a palavra do 
ISA.40.1	Consolai, consolai o meu povo, diz o vosso Deus. 
ISA.40.2	Falai ao coração de Jerusalém, bradai-lhe que já é findo o tempo da sua milícia, que a sua iniquidade está perdoada e que já recebeu em dobro das mãos do 
ISA.40.3	Voz do que clama
ISA.40.4	Todo vale será aterrado, e nivelados, todos os montes e outeiros; o que é tortuoso será retificado, e os lugares escabrosos, aplanados. 
ISA.40.5	A glória do 
ISA.40.6	Uma voz diz: Clama; e alguém pergunta: Que hei de clamar? Toda a carne é erva, e toda a sua glória, como a flor da erva; 
ISA.40.7	seca-se a erva, e caem as flores, soprando nelas o hálito do 
ISA.40.8	seca-se a erva, e cai a sua flor, mas a palavra de nosso Deus permanece eternamente.
ISA.40.9	Tu, ó Sião, que anuncias boas-novas, sobe a um monte alto! Tu, que anuncias boas-novas a Jerusalém, ergue a tua voz fortemente; levanta-a, não temas e dize às cidades de Judá: Eis aí está o vosso Deus! 
ISA.40.10	Eis que o 
