MAT.1.1	Am maŋge ŋen maŋge ŋen sokbem kotnepeme Zisas ek Abalaam ma Dewit egegat iŋsokŋit penaŋ sokbeye.
ACT.2.16+ACT.2.17	Muluwaŋ kapi sokbembeyelen Kawawaŋgalen golaŋ zenze an Zoel egaŋ kapiyet eweŋan baenen Kawawaŋaŋgalen Zet Itnaŋanen pigok zeme nâmti meluwaŋ kapigok mge,
ACT.2.16+ACT.2.17	‘Kan bududuk beme neŋ nemunambaŋine ekŋenaŋ neŋmagen bamgat zigok sokbeweyet zet timti zemkawaŋ bemâbep. Ma nembaŋine zomolim notnaŋ ekŋen zikalin mitima meluwaŋ mamanamaŋ notnaŋ ekbep ma ailip ekŋen kwitnaŋ kwitnaŋ notnaŋ kieset zikat indama ekbep ma Emetakŋ Teŋ msat sambe am keŋinan bemisik indewap. 
ACT.2.18	Ma kan keyet sisiliŋ animbinne ekŋen Emetakŋ Teŋaŋ keŋinan mulat indema ekŋenaŋ neŋmagen bamgat zigok sokbeweyet zet indama zemkawaŋ bemâbep. 
ACT.2.19+ACT.2.20	Neŋ kululuŋen ma msalen menok notnaŋ kapigok mma sokbemâbe. Msalen tep temaŋ zime kasak temaŋ kwaikbe ma am sipmaŋ kileŋ mulapmebep ma kululuŋen neŋ kasup zikatnan mma sopsop kuwe ma eyoŋga zikatnaŋaŋ ŋamaŋ sip nemboŋ beme Amobotnaŋaŋ kopme oloŋen mimi keyet kanaŋ ke bewe. 
ACT.2.21	Kegok sokbeme an ŋenaŋ Amobotnaŋgat kwitnanen dunduwe beme egaŋ aŋgalaŋpewe.’ 
ACT.2.22	Islael am notnne, in zet kapi tatnâme zema nâit: Kawawaŋaŋ ikŋaŋ Zisas Nasalet mkaengatnaŋ mulup same egaŋ inmagen menok kwitnaŋ kwitnaŋ mzikat indamkwapme ekmâtâbien. 
ACT.2.23	Ewaŋan tipman baen Kawawaŋaŋ ikŋaŋ ke mimiyelen nâmâtâtpeye keyet kataŋ inmagen sokbeme in an bekanaŋ mimi penaŋ ekŋengat belinan beme ekŋenaŋ tewen kumasasok peme tati gakiye. 
ACT.2.24	Yaŋgut gakikiyelen windeyaŋ ku atam tage. Kawawaŋaŋ mme gilik zem wati gakikiyelen nukŋaŋ sambe beye gaipeme weŋge. 
ACT.2.25	Keyet Dewilaŋ eweŋan Zisasiyet zetnaŋ kapigok zemkawaŋ beye,
ACT.2.25	‘Neŋ Amobotnaŋ ekma zimosetnnan kwesiŋ matazin. Egaŋ nâgât betn penaset tazingapmti kwilekiŋen nukŋaŋaŋ ku naikbe. 
ACT.2.26	Egaŋ neŋ gakikiengatnan mme wapma mama kanzizit nanayet zetik mneŋgeyet webem mayap. Keyepmti neŋ nâma dolakŋaŋ penaŋ beme zetn oloŋen palen manzeyap. 
ACT.2.27	Geŋ ek ketalatpemane am gakikiŋaŋ mundumen ku tabe. Ma geŋ Nemundi Teŋ ek pemane gakimti sekŋaŋ msalen ku sambuwe. 
ACT.2.28	Geŋ mama kanzizitgalen set zikat nawanan. Âpme gâgât monzalamdan neŋ oloŋen temaŋ penaŋ mbap.’ 
ACT.2.29	Notnne, neŋ yeŋŋ sokŋ Dewit egat zet pigok penaŋ zemkawaŋ bema nâit. Ek ilak itnaŋaŋ gakime bewien yaŋ bewien ke am zaimaŋ sosok tapme maeknup. 
ACT.2.30	Ek golaŋ zenze an mamkwapme Kawawaŋaŋ egat zetik mpemti kapigok zemkatik bempeye. In sokdine ekŋenmagengatnaŋ an ŋen aikma egaŋ nâlen Amobotnaŋ mundumm ke tiwe. 
ACT.2.31	Ke nâmti eweŋanak tipman baen Kilaisiyaŋ gakimti wabeyet zetnaŋ pigok zeye,
ACT.2.31	‘Kawawaŋaŋ am gakikiŋaŋ ekŋengat tuŋguwinan peme wemti sekŋaŋaŋ ku sambuwe.’ 
ACT.2.32	Zet keyet kataŋ Zisas ek Kawawaŋaŋ gakikiengatnan mme wapme nin Zisas walep elak penaŋ ekmâtâbenn. Keyet zapatnaŋ kapi manzemkawaŋ benup. 
ACT.2.33	Egaŋ wati moti Kawawaŋgat betnaŋ penaset moti tapme Kawawaŋaŋ Zisasiyet Emetak Teŋ peme totogat zetik mpeye keyet kataŋ Emetak Teŋ peme toti ninmak tati mulup mme in alak egat yaŋaŋ kapi sokbeme egip. 
ACT.2.34+ACT.2.35	Dewit sekŋaŋ melesiŋ kululuŋen ku moge yaŋgut zet belak kapigok etaŋ zeye,
ACT.2.34+ACT.2.35	‘Kawawaŋaŋ nâlen Amobotnaŋgat pigok dunduye, “Kot betn penaset tot tapmane neŋ kasandine maŋge kwep bemindema geŋ windeŋin mtoindewanik.” ’ 
ACT.2.36	Keyepmti Islael am in pigok nâmkatik beseip, in Zisas an yomengatnan ndatitiyet koge an ke tep palen kume gakiye. Kilais ek ke Kawawaŋaŋ alak mtati Amobotnaŋ onzempeme tazin.”
ACT.2.37	Pitayaŋ zet kegok zeme amnaŋ nâmtemtem mti Pita ma ombemindendeŋaŋ an notnane notnaŋ pigok indayaŋkwesiwien, “Notnne, nin zigok penaŋ mmann ŋep penaŋ besem?”
ACT.2.38	Zeme Pitayaŋ pigok diindoye, “In kwep kwewaŋ bekanaŋin eknâmti yomengatnaŋ gilik zemti Zisas Kilais nâmkiŋpemti egat kwitnanen tu zulutme Kawawaŋaŋ ingat yomin katikpewe. Kegok mme Kawawaŋaŋ in Emetak Teŋ taolet m indawe. 
ACT.2.39	Ilin ma nemunambaŋine ma am msat sambe tapmelip kapi Amobotnaŋ Kawawaŋgat zetnaŋ nâmti ekmagen kobep kataŋ egaŋ Emetak Teŋaŋ indandayet zetik mpeye ke indawe.”
ACT.2.40	Pitayaŋ zet kegok diindomti ewe tusumti golaŋ zet pigok diindoye, “In am myuŋguŋguŋin temaŋ ekŋenmagen peme tapme keŋin gilik zemti kobep. Am bekanaŋ ekŋen ke Kawawaŋaŋ indawaletbe nâip!” 
ACT.2.41	Kegok zeme kasup keyegak am 3000 mee kogaŋ Kawawaŋgalen zet zapat dolakŋaŋ nâmti nâmkiŋpeme tu zulutindeme Kilaisiyelen am maŋge ekŋenmagen tusuwien.
ACT.2.42	Âpme am ekŋen kapi ombemindendeŋaŋ ekŋenaŋ Kawawaŋgalen zet zapat dolakŋaŋ mandiindom kwatemien. Mti keŋ kwep penaŋ bemti tambuŋalem niniyet ma dundundu mulup mimiyet mene mene maondaktemien.
ACT.2.43	Âpme Kawawaŋaŋ ombemindendeŋaŋ ekŋengat palesetgatnaŋ menok sambe penaŋ mgeyepmti am sambe ekŋenaŋ nâmtemtem palen mamkwabien. 
ACT.2.44	Am nâmkiŋpepemak ekŋenaŋ keŋ kwep bemti kwitnaŋ kwitnaŋin sambe bee temakwep apalak tim nimwiaŋ wiaŋ mmamkwabien. 
ACT.2.45	Ma ekŋenaŋ msalin mkaŋin ma kwitnaŋ kwitnaŋin sambe bee ketalasime amnaŋ keyet tosaŋaŋ mânep indame timti ondek bemti naman ilinagak olat zeme kataŋ kalaŋ indame matimtemien. 
ACT.2.46	Ekŋenaŋ tambu misa kataŋ Zuda am ilinaŋgalen sesewat mka teman ilindiŋ maondaktemien. Ondekpemti naman kalaŋti mka ŋen mka ŋen mekoti meu time kwawepme ilindiŋ kalaŋ kumnimti oloŋen palen tati tambuŋalem manimetemien. 
ACT.2.47	Mama mimi dolakŋaŋ kegok mkwati Kawawaŋ kwizet buŋamaŋ mwati sesewatsamkwapme am notnaŋaŋ ke egomti ekŋenmagen tusumti nâmkiŋpepe aikme Amobotnaŋ Kawawaŋ ikŋaŋgalen maŋgeen ke matusum indemtan.
ACT.3.1	Kan ŋeniyet Pitamak Zân egelaŋ 3 kilok dundundu kanaŋ beme Zuda am ilinaŋgalen sesewat mka teman dundundu mulup msât mowebun. 
ACT.3.2	Âpme an ŋen setnaŋ wesiŋ mamkeŋ keboŋ sokbembeŋaŋ an ke notnaneyaŋ tambu msa luaen luenzamti kot Zuda ilinaŋgalen sesewat mka temaŋ keyet “Setokwakwat Dolakŋaŋ” manzemtemien keeset peme tati ekme am sambeyaŋ sesewat mka temanen mobot totot mme indikti mânep milawatgat mawekumindamtan. 
ACT.3.3+ACT.3.4	An keyaŋ tati idikme Pitamak Zân egelaŋ sesewat mka teman mowesât mmalu idikti kegogak mânep milawatgat idawekume egelaŋ ek eksememuŋ mtati Pitayaŋ pigok dunduye, “Geŋ pien ndikbak!” 
ACT.3.5+ACT.3.6	Mme an setnaŋ bekanaŋ egaŋ wa kwileki ŋen nasâpmilup mene zemti eleŋzemoidikme Pitayaŋ egat zeye, “Nit mânep milawat mene ŋen ku tatndain. Kwewetaŋ tatndain ke gasâpmilup. Zisas Kilais Nasalet mkaengatnaŋ egat kwitnanen zeyapgat wati met!” 
ACT.3.7+ACT.3.8	Kegok zemti betnaŋ penaset betname setnaŋ ŋandoŋaŋ dolakŋaŋ beme sakwep eleŋ beleŋ bemti wat mutututi mebekokot mti egetmak ilinsakwep sesewat mka temaŋ keŋan moti set mamaŋaŋgat oloŋen mti palam mobot totot mti Kawawaŋ zemsesewatpeye. 
ACT.3.9+ACT.3.10	Âpme an keyaŋ set tapmamti Kawawaŋ tasesewatsame am sambeyaŋ ekti nâmtemtem mti zewien, “Sesewat mka temaŋ ‘Sekekek Dolakŋaŋ’ manzeip ke totati mânep milawatgat ndawekumti matazin wa an ikŋaŋ kapimak zemti nâmtemtem mbien.”
ACT.3.11+ACT.3.12	An keyaŋ Pitamak Zân egetmagen met ilinsakwep mka keŋan ŋen kwitnaŋ Solomon makumtemien ke mame amnaŋ indikti buluŋ bililiŋ ilinsakwep ekŋenmak ke met ondektati nâmtemtem temaŋ mti tapme Pitayaŋ am ke indikti pigok diindoye, “Am in kapi kwilekiyet an wesiŋ dolakŋaŋ bep keyet ektemtem mti nit ŋandem tatndigip? Kwitnaŋ kwitnaŋ ke ndaŋgat windenidaŋgat ma teŋ mamanndaŋgat mamaŋaŋ ku aiksalut. 
ACT.3.13	Nit yeŋsokŋne Abalaam ma Aisak ma Zekop mee ekŋengalen Kawawaŋ egaŋ Nemuŋaŋ Zisas ek Amobotnaŋ mwat onzempemti winde temaŋ saye. An ke in zemkumti kasa kuku an ekŋengat belinan beme ekŋenaŋ wati amobotnaŋ Pailetmagen mepme egaŋ yomaŋ ŋen ku aikti belak zempeme mebegalen mgeyaŋgut in zekaŋkaŋ mti kume gakikiyet zewien. 
ACT.3.14	In An Teŋ ma Kwatetepmaŋ ek bamkumpemti amobotnaŋ Pailetgat kwizet kaliaŋ kumti an bekanaŋ am indom enzilili ke nâmpeme inmagen totogat zewien. 
ACT.3.15	Mti in An mama toŋaŋ ek kume gakiye yaŋgut Kawawaŋaŋ gakikiengatnan mme gilik zem wage. Nin an keyet zet zapatnaŋ manzempalakŋaŋ benup. 
ACT.3.16	Keyepmti nit Zisasiyaŋ ikŋaŋ winde ndame nit nâmkiŋpepemak tati ikŋaŋgat kwitnanen an kapi mmalu dolakŋaŋ bemti ingat zikalinan tapme taegip kapi.
ACT.3.17	Notnne, neŋ ŋep nâmindeyap in ma amobotnaŋine in Zisasiyet yaŋaŋ ku nâmtiyepm ek yomepiŋaŋgut belak kegok msawien. 
ACT.3.18	In meluwaŋ ke mme Kawawaŋaŋ golaŋ zenze anane ekŋengat zeme ekŋenaŋ Kilais sindem nâmeti gakikiyet zet zapatnaŋ dolakŋaŋ papia itnaŋanen meluwaŋ mkwabien ke penaŋaŋmak beye. 
ACT.3.19	Keyepmti in yomengatnaŋ keŋin gilik zemti Kawawaŋmagen kopme egaŋ mama mimiŋin bekanaŋ ke katikpemti gilik zemindatime in sek welelaŋin kwawepme mambep. 
ACT.3.20	Zisas Kilais ke Kawawaŋaŋ ninmagen peme kokogat ombempeye. Yaŋ maneti zempeme ninmagen kapi toge. 
ACT.3.21	Zisasiyaŋ Bipmaŋgalen mowegeen keyegak mame Bipmaŋaŋ msat kululuŋ pi asekti naman alakŋaŋ mme sokbemâbe keyet zetikŋaŋ eweŋan golaŋ zenze anane teŋ zemindeme ekŋenaŋ keyet zapatnaŋ esemteŋ zemkawaŋ bemâbien. 
ACT.3.22	Golaŋ zenze an ekŋen keyet tuŋguwinaŋgatnaŋ ŋen Moses egaŋ zet kapigok zemsokbeye,
ACT.3.22	‘Amobotnaŋ Kawawaŋaŋ inmagengatnaŋ nolin ŋen mwat onzempeme egaŋ neŋ golaŋ zenze an mamayap keyet kataŋ mamti zetnaŋ zeme nâmti gawepuwep. 
ACT.3.23	Golaŋ zenze an keyelen zetnaŋ am notnaŋaŋ gawepumti ekmagen ku tusuwep beme Kawawaŋgalen maŋgeengatnan zemindeme zupman meti walelet aikbep.’ 
ACT.3.24	Âpme eweŋan tipman baenen golaŋ zenze an Samuel ma notnaŋ egat bamaŋ mamkwabien ekŋenaŋ kan kapi sokbembeyet zetnaŋ papiaen meluwaŋ mkwabien. 
ACT.3.25	In golaŋ zenze an ekŋengat nemunambaŋine in kapiyet Kawawaŋaŋ yeŋsokŋin Abalaamak tususu mti egat zetik pigok mpeye ke toŋaŋ in bewep. Kawawaŋaŋ egat pigok zeye,
ACT.3.25	‘Neŋ gâlen maŋgaengatnaŋ an ŋen egat pembenaŋgapmti msalen am sambe talip ekŋenmagen kwitnaŋ kwitnaŋ dolakŋaŋ mimindawap.’ 
ACT.3.26	In kapiyepm Kawawaŋaŋ eweŋan nâmâtâti Nemuŋaŋ Zisas zempeme kot msalen kapi sokbeye ke in ŋeŋaŋ mama mimi bekananengatnan indapmukulem mti gilik zemindatitiyet kegok mge.”
ACT.4.1+ACT.4.2+ACT.4.3	Pitamak Zânaŋ ke tati animbi zet kegok diindomambe tapmalu sâpe sâpe bumbu an ekŋen ma Zudayelen sesewat mka temaŋgalen an tipdakutum ekŋengat ŋeŋaŋin ma zii zet zikat indanda an ekŋenaŋ kopmâbien. Ekŋenaŋ kotati ekme Pitamak Zânaŋ Zisasiyaŋ wage ma am gakikiŋaŋaŋ wabep keyet zapatnaŋ animbi sambe tadiindom kwapmalu ekŋenaŋ keyet nâme ŋep ku beme indatimti zemidosât nâmbienaŋgut msat gasi beyeyepmti belak idatimti met mka katikŋan sekek idewien. 
ACT.4.4	Yaŋgut am egetgalen zet nâmti notnaŋaŋ nâmkiŋpepe aikti Zisasmagen tusume am nâmkiŋpepemak sambe penaŋ temakwep 5000 mee kogok beye.
ACT.4.5+ACT.4.6+ACT.4.7	Msa msame sâpe sâpe bumbu an ŋeŋaŋ ma sesewat mka temaŋgalen an damuŋ notnaŋ ma zii zet zikat indanda an ekŋenaŋ meti sâpe sâpe bumbu an ŋeŋaŋin temaŋ Anas ma egalen maŋgaengatnaŋ am notnaŋ ma Kaipas ma Zân ma Aleksandia ma sâpe sâpe bumbu an notnaŋ ekŋenmak temakwep Zelusalem mka teman ondekti Pitamak Zân tuŋguwinan onzemidemti pigok idayaŋkwesiwien, “It winde kwiyaŋ ma kwiyet kwitnanen ma meluwaŋ zigok penaŋ mti an wesiŋ kapi mmalu dolakŋaŋ beyan?”
ACT.4.8+ACT.4.9	Idayaŋkwesime Pitayet keŋanen Emetak Teŋaŋ zet same zelin dopmaŋ pigok gilik zemindaye, “Sâpe sâpe bumbu an ŋeŋaŋŋne ma sesewat mka temaŋgalen an damuŋŋne in nit awesiŋ ke zigok penaŋ mti mmalu dolakŋaŋ bep keyet yaŋaŋ penaŋ nâsâgât ndayaŋkwesimti talip. 
ACT.4.10	Keyepmti nit zemkawaŋ bemalu in ma Islael am ilinsakwep yaŋaŋ nâmâtâlit. Zisas Kilais Nasalet mkaengatnaŋ e in tewen kumasasok peme gakime bewien. Yaŋ Kawawaŋaŋ naman gakikiengatnan mme wageyaŋ main. Egat kwitnanen an wesiŋ kapi sekŋaŋ mmalu dolakŋaŋ beyanaŋ kapi tapme taegip. 
ACT.4.11	An Zisas keyet Kawawaŋgalen Zet Itnaŋanen baen meluwaŋ kapigok mimiŋaŋ tazin,
ACT.4.11	‘Mka walalat an ekŋenaŋ tepum ŋen bekanaŋ zemti peme meweŋgeyaŋ alak tepum keyaŋ mka tepumaŋ kaliŋaŋ penaŋ bemti mka atam tazin.’ 
ACT.4.12	Kawawaŋaŋ msalen an ŋenaŋ am ŋen yomengatnan gilik zemti indatitiyet winde ŋen ku saye. Egaŋ Zisasiyaŋ mulup ke mimiyet nâmti ek etaŋ saye.”
ACT.4.13	Zet keboŋ keboŋ etaŋ tazemalu am tabienaŋ nâmti zewien, “An zut kapiyaŋ nânâ mka temanen ku mebun. Zisasmak belak mamtemunaŋgut nânâ kaboŋ kapi deeset tiwunaŋ kiŋgagapiŋ pi nâmtalati tazelup.” Zemti nâmtemtem penaŋ mbien. 
ACT.4.14	Âpme ekŋenaŋ an setnaŋ bekanaŋ weyaŋpewun ke egetmak ilinsakwep tapme indikti zet dopmaŋ ŋen gilik zemindandayet nâme ŋep ku beme peme tage. 
ACT.4.15	Kegok zemti tabienaŋ yek beme eget zemideme zupman towepmalu ilinak tati pigok zenâ zenâ mbien, 
ACT.4.16	“An zut kapi zigok mimidasenup,” zem zenâwien? “Egelaŋ menok ke msokbemalu Zelusalem mkaen animbi sambeyaŋ keyet zapatnaŋ ilak nâme delaŋ zep keyepmti nin ŋep ku iyaŋ indendeyelen bein.” 
ACT.4.17	Zem mbienaŋ yek beme zewien, “Yegat mulup ewe tusum mmalu am sambeyaŋ nâmbepgapmti nin zemkiŋgagat zet zemann egelaŋ keyet kiŋgati Zisasiyet kwitnaŋ ewe ku mpalakŋaŋ bewalup.”
ACT.4.18	Kegok zemnâmpemti naman idazemtetime mka keŋanenak mowepmalu pigok zewien, “It am ŋen ewe Zisasiyet yaŋaŋ ŋen ku zemzikat indawalup.” 
ACT.4.19	Kegok zeme Pitamak Zân egelaŋ zewun, “Nit zet kapi zemalu ilin opem nâit. Ingalen zet gawepumti Kawawaŋgalen zet peŋ pemalu toweme keyet Kawawaŋaŋ nigat nâme zigok bewe? 
ACT.4.20	Nit Zisasiyet mulupmaŋgat yaŋaŋ sambe be ekmâtâpmalu delaŋ zeye. Keyepmti kwizapatnaŋ kapi belak atam pemalu ku tabe.” 
ACT.4.21	Egelaŋ kegok zemalu an ŋeŋaŋ ekŋenaŋ zemkiŋgagat zet notnaŋ ewe tusumdiidomti belak ideme toti mebun. Am sambe ekŋenaŋ muluwaŋ ke ekti Kawawaŋgat sesewatsawien keyepmti an temaŋ temaŋ ekŋen keyaŋ kwindemti an zut ke kwileki ŋen ku miidawien. 
ACT.4.22	An wesiŋ Pitamak Zânmak menok temaŋ egat palen mti weyaŋpewun. An ke nup kanaŋ 40 sebempein.
ACT.4.23	Pitamak Zânaŋ amobotnaŋ ekŋenaŋ katikideme egelaŋ nâmkiŋpepemak am nolitne ekŋenmagen koti ondedagen sâpe sâpe bumbu an ma sesewat mka temaŋgalen an damuŋ notnaŋ ekŋenaŋ zet zewien keyet zapatnaŋ mimindawien. 
ACT.4.24	Âpme ekŋenaŋ zet ke nâmti keŋin ondek kwep bemti Kawawaŋgat pigok dunduwien,
ACT.4.24	“Amobotnaŋ, geŋ kululuŋ msat ma nembu temaŋ ma kwitnaŋ kwitnaŋ sambe mamaŋaŋmak wemezin kapi mmane sokbem mâge. 
ACT.4.25	Geŋ ningat yeŋsokŋ Dewit mulup andi Emetakdi Teŋaŋ keŋaŋ m eleŋ beleŋ beme zet kapigok zeye,
ACT.4.25	‘Zigogat am Zuda maŋgaen ku sokbembeŋaŋ ekŋenaŋ Amobotnaŋgat ŋenzinziŋ mti kusât tapmip? Ma pe kwilekiyet am ekŋen kapiyaŋ ondekti kwitnaŋ kwitnaŋ yaŋaŋ yaŋepiŋ kapi msâgât tazenâip? 
ACT.4.26	Msalen an damuŋ sambe ekŋenaŋ Amobotnaŋ Kawawaŋ ma Nemuŋaŋ Kilais egetmak âsâgât keŋ kwep bemti zenâ zenâ tapmip.’ 
ACT.4.27	Dewilaŋ zeye keyet kataŋ amobotnaŋ Elotmak amŋane Islael ekŋenmak am Zuda maŋgeen ku sokbembeŋaŋmak amobotnaŋin Pailet ekŋenaŋ mka temaŋ kapi temakwep bemti Kawawaŋ geŋ Zisas mulup andi teŋ ke pemane am yomengatnan ndatitiyet ombempemti zempemane koge ek kume gakikiyet mulupmaŋ penaŋ sukwep mbien. 
ACT.4.28	Geŋ eweŋan baen mulup andi kemagen kwitnaŋ kwitnaŋ ke sokbembeyet zemkabewanan keyet kataŋ sokbemsaye. 
ACT.4.29	Yaŋ alak pi naman nin Zisas mâti mamann amnaŋ ningat kasa tapminndaip keyet Amobotnaŋ geŋ kasa keyet keŋan winde ndamti ndamukulem mmane nin kiŋgagapiŋ gâlen zet zapadi dolakŋaŋ kapi ammagen windeŋambeŋ zemkawaŋ bemann zet zapadaŋ palakŋaŋ bewe. 
ACT.4.30	Kawawaŋ, geŋ mulup andi teŋ, Zisas egat mti winde ndamane nin am zawatmak ekŋen mmann alik bewep ma nemundi Zisas egat kwitnanen nin menok yaŋaŋ igak igak mbanup.”
ACT.4.31	Kegok dundum delaŋ zeme mka ondek tapmambienen ke titok temaŋ mti mekwapme Kawawaŋgalen Emetak Teŋaŋ am tabien bee keŋinan topme ekŋenaŋ kiŋgagapiŋ eleŋ belaŋ bemti zet zapat dolakŋaŋ am keŋan windeŋambeŋ penaŋ zemkawaŋ bemebien.
ACT.4.32	Zisas nâmkiŋpepeŋaŋ am ekŋenaŋ ondekti keŋ kwep bemti milawalin mee toŋan toŋan ku timamkwabien ekŋenaŋ milawalin belak apapalak timamkwabien. 
ACT.4.33	Kegok taindame ombemindendeŋaŋ ekŋenaŋ Zisas gakikiengatnan wage keyet zapatnaŋ windeŋaŋbeŋ am ekŋengat zemkawaŋ bewien. Âpme am nâmkiŋpepemak ekŋengat tuŋguwinan Kawawaŋgalen keŋ taolelaŋ bemisik tage. 
ACT.4.34	Ekŋenmagen ŋenaŋ ola olat palen ku maŋge. Ekŋenaŋ msalin mee tage ke an ŋenaŋ kwitime mânep ke mti met ombemindendeŋaŋ an ekŋengat belinan mambemtemien. 
ACT.4.35	Âpme ekŋenaŋ ke timtati am ŋenaŋ kwileki ŋengat olati kot zeme kataŋ milombiŋinanengatnan ke timtati maindatemien.
ACT.4.36	Âpme kan keyet an ŋen Zosep ombemindendeŋaŋ ekŋenaŋ kwitnaŋ Banabas manzemtemien. (Banabas kwit keyet yaŋaŋ, An Zemgwatnaŋ Mimi.) An ke Liwaiyelen maŋgeengatnaŋ msatnaŋ Saipalasiyetnaŋ. 
ACT.4.37	An keyaŋ msatnaŋ an ŋeniyet zeme kwitime mânep ke mti kot ombemindendeŋaŋ ekŋengat belinan beye.
ACT.5.1	Awembiŋ zut ŋen mamamtemun apmaŋ kwitnaŋ Ananias imbiŋaŋ Sapila egelaŋ kegogak msalit butnaŋ ŋen tosayet zemalu amnaŋ kwitiwien 
ACT.5.2+ACT.5.3	yaŋgut mânep piwan timti imbiŋaŋmak zenâmti keŋ kwep bemti mânewit butnaŋ enzilim pemti butnaŋ etaŋ apmaŋaŋ mti met ombemindendeŋaŋ ekŋenmagen beme Pitayaŋ mânep ke ekti zeye, “Ananias, geŋ kwilekiyet Sadaŋaŋ keŋdi myuŋgume mânep msadaŋgat tosaŋaŋ tinak ke butnaŋ buzak enzilimpemti butnaŋ etaŋ mti kot Emetak Teŋ tatetipenik? 
ACT.5.4	Geŋ msadi kegok nâmti belak pemane gitaŋgat zapat tadak. Ma an keyaŋ msadi kwitime mânepdi giti timti kwilekindi ŋen msât nâmti mbek piwan? Geŋ kwilekiyet mânep ekti keŋdi puŋpuŋ mme kegok mnak. Geŋ wa nin ku tetindenak; Kawawaŋ tetipenak nânik!” 
ACT.5.5	Zet kegok zeme Ananiasiyaŋ nâmti keyegak tokutumti gakime am notnaŋ tabien ekŋenaŋ ekti kiŋgabien. 
ACT.5.6	Âpme an zomolim notnaŋ tabien ekŋenaŋ moti egat sekŋaŋ sâgaŋ sumuŋti met am sumen bewien.
ACT.5.7+ACT.5.8	Ke mti belaknik tatnepeme Ananiasiyet imbiŋaŋaŋ apmaŋgat zapat nânâpiŋ belak kwawopme keyegak Pitayaŋ egat zeye, “Msatgalen mânep kapi etaŋaŋ apdaŋ mti kobep?”
ACT.5.7+ACT.5.8	Zeme imbiŋaŋaŋ zeye, “Ilak buke etaŋ keyalak ke mkobepmak.”
ACT.5.9	Zeme Pitayaŋ zeye, “Abdimak it kwilekiyet Emetak Teŋ tetipepeyet keŋit kwep belut? Nemba zomolim set tokwakwalen talip ekŋen kaimaŋ abdi mmet beyo yaŋ geŋ kegogak gapmet beseip!” 
ACT.5.10	Kegok zeme imbiwan setnaŋ kandaŋan ke tot gakiweme an nemba zomolim tabien ekŋenaŋ mka keŋan kwati sekŋaŋ mti apmaŋ bewien keyet solonan mebewien. 
ACT.5.11	Kegok mme am nâmkiŋpepeŋinmak maŋge ma am notnaŋ ekŋenaŋ zapat ke nâmti zemkiŋgagat omba penaŋ mbien.
ACT.5.12+ACT.5.13	Ombemindendeŋaŋmak am nâmkiŋpepemak ekŋenaŋ keŋ kwep bemti sesewat mka temaŋ keŋaŋ ŋen Solomon manzemtemien ke maondaktemien. Mti tokwati am tuŋguwinan menok sepem igak igak mme ekti am notnaŋaŋ nâmkiŋpepemak ekŋengat nâmindeme mobotnaŋ beme ekŋenmak tususâgât manâmtemien yaŋgut Zuda amobotnaŋ notnaŋgat makiŋgatemien. 
ACT.5.14	Yaŋgut mulup ke ewe tusum mmepme animbi sambe penaŋaŋ Zisas nâmkiŋpemti ombemindendeŋaŋ ekŋengalen maŋgeen omba penaŋ metusumâbien. 
ACT.5.15	Âpme ombemindendeŋaŋ an ekŋenaŋ menok sambe mme kwizet buŋamaŋaŋ mekopme nâmti keyepm am ekŋenaŋ noline zawat sek sindemak indaluanzam timti Pitayaŋ kasuwen kwawepme weŋaŋaŋ ekŋengat paleset kwawepme dolakŋaŋ beseip zemti ekŋen set ganzenan sin yaŋgemindeme toti selen dombem tapmebien. 
ACT.5.16	Âpme Zelusalem mka temaŋ keyet sokŋanik mka tapmege keyet am sambe penaŋ ekŋenaŋ kegogak noline zawat sek sindemak ma we bekanaŋaŋ keŋinan tatatnaŋ indatimti kopme Pitayaŋ weyaŋindeme dolakŋaŋ bemâbien.
ACT.5.17+ACT.5.18	Mulup dolakŋaŋ kegok tapm mepme sâpe sâpe bumbu an sambe ekŋengat ŋeŋaŋin ma notnane Sadusi notnaŋ ekŋenaŋ ilinsakwep ombemindendeŋaŋ ekŋengat nâmbekambemindemti keyegak wati met indatamti mka katikŋan meindeme 
ACT.5.19+ACT.5.20	tatnepeme tambu sutnan Kawawaŋgalen enselaŋ toti set kwaletindemti zupman indatimtoweti zeye, “In meti sesewat mka temaŋ keŋan moti animbi mama mimi alakŋaŋ kapiyet zapatnaŋ ewe tusumti diindoseip.” 
ACT.5.21	Ombemindendeŋaŋ ekŋenaŋ zet ke nâmti toti met tambuŋan penaŋ sesewat mka temanen moti animbi zezapat diindomâbien. Âpme sâpe sâpe bumbu an sambe ekŋengat ŋeŋaŋin ma notnane ekŋenaŋ Zuda am ekŋengalen amobotnaŋ sambe ekŋenaŋ kopme ondektati ombemindendeŋaŋ zelen indendeyet nâmti zet beme mekopme an ŋeŋaŋ notnaŋ zemindeme mka katikŋaŋ meti ombemindendeŋaŋ ekŋen indatim kopme amobotnaŋ zimoselinan tati yaŋaŋin zenzeyet nâmti zemindeme mebien. 
ACT.5.22	Am indatisât mebien ekŋenaŋ mka katikŋaŋgalen an damuŋ ekŋen ilinsakwep damuŋ mti tapme moindaikti mka katikŋaŋ set mâtâti keŋan moti ekme ombemindendeŋaŋ ekŋen ŋen ku tabiengapmti meti zewien, 
