MAT.1.1	Si Jesus a sya a Cristo
ROM.5.16	Saytin bunga, naiduma anamaet nin adayo' sa bunga nin nagwa' nan kasalanan ni Adan. Anaod, bana' sa nipagkasalanan nan ni'sa ni Adan, sarban tawo, nasintinsyawan nin nagkasalanan tan manepeg nin madusa. Bale' bana' sa ginwa' nan Dios nin masibulot a nakem na, nagkamain nin padalan a maikwinta natamon kai nin nagkasalanan abirno nin nagkasalanan atamo nin ni'no. 
ROM.5.17	O' anaod, mati a sarban tawo bana' sa kasalanan nan sayay tawo a si Adan. Wanin man, say bunga nin ginwa' nan sayay tawo a si Jesu-Cristo ket mas et a kuri. Wanin, ta saray si'numan a mampanga'mor sa sain nin pinasyan kaalakyan a kamaungan nan Dios tan sa nipamapteg na nin masibulot, ket mabyay saran nanalo bana' kona ni Jesu-Cristo.
ROM.5.18	Ket anaod, ma'kit tamo a bana' sa ni'san nipagkasalanan na ni Adan, sinintinsyawan nan Dios nin madusa a sarba; bale' bana' anamaet sa sayay manepeg a gawa' a ginwa' na ni Uunuren tamon Jesu-Cristo, magwa' nan ikwinta nin Dios a say sarba ket kai nin nagkasalanan ta pigaw nin mabyan nasaran byay a iti kona. 
ROM.5.19	Anaod, bana' ta sinubag nayan sayay tawo a Dios, sarban tawo nag'in nin makasalanan. Bale' bana' anamaet ta tinmulok yay sayay tawo a si Jesu-Cristo konan Dios, man'ikwinta naynan Dios a mapteg a abaw nin tawo.
ROM.5.20	Ket no maipa'ka' anamaet sa Gugan-gan, nibi nayti nin Dios ta pigaw nin no subagen tamo ket maipa'kit a ka'bawan anan kukasalanan tamo. Bale' abirno nin pa'no man ka'baw a kukasalanan tamo, mas alaki nin adayo' a kamaungan nan Dios kontamo. 
ROM.5.21	Wanin ta pigaw nin abirno nin mampangipalalako sa tutawo a pagkakasalanan ra kanya' nin mati saran naisyay konan Dios, mampangipalalako nin lamang a kamaungan nan Dios kontamo nin maikwinta natamoyna nin kai nin nagkasalanan tan byan natamon anggan-angga nin byay a iti kona bana' sa ginwa' na ni Uunuren tamon Jesu-Cristo.
ROM.6.1	Ket sawanin, bangli' a ipa'ka' moyo nin man'ibarita' kon ituloy tamoy gumwa' nin duka' ta no pirdunawen nay kasalanan, mas maipa'kit na man layi nin Dios a kamaungan na.
ROM.6.2	Andi' gapo nin wanin a gaw'en tamo! No maipa'ka' sa pagkakasalanan, nati atamoyna; kai atamoyna gapo nin magwa' nin magkabyay nin mampagkasalanan et! 
ROM.6.3	Tanda' moyoynaod a man'ipa'kit nin say nikabawtismo tamon sarba a naipasaya atamoyna konan Cristo a si Jesus. Ket sa nikaipasaya tamo kona, nikiranod atamon nati kona sin nati ya. 
ROM.6.4	Ket sin pinabawtismo atamo, naikitabon atamo anamaet kona ta nikiranod atamo sa patiti na ta pigaw nin kiranod atamo et sa nisubli' na nin mabyay ni Cristo yupa' sa nipangipadar nan pakayadi' nan Dios a Ama tamo. Ket, si'tamo, mauman a kabibyay tamo nin bilang anamaet sa byay na. 
ROM.6.5	Wanin ta, bana' ta naipasaya atamo kona, nikiranod atamo sa patiti na; ket anaod, wanin anamaet a nairanod atamo sa nisubli' na nin mabyay.
ROM.6.6	Sa gindat a pitatawo tamo pirmi atamo tanan nangwa' nin kasalanan. Bale' tanda' tamo a sin nipasak ya sa kudos si Jesu-Cristo, sain a gindat a pitatawo tamo ket bara'mon anamaet nin naikipasak kona sa kudos, ta pigaw nin kai tamoyna nin sunuren a apes nin gumwa' nin kasalanan ket kai ana nin mag'uray a kasalanan sa byay tamo. 
ROM.6.7	Anaod, si sayay nati ana, kasa yayna sa pakayadi' nin mamagwa' kona nin magkasalanan. 
ROM.6.8	Ket bana' ta nikiranod atamon nati kona ni Cristo, tumper atamo a kirama' atamo anamaet sa byay na. 
ROM.6.9	Sayti a tanda' tamo maipa'ka' sa byay na:
ROM.6.9	Pinasubli' ya nin mabyay si Cristo, ket kai yayna li' gapo nin mati ta kai yayna nin maketegan nin patiti.
ROM.6.10	Wanin ta nati ya nin ni'sa tamo' nin sinida' nayna nin anggan-angga a pakayadi' nin kasalanan, ket sawanin mabyay ya ta pigaw nin mami yan kagalangan konan Dios. 
ROM.6.11	Wanin anamaet kumon komoyo. Ibilang moyo kumon a kadiryan moyo nin nati ana no maipa'ka' sa pakayadi' nin kasalanan sa byay moyo, tan mabyay kamoynan mami nin kagalangan konan Dios sa nikaipasaya moyo konan Cristo a si Jesus.
ROM.6.12	Edet andi' moyo nin aburuyan nin pag'urayan nin kasalanan a lalaman moyon diri ket andi' moyoyna nin sunuren a duka' a karabayan nin lalaman moyo nin mati a lamang. 
ROM.6.13	Andi' moyoyna nin agamirenen a animan nin parti nin lalaman moyo sa pangngawa' nin duka', no kai edet, isuko' moyoy intiron byay moyo konan Dios. Nati a pa'sar moyo nin gindat konan Dios, bale' binyan nakamon byay a iti kona. Kanya' nin manepeg tamo' a ibi moyoy intiro nin kadiryan moyo konan Dios nin usaren na sa kabistawan. 
ROM.6.14	Anaod kai kamoyna nin mapag'urayan nin kasalanan ta ambo' anay panunumbok moyo sa Gugan-gan a puon nin pakaisalba moyo no kai edet, say kamaungan na nin Dios komoyo.
ROM.6.15	Ket sawanin, bangli' nin man'ipa'ka' moyoyna a bana' ta kasa nin gan-gan a matkap tamon tumbuken ta pigaw nin maisalba atamo, ket magwa' tamo tana nin subagen a Gugan-gan ta say makauray man layi kontamo ket say kamaungan nan Dios.
ROM.6.15	Andi' gapo nin wanin a gaw'en tamo! 
ROM.6.16	Isipen moyo anaod a pipa'kaan nan siin. No isuko' tamoy lalaman tamon diri konan sayay tawo nin syaynay mag'uray sa byay tamo, mag'in nin aripen natamoynan siin a tawo. Ket wanin a diri sa kasalanan. No aburuyan tamo in nin mag'uray sa byay tamo, mag'in nin aripen atamon kasalanan tan say pirat'anan tamo ket si maisyay anggan-angga konan Dios nin madusa atamo. Bale' no si Dios a aburuyan tamon mag'uray sa byay tamo, say pirat'anan tamo ket si mapteg atamo sa pangingikit nan Dios.
ROM.6.17	Page' a gindat ket aripen kamon duka' a gugawa' moyo, bale' kisalamatan koyay Dios ta sawanin ket mansunuren moyo nin intiron kukapusuan moyo a kukatutu'wan nin nangipasirungan na komoyo nin Dios. 
ROM.6.18	Ginlat nakamon Dios sa pakaaripen moyo sa kasalanan tan sawanin ket nag'in kamon aripen nin mampangwa' tanan mapteg. 
ROM.6.19	Nangusar ako nin urdinaryon bubagay, bilang sa aripen tan amo, ta pigaw nin mataros moyon madali' a man'ibarita' ko komoyo ta ambo' et nin kusto a nakem moyo no maipa'ka' sa pammemper moyo. Page' a gindat ket kaririktan moyon inagamir a lalaman moyo sa pangwa' nin sarbaynan bakas nin kadukaan a bara'mon aripen nakamo ket nag'in abaw a sinubag moyon mapteg. Wanin anamaet anaod sawanin, matkap nin kaririktan moyon agamirenen a lalaman moyo nin mangwa' nin mapteg a bilang nin aripen nakamon Dios ket sa wanin mampag'in kamon maikana' konan Dios.
ROM.6.20	Sin say kasalanan et a mampag'uray sa byay moyo, kai kamo inubligan gaw'en no ani a mapteg. 
ROM.6.21	Ket, ani a nag'in nin kaabigan moyo sa duka' a gugawa' moyo sin saytaw a no mapanemtem moyo sawanin ket duming'ey kamo tamo'? Kasa, no kai patiti tan pakadusa sa impyirno! 
ROM.6.22	Bale' sawanin, ginlat nakamoynan Dios sa pakaaripen nin kasalanan tan nag'in kamoynan aripen na. Ket main anan kaabigan moyo ta man-gaw'en nakamoynan maikana' nin Dios para konan diri tan say pirat'anan moyo, say anggan-angga nin byay a iti konan Dios. 
ROM.6.23	Wanin ta say upa' nin paaripen sa kasalanan ket say patiti tan pakaisyay konan Dios; bale' say ibi nan Dios mangibwat sa masibulot a nakem na ket say anggan-angga nin byay a iti kona yupa' kona ni Uunuren tamon si Jesus a syay Cristo.
ROM.7.1	Bubsat, tanda' moyoy maipa'ka' sa Gugan-gan kanya' nin sigurado ako a matarusan moyoy ibarita' ko komoyo maipa'ka' sa layi, a si sayay tawo, say ubligasyon nan manukid sa layi ket mintras tamo' nin mabyay ya. 
ROM.7.2	Alimbawa' a pa'sar nan sayay babayin main nin asawa: Nitaker ya nin layi konan asawa na leg'an nin mabyay yay asawa na. Bale' udas a nati yay asawa na, kasaynan kabiangan nan layi kona maipa'ka' kona nin asawa na. 
ROM.7.3	Kanya' nin, no mintras nin mabyay ya et a asawa na ket, nikikalamo' ya sa raruman lalaki, maibarita' a nikilalaki ya. Bale' no nati yaynay asawa na, tinumgen anay pakibiang nin siin nin layi kona. Ket no nikikasal yan uman sa sayay lalaki, kai nin maibarita' a nikilalaki ya.
ROM.7.4	Bubsat, wanin anamaet komoyo tan say Gugan-gan a naibi kona ni Moises. Kai kamoyna nin kabiangan nin saytin Gugan-gan ta, yupa' sa nikairanod moyo kona ni Cristo, pinag'in kamoynan nati no maipa'ka' sa sayti ta pigaw nin maipasaya kamo kona nin sya ket pinasubli' ya nin mabyay ket, gumwa' atamon say makapaririket konan Dios. 
ROM.7.5	Sin say karabayan tamon bukod bilang nin tawo a mantumbuken tamo, say pakatanda' tamo sa iyawa' ket pinukaw ana edet a duka' a uapes tamo ket sain nin uapes tamo ana a rabay-rabay tamon gaw'en. Ket sa nipangwa' tamo, madusan patiti a pirat'anan tamo. 
ROM.7.6	Bale' sawanin ket bara'mo atamoynan nati sa pakayadi' nin Gugan-gan. Ket, ginlat natamoynan Dios sa kabiangan nin sain kontamo. Ket sawanin mantumbuken tamoynay karabayan nan Dios nin ambo' sa gindat nin panunumbok tamon Gugan-gan a naisurat, no kai, main nin ba'yon dalan nin panunumbok tamon karabayan na sa tulong nan Ispirito na.
ROM.7.7	Sawanin, bangli' nin man'ipa'ka' moyoyna a say Gugan-gan ana edet a puon nin kasalanan.
ROM.7.7	Ambo' gapo nin wanin! No kai edet say Gugan-gan, ipa'kit kontamo a kasubagan tamo. Alimbawa', si gan-gan a wana, “Andi' mo nin ibegan nin maikon a ikon ran raruma,”
ROM.7.8	Ket sin niyawa' nan gan-gan a umibeg sa ikon ran raruma, laloynan napukaw a pangangapes kon magkasalanan, ket man'ibegan koy abaw a bubagay. Anaod, no kasan gan-gan a mangiyawa', kai kumon nin mapukaw a pangangapes kon magkasalanan. 
ROM.7.9	Gindat, sin kai ko et nin nataros a rabay ibarita' nin Gugan-gan, kuntinto ako sa byay ko, a say wangko ket kusto nga'min a man-gaw'en ko. Bale' sin nataros koy man'ibarita' nin Gugan-gan, napukaw a pangangapes kon magkasalanan, 
ROM.7.10	ket natandaan ko a say pa'sar ko ket nati sa pangingikit nan Dios. Sayti a lamang nin Gugan-gan, nigagara nin ipatyo' kumon a tutawo sa dalan nin magkamain nin byay a iti konan Dios,
ROM.7.11	Bara'mo akon tinaktika nin say pangangapes kon magkasalanan ta say wangko ket limpyo anay byay ko bana' ta mantumbuken koy Gugan-gan, bale' kai ko anamain nin matumbok ket say pirat'anan nin pangangapes ko, say madusan patiti. 
ROM.7.12	Ket anaod, nipataoy nan Dios a Gugan-gan. Kasa gapo nin kakurangan nin sain tan say sarba nin ipagwa', no kai edet, ipa'kit no ani a maong tan mapteg.
ROM.7.13	Edet, ibarita' tamoyna para a si sayay mabista, a siti ket say Gugan-gan, ket puon kon madusan patiti?
ROM.7.13	Ambo' gapo nin wanin! No kai edet, say puon ket say pangangapes kon magkasalanan a nikasintinsyawan ko nin madusan patiti yupa' sa sain nin mabistan Gugan-gan. Nasintinsyawan ako nin patiti ta pigaw nin maipapalaway no ani anaod a kasalanan tan ma'kit tamo a makaparmay nin tuloy a kasalanan.
ROM.7.14	Tanda' tamo nin mabista anaod a Gugan-gan ta nangibwat ti konan Dios. Si'ko bale', tawo ako tamo'. Bara'mo ako sawanin nin sayay aripen a nilako' nin gindat ket iti sa sakop nin kasalanan. 
ROM.7.15	Anaod, maka'ngap ako sa man-gaw'e-gaw'en ko. No mi'sa, say rabay kon gaw'en ket kai ko maituloy nin gaw'en, tan no ani a gura' kon gaw'en ket saytaw a man-gaw'en ko. 
ROM.7.16	Bana' ta wangko a kai ko kumon nin gaw'en a man-gaw'en ko, man'alilbien ko a kusto a Gugan-gan. 
ROM.7.17	No wanin edet, ambo' ana nin mampangibwat sa kanakman ko in say kadukaan no kai, sa kasalanan a awit nin pag'in kon tawo. 
ROM.7.18	Anaod, natandaan ko nin kasan maong a magwa' ko no say kinatawo ko a pag'irgwan ta abirno nin gagarawen koy mangwa' nin maong kai ko maituloy nin gaw'en. 
ROM.7.19	Say maong nin rabay ko nin gaw'en ket ambo' taw a man-gaw'en ko no kai edet, say duka' nin gura' ko, saytaw ana edet a man-gaw'en ko. 
ROM.7.20	Ket bana' ta wanin a say duka' nin gura' ko a man-gaw'en ko, ambo' ana edet nin say lalaman kon diri a mampangwa' no kai, say kasalanan nin awit nin pag'in kon tawo.
ROM.7.21	Ket wanti anaod ey mampangyadi' kongko: abirno nin rabay koy mangwa' nin say maong, kai ko nin magwa' no kai say duka' ana edet a mag'uray kongko. 
ROM.7.22	Sa kanakman ko rabay kon talagan tumbuken a Gugan-gan nan Dios, 
ROM.7.23	bale' nadiskubri ko nin ambo' in say Gugan-gan a mampag'uray kongko ta main nin mangkumuntra sa panunumbok kon sain. Ket bara'mo akon aripen nin say pangangapes kon magkasalanan ta say kadukaan nin awit nin pag'in kon tawo a mantumbuken ko. 
ROM.7.24	Undo' anay kapapa'sar ko! Si'no kadi' a makapanglat kongko sa pakaaripen nan sitin sikakasalanan a kadiryan ko nin umangga sa pakadusan patiti nin anggan-angga?
ROM.7.25	Si Dios anaod a makapanglat kongko sa sain a kapapa'sar ko bana' sa ginwa' na ni Uunuren tamon Jesu-Cristo!
ROM.7.25	Ket kisalamatan koyan alaki!
ROM.7.25	Wanti ko e: Sa kanakman ko, rabay kon gaw'en a karabayan nan Dios, bale' bana' sa kapapa'sar ko nin sikakasalanan, say kasalanan a magwa' ko.
ROM.8.1	Edet, bana' ta naipasaya atamoyna sawanin konan Cristo a si Jesus, kai natamoyna gapo nin dusawen nin Dios. 
ROM.8.2	Wanin ta sa pag'uuray na kontamo nin Ispirito nan Dios a mami nin byay yupa' sa nikaipasaya tamo konan Cristo a si Jesus ket, ginlat natamoyna sa pag'uuray nin kasalanan nin puon nin pakadusa tamo nin maisyay konan Dios. 
ROM.8.3	Anaod, si Dios, ginwa' na para kontamoytaw say kai nin magwa' nin panunumbok tamon Gugan-gan ta sikakasalanan atamo lawas a tutawo. Say ginwa' na, nibaki' nayadti a anak na ta pigaw nin ipaariglo na a kasalanan nin awit tamo. Ket, nag'in yan tawo si Cristo nin bilang kontamon si'tamon nanguntra konan Dios tan yupa' sa nipagsakripisyo na nin nirangep nay dusa tamo sa lalaman na, nagwa' nan sinintinsyawan nin Dios a kasalanan nin makasawan anan pakayadi' nin mag'uray kontamo. 
ROM.8.4	Ginwa' nayti nin Dios ta pigaw nin say kinamapteg a mantikapen nin Gugan-gan, ket ma'kit kontamo a ambo' anay karabayan tamon diri a mantumbuken tamo sa byay tamo no kai edet, say man'ipaingar nan Ispirito nan Dios kontamo.
ROM.8.5	Saray tutawon say karabayan ra tamo' nin diri a mantumbuken ra, say karabayan ra tamo' anamaet nin diri a pipanemtem ra. Bale' saray tutawon say man'iyakay nan Ispirito nan Dios a mantumbuken ra say kal-la iti sa nakem ra tana ket, say wanan Ispirito nan Dios. 
ROM.8.6	Ket no si sayay tawo say pipanemtem na tana ket say karabayan nan diri, maisyay ya konan Dios tan madusa yan patiti, bale' no si sayay tawo, say kal-la nin iti sa nakem na ket say mangwa' nin wanan Ispirito nan Dios, mabyan yan byay a iti konan Dios tan makaingar yan katinekan nin mangibwat konan Dios. 
ROM.8.7	O' ta si sayay tawo nin say karabayan na tamo' nin diri a pipanemtem na, mapala-palaway a kuntra ya konan Dios ta kai na nin mantumbuken a nigan-gan nan Dios tan talagan kai na anamaet nin matumbok. 
ROM.8.8	Ket saray mampagkabyay nin wanin, kai ya mapagustwan a Dios konra.
ROM.8.9	Si'tamo bale', ambo' anay karabayan tamo a mampag'uray sa byay tamo no kai edet, si Ispirito nan Dios ta iti yan mampiikap kontamo. Bale' no konan sayay tawo ket kasa yay Ispirito nan Dios nin ibaki' na ni Cristo, ambo' nayan tawo ni Cristo. 
ROM.8.10	Bale' no si Cristo iti ya kontamo, abirno nin say lalaman tamo ket mati anaod bana' sa kasalanan, mabyay atamon lamang nin iti konan Dios bana' ta si Dios nikwinta natamoynan kai nagkasalanan. 
ROM.8.11	Saya et, ta mampisyon yayna kontamo a Ispirito nan Dios nin yupa' kona ket, si Dios pinasubli' nayan mabyay si Jesus a syay Cristo, pasublien naya li' anamaet nin mabyay ti si lalaman tamo nin mati yupa' kona.
ROM.8.12	Ket, ma'kit moyo, bubsat, a kaukulan a tumbuken tamoyay Ispirito na, ambo' anay uapes nin lalaman tamon diri. 
ROM.8.13	No say tumbuken moyo ket say uapes nin lalaman moyon diri, say pirat'anan moyo ket say madusan patiti. Bale' no, sa tulong nan Ispirito nan Dios ket, man-gurutan moyoynay duka' a pigagawa' moyo, magkamain kamon byay a iti konan Dios. 
ROM.8.14	Anaod, no si tawo ket man'idalan nayan Ispirito nan Dios, sitin tawo, anak nayan Dios. 
ROM.8.15	Ma'kit tamo nin wanin ta si Ispirito na nin nibi nan Dios komoyo ket kai nakamo nin ginwa' nin bara'mon aripen anamanaet nin awit a li'mo, no kai edet, ginwa' nakamon a'nak nan Dios. Ket sa gawa' nan Ispirito na magwa' tamoyan tawagen nin “Tatay!” a Dios. 
ROM.8.16	Si Ispirito nan Dios nin diri a mangipaingar kontamo a a'nak natamon Dios 
ROM.8.17	ket bana' ta a'nak natamon Dios, tumawir atamo anamaet. Risibyen tamo li' a bubagay nin ibi nan Ama tamo, si Dios, ta kitawir atamo kona ni Jesu-Cristo sa ibi na li' nin Dios. Kiranod atamo anaod kona ni Cristo nin mangirangep nin dya'dya'
ROM.8.18	Ikwinta ko a say dya'dya' a man'irangep tamo konan sitin byay ket kasa gapo nin kwinta no ikumpara tamo sa pinasyan anda' li' nin kapapa'sar a ipadar nan Dios kontamo. 
ROM.8.19	Mataman nin say intiron pinarsa nan Dios, masulit nin mantaga'nan a tyimpo a si Dios ket ipadar nasaraynay a'nak na. 
ROM.8.20	Anaod, nisintinsya nan Dios a nag'in nin ambo' nin manepeg a nakaikanaan nin intiron pinarsa na. Bale', ambo' nin wanin a gagara nin nikaparsa sin ginwa' na in. Main et nin pangingilalo 
ROM.8.21	sa gagara na a gaw'en na li' a pinarsa na nin kasan pakasida' tan makakirama' sa pinasyan anda' li' nin kapapa'sar a ibi nan Dios konran a'nak na. 
ROM.8.22	Ma'kit tamo a say sarban pinarsa nan Dios, mampangitpel anggan sawanin nin mantuma'gan konan siin nin awro nin bilang sa sayay mampangingar nin mangabing. 
ROM.8.23	Wanin anamaet a lamang kontamo nin nanga'mor ana konan si mu'nan nigagara nan ibi nin Dios a syay si Ispirito na. Mampangitpel atamon mantuma'gan sa pangngila'pos nan pag'in tamon a'nak na li' no paba'yuwen na anayti say lalaman tamo nin mag'in nin kasaynan pakasida'. 
ROM.8.24	Siin a mantaga'nan tamoynan mangyadi' nangibwat et sin naisalba natamon Dios. Syimpri a, kai nayna taga'nan nin sayay tawo a sayay nangyadi' ana ta rinmate' ana. 
ROM.8.25	Bale' bana' ta mantaga'nan tamo et in say kai et nin nangyadi', mangitpel atamon tuma'gan nin sisusulit sa sain.
ROM.8.26	Bilang sa tulong nin sain nin pangingilalo tamo, si Ispirito nan Dios, no mampangirangep atamo, ket tulungan natamo anamaet no makapoy atamoyna. Bilang wadi', kai tamo nin tanda' a dumasal nin manepeg ket, syan diri a kidawat konan Dios para kontamo nin maiparate' na pa et mataman nin say kai tamo nin maibalikas. 
ROM.8.27	Anamaet, si Dios a sya ket masrepan nan usisaen a kanakman, matarusan na a kaisipan nan Ispirito ta naipatukdo' sa karabayan nan Dios a dawaten nan Ispirito para kontamon tutawo na.
ROM.8.28	Anamaet, tanda' tamo a say sarba nin mangyadi', gaw'en nan Dios a say bunga ket sa kaabigan tamo nin mampangawa'nan kona. Para in sa kaabigan tamo nin nasagyat na nin Dios nin naipatukdo' sa niplano nayna 
ROM.8.29	ta nangibwat et sin tarana', tanda' naynan Dios no si'no saray ikon na ket nigagara nasaraynan mag'in nin bilang konan Anak nan si Jesus ta pigaw nin kaka raya si Jesus nin abaw saran mibubsat. 
ROM.8.30	Ket saraytin lamang nin nigagara nan mag'in nin bilang konan Anak na, sinagyat nasara et. Sarayti et ket nikwinta nasaran mapteg. Sarayti et ket nikirama' nasara sa kata'gayan nan Anak nan diri.
ROM.8.31	Edet, ani a rabay nin ibarita' nin sain a ginwa' nan Dios? Si Dios, ayon yaynaod kontamo ket, kasa gapo nin makadaeg kontamo! 
ROM.8.32	Si Anak na nin diri, ket kai naya gapo nin nisiblet no kai edet, nibi nayan mati nin nangalap nin lugar tamo. Ket kapada anaod nin sain, masibulot a nakem nan ibi et a sarban matkap tamo ta pigaw nin magkabyay atamo para kona! 
ROM.8.33	Si'noy makapamarita' a si'tamo nin pinili' nan Dios ket sikakasalanan atamo? Kasa! Si Dios anan mismo a nangikwinta kontamo nin mapteg! 
ROM.8.34	Si'no et a makapamarita' a matkap atamon madusa? Kasa! Pinati ya anaod a Cristo a si Jesus nin dusa nin kasalanan tamo! Ambo' in tamo' ta pinasubli' yan lamang nin mabyay tan sawanin ket, iti ya sa lugar na nin Dios nin pagalangan naya tan sya ket, mangkiirgo ya konan Dios para kontamo! 
ROM.8.35	Kasa anaod gapo nin makapangisyay kontamo sa pangangado' na ni Cristo! Kai magwa' nin abirno nin kaidapan man, o pakaaburido man, o pakarumi' man, o bitil man, o kakurangan man nin seket, o piligro man, o pakapati man. 
ROM.8.36	Say pamai-paidap kontamo nin wanin ket mabasa tamo sa Masanton Kasuratan a wana:
ROM.8.36	“Bana' ta tutawo rakami, pirmi mi tanan adapen a mapati. Man'ikwinta rakami tamo' nin raruma nin tutawo nin bilang ayep nin patyen.”
ROM.8.37	Abirno bale' nin wanin a kapapa'sar tamo, kai in nin makadaeg kontamo no kai edet, malasat tamo in lawas nga'min bana' kona ni Cristo a mampangado' kontamo. 
ROM.8.38	Wanin ta tanda' kon peteg a kasa gapo nin makapangisyay nin pangangado' nan Dios kontamo; mati o mabyay atamo man, kawa'nan natamo lawas. Ni saray uanghil o say uispirito nin mampag'uray sa langit, o saray main nin kapangyadian nin makapali'mo, kai ratamo nin maisyay; tan mataman et nin say kapresan nin mampangyadi' o say mangyadi' et; 
ROM.8.39	ni pwirsa sa ta'gay o mataman et sa sirong nin luta', o ani man et sa sarbayna nga'min nin pinarsa, kai ratamo gapo nin maisyay sa pangangado' nan Dios kontamo nin nipa'kit na ni Uunuren tamon si Jesus a syay Cristo.
ROM.9.1	Sayti say ibarita' ko komoyo ket tutuo. Kai ako gapo nin mampibula'-bula' ta naipasaya ako kona ni Cristo tan mapatutu'wan nan Ispirito nan Dios a malinis a kunsinsya ko nin ibarita' a 
ROM.9.2	pinasyan tuloy nin bereng ko. Kai gapo nin matambar a idap nin nakem ko 
ROM.9.3	bana' konran kadayaan kon diri a saray Judio ta ginurutan rayay Cristo. No magwa' tamo' kumon, sa tana a mamper sara kona ni Cristo, si'koynay dusawen nan Dios tan maisyay ako kona ni Cristo. 
ROM.9.4	Puri nasara ni Israel tan abaw a naibin pakaidumawan ra. Pinili' nasaran Dios tan nikwinta nasaran a'nak na; nipadar na a kata'gayan na konra; nikitara-tarato ya konra a bindisyunan nasara; sara a namyan nan Gugan-gan na; niyakay na konra no pa'no a manepeg nin pagsisirbi kona; tan abaw et a bubagay a nipangako' na konra. 
ROM.9.5	Saray puon ra et ket tutawo saran magsen a pagmamatalek ra nin nipatandaan nan Dios konra a pangako' na konran tutawo na, tan si syay Cristo, no maipa'ka' sa kinatawo na ket Judio ya nin kadayaan ra. Syay Dios a makapangyayadi' sa sarba. Sya, marayo ya anggan-angga.
ROM.9.5	Peteg a wanin!
ROM.9.6	Naibarita' koyna a saray Judio, ginurutan rayay Cristo bale' kai nin rabay nin irgwen a bana' ta wanin ket kai nayna nin tinukid a nipangako' nan Dios. Say rabay ko nin irgwen, main saray Judio nin ambo' nasaran tutuon tutawo nin Dios mataman no puri nasara ni Israel. 
ROM.9.7	Mataman nin saray puri ran a'nak na ni Abraham, ambo' nin sarba ra ket nikwintan puri nan peteg. No kai edet, bilang konan si nipangako' nan Dios kona ni Abraham sin saytaw, “Mangibwat sara tamo' konan anak mo a si Isaac a ikwinta kon puri mo.”
ROM.9.8	Iyakay nin sain kontamo a kai na nikwinta nin Dios a a'nak nasara a sarba ran a'nak na ni Abraham no kai sara tamo' a puri nan si nipangako' nan Dios a ikwinta nan manawir. 
ROM.9.9	Anaod, nipangako' nan Dios kona ni Abraham, “Mapalabas a sayay taon mangibwat sawanin, sumubli' akodti li' tan si asawa mon si Sara ket, nanganak yayna nin sayay lalaki.”
ROM.9.10	Ket ambo' tamo' nin wanin. Kipada anamaet sa sain a nangyadi' sa nipanganak na ni Rebecca nin singin a sara si Jacob tan si Esau. Sayan-saya a ama ra a si puon min si Isaac. 
ROM.9.11+ROM.9.12	Anaod, ba'yo sara et nin naiyanak a singin tan kasa et gapo nin nagwa' ran matunong o nin abas man ket wanayna nin Dios kona ni Rebecca, “Si ari, pagsirbyan naya li' nin kaka.”
ROM.9.13	Wanin anaod a wana nin Dios a mabasa sa Masanton Kasuratan, “Kawa'nan koya si Jacob, bale' si Esau, pauryan koya.”
ROM.9.14	Edet, mamirupa ya para anaod a Dios?
ROM.9.14	Ambo' na gapo nin wanin! 
ROM.9.15	Main nin kanepegan nan manginga'do ta wanaynan gindat nin Dios kona ni Moises, “Iti ana kongko no si'noy ka'dwan ko tan no si'noy tulungan ko.”
ROM.9.16	Matandaan tamo edet mangibwat konan siin a si Dios, ka'dwan nasaray tutawo ambo' nin bana' ta rabay ra o man'ipamuspusan ra nin maga'muran a panginginga'do na, no kai edet, bana' ta mapainganga'do ya. 
ROM.9.17	Wanin a lamang anamaet no kai naya nin ka'dwan a sayay tawo, ta mabasa sa Masanton Kasuratan a wana nin Dios kona nin Adi' sa Egipto sin saytaw, “Nipapadar katan adi' ta pigaw nin sa pananalo ko komo ket maipa'kit a pakayadi' ko, ket matandaan sa intiron mundo no si'no ako.”
ROM.9.18	Matandaan tamo edet a si Dios ka'dwan nasaray rabay nan ka'dwan, tan patib'eyen nay ulo ran saray rabay nan patib'eyen.
ROM.9.19	Sawanin, bana' ta wanin, bangli' a wamoyoynan ibarita', “Wanin na anamain nin Dios, ambale' ey nin seselen nasara et a tutawo bana' sa kasalanan ra? Kai ra anaod nin mapaed a nigagara nan mangyadi'!”
ROM.9.20	Bale' i'bat ko konan siin a pinarsa naka tamo' nin Dios, si'no ka nin mangibarita' nin wanin kona? Bilang wadi' si sayay kuden, magwa' paran seselen nayay nangwa' kona a wana, “Ambale' a ginwa' nakon wanti?”
ROM.9.21	Si mangangwa' nin kuden, iti kona no ani a rabay nan gaw'en sa sakagemgem nin luta'. Magwa' a mangwa' yan rwa ray kuden a si saya ket pinasyan anda' na, bale' si saya anamaet ket urdinaryo ya tamo'.
ROM.9.22	Wanin anamaet konan Dios. Main nin kanepegan nan gaw'en a rabay na. Ket mataman no rabay nayna nin ipa'kit a alakin sager na tan say pakayadi' na, nitpel na et a lamang a sager na konran tutawo nin manepeg nayna kumon nin dusawen tan sidaen. 
ROM.9.23	Ginwa' na in nin Dios ta pigaw nin maipa'kit nay pinasyan anda' nin pigagawa' na konran saray tutawon inganga'dwen na, saray tutawon binyan nan kanepegan ana nin gindat sin nu'na et nin makarate' sa pinasyan anda' nin kapapa'sar na. 
