MRK.1.1	Kha mbɨghar Iesus Krais Gotɨn Otar rɨkɨnarɨ kharaghava amuisiri iŋaarir aghuuir gunɨm mbɨŋgeeghi.
ACT.1.17	 Judas fhomɨra en gumaghan mav, a ivhɨra ee kha amuir iŋaara amui.”
ACT.1.19	Kamagh amuisima, Jerusalemɨni iti tharsi barbar bighan khavɨ oraghi, mee unuaghɨnan khav non akaman izɨɨn khavɨn aŋga athɨ, Akeldama. Aŋm mbɨnɨɨŋ kamaghɨn, ŋaananɨ unuaghɨn.
ACT.1.21	Kamagha amuisima, a mɨghasɨgha en phorugha ikava eni Ikhɨv Iesusɨn gɨn aruisi gumasi ee thavam mbɨsevighemi. 
ACT.1.22	 Jon gumasi uruesirɨ uthugh, ko Iesusɨ ufhuaragha rɨkɨnarɨkaraghava amusiri iŋarirɨ uthughun ikhegha, zaavɨkava Got Iesus nisi a ee thaegha guavanambosirɨ uthughunɨ utu. Uthusir kharsir bar en phorugha ikesir gumagha thav ana mbɨsevighemi. Iesus rɨkavhigha gɨvasima kha gumagh aŋn gani, a en phorugh mbɨŋgɨŋgɨman khavɨn akamɨ ukunaŋga.”
ACT.1.23	Mauthughura men gumaghan phuninin izɨɨni rɨmboru, Josev, aŋni izɨɨn mav Barsabas (aŋni igharisir izɨɨn mav Jastus) koma Matias. 
ACT.1.24+ACT.1.25	 Mauthughura mee Gotɨn phorugham mbɨŋgeeghi, “Ikhɨv, nɨɨ gumasir navir averi bar anda ikaaŋi. Nɨɨ en khɨva, nɨɨ aniiŋna thavam mbɨsevightima, a Iesusɨm mbɨsevisi gumagh Judasɨn aŋan nighɨva kha iŋaara ramuaŋga. Iŋaaran khav Judas ana athaegha aremigha khuurɨ uŋuun gu.” 
ACT.1.26	Mauthughura mee akɨman aniiŋni izɨɨni osɨrigha thooŋga athɨgha aniiŋ ivhasvhasima Matiasɨni izɨɨ itir akɨm iphɨn ikhegha ufhuaraghavɨra akɨrei irɨ. Kamagha amuisima mee Matias nigha, Iesusɨm mbɨsevisi gumasir 11 pɨlan phorugha ana athɨ.
ACT.2.2	 Mauthughura uzuamɨra mee orasima nɨnɨɨŋn ikhɨvan mav Gotɨnɨ uŋuun ikhegha zeghira, gamiiŋn gamgaaŋ mɨn zii. A mee apiighav iti rɨphen bar ana izɨvagha ana noghi. 
ACT.2.3	 Mee garima bighan mav arivam mbɨzan mɨn otogha bɨghira uvhuaghuvhuagha men aphanir isɨrigha aphighi. 
ACT.2.4	 Mauthughura Gotɨnɨ Utum barbar mee izɨvaghava, gamgaaŋn meŋga aniiŋga meŋga amuima, mee uŋuimbar igharisi tharsir akaa vɨŋgeeghi.
ACT.2.5	Uthughun khavɨn Judarir akoghɨn gumasi rako amisi fhomɨra gua igharisi uŋuimbarɨ unuasir iti tharsi mena marsi nomthegha zaava Jerusalemɨni iti, mee ivhɨra Gotɨn apheeŋn iti. 
ACT.2.6	Ara mee nɨŋnɨɨŋn khavɨ oraegha zaa bar nori akuvaghav ikava, mee uvhuaghuvhagha orasima gumasi rako amisi menɨ uŋuimbar akaa vɨŋgeeghi. 
ACT.2.7	 Kamagha amuisi mee osemigha atam nɨghɨnɨsi. Ara mee rɨŋgavan maghatɨgha amuighava azaaghi, “Kha mbɨŋgeer gumasi mee bar Galilin distrighɨn gumasira! 
ACT.2.8	Manmagh amuigha ee barɨ uvhuaghuvhagha memba orasima mee enɨ uŋuimbar akaara vɨŋgeeghi? 
ACT.2.9	 Ena marsi, Partianɨ unuaghɨn ko Midianɨ unuaghɨn ko Elamɨnɨ unuaghɨnan ze. Marsi Mesopotemianɨ unuaghɨnan zesi gumasi. Marsi Judian distrigh ko Kapadosian distrigh ko Pontusɨn distrigh koma Esian distrighɨn ze. 
ACT.2.10	Marsi Frigian distrigh ko Pamfilian distrighɨn ze. Marsi Isivɨnɨ unuaghɨn, ko Libian distrighɨna avheni itira aŋan, a uŋuun ikɨvan mav Sairinin aghangere iti tharsi mee ze. Marsi Judarir akoghɨn gumasi Romiiŋnɨ uŋuuni ikhegha zesi tharsi. 
ACT.2.11	Ee barbar, Judarir akoghɨn gumasi rako igharisirɨ unuaghɨnan gumasi, mee Judariro othevir gɨn zui tharsi, mee ivhɨra, ena marsi. Ena marsi Kritɨn mɨghsɨm koma Arebian distrighɨn gumasi, ee uvhuaghuvhuagha memba orasima mee enɨ uŋuimbar akaar Gota amuisi bisir ikiir gunɨm mbɨŋgeeghi!” 
ACT.2.12	Judarir akoghɨn gumasi rɨŋgavan maghatɨgha amuighava phurama atamatam nɨghɨnɨghava norir azaaghi, “Khara theghanan bighaaŋ?” 
ACT.2.13	Judarir akoghɨn gumasir marsi rɨmbovira akaa vɨŋgɨ kamaghɨusue, “Mee uainir rɨphar avhɨrara amegha oŋani.”
ACT.2.14	Pita, Iesusɨm mbɨsevisir 11 pɨlan gumasir phorugha utughav ikha, a gumasi rako amisi mbɨghɨravɨra kamagh mem mbɨŋgeeghi, “Gee Judarir akoghɨn gumasi rako Jerusalemɨni itir gumasi rako amisi, gee bar inderaghɨvɨra nambaragh. Khɨɨ kha othuivisi bisir gun gem mbɨkemightima, gee anda ikeeŋgemi. 
ACT.2.15	 Gumasir kharsi uainiro ovɨsiri imboori rɨpha aphava oŋanisi phatɨ. Gee ikaaŋi, khara 9 okloghɨ rɨmaaŋra. 
ACT.2.16	Bighan khav oto, khara Gotɨna ambuuŋn gumagh, Joel fhomɨra mbɨkemisi moghɨn, 
ACT.2.17	 ‘Got kamaghɨm mbɨŋgɨ kamaghɨusue, “Gɨn zaamirɨ uthusi tharsir khɨɨ nonɨ Utuman gumasi rako amisi bar mee ranɨɨŋgami. Uthughun khavɨn gen otari rako guivi Gotɨna ambuuŋn gumasir mɨn mbɨkɨmtima, gen gumasir iŋgaa irimbar mɨn bisir gantima, gen gumasir guri iriiŋmbara akuuva bisir ganaŋgami. 
ACT.2.18	Uthughun khavɨn nan iŋaarir gumasi rako amisi, khɨɨ nonɨ utuman ivhɨra mee raniiŋtima, mee Gotɨna ambuuŋn gumasir mɨn akaa vɨkɨmaŋga. 
ACT.2.19	Gumughun khɨɨ iphɨno ovheen rɨŋgavan maghatɨgha amuir othevia khɨvɨva, unuaghɨnan gamgaaŋn bisira amuaŋga. Uthughun khavɨn ŋaan ko ariv koma mbɨturan ikhɨv otuivami. 
ACT.2.20	Uthughun khavɨn aro gɨngɨnightima, ikɨni ŋaanan mɨn otuivami. Bisir kharsi ufhuaraghɨvɨra othuivightima, gɨn Ikhɨv zaamirɨ uthugh otuivami. Kha uthughun Ikhɨv non gamgaaŋ ko aŋaran phorugh zaami. 
ACT.2.21	 Uthughun khavɨn Ikhɨvani izɨɨn dee tharsi, a men akuruvaghtima mee mbɨghɨvɨghɨighemi.” ’
ACT.2.23	 Got non vhusvhusan gɨn gua gemɨusua fhomɨra nɨghɨnɨghan mavɨ amuigha, nono otar nigha gen afharigha athɨ. Mauthughura gee ana nigha gumasir maghatɨsir afharɨa athɨsima, mee ana nigha khani ighuuvan ana athɨghava aŋga afhusi, ana aremi. 
ACT.2.24	 Ovhevheeŋn othɨv Iesusɨnɨ usuiragham thughatɨs phatɨ. Kamagha amuisi, Got aŋga amuisi a rɨkavhigha ovhevheeŋn osɨmndɨgha thaghi. 
ACT.2.25	 Devitɨn mbɨtisirɨ mbɨghar kamaghɨm mbɨkemi,
ACT.2.25	‘Khɨɨ Ikhɨvan garima a mɨghasɨgha nana aghan ikhavɨre iti.
ACT.2.25	A gamgaaŋ naŋga anɨndi.
ACT.2.25	Bigha thav na ramuighti, khɨɨ irɨraŋgɨvaghɨva avhighevhighem phatɨghami.
ACT.2.26+ACT.2.27	Nɨɨ nombɨra nombɨusua mbɨsevisi gumagh ana thaeghtima a kurighem phatɨghami.
ACT.2.26+ACT.2.27	Kamagha amuisi nan nav inderasima khɨɨ mbɨŋgɨŋgɨr aghuuira amui.
ACT.2.26+ACT.2.27	Got na ramuaŋgamir bisir aghuuira, kha andavagha gari.
ACT.2.28	Nɨɨ, ikɨrana aghuuŋ niaŋgamirɨ utuavɨn, nan khɨvagha gɨva.
ACT.2.28	Khɨɨ nɨɨn phorugh ikaami, nɨɨ na ramuighti, khɨɨ bar phuvɨra inighinighemi.’
ACT.2.30	 Devit a Gotɨna ambuuŋn gumaghan mav, a ikaaŋi, Got akaman rɨŋgɨran aghavagharan aŋga aniiŋga kamaghɨusue, ‘Nɨɨ ativasir gumagh, khɨɨ nɨɨn aŋan niamɨusua nɨɨna avava thavam mbɨsevighemi.’ 
ACT.2.31	 Got gɨn ramuaŋgamir bigh, Devit ana ikaaŋi, a Got nom ee niamɨusua mbɨsevisi gumagh ana aremigh nom rɨkavamir bighaaŋm mbɨŋgeeghi. A kamaghɨusue, Got ana thaeghtima aŋna arɨghiresi tharsir arɨghanɨ umoghɨn avhen ikeghem phatɨ. Aŋm mbɨkarɨgh kurighem phatɨghami. 
ACT.2.32	 Gumaghan khav Iesus, Got aŋga aghurasima a nomthegha rɨkavhi. Ee nori nona arɨmasir aŋn ganigha, mbɨŋgeeghi. 
ACT.2.33	 A guavanaŋga non Inaghavesɨn guvɨn aghara apheraghav ikha aŋn iphɨn gamgaaŋ nii. Aŋni Inaghavhes aŋm mbɨkemisi moghɨn a nonɨ Utuman aŋga anɨɨŋi. Gee thighira oraghava garir bisir kharsi, Iesus nombɨ Gotɨnɨ Utum emɨusuava ana amandasima ee aŋn gamaaŋn iphɨn bisigha amui. 
ACT.2.34	 Devit Iesusɨn mɨn Gotɨnɨ uŋuun gus phatɨ. A kamaghɨm mbɨŋgeeghi,
ACT.2.34	‘Ikhɨv kamagh nan Ikhɨvam mbɨŋgɨ kamaghɨusue,
ACT.2.34	“Nɨɨ khagh nana agharan guvɨra apheraghɨva,
ACT.2.35	mamaghɨra ikhɨtima khɨɨ nɨɨn aphani rɨkambuuŋtima
ACT.2.35	mee nɨɨn apheeŋn ikaami.” ’
ACT.2.38	 Mauthughura Pita kamagh mem mbɨŋgeeghi, “Gee bar nɨghɨnɨsigh ɨraghɨva Krais Iesusɨn izɨɨn urueghtima Got geno othevir maghatɨsi gɨn amandaghɨva maghɨra, a nonɨ Utum gemɨusua ana amaaŋga. 
ACT.2.39	 Got fhomɨra akama rɨkɨrigha kamaghɨusue, a nonɨ Utum gemɨusua ana amaaŋga, gegha, gen boori rako, gen isaghuni iti tharsi, mee bar. Got, en Ikhɨv, gumasi rako amisi a dɨɨsi tharsi, a nonɨ Utum memɨusua ana amaaŋga.”
ACT.2.41	 Mauthughura gumasi rako amisira avhɨrara aŋna akama mbaraegha aŋn vhusvhusigha urue. Uthughun khavɨn Got nom 3,000ɨn gumasi rako amisir marsi nom mee nisima mee Kraisɨna andarsira avhen ze.
ACT.2.43	 Uthughun khavɨn Iesusɨm mbɨsevisi gumasi, mee rɨŋgavan maghatɨgha amuir othevir avhɨrara ko gamgaaŋn bisira avhɨrara amui. Kamagha amuisima gumasi rako amisira avhɨrara rɨŋgavan maghatɨgha amui. 
ACT.2.44	 Uthughun khavɨn nɨghɨnɨghana aghavaghar Iesusɨn iti tharsi navanɨ uvhuavɨra iti. Mee bisi iti tharsi, mee norira akuruvasi. 
ACT.2.45	Ara mee nonɨ unuasi rako bisi amaŋga andar aŋgɨro ovɨsi nigha aghae othevisi tharsir akuruvasi. 
ACT.2.46	 Mee uthusir mɨghasɨgh mɨghasɨgha Gotɨ rɨphena mbɨroghɨn nori akuvi. Mee uvhuaghuvhuagha rɨphenigha aruava nori nigha aphava bar inighinighava, mee navanɨ uvhuavɨre iti. 
ACT.2.47	 Mee Gotɨni izɨɨ ufhima, gumasir igharis tharsi bar meŋgi iphui. Mauthughura uthusi uvhuaghuvhuagha Ikhɨv mɨghasɨgha gumasi rako amisir akurasima mee mbɨghɨvɨghɨghi. Kamagha amuisi mee bar avhɨrekevi.
ACT.3.2	 Uthughun khavɨn navan avhera usu maghatɨsi gumaghan mav iti. Gumasi mɨghasɨgha ana azɨgha gua Gotɨ rɨphen ighuisi rɨvɨnan itɨman akamanin ana arɨsi. Itɨman akamanin khavɨn izɨɨ, Itɨman Aghuuŋ Kɨnara. A khagh ikava aŋgɨro ovhɨsivɨusua gumasi rako amisi Gotɨn rɨphen ighuisi rɨvɨnana avhen zui tharsi mena azaaghi. 
ACT.3.3	Uthughun khavɨn a gari Pita ri Jon avhen maŋŋamɨusua zima ana aŋgɨro ovɨsivɨusua aniiŋna azaaghi. 
ACT.3.4	 Ana aniiŋna azarasima Pita ri Jon ivhɨra aŋn gari. Mauthughura Pita kamaghɨusue, “Nɨɨ rɨkɨr aŋgara ganri!” 
ACT.3.5	Am mbɨŋgeema gumaghan khav bigha thav niamɨusua nɨghɨnɨgha, mbɨghɨravɨra aniiŋra gari. 
ACT.3.6	 Mauthughura Pita kamaghɨm mbɨŋgeeghi, “Khɨɨ aŋgɨro ovɨsi phatɨ. Khɨɨ iti bighɨn, khɨɨ anan nɨɨ ranɨɨŋmɨusua. Nasaretiiŋn gumagh Krais Iesus, aŋni izɨɨn, nɨɨ rɨkavigh raru!” 
ACT.3.7	Mauthughura Pita aŋna agharan guvɨnɨ usuiraghava, ana ufheesima. Aŋn guamtɨvani ko aŋgari uzuamɨra gamngaa nisima, 
ACT.3.8	 a rɨkavigha utuiva zui. Mauthughura a Pita ri Jon phorugha Gotɨn rɨphenan mbɨkeeŋn avhen gugha, ifhaa iphɨna amaaŋga, Gotɨn izɨɨ ufhii. 
ACT.3.9	 Gumasi rako amisi bar aŋn garima ana aruava Gotɨn izɨɨ ufhima 
ACT.3.10	mee aŋn ganigha ana ikeeŋga kamaghɨusue, gumaghan khavɨra Gotɨ rɨphen ighuisi rɨvɨnan itɨman akamanin apheraghav iti. Kha itɨman izɨɨ khara, Itɨman Aghuuŋ Kɨnara. A mɨghasɨghava anamogha apheraghav ikava, aŋgɨro ovhɨsivɨusua gumasi rako amisir azaaghi. Ara mee rɨŋgavan maghatɨgha amuigha phura nɨghɨnɨsi, manmaghɨra amuisi bighaaŋ khavɨ oto.
ACT.3.11	Gumasi rako amisi akaman khavɨ oraegha, rɨŋgavan maghatɨgha amuigha, akhɨrsɨgha gua gumaghan khavɨn gari. Mee aŋn garima a Pita ri Jonɨnɨ usuiragha, Gotɨ rɨphenan azuaŋnɨ utughav iti. Rɨphenan azuaŋn khavɨnɨ izɨɨ, Solomonɨn Azuaŋ. 
ACT.3.12	Uthughun khavɨn Pita kamagh ganigha, mem mbɨŋgeeghi, “Israeliiŋn akhoghɨn gumasi rako amisi, thoghousua bighan khav geŋga amuisima gee rɨŋgavan maghatɨgha amui? Gee thoghousua mbɨghɨravɨra aŋn gara kamaghɨusue, aŋga ti nonira aghavaghari ikama ti, o aŋga Gotɨna arɨmasi rɨfhaaŋn inderaghavɨre ikava, aŋga kha gumagha amuisima ana arui? Bar phatɨ. 
ACT.3.13	 Ena avhavi Abraham ri Aisak koma Jekovɨn Got, a non iŋaaran gumagh Iesus bar ana iphɨufhui. Gee ana aremighaousua ana nigha aphanir gumasir afharɨ athɨ. Pailat ana thamɨraghaousua mbɨgerɨ uthughun, gee kamaghɨm mbɨŋgeeghi, ‘Ee thange aŋn vhusvhusi phatɨ!’ Ara gee akɨran aŋga ase. 
ACT.3.14	 Gotɨna arɨmasi rɨfhaaŋn othevira aghuira amui gumagh, gee aŋgi iphɨrphɨrighava, gumaghan maghatɨgh norivɨusua ana thamɨraghaousua Pailatɨ mbɨŋgeeghi. A gumasi vɨsuaghɨusuesi anda arɨghiresir gumagh. 
ACT.3.15	 Geŋga amui gee aŋamɨra iti gumagh, gee aŋm mbɨsuesi ana aremisi Got aŋga amuisima a nomthegha rɨkavhi. Aŋga noni bighan khavɨn ganigha ana ikeeŋgava aŋn gunɨm mbɨŋgeeghi. 
ACT.3.16	 Aŋga Iesusɨn izɨɨn nɨghɨnɨghana aghavaghar iti. Iesusɨn izɨɨra, gee ganigha ikeeŋsi gumaghan khav, a gamgaaŋ nii. Aŋgan nɨghɨnɨghan aghavaghar Iesusɨn ikava bighan khuaŋga amuisima, nɨghɨnɨghan aghavagharan khavɨra kha gumagh amuisima, a bar indera, gee thighira nori aŋn gari.
ACT.3.18	 Got fhomɨra aŋna akam nigha zesi gumasi bar mem mbɨkemisima, mem mbɨŋgɨ kamaghɨusue, a Got nom ee niamɨusua mbɨsevisi gumagh, mbɨzagh niaŋga. Got nom mbɨŋgɨŋgɨgha amuisi moghɨn andar aghae othuivi.
ACT.3.20	Gee kamagh ramuightima, Ikhɨv avughususan genɨ unduur rako navan amɨɨŋndɨghan gera anɨɨŋtima, gee phurei ikhɨva Got nom ee niamɨusua mbɨsevisi gumaghagha gan ikɨɨ.
ACT.3.21	Got bar fhomɨra fhomɨra nona ambuuŋn gumasi vɨkemisima, mee kamaghɨusue, ‘Thighira Iesus Gotɨnɨ uŋuuni ikhɨɨ, maaŋɨ Got kha bisi ramutima anda nomthegh bisiri iŋgaar mɨno othuivighemi.’ Got mbɨkemisi moghɨn, bisi bar othuivhami.
ACT.3.23	 Aŋm mbarasi phatɨsi tharsi, Got meŋga asɨghasiighemi. Mee nomthegh Gotɨn gumasi rako amisir phorugh ikaami thughatɨs phatɨ.’ 
ACT.3.24	Gotɨna ambuuŋn gumasi bar, Samuelɨnɨ utugha ze, mee baro othuivamirɨ uthusir kharsir gunɨ mbɨkemi.
ACT.3.26	 Got kamagh vhusvhusi, gee uvhuaghuvhuagh nono othevir maghatɨsia thaeghtima, kamaghɨ ramutima a inderaghɨvɨra gee ramuaŋga. Bighan khavɨusua a noni iŋaaran gumagham mbɨsevigha gemɨusua ufhuaragha ana amanda.”
ACT.4.2	 Ara mee ikaaŋi, Pita ri Jon, Iesusa aremigha nom rɨkavisi bighan khavɨn gun gumasi rako amisi vɨŋgeeghi. Kamagha amuisima gumasir aphani, men navi aniiŋmɨusua bar maghatɨghi. 
ACT.4.3	Mee Pita ri Jonɨn agharaniiŋ usuiraghava aniiŋ nigha osɨmndɨsiva oraghava anda rɨkɨrir rɨphena rarɨghaousuava amuima, amɨn phɨri. Kamagha amuisi, mee aniiŋ rɨphena avhen khɨrtɨgh athɨsi aniiŋ ikha gua amɨrɨtusi rɨmaaŋra. 
ACT.4.4	 Gumasi rako amisira avhɨrara akaman khavɨ oraegha nɨghɨnɨghana aghavaghar aŋni iti. Uthughun khavɨn Kraisɨna andarsir rɨmbomboni bar ikhevigha gua 5,000ɨn aghanɨ utu.
ACT.4.5	Amɨrɨtusi rɨmaaŋra mara Judarir akoghɨn gumasiri ikii rako gumasira aphani koma Judariro othevi ikeeŋsi gumasi, mee Jerusalemɨn nori akuvaghav iti. 
ACT.4.6	Anas, Gotɨna aphuraphurava aghae rako bisir aŋga anɨndi gumasiri ikhɨv,, a ivhɨre itima, Kaiafas ri Jon ko Aleksander koma Gotɨna aphuraphurava aghae rako bisir aŋga anɨndi gumasiri ikhɨvan andarsir marsi, mee ivhɨre iti. 
ACT.4.7	 Mee mbɨkemisima, gumasi Pita ri Jon nighava mena arɨmasi rɨfhaaŋn zesi, mee maghɨra aniiŋna azaaghi, “Aŋgo aghavagharan manav nigha, thɨɨŋn izɨɨn aŋgo kha bisigha amui?”
ACT.4.9	Gee ti aŋga akurasir gumaghanɨ usuan maghatɨghan khavɨusua aŋgana azaaŋsɨghaousua, gee ti ivhɨra ikaaŋmɨusua, gumaghan khav a manmaghɨre indera. 
ACT.4.10	 Mamaghɨn gee bar ivhɨre ikaaŋtima Israelɨn iti tharsi mee ivhɨra bar ikeeŋgɨri. Khara Nasaretiiŋn gumagh Krais Iesusɨn izɨɨn gen arɨmasi rɨfhaaŋnɨ utughavi iti gumagh, a nomthegha indera. Gumaghan khav Iesus, gee ana nigha khani ighuuvan aŋga afhusi, ana aremisi Got aŋga amuisima a nomthegha rɨkavhi. 
ACT.4.11	 Iesus, ‘Akɨman khav rɨphenaŋga amuir gumasi aŋgi iphɨrphɨrigha aŋm mbatuesima, Ikhɨv thighira aŋga amuisi a rɨphenaŋgi isaghuphusir akɨmaŋgi ighe.’ 
ACT.4.12	 Unuaghɨnan khavɨn gumagha thav ena akuragham phatɨghami, bar phatɨ. Iesusɨni izɨɨra, ee mbɨghɨvɨghɨghemi. A nombɨra, ena akurɨvasi gumagh.”
ACT.4.13	Mee Pita ri Jonɨn garima aniiŋ bar aghavagharighava avhighavisi phatɨghava mem mbɨŋgeema, mee aniiŋn ganighava ikaaŋi, aniiŋ surea amuisi phatɨ. Aniiŋ phura gumaghan khɨnani. Mee aniiŋn gara rɨŋgavan maghatɨgha amuigha kamaghɨusue, gumaghan khaniiŋ Iesusɨn phorughava arui. 
ACT.4.14	Mee gumaghan khavɨn gari, a ufhuaragha usu maghatɨghi, thighira, a Jon ri Pitan phorugha utughav itima, mee bigha thavɨm mbɨkɨman iŋgura.
ACT.4.15	Kamagha amuisi mee akamana aghavagharan aniiŋga aniiŋsima aniiŋ Judariro osɨmndɨsiva oraghava anda rɨkɨrir rɨphena thaegha akɨran zuima, mee aniiŋmɨusua akaa vɨsosi. 
ACT.4.16	 Mee norir azaaghi, “Ee manmaghɨra gumaghan khaniiŋ ramuti? Jerusalemɨni itir gumasi rako amisi, mee ikaaŋi, aniiŋ gamgaaŋn bighan bar ikhɨva amui. Ee bighan khuaŋn guaŋsiighem thughatɨs phatɨ. Anaaŋ guisimbaaŋra oto. 
ACT.4.17	Ee kamagh iphɨrphɨri, gumasi rako amisiri igharis tharsi bighan khavɨ oraghan thughatɨs phatɨ. Ee akaman bar aghavagharan aniiŋ ranɨɨŋtima aniiŋ nomthegh Iesusɨn izɨɨn gun thavɨm mbɨkɨman bar thaghɨri.” 
ACT.4.18	 Mee guava aniiŋn dɨɨsima aniiŋ avhen gusima mee akamana aghavagharan aniiŋm mbɨŋgɨ kamaghɨusue, “Aŋgo nomthegh Iesusɨn izɨɨn gunɨ mbɨkɨmɨva gumasi rako amisi tharsir sure ramuan thaghɨri.”
ACT.4.21+ACT.4.22	Pita ri Jon Gotɨn gamgaaŋn amuisi gumagh inderaghava, a 40 pɨlan ombarigha afhira. Kamagha amuisi gumasi rako amisi nori bisir kharsir gari anda othuivisima, mee Gotɨni izɨɨ ufhii. Kamagha amuisima, gumasira aphani uvhuesan maghatɨghan aniiŋ ranɨɨŋmɨusua phura nɨghɨnɨsi, mee manmaghɨra aniiŋ ramuti. Mee aniiŋm mbɨsoghousua amuava mee gumasi rako amisir avhighavhisi mbɨŋgɨŋgɨr aghavagharir marsi aniiŋga amuighava aniiŋ amandasima aniiŋ zui.
ACT.4.23	Judariro osɨmndɨsiva oraghava anda rɨkɨrir rɨphenan avhen itir gumasi Pita ri Jona thaesima aniiŋ azenaŋgi irɨgha nomthegha nona andarsivɨusua gu. Aniiŋ Gotɨna aphuraphurava aghae rako bisir aŋga anɨndi gumasiri ikii rako igharisi gumasira aphani aniiŋn mbɨkemisir akaar gun nona andarsi bar mem mbɨkemi. 
ACT.4.24	 Mee kamagh oraeghava nori akuvaghava Gotɨn phorugham mbɨŋgeeghi. Mee kamaghɨm mbɨŋgeeghi, “En Ikhɨv en gari thav, nɨɨ ovhee ko unuaghɨnaŋga amuighava, oŋar ivhɨra amuighava andar iti bisi ivhɨra bar andagha amui. 
ACT.4.25	 Fhomɨra nɨɨnɨ Utum akaman mav en avhav Devit, a nɨɨn iŋaaran gumagh, nɨɨ akaman khavɨn aŋga anɨɨŋi. Devit kamaghɨm mbɨkemi,
ACT.4.25	‘Igharisirɨ unuaghɨnan gumasi theeghɨnamɨusua phum avesi?
ACT.4.25	Israeli mee thoghousua othevir maghatɨsi ramuamɨusuava akaar kɨni vɨsosi?
ACT.4.26	Uŋuimbar ativasi tharsi, mee Gotɨ mbɨsoghousuava amui.
ACT.4.26	Gumasiri ikii nori nigha Ikhɨvam mbɨsoghousua.
ACT.4.26	Mee ivhɨra Got nom ee niamɨusua mbɨsevisi gumagham mbɨsoghousua.’
ACT.4.28	 Mee nɨɨn gamgaaŋ ko nɨɨn nɨghɨnɨghan gɨn zui, nɨɨ fhomɨra otogha mbɨkemisir bisi. 
ACT.4.29	 Ikhɨv, mee avhighevisir akaar eŋga aniiŋsi, nɨɨ akaar kharsighi nɨghɨnɨgh. Ena akuraghtima ee uthugh aghavagharighɨva avhighevhighem phatɨghɨva nɨɨna akamɨ ukunaŋgami. 
ACT.4.30	Nɨɨ nona afharimuun arɨmarɨr gumasir arɨghtima mee inderaghami. Nɨɨ gamgaaŋn bisira avhɨrara ko rɨŋgavan maghatɨgha amuir othevi ramutima anda Iesusɨn izɨɨno othuivhami, a nɨɨn iŋaaran gumaghan aghuuŋ.”
ACT.4.33	 Iesusɨm mbɨsevisi gumasi, mee Gotɨn gamgaaŋn utugha Ikhiv, Iesusa aremigha nomthegha rɨkavisi bighan khavɨn gun gumasi rako amisi vɨŋgeeghi. Uthughun khavɨn Gotɨn ukuarkuvan ikhɨɨvara men phorugha iti. 
ACT.4.34+ACT.4.35	 Kamagha amuisi mena thav bigha thavɨn othevisi phatɨ. Gumasi unuasi rako rɨpheni iti tharsi, mee anda amaŋga andar aŋgɨro ovɨsi nigha zaava, Iesusɨm mbɨsevisi gumasigha anɨndima, mee anda nigha bisi phatɨsi gumasir akuruvasi.
ACT.4.37	A nonɨ unuaghɨnan mav amandagha, aŋna aŋgɨro ovɨsi nighava Iesusɨm mbɨsevisi gumasigha anɨɨŋi.
ACT.5.1	Gumaghan mav Ananaias, aŋna amuuŋ Safaira, aniiŋ ivhɨra non unuaghɨnan mav amandagha aŋnɨ uvhues nii. 
ACT.5.2	 Mauthughura aniiŋ ivhɨre ikaaŋi, Ananaias aŋgɨr ovɨsir marsi nombɨusua andarɨ usuira. Ano ofhɨghan muaŋ nigha Iesusɨm mbɨsevisi gumasir khorigha amua meŋga anɨɨŋi. 
ACT.5.3	 A meŋga aniiŋsima, Pita kamagh Ananaiasɨm mbɨŋgeeghi, “Nɨɨ theghousuava, satana thaesima a nɨɨn navan avhee izɨvasima, nɨɨ Gotɨnɨ Utuman khorigha amui? Nɨɨ theghousua unuaghɨnanɨ uvhuesana aŋgɨr ovhɨsir marsi nɨɨ nombɨusua andarɨ usuira? 
ACT.5.4	Khara nɨɨnɨ unuaghɨna, nɨɨ nombɨ vhusvhusigha ana amanda. Aŋnɨ uvhuesan aŋgɨro ovhɨsi ivhɨra nɨɨn aŋgɨr ovhɨsirɨ. Nɨɨ manmaghɨra nɨghɨnɨgha nona aŋgɨro ovɨsir kharsir en khorigha amui? Nɨɨ gumasir khoru amuir phatɨ, nɨɨ Gotɨn khoru amui.” 
ACT.5.5	Ananaias kamagh oraegha irɨghava aremi. Maghɨra gumasi rako amisi bighan khavɨ oraegha avhighevisima ikhɨv mee nii. 
ACT.5.6	Maghɨra gumasir iŋgaa zaava aŋn khuma anuegha ana nigha akɨran gua ana umoghɨ athɨ.
ACT.5.7	Gumughun, aron iŋeendagh uthughun phunini ko mbɨkethav nigha gɨvasima, aŋna amuuŋ ikeeŋsi phatɨgha avhen zii. 
ACT.5.8	A zima, Pita aŋna azaaghi, “Nɨɨ nam mbɨkɨm, khara guisim baaŋranɨ unuaghɨnɨ uvhues, nɨɨ man ko aŋgo ana nisi o?” Am mbɨŋgeema a kamaghɨm mbɨŋgɨ kamaghɨusue, “Aŋre, bar aŋnɨ uvhuesara.” 
ACT.5.9	An aŋm mbɨkemisima Pita kamagh aŋm mbɨŋgeeghi, “Aŋgo manmaghɨusua ivhɨra vhusvhusigha Gotɨnɨ Utuman khoru amui? Nɨɨ gan! Nɨɨn manan khum nigha gua umoghɨ athɨsi gumasi itɨman akamaniiŋn iti. Thighira mee ivhɨra nɨɨn khum nigh akɨran maŋŋanga.” 
