MAT.1.2	Abraham Aisak nɨŋuva. Aisak Jekop nɨŋuva. Juda nɨŋusinava naŋga nɨŋuranava nɨŋuva Jekop. 
MAT.17.11	Kamavahu Jisas kɨmbɨ ambami, Ambandu kuyu haŋandɨhin kandɨ. Elaija wɨsa pata muhɨmɨmuhɨm mɨŋasɨrɨvɨrɨmandɨ. 
MAT.17.12	Hara yi narɨŋ ambin, Elaija payɨhira kru nuŋ magŋamaŋgarandu. Kamataharɨm nurɨŋandɨ indarɨmitɨyɨ Elaijaŋ ñamba vana andɨndu. Harɨm sɨwɨmaña vanayɨ Krundu Ñɨŋi hamaŋ ñamba taŋgurɨmandɨyu, vami. 
MAT.17.13	Jisas kamavahi nuŋandɨ sɨmbɨrasara haŋɨnɨŋ ambamu, Jon kukuyɨ mɨŋaŋgɨruhɨru hamarɨm ambi, vamu.
MAT.17.14	Jisas naŋga nuŋandɨ sɨmbɨrasara arɨkikwɨrɨvat uta krunavundi sambɨ kɨyɨmu hañɨ yɨvurahamu. Kamatɨhu kru mumɨŋga pata Jisas kɨyɨmi arɨhañɨ tandamɨkwɨmɨkwɨta ambami, 
MAT.17.15	Aru mɨŋga, ñɨŋi yandɨ nɨŋandɨhin kwɨnɨkwɨnɨtɨhi nuŋandɨ kwɨrandɨ nɨ ñambatɨndi. Kamata sambɨ ñɨmbɨrɨ ahutuŋgɨyɨ mɨŋgundi, naŋga kukuyɨ ndahara mɨŋgundi. Harɨm ñɨŋi yandɨ nɨ sɨhiŋga. 
MAT.17.16	Nandɨ sɨmbɨrasara nɨŋɨnɨŋ kɨyuyɨ mɨŋata payɨhin andɨhura avimandɨ, vami. 
MAT.17.17	Kamavahi Jisas kɨmbɨ ambami, Krunavundi tɨhundu narɨ, narɨŋandɨ indarɨmaŋgaramaŋgara ha tɨkatɨkama. Naŋga narɨŋandɨ indarɨmit naŋga andɨndara vana haŋɨnɨŋ avima. Pamata ñɨmbɨrɨ narɨ naŋga kɨñɨŋgɨñɨ narɨŋandɨ pɨmɨ kavɨrɨman. Ñɨŋi kandɨha nɨñɨ mɨŋata pañɨ, vami. 
MAT.17.18	Kamatɨhi Jisas sundɨ ñamba haŋandɨhin ambahɨmuhi sarɨwayɨŋandi sundɨ ñamba ha ñɨŋi haŋandɨhin tɨhɨmitahi sɨkwɨ avindɨmi. 
MAT.17.19	Kamata muñɨmbɨrɨ nuŋandɨ sɨmbɨrasara haŋɨnɨŋ Jisasɨŋ nuŋambi kɨyɨhihi pata nɨmavamba kitɨhumu, Pamatɨhi ara sundɨ ñamba kandɨhaŋandɨhin pɨŋguvarɨmɨndaŋ vata andɨharɨŋ manɨŋgandɨmi, vamu. 
MAT.17.20+MAT.17.21	Kamavahu nurɨŋ ambami, Narɨŋandɨ indarɨmaŋgaramaŋgara vana ha suksɨmbɨrɨ sɨkwɨ, harɨm mambɨŋguvarahara. Narɨŋ yi kandɨ ambin, narɨŋandɨ indarɨmaŋgaramaŋgara vana ha sahi mastet kɨrɨs maña kɨtindahara sundɨ ñamba ha pɨŋguvarahara. Hara narɨŋandɨ indarɨmaŋgaramaŋgara vana ha sahi mastetɨndu kɨrɨs ndahara mandaratɨvɨrandi. Harɨm sundɨ ñamba mambɨŋguvarahara. Narɨ apu nɨŋandɨhinɨrɨm yahamɨrata ndambu uhu vɨtɨra, uhi. Narɨŋandɨ indarɨmaŋgaramaŋgara vana kɨti muhɨmɨmuhɨm vana andɨhara, vami.
MAT.17.25	Kamavahu Pita ambami, Ara, ŋguhi, vamba ambami. Kamavata Pita tavɨyɨ indɨhuta maŋguyundavarahihi Jisas nuŋ nɨmavamba kitɨhumi, Saimon na pamata indarɨna. Pɨrɨ nɨñɨndu aru miku haŋɨnɨŋ muhɨmɨmuhɨm sɨmbɨrayɨndu tɨmbahɨrɨs mɨŋandu. Kandɨhaŋɨnɨŋ tɨmbahɨrɨs ninɨndu taya mɨŋandu. Nurɨŋandɨ krunzapandu mɨŋandu, mana muŋɨnɨŋɨndu taya mɨŋandu, vami. 
MAT.17.26	Kamavahi Pita yahata ambami, Kru muŋɨnɨŋɨndu taya mɨŋandu, vami. Kamavahi Jisas ambami, Kamataharɨm nurɨŋandɨ krunzapandu tɨmbahɨrɨs mamɨŋandu. 
MAT.17.27	Hara kamatɨrɨŋ arɨŋ ambɨtuma. Kamataharɨm uta indu ndañɨ atɨŋgi kavara. Kamata asa kimaŋgima pɨŋgɨrɨmana haŋandɨhin nuŋandɨ mɨka ha mɨŋativata tɨmbahɨrɨs muŋandɨhin ŋgɨna kɨyɨmandɨ. Tɨmbahɨrɨs kandɨha mɨŋata nanaŋga arɨŋambirɨm tama, vami.
MAT.18.2	Kamavahu Jisas ñɨŋi muŋandi uraramahi payɨhi nurɨ kɨyɨmu pɨrɨŋ hañɨ taŋguramaramamata 
MAT.18.3	ambami, Yi narɨŋ kandɨ ambin, narɨ mavɨ maŋgimɨruta ñɨŋisɨrambɨ kɨndu maña maŋgɨyɨmandɨraŋa, Gotɨndu tɨwɨyɨ maŋgɨyɨmandɨra.
MAT.18.4	Kru mumɨŋga nuŋambi taŋguti mɨŋguti ñɨŋi nɨma maña yɨvurahɨmandɨ hamanda, Gotɨndu tɨwɨyɨ kɨyɨhɨyɨ hañɨ ñɨmbi aru sɨkwɨ naŋga mɨŋga kɨyɨmandɨ. 
MAT.18.5	Ara kru mumɨŋga yaŋɨrɨm indarɨramata ñɨŋi sukɨyɨpu nɨmatarɨm kɨnzɨhɨnzɨtɨrɨmandɨ hama, yaŋɨrɨm kɨnzɨhɨnzɨtɨrɨmandɨ, vami.
MAT.18.7	Kandɨ, kru pɨrɨ nɨñɨndu, krunavundi muvɨraŋ pɨŋgɨrɨvɨŋgɨrɨramahuhu ñamba vana andɨndu. Krunavundi ñamba vana andɨndu haŋɨnɨŋ pɨmɨ kavɨrɨmandɨyu. Hara kru pɨŋgɨrɨvɨŋgɨrɨramandu haŋɨnɨŋ pɨmɨ aru kavɨrɨmandɨyu. 
MAT.18.8	Nandɨ kuma vaha mana tanda vaha pɨŋgɨrɨvɨŋgɨrɨramɨti ñamba vana andɨtaŋgata pɨtɨta kavarɨna umɨ. Kamata avinda kuma timu naŋga tanda tamu naŋgandaya kɨta sɨhaŋgɨyɨmana. Nandɨ kuma arɨkita naŋga tanda arɨkita kɨtunda naŋ Got ahu maŋgɨmuhɨmu tuta sɨhaŋgɨndi hañɨ kavarɨti unamandɨhi. 
MAT.18.9	Nandɨ tamɨŋga timu pɨŋgɨrɨvɨŋgɨrɨramɨti ñamba vana andɨtaŋgata, tamɨŋga kandɨha kumbɨrata kavarɨna umɨ. Kamata tamɨŋga timu naŋgandaya kɨtanda sɨhaŋgɨyɨmana. Nandɨ tamɨŋga arɨkita kɨtinda naŋ Got ahutuvarandi helɨyɨ kavarɨti unamandɨhi. 
MAT.18.10+MAT.18.11	Narɨ indarɨmara. Ñɨŋi sukɨsɨrambɨ nɨñɨndu munɨrɨm nda, ñɨmbi manɨman saŋ vɨtɨrama. Narɨŋ yinda ambin, Gotɨndu pɨhuyɨ, ñɨŋi kanɨŋɨnɨŋɨndu kutɨkara haŋɨnɨŋ, Yavandak nuŋandɨ pɨhuyɨ kɨyɨ hama naŋga sɨhaŋgɨndu, vami.
MAT.18.12	Jisas sɨhinda ambami, Narɨ pamata indarɨra. Kru mumɨŋgandu sipsip 100 kɨti, mɨŋgɨyataya yɨwarɨti puhɨrahi vaha mana mambaha puhɨrahi. Manɨŋga, 99 sipsip haŋɨnɨŋ mitɨti apuvu kɨtuhɨtu, uta sipsip mɨŋgɨyataya yɨwarahi haŋandɨhin puhɨrahi. 
MAT.18.13	Yi narɨŋ kandɨ ambin, sipsip haŋandɨhin aŋga mɨŋata kɨnzɨhɨnzɨtɨhi. 99 sipsip manziŋgundɨhu haŋɨnɨŋɨrɨm kɨnzɨhɨnzɨtɨmaŋgarahi. Hara sipsip mɨŋgɨyataya siŋgundɨmi haŋandɨhin aŋga mɨŋata, kɨnzɨhɨnzɨtɨmaŋgarahi. 
MAT.18.14	Kamata maña narɨŋandɨ Nava nuŋandɨ pɨhuyɨ kɨyɨ hama, ñɨŋi suksɨrambɨ kanɨñɨndu muŋandɨhin yɨwarɨtima vata yakwɨrɨvarandi, vami.
MAT.18.16	Ara nandɨ kuyu maŋindarɨtiŋgata, sɨhinda uta mɨŋgɨyavatɨŋ vaha mana arɨkimbatɨŋ vaha tɨmbuta uhu. Kamatɨna nandɨ kuyu ha arɨkimbat vaha mana arɨkikwɨrɨvat vaha tɨkatɨkatɨramandɨyu. 
MAT.18.17	Kamatɨna nurɨŋandɨ kuyu maŋindarɨtiŋgata, uta krunavundi Jisasɨrɨm indarɨmaŋgarandu ŋɨnɨŋ amba. Kamatɨna krunavundi Jisasɨrɨm indarɨmaŋgarandu haŋɨnɨŋ ndu kuyu ndahara maŋindarɨtiŋgata, nuŋ Gotɨŋ maŋgaha mɨŋga, naŋga kru gavaman ndamarɨm tɨmbahɨrɨs mɨŋamɨŋa mɨŋgaŋ ŋgɨmañandɨ. 
MAT.18.18	Yi narɨŋ kandɨ ambin, muhɨmɨmuhɨm vana pɨrɨ nɨñɨ kahañɨrɨmandɨraŋa, Got ndahara nuŋandɨ pɨhuyɨ kahañɨrɨmandɨ. Ara muhɨmɨmuhɨm vana pɨrɨ nɨñɨ kuyɨvɨrɨmandɨraŋa, Got ndahara nuŋandɨ pɨhuyɨ kuyɨvɨrɨmandɨ. 
MAT.18.19	Narɨŋ yi sɨhinda ambin, pɨrɨ nɨñɨ narɨ arɨkimbat muhɨmɨrɨm nda mavɨ mɨnzayɨ tamata, yandɨ Yavandak nuŋandɨ pɨhuyɨ kɨyɨ hama naŋga kuyundavarɨtɨra narɨŋɨrɨm ŋgurɨmandɨ. 
MAT.18.20	Arɨkimbat vaha mana arɨkikwɨrɨvat vaha pata yandɨ ñɨmbiyɨ tɨwɨrɨmandɨyu ha, yi yambi nurɨŋandɨ ñiŋgiñɨ kɨyɨman, vami.
MAT.18.23	Indarɨmara, Gotɨndu tɨwɨyɨ kɨyɨhɨyɨha aru miku maña, sɨmbɨrasara nuŋandɨ tɨmbahɨrɨs mɨŋamu haŋandɨhin nu naŋga kuyu mɨŋasɨrɨvasɨrɨvarɨm pirɨ kɨndi. 
MAT.18.24	Kamata tɨmbahɨrɨs mɨŋasɨrɨvasɨrɨva sɨmbɨra mɨŋahi sɨmbɨrasara muhamaŋ nu kɨyɨmiyɨ tɨmbuta payɨmu. Kandɨhama tɨmbahɨrɨs 10 milion mɨŋami. 
MAT.18.25	Hara tɨmbahɨrɨs mɨŋami hañɨndu kɨmbɨ ŋguhu ŋandi maŋgɨyɨmi. Kamataharɨm aru miku hama ambami, Kru kanɨmaŋ, nɨmburiŋ, naŋga ñɨŋisɨmɨŋ naŋga nuŋandɨ muhɨmɨmuhɨm sɨhanaŋga ŋgutɨra kru muŋɨnɨŋ mut mɨŋamu. Kamatu sɨmbɨrasara saŋɨŋɨnɨŋ yɨvurahɨtu, tɨmbahɨrɨs ha mɨŋata yaŋ ŋgumara, vamba ambami. 
MAT.18.26	Kamavahi sɨmbɨrasara saŋ hama aru miku hamandu tandanzapa hañɨ tanda mɨkwɨmɨkwɨnɨta nɨmavami, Yaŋ sɨhiŋgata tavɨrahanda. Tɨmbahɨrɨs nandɨ mɨŋamin haŋandɨhin sɨhanaŋga kɨmbɨ ŋgurɨman huŋɨndɨhi, vamba ambami. 
MAT.18.27	Kamavahi sɨmbɨrasara saŋ hamandu aru miku hamaŋ mavɨndɨhi nuŋ kuŋgɨ kuyɨvami. Kamata tɨmbahɨrɨs mɨŋami haŋandɨhinɨrɨm ndahara kɨndam, vamba ambami. 
MAT.18.28	Kamatɨhi sɨmbɨrasara saŋ hama tapɨrañɨ indɨhuta sɨmbɨra kɨhɨrɨ mɨŋandu mɨŋga nuŋandɨ 10 tɨmbahɨrɨs taya mɨŋami mɨŋgaŋ ŋgami. Kamata sɨkwɨtaya nuŋ pɨŋgwɨ nɨkinɨki mɨŋavandata ambami, Yandɨ tɨmbahɨrɨs mɨŋamana ha tɨhunzaŋɨnzaŋ ŋgu, vamba ambami. 
MAT.18.29	Kamatɨhi sɨmbɨra kɨhɨrɨ mɨŋandu hama nuŋandɨ tandanzapa hañɨ tanda mɨkwɨmɨkwɨnɨta ambami, Nandɨ tɨmbahɨrɨs mɨŋamin ha ŋgurɨman huŋɨndɨhi yaŋ sɨhiŋgata tavɨrahanda, vamba ambami. 
MAT.18.30	Hara sɨmbɨrasara saŋ hama yakwɨrɨvarami. Uta sɨmbɨra kɨhɨrɨ mɨŋandu hamaŋ kru ñamba vana andɨhu tamandu upɨyɨ tamami. Kamatɨhi kandɨhañɨ kɨñɨŋgɨñɨ tɨmbahɨrɨs mɨŋami ha mɨŋasɨrɨvami. 
MAT.18.31	Kandɨhamata musa andɨhi kru sɨmbɨra kɨhɨrɨ mɨŋandu haŋɨnɨŋ ŋgahu nurɨŋandɨ mavɨmbu avi mandɨmi. Kamatɨhi uta nurɨŋandɨ aru miku hamaŋ muhɨmɨmuhɨm vana sɨmbɨrasara saŋ hama andɨmi haŋɨnɨŋɨrɨm ambavaramu. 
MAT.18.32	Kamatɨhu aru hama sɨmbɨrasara saŋ hamaŋ uraramahi payɨhi ambami, Na sɨmbɨrasara saŋ ñamba mɨŋga. Na yambirɨm mavɨmavɨ kuyu ambahana tɨmbahɨrɨs yandɨ mɨŋamana haŋandɨhinɨrɨm kɨndam vata, naŋ kuŋgɨ kuyɨvasɨn. 
MAT.18.33	Yi naŋ sɨhisɨhitɨsɨn. Hara mumɨndɨhi sɨmbɨra kɨhɨrɨ mɨŋandara ndamaŋ sɨhisɨhi mandɨsɨna, vamba ambami. 
MAT.18.34	Kamavata nuŋandɨ aru miku hama sɨmbɨrasara saŋ hamarɨm kɨtɨrɨ kɨta ambami, Kru kañɨnda ŋguhu haŋɨnɨŋɨndu kumaŋgɨmbañɨ tamɨman. Kamatɨn kandɨhañɨ kɨñɨŋgɨñɨ tɨmbahɨrɨs mɨŋami haŋɨnɨŋ sɨhanaŋga aŋga ŋgurɨmandɨ, vamba ambami. 
MAT.18.35	Sɨwɨmaña ŋandi, muŋɨnɨŋɨndu ñamba vana kuŋgɨ maŋguyɨvɨrɨmandɨra ha, Yavandak nuŋandɨ pɨhuyɨ kɨyɨ hama narɨŋandɨ kuŋgɨ ndahara maŋguyɨvɨrɨmandɨ, vami.
MAT.19.1	Jisas kuyu kanɨnɨŋɨnɨŋ ambavarata mɨtuta, pɨrɨvɨsa Galili mitata pɨrɨvɨsa Judiarɨm kuku Jordan ndambukari indɨhumi. 
MAT.19.2	Kamatɨhi krunavundi sambɨ nu naŋga umu. Kamatɨhu kandɨhambu kandi naŋga haŋɨnɨŋ mɨŋavindamami. 
MAT.19.3	Kamatɨhi Farisi, Jisas andɨti ŋgɨm vata payɨmu. Harɨm Jisasɨŋ nɨmavamba kitɨhumu, Na pamata indarɨna. Kru mumɨŋga nɨmburiŋ saŋɨnaŋga pɨŋguvarahi. Kru kandɨhama arɨŋandɨ tɨkatɨka kuyu mɨŋahandandi vaha, vamu. 
MAT.19.4	Kamavahu Jisas kɨmbɨ nɨmavami, Narɨ Gotɨndu aŋgwɨmɨkɨyɨ kuyu kɨndi haŋandɨhin ŋgatɨŋgɨruta mambaha ŋgandara. Kuyu kandɨha nɨmavamba ambami, Kuha Got muhɨmɨmuhɨm tamata krunavundiŋ musa mɨŋami. Kamata andɨhi kru naŋga navundi yɨvurahamu, vamba ambami. 
MAT.19.5	Kamavata sɨhinda Got ambami, Harɨm kru hama yahata nɨŋum nɨŋuvaŋ mitata nɨmburi naŋga kɨhɨrɨ kɨndu. Kamata arɨkimbat kwɨrandɨmbat mɨŋgɨyataya yɨvurahandu, vamba ambami. 
MAT.19.6	Got ambami, harɨm arɨkimbat kɨtɨŋgɨtɨ maŋgɨndu. Kwɨrandɨmbat mɨŋgɨyataya maña kɨndu. Harɨm Got kahañami hɨm haŋandɨhin kru mandavɨham, vami.
MAT.19.8	Kamavahu Jisas nurɨŋ ambami, Narɨ tamahumbɨrɨ ŋɨnɨŋ, harɨm Moses ŋgatara andɨhi navundi pɨŋguvarandara. Hara kimaŋgimañɨ kamata vana maŋgɨyɨmi. 
MAT.19.9	Narɨŋ yi ambin, kru mumɨŋga, nɨmburi kru mamɨŋavɨŋgɨrɨtira saŋɨnaŋga pɨŋguvarahi. Kamata navundi mu urahi. Kru kandɨhama nuŋambi navundi mɨŋavɨŋgɨrɨvɨŋgɨrɨ vana andɨhi, vami. 
MAT.19.10	Kamavahi nuŋandɨ sɨmbɨrasara haŋɨnɨŋ kuyu kandɨha indarɨta Jisasɨŋ nɨmavamba ambamu, Kru kandɨhamata vana mɨŋahandɨrɨman vataŋgata, kɨndamɨndɨhi navundi maŋuram, vamu. 
MAT.19.11	Kamavahu Jisas ambami, Kru sɨhanaŋga kuyu kanɨŋandɨhin mamɨŋandu. Got kru mɨnzavatɨvatɨŋ ndaya tɨkatɨka ŋguhi navundi maŋurandu. 
MAT.19.12	Narɨ indarɨmara. Kru muvitamuvita ŋɨnɨŋ kɨta navundi maŋurandu. Muvɨraŋ nɨŋumɨŋgati kavuhu nurɨŋandɨ kwɨrandɨ ha ñambatɨmi. Muvɨraŋ kru kwɨrandɨmbɨsa tavɨhamu harɨm ñɨŋi maŋgavuhu. Muvɨra Gotɨndu tɨwɨyɨ kɨyɨhɨyɨndu sɨmbɨrarɨm indarɨramata nurɨŋambi tɨkatɨka kuyu sɨmahata navundi maŋurandu. Harɨm kru kuyu kanɨŋandɨhin mɨŋɨman vɨrɨmandɨ hama mɨŋam, vami.
MAT.19.13	Kandɨhɨvɨ hañɨ krunavundi ñɨŋi sukɨsɨrambɨ haŋɨnɨŋ tɨmbuta Jisas kɨyɨmiyɨ payɨmu. Nuŋandɨ kuma ha nurɨŋandɨ kwɨrandɨ hañɨ tamata, Got naŋga kuyundavarɨti, nurɨŋ ŋguramam vata andɨmu. Kamatɨhura nuŋandɨ sɨmbɨrasara haŋɨnɨŋ krunavundi kandɨhaŋɨnɨŋ ambahɨmumu. 
MAT.19.14	Kamatɨhu Jisas nuŋandɨ sɨmbɨrasara haŋɨnɨŋ ambami, Mitɨra ñɨŋi haŋɨnɨŋ yi kɨnɨ nɨñɨ payɨmu, nurɨŋ karikari mandɨmara. Krunavundi Gotɨndu tɨwɨyɨ kɨyɨmɨndaŋ vataŋgata, ñɨŋi nɨŋɨnɨŋ maña kɨyɨmu, vami. 
MAT.19.15	Kamavata kuma nuŋandɨha ñɨŋi haŋɨnɨŋɨndu miku hañɨ tamami. Kamata kɨyɨhandata kandɨ upɨ haŋu mitata umi. 
MAT.19.17	Kamavahi Jisas nuŋ ambami, Mumɨndɨhi na yaŋ avi vanarɨm kitɨhuna. Mɨnzamɨnza Got taya avi. Hara sɨhaŋgɨyɨman vataŋgata, Gotɨndu tɨkatɨka kuyu taya mɨŋahandamaŋgara, vami. 
MAT.19.18	Kamavahi kru kandɨhama Jisasɨŋ nɨmavamba kitɨhumi, Tɨkatɨka kuyu pamatarɨm ambana, vami. Kamavahi Jisas ambami, Tɨkatɨka kuyu kandɨhaŋɨnɨŋɨndu kuyu nɨmata kɨndi. Krunavundiŋ mayɨvutatama. Kru na, navundi mamɨŋavɨŋgɨrɨ, naŋga navundi na, kru mamɨŋavɨŋgɨrɨ. Kipa mamɨŋa, kru muŋɨnɨŋ kuyusɨhɨrata saŋɨnaŋga maŋgatɨŋguru. 
MAT.19.19	Namɨnavandu tɨwɨyɨ kɨñɨŋgɨñɨ nurɨŋandɨ kuyu mɨŋahanda. Kamata nambi nandɨ kwɨrandɨrɨm mavɨndamandana maña, sɨhanaŋga kruŋ ndahara mɨŋata mavɨñɨ tama, vami. 
MAT.19.20	Kamavahi kru ñaŋɨra hama ambami, Yi sɨhanaŋga tɨkatɨka kuyu kanɨŋɨnɨŋ mɨŋahandandin. Hara yi pamata hɨmɨrɨmɨnzɨkwɨ kɨrɨvɨtɨn, vami. 
MAT.19.21	Kamavahi Jisas ambami, Avinzɨkwɨ mɨŋga kɨyɨman vataŋgata, uta nandɨ muhɨmɨmuhɨm sɨhanaŋga ŋguna mut mɨŋamu. Kamatu tɨmbahɨrɨs ha mɨŋatuta muhɨmɨmuhɨm manɨman saŋ haŋɨnɨŋ ŋgu. Kamatɨrɨmana handa Gotɨndu pɨhuyɨndu avihɨmɨŋgɨm mɨŋɨmana. Kamata yi naŋga pañɨ, vami. 
MAT.19.22	Kru ñaŋɨra hama muhɨmɨmuhɨm sambɨ sɨkwɨ naŋga mɨŋga. Harɨm kuyu kandɨha indarɨhi nuŋandɨ mavɨmbu pɨmɨtɨhi umi. 
MAT.19.23	Kamatɨhi Jisas nuŋandɨ sɨmbɨrasara haŋɨnɨŋ ambami, Yi narɨŋ kandɨ ambin, kru tɨmbahɨrɨsɨndu arɨku mɨŋga Gotɨndu tɨwɨyɨ kɨyɨman vata avɨrɨ tamɨrɨmandɨ. 
MAT.19.24	Yi narɨŋ sɨhinda ambin, kamel mɨkwɨrɨ sɨvirɨsɨvirɨ sɨki humbañɨ indɨwɨrɨm, kru tɨmbahɨrɨsɨndu arɨku haŋɨnɨŋ Gotɨndu tɨwɨyɨ kɨyɨhɨyɨrɨm avɨrɨtamandu maña avɨrɨ mandamahi, vami.
MAT.19.25	Nuŋandɨ sɨmbɨrasara haŋɨnɨŋ kuyu kanɨŋandɨhin indarɨhu mavɨyahavarami. Kamata ambamu, Ara nindaya sɨhaŋgɨyɨmandɨ, vamu. 
MAT.19.26	Kamavahu Jisas nurɨŋ tɨhɨrata ambami, Kru maŋandɨhu. Hara Got muhɨmɨmuhɨm vana andɨhi, vami. 
MAT.19.27	Kamavahi Pita kɨmbɨ ambami, Ŋgana, ara arɨŋandɨ muhɨmɨmuhɨm mitata nanaŋga kɨndandarɨŋ. Harɨm ara mum mɨŋɨmɨndaŋ, vami. 
MAT.19.28	Kamavahi Jisas ambami, Yi narɨŋ kandɨ ambin, muhɨmɨmuhɨm kɨhi yɨvurahɨmandɨ hɨvɨyɨ, Krundu Ñɨŋi mɨŋga aru ñɨmbi naŋgandɨta aru miku ndu mɨnzɨmɨnzɨ maka nuŋandɨ hañɨ mɨnzɨrɨmandɨ. Kamati yi naŋga kɨhɨrɨ kɨndandara narɨndahara, aru miku ndu mɨnzɨmɨnzɨ maka kumanzɨpi timutamu, tanda timundu arɨkinzɨpi tɨŋgɨruramatayɨ mɨnzɨrɨmandɨra. Kamata Israel hatindu krunzapa kumanzɨpi timutamu, tanda timundu arɨkinzɨpi taya tɨŋgɨruramata haŋɨnɨŋ karatamɨrɨmandɨra. 
MAT.19.29	Naŋga krunavundi sɨhanaŋga yambirɨm indarɨta, nurɨŋandɨ tavɨ, nɨŋusinavaŋ, nɨŋuranavaŋ, nɨŋurɨmaŋgatiŋ, ñɨŋisɨmɨŋ, nɨŋumɨnɨŋuvaŋ, naŋga nurɨŋandɨ kɨva mitamu haŋɨnɨŋ sɨhinda muhɨmɨmuhɨm 100 mɨŋɨmandɨyu. Kamata sɨhaŋgɨyɨmandɨyu. 
MAT.19.30	Hara kru kasirambu uyu haŋɨnɨŋ sɨhɨndɨvu sɨkwɨ payɨmandɨyu. Kamatu kru sɨhɨndɨvu payu haŋɨnɨŋ kasirambu urɨmandɨyu, vami.
MAT.20.2	Kamata nurɨ naŋga kuyu sɨmahata ambami, Sɨmbɨra mɨŋɨtɨra musi hɨvɨndu tɨmbahɨrɨs kumba naŋganaŋga kɨrɨs narɨŋ ŋgurɨman, vamba ambami. Kamata sɨmbɨhi uta wain kɨva nuŋandɨ hañɨ sɨmbɨra mɨŋamu. 
MAT.20.3	Kamata kɨyɨhandata 9 kilok vɨrañɨ aru hama sɨhinda umi. Kamata tɨhɨrutɨhɨru upɨ hañɨ ŋgahi kru muvɨra saŋ taŋguvatata kɨyɨmu. 
MAT.20.4	Kamatɨhu ambami, Narɨndahara uta wain kɨvayɨ sɨmbɨra mɨŋamara. Kamatɨra sɨmbɨra mɨŋɨmandɨravu ŋgaharamata narɨŋ tɨmbahɨrɨs tɨtɨyɨ ŋgurɨman, vami. 
MAT.20.5	Kamavahi umu. Kamata ina mɨrɨyɨ kɨyɨhihi, naŋga ina mɨŋgurɨm saŋgindaŋgumi hɨrɨvɨyɨ aru hama sɨhinda aŋga uta sɨwɨmaña musa nda andɨmi. 
MAT.20.6	Kamata kɨvɨtiti 5 kilok tɨrɨmɨndɨhi sɨhinda uta kru muvɨraŋ ŋgahi tɨhɨrutɨhɨru upɨ hañɨ taŋguvatata kɨyɨhu ambami, Narɨ mumɨndɨhi musi hɨvɨ narɨ nɨñɨndaya saŋ taŋguvatata kɨyɨhara kɨvɨtiti, vamba ambami. 
MAT.20.7	Kamavahi ambamu, Arɨŋ kru mumɨŋga sɨmbɨra maŋguyɨ, vamba ambamu. Kamavahu ambami, Narɨndahara uta yandɨ wain kɨvayɨ sɨmbɨra mɨŋamara, vamba ambami. 
MAT.20.8	Kamata kɨvɨtititɨhi, nuŋandɨ sɨmbɨra mɨŋahuhu karatamandi hamaŋ ambami, Sɨmbɨrasara haŋɨnɨŋ uraramɨna patu tɨmbahɨrɨs ŋgu. Sɨhɨndɨvu pata sɨmbɨra mɨŋayu haŋɨnɨŋ wɨsa ŋguta, kasiramɨyɨ pata mɨŋayu haŋɨnɨŋ ŋgu, vamba ambami. 
MAT.20.9	Kamavahi kru kɨvɨtiti 5 kilok pata sɨmbɨra mɨŋamu haŋɨnɨŋ kumba naŋganaŋga kɨrɨs mɨŋamu. 
MAT.20.10	Kamatɨhu kru sɨmbɨra nurɨŋgwɨsa mɨŋamu haŋɨnɨŋ pata tɨmbahɨrɨs sambɨ vaha mɨŋɨmɨndaŋ vamba indarɨmu. Hara nurɨndahara kumba naŋganaŋga kɨrɨs mɨŋamu. 
MAT.20.11+MAT.20.12	Kamata tɨmbahɨrɨs mɨŋamu hambu ŋgata kɨva nɨŋuva hama naŋga kuyu mɨŋgumu. Kamata ambamu, Kru ndaŋɨnɨŋ sɨhɨndɨvu pata mɨŋgɨya hɨrɨvɨ taya sɨmbɨra mɨŋayu ndaŋɨnɨŋ tɨmbahɨrɨs arɨŋ ŋguna maña nurɨŋ ŋguna. Ara kɨvɨsuŋ nda kɨta sɨmbɨra tɨkatɨka mɨŋaharɨŋ arɨŋ ina kɨrahɨmuhi pata kɨvɨtititɨ, vamba ambamu. 
MAT.20.13	Kamavahu kɨva nɨŋuva hama kuyu kandɨha indarɨta sɨmbɨrasara muhamaŋ ambami, Yambɨha, yi naŋ ñamba vana maŋandɨn. Nanaŋga, tɨmbahɨrɨs kumba naŋga kɨrɨsɨrɨm kuyu sɨmaharɨŋ. 
MAT.20.14	Nandɨ tɨmbahɨrɨs nɨ mɨŋata uhu. Yi yambi pirɨtamata naŋ tɨmbahɨrɨs ŋgwin maña, sɨhɨndɨvu sɨkwɨ payɨ ndamaŋ ndahara tɨmbahɨrɨs sɨwɨmañanda ŋgwin. 
MAT.20.15	Nɨŋandɨhin yandɨ sɨmbɨra. Harɨm yandɨ indarɨmitɨyɨ tɨmbahɨrɨs yandɨ nɨ mambaha tɨŋgɨruhin. Yi nurɨŋ avi musa andɨhin yambirɨm mumɨrɨm kɨtɨrɨ kɨna, vamba ambami. 
MAT.20.16	Kamata Jisas ambami. Kamata maña, kru sɨhɨndɨvu sɨkwɨ kɨndu haŋɨnɨŋ kasirambu patu, kasirambu kɨndu haŋɨnɨŋ sɨhɨndɨvu sɨkwɨ kɨyɨmandɨyu, vami.
