MAT.1.1	Iesu Keriso vouḡa nizeꞌe ꞌahi eꞌe. Aniꞌe kini Davida mariga ebu zuni Aberahamo mariga.
LUK.5.15	Rehano Iesu hariꞌe ḡarihe bororu onamiro. Ebu vaze ḡuḡuvaḡaniꞌa Iesu ḡoere abitoga zu ugizeꞌa manoroga radu ane vaḡe onairo. 
LUK.5.16	Rehano mada rae rae Iesu ane daꞌo vazeḡa oꞌoꞌa habaꞌa onamadu eꞌea kuraudo.
LUK.5.17	Mada ꞌahogano Iesuꞌa harameꞌeteꞌe zamaḡano, Farisea azaḡa zu Mose goro ḡoeꞌa ihozeꞌeteꞌe azaḡaniꞌa Iesu uhiḡano ehore radiunu. Zeꞌe Galilea habaꞌa zu Iudea habaꞌano neḡa ꞌahoga ꞌahogaꞌonoꞌo ebu Ierusalema habaꞌaonoꞌo onairo. Ebu Zuhiꞌa Boro gigiꞌa inaraḡaꞌe Iesuꞌa vaze faizoga veize ane rana reiro.
LUK.5.18	Eꞌe madaḡano vaze nuꞌe ahiꞌa mene haganeꞌeteꞌe vazeḡa farata hina herate onamadu Iesu zamao bazune tihi reiro. 
LUK.5.19	Rehano zeꞌa vaze ḡuḡuvaḡa ꞌahine, ibihetaonoꞌo odohe diuoga mene idararo. Eꞌanoꞌo ze binu hitaga itadu binu mae bohaniro. Ebu vaze ḡuḡuvaḡa boꞌaḡano farata mini hina ovoe dabanadu Iesu zamao bazune tiro. 
LUK.5.20	Zeꞌa Iesu mazao fieꞌeteꞌe Iesuꞌa horonirotene, ani raenaꞌa, “Vazehe, ḡa sauꞌa ꞌai rae modeha!” 
LUK.5.21	Farisea azaḡa zu Mose goro ḡoeꞌa ihozeꞌeteꞌe azaḡaꞌe zeḡeꞌa bare zamariro, raenaꞌa, “Aniꞌe nagi vazeḡa? Nougadu Badiꞌa sausaune ḡoereꞌohe? Badiꞌaꞌa daꞌo vaze sauꞌa rae modeꞌohe!”
LUK.5.22	Iesu ani zeḡeꞌa nouge rae zamarirota ꞌai ederadu naenaeziro, raenaꞌa, “Za nougadu eḡe ḡoere ꞌadi zamareꞌohe? 
LUK.5.23	Ani mazao nougenouge nine, ḡoeꞌaꞌe ufiḡa? 'Ḡae sauꞌa ꞌai rae modeha' rae niꞌeteꞌe ga 'Iḡunadu onamoꞌi' rae niꞌeteꞌe? 
LUK.5.24	Rehano e ani manoniꞌuma ebu ani sauꞌa zu rae modiꞌuma, mazaḡa eḡe, Vaze Ubuḡaꞌe raha ꞌadao vaze sauꞌa rae modeꞌeteꞌe gigiꞌaḡa meiroteꞌe zuni za ihoziꞌuma.” Ebu Iesuꞌa ahiꞌa mene haganeꞌeteꞌe vazeḡa eꞌe ninaꞌa, “Eḡeꞌa ḡaꞌohe. Iḡunoꞌi ebu farataḡo odohadu neḡo onamoꞌi!”
LUK.5.25	Ebu vaze eꞌeꞌa zogone zeḡe zamabeꞌanoꞌo iḡune edanadu farataḡa meiro ebu Badiꞌa ni mae ḡihineꞌenaꞌa neḡa onamiro. 
LUK.5.26	Vaze niduꞌaꞌe zaguzaganadu rihau radaro. Ebu Badiꞌa ḡihiniro, raenaꞌa, “Eme izidi haḡai nu badeḡa horoneha!”
LUK.5.27	Eꞌe enogano Iesuꞌe haba eꞌe mode iḡunirotene takesi vazeḡa ꞌahoga, niḡaꞌe Levi horoniro. Aniꞌe takesi habaꞌano ehore radiunu. Ebu Iesuꞌa niro, raenaꞌa, “Eḡe hegotoꞌi!” 
LUK.5.28	Ebu Levi ani ḡauḡa niduꞌa modadu ani hegotiro.
LUK.5.29	Leviꞌa ane neo Iesu veize ogomu boro haḡairo. Eꞌea takesi azaḡa ḡehaḡa zu vaze nunu zeḡe teite ogau tiburaunu. 
LUK.5.30	Rehano Farisea azaḡa zu zeḡe moneo Mose goro ḡoeꞌa ihozeꞌeteꞌe azaḡaniꞌa Iesu tahiꞌatahiꞌa mazao maḡune ḡoeriro, raenaꞌa, “Zaꞌe nougadu takesi azaḡa zu sauꞌa azaḡa teite ogau tiburuꞌohe?”
LUK.5.31	Ebu Iesuꞌa naenaeziro, raenaꞌa, “Ugi oꞌoꞌa azaḡaꞌe gohe vazeḡa mene vaḡeꞌohe, rehano ugi azaḡaniꞌa ani vaḡeꞌohe. 
LUK.5.32	Eꞌe teige, eꞌe duduḡa rae zamareꞌeteꞌe azaḡa huzoga radu mene onairo. Rehano haḡai sauꞌa rae zamareꞌeteꞌe azaḡa huzadu zeḡe sauꞌanonoꞌo ḡihuroga veize onairo.”
LUK.5.33	Ebu hena vaze nuꞌa Iesu niro, raenaꞌa, “Ioane bapatizo tahiꞌatahiꞌaꞌe ogomu moneo mada ḡehaḡa zaḡozaḡeꞌohe zu kurauꞌohe. Farisea azaḡa tahiꞌatahiꞌa zuni ꞌouge haḡaeꞌohe. Rehano nougadu ḡa tahiꞌatahiꞌaꞌe iḡaiḡa ogauꞌohe?”
LUK.5.34	Ebu Iesuꞌa ziro, raenaꞌa, “Hahureꞌeteꞌe madaḡano, ohoze hahu iziganiꞌa huzeꞌeteꞌe azaḡaꞌe ane teite ogau tiburaune, ze mene zaḡozaḡiꞌuma. 
LUK.5.35	Rehano zeḡe mazaonoꞌo ohoze hahu izigaꞌe mae vaḡiniꞌuma madaḡaniꞌa onaine, zeꞌe vetuḡa ranadu zeḡeꞌa zaḡozaḡiꞌuma.”
LUK.5.36	Ebu Iesuꞌa bare hari ꞌahoga idaniro, raenaꞌa, “Vaze ꞌahoganiꞌa dabua iziga variꞌe madu dabua amahiḡa mene baniniꞌuma. Baninine, dabua izigaꞌe mae zigi borofiꞌuma, ebu dabua izigaꞌe amahiḡa teite horone tibunoga zuni mene manoḡa reꞌuma.
LUK.5.37	Ebu vaze ꞌahoganiꞌa vaini vuḡa baige 
LUK.5.38	Eꞌanoꞌo vaini vuḡa izigaꞌe, baige izigano beuꞌe ufiꞌuma. 
LUK.5.39	Rehano vaini vuḡa amahiḡa gagidoteꞌe azaḡaꞌe vaini vuḡa iziga mene urateꞌohe, mazaḡa zeꞌe raenaꞌa, “Amahiḡaꞌe ufeta manoḡa
LUK.6.1	Bana Madaḡa ꞌahogano Iesuꞌa ane tahiꞌatahiꞌa teite vuidi mebaḡa zamaḡano onamiro. Ebu ane tahiꞌatahiꞌaꞌa vuidi maḡa ririꞌe madu ꞌevoreze hina hasiga mute vaḡinadu huga aro. 
LUK.6.2	Rehano Farisea azaḡa nuꞌa horozadu ziro, raenaꞌa, “Zaꞌe nougadu Bana Madaḡa goroḡa varadeꞌenaꞌa, vuidi hiriveꞌohe?”
LUK.6.3	Iesuꞌa naenaeziro, raenaꞌa, “Zaꞌe Buka Zaḡoḡa zamaḡano, Davidaꞌa nagini haḡairotaꞌaꞌe meꞌodiro ga? Davida ani ane ḡatiniroteꞌe azaḡa teite ogomuze hauḡadu vinize ruziro. 
LUK.6.4	Eꞌanoꞌo aniꞌe Badiꞌa ne diuḡadu dibuꞌo azaḡaniꞌa daꞌo auꞌeteꞌe dibuꞌo berediḡa aro. Aniꞌe goro ḡoeꞌa varadiro ebu ane ḡatiniroteꞌe azaḡa zuni ziniro.” 
LUK.6.5	Ebu Iesuꞌa zinaꞌa, “Eḡe, Vaze Ubugaꞌe, Bana Madaḡa Zuhiꞌaḡa.”
LUK.6.6	Ebu Bana Madaḡa ꞌahogano, Iesuꞌa nuꞌonuꞌo neḡa diuḡadu vazevaze ihoziro. Eꞌea edaꞌe nae ꞌevoꞌa rudanoga vazeḡa zuni radiunu. 
LUK.6.7	Mose goro ḡoeꞌa ihozeꞌeteꞌe azaḡa zu Farisea azaḡaꞌe Iesuꞌa Bana Madaḡano vaze eꞌe fainiꞌuma ga mene rae ehamu radiro. Mazaḡa aniꞌa vaze eꞌe fainine, zeḡe kotao ohonoga uratiro.
LUK.6.8	Rehano Iesu aniꞌe zeꞌa nouge rae zamarinutaꞌaꞌe ederiro. Ebu ꞌevoꞌa rudanoga vazeḡa niro, raenaꞌa, “Iḡunadu vaze ḡuḡuvaḡa zama ꞌada eda aroꞌi!” Ebu ani eda onamiro. 
LUK.6.9	Ebu Iesuꞌa zinaꞌa, “E za ḡadizeꞌohe. Mose goro ḡoeꞌaꞌe Bana Madaḡa zamaḡano nagini haḡaine idaḡa raꞌohe? Manoḡa haḡaiꞌuma ga sauꞌa haḡaiꞌuma? Ḡaboziꞌuma ga zimiꞌuma?” 
LUK.6.10	Iesuꞌa zeḡe niduꞌa ḡiaze ḡemadu vaze eꞌe niro, raenaꞌa, “ꞌEvoꞌo einoꞌi!” Aniꞌa einirotene, ꞌevoꞌaniꞌa manoriro.
LUK.6.11	Rehano ze maḡune rudanadu zeḡe zeḡeꞌa Iesu mazao nagini haḡaiꞌuma rae ḡoaniro.
LUK.6.12	Eꞌe madaḡano Iesu ani maḡa onamadu ohere faḡa Badiꞌa mazao kuraro. 
LUK.6.13	Ebu oherebau moneo ani tahiꞌatahiꞌa huze tibuziro. Ebu tahiꞌa 12 daꞌo zamazadu Apostolo azaḡa rae huziro.
LUK.6.14	Nizeꞌe ꞌahiꞌeꞌe: Simona niḡa ꞌahoḡaꞌe Petero, Petero negoḡa niḡa Aniderea, Iakobo, Ioane, Filipo, Batolomeo, 
LUK.6.15	Mataio, Tomasi, Alefeo ubuḡa niḡa Iakobo, Roma gavamani utito ziniꞌeteꞌe duḡuruḡa
LUK.6.16	Iakobo ubuḡa niḡa Iuda ebu Iesu revoharoteꞌe vazeḡa, Isakariota vazeḡa niḡa Iuda.
LUK.6.17	Eꞌe enogano, Iesu ani tahiꞌatahiꞌa teite maḡanonoꞌo ovaradu haba sebaḡano edaro. Eꞌe habaꞌanoꞌe ane hegoteꞌeteꞌe azaḡa ḡuḡuvaḡa ebu haba nunu azaḡa ḡehaḡaniꞌa radiunu. Zeꞌe Iudea habaꞌa, Ierusalema neḡa boro zu davara genaḡa neḡa boro Taea ebu Sidonaonoꞌo Iesu hari abitoga zu ugize faizoḡa radu ariro. 
LUK.6.18	Ebu Iesuꞌa vine sauꞌaniꞌa diuḡadu sausauziroteꞌe azaḡa zuni faiziro. 
LUK.6.19	Zeḡe niduꞌa ani ahiri obonihi reiro, mazaḡa ugi faineꞌeteꞌe inaraḡaꞌe ani mazaonoꞌo buanadu zeḡe nidua manoriro.
LUK.6.20	Ebu Iesuꞌa ane tahiꞌatahiꞌa ḡiazeꞌenaꞌa ziro, raenaꞌa,
LUK.6.20	“Za, zahara azaḡaꞌe Badiꞌa manohugazeta, mazaḡa Badiꞌaꞌa ibitoziniꞌohe.
LUK.6.21	Izidi za, vinizeꞌeteꞌe azaḡaꞌe Badiꞌa manohugazeta, mazaḡa isize miniꞌuma.
LUK.6.21	Izidi za, niauꞌeteꞌe azaḡaꞌe Badiꞌa manohugazeta, mazaḡa vesuꞌu matuꞌe eḡofiꞌuma.
LUK.6.22	Eḡe, Vaze Ubuga, hegoteꞌeteꞌe uꞌano, vazeꞌa heꞌeheꞌezine, hezahine, ḡoere sauꞌa zine ebu za sauꞌa rae reine, zaꞌe Badiꞌaꞌa manohuga hidiꞌuma.
LUK.6.23	Zae vouḡaꞌa peroveta azaḡa mazao zuni ꞌouge haḡaido. ꞌUguḡaniꞌa za mazao fureranoꞌidene matueꞌenaꞌa zavonoꞌi! Mazaḡa peroveta azaḡa teige, Badiꞌaꞌa adureo zae naeḡa boro raꞌohe.
LUK.6.24	Rehano za, maꞌora azaḡaꞌe fase, Badiꞌa aduga hidiꞌuma. Mazaḡa zaꞌe ibite ḡau manoḡa niduꞌa mae hauḡiro ꞌahine, vesuꞌu mene bare meꞌuma.
LUK.6.25	Izidi za, ogau isi miniꞌeteꞌe azaḡaꞌe fase, Badiꞌa aduga hidiꞌuma, mazaḡa vesuꞌu viniziꞌuma.
LUK.6.25	Izidi za, matuꞌe eḡofeꞌeteꞌe azaḡaꞌe fase, Badiꞌa aduga hidiꞌuma. mazaḡa vesuꞌu niauꞌenaꞌa vetuḡaraꞌuma.
LUK.6.26	Vaze niduꞌaꞌa za niguzine, fase, Badiꞌa aduga hidiꞌuma, mazaḡa vouḡazeꞌa zuni ḡuriro perovetaḡa azaḡa ꞌouge niguzido.
LUK.6.27	Eḡe ḡoere egoniꞌeteꞌe azaḡaꞌe ziꞌohe. Agireze azaḡa zamaroꞌi zu heꞌeheꞌeꞌeteꞋe azaḡa mazao manoḡa haḡaoꞌi! 
LUK.6.28	Za rae sausauzeꞌeteꞌe azaḡaꞌe Badiꞌa manohuga hidoga veize uminoꞌi zu zae mazao haḡai sauꞌa haḡaeꞌeteꞌe azaḡa veize kuranoꞌi! 
LUK.6.29	Vazeꞌa ḡanigo faꞌonoꞌidene, naeḡa zu notonohanoꞌi! Vazeꞌa dabuaḡo meiꞌadu hena bare ꞌahoga zuni meihi roꞌidene, aꞌa zu hanoꞌi! 
LUK.6.30	Iniuꞌa nagini umiꞌoꞌidene hau tauḡoꞌi, ebu iniuꞌa ḡauḡo mae buroꞌidene, ago bare moꞌi! 
LUK.6.31	Vazeꞌa zae mazao haḡai manoḡa haḡaeꞌeteꞌe uratoꞌidene, zae zuni zeḡe mazao haḡai manoḡa haḡaoꞌi!
LUK.6.32	Zaꞌa zae vetuḡaziꞌeteꞌe azaḡa daꞌo vetuḡazine, Badiꞌaꞌa mene niguziꞌuma. Sauꞌa azaḡa zuni zeḡe vetuḡaziꞌeteꞌe azaḡa vetuḡaziꞌohe. 
LUK.6.33	Ebu zaꞌe zae mazao manoḡa haḡaeꞌeteꞌe azaḡa mazao daꞌo manoḡa haḡaine, Badiꞌaꞌa mene niguziꞌuma. Sauꞌa azaḡa zuni ꞌouge haḡaeꞌohe. 
LUK.6.34	Ebu zaꞌe ḡauze bare ziniꞌuma raꞌeteꞌe azaḡa daꞌo zinihi reine, Badiꞌaꞌa mene niguziꞌuma. Sauꞌa azaḡa zuni ḡauze bare meiniꞌuma rae zamareꞌenaꞌa, sauꞌa azaḡa ḡauze ziniꞌohe.
LUK.6.35	Rehano agireze azaḡa vetuḡazoꞌi, zu zeḡe mazao manoḡa haḡaoꞌi! Ebu bare naenaeniꞌuma rae mene zamareꞌenaꞌa zenoꞌi! ꞌOugine, Badiꞌaꞌa naeḡa boro ziniꞌuma, ebu zaꞌe Ḡihiꞌa Hune Badiꞌa ubuga reꞌuma. Mazaḡa Badiꞌa mene matuꞌo hauꞌeteꞌe azaḡa ebu sauꞌa haḡaeꞌeteꞌe azaḡa zuni Badiꞌaꞌa vetuḡaziꞌohe. 
LUK.6.36	Zae Mama Badiꞌaꞌa vaze vetuḡaziꞌeteꞌe teige, zae zuni vaze vetuḡazoꞌi!
LUK.6.37	Vaze mazao sauꞌa azaḡa rae ago zoꞌi! ꞌOugine Badiꞌaꞌa zae zuni sauꞌa azaḡa rae mene ziꞌuma. Vazeꞌa sauꞌa haḡaoꞌidene, riḡa ago ḡorezoꞌi! ꞌOugine Badiꞌaꞌa zuni zae sauꞌa riḡa mene ḡoreziꞌuma. Zeḡe sauꞌa rae modoꞌi! ꞌOugine Badiꞌaꞌa zuni zae sauꞌa rae modiꞌuma.
LUK.6.38	Ḡauze zenoꞌi! ꞌOugine Badiꞌaꞌa manohuga ziniꞌuma. Badiꞌaꞌa zaꞌe iriꞌavone fosafosanoga, taugoga, zuꞌizuꞌinoga ebu foraꞌaḡa beuꞌe ruruno ziniꞌuma. Zaꞌa vaze mazao nagini haḡaine, Badiꞌaꞌa zae mazao ꞌouge haḡaiꞌuma.”
LUK.6.39	Iesuꞌa hari ꞌahoga idaniro, raenaꞌa, “Kuruḡa vazeḡaniꞌa kuruḡa vazeḡa ibitohaune, anianine hoꞌona ꞌuite ovoiꞌuma. 
LUK.6.40	Tahiꞌaꞌe ani ihore vazeḡa mene vitiniꞌuma. Rehano iniu faifaine ihonine, ani zuni ihore vazeḡa teigiꞌuma.
LUK.6.41	Ḡaꞌe nabugo ubumao beꞌa dinunuḡa ḡianeꞌohe. Rehano nougadu ḡae ubumao beꞌa gado ireḡa mene ḡianeꞌohe? 
LUK.6.42	Ḡaeꞌa ubumaḡo beꞌa gado ireḡa izema ḡianogano, negoḡo mazao ꞌahige raꞌohe. 'Negohe, ubumaḡo beꞌa dinunu eꞌe mae vaḡinihi!' Ḡa, zama guhi vazeḡa! Ibite geno ḡae mazao gado ireḡa eꞌe mae vaḡinoꞌi! Ebu ḡaꞌa faine ehamanadu negoḡo mazao ubuma dinunuḡa mae vaḡiniꞌuma.
LUK.6.43	Eꞌe teige, ire manoḡaꞌe maḡa sauꞌa mene iniꞌohe, u ire sauꞌaꞌe maḡa manoḡa mene iniꞌohe. 
LUK.6.44	Ireꞌe maḡa horonadu nagi ireḡa edereꞌohe. Figi maḡaꞌe ire renoga zamaḡano mene iniꞌohe zu vaini maḡaꞌe ḡunu renoga zamaḡano mene iniꞌohe. 
LUK.6.45	Eꞌe teige, vaze manoḡaꞌe zamaḡano manoḡa zamaradu manoḡa fureneꞌohe, ebu sauꞌa vazeḡaꞌe sauꞌa zamaradu sauꞌa fureneꞌohe. Mazaḡa nagini zamaḡano iriꞌave radiuꞌetaꞌaꞌe hebeꞌaꞌonoꞌo buauꞌohe.
LUK.6.46	Zaꞌe eḡe mazao, 'Zuhia Boro, Zuhia Boro,' rae huheꞌohe, rehano nougadu eꞌa ḡoereꞌeteꞌe haḡaiḡaꞌe mene haḡaeꞌohe? 
LUK.6.47	Eḡe vaḡe onaadu ḡoerehe egadu haḡaeꞌeteꞌe vazeḡaꞌe iniu heuḡa rae eḡeꞌa ihoziꞌuma. 
LUK.6.48	Aniꞌe raha huꞌi vohutuna ovoadu vatava riḡa rana neḡa ohoneꞌeteꞌe vazeḡa heuḡa. Zobozoboꞌa feuradu ne eꞌe haganine, ne aꞌe edau gigaraꞌuma, mazaḡa haba riḡano ogoraro. 
LUK.6.49	Rehano eḡe ḡoere egadu haḡaiḡa mene haḡaeꞌeteꞌe vazeḡaꞌe, haba zoreḡano neḡa ogoruꞌeteꞌe heuḡa. Zobozoboꞌa feuradu ne eꞌe haganine, zogone higanadu fahau ḡuzuhiꞌuma.
LUK.7.1	Iesu ani vazevaze veize eꞌe ḡoeꞌa niduꞌa rae hauḡiroteꞌe enogano, ani ane tahiꞌatahiꞌa teite Kaperanauma neḡa onamiro. 
LUK.7.2	Eꞌea Roma uti azaḡa ḡihiꞌa ꞌahoganiꞌa radiunu. Aneꞌa borofe vetuḡaniꞌeteꞌe tuḡureḡa vazeḡaꞌe ugine sausaunadu nariga rudaro. 
LUK.7.3	Uti azaḡa ḡihiꞌaꞌe Iesu hariḡa igirotene, Iesuꞌa onaadu ane tuḡure vazeḡa faine ḡabonoga uratiro. Eꞌanoꞌo ani Iuda vaze boroboroꞌa Iesu uminoga veize tuḡuziro.
LUK.7.4+LUK.7.5	Ebu zeꞌe Iesu mazao feuri aradu, zamaze niduꞌa hina uminiro, raenaꞌa, “Uti azaḡa ḡihiꞌa ani manoḡa tauḡi! Mazaḡa ani eme vetuḡafeꞌohe ebu eme veize nuꞌonuꞌo neḡa ogoraro. Ḡa ani dananine manoḡa!” 
LUK.7.6	Eꞌanoꞌo Iesuꞌe zeḡe teite uti azaḡa ḡihiꞌa ne onamiro.
LUK.7.6	Ze ani ne uhigano feurirotene, uti azaḡa ḡihiꞌaꞌa ane vaze nu Iesu vaḡe tuḡuziro. Ebu zeꞌa Iesu mazao aradu niro, raenaꞌa, “Uti azaḡa ḡihiꞌaꞌe ꞌahige raha. 'Zuhia Boro, ḡa e neo diuḡoga rae ago zamaroꞌi, mazaḡa eꞌe mene vaze manoḡa. 
LUK.7.7	Eꞌanoꞌo ḡa vaḡe mene ameha. Ḡoere daꞌo roꞌi! ꞌOugine eḡe tuḡure vazeḡaniꞌa manoriꞌuma. 
LUK.7.8	Mazaḡa eꞌe vaze ꞌahoga ꞌuꞌuḡano gaueꞌohe, zu uti azaḡa eḡe ꞌuꞌuḡano gaueꞌohe. Eḡeꞌa vaze ꞌahi ninaꞌa, 'Onamoꞌi!' reine, aniꞌe onameꞌohe, ebu ꞌahoga omo ninaꞌa, 'Aroꞌi!' reine, aniꞌe areꞌohe. Eḡeꞌa tuḡure vazeḡa ꞌahoga ninaꞌa, 'ꞌAdi haḡaoꞌi!' reine, aniꞌe haḡaeꞌohe.”
LUK.7.9	Iesuꞌa eꞌe ḡoeꞌa igirotene, ani zaguzagaro. Ebu ani vaetadu ane hegotiroteꞌe azaḡa ziro, raena, “Eḡeꞌa ziꞌohe. Badiꞌa mazao ꞌahige fie gigaruꞌeteꞌe vazeḡaꞌe Isaraela azaḡa zamaḡano ize mene horoneha!” 
LUK.7.10	Ebu ze bare uti azaḡa ḡihiꞌa ne onamirotene tuḡure vazeḡaꞌe manoroga haniniro.
LUK.7.11	Eꞌe enogano, Iesuꞌa ne ꞌahoga niḡa Naina onamiro. Ane tahiꞌatahiꞌa zu vaze ḡehaḡaniꞌa ani ḡatiniro. 
LUK.7.12	Ebu ze onamadu ne ḡutuꞌaḡano feurirotene, ne azaḡaꞌe rune vazeḡa herate buni ariro. Aꞌe ḡozoba ꞌahoḡa ubuḡa. Ani tibuhuga eꞌe daꞌo fureniro. Ne azaḡa ḡehaḡa zuni ḡozoba eꞌe teite ariro. 
LUK.7.13	Iesuꞌa ḡozoba eꞌe horonirotene, ani vetuḡaniro, ebu ninaꞌa, “Ago nianoi!” 
LUK.7.14	Iesuꞌa ꞌouge rae neadu mauḡa heratiroteꞌe azaḡa vaḡe onamadu mauḡa obonirotene ze tue edaro. Ebu ani raenaꞌa, “Ene iziga, eḡeꞌa ḡaꞌohe. Iḡunoꞌi!” 
LUK.7.15	ꞌOuge rae nirotene, rune vazeḡaniꞌa iḡune ehoradu ḡoeꞌa ḡadaheniro! Ebu Iesuꞌa bare viꞌa ꞌevoreo modiro.
LUK.7.16	Zeḡe niduꞌa rihau rudaro zu Badia matuo haro, raenaꞌa, “Peroveta boroꞌa eme boꞌaḡano fureraneha! Badiꞌaꞌa ane vaze, emeḡe danafeha!” 
LUK.7.17	Ebu Iesuꞌa nagini haḡairoteꞌe hariḡaniꞌa Iuda habaꞌa ebu uhiḡa habaꞌa niduꞌano bororaro.
LUK.7.18	Ioane Babatisoꞌe ḡuꞌa neḡano radiuteꞌe zamaḡano tahiꞌaḡaniꞌa ane vaḡe onamadu Iesuꞌa haḡairoteꞌe hariḡa niduꞌa meꞌodo haro. Ebu Ioaneꞌa ane tahiꞌa ꞌaheu huze onaadu ziro. 
LUK.7.19	“Zuhiꞌa Boro Iesu vaḡe onamadu ꞌahige ḡadinoꞌi, 'Onaiꞌuma raꞌeteꞌe vazeḡa Kerisoꞌe ḡahe ga eme vaze ꞌahoga guhiniꞌuma?'”
LUK.7.20	Ebu zeꞌe Iesu mazao feurirotene, ani niro, raenaꞌa, “Ioane Babatisoꞌa ḡadinoga veize eme tuḡufeha. Ani raenaꞌa, 'Onaiꞌuma raꞌeteꞌe vazeḡa Kerisoꞌe ḡahe ga eme vaze ꞌahoga guhiniꞌuma?'”
LUK.7.21	Eꞌe madaḡano Iesuꞌa ugi nunu meiroteꞌe vazeḡa ḡehaḡa faiziro, vine sauꞌa sauꞌa hegoze buziro ebu ubuma kuru azaḡa ḡehaḡa bare ehamanoga radu faiziro. 
LUK.7.22	Eꞌanoꞌo Iesu ani vaze ꞌaheu eꞌe naenaeziro, raeaꞌa, “Bare onamadu zaꞌe nagini horonateꞌe zu egateꞌe moneo Ioane ihonoꞌi! Ubuma kuru azaḡaꞌe ehamuꞌohe, oda sauꞌa azaḡaꞌe edauꞌohe, lefera azaḡaꞌe manore deheruꞌohe, teḡaze uhuḡa azaḡaꞌe igiꞌohe zu rune azaḡaꞌe bare ḡabozeꞌohe. Ebu zahara azaḡa hari manoḡa haramo ziniꞌohe. 
LUK.7.23	Eḡe mazao fi mene modeꞌeteꞌe vazeḡaꞌe manohuga hidiꞌuma!”
LUK.7.24	Ioaneꞌa tuḡuziroteꞌe azaḡaniꞌa iḡunirotene, Iesuꞌa Ioane moneo vaze ḡuḡuvaḡa ziro, raenaꞌa, “Za vaze nagiḡa horonoga veize haba bohaꞌa onamiro? Zavaraꞌa imi veḡa hudi naeninaeniꞌeteꞌe horonoga radu onamirohe? Mene! 
LUK.7.25	ꞌOugadu za vaze nagiḡa horonoga veize onamiro? Naeḡa boro dabuaḡa vidauꞌeteꞌe vazeḡahe? Mene! Dabua manomano vidauꞌeteꞌe zu ḡau manomanoḡeta radiuꞌeteꞌe vazeḡaꞌe kini neo radiuꞌohe. 
LUK.7.26	ꞌOugadu vaze nagiḡa horonoga veize onamiro? Peroveta vazeḡahe? Oꞌe! Eḡeꞌa ziꞌohe. Peroveta azaḡa niduꞌa vitizeꞌeteꞌe vazeḡaꞌe Ioane. 
LUK.7.27	Ioane moneo Buka Zaḡoḡano ꞌahige mirihiro, raenaꞌa
LUK.7.27	'Ḡianoꞌi! Badiꞌaꞌa ḡae zamao vaze ꞌahoga ibite tuḡuniꞌuma.
LUK.7.27	Aniꞌe ḡae zamao ḡae ibi ruhibiꞌuma.'
LUK.7.28	Ioaneꞌa Keriso ibi ruhibiroteꞌe uꞌano, aniꞌe rahao ꞌada radiuꞌeteꞌe vazeḡa boꞌaḡano vaze niduꞌa vitineꞌohe. Rehano, Badiꞌaꞌa ibitoziniꞌeteꞌe zamaḡano ḡonaga vazeḡa zu Ioane vitineꞌohe.”
LUK.7.29	Ebu Iesu ḡoere igiroteꞌe azaḡa niduꞌa zu takesi azaḡa raenaꞌa, “Hube, Badiꞌa haḡaeꞌeteꞌe ibiꞌaꞌe duduḡa!”, mazaḡa zeꞌe Ioaneꞌa bapatizozadu ḡihuriro. 
LUK.7.30	U Farisea azaḡa zu Mose goro ḡoeꞌa ihozeꞌeteꞌe azaḡaꞌe Ioane bapatizo hezaho hanadu mene ḡihuriro. ꞌOugadu zeḡe veize Badiꞌaꞌa urateꞌeteꞌe haḡaiḡa zu hezaho haro.
LUK.7.31	Iesuꞌa bare raenaꞌa, “Izidi azaḡaꞌe naginio idaziꞌuma? Ze iniu heuḡa? 
LUK.7.32	Zeꞌe tahiꞌa komeꞌa komeꞌaniꞌa ne hunio ehoradu araheꞌeteꞌe heuḡa. Ze rovonadu none tahiꞌaḡaniꞌa mone tahiꞌaḡa mazao harae huhuꞌuhiꞌenaꞌa,
LUK.7.32	'Eme muio zavonoga radu suraꞌi hodeha, rehano za mene zavoneha.
LUK.7.32	Ebu eme rune habaꞌano niau ḡoinaheha, rehano za mene nianeha.'
LUK.7.33	Ioane bapatizoꞌa onaadu ogomu mene audo zu vaini vuḡa mene gagido. ꞌOugadu za rae modiro, raenaꞌa, 'Ioaneꞌe vine sauꞌaḡeta.' 
LUK.7.34	U eḡe, Vaze Ubugaꞌe onaadu ogomu auꞌohe ebu vaini vuḡa gageꞌohe. Rehano za e rae modeꞌohe, raenaꞌa, 'Aniꞌe ogomu fuꞌa zu vaini vuḡa fuꞌa. Ebu ani takesi azaḡa zu haḡai sauꞌa azaḡa teite tiburuꞌohe.' 
LUK.7.35	Rehano Badiꞌa hegoteꞌeteꞌe azaḡa huhuzaḡaꞌe eḡe zu Ioaneꞌe duduḡa rae reꞌuma.”
LUK.7.36	Mada ꞌahogano Farisea vazeḡa ꞌahoga niḡa Simonaꞌa Iesu ane teite oganoga veize huniro. Ebu Iesu ani Farisea vazeḡa ne onamadu ogaꞌuma habaꞌano taviro. 
LUK.7.37	Eꞌe habaꞌanoꞌe haḡai sauꞌa haḡainuteꞌe roḡaeḡa ꞌahoganiꞌa radiunu. Aniꞌe Iesuꞌa Farisea vazeḡa neo ogaueteꞌe ederirotene, dehoro hohoga manoḡa naeḡa boro bio komeꞌa manohuga irivaꞌonadu mae onamiro. 
