GEN.1.1	Uluk fohon, Maromak naseꞌi laleꞌan no raiklaran.
JHN.6.69	Ami fiar baa Ita Boot. Ami hatene tiꞌan haꞌak, Ita Boot neꞌe Naꞌi Maromak Eman Moon.”
JHN.6.70	Hotu, Yesus katak baa sia naꞌak, “Haꞌu kboi kola tiꞌan emi naꞌin sanulu resin rua. Mais hanoin! Ida nosi emi nuꞌu diabu!” 
JHN.6.71	Ema mak Yesus dale nia, kona baa Yudas, mak Simon Iskariot oan. Yudas nia, ema ida nosi Yesus Niakaan maktuir naꞌin sanulu resin rua. Yudas, mak atu faꞌan Yesus.
JHN.7.1	Nunia hotu, Yesus sia laꞌo nasirin rai Galilea. Nia la noꞌuk baa rai Yudea, tan Yahudi ulun sia iha nebaa buka dalan atu noꞌo Nia. 
JHN.7.2	Baa oras nia, ema Yahudi siakaan loron boot kreꞌis tiꞌan. Loron boot nia, sia temi naꞌak, “Dahur Batane”.
JHN.7.3	Tan loron boot kreꞌis ona, Yesus alin sia naruka Nia naꞌak, “Diꞌak liu, Mau baa Yudea, nebee ema mak tuir Mau iha nebaa moos bele naree lia mak Mau nalo. 
JHN.7.4	Kalo ema ida nakara nebee ema waꞌin naree niakaan hahalok makaꞌas, nia keta nalo nakfunin. Mau naseꞌi tiꞌan tadak blaar oi-oik. Diꞌak liu, ema waꞌin bele naree!” 
JHN.7.5	Yesus alin sia dale nunia, tan sia duꞌuk la duun fiar baa Nia.
JHN.7.6	Mais Yesus nataa naꞌak, “Nuneꞌe, ali sia. Oras neꞌe, Haꞌukaan oras sei la toꞌo dauk. Mais kalo emi atu baa, wainhira moos bele. 
JHN.7.7	Ema raiklaran sia la hirus emi. Mais sia hirus Haꞌu, tan kalore mohu siakaan hahalok aat. 
JHN.7.8	Oras neꞌe, loron boot nia sia kreꞌis mai ona. Diꞌak liu, emi baa uluk Yerusalem lai. Haꞌu ksei la baa, tan niakaan oras sei la toꞌo dauk.” 
JHN.7.9	Yesus dale notu nunia baa alin sia, Nia moos nein heik iha rai Galilea.
JHN.7.10	Yesus alin sia baa tuir ema Yahudi siakaan loron boot iha Yerusalem tiꞌan, Yesus moos baa tuir nadahur. Mais Nia laꞌo nakfunin, nebee ema keta natene. 
JHN.7.11	Oras loron boot nia toꞌo, Yahudi ulun sia buka Nia iha Yerusalem. Sia nusu ema iha nia naꞌak, “Ema nia iha nabee?”
JHN.7.12	Ema waꞌin namaas baa malu tan Nia. Balu naꞌak, “Nia neꞌe, ema diꞌak.”
JHN.7.12	Balu tenik naꞌak, “Lale! Nia neꞌe, tolek teen mak nakara bosok ema waꞌin.” 
JHN.7.13	Mais la noo ema ida mak naksakar aan dale malorek nosi Yesus, tan sia nataꞌuk ulun nia sia.
JHN.7.14	Loron boot nia toꞌo klaran, Yesus tama baa Uma Hamulak Huun laran. Hotu Nia nahuu nanorin iha nia. 
JHN.7.15	Yahudi ulun sia moos blaar karin toꞌo dale naꞌak, “Ema neꞌe sakola la toꞌo. Oin nunabee Nia bele nanorin furak Hakerek Moon isin nuneꞌe?”
JHN.7.16	Yesus katak baa sia naꞌak, “Hanono mai. Lia mak Haꞌu kanorin, lahoos nosi Haꞌu duꞌuk, mais nosi Naꞌi Maromak, tan Nia mak solok Haꞌu. 
JHN.7.17	Ema mak beer tuir Niakaan hakara, ema nia bele natene malorek naꞌak, Haꞌukaan hanorin neꞌe mai nosi Naꞌi Maromak. 
JHN.7.18	Kalo ema dale foti naran duꞌuk, keta fiar nia, tan nia buka tonun dei. Mais kalo ema dale foti ema mak solok nia naran, nia dale moon. 
JHN.7.19	Emi la hatene Ukun-badu Bei Musa ka? Kalo emi hatene, tan saa emi la halo tuir? Tan saa emi buka dalan atu hoꞌo Haꞌu?”
JHN.7.20	Rona Yesus dale nunia, ema waꞌin nusu Nia naꞌak, “O dale saa mak neꞌe? O bulak tiꞌan ka? See mak atu noꞌo O?”
JHN.7.21	Yesus nataa naꞌak, “Nuneꞌe. Haꞌu kfoin kaseꞌi tadak blaar kodi kadiꞌak kola ema ida baa loron hamulak dei, emi nawan saꞌe tiꞌan haꞌak, haꞌu kserwisu baa loron hamulak. 
JHN.7.22	Mais emi moos serwisu baa loron hamulak. Uras emi halo lahan hamane aan. Masik loron nia kona baa loron hamulak moos, emi halo luku dei, tan Bei Musa foo ukun-badu naꞌak, musti halo lahan hamane aan baa oras oan mane otas loron walu. (Tuir loos, Naꞌi Maromak natuun uluk ukun-badu nia baa Bei Abraham, foin Bei Musa.)
JHN.7.23	Emi halo lahan kona baa loron hamulak nia, emi haꞌak, la hakur ukun-badu. Tan saa emi nawan saꞌe Haꞌu oras kadiꞌak kola ema ain asak baa loron hamulak?
JHN.7.24	Keta tetu ema nosi isin luan dei. Hanoin halo naruk, nebee tetu diꞌa-diꞌak lai, foin hakotu.”
JHN.7.25	Nunia hotu, ema kota Yerusalem benar nodi nusu baa malu naꞌak, “Ema neꞌe, ema mak ema buka atu noꞌo ka? 
JHN.7.26	Oin nunabee bele nunia? Tan Nia dale malorek iha ema waꞌin oin. Ema moos la nakahik Nia. Arumak itakaan ulun sia naneo naꞌak, Ema neꞌe mak Kristus! 
JHN.7.27	Lia nia la kona, tan kalo Naꞌi Maromak solok Kristus mai, ita la hatene Nia nosi nabee. Mais Ema neꞌe, ita hatene.”
JHN.7.28	Baa oras nia, Yesus sei nanorin iha Uma Hamulak Huun lalawar. Rona nola ema nia sia dale nunia, Nia nusu sakar baa sia nodi lian makaꞌas naꞌak, “Emi haneo haꞌak, emi hatene Haꞌu neꞌe See, no Haꞌu kmai kosi nabee ka? Haꞌu kmai iha neꞌe, lahoos tuir Haꞌukaan hakara duꞌuk, mais tuir Naꞌi Maromak hakaran, tan Nia mak solok Haꞌu. Mais emi la hatene Nia! 
JHN.7.29	Haꞌu mak katene, tan Haꞌu kmai kosi Nia no Nia mak solok Haꞌu.”
JHN.7.30	Tan Yesus dale nunia, ema buka atu kohi Nia nohuun. Mais la noo ema ida moos mak kohi Nia, tan Niakaan oras sei la toꞌo dauk. 
JHN.7.31	Nosi ema lear iha nia, waꞌin fiar baa Nia. Sia dale naꞌak, “Ema neꞌe naseꞌi tadak blaar waꞌin tiꞌan. Nia nanis mak Kristus.”
JHN.7.32	Iha ema lear nia klaran, noo ema naꞌin hira nosi partee Farisi. Sia rona nola ema waꞌin namaas baa malu lia nosi Yesus. Hotu, sia no naꞌilulik ulun sia naruka ema makdaka Uma Hamulak Huun naꞌin hira, baa kohi Yesus.
JHN.7.33	Natoon baa nia, Yesus katak baa ema lear nia naꞌak, “Haꞌu kamutuk ko emi, la oras dei. La kleur ona, Haꞌu fila kikar baa Haꞌukaan maksolok. 
JHN.7.34	Hotu, emi buka Haꞌu, mais la hetan, tan Haꞌu atu kbaa fatin ida mak emi la bele tuir.”
JHN.7.35	Rona nola nunia, Yahudi ulun sia nakusuk baa malu naꞌak, “Takseer, ema neꞌe atu laꞌo baa fatin nabee toꞌo ita la bele hetan? Arumak Nia baa nakfunin iha itakaan ema Yahudi mak laꞌo rai leet ka? Nia atu baa nanorin ema mak dale lia Yunani iha nebaa ka? 
JHN.7.36	Nia nakara saa, toꞌo dale naꞌak, ‘Emi buka Haꞌu, mais la hetan.’ Nia moos dale naꞌak, ‘Haꞌu atu kbaa fatin ida, mak emi la bele tuir.’ Neꞌe naꞌak saa?”
JHN.7.37	Dahur Batane nia loron rohan, loron mak boot kaliuk. Baa loron nia, Yesus nariik nodi nahii naꞌak, “Hanono diꞌa-diꞌak. See mak nanroo, mai baa Haꞌu atu nemu!
JHN.7.38	See mak fiar, mai atu nemu! Tan Hakerek Moon naꞌak, ‘Wee mak foo moris atu nakduar sai nosi ema makfiar neon laran.’ ”
JHN.7.39	Hodi dale nunia, Yesus dale nosi Maromak Kmalar Lulik, tan nosi ikus, ema hotu-hotu mak fiar baa Yesus simu Kmalar Lulik nia. Mais baa oras Yesus dale nunia, sia sei la simu Kmalar Lulik, tan Naꞌi Maromak sei la foo dauk. Tebes. Naꞌi Maromak sei la foo, tan Nia sei la foti-nahaas Yesus dauk.
JHN.7.40	Ema lear iha nia rona nola Yesus dale nunia, balu dale naꞌak, “Ema neꞌe, nanis Maromak makoꞌan mak Nia nameno kedan tiꞌan hori uluk!”
JHN.7.41	Balu tenik naꞌak, “Lale! Nia neꞌe, Kristus!”
JHN.7.41	Mais balu tenik sakar naꞌak, “La bele! Kristus lahoos ema Galilea. 
JHN.7.42	Tan Hakerek Moon naꞌak, Kristus, Naꞌi Daud husar-binan. Hakerek Moon moos naꞌak, Kristus nosi Betlehem, Naꞌi Daud leon.”
JHN.7.43	Hodi nunia ema sia faꞌe karin malu tan lia Yesus. 
JHN.7.44	Ema naꞌin hira nakara kohi Nia. Mais la noo ida mak bele.
JHN.7.45	Nunia hotu, ema makdaka Uma Hamulak Huun mai nikar baa naꞌilulik ulun sia no ema Farisi sia. Ema boot nia sia nusu baa makdaka sia naꞌak, “Tan saa emi la kohi hodi Yesus mai?”
JHN.7.46	Sia nataa naꞌak, “Aikee, ama boot sia! La noo ema ida mak dale manesak no Nia!”
JHN.7.47	Hotu ema Farisi sia nusu naꞌak, “Emi moos kona beꞌur tiꞌan ka? 
JHN.7.48	Hanoin! Nosi ami, ema Farisi no ulun sia, la noo ida mak fiar baa Ema nia. Tebes. Ami ema boot hotu-hotu, la fiar. Tan saa emi fiar? 
JHN.7.49	Beik basuk! Ema kiꞌik dei mak fiar baa Nia, tan sia la natene Ukun-badu Bei Musa. Habusik sia kona kastikar baa!”
JHN.7.50	Sia dale nunia, mais iha nia moos, noo ema Farisi ida naran Nikodemus. Uluk, nia mai dale no Yesus baa kalan. Nia nusu baa ema boot nia sia naꞌak,
JHN.7.51	“Nunabee? Tuir itakaan Ukun-badu, ita bele taa ukun kedas baa ema ka, lale? La bele, tan ita musti rona uluk baa ema nia lai, atu hodi hatene nia nalo sala saa lai, foin ita bele taa ukun baa nia.”
JHN.7.52	Rona nola Nikodemus dale nunia, sia nakbehek nia naꞌak, “Keta arumak o moos ema Galilea ida! Hoi! Leno diꞌa-diꞌak Hakerek Moon lai! Nebee matene malorek, tan la noo Maromak makoꞌan ida kois mak mai nosi Galilea!”
JHN.7.53	[Nunia hotu, ema nia sia nakboꞌas atu fila.
JHN.8.1	Mais Yesus baa foho Saitun. 
JHN.8.2	Baa awan seisawan, Nia tama tenik baa Uma Hamulak Huun lalawar. Ema waꞌin mai baa Nia. Nia moos tuur nanorin sia.
JHN.8.3	Natoon baa nia, noo feto ida mak ema kohi nola noꞌi nakur biti-kluni. Manorik ukun no ema Farisi naꞌin hira dada nodi feto nia mai baa Yesus. Sia seten feto nia, nebee nariik iha sia hotu-hotu oin. 
JHN.8.4	Hotu sia katak baa Yesus naꞌak, “Ama. Feto neꞌe kona kohi oras noꞌi nakur biti-kluni. 
JHN.8.5	Tuir Ukun-badu Bei Musa, ‘Ema mak nakur biti-kluni musti kona ukun kastikar tuda hodi fatuk toꞌo mate.’ Dadi tuir Ama, nunabee?”
JHN.8.6	Ema nia sia nusu nunia, tan sia nakara nahonu Yesus.
JHN.8.6	Mais Yesus la nataa kedas. Nia natuꞌu, nodi liman fuan nakerek baa rai. 
JHN.8.7	Sia nusu Nia bei-beik, foin Nia nariik, nodi katak baa sia naꞌak, “Nuneꞌe. See nosi emi mak la nalo sala dauk bele taa ukun nodi tuda fatuk uluk baa feto neꞌe.” 
JHN.8.8	Dale notu nunia, Yesus natuꞌu nikar, nakerek tenik baa rai.
JHN.8.9	Rona nola Yesus dale nunia, ema nia sia noran moe. Ida-idak natene aan naꞌak, nia moos nalo sala. Tan baa nia, nahuu nosi matas toꞌo lawarik nakiduk ida-idak, toꞌo laꞌo nela Yesus mesan no feto nia. 
JHN.8.10	Hotu Yesus nariik nikar, nusu baa feto nia naꞌak, “Sia iha nabee tiꞌan? Sei noo ema mak atu taa ukun kastikar baa o ka?”
JHN.8.11	Feto nia nataa naꞌak, “La noo tiꞌan, Ama.”
JHN.8.11	Hotu Yesus katak baa nia naꞌak, “Haꞌu moos la koꞌuk taa ukun kastikar baa o. Fila ona. Mais manoin. Keta malo sala tenik ona!”]
JHN.8.12	Hotu Yesus dale nikar tenik no ema lear naꞌak, “Haꞌu neꞌe, kroman bodik ema raiklaran. Ema mak tuir Haꞌu la moris iha makukun ona, mais nein iha kroman mak natudu dalan baa moris.”
JHN.8.13	Rona Yesus dale nunia, ema Farisi naꞌin hira nakbehek Nia naꞌak, “Hoi! Ami la simu okaan dale nia, tan O dale lia mosi aan duꞌuk.”
JHN.8.14	Mais Yesus nataa naꞌak, “Nuneꞌe. Masik Haꞌu kdale lia kosi aan duꞌuk, Haꞌukaan dalen nia, loos, tan Haꞌu katene, Haꞌu kmai kosi nabee, no Haꞌu atu kbaa iha nabee. Emi la hatene lia nia. 
JHN.8.15	Emi sukat Haꞌu hodi sasukat raiklaran. Mais Haꞌu la ksukat ema nunia. 
JHN.8.16	Kalo Haꞌu ksukat ema, Haꞌu kodi sasukat loos. Tan Haꞌu la ksukat mesan, mais ko Haꞌukaan Ama mak solok Haꞌu. 
JHN.8.17	Emi duꞌuk hatene Ukun-badu Bei Musa naꞌak, ‘Musti noo ema rua mak katak lia manesak lai, foin bele simu siakaan dale.’ 
JHN.8.18	Nunia tebes. Haꞌu kdale nunabee, Haꞌukaan Ama moos natebes nunia, tan Nia mak solok Haꞌu.”
JHN.8.19	Hotu, sia nusu naꞌak, “Okaan Ama iha nabee?”
JHN.8.19	Yesus nataa naꞌak, “Emi la hatene Haꞌu neꞌe See. Emi moos la hatene Haꞌukaan Ama. Kalo emi tebe-tebes hatene Haꞌu, emi moos nanis hatene Nia.”
JHN.8.20	Lia neꞌe sia hotu-hotu, Yesus katak baa oras Nia nanorin iha Uma Hamulak Huun, kreꞌis baa fatik libur osan hamulak. La noo mak kohi Nia, tan niakaan oras sei la toꞌo dauk.
JHN.8.21	Hotu, Yesus dale natutan naꞌak, “Haꞌu atu klaꞌo kela emi, atu baa fatin ida seluk. Nunia tiꞌan, emi buka Haꞌu, mais la hetan, tan emi la bele baa fatin nia. Tebes. Emi la bele baa, tan nosi ikus, oras emi mate, emi sei hatiu hodi emikaan salan.”
JHN.8.22	Rona nola Yesus dale nunia, Yahudi ulun sia nusu baa malu naꞌak, “Nia dale saa mak neꞌe? Nia atu noꞌo aan duꞌuk ka? Tan saa Nia dale naꞌak, ‘Emi la bele baa fatin nia.’ ”
JHN.8.23	Mais Yesus katak baa sia naꞌak, “Emi hosi raiklaran mak iha raik. Mais Haꞌu neꞌe kosi laleꞌan mak iha leten. Emi hanoin loos lia raiklaran. Mais Haꞌu lale. 
JHN.8.24	Etuk, Haꞌu katak ohin nia kaꞌak, oras emi mate, emi sei hatiu hodi emikaan salan. Tebes. Tan kalo emi la fiar baa Haꞌu, oras emi mate, emi sei hatiu hodi emikaan salan.”
JHN.8.25	Hotu sia nusu naꞌak, “O neꞌe, see?”
JHN.8.25	Yesus nataa naꞌak, “Haꞌu neꞌe, Ema nia mak Haꞌu katak kedan baa emi hori uluk.
JHN.8.26	Noo lia waꞌin mak Haꞌu kbele duu baa emi. Mais Haꞌu la kdale kasai. Haꞌu kdale loos tuir Haꞌukaan Maksolok, tan Niakaan dalen, tebes no loos. Saa mak Haꞌu krona tiꞌan kosi Nia, lia nia mak Haꞌu kdale katoꞌo baa ema raiklaran neꞌe.” 
JHN.8.27	(Nodi dale lia Maksolok, Yesus dale nosi Aman iha laleꞌan. Mais sia la kohi.)
JHN.8.28	Hotu Yesus dale tenik naꞌak, “Nosi ikus, emi hasaꞌe Ema Raiklaran Isin tiꞌan, foin emi hatene haꞌak, Haꞌu neꞌe, mak Ema nia. Haꞌu la kalo saa ida tuir Haꞌukaan hakara. Haꞌu katoꞌo loos saa mak Ama iha laleꞌan nanorin baa Haꞌu. 
JHN.8.29	Tan Nia mak solok Haꞌu. Nia moos namutuk no Haꞌu nima-nimak. Nia la nabusik Haꞌu kedas, tan Haꞌu kalo tuir Niakaan hakara nohuun.”
JHN.8.30	Yesus katak lia neꞌe sia, ema waꞌin moos fiar baa Nia.
JHN.8.31	Nunia hotu, Yesus katak baa ema Yahudi sia mak fiar baa Nia naꞌak, “Kalo emi moris talin aan ho Haꞌukaan Manfatin nohuun, emi dadi baa Haꞌukaan maktuir mak loos. 
JHN.8.32	Hodi nunia, emi hatene hola hanorin loos. Hanorin loos nia moos sori nola emi nosi ata.”
JHN.8.33	Mais sia sakar naꞌak, “Hoi! Ami lahoos ema atan! Ami neꞌe, Bei Abraham husar-binan! Tan saa O dale maꞌak, ami atu hetan sori nosi ata?”
JHN.8.34	Yesus nataa naꞌak, “Rona, tan Haꞌukaan dalen neꞌe, tebes no loos: ema hotu-hotu nalo sala, toꞌo dadi ata baa sala nia. 
JHN.8.35	Mais ata la bele simu bein sasoin. Oa uma laran dei mak bele simu. 
JHN.8.36	Haꞌu neꞌe, Naꞌi Maromak Oan. Kalo Haꞌu ksori emi, emi sasin tiꞌan hosi sala. Hotu, la dadi ata baa sala ona.
JHN.8.37	Haꞌu katene tiꞌan kaꞌak, emi neꞌe Bei Abraham husar-binan. Masik nunia, emi sei buka dalan atu hoꞌo Haꞌu, tan la noo fatik bodik Haꞌukaan hanorin iha emikaan neon. 
JHN.8.38	Haꞌu katoꞌo tiꞌan lia saa mak Haꞌu ksimu kosi Haꞌukaan Ama. Mais emi la titu, tan emi halo tuir emikaan matas sia.”
JHN.8.39	Yesus dale notu nunia, ema nia sia sakar naꞌak, “Keta dale nunia, tan ami neꞌe, Bei Abraham husar-binan!”
JHN.8.39	Mais Yesus katak naꞌak, “Kalo emi Abraham husar-binan tebes, emi musti haninu baa nia. 
JHN.8.40	Haꞌu kanorin emi lia loos mak Haꞌu ksimu kosi Naꞌi Maromak, mais emi sei buka dalan hoꞌo Haꞌu. Abraham lisan, lahoos nunia. 
JHN.8.41	Emikaan hahalok tuir emikaan matas sia dei.”
JHN.8.41	Mais sia sei sakar naꞌak, “Hoi! Ami neꞌe, oa kabun laran! Lahoos oa kabun luan! Tan amikaan Aman, mesak ida dei. Nia mak Naꞌi Maromak!”
JHN.8.42	Yesus nataa sia naꞌak, “Kalo Naꞌi Maromak emikaan Aman tebes, emi nanis hadomi Haꞌu, tan Haꞌu kmai kosi Nia. Haꞌu kmai lahoos tan kakara duꞌuk, mais, tan Nia mak solok Haꞌu. 
JHN.8.43	Mais tan emi la hoꞌuk simu Haꞌukaan hanorin, nanis emi la kohi hola Haꞌukaan dalen nia.
JHN.8.44	Emi neꞌe, ilas ida ho diabu ulun. Neꞌe naꞌak, nia mak emikaan ama, tan emi haninu baa nia! Hori uluk aan, nia mahoꞌo ema no sakar hanorin loos, tan nia la nakara hanorin loos. Kalo nia dale, dale naktolek, tan lisan nunia nanis. Nia, mak ama bodik ema tolek teen hotu-hotu. 
JHN.8.45	Masik Haꞌu kanorin hanorin loos moos, emi la fiar. 
JHN.8.46	Maꞌak kokon! See nosi emi bele natudu lia kakaer naꞌak, Haꞌu kalo sala? La noo. Dadi, tan saa emi la hoꞌuk fiar baa Haꞌu kalo kanorin hanorin loos?
JHN.8.47	Nuneꞌe. Ema mak nanono baa Maromak Manfatin, nia mak Naꞌi Maromak oan. Mais, tan emi la hanono baa Haꞌu, neꞌe naꞌak, emi lahoos Niakaan oan.”
JHN.8.48	Rona nola Yesus dale nunia, Yahudi ulun sia dale nahaat Nia naꞌak, “Hoi bulak! O neꞌe, ema Samaria, lahoos ema Yahudi.”
JHN.8.49	Mais Yesus katak naꞌak, “Haꞌu lahoos bulak. Haꞌu kakneter Haꞌukaan Ama iha laleꞌan, mais emi la hakneter Haꞌu. 
JHN.8.50	Haꞌu la kbuka tonun, mais noo mak beer tonun Haꞌu. Habusik Nia mak tetu Haꞌukaan hanorin naꞌak, loos ka, lale.
JHN.8.51	Haꞌukaan dalen neꞌe, tebes no loos: ema mak nalo tuir Haꞌukaan hanorin, nia la mate, mais netan moris nima-nimak.”
JHN.8.52	Rona nola nunia, Yahudi ulun sia katak naꞌak, “Oras neꞌe, ami hatene nanis diabu tekar O, toꞌo O dale lia bulak. Bei Abraham mate. Maromak makoꞌan uluk sia moos mate. Tan saa O maꞌak, ‘ema mak nalo tuir okaan hanorin, la mate?’ Arumak O bula tiꞌan? 
JHN.8.53	O makaꞌas liu Bei Abraham ka? O makaꞌas liu Maromak makoꞌan sia ka? Sia hotu-hotu mate tiꞌan. Manoin kokon, O neꞌe, see?”
JHN.8.54	Mais Yesus nataa naꞌak, “Kalo Haꞌu ktonun aan, lia nia la no folin. Mais lahoos nunia, tan Haꞌukaan Ama mak nakara tonun Haꞌu. Nia, mak emi haꞌak, emikaan Ama Maromak. 
JHN.8.55	Mais emi la hatene Nia. Haꞌu mak katene. Kalo Haꞌu kdale kaꞌak, Haꞌu la katene Nia, Haꞌu kaktolek tiꞌan nuꞌu emi. Mais Haꞌu kalo tuir Niakaan Manfatin, tan katene tebes Nia. 
JHN.8.56	Emikaan Bei Abraham neon diꞌak, tan nia natene Haꞌu atu kmai. Oras neꞌe, Haꞌu kmai tiꞌan. Nanis nia neon diꞌak basuk.”
JHN.8.57	Hotu Yahudi ulun sia katak naꞌak, “Okaan otas sei la toꞌo tinan lima nulu dauk! Oin nunabee O bele maꞌak, O maree Bei Abraham tiꞌan?”
JHN.8.58	Yesus nataa naꞌak, “Rona, tan Haꞌukaan dalen neꞌe, tebes no loos: Bei Abraham la moris dauk, Haꞌu iha tiꞌan.”
JHN.8.59	Rona nola nunia, ema nia sia foti fatuk atu tuda Yesus, tan Nia foti aan manesak no Naꞌi Maromak. Mais Nia sai nakfunin, laꞌo nela Uma Hamulak Huun nia.
JHN.9.1	Nunia hotu, Yesus sia foin laꞌo baa, sia naree ema delek ida mak moris nodi. 
JHN.9.2	Naree ema nia, maktuir sia nusu baa Yesus naꞌak, “Ama Boot! See mak nalo sala toꞌo ema neꞌe matan delek nunia? Nia duꞌuk ka, niakaan inan-aman?”
JHN.9.3	Yesus nataa naꞌak, “Ema delek neꞌe la nalo sala, foin matan delek. Niakaan inan-aman moos la nalo sala. Nia moris nodi nunia, nebee ema hotu-hotu bele naree Naꞌi Maromak nalo lia kabaas baa nia. 
JHN.9.4	Baa oras rai sei nakroma, Haꞌu kmusti karui aan serwisu bodik Haꞌukaan Maksolok, tan la kleur tiꞌan, rai nakukun, hotu Haꞌu la kbele serwisu ona. 
JHN.9.5	Oras Haꞌu ksei iha raiklaran, Haꞌu hanesan kroman mak naksinak bodik ema hotu-hotu.”
JHN.9.6	Yesus dale notu nunia, Nia moos taniru kaban baa rai. Hotu Nia natuꞌu baa rai, kahur kaban no rai, nalo baa taꞌu. Hotu Nia kose taꞌu nia baa delek matan. 
JHN.9.7	Nia moos naruka delek nia naꞌak, “Baa fasi oin iha debu Siloam.” (Iha lia Ibrani, Siloam naꞌak, ‘solok mai’.) Rona nola Yesus dale nunia, delek nia moos baa. Oras mai nikar, matan moon tiꞌan!
JHN.9.8	Hotu, ema nia fila uma. Toꞌo baa, ema uma tehen sia naree nia. Sia blaar, tan sia natene nia delek mak moris nodi nadidu baa ema. Sia nusu baa malu naꞌak, “Delek mak loron-loron tuur nadidu nia, mak neꞌe ka?”
JHN.9.9	Ema balu naꞌak, “Tebes! Ema nia mak neꞌe tiꞌan!”
JHN.9.9	Mais ema balu seluk naꞌak, “Ema neꞌe lahoos delek nia. Arumak niakaan ilas nanesa malu no delek nia.”
JHN.9.9	Rona nola nunia, ema nia katak duꞌuk baa sia naꞌak, “Delek uluk nia, mak haꞌu neꞌe!”
JHN.9.10	Hotu sia nusu nia naꞌak, “Oin nunabee, toꞌo o matan moon tiꞌan neꞌe?”
JHN.9.11	Nia nataa naꞌak, “Nuneꞌe! Ema ida naran Yesus nalo taꞌu, hotu kose baa haꞌukaan matan. Hotu Nia naruka haꞌu naꞌak, ‘Baa fasi oin iha debu Siloam.’ Hotu haꞌu kalo tuir. Oras neꞌe, haꞌukaan matan moon tiꞌan!”
JHN.9.12	Hotu sia nusu baa nia naꞌak, “Ema nia iha nabee?”
JHN.9.12	Nia nataa naꞌak, “Matene!”
JHN.9.13+JHN.9.14	Loron mak Yesus nalo taꞌu nodi nadiꞌak nola ema delek nia matan, loron nia kona baa ema Yahudi siakaan loron hanawa serwisu. Tan baa nia, ema nodi ema mak ohin delek nia baa nataa ema partee Farisi sia. 
JHN.9.15	Toꞌo baa, ema Farisi nia sia nusu baa nia naꞌak, “O maꞌak lai! Tan saa o matan bele moon?”
JHN.9.15	Nia nataa naꞌak, “Nuneꞌe, Ama sia. Ema ida kose taꞌu baa haꞌukaan matan. Hotu haꞌu kfasi oin. Hotu haꞌukaan matan moon kedas.”
JHN.9.16	Ema Farisi balu naꞌak, “Ema mak nadiꞌak nola o nia, lahoos nosi Naꞌi Maromak. Ami hatene Nia tiꞌan, tan Nia nakur itakaan ukun-badu nosi loron hanawa serwisu.”
JHN.9.16	Ema balu tenik naꞌak, “Oin nunabee ema mak nalo sala bele naseꞌi tadak blaar nunia?” Hodi nunia, ema nia sia toe malu toꞌo faꞌe karin malu.
JHN.9.17	Sia moos nusu tenik baa ema mak ohin delek nia naꞌak, “Tuir o, Ema mak namoon okaan matan nia, Niakaan ilas nunabee?”
JHN.9.17	Nia nataa naꞌak, “Tuir haꞌu, Ema nia, Maromak makoꞌan ida.”
JHN.9.18	Yahudi ulun sia la fiar kalo uluk ema nia matan delek. Tan baa nia, sia naruka baa bolu inan-aman mai nataa sia. 
JHN.9.19	Inan-aman mai tiꞌan, ulun sia nusu naꞌak, “Ema neꞌe, emikaan oan ka? Nia moris mai, matan delek kedas ka? Oin nunabee, matan bele moon?”
JHN.9.20	Inan-aman nataa naꞌak, “Nia neꞌe, amikaan oan tebes. Nia moris mai, matan delek kedas. 
JHN.9.21	Mais ami la hatene, nia nalo oin nunabee toꞌo oras neꞌe matan moon tiꞌan. See mak namoon matan, ami moos la hatene. Nia, boot tiꞌan. Husu duꞌuk baa nia, tan nia bele dale duꞌuk!” 
JHN.9.22	Sia dale nunia, tan sia nataꞌuk Yahudi ulun sia. Sia natene ulun sia tau mutu lia fuan tiꞌan naꞌak, kalo noo ema mak dale nasai naꞌak, Yesus nia, Kristus, ulun sia atu lelen ema nia nosi uma hamulak. 
JHN.9.23	Tan lia nia, inan-aman nataa loos dei naꞌak, “Nia boot tiꞌan. Husu duꞌuk baa nia dei.”
JHN.9.24	Hotu, ulun sia bolu nikar ema mak ohin delek nia. Sia katak naꞌak, “Nuneꞌe! O musti dale moon iha Naꞌi Maromak oin, hodi daka Niakaan naran diꞌak. Ami hatene fukur, Yesus nia, ema aat.”
JHN.9.25	Mais ema nia nataa naꞌak, “Ama sia keta nawan saꞌe, tan haꞌu la katene kalo Ema nia, ema aat. Lia mak haꞌu katene nuneꞌe: uluk haꞌukaan matan delek, mais oras neꞌe haꞌukaan matan moon tiꞌan.”
JHN.9.26	Sia nusu tenik baa nia naꞌak, “Nia nalo saa baa o? Nia namoon okaan matan nunabee?”
JHN.9.27	Nia nataa naꞌak, “Hoi! Ohin nia haꞌu kdale tiꞌan, mais emi la hoꞌuk rona. Tan saa emi haruka haꞌu kdale kikar tenik? Arumak, ama sia moos nakara dadi baa Niakaan maktuir ka?”
JHN.9.28	Rona nola nunia, sia tolak nahaat ema nia naꞌak, “O dei mak dadi baa Niakaan maktuir ona! Ami neꞌe, Bei Musa niakaan maktuir. 
JHN.9.29	Ami hatene Naꞌi Maromak dale no Bei Musa. Mais ami la hatene Ema nia mai nosi kuak nabee.”
JHN.9.30	Ema mak uluk matan delek nia nataa naꞌak, “Haꞌu kblaar tebes! Emi la hatene Nia mai nosi nabee. Mais tuir loos, Nia mak namoon haꞌukaan matan. 
