MAT.1.1	Bokanda bon’eotwelo ena Yesu Masiya, bon’ona Dawidi, bon’ona Abalayama.
JHN.8.24	Ncina eneki’m’okosumolak’ino oka, Bongowa en’aoyi’owe’anino, nd’eho; lacin’oka yomb’ino bofimedy’oka emi njali nk’ende, bongowa en’aoyi’owe’anino. 
JHN.8.25	Iyo bamufola, Mbo e, oyali nai? Yesu amasumola, ate, Emi nk’ende onoki’m’okosumolaka ena limatsako.
JHN.8.26	Njali l’aoyi bike lacina nkosumol’ino ko nkodya lacin’enino. Ohonde onontomaki ayali solosolo, ko lasumola baise loko baoyi banaki’m’ookaka eneyal’ende. 
JHN.8.27	Iyo batafokol’oka aotenda l’iyo lacin’ena Bafango. 
JHN.8.28	Lacin’eho, Yesu amasumola, ate, Eneng’in’oiledya Bon’on’oto, bongey’oka emi njali nk’ende, ko mpakambe yoi limoko l’emamene: yok’onoki Bafango’onami ondakaka, latenda nko baoyi’ako. 
JHN.8.29	Ko ende onontomaki, ayali l’emi: Bafango atancika emi kei, lacina bina l’ina lakambeela nko baoyi’aho banimedy’ende bolotsi. 
JHN.8.30	Enem’end’otenda baoyi’ane, bato bike bamimedya.
JHN.8.31	Ko Yesu aosumola Ba-Yuda banomimedyaka, ate, Yomb’ino boyaela en’aoyi’anami, boyali bakili’anami solosolo; 
JHN.8.32	ko bongeya solosolo, ko solosolo eho engokotungol’ino. 
JHN.8.33	Bamokutwela, iy’ate, Iso toyali ban’ana Abalayama, ko bisike l’isike totayala baombo ban’oto tu: iya, enil’e oka, Bongotungwa? 
JHN.8.34	Yesu amautodya, ate, Solosolo, solosolo, lakosumol’ino, boto l’oto onil’owe ayali boombo’on’owe; 
JHN.8.35	koko boombo afayale en’otumba nko njalama: bona kongoyali en’otumba nko njalama. 
JHN.8.36	Lacin’eho, nko Bona akotungol’ino, bongotungwa nko ntungwa mene. 
JHN.8.37	Emi ley’oka boyali ban’ana Abalayama; ohonde boyafone lacina bonjake, nko lacina yoi linami lifan’etelo en’etem’enino. 
JHN.8.38	Emi latenda baoyi banaki’m’oenaka l’afango’onami; ino bokamba nko baoyi banak’in’ookaka eneyali bafango’onino. 
JHN.8.39	Baokutola, iy’ate, Bafango’oniso oka Abalayama. Yesu amasumola, ate, Yomb’ino boyali ban’ana Abalayama, tumbe boyakambe bikambwa bina Abalayama; 
JHN.8.40	ohonde isanga boyafone lacina bonjake, emi boto onokosumolak’ino baoyi bana solosolo, banaki’m’ookaka eneyali Yakomba. Abalayama atakamba yok’osamb’oko. 
JHN.8.41	Ino bokamba bikambwa bin’afango’onino. Iyo bamolokwela, Mbo iso tototwa ena likele: toyali l’afango’oniso nk’omoko, nko Yakomba. 
JHN.8.42	Yesu amasumola, ate, Yombo Yakomba ayali Bafango’onino, tumbe bonjok’emi nganji, lacin’oka emi mpolaki eneyali Yakomba, ko loyaka nk’eneyal’ende: ntaya l’eango enamamene, ende kongontomaki. 
JHN.8.43	Ncina enefanongany’ino etendelo enami eka nai? Nk’enefiny’ino lilofamela baoyi’anami. 
JHN.8.44	Ino boyali ban’ana bafango’onino oka Satana, ko bolanga lacina bile mposa ina bafango’onino. Ende ayaaki boyaki bon’ato nk’ena limatsako, ko atemala ena solosolo, lacina solosolo efayali eneyal’ende tutu. Enatend’ende mpoci, atenda nko baoyi’anandamene; lacin’oka ayali bofoci bona mpoci, ko ayali bafango’ona mpoci ihatu. 
JHN.8.45	Koko ino bofanjimedya, lacin’emi latenda nko baoyi bana solosolo. 
JHN.8.46	Boto’onino onombakol’emi likambo lin’owe ayali meya? Koko yombo latenda baoyi bana solosolo, bofanjimedya lacina nai? 
JHN.8.47	Ende onoyali ona Yakomba, aokeela baoyi bana Yakomba; ino bofoke baoyi’aho, lacin’oka ino bofayali bana Yakomba. 
JHN.8.48	Ba-Yuda bamokutwela, Mbo iso totila nde solosolo, enek’is’oilak’oka onde bise Samalia, ko oyali la demona? 
JHN.8.49	Yesu aamba, ate, Emi mpana demona: emi lafika Bafango’onami, koko ino bontembol’emi. 
JHN.8.50	Koko mpafone lokumo lonamamene: omoi ayali onoyafone, ko ayakodya baoyi. 
JHN.8.51	Solosolo, solosolo, lakosumol’ino, Yomb’oto amonya yoi linami, afayen’ewedi tu. 
JHN.8.52	Nkwaho Ba-Yuda bamosumola, Mbo isanga tey’oka oyali la demona. Abalayama awaki, ko basumoli bawaki; koko e oila, ate, Yomb’oto amonya yoi linami afayen’ewedi tu. 
JHN.8.53	Iya, oleki nde Abalayama bafango’oniso, onowaki? la basumoli, banawaki? Oyoil’eamene nai? 
JHN.8.54	Yesu aokutola, ate, Yomb’emi layokumy’emamene, lokumo lonami loyali nko bototoloto: Bafango’onami kongonkumy’emi, nk’ende onil’ino oka ayali Bafango’onino. 
JHN.8.55	Ino boteey’ende: emi kongoey’ende; ko yomb’emi lil’oka, Mpey’ende, tumbe nongoyala bofoci’ona mpoci, yok’ino. Ohonde lomeeya, ko lamonya yoi linande. 
JHN.8.56	Bafango’onino Abalayama anyangelaki la lolengedyo lacina aene bina bonami: aenaki boho, ko aonyangela. 
JHN.8.57	Ba-Yuda bamosumola, Mbo e otakwa mbula ntuku itano, ko amena Abalayama? 
JHN.8.58	Yesu amasumola, ate, Kuma Abalayama atotwa, emi njali. 
JHN.8.59	Nkwaho baambola baufe lacina baofusele; koko Yesu aoyofisa, ko aofola en’otumba bona Yakomba.
JHN.9.1	Eneki Yesu oetaka, aena boto onodyak’aiso nk’en’eotwelo enande. 
JHN.9.2	Koko bakili’anande bamufola, iy’ate, Labi, la boto’one l’iy’anootaki, onokambaki bowe oka nai, lacina aotwaki l’aiso nko mbodya? 
JHN.9.3	Yesu aokutola, ate, Ef’oto’one onilaki’owe, ko ef’iyo banootaki; ohonde lacina bikambwa bina Yakomba yenya eneyal’ende. 
JHN.9.4	Akoli eneyal’emi nkambe bikambwa binande onontomaki kuma bane boyali: boco boya, bonofakambama ekambwa. 
JHN.9.5	Kuma emi njali ena loko, nde nde Fololo ena loko. 
JHN.9.6	Eneki’nd’otendaka baoyi’aho, auta nsoi ena loko, aonyomola bekongo yoka lomoto, ko aohinya baiso ban’oto’oho la lomoto loho, 
JHN.9.7	ko amosumola, ate, Coaka, oyokule ena lose lona Siloa (ncina ena Siloa nko Ntomama). Ende aocoa, ko aoyokula, ko auta kum’ayene l’aiso. 
JHN.9.8	Iy’anoli l’ende, ko l’iy’aneenaki’oso kum’ayali bolombi, baila, Mbo one afayali nde ende onokisak’ase oyolomba toma? 
JHN.9.9	Bamoi baila, Ayali nk’ende; bakina, Mbo efana: nde aholana l’ende; koko endamene aila, ate, Nde nde nk’ende. 
JHN.9.10	Lacin’eho, bamufola, iy’ate, Baiso’ane baolifwa bokotu’oya? 
JHN.9.11	Aokutola, ate, Boto onatang’iyo Yesu aonyomola lomoto, ko aohinya baiso’anami, ko aonjila, ate, Coaka, oyokule ena lose lona Siloa; ko ncoaki, njokulaki, ko njenaki. 
JHN.9.12	Bamufola, iy’ate, Ende ayali meya? Ate, Mpeya.
JHN.9.13	Baoya l’ende onodyaki’aiso en’oso bona Bafalusi. 
JHN.9.14	Bin’oho bonoki Yesu onyomolaka lomoto ko alifolaki baiso’anande boyaaki nko Sabata. 
JHN.9.15	Ko Bafalusi baut’oyufola bokotua bonoki baiso’anande olifwaka. Ko amasumola, ate, Ende ailaki lomoto en’aiso’anami, njokulaki, ko njenaki. 
JHN.9.16	Nkwaho bamoi bana Bafalusi baila, iy’ate, Boto’one afayali boto’ona Yakomba, lacina afamonya bina bona Sabata. Koko bakina baila, iy’ate, Boto’on’owe ainya likambisa bikambwa bina mpefa yok’one bosamb’oya? Ko baokambwana beloi. 
JHN.9.17	Baut’otenda lakina l’oto onodyak’aiso, iy’ate, Eamene otanga and’oya, lacin’oka alifolaki baiso’ane? 
JHN.9.18	Aamba, ate, Ande bosumoli. Ba-Yuda batimedy’oka aodyaki’ale baiso ko amena lakina, yengoko kuma baelela bafango’onande la nyango enande, 
JHN.9.19	ko bamaufola, iy’ate, Boto’one ayali bon’onino, onil’ino oka aotwaki’ale l’aiso nko mbodya? Iya, isanga aena yok’osamb’oya? 
JHN.9.20	Bafango la nyango baokutola, iy’ate, Tey’oka one ayali nko bon’oniso, ko aotwaki l’aiso mbodya; 
JHN.9.21	ohonde bokotua bonen’ende isanga, tofeya; ko tofeya boto onolifolaki baiso’anande. Ende afayali bonome, boufole nk’endamene, angotenda lacin’enandamene. 
JHN.9.22	Bafango la nyango baotenda yok’osamb’oho, lacin’oka baanga Ba-Yuda; lacina eneki Ba-Yuda oangak’eango, iy’ate yombo boto’on’etaketaka aimedy’oka Yesu ayali Masiya, bangofodya boto’oho en’osolongano bona sunagoga. 
JHN.9.23	La ncina ene, bafango la nyango enande baila, iy’ate, Afayali bonome; bufol’ende. 
JHN.9.24	Lakina baut’oelela boto’oho onodyak’aiso boelela bon’efe, ko bamosumola, iy’ate, Kumya nko Yakomba; tomey’oka boto’one ande boto’on’owe. 
JHN.9.25	Koko ende aokutola, ate, Yomb’ayali boto’on’owe ei mpeya; emi leya nko yoi limoko: mbodyaki’aiso, koko lakina mena. 
JHN.9.26	Iy’ate, Akilelaki’oya? Akolifwelaki baiso bosamb’oya? 
JHN.9.27	Amakutwela, ate, Lokosumolak’ino, ko botalofa; bolanga boke lakina lacina nai? Ino nkoho bolanga nde boyalame bakili’anande? 
JHN.9.28	Koko iyo bamosaiya bike, iy’ate, E onde bokili bon’oto’oho: iso toyali bakili bana Mose; 
JHN.9.29	tey’oka Yakomba atendaki’ale la Mose, ohonde boto’one, tofeya bili bonoki’nd’oyaka. 
JHN.9.30	Amakutwela, ate, Bofeye fo! yoi lina mpefa oya, andifwelaki baiso, koko ino bofeya eneki’nd’oyaka! 
JHN.9.31	Tey’oka Yakomba afalofe baoyi ban’ato’owe; ohonde nk’oto akumya Yakomba, ko akambeela eango enande, Yakomba aoka boto’oho; 
JHN.9.32	nk’ena limatsako lina loko yoi litokan’oka boto alifolaki baiso ban’oto onotwaki la baiso mbodya. 
JHN.9.33	Yombo boto’one ataya eneyali Yakomba, tumbe atakambisa yoi limoko. 
JHN.9.34	Iyo bamokutwela, iy’ate, E ootwaki en’aoyi’owe nk’en’eotwelo ene, ko otolaka nd’iso? Ko bamofodya.
JHN.9.35	Yesu aokaki’oka bamolofodya; ko eneki’nd’osungyaka, amufola, ate, Oimedya nde Bon’ona Yakomba? 
JHN.9.36	Aamba, ate, Nkolo, ende nai? lacina njoimedya. 
JHN.9.37	Koko Yesu amosumola, ate, Omomeena, ko end’one onoyatende l’e. 
JHN.9.38	Ende ate, Nkolo, limedya; ko amoosamela. 
JHN.9.39	Koko Yesu ate, Njaki ena loko nko lacin’ena etendelo ena likambo: lacina iy’anafene baene, ko iy’anena baodya baiso. 
JHN.9.40	Bafalusi’aho banayaaki l’ende baoka baoyi’ane, ko bamufola, iy’ate, Iso nkoho tomolodya nd’aiso? 
JHN.9.41	Yesu amasumola, ate, Yomb’ino boodyaki’aiso, tumbe botaat’owe; ohonde isanga enil’ino oka, Tena, bowe’onino bociki nko l’ino.
JHN.10.1	Solosolo, solosolo, lakosumol’ino, onofatua en’ofolo bon’emonyedyo ena mpate, ohonde aanda en’ili’omoi, ande liya la bokumoli. 
JHN.10.2	Koko ende onotua en’ofolo, ande botombanyi bona mpate. 
JHN.10.3	Onotombanya bofolo amokombwela lokombo, ko mpate baoka efodya enande, ko aelela mpate inande nko l’aina, ko afodya iho. 
JHN.10.4	Enakady’ende lifodya mpate inande ihatu, endamene aeta en’oso’oniyo; ko mpate baokil’ende, lacina mpate baeya efodya enande. 
JHN.10.5	Koko bafakilaki bofenda: bangolota nko ndota; lacin’iyo bafe ya efodya ena befenda. 
JHN.10.6	Yesu amasumola ekolanya ene, koko iyo batafokola ncina en’aoyi banaki’nd’oasumolaka.
JHN.10.7	Lacin’eho, Yesu amasumola lakina, ate, Solosolo, solosolo, lakosumol’ino, Emi nde nde lokombo lona mpate. 
JHN.10.8	Iyatu banayaki en’oso’onami bayaaki baiya l’akumoli; koko mpate bataok’iyo. 
JHN.10.9	Emi nde nde lokombo; yomb’oto aotua l’emi, angika, ko angotua, ko angofola, ko angosungya toma tona ndaka. 
JHN.10.10	Liya aoya nko la ncina emoko kei: nko lacina aiya, ko ayake, ko aehya; emi moya lacina baate liiko, ko baate loho nko la mpula. 
JHN.10.11	Emi nde nde Botombanyi bona mpate bon’olotsi; Botombanyi bona mpate bon’olotsi aambya liiko lonande lacin’ena mpate. 
JHN.10.12	Bosali, onofayali Botombanyi mene, ko onofayali mene mpate, enen’ende nkoi eyayi, aumbela mpate, ko aolota; ko nkoi aunda mpate, ko aofanzol’iho. 
JHN.10.13	Bosali aolota lacin’oka ayali nk’osali kei, ko afakanele mpate. 
JHN.10.14	Emi nde nde Botombanyi bona mpate bon’olotsi; ko leya banamamene, ko banamamene banjey’emi, 
JHN.10.15	yoka bosamb’onanjeya Bafango’onami, ko emi leya Bafango; ko laambya liiko lonami lacin’ena mpate. 
JHN.10.16	Koko njali la mpate imoi inifayali ina botong’one; akoli eneyal’emi nje l’iyo nkoho, ko bangolofamela efodya enami; ko bangoyala botonga bomoko, la Botombanyi bomoko. 
JHN.10.17	La ncina ene Bafango’onami anjok’emi nganji, lacin’emi laambya liiko lonami lacina njambole loho lakina. 
JHN.10.18	Efan’oto ononkumol’emi loho: emamene kongoambya loho. Njali la lifoka lacina njambya loho, ko njali la lifoka lacina njambole loho lakina. Lotomo loneloki Bafango’onami ontomaka nde lone.
JHN.10.19	Ba-Yuda bait’okambwana beloi lacin’ena baoyi’ane. 
JHN.10.20	Bike’oniyo bila, Mbo ayali la demona, ko aolowa; bolof’ende lacina nai? 
JHN.10.21	Bakina, Mbo efana, bin’itendelo’ine bifayali bitendelo bin’oto onoyali la demona. Iya, demona ainya nde lilifola baiso ban’oto’onodyaki’aiso?
JHN.10.22	Ko elambedya ena Eekedyo eoyela ena Yelusalema, nk’en’esike ena lifia. 
JHN.10.23	Ko Yesu aoselasela en’otumba bona Yakomba, ena mbalasai enetangama ena Solomona. 
JHN.10.24	Nkwaho Ba-Yuda bamolingamedya, ko bamosumola, iy’ate, Otokakanza bolingolingo’oya? Yomb’oyali Masiya, otosumole fololo. 
JHN.10.25	Yesu amakutwela, ate, Mokosumol’ino, koko bofimedya; bikambwa binakamb’emi ena lina lina Bafango’onami, temoin enami nde biho. 
JHN.10.26	Koko ino bofimedya, lacin’ino bofayali mpate inami. 
JHN.10.27	Mpate inami baoka efodya enami; lomaey’iyo, ko bankil’emi; 
JHN.10.28	ko lomafa liiko lonelofakale, ko bafehaki tu; ko efan’oto ononkumol’iyo ena likasa linami. 
JHN.10.29	Bafango’onami onompak’iyo aleki bahatu, ko efan’oto oninya yakudya ena likasa lin’afango’onami. 
JHN.10.30	Emi la Bafango toyali nk’omoko. 
JHN.10.31	Lakina Ba-Yuda baambola baufe lacina baofusele. 
JHN.10.32	Koko Yesu amakutwela, ate, Mokotum’ino bike bon’ikambwa bin’olotsi eneyali Bafango’onami: la bikambwa biho, ino bompusel’emi baufe lacin’en’ekambwa eka nai? 
JHN.10.33	Ba-Yuda baokutola, iy’ate, Tofakofusele baufe lacin’en’ekambwa en’olotsi: tokofusela lacin’ena besao benasaiy’e Yakomba, ko lacin’e, onoyali nko boto kei, oyoil’eamene Yakomba. 
JHN.10.34	Yesu amakutwela, ate, Yoi line lifatengama nde en’ekand’enino: Njilake’oka ino boyali yakomba imoi? 
JHN.10.35	Yombo atang’iyo yakomba banaki yoi lina Yakomba ofamaka (ko Bitengelo bina Yakomba bifasondolama), 
JHN.10.36	ino bila lacin’enande onoki Bafango oekyaka en’oeka, ko onoki’nd’otomaka ena loko, in’ate, Osaiya Yakomba, lacin’eneki’m’oilaka, emite, Emi nde nde Bon’ona Yakomba? 
JHN.10.37	Yombo mpakambe bikambwa bina Bafango’onami, botanjimedyake; 
JHN.10.38	ohonde, yombo njakambe biho, kanga bofanjimedy’emi, bimedya nko bikambwa, lacina beye ko bofokol’oka Bafango ayali eneyal’emi, ko emi nk’eneyal’ende. 
JHN.10.39	Baomeka lakina oyuunda, koko auma en’akas’aniyo.
JHN.10.40	Ko autwa lakina en’ili bona Yoladane, en’edye eneki Yoane oinak’ato en’oso, ko aoyala nkwaho. 
JHN.10.41	Ko bato bike baoya eneyal’ende, iy’ate, Solosolo, Yoane mene atakamb’ekambwa yoka ndembi; ohonde baoyi bahatu banaki Yoane otendaka lacin’ena boto’one bayaaki nko solosolo. 
JHN.10.42	Koko bato bike bamimedya nko meho.
JHN.11.1	Boto’omoi ayaaki la nkangi, Lazalo ona Betania, bonyanga bona Malia l’otoolo’onande Malata. 
JHN.11.2	Lazalo ayaaki mbangela ena Malia oho onohinyaki Nkolo l’auta bana mpimbo en’olotsi, ko onolifolaki bakak’anande la lifo linande. 
JHN.11.3	Bayato’ah’afe, botoolo l’akune, baotomela Yesu yoi, iy’ate, Nkolo, lenda, ende onok’e nganji aowa nkangi. 
JHN.11.4	Koko eneki Yesu ookaka, aila, ate, Nkangi ene efayali nkangi en’ewedi: eyali lacin’ena lokumo lona Yakomba, lacin’eho Bon’ona Yakomba akumyame l’eho. 
JHN.11.5	Yesu aokaki Malata l’akune’onande ko la Lazalo nganji. 
JHN.11.6	Lacin’eho, eneki’nd’ookak’oka ayali la nkangi; aocikala bekolo bekin’efe en’edye eneki’nd’oyalaka. 
JHN.11.7	Ena mbus’eho aosumola bakili, ate, Tutwake ena Yudea lakina. 
JHN.11.8	Bakili bamosumola, iy’ate, Labi, Ba-Yuda bafonaki nko kekeke’ane lacina bakofusele baufe, ko ocoa meho lakina? 
JHN.11.9	Yesu aokutola, ate, Bin’omoko bofayali nde la heures jo l’ife? Nk’oto aselasela l’ane afapusumwa, lacin’ende aena fololo ena loko lone. 
JHN.11.10	Koko yomb’oto aselasela l’oco, apusumwa, lacina enefana fololo eneyal’ende. 
JHN.11.11	Aotenda baoyi’aho, ko ena mbusa amasumola, ate, Efili eniso eka Lazalo aeci en’ilo; koko emi locoa oyeetoia en’ilo. 
JHN.11.12	Koko bakili’anande baila, Mbo Nkolo, yombo aeci, tumbe angika. 
JHN.11.13	Yesu atendaki lacin’ena bewedi benande; koko iyo baokanel’oka atendaki lacin’ena mpomya en’ilo. 
JHN.11.14	Nkwaho Yesu amasumola fololo, ate, Lazalo amowa; 
JHN.11.15	koko lakik’ekiko enetayal’emi meho, lacin’eho ino bimedya. Mbo tocu eneyal’ende. 
JHN.11.16	Toma, onotangama Yasa, aosumola bakili’amoi, ate, Tocoake nkoho, lacina towu iso l’ende.
JHN.11.17	Eneki Yesu oyelaka meho aosungy’oka amoyala ena nketa bekol’enei. 
JHN.11.18	Betania eyaaki mbolimboli la Yelusalema, nko kilometres isaso en’atenyi. 
JHN.11.19	Ko bike bona Ba-Yuda baoya eneyali Malata la Malia lacina bayoledy’iyo lacin’ena mbangela eniyo. 
JHN.11.20	Koko eneki Malata ookak’oka Yesu amoya, aocoa oyukana l’ende, koko Malia aocikala en’otumba. 
JHN.11.21	Malata aosumola Yesu, ate, Nkolo, yombo oyaaki mendo, tumbe mbangela enami atawa. 
JHN.11.22	Koko le isanga emi ley’oka yoi lin’etaketaka linayufol’e Yakomba, Yakomba, angokofa. 
JHN.11.23	Yesu amosumola, ate, Mbangela ene angetwa lakina en’ewedi. 
JHN.11.24	Malata amosumola, ate, Ley’oka angetwa lakina en’eetwelo en’ina bona nsimbo. 
JHN.11.25	Yesu amosumola, ate, Emi nde nde Eetwelo ko la Liiko; ende ononjimedy’emi, kang’aowa, angika; 
JHN.11.26	ko boto l’oto onoyaike, ko anjimedy’emi, afawaki tu. Oimedya nde yoi line? 
JHN.11.27	Ate, O, Nkolo; mimedy’oka E onde Masiya, Bon’ona Yakomba, nk’ende onoya ena loko. 
JHN.11.28	Ko eneki’nd’otendaka baoyi’ane, aocoa oyelela bakune’onande ena lokuko, ate, Bolaki ayali, ko akelela. 
JHN.11.29	Eneki’nd’ookaka yoi line, aemala isasanga, ko aocoa eneyal’ende. 
JHN.11.30	En’esik’eho Yesu atafole en’onyanga: ayaaki nk’en’edye eneki Malata oukanaka l’ende. 
JHN.11.31	Ba-Yuda banayaaki en’otumba la Malia, ko banolombwelaki lokeseli, enek’iy’oenaka Malia aemala nkwaho ko aofola, bamokila, lacin’iyo bakanelaki’oka amocoa olela ena nketa. 
JHN.11.32	Koko eneki Malia oyelaka en’edye eneki Yesu oyalaka, ko ameena, aokwa en’akak’anande, ko amosumola, ate, Nkolo, yombo oyaaki mendo, tumbe mbangela enami atawa. 
JHN.11.33	Eneki Yesu oenak’ende ayalele, ko Ba-Yuda banayaki l’ende bayalele, aotatana en’otem’onande, ko botem’onande bokeswa la lokeseli, ko aila, ate, 
JHN.11.34	Bomolokunja meya? Iy’ate, Nkolo, yak’oyene. 
JHN.11.35	Yesu aolela mposoli. 
JHN.11.36	Nkwaho Ba-Yuda baila, Mbo lenda, bokotua bona nganji eneki’nd’ookak’ende! 
JHN.11.37	Ko bamoi’aniyo baila, iy’ate, Boto’one onolifolaki baiso ban’iyo banodyaki’aiso, atakolana nde lisimbya bewedi ben’oto’one, lacina afawu? 
JHN.11.38	Lacin’eho, Yesu aotatana lakina en’otema, aoya ena nketa. Eho eyaaki bokole ena lufe liney’okolo, ko lufe limoi yekama en’ofolo. 
JHN.11.39	Yesu aila, ate, Bumola lufe. Malata, mbangela enande onowaki, amosumola, ate, Nkolo, amosila licoa nsole, lacina amowa bekol’enei. 
JHN.11.40	Yesu amosumola, ate, Ntakosumola nde, nk’iimedya, ongena bofilo bona Yakomba? 
JHN.11.41	Koko baoumola lufe. Ko Yesu aenol’aiso’anande ena liko, aila, ate, Bafango, lakokumya lokumo lacin’oka onjokaki; 
JHN.11.42	ko emi njeyaki’oka ondofamela bisike bihitu; ohonde lotendaka yok’osamb’one lacin’ena bato bik’ike banemali mane, lacin’eho iyo baimedy’oka e kongontomaki. 
JHN.11.43	Ko eneki’nd’otendaka baoyi’ane, aololua la lofoso lona lokolo, ate, Lazalo, folaka! 
JHN.11.44	Ko ende onowaki aofola, bakaka l’akasa nko ndingamela l’isenda bina nkunja, ko elongi nko ndingamela l’itambala. Yesu amasumola, ate, Bokakole, acu.
JHN.11.45	Nkwaho bike bona Ba-Yuda banayaki eneyali Malia, ko baenaki ekambwa eneki Yesu okambaka, baimedy’ende. 
JHN.11.46	Ohonde bamoi baocoa eneyali Bafalusi, ko bamasumola baoyi banaki Yesu okambaka.
JHN.11.47	Nkwaho nkanga ina toome la Bafalusi baosolonganya likita, ko baila, iy’ate, Tongil’oya? lacina boto’one aila ndembi bike. 
JHN.11.48	Nko tomocika yok’osamb’one, tumbe bato bahatu bangiimedya. Ko baise Loma bangoya, ko bangotokumola le bonyang’oniso le bato’aniso. 
JHN.11.49	Koko omoi’oniyo, Kayafa, onoyaaki. nkanga iyome ena mbula eho, amasumola. ate, Ino bofanonganya yoi limoko, 
JHN.11.50	ko botakanel’oka ekoli lacina boto’omoko awu lacin’ena bato’aniso, bato’aniso bahatu batoyowa. 
JHN.11.51	Aotenda yok’osamb’oho, efa lacin’enandamene: nko lacin’oka ayaaki nkanga iyome ena mbula eho, ko alakamaki en’olimo lacina ail’oka Yesu angowela bato’aniyo, 
JHN.11.52	ko efa lacin’en’ato’aho kei, ohonde lacina asolonganya ena botong’omoko bana bana Yakomba banafalangasanyi. 
JHN.11.53	Bina l’ina ena mbus’eho baang’eango lacina baoyake. 
JHN.11.54	Lacin’eho, Yesu atut’oselalsela ena ntoto ena Ba-Yuda ena fololo; auma meho, ko aocoa ena benyanga benoli la sengelenge, en’ecimo enetangama Efulaima, ko aoyalama meho, ende l’akili’anande. 
JHN.11.55	Koko elambedya ena Ba-Yuda, nk’ena Etelo, eolama; ko bike bon’ato baocika benyanga, ko baocoa ena Yelusalema en’oso bon’elambedya, lacina bayokul’iyoamene. 
JHN.11.56	Baofona Yesu; ko enem’iy’oemala en’otumba bona Yakomba baotendana, Mbo ino bokanel’oya? Angoya nde en’elambedya? 
JHN.11.57	Ko nkanga ina toome la Bafalusi baosekodya yoi, lacina boto on’etaketaka oney’oka Yesu ayali en’edye ntutuma atende, lacina baunde.
JHN.12.1	Koko bekol’otoa en’oso bon’elambedya ena Etelo, Yesu aoyela ena Betania, bola bona Lazalo onoki Yesu oetolaka en’ewedi. 
JHN.12.2	Ko bamofumbela elambedya meho; ko Malata amakambya la toma, koko Lazalo ayaaki omoi’oniyo banakisaki’ase ena mesa ena toma l’ende. 
JHN.12.3	Koko Malia aotamba bauta bana mpimbo en’olotsi, yoka kilo emoko, bauta ban’otuya mene, ko aohinya bakaka bana Yesu l’aho, ko aolifol’akak’anande la lifo linande; ko botumba bolola la nsole en’olotsi en’aut’aho. 
JHN.12.4	Koko Yudasa, bise Keliota, bon’ona Simona, omoi ona bakili’anande, nk’ende onongangel’ende, aila, ate, 
JHN.12.5	Baut’ane batatekyama la deniers bekam’esaso lacina nai? ko francs iho yokafama eneyali bato biinda? 
JHN.12.6	Aotenda yok’osamb’oho, efa lacin’oka aokaki bato biinda isei: aotend’oho lacin’oka ayaaki liya, ko lacina amonyaki ntombe, ko atolaki francs inik’iy’osongaka meho. 
JHN.12.7	Nkwaho Yesu ate, Bocike; amomonya baho lacin’ena bina bon’ekunjelo enami; 
JHN.12.8	lacina bato biinda bayali l’ino bisike bihitu; koko bofambat’emi bisike bihitu.
JHN.12.9	Bik’ike bona Ba-Yuda baey’oka Yesu ayali meho; ko baoya, efa lacin’ena Yesu kei, ohonde lacin’eho baene Lazalo, onoki’nd’oetolaka en’ewedi. 
JHN.12.10	Ko nkanga ina toome baang’eango lacin’eho bayake Lazalo nkoho; 
JHN.12.11	lacin’oka bike bona Ba-Yuda bamacik’iyo, ko baimedya Yesu, nko lacin’enande.
JHN.12.12	En’ina bona loi, bik’ike bon’ato, enek’iy’ookak’oka Yesu amoya ena Yelusalema, 
JHN.12.13	baotamba baanga ban’atoko, ko baocoa oyukana l’ende kuma bayalolua, iy’ate, Hosana! Ende onoyayi ena lina lina Yawe, Lifoka lina Roi lina Yisalaele, aosakelama bosako! 
JHN.12.14	Koko Yesu aosungya bon’ona mpunda, ko aotalamel’eho, yok’onoki yoi otengamaka, 
JHN.12.15	Taangake, e bon’on’oyoto ona Siona, lenda, lifoka line aoya, nko ntalama ena bon’ona mpunda. 
JHN.12.16	Koko bakili’anande batanonganya baoyi’ane en’oso; ohonde eneki Yesu oyelaka en’okonde’onande, iyo baofwaki’oka baoyi’ane batengamaki’ale lacin’enande, ko bato bailaki baoyi’a ne eneyal’ende. 
JHN.12.17	Bato’aho bik’ike banayaaki l’ende eneki’nd’oelelaka Lazalo ena nketa, ko eneki’nd’eetolaka en’ewedi, baenyanya baoyi’aho; 
JHN.12.18	ko la ncina ene, bato bik’ike baocoa oyukana l’ende, nk’enek’iy’ookak’oka akambaki ekambwa eho. 
JHN.12.19	Nkwaho Bafalusi baotendana, iy’ate, Benaka, bofalonge tu; mbo lenda, loko lohalotu lomocoa okilana l’ende.
JHN.12.20	Bato’amoi bana Elene bayaaki l’iyo banacoaki en’elambedya okumya Yakomba. 
JHN.12.21	Iyo baoya eneyali Filipo, bise Betesaida, ecimo emoi ena Ngalilaya, ko bamufola, iy’ate, Nkolo, tolanga tene Yesu. 
JHN.12.22	Filipo aoya, aosumola Andelo, ko Andelo la Filipo baoya osumola Yesu. 
JHN.12.23	Yesu amakutwela, ate, Esike emoyela lacina Bon’on’oto akumyame. 
JHN.12.24	Solosolo, solosolo, lakosumol’ino, Yombo lino lin’asongu lifakwa ena loko, ko lifawu, liciki nko lihoamene kei; koko yombo liho yowa yot’emamo bike. 
