MAT.1.1	Ọnwan wụ ẹkụkwọ banyeni Jizọsị wụ Kraịstị hụn wụ nwa Defidi, nwa Ebraham.
ACT.4.8	Ya kẹ Pita hụn Mmọn-nsọ jun imẹ ẹ nọ za wẹ, sị, “Ndị-ndu lẹ ndị-isi, 
ACT.4.9	omẹni ihiẹn rị mma wẹ mẹni onyẹ ngụrọ kẹ wẹ rị a jụnị ẹnyi ụtaa tannị, a jụ kẹ nanị k'o dọn dịnhịn, 
ACT.4.10	ụnụ lẹ ndị Izrẹlụ ile, marịn nị nwan nị ẹfan Jesu Kristi onyẹ Nazarẹtị, onyẹ ụnụ kpọgbu elu-obe, onyẹ Osolobuẹ gha ọnwụn weli, mẹ ẹ ẹhụ gi rị okẹnnyẹni wuzo ihun ụnụ ikẹn. 
ACT.4.11	Jesuni wụ
ACT.4.11	‘Ọmụma hụ’ ụnụ ‘ndị rị a tụn ụlọ jụ’,
ACT.4.11	hụn ‘wụrụ nwan ọmụma gi ụlọ.’
ACT.4.12	Onwọnni onyẹ ọzọ nzụọpụha gha ẹka a a bịa, makẹni onwọnni ẹfan ọzọ rị okpuru elu-igwee hụn Osolobuẹ ye ịhịan n'o gi nwọn nzụọpụha karị ẹfan Jesu.”
ACT.4.13	A hụn wẹ kẹ Pita lẹ Jọnụ dọn rị e ku, e kushi ẹ ikẹn, bụ a marịngụọ wẹ nị ejẹnni wẹ ụlọ-ẹkụkwọ, ejẹnni wẹ ọzụnzụn, ọ tụ wẹ ẹnya; ya wẹ nọ ghọta nị wẹ lẹ Jesu a wịọlẹ haịn. 
ACT.4.14	Kanị ebe o mẹ ni okẹnnyẹ hụ dịnhịnnị turuyeni wẹ ebẹhụ, asanị wẹ ẹka sị wẹ ihiẹn ọwụlẹ.
ACT.4.15	Ya wẹ nọ sị Pita lẹ Jọnụ yeni wẹ efe ẹkẹrẹ, wẹ ile nọ tụgbama iroro, sị, 
ACT.4.16	“Kị ẹnyi k'e gi ndịnị mẹ? O wegụọ ịhịan ile bi Jerusalẹm ẹnya n'a rụngụọ wẹ ọrụn atụmẹnya pụ-ichẹn — ẹnyi as'ẹka sị o mẹni. 
ACT.4.17	Kanị, amamgbe okuni a kpọkarị ẹnịna, nị ẹnyi dọ wẹ ẹka-ntịn, sị wẹ ezizilẹ ozini wẹ rị e gi ẹfannị e zi.”
ACT.4.18	Ya wẹ nọ kpọbanhanzị wẹ, gba wẹ mkpịnsịn ẹka ẹnya ọhụnma-ọhụnma wẹ egizilẹ ẹfan Jesu ku oku mọbụ kuzi ihiẹn ọwụlẹ! 
ACT.4.19	Kanị Pita lẹ Jọnụ nọ shịarị wẹ, sị, “Ku ni nwan o mẹni ọ hụghọ mma ẹnya Osolobuẹ nị ẹnyi gọn ụnụ ntịn karị Osolobuẹ; 
ACT.4.20	kanị, ẹnyi nwẹn ekubehikọ ihiẹn ẹnyi hụn lẹ ihiẹn ẹnyi nụ.” 
ACT.4.21	Ogẹn wẹ gi rọngụzị Pita lẹ Jọnụ egun, wẹ nọ hapụ wẹ, ebe o mẹni ahụnnị wẹ ihiẹn wẹ e kwọndọn ẹka ye wẹ afụnfụn, makẹni ịhịan ile rị a ja Osolobuẹ mma yeni ihiẹn mẹni, 
ACT.4.22	makẹni okẹnnyẹ hụ wẹ gi ọrụn-atụmẹnyanị zụọ karị nwa ahụa ọgụnnaị.
ACT.4.23	Ogẹn wẹ gi hatugụ wẹ, wẹ nọ laburu ndị itu-Kraịstị ibe wẹ. Wẹ nọ gwa wẹ ihiẹn ile ndị-isi nchụn-ẹjan lẹ ndị-isi gwa wẹ. 
ACT.4.24	Ogẹn wẹ gi nụ ihiẹnni, wẹ ile nọ gi obi ohu kpọku Osolobuẹ, sị, “Di nwọnni ẹnyi, onyẹ hụn ihiẹn ile rị okpuru ẹ, Onyẹ hụn ke elu-igwere lẹ ụwa lẹ ohimin lẹ ihiẹn ile rị imẹ wẹ, 
ACT.4.25	ịyụ gi Mmọn-nsọ ku oku ghahanị ọnụ nẹdi ẹnyi kanị wụ Defidi, hụn wụ odibo
ACT.4.25	‘Kị ndị alị ọzọ rị e buni olulu?
ACT.4.25	Kị ndị alị ichẹn-ichẹn rị e zuni umẹ la iwi?
ACT.4.26	Ndị-nze ụwa e kọnrinsọnmẹ agha;
ACT.4.26	ndị rị a kịnị e zu d'e bunụmanị
ACT.4.26	Di-nwọnni-ẹnyi lẹ Onyẹ hụn o tumẹ
ACT.4.27	Ezioku-ezioku, Hẹrọdụ lẹ Pọntius Paịleti lẹ ndị alị ndị ọzọ lẹ ndị Izrẹlụ e zughọ imẹ obodoni, bunụmanị odibo-nsọ ị wụ Jizọsị hụn ị tumẹ. 
ACT.4.28	Ya kẹ ihiẹn i kwademẹtọ nọ gha ẹka wẹ bụn. 
ACT.4.29	Di-nwọnni-ẹnyi, lee nwan egun wẹ rị e rọn ndị idibo i; dodo ye idibo i obi kushi oku i ikẹn, 
ACT.4.30	y'a tịnpụ ẹka zụọ ndị emu rị a kụ, rụn ihiẹn-nghọsị lẹ ọrụn-atụmẹnya ghahanị ẹfan odibo-nsọ ị wụ Jesu.”
ACT.4.31	E mẹgụ wẹ ekpereni, ebẹhụ wẹ nọ zu nọ mẹhunmẹ, Mmọn-nsọ nọ jun wẹ ile, wẹ hụ e kushi oku Osolobuẹ ikẹn.
ACT.4.32	Ndị ile kwerini hụ e gi obi ohu e bi, e ro ihiẹn ohu; onwọnni onyẹ kpọ ihiẹn o nwọn nke ẹ, kama, wẹ weri ẹ nị wẹ ile gba nwọn ihiẹn ile. 
ACT.4.33	Ndị-ozi hụ pụ-ichẹn hụ a rụn okẹn ihiẹn wẹ gi a ghọsịchanrịn nị Di-nwọnni-ẹnyi wụ Jesu a ghagụọ ọnwụn lihi nke-esi; Osolobuẹ hụ e yeni wẹ ẹka ọhụnma-ọhụnma. 
ACT.4.34	Onwọnni onyẹ ihiẹn a kọ imẹ wẹ. Makẹni, ndị nwọn alị mọbụ ụlọ hụ e re wẹ, e wẹhẹ egho, 
ACT.4.35	e bu a tọnị ndị-ozi ahụn pụ-ichẹn. Ndị-ozi ahụn pụ-ichẹn hụ e ye onyẹ-onyẹ kẹ mkpa a han.
ACT.4.36	Josẹfụ hụn ndị-ozi ahụn pụ-ichẹn tu “Banabasị” (hụn wụ, “Onyẹ nkasị-obi”) e mẹghọ ẹrịra. Josẹfụ wụ onyẹ ebọn Livaị alị Izrẹlụ, kanị alị Saịprọsụ kẹ wẹ nọ mụ a. 
ACT.4.37	O repụ alị a, wẹhẹni ndị-ozi ahụn pụ-ichẹn egho o re ẹ.
ACT.5.1	Okẹnnyẹ ohu ẹfan a wụ Ananayasị e rezighọ alị, ya lẹ Safaira nwunyẹ ẹ. 
ACT.5.2	Ọ nọ bu mgbube egho o re ẹ tọ, wẹhẹni Ndị-ozi ahụn pụ-ichẹn hụn họdụnị; ya lẹ nwunyẹ ẹ kwerigbama mẹ ẹ. 
ACT.5.3	Kanị Pita nọ sị, “Ananayasị, kị Ekwensụ nun'i tụ Mmọn-nsọ ntụ, mẹ i bu mgbube egho i re alị hụ tọ? 
ACT.5.4	N'ị d'e re ẹ, ẹlẹ yụ nwọn ẹ? K'i regụ a, ẹlẹ yụ nwọn egho ẹ? K'i roni eje-ihiẹn nọ ẹnịna? Ẹlẹkwọ ịhịan k'ị tụ ntụnị, kanị Osolobuẹ!” 
ACT.5.5	Ananayasị a nụ hụ ihiẹnni, ọ nọ dan alị, nwụnhụn. Okẹn egun tụ ndị ile nụn'a. 
ACT.5.6	Ananayasị a nwụnhụn, ikorọbịa nọ pụha, kwama ozun ẹ, buru ẹ pụ d'e li.
ACT.5.7	Ihiẹn nọ kẹ mgbahunmẹ ọkụrọkụ ẹtọ a ghafegụ, nwunyẹ ẹ nọ banhan, o ke marịn ihiẹn mẹni. 
ACT.5.8	Pita nọ jụ a, sị, “Ọnụ eghoni kẹ yụ lẹ di i re alị hụ?” Ọ nọ sị, “Ẹghẹẹ, ya rọ.” 
ACT.5.9	Ya Pita nọ sị a, “Kị haịn ụnụ gi kweri nị ụnụ d'a chọ ihiẹn rị Mmọn-nsọ Di-nwọnni-ẹnyi ọnụ? Lee ẹ, ikorọbịa li di i lala: ụkụ wẹ e rugụọdẹ ọnụmụzọ; wẹ jẹnkọ d'e bupụzị yụ nwẹn!” 
ACT.5.10	Ọ nọ dan alị ụkụ Pita ozigbo, nwụnhụn. Ikorọbịa ahụn a banhan, hụn a n'ọ nwụnhụngụọ, ya wẹ nọ buru ẹ pụ d'e li ẹ nọkunmẹ di ẹ. 
ACT.5.11	Ya kẹ okẹn egun nọ tụma ndị ụka Kraịstị ile lẹ ndị ile nụ ihiẹn ndịnị.
ACT.5.12	Ogẹn hụ, Ndị-ozi ahụn pụ-ichẹn hụ a rụn ọrụn-atụmẹnya lẹ ihiẹn-nghọsị ichẹn-ichẹn imẹ igunrun ndị alị. Ndị ile kwerini hụ e zu Ẹtu-ụlọ Solomọnụ
ACT.5.13	Onwọnni onyẹ kwerilẹni egun nị tụ ẹhụ d'a bannị wẹ, ọsụọn'a nị ịhịan ile rị e ku oku wẹ ọhụnma. 
ACT.5.14	Ndị bu ọda hụ e kwerini Di-nwọnni-ẹnyi nke-esi, a bannị wẹ, kẹ ikẹnnyẹ kẹ ikpoho. 
ACT.5.15	Wẹ e bupụha ndị emu rị a kụ ọkpụzọ, e bu wẹ a tọ elu ute lẹ ihiẹn ndị ọzọ ịhịan gi e dinẹ, kẹni onyinyọn Pita kunrun ndị o k'e kunrun ọ ghafekọnị. 
ACT.5.16	Igunrun ịhịan hụ a gha alị ndị nọhunmẹ Jerusalẹm a bịa, e wẹhẹ ndị emu rị a kụ lẹ ndị eje-mmọn rị e ye nsọngbu. Wẹ ile hụ a dịnhịn.
ACT.5.17	Ya kẹ onyẹ-isi nchụn-ẹjan nọ sị ọ gbakọ nkịtịn, ya lẹ ndị ile rị e sọnn'ẹ, ndị itu Sadusi ibe ẹ; wẹ nọ gi ẹnya-ụfụ sọn wẹ: 
ACT.5.18	wẹ nọ nwụnrụn ndị-ozi ahụn pụ-ichẹn tụye imẹ ngan ịhịan ile.
ACT.5.19	Kanị, uhinhin hụ, mmọn-ozi Di-nwọnni-ẹnyi nọ kpọpụ ụzọ ụlọ-ngan, dupụha wẹ, sị wẹ, 
ACT.5.20	“Jẹn ni Ụlọ-nsọ, ụnụ e wuzo ebẹhụ gwachanrịn ịhịan ile oku ndụn ọhụnnị.” 
ACT.5.21	A nụ wẹ ihiẹnni, eki e fọnhụ, wẹ nọ banye Ụlọ-nsọ d'a kuzimẹ.
ACT.5.21	Ogẹnni, onyẹ-isi nchụn-ẹjan nkẹ lẹ ndị ya lẹ wẹ wị a bịagụọ, kpọ Ọgwa Sahẹdrini, Ndị-isi Nkịkwama alị Izrẹlụ. Ya wẹ nọ zi ịhịan ụlọ-ngan d'e wẹhẹ Ndị-ozi hụ pụ-ichẹn. 
ACT.5.22	Kanị, ogẹn ndị e lepụ Ụlọ-nsọ ẹnya wẹ zijẹn gi ru ebẹhụ, ahụnnị wẹ ndị-ozi hụ pụ-ichẹn imẹ ụlọ-ngan, wẹ nọ kinhẹn d'a gwa ndị-isi, sị, 
ACT.5.23	“Kẹ ẹnyi ru ẹ, wẹ kpọkin ụlọ-ngan ọhụnma-ọhụnma; ndị nche turuhụ ọnụmụzọ, kanị ogẹn ẹnyi gi kpọpụ ụzọ, onwọnni onyẹ rị imẹ ẹ.” 
ACT.5.24	Onyẹ-isi ndị e lepụ Ụlọ-nsọ ẹnya lẹ Ndị-isi nchụn-ẹjan a nụ ihiẹnni, ọ gba wẹ ngharị-ẹnya, wẹ hụ a jụ enwẹn wẹ ihiẹn rị e mẹni. 
ACT.5.25	Ya onyẹ ohu nọ bịa d'a gwa wẹ, sị, “Lee n'ẹ, ndị ụnụ buche imẹ ụlọ-ngan turu imẹ Ụlọ-nsọ a kuzi wẹ!” 
ACT.5.26	Ya kẹ onyẹ-isi nlepụ-ẹnya Ụlọ-nsọ lẹ ndị ọ kị nọ jẹnmẹ d'e wẹhẹ wẹ, kanị egun ndị rị ebẹhụ anịnị wẹ gi ikẹn mẹ ẹ, amamgbe w'e gi ọmụma magbu wẹ.
ACT.5.27	E wẹhẹ wẹ wẹ ọgwa, wẹ nọ bu wẹ tumẹ ihun Ndị-isi Nkịkwama ahụn zuni. Ya Onyẹ-isi nchụn-ẹjan nọ jụma wẹ ụtaa, 
ACT.5.28	sị, “Ẹnyi a gbagụọnị ụnụ mkpịnsịn-ẹka ẹnya, sị ụnụ egizilẹ ẹfan onyẹni a kuzi? Lee n'ẹ nwan, ụnụ a kuzigbarịgụọ Jerusalẹm ile ihiẹnni, a chọ nị ụnụ bu ẹdeke okẹnnyẹni che ẹnyi isi.”
ACT.5.29	Pita lẹ Ndị-ozi ahụn pụ-ichẹn ibe ẹ nọ za wẹ, sị, “Chuku kẹ ẹnyi jẹnkọ d'e humẹni isi, ẹlẹ ịhịan. 
ACT.5.30	Chuku ndị nẹdi ẹnyi kanị weli Jesu hụn ụnụ gbu ghahanị ihogbu ẹ elu osisi. 
ACT.5.31	Osolobuẹ e weshigụọ a nwan elu, bu ẹ che ẹka-nni ẹ, ebẹhụ ọghọ rị, mẹmẹ ẹ Onyẹ-ndu lẹ Onyẹ-nzụọpụha, kẹni ndị Izrẹlụ gha ẹka a rogharị nwọnhẹn mgbagharị njọ wẹ. 
ACT.5.32	Ẹnyi rị nwan a shịa ẹri ihiẹn ndịnị, ẹnyi lẹ Mmọn-nsọ hụn Osolobuẹ ye ndị e humẹn'ẹ isi.”
ACT.5.33	Kẹ wẹ nụ ihiẹnni, ize ze wẹ ọda-ọda, wẹ nọ chọ nị wẹ gbu wẹ. 
ACT.5.34	Kanị onyẹ ohu imẹ wẹ ẹfan a wụ Gamaliẹlụ, hụn rị Itu-Farisi, nọ lihi ọtọ; onyẹ-nkuzi Iwu Mozizi k'ọ wụ; ịhịan ile a gbaye ẹ. Ọ nọ sị wẹ wepụgụ ndị-ozi ahụn pụ-ichẹn ezi ẹkẹrẹ.
ACT.5.35	Ya ọ nọ sị Ndị-isi Nkịkwama ibe ẹ, “Ikẹnnyẹ Izrẹlụ, lebankwọ nị ihiẹn ụnụ chọ nị ụnụ mẹ ikẹnnyẹ ndịnị ẹnya ọhụnma. 
ACT.5.36	Ogẹn mbụ, onyẹ ohu w'a kpọ Tiodasị pụha, kpọ enwẹn ẹ ịhịan, ihiẹn nọ kẹ madụ nnụ nọ sọnmẹ ẹ. Kanị e gbu wẹ ẹ, ndị hụ sọnn'ẹ nọ gbayịya; ọhụn a gụ. 
ACT.5.37	Ọhụn e mẹgụ, Judasị onyẹ Galili nọ pụha ogẹn hụ wẹ gi gụn ịhịan, ndị bu ọda nọzị sọnmẹ ẹ. E gbuzikwọ w'a, ndị rị e sọnn'ẹ a gbayịya.
ACT.5.38	“Imẹ okuni rị nwan alị, ndụnmọdụn m jẹnkọ d'e ye ụnụ wụ ọnwan: la nị ndịnị tọ! Hatu nị wẹ! Makẹni, omẹni ihiẹn wẹ bu obi mọbụ ihiẹn wẹ rị e mẹ gha ẹka ịhịan bịa, o k'a dan. 
ACT.5.39	Kanị, omẹni ẹka Osolobuẹ k'ọ gha bịa, ụnụ asakọ ẹka kụsị wẹ; o ru ẹ tan, ọ wụrụ nị ụnụ rị a lụsọn Osolobuẹ ọgụn!” Ya wẹ nọ weri ndụnmọdụn a.
ACT.5.40	A kpọbanhan wẹ ndị-ozi ahụn pụ-ichẹn, fịan wẹ mkpịnsịn, gba wẹ mkpịnsịn-ẹka ẹnya, sị wẹ ekuzilẹ ihiẹn wẹ rị e gi ẹfan Jesu e ku; ya wẹ nọ hatu wẹ. 
ACT.5.41	Ya kẹ ndị-ozi ahụn pụ-ichẹn nọ gha Ọgwa Ndị-isi Nkịkwama hụ pụha, a ghọghọ nị Osolobuẹ weri wẹ kẹ ndị furuni ebe ọ nọ nị wẹ narịn ifẹnrẹn makẹ Ẹfan Jesu. 
ACT.5.42	Ụhụọhịn ile, kẹ imẹ Ụlọ-nsọ kẹ ụlọ-ụlọ, wẹ hụ a kuzi, e zi ozi nị Jesu wụ Onyẹ Hụ Osolobuẹ Tumẹ, akụsịnị wẹ kaka akpohu!
ACT.6.1	Ogẹn ndị rị e sọn Kraịstị gi rị e buwaye ọda, ndị Ju gha obodo ebo lụaha hụn rị imẹ igunrun wẹ nọ kpemẹ nị ndị rị ụlọ arị e keye ikpoho wẹ di wẹ nwụnhụn ihiẹn-oriri w'e ke ụhụọhịn-ụhụọhịn. 
ACT.6.2	Ya ndị-ozi pụ-ichẹn mmẹbụọ hụ nọ kpọzu ndị ile kwerini, sị wẹ, “O furuni nị ẹnyi latọ oku-Chuku d'e kemẹ ihiẹn-oriri. 
ACT.6.3	Umunẹ, lehunmẹ ni nwan ẹnya imẹ igunrun ụnụ, nị ụnụ họpụha mmadụ ẹsa: ndị w'e ku oku wẹ ọhụnma, ndị Mmọn-nsọ jun imẹ wẹ, ndị marịn ihiẹn ọhụnma-ọhụnma, kẹni ẹnyi ye wẹ ọrụnnị; 
ACT.6.4	ẹnyi nwẹn jẹnkọ d'e bu enwẹn ẹnyi che ekpere lẹ iku oku-Chuku.”
ACT.6.5	Okuni sụọ ndị ụka ile ụsụọ; wẹ nọ họpụha Stivini, okẹnnyẹ hụn nwọn okukwe ọda-ọda, Mmọn-nsọ jun imẹ ẹ; ịya lẹ Filipu lẹ Prokorọsụ lẹ Nikanọ lẹ Timọnụ lẹ Pamẹnasị lẹ Nikọlasị onyẹ Antịọkụ, onyẹ alị ọzọ te e fe ofufe ndị Ju. 
ACT.6.6	Ya wẹ nọ wepụha ndịnị ihun Ndị-ozi ahụn pụ-ichẹn, Ndị-ozi ahụn pụ-ichẹn nọ mẹ ni wẹ ekpere, bu ẹka kwasị wẹ.
ACT.6.7	Oku-Chuku hụkwọ a ghagbarị, e ru ndị bu ọda ẹka, ndị kwerini hụ e buwaye ọda imẹ Jerusalẹm; ndị nchụn-ẹjan bu ọda nọ gbehutọ sọnmẹ Ụzọ Jesu.
ACT.6.8	Stivini e nwọnkẹ eyemẹka Osolobuẹ lẹ ikẹn ẹ. Ọ hụ a rụn okẹn ọrụn-atụmẹnya lẹ ihiẹn-nghọsị imẹ igunrun ndị alị. 
ACT.6.9	Kanị ụfọdụ ndị Ju, ndị ụlọ-ofufe w'a kpọ “Ụlọ-ofufe ndị Ju werigụ enwẹn wẹ”, nọ lihi, sọn Stivini dọma ndọndọ. Ndịnị wụ ndị Ju ghasọnmẹ Saịrini lẹ Alẹzandrịa lẹ ndị ghazị ẹgbẹrẹ Silisia lẹ Eshịa bịa. 
ACT.6.10	Kanị asanị wẹ ẹka sọn amamihiẹn lẹ Mmọn-nsọ hụn Stivini gi e ku oku dọ. 
ACT.6.11	Wẹ nọ gha azụụn rịọ ndị wẹ rịọ d'e buokin Stivini ọnụ, sị, “Ẹnyi nụ kẹ Stivini rị e kuja oku Mozizi lẹ Osolobuẹ.” 
ACT.6.12	Wẹ nọ kpasu ndị alị lẹ ndị-isi lẹ ndị nkuzi-Iwu, wẹ nọ jẹnburu Stivini, nwụnrụn a, wẹhẹ ẹ Ọgwa Ndị-isi Nkịkwama. 
ACT.6.13	Wẹ nọ kpọpụha ndị ọshẹri-ntụ, ndị ọshẹri-ntụ hụ nọ sị, “Okẹnnyẹni ara kujabehi oku Ụlọ-nsọnị lẹ Iwu Mozizi. 
ACT.6.14	Ẹnyi a nụọlẹ k'ọ sị nị Jesu onyẹ Nazarẹtịnị jẹnkọ d'e tikpọ ebeni, gbehutọ ọdịnalị ndị Mozizi tumẹni ẹnyi.” 
ACT.6.15	Wẹ ile rị Ọgwa hụ nọ bu ẹnya zinmẹ Stivini, wẹ nọ hụn nị ihun ẹ nọ kẹ ihun mmọn-ozi.
ACT.7.1	Onyẹ-isi nchụn-ẹjan nọ jụma Stivini sị, “Ihiẹn ndịnị wụdẹ nwan ezioku ra?”
ACT.7.2	Stivini nọ za, sị, “Umunẹ m lẹ ndị nẹdi ẹnyi, gọn nị m ntịn! Osolobuẹ hụn nwọn ọghọ bịa d'e kunrun nẹdi ẹnyi kanị wụ Ebraham imẹ alị Mẹsopotemịa. Ebraham eke jẹn alị Haranị d'e biri ogẹn ahụn. 
ACT.7.3	Ọ nọ sị a, ‘Latọ alị ị lẹ ebọn ụnụ, n'i shi alị m jẹnkọ d'a ghọsị ị.’ 
ACT.7.4	Ya k'ọ nọ la alị ndị Kal'di tọ, jẹn d'e biri alị Haranị. Ogẹn nẹdi ẹ gi nwụnhụn, Osolobuẹ nọ zihẹ ẹ alịnị ụnụ bi nwan — 
ACT.7.5	bụ o yen'ẹ alị ọwụlẹ imẹ ẹ — kẹ hụn handẹ kẹ amụkụ ohu; o kwe ẹ nkwa n'o jẹnkọ d'e ye ya lẹ ụmụ a ya ọsụọn'a n'o ke mụ nwa ogẹn hụ. 
ACT.7.6	Osolobuẹ nọ sịzị a, ‘Ụmụ ị jẹnkọ d'a wụ itumunyẹ imẹ alị ọzọ; wẹ k'e gi wẹ họnrin igbọn, mẹja wẹ, ọrọgbọ ahụa nnụ. 
ACT.7.7	Kanị m k'e ye alị hụ gi wẹ họnrin igbọn afụnfụn. Omẹgụ, ụmụ ị k'a pụha d'e fe m ebeni. Ya kẹ Chuku ku.’ 
ACT.7.8	Chuku nọ tumẹ nkwerigbama hụn ahịma a wụ ịkwa-ugun, gi ẹ kwọngbama ya lẹ Ebraham. Ebraham a mụ Aziki, nke akpọhịn ẹsatọ, ọ kwa a ugun. Aziki a mụ Jekọpụ, Jekọpụ a mụ ndị nẹdi ẹnyi mmẹbụọ.
ACT.7.9	“Ndị nẹdi ẹnyi nọ gi ẹnya-ụfụ re nwẹnẹ wẹ wụ Josẹfụ ye ndị hụ w'ẹ shi Ijiptu. Kanị Osolobuẹ nọ nọyen'ẹ, 
ACT.7.10	zụọpụha a imẹ nsọngbu ẹ ile. Ọ nọ mẹ ihiẹn ẹ sụọ Fẹro eze Ijiptu, yezikwọ Josẹfụ amamihiẹn pụ-ichẹn ogẹn o gi pụha ihun Fẹro, nke wụ nị Fẹro nọ tumẹ ẹ n'ọ kị alị Ijiptu lẹ obi-eze Fẹro ile.
ACT.7.11	“Omẹgụ, okẹn ụnwụn nọ mụgbarị alị Ijiptu lẹ Kenaanị, buhẹ okẹn afụnfụn, d'e ru nị ndị nẹdi ẹnyi wẹ ahụnzịnị ihiẹn-oriri. 
ACT.7.12	Ogẹn Jekọpụ nẹdi wẹ gi nụ nị ihiẹn-oriri rị alị Ijiptu, ọ nọ zi ndị nẹdi ẹnyi wẹ ebẹhụ d'e ṅọnlụa ihiẹn-oriri. Ọnwan wụ nke ibuzọ wẹ jẹn Ijiptu. 
ACT.7.13	Ogẹn umunẹ ẹ gi bịa Ijiptu hụn mẹ ẹ nke mgbe ẹbụọ, Josẹfụ nọ nwan mẹ wẹ marịn nị ịya rọ, ogẹn hụ kẹ Fẹro gizi marịn ndị nke Josẹfụ. 
ACT.7.14	Ya Josẹfụ nọ zi ozi, e wẹhẹ wẹ nẹdi ẹ lẹ ebọn wẹ ile bịa alị Ijiptu. Wẹ ile bịanị wụ madụ isẹn arịa ọgụn-ẹnọ. 
ACT.7.15	Ẹrịra kẹ Jekọpụ gi jẹn alị Ijiptu. Omẹgụ, ọ nọ nwụntọ ebẹhụ, ya lẹ ndị nẹdi ẹnyi kanị. 
ACT.7.16	Omẹgụ, wẹ nọ bukin wẹ ile obodo Shẹkẹm, li wẹ ye imẹ ili ahụn rị Shẹkẹm hụn Ebraham gi egho ṅọnnarịn ụmụ Hamọ.
ACT.7.17	“Ogẹn e rumẹ hụn Osolobuẹ e gi mẹzu nkwa o kwe Ebraham, ndị nke ẹnyi nọ bakẹnmẹ ụba imẹ alị Ijiptu 
ACT.7.18	d'e ru ogẹn Fẹro ọzọ marịnlẹni Josẹfụ gi kịma Ijiptu. 
ACT.7.19	Ezeni wụ hụn gi aghịghọ sọn ndị nke ẹnyi, mẹjama ndị nẹdi ẹnyi wẹ, mẹ wẹ latọ ụmụ wẹ mụ nke ọhụn, kẹni ọnwụn gbu wẹ. 
ACT.7.20	Ogẹnni kẹ wẹ gi mụ Mozizi. Mozizi pu okorọbịa ọda-ọda. Ndị mụn'a nọ gi nzuzue zụn a iwe wẹ ifọn ẹtọ. 
ACT.7.21	Ogẹn wẹ gi nwan we ẹ che ogbe, nwa-okpoho Fẹro nọ mụnrụn a, zụn a kẹ nwa ẹfọ a. 
ACT.7.22	Wẹ nọ zụn Mozizi ọzụnzụn ndị Ijiptu, kuzi ẹ ihiẹn ile wẹ marịn, ọ nọ wụrụ okẹn ịhịan — kẹ oku-ọnụ kẹ ọrụn.
ACT.7.23	“Ogẹn o gi rị nwa ahụa ọgụnnaị, ọ nọ ban a obi n'o d'a hụn ndị nke wẹ, ndị Izrẹlụ. 
ACT.7.24	Ọ hụn kẹ onyẹ Ijiptu rị e mẹja onyẹ ohu imẹ wẹ, ọ nọ nọ onyẹ wẹ rị e mẹja ye azụụn, mẹgwarịn'a, gbu onyẹ Ijiptu hụ rị e mẹjan'a. 
ACT.7.25	O te ro ni umunẹ ẹ k'a ghọta nị Osolobuẹ rị e gi ẹ a zụọpụha wẹ, kanị aghọtanị wẹ. 
ACT.7.26	Eki e fọn, Mozizi nọ hụn ndị Izrẹlụ ẹbụọ kẹ wẹ rị a lụ ọgụn. Ọ chọ n'o gbọn wẹ: ọ nọ sị, ‘Ikẹnnyẹ, ụnụ wụ umunẹ, kị ụnụ rị e mẹni ibe ụnụ eje-ihiẹn?’ 
ACT.7.27	Kanị hụn chọ oku nọ kwan a ye ụsụọ, sị, ‘Onyẹ tumẹ i n'i kịma ẹnyi? Onyẹ sị ị hannị ẹnyi eṅẹn? 
ACT.7.28	Ị chọ n'i gbu m k'i dọn gbu onyẹ Ijiptu ahụn ụnyanhụn?’ 
ACT.7.29	Mozizi a nụ ihiẹnni, ọ nọ gbashi alị Midianị d'e biri, o họnrin abịamabịa, nọ ebẹhụ mụ ikẹnnyẹ ẹbụọ.
ACT.7.30	“Ahụa ọgụnnaị a ghafegụ, mmọn-ozi nọ bịa d'e kunrun ẹ imẹ atụ nọkunmẹ Ugu Saịnaị; imẹ ọkụn rị e nwun imẹ akụ-ọfịa. 
ACT.7.31	Ogẹn Mozizi gi hụn ihiẹnni, ọ tụ a ẹnya, ọ nọkunmẹ ẹ n'o legha a ọhụnma, ya ọ nọ nụ olu Di-nwọnni-ẹnyi k'ọ gha ebẹhụ sị a, 
ACT.7.32	‘Mmẹ wụ Chuku ndị nẹdi i: Chuku Ebraham lẹ Aziki lẹ Jekọpụ.’ Ẹhụ nọ mama Mozizi nni, egun anịn'a lee ẹnya. 
ACT.7.33	Di-nwọnni-ẹnyi nọ sị a, ‘Gbụpụ akpụkụ ị, makẹni alị i turu rị nsọ. 
ACT.7.34	Gọn ntịn: a hụnchanrịngụọ m eje-afụnfụn ndị nke m rị a ta imẹ Ijiptu; a nụọlẹ m udẹn wẹ rị a sụn; a bịaọlẹ m nwan d'a zụọpụha wẹ. Bịa nwan nị m zijẹn i Ijiptu.’
ACT.7.35	“Mozizi nwẹn wẹ jụ; onyẹ nwẹn wẹ sị, ‘Onyẹ tumẹ i n'ị kịma ẹnyi? Onyẹ sị ị hannị ẹnyi eṅẹn?’ Ịya kẹ Osolobuẹ zi nwan d'a wụrụ onyẹ-ọkịkị lẹ onyẹ-nzụọpụha. O zi ẹ ghahanị mmọn-ozi hụ ọ hụn imẹ akụ-ọfịa hụ. 
