GEN.1.1	Ha tinikangan, han pagtuha han Dyos han bug-os nga kalibutan ug han mga butang ha kalangitan
JOB.31.32	ngan waray ko gud hira tugoti nga kumaturog dida han kakalsadahan.
JOB.31.33	An iba nga mga tawo nagtatago han ira mga sala,
JOB.31.33	kundi waray ko gud ini pagbuhata.
JOB.31.34	Waray gud ako mahadlok han igsisiring han mga tawo hiunong ha akon;
JOB.31.34	waray gud ako maghilom o mag-inukoy la ha sulod han balay,
JOB.31.34	kay diri ako nahahadlok han ira pagtamay.
JOB.31.35	Waray ba mamamati han akon iginyayakan?
JOB.31.35	Nagsusumpa ako nga matuod an tagsa nga pulong.
JOB.31.35	Pabatona ha akon an Dyos nga Labi Kamakagarahum.
JOB.31.35	Kon an mga sumbong nga ginsalawad han akon kaaway kontra ha akon iginsurat la basi mabasa ko ini,
JOB.31.36	ipaparayaw ko ini dida han akon sugbong,
JOB.31.36	ngan isusul-ot ko ini ha akon ulo sugad hin korona.
JOB.31.37	Igsusumat ko ha Dyos an ngatanan nga akon ginbuhat,
JOB.31.37	ngan matindog ako hin waray kahadlok ha iya atubangan.
JOB.31.38	Kon kinawat ko an tuna nga akon gin-uuma ngan inagaw ko ini han mga matuod nga tag-iya hini—
JOB.31.39	kon kinmaon ako han pagkaon nga gintanom didto,
JOB.31.39	kundi pinagutoman ko an mga parauma nga nagpatubo hini—
JOB.31.40	niyan tumurok unta in kabanwaan ngan katungkan nga liwan han gintanom nga trigo ug sebada.
JOB.31.40	Natapos an mga pulong ni Job.
JOB.32.1	Tungod nga gindig-onan man hi Job nga waray niya sala, hinmunong hin pagbaton kan Job an tulo ka tawo. 
JOB.32.2	Kundi may tawo nga nagpipinamati nga ginngaran kan Elihu, nga waray na gud pakakapugong han iya kasinahon, kay ginpakamatadong man ni Job an iya kalugaringon ngan ginbasol niya an Dyos. (Anak hi Elihu ni Barakel nga tulin ni Buz, ngan sakop han banay ni Ram.) 
JOB.32.3	Nasina liwat hiya han tulo nga kasangkayan ni Job. Waray na gud hira pakakabaton kan Job, ngan nagpakita ini nga daw sayop an Dyos. 
JOB.32.4	Tungod nga hi Elihu an gimamanghuri ha ira didto, hinmulat hiya tubtob nga nahuman hin paghimangraw an ngatanan. 
JOB.32.5	Han pakakita niya nga waray pakakabaton kan Job an tulo ka tawo, nasina hiya 
JOB.32.6	ngan nagtikang hiya hin paghimangraw.
JOB.32.6	Batan-on pa ako ngan mga lagas na kamo,
JOB.32.6	sanglit nahadlok ako hin pagsumat ha iyo han akon ginhuhunahuna.
JOB.32.7	Nagsiring ako ha akon ngahaw nga kinahanglan maghimangraw kamo,
JOB.32.7	nga kinahanglan magpaangbit han iyo kinaadman kamo nga tirutigurang nga mga tawo.
JOB.32.8	Kundi an espiritu han Dyos nga Labi Kamakagarahum
JOB.32.8	amo an napakada han mga tawo ngan nahatag ha ira hin pagsabot.
JOB.32.9	Diri an pagtikalagas an nakakahimo han mga tawo nga makinaadmananon,
JOB.32.9	o nakakabulig ha ira hin paghibaro han matadong.
JOB.32.10	Sanglit yana karuyag ko nga mamati kamo ha akon;
JOB.32.10	tugoti ako hin pagsumat ha iyo han akon ginhuhunahuna.
JOB.32.11	Namati ako nga mapinailobon samtang naghihimangraw kamo,
JOB.32.11	ngan hinmulat ako samtang nangingita kamo hin makinaadmananon nga mga yayaknon.
JOB.32.12	Namati ako hin maupay ngan hinbatian ko nga napakyas kamo;
JOB.32.12	waray niyo panhimuwaa an iginsiring ni Job.
JOB.32.13	Uunanhon niyo hin pakasiring nga hin-agian niyo an kinaadman?
JOB.32.13	Kinahanglan batonon han Dyos hi Job, kay napakyas man kamo.
JOB.32.14	Naghimangraw hi Job ha iyo, diri ngadi ha akon,
JOB.32.14	kundi diri gud ako mabaton sugad han paagi nga iyo ginbuhat.
JOB.32.15	Nawarayan na hira hin mga pulong, Job;
JOB.32.15	waray na hira igbaraton ha imo.
JOB.32.16	Maghihinulat la gihapon ako kon nahilom na hira?
JOB.32.16	Natindog hira kundi waray na nira sadang igyakan.
JOB.32.17	Diri, mabaton man liwat ako yana,
JOB.32.17	ngan susumatan ko ikaw han akon ginhuhunahuna.
JOB.32.18	Diri na ako makakahulat hin diri pagyakan,
JOB.32.18	diri ko na napupugngan an akon mga pulong.
JOB.32.19	Kon diri ako matagan hin higayon hin pagyakan,
JOB.32.19	mabuto ako sugad hin anit nga surudlan nga puno hin bag-o nga bino.
JOB.32.20	Diri na ako makakailob; kinahanglan magyakan ako.
JOB.32.21	Waray ako inuugopan dida hini nga lantugi;
JOB.32.21	diri ako mag-uulog-ulog bisan kan kanay.
JOB.32.22	Diri ako maaram mag-ulog-ulog,
JOB.32.22	ngan pagkakastigohon dayon ako han Dyos kon akon buhaton ini.
JOB.33.1	Ngan yana, Job, pamatii hin maupay an ngatanan nga akon igsisiring.
JOB.33.2	Andam na ako hin pagyakan han aadi han akon hunahuna.
JOB.33.3	Tangkod an ngatanan ko nga mga pulong,
JOB.33.3	ngan nagyayakan ako han kamatuoran.
JOB.33.4	Ginhimo ako ngan gintagan hin kinabuhi han espiritu han Dyos.
JOB.33.5	Batona ako kon makakahimo ka. Andama an imo mga pangatadongan.
JOB.33.6	Ikaw ug ako waray kalainan ha atubangan han Dyos,
JOB.33.6	kita nga duha ginhimo tikang hin lapok.
JOB.33.7	Sanglit diri ka angay mahadlok ha akon;
JOB.33.7	diri ko ikaw pagraraogdaogon.
JOB.33.8	Iini an akon hinbatian nga imo siring:
JOB.33.9	“Diri ako salaan; waray ko nabuhat nga sayop.
JOB.33.9	Inosente ako ngan waray ko sala.
JOB.33.10	Kundi namimiling hin mga pasangil an Dyos hin pagkontra ha akon,
JOB.33.10	ngan gin-iisip ako niya sugad hin usa nga kaaway.
JOB.33.11	Kinakadenahan niya an akon mga tiil;
JOB.33.11	binabantayan niya an tagsa ko nga pagkiwa.”
JOB.33.12	Kundi, Job, pagsusumatan ko ikaw nga sayop ka.
JOB.33.12	Labaw gud an Dyos kay han bisan hin-o nga tawo.
JOB.33.13	Kay ano nga ginsasala mo an Dyos nga diri hiya nabaton han mga sumbong hin usa ka tawo?
JOB.33.14	Bisan kon nagbalikbalik an Dyos hin pagyakan,
JOB.33.14	waray namamati ha iya.
JOB.33.15	Ha gab-i kon nangangaturog na an mga tawo,
JOB.33.15	naghihimangraw an Dyos pinaagi hin mga inop ngan mga panan-awon.
JOB.33.16	Gintitinguha niya nga mamati hira han iya iginyayakan,
JOB.33.16	ngan nahahadlok hira han iya mga pahimatngon.
JOB.33.17	Naghihimangraw an Dyos basi umukoy na hira hin pagpinakasala,
JOB.33.17	ngan basi matalwas hira tikang han pagkamapinahitas-on.
JOB.33.18	Diri hiya matugot nga mapukan hira;
JOB.33.18	gintatalwas hira niya tikang han kamatayon.
JOB.33.19	Sinasaway han Dyos in usa ka tawo pinaagi hin paghatag ha iya hin sakit ngan pagpaul-oli han iya lawas.
JOB.33.20	Nawawad-an hin gana an masakit nga tawo,
JOB.33.20	ngan masukasuka para ha iya bisan an girarasahi nga pagkaon.
JOB.33.21	Naggiginasa hin duro an iya lawas;
JOB.33.21	hinkikit-an mo an ngatanan niya nga mga tul-an;
JOB.33.22	tikaradto na hiya han kalibutan han mga patay.
JOB.33.23	Bangin kumanhi in usa nga anghel hin pagbulig ha iya—
JOB.33.23	usa han mga yinukot nga mga anghel han Dyos,
JOB.33.23	nga nagpapahinumdom han mga tawo han ira katungdanan.
JOB.33.24	Tungod hin kalooy, masiring an anghel, “Buhii hiya!
JOB.33.24	Diri hiya malusad ngadto han kalibutan han mga patay.
JOB.33.24	Iini an lukat han pagtalwas ha iya.”
JOB.33.25	Magtitikabata ngan magtitikakusog na liwat an iya lawas;
JOB.33.26	kon mag-ampo hiya, mabaton ha iya an Dyos;
JOB.33.26	pagsisingbahon niya nga malipayon an Dyos;
JOB.33.26	para ha iya pagtatadongon na liwat han Dyos an ngatanan nga mga butang.
JOB.33.27	Magtutug-an hiya ha atubangan han mga tawo, “Nakasala ako.
JOB.33.27	Waray ko pagbuhata an matadong, kundi gintalwas ako han Dyos.
JOB.33.28	Ginpugngan ako niya hin pagkadto han kalibutan han mga patay,
JOB.33.28	sanglit buhi pa ako gihapon.”
JOB.33.29	Agsob pagbuhaton han Dyos ini ngatanan;
JOB.33.30	tinatalwas niya an kinabuhi hin usa ka tawo,
JOB.33.30	ngan tinatagan hiya han kalipay hin matadong nga kinabuhi.
JOB.33.31	Job, pamatii an akon iginyayakan;
JOB.33.31	paghilom ngan payakna ako.
JOB.33.32	Kundi kon may-ada nimo igsisiring, pabatia ako hini;
JOB.33.32	kakarawaton ko nga malipayon nga waray ka sayop.
JOB.33.33	Kundi kon diri, paghilom ngan pamatii ako,
JOB.33.33	ngan pagtututdoan ko ikaw hin pagkamakinaadmananon.
JOB.34.1+JOB.34.2	Makinaadmananon ngan listo gud kamo nga mga tawo;
JOB.34.1+JOB.34.2	pamatii yana an akon iginyayakan.
JOB.34.3	Hisasabotan niyo nga marasa an pagkaon kon tinitilawan niyo ini;
JOB.34.3	kundi diri kamo mahibabaro hin makinaadmananon nga mga pulong kon mamati la kamo.
JOB.34.4	Aada na ini ha aton an pagturotimbang kon hain an matadong.
JOB.34.5	Nasiring hi Job nga waray nya sala,
JOB.34.5	nga nadiri an Dyos hin paghatag ha iya hin katadongan.
JOB.34.6	Napakiana hiya, “Uunanhon ko hin pakagbuwa ngan pakasiring nga sayop ako?
JOB.34.6	Nasamad ako hin grabe kundi waray ako sala.”
JOB.34.7	Kinmita na ba kamto hin tawo nga sugad kan Job?
JOB.34.7	Waray gud niya pagtahod han Dyos.
JOB.34.8	Karuyag niya hin pakigtampo hin magraot nga mga tawo,
JOB.34.8	ngan pakig-inupod-upod hin mga makasasala.
JOB.34.9	Nasiring hiya nga waray gudla kaupayan an pagsunod han kaburot-on han Dyos.
JOB.34.10	Pamatii ako niyo, kamo nga mga tawo nga masinaboton!
JOB.34.10	Nagbubuhat ba hin sayop an Dyos nga Labi Kamakagarahum?
JOB.34.11	Binabalos niya an mga tawo han ira ginbubuhat,
JOB.34.11	ngan gindudumara hira sugad han angay ha ira.
JOB.34.12	Diri nagbubuhat hin maraot an Dyos nga Labi Kamakagarahum;
JOB.34.12	diri gud hiya nagraraogdaog bisan kan kanay.
JOB.34.13	Kinuha ba han Dyos an iya gahom tikang hin iba nga tawo?
JOB.34.13	May-ada ba nagbutang ha iya nga tinaporan han kalibutan?
JOB.34.14	Kon bawion han Dyos an ginhawa han kinabuhi,
JOB.34.15	magkakamatay an ngatanan nga buhi,
JOB.34.15	ngan mabalik na liwat hira hin katapotapo.
JOB.34.16	Yana pamatii ako niyo kon mga mag-aram man kamo.
JOB.34.17	Ginhuhukman ba niyo an matadong nga Dyos?
JOB.34.17	Naghuhunahuna ba kamo nga nadiri hiya kan katadongan?
JOB.34.18	Ginhuhukman han Dyos in kahadian ngan mga punoan,
JOB.34.18	kon waray mga pulos o mga magraot hira.
JOB.34.19	Diri hiya nadapig hin mga punoan o nagpapalabi han mga riko labaw han mga pobre,
JOB.34.19	kay gintuha niya an ngatanan.
JOB.34.20	Mahihimo mamatay hin tigda la ha gab-i in usa ka tawo.
JOB.34.20	Hinahampak han Dyos in mga tawo ngan nagkakamatay hira.
JOB.34.20	Diri makuri para ha iya in pagpatay han mga gamhanan.
JOB.34.21	Binabantayan niya an tagsa nga pitad han mga tawo.
JOB.34.22	Waray kasisidman nga igo hin kamasirom nga in makasasala makatago tikang han Dyos.
JOB.34.23	Diri an Dyos magtatalaan hin panahon
JOB.34.23	nga kumadto ha iya an mga tawo basi niya paghukman.
JOB.34.24	Diri kinahanglan nga magpakiana hiya basi makuha in mga pangulo ngan liwanan hira hin iba.
JOB.34.25	Tungod nga maaram hiya han ira ginbubuhat,
JOB.34.25	iya pinupukan ngan pinamamatay hira ha gab-i.
JOB.34.26	Kinakastigo niya an mga makasasala ha atubangan han ngatanan,
JOB.34.27	kay inmundang hira hin pagsunod ha iya,
JOB.34.27	ngan ginpasibay-an nira an ngatanan niya nga mga sugo.
JOB.34.28	Ginpirit nira an mga pobre hin pagsangpit han Dyos,
JOB.34.28	ngan hinbatian niya an ira mga pagtawag hin pakibulig.
JOB.34.29	Kon maglarang an Dyos hin diri pagbuhat,
JOB.34.29	waray makakasuson ha iya.
JOB.34.29	Kon talikdan niya an tawo, makalolooy gud an mga tawo.
JOB.34.30	Waray gud mahihimo han mga nasod hin pagpugong nga diri hira paghadian hin magraogdaog nga mga tawo nga diri nakilala hin dyos.
JOB.34.31	Job, iginkompisal mo ba ngadto sa Dyos an imo mga sala,
JOB.34.31	ngan nagsaad hin diri na pagpakasala?
JOB.34.32	Ginhangyo mo ba an Dyos nga ipakita niya ha imo an imo mga sayop,
JOB.34.32	ngan tinmangdo ka ba hin diri na pagbuhat hin maraot?
JOB.34.33	Sugad nga nariwa ka man han ginbubuhat han Dyos,
JOB.34.33	makakalaom ka ba nga pagbubuhaton niya an imo karuyag?
JOB.34.33	Ikaw an pagbaton diri ako;
JOB.34.33	sumati kami yana han imo ginhuhunahuna.
JOB.34.34	Mauyon gud an bisan hin-o nga may buot nga tawo;
JOB.34.34	masiring an bisan hin-o nga makinaadmananon nga tawo nga namamati ha akon
JOB.34.35	nga ha iya katapang naghimangraw hi Job,
JOB.34.35	ngan waray gudla hinungdan an iya iginyayakan.
JOB.34.36	Painuinoha daw an ngatanan nga ginyayakan ni Job;
JOB.34.36	makakasabot kamo nga naghihimangraw hiya sugad hin maraot nga tawo.
JOB.34.37	Dinudugangan niya hin pagribok an iya mga sala;
JOB.34.37	ginpapakaalohan niya an Dyos ha atubangan naton ngatanan.
JOB.35.1+JOB.35.2	Job, dako nga sayop an imo pagsiring
JOB.35.1+JOB.35.2	nga waray ka sala ha atubangan han Dyos,
JOB.35.3	o pagpakiana han Dyos, “Nakakadarahig ba ha imo an akon sala?
JOB.35.3	Ano man an akon nakuha hin diri pakasala?”
JOB.35.4	Babatonon ko ikaw ngan an imo kasangkayan liwat.
JOB.35.5	Tan-awa daw an langit! Kitaa hin kahitaas han mga dampog!
JOB.35.6	Kon nakakasala ka, diri ito nakakadaot han Dyos.
JOB.35.6	Kon nakakadamo ka pakakasayop, nakakadarahig ba ini ha iya?
JOB.35.7	Nabulig ka ba han Dyos pinaagi han imo pagkamatadong?
JOB.35.7	Diri an Dyos nagkikinahanglan ha imo.
JOB.35.8	An imo igkasi-tawo amo an nag-aantos tungod han imo mga sala,
JOB.35.8	ngan an maupay mo nga ginbubuhat nakakabulig ha iya.
JOB.35.9	Kon ginraraogdaog an mga tawo, naghaharoy hira;
JOB.35.9	nasangpit hira hin usa nga magtatalwas ha ira.
JOB.35.10	Kundi diri hira naayop han Dyos nga Magburuhat nira,
JOB.35.10	nga nahatag ha ira hin paglaom dida han gisisiromi nira nga mga takna.
JOB.35.11	Diri hira naayop han Dyos nga naghihimo ha aton nga makinaadmananon,
JOB.35.11	nga labaw ka makinaadmananon an tawo kay han bisan ano nga mananap o tamsi.
JOB.35.12	Natawag hira hin pakibulig, kundi diri nabaton an Dyos,
JOB.35.12	kay mga magpinahitas-on ngan magraot hira nga mga tawo.
JOB.35.13	Waray la pulos para ha ira an pagtawag;
JOB.35.13	diri nakita o nadungog ha ira an Dyos nga Labi Kamakagarahum.
JOB.35.14	Job, nasiring ka nga diri ka nakita han Dyos,
JOB.35.14	kundi hulat upod in pag-ilob kay hinbatian na niya an imo sumbong.
JOB.35.15	An imo hunahuna nga diri nakastigo an Dyos,
JOB.35.15	nga diri gud hiya nanginginano han sala.
JOB.35.16	Waray la pulos para ha imo an pagyinakan;
JOB.35.16	dayag kaupay nga diri ka maaram han imo ginyiyinakan.
JOB.36.1+JOB.36.2	Hilawiga an imo pag-ilob hin pamati han akon
JOB.36.1+JOB.36.2	iginhihimangraw ha ngaran han Dyos.
JOB.36.3	Dako an akon hibaro, gagamiton ko an akon hinsasabotan
JOB.36.3	ha pagpamatuod nga matadong an Dyos nga Magburuhat ha akon.
JOB.36.4	Waray bisan ano nga buwa han akon igyayakan ha imo;
JOB.36.4	nakita ka ha imo atubangan in tinuod nga makinaadmananon nga tawo.
JOB.36.5	Hin pagkagamhanan han Dyos! Diri hiya nagtatamay hin bisan hin-o;
JOB.36.5	waray gud bisan ano nga diri niya hinsasabtan.
JOB.36.6	Diri hiya natugot nga magpadayon kabuhi an mga makasasala,
JOB.36.6	ngan dayuday niya gindudumara hin matadong an mga pobre.
JOB.36.7	Ginpapanalipdan niya adton mga magtadong;
JOB.36.7	iya tinutugotan hira hin paghadi sugad hin kahadian,
JOB.36.7	ngan ginpapasidunggan hira ha kadayonan.
JOB.36.8	Kundi kon kinadenahan in mga tawo,
JOB.36.8	nga nag-aantos tungod han ira ginbuhat,
JOB.36.9	ipinapakita ha ira han Dyos an ira mga sala ngan an ira pagkamapinahitas-on.
JOB.36.10	Ginpapabati hira han iya pahimatngon nga kinahanglan bumaya hira han maraot.
JOB.36.11	Kon magsugot hira han Dyos ngan mag-alagad ha iya,
JOB.36.11	mag-uokoy hira ha kalinaw ngan kahimyangan ha bug-os nira nga kinabuhi.
JOB.36.12	Kon diri, diri hira masabot nga mapatay hira ngan matabok hira han sapa ngadto han kalibutan han mga patay.
JOB.36.13	Nagpapadayon hin kasina adton mga diri nakilala hin diyos,
JOB.36.13	ngan bisan kon ginkakastigo hira, diri hira nag-aampo hin pakibulig.
JOB.36.14	Nagkakamatay hira nga mga batan-on pa,
JOB.36.14	ngan ginugul-an hira tungod hin kinabuhi nga makaarawod.
JOB.36.15	Kundi gintututdoan han Dyos an mga tawo pinaagi hin pag-antos,
JOB.36.15	ngan ginagamit niya an kasakitan hin pagpukrat han ira mga mata.
JOB.36.16	Ginpagawas ka han Dyos tikang han kakurian,
JOB.36.16	ngan tinugotan ka hin pagpahimulos hin kahimyangan,
JOB.36.16	gintambakan hin pagkaon an imo lamesa.
JOB.36.17	Kundi yana kinakastigo ka sumala han angay ha imo.
JOB.36.18	Paghinay nga diri ka paglimbongan hin mga hukip,
JOB.36.18	o diri ka sumimang han matadong nga dalan tungod han imo bahandi.
JOB.36.19	Diri makakaupay ha imo an pagtawag hin pakibulig;
JOB.36.19	diri makakabulig ha imo yana an bug-os mo nga kusog.
JOB.36.20	Ayaw pag-ungara nga umabot an kagab-ihon,
JOB.36.20	an panahon nga maaanaw an kanasoran.
JOB.36.21	Paghirot nga diri ka madara han maraot;
JOB.36.21	tinagan ka hin pag-antos basi diri mahingadto ka ha karat-an.
JOB.36.22	Hinumdomi an pagkadako han gahom han Dyos;
JOB.36.22	amo hiya an gidadakoi nga magturutdo han ngatanan.
JOB.36.23	Waray makakagtutdo han Dyos kon ano an iya pagbubuhaton,
JOB.36.23	o makakagsumbong ha iya tungod hin maraot nga iya ginbuhat.
JOB.36.24	Dayuday hiya gindadayaw tungod han iya ginbubuhat;
JOB.36.24	kinahanglan pagdayawon mo liwat hiya.
JOB.36.25	Hinkit-an han ngatanan an iya ginbuhat;
JOB.36.25	kundi makita la kita hini ha tay-aw.
JOB.36.26	Diri gud kita makakatugkad han iya pagkadako,
JOB.36.26	o makakaihap han kadamo han iya mga katuigan.
JOB.36.27	An Dyos amo an nakuha hin tubig tikang han tuna ngan hinihimo ini nga uran.
JOB.36.28	Pinatuturo niya an uran tikang han mga dampog,
JOB.36.28	ngan nabunok ini para han ngatanan nga mga tawo.
JOB.36.29	Waray maaram kon inuunan-o an pag-anod-anod han mga dampog,
JOB.36.29	o an pagdinagurob han dalugdog nga nakakaluob han langit nga inuokyan han Dyos.
JOB.36.30	Pinapaidlap niya an kikidlat ha bug-os nga kalangitan,
JOB.36.30	kundi nagpapabilin nga masirom an mga kahiladman han dagat.
JOB.36.31	Amo ini an paagi han iya pagpakaon
JOB.36.31	ngan paghatag hin hura nga pagkaon.
JOB.36.32	Kinakaptan niya an kikidlat,
JOB.36.32	ngan sinusugo ini nga maigo an iya ginpupunting.
JOB.36.33	Nagpapahibaro an dalugdog han tiarabot nga bagyo,
JOB.36.33	ngan maaram an kabakahan nga tiarabot an bagyo.
JOB.37.1	An bagyo nakakapakusog han putok han akon kasingkasing.
JOB.37.2	Pamati, kamo ngatanan, han tingog han Dyos,
JOB.37.2	han dalugdog nga tikang han iya baba.
JOB.37.3	Pinapaidlap niya an kikidlat nga natarap han langit;
JOB.37.3	tikang ha usa nga sidsid han tuna ngadto ha luyo.
JOB.37.4	Niyan hinbabatian an aningal han iya tingog,
JOB.37.4	an makusog nga hugan-ob hin dalugdog,
JOB.37.4	samtang nag-iiroidlap an kikidlat.
JOB.37.5	Ha pagsugo han Dyos nahinanabo in makatitingala nga mga butang,
JOB.37.5	urosahon nga mga butang nga makuri naton hisabutan.
JOB.37.6	Sinusugo niya an yelo nga mahulog ha tuna,
JOB.37.6	ngan nagpapadara hiya hin makusog nga uran.
JOB.37.7	Ginpapaukoy niya an trabaho han mga tawo;
JOB.37.7	iya pinapakita hira han iya mahihimo.
JOB.37.8	Napakadto han ira mga luoban an ihalas nga kamanampan.
JOB.37.9	Tikang ha timogan an alipuros,
JOB.37.9	ngan tikang ha amihanan an makalilisang nga kamahagkot.
JOB.37.10	Nakakabagtik han katubigan an ginhawa han Dyos,
JOB.37.10	ngan nahihimo ini nga bug-os nga yelo.
JOB.37.11	Nag-iidlap an kikidlat
JOB.37.12	samtang nag-aanod-anod an mga dampog ha pagbuot han Dyos.
JOB.37.12	Gintutuman an ngatanan nga pinapagbuhat han Dyos ha ira,
JOB.37.12	ha ngatanan nga dapit ha bug-os nga kalibutan.
JOB.37.13	Pinapadara han Dyos an uran hin pagtubig han tuna;
JOB.37.13	mahihimo ipadara ini niya hin pagkastigo hin mga tawo,
JOB.37.13	o pagpakita ha ira han iya paghigugma.
JOB.37.14	Hunong hin madaliay, Job, ngan pamati;
JOB.37.14	pagpainoinoha an urosahon nga mga butang nga binubuhat han Dyos.
JOB.37.15	Maaram ka ba kon inuunan-o han Dyos hin pagsugo
JOB.37.15	basi makaidlap an kikidlat tikang han mga dampog?
JOB.37.16	Maaram ka ba kon inuunan-o han mga dampog basi hira maglutawlutaw didto ha langit,
JOB.37.16	nga buhat han kahiburongan nga gahom han Dyos?
JOB.37.17	Job diri ka makakasabot hini, mag-aantos ka la han kapaso kon manggutak an tuna hin pagmara tungod han hangin nga timog.
JOB.37.18	Makakabulig ka ba han Dyos hin pagbitad han langit
JOB.37.18	ngan hin pagpatig-a hini sugad hin pinainggat nga metal?
JOB.37.19	Tutdoi kami han amon igsisiring ha Dyos;
JOB.37.19	waray sulod an amon mga hunahuna;
JOB.37.19	waray gud namon sadang igyakan.
JOB.37.20	Diri ako maghahangyo hin pakighimangraw han Dyos;
JOB.37.20	kay ano nga tatagan ko hiya hin higayon hin pagpuo ha akon?
JOB.37.21	Ngan yana mabislaw an kapawa didto ha langit,
JOB.37.21	mapawa hin duro nga makuri ini mabuslong;
JOB.37.21	ngan ginhawanan han hangin an langit.
JOB.37.22	Hinkit-an didto ha amihanan in bulawanon nga sulhog,
JOB.37.22	ngan nakapuno ha aton an makaaramdok nga himaya han Dyos.
JOB.37.23	Gamhanan kaupay an Dyos nga makuri kita makahirani ha iya;
JOB.37.23	matadong hiya ngan waray niya pinalabi dida han iya mga pagdumara han mga tawo.
JOB.37.24	Sanglit diri urosahon nga may-ada kaamdok ha iya an ngatanan,
JOB.37.24	ngan ginpapasibay-an niya adton mga napaka makinaadmananon.
JOB.38.1	Niyan tikang han alipuros naghimangraw an 
JOB.38.2	Baga hin-o ka nga nasuson han akon kinaadman pinaagi han imo tapang ngan waray hinungdan nga mga pulong?
JOB.38.3	Tindog hin maupay ngan pagpakalalake ngan batona an akon mga ipapakiana ha imo.
JOB.38.4	Nakadto ka ba han paghimoa ko han kalibutan?
JOB.38.4	Kon maaram ka gudman, sumati daw ako mahitungod hini.
JOB.38.5	Hin-o an naglarang han kadako han kalibutan?
JOB.38.5	Hin-o an nagsukol han kahiluag hini?
JOB.38.5	Maaram ka ba han ngatanan nga mga baton?
JOB.38.6	Ano an tinutungtongan han mga harigi
JOB.38.6	Hin-o an nagbutang han patukoranan han kalibutan?
JOB.38.7	Dida han kaagahon hito nga adlaw nagdurungan pagkanta an kabiton-an,
JOB.38.7	ngan ginmoliat hin kalipay an langitnon nga mga binuhat.
JOB.38.8	Hin-o an nagsada han mga ganghaan ha pagpugong han dagat
JOB.38.8	han iya bungkalas nga pag-awas tikang han kahiladman han tuna?
JOB.38.9	Amo ako an nagpandong han dagat pinaagi hin mga dampog,
JOB.38.9	ngan ginlukop ko ini hin kasisidman.
JOB.38.10	Nagbutang ako hin pag-ultan han dagat ngan ginsagpo ko ini ha luyo basi diri makalapwas.
JOB.38.11	Ginsiring ko ini, “Tubtob ka la dinhe ngan ayaw na pagtipaunhan!
JOB.38.11	Dinhe la matubtob an imo mga dagko nga balod.”
JOB.38.12	Job, sulod han bug-os mo nga kinabuhi nagsugo ka na ba hin pagpasirang han adlaw?
JOB.38.13	Nagsugo ka na ba han kaagahon nga lub-on niya hin kapawa an tuna
JOB.38.13	ngan kapawaan an mga magraot basi mahadlok ngan gumawas ha ira mga taragoan?
JOB.38.14	Tungod han pagsirang han adlaw napapawaan an kapungtoran ngan mga kahamub-an sugad han mga piniloan nga sidsid hin usa nga panapton,
JOB.38.14	nga sugad ka dayag han lutop hin silyo dida hin lapok.
JOB.38.15	Masilaw hin duro para han mga magraot an kapawa han adlaw,
JOB.38.15	ngan naghihialang hira hin panlupig hin mga tawo.
JOB.38.16	Nahingadto ka na ba han mga burabod, didto han mga kahiladman han dagat?
JOB.38.16	Nakaglakat ka na ba didto ha salad han kalalawdan?
JOB.38.17	May-ada na ba nagpakita ha imo han mga ganghaan
JOB.38.17	nga nagbabantay han masirom nga kalibutan han mga patay?
JOB.38.18	May-ada mo ba nahuhunahuna kon matiunan-o kadako an kalibutan?
JOB.38.18	Batona ako kon maaram ka.
JOB.38.19	Maaram ka ba kon diin tikang an kapawa,
JOB.38.19	o kon ano an surok han kasisidman?
JOB.38.20	Makagbuot ka ba ha ira kon ano kahirayo an ira kakadtoan,
JOB.38.20	o makapabalik ka ba ha ira?
JOB.38.21	Maaram ako nga makakahimo ka, kay lagas ka na man hin duro,
JOB.38.21	ngan nakadto ka ngani han paghimoa han kalibutan!
JOB.38.22	Nakaduaw ka na ba han hirimosan nga mga kwarto nga akon ginbutangan han mga yelo?
JOB.38.23	Gin-aandam ko ini para hin mga panahon hin kakurian;
JOB.38.23	para hin mga adlaw hin pakig-away ug gubat.
JOB.38.24	Nahingadto ka na ba han dapit nga sinisirangan han adlaw,
JOB.38.24	o han dapit diin natikang hin paghuyop an hangin nga kabunghan?
JOB.38.25	Hin-o an nag-ukab hin dalan para han uran,
JOB.38.25	ngan naghawan han dalan para han makusog nga uranos?
JOB.38.26	Hin-o an nagpapauran didto han dapit nga waray naukoy na tawo?
JOB.38.27	Hin-o an nagpapatubig han mamara ngan bangkil nga tuna,
JOB.38.27	basi tumurok an kabanwaan?
JOB.38.28	May-ada ba amay an uran o an tun-og?
JOB.38.29	Hin-o an iroy han mga yelo,
JOB.38.30	nga nakakapabagtik han katubigan ug han dagat sugad hin bato?
JOB.38.31	Makakagbutok ka ba han Pleyades o makakaghubad han mga higot han Orion?
JOB.38.32	Makakagtutdo ka ba han mga bitoon ha kada panahon,
JOB.38.32	ngan makakagtugway han Dako ngan han Gutiay nga Kabo nga kabiton-an?
JOB.38.33	Maaram ka ba han mga balaod nga nagdudumara han kalangitan,
JOB.38.33	ngan makakahimo ka ba hin paggamit hini para ha tuna?
JOB.38.34	Makakagoliat ka ba hin pagsugo han mga dampog,
JOB.38.34	nga paghumogon ka nira hin uran?
