MAT.1.1	Azezi n de Adavidi yɩɩŋa, la Abraham yɩɩŋa yaabdõma n wãna:
ACT.28.24	Tɩ basɛba sakɛ, dee tɩ basɛba ka sakɛ. 
ACT.28.25	Tɩ nẽrba la ka wõm taaba bɔɔra tɩ ba fõrgɛ. Tɩ Apolɩ tɔgɛ ba yetɔga ayɩla yetɩ: «Nawẽnnɛ Sɩa n yʋʋn botɩ a nõtɔ'ɔsa A'ezayi tɔgɛ la ya yaabdõma la de la sɩra. 
ACT.28.26	A yʋʋn yetɩ:
ACT.28.26	‹Sẽŋɛ bu-bãna wã zẽ'am ka yele ba yetɩ:
ACT.28.26	Ya wʋn selse,
ACT.28.26	la ya kãn wõm a võorɛ.
ACT.28.26	Ya wʋn bɩsɛ,
ACT.28.26	la ya kãn yẽ sɛla sɛla.
ACT.28.27	Se'ere n soe la,
ACT.28.27	bu-bãna wã pʋtẽ'era ka like,
ACT.28.27	la ba tʋba lɩ mɛ,
ACT.28.27	dee tɩ ba mũm ba nini.
ACT.28.27	Tɩ ba nini da yẽ,
ACT.28.27	tɩ ba tʋba da wõm,
ACT.28.27	tɩ ba pʋtẽ'era da like.
ACT.28.27	Sãn dagɩ nɩ bɛla,
ACT.28.27	ba wʋn teege nɩ yɛm,
ACT.28.27	tɩ mam bɔ ba laafɛ.› »
ACT.28.28	Apolɩ daan tɔgɛ bɛla dee yetɩ: «Bãŋɛ-ya tɩ Nawẽnnɛ tõm fãarɛ kõ-yẽlga la bɔ la bu-zãŋsɩ. Bãma wʋn selse.» [ 
ACT.28.29	Apolɩ n tɔgɛ yetɔg-ẽŋa la, tɩ Zifdõma wẽ'era nõke'ene la taaba fõrgra.]
ACT.28.30	Apolɩ daan kẽ zẽ'e-sɛka tɩ a boe mĩ na yʋʋma ayi, daan yɔɔra deego la ligri, dee tɔ'ɔsra sɛba wuu n sẽnnɩ a zẽ'am na, 
ACT.28.31	mõola Nawẽnnɛ so'olʋm yelle, dee zãsna ba Zuudãana Azezi-krisi yɛla. A daan tɔgrɩ la bʋraanɛ, tɩ nẽra ka gu'ura ẽ tɩ a da tɔgɛ.
ROM.1.1	Mam Apolɩ n de Azezi-krisi yamŋa n gʋlsɛ gõŋɔ wã. Nawẽnnɛ n wi mam tɩ m dɛna Azezi-krisi Tõntõnna, welge mam to'ore tɩ m mõolɛ a kõ-yẽlga.
ROM.1.2	Nawẽnnɛ daan bĩŋe la nõorɛ halɩ kʋrʋm kʋrʋm tɩ a bɔ tɔ a kõ-yẽlga la, botɩ a nõtɔ'ɔsrɩba gʋlsɛ a gõŋɔ pʋam. 
ROM.1.3	La de la Nawẽnnɛ Dayʋa n de tɩ Zuudãana Azezi-krisi la yelle. Ẽŋa n lebge nẽrsaala la, a de la naba Adavidi yɩɩŋa. 
ROM.1.4	La Nawẽnnɛ Sɩa la boe a zẽ'am mɛ la pãŋa, pa'alɛ tɩ a de la Nawẽnnɛ Dayʋa, ẽŋa n ki dee vo'oge la. 
ROM.1.5	Azezi-krisi ĩyã tɩ Nawẽnnɛ ẽŋɛ tɩ yel-sõnnɛ, botɩ tõma dɛna a Tõntõnɩba tɩ tɩ botɩ so'olʋm wuu nẽrba bɔ ẽ sɩra, sakɛ a nõorɛ a yʋ'ʋrɛ nã'asgɔ ĩyã. 
ROM.1.6	Yãma mẽ po bɔna la nẽr-bãma pʋam, yãma tɩ Nawẽnnɛ wi tɩ ya dɛna Azezi-krisi nẽrba la.
ROM.1.7	Mam gʋlsɛ gõŋɔ wã bɔ'ɔra la yãma sɛba wuu n boe Rom, tɩ Nawẽnnɛ nõŋɛ ya, wi ya tɩ ya welge to'ore dɛna a nẽrba la.
ROM.1.7	Tɩ Sɔ Nawẽnnɛ, la tɩ Zuudãana Azezi-krisi wʋn ẽŋɛ ya yel-sõnnɛ, dee bɔ ya sũ-mã'asʋm.
ROM.1.8	Pɔspɔsɩ, Azezi-krisi ĩyã mam pʋ'ʋsrɩ mam Zuudãana Nawẽnnɛ a yel-sõnnɛ yãma wuu ĩyã, se'ere n soe la, ba tɔgrɩ yãma n bɔ Azezi sɩra se'em mɛ dũnia wã wuu. 
ROM.1.9	Mam tẽrɩ ya yelle m pʋ'ʋsgɔ pʋam mɛ wakatɛ wuu. Nawẽnnɛ tɩ mam tõnnɩ la m sũure wuu bɔ'ɔra ẽ, mõola a Dayʋa kõ-yẽlga la, mi tɩ sɛla tɩ mam yele la de la sɩra. 
ROM.1.10	Wakat-sɛka woo tɩ mam pʋ'ʋsrɩ, mam sosrɩ Nawẽnnɛ mɛ tɩ la sãn dɛna ẽŋa yɛm n boorɩ se'em, a botɩ m yãŋɛ wa'am ya zẽ'am wa kaagɛ ya yãŋa. 
ROM.1.11	Se'ere n soe la, mam boorɩ la m sũure wuu tɩ m yẽ ya, tɩ m wʋn to'oge Nawẽnnɛ Sɩa bɔ'a bɔ ya tɩ ya yẽ pãŋa. 
ROM.1.12	La de la mam na yãma wʋn lagɩm yẽ bʋraanɛ pa'asɛ, tɩ yãma n bɔ Azezi sɩra se'em na wʋn bɔ mam bʋraanɛ, tɩ mam mẽ n bɔ Azezi sɩra se'em na wʋn bɔ yãma bʋraanɛ.
ROM.1.13	M sɔbiisi, mam boorɩ mɛ tɩ ya bãŋɛ tɩ nõorɛ faa tɩ mam makɛ tɩ m wa'am ya zẽ'am. La gu'a n gu mam halɩ wa paam lɛɛlɛ wã. Mam boorɩ mɛ tɩ m wa'am tɩ m tõonɛ na tara yõorɔ yãma zẽ'am, wʋ ẽn tarɩ yõorɔ so'olʋm basɛba pʋam se'em na. 
ROM.1.14	Mam tõonɛ de la m sẽŋɛ nẽr-sɛba yɛm n like, la nẽr-sɛba yɛm n ka like, nẽr-sɛba n zãsʋm tara bãŋrɛ, la nẽr-sɛba n ka mi sɛla zẽ'am ka mõolɛ kõ-yẽlga la. 
ROM.1.15	Bɛla n soe tɩ mam bɔɔra tɩ m mõolɛ kõ-yẽlga la mẽ bɔ yãma sɛba n boe Rom la.
ROM.1.16	Yãnnɛ ka tarɩ mam la kõ-yẽlga la mõolgɔ. A de la Nawẽnnɛ pãŋa n botɩ nẽr-sɛba wuu n bɔ ẽ sɩra la yẽta fãarɛ, pɔspɔsɩ de la Zifdõma, pa'asɛ la sɛba n dagɩ Zifdõma. 
ROM.1.17	Kõ-yẽlga la n pukri pa'ala tõma Nawẽnnɛ n ɩtɩ se'em botɩ nẽrba masɛ a zẽ'am. La de la bɔ sɩra, tarɩ ka ba'asɛ la bɔ sɩra, wʋ lan gʋlsɛ Nawẽnnɛ gõŋɔ pʋam se'em yetɩ: «Nẽra n bɔ Nawẽnnɛ sɩra masɛ a zẽ'am wʋn vɔa, ẽn bɔ ẽ sɩra la ĩyã.»
ROM.1.18	Nawẽnnɛ n boe saazuum pa'alɛ tɩ ẽŋa sũure yĩige mɛ la nẽrsaalba n tõnnɩ tõon-be'ero, la sɛla wuu tɩ ba ɩtɩ tɩ la ka dɔla ẽŋa sore, tɩ ba tõon-be'ero la gu'ura nẽrba tɩ ba ka mina sɩra la, tɩ ẽŋa wʋn sɩbgɛ ba. 
ROM.1.19	Se'ere n soe la, sore tɩ nẽrsaalba wʋn doose bãŋɛ Nawẽnnɛ yelle de la vẽelga bɔ ba, Nawẽnnɛ mẽŋa n puke ẽ pa'alɛ ba. 
ROM.1.20	Halɩ lan pɔsɛ dũnia nãaŋɔ, Nawẽnnɛ yɛla tɩ nẽrsaalba ka yẽtɩ n de a ke'eŋo n ka tarɩ ba'asgɔ, la ẽn de Nawẽnnɛ na, nẽrba yẽ ba mɛ a tõoma la pʋam. Bɛla tɩ nẽrsaalba ka tãna wʋn yetɩ bãma ka mi Nawẽnnɛ. 
ROM.1.21	Ba mi Nawẽnnɛ mɛ, la ba ka nã'asrɩ ẽ, la ba ka pʋ'ʋsrɩ ẽ a yel-sõnnɛ wʋ lan narɩ ba ẽŋɛ se'em na. Ba tẽ'esgɔ la lebge la tẽ'es-yooro, tɩ ba pʋtẽ'e-yooro la kẽ'esɛ ba lika pʋam. 
ROM.1.22	Ba tẽ'esɛ yetɩ bãma de la yɛm dõma, la ba de la gɔɔnɔ. 
ROM.1.23	Lan de ba nã'asra Nawẽnnɛ n ka kiiri n tarɩ na'am pãŋa la, ba tõn nã'asra la bõna tɩ nẽrba mãalɛ n ãn wʋ nẽrsaalba n kiiri, la bõn-ẽgla, la sɛla n tarɩ nãma anaasɩ, la bõn-vuula.
ROM.1.24	Bɛla n soe tɩ Nawẽnnɛ basɛ ba, tɩ ba tõnna dẽgrɔ tõoma, wʋ ba yɛm n boorɩ se'em, tõnna yãnnɛ tõoma la taaba. 
ROM.1.25	Ba dɩkɛ Nawẽnnɛ yelle n de sɩra la basɛ mɛ, dee dɔla põmpɔrŋɔ. Ba nã'asrɩ la bõn-sɛba tɩ Nawẽnnɛ nãam na, tõnna bɔ'ɔra ba, dee basɛ Nawẽnnɛ mẽŋa n de sɛka n nãam sɛla woo la. Ẽŋa n masɛ pẽka wakatɛ n ka ba'asrɩ. Amina.
ROM.1.26	Bɛla tɩ Nawẽnnɛ basɛ ba, tɩ ba ɩta ba mẽŋa yɛmleego n de yãnnɛ. Tɩ ba pɔgsɩ basɛ lan de ba gã se'em na, dee gã la taaba. 
ROM.1.27	Tɩ bʋraasɩ mẽ basɛ lan de ba gã la pɔgsɩ la. Tɩ ba bʋra-taaba yɛmleego tara ba. Tɩ bʋraasɩ ɩta sɛla n de yãnnɛ gã la taaba. Bɛla tɩ ba yẽta sɩbgrɛ ba mẽŋa, n masɛ la ba tuure la.
ROM.1.28	Ban zagsɛ ka bɔɔra tɩ ba bãŋɛ Nawẽnnɛ na, tɩ Nawẽnnɛ basɛ ba ba tẽ'es-yooro la pʋam, tɩ ba ɩta sɛla n ka masɛ tɩ ba ɩta. 
ROM.1.29	Sɛla n ka masɛ wuu n boe ba sũa pʋam. La de la be'em, la nõŋɛ bõnɔ zozo'e, la pʋtʋʋlgɔ, la ɩta sũure la tadãana bõnɔ, la nẽr-kʋa, la zɛbrɛ, la yɛm be'ero, la sũ-toogo. Ba wã'arɩ la taaba, 
ROM.1.30	tɔgra be'em zɛrgra taaba, ba de la wẽn-sɩ'ɩsrɩba, ka nanna taaba, zẽk-m-mẽŋa dõma, wẽ'er-m-yõ'ogɔ dõma, nẽrba n mi sɔa n wʋn doose tõm be'em, nẽrba n sɩ'ɩsrɩ ba madõma, la ba sɔdõma nõorɛ. 
ROM.1.31	Ba yɛm ka like, ba de la nõgõla dõma, ba ka tarɩ nõŋlʋm, ba ka zotɩ ninbãalga. 
ROM.1.32	Ba mi tɩ Nawẽnnɛ yetɩ nẽr-sɛba n ɩtɩ bɛla la masɛ la kũm, la baa bɛla ba ken ɩta la bõn-bãma, dee yetɩ nẽr-sɛba n ɩtɩ bɛla la ɩtɩ sõŋa mɛ.
ROM.2.1	Fõn nẽr-sɛka n zɛrgrɩ nẽrba basɛba la, fʋ kãn yẽ bʋʋrɔ, se'ere n soe la, fõn zɛrgrɩ nẽrba basɛba dee ɩta bãma n ɩtɩ se'em na, fʋ mõŋrɩ la fʋ mẽŋa bʋʋrɔ. 
ROM.2.2	Tɩ mi tɩ Nawẽnnɛ diti nẽr-sɛba n tõnnɩ tõon-be'ero bãma sarɩya dɔla la sɩra. 
ROM.2.3	Fõn tẽ'esɛ tɩ fõn zɛrgrɩ fʋ taaba, dee ɩta fʋ mẽŋa bãma n ɩtɩ se'em na, fõn wʋn yãŋɛ põsɛ Nawẽnnɛ n diti tõon-be'ero sarɩya la mɛ bɩɩ? 
ROM.2.4	Bɩɩ fõn ka nannɩ la Nawẽnnɛ ɩr-sõŋɔ, la a sũ-bʋgsʋm, la a sũ-mã'arɛ n zo'oge la? Fʋ mi tɩ Nawẽnnɛ ɩr-sõŋɔ la boorɩ tɩ fʋ teege la yɛm basɛ tõon-be'ero. 
ROM.2.5	La fõn sũure kɛ'ɛm mɛ tɩ fʋ ka bɔɔra tɩ fʋ teege yɛm, bɛla tɩ fʋ lagsra sɩbgrɛ bĩŋra fʋ mẽŋa zuo gu'ura daar-sɛka tɩ Nawẽnnɛ wʋn pa'alɛ a sũ-isgre di nẽrba sarɩya la sɩra la.
ROM.2.6	Nawẽnnɛ wʋn bɔ nẽra woo yɔɔrɔ masɛ wʋ ẽn tõm se'em. 
ROM.2.7	Nẽr-sɛba n mõrgɛ ɩta sõŋa ɛɛra nã'asgɔ la pẽka, la vɔm n ka ba'asrɩ Nawẽnnɛ zẽ'am na, a wʋn bɔ ba la vɔm n ka ba'asrɩ. 
ROM.2.8	La nẽr-sɛba n ka sakɛ bɔ, sɩ'ɩsra sɩra, dee ɩta sɛla n ka masɛ la, wʋn yẽ Nawẽnnɛ sũ-isgre, la sɩbgrɛ. 
ROM.2.9	A wʋn botɩ toogo la sũ-sã'aŋɔ n paagɛ nẽr-sɛba wuu n tõnnɩ tõon-be'ero la. Pɔspɔsɩ de la Zifdõma, pa'asɛ la sɛba n dagɩ Zifdõma. 
ROM.2.10	La nẽr-sɛba wuu n ɩtɩ sõŋa wʋn yẽ la na'am pãŋa, la nã'asgɔ, la sũ-mã'asʋm. Pɔspɔsɩ de la Zifdõma, pa'asɛ la sɛba n dagɩ Zifdõma. 
ROM.2.11	Se'ere n soe la, Nawẽnnɛ ka bɔkrɩ nẽrba.
ROM.2.12	Nẽr-sɛba n ka bãŋɛ Amoyisi lɔɔ la dee tõnna tõon-be'ero, ba wʋn sã'am ba tõon-be'ero la ĩyã tɩ la ka doose la lɔɔ la. La Zifdõma n tarɩ Amoyisi lɔɔ la dee tõnna tõon-be'ero la, Nawẽnnɛ wʋn dɩkɛ la lɔɔ la di ba sarɩya. 
ROM.2.13	La dagɩ sɛba n selsrɩ lɔɔ la n masɛ Nawẽnnɛ zẽ'am, la de la sɛba n sakɛ ɩtɩ wʋ lɔɔ la n yele se'em na n masɛ. 
ROM.2.14	Sɛba n dagɩ Zifdõma n ka tarɩ Amoyisi lɔɔ la, ba sãn ɩta ba mẽŋa wʋ lɔɔ la n yele se'em na, la pa'alɛ tɩ ba mẽŋa mi sɛla n masɛ mɛ, baa la ban ka tarɩ lɔɔ la. 
ROM.2.15	Bɛla ba pa'alɩ tɩ sɛla tɩ lɔɔ la yetɩ ba ɩta la boe ba sũurum mɛ, tɩ ba pʋtẽ'erɛ n mi se'em na mẽ pa'ala tɩ bɛla de la sɩra. Bɛla tɩ ba pʋtẽ'era ẽn yɛta ba tɩ ba ka ẽŋɛ sõŋa, bɩɩ ba ẽŋɛ sõŋa. 
ROM.2.16	Bõn-bãna wʋn puke la daar-sɛka tɩ Nawẽnnɛ wʋn botɩ Azezi-krisi di nẽrba yɛla n sʋgɛ sarɩya, masɛ wʋ kõ-yẽlga la tɩ mam mõolɛ n yetɩ se'em na.
ROM.2.17	Fõn yetɩ fõn de la Zifu la, fõn te'ege la Amoyisi lɔɔ la yẽsna tɩ fõn de la Nawẽnnɛ nẽra, 
ROM.2.18	fõn mi Nawẽnnɛ n boorɩ se'em mɛ. Lɔɔ la zãsʋm fõn mɛ tɩ fõn mina sɛla n ãn sõŋa, la sɛla n ka ãn sõŋa bɔkɛ. 
ROM.2.19	Fʋ tẽ'esɛ tɩ fõn mi mɛ tãna wʋn pa'alɛ fɔɔsɩ sore. Fʋ tẽ'esɛ tɩ fõn de la peelem bɔ nẽr-sɛba n boe lika pʋam na. 
ROM.2.20	Fʋ tẽ'esɛ tɩ fõn zãsnɩ na sɛba n ka mi, dee dɛna kɔma karẽnsãama, se'ere n soe la, fõn tẽ'esɛ tɩ lɔɔ la pʋam, fõn tarɩ bãŋrɛ zõnzõnnɔ, la sɩra mɛ. 
ROM.2.21	Fõn zãsnɩ fʋ taaba la, bẽm tɩ fʋ ka zãsna fʋ mẽŋa? Fõn mõolɩ yɛta nẽrba tɩ ba da zũura, dee tɩ fõn mẽŋa zũura. 
ROM.2.22	Fõn yetɩ nẽrba tɩ ba da ɩta yalsɩ, dee ɩta yalsɩ fʋ mẽŋa. Fõn nẽ'esrɩ baga tɩ ba mãalɛ nã'asra la tɩ ba de la bõn-põ'osa, dee kẽ'era ba deto pʋam zũura ba yõorɔ dita. 
ROM.2.23	Fõn yẽsnɩ mɛ la Nawẽnnɛ lɔɔ la, dee sɩ'ɩsra lɔɔ la n yele se'em na, ɩta Nawẽnnɛ yãnnɛ. 
ROM.2.24	La gʋlsɛ Nawẽnnɛ gõŋɔ pʋam yetɩ: «Yãma Zifdõma ĩyã tɩ buuri basɛba nẽrba tɔgra be'em pɔ'ɔra Nawẽnnɛ yʋ'ʋrɛ.»
ROM.2.25	Fʋ sãn sakra lɔɔ la, wãaga la tarɩ yõorɔ mɛ. La fʋ sãn sɩ'ɩsɛ lɔɔ la, la de la zãŋa, la ãn wʋ fʋ ka wã mɛ na. 
ROM.2.26	La buuri sɛka n ka wãtɩ, nẽra sãn sakɛ ɩta lɔɔ la n yetɩ ba ɩta se'em na, Nawẽnnɛ wʋn geele ẽ wʋ nẽra n wã. 
ROM.2.27	Nẽr-sɛka n ka wã, dee sakɛ ɩta lɔɔ la n yele se'em na, wʋn zɛrgɛ fʋ mɛ fõn tarɩ lɔɔ gõŋɔ la, wã dee sɩ'ɩsra lɔɔ la.
ROM.2.28	La dagɩ sɛka n ɩtɩ Zifdõma ɩrgɔ tɩ nẽrba yẽta n de Zifu. La dagɩ wãaga tɩ nẽrba yẽtɩ la n botɩ fʋ dɛna Nawẽnnɛ nẽra. 
ROM.2.29	Zifu sɩra sɩra de la sɛka n de Zifu a sũure pʋam. Wãaga sɩra sɩra de la Nawẽnnɛ Sɩa n ɩtɩ sũure pʋam, la dagɩ wãaga wʋ lɔɔ n gʋlsɛ se'em na. Nawẽnnɛ n pẽgrɩ nẽr-ẽŋa, la dagɩ nẽrsaalba.
ROM.3.1	La sãn dɛna bɛla, Zifdõma tarɩ zu-yẽlga la bẽm pʋam gãnna sɛba n dagɩ Zifdõma, la wãaga la yõorɔ de la bẽm? 
ROM.3.2	Yõorɔ la zo'oge mɛ. Pɔspɔsɩ, Nawẽnnɛ dɩkɛ a yetɔga ẽŋɛ la Zifdõma nu'usum. 
ROM.3.3	La ba nẽrba basɛba sãn dagna sɩra dõma, bɛla wʋn botɩ Nawẽnnɛ kãn dɛna sɩra dãana mɛ bɩɩ? 
ROM.3.4	Ayɛɩ, la dagɩ bɛla. Baa nẽrba wuu sãn dɛna põmpɔrndõma, Nawẽnnɛ ken dɛna la sɩra dãana wʋ lan gʋlsɛ yetɩ:
ROM.3.4	«Fʋ yetɔga pʋam, nẽrba mi tɩ fõn masɛ mɛ dɛna sɩra dãana.
ROM.3.4	Nẽrba sãn zɛrgɛ fɔ, fõn tarɩ bʋʋrɔ mɛ.»
ROM.3.5	La tõma n ɩtɩ sɛla n ka masɛ la sãn botɩ nẽrba bãŋɛ tɩ Nawẽnnɛ masɛ sɛla woo pʋam, tɩ wʋn yetɩ bẽm? Tɩ wʋn yetɩ Nawẽnnɛ tõoma ka masɛ, ẽn sɩbgrɩ tɩ la ĩyã bɩɩ? Ayɛɩ, la dagɩ bɛla. Mam tɔgrɩ wʋ nẽrsaalba n tẽ'esrɩ se'em na. 
ROM.3.6	Nawẽnnɛ sãn dagna sɩra dãana, a kãn yãŋɛ nɩ dita dũnia nẽrba sarɩya.
ROM.3.7	La mam põmpɔrŋɔ sãn botɩ Nawẽnnɛ sɩra pukra pa'asra, tɩ la dɛna nã'asgɔ bɔ'ɔra Nawẽnnɛ, bẽm tɩ ba wʋn di mam sarɩya tɩ mam de la tõon-be'ero dãana? 
ROM.3.8	La sãn dɛna bɛla, bẽm tɩ tɩ kãn yetɩ: «Tɩ ɩta be'em tɩ la botɩ sɛla n de sõŋa wa'am?» Nẽrba basɛba dõtɩ mam tɩ mam n yele bɛla. Nawẽnnɛ wʋn di nẽr-bãma sarɩya wʋ lan masɛ.
ROM.3.9	Bɛla, tõma Zifdõma gãnnɩ nẽr-sɛba n dagɩ Zifdõma la mɛ bɩɩ? Ayɛɩ! La dagɩ bɛla. Mam dẽŋɛ põn yele tɩ Zifdõma, la sɛba n dagɩ Zifdõma, tõma wuu boe la tõon-be'ero yamnɛ pʋam, 
ROM.3.10	wʋ lan gʋlsɛ Nawẽnnɛ gõŋɔ pʋam yetɩ:
ROM.3.10	«Nẽra ka boe n masɛ, baa ayɩla.
ROM.3.11	Nẽra ka boe n tarɩ yɛm ɛɛra tɩ a bãŋɛ Nawẽnnɛ, baa ayɩla.
ROM.3.12	Nẽrba wuu bure la poore bɔ Nawẽnnɛ, ba wuu tuuge mɛ.
ROM.3.12	Nẽra ka boe n ɩtɩ sõŋa, baa ayɩla.
ROM.3.13	Ba nõa ãn wʋ yɔɔgɔ n vuke.
ROM.3.13	Ba tarɩ ba zɩlɩsɩ la pã'asra la nẽrba.
ROM.3.13	Ba nõorɛ yetɔga ãn wʋ bõnsɛla zẽlõm na.
ROM.3.14	Ba nõa pɩrɛ la kã'a-be'ero, la yetɔg-be'ero.
ROM.3.15	Ba ka yagsnɩ la nẽrba kʋa.
ROM.3.16	Ban doose zẽ'e-sɛka woo tole, la de la sã'aŋɔ, la toogo tɩ ba basrɩ mĩ.
ROM.3.17	Ba ka mi sũ-mã'asʋm sore.
ROM.3.18	Ba nẽnsɩ ka boe tɩ ba zoe Nawẽnnɛ.»
ROM.3.19	Tõma mi tɩ sɛla wuu tɩ lɔɔ la yetɩ la, a yetɩ la sɛba n dolɩ ẽ na. Bɛla tɩ nẽrba wuu nõa wʋn mũm, tɩ ba wʋn bãŋɛ tɩ ba koŋe Nawẽnnɛ zẽ'am. 
ROM.3.20	Se'ere n soe la, nẽra ka boe n tã wʋn sakɛ lɔɔ la n yele se'em na, masɛ Nawẽnnɛ zẽ'am. Lɔɔ la wen botɩ nẽra bãŋra mɛ tɩ a de la tõon-be'ero dãana.
ROM.3.21	La lɛɛlɛ wã Nawẽnnɛ puke pa'alɛ ẽŋa n ɩtɩ se'em botɩ nẽrba masɛ a zẽ'am, tɩ lɔɔ la nẽŋa ka bɔna mĩ. Lɔɔ gõnnɔ, la Nawẽnnɛ nõtɔ'ɔsrɩba dẽŋɛ põn tɔgɛ a yelle mɛ. 
ROM.3.22	La de la nẽra n bɔ Azezi-krisi sɩra ĩyã, tɩ Nawẽnnɛ botɩ a masɛ a zẽ'am. A ɩtɩ bɛla bɔ'ɔra la nẽr-sɛba wuu n bɔ Azezi-krisi sɩra la, bɔkrɛ ka boe. 
ROM.3.23	Se'ere n soe la, nẽrsaalba wuu tõm na tõon-be'ero koŋe Nawẽnnɛ nã'asgɔ. 
ROM.3.24	La Nawẽnnɛ yel-sõnnɛ na ĩyã, a botɩ ba masɛ a zẽ'am na zãŋa, Azezi-krisi n fãarɩ ba tõon-be'ero pʋam na ĩyã.
ROM.3.25	Nawẽnnɛ n looge Azezi tɩ a ki, tɩ a zɩɩm yese la ĩyã, a wʋn basɛ nẽr-sɛba n bɔ ẽ sɩra la tõon-be'ero taalɛ. Bɛla Nawẽnnɛ pa'alɛ tɩ ẽŋa masɛ mɛ dɛna sɩra dãana. Kʋrʋm, Nawẽnnɛ mã'agɛ la a sũure ka sɩbgɛ nẽrsaalba ba tõon-be'ero la ĩyã. 
ROM.3.26	A ẽŋɛ bɛla tɩ a pa'alɛ lɛɛlɛ wã tɩ ẽŋa de la sɩra dãana, ẽŋa mẽŋa masɛ mɛ, dee botɩ nẽr-sɛba n bɔ Azezi sɩra la masɛ ẽŋa zẽ'am.
ROM.3.27	Bɛla, bẽm pʋam tɩ nẽra tã wʋn wẽ yõ'ogɔ? Sɛla ka boe. Bẽm ĩyã? La dagɩ nẽra n sakrɩ lɔɔ la ĩyã tɩ a masɛ, la de la ẽn bɔ Azezi-krisi sɩra ĩyã. 
ROM.3.28	Tõma yẽ tɩ la de la nẽra n bɔ Krisi sɩra ĩyã tɩ a masɛ Nawẽnnɛ zẽ'am, la dagɩ ẽn sakrɩ lɔɔ la ĩyã.
ROM.3.29	Bɩɩ Nawẽnnɛ de la Zifdõma mã'a Nawẽnnɛ? A ka po dɛna nẽr-sɛba n dagɩ Zifdõma la Nawẽnnɛ? A po dɛna la sɛba n dagɩ Zifdõma la Nawẽnnɛ. 
ROM.3.30	Nawẽnnɛ de la ayɩla, a wʋn botɩ Zifdõma masɛ a zẽ'am, ban bɔ sɩra ĩyã, dee botɩ sɛba n dagɩ Zifdõma la mẽ masɛ a zẽ'am, ban bɔ sɩra ĩyã. 
ROM.3.31	Tõma n yetɩ nẽra n bɔ sɩra ĩyã n botɩ a masɛ la, bɛla boorɩ tɩ la yetɩ bɔ sɩra ĩyã lɔɔ la ka le tara võorɛ mɛ bɩɩ? Ayɛɩ, la dagɩ bɛla. Tõma pa'alɛ tɩ lɔɔ la tarɩ võorɛ mɛ.
ROM.4.1	Tɩ wʋn yele Abraham n de tɩ yaaba la yelle yetɩ bo? A yʋʋn yẽ la bẽm? 
ROM.4.2	La sãn de nɩ Abraham tõoma ĩyã n botɩ a dɛna nẽra n masɛ Nawẽnnɛ zẽ'am, a yʋʋn tã wʋn wẽ yõ'ogɔ mɛ. La a ka tã wʋn wẽ yõ'ogɔ Nawẽnnɛ zẽ'am. 
ROM.4.3	La gʋlsɛ Nawẽnnɛ gõŋɔ pʋam yetɩ: «Abraham bɔ la Nawẽnnɛ sɩra, tɩ Nawẽnnɛ yetɩ a de la nẽra n masɛ ẽŋa zẽ'am.» 
ROM.4.4	Nẽra sãn tõnna tõoma, a to'orɩ la yɔɔrɔ. Yɔɔrɔ la dagɩ bɔ'a tɩ ba bɔ ẽ, la de la a bõnɔ. 
ROM.4.5	La nẽra sãn ka tõm tõonɛ, dee bɔ Nawẽnnɛ n botɩ tõon-be'ero dõma masra a zẽ'am na sɩra, Nawẽnnɛ wʋn botɩ a lebge la nẽra n masɛ a zẽ'am ẽn bɔ sɩra la ĩyã. 
ROM.4.6	Bɛla tɩ naba Adavidi mẽ tɔgɛ yetɩ, nẽra tɩ Nawẽnnɛ yetɩ a masɛ a zẽ'am, tɩ la dagna a tõoma ĩyã, tarɩ sũ-yẽlga. 
ROM.4.7	A yele yetɩ:
ROM.4.7	«Nẽr-sɛba tɩ Nawẽnnɛ bɔ ba ba tuure sugri,
ROM.4.7	sɛba tɩ a basɛ ba tõon-be'ero taalɛ tarɩ zu-yẽlga.
ROM.4.8	Nẽr-sɛba tɩ Zuudãana Nawẽnnɛ ka geele a tõon-be'ero la tarɩ zu-yẽlga.»
ROM.4.9	Zu-yẽlga ẽŋa tɩ ba tɔgɛ a yelle la, de la nẽr-sɛba n wã la mã'a bõnɔ? Ayɛɩ, la po dɛna la nẽr-sɛba n ka wã la bõnɔ. Tõma dẽŋɛ yetɩ: «Abraham n bɔ Nawẽnnɛ sɩra la ĩyã, tɩ Nawẽnnɛ yetɩ a masɛ ẽŋa zẽ'am.» 
ROM.4.10	Wakat-kãna tɩ bõn-ẽŋa ẽŋɛ? La de la Abraham n yʋʋn wã la poorʋm bɩɩ, lan dẽŋɛ a wãaga la? La de la ẽn yʋʋn nãn ka wã la. 
ROM.4.11	Bɛla poorʋm tɩ Abraham yãŋa yʋʋn wã, tɩ la dɛna dãalgɔ pa'alɛ tɩ Nawẽnnɛ yetɩ a de la nẽra n masɛ ẽŋa zẽ'am, ẽn bɔ sɩra la ĩyã, wakatɛ sɛka tɩ a nãn ka wã la. Bɛla tɩ Abraham dɛna sɛba wuu n bɔ Nawẽnnɛ sɩra dee ka wã la sɔ-yaaba, tɩ Nawẽnnɛ yetɩ ba de la nẽrba n masɛ ẽŋa zẽ'am. 
