MAT.1.1	Rûrû i ru rûrîîyo rwa Yiesû Kîrîstû wa mûciî wa Ndaundi, wa rûciaro rwa Îburaîmu.
ACT.4.37	Njosebu eendiirie kîthaka gîake aareetera atûmwa mbia cionthe ira kîaumire.
ACT.5.1	Muntû ûngî eetagwa Anania barî na mwekûrû wake, Sabira, beendia kîthaka kîao. 
ACT.5.2	Mwekûrû wake akîmenyaga, Anania aathûkia mbia imwe kîrî ira kîthaka kîaumire aiga irî cia gûtûmîra barî bonka, airîra atûmwa inu ingî.
ACT.5.3	Petûrû amûûria, “Anania, i mbi îtûmîîte Saitaani aûyûra nkoro yakû? Ûkûrongoia Kîrundu Ûmûtheru. Kûrî mbia imwe cia kîthaka waigîîte ûgaitûmîra ûrî wenka. 
ACT.5.4	Mbere ya wendia kîthaka gîku kîraarî gîaku. Na ûgûkîendia mbia nwa ciaku iraarî. I kî îîndî n'ûntû ûrûthîîte ûûgû? T'antû warongoia, i Ngai.”
ACT.5.5	Anania akwîgua mîgambo înu aagwa nthîgûrû, aakua. Muntû wonthe ûra eegagua mantû mamu naamakaga mûno. 
ACT.5.6	Nthaka ciaya cioga mwîrî wa Anania baumagarûkia, baathi bamûthika.
ACT.5.7	Nyuma ya mathaa ta mathatû ûgu, mwekûrû wa Anania aaya gûku atûmwa baarî. Ataiyî bûra gwakarîkîîte. 
ACT.5.8	Petûrû amûûria, “Ingûkûûria, ino i cio mbia ira kîthaka kîenu kîraumire?”
ACT.5.8	Sabira amwîra, “Yîî, i cio.”
ACT.5.9	Petûrû amûûria, “I kî n'ûntû bûrabangire kûgeria Kîrundu wa Mwathani? Makinya mamu ûkwîgua maayîîte i ma bara bauma kûthika mûkûrû waku. Kinya woû ibagûgûkamata bagakûthike.”
ACT.5.10	Warîo, Sabira aagwa nthîgûrû magûrûûni ma Petûrû, aakua. Nthaka ira ciaya ciethîra arî ûmûkuû. Bamûkamata bamûruta nja, baathi bamûthika rûteere, waagu akubî na ara baarî bakûthika mwene. 
ACT.5.11	Eetîgîri bonthe na antû bonthe bakwîgua mantû mamu baamaka mûno.
ACT.5.12	Atûmwa baaringa biama biingî na boonania magegania maingî kîrî antû. Eetîgîri bonthe baarîîkanaga nyomba ya Ngai, rwembeani rwa Soromoni. 
ACT.5.13	Bara bangî batikîûmîîria beengîrana na bo amwe na kwîgua iboonaga baarî antû beega. 
ACT.5.14	Antû bangî, arûme na aka, bara beetîgiirie Mwathani boongeereka kîrî eetîgîri. 
ACT.5.15	N'ûntû bwa biama bira atûmwa baaringaga, antû baumagaragia aayie baao bakabakamata bakathi bakabamaamia mîgekaani kana mîkondorooni rûteere rwa barabara kaingo Petûrû akûrûkîîte kîrundu gîake kîringithia nwa bamwe. 
ACT.5.16	Na ikwarî na antû baingî mûno baayaga baumîîte taûni ira ciarî akubî na Njerusaremu bareeteete aayie na bara baarî na irundu biithûûku. Na bonthe boorua.
ACT.5.17	Mûthînjîri ûra mûnene wa Ngai na antû baake bonthe, *Asandukai, baatua kwîgua atûmwa rûriitho. 
ACT.5.18	Babagwatithia baingîrwa nceera. 
ACT.5.19	Îndî ûtugû bûbu mûraîka wa Mwathani aaya abarugûrîra. Abeera, 
ACT.5.20	“Îthiini nyomba ya Ngai bûtûmîîrie antû bûbeere mantû monthe ma mwoyo ûmûyerû.” 
ACT.5.21	Atûmwa baathîkîra ûgu mûraîka aabeerire, baaraûka nyomba ya Ngai baanjîîria kûrutana antû.
ACT.5.21	Mûthînjîri ûra mûnene wa Ngai na antû baake beeta akîama na akûrû bonthe ba Isiraeri amwe. Rîru baatûmana atûmwa bagîîrwa nceera. 
ACT.5.22	Îndî acikaarî babu baatûmîîtwe bagîîra atûmwa, bagûkinya bataabeethîra nceera. Baacooka kîrî kîama. 
ACT.5.23	Bauga, “Tûthiire twethîra mîrango îrî îminge bwega mûno na akaria bakarîîtie. Tûkûrugûra twathûngîra ndeni gûtirî we tûreethîra ku!” 
ACT.5.24	*Athînjîri bara banene ba Ngai na mûnene wa akaria ba nyomba ya Ngai bakwîgua ûgu baarigicana mûno n'ûntû bataiyî bûra gwakarîkaga.
ACT.5.25	Muntû ûmwe i rîo aayire abeera, “Antû bara bûrathaîkithîîtie barî nyomba ya Ngai. I ku barî bakîrutanaga antû.” 
ACT.5.26	Mûnene wa akaria ba nyomba ya Ngai aathi na antû baake, baaya na atûmwa. Bataatûmîra inya n'ûntû ibaakuthûkaga antû babaringanga na maiga.
ACT.5.27	Bakûbareeta, atûmwa baarûngamua mbere ya akîama. Mûthînjîri ûra mûnene wa Ngai abaûria, 
ACT.5.28	“Anga tûtaabûkaaniirie twabwîra bûtikaarutane antû mantû ma muntû ûyû? Teeneeni îîndî bûra bûûyûrîîtie ûrutani bwenu Njerusaremu yonthe. Ka bûkwenda nthakame yake îtûcookera?”
ACT.5.29	Petûrû na atûmwa bara bangî babeera, “Nwa mwanka twathîkîre Ngai bantû a twathîkîra muntû. 
ACT.5.30	Ngai wa biûyûûyû bietû naariûkiirie Yiesû ûra bwaûragithiirie na njîra ya kwamba mûtharabaani. 
ACT.5.31	Ngai aamwîtithiirie îgûrû amwaiga njaraani yake ya ûrîo, amûtuîkithia Mûnene na Mwonokia kaingo apa antû ba Isiraeri kaanya ga kwîrira na ga kûrekerwa meeyia maao. 
ACT.5.32	Tiû, atûmwa, na Kîrundu Ûmûtheru ûra Ngai eeyaga bara bamwathîkagira, tûrî akûûyî ba mantû mama.”
ACT.5.33	Akîama babu bakwîgua ûgu baamuntwa i nkoro, beenda kûbaûraga. 
ACT.5.34	*Mûbarisai ûmwe, mûkîama, eetagwa Gamarieri aarûngama. Aarî mwarimû wa watho na naatîîyîîtwe mûno n'antû. Akûrûngama auga atûmwa barutwe nja aniini. 
ACT.5.35	Eera akîama babu bangî, “Antû ba Isiraeri, thûgaanîriani bwega ûntû bûbû bûkwenda kûrûtha antû baba. 
ACT.5.36	Kagiita kamwe ikwarî na muntû eetagwa Theunda. Eetuîte muntû wa gîtûmi, antû ta magana mana baatuîka athingati baake. Theunda akûûragwa, athingati baake bonthe ibaanyagaaraniirie. Na ûyu n'uu warî mûthia. 
ACT.5.37	Nyumaani ikwarî na muntû ûngî eetagwa Njundas kagiita kara antû baataragwa. Aarî wa kuuma Gariiri. Wana we aakuuyia kîrîndî kiingî gîa antû, gîatuîka athingati baake. Îndî wana we naûragirwe, athingati baake wana bo baanyagaarania. 
ACT.5.38	Kwoogu îîndî bûra nkwenda kûbwîra n'atî, tiganaani na antû baba. Ûkaaya kwîgua mworooto wao na ngûgî yao n'ya kîîmuntû, îkaathira. 
ACT.5.39	Îndî ûkeegua n'ya Ngai bûtiûmba kûbarigîîria bamîruta. Îmenyeereeni waûmba kwîgua i Ngai bûkûrûa n'we.”
ACT.5.40	Akîama baathingata mataaro ma Gamarieri. Bauga atûmwa bathûngîre. Bakûthûngîra babaringithia ibooko. Babakaania babeera batikeere antû mantû ma Yiesû, rîru babarekia. 
ACT.5.41	Atûmwa bauma gûku bakeneete mûno n'ûntû bwa kwîgua boonirwe baagîrîte ba kûnyamaarua n'ûntû bwa riîtwa rîa Yiesû. 
ACT.5.42	Ntugû cionthe bataatiga kûrutana na gûtûmîîria gûku nyomba ya Ngai na mîciî ya antû atî, Yiesû n'we *Mesia.
ACT.6.1	Kagiitaani gaku eetîgîri bakûthi na mbere kwingîa, eetîgîri Angiriki na eetîgîri Aibirania îbaarî na îtheto. Angiriki baanung'unaga bakauga ntigwa ciao iteeyagwa ûteethio bwa kûgana irio bikîgaîwa kîra ntugû. 
ACT.6.2	Atûmwa babu îkûmi na baîrî beeta eetîgîri amwe bonthe. Babeera, “Gûtiagîrîte tûtiga gûtûmîîria kiugo kîa Ngai n'ûntû bwa kûgaa irio. 
ACT.6.3	Kwoogu, aruayia na aarayia, thuuraani antû arûme mûgwanja kîrî biû, bara bûkûmenya ibaûyûrîîtwe i Kîrundu Ûmûtheru na barî na ûûme bwingî. Antû babu mûgwanja i bo tûkaa ngûgî înu. 
ACT.6.4	Tiû tukeenenkanîra kûromba na kûruta ngûgî ya gûtûmîîria kiugo.”
ACT.6.5	Eetîgîri bonthe baakeneera îthûgaanio rîru. Baathuura muntû eetagwa Stibini aarî na wîtîgio bûûnene mûno na aûyûrîîtwe i Kîrundu Ûmûtheru. Baacooka baathuura Piripû, Purokooras, Nikanoori, Timooni, Parimenas na Nikooraûs. (Nikooraûs aarî wa kuuma Antiokia, naagarûkîîte atuîka wa ndini ya kîîyaundi.) 
ACT.6.6	Antû babu bairwa mbere ya atûmwa. Atûmwa babarombera babaigîîrîîte njara.
ACT.6.7	Kiugo kîa Ngai kîathi na mbere gûtamba, eetîgîri bongeereka mûno Njerusaremu. Na wana kinya *athînjîri ba Ngai baingî baagîa na wîtîgio.
ACT.6.8	Stibini aarî muntû aûyûrîîtwe n'ûtugi na inya. Naaringaga biama biinene na akoonania magegania maanene. 
ACT.6.9	Kûrî antû baaturagia Stibini mbaara. Antû babu baarî ba *sinagoogi yeetagwa ‘Sinagoogi ya bara bathaûre,’ na baumîîte Kureni, Aregicandiria, Sirîsia na Îcia. Antû babu ibaakararagia Stibini, 
ACT.6.10	îndî batikîmûkîria ûûme n'ûntû Stibini aaragia na ûûme bûûnene mûno, na inya ya Kîrundu Ûmûtheru. 
ACT.6.11	Antû babu baabangîra Stibini. Antû bamwe baakûûyîîra ûrongo bauga, “Tûreegiirue akîaria mantû maathûûku îgûrû rîa Musa na Ngai.”
ACT.6.12	Beengîîra antû, akûrû, na aarimû ba watho baagwata Stibini bamwira kîrî akîama. 
ACT.6.13	Baareeta antû baatuîrîîra Stibini, bauga, “Muntû ûyû rîonthe agwetaga mantû maathûûku îgûrû rîa nyomba îno întheru ya Ngai na *watho bwa Musa. 
ACT.6.14	Tûreegiirue akiuga Yiesû ûyu wa kuuma Nasareethi akomborania nyomba îno ya Ngai na agarûre wîthîre bûra twaumaniirie na bu kîrî Musa!”
ACT.6.15	Bara bonthe baarî gûku kîamaani nwaka boona ûthiû bwa Stibini bwagarûka. Baakara bamûkûnîrîîte meetho, boona bwakara ta bwa mûraîka.
ACT.7.1	Mûthînjîri ûra mûnene wa Ngai aûria Stibini, “Mantû mamu i ma mma?”
ACT.7.2	Stibini aacookia auga, “Aruayia na babaaba, thikîîriani mbwîre! Ngai wa mwago eebonaniirie kîrî kîûyûyû gîetû, Îburaîmu, warî Mesopotamia mbere ya athaamîra Arani, 
ACT.7.3	amwîra, ‘Thaama kwenu ûtige antû beenu ûthi nthîgûrû îra ngaakwonia!’
ACT.7.4	“Îburaîmu aathaama nthîgûrû îra baatûîre ya Karindea aathi aatûûra Arani. Îthe agûkua aathaama aaya aatûûra gûkû bûtûîre îîndî. 
ACT.7.5	Îndî Ngai ataamwaa nwa îkînya rîmwe rîa nthîgûrû îno rîtuîka rûgai rwake. I wîrane aamwere amwîra akamwaa îtuîke yake na rûrîîyo rwake, kinya weegua kagiita gaku Îburaîmu ataarî akûgîa na kaana. 
ACT.7.6	Ngai aamwîrire ûûgû, ‘Antû ba rûrîîyo rwaku bagaatuîkithua nkombo nthîgûrû îngeni barûthîrwe mantû maathûûku mîanka magana mana. 
ACT.7.7	Naani, Ngai, ingaakaanûkia babu bakaabatuîkithia nkombo. Rîru mbarute gûntû gûku baangonge barî aaga.’
ACT.7.8	Ngai aarîîkanîîre na Îburaîmu, aatuîkithia rûtaano rwano rwa kîrîîkanîro gîku. Kwoogu Îburaîmu agûciara Isaka amûtaana arî na ûkûrû bwa ntugû inyanya. Nyumaani Isaka n'we aaciara Njakubu, Njakubu aaciara nthaka îkûmi na ciîrî, biûyûûyû bira bietû îkûmi na biîrî.
ACT.7.9	“Biûyûûyû bibu bieegua Njosebu rûriitho. Bamwendia athi gûtuîka nkombo nthîgûrû ya Miisiri, îndî Ngai naarî amwe n'we. 
ACT.7.10	Amûruta kûnyamaaruani kûra kunthe aanyamaaragua. Amwaa ûûme na aatûma akenia Baraû, mûnene wa Miisiri. Mûnene amûtuîkithia ngabana wa Miisiri na mûrûngamîîri wa nyomba yake.
ACT.7.11	“Ikwarî na yûûra rîînene mûno gûku nthîgûrû ya Miisiri yonthe na ya Kaanani. Kwagîa kînyamaara kîînene mûno. Biûyûûyû bietû biaga irio. 
ACT.7.12	Njakubu akwîgua ikwarî na ngano Miisiri, aatûma biûyûûyû bietû bithi kûthûgûra rîrî îgiita rîa mbere kûthi Miisiri. 
ACT.7.13	Bakûthi kûthûgûra rîa maîrî Njosebu eemenyithania kîrî aruagina. Baraû aamenya aruagina babu ba Njosebu. 
ACT.7.14	Njosebu aatûmana kîrî îthe, Njakubu, na antû baao bara bangî baaya Miisiri. Bonthe baarî antû mîrongo mûgwanja na bataano. 
ACT.7.15	Kwoogu, Njakubu baathaamîra Miisiri. Naagu i noogo aakuîrîîre. Na wana kinya biûyûûyû bira bingî bietû nwa noogo biakuîrîîre. Îndî 
ACT.7.16	mîîrî yao yairirwe Cekemu, baathikwa nthikooni ira Îburaîmu aagûrîrîte aana ba Amoori mbia igana ûna.
ACT.7.17	“Kagiita karî akubî kara Ngai augîîte akaingia wîrane bûra eerire Îburaîmu, weegua antû beetû bara baarî Miisiri ibaarî bakwingîa. 
ACT.7.18	Mûnene ûngî ataiyî Njosebu na antû baao aatuîka mûnene wa Miisiri. 
ACT.7.19	Mûnene ûyu aacegeera antû beetû abanyamaaria. Auga bateeyage tûgenke twao twaciarwa kaingo tûkua.
ACT.7.20	“Îgîîtaani rîru i rîo Musa aaciarirwe. Kaarî kaana kaathongi mûno meethooni ma Ngai. Agûciarwa, aciari baake bamwitha nyomba yao bantû a mîeri îthatû. 
ACT.7.21	Akwithûrwa nyomba, mwarî wa Baraû amûthûkia amûrera ta mwana wake. 
ACT.7.22	Musa aathoomithua mantû mara monthe Amiisiri baathoomaga, aûmea. Aatuîka muntû wa îgweta kuumania na mîgambo îra aaragia na mantû mara aarûthaga.
ACT.7.23	“Musa arî na mîanka mîrongo îna, aathûgaania kûthi kûriûngîra antû baao ba Isiraeri. 
ACT.7.24	Akûthi oona ûmwe wao agîturwa i Mûmiisiri. Musa aathi gûtunyûkia muntû wao. Akîrîithia aûraga Mûmiisiri. 
ACT.7.25	Aathûgaanagia ûtakîîgua antû baao ibaamenyaga atî Ngai akîmûtûmîra akabakûûra, îndî na bo bataaciûkîrwa bamenya ûgu. 
ACT.7.26	Rûûni rwa ntugû înu, Musa eethîra Aisiraeri baîrî bakîrûaga. Musa aacûûgia kûbeeguithania. Abaûria, ‘Anga bûtirî ta muntû na mûruagina, itû aba. I mbi bûkûrûîra?’ 
ACT.7.27	Ûra aacûîrîrîte ûra ûngî ûgîti aatindîka Musa. Amûûria, ‘N'ûû agûtuîkithîîtie mûnene wetû ûtûgambithia? 
ACT.7.28	Nûbangîîte kûmbûraga ta bûra ûraûragire Mûmiisiri ûra îgoro?’
ACT.7.29	Musa akwîgua ûgu aatoorooka, auma nthîgûrû înu. Aathi gûtûûra nthîgûrû yeetagwa Mindiani. Arî noogo aagûrana aaciara nthaka ciîrî.
ACT.7.30	“Nyuma ya mîanka mîrongo îna, Musa arî rwanda rwa Kîrîma gîa Sinaî mûraîka aaria n'we rûrîrîmbî rwa mwanki rûgîakanaga gakandooni. 
ACT.7.31	Musa akwona ûgu, aarigara mûno. Athiîte akubî kwona bwega, eegua kayû ka Mwathani gakîaria n'we gakiugaga, 
ACT.7.32	‘I niû Ngai wa biûyûûyû bienu, Ngai wa Îburaîmu, Isaka na Njakubu!’
ACT.7.33	Mwathani amwîra, ‘Ruta iraatû magûrû n'ûntû bantû agu ûrûngi i bantû aatheru. 
ACT.7.34	Indîîkîîtie kwona bûra antû baakwa bakûnyamaarîra Miisiri na imbîgîîtue bûra bagûkaya bûgana. Ndauma îgûrû mbûyîîte kûbakûûra. Kwoogu ka ngûtûme Miisiri.’
ACT.7.35	“Musa wooyu nwa we ûra antû baao baarî bakûmûrega bakîmûûragia, ‘N'ûû agûtuîkithîîtie mûnene wetû ûtûgambithia?’
ACT.7.36	N'we aarutire Aisiraeri ûkombooni bwa Miisiri akîonanagia magegania na akîringaga biama—barî Miisiri, bakîringa Îria Rîtuune, na bakûrûkîîrîîte rwanda kagiita ka mîanka mîrongo îna. 
ACT.7.37	I Musa wooyu eerire Aisiraeri, ‘Ngai akabûthuurîra kîroria kuuma wakîrî biû, wata bûra aanthuurire.’
ACT.7.38	Na nwa Musa wooyu eethîranîrîtwe i biûyûûyû bietû rwanda. Na nwa we mûraîka aariirie n'we Kîrîmaani gîa Sinaî, rîra eerwe biugo bia mwoyo, bira aatwere.
ACT.7.39	“Îndî biûyûûyû bietû bateendaga kûmwathîkîra. Baamûregire bauga i kaaba bagacooka Miisiri. 
ACT.7.40	Beera Arûni, ‘Tûrûthîre ngai ira igaatûtongoreeria rûgendooni n'ûntû tûtiiyî bûra Musa ûra aatûrutire Miisiri akarire.’
ACT.7.41	Kwoogu beerûthîra ngai îkari ta kayaû bamîrutîra kîgongwana, baakeneera gîntû gîa kûrûtha na njara ciao. 
ACT.7.42	Ngai aatigana na bo. Abarekeeria baromba nthata cia îgûrû, wata bûra kwandîkîîtwe mabukuuni ma iroria kwerwa,
ACT.7.42	‘Antû ba Isiraeri, ibwanthînjîîre nyamû
ACT.7.42	na bwandutîra îgongwana rwanda
ACT.7.42	kagiita ka mîanka mîrongo îna?
ACT.7.43	Bwakamatire îrema rîa ngai Moreki
ACT.7.43	na mûbuanaano wa ngai wenu wa nthata, Rebani,
ACT.7.43	birî ngai cienu cia mîbuanaano.
ACT.7.43	N'ûntû bwa ûgu, inkaabûtuîkithia atae Mbabironi.’
ACT.7.44	“Biûyûûyû bietû bakûrûkîîrîîte rwanda ibaarî na îrema rîa kwonania Ngai arî amwe na bo. Îrema rîru rîarûngamagua wabûra Musa oonetue i Ngai. 
ACT.7.45	Biûyûûyû bietû ibiarî na rîo bagûkinya Kaanani batongorereetue i Njocua. Mîgongo îra beethagîra, Ngai naamîngatagia bakathûkia nthîgûrû inu igatuîka ciao. Na wana kinya îgiita rîa Ndaundi nwa baarî na îrema rîru. 
ACT.7.46	Ndaundi naakeniirie Ngai. Aûria Ngai wa Njakubu amwîtîgîîrie amwakîre bantû a gûkara. 
ACT.7.47	Îndî i Soromoni aamwakîîre nyomba.
ACT.7.48	“Îndî Ngai ûra arî îgûrû mûno atikaraga nyomba cia gwakwa n'antû, wata bûra kîroria kîaugire,
ACT.7.49	‘Mwathani ariuga, “Îgûrû i gîtî gîakwa kîa ûnene
ACT.7.49	na nthîgûrû n'ûkinyo bwa magûrû maakwa.
ACT.7.49	I nyomba mbi bûûmbakîra, i kû bûkuuga nkarage?
ACT.7.50	Anga ti niû mbûmbîîte into bibi bionthe?” ’ ”
ACT.7.51	“Biû bûûmîîtie biongo mûno. Nkoro cienu ciûyûri wîrirîîria na bûûrîrîtie matû mûno. Bûtuatîîtie biûyûûyû bienu, bûkararagia Kîrundu Ûmûtheru rîonthe. 
ACT.7.52	Anga kûrî kîroria biûyûûyû bienu bitaanyamaaria? Biaûragire bara baaroririe tene babeera mantû ma kûûya kwa ûra mwagîru, naabi nyumaani bwamûnenkanîra aûragwa, 
ACT.7.53	na ingî nwa biû bweerirwe watho gûkûrûkîîra kîrî araîka, îndî amwe na ûgu bûtaabuathîkîra.”
ACT.7.54	Akîama bakwîgua ûgu, baamuntwa i nkoro, baathûûra mûno. 
ACT.7.55	Stibini naûyûrîîtwe i Kîrundu Ûmûtheru. Aacûûba îgûrû oona mwago wa Ngai na Yiesû arî rûteere rwa ûrîo rwa Ngai. 
ACT.7.56	Eera akîama babu, “Cûûbaani bwone! Inkwona îgûrû rîrugûkîîte na Mwana wa Muntû arî rûteere rwa ûrîo rwa Ngai.”
ACT.7.57	Akîama baûkia gîtuma, bainga matû. Bonthe baumbuthûkania na Stibini 
ACT.7.58	bamûruta taûni kaingo bamûûraga na maiga. Babu baarî bamûûrage baaruta nguo îra ndaaya
ACT.7.59	Bakîmûringangaga na maiga, Stibini aaromba auga, “Mwathani Yiesû, thûkia mwoyo wakwa!” 
ACT.7.60	Aaturia maru auga na inya, “Mwathani, ûtikaabatarîre meeyia mama.” Stibini akuuga ûgu, aakua. Mûthaka ûyu eetagwa Saûrû naagwatanîîre na antû babu.
ACT.8.1	Kuuma ntugû înu Stibini aûragirwe eetîgîri bara baarî Njerusaremu baanjîîria kûnyamaarua mûno. Banyagaarania bonthe baathi bwa Njundea na Samaria, tatiga atûmwa bonka. 
ACT.8.2	Antû bamwe baakuthûkaga Ngai baathûkia kiimba gîa Stibini baathika, baakara na kîeba kîînene. 
ACT.8.3	Saûrû aatua kûthîînia eetîgîri. Aathiyaga wakîra mûciî akabaruta nyomba bonthe, aka na arûme akabathaîkithia.
ACT.8.4	Eetîgîri babu bakûnyagaarania baathiire bagîtûmagîîria kiugo gûntû na gûntû. 
ACT.8.5	Ûmwe wao eetagwa Piripû aathi taûni ya Samaria aatûmîîria mantû ma Kîrîstû. 
ACT.8.6	Antû baingî beegua bwega mantû mara Piripû aaragia. Na wabathikîîrîîtie iboonaga biama bira aaringaga. 
ACT.8.7	Piripû neengatagia irundu biingî biithûûku bikauma kîrî bara beegagua barî na bio. Aabiîngatagia bikauma bigîkayaga na inya. Na nooriirie bionje biingî na ithua biingî. 
ACT.8.8	Ikwarî na gîkeno kîînene taûni înu.
ACT.8.9	Taûniini înu ikwarî na muntû eetagwa Simioni. Aaringaga biama akarigaria antû ba Samaria, akîboonagia aarî muntû wa gîtûmi. 
ACT.8.10	Bonthe baanene na baaniini ibaamwîtîgîîtie. Baugaga, “Ûyû n'we inya ya Ngai îra yîtagwa inya înene.” 
ACT.8.11	Baamwîtîgîîtie n'ûntû naabarigarîîtie na biama bibu aaringaga kwa îgiita rîraaya. 
ACT.8.12	Antû bagwîtîgia ntûmwa îra Piripû aabatûmîîrie îgûrû rîa ûnene bwa Ngai na mantû ma Yiesû Kîrîstû, baabaatithua bonthe, aka na arûme. 
ACT.8.13	Simioni wana we eetîgia. Akûbaatithua aatua kûthiyanagia na Piripû. Akwona biama biinene na iriga bira Piripû aaringaga, aarigara mûno.
ACT.8.14	Atûmwa bara baarî Njerusaremu bakwîgua antû ba Samaria ibeetîgîîre kiugo kîa Ngai, baatûma Petûrû na Njoana noogo. 
ACT.8.15	Petûrû na Njoana bakûûya baarombera eetîgîri babu kaingo beewa Kîrundu Ûmûtheru 
ACT.8.16	n'ûntû Kîrundu Ûmûtheru ataarî akûbeendamîîra. Îndî ibaarî bakûbaatithua kwa riîtwa rîa Mwathani Yiesû. 
ACT.8.17	Kwoogu, Petûrû na Njoana babaigîîra njara. Bonthe baagîa na Kîrundu Ûmûtheru.
ACT.8.18	Simioni akwona atûmwa baigîîra antû njara baagîa Kîrundu Ûmûtheru, eenda kwaa Petûrû na Njoana mbia. 
ACT.8.19	Abeera, “Mpaani inya înu na niû kaingo ûra nkaigîîra njara agîa Kîrundu Ûmûtheru.”
ACT.8.20	Petûrû amûcookeria amwîra, “Ûraûra na mbia ciaku, n'ûntû ûrîthûgaania wagûra kîewa kîa Ngai na mbia. 
ACT.8.21	Ûtirî ûmwe wetû ngûgîîni îno n'ûntû nkoro yaku îtigûkenia Ngai. 
ACT.8.22	Kwoogu îrire ûthûûku bûbû na ûrombe Ngai akûrekere îthûgaanio rîru ûrî na rîo nkorooni, rîîthûûku. 
ACT.8.23	Ndîgûcûûba ûgu nkoona ûrî na rûriitho mûno na ûtaîtwe i meeyia.”
ACT.8.24	Simioni eera Petûrû na Njoana, “Ndomberaani Mwathani bûrî biû ntikoone ûntû nwa bûmwe bwa mamu bwambîîra.”
ACT.8.25	Petûrû na Njoana beeyana ûkûûyî bwao kîrî antû baatûmîîria kiugo kîa Mwathani. Bakûthiria baacooka Njerusaremu wabagîtûmagîîria taûni inyingî cia Samaria.
ACT.8.26	Mûraîka wa Ngai aaria na Piripû amwira, “Îndama na barabara îra yumîîte Njerusaremu yakûrûkîîra rwanda îthiîte Gasa.” 
ACT.8.27	Piripû eendamîîte n'yo oona Mwethiopia ûmwe aarî ûmûkabe eenûkîîte aumîîte Njerusaremu kûromba Ngai. Aarî mûrûngamîîri wa mbia cia Kandaki, mûka ûra aathanaga nthîgûrû înu. 
ACT.8.28	Mwethiopia ûyu aakamatîîtwe i nkaarî ya mbaraathi akîthoomaga îbuku rîa kîroria Isaaya. 
ACT.8.29	Kîrundu eera Piripû, “Îthi nkaarîîni îîra.”
ACT.8.30	Piripû augia rwîro amûgwatagwata. Eegua mûnene ûyu akîthooma îbuku rîa kîroria Isaaya. Piripû amûûria, “Nûgûciûkîrwa i bûra ûkûthooma?”
ACT.8.31	Mûnene ûyu amûûria, “N'ata mbûmba gûciûkîrwa ntarî na muntû wa gûntaûrîra?” Eera Piripû atwe nkaarîîni bakare n'we.
ACT.8.32	Gîcuncî kîa *Maandîko Maatheru kîra aathoomaga kîaugaga,
ACT.8.32	“Aatongoreerue ta ng'ondu îthiîte kûthînjwa,
ACT.8.32	ta kagondu kamaarîîrîîte gakîenjwa guaya,
ACT.8.32	ataatumûra kanyua.
ACT.8.33	Aarûthîîrwe mantû ma îgi na ûmma bûtaathingatwa.
ACT.8.33	Gûtirî we auga naiyî nciarwa ciake
ACT.8.33	n'ûntû ntugû ciake cia aaga nthîgûrû iciathirire.”
ACT.8.34	Mwethiopia ûyu aûria Piripû, “Ingûkûûria, n'ûû kîroria gîkwarîîria aaga? I kîo kîongwa kana i muntû ûngî?” 
ACT.8.35	Piripû aanjîîria rwaria rwake na gîcuncî gîku, amwîra ntheto îmbega îgûrû rîa Yiesû.
ACT.8.36	Bathiîte baakinya bantû kwarî na rûûyî. Mwethiopia eera Piripû, “Ene, I rûûrû rûûyî. Ga kûrî kîo kîûmba kûndigîîria ntikaabaatithue?”
ACT.8.36	[
ACT.8.37	Piripû amwîra, “Bunka gwîtîgîîtie na nkoro yaku yonthe nwa ûbaatithue.”
ACT.8.37	Mwethiopia eera Piripû, “Ingwîtîgia Yiesû Kîrîstû i Mwana wa Ngai.”]
ACT.8.38	Mwethiopia auga nkaarî îrûngamue. Baathûngîra rûûyîîni na Piripû. Piripû amûbaatithia. 
ACT.8.39	Bakuuma rûûyîîni, Kîrundu wa Mwathani aathûkia Piripû. Mwethiopia ataamwona kaîrî. Aathi na mbere na rûgendo rwake akeneete. 
ACT.8.40	Piripû eebona arî taûni yeetagwa Asotas. Aanjîîria gûtûmîîria oogo, aathi na mbere agîtûmagîîria ntheto îmbega taûni cionthe mwanka aakinya taûni yeetagwa Kaisaria.
ACT.9.1	Mantû mamu magîtuîkîka, Saûrû nwa aathiîtagia kûûraga athingati ba Mwathani. Aathi kîrî mûthînjîri ûra mûnene wa Ngai 
ACT.9.2	amûûria amwe baarûa ciakûmûmenyithania *sinagoogiini cia Ndamasiki. Eendaga baarûa inu kaingo oona muntû arî mûthingati wa njîra ya Mwathani naagu Ndamasiki, amûreeta Njerusaremu arî ûmûthaîke, nwîgue i mûka aarî kana i muntû mûrûme.
ACT.9.3	Athiîte arî akubî gûkinya Ndamasiki, nthûti îmwe werû bwauma îgûrû bwamûthararîra nteere cionthe. 
ACT.9.4	Saûrû aagwa nthîgûrû. Eegua kayû kaaria n'we kauga, “Saûrû, Saûrû, i kî n'ûntû ûkûnnyamaaria?”
ACT.9.5	Saûrû aûria, “I woû ûû, mûnene?”
ACT.9.5	Kayû gaku kamwîra, “Ndî Yiesû ûra ûkûnyamaaria. 
ACT.9.6	Îndî amwe na ûgu, ûka ûthi taûni. Wakinya ûkeerwa bûra ûbatîîrue ûrûtha.”
ACT.9.7	Antû bara baathiyanîîtie na Saûrû baarûngi batarî na bwa kuuga. Ibeegiirue kayû, îndî gûtirî we boona.
