GEN.1.2	Ja maa oli autio ja tyhjä, ja pimeys oli syvyyden päällä, ja Jumalan Henki liikkui vetten päällä. 
PSA.94.8	ja te tomppelit — milloin te tulette järkiinne?
PSA.94.9	Joka on silmän luonut, hänkö ei näkisi?
PSA.94.10	Joka kansat kasvattaa, hänkö ei rankaisisi,
PSA.94.10	hän, joka ihmisille opettaa tiedon?
PSA.94.11	sillä he ovat kuin tuulen henkäys.
PSA.94.12	ja jolle sinä opetat lakisi,
PSA.94.13	kunnes jumalattomalle on kaivettu hauta!
PSA.94.14	Sillä Herra ei hylkää kansaansa
PSA.94.14	eikä perintöosaansa heitä,
PSA.94.15	ja kaikki oikeamieliset seuraavat sitä.
PSA.94.16	Kuka nousee minun puolelleni pahoja vastaan,
PSA.94.16	kuka asettuu minun rinnalleni väärintekijöitä vastaan?
PSA.94.17	pian minun sieluni asuisi hiljaisuuden maassa.
PSA.94.18	Kun minä ajattelen: "Minun jalkani horjuu",
PSA.94.18	niin sinun armosi, Herra, minua tukee.
PSA.94.19	niin sinun lohdutuksesi ilahuttaa minun sieluni.
PSA.94.20	Onko yhteyttä sinun kanssasi
PSA.94.20	turmion tuomioistuimella,
PSA.94.20	jossa väkivaltaa tehdään lain varjolla,
PSA.94.21	ahdistetaan vanhurskaan sielua
PSA.94.21	ja tuomitaan syylliseksi viaton veri?
PSA.94.22	Jumalani on minun suojakallioni.
PSA.94.23	Hän kostaa heille heidän ilkityönsä
PSA.94.23	ja hukuttaa heidät heidän pahuutensa tähden.
PSA.94.23	Herra, meidän Jumalamme, hukuttaa heidät.
PSA.95.1	riemuhuuto pelastuksemme kalliolle.
PSA.95.2	Käykäämme kiittäen hänen kasvojensa eteen,
PSA.95.2	veisatkaamme hänelle riemuvirsiä.
PSA.95.3	suuri kuningas yli kaikkien jumalien.
PSA.95.4	ja hänen ovat vuorten kukkulat.
PSA.95.5	Hänen on meri, sillä hän on sen tehnyt,
PSA.95.5	ja kuiva maa, jonka hänen kätensä ovat valmistaneet.
PSA.95.6	polvillemme langetkaamme
PSA.95.6	Herran, meidän Luojamme, eteen.
PSA.95.7	ja me olemme kansa, jota hän paimentaa,
PSA.95.7	lauma, jota hänen kätensä kaitsee.
PSA.95.7	Jospa te tänä päivänä kuulisitte hänen äänensä:
PSA.95.8	niinkuin Meribassa, niinkuin Massan päivänä erämaassa,
PSA.95.9	jossa he koettelivat minua,
PSA.95.9	vaikka olivat nähneet minun tekoni.
PSA.95.10	minä olin kyllästynyt siihen sukuun
PSA.95.10	ja sanoin: 'He ovat kansa, jonka sydän on eksynyt,
PSA.95.10	eivätkä he tahdo tietää minun teistäni'.
PSA.95.11	'He eivät pääse minun lepooni'."
PSA.96.1	veisatkaa Herralle, kaikki maa.
PSA.96.2	Julistakaa päivästä päivään hänen pelastustekojansa,
PSA.96.3	ilmoittakaa pakanain seassa hänen kunniaansa,
PSA.96.3	hänen ihmeitänsä kaikkien kansojen seassa.
PSA.96.4	hän on peljättävä yli kaikkien jumalain.
PSA.96.5	mutta Herra on tehnyt taivaat.
PSA.96.6	Herraus ja kunnia on hänen kasvojensa edessä,
PSA.96.6	kiitos ja ylistys hänen pyhäkössänsä.
PSA.96.7	antakaa Herralle kunnia ja väkevyys.
PSA.96.8	tuokaa lahjoja, tulkaa hänen esikartanoihinsa.
PSA.96.9	vaviskaa hänen kasvojensa edessä, kaikki maa.
PSA.96.10	Niin pysyy maanpiiri lujana, se ei horju.
PSA.96.10	Hän tuomitsee kansat oikeuden mukaan.
PSA.96.11	pauhatkoon meri ja kaikki, mitä siinä on.
PSA.96.12	Ihastukoot kedot ja kaikki, mitä kedolla on,
PSA.96.12	riemuitkoot silloin kaikki metsän puut
PSA.96.13	sillä hän tulee tuomitsemaan maata:
PSA.96.13	hän tuomitsee maanpiirin vanhurskaudessa
PSA.96.13	ja kansat uskollisuudessansa.
PSA.97.1	iloitkoot saaret, niin monta kuin niitä on.
PSA.97.2	vanhurskaus ja oikeus
PSA.97.2	on hänen valtaistuimensa perustus.
PSA.97.3	ja polttaa hänen vihollisensa, yltympäri.
PSA.97.4	Hänen salamansa valaisevat maanpiirin;
PSA.97.4	maa näkee sen ja vapisee.
PSA.97.5	kaiken maan Herran edessä.
PSA.97.6	ja kaikki kansat näkevät hänen kunniansa.
PSA.97.7	kaikki, jotka epäjumalista kerskaavat.
PSA.97.7	Kumartakaa häntä, kaikki jumalat.
PSA.97.8	ja Juudan tyttäret riemuitsevat
PSA.97.8	sinun tuomioistasi, Herra.
PSA.97.9	sinä olet ylen korkea,
PSA.97.9	ylitse kaikkien jumalain.
PSA.97.10	Hän varjelee hurskasten sielut,
PSA.97.10	jumalattomien kädestä hän heidät pelastaa.
PSA.97.11	ja oikeamielisille ilo.
PSA.97.12	kiittäkää hänen pyhää nimeänsä.
PSA.98.1	Veisatkaa Herralle uusi virsi,
PSA.98.1	sillä hän on ihmeitä tehnyt.
PSA.98.1	Hän on saanut voiton oikealla kädellänsä
PSA.98.1	ja pyhällä käsivarrellansa.
PSA.98.2	hän on ilmaissut vanhurskautensa
PSA.98.2	pakanain silmien edessä.
PSA.98.3	Israelin heimoa kohtaan;
PSA.98.3	kaikki maan ääret ovat nähneet
PSA.98.3	meidän Jumalamme pelastusteot.
PSA.98.4	iloitkaa ja riemuitkaa ja veisatkaa kiitosta.
PSA.98.5	Veisatkaa Herran kiitosta kanteleilla —
PSA.98.5	kanteleilla ja ylistysvirren sävelillä,
PSA.98.6	vaskitorvilla ja pasunan äänellä.
PSA.98.6	Kohottakaa riemuhuuto Herran, kuninkaan, edessä.
PSA.98.7	maanpiiri ja ne, jotka siinä asuvat.
PSA.98.8	Paukuttakoot käsiänsä virrat,
PSA.98.8	ja vuoret yhdessä riemuitkoot
PSA.98.9	sillä hän tulee tuomitsemaan maata.
PSA.98.9	Hän tuomitsee maanpiirin vanhurskaasti
PSA.98.9	ja kansat oikeuden mukaan.
PSA.99.1	hän, jonka valtaistuinta kerubit kannattavat —
PSA.99.1	huojukoon maa.
PSA.99.2	hän on korkea yli kaikkien kansojen.
PSA.99.3	Hän on pyhä.
PSA.99.4	että hän rakastaa oikeutta.
PSA.99.4	Sinä olet saattanut oikeuden voimaan,
PSA.99.4	sinä toimitat oikeuden ja vanhurskauden Jaakobissa.
PSA.99.5	kumartukaa hänen jalkainsa astinlaudan eteen.
PSA.99.5	Hän on pyhä.
PSA.99.6	ja Samuel niiden joukossa,
PSA.99.6	jotka avuksi huusivat hänen nimeänsä,
PSA.99.6	he huusivat Herraa, ja hän vastasi heille.
PSA.99.7	he noudattivat hänen todistuksiansa
PSA.99.7	ja käskyjä, jotka hän oli heille antanut.
PSA.99.8	Herra, meidän Jumalamme, sinä vastasit heille,
PSA.99.8	olit heille anteeksiantava Jumala,
PSA.99.8	vaikka sinä heidän pahat tekonsa kostit.
PSA.99.9	Ylistäkää Herraa, meidän Jumalaamme,
PSA.99.9	rukoilkaa kumartuneina hänen pyhää vuortansa kohti;
PSA.99.9	sillä Herra, meidän Jumalamme, on pyhä.
PSA.100.1	Kohottakaa riemuhuuto Herralle, kaikki maa.
PSA.100.2	tulkaa hänen kasvojensa eteen riemulla.
PSA.100.3	Hän on meidät tehnyt, ja hänen me olemme,
PSA.100.3	hänen kansansa ja hänen laitumensa lampaat.
PSA.100.4	hänen esikartanoihinsa ylistystä veisaten.
PSA.100.4	Ylistäkää häntä, kiittäkää hänen nimeänsä.
PSA.100.5	hänen armonsa pysyy iankaikkisesti
PSA.100.5	ja hänen uskollisuutensa polvesta polveen.
PSA.101.1	Daavidin virsi.
PSA.101.1	Minä veisaan armosta ja oikeudesta;
PSA.101.1	sinun ylistystäsi, Herra, minä laulan.
PSA.101.2	Minä tahdon noudattaa nuhteetonta vaellusta;
PSA.101.2	milloin tulet sinä minun tyköni?
PSA.101.2	Minä tahdon vaeltaa huoneessani
PSA.101.2	vilpittömällä sydämellä.
PSA.101.3	En kiinnitä silmääni siihen, mikä turmiollista on,
PSA.101.3	eksyttäväistä menoa minä vihaan:
PSA.101.3	ei saa se minuun tarttua.
PSA.101.4	Nurja sydän väistyköön minusta;
PSA.101.4	pahasta minä en tahdo tietää.
PSA.101.5	sen minä hukutan;
PSA.101.5	jolla on ylpeät silmät ja kopea sydän,
PSA.101.5	sitä minä en siedä.
PSA.101.6	että he asuisivat minua lähellä;
PSA.101.6	joka vaeltaa nuhteettomuuden tietä,
PSA.101.6	se on oleva minun palvelijani.
PSA.101.7	Vilpin tekijä älköön asuko minun huoneessani,
PSA.101.7	valheen puhuja ei kestä minun silmäini edessä.
PSA.101.8	kaikki jumalattomat maasta,
PSA.101.8	lopettaakseni kaikki väärintekijät
PSA.101.8	Herran kaupungista.
PSA.102.1	Kurjan rukous, kun hän on näännyksissä ja vuodattaa valituksensa Herran eteen.
PSA.102.2	Herra, kuule minun rukoukseni,
PSA.102.2	ja minun huutoni tulkoon sinun eteesi.
PSA.102.3	kun minulla on ahdistus,
PSA.102.3	kallista korvasi minun puoleeni.
PSA.102.3	Kun minä huudan, riennä ja vastaa minulle.
PSA.102.4	Sillä minun päiväni ovat haihtuneet kuin savu,
PSA.102.4	ja minun luitani polttaa niinkuin ahjossa.
PSA.102.5	Sydämeni on paahtunut ja kuivunut kuin ruoho,
PSA.102.5	sillä minä unhotan syödä leipääni.
PSA.102.6	minun luuni tarttuvat minun nahkaani.
PSA.102.7	Minä olen kuin pelikaani erämaassa,
PSA.102.7	olen kuin huuhkaja raunioissa.
PSA.102.8	Minä olen uneton,
PSA.102.8	olen kuin yksinäinen lintu katolla.
PSA.102.9	ne, jotka riehuvat minua vastaan,
PSA.102.9	kiroavat minun nimeni kautta.
PSA.102.10	ja sekoitan juomani kyyneleillä
PSA.102.11	sinun vihasi ja kiivastuksesi tähden,
PSA.102.11	sillä sinä olet nostanut minut ylös ja viskannut pois.
PSA.102.12	ja minä kuivun kuin ruoho.
PSA.102.13	sinun muistosi pysyy polvesta polveen.
PSA.102.14	Nouse ja armahda Siionia,
PSA.102.14	sillä aika on tehdä sille laupeus
PSA.102.14	ja määrähetki on tullut.
PSA.102.15	Sillä sen kivet ovat sinun palvelijoillesi rakkaat,
PSA.102.15	ja sen soraläjiä heidän on sääli.
PSA.102.16	Silloin pakanat pelkäävät Herran nimeä
PSA.102.16	ja kaikki maan kuninkaat sinun kunniaasi,
PSA.102.17	kun Herra rakentaa Siionin
PSA.102.17	ja ilmestyy kunniassansa,
PSA.102.18	kun hän kääntyy niiden rukouksen puoleen,
PSA.102.18	jotka ovat kaikkensa menettäneet,
PSA.102.18	eikä enää heidän rukoustansa hylkää.
PSA.102.19	ja kansa, joka vastedes luodaan, on kiittävä Herraa,
PSA.102.20	että hän katseli pyhästä korkeudestaan,
PSA.102.20	että Herra katsoi taivaasta maahan,
PSA.102.21	vapauttaaksensa kuoleman lapset,
PSA.102.22	jotta Siionissa julistettaisiin Herran nimeä
PSA.102.22	ja hänen ylistystänsä Jerusalemissa,
PSA.102.23	ja valtakunnat, palvelemaan Herraa.
PSA.102.24	Hän on lannistanut matkalla minun voimani,
PSA.102.24	on lyhentänyt minun päiväni.
PSA.102.25	kesken ikääni;
PSA.102.25	sinun vuotesi kestävät suvusta sukuun.
PSA.102.26	ja taivaat ovat sinun käsialasi.
PSA.102.27	ne vanhenevat kaikki kuin vaate;
PSA.102.27	sinä muutat ne, niinkuin vaatteet muutetaan,
PSA.102.27	ja ne muuttuvat.
PSA.102.28	Mutta sinä pysyt samana,
PSA.102.28	eivätkä sinun vuotesi lopu.
PSA.102.29	ja heidän jälkeläisensä pysyvät sinun edessäsi.
PSA.103.1	Daavidin virsi.
PSA.103.1	Kiitä Herraa, minun sieluni,
PSA.103.1	ja kaikki, mitä minussa on, hänen pyhää nimeänsä.
PSA.103.2	Kiitä Herraa, minun sieluni,
PSA.103.2	äläkä unhota, mitä hyvää hän on
PSA.103.2	sinulle tehnyt,
PSA.103.3	ja parantaa kaikki sinun sairautesi,
PSA.103.4	ja kruunaa sinut armolla ja laupeudella,
PSA.103.5	niin että sinun nuoruutesi uudistuu kuin kotkan.
PSA.103.6	ja hankkii oikeuden kaikille sorretuille.
PSA.103.7	Israelin lapsille suuret tekonsa.
PSA.103.8	pitkämielinen ja suuri armossa.
PSA.103.9	eikä pidä vihaa iankaikkisesti.
PSA.103.10	Ei hän tee meille syntiemme mukaan
PSA.103.10	eikä kosta meille pahain tekojemme mukaan.
PSA.103.11	niin voimallinen on hänen armonsa
PSA.103.11	niitä kohtaan, jotka häntä pelkäävät.
PSA.103.12	Niin kaukana kuin itä on lännestä,
PSA.103.12	niin kauas hän siirtää meistä rikkomuksemme.
PSA.103.13	niin Herrakin armahtaa pelkääväisiänsä.
PSA.103.14	minkäkaltaista tekoa me olemme:
PSA.103.14	hän muistaa meidät tomuksi.
PSA.103.15	hän kukoistaa niinkuin kukkanen kedolla.
PSA.103.16	ei häntä enää ole,
PSA.103.16	eikä hänen asuinsijansa häntä enää tunne.
PSA.103.17	iankaikkisesta iankaikkiseen
PSA.103.17	niille, jotka häntä pelkäävät,
PSA.103.17	ja hänen vanhurskautensa lasten lapsille,
PSA.103.18	niille, jotka pitävät hänen liittonsa
PSA.103.18	ja muistavat hänen käskynsä ja noudattavat niitä.
PSA.103.19	Herra on pystyttänyt istuimensa taivaisiin,
PSA.103.19	ja hänen kuninkuutensa hallitsee kaikkia.
PSA.103.20	te väkevät sankarit, jotka hänen käskynsä täytätte,
PSA.103.20	kun kuulette hänen sanansa äänen.
PSA.103.21	te hänen palvelijansa, jotka hänen tahtonsa teette.
PSA.103.22	Kiittäkää Herraa, kaikki hänen tekonsa,
PSA.103.22	hänen valtakuntansa kaikissa paikoissa.
PSA.103.22	Kiitä, minun sieluni, Herraa.
PSA.104.1	Kiitä Herraa, minun sieluni,
PSA.104.1	Herra, minun Jumalani, sinä olet ylen suuri;
PSA.104.1	valkeus ja kirkkaus on sinun pukusi.
PSA.104.2	sinä levität taivaat niinkuin teltan;
PSA.104.3	teet pilvet vaunuiksesi
PSA.104.3	ja kuljet tuulen siivillä.
PSA.104.4	palvelijoiksesi tulen liekit.
PSA.104.5	niin että se pysyy horjumatta iankaikkisesti.
PSA.104.6	Sinä peitit sen syvyyden vesillä kuin vaatteella:
PSA.104.6	vuoria ylempänä seisoivat vedet.
PSA.104.7	Mutta ne pakenivat sinun nuhteluasi,
PSA.104.7	sinun jylinääsi ne juoksivat pakoon;
PSA.104.8	vuoret kohosivat ja laaksot laskeutuivat
PSA.104.8	paikkoihin, jotka sinä olit niille valmistanut.
PSA.104.9	eivätkä palaja peittämään maata.
PSA.104.10	jotka vuorten välillä vuotavat.
PSA.104.11	Ne antavat juoman kaikille metsän eläimille,
PSA.104.11	villiaasit niistä janonsa sammuttavat.
PSA.104.12	Niiden partailla asuvat taivaan linnut
PSA.104.12	ja visertävät lehvien välissä.
PSA.104.13	Saleistasi sinä kastelet vuoret,
PSA.104.13	sinun töittesi hedelmistä maa saa ravintonsa.
PSA.104.14	ja kasvit ihmisen tarpeeksi.
PSA.104.14	Niin sinä tuotat maasta leivän
PSA.104.15	niin sinä saatat kasvot öljystä kiiltäviksi,
PSA.104.15	ja leipä vahvistaa ihmisen sydäntä.
PSA.104.16	Ravintonsa saavat myös Herran puut,
PSA.104.16	Libanonin setrit, jotka hän on istuttanut.
PSA.104.17	Niissä lintuset pesivät,
PSA.104.17	ja haikaroilla on majansa kypresseissä.
PSA.104.18	Korkeat vuoret ovat kauristen hallussa,
PSA.104.18	kallionkolot ovat tamaanien suoja.
PSA.104.19	aurinko tietää laskunsa.
PSA.104.20	Sinä teet pimeän, niin tulee yö;
PSA.104.20	silloin lähtevät liikkeelle kaikki metsän eläimet.
PSA.104.21	ja pyytävät Jumalalta elatustansa.
PSA.104.22	Aurinko nousee, ne vetäytyvät pois
PSA.104.22	ja laskeutuvat luoliinsa maata.
PSA.104.23	Silloin ihminen menee töihinsä
PSA.104.23	ja askaroitsee iltaan asti.
PSA.104.24	Kuinka moninaiset ovat sinun tekosi, Herra!
PSA.104.24	Sinä olet ne kaikki viisaasti tehnyt,
PSA.104.24	maa on täynnä sinun luotujasi.
PSA.104.25	Merikin, suuri ja aava —
PSA.104.25	siinä vilisee lukemattomat laumat
PSA.104.25	pieniä ja suuria eläviä.
PSA.104.26	siellä Leviatan, jonka sinä olet luonut siinä leikitsemään.
PSA.104.27	että antaisit heille ruuan ajallansa.
PSA.104.28	sinä avaat kätesi, ja ne ravitaan hyvyydellä.
PSA.104.29	sinä otat pois niiden hengen, ne kuolevat
PSA.104.29	ja palajavat tomuun jälleen.
PSA.104.30	ja sinä uudistat maan muodon.
PSA.104.31	Pysyköön Herran kunnia iankaikkisesti.
PSA.104.31	Saakoon Herra teoistansa iloita,
PSA.104.32	joka koskettaa vuoria, ja ne suitsuavat.
PSA.104.33	minä veisaan Jumalani kiitosta, niin kauan kuin elän.
PSA.104.34	minä iloitsen Herrassa.
PSA.104.35	Hävitkööt syntiset maasta,
PSA.104.35	älköön jumalattomia enää olko.
PSA.104.35	Kiitä Herraa, minun sieluni. Halleluja!
PSA.105.1	tehkää hänen suuret tekonsa tiettäviksi
PSA.105.1	kansojen keskuudessa.
PSA.105.2	Laulakaa hänelle, veisatkaa hänelle,
PSA.105.2	puhukaa kaikista hänen ihmeistänsä.
PSA.105.3	Hänen pyhä nimensä
PSA.105.3	olkoon teidän kerskauksenne;
PSA.105.3	iloitkoon niiden sydän, jotka etsivät Herraa.
PSA.105.4	Kysykää Herraa ja hänen voimaansa,
PSA.105.4	etsikää alati hänen kasvojansa.
PSA.105.5	Muistakaa hänen ihmetöitänsä,
PSA.105.5	jotka hän on tehnyt,
PSA.105.5	hänen ihmeitänsä ja hänen suunsa tuomioita,
PSA.105.6	te Aabrahamin, hänen palvelijansa, siemen,
PSA.105.6	Jaakobin lapset, te hänen valittunsa.
PSA.105.7	Hän, Herra, on meidän Jumalamme;
PSA.105.7	hänen tuomionsa käyvät yli kaiken maan.
PSA.105.8	säätämänsä sanan hamaan tuhansiin polviin,
PSA.105.9	ja Iisakille vannomansa valan.
PSA.105.10	Israelille iankaikkiseksi liitoksi.
PSA.105.11	Hän sanoi: "Sinulle minä annan Kanaanin maan,
PSA.105.11	se olkoon teidän perintöosanne".
PSA.105.12	Heitä oli vähäinen joukko,
PSA.105.12	vain harvoja, ja he olivat muukalaisia siellä.
PSA.105.13	ja yhdestä valtakunnasta toiseen kansaan.
PSA.105.14	ja hän rankaisi kuninkaita heidän tähtensä:
PSA.105.15	"Älkää koskeko minun voideltuihini,
PSA.105.15	älkää tehkö pahaa minun profeetoilleni".
PSA.105.16	Ja kun hän kutsui nälänhädän maahan
PSA.105.16	ja kokonaan mursi leivän tuen,
PSA.105.17	Joosef oli myyty orjaksi.
PSA.105.18	hän joutui rautoihin,
PSA.105.19	siksi kunnes hänen sanansa kävi toteen
PSA.105.19	ja Herran puhe osoitti hänet puhtaaksi.
PSA.105.20	kansojen hallitsija laski hänet irti.
PSA.105.21	ja kaiken omaisuutensa haltijaksi,
PSA.105.22	sitomaan mielensä mukaan hänen ruhtinaitansa
PSA.105.22	ja opettamaan viisautta vanhimmille.
PSA.105.23	Jaakob muukalaiseksi Haamin maahan.
PSA.105.24	ja väkevämmäksi heidän vihamiehiänsä.
PSA.105.25	vihaamaan hänen kansaansa,
PSA.105.25	kavalasti kohtelemaan hänen palvelijoitaan.
PSA.105.26	ja Aaronin, jonka hän oli valinnut.
PSA.105.27	heidän keskellään,
PSA.105.27	tekivät ihmeitä Haamin maassa.
PSA.105.28	eivätkä he vastustaneet hänen sanojansa.
PSA.105.29	ja kuoletti heiltä kalat.
PSA.105.30	aina kuningasten kammioita myöten.
PSA.105.31	ja sääskiä koko heidän alueellensa.
PSA.105.32	tulen leimauksia heidän maahansa.
PSA.105.33	Ja hän hävitti heidän viini- ja viikunapuunsa
PSA.105.33	ja murskasi puut heidän alueeltansa.
PSA.105.34	ja tuhosirkkoja lukematon joukko;
PSA.105.35	ne söivät kaiken ruohon heidän maastansa,
PSA.105.35	söivät hedelmän heidän vainioiltansa.
PSA.105.36	kaikki heidän miehuutensa ensimmäiset.
PSA.105.37	varustettuna hopealla ja kullalla,
PSA.105.37	eikä ollut hänen sukukunnissaan kompastuvaista.
PSA.105.38	Egypti iloitsi heidän lähdöstänsä,
PSA.105.38	koska sen oli vallannut pelko heidän tähtensä.
PSA.105.39	ja tulen valaisemaan yötä.
PSA.105.40	ja hän ravitsi heitä taivaan leivällä.
PSA.105.41	se juoksi virtana kautta erämaan.
PSA.105.42	Sillä hän muisti pyhän sanansa,
PSA.105.42	muisti Aabrahamia, palvelijaansa.
PSA.105.43	Niin hän vei kansansa pois sen iloitessa,
PSA.105.43	valittunsa heidän riemuitessaan.
PSA.105.44	Ja hän antoi heille pakanain maat,
PSA.105.44	ja he ottivat omaksensa kansojen vaivannäöt,
PSA.105.45	ja ottaisivat hänen laeistansa vaarin. Halleluja!
PSA.106.1	sillä hänen armonsa pysyy iankaikkisesti.
PSA.106.2	julistaa kaiken hänen ylistyksensä?
PSA.106.3	Autuaat ne, jotka noudattavat oikeutta,
PSA.106.3	jotka aina tekevät vanhurskauden!
PSA.106.4	Muista minua, Herra, armolla,
PSA.106.4	jota kansallesi osoitat,
PSA.106.4	etsi minua avullasi,
PSA.106.5	että minä näkisin sinun valittujesi onnen,
PSA.106.5	iloitsisin sinun kansasi ilolla,
PSA.106.5	kerskaisin sinun perintöosasi kanssa.
PSA.106.6	me olemme pahoin tehneet ja olleet jumalattomat.
PSA.106.7	painaneet mieleensä sinun ihmeitäsi,
PSA.106.7	eivät muistaneet sinun monia armotekojasi,
PSA.106.7	vaan niskoittelivat meren rannalla,
PSA.106.7	Kaislameren rannalla.
PSA.106.8	Kuitenkin hän pelasti heidät nimensä tähden,
PSA.106.8	tehdäkseen voimansa tiettäväksi.
PSA.106.9	Hän kuljetti heitä syvyyksissä niinkuin erämaassa.
PSA.106.10	Hän pelasti heidät vihamiehen kädestä
PSA.106.10	ja lunasti heidät vihollisen vallasta.
PSA.106.11	Vedet peittivät heidän ahdistajansa,
PSA.106.11	ei yhtäkään niistä jäänyt jäljelle.
PSA.106.12	veisasivat hänen ylistystään.
PSA.106.13	Mutta pian he unhottivat hänen tekonsa
PSA.106.13	eivätkä odottaneet hänen neuvoansa.
PSA.106.14	ja he kiusasivat Jumalaa autiossa maassa.
PSA.106.15	mutta lähetti heihin hivuttavan taudin.
PSA.106.16	ja Aaronia, Herran pyhää, vastaan.
PSA.106.17	ja peitti Abiramin joukkion.
PSA.106.18	Ja heidän joukkiossaan syttyi tuli,
PSA.106.18	liekki poltti jumalattomat.
PSA.106.19	ja kumarsivat valettua kuvaa;
PSA.106.20	ruohoa syövän härän kuvaan.
PSA.106.21	He unhottivat Jumalan, pelastajansa,
PSA.106.21	joka oli tehnyt Egyptissä suuria tekoja,
PSA.106.22	peljättäviä tekoja Kaislameren rannalla.
PSA.106.23	mutta Mooses, hänen valittunsa,
PSA.106.23	seisoi suojana hänen edessään
PSA.106.23	ja käänsi pois hänen vihansa tuhoa tuottamasta.
PSA.106.24	eivätkä uskoneet hänen sanaansa.
PSA.106.25	He napisivat teltoissansa
PSA.106.25	eivätkä kuulleet Herran ääntä.
PSA.106.26	kaataakseen heidät erämaassa,
PSA.106.27	ja hajottaakseen heidät pakanamaihin.
PSA.106.28	ja söivät kuolleitten jumalien uhreja.
PSA.106.29	He vihoittivat hänet teoillansa,
PSA.106.29	ja niin vitsaus alkoi riehua heidän keskuudessaan.
PSA.106.30	ja pani tuomion toimeen,
PSA.106.30	ja vitsaus taukosi.
PSA.106.31	polvesta polveen, iankaikkisesti.
PSA.106.32	ja Mooseksen kävi pahoin heidän tähtensä.
PSA.106.33	ja hän puhui huulillaan ajattelemattomasti.
PSA.106.34	jotka Herra oli käskenyt heidän hävittää,
PSA.106.35	ja oppivat heidän tekonsa.
PSA.106.36	He palvelivat heidän jumalankuviansa,
PSA.106.36	ja niistä tuli heille paula.
PSA.106.37	ja tyttäriänsä riivaajille.
PSA.106.38	poikiensa ja tyttäriensä verta,
PSA.106.38	uhraten heidät Kanaanin epäjumalille,
PSA.106.38	ja maa saastui veriveloista.
PSA.106.39	Näin he saastuttivat itsensä töillään
PSA.106.39	ja olivat haureelliset teoissansa.
PSA.106.40	Ja Herran viha syttyi hänen kansaansa vastaan,
PSA.106.40	ja hän kyllästyi perintöosaansa.
PSA.106.41	ja heidän vihamiehensä vallitsivat heitä.
PSA.106.42	Heidän vihollisensa ahdistivat heitä,
PSA.106.42	ja heidän täytyi painua niiden käden alle.
PSA.106.43	Monet kerrat hän pelasti heidät,
PSA.106.43	mutta he olivat uppiniskaiset omassa neuvossaan
PSA.106.43	ja sortuivat pahain tekojensa tähden.
PSA.106.44	Mutta hän katsoi heihin heidän ahdistuksessaan,
PSA.106.44	kun hän kuuli heidän valitushuutonsa.
PSA.106.45	ja armahti heitä suuressa laupeudessansa.
PSA.106.46	Ja hän salli heidän saada armon kaikilta,
PSA.106.46	jotka olivat vieneet heidät vankeuteen.
PSA.106.47	ja kokoa meidät pakanain seasta,
PSA.106.47	että me kiittäisimme sinun pyhää nimeäsi
PSA.106.47	ja kerskauksemme olisi,
PSA.106.47	että me sinua ylistämme.
PSA.106.48	iankaikkisesta iankaikkiseen.
PSA.106.48	Ja kaikki kansa sanokoon: "Amen. Halleluja!"
PSA.107.1	sillä hänen armonsa pysyy iankaikkisesti.
PSA.107.2	jotka hän on lunastanut ahdistuksen alta
PSA.107.3	idästä ja lännestä, pohjoisesta ja meren puolelta.
PSA.107.4	autiossa, tiettömässä maassa,
PSA.107.4	löytämättä asuttua kaupunkia.
PSA.107.5	Heidän oli nälkä ja jano,
PSA.107.5	heidän sielunsa nääntyi heissä.
PSA.107.6	Mutta hädässänsä he huusivat Herraa,
PSA.107.6	ja hän pelasti heidät heidän ahdistuksistaan.
PSA.107.7	niin että he pääsivät asuttuun kaupunkiin.
PSA.107.8	Kiittäkööt he Herraa hänen armostansa,
PSA.107.8	hänen ihmeellisistä teoistaan ihmislapsia kohtaan.
PSA.107.9	Sillä hän ravitsee nääntyvän sielun
PSA.107.9	ja täyttää nälkäisen sielun hyvyydellä.
PSA.107.10	vangittuina kurjuuteen ja rautoihin,
PSA.107.11	ja katsoneet halvaksi Korkeimman neuvon.
PSA.107.12	Hän masensi heidän sydämensä kärsimyksellä;
PSA.107.12	he sortuivat, eikä ollut auttajaa.
PSA.107.13	Mutta hädässänsä he huusivat Herraa,
PSA.107.13	ja hän pelasti heidät heidän ahdistuksistaan.
PSA.107.14	hän katkaisi heidän kahleensa.
PSA.107.15	Kiittäkööt he Herraa hänen armostansa
PSA.107.15	ja hänen ihmeellisistä teoistaan ihmislapsia kohtaan.
PSA.107.16	Sillä hän särkee vaskiset ovet
PSA.107.16	ja rikkoo rautaiset salvat.
PSA.107.17	He olivat hulluja,
PSA.107.17	sillä heidän vaelluksensa oli syntinen,
PSA.107.17	ja he kärsivät vaivaa pahojen tekojensa tähden.
PSA.107.18	ja he olivat lähellä kuoleman portteja.
PSA.107.19	Mutta hädässänsä he huusivat Herraa,
PSA.107.19	ja hän pelasti heidät heidän ahdistuksistaan.
PSA.107.20	Hän lähetti sanansa ja paransi heidät
PSA.107.20	ja pelasti heidät haudasta.
PSA.107.21	Kiittäkööt he Herraa hänen armostansa
PSA.107.21	ja hänen ihmeellisistä teoistaan ihmislapsia kohtaan.
PSA.107.22	ja kertokoot riemuiten hänen töitään.
PSA.107.23	He lähtivät laivoilla merelle
PSA.107.23	ja kävivät kauppaa suurilla vesillä.
PSA.107.24	He näkivät Herran työt
PSA.107.24	ja hänen ihmeelliset tekonsa meren syvyyksissä.
