GEN.1.2	Maa oli autio ja tyhjä, pimeys peitti syvyydet, ja Jumalan henki liikkui vetten yllä.
ISA.38.10	minun on mentävä pois.
ISA.38.10	Tuonelan porttien tuolla puolen
ISA.38.10	joudun viettämään ne vuodet,
ISA.38.10	jotka minulta jäivät elämättä.
ISA.38.11	Minä ajattelin:
ISA.38.11	En enää saa nähdä Herraa
ISA.38.11	elävien maassa,
ISA.38.11	en enää katsella ihmisiä
ISA.38.11	maailman asukkaiden parissa.
ISA.38.12	Kuin paimenen teltta
ISA.38.12	minun majani puretaan ja viedään pois.
ISA.38.12	Kuin kutoja minä olen kiertänyt loppuun elämäni kankaan,
ISA.38.12	ja nyt minut leikataan loimilangoista irti.
ISA.38.12	Koko päiväksi sinä jätit minut yksin, yöhön saakka,
ISA.38.13	aamuun mennessä ovat voimani lopussa.
ISA.38.13	Kuin leijona raatelisi minut, ruhjoisi kaikki luuni.
ISA.38.13	Koko päiväksi sinä jätit minut yksin, yöhön saakka.
ISA.38.14	Minun ääneni vinkuu kuin tervapääskyn ääni,
ISA.38.14	kyyhkysen tavoin minä valitan ja vaikerran.
ISA.38.14	Minun silmäni väsyivät tähytessään korkeuteen.
ISA.38.14	Herra, minä olen ahdingossa, auta minut siitä.
ISA.38.15	Mitä minä puhun hänelle, mitä minä sanon
ISA.38.15	hänelle, joka on kaiken tämän tehnyt?
ISA.38.15	Mielessäni minä käyn lävitse elämäni vuodet
ISA.38.15	sydämessäni murhe.
ISA.38.16	Herra,
ISA.38.16	minun sydämeni elää sinulle,
ISA.38.16	anna rauha hengelleni,
ISA.38.16	vahvista minua, tee minut terveeksi!
ISA.38.17	kääntyy parhaakseni.
ISA.38.17	Sinä pelastat minut
ISA.38.17	kuoleman kuilusta.
ISA.38.17	Selkäsi taakse sinä heität
ISA.38.17	kaikki minun syntini.
ISA.38.18	eikä kuolema sinua ylistä!
ISA.38.18	Ne, jotka syvyyteen joutuvat,
ISA.38.18	eivät voi turvautua uskollisuuteesi.
ISA.38.19	niin kuin minä tänään ylistän!
ISA.38.19	Isä kertoo lapsilleen
ISA.38.19	sinun uskollisuudestasi.
ISA.38.20	hänen ylistystään soi meidän soittomme
ISA.38.20	hänen pyhäkössään
ISA.38.20	kaikkina elämämme päivinä.
ISA.38.21	Sitten Jesaja sanoi: »Tuokaa viikunakakku ja hierokaa sillä paisetta, niin hän toipuu.» 
ISA.38.22	Ja Hiskia kysyi Jesajalta: »Mikä on merkkinä siitä, että vielä saan astua Herran temppeliin?»
ISA.39.2	Hiskia ilahtui lähettiläiden tulosta ja lahjoista ja näytti heille aarrekammionsa, hopean ja kullan, hajusteet ja hienot öljyt, koko asevarastonsa ja kaiken muunkin arvokkaan, mitä hän omisti. Mitään hän ei jättänyt heille näyttämättä, ei palatsissaan eikä koko valtakunnassa.
ISA.39.3	Mutta profeetta Jesaja tuli kuningas Hiskian luo ja kysyi: »Mitä noilla miehillä oli asiaa? Mistä he ovat tulleet tänne?» »He ovat tulleet kaukaisesta maasta, Babyloniasta», Hiskia vastasi. 
ISA.39.4	»Mitä olet näyttänyt heille, kun he ovat olleet vierainasi?» kysyi Jesaja. »Kaiken», Hiskia vastasi. »Olen näyttänyt heille kaiken, mitä palatsissani on. Aarrekammioissani ei ole mitään, mitä en olisi näyttänyt heille.»
ISA.39.5	Tämän kuultuaan Jesaja sanoi Hiskialle: »Kuule Herran Sebaotin sana! 
ISA.39.6	Tulee päivä, jolloin kaikki, mitä sinun talossasi on ja mitä jo isäsi ovat aikoinaan keränneet, viedään Babyloniin. Mitään ei jää jäljelle, sanoo Herra. 
ISA.39.7	Sinun poikiasi, omia jälkeläisiäsi, viedään silloin hovipalvelijoiksi Babylonian kuninkaan palatsiin.»
ISA.39.8	Hiskia vastasi Jesajalle: »Hyvä on Herran sana, jonka olet ilmoittanut.» Itsekseen hän näet ajatteli: »Onhan sentään rauha ja vakaat olot minun päivinäni.»
ISA.40.1	– Lohduttakaa, lohduttakaa minun kansaani,
ISA.40.1	sanoo teidän Jumalanne.
ISA.40.2	Puhukaa lempeästi Jerusalemille
ISA.40.2	ja kertokaa sille,
ISA.40.2	että sen pakkotyö on päättynyt,
ISA.40.2	että sen syyllisyys on sovitettu,
ISA.40.2	sillä kaksin verroin on Herran käsi sitä kurittanut
ISA.40.2	kaikista sen synneistä.
ISA.40.3	– Raivatkaa autiomaahan
ISA.40.3	Herralle tie!
ISA.40.3	Tasoittakaa yli aron
ISA.40.3	valtatie meidän Jumalallemme!
ISA.40.4	Täyttykööt notkot,
ISA.40.4	alentukoot huiput,
ISA.40.4	mäet madaltukoot,
ISA.40.4	vuorten louhikot tasoittukoot!
ISA.40.5	Herran kunnia ilmestyy,
ISA.40.5	kaikki saavat sen nähdä.
ISA.40.5	Näin on Herra puhunut.
ISA.40.6	– Julista!
ISA.40.6	Ja minä kysyn:
ISA.40.6	– Mitä minun pitää julistaa?
ISA.40.6	– Ihminen on kuin ruoho,
ISA.40.6	ihmisen kauneus kuin kedon kukka!
ISA.40.7	Ruoho kuivuu, kukka lakastuu,
ISA.40.7	kun Herran henkäys koskettaa sitä.
ISA.40.7	Niin! Ruohoa ovat ihmiset.
ISA.40.8	mutta meidän Jumalamme sana pysyy iäti.
ISA.40.9	ilosanoman tuoja!
ISA.40.9	Korota äänesi, Jerusalem,
ISA.40.9	ilosanoman saattaja!
ISA.40.9	Korota äänesi, älä pelkää!
ISA.40.9	Julista Juudan kaupungeille:
ISA.40.9	– Teidän Jumalanne tulee!
ISA.40.10	hän hallitsee vahvalla kädellään.
ISA.40.10	Hän kuljettaa mukanaan työnsä palkkaa,
ISA.40.10	johdattaa laumaa, jonka on omakseen hankkinut,
ISA.40.11	omin käsin hän kokoaa sen yhteen.
ISA.40.11	Karitsoita hän kantaa sylissään,
ISA.40.11	emolampaita hän ohjailee eteenpäin.
ISA.40.12	kuka kämmenensä leveydellä taivaat?
ISA.40.12	Kenen mittakuppiin mahtui kaikki maan tomu,
ISA.40.12	kenen vaaka punnitsi vuoret ja kukkulat?
ISA.40.13	kuka neuvonut ja opettanut häntä?
ISA.40.14	Kenen kanssa hän on neuvotellut,
ISA.40.14	kuka on antanut hänelle ohjeita?
ISA.40.14	Kuka on johtanut hänet oikeuden poluille
ISA.40.14	ja opettanut häntä,
ISA.40.14	kuka osoittanut hänelle viisauden tien?
ISA.40.15	kuin tomuhiukkanen vaa’assa.
ISA.40.15	Meren saaret painavat hiekkajyvän verran.
ISA.40.16	Libanonin metsät eivät riittäisi uhritulen polttopuiksi
ISA.40.16	eivätkä kaikki sen eläimet Herralle uhriksi.
ISA.40.17	Hänen edessään maailman kansat eivät ole mitään,
ISA.40.17	ne ovat hänelle pelkkää tyhjää.
ISA.40.18	mikä voisi häntä kuvata?
ISA.40.19	ja kultaseppä päällystää sen kullalla
ISA.40.19	ja takoo sille hopeiset ketjut.
ISA.40.19	 He auttavat toinen toistaan
ISA.40.19	ja sanovat toisilleen: »Pidä kiinni!»
ISA.40.19	 Ja takoja auttaa kultaseppää,
ISA.40.19	vasaranheiluttaja alasinmiestä.
ISA.40.19	Hän sanoo saumasta: »Nyt on hyvä»,
ISA.40.19	ja vahvistaa sen niiteillä, ettei se liiku.
ISA.40.20	Jonka varat eivät riitä suuriin kustannuksiin,
ISA.40.20	hän valikoi vain kappaleen lahoamatonta puuta
ISA.40.20	ja etsii käsiinsä taitavan mestarin
ISA.40.20	veistämään patsaan, joka pysyy tukevasti pystyssä.
ISA.40.21	Ettekö te mitään tiedä, ettekö ole kuulleet,
ISA.40.21	eikö teille ole kerrottu tätä alusta alkaen?
ISA.40.21	Ettekö ole oppineet ymmärtämään,
ISA.40.21	miten maailma on saanut alkunsa?
ISA.40.22	maan asukkaat ovat hänelle kuin heinäsirkkoja.
ISA.40.22	Hän leväytti auki taivaan kuin kankaan
ISA.40.22	ja jännitti sen kuin teltan asuttavaksi.
ISA.40.23	tyhjää ovat hänelle maan valtiaat:
ISA.40.24	tuskin heidät on istutettu, tuskin kylvetty,
ISA.40.24	tuskin vesat ovat juurtuneet,
ISA.40.24	kun hän jo henkäisee, ja he kuihtuvat
ISA.40.24	ja myrskytuuli vie heidät mukaansa kuin oljenkorret.
ISA.40.25	– Mihin te minua vertaisitte? Kuka on minun kaltaiseni?
ISA.40.25	kysyy Pyhä.
ISA.40.26	kuka on tämän kaiken luonut?
ISA.40.26	Hän, joka kutsuu esiin taivaan joukot
ISA.40.26	täydessä vahvuudessaan,
ISA.40.26	hän, joka tuntee ne nimeltä, joka ainoan.
ISA.40.26	Suuri on hänen väkevyytensä, valtaisa hänen voimansa:
ISA.40.26	yksikään joukosta ei jää pois.
ISA.40.27	Miksi valitat, Jaakob,
ISA.40.27	Israel, miksi puhut näin:
ISA.40.27	– Ei ole Herra nähnyt elämäni taivalta,
ISA.40.27	minun asiastani ei Jumala välitä.
ISA.40.28	Etkö jo ole oppinut,
ISA.40.28	etkö ole kuullut,
ISA.40.28	että Herra on ikuinen Jumala,
ISA.40.28	koko maanpiirin luoja?
ISA.40.28	Ei hän väsy, ei uuvu,
ISA.40.28	tutkimaton on hänen viisautensa.
ISA.40.29	Hän virvoittaa väsyneen
ISA.40.29	ja antaa heikolle voimaa.
ISA.40.30	Nuoretkin väsyvät ja nääntyvät,
ISA.40.30	nuorukaiset kompastelevat ja kaatuvat,
ISA.40.31	he kohoavat siivilleen kuin kotkat.
ISA.40.31	He juoksevat eivätkä uuvu,
ISA.40.31	he vaeltavat eivätkä väsy.
ISA.41.1	Kuulkaa, kansakunnat! Tulkaa,
ISA.41.1	astukaa esiin ja puhukaa,
ISA.41.1	ryhtykäämme yhdessä käymään oikeutta.
ISA.41.2	kulkemaan voitosta voittoon?
ISA.41.2	Kuka jättää kansat hänen armoilleen
ISA.41.2	ja alistaa kuninkaat hänen valtaansa?
ISA.41.2	Miekallaan hän muuttaa heidät tomuksi,
ISA.41.2	jousellaan tuulen ajelemiksi akanoiksi.
ISA.41.3	Hän ajaa heitä takaa, etenee kenenkään uhkaamatta
ISA.41.3	jalat tuskin tiehen koskien.
ISA.41.4	Hän, joka alusta alkaen on kutsunut sukupolvet elämään.
ISA.41.4	Minä, Herra, olen ensimmäinen,
ISA.41.4	ja viimeistenkin keskellä olen sama.
ISA.41.5	Kaukaiset rannat ovat nähneet tämän, ne pelkäävät,
ISA.41.5	maa vapisee äärestä ääreen.
ISA.41.5	»Ne lähestyvät, ne tulevat tänne!»
ISA.41.8	Jaakob, sinä jonka olen valinnut,
ISA.41.8	sinä, ystäväni Abrahamin siemen,
ISA.41.9	jonka minä toin maan ääristä
ISA.41.9	ja kutsuin kaukaisimmista kolkista,
ISA.41.9	jolle minä sanoin: »Sinä olet palvelijani,
ISA.41.9	minä olen sinut valinnut, en sinua väheksynyt»
ISA.41.10	Älä arkana pälyile ympärillesi
ISA.41.10	– minä olen sinun Jumalasi.
ISA.41.10	Minä vahvistan sinua, minä autan sinua,
ISA.41.10	minä tuen sinua vakaalla, lujalla kädelläni.
ISA.41.11	kaikki, jotka vihaavat sinua.
ISA.41.11	Ne, jotka sinua syyttävät,
ISA.41.11	tuhoutuvat, häviävät olemattomiin.
ISA.41.12	Hakemallakaan et heitä enää löydä,
ISA.41.12	niitä, jotka taistelivat sinua vastaan.
ISA.41.12	Tyhjiin katoavat, olemattomiin
ISA.41.12	ne, jotka sotivat sinua vastaan.
ISA.41.13	Sillä minä, Herra, sinun Jumalasi,
ISA.41.13	tartun sinun oikeaan käteesi
ISA.41.13	ja sanon sinulle: »Älä pelkää,
ISA.41.13	minä autan sinua.»
ISA.41.14	sinä Israelin vähäinen väki!
ISA.41.14	– Minä autan sinua, sanoo Herra,
ISA.41.14	sinut lunastaa Israelin Pyhä.
ISA.41.15	Katso, sinusta tulee minun puimarekeni,
ISA.41.15	rajusti hiertävä, moniteräinen.
ISA.41.15	Sinä puit vuoria, rouhit niitä,
ISA.41.15	jauhat kukkulat akanoiksi,
ISA.41.16	sinä viskaat ne ilmaan, tuuli kantaa ne pois,
ISA.41.16	myrskytuuli ne hajottaa.
ISA.41.16	Mutta sinä, sinä iloitset Herrasta,
ISA.41.16	Israelin Pyhä on sinun ylpeytesi.
ISA.41.17	Köyhät ja kurjat etsivät vettä, mutta sitä ei ole,
ISA.41.17	heidän kielensä on janosta kuivettunut.
ISA.41.17	Minä, Herra, kuulen heitä,
ISA.41.17	minä, Israelin Jumala, en heitä hylkää.
ISA.41.18	notkelmiin lähteitä.
ISA.41.18	Autiomaan minä muutan vesilammikoiksi
ISA.41.18	ja kuivan hietikon lähteiden maaksi.
ISA.41.19	akasioita ja myrttejä ja öljypuita,
ISA.41.19	minä kasvatan arolle sypressejä,
ISA.41.19	puksipuuta, vuorimäntyä, kaikkea rinnan,
ISA.41.20	jotta he näkisivät ne ja oppisivat tietämään,
ISA.41.20	jotta he huomaisivat ne ja tajuaisivat,
ISA.41.20	että Herran käsi on tämän tehnyt,
ISA.41.20	Israelin Pyhä tämän luonut.
ISA.41.21	– Ilmoittakaa, mitä asiaa te ajatte, sanoo Herra,
ISA.41.21	esittäkää todisteenne, sanoo Jaakobin Kuningas.
ISA.41.22	mitä on edessäpäin, tulossa.
ISA.41.22	Kertokaa mitä alussa oli,
ISA.41.22	jotta näkisimme selvästi,
ISA.41.22	mihin kaikki johtaa,
ISA.41.22	tai sanokaa mitä edessä on,
ISA.41.23	kertokaa tulevat tapahtumat,
ISA.41.23	niin näemme, että olette jumalia.
ISA.41.23	Tehkää hyvää tai tehkää pahaa,
ISA.41.23	niin että saamme ihmetellen ja säikkyen katsella!
ISA.41.24	Tehän olette tyhjää ettekä sitäkään,
ISA.41.24	teidän tekonne ovat arvottomia ja sitäkin vähäisempiä.
ISA.41.24	Iljettävää, että joku teidät valitsee.
ISA.41.25	auringon nousun suunnalta minä hänet nimeltä kutsuin.
ISA.41.25	Hän tallaa valtiaita kuin lokaa,
ISA.41.25	tai niin kuin savenvalaja polkee saveaan.
ISA.41.26	Kuka teistä kertoi sen ennakolta,
ISA.41.26	niin että olisimme sen tienneet?
ISA.41.26	Kuka kertoi etukäteen,
ISA.41.26	niin että nyt voisimme sanoa: »Hän puhui totta.»
ISA.41.26	Ei teistä ole ollut kertojiksi, ei ilmoittajiksi,
ISA.41.26	kukaan ei ole kuullut teidän tästä puhuvan.
ISA.41.27	Mutta minä, minä yksin ilmoitin Siionille:
ISA.41.27	»Nyt ne tulevat!»
ISA.41.27	Minä lähetin Jerusalemiin ilosanoman viejän.
ISA.41.28	Kun katselen, ei ole ketään noiden joukossa,
ISA.41.28	ei ketään, joka neuvoisi,
ISA.41.28	ei yhtään, jolta voisin kysyä ja joka osaisi vastata.
ISA.41.29	Kaikki ne ovat vain harhaa,
ISA.41.29	olemattomia ovat niiden teot,
ISA.41.29	niiden valetut patsaat vain tuulta ja tyhjää.
ISA.42.1	minun valittuni, johon olen mieltynyt.
ISA.42.1	Henkeni olen laskenut hänen ylleen,
ISA.42.1	hän tuo oikeuden kansojen keskuuteen.
ISA.42.2	Ei hän huuda eikä melua,
ISA.42.2	ei kuulu hänen äänensä kaduilla.
ISA.42.3	Murtunutta ruokoa hän ei muserra,
ISA.42.3	lampun hiipuvaa liekkiä hän ei sammuta.
ISA.42.3	Tinkimättä hän toteuttaa oikeuden.
ISA.42.4	Eikä hän murru, ei himmene hänen liekkinsä,
ISA.42.4	vaan hän saattaa kaikkialla oikeuden voimaan.
ISA.42.4	Hänen opetustaan ikävöivät kaukaiset rannat.
ISA.42.5	hän, joka loi taivaan ja levitti sen auki,
ISA.42.5	joka muovasi maan ja kaiken mitä siitä versoo
ISA.42.5	ja antoi sen päällä kulkeville elämän hengen:
ISA.42.6	minä, Herra, olen kutsunut sinut.
ISA.42.6	Minä tartun sinun käteesi ja suojelen sinua.
ISA.42.6	Sinut minä asetan toteuttamaan sen liiton,
ISA.42.6	jonka olen tehnyt tämän kansan kanssa
ISA.42.6	kaikkien kansojen valoksi,
ISA.42.7	päästämään kahlitut vankeudesta,
ISA.42.7	tyrmästä ne, jotka sen pimennossa istuvat.
ISA.42.8	Kunniani kirkkautta minä en kenellekään luovuta,
ISA.42.8	en minulle kuuluvaa ylistystä jumalankuville.
ISA.42.9	Näettekö: minkä olen ilmoittanut, se on tapahtunut,
ISA.42.9	ja nyt minä ilmoitan uutta.
ISA.42.9	Ennen kuin se taimelle ehtii,
ISA.42.9	minä kerron sen teille.
ISA.42.10	maan ääristä alkaen laulakaa hänen ylistystään,
ISA.42.10	te merenkulkijat ja itse meri, kaikki mitä siinä on,
ISA.42.10	saaret ja rannikot, kaikki niiden asukkaat!
ISA.42.11	Antakoot äänensä kuulua
ISA.42.11	aavikko ja sen kaupungit
ISA.42.11	ja leirit, joissa Kedarin heimo asuu!
ISA.42.11	Riemuitkoot Selan rinteiden asukkaat,
ISA.42.11	vuorten laelta he huutakoot iloaan!
ISA.42.12	Antakoot he Herralle kunnian,
ISA.42.12	kertokoot hänen ylistystään kaukaisille rannoille!
ISA.42.13	Herra lähtee liikkeelle soturin tavoin.
ISA.42.13	Kuin taistelija hän kiihdyttää vimmaansa,
ISA.42.13	huutaa ja karjuu sotahuutoa
ISA.42.13	ja uhkaa vihollisiaan:
ISA.42.14	– Kauan minä olen ollut vaiti,
ISA.42.14	olen pysytellyt hiljaa, hillinnyt itseni.
ISA.42.14	Nyt minä huudan kuin synnyttäjä,
ISA.42.14	puuskutan, huohotan ankarasti.
ISA.42.15	Minä teen autioiksi vuoret ja kukkulat,
ISA.42.15	niiden ruohikot kuivaksi maaksi.
ISA.42.15	Minä muutan joet hietikoksi
ISA.42.15	ja kuivaan vesilammikot.
ISA.42.16	jota he eivät ole kulkeneet,
ISA.42.16	annan heidän astella polkuja, joita he eivät tunne.
ISA.42.16	Minä muutan pimeyden heidän edellään valoksi,
ISA.42.16	louhikkopolut sileäksi tieksi.
ISA.42.16	Nämä ovat minun tekoni,
ISA.42.16	näin olen tehnyt ja näin teen yhä.
ISA.42.17	nuo, jotka nyt luottavat kuviin
ISA.42.17	ja sanovat patsaille:
ISA.42.17	»Te olette meidän jumaliamme.»
ISA.42.18	Sokeat, katsokaa, niin te näette!
ISA.42.19	Kuka on sokea, jollei minun palvelijani,
ISA.42.19	kuka kuuro, ellei minun sanansaattajani?
ISA.42.19	Kuka on yhtä sokea kuin hän, jonka lähetin matkaan,
ISA.42.19	kuka yhtä kuuro kuin Herran palvelija?
ISA.42.20	Paljon olet nähnyt, mutta vähän muistat,
ISA.42.20	korvasi ovat auki, mutta mitään et kuule!
ISA.42.21	Uskollisuuttaan osoittaen
ISA.42.21	Herra päätti tehdä lakinsa suureksi,
ISA.42.21	tehdä sen loistavaksi.
ISA.42.22	Mutta nyt tämä kansa on tyhjiin ryöstetty ja rosvottu,
ISA.42.22	se on suljettu vankityrmiin, kätketty luoliin.
ISA.42.22	Ryöstösaalista heistä on tullut, eikä ole vapauttajaa,
ISA.42.22	rosvojen saalista he ovat, eikä kukaan sano:
ISA.42.22	»Päästä heidät!»
ISA.42.23	Kuka teistä nyt kallistaa korvansa tälle,
ISA.42.23	kuka tarkkaa ja on vastedes kuuliainen?
ISA.42.24	Kuka antoi ryöstäjälle Israelin,
ISA.42.24	rosvojen armoille Jaakobin suvun?
ISA.42.24	Eikö itse Herra, hän, jota vastaan olemme rikkoneet?
ISA.42.24	Kukaan ei tahtonut kulkea hänen teitään,
ISA.42.24	ei noudattaa hänen lakiaan.
ISA.42.25	ankaran sodan.
ISA.42.25	Joka puolelta se paahtoi heitä,
ISA.42.25	mutta opikseen he eivät ottaneet,
ISA.42.25	se poltti heitä,
ISA.42.25	mutta mitään he eivät tajunneet.
ISA.43.1	joka sinut loi, Jaakob,
ISA.43.1	joka sinut muovasi, Israel:
ISA.43.1	– Älä pelkää. Minä olen lunastanut sinut.
ISA.43.1	Minä olen sinut nimeltä kutsunut,
ISA.43.1	sinä olet minun.
ISA.43.2	kun virtojen poikki, ne eivät tempaa sinua mukaansa,
ISA.43.2	kun astut tulen lävitse, sinä et pala
ISA.43.2	eikä liekki sinua polta.
ISA.43.3	Minä, Israelin Pyhä, olen sinun pelastajasi.
ISA.43.3	Minä annan lunnaiksi sinusta
ISA.43.3	Egyptin, Nubian ja Seban maat.
ISA.43.4	Koska olet arvokas minun silmissäni,
ISA.43.4	koska olet kallis ja rakas,
ISA.43.4	minä luovutan kansanheimoja sinun sijastasi,
ISA.43.4	kansakuntia sinun henkesi hinnaksi.
ISA.43.5	Idästä minä tuon sinun sukusi,
ISA.43.5	lännestä kokoan sinut,
ISA.43.6	ja etelälle: »Päästä irti!»
ISA.43.6	Tuokaa kaukaa minun poikani takaisin,
ISA.43.6	maan ääriltä tyttäreni,
ISA.43.7	jonka olen kunniakseni luonut,
ISA.43.7	muovannut ja valmiiksi tehnyt.
ISA.43.8	joka on sokea, vaikka sillä on silmät,
ISA.43.8	joka on kuuro, vaikka sillä on korvat!
ISA.43.9	kerääntykööt kansakunnat yhteen:
ISA.43.9	voiko joku siitä joukosta ilmoittaa meille,
ISA.43.9	mitä minä ilmoitan,
ISA.43.9	ja kertoa meille, mitä tapahtui ennen?
ISA.43.9	Asettakoon siis luotettavat todistajat
ISA.43.9	ja osoittakoon olevansa oikeassa,
ISA.43.9	niin että toiset voivat kuulla ja myöntää: »Totta on.»
ISA.43.10	Minun todistajani, sanoo Herra, olette te
ISA.43.10	– Israel, sinä jonka olen valinnut palvelijakseni –
ISA.43.10	ja teidän tulee tuntea minut ja uskoa minuun,
ISA.43.10	ymmärtää, kuka minä olen.
ISA.43.10	Ennen minua ei ole jumalaa syntynyt eikä ollut
ISA.43.10	eikä minun jälkeeni tullut eikä tule.
ISA.43.11	ei ole muuta pelastajaa kuin minä.
ISA.43.12	Minä olen puhunut,
ISA.43.12	minä olen pelastanut,
ISA.43.12	olen ilmaissut teille tahtoni,
ISA.43.12	minä itse, ei kukaan muu.
ISA.43.12	Te olette minun todistajani, sanoo Herra.
ISA.43.12	Minä olen Jumala,
ISA.43.13	Kukaan ei voi väistää minun kättäni.
ISA.43.13	Kuka voi tehdä tyhjäksi minun tekoni?
ISA.43.14	Näin sanoo Herra,
ISA.43.14	teidän lunastajanne, Israelin Pyhä:
ISA.43.14	– Minkä teen Babylonille, teen teidän tähtenne.
ISA.43.14	Minä murran kaikki sen portit,
ISA.43.14	ja valitukseksi muuttuvat kaldealaisten ilohuudot.
ISA.43.15	Minä olen Herra, teidän pyhä Jumalanne,
ISA.43.15	Israelin luoja, teidän kuninkaanne!
ISA.43.16	hän, joka avasi mereen tien,
ISA.43.16	valtatien suurten vetten keskelle,
ISA.43.17	hän, joka päästi liikkeelle vaunut ja hevoset,
ISA.43.17	väkevien soturien joukon
ISA.43.17	– syvyydessä he nyt makaavat, eivät enää nouse,
ISA.43.17	kuin sammuva lampun liekki he hävisivät –
ISA.43.17	näin hän sanoo:
ISA.43.18	– Älkää enää menneitä muistelko,
ISA.43.18	älkää muinaisia miettikö!
ISA.43.19	Nyt se puhkeaa esiin – ettekö huomaa?
ISA.43.19	Minä teen tien autiomaahan
ISA.43.19	ja joet kuivuuden keskelle.
ISA.43.20	Villieläimetkin kunnioittavat minua,
ISA.43.20	sakaalit ja strutsit,
ISA.43.20	koska olen tuonut vedet autiomaahan
ISA.43.20	ja joet kuivuuden keskelle
ISA.43.20	antaakseni juotavaa kansalleni, valitulleni.
ISA.43.21	Kansa, jonka olen luonut itseäni varten,
ISA.43.21	on ylistävä minua.
ISA.43.22	Minua et ole avuksesi huutanut, Jaakob,
ISA.43.22	minun vuokseni, Israel, et ole vaivaa nähnyt.
ISA.43.23	Lampaita et ole tuonut minulle polttouhriksi
ISA.43.23	etkä teurasuhreillasi ole minua kunnioittanut.
ISA.43.23	Minä en ole rasittanut sinua ruokauhreilla,
ISA.43.23	en uuvuttanut vaatimalla suitsutusuhreja.
ISA.43.24	Etkä sinä ole liioin tuhlannut hopeaasi suitsutusruokoon,
ISA.43.24	et juottanut minulle teurasuhriesi rasvaa.
ISA.43.24	Mutta synneilläsi kyllä olet minua rasittanut,
ISA.43.24	pahoilla teoillasi minua vaivannut.
ISA.43.25	oman itseni tähden
ISA.43.25	enkä muistele sinun syntejäsi.
ISA.43.26	Esitä asiasi, osoita olevasi oikeassa!
ISA.43.27	Jo kantaisäsi teki syntiä,
ISA.43.27	johtomiehesi luopuivat minusta,
ISA.43.28	sinun ruhtinaasi häpäisivät minun temppelini.
ISA.43.28	Siksi minä annoin Jaakobin tuhon omaksi,
ISA.43.28	Israelin kaikkien herjattavaksi.
ISA.44.1	Ja nyt Jaakob, minun palvelijani, kuule,
ISA.44.1	kuule, Israel, sinä jonka olen valinnut!
ISA.44.2	ja jo kohdussa sinut muovasi,
ISA.44.2	hän, joka auttaa sinua:
ISA.44.2	– Älä pelkää, palvelijani Jaakob,
ISA.44.2	sinä Jesurun
ISA.44.3	purojen kuivaan maahan.
ISA.44.3	Minä vuodatan henkeni lapsiisi
ISA.44.3	ja siunaukseni vesoillesi,
ISA.44.4	kuin pajut purojen varsilla.
ISA.44.5	toinen taas kutsuu itseään Jaakobin nimellä,
ISA.44.5	kolmas kirjoittaa käteensä: »Herran oma»,
ISA.44.5	ja ottaa kunnianimekseen Israelin nimen.
ISA.44.6	ja sen lunastaja, Herra Sebaot:
ISA.44.6	– Minä olen ensimmäinen ja minä olen viimeinen,
ISA.44.6	ei ole muuta Jumalaa kuin minä.
ISA.44.7	ja kertokoon minulle, mitä on tapahtunut
ISA.44.7	siitä alkaen kun asetin paikalleen ikimuinaisen kansan!
ISA.44.7	Hän esittäköön myös tulevat tapahtumat,
ISA.44.7	tulevaiset hän kertokoon meille!
ISA.44.8	Enkö ole jo aikoja sitten
ISA.44.8	kertonut ja ilmoittanut näitä teille?
ISA.44.8	Te olette minun todistajani:
ISA.44.8	onko muuta Jumalaa, muuta turvakalliota kuin minä?
ISA.44.8	Minä en toista tunne!
ISA.44.9	heidän ihanat työnsä eivät ketään auta.
ISA.44.9	Niiden palvojat eivät mitään näe,
ISA.44.9	eivät mitään ymmärrä,
ISA.44.9	he joutuvat häpeään.
ISA.44.10	Se, joka muovaa jumalan tai valaa patsaan,
ISA.44.10	tekee hyödyttömän teon.
ISA.44.11	Huonosti käy sen, joka niitä palvoo.
ISA.44.11	Eiväthän sepät ole ihmistä kummempia!
ISA.44.11	Kokoontukoot vain kaikki, astukoot yhdessä minun eteeni,
ISA.44.11	pelon valtaan he joutuvat, kaikki yhdessä häpeään!
ISA.44.12	Metalliseppä teroittaa talttansa.
ISA.44.12	Hän työskentelee ahjon ääressä,
ISA.44.12	vasaroilla hän muovaa kuvan,
ISA.44.12	muotoilee sen kättensä voimalla.
ISA.44.12	Mutta nälkä hänenkin tulee,
ISA.44.12	ja silloin hänen voimansa ehtyvät.
ISA.44.12	Hän uupuu, jos ei saa vettä janoonsa.
ISA.44.13	Puuseppä mittailee nuorallaan
ISA.44.13	ja piirtää puun pintaan punaliidulla hahmon,
ISA.44.13	vuolee sen esiin kovertimilla
ISA.44.13	ja tarkistaa sitä harpilla,
ISA.44.13	hän tekee sen ihmisolennon kaltaiseksi,
ISA.44.13	antaa sille ihmisen kauniin muodon,
ISA.44.13	ja se saa asua omassa pyhäkössään.
ISA.44.14	Käyttöönsä ihminen kaataa setripuita,
ISA.44.14	valikoi metsästä tammen tai rautatammen,
ISA.44.14	joka on saanut puiden keskellä rauhassa kasvaa vahvaksi.
ISA.44.14	Tai hän istuttaa laakeripuita, jotka sade kasvattaa.
ISA.44.15	Näin hän saa polttopuuta.
ISA.44.15	Sitä hän hakee lämmitelläkseen,
ISA.44.15	siitä tekee valkean tulisijaan
ISA.44.15	paistaakseen leipää.
