GEN.1.1	Nel principio Dio creò i cieli e la terra.
NEH.11.21	I Netinei si stabilirono sulla collina, e Sica e Ghispa erano a capo dei Netinei. 
NEH.11.22	Il capo dei Leviti a Gerusalemme era Uzzi, figlio di Bani, figlio di Casabia, figlio di Matania, figlio di Mica, dei figli di Asaf, che erano i cantori addetti al servizio della casa di Dio; 
NEH.11.23	perché c’era un ordine del re che concerneva i cantori, e c’era un compenso assicurato loro giorno per giorno. 
NEH.11.24	E Petaia, figlio di Mesezabeel, dei figli di Zerac, figlio di Giuda, era commissario del re per tutti gli affari del popolo.
NEH.11.25	Quanto ai villaggi con le loro campagne, alcuni dei figli di Giuda si stabilirono in Chiriat-Arba e nei villaggi circostanti, in Dibon e nei villaggi circostanti, in Iecabseel e nei villaggi circostanti, 
NEH.11.26	in Iesua, in Molada, in Bet-Palet, 
NEH.11.27	in Asar-Sual, in Beer-Sceba e nei villaggi circostanti, 
NEH.11.28	in Siclag, in Mecona e nei villaggi circostanti, 
NEH.11.29	in En-Rimmon, in Sora, in Iarmut, 
NEH.11.30	in Zanoa, in Adullam e nei loro villaggi, in Lachis e nelle sue campagne, in Azeca e nei villaggi circostanti. Si stabilirono da Beer-Sceba fino alla valle di Innom. 
NEH.11.31	I figli di Beniamino si stabilirono da Gheba in là, a Micmas, ad Aia, a Betel e nei villaggi circostanti, 
NEH.11.32	ad Anatot, a Nob, ad Anania, 
NEH.11.33	ad Asor, a Rama, a Ghittaim, 
NEH.11.34	a Cadid, a Seboim, a Neballat, 
NEH.11.35	a Lod e a Ono, valle degli artigiani. 
NEH.11.36	Alcune classi dei Leviti appartenenti a Giuda furono unite a Beniamino.
NEH.12.1	Questi sono i sacerdoti e i Leviti che tornarono con Zorobabele, figlio di Sealtiel, e con Iesua: Seraia, Geremia, Esdra, 
NEH.12.2	Amaria, Malluc, Cattus, 
NEH.12.3	Secania, Reum, Meremot, 
NEH.12.4	Iddo, Ghinnetoi, Abiia, 
NEH.12.5	Miiamin, Maadia, Bilga, 
NEH.12.6	Semaia, Ioiarib, Iedaia, 
NEH.12.7	Sallu, Amoc, Chilchia, Iedaia. Questi erano i capi dei sacerdoti e dei loro fratelli al tempo di Iesua. 
NEH.12.8	Leviti: Iesua, Binnui, Cadmiel, Serebia, Giuda, Mattania, che dirigeva con i suoi fratelli i canti di lode. 
NEH.12.9	Bacbuchia e Unni, loro fratelli, si alternavano con loro secondo il loro turno.
NEH.12.10	Iesua generò Ioiachim; Ioiachim generò Eliasib; Eliasib generò Ioiada; 
NEH.12.11	Ioiada generò Ionatan; Ionatan generò Iaddua.
NEH.12.12	Ecco quali erano, al tempo di Ioiachim, i capi di famiglie sacerdotali: della famiglia di Seraia, Meraia; di quella di Geremia, Anania; 
NEH.12.13	di quella di Esdra, Mesullam; di quella di Amaria, Iocanan; 
NEH.12.14	di quella di Melicu, Ionatan; di quella di Sebania, Giuseppe; 
NEH.12.15	di quella di Carim, Adna; di quella di Meraiot, Chelcai; 
NEH.12.16	di quella di Iddo, Zaccaria; di quella di Ghinneton, Mesullam; 
NEH.12.17	di quella di Abiia, Zicri; di quella di Miniamin e di Moadia, Piltai; 
NEH.12.18	di quella di Bilga, Sammua; di quella di Semaia, Ionatan; 
NEH.12.19	di quella di Ioiarib, Mattenai; di quella di Iedaia, Uzzi; 
NEH.12.20	di quella di Sallai, Callai; di quella di Amoc, Eber; 
NEH.12.21	di quella di Chilchia, Casabia; di quella di Iedaia, Netaneel.
NEH.12.22	Quanto ai Leviti, i capi famiglia furono iscritti al tempo di Eliasib, di Ioiada, di Iocanan e di Iaddua; e i sacerdoti, sotto il regno di Dario, il Persiano. 
NEH.12.23	I capi delle famiglie levitiche furono iscritti nel libro delle Cronache fino al tempo di Iocanan, figlio di Eliasib. 
NEH.12.24	I capi dei Leviti erano: Casabia, Serebia, Iesua, figlio di Cadmiel; e i loro fratelli si alternavano con loro per lodare e celebrare il 
NEH.12.25	Mattania, Bacbuchia, Obadia, Mesullam, Talmon, Accub erano portinai e facevano la guardia ai magazzini che stavano alle porte. 
NEH.12.26	Questi vivevano al tempo di Ioiachim, figlio di Iesua, figlio di Iosadac, e al tempo di Neemia, il governatore, e di Esdra, sacerdote e scriba.
NEH.12.27	«Per l’inaugurazione delle mura di Gerusalemme si mandarono a cercare i Leviti da tutti i luoghi dove si trovavano, per farli venire a Gerusalemme allo scopo di fare l’inaugurazione con gioia, con lodi e canti e suono di cembali, saltèri e cetre. 
NEH.12.28	I figli dei cantori si radunarono dai dintorni di Gerusalemme, dai villaggi dei Netofatiti, 
NEH.12.29	da Bet-Ghilgal e dal territorio di Gheba e di Azmavet; poiché i cantori si erano costruiti dei villaggi nei dintorni di Gerusalemme. 
NEH.12.30	I sacerdoti e i Leviti si purificarono e purificarono il popolo, le porte e le mura.
NEH.12.31	Poi feci salire sulle mura i capi di Giuda e formai due grandi cori con i relativi cortei. Il primo si incamminò dal lato destro, sulle mura, verso la porta del Letame; 
NEH.12.32	e dietro questo coro camminavano Osaia, la metà dei capi di Giuda, 
NEH.12.33	Azaria, Esdra, Mesullam, 
NEH.12.34	Giuda, Beniamino, Semaia, Geremia, 
NEH.12.35	dei figli dei sacerdoti con le trombe; Zaccaria, figlio di Ionatan, figlio di Semaia, figlio di Mattania, figlio di Micaia, figlio di Zaccur, figlio di Asaf, 
NEH.12.36	e i suoi fratelli Semaia, Azareel, Milalai, Ghilalai, Maai, Netaneel, Giuda, Canani, con gli strumenti musicali di Davide, uomo di Dio. Esdra, lo scriba, camminava alla loro testa. 
NEH.12.37	Alla porta della Sorgente, di fronte a loro, salirono per la scalinata della città di Davide, per la salita delle mura, al di sopra della casa di Davide, e giunsero alla porta delle Acque, a oriente. 
NEH.12.38	Il secondo coro si incamminò nel senso opposto; e io gli andavo dietro, con l’altra metà del popolo, sopra le mura. Passando al di sopra della torre dei Forni, esso andò fino alle mura larghe; 
NEH.12.39	poi al di sopra della porta di Efraim, della porta Vecchia, della porta dei Pesci, della torre di Cananeel, della torre di Mea, fino alla porta delle Pecore; e il coro si fermò alla porta della Prigione. 
NEH.12.40	I due cori si fermarono nel tempio di Dio; e così feci io, con la metà dei magistrati che erano con me, 
NEH.12.41	e i sacerdoti Eliachim, Maaseia, Miniamin, Micaia, Elioenai, Zaccaria, Anania con le trombe, 
NEH.12.42	e Maaseia, Semaia, Eleazar, Uzzi, Iocanan, Malchia, Elam, Ezer. E i cantori fecero risuonare forte le loro voci, diretti da Izraia.
NEH.12.43	In quel giorno il popolo offrì numerosi sacrifici, e si rallegrò perché Dio gli aveva concesso una gran gioia. Anche le donne e i bambini si rallegrarono; e la gioia di Gerusalemme si sentiva da lontano.
NEH.12.44	«In quel tempo alcuni uomini furono nominati sorveglianti delle stanze che servivano da magazzini delle offerte, delle primizie e delle decime: dai campi intorno alle città dovevano raccogliere nei magazzini le parti assegnate dalla legge ai sacerdoti e ai Leviti; poiché i Giudei erano contenti di vedere i sacerdoti e i Leviti ai loro posti. 
NEH.12.45	E questi compivano tutto ciò che riguardava il servizio del loro Dio e le purificazioni; come facevano, dal canto loro, i cantori e i portinai secondo l’ordine di Davide e di Salomone suo figlio. 
NEH.12.46	Anticamente infatti, al tempo di Davide e di Asaf, c’erano alcuni capi dei cantori e dei canti di lode e di ringraziamento a Dio. 
NEH.12.47	Tutto Israele, al tempo di Zorobabele e di Neemia, dava giorno per giorno le porzioni assegnate ai cantori e ai portinai; dava ai Leviti le cose consacrate, e i Leviti davano ai figli di Aaronne le cose consacrate che spettavano loro.
NEH.13.1	«In quel tempo si lesse in presenza del popolo il libro di Mosè, e vi si trovò scritto che l’Ammonita e il Moabita non debbono mai entrare nell’assemblea di Dio, 
NEH.13.2	perché non erano venuti incontro ai figli d’Israele con pane e acqua e perché avevano comprato a loro danno Balaam, affinché li maledicesse; ma il nostro Dio convertì la maledizione in benedizione. 
NEH.13.3	Quando il popolo udì la legge, separò da Israele tutti gli stranieri.
NEH.13.4	Prima di questo, il sacerdote Eliasib, responsabile delle camere del tempio del nostro Dio e parente di Tobia, 
NEH.13.5	aveva messo a disposizione di quest’ultimo una camera grande là dove, prima di allora si riponevano le offerte, l’incenso, gli utensili, la decima del grano, del vino e dell’olio, tutto ciò che spettava per legge ai Leviti, ai cantori, ai portinai, e la parte che se ne prelevava per i sacerdoti. 
NEH.13.6	Ma quando si faceva tutto questo, io non ero a Gerusalemme; perché l’anno trentaduesimo di Artaserse, re di Babilonia, ero tornato presso il re; e dopo qualche tempo, avendo ottenuto un congedo dal re, 
NEH.13.7	tornai a Gerusalemme, e mi accorsi del male che Eliasib aveva fatto per amore di Tobia, mettendo a sua disposizione una camera nei cortili della casa di Dio. 
NEH.13.8	La cosa mi dispiacque molto, e feci gettare fuori dalla camera tutte le masserizie appartenenti a Tobia. 
NEH.13.9	Poi ordinai che si purificassero quelle camere, e vi feci ricollocare gli utensili della casa di Dio, le offerte e l’incenso.
NEH.13.10	Seppi pure che le porzioni dovute ai Leviti non erano state date, e che i Leviti e i cantori, incaricati del servizio, se ne erano fuggiti, ciascuno alla sua terra. 
NEH.13.11	Io ammonii i magistrati e dissi loro: “Perché la casa di Dio è stata abbandonata?” Poi radunai i Leviti e i cantori e li ristabilii nei loro uffici. 
NEH.13.12	Allora tutto Giuda portò nei magazzini le decime del frumento, del vino e dell’olio. 
NEH.13.13	Affidai la sorveglianza dei magazzini al sacerdote Selemia, allo scriba Sadoc e a Pedaia, uno dei Leviti; ai quali aggiunsi Anan figlio di Zaccur, figlio di Mattania, perché erano considerati uomini fedeli. Il loro compito era di fare le ripartizioni fra i loro fratelli.
NEH.13.14	Ricòrdati per questo di me, o Dio mio, e non cancellare quello che ho compiuto fedelmente per la casa del mio Dio e per il suo servizio!
NEH.13.15	In quei giorni osservai in Giuda alcune persone intente a pigiare l’uva in giorno di sabato, altre a portare, caricandolo sugli asini, grano e anche vino, uva, fichi e ogni sorta di cose, che facevano giungere a Gerusalemme in giorno di sabato. Io li rimproverai a motivo del giorno in cui vendevano le loro derrate. 
NEH.13.16	C’erano anche persone di Tiro, stabilite a Gerusalemme, che portavano del pesce e ogni sorta di cose, e le vendevano ai figli di Giuda in giorno di sabato, e a Gerusalemme. 
NEH.13.17	Allora rimproverai i notabili di Giuda e dissi loro: “Che significa questa cattiva azione che fate, profanando il giorno del sabato? 
NEH.13.18	I nostri padri non fecero proprio così? Il nostro Dio fece, per questo, piombare su di noi e su questa città tutti questi mali. E voi accrescete l’ira ardente contro Israele, profanando il sabato!” 
NEH.13.19	Non appena le porte di Gerusalemme cominciarono a essere nell’ombra, prima del sabato, ordinai che queste fossero chiuse e che non si riaprissero fino a dopo il sabato; e collocai alcuni dei miei servi alle porte, affinché nessun carico entrasse in città durante il sabato. 
NEH.13.20	Così i mercanti e i venditori di merci di ogni genere una o due volte passarono la notte fuori di Gerusalemme. 
NEH.13.21	Allora li rimproverai e dissi loro: “Perché passate la notte davanti alle mura? Se lo rifate, vi farò arrestare”. Da quel momento non vennero più di sabato. 
NEH.13.22	Ordinai anche ai Leviti di purificarsi e venire a custodire le porte per santificare il giorno del sabato. Anche per questo ricòrdati di me, o mio Dio, e abbi pietà di me secondo la grandezza della tua misericordia!
NEH.13.23	In quei giorni vidi pure dei Giudei che avevano sposato donne di Asdod, di Ammon e di Moab. 
NEH.13.24	La metà dei loro figli parlava l’asdodeo, ma non sapeva parlare la lingua dei Giudei; conosceva soltanto la lingua di questo o quest’altro popolo. 
NEH.13.25	Li rimproverai, li maledissi, ne picchiai alcuni, strappai loro i capelli, e li feci giurare nel nome di Dio che non avrebbero dato le loro figlie ai figli di costoro, e che non avrebbero preso le figlie di quelli per i loro figli né per se stessi. 
NEH.13.26	E dissi: “Salomone, re d’Israele, non peccò forse proprio in questo? Eppure, fra le molte nazioni, non ci fu re simile a lui; era amato dal suo Dio, e Dio lo aveva fatto re di tutto Israele; tuttavia le donne straniere fecero peccare anche lui. 
NEH.13.27	Allora dovremmo forse permettervi di commettere un male altrettanto grande, e così divenire infedeli al nostro Dio, prendendo mogli straniere?”
NEH.13.28	Uno dei figli di Ioiada, figlio di Eliasib, il sommo sacerdote, era genero di Samballat, il Coronita; e io lo cacciai via da me.
NEH.13.29	Ricòrdati di loro, o mio Dio, poiché hanno contaminato il sacerdozio e il patto dei sacerdoti e dei Leviti!
NEH.13.30	Così purificai il popolo da ogni elemento straniero, e ristabilii i vari servizi dei sacerdoti e dei Leviti, assegnando a ciascuno il suo lavoro. 
NEH.13.31	Diedi anche disposizioni circa l’offerta della legna ai tempi stabiliti e circa le primizie. Ricòrdati di me, mio Dio, per farmi del bene!».
EST.1.1	Al tempo di Assuero, di quell’Assuero che regnava dall’India fino all’Etiopia su centoventisette province, 
EST.1.2	in quel tempo, mentre il re Assuero sedeva sul trono del suo regno a Susa, la residenza reale, 
EST.1.3	nel terzo anno del suo regno, fece un convito per tutti i suoi prìncipi e i suoi servi. Riunì l’esercito di Persia e di Media, i nobili e i governatori delle province 
EST.1.4	e per molti giorni, per centottanta giorni, mostrò le ricchezze e la gloria del suo regno e il fasto magnifico della sua grandezza.
EST.1.5	Quando questi giorni furono trascorsi, il re fece un altro convito di sette giorni, nel cortile del giardino della reggia, per tutti quelli, dal più grande al più piccolo, che si trovavano a Susa, residenza reale. 
EST.1.6	Arazzi di cotone finissimo, bianchi e viola, stavano sospesi, mediante cordoni di bisso e di porpora, ad anelli d’argento e a colonne di marmo. C’erano divani d’oro e d’argento sopra un pavimento di porfido, di marmo bianco, di madreperla e di pietre nere. 
EST.1.7	Si offriva da bere in vasi d’oro di svariate forme, e il vino alla corte era abbondante, grazie alla liberalità del re. 
EST.1.8	Per ordine del re nessuno doveva essere forzato a bere; infatti il re aveva ordinato a tutti i nobili della sua casa di lasciar fare a ciascuno secondo la propria volontà. 
EST.1.9	Anche la regina Vasti fece un convito per le donne nella reggia del re Assuero.
EST.1.10	Il settimo giorno, il re, che aveva il cuore reso allegro dal vino, ordinò a Meuman, a Bizta, a Carbona, a Bigta, ad Abagta, a Zetar e a Carcas, i sette eunuchi che servivano in presenza del re Assuero, 
EST.1.11	che conducessero davanti a lui la regina Vasti con la corona reale, per far vedere al popolo e ai nobili la sua bellezza; perché era bella d’aspetto. 
EST.1.12	Ma quando gli eunuchi riferirono l’ordine del re alla regina Vasti, lei rifiutò di venire. Il re ne fu irritatissimo, e l’ira divampò in lui.
EST.1.13	Allora il re interrogò i saggi che avevano la conoscenza dei tempi, poiché gli affari del re si trattavano così in presenza di quanti conoscevano la legge e il diritto. 
EST.1.14	I più vicini a lui erano Carsena, Setar, Admata, Tarsis, Meres, Marsena e Memucan, sette prìncipi di Persia e di Media che vedevano la faccia del re e occupavano i primi posti nel regno. 
EST.1.15	Il re chiese: «In base alla legge, che cosa si deve fare alla regina Vasti che non ha voluto eseguire l’ordine datole dal re Assuero per mezzo degli eunuchi?» 
EST.1.16	Memucan rispose in presenza del re e dei prìncipi: «La regina Vasti ha mancato non solo verso il re, ma anche verso tutti i prìncipi e tutti i popoli che sono in tutte le province del re Assuero. 
EST.1.17	Infatti quello che la regina ha fatto lo verranno a sapere tutte le donne e ciò le spingerà a disprezzare i loro mariti; poiché esse diranno: “Il re Assuero aveva ordinato che si conducesse in sua presenza la regina Vasti, ma lei non è andata”. 
EST.1.18	Da ora in avanti le principesse di Persia e di Media, che avranno udito il fatto della regina, ne parleranno a tutti i prìncipi del re e ne risulteranno grande disprezzo e molto sdegno. 
EST.1.19	Se il re è d’accordo, emani un decreto reale, lo faccia iscrivere tra le leggi di Persia e di Media in modo che sia irrevocabile, per il quale Vasti non possa più comparire in presenza del re Assuero, e il re conferisca la dignità reale a una sua compagna migliore di lei. 
EST.1.20	Quando il decreto emanato dal re sarà conosciuto nell’intero suo regno, che è vasto, tutte le donne renderanno onore ai loro mariti, dal più grande al più piccolo».
EST.1.21	La cosa piacque al re e ai prìncipi, e il re fece come aveva detto Memucan. 
EST.1.22	Così mandò lettere a tutte le province del regno, a ogni provincia secondo il suo modo di scrivere e a ogni popolo secondo la sua lingua, perché ogni uomo fosse padrone in casa sua e potesse parlare secondo il modo di esprimersi del suo popolo.
EST.2.1	Dopo queste cose, quando l’ira del re fu calmata, egli si ricordò di Vasti, di ciò che lei aveva fatto e di quanto era stato deciso a suo riguardo. 
EST.2.2	Quelli che stavano al servizio del re dissero: «Si cerchino per il re delle ragazze vergini e di bell’aspetto; 
EST.2.3	il re stabilisca in tutte le province del suo regno dei commissari; questi radunino tutte le ragazze vergini e belle alla residenza reale di Susa, negli appartamenti delle donne, sotto la sorveglianza di Egai, eunuco del re, guardiano delle donne, che darà loro i cosmetici di cui necessitano; 
EST.2.4	e la giovane che piacerà al re diventi regina al posto di Vasti». La cosa piacque al re, e così si fece.
EST.2.5	Nella residenza reale di Susa c’era un Giudeo di nome Mardocheo, figlio di Iair, figlio di Simei, figlio di Chis, un Beniaminita, 
EST.2.6	che era stato condotto via da Gerusalemme tra gli schiavi deportati con Ieconia, re di Giuda, da Nabucodonosor, re di Babilonia. 
EST.2.7	Egli aveva allevato la figlia di suo zio, Adassa, cioè Ester, che non aveva né padre né madre. La ragazza era avvenente e bella; e alla morte del padre e della madre, Mardocheo l’aveva adottata come figlia.
EST.2.8	Quando l’ordine del re e il suo decreto furono divulgati, e un gran numero di ragazze furono accolte nella residenza reale di Susa sotto la sorveglianza di Egai, anche Ester fu condotta nella casa del re, sotto la sorveglianza di Egai, guardiano delle donne. 
EST.2.9	La ragazza piacque a Egai e trovò grazia davanti a lui. Egli si affrettò a fornirle i cosmetici di cui lei necessitava e il vitto; le diede sette ancelle scelte nel palazzo del re, e assegnò a lei e alle sue ancelle la casa migliore fra quelle riservate alle donne. 
EST.2.10	Ester non aveva detto nulla né del suo popolo né dei suoi parenti, perché Mardocheo le aveva proibito di parlarne. 
EST.2.11	Mardocheo tutti i giorni passeggiava davanti al cortile della casa delle donne per sapere se Ester stava bene e come la trattavano.
EST.2.12	Quando veniva il turno per una ragazza di andare dal re Assuero, alla fine dei dodici mesi prescritti alle donne per i loro preparativi – perché il tempo dei loro preparativi durava sei mesi per profumarsi con olio di mirra e sei mesi con aromi e altri cosmetici usati dalle donne –, la giovane andava dal re 
EST.2.13	e le si permetteva di portare con sé, dalla casa delle donne al palazzo del re, tutto quello che chiedeva. 
EST.2.14	Ci andava la sera, e la mattina dopo passava nella seconda casa delle donne, sotto la sorveglianza di Saasgaz, eunuco del re, guardiano delle concubine. Lei non tornava più dal re, a meno che il re la desiderasse e la facesse chiamare personalmente.
EST.2.15	Quando venne il turno di Ester – la figlia di Abiail, zio di Mardocheo che l’aveva adottata come figlia – di andare dal re, lei non domandò altro che quello che le fu indicato da Egai, eunuco del re, guardiano delle donne. Ester si guadagnava il favore di tutti quelli che la vedevano. 
EST.2.16	Ester fu dunque condotta in presenza del re Assuero nella reggia il decimo mese, che è il mese di Tebet
EST.2.17	Il re amò Ester più di tutte le altre donne, e lei trovò grazia e favore agli occhi di lui più di tutte le altre vergini. Egli le pose in testa la corona reale e la fece regina al posto di Vasti. 
EST.2.18	Poi, per tutti i suoi prìncipi e i suoi servitori, il re fece un gran convito in onore di Ester; concesse uno sgravio alle province e fece doni con munificenza regale.
EST.2.19	La seconda volta che si radunavano delle vergini, Mardocheo stava seduto alla porta del re. 
EST.2.20	Ester, secondo l’ordine che Mardocheo le aveva dato, non aveva detto nulla dei suoi parenti né del suo popolo; perché faceva quanto Mardocheo le diceva come quando era sotto la tutela di lui. 
EST.2.21	In quei giorni, mentre Mardocheo stava seduto alla porta del re, Bigtan e Teres, due eunuchi del re, di quelli che stavano di guardia all’ingresso, irritatisi contro il re Assuero, cercarono di attentare alla sua vita. 
EST.2.22	Mardocheo scoprì la cosa e ne informò la regina Ester, che a sua volta ne parlò al re in nome di Mardocheo. 
EST.2.23	Dopo che furono svolte indagini e verificato il fatto, i due eunuchi furono impiccati a una forca; e il fatto fu registrato nel libro delle Cronache, in presenza del re.
EST.3.1	Dopo queste cose, il re Assuero innalzò Aman, figlio di Ammedata, l’Agaghita, alla più alta dignità e pose il suo seggio al di sopra di quelli di tutti i prìncipi che erano con lui. 
EST.3.2	Tutti i servitori del re che stavano alla porta del re si inchinavano e si prostravano davanti ad Aman, perché così aveva ordinato il re. Ma Mardocheo non s’inchinava né si prostrava. 
EST.3.3	I servitori del re che stavano alla porta del re dissero a Mardocheo: «Perché trasgredisci l’ordine del re?» 
EST.3.4	Per quanto glielo ripetessero tutti i giorni, egli non dava loro ascolto. Quelli riferirono la cosa ad Aman, per vedere se Mardocheo avrebbe persistito nel dire, come aveva detto loro, che era giudeo. 
EST.3.5	Aman vide che Mardocheo non s’inchinava né si prostrava davanti a lui, per cui ne fu irritatissimo; 
EST.3.6	ma gli sembrò poca cosa mettere le mani addosso a Mardocheo soltanto, poiché gli avevano detto a quale popolo Mardocheo apparteneva. Cercò quindi di distruggere il popolo di Mardocheo, cioè tutti i Giudei che si trovavano in tutto il regno di Assuero.
EST.3.7	Il primo mese, cioè il mese di Nisan
EST.3.8	E Aman disse al re Assuero: «C’è un popolo separato e disperso fra i popoli di tutte le province del tuo regno, le cui leggi sono diverse da quelle di ogni altro popolo e che non osserva le leggi del re; non è quindi interesse del re tollerarlo. 
EST.3.9	Se il re è d’accordo, si faccia un decreto per distruggerlo e io metterò diecimila talenti d’argento nelle mani dei funzionari del re, perché siano portati nel tesoro reale».
EST.3.10	Allora il re si tolse di mano l’anello
EST.3.11	Il re disse ad Aman: «Tieni pure il denaro e fa’ di quel popolo quello che vuoi».
EST.3.12	Il tredicesimo giorno del primo mese furono chiamati i segretari del re, che scrissero, seguendo in tutto gli ordini di Aman, ai satrapi del re, ai governatori di ogni provincia e ai capi di ogni popolo, a ogni provincia secondo il suo modo di scrivere e a ogni popolo nella sua lingua. Lo scritto fu redatto in nome del re Assuero e sigillato con il sigillo reale. 
EST.3.13	Furono mandate delle lettere per mezzo di corrieri in tutte le province del re perché si distruggessero, si uccidessero, si sterminassero tutti i Giudei, giovani e vecchi, bambini e donne, in un medesimo giorno, il tredici del dodicesimo mese, cioè il mese di Adar, e si abbandonassero al saccheggio i loro beni. 
EST.3.14	Queste lettere contenevano una copia del decreto che doveva essere pubblicato in ogni provincia e invitavano tutti i popoli a tenersi pronti per quel giorno. 
EST.3.15	I corrieri partirono in tutta fretta per ordine del re, e il decreto fu promulgato nella residenza reale di Susa; il re e Aman se ne stavano seduti a bere, ma la città di Susa era costernata.
EST.4.1	Quando Mardocheo seppe tutto quello che era stato fatto, si stracciò le vesti, si coprì di un sacco, si cosparse di cenere e uscì per la città, mandando alte e amare grida; 
EST.4.2	e giunse fin davanti alla porta del re, poiché a nessuno che fosse coperto di sacco era permesso di passare per la porta del re. 
EST.4.3	In ogni provincia, dovunque giungevano l’ordine del re e il suo decreto, ci fu grande angoscia tra i Giudei: digiunavano, piangevano, si lamentavano, e a molti facevano da letto il sacco e la cenere.
EST.4.4	Le ancelle di Ester e i suoi eunuchi vennero a riferirle questa notizia. La regina ne fu molto angosciata e mandò delle vesti a Mardocheo, perché se le mettesse e si levasse di dosso il sacco; ma egli non le accettò. 
EST.4.5	Allora Ester chiamò Atac, uno degli eunuchi che il re aveva messo al servizio di lei, e gli ordinò di andare da Mardocheo per domandargli che cosa questo significasse e perché agisse così. 
EST.4.6	Atac si recò da Mardocheo sulla piazza della città, davanti alla porta del re. 
EST.4.7	Mardocheo gli narrò tutto quello che gli era avvenuto e gli indicò la somma di denaro che Aman aveva promesso di versare al tesoro reale per far distruggere i Giudei; 
EST.4.8	gli diede anche una copia del testo del decreto che era stato promulgato a Susa per il loro sterminio, affinché lo mostrasse a Ester, la informasse di tutto, e le ordinasse di presentarsi al re per domandargli grazia e per intercedere in favore del suo popolo. 
EST.4.9	Atac tornò da Ester e le riferì le parole di Mardocheo.
EST.4.10	Allora Ester ordinò ad Atac di andare da Mardocheo e di dirgli: 
EST.4.11	«Tutti i servitori del re e il popolo delle sue province sanno che se qualcuno, uomo o donna che sia, entra dal re nel cortile interno, senza essere stato chiamato, per una legge che è uguale per tutti, deve essere messo a morte, a meno che il re non stenda verso di lui il suo scettro d’oro; nel qual caso, ha salva la vita. E io sono già trenta giorni che non sono stata chiamata per andare dal re».
EST.4.12	Le parole di Ester furono riferite a Mardocheo. 
EST.4.13	E Mardocheo fece dare a Ester questa risposta: «Non metterti in mente che tu sola scamperai fra tutti i Giudei perché sei nella casa del re. 
EST.4.14	Infatti se oggi tu taci, soccorso e liberazione sorgeranno per i Giudei da qualche altra parte; ma tu e la casa di tuo padre perirete; e chi sa se non sei diventata regina appunto per un tempo come questo?»
EST.4.15	Allora Ester ordinò che si rispondesse a Mardocheo: 
EST.4.16	«Va’, raduna tutti i Giudei che si trovano a Susa, e digiunate per me, state senza mangiare e senza bere per tre giorni, notte e giorno. Anch’io con le mie ancelle digiunerò allo stesso modo; e dopo entrerò dal re, sebbene ciò sia contro la legge; e se io debbo perire, che io perisca!»
EST.4.17	Mardocheo se ne andò e fece tutto quello che Ester gli aveva ordinato.
EST.5.1	Il terzo giorno Ester si mise la veste reale e si presentò nel cortile interno della casa del re, di fronte all’appartamento del re. Il re era seduto sul trono reale nella reggia, di fronte all’entrata. 
EST.5.2	E quando il re vide la regina Ester in piedi nel cortile, lei si guadagnò la sua grazia. Il re stese verso Ester lo scettro d’oro che teneva in mano, ed Ester si avvicinò e toccò la punta dello scettro. 
EST.5.3	Allora il re le disse: «Che hai, regina Ester? Che cosa domandi? Se anche chiedessi la metà del regno, ti sarà data». 
EST.5.4	Ester rispose: «Se così piace al re, venga oggi il re con Aman al convito che ho preparato per lui». 
EST.5.5	Il re disse: «Fate venire subito Aman, per fare ciò che Ester ha detto». Così il re e Aman andarono al convito che Ester aveva preparato. 
EST.5.6	Mentre bevevano il vino, il re disse a Ester: «Qual è la tua richiesta? Ti sarà concessa. Che desideri? Fosse anche la metà del regno, l’avrai». 
EST.5.7	Ester rispose: «Ecco la mia richiesta, ecco quel che desidero: 
EST.5.8	se ho trovato grazia agli occhi del re, e se piace al re di concedermi quello che chiedo e di soddisfare il mio desiderio, venga il re con Aman anche domani al convito che io preparerò per loro, e farò come il re ha detto».
EST.5.9	Aman uscì, quel giorno, tutto allegro e con il cuore contento; ma quando vide, alla porta del re, Mardocheo che non si alzava né si muoveva per lui, fu pieno d’ira contro Mardocheo. 
EST.5.10	Tuttavia Aman si contenne, se ne andò a casa e mandò a chiamare i suoi amici e Zeres, sua moglie. 
EST.5.11	Aman parlò loro della magnificenza delle sue ricchezze, del gran numero dei suoi figli, di tutto quello che il re aveva fatto per renderlo grande e di come lo aveva innalzato al di sopra dei prìncipi e dei servitori del re. 
EST.5.12	E aggiunse: «Anche la regina Ester non ha fatto venire con il re altri che me al convito che ha dato; e anche per domani sono invitato da lei con il re. 
EST.5.13	Ma tutto questo non mi soddisfa, finché vedrò quel Giudeo, Mardocheo, sedere alla porta del re». 
EST.5.14	Allora Zeres, sua moglie, e tutti i suoi amici gli dissero: «Si prepari una forca alta cinquanta cubiti; e domattina di’ al re che vi si impicchi Mardocheo; poi vattene allegro al convito con il re». La cosa piacque ad Aman, che fece preparare la forca.
EST.6.1	Quella notte il re, non potendo prendere sonno, ordinò che gli si portasse il libro delle Memorie, le Cronache; e ne fu fatta la lettura in presenza del re. 
EST.6.2	Vi si trovò scritto che Mardocheo aveva denunciato Bigtana e Teres, i due eunuchi del re, guardiani dell’ingresso, i quali avevano cercato di attentare alla vita del re Assuero. 
EST.6.3	Allora il re chiese: «Quale onore e quale distinzione si sono dati a Mardocheo per questo?» Quelli che servivano il re risposero: «Non si è fatto nulla per lui». 
