MAT.1.1	Nke e̱ nyi re-lo nzhwe Jesu Krristi, kowe
ACT.2.9	Yá nzhi wru a ngwie̱ Perriti, yá a Mede, yá a wru a Ela, ngbe yá ne mbe nyi nné a Mesopotamia; yá wru a Yahudi, yá a Kapadokyia, yá a Pontu, yá a Asia, 
ACT.2.10	yá a wru a Frrijiya ngbe Panfiliya, yá wru a Masarr, ngbe a re-nkla Libia dudu ne Kurani. Yá nzhi e̱ nyi nné ice ne mbe wru a Rroma. 
ACT.2.11	A tsi nzhi e̱ a ning bi nné Yahudi ngbe Nné Nzhwe Ngwie̱ na ne mbe si ywe̱ a teede nné Yahudi, he̱rri ngbe yá nzhi ne mbe wru a Karrita ngbe nné Arrabiya zhwozhwo, nzhi ho mbe he re-nka na re-ngwie̱ nzhi nwie ti ngbá re-ankya ne Be̱ne̱ ngu nyi!” 
ACT.2.12	Aa we rwe rici zhwozhwo mbe, á hwie̱ nye̱ we ronu nwie yaa rinng we nci mbe he, “Ma nke e̱ nyi nda ne̱ ma?”
ACT.2.13	Me̱di yá fo ne̱ ne ning kwa hwie̱n he, “Nyi rishi ruto ne mbe shwe ngu we prre.”
ACT.2.14	Wire Pita a cinye̱ ngbe kpi nnenté shwa ne otu zunzrru nna, ngu a fo cwue ze nwie he nka ne rigwe̱ nné nna he: “Re-gimbe, nné Yahudi ngbe zhwozhwo nyi ne nyi srra a Urrushelima, nyi sa uucwu nyi ho; nje shi níng ti kya ne ngu ci e̱ ho. 
ACT.2.15	Ko nné mbe rre̱ á shwe yankya we prre shi ne nyi ning hwie yi e̱ we̱ ho. Ka! Ne ewie nyi we ncwe̱ krruvaya na mincwe ne̱ e̱e̱? 
ACT.2.16	Me̱di, nke e̱ nyi kya ne Yowe nne ti re̱se̱ng ngu i ning he nka he:
ACT.2.17	‘Be̱ne̱ he:
ACT.2.17	nje ri kro nneywí zhwozhwo Nshe Wiri nje.
ACT.2.17	Ngbe rewerento ngbe rewerembrru nyi wé̱ ti re̱se̱ng nka nje,
ACT.2.17	zrre̱we nyi wé̱ ri re-ankya ne nje we ting,
ACT.2.17	hó rewe nyi wé̱ ri re-ankya ne nje we ting a revi.
ACT.2.18	Ee, he̱rri ngbe hwié nje ntó ngbe mbrrú,
ACT.2.18	nje ri we kro Nshe Wiri nje a rotu ana,
ACT.2.18	ngbe wé̱ ti re̱se̱ nka nje.
ACT.2.19	Nje ri nyi re-ankyang hwie̱ nga onu a zete zinye̱,
ACT.2.19	ngbe re-sheedeng hwie̱ nga onu a bebeng a be ngwie̱.
ACT.2.19	A ri bi roshwo, ngbe ro, ngbe ncwu be̱mbe̱mbe̱;
ACT.2.20	Ne̱ ri bra re ci ywing,
ACT.2.20	ngbe yhwe̱ we̱ bra we̱ ci zhwuuzhwuuzhwuu shi nyi roshwo,
ACT.2.20	wire brra otu grime̱ Brrabe̱ we̱ be.
ACT.2.21	Wire ko nye̱ ne ngu kyié̱ Brrabe̱ we̱ she drre̱.’
ACT.2.22	“Re-gimbe, nné Isrreela, nyi sa uucwu nyi ho nka ne̱! Jesu, nne Nazarra a nyi ngu ne Be̱ne̱ ngu i níng ting we gbeng he ngu ki te ne igbe̱ ngu na Be̱ne̱ ne re-cwuong hwie̱ nga onu, ngbe ngbá re-ankya, ngbe re-sheede ne Be̱ne̱ ngu i nyi nwie nyi a yarri ngu, we shi ne nyi hu re̱se̱ng we nci nyi. 
ACT.2.23	Ngu ne á i níng ngwa ngu ye̱ye̱rri ne kya ne Be̱ne̱ ngu i ke̱nce̱ rweng ngbe ne ke̱nce̱ hu re̱se̱ng na ngu, nyi ki yhwe̱ a nva nné e̱ngwie̱ ne mbe ki cwe gyé̱ a gasankwe.
ACT.2.24	Me̱di Be̱ne̱ e̱ ki deze a nhu, aa ki ti a nva igbe̱ ge̱zhe̱ hu, aha ko shi hu re ki drre̱ we̱.
ACT.2.25	Dooda i he nka a rici ngu he:
ACT.2.25	‘Nje ke̱nce̱ ri Brrabe̱ ko zohu zhe a ncwuee nje,
ACT.2.25	aha a shi a nva nyye nje, ngbe de̱ n ci owu we̱.
ACT.2.26	Aha nii, nje nyi rekwi he̱rri nti nka ne mbe wrru nu nje e̱ nyi na ehwie kla,
ACT.2.26	he̱rri nje shi srra nwie sa riyii a kya ne Be̱ne̱ shi ning nying;
ACT.2.27	aha ko ngwe̱ ri we wu nje a nwie nné kwi we̱,
ACT.2.27	aha ko ngwe̱ ri we Nne Wiri ngwe̱ re vi we̱.
ACT.2.28	Ngwe̱ ning ti rêng she ce;
ACT.2.28	a nyyi ngwe̱, ngwe̱ ri ning ngwa ehwie kla kpe̱kpe̱.’
ACT.2.29	“Re-gimbe nje, nné Isrreela, nje níng ting we dengge he yo nzhi Dooda i hu á bra ki nyie̱. Ria ngu a ning shi he̱rri re be wre̱ cwu ne̱. 
ACT.2.30	Me̱di a i nyi nne ti re̱se̱ng, aa bra i hu he Be̱ne̱ e̱ ki sa jee ne shí he ngu shi ci ya a tsi nzhwe ngu a ncwu ringgwe̱ ngu.
ACT.2.31	Dooda ne ngu i ke̱nce̱ ring, aa ti vu Krristi nhu he:
ACT.2.31	‘Koó ki we a nwie nné kwi we̱,
ACT.2.31	ko rwe̱ ngu vi we̱.’
ACT.2.32	Be̱ne̱ i deze Jesu a nce, ga nzhi ne̱ zhwozhwo nzhi nyi re-sheede kya ngu ci e̱. 
ACT.2.33	Á ki deze ne grime̱ re nzhi nva nyye Be̱ne̱, aa ya se̱ Nshe Wiri ne ngu i ning sa jee a nwie Be̱, aa níng krong, kya a nyi ngwiee nyi ri re-ankya ne nzhi nyi, nyi bra ho re-nka ne nzhi he ne̱. 
ACT.2.34	Aha ko nyi Dooda ngu i ngra re nzhi zinye̱ e̱ we̱, me̱di a i he,
ACT.2.34	‘Brrabe̱ he ne Brrabe̱ nje:
ACT.2.34	Srra a nva nyye nje,
ACT.2.35	Se nje ci rwinkó ngwe̱
ACT.2.35	ré hwie̱ a tahwie ngwe̱.’
ACT.2.36	“Aha nii, nde nné Isrreela zhwozhwo ré hu cence he Be̱ne̱ ci ngu Jesu ne nyi ki ci gasankwe e̱ aa hwie̱ Brrabe̱ ngbe Krristi.”
ACT.2.37	A zhe ne nné nna mbe ho ni, aa we cwu ronu rie mbe, ngbe mbe e̱ he ne Pita ngbe kpi nnenté nna he, “Re-gimbe, kya ne nzhi shi nying nna nyi nda?”
ACT.2.38	Pita a we shing he, “Ko nye̱ nyi re se̱ ywe̱ ré ki nyi batisma a yarri lo Jesu Krristi aha ngbe ré níng we re-e̱ngwie̱ nyi ne nyi nyi, ngbe nyi e̱ she kya na na Be̱ne̱, ne ngu nyi Nshe Wiri. 
ACT.2.39	Jee ne Be̱ne̱ ngu i níng sang nna nyi na nyi ngbe rewe nyi, ngbe nné mbiye ne mbe shi ze̱nze̱ zhwozhwo — ga mbe zhwozhwo ne Be̱ne̱ Brrabe̱ nzhi shi we ye.”
ACT.2.40	Pita a we brro nka we brro we brro nwie we shwe̱ rehwie; aa cwe nva ne mbe he, “Nyi yaa kye̱ a nze̱ bi hwie̱ ne̱!” 
ACT.2.41	Nné mbe ne mbe se̱ nka ngu, á we nyi batisma, ngbe nné weje ci wetsie̱ e̱ ning brang a zete nné ce̱ nka. 
ACT.2.42	Á ngwa nci mbe nwie ho nka ne nnenté mbe we mie̱ng, nwie mwe rici ngbe ne re-gimbe ne mbe hwin brredi re ye, nwie ku Be̱ne̱ gbengbe.
ACT.2.43	Ko nye̱ ci owu aha zhwe ngbá re-sheede ngbe re-cwuong hwie̱ nga onu piriri ne nnenté nna mbe nyi. 
ACT.2.44	Ga nné ce̱ nka zhwozhwo srrá we gbengbe nwie yaa sheng ne ko nda mbe bi ne onu zunzrru.
ACT.2.45	Á srra ngbe ya we̱ rie̱ ebe ka yankya ngu, ngbe wé̱ yaa kyeng ye̱ye̱rri ne kya ne ko nye̱ rā bi. 
ACT.2.46	Ko zohu otu á srra re mwe gbengbe a agrraa Brranyi. Á hwín brredi nwie yeng gbengbe a reri mbe, á ye re shwe ne rekwi ne rehwie sheng. 
ACT.2.47	Á srra re de Be̱ne̱, he̱rri á bi roshwo rina a nwie ga nné zhwozhwo. Ko zohu otu Brrabe̱ cwo we ci re ning bra ci piriri ne nné ne mbe cwo she kyia.
ACT.3.1	A ya otu Pita ngbe Yohana á shi ciee re nzhi Brranyi a ncwe̱ wetsie̱ na ne̱hin, a zheng ku Be̱ne̱. 
ACT.3.2	A a bi ya nne ne de̱ ngu i ki bî ne ku. Á ki ko re cwo mi Brranyi ko zohu otu, wé̱ ki sa a brra onusinye ne e ki ye he Brra Onusinye Rina aha re srra miimi re ce̱ ankya a nwie nné ne mbe ngwi a Brranyi. 
ACT.3.3	A zhe ne ngu ri Pita ngbe Yohana mbe shi ngwie, ngu a we cwe nva he ka ré ki na ncwe̱. 
ACT.3.4	Pita ngbe Yohana mbe e̱ ki ri we gbing, ngbe Pita a he ne ngu he, “Níng ri!” 
ACT.3.5	Nne nna a ci nkwile̱ nwie mbe he ka ngu shi she yankya a nwie mbe.
ACT.3.6	Wire Pita a he ne ngu he, “Ko nje bi ko ya ncwe̱ ngbe n re ngwa we̱, me̱di kya ne nje bi e̱ nyi nke: a yarri lo Jesu Krristi nne Nazarra nje he ngwe̱ deze ngbe ngwe̱ cwo ciee!” 
ACT.3.7	Pita a ki pie va nyye, ngu a ki sheng ngbe re deze. We zhe zunzrru rebenta ngu ngbe re-dundu ngu á ci igbe̱. 
ACT.3.8	Ngu a hru deze nwie yo yo ne nta ngu, ngu a ne̱ ne cwo ciee. Ngu a we zhwe re nzhi yarri Brranyi nwie cwo re hrru re de Be̱ne̱. 
ACT.3.9	A zhe ne nneywí zhwozhwo mbe ki ri ngu cwo ciee re de Be̱ne̱ ni, 
ACT.3.10	á hu he nyi ngu ne ngu srra a brra onusinye Brranyi ne e ki ye he Brra Onusinye Rina re ce̱ ankya, ga mbe zhwozhwo ne̱ ne yo nwie nye̱ we ronu aha kya ne ngu ci ne nne nna.
ACT.3.11	A zhe ne nne nna ngu shi we nwie krru Pita ngbe Yohana, ga nneywí zhwozhwo kro nta be ncii re be nwie mbe a nwie ne e ki ye he Farranda Solomo nwie nye̱ we ronu.
ACT.3.12	A zhe ne Pita ngu ri ni, ngu a he ne mbe he, “Nné Isrreela, ngge ne̱ e̱ níng ci nyi hwie̱ nye̱ ronu aha nda? Nyi nda ngu ci ne nyi kro nyyi nwie níng di ni e̱? Ka nyi hwie shi shi nyi ne igbe̱ rici nzhi ka e̱kpe̱e̱ wiri nzhi ne nzhi ki ci ngu ne̱ ne cwo ciee ne̱ e̱e̱? 
ACT.3.13	Be̱ne̱ Ibrrahin ngbe na Ishaku ngbe na Yakubu, Be̱ne̱ re-yo nzhi e̱ ci hwie ngu Jesu grime̱. Nyi i ki ngwa ngbe ré ki yhwe̱, nyi ki ra a nyyi Bilatu, ko ngbe ne Bilatu a i ce̱ ki cire.
ACT.3.14	Nyi ra Nne Wiri, Nne Redziee, nyi he re níng cire nne yhwi nné.
ACT.3.15	Nyi yhwe̱ nne ngwa ce, me̱di Be̱ne̱ e̱ ki deze a nhu. Nzhi ne̱ nzhi nyi re-sheede kya ngu ci e̱. 
ACT.3.16	A nyi aha sa rie a lo Jesu ne nne nyi ki zrre̱ ne nyi bra ki hu ne̱ ngu she igbe̱. A nyi lo Jesu ngbe sa rie ne ngu wru a nwie ngu ne ngu ci nne ne̱ ngu she kyia zhwozhwo we shi ne ga nyi zhwozhwo nyi ri ne̱.
ACT.3.17	“A zhe ne ne̱, re-gimbe, nje hu he nyi i nyi ngge ne̱ ne riywe̱ hung we shi nnencwueé nyi. 
ACT.3.18	Me̱di kya ne Be̱ne̱ i ke̱nce̱ ting we gbangba a nu nné ti re̱se̱ng zhwozhwo he Krristi ngu a ri shwe cinci, nyi nke ngu ci aa ci rrurru he ni ne̱. 
ACT.3.19	Aha nii, nyi se̱ ywe̱ nyi ning brru re be nwie Be̱ne̱ aha ngbe re níng yi re-e̱ngwie̱ nyi, 
ACT.3.20	aha ngbe Brrabe̱ re níng be mi ne zheng srra cwu ngbe nyi she igbe̱ a yarri ronu rie nyi; ngbe we̱ bra te Jesu ne ngu nyi Krristi na ne ngu ki kyie aha nyi e̱. 
ACT.3.21	A shi srra we zinye̱ se zhe ne Be̱ne̱ ri shi ci ko nda re ci hwing, shi ne ngu i he a nu nné ti re̱se̱ng ngu na wiri gbangba tiya. 
ACT.3.22	Musa i he, ‘Be̱ne̱ Brrabe̱ nyi e̱ ri níng te ne ya nne ti re̱se̱ng shi shi nje a tsi nné na nyi, nyi ri sa uucwu nyi ho ko nda ne ngu ri níng ting ho.
ACT.3.23	Á ri he zhe nna, ko nye̱ ne ngu ri ra ki ho nka, wé̱ ki ka ka ne nné ngu ngbe re ci shweni.’
ACT.3.24	“Cence, ga nné ti re̱se̱ng zhwozhwo kya ngu pie a Samela ngbe nné mbiye ne mbe ya be a merin ngu á i ke̱nce̱ he nka aha rotu ne̱. 
ACT.3.25	A nyi nyi ne nyi nyi (Ga re-jee ne Be̱ne̱ ngu i sa a nu nné ti re̱se̱ng ngbe re-na ne ngu i sa yó nying zhwozhwo á nyi na nyi) rewe ye gado nné ti re̱se̱ng ngbe jee ne Be̱ne̱ ngu i sa yó nying. A i he ne Ibrrahin he, ‘Aha nzhwe ngwe̱ ga nneywí a be ngwie̱ zhwozhwo shi she mwo rina.’
ACT.3.26	Aha ni Be̱ne̱ e̱ kyie Kowe ngu
ACT.4.1	A zhe ne Pita ngbe Yohana mbe shi we nwie he nka ne nneywí, ngbe re-prristi, ngbe nnencwuee nné cwo Brranyi, ngbe nné Sadukyi e̱ ya wre̱ nwie mbe. 
ACT.4.2	Rehwie mbe dzio we yang aha nnenté wehwie ne̱ á shi nwie mie̱ nneywí nka re we ting he a bi deze nhu aha Jesu deze nhu. 
ACT.4.3	Aha ni mbe e̱ pie Pita ngbe Yohana, mbe e̱ we ci a uucwu gyiaa se tu na ngu ning zhweng aha a zhe nna ne̱ e̱ yhwe̱. 
ACT.4.4	Me̱di nneywí piriri ne mbe ho nka nna, á ning sa rie. Ngbe nné ce̱ nka a ning bra ci piriri, he̱rri á cwu weje ci wecwuoo.
ACT.4.5	A tu na ngu ning zhweng, nné ringgwe̱ Yahudi, ngbe brrá nné, ngbe nné mie̱ Nti Nka á a ya tsu a Urrushelima. 
ACT.4.6	Á ya mwe ngbe Anasi ne ngu nyi Brra Prristi, ngbe Kayafa, ngbe ya ne e ki ye he Yohana, ngbe Alezanda, ngbe yá nné ri Brra Prristi. 
ACT.4.7	Mbe e̱ ci ré be mi ne Pita ngbe Yohana ré ya yo nyyi mbe. Mbe e̱ ne̱ ne we rin re-nka he: “A nyi zohu zhwe igbe̱, ka nyi ne lo nye̱ nyi ning nyi ngge ne̱?”
ACT.4.8	Wire Pita ne ngu shî ne igbe̱ Nshe Wiri ngu a he ne mbe he, “Nggwé̱ ngbe brrá nné nzhi: 
ACT.4.9	kundu ne a cwu ne̱ á níng ye ngbe ré níng rinng aha cwuo redziee ne e nyi nnenkung ne̱, he ka aa ce̱ rimi ngu ci gbingbi ye̱, 
ACT.4.10	nde ga nyi ngbe nné Isrreela a zhwozhwo nyi hu he: a nyi a yarri lo Jesu Krristi nne Nazarra ne nyi i ki ci gasankwe ne Be̱ne̱ ngu ning brru ki deze nhu ana, ne nne ngu yó a nyyi nyi ne̱ ngu ning ci gbingbi. 
ACT.4.11	A nyi ngu Jesu ne̱ ne krre̱de̱ Be̱ne̱ he:
ACT.4.11	‘Ngbaatsie ne nyi nné runo nyi ra,
ACT.4.11	nyi ngu ne ngu bra ya hwie̱ te̱nte̱ ngbaatsie.’
ACT.4.12	Ko bi ya nne ré hung she kyia nwie yaka ya nne we̱, aha ko bi yaka lo ne e ngwa nneywí a be ngwie̱ zhwozhwo ngbe ré ning she kyia we̱, se we nwie ngu.”
ACT.4.13	A zhe ne mbe ri zhwe rwe rie Pita ngbe Yohana mbe bra timi he koó nyi makrranta we̱, he á nyi we nné dede, mbe e̱ hwie̱ nye̱ we ronu. Mbe e̱ lu he á i shi ngbe ne Jesu. 
ACT.4.14	Me̱di koó bi kya he we̱, aha á rí nne ne e ki ci ngu ci gbingbi e̱ ngu yó miimi ngbe Pita ngbe Yohana. 
ACT.4.15	Aha ni mbe e̱ we ci ré wrru ci a zonggru rotsu nna, mbe e̱ ne̱ ne prre re-nka we nci mbe. 
ACT.4.16	Mbe e̱ he, “A nyi nda nzhi shi nying ne nné mbe rre̱?” Aha ko nye̱ a Urrushelima a hu he á nyi ya ngba yankyang hwie̱ nga onu, ko shi nzhi bra hung klo we̱. 
ACT.4.17	Me̱di aha nzhi we kpo kishi nka ne̱ ri se̱ ngwie̱ yu, nzhi we ngwa nka he shi de̱ ré bra he nka ne ya nne a yarri lo nne ne̱ wa we̱.
ACT.4.18	Wire mbe e̱ ning brru we ye ré ngwie yarring wa, mbe e̱ we ngwa nka he shi de̱ ré he ya nne nka, ka ré mie̱ nka a yarri lo Jesu wa we̱ ko tsie̱ tsie̱. 
ACT.4.19	Me̱di Pita ngbe Yohana a we shing he, “Nyi shwe̱ riyii nyi ri, a nyi zohu ngu shi ye̱ye̱rri a nyyi Be̱ne̱ e̱: nzhi zhwe nka nyi ka nzhi zhwe na Be̱ne̱? 
ACT.4.20	Aha ko shi nzhi hung we ni ti kya ne nzhi ri nzhi bra ho we̱.”
ACT.4.21	Ngbe brrá nné rotsu nna a ning bra we nye̱ yi, wire mbe e̱ we cire. Mbe e̱ ri ko bi rê mbe we ngwa ge̱zhe̱ we̱, aha ga nneywí e̱ shi we nwie de Be̱ne̱ aha kya ne ngu ci e̱. 
ACT.4.22	Aha ngu nne ne ngu she kyia nang hwie̱ nga onu ana aa hle re-rie nshwa weni.
ACT.4.23	A zhe ne e cire mbe Pita ngbe Yohana, mbe e̱ wre̱ ne ning brru re nzhi nwie nné na mbe. Mbe e̱ ya ne̱ ne we ti kya ne nggwé̱ re-prristi ngbe rotsu brrá nné mbe we heng. 
ACT.4.24	A zhe ne mbe ho ni, mbe e̱ fo cwue ze gbengbe nwie ku Be̱ne̱ he, “Brrabe̱, ngwe̱ ne ngwe̱ nyi zinye̱, ngbe ebe ngwie̱, ngbe brrá nzhwó rishi ngbe ga re-ankya ne mbe shi yarring zhwozhwo!
ACT.4.25	Ne Nshe Wiri, ngwe̱ i he nka a nu hwie ngwe̱, brra yo nzhi Dooda he:
ACT.4.25	‘Rimi ne Nné Nzhwe Ngwie̱ e̱ ti re̱me̱ e̱e̱?
ACT.4.25	Aha nda nné tsi ngwie̱ mbe prre re-nka we shweni e̱e̱?
ACT.4.26	Nggwé̱ ebe ngwie̱ e̱ á ci eyi,
ACT.4.26	nné ringgwe̱ e̱ ya mwe gbengbe,
ACT.4.26	a rici Brrabe̱ ngbe Krristi ngu.’
ACT.4.27	Cence Hirridu ngbe Buntu Bilatu i mwe gbengbe ngbe Nné Nzhwe Ngwie̱, ngbe nné Isrreela a brra ngwie̱ ne̱ nwie rwe onu a rici Kowe wiri ngwe̱ Jesu, ne ngwe̱ ki mia.
ACT.4.28	Á i nyi we kya ce̱ ngwe̱ ne ngwe̱ i ke̱she rwe sa ne igbe̱ ngwe̱ tu we gbangba he re ya ci ni. 
ACT.4.29	A zhe ne ne̱, Brrabe̱, ri zhwe nye̱ yi ne mbe níng nye̱ yi ne̱ ngbe ngwe̱ níng sheng, nzhi hwié ngwe̱, ngbe nzhi he nka ngwe̱ we dengge. 
ACT.4.30	Na va ngwe̱ ngbe ngwe̱ ning kyia nné ruhu, ngwe̱ nyi ngbá re-sheede ngbe re-ankyang hwie̱ nga onu a yarri lo hwie wiri ngwe̱ Jesu.”
ACT.4.31	A zhe ne mbe ku Be̱ne̱ yhwe̱, ewie ne mbe ning mwe e̱ gbe̱ zhwuzhwuzhwu. Ngbe mbe e̱ shî ne igbe̱ Nshe Wiri, mbe e̱ ne̱ ne ti nka Be̱ne̱ we dengge.
ACT.4.32	Ga nné ce̱ nka zhwozhwo ci onu zrru; hwie nka mbe shi zunzrru. Ko bi ko ya mbe ngu hwie he shi kya ngu bi e̱ nyi we na ngu nggaa ngu we̱, me̱di á yaa kyé ko nda ne mbe bi gbengbe.
ACT.4.33	Nnenté e̱ á ngwá sheede deze nhu Brrabe̱ Jesu ne igbe̱ we yang, ehwie rina Be̱ne̱ we yang shi zete mbe zhwozhwo. 
ACT.4.34	Ko bi ko ya mbe ngu nyi riywe̱ yankya we̱. Aha á srra ya zhe ngbe nné mbiye ne mbe bi rebe ka reri wé̱ rie̱ wé̱ be mi ne ncwe̱ nna 
ACT.4.35	wé̱ ya tsu a nwie nnenté, ngbe wé̱ kye ko nye̱ng ye̱ye̱rri ne ngu shi ki be.
ACT.4.36	Usufu ne nnenté ki ye he Barrnaba (ne a zhe nka mbe e̱ he Ewe Shwe̱ Nneywí Rehwie) ne ngu nyi nne Levi a ngwie̱ Kuprru, 
ACT.4.37	aa rie̱ ebe ngu, ngbe ngu a be mi ne ncwe̱ nna a nwie nnenté.
ACT.5.1	Me̱di a i bi ya nne ne e ki ye he Ananiya ngbe mbrru ngu Safirra, aa rie̱ ebe ngu ma. 
ACT.5.2	Aa vie kpi ncwe̱ nna ngu a sa aha rici ngu, mbrru ngu a hu re̱se̱ng kpe̱kpe̱, wire ngu a be mi ne re̱se̱ kya ngu hwie̱ e̱, ngu a ya ngwa nnenté fa.
ACT.5.3	Wire Pita a he ne ngu he, “Ananiya, rimi ngwe̱ we Shetani i ngwie hwie ngwe̱ he̱rri ngwe̱ cie̱ Nshe Wiri rabrra, ngwe̱ vie kpi ncwe̱ ne ngwe̱ ning rie̱ ebe e̱? 
ACT.5.4	Ne ngwe̱ rishi rie̱ ebe e̱, ko i nyi na ngwe̱ we̱ e̱e̱? Ma a zhe ne ngwe̱ rie̱, ko ncwe̱ nna nyi ngge ngwe̱ we̱ e̱e̱? Ma aha nda ngwe̱ hwie nkang nyi zhwe ngge ne̱? Ko nyi nneywí ngwe̱ we brra we̱, a nyi Be̱ne̱ ngwe̱ ki brra!” 
ACT.5.5	We ne Ananiya ho ni, ngu a gu kpe e hu. Ngbe brra owu a pie ko nye̱ ne ngu ho kya ngu ci e̱. 
ACT.5.6	Zrre̱we e̱ be e̱ ya gye̱ kwe nna, mbe e̱ fo mbe e̱ ya ki nyie̱.
ACT.5.7	Á ci weje awa wetsie̱, mbrru ngu a ya wre̱ we̱sa ne hu re̱se̱ kya ngu ci. 
ACT.5.8	Pita a ki rinng he, “Ning ting, a nyi kya ne nyi ning rie̱ ebe ne̱ nke e̱e̱?”
ACT.5.8	Ngu a ki shing he, “Ee, ncwe̱ nna nyi nke ana.”
ACT.5.9	Ngbe Pita a he ne ngu he, “Nyi ce̱ rimi nyi mwe onu aha nyi mwa Nshe Wiri Brrabe̱ e̱? Ri, nné ne mbe ya nyie̱ nto ngwe̱ e̱ á nyi nkiye a nusinye, á shi re fo re nzhi ci we ni ma!”
ACT.5.10	We zhe zunzrru, aa gu kpe a nyyi ngu, aa hu. Ngbe zrre̱we nna mbe e̱ ngwie, mbe e̱ ya timi ne ngu hu, mbe e̱ fo kwe nna re nzhi ci, mbe e̱ ya ki nyie̱ dudu ne nto ngu. 
ACT.5.11	Brra owu pie ekpri nné ce̱ nka zhwozhwo ngbe ko nye̱ ne ngu ho kya ngu ci e̱.
ACT.5.12	Nnenté e̱ nyi ngbá re-sheede ngbe re-ankyang hwie̱ nga onu we yang a tsi nneywí. Nné ce̱ nka zhwozhwo cwo mwe gbengbe a Farranda Solomo. 
ACT.5.13	Me̱di ko yaká nné ci e̱ hung yaa rwe ré mwe ngbe mbe we̱, ko ngbe ne nneywí e̱ á we ngwá grime̱ we yang. 
ACT.5.14	Gbengbe ni nneywí we yang ntó ngbe mbrrú ne mbe sa rie a Brrabe̱ cwo ne ning brang we bra. 
ACT.5.15	Aha re-ankya ne nnenté nna mbe i shi nying, nneywí wrrú mi ne nné ruhu re be mi a brrá re-rê, nwie we nywrra a re-katifa ngbe re-kpengye he ka rowu Pita re cie̱ a zete yá mbe a zhe ne ngu shi wara. 
ACT.5.16	Rigwe̱ nneywí wrrú a re-ngwie̱ ne mbe grra Urrushelima nwie cwo mi ne nné ruhu mbe, ngbe nné ne re-rije we yarra, ga mbe zhwozhwo á ci gbingbi.
ACT.5.17	Wire Brra Prristi i deze ngbe re̱se̱ nné ne mbe shi ngbe ngu, ne mbe shi a ekpri nné Sadukyi ne ehwie rro. 
ACT.5.18	Á prre nnenté nna mbe e̱ we ci a uucwu gyiaa. 
ACT.5.19	Me̱di a zhe totu, njeli Brrabe̱ ya kla re-nusinye uucwu gyiaa nna, ngu a we kwa re be ci, ngu a he ne mbe he, 
ACT.5.20	“Nyi ywa nyi ya yo a Brranyi nyi ti nneywí re̱se̱ nka ce hwi ne̱ zhwozhwo.”
ACT.5.21	A zhe mincwe we hwiehwie, mbe e̱ ya ngwie a Brranyi shi kya ne e we heng, ngbe mbe e̱ ne̱ ne mie̱ nneywí nka.
ACT.5.21	Brra Prristi ngbe nné ne mbe shi ngbe ngu mbe e̱ ya wre̱, mbe e̱ ye mwe Rotsu Brrá Nné — brra mwe na brrá nné Isrreela zhwozhwo — ngbe mbe e̱ te re nzhi uucwu gyiaa he re be mi ne nnenté nna. 
ACT.5.22	Me̱di a zhe ne nnencwuó nna mbe ywa, koó ya we she miimi we̱. Mbe e̱ ning brru re be ting he, 
ACT.5.23	“Nzhi ya she ronusinye uucwu gyiaa shi we she̱ ne re-ankyang hwie̱nng nna zhwozhwo ne nné cwong nna mbe yó a ronusinye; me̱di zhe nzhi kla ko nzhi bra she ko ya nne a yarring we̱.” 
ACT.5.24	Nggwé̱ re-prristi ngbe nnencwuee nné cwo Brranyi e̱ ho nka ne̱, aa we rwe rici we yang, á ne̱ ne hwie he, “Ma ngge ne̱ nyi nda ngu shi ci?”
ACT.5.25	Wire ya nne e̱ be ngu a he ne mbe he, “Ri, nné ne nyi we ci a uucwu gyiaa ana á shi yo a agrraa Brranyi nwie mie̱ nneywí nka!” 
ACT.5.26	Aha ni, nnencwuee nné cwo Brranyi e̱ ko nnencwuó ngu, ngbe ngu ya be mi ne nnenté nna. Me̱di koó we kwa ne igbe̱ we̱, aha á to owu kishi nneywí ri we ta ne rahwan.
ACT.5.27	A zhe ne mbe ya wre̱ mi ne nnenté nna, á we ci ré yo a nyyi Rotsu Brrá Nné nna aha ngbe Brra Prristi re we rin nka. 
ACT.5.28	A he ne mbe he, “Nzhi níng ngwa nka ne igbe̱ he shi de̱ nyi bra mie̱ nka a yarri lo ne̱ wa we̱, me̱di he̱rri ne cwu nyi se̱ ngwie̱ Urrushelima a yu ne mie̱ nka nyi ne̱, he̱rri nyi bra kre rê nyi níng ci nka he nyi nzhi ne nzhi ki yhwe̱.”
ACT.5.29	Pita ngbe kpi nnenté nna mbe e̱ ki shing he, “Nzhi e̱ nzhi zhwé kya ne Be̱ne̱ he, ko nzhi zhwé na nneywi we̱! 
ACT.5.30	Be̱ne̱ na yó nzhi e̱ i deze Jesu ne nyi i ki yhwe̱ a nwie ne nyi ki ria a gasankwe e̱. 
ACT.5.31	Be̱ne̱ e̱ ki fo ze re nzhi nva nyye ngu, aa ki ngwa grime̱ ngu na ringgwe̱ ngbe Nnenkyia, aha ngbe re ngwa nné Isrreela riwie̱ng si ywe̱ ngbe ré we we re-e̱ngwie̱ mbe. 
ACT.5.32	Nzhi e̱ nzhi nyi re-sheede re-ankya ne̱, ngu Nshe Wiri ne Be̱ne̱ e̱ ngwa nné mbe ne mbe zhwe nka ngu a nyi sheede ma.”
