GEN.1.1	Diɲyɛ tasìige e, Kile à nìɲyiŋi ná ɲìŋke dá. 
JHN.11.32	Mariyama à sà nɔ Yesu na ke, maa ɲcwo u fere e, maa jwo: «Kafooŋi, kàmpyi mu mpyi naha, mii sìɲɛɛŋi mpyi na sì n‑kwû mɛ.» 
JHN.11.33	Yesu à Mariyama ɲya u u mɛɛ súu, Yahutuubii pi mpyi wani kuru cyage e ke, maa pire ɲya pi i mɛɛ súu mú ke, ka u lùuni si yîri, ka u u yyahe tanha, 
JHN.11.34	maa pi yíbe: «Taa yii à Lazari buwuŋi yaha ke?» Ka pi i jwo: «Kafooŋi, pa ku cyage wíi.» 
JHN.11.35	Ka Yesu si mɛɛ sú. 
JHN.11.36	Yahutuubii pi à Yesu mɛɛsuwuŋi ɲya ke, ka pire si jwo: «Yii wíi, ŋge nàŋi kyaa mpyi a táan u á dɛ!» 
JHN.11.37	Ka pìi si jwo: «Uru u à fyin nàŋi ɲyiigii múgo, u mpyi na sì n‑jà Lazari sige kwùŋi na mà?»
JHN.11.38	Puru jwumpe saha à Yesu lùuni yîrige sèe sèl'e. Ɲyɛ pi à sà nɔ fanŋke na, kur'à pyi kafawyige, maa kafaaga tɛ̀g'a ku tò. 
JHN.11.39	Ka Yesu si pi pyi: «Yii kafaage láha fanŋke ɲwɔge na.» Buŋi sìɲɛɛŋi Marita mpyi wani, ka uru si Yesu pyi: «Kafooŋi, mu sí u nùge ta ku u fwore, u canmpyaa sicyɛɛre cyi ɲyɛ niɲjaa fanŋke e.» 
JHN.11.40	Ka Yesu si u pyi: «Mii ɲyɛ a yi jwo mu á na mu aha dá mii na na mu sí Kile sífente ɲya mà?» 
JHN.11.41	Ka pi i kafaage láha fanŋke ɲwɔge na. Ka Yesu si ɲùŋke dùrugo nìɲyiŋi i, maa jwo: «Tufooŋi, mii fwù ɲyɛ mu na, ɲaha na yɛ mu à mii ɲarege shwɔ. 
JHN.11.42	Mii wi ke, mii à cè na mu maha ɲɛɛge mii ɲareyi puni i, ŋka mii na yu amɛ, bà sùpyire puni ti naha a mii kwûulo ke, tire si mpyi si dá li na na mu u à mii tun mɛ.» 
JHN.11.43	U à puru jwo ke, maa jwo fànha na: «Lazari, yîr'a fworo naha!» 
JHN.11.44	Ka u u ntíl'a fworo fanŋke e, u tooyi ná u cyeyi mpyi a pwɔ, u yyahe s'à tò ná vàanɲyi i, ka Yesu si pi pyi pi yire puni sànhana a láha u na, pi i u yaha u a sì.
JHN.11.46	Ŋka pire pìl'à kàr'a sà Yesu kapyiiŋkii kyaa jwo 
JHN.11.47	Ɲyɛ ka 
JHN.11.48	Wuu aha u yaha u u ɲcyii karigii pyi, sùpyire puni sí n‑dá u na. Lire e ke 
JHN.11.49	Wà na mpyi pi e, pi maha uru pyi Kayifu. Uru u mpyi 
JHN.11.50	Yii ɲyɛ a cè shin niŋkin u kwû kìni puni kurugo, lir'à pwɔ́rɔ kìni sùpyire puni ti kɛ̀ɛgɛ mà?» 
JHN.11.51	Ɲyɛ Kayifu mpyi a puru jwumpe yige uye e mɛ. Bà u mpyi sáragawwuubii ɲùŋufembwɔhe lire yyeeni mɛ, lire kurugo Kile à puru jwumpe le u ɲwɔge e, u jwo na Yesu à yaa u kwû 
JHN.11.52	Ŋka Izirayɛli sùpyire kanni kurugo bà u sí n‑kwû mɛ. Kile pyìibii pi ɲyɛ diɲyɛ yyaha kurugo ke, u à yaa u kwû si pire puni wà piye na, si mpyi niŋkin. 
JHN.11.53	Kuru canŋke, Yahutuubii ɲùŋufeebil'à bɛ̂ li na na Yesu à yaa u bò. 
JHN.11.54	Ka Yesu si láha uye ɲcyèeŋi na sùpyir'á. Maa yîri wani mà kàre kànhe kà na síwage taan, kuru mɛge ɲyɛ Efirayimu, mà sà tère pyi wani ná u cyelempyiibil'e.
JHN.11.55	Ɲyɛ Yahutuubii 
JHN.11.56	Pi mpyi na Yesu caa, maa ŋkàre Kileɲaarebage ntàani na. Maa wá na piye yíbili: «Di ku ɲyɛ yɛ? Lire e ke u sì n‑pa kataanni na mà?» 
JHN.11.57	Lir'à Kile sáragawwuubii ɲùŋufeebii ná Farizhɛɛnbii ta pi à yi jwo sùpyir'á mà kwɔ̀ na shin maha shin ká Yesu saha cè ke, urufoo u sà yi jwo pir'á, bà pire si mpyi si u ta ɲcû mɛ.
JHN.12.2	Ka pi i yal'a shwɔhɔ Yesu á kuru kànhe na, Marita u mpyi na tire yalyire karigii cwɔɔnre. Lazari mú na mpyi ná Yesu i talyige e. 
JHN.12.3	Mà pi yaha pi i lyî, Mariyama à sìnmɛ nùguntan wumɔ loŋgara wumɔ
JHN.12.4	Yesu 
JHN.12.5	«Ɲaha na mpe sìnmpe ɲyɛ a pɛ́rɛ maa pu wyɛ́rɛŋi kan fòŋɔfeebil'á mà yɛ? Pu lwɔɔre mpyi na sí n‑jà shin niŋkin yyee niŋkin báara sàra kwɔ̀.» 
JHN.12.6	Zhudasi mpyi a puru jwumpe jwo fòŋɔfeebii kurugo mɛ, u na mpyi nàŋkaawa, uru u mpyi na wyɛ́rɛŋi bégeli, u mpyi maha wyɛ́rɛŋi lwúu. 
JHN.12.7	Ka Yesu si jwo: «Láha ceeŋi na! Mii canntoŋke kurugo u à nde pyi. 
JHN.12.8	Fòŋɔfeebii ɲyɛ naha ná yii e tèrigii puni i, mii sí sì n‑pyi ná yii e tèrigii puni i mà dɛ!»
JHN.12.9	Ɲyɛ 
JHN.12.10	l'à puru lógo ke, maa jwo: «Kampyi lire li, wuu sí Lazari bò» 
JHN.12.11	ɲaha na yɛ Lazari kurugo Yahutuubii niɲyahamii mpyi na dániyaŋi pyi Yesu na, marii fwore pire ɲwɔh'i.
JHN.12.12	Ɲyɛ kuru canŋke nùmpanŋa na, shinɲyahara na mpyi Zheruzalɛmu kànhe e 
JHN.12.13	Ka pi i sháhaŋkeɲyi kyɛɛgɛ maa fworo na Yesu bêni. Pi mpyi na ŋko fànha na:
JHN.12.13	«Yabwɔhe!
JHN.12.13	Ŋgemu u ɲyɛ na ma Kafooŋi Kile mɛge na ke,
JHN.12.13	Kile u jwó le u á!
JHN.12.14	Yesu à dùfaanɲjaaga ta a dùg'a tɛ̀ɛn, mu à jwo bà l'à sémɛ Kile Jwumpe Semɛŋi i na:
JHN.12.15	«
JHN.12.15	Yii wíi, yii saanŋi na ma,
JHN.12.15	u à tɛ̀ɛn dùfaanɲjaaga
JHN.12.17	Ɲyɛ sùpyire ti mpyi ná Yesu i, Lazari buwuŋi taɲɛŋke e fanŋke na ke, tire mpyi na lire kani yyaha yu. 
JHN.12.18	Lire kakyanhani Yesu à pyi ke, lire kyaa sùpyir'à lógo maa fwor'a kàr'a sà u ɲùŋɔ bɛ̂. 
JHN.12.19	l'à lire ɲya ke, maa wá na yu piy'á: «Yii yabilimpii ɲyii wà u na kɛ! Ali yafyin, wuu sì n‑jà li pyi ŋge nàŋi na mɛ, ɲaha na yɛ diɲyɛ pun'à taha u fye e.»
JHN.12.20	Kataanni tèni i, mpii pi mpyi a pa Zheruzalɛmu i mpa Kile ɲáare ke, 
JHN.12.21	Ka pire Girɛkiibii pìi sí yîr'a nɔ Filipi na, ŋge u mpyi na yîri Bɛtisayida kànhe e, Galile kùluni i ke, maa jwo: «Wuu na mu ɲáare, wuu la ɲyɛ si Yesu ɲya.» 
JHN.12.22	Ka Filipi si ŋkàr'a sà yi jwo Andire á, ka pi mú shuunni si yîr'a kàre Yesu yyére, mà sà yi jwo. 
JHN.12.23	Ka Yesu si pi pyi: «Tèn'à nɔ numɛ, 
JHN.12.24	Maa núr'a jwo: «Sèeŋi na mii sí n‑sìi yi jwo yii á, sùmabilini ká mpyi li ɲyɛ a jyè ɲìŋke e maa fwɔ́nhɔ mɛ, li maha ŋkwôro liye niŋkin, ŋka l'aha jyè ɲìŋke e maa fyîn a fworo, li maha yasɛrɛ niɲyahara pyi. 
JHN.12.25	Ŋgemu la ká mpyi si u niɲjaaŋi yaa ɲwɔ ke, urufoo sì nùmpanŋa ta mɛ, ŋka ŋgemu ká kàntugo wà u niɲjaaŋ'á ke, urufoo sí nùmpanŋa ta. 
JHN.12.26	Shin maha shin la ká mpyi s'a báare mii á ke, u à yaa u taha mii fye e. Cyage e mii ɲyɛ ke, mii báarapyiŋi sí n‑pyi wani mú. Ŋgemu ká a báare mii á ke, Tufooŋi sí urufoo pêe.»
JHN.12.27	Ka Yesu si núr'a jwo: «Numɛ, mii funŋk'à pɛn, tá mii ɲyɛ a yaa mii u Tufooŋi ɲáare u na shwɔ nde tèni yyefuge na mɛ? Ŋka mii à pa diɲyɛŋi i nde tèni yyefuge mɛɛ na. 
JHN.12.28	Tufooŋi, ma mɛge mpèeŋi cyêe.» Ka mɛjwuu si yîri nìɲyiŋi na: «Mii à ku pêe mà kwɔ̀, ŋka mii sí ku pêe sahaŋki.»
JHN.12.29	Sùpyire ti mpyi wani kuru cyage e, maa lire mɛjwuuni lógo ke, ka pìi si jwo: «Kileŋ'à tîn.» Ka pìi si jwo: «Kile mɛ̀lɛkɛŋi wà u à jwo ná u e.» 
JHN.12.30	Ka Yesu si pi pyi: «Nde mɛjwuuni ɲyɛ a fworo nìɲyiŋi na mii kurugo mɛ, yii kurugo l'à fworo. 
JHN.12.31	Numɛ Kile sí yoge kwɔ̀n diɲyɛ sùpyire na, si ŋge diɲyɛŋi ɲùŋufooŋi kɔ̀rɔ ɲjîrige u ɲùŋufente na. 
JHN.12.32	Mii aha bú yîri ɲìŋke na mà dùgo nìɲyiŋi na, mii sí sùpyire puni yyaha kɛ̂ɛnŋɛ naye yyére.» 
JHN.12.33	Yesu mpyi na sí n‑kwû pyiŋkanni ndemu na ke, lire u mpyi a jwo a cyêe sùpyire na amɛ. 
JHN.12.34	Ka sùpyire si u pyi: «L'à sémɛ Kile Jwumpe Semɛŋi i na “
JHN.12.35	Ka Yesu si pi pyi: «Bɛ̀ɛnmpe saha ɲyɛ yii shwɔhɔl'e, pu sì mɔ sahaŋki mɛ, yii a ɲaare pu na, bà numpini si mpyi l'àha bú mpâa yii e mɛ, numpini ɲaarafooŋi ɲyɛ a u tashage cè mɛ. 
JHN.12.36	Bɛ̀ɛnmpe na ɲyɛ yii shwɔhɔl'e numɛ, ŋge u à puru bɛ̀ɛnmpe kan ke, yii dá uru na, bà yii si mpyi si mpyi puru bɛ̀ɛnmpe e mɛ.»
JHN.12.36	Yesu à puru jwo ke, maa yîri pi taan ma kàre cyage kabɛr'e, maa sà ŋwɔhɔ wani.
JHN.12.37	Yesu mɛ́n'à kakyanhala karii niɲyahagii pyi sùpyire ɲyii na ke, lire ɲyɛ a pi pyi pi à dá u na mɛ. 
JHN.12.38	Lir'à pyi ke, 
JHN.12.38	«Kafooŋi Kile, jofoo u à dá wuu jwumpe na yɛ?
JHN.12.38	Jofoo na Kafooŋi Kile à u sífente cyêe yɛ
JHN.12.39	Nde li mpyi a pi pyi pi sì n‑jà n‑dá mɛ, Ezayi à lire yyaha jwo. U à jwo:
JHN.12.40	«Kile à pi pyi fyinmii,
JHN.12.40	maa pi funɲyi tò,
JHN.12.40	ɲaha na yɛ nde pi la ɲyɛ si zìi vyìinnɛ ke,
JHN.12.40	lire li ɲyɛ ɲyiɲyaani
JHN.12.40	ná karigii yyahe ɲcèŋi
JHN.12.40	ná pi mpaŋi mii Kile yyére si ticuumpe ta
JHN.12.41	Ezayi mpyi a Yesu pèente ɲya, maa u kyaa jwo, lire kurugo u mpyi a puru jwumpe jwo.
JHN.12.42	Ŋka puru jwumpe ná pu wuuni mú i, 
JHN.12.43	Sùpyire t'a Yahutuubii ɲùŋufeebii pêre, lir'à táan pi á mà tòro Kile u a pi pêre.
JHN.12.44	Canŋka Yesu à jwo fànha na: «Ŋgemu ká dá mii na ke, urufoo ɲyɛ a dá mii kanni na mɛ, urufoo mú à dá mii tunvooŋi na. 
JHN.12.45	Ŋgemu ká mii ɲya ke, urufoo mú à mii tunvooŋi ɲya. 
JHN.12.46	Mii wi ke, mii à pa ŋge diɲyɛŋi i si mpyi bɛ̀ɛnmɛ, bà shin maha shin u à dá mii na ke, urufoo kà núru ɲaare numpini i mɛ. 
JHN.12.47	Ŋgemu ká mii jwumpe lógo, u sí ɲyɛ na pu kurigii ɲaare mɛ, mii bà u sí yoge kwɔ̀n urufoo na mɛ. Mii ɲyɛ a pa si mpa yoge kwɔ̀n diɲyɛŋi na mɛ, mii à pa si mpa u shwɔ. 
JHN.12.48	Ŋgemu ká mii ná na jwumpe cyé ke, yoge sí n‑kwɔ̀n urufoo na. Mii jwumpe niɲjwumpe pu sí yoge kwɔ̀n urufoo na diɲyɛŋi canŋkwɔge. 
JHN.12.49	Mii ɲyɛ a jwo naye ɲùŋɔ kurugo mɛ, mii Tuŋi u à mii tun ke, uru u à mii jwumpe niɲjwumpe puni cyêe mii na. 
JHN.12.50	Mii mú s'à cè na puru jwumpe pu maha shìŋi niŋkwombaaŋi kaan sùpyaŋ'á. Tufooŋi à yi jwo mii á jwuŋkanni ndemu na ke, amuni mii à yi taha yii á.»
JHN.13.2	Yesu ná u 
JHN.13.3	Yesu mpyi a cè na Tufooŋi à sífente puni le uru cye e, maa ɲcè mú na ur'à fworo Kile e, na uru sí núru n‑kàre Kile yyére.
JHN.13.4	Ka u u yîri talyige e, maa u vàanntinmbwɔhe wwû mà yaha, maa vàanŋke kà lwɔ́ mà tɛ̀g'a uye bînni
JHN.13.5	Maa lwɔhe kà le yaage k'e mà tɛ̀gɛ na u cyelempyiibii puni niŋkin niŋkinŋi tooyi jyíi, maa yi cwuuge ná vàanŋke e.
JHN.13.6	U à pa nɔ Simɔ Pyɛri na ke, ka uru la si mpyi si ɲcyé, maa jwo: «Kafooŋi, mu yabiliŋi u sí mii tooyi jyé la?» 
JHN.13.7	Ka Yesu si u pyi: «Nde mii na mpyi ke, mu sì n‑jà lire ɲwɔhe cè numɛ mɛ, fo kàntugo yyére.» 
JHN.13.8	Ka Pyɛri si jwo: «Ɔnhɔ! Mu sì n‑sìi mii tooyi jyé mɛ.» Ka Yesu si jwo: «Mii aha mpyi mii ɲyɛ a mu tooyi jyé mɛ, mii ná mu kawwoo saha ɲyɛ mɛ.»
JHN.13.9	Ka Simɔ Pyɛri si jwo: «Kafooŋi, l'aha mpyi amuni, ma hà na tooyi kanni jyé mɛ, mii cyeyi ná ɲùŋke mú jyé.» 
JHN.13.10	Ka Yesu si jwo: «Ŋgemu u à wùl'a cwó ke, urufoo tɛgɛni li ɲyɛ mà tooyi jyé. Ɲyɛ yii s'à 
JHN.13.11	Yesu mpyi a cè na wà sí uru le cye e, u bá mpyi a urufoo cè, lire na u à jwo pi puni ɲyɛ a fíniŋɛ mɛ.
JHN.13.12	Yesu à pi tooyi jyé a kwɔ̀ ke, maa u vàanntinŋke le maa ntɛ̀ɛn talyige e maa pi yíbe: «Nde mii à pyi yii na numɛ ke, yii à lire ɲwɔhe cè la? 
JHN.13.13	Yii maha mii yiri “Cyelentuŋi” ná “Kafooŋi.” Yii tànga na ɲyɛ, mii u ɲyɛ ure. 
JHN.13.14	Ɲyɛ mii u ɲyɛ yii Kafooŋi ná Cyelentuŋi ke, mii à yii tooyi jyé, kuru cyage e yii mú à yaa yii a yiye tooyi jyíi. 
JHN.13.15	Mii à nde pyi a cyêe yii na, bà mii à li pyi mɛ, yii mú s'à li pyi ná yiye e. 
JHN.13.16	Sèeŋi na mii sí n‑sìi yi jwo yii á, báarapyiŋi sì n‑jà n‑pêe u ɲùŋufooŋi na mɛ, tùnntunŋi mú sì n‑jà n‑pêe u tunvooŋi na mɛ. 
JHN.13.17	Numɛ, yii à ɲcyii karigii cè, yii aha ɲɛɛ na ntùuli cyi jwuŋkanni na, yii wuuni sí ɲwɔ.
JHN.13.18	Yii puni kyaa na bà mii ɲyɛ mɛ, mpii mii à cwɔɔnrɔ ke, mii à pire cè. Ŋka Kile Jwumpe Semɛŋi à mpemu jwo ke, p'à yaa pu fûnŋɔ. L'à sémɛ
JHN.13.18	“Mii lyìɲɛɛŋ'à mii tɔɔge lwɔ́
JHN.13.19	Mii na puru yu yii á numɛ, si yaa ná li tèepyiini i l'à nɔ, l'aha bú nɔ, bà yii si mpyi si ɲcè na “Mii u ɲyɛ ŋge u ɲyɛ ke
JHN.13.20	Sèeŋi na mii sí n‑sìi yi jwo yii á, ŋgemu ká ɲɛɛ mii tùnntunŋi na ke, urufol'à ɲɛɛ mii na, ŋgemu sí ká ɲɛɛ mii na ke, urufol'à ɲɛɛ mii tunvooŋi na mú.»
JHN.13.21	Ɲyɛ Yesu à puru jwumpe jwo ke, ka u funŋke si mpɛn sèl'e. Ka u u pu fíniŋ'a jwo pi á: «Sèeŋi na mii sí n‑sìi yi jwo yii á, shin niŋkin na naha yii shwɔhɔl'e, ŋge u sí n‑pa mii le cye e ke.»
JHN.13.22	U à puru jwo ke, ka 
JHN.13.23	Yesu cyelempyaŋi kyaa li mpyi a táan u á sèl'e ke, uru u mpyi a tɛ̀ɛn u taan talyige e. 
JHN.13.24	Ka Simɔ Pyɛri si cyɛge yîrige u á, na u Yesu yíbe shinŋi kyaa na u ɲyɛ ke. 
JHN.13.25	Ka uru cyelempyaŋi si fɛ̂ɛn Yesu kàmpanŋke na, maa u yíbe: «Kafooŋi, jofoo kyaa na mu ɲyɛ yɛ?» 
JHN.13.26	Ka Yesu si u pyi: «Mii sí ŋke bwúurukwɔnge fyinmɛ. Mii aha ku kan ŋgemu á ke, urufoo kyaa li. Amuni u à bwúuruŋi lwɔ́, maa u kan Simɔ Isikariyoti jyaŋi Zhudasi á.» 
JHN.13.27	Cyage e bwúuruŋ'à kan Zhudasi á ke, ka Sitaanniŋi si ntíl'a jyè u e. Ka Yesu si u pyi: «Nde mu la ɲyɛ si mpyi ke, li pyi fwɔfwɔ.»
JHN.13.28	Ŋka Yesu lyìɲɛɛŋi wà mpyi a mpe jwumpe ɲwɔhɔ cè mɛ. 
JHN.13.29	Zhudasi u mpyi na wyɛ́rɛŋi bégeli ke, ka pìi si wá na sɔ̂nŋi na Yesu à u tun u sà kataanni yaayi yà shwɔ, lire ɲyɛ mɛ u sà fòŋɔfeebii pìi kan
JHN.13.30	Zhudasi à bwúurukwɔnge shwɔ a lyî cyage ŋkemu i ke, maa ntíl'a funŋke wyɛ̀rɛŋ'a fworo. Numpilage mpyi a wwɔ̀ a kwɔ̀.
JHN.13.31	Ɲyɛ Zhudasi Isikariyoti à fworo ke, ka Yesu si jwo u 
JHN.13.32	Lire ká mpyi, li saha sì mɔ mɛ, Kile sí u sífente kan Supyaŋi Jyaŋi á pi ŋgwòŋi funŋke e. 
JHN.13.33	Mii pyìibii, mii saha sì mɔ ná yii e mɛ. Yii sí raa mii caa, ɲje mii à jwo 
JHN.13.34	Lire kurugo mii sí to nivɔnŋɔ kan yii á. Yii yiye kyaa táan yiy'á. Bà yii kyal'à táan mii á mɛ, yii yiye kyaa táan yiy'á lire pyiŋkanni na. 
JHN.13.35	Tàange ká mpyi yii shwɔhɔl'e, lire e sùpyire puni sí n‑cè na yii ɲyɛ mii cyelempyii.»
JHN.13.36	Ka Simɔ Pyɛri si Yesu yíbe: «Kafooŋi, lire tèni i ke, taa mu kɛ̀ɛge ke?» Ka Yesu si u pyi: «Mu sì n‑jà n‑pa mii fye e numɛ mɛ, kàntugo yyére, mu sí n‑ta n‑pa mii fye e.» 
JHN.13.37	Ka Pyɛri si núr'a u pyi: «Kafooŋi, ɲaha kurugo mii sì n‑jà n‑pa mu fye e numɛ mà yɛ? Mii à tɛ̀ɛn li tɛɛnl'e si na múnaani kan mu kurugo.» 
JHN.13.38	Ka Yesu si u pyi: «Sèe la? Mu sí ɲɛɛ ma múnaani kan mii kurugo la? Sèeŋi na mii sí n‑sìi yi jwo mu á, ŋkùpecyiini sí mu ta mu à jwo a nɔ tooyo taanre na na mu ɲyɛ a mii cè mɛ.»
JHN.14.1	Lire kàntugo Yesu à jwo u 
JHN.14.2	Mii Tuŋi pyɛnge e, tatɛɛngɛ na ɲyɛ wani sèl'e, kàmpyi lire bà mɛ, mii mpyi na sì ɲɛɛ n‑jwo na mii sí tatɛɛngɛ bégele n‑yaha yii yyaha na mɛ. 
JHN.14.3	Mii aha cyage bégel'a kwɔ̀, mii sí núru n‑pa yii fye e, si yii lwɔ́ si ŋkàre cyage e mii sí n‑pyi ke. 
JHN.14.4	Cyage e mii na ŋkɛ̀ɛge ke, yii à lire kuni cè a kwɔ̀.»
JHN.14.5	Ka Tomasi si Yesu pyi: «Kafooŋi, wuu bá ɲyɛ a mu tashage cè mɛ, di wuu sí n‑pyi si kuni cè yɛ?» 
JHN.14.6	Ka Yesu si u pyi: «Mii u ɲyɛ kuni, mii u ɲyɛ ná sèeŋi i, mii u ɲyɛ shìŋi niŋkwombaaŋifooŋi. Sùpya sì n‑jà nɔ Tufooŋi yyére ná urufoo ɲyɛ a tòro mii yyére mɛ. 
JHN.14.7	Kàmpyi yii mpyi a mii cè, yii mpyi na sí mii Tuŋi cè mú. Numɛ yii à u cè, yii à u ɲya mú.»
JHN.14.8	Ka Filipi si jwo: «Kafooŋi, Tufooŋi cyêe wuu na, lire kanni sí wuu tìn.» 
JHN.14.9	Ka Yesu si u pyi: «Filipi, niɲjaa kyaa bà l'à mii ná yii yaha siɲcyan mɛ, mu sí sàha ŋkwɔ̀ a mii cè mà? Shinŋi u à mii ɲya ke, urufol'à Tufooŋi ɲya mú. Ka mu u núr'a jà a jwo na mii u Tufooŋi cyêe yii na la? 
JHN.14.10	Lire tèni i ke, mu ɲyɛ a dá li na na mii ná Tufooŋi à sàa wwɔ̀ mà? Mpe mii na yu yii á ke, mii ɲyɛ na pu yige naye e mɛ. Mii ná Tufooŋi u à wwɔ̀, ka u u wá na u karigii pyi mii cye kurugo. 
JHN.14.11	Yii dá na jwumpe na na mii ná Tufooŋi a sàa wwɔ̀. Mii jwumpe ká mpyi pu ɲyɛ a yii tìn mɛ, yii dá li na mii kapyiiŋkii kurugo. 
JHN.14.12	Mii kɛ̀ɛge Tufooŋi yyére, lire kurugo sèeŋi na mii sí n‑sìi yi jwo yii á, ŋgemu ká dá mii na ke, karigii mii na mpyi ke, urufoo mú sí n‑jà raa cyire pyi, urufoo sí n‑pa raa cyìi pyi ɲcyiimu cyi à pêe ndògogii na ke. 
JHN.14.13	Yii aha kyaa maha kyaa ɲáare Tufooŋi á ná mii mɛge e ke, mii sí lire pyi, bà Jyafooŋi si mpyi si Tufooŋi pèente cyêe sùpyire na mɛ. 
JHN.14.14	Yii aha kyaa maha kyaa ɲáare ná mii mɛge e ke, mii sí lire pyi.
JHN.14.15	Kampyi mii kyal'à táan yii á, yii sí raa mii toŋi kurigii ɲaare. 
JHN.14.16	Mii sí Tufooŋi ɲáare u u Tɛgɛfooŋi wabɛrɛ kan yii á, bà uru si mpyi si ŋkwôro ná yii e tèrigii puni i mɛ. 
JHN.14.17	 li ɲyɛ uru Tɛgɛfooŋi. Lire maha sèeŋi yu, diɲyɛ sùpyire sì n‑jà li ta mɛ, ɲaha na yɛ pi ɲyɛ na li ɲaa, nta ɲjyére si li cè mɛ. Ŋka yii pi ke, yii à li cè, ɲaha na yɛ li ɲyɛ yii taan maa mpyi yii e mú. 
JHN.14.18	Mii sì yii yaha círimii fiige mɛ. Ŋka mii sí núru n‑pa yii fye e. 
JHN.14.19	Li saha sì mɔ mɛ, diɲyɛ sùpyire saha sì raa mii ɲaa mɛ, ŋka yii pi ke, yii sí raa mii ɲaa. Mii sí bá ɲɛ̀ n‑fworo kwùŋi i, lire kurugo yii mú sí shìŋi niŋkwombaaŋi ta. 
JHN.14.20	Kuru canŋke ká nɔ, yii sí n‑cè na mii à wwɔ̀ ná Tufooŋi i, yii sí n‑cè na yii à wwɔ̀ ná mii i mú, mii mú s'à wwɔ̀ ná yii e. 
JHN.14.21	Ŋgemu ká mii toŋi karigii lógo, maa cyi kurigii ɲaare ke, urufol'à mii kyaa táan uy'á. Ŋgemu ká mii kyaa táan uy'á ke, mii Tuŋi mú sí urufoo kyaa táan uy'á, mii mú sí urufoo kyaa táan nay'á, si naye cyêe urufoo na.»
JHN.14.22	Yesu cyelempyaŋi wà mɛge na mpyi Zhudasi, uru ná Zhudasi Isikariyoti ɲyɛ shinnu mɛ, ur'à jwo: «Kafooŋi, ɲaha na mu sí maye cyêe wuu na, si mpyi mu sì maye cyêe diɲyɛ sùpyire na mà yɛ?» 
JHN.14.23	Ka Yesu si u pyi: «Ŋgemu ká mii kyaa táan uy'á ke, urufoo sí raa mii jwumpe kurigii ɲaare. Mii Tuŋi mú sí urufoo kyaa táan uy'á. Wuu sí n‑pa n‑tɛ̀ɛn urufoo yyére. 
JHN.14.24	Ŋgemu u ɲyɛ u ɲyɛ a mii kyaa táan uy'á mɛ, urufoo sì raa mii jwumpe kurigii ɲaare mɛ. Mpe yii na núru mii ɲwɔ na ke, mii ɲyɛ a pu yige naye e mɛ, Tufooŋi u à mii tun ke, ur'e p'à fworo. 
JHN.14.25	Mii na ɲje puni yu yii á, mà mii yaha ná yii e sahaŋki. 
JHN.14.26	Tufooŋi sí n‑kwɔ̀ Tɛgɛfooŋi ŋgemu tun yii á mii mɛge na, ná uru u ɲyɛ Kile Munaani ke, karigii puni mii à jwo yii á ke, uru sí yii funŋɔ cwo cyire na.
JHN.14.27	Mii kɛ̀ɛge, ŋka mii sí yyeɲiŋke kan yii á. Yyeɲiŋke ku ɲyɛ mii á ke, kuru ná diɲyɛŋi woge ɲyɛ niŋkin mɛ, lire e yii funmpɛɛnre ná fyagare láha yiye na. 
JHN.14.28	Yii à yi lógo mii ɲwɔ na mà kwɔ̀ na mii na ŋkɛ̀ɛge, ŋka mii sí núru n‑pa yii yyére. Kampyi yii à mii kyaa táan yiy'á, yii sí raa múgure na mii kɛ̀ɛge Tufooŋi yyére, ɲaha na yɛ Tufooŋ'à pêe mii na. 
JHN.14.29	Mii à yii sɔ̂nŋ'a yaha numɛ, si yaa ná ɲcyii karigii tèepyiini i l'à nɔ, bà yii si mpyi si dá mii jwumpe na li tèepyiini i mɛ.
JHN.14.30	Mii saha sì n‑jwo ná yii e si mɔ mɛ, ɲaha na yɛ ŋge diɲyɛŋi ɲùŋufooŋ'à yîri mii fye e. Ŋka lire ɲyɛ a li cyêe na u à fànha ta mii na mɛ. 
JHN.14.31	Nde Tufooŋi à jwo mii á ke, lire mii maha mpyi, bà diɲyɛ sùpyire si mpyi si ɲcè na mii à Tufooŋi kyaa táan nay'á mɛ.» Yesu à puru jwo ke, maa jwo: «Yii a wá, wuu yîri naha.»
JHN.15.1	Ka Yesu si núr'a jwo: «Mii u ɲyɛ 
JHN.15.2	Ŋkéŋɛ maha ŋkéŋɛ ku ɲyɛ mii na, ku sí ɲyɛ na yasɛrɛ pyi mɛ, u sí kuru kwɔ̀n n‑wà. Ŋka ŋkéŋɛ maha ŋkéŋɛ ku ɲyɛ mii na, marii seni ke, u sí kuru bînni, là s'a bârali ku zeŋi na. 
JHN.15.3	Kàlaŋi mii à kan yii á ke, uru kurugo yii à 
JHN.15.4	Yii tɛ̀ɛn mii wwoɲɛɛge e, mii sí n‑tɛ̀ɛn ná yii e mú. Ɛrɛzɛnŋi ŋkéŋke sì n‑jà n‑se ná ku ɲyɛ a ta cige na mà yɛ. Amuni yii ɲyɛ, ná yii ɲyɛ a tɛ̀ɛn mii wwoɲɛɛge e mɛ, yii sì n‑jà yafyin pyi Kile a mɛ. 
