GEN.1.1	Paat ra talimpuun i paat ri Aki Kapuuno' napasauk ra limbowon am namingkal ra tana' ti.
NEH.10.9+NEH.10.10+NEH.10.11+NEH.10.12+NEH.10.13	Jisua anak ri Ajanya,
NEH.10.9+NEH.10.10+NEH.10.11+NEH.10.12+NEH.10.13	Binui papag ru bansa' ru Ginadad,
NEH.10.9+NEH.10.10+NEH.10.11+NEH.10.12+NEH.10.13	Kadmiil, Sibania, Godia,
NEH.10.9+NEH.10.10+NEH.10.11+NEH.10.12+NEH.10.13	Kilita, Pilaya, Ganan,
NEH.10.9+NEH.10.10+NEH.10.11+NEH.10.12+NEH.10.13	Mika, Rigob, Gasabia,
NEH.10.9+NEH.10.10+NEH.10.11+NEH.10.12+NEH.10.13	Jakur, Siribia, Sibania,
NEH.10.9+NEH.10.10+NEH.10.11+NEH.10.12+NEH.10.13	Godia, Bani am Bininu.
NEH.10.14+NEH.10.15+NEH.10.16+NEH.10.17+NEH.10.18+NEH.10.19+NEH.10.20+NEH.10.21+NEH.10.22+NEH.10.23+NEH.10.24+NEH.10.25+NEH.10.26+NEH.10.27	Paros, Pagat-Moab,
NEH.10.14+NEH.10.15+NEH.10.16+NEH.10.17+NEH.10.18+NEH.10.19+NEH.10.20+NEH.10.21+NEH.10.22+NEH.10.23+NEH.10.24+NEH.10.25+NEH.10.26+NEH.10.27	Ilam, Jatu, Bani,
NEH.10.14+NEH.10.15+NEH.10.16+NEH.10.17+NEH.10.18+NEH.10.19+NEH.10.20+NEH.10.21+NEH.10.22+NEH.10.23+NEH.10.24+NEH.10.25+NEH.10.26+NEH.10.27	Buni, Ajgad, Bibai
NEH.10.14+NEH.10.15+NEH.10.16+NEH.10.17+NEH.10.18+NEH.10.19+NEH.10.20+NEH.10.21+NEH.10.22+NEH.10.23+NEH.10.24+NEH.10.25+NEH.10.26+NEH.10.27	Adonia, Bigwai, Adin,
NEH.10.14+NEH.10.15+NEH.10.16+NEH.10.17+NEH.10.18+NEH.10.19+NEH.10.20+NEH.10.21+NEH.10.22+NEH.10.23+NEH.10.24+NEH.10.25+NEH.10.26+NEH.10.27	Atir, Gijkia, Ajur,
NEH.10.14+NEH.10.15+NEH.10.16+NEH.10.17+NEH.10.18+NEH.10.19+NEH.10.20+NEH.10.21+NEH.10.22+NEH.10.23+NEH.10.24+NEH.10.25+NEH.10.26+NEH.10.27	Godia, Gasum, Bijai,
NEH.10.14+NEH.10.15+NEH.10.16+NEH.10.17+NEH.10.18+NEH.10.19+NEH.10.20+NEH.10.21+NEH.10.22+NEH.10.23+NEH.10.24+NEH.10.25+NEH.10.26+NEH.10.27	Garip, Anatot, Nibai,
NEH.10.14+NEH.10.15+NEH.10.16+NEH.10.17+NEH.10.18+NEH.10.19+NEH.10.20+NEH.10.21+NEH.10.22+NEH.10.23+NEH.10.24+NEH.10.25+NEH.10.26+NEH.10.27	Magpias, Misulam, Gijir,
NEH.10.14+NEH.10.15+NEH.10.16+NEH.10.17+NEH.10.18+NEH.10.19+NEH.10.20+NEH.10.21+NEH.10.22+NEH.10.23+NEH.10.24+NEH.10.25+NEH.10.26+NEH.10.27	Misgijabil, Jadok, Jadua,
NEH.10.14+NEH.10.15+NEH.10.16+NEH.10.17+NEH.10.18+NEH.10.19+NEH.10.20+NEH.10.21+NEH.10.22+NEH.10.23+NEH.10.24+NEH.10.25+NEH.10.26+NEH.10.27	Pilatia, Ganan, Anaya,
NEH.10.14+NEH.10.15+NEH.10.16+NEH.10.17+NEH.10.18+NEH.10.19+NEH.10.20+NEH.10.21+NEH.10.22+NEH.10.23+NEH.10.24+NEH.10.25+NEH.10.26+NEH.10.27	Gosia, Gananya, Gasub,
NEH.10.14+NEH.10.15+NEH.10.16+NEH.10.17+NEH.10.18+NEH.10.19+NEH.10.20+NEH.10.21+NEH.10.22+NEH.10.23+NEH.10.24+NEH.10.25+NEH.10.26+NEH.10.27	Galogis, Pilga, Sobik,
NEH.10.14+NEH.10.15+NEH.10.16+NEH.10.17+NEH.10.18+NEH.10.19+NEH.10.20+NEH.10.21+NEH.10.22+NEH.10.23+NEH.10.24+NEH.10.25+NEH.10.26+NEH.10.27	Rigum, Gasabna, Maasiya,
NEH.10.14+NEH.10.15+NEH.10.16+NEH.10.17+NEH.10.18+NEH.10.19+NEH.10.20+NEH.10.21+NEH.10.22+NEH.10.23+NEH.10.24+NEH.10.25+NEH.10.26+NEH.10.27	Agia, Ganan, Anan,
NEH.10.14+NEH.10.15+NEH.10.16+NEH.10.17+NEH.10.18+NEH.10.19+NEH.10.20+NEH.10.21+NEH.10.22+NEH.10.23+NEH.10.24+NEH.10.25+NEH.10.26+NEH.10.27	Maluk, Garim am Baana.
NEH.10.28	Akai, mamagun ru Israil, imam-imam, ulun-ulun ru Liwi, ulun magalung ra Baloi ru 
NEH.10.29	minaya' ra tingganai-tingganai mai am nagibot ra maayag akai sumugut ra ukum ri Aki Kapuuno' ondo' tinaakan Nano ondo' pinabala' galing ri Musa. Magibot akai koson gumagaya' ra ngaangai' susuban ondo' tinaakan ramon ru 
NEH.10.31	Paat ra moonong bilor katulu', kalo mantanom akai ra umo, am ngaangai' utang pusoon mai.
NEH.10.33	Paatangon mai kalalair kuliamos pakayon ragitio koson sambayang giu' ra Baloi ru 
NEH.10.34	Moonong bilor akai mamagun ru Israil, imam-imam am ulun-ulun ru Liwi magugundi' koson mangaru' ra bansa' ra ati ondo' musiti' mangalap ra luton koson monolob ra taak simbalui ondo' pataakon ra 
NEH.10.37	Aniin mai sampiopor ra ramon no ra ulun ru Liwi ondo' mangumung ra taak sampiopor giu' ra intok-intok pagitanaman no, iono sampiopor intor ra ampos ru tatanom ondo' tumuu' giu' ra umo mai.
NEH.10.38	Sangulun imam papag ri Arun musiti' mabaya' ra ulun ru Liwi bulintok taak sampiopor no umungon. Ulun ru Liwi musiti' mambuli sampiopor intor ra ngaangai' taak sampiopor no giu' ra ralalom ru intok-intok pambulian ra ulaan giu' ra Baloi ru 
NEH.10.39	Ulun ru Israil am ulun ru Liwi musiti' magibit ra taak simbalui kaunaran, wain am umau jaitun ondo' inumung no ra intok-intok pambulian ra ulaan, iono giu' ra intok pambulian ra kuliamos Baloi ru 
NEH.10.39	Marara' akai mangimpai ra Baloi ru 
NEH.11.1	Tingganai-tingganai ondo' namagun giu' ra Jirusalim, am mamagun ondo' musiti' mangundi' koson mampili' ra sambaloi intor ra moonong mopor sasambaloi. Ilo ondo' mapili' musiti' mayan giu' ra Jirusalim bandar ondo' mapasau no, liliwa' ondo' kalo mapili' mayan giu' ra bandar-bandar am ngaangai' pekan ra bokon. 
NEH.11.2	Mongompor mamagun ra ulun ra ilo po ngai' ondo' masaga' mayan giu' ra Jirusalim. 
NEH.11.3	Giu' ra ngaangai' pekan am bandar-bandar ra bokon, mamagun ru Israil, imam-imam, ulun-ulun ru Liwi, ulun-ulun mangandoi ra Baloi ru 
NEH.11.3	Gitio noyo suang ru inggalan ru ulun maatang intor ra wilayah Jiuda ondo' mayan giu' ra Jirusalim:
NEH.11.4	I Ataya anak ri Ujia, iono akupu ri Jakaria. Kukula' ngaulun ra kinamatuaan nano am i Amarya, i Sipatia am i Magalaliil, iono papag ri Piris anak ungkuyon ri Jiuda.
NEH.11.5	I Maasiya anak ri Baruk, akupu ri Kolgoji. Kukula' ngaulun ra kinamatuaan nano am i Ajaya, Adaya, Joyarib am Jakaria iono papag ri Syila, anak ungkuyon ri Jiuda.
NEH.11.6	Suang 468 ngaulun ra mapanggol kaga' intor ra papag ri Piris, minayan giu' ra Jirusalim.
NEH.11.7	I Salu anak ri Misulam, akupu ri Joid. Kukula' ngaulun ra kinamatuaan nano am i Pidaya, Kolaya, Maasiya, Itiil am Jisaya.
NEH.11.8	I Gabai am i Salai: ilo mamaar pabukatan
NEH.11.8	Ngaangai' nilo suang no 928 ngaulun intor ra bansa' Binjamin ondo' minayan giu' ra Jirusalim. 
NEH.11.9	Tiningganai ilo ri Joil anak ri Jikri am ulun lansanin nano, i Jiuda anak ri Gasinua.
NEH.11.10	I Jidaya anak ri Joyarib am i Jakin.
NEH.11.11	I Siraya anak ri Ilkia, akupu ri Misulam. Kukula' ngaulun ra kinamatuaan nano am i Jadok, Mirayot am Agitub ondo' nasauk ra Tingganai Maayo Imam. 
NEH.11.12	Ngaangai' ru suang nilo 822 ngaulun imam ondo' mangandoi giu' ra Baloi ru 
NEH.11.12	I Adaya anak ri Jigoram, akupu ri Pilalya. Kukula' ngaulun ra kinamatuaan nano iono i Amji, Jakaria, Pasyur am Malkia. 
NEH.11.13	Ngaangai' ru suang nilo 242 ngaulun ondo' nasauk ra tingganai ru sasambaloi intor ra bansa' raginio.
NEH.11.13	I Amasai anak ri Asariil, akupu ri Ajai. Kukula' ngaulun ra kinamatuaan nano am iono i Misilimot am i Imir. 
NEH.11.14	Intor ra bansa' ragitio mokoondo' 128 ngaulun saujor ondo' mapanggol kaga'. Tingganai nilo am i Jabdiil anak ri Gidolim.
NEH.11.15	I Simaya anak ri Gasub, akupu ri Ajrikam. Kukula' ngaulun ra kinamatuaan nano am i Gasabia am i Buni.
NEH.11.16	I Sabitai am i Jojabad, ruo ngaulun Liwi ondo' maatang ondo' magalung ra kandoi giu' ra liwar Baloi ru 
NEH.11.17	I Matanya anak ri Mika, akupu ri Jabdi, papag ri Asap. Io no tingganai ru ulun-ulun maririmbai giu' ra Baloi ru 
NEH.11.17	I Bakbukia, iono mangindangan ri Matanya.
NEH.11.17	I Abda anak ri Samua, akupu ri Galal am papag ri Jidutun.
NEH.11.18	Ngaangai' ru suang nilo 248 ngaulun ru Liwi ondo' mayan giu' ra Jirusalim, bandar mapasau no.
NEH.11.19	I Akub, Talmon am rangan-rangan nilo ra suang no 172 ngaulun.
NEH.11.20	Mamagun ru Israil, imam-imam am ulun-ulun ru Liwi ondo' soroi no minayan giu' ra tana' nilo galama' giu' ra bandar-bandar am ngaangai' pekan giu' ra Jiuda. 
NEH.11.21	Ulun-ulun mangngandoi giu' ra Baloi ru 
NEH.11.22	Ulun magalung ra ulun ru Liwi ondo' minayan giu' ra Jirusalim iono i Uji anak ri Bani, akupu ri Gasabia. Kukula' ngaulun ra kinamatuaan nilo iono i Matanya am Mika intor ra bansa' ru Asap, iono bansa' ondo' kandoi no manalingapu ra miujik paat ra sambayang giu' ra Baloi ru 
NEH.11.23	Aturan ru raja' nangaru' ra paat ru moonong bansa' ondo' manalingapu ra miujik giu' ra Baloi ru 
NEH.11.24	I Pitaya anak ri Misgijabil intor ra bansa' ru Jira ralalom bansa' ru Jiuda, nasauk ra uakil ru bansa' ru Israil giu' ra istana ru raja' ru Pirsia.
NEH.11.25	Masuang ulun minayan giu' ra ngaangai' pekan ondo' mamaar ra umo nilo. Kukula' ngaulun intor ra bansa' ru Jiuda minayan giu' ra Kiryat-Arba, Dibon, Jikabjiil am giu' ra ngaangai' pekan giu' ra liliut ru bandar-bandar no. 
NEH.11.26	Ilo niayuk minayan giu' ra bandar Jisua, Molada, Bit-Pilit, 
NEH.11.27	Gajar-Sual, Birsyiba am giu' ra pekan-pekan ra liliut no. 
NEH.11.28	Minayan ilo giu' ra bandar Jiklag, giu' ra Mikona am giu' ra pekan-pekan ra giu' no; 
NEH.11.29	giu' ra In-Rimon, Jora, Jarmut, 
NEH.11.30	Janoa, Adulam am giu' ra pekan-pekan maar ra bandar-bandar no. Minayan ilo giu' ra Lakgis am giu' ra umo-umo ra liliut no, giu' ra Ajika am giu' ra pekan-pekan ra liliut no. Koon raginio noyo ulun ru Jiuda minayan giu' ra tana' pangkilolot ru Birsyiba giu' ra rabugus am Limayak Ginom giu' ra ralayo.
NEH.11.31	Santayaran ra ulun intor ra bansa' ru Binjamin minayan giu' ra Giba, Mikmas, Ai, Bitil am giu' ra pekan-pekan ra liliut no; 
NEH.11.32	giu' ra Anatot, Nob, Ananya, 
NEH.11.33	Gajor, Rama, Gitaim, 
NEH.11.34	Gadid, Jiboim, Nibalat, 
NEH.11.35	Lod, Ono am giu' ra Limayak Tukang. 
NEH.11.36	Kukula' ngampulalai ulun ru Liwi ondo' minayan giu' ra tana' ru Jiuda sinusub manding ra tana' ru Binjamin am minayan simpung ra mamagun ra giu' no.
NEH.12.1	Gitio noyo suang ru inggalan ru imam-imam am ulun ru Liwi ondo' minuli' intor ra pamatiran nababaya' ri Jirubabil anak ri Sialtiil am Tingganai Maayo Imam i Jisua:
NEH.12.2+NEH.12.3+NEH.12.4+NEH.12.5+NEH.12.6+NEH.12.7	Siraya, Jirimia, Ijra,
NEH.12.2+NEH.12.3+NEH.12.4+NEH.12.5+NEH.12.6+NEH.12.7	Amarya, Maluk, Gatus,
NEH.12.2+NEH.12.3+NEH.12.4+NEH.12.5+NEH.12.6+NEH.12.7	Sikania, Rigum, Mirimot,
NEH.12.2+NEH.12.3+NEH.12.4+NEH.12.5+NEH.12.6+NEH.12.7	Ido, Ginitoi, Abia,
NEH.12.2+NEH.12.3+NEH.12.4+NEH.12.5+NEH.12.6+NEH.12.7	Miyamin, Maaja, Bilga,
NEH.12.2+NEH.12.3+NEH.12.4+NEH.12.5+NEH.12.6+NEH.12.7	Simaya, Joyarib, Jidaya,
NEH.12.2+NEH.12.3+NEH.12.4+NEH.12.5+NEH.12.6+NEH.12.7	Salu, Amok, Ilkia am Jidaya.
NEH.12.2+NEH.12.3+NEH.12.4+NEH.12.5+NEH.12.6+NEH.12.7	Ilo tingganai ru gino ngai' imam bulintok ri Jisua.
NEH.12.8	Ulun maningganai ra rimbai paringkuanangan: I Jisua, Binui, Kadmiil, Siribia, Jiuda am Matanya.
NEH.12.9	Ulun ra pulalai ru ulun maririmbai ondo' marimbai ra rimbai tumaam: I Bakbukia, Uni am ulun ru Liwi ra bokon.
NEH.12.10	Gitilo noyo suang ru papag ru Tingganai Maayo Imam Jisua: I Jisua ama' ri Joyakim; Joyakim ama' ri Ilyasib; Ilyasib ama' ri Joyada; 
NEH.12.11	Joyada ama' ri Jonatan; Jonatan ama' ri Jadua.
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Paat ri Joyakim nasauk ra Tingganai Maayo Imam, gitilo noyo tingganai ru bansa' ru imam-imam:
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Miraya
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Siraya
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Gananya
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Jirimia
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Misulam
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Ijra
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Joganan
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Amarya
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Jonatan
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Miliku
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Jusup
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Sibania
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Adna
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Garim
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Gilkai
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Mirayot
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Jakaria
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Ido
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Misulam
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Giniton
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Jikri
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Abia
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	…
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Minyamin
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Piltai
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Moaja
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Samua
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Bilga
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Jonatan
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Simaya
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Matnai
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Joyarib
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Uji
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Jidaya
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Kalai
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Salai
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Gibir
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Amok
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Gasabia
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Ilkia
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Nitaniil
NEH.12.12+NEH.12.13+NEH.12.14+NEH.12.15+NEH.12.16+NEH.12.17+NEH.12.18+NEH.12.19+NEH.12.20+NEH.12.21	Jidaya
NEH.12.22	Suang ru inggalan ru tingganai-tingganai ru imam am ulun ru Liwi binaal bulintok ra Tingganai Maayo Imam ragitio: I Ilyasib, Joyada, Joganan am Jadua. Suang ru inggalan raginio nopongo bulintok ri Darius nasauk ra raja' ru Pirsia.
NEH.12.23	Kaa' suang ru inggalan ru tingganai-tingganai ru bansa' ulun ru Liwi polos ayuk ra bulintok ri Jonatan akupu ri Ilyasib.
NEH.12.24	Ralalom paningganayan ri Gasabia, Siribia, Jisua, Binui
NEH.12.25	Ulun-ulun magalung ra Baloi ru 
NEH.12.26	Ngaangai' ulun no maayag bulintok ri Joyakim anak ri Jisua, akupu ri Jojadak am bulintok ru Gabenor Nigimia am Imam Ijra, ulun mapandai kaga' ra Taurat no.
NEH.12.27	Kopongo rinasmi timbok ru bandar Jirusalim, ulun ru Liwi piniau minongoi ra giu' intor ra ngaangai' intok inayanan nilo, maa' raginio sumimpung ilo ra parasmian no am marimbai ra rimbai paringkuanangan, sumbayaan ru miujik gambus am jitor. 
NEH.12.28	Ulun-ulun maririmbai intor ra sasambaloi ru ulun Liwi minatong intor ra libung inayanan nilo ra liliut ru Jirusalim am intor ra pekan-pekan giu' ra liliut ru Nitopa, 
NEH.12.29	intor ra Bit-Gilgal, Giba am Asmawit. 
NEH.12.30	Imam-imam am ulun-ulun ru Liwi nampaugar ra upacara pamasawan ra tayar ru inan nilo galama', am tauli no ra tayar mamagun am niayuk tayar ra kulobon garabang am timbok ru bandar.
NEH.12.31	Nanimung aku ra tingganai-tingganai ru Jiuda giu' ra rasawat ru timbok am nangani' risilo ra kandoi maningganai ra ruo ngampulalai maayo koson mugar lumiput ra bandar no, liliwa' marimbai ra rimbai paringkuanangan ri Aki Kapuuno'.
NEH.12.31	Pulalai ra kasaa' ngaangai' mugar giu' ra tampilon pamiris giu' ra rasawat ru timbok no, mongoi ra Kulobon Garabang Ginsamol.
NEH.12.32	I Gosaya minugar ra tauli ru ulun-ulun maririmbai, sunu' sampiruo intor ra tingganai ru Jiuda. 
NEH.12.33+NEH.12.34+NEH.12.35	Sampulalai imam ondo' nanamput ra bujung, minugar ra tauli nilo. Imam raginilo am i Ajaria, Ijra, Misulam, Jiuda, Binjamin, Simaya am i Jirimia. Siminunu' risilo i Jakaria anak ri Jonatan, akupu ri Simaya. (Kukula' ngaulun risilo kinamatuaan nano iono i Matanya, Mika am i Jakur intor ra bansa' Asap.) 
NEH.12.36	Siminunu' riso ulun ra bokon intor ra bansa' nano, iono i Simaya, Ajariil, Milalai, Gilalai, Maai, Nitaniil, Jiuda am i Ganani. Ilo ngaangai' nagibit ra kuliamos miujik, nogondo' ra ondo' kinuli ru Raja' Daut, ulipon ri Aki Kapuuno' no. Imam Ijra, ulun mapandai kaga' ra Taurat no, minugar pagulu ra ugar mababaya' ti. 
NEH.12.37	Giu' ra Kulobon Garabang Taur ru Timug, nagaloi ilo ra tukar ondo' sumuku' ra Bandar Daut. Nansail ilo ra istana ri Daut am saguli' ra timbok giu' ra Kulobon Garabang Timug, giu' ra tampilon sirangon ru bandar no.
NEH.12.38	Pulalai ru ulun maririmbai ondo' rondo' poyo, minugar nababaya' giu' ra rasawat ru timbok no am sumuku' ra tampilon kait. Siminunu' aku risilo nababaya' ra sampiruo intor ra mamagun. Minugar nababaya' akai mansail ra Manara Makaapui saboi ra Timbok Mapila'. 
NEH.12.39	Intor ra giu' minugar nababaya' akai mansail ra Kulobon Garabang Ipraim, Kulobon Garabang Jisana,
NEH.12.40	Karuo-ruo pulalai ru ulun maririmbai no nakasaboi ra libung Baloi ru 
NEH.12.40	Suai ra tingganai-tingganai ondo' nababaya' raki', 
NEH.12.41	imam ragitilo niayuk minaya' ra pulalai kuno: I Iliakim, Maasiya, Minyamin, Mika, Ilyoinai, Jakaria am Gananya. Ilo ngaangai' nanamput ra bujung. 
NEH.12.42	Siminunu' risilo i Maasiya, Simaya, Iliajar, Uji, Joganan, Malkia, Ilam am i Ijir. Ulun-ulun maririmbai ondo' tiningganai ri Jijragia narimbai ra bolos matangil.
NEH.12.43	Paat ra orou raginio masuang taak simbalui pinataak ri Aki Kapuuno'. Naansukan mamagun sabap ri Aki Kapuuno' nambaal risilo naansukan. Bala ru ruandu' am lalaing niayuk minaya' naansukan, am bolos nilo morongog saboi ra maalur.
NEH.12.44	Paat raginio, kukula' ngaulun sinusub magalung ra intok-intok pambulian ra ulaan giu' ra Baloi ru 
NEH.12.45	sabap ra pinaugar nilo upacara pamasawan am upacara-upacara ra bokon ondo' sinusub ri Aki Kapuuno'. Ulun mangkuli ra miujik am ulun magalung ra Baloi ru 
NEH.12.46	Intor ra bulintok ru Raja' Daut am i Asap mangkukuli ra miujik ra galing i poyo, ulun-ulun maririmbai no narimbai ra rimbai mongompor am rimbai paringkuanangan ri Aki Kapuuno'. 
NEH.12.47	Bulintok ri Jirubabil am niayuk bulintok ri Nigimia, ngaangai' mamagun ru Israil nampataak ra taak moonong orou koson ra kaukapan ru pakuan moonong orou ru ulun-ulun maririmbai am ulun-ulun magalung ra Baloi ru 
NEH.13.2	Baal no koon raginio paat ra ulun ru Israil ralalom pangkiralanan intor ra Misir, bansa' ru Amon am Moab marara' mangani' risilo ra akanon am inumon. Gili boo ginajian nilo i Biliam maa' raginio magulas ra bansa' ru Israil kaa' i Aki Kapuuno' takau nangulau ra ulas no nasauk ra barakat. 
NEH.13.3	Pokorongog ulun ru Israil ra tayar ru Taurat no binasa', pinasuai nilo ngaangai' bansa' ra bokon intor risilo.
NEH.13.4	Imam Ilyasib ondo' inanian ra kandoi magalung ra intok-intok pambulian ra ulaan no nabuoi noyo makapabukatan moonsoi ri Tobia. 
NEH.13.5	Nangiou i Ilyasib ri Tobia mamakai ra rondo' lamin maayo, ondo' sotopot no alapon ayuk koson pambulian ra papataakan unor-unor am kaminyan, kuliamos ondo' pakayon giu' ra Baloi ru 
NEH.13.6	Liliwa' baal raginio nasauk, kalio aku giu' ra Jirusalim sabap paat ra bilor katalu ngoopor am ruo ra pamarintaan ri Artasasta,
NEH.13.7	koson sumaguli' ra Jirusalim. Pakasaboi aku ra giu', naliangan aku paat nakapandai ra iniou noyo ri Ilyasib i Tobia mamakai ra rondo' lamin giu' ra ralalom Baloi ru 
NEH.13.8	Siminangit aku kaga' am pinapatir ku ngaangai' kuliamos longgom ri Tobia. 
