MAT.1_1.1	לפניכם ספר קורות חייו של ישוע המשיח, אשר מוצאו מיוחס לדוד המלך ולאברהם אבינו:
ACT.25_1.21	פולוס סרב, ודרש לערער לפני הקיסר אוגוסטוס! משום כך פקדתי להחזירו לכלא, עד שאוכל לקבוע לו ראיון אצל הקיסר.“
ACT.25_1.22	”הייתי רוצה לשמוע את האיש הזה במו אוזני“, אמר אגריפס. ”בסדר“, ענה פסטוס.
ACT.25_1.22	”מחר תשמע אותו.“
ACT.25_1.23	למחרת נכנסו המלך אגריפס וברניקה לאולם בית־הדין ברוב פאר והדר, ובליווי משמר קציני־צבא ואצילי העיר. פסטוס ציווה להכניס את פולוס לתוך האולם, 
ACT.25_1.24	ולאחר מכן פנה אל הנוכחים ואמר: ”המלך אגריפס, וכל הנאספים כאן: זהו האיש אשר היהודים בקיסריה ובירושלים רוצים במותו. 
ACT.25_1.25	לפי דעתי הוא לא עבר כל עברה שדינה מוות, אולם מאחר שדרש לערער לפני הקיסר, החלטתי לשלוח אותו לרומא. 
ACT.25_1.26	אבל מה אכתוב לקיסר? הרי אין נגדו שום טענה מבוססת! על כן הבאתי אותו לפני כולכם, ובמיוחד לפניך, המלך אגריפס, כדי שתחקור אותו ותאמר לי מה לכתוב. 
ACT.25_1.27	כי הרי אין זה הגיוני לשלוח אסיר אל הקיסר בלא אשמה כלשהי.“
ACT.26_1.1	”יש לך רשות לספר את גרסתך“, אמר אגריפס לפולוס.
ACT.26_1.1	בתנועות ידיים החל פולוס להגן על עצמו לפני בית־הדין.
ACT.26_1.2	”בר־מזל אני, כבוד המלך אגריפס, על שניתנה לי הזכות להשמיע באוזניך את תשובותיי להאשמותיהם של היהודים, 
ACT.26_1.3	כי אני יודע שאתה בקיא בחוקינו ובמנהגינו. אני מבקש ממך, אנא, הקשב לי בסבלנות.
ACT.26_1.4	”כל היהודים יודעים שמאז ימי נעורי בטרסוס, ומאוחר יותר בירושלים, קיבלתי חינוך יהודי מסורתי, ותמיד חייתי על־פי הדרך שבה חונכתי. 
ACT.26_1.5	לו היו מוכנים להודות בכך, היו מאשרים שבשאלת קיום התורה והמסורת הייתי תמיד בין הפרושים המחמירים ביותר. 
ACT.26_1.6	אולם הסיבה האמיתית להאשמותיהם שונה לחלוטין; הם מתנכלים לי רק משום שאני מצפה להתגשמות הבטחת ה׳ לאבותינו. 
ACT.26_1.7	שנים־עשר שבטי ישראל מתפללים יומם ולילה שה׳ יגשים את אותה הבטחה שלה אני מצפה. אדוני המלך, בגלל צפייה זאת הם מאשימים אותי! 
ACT.26_1.8	אך האם זה פשע להאמין בתחיית המתים? האם אינכם מאמינים שאלוהים יכול להקים בני אדם לתחייה?
ACT.26_1.9	”גם אני חשבתי בעבר שחובתי להציק ולהזיק למאמינים בישוע מנצרת. 
ACT.26_1.10	אסרתי רבים מהקדושים בירושלים, ואף קיבלתי מראשי הכוהנים רשות בכתב לעשות זאת. וכאשר נידונו הקדושים למוות, נתתי את הסכמתי המלאה. 
ACT.26_1.11	פעמים רבות עברתי מבית־כנסת אחד לשני, ותחת עינויים אילצתי את המאמינים המשיחיים לגדף את המשיח. למעשה התנגדתי להם בחריפות שכזאת, עד שרדפתי אותם גם בחוץ לארץ.
ACT.26_1.12	”יום אחד יצאתי לדמשק, בסמכותם של הכוהנים ועם ברכתם, כדי לאסור את המאמינים המשיחיים. 
ACT.26_1.13	בצהרי היום, אדוני המלך, זרח לפתע אור בהיר יותר מזוהר השמש והציף אותי ואת מלווי. 
ACT.26_1.14	כולנו נפלנו ארצה, ואני שמעתי קול מדבר אלי: ’שאול, שאול, מדוע אתה רודף אותי? קשה לך לבעוט בדרבנות!‘
ACT.26_1.15	” ’מי אתה, אדוני?‘ שאלתי.
ACT.26_1.15	”והקול ענה: ’אני ישוע שאותו אתה רודף! 
ACT.26_1.16	עתה קום על רגליך, כי נגליתי אליך כדי למנותך להיות לי למשרת ועד. עליך לספר לעולם כולו את אשר ראית היום ואת אשר אראה לך בעתיד. 
ACT.26_1.17	אני אגן עליך מפני בני עמך ומפני הגויים. כן, אשלח אותך אל הגויים, 
ACT.26_1.18	כדי שתפקח את עיניהם לראות את מצבם האמיתי, כך שיחזרו בתשובה ויחיו באור האלוהים, ולא בחשכת השטן. לשם מה? כדי שאלוהים יסלח לחטאיהם, וייתן להם נחלה יחד עם שאר בני־האדם שטוהרו מחטאיהם והוקדשו לי באמונה‘.
ACT.26_1.19	”וכך, המלך אגריפס, לא התמרדתי נגד החיזיון הזה מן השמים. 
ACT.26_1.20	תחילה בישרתי את הדבר לאנשי דמשק, לאחר מכן בירושלים ובכל יהודה, ואחר כך גם לגויים. קראתי לכל בני־האדם לזנוח את חטאיהם, לשוב אל אלוהים ולהוכיח את חרטת לבם במעשים טובים. 
ACT.26_1.21	מסיבה זאת עצרו אותי היהודים בבית־המקדש וניסו להרוג אותי. 
ACT.26_1.22	אולם ה׳ הגן עלי, והיום אני עדיין חי ויכול לספר עובדות אלה לכולם – לקטנים ולגדולים. אני מלמד אך ורק את דבריהם של משה רבנו ושל הנביאים: 
ACT.26_1.23	שהמשיח יסבול ושיהיה הראשון אשר יקום מן המתים, כדי להביא אור ליהודים ולגויים כאחד.“
ACT.26_1.24	לפתע התפרץ פסטוס וקרא: ”פולוס, יצאת מדעתך! לימודיך הממושכים בלבלו את דעתך.“
ACT.26_1.25	”לא יצאתי מדעתי, פסטוס הנכבד“, השיב פולוס. ”אני מדבר דברי אמת מפוכחים. 
ACT.26_1.26	המלך אגריפס יודע היטב את כל הדברים האלה. אני מעז לדבר בכנות, כי אני בטוח שהמלך מכיר ויודע את כל המאורעות האלה; הרי הם לא התרחשו בסתר! 
ACT.26_1.27	המלך אגריפס, האם אתה מאמין לדברי הנביאים? אני יודע שכן…“
ACT.26_1.28	אך אגריפס שיסע את דבריו של פולוס: ”כמעט שכנעת אותי להאמין שישוע הוא המשיח!“
ACT.26_1.29	ופולוס השיב: ”אני מקווה ומתפלל לאלוהים שבמוקדם או במאוחר אתה וכל הנוכחים כאן תהיו כמוני… אך בלי האזיקים, כמובן!“
ACT.26_1.30	המלך, המושל, ברניקה וכל האחרים קמו 
ACT.26_1.31	ויצאו מהאולם. כששבו ודנו בעניינו של פולוס מאוחר יותר, החליטו: ”איש זה אינו אשם בשום פשע שדינו מאסר או מוות.“
ACT.26_1.32	”אלמלא דרש לערער לפני הקיסר,“ אמר אגריפס לפסטוס, ”אפשר היה לשחרר אותו.“
ACT.27_1.1	כאשר הוחלט שעלינו להפליג לרומא, נמסרו פולוס ועוד מספר אסירים להשגחתו של קצין בשם יוליוס, שהשתייך לגדוד הקיסר. 
ACT.27_1.2	עלינו על אונייה אדרמיטית שעמדה להפליג למספר נמלים לאורך חוף אסיה. ברצוני לציין שגם אריסטרכוס המקדוני מתסלוניקי היה איתנו.
ACT.27_1.3	כשהגענו למחרת לצידון גילה יוליוס נדיבות־לב כלפי פולוס, והרשה לו לרדת לחוף ולבקר את ידידיו, כדי שיספקו לו את צרכיו. 
ACT.27_1.4	כשהפלגנו מצידון נשבה לנגדנו רוח חזקה, אשר אילצה אותנו לסטות מדרכנו ולהפליג צפונית לקפריסין, בין האי ובין היבשה. 
ACT.27_1.5	עברנו לאורך חופי קיליקיה ופמפוליה, והגענו למורא שבלוקיה. 
ACT.27_1.6	יוליוס הקצין מצא שם ספינה מצרית מאלכסנדריה, שפניה מועדות לאיטליה, והעלה אותנו על סיפונה.
ACT.27_1.7+ACT.27_1.8	לאחר ימים אחדים של טלטולים והפלגה איטית ומייגעת בים הסוער התקרבנו לקנידוס, אולם הרוחות החזקות אילצו אותנו להמשיך לכרתים ולחלוף על־פני הר סלמוני. בקושי רב נאבקנו נגד הרוחות העזות, והתקדמנו באיטיות רבה לאורך החוף הדרומי, עד שהגענו לנמל הבטוח קלילמנס שליד העיר לסיה.
ACT.27_1.9	בינתיים איבדנו זמן רב, ומכיוון שהגיע הסתיו היה מזג אוויר סוער, והפלגות ארוכות היו בחזקת סכנה ליורדי הים. פולוס שוחח על כך עם קברניטי הספינה.
ACT.27_1.10	”רבותי,“ פתח פולוס, ”אני רואה שאם נמשיך עתה בדרכנו, צפויה לנו סכנה גדולה ונאבד לא רק את המטען ואת האונייה, אלא גם את חיינו!“ 
ACT.27_1.11	אולם קציני המשמר העדיפו לקבל את עצתם של רב־החובל ושל בעל האונייה על פני עצתו של פולוס. 
ACT.27_1.12	מאחר שנמל קלילמנס היה חשוף לרוחות ולא התאים לעגינה בימי החורף, הציע צוות האונייה להמשיך לחוף פניקס, כדי לבלות שם את החורף. פניקס היה נמל טוב באי כרתים, אשר פנה לדרום־מערב ולצפון־מערב בלבד.
ACT.27_1.13	באותה שעה החלה לנשוב רוח דרומית קלה, ומזג האוויר נראה מתאים בהחלט להפלגה. על כן הם הרימו עוגן והפליגו לאורך החוף.
ACT.27_1.14+ACT.27_1.15	אולם כעבור זמן קצר השתנה לפתע מזג האוויר ופרצה סופה עזה (סופת אירוקלידון – רוח צפונית־מזרחית), שטלטלה את האונייה וסחפה אותה ללב הים. תחילה ניסו המלחים לחתור לחוף, אבל מאחר שכל מאמציהם עלו בתוהו, ויתרו על הרעיון והניחו לספינה להיסחף ברוח.
ACT.27_1.16	בסופו של דבר נסחפנו אל אי קטן בשם קודה, ושם, לאחר עמל רב, עלה בידנו להעלות על הסיפון את סירת־ההצלה שנגררה מאחורינו. 
ACT.27_1.17	לאחר מכן קשרנו חבלים סביב הספינה כדי לחזק את דופנותיה. המלחים פחדו שמא תסחוף אותם הרוח אל החולות הטובעניים של חופי אפריקה, ולכן הנמיכו את המפרשים העליונים והניחו לרוח לסחוף את הספינה.
ACT.27_1.18	למחרת הלכו הגלים והתחזקו, והצוות החל להשליך את המטען אל הים. 
ACT.27_1.19	ביום השלישי השליכו המלחים מהסיפון את כל הציוד של האונייה וכל חפץ שנמצא בה. 
ACT.27_1.20	סופה נוראה זאת השתוללה ימים רבים ללא מעצור, וכל אותו זמן לא ראינו את השמש, הירח או הכוכבים, עד אשר אפסה כל תקווה להינצל.
ACT.27_1.21	איש מאיתנו לא אכל דבר מזה זמן רב, עד שלבסוף כינס פולוס את הצוות ואמר: ”רבותי, אילו שמעתם בקולי ולא עזבתם את החוף הנוח בכרתים, הייתם חוסכים לכם אבדן ציוד ונזקים חמורים אחרים. 
ACT.27_1.22	אך התעודדו! האונייה אמנם תטבע, אולם איש מכם לא יאבד את חייו.
ACT.27_1.23	”בלילה אמש נגלה אלי מלאכו של האלוהים, אשר אותו אני עובד ולו אני שייך, 
ACT.27_1.24	ואמר: ’אל תירא, פולוס; אתה תזכה לעמוד למשפט לפני הקיסר! נוסף על כך, אלוהים נענה לבקשתך ויציל את חייהם של כל הנוסעים איתך בספינה‘. 
ACT.27_1.25	התעודדו, אפוא כולכם, כי אני בוטח באלוהים ואין לי ספק שיקיים את דבריו! 
ACT.27_1.26	אולם ספינתנו תתנפץ אל אחד האיים.“
ACT.27_1.27	בחצות הלילה הארבעה־עשר לסערה, לאחר טלטולים מייגעים בים האדריאטי, גילו המלחים יבשה באופק. 
ACT.27_1.28	הם הורידו אנך וגילו שעומק המים תחתם היה כ־36 מטר. כעבור זמן קצר שבו והורידו את האנך, והפעם היה עומק המים 27 מטר בלבד. 
ACT.27_1.29	הם ידעו שעד מהרה נגיע לחוף, ומכיוון שחששו שמא תתנפץ הספינה לסלעים, השליכו ארבעה עוגנים מירכתי הספינה וציפו בקוצר רוח לאור היום.
ACT.27_1.30	מלחים אחדים ניסו לברוח מהספינה; הם הורידו את סירת ההצלה אל המים, והעמידו פנים כאילו יש בדעתם להוריד עוגנים גם מהחרטום. 
ACT.27_1.31	אולם פולוס הזהיר את החיילים ואת הקצין האחראי: ”אם המלחים האלה לא יישארו על הסיפון תמותו כולכם.“ 
ACT.27_1.32	משום כך ניתקו החיילים את חבלי הסירה והניחו לה להיסחף בים.
ACT.27_1.33	בטרם עלה השחר ביקש פולוס מכולם לאכול. ”במשך השבועיים האחרונים לא טעמתם דבר.“ אמר להם. 
ACT.27_1.34	”אנא, אכלו משהו כי עליכם להתחזק. אני מבטיח לכם שלא תיפול שערה אחת מראשכם ארצה!“
ACT.27_1.35	פולוס לקח פרוסת לחם יבשה, הודה לה׳ לפני כולם, שבר חתיכה מהלחם היבש ואכל אותה. 
ACT.27_1.36	לפתע חשו כולם בטוב, וגם החלו לאכול. 
ACT.27_1.37	כולנו יחד מנינו 276 איש. 
ACT.27_1.38	לאחר שאכלו כולם לשובע הוסיף הצוות להקל על משקל האונייה, והשליך אל הים גם את שקי החיטה.
ACT.27_1.39	כשהאיר היום הם הבחינו במפרץ ובחוף, אך לא הצליחו לזהות את המקום. הם תהו אם יעלה בידם לנווט את הספינה בין הסלעים ולהשיטה אל החוף. 
ACT.27_1.40	הם החליטו לנסות. לאחר שניתקו את העוגנים והשאירו אותם בים, התירו את כבלי ההגה, הרימו את המפרש הקדמי והפליגו לחוף. 
ACT.27_1.41	אולם הספינה עלתה על שרטון ונתקעה במקומה. החרטום הלך ושקע, והירכתיים, שהיו חשופים לנחשולים, החלו להתפרק.
ACT.27_1.42	החיילים הציעו לקצין המשמר להרוג את האסירים, כדי שאיש מהם לא יוכל לשחות אל החוף ולהימלט. 
ACT.27_1.43	אולם יוליוס רצה להציל את פולוס, ולכן לא קיבל את הצעתם. ”מי שיודע לשחות – שישחה אל החוף!“ פקד יוליוס. 
ACT.27_1.44	”מי שאינו יודע לשחות – שיאחז בקרשים ובשברי האונייה ויחתור אל היבשה!“ וכך הגענו כולנו אל החוף בשלום.
ACT.28_1.1	עד מהרה גילינו שאנו על האי מלטה. 
ACT.28_1.2	תושבי המקום נהגו בנו בטוב־לב ראוי לציון, והבעירו מדורה כדי לחמם אותנו בקור העז ובגשם הסוחף.
ACT.28_1.3	פולוס קושש ענפים וזרדים יבשים, והשליך אותם אל תוך המדורה. לפתע זינק על זרועו נחש ארסי שביקש מפלט מהחום. 
ACT.28_1.4	כשראו אנשי האי את הנחש התלוי על זרועו, אמרו זה לזה: ”הוא בטח רוצח! הוא אמנם ניצל מן הים, אולם הצדק לא יניח לו לחיות!“
ACT.28_1.5	אך פולוס ניער את הנחש אל תוך האש, והוא עצמו כלל לא נפגע. 
ACT.28_1.6	האנשים הביטו בו בדריכות וציפו לראות את גופו מתנפח או נופל מת. אולם לאחר שחיכו זמן רב ולא קרה דבר, שינו את דעתם והחליטו שפולוס הוא ודאי אל!
ACT.28_1.7	אחוזתו של פובליוס, מושל האי, הייתה בקרבת החוף. הוא הזמין אותנו לביתו ואירח אותנו שלושה ימים. 
ACT.28_1.8	באותה עת היה אביו של פובליוס חולה מאוד – הייתה לו דיזנטריה והוא קדח מחום. פולוס הלך לחדרו של החולה, התפלל בעדו, סמך את ידיו עליו, והאיש נרפא. 
ACT.28_1.9	לאחר מכן באו שאר חולי האי אל פולוס, וגם הם נרפאו. 
ACT.28_1.10	התושבים היו אסירי תודה והציפו אותנו במתנות הוקרה. כאשר הגיע מועד הפלגתנו, הם מילאו את האונייה באוכל ובציוד.
ACT.28_1.11	שלושה חודשים לאחר שעלתה ספינתנו על שירטון עלינו על אונייה אחרת והמשכנו בדרכנו. הפעם הפלגנו באונייה ”התאומים“, שבאה מאלכסנדריה ועגנה באי מלטה במשך החורף. 
ACT.28_1.12	תחנתנו הראשונה הייתה סירקוז, שם נשארנו שלושה ימים. 
ACT.28_1.13	מסירקוז הפלגנו לרגיום. כעבור יום החלה לנשוב רוח דרומית, וביום השני הגענו לפוטיולי. 
ACT.28_1.14	בפוטיולי פגשנו לבסוף מאמינים. הם הפצירו בנו להישאר איתם שבוע ימים, ומשם הפלגנו לרומא.
ACT.28_1.15	כאשר שמעו האחים ברומא על דבר בואנו, נסעו מרחק רב מחוץ לעירם כדי לקבל את פנינו. חלקם חיכו לנו בכיכר אפיוס (כשישים ושמונה ק״מ מרומא), וחלקם הצטרפו אלינו ב”שלושת הפונדקים“ (כ־חמישים וחמישה ק״מ מרומא). כשפולוס ראה אותם הוא התעודד מאוד והודה לה׳.
ACT.28_1.16	בהגיעם לרומא הורשה פולוס לגור בכל מקום שרצה, אם כי תמיד נלווה אליו חייל. 
ACT.28_1.17	כעבור שלושה ימים כינס פולוס את מנהיגי היהודים המקומיים, ואמר להם: ”היהודים בירושלים אסרו אותי ומסרו אותי לידי הממשל הרומאי, למרות שלא פגעתי באיש ולא עברתי על חוקי אבותינו. 
ACT.28_1.18	הרומאים ערכו לי משפט ורצו לשחרר אותי, מכיוון שלא מצאו כל סיבה לדון אותי למוות, כפי שדרשו היהודים. 
ACT.28_1.19	אולם מאחר שהיהודים מחו נגד ההחלטה, מצאתי לנחוץ לערער לפני הקיסר, למרות שלא רציתי לתבוע את עמי. 
ACT.28_1.20	ביקשתי מכם לבוא הנה היום כדי שנכיר זה את זה, וכדי שאוכל לומר לכם שאני אסור באזיקים אלה רק משום שאני מאמין שהמשיח כבר בא!“
ACT.28_1.21	”לא שמענו עליך שום דבר רע.“ ענו מנהיגי היהודים. ”לא קיבלנו מכתבים מיהודה, ולא שמענו דיווחים מפי הבאים לכאן מירושלים. 
ACT.28_1.22	אולם אנחנו רוצים לשמוע במה אתה מאמין, כי הדבר היחיד שאנו יודעים על המשיחיים האלה הוא שבכל מקום מתנגדים לכת הזאת.“
ACT.28_1.23	הם קבעו מועד לפגישתם הבאה, ובאותו יום התאסף קהל רב ליד ביתו של פולוס. הוא סיפר להם על מלכות האלוהים, ולימד אותם על אודות ישוע מתוך כתבי־הקודש – מהתורה ומהנביאים. הוא החל ללמד אותם בבוקר, ולא הפסיק עד הערב.
ACT.28_1.24	אחדים האמינו לדבריו, ואחרים לא האמינו. 
ACT.28_1.25	לאחר שהתווכחו בינם לבין עצמם, הם עזבו את המקום כשדבריו של פולוס מהדהדים באוזניהם: ”רוח הקודש צדק כששם דברים אלה בפי ישעיהו הנביא:
ACT.28_1.26	’לך ואמרת לעם הזה:
ACT.28_1.26	שמעו שמוע ואל תבינו,
ACT.28_1.26	וראו ראו ואל תדעו;
ACT.28_1.27	השמן לב העם הזה
ACT.28_1.27	ואזניו הכבד ועיניו השע,
ACT.28_1.27	פן יראה בעיניו ובאזניו ישמע,
ACT.28_1.27	ולבבו יבין ושב ורפא לו‘.
ACT.28_1.28+ACT.28_1.29	משום כך אני רוצה שתדעו כי ישועה זאת מוצעת גם לגויים, והם ישמעו.“
ACT.28_1.30	במשך השנתיים הבאות התגורר פולוס בבית ששכר לעצמו, וקיבל בברכה את כל מי שבא לבקרו. 
ACT.28_1.31	הוא בישר באומץ את דבר מלכות האלוהים, לימד על אודות האדון ישוע המשיח, ואיש לא ניסה להפריע לו.
ROM.1_1.1	מאת פולוס, עבדו של ישוע המשיח, אשר נקרא להיות שליח והוקדש להפצת בשורת אלוהים. 
ROM.1_1.2	אלוהים הבטיח לנו בשורה זאת לפני זמן רב באמצעות נביאיו בכתבי־הקודש. 
ROM.1_1.3	היא מספרת לנו על אודות בנו, ישוע המשיח אדוננו, אשר בא לעולם בדמות אדם משושלת דוד המלך, 
ROM.1_1.4	ואשר קם מן המתים על ידי רוח הקודש והוכח להיות בן האלוהים. הוא ישוע המשיח האדון. 
ROM.1_1.5	באמצעות המשיח העניק לנו אלוהים, חוטאים שכמונו, את טובו וחסדו, ועתה הוא שולח אותנו לספר לכל האנשים בעולם את המעשים הנפלאים שעשה ה׳ למענם, כדי שגם הם יאמינו בו ויצייתו לו. 
ROM.1_1.6+ROM.1_1.7	ידידים יקרים ברומא, גם אתם נמנים עם אלה שאלוהים אוהב; ישוע המשיח קרא גם לכם להשתייך לאלוהים ולהקדיש לו את חייכם.
ROM.1_1.6+ROM.1_1.7	יברך אתכם האלוהים אבינו וישוע המשיח אדוננו בחסד ובשלום.
ROM.1_1.8	ראשית כל ברצוני לומר לכם כי השמועה על אמונתכם הנפלאה באלוהים מתפשטת בכל העולם, ועל־ידי ישוע המשיח אני מודה לאלוהים על כולכם. 
ROM.1_1.9	אלוהים יודע שיומם ולילה אני מתפלל בעדכם ומזכיר אתכם לפני האלוהים, אשר אותו אני עובד בכל כוחי בזמן שאני מבשר את הבשורה על אודות בנו. 
ROM.1_1.10	בתפילותיי אני מתחנן לאלוהים שיאפשר לי לבוא אליכם סוף־סוף, 
ROM.1_1.11	כי אני משתוקק מאוד לראותכם ולהעניק לכם מתנה רוחנית כדי לחזק אתכם. 
ROM.1_1.12	כלומר, אני משתוקק להיות בחברתכם, כדי שאמונתכם תעודד אותי ואמונתי תעודד אתכם.
ROM.1_1.13	אחים יקרים, דעו לכם כי פעמים רבות תכננתי לבוא אליכם, כדי שגם בקרבכם אוכל לעשות פרי, כשם שעשיתי בקרב עמים אחרים, אולם עד כה תוכנית זאת לא יצאה לפועל. 
ROM.1_1.14	אני חש מעין חובה לבשר את דבר האלוהים לכל העולם – לאנשי תרבות ולחסרי תרבות; למשכילים ולחסרי השכלה – ללא הפליה. 
ROM.1_1.15	משום כך, אנשי רומא, אני רוצה לספר את הבשורה גם לכם.
ROM.1_1.16	איני מתבייש בבשורת האלוהים! בכוחה להושיע את כל המאמינים בה – קודם כל את היהודי, ואחר כך גם את מי שאינו יהודי. 
ROM.1_1.17	כי הבשורה מגלה כיצד מצדיק אלוהים את בני־האדם: על־ידי אמונה בלבד, כפי שכתוב:
ROM.1_1.18	מאידך, אלוהים שפך את זעמו וכעסו על כל הרשעים העוצרים ומסתירים את האמת במעשי הרשע שלהם. 
ROM.1_1.19	מדוע שפך עליהם אלוהים את זעמו? מפני שהם יודעים היטב את האמת! אלוהים עצמו גילה להם את כל מה שעליהם לדעת. 
ROM.1_1.20	מבריאת העולם חזו בני־האדם בשמים, בארץ ובכל בריאת ה׳; הם ידעו על קיומו ועל גבורתו הנצחית. משום כך, (כשיעמדו לפני אלוהים ביום הדין), לא יוכלו לתרץ את התנהגותם. 
ROM.1_1.21	כי למרות שידעו והכירו את האלוהים, לא כיבדוהו בכבוד המגיע לו, וגם לא הודו לו על כל מה שעשה למענם. לעומת זאת הם העסיקו את מוחם בדברי שטות והבל, עד כי מוחם שקע בבלבול ובטמטום. 
ROM.1_1.22	מאחורי חכמתם המדומה מסתתרת טיפשות! 
ROM.1_1.23	במקום שיכבדו וישרתו את האלוהים החי והקיים, הם עשו לעצמם אלילים מעץ ומאבן, בדמות בני־אדם, עופות, חיות ורמשים.
ROM.1_1.24	על כן מסר אותם אלוהים למעשי הטומאה שלהם; הוא הניח להם להמשיך במעשי התועבה והזנות ולחלל איש את גוף חברו. 
ROM.1_1.25	בכוונה תחילה הם העדיפו להאמין בשקרים במקום באמת אלוהים; הם התפללו לבריאה, אך לא צייתו לאלוהים המבורך אשר ברא את הכול.
ROM.1_1.26	משום כך מסר אותם אלוהים לתאוותיהם, עד כי אף נשותיהם סטו מיחסי־מין נורמאליים וקיימו יחסים בלתי־נורמאליים עם בנות מינן. 
ROM.1_1.27	גם הגברים סטו מהיחסים הנורמאליים והטבעיים וקיימו יחסים בלתי טבעיים עם גברים אחרים. כתוצאה מכך הם נענשו בתוך עצמם בעונש המגיע להם.
ROM.1_1.28	כאשר לא מצאו לנכון להכיר באלוהים, הוא הניח להם להשתעבד לכל מעשי התועבה שהעלו בדעתם. 
ROM.1_1.29	חייהם מלאו בכל מיני מעשי זנות, רשע, בצע, שנאה, קנאה, רצח, מריבה, מרמה ומרירות. הם נהיו רכלנים 
ROM.1_1.30	ומלשינים, שונאי אלוהים, חוצפנים וגאוותנים, יוזמי רשע ומורדים בהוריהם. 
ROM.1_1.31	הם מתנהגים בטיפשות, בחוסר אמונה, ברשעות ובאכזריות, ומלאי שנאה וטינה.
ROM.1_1.32	הרשעים האלה ידעו היטב כי אלוהים יעניש עונש מוות את כל הנוהגים כך, אולם לא זו בלבד שלא היטיבו את דרכם, הם גם מעודדים את כל מי שעושה כמוהם!
ROM.2_1.1	אולי תאמר: ”אילו הם אנשים רשעים!“ אך דע לך שאינך טוב מהם! באמירתך כי הם רשעים וכי יש להענישם, אתה שופט למעשה את עצמך, שכן אתה עושה בדיוק אותם מעשים. 
ROM.2_1.2	ואנחנו יודעים שאלוהים מעניש בצדק את העושים מעשי תועבה כאלה. 
ROM.2_1.3	הסבור אתה שבעשותך מעשי תועבה כמוהם, אלוהים ישפוט וירשיע את האחרים ויניח לך? 
ROM.2_1.4	האם אתה לא רואה עד כמה אלוהים טוב, אורך רוח וסבלני איתך? האם אתה לא רואה שהטוב הזה מיועד להסב אותך מהחטא?
ROM.2_1.5	דע לך כי בעקשנותך ובסירובך להפסיק לחטוא ולחזור בתשובה, אתה צובר לך עונש נורא ליום־הדין – היום שבו ישפוט אלוהים בצדק את העולם כולו. 
ROM.2_1.6	ביום זה ישלם אלוהים לכל איש את המגיע לו לפי מעשיו: 
ROM.2_1.7	אלה המשתדלים לעשות מעשים טובים, המצייתים לאלוהים והשואפים לכבוד והדר שלא מן העולם הזה, יזכו בחיי נצח. 
ROM.2_1.8	ואילו הרשעים אשר מורדים בה׳ ואינם מצייתים לו, יקבלו עונש נורא. 
ROM.2_1.9	צער וסבל יבואו על כל העושים מעשי חטא ועוול: על היהודי בראשונה, וגם על ה”גוי“. 
ROM.2_1.10	לעומת זאת, כל אלה שיצייתו לאלוהים ויעשו מעשים טובים יזכו לכבוד, להדר ולשלום מאת האלוהים – היהודי בראשונה, וגם הגוי. 
ROM.2_1.11	כי אלוהים אינו מפלה בין בני־האדם.
ROM.2_1.12	אלוהים יעניש את כל החוטאים! אלה שחטאו בלי שהכירו את התורה ייענשו גם בלי להתחשב בתורה; אלה שהכירו את התורה וחטאו, יישפטו וייענשו על־פי התורה. 
ROM.2_1.13	שהרי אלוהים אינו מצדיק את אלה שמכירים את התורה, כי אם את אלה שמקיימים אותה הלכה למעשה. 
ROM.2_1.14	כאשר הגויים, שאין להם את התורה, מקיימים את עיקר חוקיה מתוך חוש טבעי, הרי שחוש זה הוא תורתם ולפיו הם יישפטו. 
ROM.2_1.15	התנהגותם מוכיחה שדרישות התורה כתובות למעשה על לבם; מצפונם אומר להם מה מותר ומה אסור, ומחשבותיהם מצדיקות או מאשימות אותם. 
ROM.2_1.16	הם יישפטו ביום־הדין – היום שבו ישפוט אלוהים, באמצעות המשיח, את הצד הנסתר בחייו של כל אדם. זהו חלק מתוכניתו של ה׳ שאותה אני מבשר.
ROM.2_1.17	אתם, היהודים, מתגאים שאתם ידידיו הנבחרים של אלוהים; אתם חושבים שהואיל ונתן לכם את תורתו, הכול כשורה ביניכם לבינו. 
ROM.2_1.18	אתם יודעים מהו רצונו של אלוהים; אתם יודעים להבחין בין טוב לרע, שכן למדתם את תורתו עוד לפני זמן רב. 
ROM.2_1.19	אתם משוכנעים שהנכם מוכשרים וראויים ללמד את אלה שאינם יודעים את הדרך לה׳, ולשמש כלפידי אור המדריכים אל ה׳ את אלה שתעו בחשכה. 
ROM.2_1.20	אתם משוכנעים שהנכם מוכשרים ללמד את הבורים, את התמימים ואת הילדים, שכן אתם מכירים את תורת ה׳.
ROM.2_1.21	אבל אתם המוכנים תמיד ללמד את האחרים – מדוע אינכם מלמדים את עצמכם? אתם מצווים על אחרים לא לגנוב – האם אתם בעצמכם נקיי כפיים? 
ROM.2_1.22	אתם מצווים על אחרים לא לנאוף – האם אינכם נואפים בעצמכם? אתם מתנגדים לעבודת האלילים – האם אינכם גוזלים את כלי הקדושה שלהם?
ROM.2_1.23	אתם גאים בעובדת ידיעתכם את תורת אלוהים, אך באי־קיימכם את מצוותיו אתם מבזים למעשה את אלוהים. 
ROM.2_1.24	אין פלא שכתבי־הקודש אומרים:
ROM.2_1.25	לברית־המילה יש ערך ומשמעות רק אם אתה שומר את מצוות ה׳. אם אינך שומר את מצוות ה׳, אינך טוב מהגויים. 
