MRK.1.1	Weni na Yesu Keriso, Meimeituwa natuna, Varana Beibeina ikarei.
MRK.9.11	Bade Yesu ivi taravirei, “Avikubina da touvibeyebeyena* Mosese ina vigheiyenai evavavo da Elaija kununa ina vovira meme, bade Keriso muriyai ina piti?”
MRK.9.12	Yesu ikipote, “Elaija kununa ina piti bera tupana ina vokavikaviyei Keriso ina piti kubina. Meimeituwa varana bade evavavo taku, Koroto Keimatana*, ana keivowavowa ma rava ina basareku.
MRK.9.13	Sisiya keimatana akikimi da Elaija namada ipiti ma rava asi kayowanai iberai kurina. Kununa kava Meimeituwa varanayai ikimakava igirumi touna kubina na nuke itupuwa.”
MRK.9.14	Yesu ma ina touvotaghotagho asi viaroba ivovira ma inae touvotaghotagho ruwamtousi kurisi, ma ikita da numaduba ghamanakina imeiri kwavikwavivirosi, ma touvotaghotagho vigheiyena touvibeyebeyena* ruwamtousi meiteni ivivi ghaseyana. 
MRK.9.15	Maranai rava Yesu ikitai na tousi irusakwara ma ivi nuwabeibai ma ivivi vuruwana da inepotei.
MRK.9.16	Ivi tarakasiyanesi, “Avai koi ghaseyanei tousi meiteni?”
MRK.9.17	Koroto sago numaduba sanasiyai iki potei, “Bada, kanuma berona natuku itowai ma iberai da ivi kawa potai, touna kubina apitiyei kurim. 
MRK.9.18	Maranai kanuma berona evovomeira kuriya, na ku dowa etawatawayei, kawana epuropuroi, okena ekarakarakikini, ma ibadobadowana. Am touvotaghotagho avi baghasi da iti kasibuni, ma iya kovokovoghina ita berai.”
MRK.9.19	Yesu ikipotesi ma ivavo, “Te-e-e, dam keitumetumemi! Tami rorovani kava taku tami meiteni! Ma mara visa tami kubimi ana meiri? Koroto kiki kopitiyei kuriku!”
MRK.9.20	Vagheina ma koroto kiki Yesu kurina ipitiyei. Mara sago kava kanuma berona Yesu ikitakitai, na koroto kiki ikayo sirasiragheni, ma koroto kiki ku dowa isoruwei, ivisuvirevirei, ma kawapurona ikasibau. 
MRK.9.21	Yesu koroto kiki ina mamai ivi taravirei, “Mara avai weni gubagina idagui?”
MRK.9.21	Touna ikipotei ma ivavo, “Touna meyameyana maranai. 
MRK.9.22	Mara patapatana ku keyama karakarasina ma ku yokowa itawatawayei, da iti siragheni kubina. Mike da tam kovokovoghim, keru wayakapoweki ma ke vowaguki.”
MRK.9.23	Yesu ivavo kuriya, “Avi kubina kuvavo, ‘Mike da tam kovokovoghim’? Iyai etumetume, Meimeituwa kovokovoghina bera tupana yavu ina berai kubina!”
MRK.9.24	Mara sago kava koroto kiki ina mamai ponana ghamanakinai ivavo, “Atumetume. Ma aku tumetume iya itarakata, touna kubina ke vowaguku da ina rakata!”
MRK.9.25	Yesu ikitai da numaduba iriyeriye kousisi, vagheina ma kanuma berona ikikirakiyei, ivavo bo, “Tam kanumim rava ki tina potasi ma ki kawa potasi, akiki kirakiyem da koroto kiki ke kasibu kuyowei ma iya meyana kwaru meme ku sinena!”
MRK.9.26	Kanuma berona irukwatu, koroto kiki ikasi sirasiragheni ma koroto kiki ikasibu kuyowei. Koroto kiki kitana kama rava sirasiraghena ikenakena, rava ipesara sasara nani dobunai ivavo bo, “Isiraghe!” 
MRK.9.27	Bade Yesu imanai ivotani ma iteinapaini ma ivomeiri.
MRK.9.28	Muriyai Yesu ku numa sinena irui, tousimani duma ma ina touvotaghotagho ivi taravirei ivavo bo, “Avikubina taki iya kovokovoghina da kanuma berona kati kasibuni?”
MRK.9.29	Ivi sisiya kurisi, “Weni nuke kanuma berona na touta iya kovokovoghina tikasibuni, kegha da vi kawavenoveno wai kava.”
MRK.9.30+MRK.9.31	Yesu ina touvotaghotagho meiteni nani dobuna ine kuyowei ma dobu Galili yai itu yaragha inenae. Ina touvotaghotagho ivivi beyebeyesi touna kubina iya ina kayowana da rava ina sakovi da touna nani dobunai. Weni nuke ivi sisiya kurisi, “Kaku ghaviya taku, Koroto Keimatana*, ina veiniku da rava kuimasi ina tereku da ini siragheniku, bade mara aroba ina kovi na ana vomeiri meme.” 
MRK.9.32	Bade tousi ina sisiya iya ita vomodiya kubina, na iyabumana da iya iti taravirei.
MRK.9.33	Yesu ma ina touvotaghotagho ku Kapaniam isegha ma ku numa sinena irui, ma ivi taraviresi, “Ketakiyai na avai ko vivi ghaseyanei?”
MRK.9.34	Ketakiyai tousimani ivivi ghaseyana da sanasiyai na iyai bada, touna kubina na ivi yasamisi.
MRK.9.35	Imake pikai, ma asi vi 12 ighoresi da itariyesi kurina, ma ivi sisiya kurisi, “Iyai ina kayowana da ini bada, touna ina tere soruwana meyei ma ini muri tawayena ma touna ini toubigabiga rava kubisi.”
MRK.9.36	Yesu pipiya kiki iveiya ma pousiyai ivi meirini. Itarasaghavui ma ivi sisiya kurisi, 
MRK.9.37	“Iyai weni pipiya kikina nuke ini kaikaiwei taku wavakuai, na taku ikaikaiweku, ma iyai ikaikaiweku, iya taku kava iti kaikaiweku, ma iyai ikitawayeku na meiteni ikaikaiwei.”
MRK.9.38	Jon Yesu kurina ivi sisiya, “Bada, koroto sago kakitai kam wavai kanuma berosi ivivi kasibunisi. Touna na iya touta ita yaraga, touna kubina kavigheiyei da iya ina bera meyei.”
MRK.9.39	Yesu ivavo, “Iya koni gheiyei. Rava sago aniba berasi kaku wavai ina berai na iya kovokovoghina da mara sago kava ini vara beroweku. 
MRK.9.40	Iyai iya iti ghaviyeta touna na kata gwani. 
MRK.9.41	Vagheina sisiya keimatana akikimi, rava sago yokowa ina veremi ko numai taku kaku wavai ma ko kivikiviniku kubina, touna kana maiya ina veiya kara iya meyana da ini kegha.
MRK.9.42	“Mike da rava sago rava kiki iyai itumetumeku na ku berabero ina terei, rava kiki kama weni pipiya kikina nuke, Meimeituwa ina kovogha kirakiyei. Ibeibai mike da nani ravana kamyonai wakima ghamanakina ina saghiri ma ku neyagha ina tawayei, ma touna kovoghina na iya itarakata. 
MRK.9.43+MRK.9.44	Mike da imam ina beram da berabero kwa berai, ke kasiyaragha tawayei.
MRK.9.45+MRK.9.46	Mike da kaim ina beram da berabero kwaberai, ke kasiyaragha tawayei. Ibeibai da kaim sago kava ma ku yawasa keimatana kwarui, iya ita beibai da kaim ruwa meiteni ku keyama karakara vaghasina ina tawana runimu. 
MRK.9.47	Mike da matam ina beram da berabero kwaberai, ke tupa tawayei. Ibeibai da matam sago kavai ma Meimeituwa ina Koyaga Yawasa Kuvouna kwarui, iya ita beibai da matam ruwa meiteni ku keyama karakara vaghasina ina tawana runimu. 
MRK.9.48	Nani dobunai, ‘motamota rava ekanikanisi na kara iya ina siraghe, ma keyama karakarasina iya meyana ina siraghe.’
MRK.9.49	“Aku touvotaghotagho tupasi vorubu vitana ina pananai damina kama keyama karakarasina nuke, ma nani keyamina karakarasina ina berasi da Meimeituwa matanai tousi na seyaseyasi, kama neyagha ku banuwara etereterei ma ekapukapuni na nuke.”
MRK.9.50	“Neyagha na purapura beibeina, ma mike da ina dagisa ina kovi, touna iya kovokovoghina taberai da ina dagisa meme. Ko berai da tami kama vavai neyagha meiteni etavatava na nuke — tupami yavu kwamaru yai komake.”
MRK.10.1	Yesu Kapaniam meyagina ine kuyowei, inae Jiudia ku dobuna ma Jodan yokowina idamani. Rava damsi ivivi ruriyena meme kurina, ma ivivi beyebeyesi kama marana patapatana ikimakava iberaberai na nuke.
MRK.10.2	Parisi* ruwamtousi ikayokayowei da ita rubui, ma ipiti kurina, ma ivi taravirei, “Kade ita vigheiyena ivagheineta da koroto kovokovoghina kawana ina basarei?”
MRK.10.3	Ikipotesi ma ivavo, “Mosese vigheiyena iveremi, na ikimakava evavavo?”
MRK.10.4	Tousi ivavo, “Mosese ina vigheiyena ivi vagheina da koroto vibasabasarana pepana ina girumi, ma kawana ina verei ma muriyai ina kitawayei.”
MRK.10.5	Bade Yesu ikipotesi ma ivavo, “Tami na kami vibeyebeyena ibagibagi ma ko kawaghaseghase kirakai, touna kubina Mosese ina vigheiyena igirumi nana tami kubimi. 
MRK.10.6	Bade konotai karenai, maranai Meimeituwa bera tupana ivi tupuwisi, touna ‘rava iyamonisi koroto ma wavine.’
MRK.10.7	‘Ma nuke itupuwa kubina, na vagheina korokoroto asi mamimau ma maduwamau inane kuyowesi ma kakawasi meiteni ini siyagosi, 
MRK.10.8	da tousi sago kava.’ Vagheina tousi iya ruwa ma sago. 
MRK.10.9	Meimeituwa ivi siyagosi, na iya rava sago ini yamonesi.”
MRK.10.10	Tousi ivovira meme ku numa, bade Yesu ina touvotaghotagho ivi taravirei weni touna kubina. 
MRK.10.11	Yesu ikipotesi ma ivavo, “Mike da koroto sago kawana ina basarei ma ta wavine ina ravaghi, na iya iti patutu kawana kurina na imadawara. 
MRK.10.12	Bade nuke, mike da wavine sago kawana ina basarei ma ta koroto ina ravaghi, nani wavinena na iya iti patutu na imadawara.
MRK.10.13	Rava ruwamtousi didayoghoyogho irutenisi ipitiyesi Yesu kurina da imana ku tepasi ita terei, ma ina touvotaghotagho rava iyeghasi. 
MRK.10.14	Yesu weni nuke ikitai na ivi nuwaghisi ma ivavo kurisi, “Didayoghoyogho ko voteresi ina piti kuriku, iya koni ghaiyesi, iyamna Meimeituwa ina Koyagha na kama rava weni didayoghoyoghosi nuke na kubisi. 
MRK.10.15	Sisiya kamowa akikimi, mike da rava sago iya ere nuwabeibeina Meimeituwa ina Koyagha ita vivi vagheinei kama didayoghoyogho ita vivi vagheina na nuke, nani ravana kara iya Meimeituwa ina Koyagha ina runi.” 
MRK.10.16	Ma didayoghoyogho ivopewasi ma ku marorona iteresi, ma imana sagosagoweta ku tepasi iterei ma ivi beibeinisi.
MRK.10.17	Bade, nani maranai Yesu ivomeira ina yawara ivi karei inenai, ma koroto sago ivuru kuriya ma maghinonai kaetupinai isoru ma ivi baghai, “Bada beibeim, avai ana berai da yawasa makemake vaghasina ana veiya?”
MRK.10.18	Yesu ivavo kuriya, “Avikubina kuvavo da taku beibeiku? Iya iyai beibeina, Meimeituwa touna kava beibeina. 
MRK.10.19	Am vi taravira kubina, tam namada Meimeituwa ina vigheiyena ku sakovi: Iya kwi siraghena; Iya kwa madawara; Iya kwa yapi; Iya kwi wavu wapawapa; Iya kwi bedabeda da rava asi purapura kwi tuwakare yei; Am mamai ma am maduwa kwa vo viviresi.”
MRK.10.20	Ma koroto ivavo kuriya, “Bada, meyameyakuwai da karako, weni vigheiyenisi avoteketeke bubuna yavusi.”
MRK.10.21	Ma Yesu ikita nuwa yuyunei ma ivavo kuriya, “Bera sago kava karakava kwa berai. Kenae ma am purapura tupana yavu kwi gimagimarei ma manena rava keikayokayosi kwa veresi, ma kam maiya Meimeituwa kunumai ina verem. Bade touna kwa berai ina kovi ma kwa piti kwa wagiseku.”
MRK.10.22	Touna imoura sasara kubina, maranai nuke iviyanei na maghighina ibero ma ere nuwaboyana inae.
MRK.10.23	Bade Yesu ikita kwavikwaviviro ma ina touvotaghotagho kurisi ivi sisiya ma ivavo bo, “Ipiripiri sasara da rava moumourisi arui Meimeituwa ina Koyaga Yawasa Kuvouna.”
MRK.10.24	Touvotaghotagho iru sakwasakwaresi ma ikeinotanota sasara maranai ina sisiya weni nuke ivi yanei.
MRK.10.25	Ipiripiri da ghamoghamo ghamanakina kana wava kamel* ighoma mata bonaghinai ina sonagha, ma ibagibagi sasara da rava moumourina Meimeituwa ina Koyagha Yawasa Kuvouna ina rui.”
MRK.10.26	Tousi irusakwara sasara ma ivi tupavireyana meyesi, “Mike da nuke, na meni ravana yawasa makemake vaghasina ina pananai?”
MRK.10.27	Yesu ikitasi ma ivi sisiya, “Iya kovokovoghina da rava ini yawasa meyesi, ma Meimeituwa kovokovoghina ina berai, iyamna Meimeituwa touna kovokovoghina kavakava bera tupana yavu ina berai.”
MRK.10.28	Bade Pita ivi sisiya Yesu kurina, “Bada, kekitai, taki ikimakava? Taki aki bera tupana yavu kane kuyowesi ma ka wagisem.”
MRK.10.29	Yesu ivavo, “Sisiya kamowa akikimi, mike da rava ina numa, varevaresina, novunovuna, ina maduwa, ina mamai, natunatuna bo ina dowa ina nekuyowesi da taku ina wagiseku ma varaku beibeina ini seghani rava kurisi, 
MRK.10.30	kanamaiya Meimeituwa ina kasi tepatepani weni yawasinai. Touna numa, varevaresina, novunovuna, maduwamau, didayoghoyogho ma dowa ina veiya. Bade rava bera berona ina berai kurina taku varaku beibeina kubina, bade mara muriyai epitipiti, yawasa makemake vaghasina ina pananai. 
MRK.10.31	Ma ipesari sasara karako ibada na ina soru taweyana ma ipesari sasara karako isoru taweyana na ini bada.”
MRK.10.32	Tousi ketaki yai iyawara igheghai ku Jerusalem, ma Yesu ivi nau, maghinosi yai. Ina touvotaghotagho ivi deiyei, ma rava ruwamtousi murinai ipitipiti na iyabumana. Bade Yesu asivi 12 iteina vivirisi, ma ivi karei da ikikisi avai ina tupuwa kurina Jerusalem yai, 
MRK.10.33	ma ivavo bo, “Ko kitai, karako na touta ta gheghai ku Jerusalem. Nani dobunai rava sago ina make vivira da Koroto Keimatana, ini benabenameku prist babadisi ma touvibeyebeyena Mosese ina vigheiyenai ku imasi ina tereku. Kaku siraghe ini ogatarei ma dam viruwa ku imasi ina tereku. 
MRK.10.34	Dam viruwa ini giboweku ma ina sovaku. Ina wudiku ma ini siragheniku. Bade mara aroba murinai ana vomeira meme.”
MRK.10.35	Iya uwamina murinai Jems ma Jon, Sebedi natunatuna ipiti Yesu kurina ma ivavo bo, “Bada, avai kani bagham kwa berai, taki aki kayowana kwa berai kubiki.”
MRK.10.36	Ma ivitaraviresi, “Ami kayowana vai ana berai kubimi?” 
MRK.10.37	Tousi ikipotei, ivavo bo, “Maranai da am mara ina segha da vikeivavo kubina kwi vagheineki da tamake yavuyavu, kataiyam wai sago ina make ma sago dugem wai da rava takoyaghisi.”
MRK.10.38	Bade Yesu ivavo kurisi, “Tami iya kota sakovi da avai koi baghei. Kovokovoghimi da ini vavana keyakina anumei na kara konumei bo, kade vagheina da keivowavowa towasamaghina taku ana towei na muriyai kona towei?” 
MRK.10.39	Ma ikipotei, “Taki kovokovoghina.”
MRK.10.39	Ma Yesu ivi sisiya, “Taku keyaka amumei na tami konumei, ma ini towasamaghimi kama ini towasamaghiku na nuke. 
MRK.10.40	Bade iya taku aku vibadana da iyai ana vinei da mara murinai meiteni kani bada, make kataiyaku wai ma dukeku wai makena na iya taku aku vibadana. Tousi iyavo Meimeituwa ina vinevine kava kasi wasa.”
MRK.10.41	Maranai touvotaghotagho asivi imaruwa ikovi Jems ma Jon asi vi bagha ivi yanei, ivi nuwaghisi kurisi. 
MRK.10.42	Ma tupasiyavu Yesu ighoresi ivi siyagosi ma ivi sisiya kurisi ivavo bo, “Tami kosakovi da dam viruwa keikeivavosi rava ivi badebadesi nake ma wike. Ma dam viruwa babadisi rava iberaberasi da ivovo teketekesi. 
MRK.10.43	Bade tami iya kona berai da kama tousi nuke. Mike da iyai sanamiyai ina kayowana da ini bada touna ravana na ini toubigabiga tami sanami yai. 
MRK.10.44	Mike da am kayowana kwi nau na tam kwi yaragagimara rava yavu kurisi. 
MRK.10.45	Bade ketakina sago, taku Koroto Keimatana, iya ata piti da rava ina bigeku ma apiti da rava ana bigesi, ma ana siraghe da rava yavu kubisi kovoghina ana veiya.
MRK.10.46	Bade Yesu ma ina touvotaghotagho ipiti ku Jeriko meyagina ghamanakina. Maranai Jeriko ikasikasibu kuyowei numaduba ghamanakina iwaghisesi. Koroto sago matapotapotana kana wava Batimeiyasi, Timeiyasi natuna, ketaki ririvinai imakemake ma mane kubina ibenibeni. 
MRK.10.47	Maranai rava iviyanesi ivivi sisiya da Yesu koto Nasaret epitipiti, ma ivavo rukwatu, “Yesu Devida Natuna keru nuwayakapoweku!”
MRK.10.48	Rava damsi iyeghai ivavo bo, “Kawam epota!” Ma bade ponana ghamanakinai irukwatu, “Yesu Devida Natuna, keru nuwayakapoweku!”
MRK.10.49	Ma bade Yesu itu meira ma rava kurisi ivavo bo, “Ko kiya ina piti kuriku.”
MRK.10.49	Vagheina ma iru wore koroto matapotapotana kurina, “Ke vinuwa beibai! Ke vomeiri! Yesu eworeworem.” 
MRK.10.50	Ina rupu nake iru tawayei ma ivi sukapoka imeiri ma inai Yesu kurina. 
MRK.10.51	Yesu ivi taravirei, “Avai ku kayokayowei ana berai kubim?” Ma koroto matapotapotana ivavo bo, “Bada, aku kayowana da ana kita meme.”
MRK.10.52	Yesu ivavo kuriya, “Ku tumetumeku, kubina ku yawasa, kenae.” Mara sago kava ikita, ma Yesu ketaki yai inenai na iwagisei.
MRK.11.1	Maranai Yesu ma ina touvotaghotagho iseghasegha ku Jerusalem, ipiti ku meyagi Betpage ma Beteni Oliv Keyamisi Koyana tetenai. Yesu ina touvotaghotagho ruwa iki tawayesi ivi nau 
MRK.11.2	ma weni nuke ikisi ivavo bo, “Ko nae nani meyagina maghinotai kona rui. Maranai kona segha na donki natuna nigonigorina kona pananai nani dobunai isaghiri. Iya meyana rava ita geru tovoni. Ko votariya ma kona pitiyei.
MRK.11.3	Mike da rava iyai ina vivi taraviremi, ‘Avikubina ko taritariya?’ Ko kipotei kona vavo bo, ‘Bada ekayokayowei ma iya uwamina ma ini vovirei.’”
MRK.11.4	Ma asi viruwa inae, ku meyagi irui ma donki natuna ikitai, ketaki yai imeimeiri, saghisaghirina numa matamkwetana ririvinai, maranai ivovotariya, 
MRK.11.5	rava ruwamtousi ririvinai ivivi meiriyana na ivitaraviresi, ivavo bo, “Avi kubina donki natuna ko taritariya?” 
MRK.11.6	Vagheina ma rava ikipotesi Yesu ikimakava ikikisi na nuke, ma rava ivi vagheinesi da donki natuna ina veiya. 
MRK.11.7	Vagheina itariya ma iruteina pitiyei Yesu kurina ma asi rupu ivi votawayena da tepanai ikebani, ma Yesu imake.
MRK.11.8	Ma Yesu donki natuna tepanai igeru ma ketaki yai inenai. Ma rava tupasi yavu asi rupu ivi votawayena ma ketaki yai ikebana ma ruwamtousi na keyama rugurugusi igasi ma ketaki yai ikebana. 
MRK.11.9	Rava maghinonai inenai ma murinai ipitipiti iyogoyogo ma ikwatukwatu,
MRK.11.9	“Housana!
MRK.11.9	Voepaepa iyai Bada kana wavai epitipiti.
MRK.11.10	Voepaepa ita mamai Devida natuna iyai epitipiti ini Keivavo!
MRK.11.10	Housana kunuma ghe numonumonai!”
MRK.11.11	Yesu ku Jerusalem irui ma inae ku tempol. Bera tupana ine kitakita bububuna nani dobunai. Namada ivi kuririsi, touna kubina asivi 12 meiteni ivovira meme ku Betani.
MRK.11.12	Mara itom, Yesu ma ina touvotaghotagho Beteni ikasibu kuyowei ivovovira meme ku Jerusalem, ketaki yai Yesu kam isiraghe. 
MRK.11.13	Uwamai ikita da keyama, kana wava fig, irurugurugu na ikitai, ma ighe ku ririvina ita kita, da ivi yam bo kegha. Ma iya fig kasi mara da iti yam. Maranai ipiti ku ririvina, na ipananai da rugurugu kava. 
MRK.11.14	Ma Yesu keyama ikiya, “Iya meyana rava iyamu ina kaniya!” Ma Yesu avai ivavowei na, ina touvotaghotagho ivi yanei.
MRK.11.15	Maranai ina touvotaghotagho meiteni ku Jerusalem isegha, Yesu irui tempol ku garina ma rava iyavo ivivi gimagimara, na ivi kasibunisi ma mane vi uneunesi asi kepakepa ivi suviresi ma gabubu ivivi gimagimara ravasi asi makemake meiteni,
MRK.11.16	ma ivi gheiyesi da iya rava sago ina purapura ina kavara ruesi ma ina tu yaraga tempol garina sinenai. 
MRK.11.17	Ma touna ivivi beyebeyena ivavo kurisi, “Ko sakovi bo kegha, Meimeituwa varanai evavavo,
MRK.11.17	‘Aku numa na eghoreghorei vi kawavenoveno numana damdam tupasiyavu kubisi’,
MRK.11.17	ma bade, tami ko beraberai kama ‘yapiyapi asi kenakena gavu dobuna’ nuke!”
MRK.11.18	Nuke ivi sisiya, na prist babadisi ma Mosese ina vigheiyena touvibeyebeyenai iviyanei. Numaduba Yesu ina vibeyebeyena ivi deiyei, touna kubina nani babadisi Yesu iyabumanei, ma tousi keta inegwanegwai da iti siragheni.
MRK.11.19	Ivivi kuririsi maranai, Yesu ma ina touvotaghotagho Jerusalem ikasibu kuyowei.
MRK.11.20	Mara itom meme tousi inenai ku Jerusalem ma ketaki yai, fig keyamina ikitai Yesu ikawapasiri na ipoki tepanai da isoru ku kunukuna. 
MRK.11.21	Pita Yesu ina sisiya ivi nuwanotenotei ma ikiya bo, “Bada, kekitai! Keyama ku pasiri na ipoki!”
MRK.11.22	Yesu ikipotesi ma ivi sisiya kurisi, “Meimeituwa ko tumetumei! 
MRK.11.23	Sisiya keimatana akikimi, mike da rava sago weni koyana ina kiya, ina vavo bo, ‘Ke rukoim ma ku neyagha ke tawayem,’ ma iya nuwa ragharagha gwabinai ma ina tumetume da avai berana ivavowei na ina tupuwa, bade nuke Meimeituwa ina berai kubina. 
MRK.11.24	Touna kubina akikimi: Bera tupana yavu kubina kwi kawavenoveno ma Meimeituwa kwi baghai, ke tumetumei da namada ku veiya, ma ina berai kubim. 
MRK.11.25+MRK.11.26	Ma maranai kwa vivi kawavenoveno Meimeituwa kurina, kununa rava avai ibera beroi kurim na ke nota kuputesi, ma bade nuke am Mamai kunumai am bera bero ina nota kuputei.”
MRK.11.27	Yesu ma ina touvotaghotagho ku Jerusalem isegha meme, ma maranai touna tempol garina kamonai iyawayawara, prist babadasi ma touvibeyebeyena Mosese ina vigheiyenai ma babada ruwamtousi ipiti kuriya 
MRK.11.28	ma Yesu ivi taravirei ivavo bo, “Avai vaivainai weni berasi keberaberasi? Iyai weni vaivaina nuke iverem?” 
MRK.11.29	Bade Yesu ikipotesi ivavo bo, “Vitaravira sago ani taraviremi ma kona kipoteku, na ana kimi avai vaivainai weni berasi aberaberasi. 
MRK.11.30	Ko kiku! Iyai Jon Touvitowasamagha vaivai iverei, da ini towasamagha, Meimeituwa bo rava?” 
MRK.11.31	Tousi ivi tupavireiyana meyesi ma ivavo bo, “Touta iya ta kipote, ‘Meimeituwa’. Yesu kara ina vavo, ‘Nuke na avikubina Jon iya kota tumetumei?’ 
MRK.11.32	Ma, iya kovokovoghina da tavavo rava vi vagheina Jon iverei da ini towasamagha. (Rava inotai Jon na Meimeituwa ina kikiverena, touna kubina numaduba iyabumanesi.)
MRK.11.33	Ma tousi Yesu ikipotei, “Iya kata sakovi.” Ma Yesu ivi sisiya kurisi, ivavo bo, “Bade iya ana kimi avai vaivainai weni berasi aberaberasi.”
MRK.12.1	Bade Yesu meibai ivi sisiya kurisi, “Koroto wain kupurina ivouni, ma gari iyamoni. Touna wain iyamna kana vorovoro wasana iyamoni ma viyavayava numana iyamoni. Bade toukoyagha iveinisi da ina kupura ita noyei, ma inae ku dobu viruwa.
MRK.12.2	Maranai yaba kana mara isegha, kupura tuwakarena ina yaraga sago iki tawayei da kana reregha ita veiya. 
MRK.12.3	Ma maranai isegha na kupura toukoyaghisi ivotani, igudai ma iki tawayei imana kava ivovira. 
MRK.12.4	Kupura tuwakarena yaraga sago iki tawaye meyei, bade tepapuna iraviya ma ikayo beroi. 
MRK.12.5	Ma bade ina yaraga sago ikitawaye meyei, ma ikasimunui. Ma yaraga ipesari sasara ivi kitawayanesi ma kupura toukoyaghisi bade nuke iberasi, ruwamtousi imunuwisi ma ruwamtousi ivi siraghenisi.
MRK.12.6	Kupura tuwakarena iya iyai sago ita make terei da ita kitawayei, natuna sago kava nuwanuwana ivei sasarei. Vagheina ma damona, natuna iki tawayei ma ivavo bo, “Tousi natuku ina vivirei.”
MRK.12.7	Bade tousi ivi sisiya vivira meyesi, “Tuwakare natuna wa ipitiyai, ina budere tou veinina. Ko vomeiri ti siragheni ma kupura touta ti tuwakareyei.”
MRK.12.8	Vagheina ma tuwakare natuna ivotatani ma ivi siragheni. Ma tupuwina kupurai itawanakasibuni.”
MRK.12.9	Yesu ivi taraviresi ma ivavo bo, “Ami nota avai? Kupura tuwakarena avai ina berai? Ana kimi. Touna ina piti ma toukoyagha ini siraghenisi, ma ina kupura toukoyagha viruwa ku imasi ina terei.
MRK.12.10	Sisiya kamowa bo, tami Meimeituwa ina buka kosiyavi na ikimakava evavavo,
MRK.12.10	‘Wakima numa touvowasi ibasarei touna wakimina na karako ibonugwagwara.’
MRK.12.11	Weni berana na Bada iberai, ma touta tavi deiyei.’”
MRK.12.12	Dam Jiu babadisi isakovi da Yesu ivi meiba na tousi ivivi sisiyesi ma keta inegwanegwai da ita paniya. Ma numaduba iyabumanesi kubina ivoterei ma ine kuyowei.
MRK.12.13	Muriyai dam Jiu babadisi Parisi* ruwamtousi ma Herod ina dam* ruwamtousi iki tawayesi Yesu kurina da ivivi kai teini da sisiya ita vavo berowei bo kegha.
MRK.12.14	Ipiti kurina ma ivavo bo, “Bada, ka sakovi da tam vara keimatana kisisiyei. Tam iya kuta veiveiya da rava gheghena bo rava kiki ma ke beraberasi da tousi na sago, ma rava asi pona iya kuta vi viyanei ma Meimeituwa ina keta keimatana ki beyebeyena bubuni. Vagheina bo kegha da touta taks ti maiya Sisa kurina? Ti maiya bo kegha?”
MRK.12.15	Bade Yesu, asi vi kaiteina ikita bouni ma ivavo kurisi, “Avikubina ko kayokayowei da koni waroku? Dinari sago ko pitiyei ana kitai!” 
MRK.12.16	Ma iveiya ipitiyei kurina ma ikisi, “Iyai gubagubana ma kana wava weni mane nai?”
MRK.12.16	Iki potei ivavo bo, “Sisa.”
MRK.12.17	Bade Yesu ivavo bo, “Meni touna Sisa rapenai na Sisa koverei ma meni touna Meimeituwa rapenai na Meimeituwa ko verei.” Ma tousi ina sisiya ivi deiyei.
MRK.12.18	Sadusi asi tumetume rava siraghe yai iya ita vo meimeiri meme. Bade ruwamtousi ipiti Yesu kurina ivivi kaiteini, ivi taravirei ivavo bo,
MRK.12.19	“Bada, Mosese igiruma Meimeituwa ina vigheiyenai kubita weni nuke evavavo, mike da koroto ina siraghe ma kawana ina ne kuyowei iya itituwa, bade varesina kwapurina ina ravaghi ma ini tuwa, pipiyisi na ina tuwa sirasiraghena natunatuna.
MRK.12.20	Namani tuwanateina asivi meikovi ma kumaneva ruwa. Tutuwaghina wavine iravaghi, iya itituwa ma korotona isiraghe. 
MRK.12.21	Bade murimurina kwapurina iravaghi, iya itituwa ma korotona isiraghe. Ma kana vi aroba nuke ma isiraghe. 
MRK.12.22	Tuwanateina meikovi ma kumaneva ruwa wavinena sago kava iravaghi, iya itituwa ma tupasiyavu isiraghe. Muriyai nani kwapurina, meiteni isiraghe. 
MRK.12.23	Korokoroto meikovi ma kumaneva ruwa wavinena sago kava iravaghi touna kubina rava siraghe yai ina vo meiri meme maranai, iyai kawana?”
MRK.12.24	Yesu ikipote, “Tami Meimeituwa varana ma ina maragata iya kota sakovi, touna kubina ami nota ibero. 
MRK.12.25	Maranai rava siraghe yai ina vo meimeiri meme, korokoroto iya ita tatavine ma weivine iya ita vivi tavinesi ma bade nuke ina make kama Meimeituwa ina aneya kunumai emakemake na nuke. 
MRK.12.26	Ma bade Meimeituwa ikimakava rava siraghe yai ina vo meimeirinisi, kade ko siyavi bo kegha Mosese ina bukai igirumi, ikimakava ivavo keyama kiki ikarakarasina maranai? Meimeituwa ivavo bo, “Taku Abraham, Aisak ma Jeikapu asi Meimeituwa.”
MRK.12.27	Touna na iya rava sirasiraghesi asi Meimeituwa ma rava yawayawasisi asi Meimeituwa. Touna ibeyeta da Abraham, Aisak ma Jeikapu isiraghe ma Meimeituwa matanai na tousi yawayawasisi. Touna kubina ami nota na ibero tawayena maranai ko vavavo da rava siraghe yai iya ina vo meimeiri!”
MRK.12.28	Bade touvibeyebeyena sago Mosese ina vigheiyenai ipiti na Yesu ma Sadusis weni nuke ivivi tupavireyana na ivi yanesi. Ma ivi yanei da Yesu ikipote bubunisi, bade ivi taravirei, “Meni vigheiyenina ighe sasara Meimeituwa ina vigheiyenai?”
