GEN.1.1	I acakki piny Lubaŋa oketo polo ki lobo. 
ISA.1.29	ma cwinywu yom iye-ni:
ISA.1.29	alee bitwodowu pi potti ma yam wuyerogi.
ISA.1.30	Pien wubidoko macalo kworo ma pote oner woko,
ISA.1.30	dok bene macalo poto ma pii pe iye.
ISA.1.31	Dano matek bidoko calo lum mutwo ka mac ogudo,
ISA.1.31	ki ticce bene bibedo cal ki mac ma mwoc kirre malo;
ISA.1.31	gin aryo ducu gibiwan kacel,
ISA.1.31	kun noŋo pe dok tye ŋat mo ma neko mac ki i komgi.
ISA.2.1	Man aye lok ma, Lubaŋa onyuto bot Icaya wod pa Amoj mukemo Juda ki Jerucalem.
ISA.2.2	Man bitimme i kare ma pud tye anyim:
ISA.2.2	got me ot pa Rwot bicuŋ
ISA.2.2	macalo got mabor makato godi ducu,
ISA.2.2	borre bikato cere ducu;
ISA.2.2	rok ducu gibimol gicito iye,
ISA.2.3	dok lwak lurok mapol gibibino gibiwacci,
ISA.2.3	“Wubin, waitu i wi got pa Rwot,
ISA.2.3	i ot pa Lubaŋa pa Yakobo;
ISA.2.3	wek en opwonywa kit mere,
ISA.2.3	ka wek walub yo mere.”
ISA.2.3	Pien cik bia ki i Cion,
ISA.2.3	lok pa Rwot bia ki i Jerucalem.
ISA.2.4	dok biŋolo kop pa lwak rok mapol;
ISA.2.4	gibiteto pala lucwangi doko lak kweri dyaŋ,
ISA.2.4	ki toŋigi doko pala me ŋolo jaŋ olok;
ISA.2.4	rok mo pe bitiŋo pala lucwan i kom rok wadigi,
ISA.2.4	pe doŋ gibimedde ki pwonyo lweny.
ISA.2.5	Wun jo me ot pa Yakobo
ISA.2.5	wubin wacitu kun ceŋ pa Rwot ryeny menyowa.
ISA.2.6	Pien in Rwot iweko lwakki woko ata,
ISA.2.6	ibwoto jo me ot pa Yakobo,
ISA.2.6	pien lutyet ma gua tuŋ wokceŋ gupoŋ iye mada,
ISA.2.6	ki lutak dano macalo jo Piliciti,
ISA.2.6	gitye ka yoko ciŋgi ki lurok.
ISA.2.7	Lobogi opoŋ ki ryal ki jabu,
ISA.2.7	lonyogi pe twero tum;
ISA.2.7	aguragura bene dwoŋ twatwal i lobogi,
ISA.2.7	gadigadi lwenygi bene pe twero tum.
ISA.2.8	Cal jogi dwoŋ i lobogi twatwal,
ISA.2.8	giworo tic ma gutiyo ki ciŋgi,
ISA.2.8	gin ma gutiyo pigi kengi ki ciŋgi.
ISA.2.9	Meno omiyo doŋ gikwanyo dit pa dano woko,
ISA.2.9	co doŋ gudoko jo ma rwomgi piny adada;
ISA.2.9	pe itim kica botgi pi bal man!
ISA.2.10	kanne woko i i apwa,
ISA.2.10	pi twon lworo madit i kom Rwot ki pi riŋo deyo me ditte.
ISA.2.11	Gibijuko bwono pa dano woko,
ISA.2.11	wakke pa co bikwe woko.
ISA.2.11	Gibipako Rwot keken i nino meno.
ISA.2.12	Pien Rwot me mony tye ki ninone,
ISA.2.12	pi gin ducu ma wakke ki ma lyerre,
ISA.2.12	pi gin ducu ma tye malo, ma oille malo;
ISA.2.13	pi yadi cedar ducu me Lebanon,
ISA.2.13	maboco ki ma tye malo;
ISA.2.13	ki pi kworo ducu me Bacan;
ISA.2.14	pi godi ducu ma gucuŋ likuŋ wa malo
ISA.2.14	ki pi lobo ducumubedo cere,
ISA.2.15	pi gedo ducu mabocoboco,
ISA.2.15	ki pi cel me gaŋ ducu ma gigero matek;
ISA.2.16	pi mel ducu me Tarcic,
ISA.2.16	ki pi yeya ducu ma giber me anena.
ISA.2.17	Gibijuko bwono pa dano woko,
ISA.2.17	wakke pa co bikwe woko.
ISA.2.17	Gibipako Rwot keken i nino meno.
ISA.2.18	Cal jogi ducu gibijwero woko.
ISA.2.19	Dano bidonyo i boro got,
ISA.2.19	ki i bur ma gikwinyo i ŋom,
ISA.2.19	pi twon lworo madit i kom Rwot ki pi riŋo deyo me ditte,
ISA.2.19	ka en bia malo ka ryaŋo kom jo ma bedo i lobo.
ISA.2.20	Inino meno cal jogt me ryal ki me jabu,
ISA.2.20	ma dano gutiyo me aworagi,
ISA.2.20	gibibolo woko bot buyu ki bot olik,
ISA.2.21	ci gibidonyo ii got ma obar,
ISA.2.21	ki i kin got ma okak atata,
ISA.2.21	pi twon lworo madit i kom Rwot,
ISA.2.21	ki pi riŋo deyo me ditte,
ISA.2.21	ka en bia malo ka ryaŋo kom jo ma bedo i lobo.
ISA.2.22	Wek dano ma yweyo tye i ume-ni obedi:
ISA.2.22	dano kono konyo aŋo?
ISA.3.1	Pien, koŋ inen, Rwot, ma en Rwot me mony,
ISA.3.1	tye ka kwanyo woko ki bot Jerucalem ki jo Juda
ISA.3.1	gin ducu ma yam kwogi ocuŋ
ISA.3.1	i kome, cam ducu ma kwogi jeŋŋe iye,
ISA.3.1	ki pii bene ma kwogi ojeŋŋe iye.
ISA.3.2	Tye ka kwanyo dano matek dok ma lamony,
ISA.3.2	laŋolkop ki lanebi,
ISA.3.2	latyet ki ladit,
ISA.3.3	lutel wi jo pyerabic
ISA.3.3	ki jo me awora,
ISA.3.3	lumi-tam ki lutak maryekke,
ISA.3.3	ki luryeko ma gitiyo Lwit me gwoko kom.
ISA.3.4	Abimiyo awobe bedo rwodigi,
ISA.3.4	litino matino aye ma biloyogi.
ISA.3.5	Dano gibibedo ka unne kekengi,
ISA.3.5	kun ŋat man uno lawote,
ISA.3.5	dano acel acel uno wadigi;
ISA.3.5	awobi binywaro ladit,
ISA.3.5	laboŋ ata binywaro dano ma giworo.
ISA.3.6	I nino meno dano bimako ominne
ISA.3.6	i ot pa wonne, biwacci,
ISA.3.6	“In it ye ki boŋo me aruka,
ISA.3.6	in aye doŋ ibibedo ka loyowa,
ISA.3.6	wi obur man bibedo i te locci.”
ISA.3.7	I nino meno en bilok kun wacci,
ISA.3.7	“An gira pe abibedo lacan-dano;
ISA.3.7	kwon ki boŋo pe i oda;
ISA.3.7	pe wubiketa me bedo
ISA.3.7	ŋat ma loyo lwak.”
ISA.3.8	Pien Jerucalem doŋ cok poto woko,
ISA.3.8	Juda doŋ opoto mere woko;
ISA.3.8	pien lok ma giloko ki gin ma gitimo kemo Rwot,
ISA.3.8	gujemo woko i kome dok gubalo deyone woko.
ISA.3.9	Kitgi ma giyeko kwede kin dano-ni bibedo caden i komgi;
ISA.3.9	ginyuto balgi woko ka maleŋ calo Codom,
ISA.3.9	pe gikano akana, Can i wigi!
ISA.3.9	Pien gin aye ma gukelo can i komgi kengi.
ISA.3.10	Wutit bot jo ma kitgi atir ni gibibedo maber,
ISA.3.10	pien gibilimo bakacic me gin ma gitimo.
ISA.3.11	Can bipoto i kom jo maraco!
ISA.3.11	Can ma bipoto i komgi bibedo marac mukato kare;
ISA.3.11	pien gin ma ciŋgi otimo,
ISA.3.11	en aye bene ma gibitimo i komgi.
ISA.3.12	Litino gitye ka uno lwakka,
ISA.3.12	kombeddi doŋ gitye i te loc pa mon.
ISA.3.12	Wun lwakka, lutelwu tye ka rwenyowu arwenya,
ISA.3.12	gitye ka ŋakowu woko ki i yo ma myero wuwot iye.
ISA.3.13	Rwot doŋ obino woko ka pido,
ISA.3.13	en ocuŋ ka ŋolo kop I kom lwakke.
ISA.3.14	Rwot doŋ oyabo pido woko i kom lwakke,
ISA.3.14	ocako pido ki ludoŋo pa lwakke ki rwodigi.
ISA.3.14	“Wun kikomwu aye ma wucamo poto olok,
ISA.3.14	jami ma wuyako ki bot lucan tye i odiwu.
ISA.3.15	Wuninyo lwakka woko kono piŋo kun wutimo lucan malit mukato?”
ISA.3.15	Man lok pa Rwot Lubaŋa me mony kikome.
ISA.3.16	Rwot owacci,
ISA.3.16	“Pien anyira me Cion giwakke,
ISA.3.16	giwoto ma gutoŋo ŋutgi atona
ISA.3.16	kun gineno dano ki waŋ me kwele,
ISA.3.16	ginyedo wot anyeda ki wi tyengi
ISA.3.16	kun gara ma i tyengi yeŋŋe, tye ka
ISA.3.16	kok maloŋo;
ISA.3.17	pi meno, Rwot bimiyo wi anyira
ISA.3.17	Cion tokke woko doko bur
ISA.3.17	Rwot bimiyo komgi bene doŋ noŋo ka maleŋ.”
ISA.3.18	I nino meno Rwot bikwanyo atego me tyen monwu mabeco-ni woko ki tiko ma girubo me tur nyimgi, ki mola me cal dwe; 
ISA.3.19	mola ŋut ma ryeny aryenya, atego ŋut cin, ki kitambara me adwala i ŋut; 
ISA.3.20	boŋŋigi me atweya i wic, ogul me bad, del me tweyo pyer, cupa moo me wir, lwit ma gitweyo me gwoko kom; 
ISA.3.21	agit ciŋ, agit ma girwako lum; 
ISA.3.22	boŋŋigi mabeco ma giruko i nino madito, gomci, boŋŋi me ummegi, ki kicaa me ciŋ; 
ISA.3.23	ginaruka mogo ma mareprep, boŋŋi camanini kitambara ma gidwalo i wic ki kitam: bara me geŋo waŋ.
ISA.3.24	Ma ka moo ma ŋwece kur bibedo gin mukwok;
ISA.3.24	ma ka del me tweyo pyer bibedo tol:
ISA.3.24	ma ka yer ma gikedo akeda maber wigi bital woko;
ISA.3.24	ma ka ruko boŋŋi mogo me wel,
ISA.3.24	gibitweyo boŋo cola aye i pyergi;
ISA.3.24	ma ka nen mwonya, gibibedo ki lewic.
ISA.3.25	Gibineko cogwu woko ki pala I ucwan,
ISA.3.25	co ma gin oteka lwenywu gibito imony.
ISA.3.26	Kumo ki koko me can biwinnye i dogcel me Cion;
ISA.3.26	bibedo calo dako ma giyako jamine woko ducu,
ISA.3.26	ma obedo piny i nom.
ISA.4.1	I nino meno mon abiro gibipoto i kom laco acel kun gimake woko Iikin ma giwacce ni, “Wan giwa wabicamo camwa dok bene wabiyenyo ginarukawa kikomwa, ento in myero itrm ber ilwonwa ki nyiŋi; kwany lewic woko ki i wiwa.”
ISA.4.2	I nino meno ginapita ma Rwot omiyo olot odoŋo bibedo maber kun bene noŋo tye ki deyone; gin mucek i lobo bimiyo jo Icrael mubwot gibiwakke kun bene noŋo gitye ki deyo. 
ISA.4.3	Jo mudoŋ i Cion ki jo ma pud bedo! Jerucalem gibilwoŋo ni jo maleŋ, jo ducu ma doŋ gicoyo nyiŋgi ni myero gubed kwo i Jerucalem, 
ISA.4.4	i kare ma noŋo Rwot doŋ olwoko cilo ki i kom mon me Cion woko, kun bene doŋ noŋo otyeko lonyo remo woko i dye Jerucalem pi cwiny me ŋolo kop atir ki cwiny me waŋo gin marac woko. 
ISA.4.5	Rwot doŋ biketo pol dyeceŋ, ki yito ki mac ma caro piny Lyel dyewor, i kabedo ducu ma tye i wi got me Cion, ki i wi dano ducu ma gucokke iye; pien gin mo ma gitiyo macalo kema biumo wi deyone ducu. 
ISA.4.6	Gin meno bibedo me geŋo lyeto dyeceŋ, ki me geŋo yamo ki kot.
ISA.5.1	wer me mar i kom poto olokke.
ISA.5.1	Ŋat ma amaro-ni onoŋo opuro poto olokke i wi cere
ISA.5.1	ka ma ceko cam twatwal.
ISA.5.2	Oboto poto, ka doŋ oteno,
ISA.5.2	ocoko gweŋ bene woko ducu ki iye
ISA.5.2	ka doŋ ocako pito iye olok mabeco ma oyero ayera;
ISA.5.2	oketo lubele me neno pinyi dyere,
ISA.5.2	ka dok okwinyo bur tye me jolo pige.
ISA.5.2	En doŋ ocako bedo ki gen ni binyako nyige mabeco,
ISA.5.2	ento dok onyako mere nyige calo olok me tim.
ISA.5.3	Kombeddi doŋ, wun jo ma bedo i Jerucalem,
ISA.5.3	ki wun jo me Juda, wutim ber wuŋol kop,
ISA.5.3	i kin an ki poto olokka.
ISA.5.4	Gin aŋo madog ma onoŋo myero atim
ISA.5.4	i poto olokka ma pe atimo?
ISA.5.4	I kare ma abedo ki gen ni olok binyako nyige mabeco,
ISA.5.4	piŋo dok onyako mere nyige calo olok me tim?
ISA.5.5	Wuwek koŋ doŋ atit botwu,
ISA.5.5	gin ma abitimo i kom poto olokka.
ISA.5.5	Abimuko cel woko ki i ŋete,
ISA.5.5	wek doŋ oballe woko;
ISA.5.5	abicoro lobo me celle areto woko piny,
ISA.5.5	wek lee onyon lobo ma iye woko atata.
ISA.5.6	Abibwoto bakke ki doo liyuk,
ISA.5.6	pe doŋ abiŋolo jaŋe, kadi wa doyo tere,
ISA.5.6	okuto ki ocok bitwi, ci gidoŋo iye; abiciko pol ducu
ISA.5.6	wek pe dok gumi kot ocwer iye.
ISA.5.7	Pien poto olok pa Rwot me mony, gin aye jo Icrael;
ISA.5.7	ki jo Juda.
ISA.5.7	Gin ducu gubedo gin ma en opito me yomo cwinye;
ISA.5.7	onoŋo en tye ki gen ni Gibiŋolo kop atir,
ISA.5.7	ento koŋ inen, gitye ka nekke woko kekengi;
ISA.5.7	onoŋo tye ki gen ni gibibedo jo ma kitgi atir,
ISA.5.7	ento koŋ iwiny, twon koko me can ma gikok kwede!
ISA.5.8	Gibineno can, jo ma kubo odi i kom odi wadigi,
ISA.5.8	ma gimedo potti i kom potti ma gitye kwede,
ISA.5.8	nio waŋ ma ka mo doŋ pe odon ki jo mukene,
ISA.5.8	kun noŋo doŋ gudoŋ kengi i lobo.
ISA.5.9	Rwot me mony okwoŋŋe ma awinyo ni,
ISA.5.9	“Adada, odi mapol igi bidoŋ noŋo,
ISA.5.9	odi madoŋo, mabeco bidoŋ laboŋo
ISA.5.9	ŋat mo ma bedo i igi.
ISA.5.10	Poto olok eka apar,
ISA.5.10	bia iye koŋo vino ma romo debe aryo keken;
ISA.5.10	ki kodi kutiya adek kulu, bia iye debe aryo keken.”
ISA.5.11	Gibineno can, jo ma puk odiko con,
ISA.5.11	ka yenyo koŋo arege me amata,
ISA.5.11	ki jo ma ri i te koŋo nakanaka wa dyewor,
ISA.5.11	nio wan ma gumer matek.
ISA.5.12	Gibedo ki opuk, naŋa,
ISA.5.12	ajaa ki nyamulere i karamagi,
ISA.5.12	kun koŋo bene pe lwenyo iye;
ISA.5.12	ento pe giparo pi tic ma Rwot otiyo wacel,
ISA.5.12	kadi wa loko wangi me neno gin ma en otiyo ki ciŋe.
ISA.5.13	Meno aye gin mumiyo gitero lwakka i opii pi kwiya pinygi;
ISA.5.13	co mogo i kingi ma giworo kombeddi gitye ka to ki kec,
ISA.5.13	ki lwakgi mapol orwo pii onekogi matek.
ISA.5.14	Meno omiyo lyel tye ka mwonyo laa twatwal,
ISA.5.14	kun oŋamo doge malac mukato kare,
ISA.5.14	deyo pa Jerucalem ki lwak jone gidonyo iye,
ISA.5.14	jo ma wo ma cwinygi yom bene.
ISA.5.15	Gikwanyo doŋ dit pa dano woko,
ISA.5.15	co doŋ gudoko jo ma rwomgi piny adada,
ISA.5.15	jo ma lyerre bene doŋ wakkegi ogik.
ISA.5.16	Ento Rwot me mony dit dok gidwore pi ŋolo kop atir,
ISA.5.16	Lubaŋa Maleŋ nyutte ni eleŋ i timo gin ma tye atir.
ISA.5.17	Romi gibibedo ka cam i Jerucalem macalo gicamo i oletgi,
ISA.5.17	dok lim makwo mucwe ki dyegi gibicam i wi obur.
ISA.5.18	Gibineno can jo ma ywayo kit marac ki tol me goba,
ISA.5.18	ma giywayo bal macalo tol ma ywayo gadigadi,
ISA.5.19	ma giwaco ni, “Wek en oru timone oyotoyot,
ISA.5.19	wek oti ticce bene oyotoyot twatwal, wek wanen;
ISA.5.19	wek gin ma Ŋat Maleŋ me Icrael oyubo ni ebitiyo obin cok,
ISA.5.19	obin, wek wan bene waŋe.”
ISA.5.20	Gibineno can,
ISA.5.20	jo ma lwoŋo gin marac ni ber,
ISA.5.20	kun dok gilokke gilwoŋo gin
ISA.5.20	maber ni rac,
ISA.5.20	ma giketo colpiny ma ka leŋo,
ISA.5.20	ki leŋo ma ka colpiny,
ISA.5.20	gin makec giloko doko gin malim,
ISA.5.20	ki gin malim giloko doko gin makec!
ISA.5.21	Gibineno can, jo maryek i wangi kengi,
ISA.5.21	jo ma nenne kengi ni giryek.
ISA.5.22	Lumat koŋo madoŋo bineno can,
ISA.5.22	ki jo ma gin ludiro i rubo boŋo mamit,
ISA.5.23	ma gimiyo ŋat mubalo loyo kop pi lim ma owilogi kwede i muŋ,
ISA.5.23	ma pe dwoko jami pa ŋat ma pe ki bal mo cen bote.
ISA.5.24	Pi meno kit macalo leb mac wano kwede reŋ kal,
ISA.5.24	ki kit ma lum mutwo mac gamo kwede,
ISA.5.24	gin bene gibibedo macalo yat ma otop woko,
ISA.5.24	nyo macalo yat ma ka ture otwo ci duny calo apwa:
ISA.5.24	pien gukwero winyo cik pa Rwot me mony,
ISA.5.24	kun gicayo lok ma ŋat Maleŋ me Icrael oloko.
ISA.5.25	Meno aye gin mumiyo akemo omako Rwot i kom lwakke,
ISA.5.25	omiyo en oryeyo ciŋe i komgi, ci onekogi woko;
ISA.5.25	godi madoŋo guyeŋŋe,
ISA.5.25	guto ma noŋo komgi oradde ata macalo yugi ma tye i dye gudo.
ISA.5.25	Man ducu pe, okweyoakemopa Rwot en pud tye ka ryeyo ciŋe aryeya i komgi.
ISA.5.26	En bitiŋo benderane pi rok ma tye ka mabor,
ISA.5.26	bilwoŋogi ki i agikki piny ki lwiyo;
ISA.5.26	nen gin ca, gitye ka riŋo, gibino oyotoyot.
ISA.5.27	Dano mo muni ma tye ka gwanne atata pe i kingi,
ISA.5.27	ŋat ma nur ki nino nyo ma onino pe i kingi,
ISA.5.27	ŋat mo pe ma boŋo ma i pyere ogony woko,
ISA.5.27	tol war bene pe ocot ki i tyen ŋat mo.
ISA.5.28	Aterogi bit twatwal,
ISA.5.28	guciko atumgi ki tol ma doŋ gutelo woko matek,
ISA.5.28	oboŋ tyen aguraguragi obedo calo pata got,
ISA.5.28	tyen gadigadigi wirre calo yamo lapiru.
ISA.5.29	Gin ducu gimor calo dwan labwor ma kok,
ISA.5.29	gikok calo litino labwor;
ISA.5.29	giŋur ci gimako lee ma gitye ka dwarone,
ISA.5.29	giywayo giterogi gigi laboŋo ŋat mo ma twero kwanyone woko ki botgi.
ISA.5.30	Gibiŋur i kome i nino meno, macalo nam ma mor.
ISA.5.30	Ento ka ce iloko waŋi me neno lobo,
ISA.5.30	ci ibineno colpiny ki can keken,
ISA.5.30	kun noŋo pol oumo wan cen woko.
ISA.6.2	Lucerapi
ISA.6.3	Onoŋo gitye ka wer ma ŋat acel acel gamo dog lawote ni,
ISA.6.3	“Rwot me mony leŋ, leŋ dok leŋ;
ISA.6.3	lobo ducu opoŋ ki deyone.”
ISA.6.5	Ka doŋ awacci, “Aneno can doŋ ba! Ato woko do! Pien an dano ma lok ma a i doga pe leŋ, dok bene abedo i kin rok ma lok ma giloko pe leŋ: ento aneno kabaka ki waŋa, ma en aye Rwot me mony.”
ISA.6.6	Cutcut ŋat acel i kin lucerapi otuk obino bota, kun omako lodi mac i ciŋe, ma en okwanyo ki i keno tyer, kun okaro ki lakar mac. 
ISA.6.7	Ogudo ki doga kun wacci. “Nen, gin man ogudo del dogi; gin maracci doŋ gikwanyo, ki balli doŋ giweko.” 
ISA.6.8	Cutcut awinyo dwan Rwot ma wacci, “Abioro aŋa mono? Aŋa ma bicito piwa?” Agamo ni, “An ene; ora.” 
ISA.6.9	Ka doŋ en owacca ni, “Cit iwac ki rok man ni,
ISA.6.9	‘Winyone mere wubiwinyo,
ISA.6.9	ento pe wubiniaŋ te lokke;
ISA.6.9	nenone wubineno,
ISA.6.9	ento pe wubiŋeyo gin ma tye.’
ISA.6.10	Mi rok man cwinygi odok nwaŋ,
ISA.6.10	mi itgi bene odiŋ woko,
ISA.6.10	wek pe gunen ki waŋgi,
ISA.6.10	pe bene guwiny ki itgi,
ISA.6.10	pe bene guniaŋ iye ki cwinygi,
ISA.6.10	wek omi pe gulokke gudwog bota acaŋgi.”
ISA.6.11	Ka doŋ apenyo ni, “Pi kare ma rom mene, ai Rwot?”
ISA.6.11	Ci en odokka iye ni,
ISA.6.11	“Nio waŋ ma gaŋi ducu igi odoŋ nono,
ISA.6.11	laboŋo dano mo ma bedo i igi,
ISA.6.11	jo mogo ma gibedo i odi bene doŋ pe,
ISA.6.11	lobo doŋ odoŋ nono laboŋo gin mo kadi ki acel,
ISA.6.12	kun Rwot doŋ ocwalo dano woko cen ka mabor,
ISA.6.12	wi obur ma gibwoto doŋ dwoŋ ata i lobo.
ISA.6.13	Kadi bed acel me apar pa jo ma
ISA.6.13	onoŋo gubedo kenyo gudoŋ iye,
ISA.6.13	pud dok gibiwaŋogi woko aye,
ISA.6.13	calo kworo nyo opok,
ISA.6.13	ma ajutte odon,
ISA.6.13	ma noŋo doŋ gityeko toŋo kom yat woko piny.”
ISA.6.13	Ajutte aye bedo kodi maleŋ.
ISA.7.2	I kare ma gitito lokke bot likwayo pa Daudi ni, “Jo Epraim doŋ guribbe woko ki jo Ciria,” cwiny Akaj ki pa lwakke omyel twatwal kit macalo yamo yeŋo kwede yat ka tye ka kodo.
ISA.7.3	Rwot owaco bot Icaya ni, “Cit irwatte ki Akaj, in kacel ki wodi Cear-yacub. Cit irwatte kwede i agikki me yo pii ma mol a ki i joro ma malo, i yo gudo ma cito i poto pa lalwok-boŋo, 
ISA.7.4	ci iwacce ni, ‘Gwokke, bed mot laboŋo lworo mo, cwinyi bene pe opoti pi kiniga malyet ma omako Rejin ki jo Ciria ki wod pa Remalia, pi ajut aryo ma guwan woko ma yitogi tye Ica dunynyi. 
ISA.7.5	Pien jo Ciria ki jo Epraim ki wod pa Remalia guporo lok marac ma myero gitim i komi, kun giwacci, 
ISA.7.6	“Wacitu walwenyu i kom Juda, wami obed ki lworo madwoŋ, wek wamaa woko obed mewa, ci waketu wod pa Tabcel me bedo kabaka iye.” 
ISA.7.7	Meno omiyo Rwot. Lubaŋa owaco kuman ni,
ISA.7.7	Cobo tamgi biloyogi woko, pe bicobbe ada.
ISA.7.8	Pien Damaciko aye gaŋ madit me Ciria,
ISA.7.8	ki Rejin aye rwot me Damaciko.
ISA.7.8	(Ma pud peya mwaka pyerabicel wiye abic otum, gibiŋinyo jo Epraim, bimiyo pe dok gimedde me bedo rok.)
ISA.7.9	Camaria aye gaŋ madit me Epraim,
ISA.7.9	ki wod pa Remalia aye rwot me Camaria.
ISA.7.9	Ka ce pe wubiye,
ISA.7.9	adada, pe wubicuŋ matek.’ ”
ISA.7.10	Rwot dok owaco ki Akaj ni, 
ISA.7.11	“Peny pi Lanyut mo ki bot Rwot Lubaŋani; kadi lanyut ma tye piny ka matut i lyel nyo kadi ma tye malo i polo.” 
ISA.7.12	Ento Akaj ogamo kun wacci. “Pe abipenyo Lanyut mo, dok pe abitemo Rwot.” 
ISA.7.13	En dok owaco ni, “Koŋ wuwiny wun likwayo pa Daudi! Yelo dano ma wuolo komgi pe romowu, mumiyo wutye ka olo kom Lubaŋana dok bene-ni? 
ISA.7.14	Pi meno, Rwot kikome aye ma bimiyo botwu lanyut. Nen, nyako mo ma peya oŋeyo laco biyac, ci nywalo latin laco, gibicako nyiŋ latin meno ni Immanuel
ISA.7.15	Latin meno bimato cak lukulu ki moo kic, ka doŋ oŋeyo kwero gin marac ki yero gin maber. 
ISA.7.16	Pien ma pud peya latin-nu ŋeyo kwero gin marac ki yero gin maber, lobo ma itye iye ki lworo madit i kom lukerre aryo-nu gibiweko doŋ noŋo. 
ISA.7.17	Rwot bimiyo kare mo bino i komi ki i kom lwakki, ki i kom jo me doggola me ot pa kwaru ma yam peya onen cakke ma jo Epraim gupokke woko ki jo Juda; en bikelo kabaka me Aciria.”
ISA.7.18	I kare meno, Rwot bilwoŋo lwaŋi ma bedo i acakki kulu me Ejipt, ki kic ma bedo i lobo Aciria ki lwiyo. 
ISA.7.19	Gin ducu gibibino gio woko lirut i luŋ matut, ki i kin got ma obar, ki i wi okuto-gu ducu, ki i olet ducu.
ISA.7.20	I kare meno Rwot bikelo dano mo ki loka kulu Euprate, ma en kabaka me Aciria. En bitimowu malit calo dano ma gilyelo yer wiye ki yer kome woko ducu, bilyelo yer tik woko bene.
ISA.7.21	I kare meno dano bigwoko roya ki megi romi aryo, 
ISA.7.22	doŋ pi cak madwoŋ twatwal ma gibimiyo bot dano-nu, miyo dano meno bimato cak lukulu ki moo kic.
ISA.7.23	I kare meno potti ducu ma yam ginoŋo iye tyen olok alip acel, ma poto acel acel gicato i wel me cekel me ryal alip acel bene, bibedo okuto ki ocok keken. 
ISA.7.24	Dano bicito kunnu ki atum ki atero, pien okuto ki ocok biromo lobo ducu; 
ISA.7.25	ento lobo ducu ma bedo cerecere ma yam onoŋo gipuro ki kweri, pe dok wubicito iye pi lworo okuto ki ocok. Kabedo meno bidoko ka ma dyaŋi camo iye kengi; dok romi ki dyegi gibibedo ka nyono piny iye atata.
ISA.8.1	Rwot dok owacca ni, “Kwany got malac ci ico iye coc ki nukuta ma lwak ducu giŋeyo ma giromo kwanone, ‘Maer-calal-cak-baj.’ ” 
ISA.8.2	Cutcut anoŋo caden ma genne, ajwaka Uria ki Jakaria wod pa Yeberekia, me bedo lucadenna. 
ISA.8.3	Adonyo bot lanebi ma dako ma obedo dakona, ci ogamo ic, onywalo latin laco. Cutcut Rwot owacca ni, “Cak nyiŋe ni Maer-calal-kacbaj; 
ISA.8.4	pien ma pud peya latin meno ŋeyo lwoŋo ni, ‘Aba,’ nyo ‘mama,’ gibigwaro lonyo pa jo Damaciko kacel ki jami ayaka pa jo Camaria gitero woko kwoŋo nyim kabaka me Aciria.”
ISA.8.5	Rwot dok oloko bota aye ni, 
ISA.8.6	“Pien jo man doŋ gukwero pii me Ciloa ma mol mot gulokke gigi gubedo ki myelkom i nyim Rejin ki i nyim wod pa Remalia; 
ISA.8.7	pi meno, Rwot bimiyo pii me kulu Euprate ma mol matek dok bene dwoŋ twatwal corre i komgi, ma en kabaka me Aciria ki deyone ducu. Bipoŋ i wan lalele ducu, kun noŋo mol atata liyakyak; 
ISA.8.8	bimol kato cito i Juda, ma noŋo mol atata liyakyak, kato cito anyim, bipoŋ o wa malo i ŋut dano. Pien Lubaŋa tye kwedwa. En biyaro bwome me gwoko lobo man.”
ISA.8.9	Wumwolle woko kekenwu,
ISA.8.9	wun rok ducu, cwinywu myero opoti;
ISA.8.9	wuter itwu, wun lobo ducu ma wutye ka mabor,
ISA.8.9	wuyubbe bene ma cwinywu poto,
ISA.8.9	wuyubbe pi lweny ma cwinywu poto.
ISA.8.10	Wupor lok kacel, ento gin mo pe ma bia iye;
ISA.8.10	wulok lok, ento gin ma wumito pe bicobbe,
ISA.8.10	pien Lubaŋa tye kwedwa.
ISA.8.11	Rwot oloko bota kit man pien onoŋo odiya woko matek ki ciŋe, dok bene ocika ni pe alub kit pa jo me rok man, kun waco ni, 
ISA.8.12	“Pe wulwoŋ ni piro lok i muŋ gin ma jo me rok man lwoŋo ni piro lok i muŋ, pe wulwor bene gin ma gilworo, lworo mo ma onyo koyo i komwu bene obed pe. 
ISA.8.13	Ento myero wuŋe ni Rwot me mony aye ŋat maleŋ, en aye ŋat ma myero wubed ka lworone, dok en aye ma myero omiwu lworo ma onyo koyo i komwu. 
ISA.8.14	En oidoko kabedo maleŋ, ki got ma miyo dano yokke ka giwoto, bidoko ariya ki tuŋ botgi, makato jo me doggola pa luker aryo-nu ducu, me Juda ki me Icrael, dok bibedo owic ki kinu me ciko jo ma gibedo i Jerucalem. 
ISA.8.15	Jo mapol gibiyokke iye; gibipoto gitur giŋinnye woko; gibicikogi ki kinu ci gimoko.”
ISA.8.16	Jo ma winyo lok ma apwonyo myero gugwok maber pe orweny woko. 
ISA.8.17	Rwot okanne woko ki bot jone, ento an abikure kun atye ki gen i kome. 
ISA.8.18	Nen an-kacel ki litino ma Rwot doŋ omiya, wabedo lanyut ki lanen bot jo Icrael ma oa ki bot Rwot me mony, ma komkerre tye i wi got Cion. 
