MAT.1.1	Pèci né pâr̂â bèmûû Ièsu Kérisö, mör̂u David, wè mör̂u Abérahama.
JHN.12.4	Na bör̂i êr̂ê na dèxâ rai pâi pa pâgür̂ü, wi-a Juda Iskariot, o i Simona, kâmö ré yè ârui-e, êr̂ê: 
JHN.12.5	«É da vi rhöwöi xi-yé rhëë-a cè ki pârör̂ö na ma dèxâ e â kâmö dènari na pè urhii, na ki mâ nââ yè pâr̂â kâmö pa rhauadè?» 
JHN.12.6	Na da êr̂ê nô ré xè-i ké bar̂i méar̂i xi-e pâi paxa rhauadè, aè na kâmö ka pâr̂â na ce, wè na wê tö pwar̂a-è na karé mwâ mwâné, na bör̂i wê pè na ce pâr̂â kââ ka é oè rö-i. 
JHN.12.7	Na bör̂i êr̂ê na Ièsu, êr̂ê: «Koa yè vi vâpèr̂u-é na gëve, wè na waa ö kââ-ré vè némui-nya rèi ö nédaa ré é yè kérui-nya. 
JHN.12.8	Nè dè bâ tö gëve pâi pa rhauadè, aè gènyâ, wè gö yè da bâ tö pwar̂a-ve.»
JHN.12.9	Cér̂é pôr̂ô yéyé na pâi xè Juda pa pwêr̂ê, êr̂ê, na tö Bétani na Ièsu, cér̂é bör̂i vi ua-è nai, wè, cér̂é da vi waa rhar̂i Ièsu, aè cér̂é vi waa bar̂ee Lazar, xè-i ké mör̂u xi-e tëë rai pâr̂â pa mé. 
JHN.12.10	Cér̂é bör̂i vi tëvë na pâi pa winô i pâi pa vi nâânévâ, wè cér̂é vi êr̂ê nô né ké yè yö vè mii bar̂ee Lazar, 
JHN.12.11	wè cér̂é pôr̂ô yéyé na pâi xè Juda pa tâ néwèi Ièsu na pûû-é na nô ré.
JHN.12.12	Gaar̂a, wè, cér̂é pôr̂ô yéyé na pâr̂â kâmö pa mi wa kâ vèâi né waa ar̂ii, wè cér̂é tö pwêr̂ê, êr̂ê, na wê vi na Iérusalèm na Ièsu. 
JHN.12.13	Cér̂é bör̂i carher̂e pâr̂â dee kiwê cè ké-r̂é vi na ka vi javirù vèâ cér̂é Ièsu, cér̂é uu mâ êr̂ê: «Hosana, na kau mâmâ na ko ör̂ökau xè Israèl ré wê pwa mi rö néé Ör̂ökau!» 
JHN.12.14	Na wê tö rhûû dèxâ bwir̂iko ka yar̂i na Ièsu, na bör̂i te rö xi-e, na ûr̂û ka yu mâ', êr̂ê:
JHN.12.15	«Koa yè bar̂a na gèi, wè pûr̂ûbwè i Siona;
JHN.12.15	Tö rhûû, wè na wê pwa mi na ör̂ökau xi-i,
JHN.12.15	Wè na wê cuè rö olè bwir̂iko.»
JHN.12.16	Aè cér̂é da tâ néxâi na pâr̂â pâi pa pâgür̂ü xi-e pâr̂â kââ ré rö ka rhavûû, é bör̂i wê cowa pè kau Ièsu, cér̂é bör̂i wê dè tâ néxâi êr̂ê, na wê dè yexèvè pâr̂â kââ ka é yu mâ' yè-è.
JHN.12.17	Aè, cér̂é ye vè avâr̂i bar̂ee na pâr̂â kâmö, ré ua-è, êr̂ê, na aʼyè rua mi Lazar xè kaa vi uyû, mâ pè mör̂u-é rai pâr̂â pa mé. 
JHN.12.18	Cér̂é bör̂i vi javirù cér̂é pâr̂â kâmö pa pôr̂ô yéyé, wè cér̂é wê pwêr̂ê, êr̂ê, na waa nêr̂ê ka ar̂inadö-ré na ce. 
JHN.12.19	Cér̂é bör̂i êr̂ê na pâr̂â farésaiö, êr̂ê: «Gëve tö rhûû, gëve da tâwai cëi rha kââ xè-i, wè tö rhûû, cér̂é rhau rhâmâ rhaadè-è na pâr̂â kâmö wânii rö-a bwêê jë!»
JHN.12.20	Na wii bar̂ee na bör̂i pâi xè Héléni pa vi cér̂é pâi ré pa vi wa bwêê cè ké-r̂é pwaér̂ö. 
JHN.12.21	Cér̂é bör̂i vi na ka cêmèèr̂i Filipo, kâmö xè Bétsaïda rö Galilé, mâ pëër̂ii yè-è: «Ör̂ökau, gèvé bar̂i tö rhûû Ièsu.» 
JHN.12.22	Na bör̂i vi na Filipo mâ êr̂ê yè Adèrè, cur̂u bör̂i vi na cur̂u mâ êr̂ê yè Ièsu. 
JHN.12.23	Na bör̂i êr̂ê yè-r̂é na Ièsu êr̂ê: «Na wê pwa na nédaa né ké yè pè kau o i kâmö. 
JHN.12.24	Avâr̂i, avâr̂i, gö êr̂ê yè-ve, êr̂ê, nè yè da mèr̂i mâ bo na dèxâ pwêê bélé ka tö néjë, nè yè bör̂i bâ rhaaxâ rö, aè nè yè mèr̂i mâ bo, nè yè bör̂i pwa vè pôr̂ô yéyé. 
JHN.12.25	Ö kâmö ré âmu i mör̂u xi-e, wè nè yè mâ yèri, aè ö kâmö ré rhîaa i mör̂u xi-e rö-a bwêê jë, wè nè yè bâ tö xar̂a yè mör̂u ka da tâwai yèri. 
JHN.12.26	Ö kâmö ré yè kâmö yar̂i xi-nya, na e na ki mi ua-nya; aè ö kââ-ré gö yè tö-i, wè nè yè dè tö gövu rö-i. Aè nè yè kâmö yar̂i xi-nya na dèxâ kâmö, nè yè bör̂i pè kau-é na Pevaa.»
JHN.12.27	«Na vi nénââwêr̂ê xina na pwéé-nya. Gö yè mâ êr̂ê jië? Gö yè êr̂ê, Pevaa, cöö-nya xè-i nédaa-a. Aè gö wê pwa cè göi pwa yèr̂i nédaa-a. 
JHN.12.28	Pevaa, pè kau néé-i!» Na bör̂i pwa mi xè nékö na mêr̂ê tëvë, êr̂ê: «Gö wê cowa pè kau-é, aè gö yè dè pè kau-é tëë.» 
JHN.12.29	Cér̂é bör̂i tö pwêr̂ê na pâr̂â kâmö pa tömâ rö-i, cér̂é bör̂i êr̂ê, êr̂ê: «Na wê kô na nör̂ö!» Aè cér̂é êr̂ê na bör̂i, êr̂ê: «Na tëvë yè-è na angéla.» 
JHN.12.30	Na bör̂i êr̂ê na Ièsu, êr̂ê: «Na da tö vèa mi na mêr̂ê tëvë ré vè ki-nya, aè na dè tö vèa mi vè ke-ve. 
JHN.12.31	É yè rhôôr̂u vè târi xina bwêê jë, aè é yè yayâwâ xina kavèè bwêê jë. 
JHN.12.32	Aè gènyâ, wè é yè wê pè xi-nya rua xè-a bwêê jë, gö yè bör̂i yörhèè mi ua-nya pâr̂â kâmö wânii.» 
JHN.12.33	Na êr̂ê ûr̂û-ré, wè na tâ êr̂ê vèa nô né ké yè mé xi-e. 
JHN.12.34	Cér̂é bör̂i êr̂ê yè-è na pâr̂â kâmö: «Gèvé wê tö pwêr̂ê xè-i mââyöö, êr̂ê, nè yè bâ tö yawi na Kérisö, aè jië na ké êr̂ê xi-i, é yè pè rua o i kâmö? Wîr̂î o i kâmö-ré?» 
JHN.12.35	Na bör̂i êr̂ê yè-r̂é na Ièsu, êr̂ê: «Na da mwââ tëë na ké yè tö pwar̂a-ve i daa. Aè vèr̂i na gëve na na mö ké tö pwar̂a-ve na daa, wè, koa vi pwa yèr̂i-ve na orê. Ö kâmö ré vâr̂â xè-i orê, wè, na da tâwai ö kââ-ré na vi nai. 
JHN.12.36	Cëi vèr̂i daa na na mö ké tö pwar̂a-ve na daa, cè ke-ve pâr̂â pâlè daa.»
JHN.12.36	Na wê êr̂ê ûr̂û-ré na Ièsu, na bör̂i vi uyûi rai-r̂é. 
JHN.12.37	Na waa pâr̂â nêr̂ê ka ar̂inadö ka pôr̂ô yéyé rö némèè-r̂é na Ièsu, aè cér̂é da tâ néwèi-e, 
JHN.12.38	cè ki yexèvè ö nô ré na êr̂ê mâ' na Isaia pérövéta, êr̂ê,
JHN.12.38	«Ör̂ökau, wîr̂î ré yè tâ néwèi pâr̂â nô xé-vé?
JHN.12.38	Aè é yè pèri vèa yè-ya nô i Ör̂ökau?»
JHN.12.39	Tö ökâré, cér̂é yè da tâwai tâ néwèi, kèi ké êr̂ê tëë i Isaia, êr̂ê:
JHN.12.40	«Na pè bwi pâr̂â pièmè-r̂é,
JHN.12.40	Mâ pè wâréuu pâr̂â wêê nénââ xé-r̂é,
JHN.12.40	Cè ké-r̂é da rhûû xè-i pâr̂â pièmè-r̂é,
JHN.12.40	Mâ tâ pâgür̂ü xè-i pâr̂â wêê nénââ xé-r̂é,
JHN.12.40	Koa wé-r̂é vipââr̂i,
JHN.12.40	Gö yè bör̂i pè mör̂u-r̂é.»
JHN.12.41	Na êr̂ê ûr̂û-ré na Isaia na na tö rhûû rhîrhér̂é i Ör̂ökau, mâ êr̂ê vèa-è.
JHN.12.42	Aè cér̂é pôr̂ô yéyé na pâr̂â pa némèè pa tâ néwèi-e, rhaaxâr̂ö, wè cér̂é da vi êr̂ê vèa-r̂é xè-i pâi pâ farésaiö, wè wé-r̂é yayâwâ-r̂é xè-i mwâ ka ar̂ii. 
JHN.12.43	Wè cér̂é dè rhî vè e ké yè pè kau-r̂é xè-i ké kâmö ka vi kwéjî xé-r̂é rai ké yè pè kau-r̂é xè-i Bâô.
JHN.12.44	Na bör̂i êr̂ê vè mör̂ö na Ièsu, êr̂ê: «Ö kâmö ré yè tâ néwèi-nya, wè na da tâ néwèi-nya rhar̂i, aè na tâ néwèi bar̂ee ö kâmö ré tùr̂ùwaa-nya. 
JHN.12.45	Aè ö kâmö ré yè tö rhûû-nya, wè, na tö rhûû bar̂ee ö ce ré tùr̂ùwaa-nya. 
JHN.12.46	Gènyâ, wè daa ka wê pwa rö-a bwêê jë cè ki da tö ka orê na dèxâ rai pâi pa tâ néwèi-nya. 
JHN.12.47	Nè yè tö pwêr̂ê nô xi-nya na dèxâ kâmö, na bör̂i da köiwaa, gö yè da pè yerii-e, wè gö da pwa na ka pè yerii bwêê jë, aè gö pwa na ka pè mör̂u bwêê jë. 
JHN.12.48	Ö kâmö ré virai-nya, mâ da cëi pâr̂â nô xi-nya, na dè tö pwar̂a-è na pè yerii-e; wè pâr̂â nô ré gö vi pur̂â yawi, ökâré nô ré yè pè yerii-e rèi nédaa ka taadè. 
JHN.12.49	Wè gö da tö vi êr̂ê târ̂ââ na gènyâ; aè Pevaa ré tùr̂ùwaa-nya, na nââ yè-nya nêr̂ê-nya mâ ké tëvë xi-nya. 
JHN.12.50	Aè gö dè tâwai mââyöö xi-e, wè, mör̂u ka yè da tâwai yèri. Ökâré, pâr̂â nô ré gö êr̂ê vèa, wè gö êr̂ê ûr̂û ké êr̂ê yè-nya i Pevaa.»
JHN.13.1	É da tö waa bwêê né Paséka, aè na wê tâwai na Ièsu, êr̂ê, na wê pwa na nédaa né ké yè wê vi xi-e xè-a bwêê jë na pwar̂a Pevaa xi-e, aè na wê dö méar̂i yawi pâr̂â pâ kâmö xi-e pa tö-a bwêê jë, mâ bâ waa pètâbâ vi méar̂i xi-e yè-r̂é kwéyë rö léé. 
JHN.13.2	Tèi pè mèèxa né ara tèi rhêêrè, wè na wê cowa nââ na méavor̂a rö pwéé Juda Iskariot, o i Simona, ké yè ârui-e, 
JHN.13.3	aè na wê tâwai na Ièsu, êr̂ê, na wê kâyâi röi pâr̂â kââ wânii na Pevaa xi-e yè duö néxar̂a â-ê, wè na mi rai Bâô mâ nè yè vi wa tëë Bâô na ce, 
JHN.13.4	na bör̂i tömâ rua na ce xè kaa ara, mâ cùù mêr̂ê-ê, mâ nââ ria, mâ pè pârê mwââlöö mâ pöi rö xi-e. 
JHN.13.5	Na bör̂i piyöwîî rhëë rö dèxâ mwâ piyöö, mâ rhavûû ké yè gââ pâr̂â néxar̂a â xè ria i pâi pa pâgür̂ü xi-e, mâ câ vè mèr̂i xè-i pârê mwââlöö ré na pöi rö xi-e. 
JHN.13.6	Na bör̂i vi wa Simona Pètèru; na bör̂i êr̂ê yè-è na Pètèru, êr̂ê: «Ör̂ökau, gè yè gââ duö köwi-nya?» 
JHN.13.7	Na bör̂i êr̂ê yè-è na Ièsu, êr̂ê: «Kââ ré gö yè waa, wè, gè da tâwai xina, aè gè yè mâ tâwai vi.» 
JHN.13.8	Na bör̂i êr̂ê yè-è na Pètèru, êr̂ê: «Gè yè da gââ aau duö köwi-nya xè ria!» Na bör̂i êr̂ê yè-è na Ièsu, êr̂ê: «Gö yè da gââ duö köwi-i, nè yè bör̂i yèri ki-i rö pwar̂a-nya.» 
JHN.13.9	Na bör̂i êr̂ê yè-è na Simona Pètèru, êr̂ê: «Ör̂ökau, na da duö köwi-nya xè ria rhar̂i, aè na e bar̂ee na duö néxar̂a â xè rua, mâ gwâ-nya bar̂ee!» 
JHN.13.10	Na bör̂i êr̂ê yè-è na Ièsu, êr̂ê: «Ö kâmö ré é pè piyöö-è, wè na e rö na ké mâ gââ duö köwi-e xè ria, na bör̂i rhau e röi. Gëve wê rhau e, aè na da rhau gëve wânii.» 
JHN.13.11	Wè na wê rhîâgür̂ü na Ièsu dèxâ kâmö rai-r̂é yè ârui-e, ökâré pûû ké êr̂ê ûr̂û-ré xi-e, êr̂ê: «Gëve da rhau e röi.»
JHN.13.12	Na wê cowa gââ röi pâr̂â köwi-r̂é, na bör̂i pè tëë mêr̂ê-ê, mâ cur̂i tëë, mâ êr̂ê yè-r̂é, êr̂ê: «Na wêr̂êi, gëve wê dè rhîâgür̂ü ö kââ-ré gö waa yè-ve? 
JHN.13.13	Gëve bâ aʼyè-nya, êr̂ê, kâmö ka vi pur̂â mâ ör̂ökau, na bör̂i dè e na ké êr̂ê xe-ve, wè na avâr̂i. 
JHN.13.14	Gö yè ör̂ökau mâ kâmö ka vi pur̂â, aè, gö wê cowa gââ pâr̂â köwi-ve xè ria, na e na ke-ve vi gââ vè rhaaxâ bar̂ee pâr̂â köwi-ve xè ria. 
JHN.13.15	Wè gö wê cowa nââ yè-ve dâ, cè ké-ve waa ûr̂û ké waa xi-nya yè-ve. 
JHN.13.16	Avâr̂i, avâr̂i, gö êr̂ê yè-ve, êr̂ê, na da kau na kâmö yar̂i rai ör̂ökau xi-e, aè na da kau bar̂ee na kâmö ré é tùr̂ùwaa-è rai ö kâmö ré tùr̂ùwaa-è. 
JHN.13.17	Gëve yè tâwai pâr̂â kââ ré, na kau mâmâ na ko-ve, na ki gëve waa köiwaa rö pâr̂â kââ-ré. 
JHN.13.18	Gö da êr̂ê-ve wânii; wè gö dè tâwai kâmö ka é yè pâbir̂i xi-nya. Aè cè ki yexèvè ka yu mâ, êr̂ê: “Ö kâmö ré kâi vèâ var̂awa gövu, na wê texai-nya i bwiida xi-e.” 
JHN.13.19	Gö êr̂ê yè-ve nô ré xina, na na da tö pwa na pè yexèvè, pè aʼvè néxâi yè-ve na ki wê yexèvè, cè ke-ve tâ néxâi, êr̂ê wè dè gènyâ rö. 
JHN.13.20	Avâr̂i, avâr̂i, gö êr̂ê yè-ve, êr̂ê, ö kâmö ré cëi kâmö ré gö tùr̂ùwaa-è, wè na cëi-nya bar̂ee, aè ö kâmö ré cëi-nya, wè na cëi ö ce ré tùr̂ùwaa-nya».
JHN.13.21	Na wê cowa êr̂ê ûr̂û-ré na Ièsu, na bör̂i vi nénââwêr̂ê vè kau na ko-é, na bör̂i êr̂ê yè-r̂é vè târi na ce, êr̂ê: «Avâr̂i, avâr̂i, gö êr̂ê yè-ve, êr̂ê, nè yè ârui-nya na dèxâ rai-ve.» 
JHN.13.22	Cér̂é bör̂i cê vi rhîwir̂i-r̂é na pâi pa pâgür̂ü xi-e, mâ vi ërëwaa-r̂é wa ké êr̂ê xi-e yè-r̂é. 
JHN.13.23	Aè dèxâ kâmö rai-r̂é, wè na cuè âxéré mèè ö pèè wââ Ièsu, ö kâmö ré na méar̂i-e na Ièsu. 
JHN.13.24	Na bör̂i vi nimè yè-è na Simona Pètèru cè ki ërëwaa-è wa ö kâmö ré na êr̂ê. 
JHN.13.25	Na bör̂i yabér̂é na ce xè-i pèè wââ Ièsu, mâ êr̂ê yè-è, êr̂ê: «Ör̂ökau, wîr̂î?» 
JHN.13.26	Na bör̂i êr̂ê na Ièsu, êr̂ê: «Ö kâmö ré gö yè nââ yè-è var̂awa na ki gö wê löö röi.» Na bör̂i wê löö rö-i var̂awa, na bör̂i nââ yè Juda, o i Simona Iskariot. 
JHN.13.27	Tèi ökâré, na bör̂i vi ru rö pwéé Juda na méavor̂a tèi nédèè ké wê cëi êê ara xi-e. Na bör̂i êr̂ê yè-è na Ièsu, êr̂ê: «Waa nér̂êi ö kââ-ré gè bar̂i waa!» 
JHN.13.28	Aè na yèri dèxâ kâmö rai-r̂é ka yè tâ pâgür̂ü pûû ké êr̂ê xi-e ûr̂û-ré yè-è; 
JHN.13.29	wè cér̂é tâ néxâi na bör̂i, êr̂ê, na tö pwar̂a Juda na mwâ mwâné, na bör̂i êr̂ê yè-è na Ièsu, êr̂ê, vi urhii kââ ka yè pâr̂i-r̂é rèi nédaa né vi ara, aè nââ bör̂i kââ yè pâi pa rhauadè. 
JHN.13.30	Na wê cowa cëi êê ara na Juda, na bör̂i vi rua vi bèr̂éé. Ëi, na wê bwê.
JHN.13.31	Na wê vi, na bör̂i êr̂ê na Ièsu êr̂ê: «É yè pè kau xina o i kâmö, aè é wê pè kau mâ' Bâô rö xi-e. 
JHN.13.32	Nè yè wê pè kau Bâô rö xi-e na ce, nè yè bör̂i xa pè kau-é na Bâô mâ pè kau-é nér̂êi 
JHN.13.33	Névâi yar̂i, na wê ubwa rhùr̂ùù na nédaa xi-nya rö pwar̂a-ve. Aè gëve yè vi mèyè-nya; aè ö ké êr̂ê xi-nya yè pâi xè Juda, gö yè bör̂i dè êr̂ê yè-ve bar̂ee, êr̂ê, gëve da tâwai yè pwa rö ökâré gö yè vi nai. 
JHN.13.34	Gö nââ yè-ve mââyöö ka mö döwöö, êr̂ê, gëve yè vi méar̂i-ve; ûr̂û ké méar̂i-ve xi-nya, aè gëve dè vi méar̂i-ve bar̂ee. 
JHN.13.35	Ökâré pètâbâ yè pâr̂â kâmö wânii, êr̂ê, gëve pâi pa pwêr̂êwaa-nya na ke-ve vi méar̂i-ve.»
JHN.13.36	Na bör̂i êr̂ê yè-è na Simona Pètèru, êr̂ê: «Ör̂ökau, gè yè vi na-wê?» Na bör̂i êr̂ê yè-è na Ièsu, êr̂ê: «Gè da tâwai ki yè vi ua-nya xina na ökâré gö yè vi nai, aè gè yè mâ dè ua-nya.» 
JHN.13.37	Na bör̂i êr̂ê yè-è na Pètèru, êr̂ê: «Ör̂ökau, gö da tâwai xi-yé ré gö yè da vi ua-i xina? Gö yè nââ mör̂u xi-nya vè ki-i.» 
JHN.13.38	Na bör̂i aʼcëi yè-è na Ièsu, êr̂ê: «Gè yè kâyâi mör̂u xi-i vè-ki-nya? Avâr̂i, avâr̂i, gö êr̂ê yè-i, êr̂ê, nè yè da tö ya na méyë, na gè yè karir̂i vi yiâ i-nya.»
JHN.14.1	«Koa yè wâré mâ wâré na wêê nénââ xe-ve. Gëve yè tâ néwèi Bâô, gëve bör̂i tâ néwèi-nya bar̂ee. 
JHN.14.2	Na pôr̂ô yéyé na pâr̂â wêê mwâ rö pwar̂a Pevaa; aè nè yè yèri, gö yè bör̂i wê êr̂ê yè-ve. Gö yè vi na ka nyââmöi vè ke-ve. 
JHN.14.3	Aè gö yè wê vi na ka nyââmöi cè ki kaa töö xe-ve, gö yè bör̂i dè mi tëë na ka paur̂u-ve na ö kââ-ré gö yè tö-i cè ke-ve tö-i bar̂ee. 
JHN.14.4	Aè ö kââ-ré gö yè vi nai, wè gëve wê dè tâwai wêyê nai.» 
JHN.14.5	Na bör̂i ërëwaa-è na Tomas, êr̂ê: «Ör̂ökau, gèvé da tâwai ö kââ-ré gè yè vi nai, aè é yè tâwai tâîî wêyê?» 
JHN.14.6	Na bör̂i aʼcëi yè-è na Ièsu, êr̂ê: «Gènyâ wêyê, mâ avâr̂i, mâ mör̂u. Na yèri kâmö ka yè pwa yèr̂i Pevaa, na ki da pwa yèr̂i-nya baayê. 
JHN.14.7	Gëve yè rhîâgür̂ü-nya, gëve yè bör̂i rhîâgür̂ü bar̂ee Pevaa xi-nya, aè gëve rhavûû xina ké wê rhîâgür̂ü-é mâ tö rhûû-é.»
JHN.14.8	Na bör̂i êr̂ê yè-è na Filipo, êr̂ê: «Pèri yè-vé Pevaa, cè ke-ve wê iwa.» 
JHN.14.9	Na bör̂i êr̂ê yè-è na Ièsu, êr̂ê: «Gö wê dö tö vè mwââ rö pwar̂a-ve, aè gè da bâ tö rhîâgür̂ü-nya, wè Filipo? Ö kâmö ré yè tö rhûû-nya, na tö rhûû Pevaa bar̂ee; aè na wêr̂êi gè êr̂ê: “Pèri yè-vé Pevaa?” 
JHN.14.10	Na wêr̂êi, gè da tâ néwèi, êr̂ê, gö tö pwéé Pevaa, aè na tö pwéé-nya na Pevaa? Gö da tö vi êr̂ê târ̂ââ pâr̂â nô ré gö êr̂ê yè-ve, aè, na waa na Pevaa rö pwéé-nya pâr̂â nêr̂ê ré gö yè waa. 
JHN.14.11	Tâ néwèi-nya, êr̂ê, gö tö pwéé Pevaa, aè na tö pwéé-nya na Pevaa. Gëve yè da cëi nô ré, na e na gëve tâ néwèi xè-i pâr̂â nêr̂ê ré é. 
JHN.14.12	Avâr̂i, avâr̂i, gö êr̂ê yè-ve, êr̂ê, ö kâmö ré yè tâ néwèi-nya, nè yè bör̂i waa pâr̂â nêr̂ê ré gö waa, aè nè yè waa bar̂ee pâr̂â nêr̂ê ka vi kwéjî rai pâr̂â nêr̂ê ré é, wè gö yè vi wa Pevaa; 
JHN.14.13	bör̂i pâr̂â kââ wânii ré gëve yè pëër̂ii rö néé-nya, gö yè mâ waa cè ki mâ pè kau Pevaa rö O xi-e. 
JHN.14.14	Gëve yè bör̂i pëër̂ii dèxâ kââ rö néé-nya, gö yè bör̂i waa.»
JHN.14.15	«Gëve yè méar̂i-nya, gëve bör̂i köiwaa pâr̂â mââyöö xi-nya. 
JHN.14.16	Aè gö yè pëër̂ii yè Pevaa cè ki nââ yè-ve dèxâ pè nââbéé â-ve, cè ki tö vèa gëve rèi pâr̂â nédaa kwéyë rua waavi, 
JHN.14.17	wè ko né avâr̂i, ka é da tâwai cëi i bwêê jë, wè cér̂é da rhîâgür̂ü-é mâ tâ pâgür̂ü-é. Aè gëve, wè gëve dè rhîâgür̂ü-é, wè na dè tö gëve, mâ nè yè dè tö pwéé-ve bar̂ee. 
JHN.14.18	Gö yè da kâyâi-ve vi bwir̂i ûr̂û pâr̂â kâmö pa yèri ka ër̂i-r̂é, aè gö yè mâ vi pwa yèr̂i-ve. 
JHN.14.19	Na da mwââ na nédaa, nè yè bör̂i da tö rhûû-nya tëë na bwêê jë; aè gëve yè tö rhûû-nya na gëve, wè gö mör̂u, tö ökâré gëve yè mör̂u bar̂ee na gëve. 
JHN.14.20	Gëve yè tâwai rèi nédaa-ré, êr̂ê, gö tö pwéé Pevaa, aè gëve tö pwéé-nya na gëve, mâ gö tö pwéé-ve na gènyâ.»
JHN.14.21	«Ö kâmö ré wii na pâr̂â mââyöö xi-nya rö pwar̂a-è mâ köiwaa, ce rö ré méar̂i-nya; aè ö kâmö ré méar̂i-nya, wè nè yè méar̂i-e na Pevaa, aè gö yè méar̂i-e mâ pèri vèa-nya yè-è.»
JHN.14.22	Na bör̂i êr̂ê yè-è na Juda, na da Iskariot, aè dèxâ, êr̂ê: «Ör̂ökau, na wêr̂êi gè yè pèri vèa-i yè-vé, aè gè yè da pèri vèa-i yè bwêê jë bar̂ee?» 
JHN.14.23	Na bör̂i êr̂ê yè-è na Ièsu, êr̂ê: «Ö kâmö ré méar̂i-nya, wè nè yè köiwaa pâr̂â nô xi-nya, nè yè bör̂i méar̂i-e na Pevaa; aè gövu yè vi cêmèèr̂i-e mâ waa kaa töö xi-vu tö pwar̂a-è. 
JHN.14.24	Ö kâmö ré da méar̂i-nya, wè na da köiwaa pâr̂â nô xi-nya. Aè pâr̂â nô ré gëve pwêr̂ê, wè na da pâr̂â nô xi-nya, aè pâr̂â nô i Pevaa ré tùr̂ùwaa-nya. 
JHN.14.25	Gö wê cowa êr̂ê mâ' yè-ve pâr̂â nô ré na gö mö tö pwar̂a-ve. 
JHN.14.26	Aè ö pè nââbéé â-ve, wè Ko-Ar̂ii ré nè yè tùr̂ùwaa mi na Pevaa rö néé-nya, nè yè mâ aʼpâgür̂ü yè-ve pâr̂â nô wânii, mâ aʼvè néxâi yè-ve pâr̂â nô wânii ré gö wê êr̂ê yè-ve.»
JHN.14.27	«Gö nââ aʼvui xi-nya rö pwar̂a-ve, dè aʼvui xi-nya ré gö yè dè nââ yè-ve, gö da nââ yè-ve cè ki ûr̂û ké nââ êê vië né bwêê jë. Koa yè vi rhèè na wêê nénââ xe-ve mâ koa yè bar̂a. 
JHN.14.28	Gëve wê pwêr̂ê röi ké êr̂ê xi-nya yè-ve, êr̂ê, gö yè wê vi mâ mi tëë wa-ve. Gëve yè méar̂i-nya, gëve yè bör̂i vi or̂o, êr̂ê, gö yè vi wa Pevaa, wè, na kau aau rai-nya na Pevaa. 
JHN.14.29	Aè xina, wè, gö êr̂ê yè-ve na na da tö yexèvè, cè gëve vi tâ néwèi na ki wê yexèvè. 
JHN.14.30	Gö yè da tëvë vè pôr̂ô tëë yè-ve, wè, nè yè wê pwa mi na kavèè bwêê jë, 
JHN.14.31	aè na da wii na ki-e kââ rö pwar̂a-nya, aè na e cè ki tâwai na bwêê jë, êr̂ê, gö tâ néwèi Pevaa, mâ waa ûr̂û ké yakoa i Pevaa xi-nya. Tömâ rua cè gèré wê vi xè-a.»
JHN.15.1	«Gènyâ dö pûû viné, aè Pevaa xi-nya, kâmö ré waa e né viné. 
JHN.15.2	Na rharher̂e xè-i xi-nya pâr̂â kööè ka da pwa; aè pâr̂â kööè ré pwa, wè na nyââmöi e cè ki wê pwa vè kau vi. 
JHN.15.3	Gëve wê döwöö xina xè-i pâr̂â nô ré gö êr̂ê yè-ve. 
JHN.15.4	Cuè tâdâ na gëve rö pwar̂a-nya, aè gö yè cuè rö pwar̂a-ve. Na ûr̂û kööè ré da tâwai pwa vè târ̂ââ na ki da tö pûû viné, nè yè ûr̂û-ré na gëve na ki gëve da cuè tâdâ rö pwar̂a-nya. 
JHN.15.5	Gènyâ dö pûû viné, aè gëve pâr̂â kööè. Ö kâmö ré cuè rö pwar̂a-nya, mâ gö cuè rö pwar̂a-è, nè yè bör̂i pwa vè kau aau, aè gëve yè da tâwai waa rha kââ na ki gëve tö vè mwâi rai-nya. 
JHN.15.6	Nè yè da tö xi-nya na dèxâ kâmö, é yè bör̂i virai-e, na ûr̂û kööè ré wê mür̂ü; nè bör̂i ka vèâi na kâmö mâ yer̂e ö kêmör̂u. 
JHN.15.7	Gëve yè cuè rö xi-nya, nè yè bör̂i tö xe-ve na pâr̂â nô xi-nya, aè gëve yè pëër̂ii rha kââ ré gëve rhî vè e, é yè bör̂i nââ yè-ve. 
JHN.15.8	Ökâré pè pè kau Pevaa, na ki pwa vè kau na pwêê-ve, mâ pugèwè-ve cè gëve pâi pa pwêr̂êwaa xi-nya. 
JHN.15.9	Ûr̂û ké méar̂i-nya i Pevaa, na ûr̂û-ré na ké méar̂i-ve xi-nya. Cuè vè mör̂ö na gëve rö vi méar̂i xi-nya. 
JHN.15.10	Gëve yè pwêr̂êwaa pâr̂â mââyöö xi-nya, gëve yè cuè vè mör̂ö rö-i vi méar̂i xi-nya; na ûr̂û-nya, wè gö pwêr̂êwaa pâr̂â mââyöö i Pevaa xi-nya, gö bör̂i tömâ vè mör̂ö rö-i vi méar̂i xi-e.»
JHN.15.11	«Gö wê cowa êr̂ê yè-ve pâr̂â nô ré cè ki wê tö pwar̂a-ve na vi or̂o xi-nya, mâ cè ki wê pâr̂i-ve na vi or̂o xe-ve. 
JHN.15.12	Ökâré mââyöö xi-nya, êr̂ê, gëve vi méar̂i-ve ûr̂û ké méar̂i-ve xi-nya. 
