MAT.1.1	Ame na rɔ möyï ꞌbu löbu ꞌba Yësu Kurïsïtö kupö Dawidi kupö Abarayama.
ROM.10.5	Kina tönë ꞌdɔ Musa kiya bine gɔ lende ꞌba tëdï rɔ ma laka kɔmɔ Bɔkoꞌba gɔ toro köꞌdu kiꞌdi ne. Ame bo kiya te, “Bɔ ame koꞌdɔ köꞌdu kiꞌdi naga nime ne ti kïdïdï ŋgï yaga.” 
ROM.10.6	Tine ma kugu mï buku ꞌba Bɔkoꞌba gɔ tëdï rɔ ma laka kɔmɔ bo gɔ tiꞌdi dɔ gɔ lende abo mo na me te, “Nï, kinza kebe kiya dë ti mïyï te, ‘Yë na ti kari kömö ŋbö mïtɔrɔ toꞌde Kurïsïtö mo kako bërï bine? 
ROM.10.7	Yë na ti kɔdɔ ŋbö kari mï maliti toja Kurïsïtö mo kɔdɔ yaga di mï tölë?’” 
ROM.10.8	Kina ugu ꞌdeni gbï iya te, “Nï mɔtɔ lende ꞌba Bɔkoꞌba ꞌdeni ŋɔli te dɔ ŋgila yï, dɔ dɔndeꞌde yï, kina gbï ꞌdeni mï dökïꞌdï yï.” Omba gogo ꞌjɔ ꞌba tiꞌdi dɔ gɔ lende ꞌba Kurïsïtö mo tönë na ma duwöwö ꞌdeni ziye ne. 
ROM.10.9	Kina me ɔdɔ nï na ŋgï kiya te ti kpëyï Kurïsïtö na rɔ ŋere, kiꞌdi döyï ŋgï gɔmo Bɔkoꞌba oja bo ꞌdeni yaga di mï tölë, ti kɔmɔ yi ŋgï.
ROM.10.10	Römöyï ɔdɔ ze diꞌdike dɔze ŋgï gɔmo ti dökïꞌdï kɔtɔ na ti kiꞌdi ze ŋgï rɔ ma laka kɔmɔ Bɔkoꞌba. Kina ɔdɔ diyake ŋgï yaga ti kpeze kina ti kɔmɔ ze ŋgï. 
ROM.10.11	Mï buku ꞌba Bɔkoꞌba iya ꞌdeni te, “Lïjë ame ga pili kiꞌdi dönnï ꞌdeni gɔ lende abo ne köꞌdu mo inza kaya kpe rönnï.” 
ROM.10.12	Tine iya rönï ꞌdeni zi bilaka pili. Römöyï leꞌjete geli inza kpe mï löŋgö Yudayi ni ma ti bɔ löwö. Bɔkoꞌba na rɔ ŋere ꞌba bilaka nime pili. Yëyï löbu abo nime ꞌdeni pili rɔ ma koriya dɔ ame ga këdï kïdëkï bo ne. 
ROM.10.13	Kina tönë gbï kugu mï buku ꞌba Bɔkoꞌba kiya te, “Lïjë ame ga pili kïdëkï bo ŋere Bɔkoꞌba tokɔnyi lïjë ne, bo ti kɔmɔ ŋgï.”
ROM.10.14	Tine ti lïjë kïdëkï bo totondo ɔdɔ lïjë kiꞌdi dönnï dë gɔ lende abo? Kina ti lïjë kiꞌdi dönnï gɔmo tondo ga ɔdɔ lïjë kuwö lende abo dë? Kina ti lïjë kuwö tondo mo ga ɔdɔ kuwöwö dë zïnnï? 
ROM.10.15	Kina ti kuwöwö rönï tondo ga ɔdɔ koja bɔ laja dë? Kina tönë buku ꞌba Bɔkoꞌba kiya bine te, “Tako ꞌba bɔ koꞌde laja laka naga nime ele te gɔ waꞌdi?”
ROM.10.16	Tine pele tara bilaka mo ga pili na dë ꞌböwu kutï gɔ lende mo. Römöyï Yesaya mo na tönë kiya te, “Ŋere, yë na kiꞌdi dönï ra gɔ lende ze?” 
ROM.10.17	Kina me tiꞌdi dɔ gɔmo ako di mï tuwö lende mo. Tine tuwö mo ako di mï laja ꞌba Bɔkoꞌba mo tönë kuwöwö ne.
ROM.10.18	Ne iꞌdike mititi te, “Lïjë Yudayi mo ga na kuwö ma ꞌbënnï dë?” Rɔ ma laka lïjë uwö römöyï kɔzɔ ma tönë kugu mï buku ꞌba Bɔkoꞌba bine kiya te, “Dönnï lïjë bɔ laja ma ga udu ŋgï kogba mï dɔliŋɔ. Lende ꞌbënnï ote mï dɔyayi nime ŋgï pili.” 
ROM.10.19	Kina iꞌdike mititi gbï te, “Tara ne lïjë Yisarele ikali ꞌjɔ ꞌba lende nime dë?” Musa na dɔgba kileme ma lïjë kikali ꞌdeni. Ame bo kiya tönë te Bɔkoꞌba iya te, “Ti miꞌdi mïye ŋgï kombi rɔ bilaka ame ga kinza du rɔ ɔtɔ ne. Kina ti miꞌdi lïjë bɔ rumö naga nima koma kpeye gɔ koꞌdɔke ꞌdïrï.”
ROM.10.20	Kina Yesaya na kilaŋa rɔ bo ꞌdeni tönë kiya te, “Bɔkoꞌba iya te, ‘Bilaka ame ga pele koma ma dë ne na za ꞌböwu koꞌja ma. Bilaka ame ga kïdëkï ma dë ne na za mileme rɔma ꞌdeni teyi.’” 
ROM.10.21	Ma gɔ lende ꞌba Yisarele na bo kiya tönë te, “Mɔrɔ ꞌdeni ŋgï kada kösö dɔma rɔ yawa tïdëkï lïjë wa kinza kuwö dɔma bɔ lende kusë naga nime.”
ROM.11.1	Kina iꞌdike mititi te, “Bo Bɔkoꞌba ebe kilagi ꞌdeni ꞌböwu yaga di rɔ bilaka abo mo tönë ga?” Inza du te tara. Ma gbagba ma mo nime rɔ Yisarele di mï kupö Abarayama, kpa gɔli ꞌba Benyimona. 
ROM.11.2	Bɔkoꞌba ilagi dë du te yaga di rɔ bilaka abo ga ame bo koza ꞌdeni mɔlo di bi tisaki mo ne. Ikalike ma tönë kugu mï buku ꞌba Bɔkoꞌba ne dë? Ame Eliya koloma rɔ tomaꞌjo rɔ bo zi Bɔkoꞌba rɔ wali rönnï Yisarele kiya te, 
ROM.11.3	“Ŋere, bilaka naga nime lïjë ote dɔ bɔ kumë lende ꞌbï ga ꞌdeni ꞌdoyi yaga. Bi ꞌba toŋma akumu ꞌbï ga lïjë icaca dɔmo ꞌdeni ŋgï ꞌdoyi yaga. Ma na ŋge me kola ma ꞌdeni kɔtɔ kpökï. Kina me lïjë këdï ꞌdeni rɔ toma gɔma ꞌdɔ tupö ma gbï yaga.” 
ROM.11.4	Tine Bɔkoꞌba ileki dɔmo ꞌdeni tönë zi Eliya te, “Di mï löŋgö lïjë nime mogba ma ꞌbama ga ꞌdeni zö di yïmo kuluku ꞌbutë bi ꞌbutë dɔmosowɔ (7,000) ame ga kinza kulömu kpënnï dë zi akoro Bala ne.”
ROM.11.5	Kina ꞌdeni gbï tara mï kada nime tɔne, kɔsɔ Yisarele ma ndö te mo ga ëdï ame Bɔkoꞌba koweli ꞌdeni yaga gɔ mï këyï abo. 
ROM.11.6	Ne kina me ɔdɔ toweli mo këdï ꞌdeni ŋge gɔ mï këyï, inza kpe nati gɔ ndɔbɔ koꞌdɔ. Römöyï ɔdɔ kinza tara mï këyï abo inza kpe nati gɔ bi mo rɔ mï këyï.
ROM.11.7	Tine gɔ diya ꞌböwu tondo ga gɔmo nati? Wa mo tönë lïjë Yisarele koloma rɔ toma mo ne lïjë ebe koꞌja dë ꞌböwu, tine ma Bɔkoꞌba koweli di mï löŋgö lïjë mo naga na ŋge koꞌja. Tine ma ꞌbënnï lïjë ma laki mo naga nime minyi ꞌbënnï ꞌdeni ŋgï kɔzɔ ma tönë kugu mï buku ꞌba Bɔkoꞌba kiya te, 
ROM.11.8	“Bilaka naga nime, dɔ ti dökïꞌdï ma kinza koꞌdɔ ndɔbɔ na Bɔkoꞌba kiꞌdi ꞌdeni ŋgï zïnnï, kina me ꞌdeni ŋbö kömö mï kada nime tɔne kömönnï oꞌja gɔ bi dë, mbili nnï uwö lende dë gbï.” 
ROM.11.9	Kina me gbï tönë ꞌdɔ Dawidi kiya te, “Ee, Bɔkoꞌba kodɔ karama tɔ kpe dönnï. Ŋbele ꞌbënnï nima kuyï rönnï tɔ kpe yaga zïnnï rɔ ŋgɔwo koꞌba lïjë. 
ROM.11.10	Kïyölu kömönnï nima tɔ kpe yaga kinza lïjë koꞌja gɔ bi ra. Odi gönnï nima tɔ ŋburu lïjë köꞌbö tombi gomɔ ꞌbënnï ga nduwë rɔ kɔmɔ lëndö.”
ROM.11.11	Kina iꞌdike mititi gbï te, “Me tönë lïjë Yudayi kɔcɔ yaga ne na kɔrɔ ŋgï rɔ laꞌba ma ŋburu zïnnï?” Inza du te tara. Lende kirasi ꞌbënnï na me koꞌde kɔnyi ŋgï zi ma rɔ bɔ löwö ni. Römöyï ꞌdɔ kiꞌdi lïjë Yudayi kutï gbï toꞌja mo kɔzɔ ꞌba bɔ löwö. 
ROM.11.12	Ne kina me ɔdɔ lende kënyë ꞌbënnï ꞌba Yudayi mo tönë na këdï koꞌde yëyï ma dɔ kiteli ꞌdeni mï dɔyayi, tɔcɔ yaga ꞌbënnï na këdï koꞌde yëyï ma dɔ kiteli ꞌdeni zi bɔ löwö tara tine, todɔꞌbɔ lïjë Yudayi rɔ gɔmo mo, yëyï mo ti këdï ŋgï kulöwö tondo ga na te?
ROM.11.13	Mëdï miya ame ꞌdeni ziye kpe ma rɔ bɔ löwö ni. Kina kɔzɔ ame ma na ꞌdeni rɔ bɔ laja ziye ne tara, ti moyo rɔma ti gɔ laja koja ma 
ROM.11.14	gɔ kiꞌdi Yudayi ma ꞌbeze mo tönë ga kebe kutï ti gɔmo, gɔ kɔmɔ mɔtɔ ga ꞌjaa yayi. 
ROM.11.15	Me ɔdɔ bo Bɔkoꞌba kilagi di rönnï na bo koꞌdɔ pɔri ŋgï ti bilaka lesi pili, ɔdɔ bo kutï ꞌdeni dönnï lïjë Yudayi kada mɔtɔ yayi ti këdï ŋgï tondo? Omba kina ti këdï ŋgï rɔ yëyï ma löbu kɔzɔ tïdïdï töku.
ROM.11.16	Kina kɔzɔ ame ɔdɔ dɔndende ꞌba wa na kulömu ꞌdeni zi Bɔkoꞌba, omba kɔsɔ mo nima ꞌdeni pili rɔ abo. Kina ɔdɔ kulömu ŋgiraꞌda lïjë Yudayi mo na ꞌdeni zi bo, omba dɔŋgila mo ga ꞌdeni pili rɔ abo. 
ROM.11.17	Ŋgërï ma bo Bɔkoꞌba kïdïyë mo tönë na me koke dɔndende ma kunzï mo ga ꞌdeni yaga konzo ꞌba ŋgërï ꞌba mökö teyi. Kpe bɔ löwö ni na ꞌdeni rɔ dɔŋgila ma konzo mo naga ꞌdɔ këddïke ti tigɔ dɔ kiteli ꞌba ŋgiraꞌda nime. 
ROM.11.18	Tine kpe kinza kebe kudölïke lïjë dɔŋgila ma koke ꞌdeni yaga mo naga nima dë. Kpe gɔ kebe kudölïke lïjë rɔ ma totondo? Yë na këdï kogbɔ ye kpe dɔŋgila, ŋgiraꞌda na dë këdï kogbɔ ye?
ROM.11.19	Tine ma ꞌdɔ kiyake na te, “Oke dɔŋgila mo ꞌdeni yaga ꞌdɔ konzo ma dɔmo.” 
ROM.11.20	Omba kina ŋgï te rɔ ma laka, tine oke lïjë ꞌdeni yaga gɔ lende kinza tiꞌdi dɔ gɔmo ꞌbënnï. Ne ma ꞌbeye Bɔkoꞌba onzo ye ꞌdeni dɔmo gɔ tiꞌdi dɔye gɔ lende abo. Kina kinza kolomake dë ti dɔ kombi, olomake ti tikere. 
ROM.11.21	Me ɔdɔ lïjë Yudayi ame mo ga rɔ dɔŋgila ma kötu timo mo ga na kɔꞌɔ rɔmo dë tara, ma komerike ꞌbeye iyake te kpe na ti bo kɔꞌɔ rɔye tëgë?
ROM.11.22	Bine doꞌjake ꞌdeni ma mï këyï ti mï kata abo ꞌba Bɔkoꞌba na tondo. Mï kata abo ŋgï kulöwö rɔ ame ga koꞌdɔ lende kënyë ne. Tine kpe mï këyï abo ŋge ziye ɔdɔ köꞌböke mï kɔri mo. Ɔdɔ köꞌböke dë tara bo ti koke ye gbï yaga. 
ROM.11.23	Kina ɔdɔ lïjë Yudayi mo naga nima könyö dë ŋgï nduwë gɔ lende ꞌba kinza tiꞌdi dönnï gɔ lende abo nime, bo ti konzo lïjë ŋgï kileki teyi. Römöyï bo Bɔkoꞌba na ti tigɔ mo ꞌdɔ tonzo lïjë kileki ꞌböwu teyi. 
ROM.11.24	Me ɔdɔ kpe ma kötuke mökö naga na bo kebe koke ꞌdeni konzo dɔ ŋgiraꞌda ma kïdïyë nima kinza rɔ ma kötu tiye mo ne, tonzo lïjë dɔŋgila ma kötu timo naga nima kileki gɔ bi mo na ti konya dɔ bo?
ROM.11.25	Kpe löndö ma ga, moꞌdɔkɔ ziye kinza kolomake dë ŋgï kulöwö ti meri mo te, ikalike wa ꞌdeni rɔ dɔ kiteli. Tine ꞌjɔ ꞌba wa ma rɔ ma kusu naga ti mileme ꞌdeni ziye. Minyi nime inza köꞌbö ŋburu tara. Indaꞌba dɔ kapa Yisarele ma konzi ꞌdeni ŋge timo ŋbö lïjë bɔ löwö ma bo koweli ꞌdeni naga kako pili zi bo Bɔkoꞌba. 
ROM.11.26	Kina ꞌdɔ kɔmɔ lïjë Yisarele pili ŋgï ti yaga kɔzɔ ma tönë kiya te, “Bɔ këdï kako tɔmɔ wa di mï tölë ti kɔdɔ ꞌdeni di mï Yerosalema. Bo na ti kona lende kënyë ꞌdeni ꞌdoyi yaga di mï kupö Yakoba. 
ROM.11.27	Ma Bɔkoꞌba, ti moꞌdɔ lömu ma nime tïnnï ɔdɔ mombi lende kënyë ꞌbënnï ꞌdeni yaga.”
ROM.11.28	Kina me Bɔkoꞌba ꞌdeni rɔ ya ti lïjë Yudayi gɔ kokɔnyi ye kpe bɔ löwö römöyï lïjë ma ꞌbënnï iꞌdi dönnï dë gɔ laja laka abo. Tine ꞌbu nnï löbu ga na rɔ ma bo koweli mo kina me akɔꞌɔ abo gba gönnï. 
ROM.11.29	Römöyï ɔdɔ bo Bɔkoꞌba koweli abo ꞌdeni toꞌdɔ yëyï dɔmo bo uyï yïmo dë. 
ROM.11.30	Tine kpe ma ꞌbeye bɔ löwö, tönë pa bine uwöke dɔ bo dë. Kina me ma leꞌjete kpe na koꞌjake mï këyï abo ꞌba Bɔkoꞌba ꞌdeni römöyï lïjë Yudayi mo ga ebe kuwö dɔ bo dë kpe. 
ROM.11.31	Ma leꞌjete lïjë ebe kuwö dɔ bo dë kpe römöyï gɔ lïjë koꞌja mï këyï kɔtɔ nima koꞌjake ne gbï nati. 
ROM.11.32	Römöyï Bɔkoꞌba na me kodɔ kpa bilaka ꞌdeni pili me kuwö dɔ bo dë ꞌdɔ bo na koꞌdɔ mï këyï abo ꞌjaa zïnnï pili.
ROM.11.33	Oŋgɔke ti yayi. Yëyï ti akikali abo ꞌba Bɔkoꞌba na ŋgï rɔ dɔ kiteli. Bɔtɔ mɔtɔ ɔꞌbɔ dë tïyëtï gɔ burë koꞌdɔ abo ala kɔꞌbɔ tiyari gɔ ndɔbɔ koꞌdɔ abo. 
ROM.11.34	Kina kɔzɔ ma tönë kugu mï buku ꞌba Bɔkoꞌba ne tara, ame kiya te, “Yë na ti kɔꞌbɔ tikali meri ꞌba dɔ Bɔkoꞌba? Yë na ti kɔꞌbɔ tiꞌdi lende zi bo? 
ROM.11.35	Yë na kiꞌdi wa ra zi bo kiteri ꞌböwu ꞌdɔ bo kopi bi mo teyi?” 
ROM.11.36	Wa pili bo na me koꞌba. Wa pili naga nime bo na me kiꞌdi ꞌdɔ këdï kina ꞌdɔ këdï zi bo. Rɔ löbu këdï ti zi bo Bɔkoꞌba rɔ ŋburuŋburu. Amini.
ROM.12.1	Kina me ꞌdeni ti ziye kpe löndö ma ga, momaꞌjo rɔma ziye gɔ mï këyï ꞌba Bɔkoꞌba nime zize ne. Iꞌdike rɔye këdï kɔtɔ laka rɔ kpa közï zi Bɔkoꞌba ꞌdɔ loma ꞌbe kïyëyï dökïꞌdï bo. Ame kina rɔ mötu ma laka ziye toꞌdɔ mo zi bo. 
ROM.12.2	Kinza kiꞌdike rɔye dë ŋgï këdï yaga kɔzɔ wa ꞌba dɔliŋɔ nime. Iꞌdike Bɔkoꞌba kuyï ye yaga mï meri laꞌja. Römöyï ꞌdɔ kikalike akoꞌdɔkɔ ꞌba Bɔkoꞌba gɔ lende koꞌdɔ ꞌbe pili kïyëyï dökïꞌdï bo.
ROM.12.3	Miꞌdi ame ꞌdeni ziye pili te ti mï këyï nime bo kiꞌdi ꞌdeni zö ne. Nï mɔtɔ kinza komeri röyï dë kiya te nï na ꞌdeni ŋgï kulöwö laka rɔ dɔ kiteli. Tine ma laka mo oloma le këyï mï meri ꞌbï. Laka ꞌbï ꞌba bɔ mɔtɔ na rɔ tiꞌdi döyï gɔ lende ꞌba Yësu Kurïsïtö kɔzɔ ame Bɔkoꞌba kiꞌdi ꞌdeni zïyï ne. 
ROM.12.4	Römöyï kɔzɔ ame mï yida rɔ kɔtɔ kapa ꞌba yida rɔ ŋgï ŋbaŋi ti ndɔbɔ mo ga pili rɔ ꞌberiꞌberi ne, 
ROM.12.5	kina gbï tara ze pele rɔ ma konzi nime mï rɔ kodɔꞌbɔ ti Kurïsïtö ze pili rɔ yida rɔ kɔtɔ. Kina rɔ gɔze nime pili rɔ kɔtɔkɔtɔ, ze kapa ꞌba yida rɔ kɔtɔ ze nime na.
ROM.12.6	Kina Bɔkoꞌba iꞌdi kpa közï ꞌdeni zize pili rɔ ꞌberiꞌberi gɔ mï këyï abo. Kina doꞌdɔke ndɔbɔ mo ti. Mɔtɔ oꞌdɔ ti ma ꞌbëyï ma kiꞌdi ꞌdeni zïyï mo. Ɔdɔ kpa közï ꞌbëyï ꞌba bɔ mɔtɔ këdï rɔ tumë lende, oꞌdɔ ti gɔ ma bo kiꞌdi ꞌdeni zïyï kiꞌdi döyï gɔmo mo nima. 
ROM.12.7	Ɔdɔ ma ꞌbëyï këdï rɔ ndɔbɔ mï kanisa mo, oꞌdɔ ti. Ne ɔdɔ këdï rɔ akiyandi, iyandi ti. 
ROM.12.8	Ala ɔdɔ këdï rɔ tocɔ mï këddï, ocɔ ti. Nï ame këdï kiꞌdi ma ꞌbëyï rɔ akiꞌdi zi bɔ lisa ni ne iꞌdi ti, ti mï kɔtɔ. Ala ɔdɔ ma ꞌbëyï këdï rɔ közï kakpa mo ogbɔ röyï laka teyi. Ne ɔdɔ ma ꞌbëyï këdï rɔ toꞌdɔ mï koŋmi oꞌdɔ ti, ti lɔŋɔ mo.
ROM.12.9	Iꞌdike akɔꞌɔ ꞌbe këdï ti, ti dökïꞌdï kɔtɔ. Oꞌjike lende kënyë. Lende laka na kindaꞌbake kitigɔ. 
ROM.12.10	Ɔꞌɔke rɔye rɔ gɔ rɔye kɔzɔ löndö kɔtɔ mï Kurïsïtö. Kpe, öꞌböke ti ŋburu kitigɔ mï toro rɔye rɔ gɔ rɔye.
ROM.12.11	Indaꞌbake ndɔbɔ kitigɔ kinza nï mɔtɔ koꞌdɔ tïkëpï dë. Tine ogbɔke rɔye laka toja laja zi ŋere Kurïsïtö. 
ROM.12.12	Kina iliyake ti mï kɔmɔ kiꞌdi ꞌbe gɔ yëyï abo ꞌba Bɔkoꞌba. Mï gomɔ ꞌbe ga pili olomake ti mï këddï ŋburu ti mötu koꞌdɔ. 
ROM.12.13	Okɔnyike löndö ame ga rɔ leri ne ti wa ma këddïke timo. Iꞌdike liŋɔ ꞌbe ga kpamo këdï ŋburu yaga rɔ gböŋö zi bɔ löwö.
ROM.12.14	Ya ame ga koꞌdɔ közï kasi ziye ne ititike Bɔkoꞌba koꞌdɔ yëyï dɔmo. Yëyï na kititike bo gɔmo bo koꞌdɔ dönnï kinza kititike bo dë tusönö lïjë. 
ROM.12.15	Olomake rɔ lɔŋɔ ti ya ame ga rɔ lɔŋɔ ne. Uduke kɔtɔ ti ame ga këdï kudu ne. 
ROM.12.16	Kinza koꞌdɔke geli dë mï löŋgö ye. Kinza koꞌdɔke dɔ kombi dë. Ilekike rɔye liya bërï toja laja rɔ gɔ rɔye. Kinza koꞌdɔ röyï dë kulöwö kiya te nï na rɔ bɔ lende kikali.
ROM.12.17	Kinza kebe kilekike dɔ lende kënyë dë ti lende kënyë. Iꞌdike akoꞌdɔ ꞌbe këdï rɔ ame bilaka pili kutï gɔmo ne. 
ROM.12.18	Ogbɔ röyï tiꞌdi lende këyï na ꞌdɔ këdï mï löŋgö yï ma ti bilaka ma laki pili.
ROM.12.19	Kpe ame ga mɔꞌɔ ye ne, kinza kebeke dë topi dɔkolo. Ola zi bo Bɔkoꞌba ꞌdɔ bo koꞌdɔ gɔ ya abo. Römöyï mï buku abo ꞌba Bɔkoꞌba bo iya ꞌdeni te, “Ma na ti mopi dɔkolo. Monda nima ma na ti mileki dɔmo.” 
ROM.12.20	Kina gbï kɔzɔ ma tönë kugu ne tara, “Ɔdɔ koꞌja bɔ ya ꞌbï këdï rɔ ꞌbö iꞌdi akonyo teyi. Ɔdɔ koꞌja bo këdï rɔ koda mini iꞌdi mini zi bo. Römöyï ti toꞌdɔ mo kɔzɔ a nime te na ti koꞌde dɔ kuluꞌbutï zi bo.”
ROM.12.21	Nï kinza kola röyï dë zi lende kënyë kaꞌda yi. Tine aꞌda lende kënyë yaga ti lende laka koꞌdɔ ꞌbï.
ROM.13.1	Kina ti kpe rɔ gɔye pili uwöke dɔ turu ꞌba mï dɔyayi ꞌbe. Römöyï közï kakpa ꞌba wa pili ako di zi Bɔkoꞌba. Kina me közï kakpa nime leꞌjete mï dɔyayi ꞌbe ne bo na kiꞌdi. 
ROM.13.2	Bɔ ame kilagi tuwö dɔ turu ne, ndose ꞌba Bɔkoꞌba na bo kilagi ꞌdeni. Kina bɔtɔ ame koꞌdɔ tara ne ti koꞌde karama ꞌba Bɔkoꞌba ŋgï timo dönï. 
ROM.13.3	Römöyï bilaka ame ga rɔ bɔ lende laka na dë këdï kere bɔ dönnï ga, tine bɔ lende kënyë na këdï kere.
ROM.13.3	Nï oꞌdɔkɔ ꞌdɔ dökïꞌdï yï köꞌbö ŋburu rɔ ma köpu di zi bɔ közï kakpa? Ne ɔdɔ koꞌdɔkɔ dë, oꞌdɔ wa ma laka ꞌdɔ mï bo këyï röyï. 
ROM.13.4	Römöyï bo na ꞌdeni rɔ bɔ laja ꞌba Bɔkoꞌba bine tokɔnyi yi. Ne ɔdɔ nï kikali röyï ꞌdeni rɔ bɔ kirasi lende kinza kiꞌdi dömbëlï yï kolɔdɔ dë römöyï turu nima kiꞌdi dɔ bo ne iꞌdi dë rɔ ma sari. Ndɔbɔ abo na rɔ todɔ ya ꞌba Bɔkoꞌba dɔ bɔ lende kirasi. 
ROM.13.5	Kina me nï mɔtɔ zïyï tuwö dɔ turu, tine inza ŋge gɔ ame ꞌdɔ kɔmɔ timo di kpa ya ꞌba Bɔkoꞌba ne, oꞌdɔ gɔ këdï rɔ lende laka zïyï.
ROM.13.6	Gɔ köꞌdu mo na gbï kiꞌdi këddï kopike awada ne römöyï lïjë turu na ꞌdeni rɔ bɔ laja abo ꞌba Bɔkoꞌba mï ndɔbɔ nime. 
ROM.13.7	Kina opike wali ꞌba gɔye ga ti pili yaga zïnnï rɔ gɔ dɔkomali awada pili ti lende koro ti rɔ koyo mo.
ROM.13.8	Kinza kolake wali ꞌba a mɔtɔ dë këdï gɔye, tine ꞌdɔ wali ꞌba akɔꞌɔ na ŋge kiꞌdike këdï gɔye. Römöyï nï ame kɔꞌɔ lëpï yï mɔtɔ ne, köꞌdu kiꞌdi abo ꞌba Bɔkoꞌba na me ꞌdeni gbï pili koꞌdɔ. 
ROM.13.9	Römöyï köꞌdu kiꞌdi iya ꞌdeni tönë bine te, “Kinza koꞌdɔ yërï dë. Kinza koꞌdɔ röyï dë rɔ bɔ közï roma. Kinza koꞌdɔ ꞌbögö dë. Kinza koꞌdɔ mï kombi dë.” Kina köꞌdu kiꞌdi naga nime ti mɔtɔ ga pili ɔrɔ ꞌdeni dɔ ame kiya te, “Ɔꞌɔ bilaka lesi lëpï yï mɔtɔ gbï kɔzɔ ame kɔꞌɔ yida röyï ne tara.” 
ROM.13.10	Akɔꞌɔ iꞌdi kirasi lende dë zi lëpï mɔtɔ, omba kina kote gɔ köꞌdu kiꞌdi pili ꞌba Bɔkoꞌba.
ROM.13.11	Kina oꞌdɔke ti te römöyï ikalike ꞌdeni kada mo na yala. Kada ꞌba toŋgɔ bi yaga di bi ꞌba töꞌdö na me kömö ꞌdeni. Römöyï ma leꞌjete kada abo ꞌba tɔmɔ ze mo tönë ꞌdeni ŋɔli rɔze di rɔ ma tönë gba bine diꞌdike dɔze gɔmo ne. 
ROM.13.12	Korɔndɔ ëdï kote rönï yaga gïrï nime kada na ꞌdeni ŋɔli tize. Kina iꞌdi duꞌduke akoꞌdɔ ꞌba bi kölu ti yaga mökö dusuke rɔ jama ꞌba ya ꞌba mï kada na rɔze. 
ROM.13.13	Kina diꞌdike rɔze ti këdï yaga laka rɔ bilaka ꞌba mï kada. Kinza diꞌdike rɔze dë këdï rɔ ꞌba ndörö tuwë layi rɔ dɔ közï kënyë, toꞌdɔ yërï, toꞌdɔ ꞌdïrï ala mï kombi. 
ROM.13.14	Tine jama ꞌba ya ꞌba ŋere Yësu Kurïsïtö na kindaꞌbake, kolake gɔ lende kënyë ꞌba yida rɔ yaga ti akoꞌdɔkɔ mo ga.
ROM.14.1	Kpe kinza koꞌdɔke kowasa dë ti bilaka ame ga kitigɔ dë gba laka mï tiꞌdi dönnï gɔ lende ꞌba Kurïsïtö ne. Tine oꞌdeke lïjë kako mï löŋgö ye. 
ROM.14.2	Römöyï ꞌba bɔ mɔtɔ tiꞌdi dɔ bo gɔ lende ꞌba Kurïsïtö iꞌdi bo ŋgï konyo wa pili rɔ gɔmo. Tine ma ꞌba bɔ mɔtɔ ame bo kitigɔ dë gba laka yïmo ne iꞌdi bo ŋgï ŋge konyo ma ꞌba bo rɔ möku. 
ROM.14.3	Kina kinza bɔ ma konyo mo nima kebe dë tudölï bɔ ma koro tonyo mo nima. Kina kinza bɔ ma koro mo nima kebe dë tilende rɔ bɔ ma konyo ꞌdeni mo nima römöyï Bɔkoꞌba utï ꞌdeni dönnï kpaki rɔ ꞌba bo ga. 
ROM.14.4	Nï yë na kebe ŋgï tilende rɔ bɔ laja ꞌba bɔ mɔtɔ tara? Löbu abo na ŋge këdï kiya laka ti kënyë ꞌba ndɔbɔ abo. Kina ti bo koꞌdɔ ŋgï laka römöyï Kurïsïtö löbu ze mo ɔꞌbɔ ŋgï ꞌdɔ tiꞌdi bo koꞌdɔ tara.
ROM.14.5	Bɔ mɔtɔ omeri ꞌba bo tëgë kada ma dɔ kɔtɔ mɔtɔ na koro kulöwö rɔ dɔ kiteli di dɔ mɔtɔ. Tine bɔ mɔtɔ omeri ma ꞌba bo tëgë kada pili rɔ gɔmo rɔ ma koriya. Ne ma laka mo nï mɔtɔ ꞌbëyï mo nima iꞌdi lende mo kɔdɔ laka mï döyï. 
ROM.14.6	Bɔ ama komeri lende ꞌba kada ma dɔ kɔtɔ mɔtɔ na ŋgï kulöwö ne, bo oꞌdɔ ꞌdeni toro Kurïsïtö ŋere ze timo. Kina bɔ ama konyo ma ꞌba bo dɔkomali wa ꞌdoyi rɔ gɔmo ne oꞌdɔ ꞌdeni gbï toro Kurïsïtö ŋere ze timo römöyï bo ileki yëëꞌdï mo ŋgï zi Bɔkoꞌba. Kina bɔ ame koro tonyo wa mɔtɔ ga ne, oꞌdɔ ꞌdeni gbï toro Kurïsïtö ŋere ze timo kina bo kileki yëëꞌdï mo ŋgï zi Bɔkoꞌba. 
ROM.14.7	Römöyï ma kɔtɔ mɔtɔ di mï löŋgö ze nime bine oloma dë ŋge toro gbagba bo ala tölë gɔ toro gbagba bo. 
ROM.14.8	Tine ɔdɔ dolomake bine, loma ze pili toro bo Kurïsïtö ŋere ze. Kina ɔdɔ dölëke, ti dölëke toro bo. Kina me ɔdɔ ze dölëke ala dolomake, ze pili rɔ ꞌba bo ꞌba Kurïsïtö ŋere ze.
