MRK.1.1	Igii e tanwaran Rokap na Fafas ulo Iesu Karisito, Kalalik ke God.
JHN.7.13	Isau le biil tikas ik use ti tier ulo na matan fanu tikii, wara le ri sokeh foron famfamu ken fan Iudaia.
JHN.7.14	Na fatpoton foron biing na tel inen ae, Iesu ka tatkau una Felun Sising ma ka tanwaran fausum fanu. 
JHN.7.15	Foron famfamu ken fan Iudaia ri ka lala bitit, ma ri ka diik le, “Kaltu igii, arafah i kep u arae e tasum igii ma biil i fafausum tah?”
JHN.7.16	Iesu ka kiliis ri aragii, “Sanih ia tel fafausum ini, biil e fafausum kiak tom. Biil. I la tom sing seh ae i wuun ta iau. 
JHN.7.17	Le tikas i ier le in tel tier God i ier isi, ke in par failiim u le foron fafausum kiak, i la tom sing God, le ia use u ini wolwol kiak tom. 
JHN.7.18	Seh i orek ini wolwol kia tom, i tel u isi fanu tikii rik sik asa. Isau le seh i tel foim una sik asa ier ae i wuun ta u, i e kaltu na orek tekentu. Ma biil ti famfabal lo. 
JHN.7.19	Tekentu kanaka, ia fas gam, Moses i ta ta u e nagogon sing gam. Isau le, biil tom tikas lo gam i misuut na nagogon. Isi sanih gam ka totof isi siimete iau?”
JHN.7.20	Gur na fanu ae ri ka kiliis u aragii, “Imel e tanwa laulau i susuef o. Seh i totof isi siimete wo?”
JHN.7.21	Iesu ka kiliis ri aragii, “Ia tel ta nenge rakrakai na fakileng na Biingen Mangeh, ma gam tikii gam ka lala bitit. 
JHN.7.22	Isau le, fal e aunbiing gam kiit fal e kalalik la na Biingen Mangeh, wara Moses i ta ta nagogon na fakiit ae usuf gam. Isau le biil i la tah sing Moses, i la tom sing foron tubutamat gam. 
JHN.7.23	Ke, male nenge kalalik, ri kiit u na Biingen Mangeh, isi le nagogon ke Moses gong ri lek u
JHN.7.24	Gong gam fule foron tier na parpar kimi sau. Gamen fule foron tier ini tortores na wolwol.”
JHN.7.25	Wara na foron tier ae Iesu i use ta u, pesu fal e fanu na Ierusalem ri ka tipes diik le, “I sau e kaltu igii ae ri famam totof le rin siimete u? 
JHN.7.26	Par u, i ororek malal na matan fanu, ma foron famfamu biil ri use ti tier ulo. Arafah, ri usum ngan le, i e Mesaia? 
JHN.7.27	Isau le, kere usum sau le kaltu igii tingah, ma na aunbiing ae Mesaia in tapiek, biil tikas in usum le i tingah.”
JHN.7.28	Na aunbiing Iesu i famam tel fafausum kia biitom na palgan ubiif kale Felun Sising, ke ka perek aragii, “I tekentu le gam usum lo iau ma ia tingah. Biil ia la uga ini wolwol kiak tom. Biil. Isau le seh ae i wuun ta iau i tekentu kanaka. Biil gam usum lo. 
JHN.7.29	Isau le ia usum lo, wara le ia la tinbae sing i, ma i wuun ta iau.”
JHN.7.30	Aunbiing ka use ta u aragii, ri ka totof le rik luse u, isau le biil tikas i luun lima lo, wara le aunbiing kia biil biitom i tapiek. 
JHN.7.31	Isau le ifuun e fanu na palgan gur ae ri unune lo. Ke ri ka tara aragii, “Aunbiing Mesaia in tapiek, in fatapiek in fuun e rakrakai na fakileng sabin lo kaltu igii, le biil? Awii biil. Ier sangan igii e Mesaia?”
JHN.7.32	Foron Farasi ri ka ongen gur na fanu ae ri famam ngurke foron orek igii lo Iesu. Ke foron famfamu ken foron pris turan foron Farasi ri ka wuun foron tom parpar kale Felun Sising isi rin luse u.
JHN.7.33	Pesu Iesu ka fas ri le, “Ian kiis tura gam na fatuklin aunbiing sau, ma namih ian la usuf seh ae i wuun ta iau. 
JHN.7.34	Gamen im isi iau, isau le biil gamen tafe iau, ma falifuh ae ia kiis lo, biil i fasih gamen la ulo.”
JHN.7.35	Fan Iudaia ri ka orek fis tom na fatpoto ri le, “Kaltu igii i ier le in la uwah, ae biil i fasih keren tafe u? Arafah, in la usuf foron fanu kirer ae ri kiis sararah na foron maleh tikii na Grik, ma ik fausum fan Grik? 
JHN.7.36	Sanih e kamtinan orek kia aunbiing i tara le, ‘Gamen im isi iau, isau le biil gamen tafe iau,’ ke ‘Falifuh ae ia kiis wah, biil i fasih gamen la ulo’?”
JHN.7.37	Na farfarop na biing na tel inen, i arae tara na biing, ma Iesu ka tih ma ka perek aragii, “Male seh i metdan, ke ik la usuf iau isi ik in. 
JHN.7.38	Seh i unune lo iau, foron dan na liu in ring suuh tinawii sing i, arae Buk na Gogoh i use ta u.” 
JHN.7.39	Ma Iesu i use u arae isi Tanwa Kalkaluu, ae fanseh ri unune lo, rin kep u. Aunbiing ae, God biil biitom i ta ufu Tanwa Kalkaluu, wara le memeh ke Iesu biil biitom i tapiek malal.
JHN.7.40	Aunbiing fal e fanu ri ka ongen u ka orek arae, ke ri ka tarah, “Tekentu kanaka, kaltu igii i e poropet ae Buk na Gogoh i fafas ta ini.”
JHN.7.41	Fal ri ka tara le, “I e Mesaia.”
JHN.7.41	Isau le fal ri ka tarah, “Mesaia biil in la tina Galili. 
JHN.7.42	Buk na Gogoh i use ta u le, Mesaia in la tina mat ke king Dewit, ma in pang na Betliem, na maleh ae Dewit i kiis ta lo.” 
JHN.7.43	Pesu ka mel e tampaek na fatpoton gur na fanu, i wara lo Iesu. 
JHN.7.44	Fal ri ka ier isi rin luse u, isau le biil tikas lo ri i luun lima ta lo.
JHN.7.45	Ke, foron tom parpar kale Felun Sising ri ka fis usuf foron famfamu ken foron pris ke foron Farasi. Ri ka diik foron tom parpar kale Felun Sising le, “Isi sanih biil gam lame u uga?”
JHN.7.46	Ke foron tom parpar kale Felun Sising ri ka tara le, “Biil tom tikas i orek la arae kaltu igii i orek.”
JHN.7.47	Foron Farasi ri ka kiliis ri aragii, “Gam sabin, ka lame fager ta gam? 
JHN.7.48	Arafah, imel e tikas lon foron famfamu le tikas lo kemem foron Farasi ka unune ta lo? Biil tom tikas. 
JHN.7.49	Isau le, gur na fanu ae ri unune lo, biil ri usum na nagogon ke Moses, pesu ngaliaf ke God ka kiis tah lo ri.”
JHN.7.50	Nikodimas i e neng sabin lon foron Farasi. I la tah usuf Iesu pakanini. Ke ka tara sing ri aragii, 
JHN.7.51	“Namin nagogon kirer, biil i fasih keren nagogon tikas male biil bii kere ongen famu u le sanih i tel u.”
JHN.7.52	Ri ka kiliis u aragii, “Wo tina Galili sabin? Par foron orek ae na Buk na Gogoh ke ok par u le, biil ti poropet in la tina Galili.” 
JHN.7.53	[Ke, ri tikii ri ka pipiek una foron maleh temtem tikii kiri.
JHN.8.1	Isau le Iesu ka la una Pungpung na Olif. 
JHN.8.2	Na biingbiing saksak, ka tapiek fis sabin na palgan ubiif kale Felun Sising ke aiwa fanu tikii ri ka kiis kawil u ke ka kiis isi fausum ri. 
JHN.8.3	Foron tom fafausum ini nagogon ke foron Farasi, ri ka lame fakau nenge fifin ae ri tafe u i tel sinangun puur. Ke ri ka fasotih u na famu lo ri. 
JHN.8.4	Ma ri ka diik Iesu le, “Tom fafausum, fifin igii ri tafe u i tel sinangun puur. 
JHN.8.5	Na nagogon kirer, Moses i fas farakrakai ta kerer isi keren luu mete matngan fifin arae. Sanih on use u?” 
JHN.8.6	Ri ka tel matngan fagalte aragii una tata kuun isi Iesu, isi ik mel e tier rin tih lo una tiu Iesu.
JHN.8.6	Isau le Iesu ka parau ma ka tipes sisiit na nanal ini katngan lima. 
JHN.8.7	Aunbiing ri famam diik u biitom, ka sotih torteres ma ka tara sing ri le, “Male tikas lo gam ae biil ti sinang laulau kia, ke ik luu famu u ini tifat.” 
JHN.8.8	Ka parau fis sabin ke ka sisiit na nanal ini katngan lima.
JHN.8.9	Na aunbiing ri ka ongen ta u i use u aragii, ri ka tipes suuh temtem tikii. Foron tubunkak ri suuh famu, papang na aunbiing Iesu keskes mang turan fifin ae i tih tatom aiwa. 
JHN.8.10	Iesu ka sotih fis ma ka diik u aragii, “Tin ier, fiawah mang e fanu aga? Biil tikas i nagogon wo?”
JHN.8.11	Fifin ae ka kiliis u aragii, “Ier, biil tikas.”
JHN.8.11	Iesu ka fas u le, “Iau sabin, biil ia nagogon wo. La mang, ke gong sabin o tel sinang laulau.”]
JHN.8.12	Ke Iesu ka orek sabin usuf fanu, ma ka tarah, “Iau tom e malal ken fanu tikii na piklinbat. Seh sau ae i mi lo iau, biil tom in la na kubunor. Biil. Isau le in mel e malal na liu.”
JHN.8.13	Ke foron Farasi ri ka tara sing i aragii, “Igii o ka famalal fafis wo tom, isau le orek an famalal kiam, biil i tatawin.”
JHN.8.14	Iesu ka kiliis ri aragii, “Taftawa le ia famalal fafis iau tom, orek an famalal kiak i tatawin, wara le ia usum le ia la tingah, ma ian la uwah. Isau le biil gam usum le ia la tingah ma ian la uwah. 
JHN.8.15	Gam mi la sau na wolwol ken kaltu tinaga na piklinbat aunbiing gam nagogon, isau le ia biil ia nagogon tikas. 
JHN.8.16	Isau, male ian tel nagogon la, ke foron nagogon kiak in tekentu, wara le biil ia keskes ia tel nagogon. Ia tih tura Tata ae i wuun ta iau ugapiek. 
JHN.8.17	Na nagogon kimi tom, ri siit ta u le orek ken iu tom e kaltu i tatawin. 
JHN.8.18	Iau tom ia famalal fafis iau. Nenge tom fafamalal kiak sabin e Tata, ae i wuun ta iau.”
JHN.8.19	Ke ri ka diik u le, “Fiawah e tamam?”
JHN.8.19	Iesu ka kiliis ri aragii, “Biil gam usum lo Tata ke biil gam usum lo iau. Male gam ka usum tah lo iau, ke gamen usum sabin lo Tata.” 
JHN.8.20	Ka use foron tier igii aunbiing i fausum fanu na palgan ubiif kale Felun Sising, fatat isi falifuh ae ri luun foron fafen la wah. Isau le biil tikas i luse u, wara le aunbiing kia biil biitom i tapiek.
JHN.8.21	Iesu ka fas ri sabin le, “Ian la koseng gam, ke gamek im isi iau, ma gamen met ini foron sinang laulau kimi. Falifuh ae ian la ulo, biil i fasih gamen la ulo.”
JHN.8.22	Pesu foron famfamu ken fan Iudaia ri ka diik le, “Arafah, in siimete u tom? I e wara sangan ka tara, ‘Falifuh ae ian la ulo, biil i fasih gamen la ulo?’”
JHN.8.23	Isau le Iesu ka tara biitom aragii, “Gam tina pikli, ma iau tina mawe. Gam tinaga na piklinbat ma iau biil tinaga na piklinbat. 
JHN.8.24	Ia ka fas ta gam le gamen met ini foron sinang laulau kimi. Male biil gam unune le iau sau e ier ae,
JHN.8.25	Ri ka diik u le, “Wo seh?” Iesu ka kiliis ri aragii, “Arae tom ia use u la sing gam tin pakanini na tanwara papang igii. 
JHN.8.26	Ifuun e tier ian use u isi una nagogon gam. Isau le seh i wuun ta iau, i tekentu kanaka. Ma sanih ia ka ongen ta u sing i, ia ka fas ta fanu tikii ini.”
JHN.8.27	Biil ri usum le i fasfas ri la ini Tama. 
JHN.8.28	Pesu, Iesu ka tara aragii, “Aunbiing gam ka fafen ta Kalalik ken Kaltu, namih gamek usum le iau sau e ier ae, ke le biil ia tel ti tier ini wolwol kiak tom. Biil. Isau le ia use sanih sau ae Tata i fas ta iau ini. 
JHN.8.29	Ma ier ae i wuun ta iau, igii tom na aisang. Biil i fin koseng iau la, wara le ia tel foron foim la tom ae i ier la isi.” 
JHN.8.30	Aunbiing ka use ta u aragii, ke fanu fuun ri ka unune lo.
JHN.8.31	Ke Iesu ka fas fan Iudaia ae ri ka unune ta lo le, “Male gamen posefat na orek kiak, ke gamen tapiek arae berberat na fafausum tekentu kiak. 
JHN.8.32	Ke gamen usum na tekentu, ke tekentu ae in fasengsegeng gam.
JHN.8.33	Ri ka kiliis u aragii, “Kemem foron tubutamat e Abaram, ma biil biitom keme tapiek arae foron fafauun ken tikas. Arafah o ka tara le kemen sengsegeng?”
JHN.8.34	Iesu ka fas ri aragii, “Tekentu kanaka, ia fas gam, fanu tikii ae ri tel sinang laulau la, rin tapiek arae fafauun ken sinang laulau. 
JHN.8.35	Nenge fafauun biil i kiis fitliu la na matanfel. Biil. Isau le nenge kalalik tina matanfel ae, i kiis fitliu aiwa. 
JHN.8.36	Ke male Kalalik i fasengsegeng gam, ke gamen sengsegeng sikit. 
JHN.8.37	Ia usum le gam foron tubutamat e Abaram. Isau le gam totof isi siimete iau, wara le biil ti salan orek kiak na balmi. 
JHN.8.38	Ia use foron tier ae ia par ta u sing Tata, ma gam tel sanih la ae gam par u sing tama gam.”
JHN.8.39	Ri ka kiliis u aragii, “Kemem foteng Abaram arae tama kemem, wara le i e tubutamat kemem.”
JHN.8.39	Iesu ka fas ri le, “Male gam berberat ke Abaram, ke gamen tel ta foron tier ae Abaram i tel ta u. 
JHN.8.40	Isau le, biil. Igii gam ka totof isi siimete iau, ia kaltu ae i fas ta gam ini tekentu ae ia ka ongen ta u sing God. Abaram biil i tel ti tier tah aragii. 
JHN.8.41	Igii gam teltel foron tier ae tama gam tom i tel u la.”
JHN.8.41	Ke ri ka tara sing i aragii, “Biil kemem pang na sal. God keskes sau, i e Tama kemem.”
JHN.8.42	Iesu ka fas ri aragii, “Male God in Tama gam tah, ke gamen ier kanaka isi iau, wara le ia la tah tinbae sing God ma iau mang igii. Biil ia la tah ini wolwol kiak tom uga. Biil. Isau le God tom i wuun ta iau ugapiek. 
JHN.8.43	Isi sanih biil gam malal na foron orek kiak? Wara le biil i fasih gamen ongen foron sanih ia use u. 
JHN.8.44	Gam berberat ke tama gam, e Satan, ke gam ka ier isi mi na wolwol ke tama gam. Tina tanwara i nenge tom siimete fanu, ma biil i sotih la na tekentu, wara le biil ti tier i tekentu la sing i. Aunbiing i lem, i orek tina bala tom, wara le i tom lemlemet ma i taman lem. 
JHN.8.45	Isau le biil gam unune lo iau, wara le ia fas gam ini tekentu. 
JHN.8.46	I fasih tikas lo gam in orek tus le ia tel ta ti sinang laulau? Male ia fas gam ini orek tekentu, ke isi sanih biil gam unune lo iau? 
JHN.8.47	Seh ke God tom, i ongen sanih God i use u la. Ma wara ae biil gam ongen orek kiak, i aragii, biil gam fanu ke God.”
JHN.8.48	Ke fan Iudaia ri ka kiliis u aragii, “Kemem use fatus u le wo tina Samaria ma i mel e tanwa laulau lo wo.”
JHN.8.49	Iesu ka fas ri le, “Biil i mel e tanwa laulau lo iau. Ia bulat lo Tata, isau le biil gam bulat lo iau. 
JHN.8.50	Biil ia ier isi sik asang tom. Biil. Isau le God tom i ier isi sik asang, ma i e tom nagogon. 
JHN.8.51	Tekentu kanaka, ia fas gam, male seh i posefat na orek kiak, biil in to met.”
JHN.8.52	I wara na orek ke Iesu, pesu fan Iudaia ri ka fas u le, “Igii kemem ka usum mang le i mel e tanwa laulau lo wo. Abaram ka met tah ke foron poropet sabin. Isau le wo tara le, male seh sau i posefat na orek kiam, biil in to met. 
JHN.8.53	O wol o laumet lo tama kemem Abaram? Ka met tah ke foron poropet sabin ri ka met tah. O wol le o seh?”
JHN.8.54	Iesu ka kiliis ri aragii, “Male ia sik asang tom, ke orek kiak i tier foes. Tata, ae gam tara le i e God kimi, i e ier ae i sik asang. 
JHN.8.55	Gam, biil gam usum lo, isau le ia usum lo. Male ian tara le biil ia usum lo, ke iak tapiek tom lemlemet arae gam, isau le ia usum lo, pesu ia ka posefat na orek kia. 
JHN.8.56	Tama gam sing Abaram i laes tah isi par biing kiak, ma igii ka par ta u ke ka laes.”
JHN.8.57	Ke fan Iudaia ri ka fas u le, “Biil biitom i lim e sangful e bet kiam, ma o ka par ta Abaram?”
JHN.8.58	Iesu ka kiliis ri le, “Tekentu kanaka, ia fas gam, aunbiing Abaram biil biitom i pang, ia ka kiis tah.” 
JHN.8.59	Na foron orek ae Iesu ka use ta u, pesu ri ka kep fat isi rin luu mete u. Isau le Iesu ka mumun na fatpoton fanu ma ka suuh tina Felun Sising ae.
JHN.9.1	Aunbiing Iesu ka toltole sal la, ke ka par nenge kaltu, i pang ma ka kut tah. 
JHN.9.2	Ke berberat na fafausum kia ri ka diik u le, “Tom fafausum, seh i tel ta sinang laulau pesu kaltu igii ka pang ini kut, i tom le, tama ru e tina?”
JHN.9.3	Iesu ka kiliis ri aragii, “Kaltu igii, biil i kut i wara na sinang laulau kia, le na sinang laulau ke tama ru e tina. Biil. I kut isi fanu tikii rik par foim ke God ik tapiek malal na liu kia. 
JHN.9.4	I rokap le kerek tel foim ke seh ae i wuun ta iau, aunbiing i siat biitom. Wor apiek i lalala ae biil tikas i fasih in rik foim. 
JHN.9.5	Aunbiing ia kiis biitom na piklinbat, iau tom e malal ken fanu tikii na piklinbat.”
JHN.9.6	Ka use ta u arae, ma ka ubis una nanal, ke ka tel pisak ini ubis kia ma ka luun u na iun matan kut ae. 
JHN.9.7	Ke Iesu ka fas u aragii, “La, ok susuh na kalpong ri foteng u ini Siloam” (kamtina e Siloam e wuun). Ke kaltu ae ka la ke ka susuh, ma aunbiing ka fis ma iun mata ka sapeng tah.
JHN.9.8	Pesu, foron tikiin maleh kia ke fanu ae ri par ta u i kiis la isi ka sising fanu isi tier, ri ka diik le, “I sau e kaltu ae i kiis la isi ka sising tier igii?” 
JHN.9.9	Fal ri ka tara le, i sau.
JHN.9.9	Isau le fal ri ka tara le, “Biil. I par sau arae i.”
JHN.9.9	Isau le i tom ka tartara la le, “Iau sau e kaltu ae.”
JHN.9.10	Ri ka diik u le, “Arafah, ke igii iun matam ka sapeng?”
JHN.9.11	Ka kiliis ri aragii, “Kaltu ae ri foteng u ini Iesu, i tel ta pisak ma ka luun u na iun matang. Ke ka fas iau isi ian susuh na kalpong na Siloam. Ke ia ka la ma ia ka susuh ke ia ka par.”
JHN.9.12	Ri ka diik u aragii, “I fiawah?”
JHN.9.12	Ka kiliis ri aragii, “Biil ia usum.”
JHN.9.13	Ke ri ka lame kaltu ae i kut tah usuf foron Farasi. 
JHN.9.14	Ma biing ae Iesu i tel ta pisak ma ka luun u na iun matan kaltu ae i kut tah, i e Biingen Mangeh. 
JHN.9.15	Pesu foron Farasi ri ka diik u sabin le, “I tara arafah ke o ka par?”
JHN.9.15	Ke kaltu ae ka tara sing ri le, “I luun pisak na iun matang, ke ia ka susuh, ke ia ka par.”
JHN.9.16	Fal e Farasi ri ka tara le, “Biil e kaltu ke God igii, wara le i lek nagogon na Biingen Mangeh.”
JHN.9.16	Isau le fal ri ka diik le, “Ifasih le tikas e tom tel sinang laulau in fatapiek foron matngan rakrakai na fakileng aragii?” Ke ka mel e tampaek na fatpoto ri.
JHN.9.17	Ke, ri ka diik kaltu tala ae le, “O wol le i matngan kaltu arafah? Wara le i sapeng tah na matam.”
JHN.9.17	Ma kaltu ae ka tara le, “I nenge poropet.”
JHN.9.18	Foron famfamu ken fan Iudaia biil tom ri unune le kaltu ae i kut tah, ma arafah i tara arae ke ka par, pesu ri ka fauun isi tama ru e tina. 
JHN.9.19	Ke ri ka diik ruh aragii, “Kalalik kimuh igii, ae kamu tara le i pang ini kut? Ke arafah i tara arae ke igii, i fasih mang ik par?”
JHN.9.20	Tama ru e tina ru ka tara aragii, “Kama usum le i e kalalik kimah, ke kama usum le i pang tom ini kut. 
JHN.9.21	Isau le, arafah i tara arae ke igii, i fasih ik par, ke seh i sapeng tah na iun mata, biil kama usum. Gam diik u, i kaltu matuk, i tom in orek kia.” 
JHN.9.22	Tama ru e tina ru ka use u arae, wara le ru soke foron famfamu ken fan Iudaia, wara le ri ka somangat tah le, tikas in fapos Iesu le i e Mesaia, ke rin ti kale ri isi gong ri lotu na felun lotu. 
JHN.9.23	Pesu, tama ru e tina ru ka tara le, “Gam diik u, i kaltu matuk.”
JHN.9.24	Ke, fawu e aunbiing foron Farasi ri ka kam pes u tala e kaltu ae i kut tah, ke ri ka tara sing i aragii, “Falimlim ini asa God le on orek tekentu. Kemem usum le kaltu ae i faliu ta wo i nenge tom tel sinang laulau.”
JHN.9.25	Ke kaltu ae ka kiliis ri aragii, “Biil ia usum, le i tom tel sinang laulau, le biil. Isau le, ia usum le ia kut tah, ma igii ia ka par.”
JHN.9.26	Ke ri ka diik u aragii, “Sanih i tel u ini wo? Ke arafah i sapeng na matam arae?”
JHN.9.27	Ka kiliis ri aragii, “Ia ka fas ta gam, ma biil tom gam wong. Gam ka ier isi ongen u sabin isi sanih? Arafah, gam sabin gam ka ier isi tapiek berberat na fafausum kia?”
JHN.9.28	Ke ri ka ngaliaf u lo, ma ri ka tarah, “Wo nenge kalalik na fafausum kia e ier igii. Kemem berberat na fafausum ke Moses. 
JHN.9.29	Kemem usum le, God i orek tah usuf Moses. Isau le kaltu igii, biil kemem usum le i la tingah.”
JHN.9.30	Kaltu ae ka kiliis ri aragii, “Igii e tier an fasodar. Biil gam usum le fia i la tingah, isau le i sapeng tah na matang. 
JHN.9.31	Kere usum le God biil i wong la sing foron tom tel sinang laulau. I wong la sau sing fanu ae ri bulat la lo, ke ri tel sanih ae i ier isi rin tel u. 
JHN.9.32	Tina tanwaran fakfakiis papang igii, biil biitom tikas i ongen ta u le, tikas ka sapeng tah na matan ti kaltu ae i pang ta tom ini kut. 
JHN.9.33	Male kaltu igii biil in la tah tinbae sing God, ke biil i fasih in tel ti tier.”
JHN.9.34	Foron Farasi ri ka kiliis u aragii, “O pang ke o ka laumet piek tah na palgan sinang laulau. Arafah, o ka ier isi fausum kemem bin?” Ke, ri ka tel ufu mang tina felun lotu.
JHN.9.35	Iesu ka ongen ta u le foron Farasi, ri ka ti kale ta kaltu ae tina felun lotu. Pesu ka im isi, ma aunbiing ka tafe u, ka diik u le, “O unune sabin lon Kalalik ken Kaltu?”
JHN.9.36	Kaltu ae ka diik Iesu le, “Ier, i e seh? Fas iau, isi iak unune lo.”
JHN.9.37	Iesu ka fas u aragii, “O ka par ta u, ma i igii i ororek la turam.”
JHN.9.38	Ke, kaltu ae ka tarah, “Kumguui, ia unune.” Ka ilepul, ma ka lotu unaisa.
JHN.9.39	Iesu ka tarah, “Ia la tah uga na piklinbat isi nagogon fanu, isi foron kut rik par, ma fanseh ae ri par rik tapiek kut.”
JHN.9.40	Fal e Farasi ae, tinaiwa tah na aisa Iesu ri ka ongen u i use u aragii, ke ri ka diik aragii, “Arafah, kemem kut sabin?”
JHN.9.41	Iesu ka kiliis ri aragii, “Male gam kut tah, ke biil tikas in tiu gam na foron sinang laulau kimi. Igii, gam tara le i fasih gamen par, pesu sinang laulau kimi i kiis biitom.
JHN.10.1	“Tekentu kanaka, ia fas gam, le kaltu ae biil i kau na matan ubiif ken foron sipsip, ma ka kau paket na ubiif, i e nenge tom suksukuum, ma nenge kaltu una dat foes tier ken fanu. 
JHN.10.2	Kaltu ae i kau na matan ubiif, i e tom parpar kale ken foron sipsip kia tom. 
JHN.10.3	Tom parpar kale matan ubiif i sapeng pes u la, ke foron sipsip ri wong la na kine. I kam foron sipsip kia tom ini asri ma ka lame fasuuh ri. 
JHN.10.4	Aunbiing tom parpar kale foron sipsip ka lame fasuuh foron sipsip kia tutus tah, ke ka famu pes ri. Ke foron sipsip kia ri ka mi lo, wara le ri ongen failiim kine tom. 
JHN.10.5	Isau le biil tom rin mi lo nenge kaltu keskes, rin fin koseng u wara le biil ri ongen failiim kinen kaltu keskes.” 
JHN.10.6	Iesu ka fas ri ini tintof igii, isau le biil ri malal na sanih i fas ta ri ini.
JHN.10.7	Pesu Iesu ka fas ri aragii, “Tekentu kanaka, ia fas gam, iau tom e matan ubiif ken foron sipsip. 
JHN.10.8	Fanu tikii ae ri la famu ta lo iau, ri foron tom suksukuum ke foron tom dat foes tier ken fanu. Isau le foron sipsip biil ri wong tah sing ri. 
JHN.10.9	Iau tom e matan ubiif. Le seh ae i kau sing iau, in kep liu. In kau ke in suuh ma in tafe in fuun e fifih. 
JHN.10.10	Tom suksukuum i la sau isi suksukuum, sisiimete ke falaulau ri. Ia la tah uga isi rik kep liu, liu ae i fuun ini fafakalok.
JHN.10.11	“Iau tom e rokap na tom parpar kale foron sipsip. Rokap na tom parpar kale foron sipsip i lin liu kia la isi foron sipsip kia. 
JHN.10.12	Kaltu ae ri fiil u sau isi parpar kale foron sipsip, biil i taman foron sipsip. Biil. Ke, aunbiing i par pes puul ngalngaliaf i la isi, in kang koseng ri la ma ka fin. Ke puul ngalngaliaf ka ngaet ri ma ka fes sararah ri. 
JHN.10.13	Kaltu ae i fin la, wara le ri fiil ta u sau isi parpar kale foron sipsip, ma biil i mais ri.
JHN.10.14	“Iau tom e rokap na tom parpar kale foron sipsip. Ia usum lon foron sipsip kiak ke foron sipsip kiak ri usum lo iau, 
JHN.10.15	i fasih sabin arae Tata i usum lo iau, ke ia usum lo Tata. Ma ia lin liu kiak isi foron sipsip. 
JHN.10.16	Imel e fal e sipsip sabin kiak ae biil ri kiis la turan fal igii na palgan itikii e ubiif. Ian lame pes ri, isi ri sabin rik ongen kineng, ke rik tapiek itikii sau e uh na sipsip ke ik tikii sau e tom parpar kale sipsip kiri. 
JHN.10.17	Tata i ier kanaka isi iau, i wara le ia lin liu kiak isi iak kep fafis u sabin. 
JHN.10.18	Biil tikas in kep ufu liu sing iau. Biil. Isau le ia lin liu kiak ini wolwol kiak tom. I mel e rakrakai kiak una lin liu kiak, ke i mel e rakrakai kiak una kep fafis u sabin. Foim igii, Tata tom i fas ta iau isi ian tel u.”
JHN.10.19	Ke ka mel sabin e tampaek na fatpoton fan Iudaia i wara na orek ke Iesu. 
JHN.10.20	I fuun lo ri, ri ka tara, “I mel e tanwa laulau lo ma i talos. Gam wong sing i isi sah?”
JHN.10.21	Isau le fal lo ri ka tara le, “Kaltu i mel e tanwa laulau lo, biil i orek la aragii. Tanwa laulau biil tom i fasih in sapeng na matan tikas e kut.”
JHN.10.22	Na aunbiing ae, ri tel inen na Ierusalem, una wol pes aunbiing ae Felun Sising i tapiek tah arae fel ke God. Tel inen ae, ri tel u la na funiil ae mir i afit falifuh tikii. 
JHN.10.23	Na aunbiing ae, Iesu tinawii na palgan Felun Sising na felun malmaluu ae ri foteng u le, felun malmaluu ke king Solomon. 
JHN.10.24	Foron famfamu ken fan Iudaia ri ka ruruh kale u, ma ri ka tara sing i aragii, “Nangis mang ok fas kemem le o seh? Male o Mesaia, ke ok fas fatus kemem.”
JHN.10.25	Iesu ka kiliis ri aragii, “Ia ka fas ta gam, isau le biil gam unune. Foron rakrakai na foim ae ia tel u ini asa Tata, i finngas gam le iau e seh tom. 
JHN.10.26	Isau le biil gam unune, wara le biil gam foron sipsip kiak. 
JHN.10.27	Foron sipsip kiak ri ongen failiim kineng, ma ia usum lo ri, ke ri mi lo iau. 
JHN.10.28	Ke ia ta liu fitliu sing ri, ma biil rin met. Ma biil tikas in dat ufu ri tina limang. 
JHN.10.29	Ma Tata ae ka ta ta ri usuf iau, i laumet kanaka lo ri tikii. Ma biil tikas i fasih in dat ufu ri tina lima Tata. 
JHN.10.30	Ma itikii sau lo kama e Tata.”
JHN.10.31	Ke foron famfamu ken fan Iudaia ri ka sik fat sabin una luu u. 
JHN.10.32	Isau le Iesu ka tara sing ri aragii, “Ia ka finngas ta gam ini ifuun e piran rakrakai na fakileng sing Tata. Na matngan fakileng arafah, ia tel ta u ke gam ka ier isi luuluu iau?”
JHN.10.33	Foron famfamu ken fan Iudaia ri ka kiliis u aragii, “Biil kemem luu wo isi foron rakrakai na fakileng o fatapiek u. Biil. Isau le kemem luu wo isi foron orek laulau ae o use u, ma wara le o, kaltu foes sau, ma o ka tara le o God.”
JHN.10.34	Iesu ka kiliis ri aragii, “Ri siit ta u na Buk na Gogoh, ae God i tara tah le, ‘Gam foron god.’
JHN.10.34	Buk Song 82:6
JHN.10.35	Fanu ae orek ke God i la ugapiek usuf ri, God i foteng ta ri ini foron god. Ma biil i fasih tikas in sokiliis foron sun orek ae na Buk na Gogoh. 
JHN.10.36	Male i arae, ke arafah lo ier ae Tata ka fakalkaluu ta u, ma ka wuun ufu tah uga na piklinbat. Isi sah bin gam ka tiu iau le ia orek laulau, i wara le ia tara tah le ia Kalalik ke God? 
JHN.10.37	Male biil ia tel foron foim la ke Tata, ke gong gam unune lo iau. 
