MAT.1.1	Libri i gjeneallogjisë Iesu Krishtit, birit Davidit, birit Abrahamit.
ACT.17.6	Por mbassi s’i gjetnë, tërhoqnë Iasonin’ edhe disa vëllazën te të parët’ e qytetit, tue bërtitunë, se: Këta qi këthejnë përmbys botënë kan’ ardhun’ edhe këtu;
ACT.17.7	të cillëtë Iasoni i priti 
ACT.17.8	Edhe përzinë gjindëjen’ edhe të parët’ e qytetit, kur ndëgjuenë 
ACT.17.9	Edhe si u banë dorë-zanës Iasoni edhe të tierëtë, i lishuenë.
ACT.17.10	Edhe vëllazënitë përnjiherë dërguenë jashtë Paulinë edhe Silënë natënë ndë Bere, të cillëtë kur erthnë aty, votnë ndë synagogët të Iudevet.
ACT.17.11	Edhe këta ishinë ma fisnikë se ata ndë Thessalonikë, sepse pritnë fjalënë me gjithë zemërë, tue shikuem përditë shkronjatë, ndë qofshinë kështu këto 
ACT.17.12	Shumë 
ACT.17.13	Por ata Iudeitë 
ACT.17.14	Edhe vëllazënit’ atëherë dërguenë jashtë përnjiherë Paulinë me votunë deri ndë det, por Sila edhe Timotheu mbetnë atie.
ACT.17.15	Edhe ata qi përcuellnë Paulinë, e prunë deri ndë Athinë; edhe si muernë porosi për Silën’ e për Timothenë, qi të vinë sa ma shpeit tek ai, iknë.
ACT.17.16	Edhe Pauli kur ishte tue pritun’ ata ndë Athinë, i nxehei shpirti ndë vetëhe, sepse shifte qytetinë plot me idhuj.
ACT.17.17	Fliste pra ndë Synagogët me Iudeit, edhe me besëtarët, edhe ndë treg ditë për ditë me ata qi haste.
ACT.17.18	Atëherë disa filosofë prei Epikurianëvet e prei Stoikëvet haheshinë me fjalë me atë; edhe disa thoshinë: Vallë qish do me thanë kyi 
ACT.17.19	Edhe 
ACT.17.20	Sepse na bije disa punë të hueja ndë veshët t’anë; duemë pra me marrë vesht, qish do me qenunë këto.
ACT.17.21	- Sepse gjith’ Athinasit’ edhe të huejtë qi rrijin’ atie, nukë shkojinë kohënë mbë tietër 
ACT.17.22	Atëherë Pauli qindroi ndë miedis të Areopagut, e tha: O burra Athineas, mbë gjithë punët u shof juve se jeni tepërë perëndi-lutësa.
ACT.17.23	Sepse tue shkuem e tue vum’ ore vendet’ e lutiesë tuei, gjeta edhe nji altar, qi ishte shkruem përmbi ate: MBË TË PANGJOFUNINË PERËNDI. Ate pra qi 
ACT.17.24	Perëndia qi bani botën’ edhe gjith’ ato 
ACT.17.25	as s’ka nevojë për ndonji gja me i shërbyem nierëzitë me duer, sepse ai u ep të gjithëve jetë, edhe frymë, edhe të gjitha.
ACT.17.26	Edhe bani gjithë kombet’ e nierëzëvet prei nji gjaku, qi të rrinë mbi gjithë faqen’ e dheut, edhe urdhënoi kohënatë qi i ka vumë ndë rregullë çë përpara, edhe synoret’ e së ndenjëmes’ atyneve;
ACT.17.27	qi të kërkojnë Zotinë, druese mundenë me e prekun’ edhe me e gjetunë; ndonëse 
ACT.17.28	sepse nd’ate rrojmë, edhe livisimë, edhe jemi; sikurse disa prei poetënavet tuei kanë thanë: “Se jemi edhe fara e ati”.
ACT.17.29	Tue qenunë pra fara e Perëndisë, nukë duhetë të kujtojmë se Perëndia përgjahetë me ar e me argjand e me gur, latuem prei mieshtrisë e 
ACT.17.30	Perëndia pra nukë vuni ore me sy kohënat’ e së paditëmesë, 
ACT.17.31	sepse vuni nji ditë, ndë të cillënë ka për me gjukuem botënë me dreitëni me anë të nji nieriu qi e ka urdhënuem 
ACT.17.32	Edhe 
ACT.17.33	Edhe kështu Pauli duel prei miedizit atyneve.
ACT.17.34	Edhe disa burra iu ngjitnë, edhe besuenë; ndër ata ishte Dionys Areopagiti, edhe nji grue qi quhei Damarisë, edhe të tierë bashkë me ata.
ACT.18.1	Edhe mbaskëndai Pauli si iku prei Athinësë, erdhi ndë Korinthë;
ACT.18.2	edhe gjeti nji farë Iudeu qi quhei Akuilë, lemë ndë Pont, e ardhunë rishtas prei Italisë, me gruen’ e vet Priskilënë (sepse Klaudiu kishte urdhënuem me ikunë gjithë Iudeitë prei Romësë), edhe erdhi për-an’ atyneve;
ACT.18.3	edhe sepse kishinë 
ACT.18.4	Edhe fliste ndë synagogët çdo të shëtunë, edhe u mbushte mendienë Iudevet e Grekëvet.
ACT.18.5	Edhe Sila e Timotheu kur sdrypnë prei Makedonisë, Paulit i shtrëngohei shpirti, e epte deshmi te Iudeit, se Iesui 
ACT.18.6	Edhe ata mbassi i delinë kundrë edhe vlasfimojinë, shkundi petkatë, e u tha atyne: Gjaku juei 
ACT.18.7	Edhe si sdrypi prei andej, erdhi ndë shtëpi të nji farë 
ACT.18.8	Edhe Krispi i pari i synagogës’ i besoi Zotit bashkë me gjithë shtëpin’ e vet; edhe shumë 
ACT.18.9	Edhe Zoti i tha Paulit natënë nd’andërrë: Mos u friko, por fol, edhe mos pushojsh;
ACT.18.10	sepse unë jam bashkë me tyi, edhe askushi s’ka me vumë dorë mbi tyi, për me të bamë keq, sepse kam shumë popull ndë këte qytet.
ACT.18.11	Edhe ndenji 
ACT.18.12	Edhe Gallioni kur ishte prokonsull i Ahaisë, 
ACT.18.13	tue thanë, se: Kyi u mbush mendienë nierëzëvet me iu lutunë Perëndisë kundrë ligjësë.
ACT.18.14	Edhe Pauli kur ishte për me hapunë gojënë, Gallioni u tha Iudevet: Ndë ishte ndonji punë pa udhë, a 
ACT.18.15	por ndë qoftë 
ACT.18.16	Edhe i përzuni prei gjykatësë.
ACT.18.17	Edhe gjithë Grekëtë zunë Sostheninë të parën’ e synagogësë, edhe e rrifinë përpara gjykatësë; edhe Gallioni s’kishte gaile as për ndonji prei kësosh.
ACT.18.18	Edhe Pauli mbassi priti mëjaft ditt, u la shëndet vëllazënavet, edhe lundroi për Syri; edhe bashkë me atë Priskulla edhe Akuila, mbassi rroi kryetë ndë Kegkrea, sepse 
ACT.18.19	Edhe erdhi ndë Efesë, edhe la ata aty, por ai vetë hyni ndë synagogët, e fliste me Iudeit.
ACT.18.20	Edhe iu lutnë me mbetunë ma shumë kohë për-an’ atyneve, 
ACT.18.21	por u la shëndet atyne, e tha: Pa fjalë duhetë të baj festënë qi vien ndë Ierusalem, edhe kam me u këthyem për-së-ri te ju, ndë dashtë Perëndia. Edhe lundroi prei Efesësë.
ACT.18.22	Edhe si duel mbë tokë ndë Kaisari, hypi 
ACT.18.23	Edhe mbassi ndenji disa kohë 
ACT.18.24	Edhe nji farë Iudeu qi quhei Apollos, lemë ndë Aleksandri, nieri i ditshim, edhe i fortë ndë shkronjat, erdhi ndë Efesë.
ACT.18.25	Kyi ishte mësuem ndë udhë të Zotit; edhe i nxehei shpirti, e fliste, e mësonte punët’ e Zotit shtrëngueshim, tue ngjofunë veç pagëzimin’ e Gjionnit.
ACT.18.26	Edhe kyi filloi me folunë me sy çelë ndë synagogë; edhe Akuila e Priskilla kur ndëgjuen’ ate, e muernë me vetëhe, edhe i diftuen’ udhën’ e Perëndisë ma shtrëngueshim.
ACT.18.27	Edhe ai mbassi donte me shkuem ndë Ahai, vëllazënit’ u shkruenë dishepujvet, e i shtyjinë me e pritunë, i cilli kur erdhi, u ndimoi shumë atyneve qi kishinë besuem me anë të hirit,
ACT.18.28	sepse me shumë fuqi ua sbulonte Iudevet ndër sy të botësë, tue diftuem me anë të shkronjavet, se Iesui ashtë Krishti.
ACT.19.1	Edhe Apollosi kur ishte ndë Korinthë, Pauli si shkoi ndëpër anët e sipërme, erdhi ndë Efesë, edhe kur gjeti 
ACT.19.2	u tha atyne: Muertë Shpirtinë Shenjt kur besuëtë? Edhe ata i thanë: Por as ndëgjuem kemi, se ashtë Shpirti Shenjt.
ACT.19.3	Edhe ai u tha atyne: Mbë se pra u pagëzuetë? Edhe ata thanë: Mbë pagëzim të Gjionnit.
ACT.19.4	Edhe Pauli tha: Gjionni pagëzoi 
ACT.19.5	Edhe 
ACT.19.6	Edhe Pauli si vuni duertë mbi ata, erdhi Shpirti Shenjt mbi ata, edhe flisinë gjuhëna, e profetizojinë.
ACT.19.7	Edhe gjith’ ata burra ishin afër dy-mbë-dhetë.
ACT.19.8	Edhe 
ACT.19.9	Por disa mbassi ishinë të ashpërë, e s’u mbushei mendia, por flisinë keq për udhën’ 
ACT.19.10	Edhe këjo u ba për dy viet; kaqi sa gjith’ ata qi rrijinë ndë Asi ndëgjuenë fjalën’ e Zotit Iesu, Iude e Grekë.
ACT.19.11	Edhe Perëndia bante mërekullia të mëdha me anë të duervet Paulit,
ACT.19.12	kaqi sa biheshinë mbi të sëmunët riza e përparëje prei korpit ati, edhe sëmundat’ ikinë prei atyneve, edhe frymat’ e këqia dilinë prei atyneve.
ACT.19.13	Edhe disa prei atyne përbetorëvet Iudevet qi silleshinë rrotullë, vunë dorë me zanë n’gojë emënin’ e Zotit Iesu mb’ata qi kishinë fryma të këqia, tue thanë: U përbetojmë juve mb’ate Iesunë qi predikon Pauli.
ACT.19.14	Edhe ata qi bajinë këte, ishinë të shtatë bijt’ e nji Skeva Iudeu krye-prifti.
ACT.19.15	Edhe frym’ e keqe u përgjeq, e tha: Iesun’ e ngjof, edhe Paulin’ e dij; por ju cillëtë jeni?
ACT.19.16	Edhe ai nieriu qi kishte frymën’ e keqe u hoth mbi ata, edhe i mundi, e hypi sipër atyneve, kaqi sa 
ACT.19.17	Edhe këjo u ba e ditëme mbë gjithë Iudeit e Grekët qi rrijinë ndë Efesë; edhe i muer frika të gjith’ ata, edhe madhënohei emëni i Zotit Iesu.
ACT.19.18	Edhe shumë prei atyneve qi kishinë besuem vijinë tue rrëfyem e tue diftuem punët’ e veta.
ACT.19.19	Edhe shumë 
ACT.19.20	Kështu u shtue e u forcue fort fjala e Zotit.
ACT.19.21	Edhe si u mbaruenë këto 
ACT.19.22	Edhe dërgoi ndë Makedoni dy vetë prei atyneve qi i shërbejinë, Timothenë edhe Erastinë, 
ACT.19.23	Edhe nd’ate kohë u ba shumë të përziem për 
ACT.19.24	Sepse nji farë argjandari qi quhei Demetër, i cilli ndërtonte tempuj t’argjanttë të Dianësë, e u bante shumë fitim mieshtravet;
ACT.19.25	kyi si mbëlodhi këta, edhe ata qi punojinë kësosh, tha: O burra, e dini mirë se fitimi ynë ashtë prei kësai pune;
ACT.19.26	edhe veni ore, e ndëgjoni, se jo vetëmë ndë Efesë, por afër ndëpër gjith Asinë, kyi Pauli u mbushi mendien’ atyne, e këtheu shumë gjindëje, tue thanë, se nukë janë perëndina ata qi ndërtohenë prei duersh.
ACT.19.27	Edhe jo vetëmë këjo mieshtria jonë ashtë mbë rrezik me ranë poshtë, por edhe tempulli i perëndieshësë madhe Dianësë të mos zihetë për gja, edhe ka me u vdierrë madhënia e asai, të cillën’ e ka për nder gjith’ Asia edhe bota.
ACT.19.28	Edhe 
ACT.19.29	Edhe gjithë qyteti u mbush me të përziem; edhe si zunë të 
ACT.19.30	Edhe Pauli kur donte me hynë ndër gjindëjenë, dishepujtë nuk’ e lijinë.
ACT.19.31	Edhe disa prei të parëvet Asisë, qi ishinë miqt’ e ati, dërguenë tek ai, e i luteshinë mos e api vetëhenë ndë theatër.
ACT.19.32	Disa pra bërtisinë 
ACT.19.33	Edhe ata nxuernë Aleksandrinë përpara gjindëjesë 
ACT.19.34	Por mbassi e ngjofnë se ashtë Iude, u ba nji za prei së gjithëve, tue bërtitun’ afër dy orë: E madhe 
ACT.19.35	Edhe shkruisi si pushoi gjindëjenë, tha: O burra Efesianë, cilli nieri asht’ ai qi s’e di se qyteti i Efesianëvet ashtë tempull-rueitës i Dianësë perëndieshësë madhe, edhe idhullit qi sdrypi prei Ejtesë?
ACT.19.36	Mbassi s’gjindetë nieri pra me folunë kundrë këtyneve, ju duhetë të mbëlithni vetëhenë, e të mos bani ndonji punë pa mend.
ACT.19.37	Sepse keni prumë këta nierës, qi as kanë viedhunë gja kishe, as kanë vlasfimuem perëndieshënë tuei.
ACT.19.38	Ndë qoftë pra se Demetri edhe mieshtritë qi janë bashkë me ate, kanë fjalë kundrë kuit, janë ditt qi bahetë gjyq, edhe janë prokonsulla; le të ngrenë njiani tietrinë.
ACT.19.39	Por ndë kërkoni ndonji gja për të tiera 
ACT.19.40	Sepse jemi ndë rrezik mos na përflasinë se ngritëm krye për 
ACT.19.41	Edhe si tha këto, përdau përmbëledhëjenë.
ACT.20.1	Edhe mbassi pushoi trubullimi, Pauli thërriti dishepujtë, e u la shëndet, edhe duel me votunë ndë Makedoni.
ACT.20.2	Edhe si shkoi ndëpër ato anë, e i ngushulloi me shumë fjalë, erdhi ndë Greqi.
ACT.20.3	Edhe 
ACT.20.4	Edhe e muer mbrapa deri në Asi Sopatri Bereasi; edhe prei Thessallonikanëvet Aristarhu edhe Sekundi, edhe Gaiu prei Derbet, edhe Timotheu; edhe prei Asianëvet Tyhiku edhe Trofemi.
ACT.20.5	Këta votnë përpara, edhe na prisinë ndë Troadë.
ACT.20.6	Edhe na lundruem prei Filippesë mbas ditvet të pabrumëvet, edhe për pesë ditt erdhëm tek ata ndë Troadë, edhe ndenjëm 
ACT.20.7	Edhe të parënë 
ACT.20.8	Edhe ndë dhomë të sipërme atie ku ishinë mbëledhunë, ishinë mëjaft qiri 
ACT.20.9	Edhe nji dialosh, qi quhei Eutyh, tue ndenjunë mbi parathyrë, e muer 
ACT.20.10	Edhe Pauli si sdrypi, ra mbi ate, edhe e muer n’grykë, e tha: Mos trubullohi; sepse shpirti i ati ashtë nd’ate.
ACT.20.11	Edhe si hypi, e theu bukë, e hangër, e foli mëjaft deri mbë të sbardhëmen’ e dritësë, mbasandai duel jashtë.
ACT.20.12	Edhe dialin’ e prunë të gjallë, edhe u ngushulluenë fort tepërë.
ACT.20.13	Edhe na votëm përpara ndë lundrë, edhe lundruem për Assë, edhe prei andej dojim me marrë Paulinë, sepse kështu kishte porositunë, sepse ai vetë donte me votunë mbë kambë.
ACT.20.14	Edhe si hasi me ne ndë Assë, e muerëm, e erdhëm ndë Mitylenë.
ACT.20.15	Edhe prei andyj lundruem, edhe 
ACT.20.16	Sepse Pauli e pa me udhë me lundruem ndëpër anë të Efesësë, sepse nukë donte me hupunë kohë ndë Asi, sepse nxitonte, ndë ka se si, ditën’ e Pendikostësë të gjindei ndë Ierusalem.
ACT.20.17	Edhe dërgoi prei Miletësë ndë Efesë, e thirri pleqt’ e kishësë.
ACT.20.18	Edhe kur erthnë tek ai, u tha atyne: Ju e dini çë ditën’ e parë qi dola ndë Asi, se si e shkova gjithë kohënë bashkë me ju,
ACT.20.19	tue i shërbyem Zotit me gjithë zemërën’ e përvutë, e me shumë lot e ngasëje, qi më koditnë për këshillet e këqia të Iudevet 
ACT.20.20	edhe se si nukë mpëshefa gja prei asosh qi ishinë për të mirënë tuei, por ua diftova juve, e u mësova juve ndër sy të botës’ e ndëpër shtëpiat,
ACT.20.21	tue dhanë deshmi mbë Iude e mbë Grekë për pendesënë mbë Perëndinë, edhe për besënë mbë Zotinë t’ynë Iesu-Krishtinë.
ACT.20.22	Edhe tashti qe unë te po vete ndë Ierusalem lidhunë ndë shpirt, pa mos ditunë qish 
ACT.20.23	për veç 
ACT.20.24	Por s’kam kujdes as për ndonji 
ACT.20.25	Edhe tashti qe unë tek e dij, se ju të gjithë s’keni për me pamë ma faqenë t’eme ndërmiet atyneve qi shkova tue predikuem mbëretënin’ e Perëndisë.
ACT.20.26	Përandai ap deshmi mbë ju sot mbë këte ditë, se unë 
ACT.20.27	Sepse unë nuk’ u shtëmanga mos me u diftuem juve gjith’ andën’ e Perëndisë.
ACT.20.28	Kini kuides pra për vetëhenë tuei, edhe për gjithë tufënë, qi Shpirti Shenjt u vuni juve episkopë përmbi ate, për me kullotunë kishën’ e Perëndisë, të cillën’ ai e fitoi me gjakun’ e vet.
ACT.20.29	Sepse un’ e dij këte, se mbas të ikunit t’em kanë me hymë ndër ju ujq të këqi, pa mos kursyem tufënë.
ACT.20.30	Edhe prei jush vetë kanë me u ngritunë nierës, tue folunë 
ACT.20.31	Përandai rrini qutë, e kujtohi se tre viet nukë pushova nat’ e ditë tue mësuem me lot gjithë-se-cillinë.
ACT.20.32	Edhe tashti, o vëllazën, u la juve te Perëndia, edhe mbë fjalën’ e hirit ati, i cilli mundetë me u ndërtuem e me u dhanë juve trashigim ndërmiet gjith’ atyne qi janë të shenjtënuem.
ACT.20.33	Nukë dëshërova prei askuit argjand e ar e petka.
ACT.20.34	Edhe ju vetë e dini, se këto duert’ e mia kanë punuem për nevojat e mia, edhe për ata qi ishinë bashkë me mue.
ACT.20.35	Gjithë 
ACT.20.36	Edhe si tha këto , u ul mbë gjunjë, e u fal bashkë me ata të gjithë.
ACT.20.37	Edhe 
ACT.20.38	edhe helmoheshinë fort shumë për ate fjalënë qi u pat than’ atyne, se s’kanë për me pamë ma faqen’ e ati. Edhe e përcillinë 
ACT.21.1	Edhe si u hoqëm prei atyneve, lundruem, e erdhëm dreit’ udhësë ndë Ko, edhe tietrënë 
ACT.21.2	Edhe si gjetëm 
ACT.21.3	Edhe kur pam për së largu Kyprën’, edhe e lam mbë të mangjëtë, lundrojim ndë Syri, edhe duelëm jashtë ndë Tyrë, sepse atie kishte për me shkarkuem barrënë lundra.
ACT.21.4	Edhe si gjetëm dishepujtë, mbetëm aty shtatë ditt, të cillët’ i thoshinë Paulit me anë të Shpirtit 
ACT.21.5	Edhe si mbaruem ditt duelëm e vejim; edhe 
ACT.21.6	Edhe si i lam shëndet njiani tietërit, hypëm ndë lundrët; edhe ata u këthyenë ndëpër shtëpiat e veta.
ACT.21.7	Edhe na si mbaruem të lundruemitë, prei Tyrës’ erdhëm ndë Ptolemaidë, edhe si përshëndetëm vëllazënitë, mbetëm nji ditë për-an’ atyneve.
ACT.21.8	Edhe ndë nesëret na qi ishimë më Paulinë duelëm, e erdhëm ndë Kaisari; edhe si hym ndë shtëpit të Filippit ungjilltarit, qi ishte 
ACT.21.9	Edhe kyi kishte shtatë bija virgjinesha qi profetizojinë.
ACT.21.10	Edhe kur mbetëm 
ACT.21.11	Edhe ai si erdhi te na, muer brezin’ e Paulit, edhe lidhi duert’ e kambët’ e veta, e tha: Këto thotë Shpirti Shenjt. Kështu Iudeitë ndë Ierusalem kanë me lidhunë ate burrinë, të cillit ashtë kyi bres, edhe kanë me e dhanë ndë duer të kombevet.
ACT.21.12	Edhe kur ndëgjuem këto, i luteshim na edhe vendësitë mos me hypun’ ai ndë Ierusalem.
ACT.21.13	Por Pauli u përgjeq: Qish bani 
ACT.21.14	Edhe mbassi s’i mbushei mendia, pushuem, e tham: U baftë dashunimi i Zotit.
ACT.21.15	Edhe erthnë bashkë me ne edhe disa dishepuj prei Kaisariet,
ACT.21.16	edhe prunë 
ACT.21.17	Edhe na si erdhëm ndë Ierusalem, vëllazënitë na pritnë me gëzim.
ACT.21.18	Edhe tietrënë 
ACT.21.19	Edhe si i përshëndeti, u diftoi atyne nji ka nji 
ACT.21.20	Edhe ata kur ndëgjuenë, lavduenë Zotinë, edhe i thanë: Shef, o vëlla, sa shumë mijëna janë prei atyne Iudevet qi kanë besuem; edhe të gjithë janë zelltarë për ligjënë.
ACT.21.21	Edhe muernë vesht për tyi, se mëson gjith’ ata Iudeitë qi janë ndër kombet me u larguem prei 
ACT.21.22	Qish ashtë pra 
ACT.21.23	Ban pra këte qi të thomi tyi: Janë ndër ne katër burra qi kanë bamë kusht mbë vetëvetëhenë;
ACT.21.24	merr këta, edhe qirohu bashkë me ata, edhe prish për ata, qi të ruejnë kryetë, edhe të gjithë ta marrinë vesht se s’janë gja ato qi ndëgjuenë për tyi; por 
ACT.21.25	Sa për ata kombet qi kanë besuem, na u dërguem letër, edhe e pam me udhë ata të mos ruejnë t’atillë, veç të ruhenë 
ACT.21.26	- Atëherë Pauli muer me vetëhe 
ACT.21.27	Edhe kur ishinë për me u mbushunë shtatë ditt, ata Iudeitë qi ishinë prei Asisë kur pan’ ate ndë tempull, përzinë gjithë gjindëjenë, edhe vunë duertë mbi ata,
ACT.21.28	tue bërtitunë: O burra Israelitë, 
ACT.21.29	(Sepse ata kishinë pamë përpara Trofim Efesianinë bashkë me ate ndë qytet, edhe kujtojinë se e kishte shtimë Pauli ndë tempull.)
ACT.21.30	Edhe u tund gjithë qyteti, edhe u mbëloth populli; edhe si zunë Paulin’, e tërhoqnë jashtë tempullit, edhe përnjiherë u mbyllnë dyertë.
ACT.21.31	Edhe kur kërkojinë me e vramë, shkoi zani te kapitani i tufësë ushtëtorëvet, se gjithë Ierusalemi ashtë përziem.
ACT.21.32	I cilli përnjiherë muer me vetëhe ushtëtorë e urdhën-qindësa, e vrapëtoi mbi ata. Edhe ata kur panë kapitanin’ edhe ushtëtorëtë, pushuenë tue rrafunë Paulinë.
ACT.21.33	Atëherë kapitani u afërue, edhe e rroku, edhe urdhënoi të lidhetë ne dy 
ACT.21.34	Edhe ndërmiet gjindëjesë thërrisinë 
ACT.21.35	Edhe kur erdhi ndë shkallët, koditi me e mbaitunë mbë kraha ushtëtorëtë për punë të shtrëngimit gjindëjesë.
ACT.21.36	Sepse shumica e popullit shkojinë mbrapa tue bërtitunë: Ngreje ate.
ACT.21.37	Edhe Pauli kur kishte për me hymë ndë kastëll, i thotë kapitanit: Më ndëjehetë di qish me të thanë? Edhe ai i tha: Di Greqisht?
ACT.21.38	Vallë mos je ti ai Egjyptiani qi ngrite mbë kambë para këtyne ditve, edhe nxore ndë shkretinët katër mijë nierës gjak-bamësa?
ACT.21.39	Edhe Pauli tha: Unë jam 
ACT.21.40	Edhe ai si e la, Pauli ndenj mbë shkallët, e tundi dorënë te populli 
ACT.22.1	- O burra vëllazën edhe atënë, pa ndëgjoni mue ç’fjalë u ap juve tashti.
ACT.22.2	(Edhe kur ndëgjuenë se u foli mbë gjuhë Hebraishte, pushuenë ma tepërë; edhe tha:)
ACT.22.3	Unë jam 
ACT.22.4	edhe këte udhë e ndoqa 
ACT.22.5	sikurse edhe krye-prifti deshmon për mue, edhe gjithë pleqësia; prei atyneve mora edhe letëra për vëllazënit, e vota ndë Damaskë, për me prumë lidhunë ndë Ierusalem edhe ata qi ishin’ atie, qi të mundohenë.
ACT.22.6	Edhe kur po shkojem udhësë, edhe ishiem ngjat Damaskësë ndë mies-ditë, befas shkrepi rreth meje 
ACT.22.7	edhe 
ACT.22.8	Edhe un’ u përgjegja: Cilli je 
ACT.22.9	Edhe ata qi ishinë bashkë me mue panë dritënë, edhe i muer frika; por zanin’ e ati qi më fliste nuk’ e ndëgjuenë.
ACT.22.10	Edhe 
ACT.22.11	Edhe mbassi nukë shifiem prei të ndritunit asai dritësë, erdha ndë Damaskë tue u tërhequnë për dore prei atyneve qi ishinë bashkë me mue.
ACT.22.12	Edhe nji farë Anania, nieri besëtar mbas ligjësë, 
ACT.22.13	erdhi tek unë, edhe ndenji përpara, e më tha: Saul vëlla, çil sytë për-së-ri. Edhe unë nd’ate orë çela sytë, e pash’ ate.
ACT.22.14	Edhe ai tha: Perëndia i atënavet t’anë të urdhënoi me ngjofunë dashunimin’ e ati, edhe me pamë të Dreitinë, edhe me ndëgjuem za prei gojës’ ati,
ACT.22.15	sepse do të jesh deshmitar për ate mbë gjithë nierëzit, për sa pe, e ndëgjove.
ACT.22.16	Edhe tashti përse qelle? Ngreu, e u pagëzo, e lai fajet’ e tua, tue thërritun’ emënin’ e Zotit.
ACT.22.17	Edhe mbassi u këtheva ndë Ierusalem, kur ishiem tue u falunë ndë tempull, dola jashtë vetëhesë,
ACT.22.18	edhe pash ate tue më thanë: Nxito, edhe del shpeit prei Ierusalemit, sepse s’do ta presinë deshminë tande për mue.
ACT.22.19	Edhe unë thashë: Zot, ata e dinë, se unë qesh ai qi vejem ndë burk, edhe rrifiem ndëpër synagogat ata qi të besojnë tyi;
ACT.22.20	edhe kur derdhei gjaku i Stefanit martyrit t’yt, edhe unë vetë keshë ndenjunë përpara, edhe ishiem me nji fjalë për vrasëjen’ e ati, edhe ruejem petkat’ e atyneve qi e vrisinë.
ACT.22.21	Edhe më tha: Shko, sepse unë kam me të dërguem lark ndër kombe.
ACT.22.22	Edhe deri mbë këte fjalë e ndëgjuenë, edhe 
ACT.22.23	Edhe ata kur bërtisinë, edhe shkundinë petkatë, edhe hedhinë pluhënë për erë,
ACT.22.24	kapitani urdhënoi me u prumë ndë kastëll, edhe tha me e pyetunë me të rrafëme, qi të marri vesht për ç’punë bërtisinë kështu kundrë ati.
ACT.22.25	Edhe si e shtrinë lidhunë me rrypa, Pauli i thot’ urdhën-qindësit qi ishte ndenjunë përpara: Vall’ asht’ e udhësë mbë ju me rrafunë 
ACT.22.26	Edhe urdhën-qindësi kur ndëgjoi, vote, e i diftoi kapitanit, tue thanë: Shif 
ACT.22.27	Edhe kapitani erdhi, e i tha: Më thuei, a je ti Roman? Edhe ai tha: Po.
ACT.22.28	Edhe kapitani u përgjegj: Unë 
ACT.22.29	Përnjiherë pra u tërhoqnë prei ati ata qi kishinë për me e munduem, por edhe kapitani u frikue, kur muer vesht se ashtë Roman, edhe sepse e kishte lidhunë.
ACT.22.30	Edhe ndë nesëret kur donte me marrë vesht të vërtetënë, për ç’punë përflitei prei Iudevet, e sgjidhi prei hekurash, edhe urdhënoi me ardhunë krye-priftënit’ edhe gjithë bashkë-ndejtia e atyneve; edhe sdrypi Paulin’, edhe qindroi përpara atyneve.
ACT.23.1	Edhe Pauli shtiu sytë ndë bashkë-ndejtiet, e tha: O burra vëllazën, unë deri 
ACT.23.2	Edhe Anania krye-prifti urdhënoi ata qi rrijinë për-an’ ati me i ranë gojësë.
ACT.23.3	Atëherë Pauli i thotë: Perëndia ka për me të ranë, o mur i lyem me këlqere; e ti rri me më gjukuem mbas ligjësë, edhe kundrë ligjës’ urdhënon me më ranë?
ACT.23.4	Edhe ata qi ishinë ndenjunë për-anë thanë: Krye-priftin’ e Perëndisë shan 
ACT.23.5	Edhe Pauli tha: Nuk’ e dita, o vëllazën, se ashtë Krye-prift, sepse ashtë shkruem - “Mos flasish keq për të parin’ e popullit t’yt”.
ACT.23.6	Edhe Pauli si e ngjofi se njiana anë ishte prei Saddukeish, edhe tietëra prei Fariseish, bërtiti ndë bashkë-ndejtiet: O burra vëllazën, unë jam Farise, 
ACT.23.7	Edhe ai si foli këte, Fariseitë filluenë të zihenë me Saddukeit edhe shumica u da 
ACT.23.8	Sepse Saddukeitë thonë se nuk’ ashtë të ngjallunë, as engjull, as shpirt, por Fariseitë rrëfejnë të dyja.
ACT.23.9	Edhe u ba nji të gërthitun’ i madh; edhe shkruisitë qi ishinë me anë të Farisevet u ngritnë, e ziheshinë, tue thanë: S’gjejmë ndonji gja të keqe mbë këte nieri, por ndë i foli 
ACT.23.10	Edhe mbassi u hangrën shumë, kapitani pat frikë mos shqyhetë Pauli prei atyne, edhe urdhënoi të sdrypinë ushtëtorëtë, e ta rrëmbejnë prei miedizit atyneve, edhe ta bijenë ndë kastëll.
ACT.23.11	Edhe natënë tietër’ iu duk Zoti, e i tha: Ki zemërë, Paul, sepse sikurse deshmove për mue ndë Ierusalem, kështu duhetë të deshmojsh edhe ndë Romë.
ACT.23.12	Edhe kur u ba ditë, disa prei Iudevet u mbëlothnë, e nemnë vetëvetëhenë, tue thanë: as të mos hanë, as të mos pinë, deri sa të vrasinë Paulinë.
ACT.23.13	Edhe ata qi kishinë bamë bashkë këte be, ishinë ma shumë se katër-dhetë 
ACT.23.14	të cillët’ erthnë te krye-priftënit edhe te pleqt, e thanë: Me namë kemi nemunë vetëhenë t’onë, të mos vemë gja ndë gojë, deri sa të vrasimë Paulinë.
ACT.23.15	Tashti pra ju me bashkë-ndejtienë bani za kapitanit ta sdrypi te ju nesërë, sikur se keni për me marrë vesht ma mirë për punë t’ati; edhe na, para se të afërohet ai, jemi gati me e vramë.
