GEN.1.1	Íꞌdóngárá gá ꞌdãá, Múngú gbi ꞌbụ̃ pi vũ be. 
ACT.20.11	Kúru Páũlũ pi ní gõzú tụzú jó agá ụrụgégé ꞌdãá, ĩri ní pánga íꞌdụ́zú ũndĩzú, kộpi ní nyazú trụ́. Páũlũ átá cĩmgbá cazú ụ̃ꞌbụ́tịŋá gá, ĩri ní kúru ꞌdezú mụzú. 
ACT.20.12	ꞌBá Yẹ́sụ̃ rĩ ẹ̃ꞌyị̃ꞌbá gí rĩ pi ní kẹ̃rị́mvá rĩ jịzú mụzú ꞌbẹ̃tị́ ꞌdãá ídri rú, ãyĩkõ fụ kộpi ambamba.
ACT.20.13	Páũlũ ụ̃sụ̃, lẽ mụụ́ pá sĩ kụ̃rụ́ Ásõ vé rĩ gé ꞌdãá. Kúru ꞌbá ní ꞌdezú mụzú drị̃drị̃ kũlúmgba sĩ Ásõ gá ꞌdãá, vũrã ꞌbá ní mụzú ꞌbâ ị́sụ́zú Páũlũ pi be rĩ gé. 
ACT.20.14	Páũlũ caá ꞌbâ ị́sụ́ Ásõ gá ꞌdãá, ĩri ní tụzú kũlúmgba agá, ꞌbá ní ꞌdezú mụzú Mĩtĩlénẽ gá ꞌdãá trụ́. 
ACT.20.15	Kã mụụ́ adrií drụ̃ ꞌdíni, ꞌbá ní ꞌdezú mụzú kũlúmgba rĩ sĩ, ꞌbá ẹlịkí mụzú ãngũ ꞌi lịị́pi kú ngụ yị̃ị́ agá Kĩyósĩ vé rĩ ã gãrã gá sĩ. Kã mụụ́ adrií drụ̃ ꞌdíni, ꞌbá ní cazú Sãmósĩ gé. Ụ́ꞌdụ́ ꞌdĩri ã vụ́drị̃ gé drụ̃ ꞌdíni, ꞌbá ní cazú Mĩlétõ gá.
ACT.20.16	Páũlũ ụ̃sụ̃ ándúrú kĩnĩ, ꞌí lẽ agaá kụ̃rụ́ Ẽfésõ vé rĩ ã gãrã gá sĩ, ãꞌdiãtãsĩyã ꞌí lẽ sâ izaá ãngũ Ẹ́zị̃yã vé rĩ agá ꞌdãá ku. ꞌÍ lẽ mụụ́ mbẽlẽ mbẽlẽ, ꞌî ca rí Yẹ̃rụ́sãlémã gá, ícó dõ rá, ụ́ꞌdụ́ Pẽnĩtĩkósĩtã vé rĩ ẽ ị́sụ́ rí ꞌi ꞌdãlé. 
ACT.20.17	ꞌBá kã caá Mĩlétõ gá ꞌdãá, Páũlũ ní ụ́ꞌdụ́kọ́ pẽzú mụzú drị̃koma kãnísã vé rĩ pi ní Ẽfésõ gá ꞌdãá, lẽ kộpi ẽ ímụ́kí ꞌí vúgá nõó.
ACT.20.18	Kộpi kâ ícá, Páũlũ ní ꞌyozú kộpi ní kĩnĩ, “Lókí má ní ícázú ãngũ Ẹ́zị̃yã vé rĩ agá, ꞌbá ní adrizú ĩmi be rĩ gé, ĩmi nị̃kí mávé adringárá rá. 
ACT.20.19	Yãhụ́dị̃ rĩ pi ã ụrụkọ ꞌokí ma ũnjí, sẽ má ní ĩzãngã ambamba, ꞌbo á ꞌbã ma kú mãdã, á ri ẹ̃zị́ ngaá Úpí ní. 
ACT.20.20	Ĩmi nị̃kí rá, má ní tị Múngú vé rĩ ũlũngárá gá, má ũzụ̃ ĩmi ní tã ãzi ãluŋáni kuyé, á ri tã rĩ ímbá gúnyá agá, ãzini ĩmivé ꞌbẹ̃tị́ ãsámvú gé sĩ. 
ACT.20.21	Á ꞌyo Yãhụ́dị̃ rĩ pi ní, ãzini ꞌbá adriꞌbá Yãhụ́dị̃ rú ku rĩ pi ní tã ũkpó ũkpó, lẽ kộpi ã újákí ẹ́sị́ ũnjĩkãnyã agásĩ rá, kộpi ẽ ẹ̃ꞌyị̃kí Múngú ri, ãzini kộpi ẽ ẹ̃ꞌyị̃kí Úpí Yẹ́sụ̃ Kúrísítõ ri.
ACT.20.22	“Sụ̃ Índrí Uletere rĩ ní lũú má ní rĩ tị́nị, á lẽ nóni mụụ́ Yẹ̃rụ́sãlémã gá, ꞌbo á nị̃ kuyé dõ tã ngóni ri mụ ꞌi nga má be ꞌdãlé nĩ. 
ACT.20.23	Kụ̃rụ́ ãlu ãlu má ní cazú rĩ agá, Índrí Uletere rĩ ri ũlũú má ní kĩnĩ, ĩ ma ꞌdụ ꞌbe ĩzãngã nya jó ãngũ ũꞌyĩzú rĩ agá. 
ACT.20.24	ꞌBo tã ngóni ri dõ ꞌi nga má be nĩ, má ụ̃sụ̃ ku, á lẽ ẹ̃zị́ Úpí Yẹ́sụ̃ ní sẽé má ní rĩ ngaá caá ụ̃dụ̃ gé. Ẹ̃zị́ ĩri ní sẽé má ní nõri, ma ri ụ́ꞌdụ́kọ́ múké Múngú vé ẹ́sị́ múké vé rĩ ã tã ũlũ mụzú.
ACT.20.25	“Á ri ẹ́cị́ mãlũngã Múngú vé rĩ ã tã ũlũú ĩmi ní, ꞌbo á nị̃ rá ĩmi ãsámvú gé ꞌdĩgé, ꞌbá ãzi gõ ma ndreé dị̃ị́ ku. 
ACT.20.26	Ãndrũ sĩ á lẽ ꞌyoó ĩmi ní ꞌdíni, ꞌbá rĩ sẽ dõ ꞌi fií drãngárá ꞌdániꞌdáni rĩ agá, adri mâ tã kuyé. 
ACT.20.27	Ãꞌdiãtãsĩyã má ũlũ ĩmi ní tã Múngú ní lẽé rĩ pi ãrẽvú céré rá.
ACT.20.28	“Lẽ ĩmi ũtẽkí ĩmi ũtẽtẽ, ãzini ĩmi ũtẽkí kãbĩlõ Índrí Uletere rĩ ní sẽé kuú ĩmi drị́gé rĩ pi ũtẽtẽ. Lẽ ĩmi úcékí kãbĩlõ Múngú vé adriꞌbá kãnísã agá, ĩri ní jeé ívé ãrí sĩ rĩ pi. 
ACT.20.29	Á nị̃ rá úmvúlésĩ á mụ dõ gí, ꞌbá ụrụkọ ímụ́ ífí ĩmi ãsámvú gé sụ̃ ãrãkíla tị́nị, kộpi ímụ́ kãbĩlõ rĩ pi ꞌo ũnjí. 
ACT.20.30	Ĩmi ãsámvú gé ꞌdĩgé, ꞌbá ụrụkọ ímụ́ tã ũnjõ vé ni ũlũ, kộpi lẽkí ꞌbá rĩ pi ã ãꞌyĩkí tã ĩ ní rií ũlũú rĩ áyu. 
ACT.20.31	Lẽ ĩmi ndrekí múké! Ĩmi ígákí tã má ní adrizú ĩmi ãsámvú gé nõgó cazú ílí na ꞌdãri, á ꞌbã ẹ́sị́ rizú ĩmi ímbázú ụ̃tụ́ŋá pi ị́nị́ŋá be mị̃ị́ndrẹ be mị gé, ĩmi adrikí rí ũkpó ũkpó ĩmivé ẹ̃ꞌyị̃ngárá agá.
ACT.20.32	“Á ku nóni ĩmi Múngú drị́gé, ĩrivé ẹ́sị́ múké rĩ ã adri ĩmi be, ã sẽ ĩmi ã adrikí ũkpó ũkpó, ã sẽ ĩmi ní ngá múké, ĩmi ãlẽkí rí anji ĩri ní ũpẽé gí rĩ pi be trụ́.
ACT.20.33	“Á ꞌbã ẹ́sị́ ꞌbá ãzi vé mũfẽngã drị̃gé kuyé, dõku ꞌbá ãzi vé bõngó drị̃gé kuyé. 
ACT.20.34	Ĩmi nị̃kí rá, á ri ẹ̃zị́ ngaá drị́ mávé nõri sĩ, mâ ĩzã kozú, ãzini ꞌbá má ní rizú ẹ̃zị́ ngazú kộpi be trụ́ rĩ pi ẽ ĩzã kozú. 
ACT.20.35	Ẹ̃zị́ céré má ní ngaá rĩ pi agásĩ, má iꞌda ĩmi ní lẹ́tị ẹ̃zị́ ngazú, ĩmi kokí rí ꞌbá ũkpõ ãkó rĩ pi ẽ ĩzã ãní. Ĩmi ígákí Úpí Yẹ́sụ̃ vé tã ĩri ní ꞌyoó ꞌdãri kĩnĩ, ‘ꞌBá riípi ngá sẽépi rĩ, ĩri tãkíri ị́sụ́ ꞌbá ngá ẹ́ꞌyị́pi rĩ ndẽ rá.’ ”
ACT.20.36	Páũlũ kã átángá ꞌdĩri átá, kộpi ní kũmũcí ũtị̃zú ꞌbá ꞌdĩꞌbée be trụ́, ĩri ní Múngú ri zịzú. 
ACT.20.37	ꞌBá rĩ pi kâ rií Páũlũ ri uꞌdeé ẹzịị́ bẹ̃drị̃ sĩ, kộpi ngakí céré rií ngoóngo. 
ACT.20.38	Kộpi céré adrikí kú ĩzãngã sĩ, ãꞌdiãtãsĩyã Páũlũ ní ꞌyoó kínĩ kộpi ícókí ꞌi ndreé dị̃ị́ ku rĩ sĩ. Kộpi ní kúru Páũlũ ri jịzú mụzú kũlúmgba gá ꞌdãá.
ACT.21.1	ꞌBá kã ꞌbá kãnísã vé drị̃koma rú Ẽfésõ vé rĩ pi kuú, ꞌbá ní tụzú kũlúmgba agá, ꞌbá ní mụzú pịrị cazú Kósĩ gé. Kã mụụ́ adrií drụ̃ ꞌdíni, ꞌbá ní cazú Rõdésĩ gé, kúru ꞌbá ní gõzú ꞌdezú mụzú Pãtárã gá. 
ACT.21.2	ꞌBá ní kpá gõzú tụzú kũlúmgba agá, ꞌbá ní mụzú ãngũ Fõnísĩyã vé rĩ gé. 
ACT.21.3	ꞌBá ní ãngũ ꞌi lịị́pi kú ngụ yị̃ị́ agá ĩ ní zịị́ Sáyípũrãsĩ rĩ ndrezú, ꞌbá agakí ĩrivé wọ̃ọ́kọ̃ ándrélé rú rĩ gélésĩla, ꞌbá ní mụzú Sírĩyã gá. ꞌBá mụkí sịị́ Táyã gá, vũrã ĩ ní rizú ngá kũlúmgba agá rĩ pi uꞌdụzú ãmvé rĩ gé. 
ACT.21.4	ꞌBá ị́sụ́kí ꞌbá Yẹ́sụ̃ ã pámvú ũbĩꞌbá rĩ pi ꞌdãgá, ꞌbá adrikí kộpi be caá ụ́ꞌdụ́ ẹ́zị̂rị̃. Índrí Uletere rĩ ású kộpi, kộpi ꞌyokí Páũlũ ní kínĩ, lẽ Páũlũ ã mụ Yẹ̃rụ́sãlémã gá ꞌdãlé ku. 
ACT.21.5	ꞌBávé sâ adrizú ꞌdãgá rĩ kã dẹẹ́, ꞌbá ní ꞌdezú mụzú. ꞌBá Yẹ́sụ̃ ã pámvú ũbĩꞌbá rĩ pi ãrẽvú céré, ĩvé ũkú rĩ pi be, ĩvé anjiŋá rĩ pi be, kộpi jịkí ꞌbâ fũzú kụ̃rụ́ rĩ agásĩ cĩmgbá cazú yị̃ị́ tị gé ꞌdãá, ꞌbá ní kúru kũmũcí ũtị̃zú Múngú ri zịzú. 
ACT.21.6	ꞌBá ní kúru kộpi ẹzịzú, ꞌbá ní tụzú kũlúmgba agá, kộpi ní ĩ újázú gõzú ꞌbẹ̃tị́.
ACT.21.7	ꞌBá ní ngazú Táyã gá ꞌdãgá, ꞌbá ní ꞌdezú mụzú, ꞌbá mụkí sịị́ Pẽtõlẽmísĩ gé, ꞌbá ní ꞌbâ ọ̃gụ̃pị́ị Yẹ́sụ̃ ri ẹ̃ꞌyị̃ꞌbá gí rĩ pi ẹzịzú, ꞌbá adrikí kộpi be ꞌdãgá ꞌyéŋá ụ́ꞌdụ́ ãlu. 
ACT.21.8	Kã mụụ́ adrií drụ̃ ꞌdíni, ꞌbá ní ꞌdezú mụzú kụ̃rụ́ Sĩzérĩyã vé rĩ gé, ꞌbá mụkí adrií Pĩlípũ vé ãngá. Pĩlípũ ri ꞌbá ụ́ꞌdụ́kọ́ múké Múngú vé rĩ ũlũúpi ni, ĩri ꞌbá ĩ ní ũpẽé ẹ́zị̂rị̃
ACT.21.9	Pĩlípũ ri anji ũkú be sụ, kộpi céré ãgõ ãkó, kộpi ri tã Múngú ní ũlũú kộpi ní rĩ ũlũ ꞌbá rĩ pi ní.
ACT.21.10	ꞌBá adrikí kụ̃rụ́ Sĩzérĩyã vé rĩ agá ꞌdãá ụ́ꞌdụ́ be kárákará, nẹ́bị̃ ãzi rụ́ ni Ãgábũ ꞌi, íbí ímụ́ ãngũ Yụ̃dáyã vé rĩ gélésĩ. 
ACT.21.11	Ágó rĩ kã ímụ́ ꞌbâ ndrengárá gá, íꞌdụ́ Páũlũ vé gõ rií ꞌyĩí ụ́pị́lẹ́ gá rĩ, úmbé ꞌî pá ãní, ãzini ꞌî drị́ ãní, ĩri ní ꞌyozú kĩnĩ, “Índrí Uletere rĩ lũ má ní kĩnĩ, ‘Ambugu Yãhụ́dị̃ rĩ pi vé Yẹ̃rụ́sãlémã gá rĩ pi ímụ́ gõ nõri vé ẹ́ꞌdị́pa rụ, kộpi ĩri úmbé, kộpi ĩri sẽ ꞌbá adriꞌbá Yãhụ́dị̃ rú ku rĩ pi drị́gé.’ ”
ACT.21.12	ꞌBá kã tã ꞌdĩri yịị́, ꞌbâ ꞌbá Yẹ́sụ̃ ri ẹ̃ꞌyị̃ꞌbá gí rĩ pi, ꞌbá adriꞌbá ãngũ ꞌdãri agá rĩ pi be, ꞌbá mãkí Páũlũ ri, ꞌbá kĩnĩ, ã mụ Yẹ̃rụ́sãlémã gá ꞌdãá ku.
ACT.21.13	Kúru Páũlũ ní újázú kĩnĩ, “Ngá ĩmi ní rizú ngozú rĩ ãꞌdi? Ãzini ngá ĩmi ní rizú ĩzãngã sẽzú mâ ẹ́sị́ agá ꞌdíni rĩ ãꞌdi? Á lẽ ꞌbá ãzi ã uga ma ku. Má ãꞌyĩ úmbéngárá rĩ rá, ãzini má ãꞌyĩ mụụ́ drãá Yẹ̃rụ́sãlémã gá Úpí Yẹ́sụ̃ vé rụ́ ã tã sĩ rá.” 
ACT.21.14	ꞌBá kã ndreé ꞌbá ícókí Páũlũ ri ugaá ꞌbã ku, ꞌbá ní kúru ĩri ọyụzú. ꞌBá ní ꞌyozú, “Úpí ã ꞌo tã rĩ sụ̃ ꞌî ẹ́sị́ ní lẽé rĩ tị́nị.”
ACT.21.15	Tã ꞌdĩri ã vụ́drị̃ gé, ꞌbá ní ꞌbávé ngá pi ũdrõzú, ꞌbá ní ꞌdezú mụzú Yẹ̃rụ́sãlémã gá. 
ACT.21.16	ꞌBá Yẹ́sụ̃ ã pámvú ũbĩꞌbá adriꞌbá kụ̃rụ́ Sĩzérĩyã vé rĩ agá rĩ pi ã ụrụkọ jịkí ꞌbâ mụụ́ Mẽnẽsónã vé ãngá. Mẽnẽsónã íbí ímụ́ Sáyípũrãsĩ gélésĩ, ĩri ị́nọ́gọ́sị́ ꞌbá Yẹ́sụ̃ ri ẹ̃ꞌyị̃ị́pi gí ni.
ACT.21.17	ꞌBá kã caá Yẹ̃rụ́sãlémã gá ꞌdãá, ꞌbá ẹ́drị́pị́ị, ãzini ꞌbá ọ́mvụ́pị́ị ẹ́ꞌyị́kí ꞌbâ drị́ ị̃rị̃ sĩ. 
ACT.21.18	Kã mụụ́ caá drụ̃ ꞌdíni, ꞌbá ní ngazú mụzú Páũlũ pi be Yõkóbũ ri ndrezú, ꞌbá cakí ị́sụ́ ꞌbá ambugu rĩ pi céré ꞌdãlé anigé. 
ACT.21.19	Páũlũ ní kộpi ẹzịzú, ĩri ní tã Múngú ní ꞌoó ꞌbá adriꞌbá Yãhụ́dị̃ rú ku rĩ pi ãsámvú gé, ụ́ꞌdụ́kọ́ múké ꞌí ní ũlũú rĩ ã tã sĩ rĩ ũlũzú kộpi ní céré.
ACT.21.20	ꞌBá rĩ pi kâ tã ꞌdĩri yịị́, kộpi íngúkí Múngú ri rá. Kúru kộpi ní ꞌyozú Páũlũ ní kínĩ, “ꞌBá ẹ́drị́pị, ꞌí ndre drĩ ká, Yãhụ́dị̃ élĩfũ kárákará ẹ̃ꞌyị̃kí Yẹ́sụ̃ ri rá, kộpi céré ꞌbãkí ẹ́sị́ rizú tãị́mbị́ Mósẽ vé rĩ ꞌdụzú ngazú. 
ACT.21.21	Yãhụ́dị̃ Yẹ́sụ̃ ri ẹ̃ꞌyị̃ꞌbá gí Yẹ̃rụ́sãlémã gá nõgó rĩ pi yịkí kínĩ, mi ri Yãhụ́dị̃ adriꞌbá ꞌbá adriꞌbá Yãhụ́dị̃ rú ku rĩ pi ãsámvú gé rĩ pi ímbá kínĩ, kộpi ã ꞌdụkí tãị́mbị́ Mósẽ vé rĩ ngaá ku, kộpi ã sẽkí ĩvé anjiŋá rĩ pi ã ágélé ẽ tị úlị́ ku, dõku kộpi ã ꞌdụkí mẽrẽ Yãhụ́dị̃ rĩ pi vé rĩ ngaá ku. 
ACT.21.22	ꞌBo nóni kộpi yịkí kínĩ, mí ícá nõgó gí, ꞌbâ ꞌokí rí íngóni? 
ACT.21.23	Lẽ mî ꞌdụ tã ꞌbá ní lũú mí ní rĩ ngaánga. Ãgõ ụrụkọꞌbée sụ ꞌbá ãsámvú gé nõgó sõkí ándúrú ũyõ
ACT.21.24	Ĩmi ngakí mụụ́ ãgõ ꞌdĩꞌbée be trụ́, ĩmi ꞌokí lãꞌbĩ rụ́ꞌbá ũjĩzú adrizú uletere rĩ kộpi be trụ́. Mî ũfẽ mũfẽngã ĩ ní kộpi ẽ drị̃ꞌbí fazú rĩ ũfẽfẽ, ꞌbá ãlu ãlu ã nị̃ rí ꞌyozú kínĩ, tã ĩ ní ꞌyoó mî tã sĩ ꞌdĩri adri tã áda ku, mi ꞌbá riípi Mósẽ vé tãị́mbị́ ꞌdụụ́pi ngaápi ni.
ACT.21.25	“ꞌBá sĩkí kọ̃kọ̃bị́ sẽé ꞌbá adriꞌbá Yãhụ́dị̃ rú ku Yẹ́sụ̃ ri ẹ̃ꞌyị̃ꞌbá gí rĩ pi ní. ꞌBá kĩnĩ, lẽ kộpi ã nyakí ínyá ĩ ní sẽé ngá ĩ ní údé múngú rú rĩ pi ní rĩ ku, kộpi ã nyakí ãnyãpá ĩ ní ãrí ni lịị́ dãá vũgá kuyé rĩ ku, kộpi ã nyakí ãnyãpá ĩ ní umbe ni pií drãá drị́ sĩ rĩ ku, kộpi ã ꞌbãkí ọ̃wụ̃ ku.”
ACT.21.26	Kúru kã mụụ́ adrií drụ̃ ꞌdíni, Páũlũ pi ní ngazú mụzú ãgõ sụ ꞌdĩꞌbée be trụ́, kộpi ní lãꞌbĩ rụ́ꞌbá ũjĩzú ule rĩ ꞌozú. Kúru Páũlũ ní ꞌdezú mụzú Jó Múngú vé rĩ agá ꞌdãá, ĩri ní ụ́ꞌdụ́ rụ́ꞌbá ũjĩzú rĩ vé dẹngárá ã tã lũzú kộpi ní, ã zãkí rí ꞌbá ãlu ãlu ní rọ̃bọ̃ŋọ̃.
ACT.21.27	Ụ́ꞌdụ́ ẹ́zị̂rị̃ rụ́ꞌbá ũjĩzú rĩ kã lẽé dẹẹ́dẹ, Yãhụ́dị̃ ụrụkọ íngáꞌbá ãngũ Ẹ́zị̃yã vé rĩ gé rĩ pi ndrekí Páũlũ ri Jó Múngú vé rĩ agá ꞌdãá. Kộpi íngákí Páũlũ drị̃gé, kộpi rụkí ĩri, 
ACT.21.28	kộpi ní íꞌdózú útrézú ụ́ꞌdụ́kọ́ be ụrụ ꞌdãá kínĩ, “Ĩmi ꞌbá Ĩsẽrélẽ vé ꞌdĩꞌbée, ĩmi kokí ꞌbâ ĩzã! Ágó ꞌdĩri ímbá ꞌbá rĩ pi ãngũ rĩ pi agásĩ céré kĩnĩ, ꞌbávé ꞌbá rĩ pi ũnjí, ãzini ꞌbávé tãị́mbị́ rĩ ũnjí, ãzini ꞌbávé Jó Múngú vé uletere nõri ũnjí. Íjị́ ꞌbá adriꞌbá Yãhụ́dị̃ rú ku rĩ pi ímụ́ Jó Múngú vé rĩ ã bóró gá nõó ímụ́ vũrã uletere rĩ izaá ícá ãzãvũ rú.” 
ACT.21.29	Ãꞌdiãtãsĩyã kộpi ndrekí ándúrú Tõrõfímũ Ẽfésõgú rĩ rikí adrií Páũlũ be trụ́ kụ̃rụ́ agá ꞌdãá, kộpi ụ̃sụ̃kí déna Páũlũ íjị́ Tõrõfímũ rĩ ímụ́ Jó Múngú vé rĩ agá nĩ.
ACT.21.30	ꞌBá kụ̃rụ́ agá rĩ pi ãrẽvú céré íngákí Páũlũ drị̃gé ũnjí ũnjí, ꞌbá rĩ pi ínjúkí vũrã ãndíãndí ni pi agásĩ, kộpi rụkí Páũlũ ri, ízékí ĩri ĩfũú Jó Múngú vé rĩ agásĩ ãmvé. Koro kộpi ní kẹ̃ẹ́tị kání rĩ vé rĩ pi ụ̃pị̃zú. 
ACT.21.31	ꞌBá rĩ pi kâ lẽé kõdô Páũlũ ri ꞌdịị́ drãá, koro ụ́ꞌdụ́kọ́ ní cazú ũgalaku ãmbúgú ãngáráwá rĩ pi vé
ACT.21.32	Koro ĩri ní ívé ũgalaku rĩ pi zịzú ãngáráwá rĩ pi be, kộpi ní njuzú mụzú ꞌbá bị́trị́ká rĩ pi ãsámvú gé ꞌdãá. ꞌBá ĩgãnyãꞌbá rĩ pi kâ ũgalaku ãmbúgú rĩ ndreé ívé ãngáráwá rĩ pi be, kộpi kukí Páũlũ vé fụngárá ãní.
ACT.21.33	Ũgalaku ãmbúgú rĩ ní Páũlũ ri rụzú, ĩri ní tãị́mbị́ sẽzú kĩnĩ, ã úmbékí Páũlũ ri ímvẽ ị̃rị̃ sĩ. Ĩri ní ꞌbá rĩ pi zịzú kĩnĩ, “Ágó nõri ãꞌdi ꞌi? Ágó rĩ ꞌo ãꞌdi ã tã?” 
ACT.21.34	ꞌBá rĩ pi ụrụkọ ngakí rií útré ụ́ꞌdụ́kọ́ be ụrụ ꞌdãá lẹ́tị be ãndíãndí. ꞌBá rĩ pi ní rií útré ụ́ꞌdụ́kọ́ be ụrụ ꞌdãá rĩ sĩ, sẽ ũgalaku ãmbúgú rĩ ị́sụ́ tã pịrị Páũlũ vé tã sĩ kuyé. Ĩri ní tãị́mbị́ sẽzú kĩnĩ, ã jịkí Páũlũ ri vũrã ãngáráwá rĩ pi ní adrizú rĩ gé ꞌdãá. 
ACT.21.35	Páũlũ kã mụụ́ caá vũrã ĩ ní rizú tụzú mụzú ụrụgégé ꞌdãá rĩ gé, ꞌbá bị́trị́ká rĩ pi ĩgãnyãkí ũnjí ũnjí, ãngáráwá rĩ pi ní Páũlũ ri ꞌdụzú mụzú kị́dị́ sĩ, ꞌbá bị́trị́ká rĩ pi ã ꞌokí rí ĩri ũnjí ku. 
ACT.21.36	ꞌBá bị́trị́ká ꞌdekí mụzú Páũlũ ã vụ́drị̃ gé sĩ, kộpi rikí útré ụ́ꞌdụ́kọ́ be ụrụ ꞌdãá kínĩ, “Ã ꞌdịkí ĩri drãá rá, ã ꞌdịkí ĩri drãá rá!”
ACT.21.37	Ãngáráwá rĩ pi kâ lẽé Páũlũ ri jịị́ fií vũrã ãngáráwá rĩ pi ní adrizú rĩ gé ꞌdãá, Páũlũ ní ũgalaku ãmbúgú rĩ zịzú kĩnĩ, “Mi nyo ícó ma ãꞌyĩ átángá átá rá?”
ACT.21.37	Ãmbúgú rĩ ní ꞌyozú Páũlũ ní kĩnĩ, “Mi ícó átángá rĩ átá Gị̃rị́kị̃ tị sĩ rá? 
ACT.21.38	Mí adri nyo Ẽjẽpétõgú ándúrú waápi ásé agá ãríꞌbágú rú ꞌbá ãngũ úꞌdị́ꞌbá ni pi be élĩfũ sụ (4,000) rĩ ꞌi kuyé?”
ACT.21.39	Páũlũ ní újázú kĩnĩ, “Ma Yãhụ́dị̃gú, tịkí ma kụ̃rụ́ Tãrãsísã vé rĩ agá, ãngũ Kĩlĩkíyã vé rĩ agá, kụ̃rụ́ ꞌdĩri ã rụ́ kụkụ. Mí ãꞌyĩ ma, mâ átá ꞌbá rĩ pi ní.”
ACT.21.40	Ũgalaku ãmbúgú rĩ ní ꞌyozú Páũlũ ní kĩnĩ, “Mí átá.” Kúru Páũlũ ní pá tuzú vũrã ĩ ní rizú tụzú mụzú ụrụgégé rĩ gé ꞌdãá, ĩri ní drị́ ꞌbãzú ꞌbá bị́trị́ká rĩ pi ã ũjĩkí kíri. ꞌBá rĩ pi kâ újí kíri gí, ĩri ní kúru átázú kộpi ní Ãrãmáyĩkĩ tị sĩ.
ACT.22.1	Páũlũ ní ꞌyozú ꞌbá bị́trị́ká rĩ pi ní kĩnĩ, “Má ẹ́drị́pị́ị má ẹ́tẹ́pị́ị, ĩmi yịkí drĩ ma ká, mâ ũlũ mávé tã ĩmi ní.” 
ACT.22.2	Kộpi kâ yịị́ Páũlũ átá ĩ ní tã rĩ Ãrãmáyĩkĩ tị sĩ, kộpi újíkí céré kíri. Kúru Páũlũ ní ꞌyozú kĩnĩ,
ACT.22.3	“Ma Yãhụ́dị̃gú, tịkí ma kụ̃rụ́ Tãrãsísã vé rĩ agá, ãngũ Kĩlĩkíyã vé rĩ agá, á mba Yẹ̃rụ́sãlémã agá nõgó. Gãmãlĩyélẽ ímbá ma, á nị̃ tãị́mbị́ ꞌbá ẹ́ꞌbị́pị́ị vé rĩ múké múké, ãzini á ꞌbã ẹ́sị́ céré rizú Múngú ri ị̃njị̃zú, sụ̃ ĩmi ní rií ị̃njị̃ị́ ãndrũ nõri tị́nị. 
ACT.22.4	Má ọ̃cụ̃ ꞌbá Yẹ́sụ̃ ã pámvú ũbĩꞌbá rĩ pi ũnjí ũnjí, úꞌdị́kí ụrụkọꞌbée ũdrãá rá. Má urụ ũkú rĩ pi ãgõ rĩ pi be íjị́ ímụ́ úꞌbé jó ãngũ ũꞌyĩzú rĩ agá. 
ACT.22.5	Átálágú ãmbúgú atala rĩ pi drị̃gé rĩ, ãzini ꞌbá riꞌbá tã lịꞌbá rĩ pi be, kộpi ícó tã má ní rií njeé nõri ẹ̃tị̃ rá. Ãꞌdiãtãsĩyã á mụ kọ̃kọ̃bị́ ẹ́ꞌyị́ kộpi vúgá jịị́ mụzú drị̃koma adriꞌbá Dãmãsékẽ agá rĩ pi ní, mâ mụ rí ꞌbá Yẹ́sụ̃ ri ẹ̃ꞌyị̃ꞌbá gí rĩ pi urụụ́ íjị́ ímụ́ ọ̃cụ̃ụ́ Yẹ̃rụ́sãlémã gá.
ACT.22.6	“Má ní rií mụngárá gá lẹ́tị gé ꞌdĩgé, má kã caá ĩnyiŋá Dãmãsékẽ gá ꞌdãá, ãcí ní dị̃zú ꞌbụ̃ gé ꞌdãásĩ mâ gãrã ĩmgbẽrẽzú kụ́rụ̃. 
ACT.22.7	Má ní ngazú íꞌdézú vũgá, má ní ụ́ꞌdụ́kọ́ yịzú, ụ́ꞌdụ́kọ́ rĩ ní ꞌyozú má ní kĩnĩ, ‘Sáũlã! Sáũlã! Ngá mí ní rizú ma ọ̃cụ̃zú ꞌdíni rĩ ãꞌdi?’ 
ACT.22.8	Má ní zịzú, ‘Úpí, mi ãꞌdi ꞌi?’ Ĩri ní újázú kĩnĩ, ‘ꞌBá mí ní rií ọ̃cụ̃ụ́ rĩ, ĩri ma ꞌi Yẹ́sụ̃ Nãzẽrétãgú rĩ.’ 
ACT.22.9	ꞌBá má ní rií mụụ́ kộpi be trụ́ rĩ pi ndrekí ãcí dị̃ị́pi rĩ rá, ꞌbo kộpi yịkí ụ́ꞌdụ́kọ́ riípi átápi má be rĩ kuyé.
ACT.22.10	“Má ní kúru zịzú, ‘Úpí, mâ ꞌo ãꞌdi?’ Úpí ní ꞌyozú kĩnĩ, ‘ꞌÍ nga ụrụ, ꞌí mụ Dãmãsékẽ gá. ꞌÍ ca dõ ꞌdãlé gí, tã ĩ ní lẽé mî ꞌo rĩ, ĩ ũlũ mí ní rá.’ 
ACT.22.11	Ãcí dị̃ị́pi ãngũ ĩmgbẽrẽépi mâ gãrã gá sĩ ꞌdĩri, sẽ mâ mị ẹ̃sị̃ rá, ꞌbá mụꞌbá má be trụ́ rĩ pi sekí ma mụzú Dãmãsékẽ gá ꞌdãá nĩ.
