GEN.1.1	Wele gug qocna Anut uqa sao mahaca ifanen. 
ACT.5.21	Aposel je toodumeig cocojagen age tempel jo hamol lein. Odimeig me je iwaladein.
ACT.5.21	Ihanec dana iloca dana age uqaca tawein eundecca age Juda agena cegulec cegulecnu maadecebil hu cegulein. Odimeig age aposel cedadi ahocobil cegulec euna age amagana madoqagannu je suldocobil gihacdoc jona len. 
ACT.5.22	Saen tempelnadec cabi dana lein eu aposel ono qee gulucadelein. Eunu age cegulecca limeig maadein, 
ACT.5.23	“Saen ege gihacdoc jona limeb jic cebec eu gagadic bahic menec tatawen foqa. Gihacdoc jo jic cebec cofdoc dana ha tatawegin meciadoqa qa saen ege jic cebec hudimeb dunuh loqa eu ono danaca qee!” adein. 
ACT.5.24	Saen tempel uqa han qalic iloca, ihanec dana benben ageca odi dah mimeig age dadanii aposel dewenega cel ceteh caleia ec cisdoin. 
ACT.5.25	Oodon dana oso humei maaden, “Doiga! Dana age gihacdoc jona madeigan eu tempelna dana me je iwalaadi taweiga!” aden. 
ACT.5.26	Odocob tempel han qalic iloca, uqana han qalic dana ageca belimeig aposel cedadi ahoin. Age dana meenna aqowainnu cucuiein. Eunu age hihibanagana qee cedadi aholoin.
ACT.5.27	Age aposel cedadi hamol ehi limeig cegulec amagana madecebil tawein. Odocob ihanec dana ilo uqa sisiladen, 
ACT.5.28	“Ege age je gatiti maadom, dana i ijanna cain iwaladowain ec maadom qa feiga, age eeta odoin? Dana cajaca iwaladein eu Jerusalem i cunug ihoc len. Odocob age dana i uqana cal mecnu ha ege um qiguqagannu gale adena!” aden.
ACT.5.29	Odocob Pita aposel leihca jejenega hewi maadein, “Ege maha inadec dana jejenega qee toodoqaun. Anut jejeg himec toodoqan. 
ACT.5.30	Ege jajanigeil agena Anut uqa Jisas uqa age na babalecna tuitu qumeig caqusecebil caculimei cal meceb cal mecnadec tulidocob cajen. 
ACT.5.31	Anut uqa dana i tulidocob cajimei eben meulana isec ten bilia. Uqa ege iwalgecca cahahagecca bilina. Uqa Isrel dana agena silailnu tului falicdocnu silail cagasiadigiannu ihoc bilina. 
ACT.5.32	Ege Anut ceteh eu odon eu ege fom eunu qasali maadoqona. Kis Gunha ceteh eu maadena. Anut uqa dana age uqana je toodu odogina eu Kis Gun adena,” adein.
ACT.5.33	Saen cegulec dana age je eu dah mimeig age gemanaga gagadic bahic beben aposel qagaadoqagannu cisdoin. 
ACT.5.34	Euqa agenadec oso, Farisi ijan Gameliel,
ACT.5.35	Odimei cegulec maaden, “Isrel dana, dana i agenu ceteh oso odadoqagannufi batut cisdoigale. 
ACT.5.36	Ge, saen osona Tiudas cali hon. Odimei uqa ija meca ec maden. Odocob dana 400 odi uqaca gabandoin qa uqa qagadogin cal men. Dana uqa toodu coboloig eu filfil buadein. Odocob uqana cabi sanan men eu gauc cal mi qee men. 
ACT.5.37	Eu hedocob Judas Galilidec, dana cajaca cunug sanijadec saenna cali hon uqa dana mati bahic diiadeceb toodoin qa uqaha qocobil cal meceb dana uqa toodoloig eu filfil buadein. 
ACT.5.38+ACT.5.39	Eunu ija maadigina, dana i agena cabi eu maha inadec dana agena oginafi isi jausigian. Euqa eu Anutnu cabi oginafi age wooladecwe qee. Agedodoc Anutca cadoqaga odowainnu dana i agenu ceteh oso cain mahuc odowain. Culadi qisacadeiga!” aden.
ACT.5.38+ACT.5.39	Odocob cegulec age Gamelielna je toodu odoin.
ACT.5.40	Eunu age uqa jejeg toodumeig aposel utaadecebil hamol lein. Odocob age han qalic dana maadecebil age geh bahic qisaadimeig Jisas ijanna me je cain bahic dana maadowainnu cahacadimeig culadecebil belein. 
ACT.5.41	Odocob aposel age cegulec culadein. Anut uqa age Jisasnu majanaga hewecnu eu ihoc ec cisdon eunu bebeli bileig age wawaga ceelen. 
ACT.5.42	Odocob deel cunugna tempelnaca, agena jo cunugnaca Jisas uqa Anutna Krais eunu me je maaadi coboin.
ACT.6.1	Saen osooso hedocob malogom sanijec ohis teten Juda dana Grik je madegina eu madein, “Egena caja wij eu age deel cunug sab siwiadec saenna age gaid hawaadegina,” ein. Eunu Juda dana Grik je madegina, Juda dana Hibru je madeginaca fee dadanein. 
ACT.6.2	Odocob aposel 12-pela eu age malogom cunugca maadecebil cegulecebil maadein, “Ege cewel ocnu cabi u Anutna me je maadecnu cabi culecnu eu cois qee. 
ACT.6.3	Eunu, cotigeil, age dana 7-pela Kis Gun am becca, docca bilegina agenadec nesili ehadecebil ege caja wij sab siwiadecnu cabi cofdocnu madocomun biluqagan. 
ACT.6.4	Egeqa, ege inondocnuca, me je maadecnuca cabi oqan,” adein.
ACT.6.5	Dana am eu age cunugca aposel agena cisdoc aquni madeinnu wawaga me bahic nijen. Eunu age Stiwen, Kis Gunca waug meleec dana, uqa nesili ehudein. Odocob age Filip, Prokoras, Naikena, Taimon, Pamenas, Nikolasca nesili ehadein. Nikolas uqa Juda dana qee, uqa dana Antiokdec. Wele uqa Juda sihul ibuldon. 
ACT.6.6	Dana am nesili ehadein eu age aposelca cedi ehi lein. Odocob age ebenega ilomogana mimeig inondoin.
ACT.6.7	Eunu Anutna je ihoc len. Malogom age Jerusalem bilein agena sanijadec ohis ten. Odocob ihanec dana mati bahic me jenu wawaga meleeceb me je toodu odoin.
ACT.6.8	Stiwen uqa Anut amegna me bilecca, gagadic odocca am bec bibilei uqa kobolkobol odoc gaga odocca benben dana cajaca gemona muden. 
ACT.6.9	Euqa dana leih uqa gami fee dadanein. Age Juda am osonadec, age Cuha Jo Dana Besiadec ein.
ACT.6.10	Euqa Kis uqa cisdoc silecca utennu uqa je maadeceb age uqana uhulec je oso qee felein. 
ACT.6.11	Eunu age dana leih Stiwennu je me qee madecnu fajadein. Age madein, “Ege uqa Moses Anutcanu je me qee mamaden dah mom,” ein. 
ACT.6.12	I edina age dana cajaca, Juda agena matuca, loo je iwaladecca gemanaga aig metein. Age hu Stiwen hewimeig cegulec amagana ehudi lein. 
ACT.6.13	Odimeig age dana leih Stiwennu uhulec je madoqagannu hamol cedi ehi lein. Age madein, “Dana i uqa saen cunug tempel gun ica, Mosesna loo je gun eunuca je me qee gaid madena. 
ACT.6.14	Ege uqa dah mumudeqan madi, Jisas Nasaretdec uqa jo ben i wagalimei loo je weledec Moses ebenigena men euha qee mudimei haun odi igian en,” ein. 
ACT.6.15	Cunug ono cegulecna bilein eu age amaga Stiwen himec deedoin. Odimeig age uqa ola eu ensel ola cinigwe fein.
ACT.7.1	Odocob ihanec dana agena ilo uqa Stiwen sisildon, “Dana i age madegina eu melefo?” don.
ACT.7.2	Stiwen jejeg hewi maaden, “Cotiel memeielca, ija je maadigina dah meiga! Wele ege memige Ebraham Mesopotemia bibilen Haran qee nuec Anut kobolkobolca ono uqaca camasac men. 
ACT.7.3	Odimei madon:
ACT.7.3	‘Hinana sihulca hinana mahaca culimeg maha ija ihachigenna nuuga,’ don.
ACT.7.3	(Jenesis 12.1)
ACT.7.4	Eunu uqa Kaldia agena hatu culimei nui Haran hatuna bilen. Hibna Ebraham memeg cal meceb Anutna odudeceb hu hatu i qila age bileginana bilen. 
ACT.7.5	Anut odonqa uqa maha naha uqana bahic oso qee utel, maha mita osahic bahicha qee utel. Euqa Anut utigiannu je hahun maden. Anut uqa Ebraham melca qeeqa eu uqana bahicca uqana sihul hibna biluqagan eu ageca agena biligian ec je hahun maden. 
ACT.7.6	Anut uqa edi madon:
ACT.7.6	‘Hinana sihul age hatu filna cele dana biluqagan.
ACT.7.6	Ono age gahidoc cabi oqagan,
ACT.7.6	odocob age qisaadebil cabi ooig cabi gel 400 ono biluqagan.
ACT.7.7	Euqa dana me qee madoqagan eu ija wadac me qee adigen.
ACT.7.7	Eu hedocob hibna age hatu eu culimeig hu ene bibileig ija binani suluqagan,’ don.
ACT.7.7	(Jenesis 15.13-14)
ACT.7.8	Odocob Anut uqa Ebraham bal cehec jenu deweg cagu qoc kobol uten. Odocob Aisak cali hon. Deel 8-pela hedocob Ebraham uqa Aisak deweg cagu qon. Odocob Aisak hibna melah Jekob cali hon. Odocob hibna Jekob melahul 12-pela cali hoin. Dana 12-pela i age egena sihul gug 12-pela memigeil bahic,” aden.
ACT.7.9	“Jekob melahul age waliniga Josefnu heel memeig age Isip hatu ono gihacdoc cabi ugiannu suldoin, euqa Anut uqaca bilen. 
ACT.7.10	Odimei uqana culumen cunugnu besiton. Saen Josef uqa Isip agena king amegna bilen Anut uqa duman meca, cisdoc meca uten. Odocob king hatu eu cofdoc biligiannu muden. Uqaha uqadodoc jo cofdoc biligiannu muden. 
ACT.7.11	Odocob saen euna Isip hatuca, Kenan hatuca ono sabnu cahel aqen. Odocob dana cajaca mel cunug wen bilein. Ege jajanigeil age sab ocnu cabi bahic. 
ACT.7.12	Odocob Jekob Isip hatu ono sabca ec dumei uqa melahul ege jajanigeil age casac suladeceb wele age qee lecna lein. 
ACT.7.13	Odocob age Isip ono li lecisdocobil Josef uqa waliniga ec maadeceb doin. Odocob Isip agena king uqa Josefna sihulnu dugia bili hon. 
ACT.7.14	Eunu Josef uqa memeg Jekobna je suldon. Odimei madon, ‘Sihunel cunug dana caja 75 cunugca age Isip ene hoqagan,’ don. 
ACT.7.15	Odocob Jekob Isip nuen. Ono uqaca uqa melahulca cal mein. 
ACT.7.16	Age Josef Jekobca dewenela ganac Sekem ono ehi nui Ebraham heel eu Hemo sihul agenadec qaig silwana fajen euna heel cisalein,” aden.
ACT.7.17	“Saen Anut uqa Ebraham je hahun madon eu wele dodoldodon egena sihul ha Isip hatuna ono fulusdon. 
ACT.7.18	Saen euna king oso uqa Josefnu qee doc Isip ono calimei hatu eu cofdon. 
ACT.7.19	Uqa egena sihul uhuladimei uqa qisaadi maadeceb age agena mel sim basoloig eundec cal mecnu ehadi nui maha gemo culadoloig. 
ACT.7.20	Saen euna Moses uqa cali hon. Uqa mel galeca bahic, uqa jagel cijed memegna jobon bilen. 
ACT.7.21	Odocob saen uqa jobondec ehi nui fil mudein euna king ateg uqa umei melah bahic cinigwe cofdodon ben men. 
ACT.7.22	Uqa Isip agena kobol docca iwaldodogin ben men, eu uqana je madec odocca eu gagadic men,” aden.
ACT.7.23	“Saen Moses uqana cabi gel 40 odi uqa cotugul Isrel eu ono li feciadigiannu cisdon. 
ACT.7.24	Ono nuimei uqa Isipdec dana oso Isreldec oso qoqon fimei eunu uqa li Isreldec wadacdocnu cesuldumei Isipdec qocob cal men. 
ACT.7.25	Uqa Isrel dana eu age Anut besiadigiannu cabi uten ec odi doqagan ec cisdon qa eu age odi qee cisdoloin. 
ACT.7.26	Deel osona uqa Isreldec dana lecis cacadesin mecialimei uqa cahacalimei tanawaligiannu odon. Odimei maalen, ‘Se, dana lecis ale Isreldec himec. Odi eetanu cadesina?’ alen. 
ACT.7.27	Euqa oso uqa cotig wadon eu Moses gesac sundumei madon:
ACT.7.27	‘In hina ege cofgecca gesilgecca mihen?’ don.
ACT.7.27	Uqa sisildon, 
ACT.7.28	‘Hina cum Isipdec qagadoganwe odi ijaha qagateganfo?’ don.
ACT.7.28	(Kisim Bek 2.14)
ACT.7.29	Moses je eu dah mimei uqa Isipdec busali nui Midia mahana ono bilen. Ono uqa aideg mel manahal lecis basalen,” aden.
ACT.7.30	“Cabi gel 40 hedocob Tibudna ensel na nag oso ja cijec belicanna tatawen fen, wadauna
ACT.7.31	Moses eu odi fimei tumatumaen. Odimei cisdudu fi cuhadugia eunu na nag eu cemenugca len. Euqa dodoldodon uqa Tibud jejeg dah men.
ACT.7.32	‘Ija hina jajaninel agena Anut, ija Ebraham, Aisak, Jekobca agena Anut,’ en.
ACT.7.32	(Kisim Bek 3.6)
ACT.7.32	Odocob Moses qelelimei jejeg cali honna isec feciecnu culen. 
ACT.7.33	Odocob Tibud Moses madon:
ACT.7.33	‘Cudun hina tawaga eu maha gun.
ACT.7.33	Eunu hina jaim tacec eu huluga.
ACT.7.34	Isip dana age ijana dana cajaca me qee odadegina eu ija figina.
ACT.7.34	Ija agena sogoec eu dah migina eunu ija besadigennu niga.
ACT.7.34	Qila, ija hina sulhecemin Isip hatuna nuegan,’ don,” aden.
ACT.7.34	(Kisim Bek 3.5, 7-8, 10)
ACT.7.35	“Moses i Isrel dana age uqanu cuculeig sisildoin, ‘In hina ege cofgecca gesiligecca mihen?’ doin. Euqa Anut uqa ensel na nag oso ja cijec belicanna tatawen fen uqa ebenna besiadimei cofadigiannu suldon. 
ACT.7.36	Uqa Isrel dana Isipdec ehadi nuen. Uqa kobolkobol gagadic odocca Isip onoca macas golcana odon. Odocob cabi gel 40 leceb wadauna ha odon. 
ACT.7.37	Moses i uqa Isrel dana maaden:
ACT.7.37	‘Anut ija ageca sulteceb homwe eu odi uqa je hahun madec dana oso hibna age gemonadec ageca suldocob hugian,’ aden.
ACT.7.37	(Loo 18.15)
ACT.7.38	Moses uqa Isrel tamanecca wadauna ono bilein, saen euna uqa ege jajanigeilca bibilegin ensel uqa Sainai aluhna ono je madon eu uqa cebac bilec je igecnu uten,” aden.
ACT.7.39	“Euqa ege jajanigeil Mosesna je qee toodoloin. Uqa gesac sundodoig age haun Isip ceseloqagannu cisdoin. 
ACT.7.40	Eunu age Eron madoin:
ACT.7.40	‘Ege kadan tibud mudadigecem ege jic aqunigeiga.
ACT.7.40	Ege dana Moses egina uqa Isipdec ehigi ahon eu ana nuia qee doqona,’ doin.
ACT.7.40	(Kisim Bek 32.1)
ACT.7.41	Eunu age uhulec kadan tibud eu bulmakau nag ihicon qu mudein. Uqa ihandoin. Odimeig sab ben cicileig uhulec kadan tibud agedodoc mudeinnu celeboein. 
ACT.7.42+ACT.7.43	Eunu Anut age hibemaden. Odimei Anutna je hahun madec dana agena jaqec jena taweia eu madenawe:
ACT.7.42+ACT.7.43	‘O Isrel dana caja! Age cabi gel 40 wadauna cocoboig dool aqimeig ihanoloig saen euna age ijanu ihantoloig ec cisdoginafo?
ACT.7.42+ACT.7.43	Age Molekna jo talahca Refan tibud uqana malaqa ihiconca gahialein.
ACT.7.42+ACT.7.43	Eu uhulec kadan tibud himec age eunu cuha foqagannu mudein.
ACT.7.42+ACT.7.43	Eunu ija age Babilon hibilohu isec suladecemin beli biluqagan,’ madenawe
ACT.7.42+ACT.7.43	(Amos 5.25-27)
ACT.7.42+ACT.7.43	odi Anut uqa malaqa sao ohis binan suluqagannu ahawaaden,” aden.
ACT.7.44	“Ege jajanigeil age wadauna bibileig talah jo eu Anut ageca bilen eu ihacaden. Anut Moses mudigiannu madon odi mudein, uqana hahun Moses fen eu odi mudein. 
ACT.7.45	Hibna ege jajanigeil talah jo memegail mudein eu gahidumeig Josua toodocobil belimeig maha hatu Anut dana eunadec cunug qee maden eu oqagannu belein. Odocob talah jo eu maha euna bibilen leceb Dewid king cali hon. 
ACT.7.46	Dewid uqa Anut amegna me bileceb Anut uqa Dewidnu gale don. Uqa Jekobna Anut sisildon, ‘Hina cois tecemfi ija jo hina bilegannu cehihigen,’ don. 
ACT.7.47	Euqa Solomon uqa jo eu cehiton,” aden.
ACT.7.48	“Euqa Anut Ohis Bahic uqa jo dana ceheginana qee bilina. Ge, Anutna je hahun madec dana odi maden:
ACT.7.49	‘Tibud madena, “Sao jobon eu ijana bilec bahim.
ACT.7.49	Odocob maha eu ija jaimi mec cabal.
ACT.7.49	Cel jo adec bahic ija cehitegan? Cel cudunna ija biligen?
ACT.7.50	Ceteteh cunug i ija ebenina mudem,” ena,’ en,” aden.
ACT.7.50	(Aisaia 66.1-2)
ACT.7.51	“Age Anutna je toodoc dana qee! Age wawaga eu haiden dana cinigwe! Age dahiniga me je dah mecwe qee! Age jajanagail Kis Gun cahacdoloigwe eu odi age ha Kis Gun gaidgaid cahacdogina. 
ACT.7.52	Age jajanagail Anutna je hahun madec dana cunug dewenega tuadein. Je hahun madec dana eu age madein, ‘Hibna Anut uqa uqana Dana Ititom Bahic egeca suldugian,’ ein eu age aqein. Odocob qila age Dana Ititom i age balijimeig qoin. 
ACT.7.53	Anutna ensel Mosesna loo je adein eu age oin. Euqa age qee toodoloin,” aden.
ACT.7.54	Odocob cegulec dana je eu dah mimeig age gemanaga geh bahic beceb maimaga kicododoig gemanagaca mecidoin. 
ACT.7.55	Euqa Stiwen Kis Gun waugna am beceb sao jobon tatiimei Anutna kobolkobol fimei Jisas Memeg eben meulana isec tatawen fen. 
ACT.7.56	Odimei Stiwen maaden, “Feiga! Ija sao jobon cebec hudeceb Dana Melah Anut eben meulana isec tatawen figina!” aden.
ACT.7.57	Uceldodoig cegulec dana ebenegana dahiniga cit qoin. Odimeig age cunug bahic gulu qahi cemenug lein. 
ACT.7.58	Hewi qelecebil taun ben hibiloh isec leceb meen heli qoin. Dana age Stiwenna je dah mein eu age agena lotoc dana haun oso, ijan Sol, jaihna olomdoin.
ACT.7.59	Meenna odi ququ ninijegin Stiwen uqa Tibud inondudu madon, “Jisas Tibud ija doloni oga!” don. 
ACT.7.60	Uqa mahana gob cehimei gehca utai madon, “Tibud! Hina i agena silail inu dahin celeiale!” don. Uqa eu odi dih mamadi ha cal men.
ACT.8.1	Odocob dana age Stiwen qocobil cal men eunu Sol eu tutuc ec cisdon.
ACT.8.1	Age gihacdoc jona madecnu saen euna sanan mimeig wawaga meleec tamanec Jerusalem bilein aaqati tooadein. Eunu dana wawaga meleec eundec cunug budu Sameria hatuca, Judia hatunaca beladein qa aposel age qee budoloin. 
ACT.8.2	Dana ititom coboc leih age Stiwen heel cisein. Age geh bahic qadaug utein.
ACT.8.3	Euqa Sol uqa wawaga meleec tamanec fadaldocnu cabi on. Uqa jojo cijawdudu cocobi dana cajaca wawaga meleecca eundec diiadi ehi nui gihacdoc jona qeladeceb lein.
ACT.8.4	Dana wawaga meleecca eundec buadein eu cudun cunugna beladein. Odimeig me je qaqasali maaadi coboin. 
ACT.8.5	Odocob Filip uqa Sameria hatu uqana taun benna nuimei ono dana cajaca Anutna Kraisnu me je maaden. 
ACT.8.6+ACT.8.7	Buga me qee dana geh bahic deweneganadec ititacadeceb cali huhu bebeleig geh bahic utaein. Odocob dana mati age ebenega jaimaga cal mecca laleg mecca me mamaden fein. Eunu dana cajaca mati bahic Filip je maaden eu age cunug uqa dah mumudeig odoc kobolkobol odon eu fimeig dah moqagannu dahiniga cehi cuhadoin. 
ACT.8.8	Odocob taun ben euna geh bahic ceelein.
ACT.8.9	Odocob ceeh dana oso, ijan Saimon, ono biloloi. Uqa saen cecelac dana Sameriadec amagana mahanadec odoc kobolkobolca oodon age tumatumaoloig. Ija binanica adoloi. 
ACT.8.10	Odocob taun ben eunadec dana ijanagaca, dana ijanagaca qee age cunug uqa je mamaden cehna dah mudi biloloig. Age odi madein, “Dana i eu Anutna gagadic odocca uqa Gagadic Odoc Ben odocca egina,” ein. 
ACT.8.11	Uqa uqana mahanadec odoc kobolkobolca saen cecelac bahic oodon tumatumaein eunu age uqa je mamaden cehna dah mudi biloloig. 
ACT.8.12	Euqa saen Filip uqa me je Anutna culnuca, Jisas Kraisnuca qasali maaden eunu dana cajaca cunug wawaga meleeceb wa joc oin. 
ACT.8.13	Saimon uqadodoc ha waug meleen. Hibna uqa wa joc umei Filip cemenug bahic bilen. Odocob uqa Filip odoc kobolkobolca odocob fimei filiciten.
ACT.8.14	Aposel Jerusalem ono bibileig Sameria dana cajaca Anutna me je oinnu dah mimeig eunu age Pita Jonca sulalecebil ono belesin. 
ACT.8.15+ACT.8.16	Saen ale ono li calimesi ale wawaga meleecca eundec age Kis Gun ageca qee nec ninijen Jisas Tibud ijanna dih wa joc oinnu ale Kis Gun oqagannu inondosin. 
ACT.8.17	Inondodosi Pita Jonca ebenela ilomogana mecebil Kis Gun ageca nen.
ACT.8.18	Saimon uqa Pita Jonca ebenela ilomogana mecebil Kis Gun ageca nen eu fimei Pita Jonca meen qaig aali 
ACT.8.19	maalen, “Ijaha ebeni ilomogana mecemin Kis Gun oqagannu gagadic odoc i itesia,” alen.
ACT.8.20	Euqa Pita jejeg hewi madon, “Ceteh Anut bagol igec hina meen qaigna fajecnu ihoc cisdogonanu hinana meen qaig hinaca oloqanihna nuesia! 
ACT.8.21	Hina wawin meleec eu Anut amegna tutuc qee. Eunu hina ege cabi oqona i ocnu ihoc qee. 
ACT.8.22+ACT.8.23	Anutna bagol igecnu amen qona. Ceteh i ocnu heel magana. Silail calwau mihina eu ija figina. Eunu falicdumeg hinana cisdoc me qeenu Tibud uqa ihocfi hinana silail cagasihigiannu inondoga,” don.
ACT.8.24	Odocob Saimon Pita Jonca maalen, “Odi cain. Ale madesia odi ijaca qee hoiaunnu ijanu Tibud inondosiale,” alen.
ACT.8.25	Odocob ale alena gugnu madimesi Jisas Tibudnu doc euha Tibudna me je madi hedumesi Pita Jonca haun Jerusalem ceseli belesin. Ale Jerusalem ceceseli bilesi jicna Sameria jobon mati bahic me je qaqasali maaadi belesin.
ACT.8.26	Odocob Tibudna ensel Filip madon, “Hina saciadumeg fufu saut isec jic Jerusalemdec Gasa jobon nuec eu toodu nuuga,” don. Jic eu wadau
ACT.8.27	Eunu Filip saciadumei nuen. Nuimei dana Itiopia hatudec jic nunuen fen. Uqa dana bamig selec, uqa Itiopia agena kwinna ilo dana oso. Uqa kwinna meen qaig cofdoc dana. Wele uqa Jerusalem ono Anutnu cuha figia len 
ACT.8.28	qa qila uqa karisna ceseli jobon nuen. Uqa karisna guguli bili uqa Anutna je hahun madec dana Aisaiana buk jaqen eu sanijen. 
ACT.8.29	Odocob Kis Gun Filip madon, “Karis i cocobi cemenug laga,” don. 
ACT.8.30	Odocob Filip cemenug limei uqa je hahun madec dana, Aisaia, uqana buk eu sasanijen dah men. Odimei uqa sisildon, “Hina jaqec je sanijigina eu wawin fogo donafo?” don.
ACT.8.31	Odocob dana eu Filip jejeg hewi madon, “Oso uqa qee silditecebfi ija adi wawi fogo dugian?” don. Odimei uqa Filip karis ohis uqaca teceb biluwasannu cesusdon. 
ACT.8.32	Anutna jaqec je dana eu uqa sanijina eu odi maden:
ACT.8.32	“Uqa sipsip age qocnu ehi leginawe,
ACT.8.32	sipsip nag dana bagic cacagogin tilii jeca qee tawenawe,
ACT.8.32	eu odi uqa je oso qee madel.
ACT.8.33	Saen age cewudodoig tutuc qee gesildoloin.
ACT.8.33	Uqana cebac bilec maha ina eu gohic men
ACT.8.33	Eunu dana oso uqana sihulnu ihoc qee sildiaun,” en.
ACT.8.33	(Aisaia 53.7-8)
ACT.8.34	Odocob dana eu Filip sisildon, “Mataga, je hahun madec dana je i innu madena? Uqadodocnufo, qee dana osonu madena?” don. 
ACT.8.35	Odocob Filip uqa Aisaiana jaqec je sanan mimei me je weledec jaqec je cunugnadec uqa Jisasnu me je eu silditon. 
ACT.8.36+ACT.8.37	Odocob ale jic eu toodu numesi wa osona calesin. Odimesi dana eu madon, “Faga, wa ene nijia. Ija wa joitec oga tenafi in oso ija cahactigian?” don. [Odocob Filip madon, “Hina Jisasnu wawin cunug meleecebfi wa joc ihoc ogan,” don. Odocob uqa jejeg hewi madon, “Jisas Krais eu Anut Melah ija wawi meleena,” don.]
ACT.8.38	Odocob dana bamig selec eu uqa karis cofdoc dana madocob karis tuluen. Odocob Filip dana bamig selec euca wana numesi Filip dana eu wa jouden. 
ACT.8.39	Odocob saen ale wanadec cali becebil Tibudna Kis Filip u hewi nuen. Dana eu Filip haun qee fel qa haun jic eu celeboii toodu nuen. 
ACT.8.40	Odocob Filip uqa ija Asdod ene biliga ec maden. Odimei uqa jobon nagnagna nui me je qaqasali mamadi cocobi nui Sisaria taunna calen.
ACT.9.1	Oodogin Sol uqa haunhaun maden, “Ija Tibudna malogom eu aaqigen,” en. Odimei uqa ihanec dana iloca limei 
ACT.9.2	jaqec je Sol uqa Juda agena cuha jonana Damaskas ono agena cofadec ihacadigiannu utennu sisildon. Jaqec je eu maden, “Sol uqa danafo, cajafo Jisasna Jic eu toodogina eu gulucadifei hewadi jeladimei cedadi Jerusalem ene ahugian eu cois,” en. Odocob uqa jaqec je eu uteceb Damaskas ono nuen.
ACT.9.3	Uqa Damaskas nunui bili taun ben eu cemenug hohon nag odi bahic fulacdoc sao jobondec uqa falei talildon. 
ACT.9.4	Odocob uqa mahana toni mahulimei jejeg oso madocob dah men, “Sol, Sol! Hina eetanu ija jabiti tootootagana?” don.
ACT.9.5	Odocob Sol sisildon, “Tibud, hina in?” don.
ACT.9.5	Odocob uqa jejeg hewi madon, “Ija Jisas, hina jabi tootoodogona eu. 
ACT.9.6	Euqa cajimeg taun benna laga. Ono oso hina eeta odogannu eu mahigian,” don.
ACT.9.7	Mamadesinqa dana Sol gami belein eu age je oso mamadi qee tawelein. Age tiliein. Age jejeg dah mein qa dana oso qee felein. 
ACT.9.8	Odocob Sol mahanadec cajimei ameg huleldon qa meciecwe qee. Eunu age eben hewalimeig qagasadudu nui Damaskas taun dunuh lein. 
ACT.9.9	Odocob deel cijed hedocob uqa meciecwe qee eu odi bilen. Odocob deel eu dunuhna wa gab sabca ha qee jel.
ACT.9.10	Odocob saen euna malogom oso, ijan Ananaias, uqa Damaskas taunna bilen. Odocob Tibud uqa majaudocna madon, “Ananaias!” don.
ACT.9.10	Odocob uqa jejeg hewi madon, “Tibud, ija ihen,” don.
ACT.9.11	Odocob Tibud madon, “Cajimeg jic ijan Tutuc euna nuimeg Judasna jona limeg sisilaga, ‘Dana oso, ijan Sol, uqa Tasasdec ene biliafo?’ aga. Faga, uqa inondudu bilia. 
ACT.9.12	Uqa majaudocna dana, ijan Ananaias, uqaca hocob haun meciigiannu eben tatacan meceb mecieia,” don.
ACT.9.13	Euqa Ananaias jejeg hewi madon, “Tibud, dana inu je mati bahic uqa hinana qagu coboc dana cajaca Jerusalem ono bibilegin ihulahaladena ec matein. 
ACT.9.14	Odocob uqa jaqec je oso ihanec dana benben agenadec hewi ene hon. Jaqec je eu dana cajaca cunug age hina binain sulegina hewadi jeladimei cedadi Jerusalem ono ehi nuigiannu cois en,” don.
ACT.9.15+ACT.9.16	Euqa Tibud madon, “Juda dana qee ageca, agena king ageca, Juda dana ageca ija ijani hewi ageca nuecnu ija cabi inu nesili ehudem. Odocob ijadodoc uqa ija ijaninu dain doc ganic ugiannu ihacdugen. Eunu nuuga,” don.
ACT.9.17	Eunu Ananaias cocobi nui jona limei eben Sol tatacan mimei uqa madon, “O coti Sol, Jisas Tibud jic homna hina camas men uqadodoc hina haun meciegannuca, Kis Gun am bec ogannuca sulteceb huga,” don. 
ACT.9.18	Odocob mahuc bahic ceteh oso dool gonon cinigwe Sol amegnadec cagati toneceb meciimei ceteteh meciaden. Uqa caji taweceb Ananaias wa jouden. 
ACT.9.19	Odocob hibna uqa sab jimei uqana gagadic odoc haun ceseli on.
ACT.9.19	Odocob Sol uqa malogom gami age Damaskas ono deel osooso ageca bilein. 
ACT.9.20	Uqa Juda agena cuha jonana limei Jisasnu me je maaden, “Jisas uqa Anut Melah,” aden.
ACT.9.21	Odocob cunug uqa je eu madeceb dumeig tumatumaein. Odimeig sisilein, “Dana i uqa qeefo Jerusalem ono dana cajaca age ijan i binan sulegina eu aqena? Odocob uqa dana caja enedec hewadi jeladimei ihanec dana benben ageca ehadi Jerusalem ono ehi ligiannu ene qee holfo?” ein. 
ACT.9.22	Euqa Solna me je madec eu gagadic odocca bahic haun men. Odocob uqana je madec Jisas uqa Anutna Krais eu mele bahic fimeig Juda dana Damaskas bilein age uqa jejeg hewi madocwe qee.
ACT.9.23	Odocob hibna deel mati hedocob Juda dana cegulimeig Sol qoqagannu je togodoin. 
ACT.9.24	Euqa age uqa Juda dana age qihuqagannu je togodogina ec doin. Juda age cahineg witicca uqa qoqagannu taun ben uqana jic cebec ben eu cofdoloig. 
