GEN.1.1	Y'n dalleth Duw a formyas an nev ha'n nor. 
ISA.27.7	Po a vons ledhys kepar dell veu ledhys an re a's ladhas?
ISA.27.8	Orth aga fellhe, orth aga divroa ty a strivyas gansa;
ISA.27.8	gans y hwyth fers ev a's removas yn dydh gwyns an Est.
ISA.27.9	Rakhenna, yndellma anewnder Yakob a vydh prenys,
ISA.27.9	ha hemma a vydh an frut leun ow treylya dhe-ves y begh:
ISA.27.9	pan worr oll meyn an alter
ISA.27.9	avel meyn krey dralyes,
ISA.27.9	ny sev Asherim nag alteryow ynkys.
ISA.27.10	Rag an sita gerys a vydh hy honan oll,
ISA.27.10	trigva ynyal ha forsakys;
ISA.27.10	ena an leughi a beur,
ISA.27.10	hag ena i a wrowedh ha devorya pub barrenn.
ISA.27.11	Pan yw sygh hy skorrow, yth yns terrys dhe-ves;
ISA.27.11	benynes a dheu ha'ga enowi.
ISA.27.11	Rag homm yw pobel heb konvedhes;
ISA.27.11	rakhenna ny gemmer aga Kreador truedh anedha,
ISA.27.11	ha ny dhiskwedh aga Gwrier favour dhedha.
ISA.27.12	Y'n jydh na an 
ISA.27.13	Hag y'n jydh na, an hirgorn bras a vydh hwythys, ha'n re a veu kellys yn pow Assyria, ha'n re a veu divroys yn pow Ejyp a dheu ha gordhya an 
ISA.28.1	Go-hi gurun woethus pennow-medhow Efraym,
ISA.28.1	ha bleujenn gwedhrys y dekter splann,
ISA.28.1	usi war benn nans fethus an re medhwys gans gwin!
ISA.28.2	Otta, yma dhe'n Arloedh onan yw krev ha galloesek,
ISA.28.2	kepar ha tewedh keser, annawel terroesus,
ISA.28.2	kepar ha tewedh dowrow meur ow fenna.
ISA.28.2	Gans y leuv ev a's deghes yn-nans dhe'n nor.
ISA.28.3	Trettys yn-dann dreys a vydh
ISA.28.3	kurun woethus pennow-medhow Efraym.
ISA.28.4	Bleujenn wedhrys an tekter splann
ISA.28.4	usi war benn an nans fethus
ISA.28.4	a vydh kepar ha'n kynsa figysenn kyns an hav;
ISA.28.4	piwpynag a's gwel
ISA.28.4	ev a's lenk, kettell y's teffo yn y balv.
ISA.28.5	Y'n jydh na 
ISA.28.5	garlont a dekter rag remenant y bobel,
ISA.28.6	ha spyrys a wirvreus dhe neb a esedh yn breus,
ISA.28.6	ha nerth dhe'n re a dreyl an vatel dhe-ves dhiworth an yet.
ISA.28.7	An re ma ynwedh a drebuch dre win,
ISA.28.7	ha sowdhanas dre gorev;
ISA.28.7	oferyas ha profoes a drebuch dre gorev,
ISA.28.7	ha sowdhanas dre win,
ISA.28.7	i a sowdhan dre gorev;
ISA.28.7	i a drebuch yn gwelesigeth,
ISA.28.7	ha gwandra yn ervirans.
ISA.28.8	Rag oll moesow yw leun a hwyj ha kawgh;
ISA.28.8	nyns eus tyller vyth glan.
ISA.28.9	‘Piw y tysk ev skians dhodho?
ISA.28.9	Piwiw y styr an messaj dhodho?
ISA.28.9	An re didhenys dhiworth leth,
ISA.28.9	an re diberthys dhiworth an dhiwvronn?
ISA.28.10	Rewl war rewl, rewl war rewl,
ISA.28.10	linenn war linenn, linenn war linenn,
ISA.28.10	banna omma, banna ena.’
ISA.28.11	Yn hwir, gans gweusyow estren
ISA.28.11	ha gans taves alyon
ISA.28.11	ev a gews orth an bobel ma,
ISA.28.12	dhedha may leveris
ISA.28.12	‘Homm yw an bowesva,
ISA.28.12	gwrewgh an den skwith dhe bowes,
ISA.28.12	ha hemm yw tyller diskwitha’,
ISA.28.12	mes ny vynnens klewes.
ISA.28.13	Ger an 
ISA.28.13	‘Rewl war rewl, rewl war rewl,
ISA.28.13	linenn war linenn, linenn war linenn,
ISA.28.13	banna omma, banna ena’,
ISA.28.13	rag mayth ellons ha koedha war-dhelergh
ISA.28.13	ha bos terrys, ha maglennys, ha kemmerys.
ISA.28.14	Rakhenna klewewgh ger an 
ISA.28.14	a rewl an bobel ma yn Yerusalem.
ISA.28.15	Rag hwi dhe leverel, ‘Ni re wrug kevambos gans ankow,
ISA.28.15	ha gans ifarn ni re wrug akord;
ISA.28.15	pan dremen an skorja avel liv ow fenna,
ISA.28.15	ny dheu dhyn ni;
ISA.28.15	rag ni re wrug gow agan skovva,
ISA.28.15	ha ni re omgudhas yn falsuri’ –
ISA.28.16	rakhenna yndellma y lever an Arloedh 
ISA.28.16	Otta, yth esov ow gorra selven yn Sion,
ISA.28.16	men prevyans,
ISA.28.16	pennmen drudh, selven sur;
ISA.28.16	piwpynag a grys ny vydh fysk.
ISA.28.17	My a wra dhe wirvreus bos kordenn-vusura,
ISA.28.17	ha dhe ewnder bos plemmik;
ISA.28.17	keser a skub dhe-ves an skovva a wowyow,
ISA.28.17	ha dowrow a liv dres an gudhva.
ISA.28.18	Agas kevambos gans ankow a vydh removyes,
ISA.28.18	ha'gas gwelesigeth gans ifarn ny sev.
ISA.28.18	Pan dremen an skorja dresowgh avel liv ow fenna,
ISA.28.18	hwi a vydh trettys dhe'n dor ganso.
ISA.28.19	Peskweyth may tremen ev a'gas kemmer;
ISA.28.19	myttin ha myttin y tremen,
ISA.28.19	y'n jydh hag y'n nos.
ISA.28.19	Konvedhes an derivas a vydh pur euth.
ISA.28.20	Rag an gweli yw re gott rag den dhe omystynna warnodho,
ISA.28.20	ha'n ballenn yw re ynn rag den dhe omvaylya.
ISA.28.21	Rag an 
ISA.28.21	ev a gonner dell wrug yn nans Gibeon,
ISA.28.21	dhe wul y weythres, y weythres ankoth,
ISA.28.21	ha dhe oberi y ober, y ober estren.
ISA.28.22	Lemmyn ytho na wrewgh ges,
ISA.28.22	ma na vo agas kadonyow krevhes;
ISA.28.22	rag my a glewas kollva dhe vos ervirys
ISA.28.22	dhiworth an Arloedh, 
ISA.28.23	Goslowewgh ha klewewgh ow lev,
ISA.28.23	attendyewgh ha klewewgh ow lavar.
ISA.28.24	A wra an aradror aras der an jydh oll rag hasa?
ISA.28.24	A wra ev igeri ha kloesya y dir der an jydh oll?
ISA.28.25	Wosa levenhe y enep,
ISA.28.25	a ny skatter fenogel ha hasa kumin,
ISA.28.25	ha gorra gwaneth yn rewyow,
ISA.28.25	heydh yn y dyller ewn,
ISA.28.25	ha gwaneth-spelt yn y or?
ISA.28.26	Y Dhuw a wra y gevarwoedha,
ISA.28.26	ha'y dhyski yn ewn.
ISA.28.27	Rag nyns yw fenogel drushys gans draylell-dhrushya,
ISA.28.27	ha nyns yw ros kert rolys war gumin;
ISA.28.27	mes fenogel yw dornys gans lath
ISA.28.27	ha kumin gans gwelenn.
ISA.28.28	Greun yw melys rag bara,
ISA.28.28	mes ny wra an drushyer drushya bys vykken;
ISA.28.28	ros y gert a rol warnodho,
ISA.28.28	mes ny wra y vergh y vala.
ISA.28.29	Hemma ynwedh a dheu dhiworth 
ISA.28.29	neb yw marthys yn kusul,
ISA.28.29	ha meur y dhoethter.
ISA.29.1	Ogh Ariel, Ariel,
ISA.29.1	an sita may kampyas Davydh ynni!
ISA.29.1	Keworrewgh blydhen dhe vlydhen;
ISA.29.1	gesewgh an goelyow dhe vos a-dro yn kylgh.
ISA.29.2	Mes stroetha Ariel my a wra,
ISA.29.2	hag y fydh oelva ha kynvann,
ISA.29.2	ha hi a vydh dhymmo vy avel oeles alter.
ISA.29.3	My a wra kampya a-derdro
ISA.29.3	ha gul esedhva er dha bynn gans touryow
ISA.29.3	ha drehevel tommennow er dha bynn.
ISA.29.4	Ty a vydh dres isel, ha kewsel dhiworth an dor,
ISA.29.4	ha dha lavar a vydh ankler y'n mes a'n doust.
ISA.29.4	Dha lev a vydh avel nygromons yn-mes a'n dor,
ISA.29.4	ha dha lavar a hwyster yn-mes a'n doust.
ISA.29.5	Mes routh dha estrenyon a vydh avel ponn,
ISA.29.5	ha'n routh fell a vydh avel us ow tremena dhe-ves.
ISA.29.5	Ena yn pols, distowgh,
ISA.29.6	gans taran ha dorgrys ha gans tros meur,
ISA.29.6	gans tewedh hag annawel, ha flamm a dan ow kowlleski.
ISA.29.7	Ena routh oll an kenedhlow a omladh erbynn Ariel,
ISA.29.7	ha pubonan a omladh er hy fynn ha'y hastell, ha'n re a wra hy reudhi,
ISA.29.7	a vydh avel hunros, gwelesigeth a'n nos.
ISA.29.8	Kepar dell wra den nownek hunrosa a dhybri,
ISA.29.8	ha difuna hwath gwag;
ISA.29.8	po den ha syghes dhodho a hunros a eva,
ISA.29.8	ha difuna klamderek, ha'y enev hwath ow polsa,
ISA.29.8	yndella y fydh dhe routh oll an kenedhlow
ISA.29.8	a omladh erbynn menydh Sion.
ISA.29.9	Bedhewgh dyegrys ha penndegys,
ISA.29.9	omdhallhewgh ha bedhewgh dall;
ISA.29.9	bedhewgh medhow, mes a-der gans gwin,
ISA.29.9	trebuchyewgh, mes a-der gans korev.
ISA.29.10	An 
ISA.29.10	spyrys a hun down:
ISA.29.10	Ev re dhegeas agas dhewlagas, hwi brofoesi;
ISA.29.10	ha kudha agas pennow, hwi welesydhyon.
ISA.29.11	An gwelesigeth a hemma oll yw dhywgh kepar ha geryow a lyver selys. Pan y'n rons dhe dhen lettrys, ow leverel ‘Lenn hemma’, yn-medh ev, ‘Ny allav, drefenn y vos selys.’ 
ISA.29.12	Ha pan yw an lyver res dhe dhen anlettrys, ow leverel, ‘Lenn hemma’, yn-medh ev, ‘Ny wonn lenna.’
ISA.29.13	An Arloedh a leveris:
ISA.29.13	Drefenn an bobel ma dhe dhos nes dhymm gans aga ganow
ISA.29.13	hag ow enora gans aga diwweus,
ISA.29.13	mes aga holonn yw pell dhiworthiv,
ISA.29.13	ha'ga own ahanav yw dyskys gans gorhemmynn tus,
ISA.29.14	rakhenna, awotta, my a wra
ISA.29.14	marthusyon arta gans an bobel ma,
ISA.29.14	marthys hag aneth.
ISA.29.14	Furneth aga thus fur a vydh ow mos dhe goll,
ISA.29.14	ha skians aga thus dhoeth a vydh kudhys.
ISA.29.15	Go-i an re a gudh aga husul yn town dhiworth an 
ISA.29.15	ha gul aga oberow y'n tewlder;
ISA.29.15	yn-medhons, ‘Piw a'gan gwel? Piw a'gan aswonn?’
ISA.29.16	Hwi a dreyl an pyth a-wartha dhe woeles.
ISA.29.16	A vydh priweythor tybys avel pri?
ISA.29.16	A lever an pyth yw gwrys a-dro dh'y wrier,
ISA.29.16	‘Ny'm gwrug’?
ISA.29.16	A lever pott a-dro dh'y briweythor,
ISA.29.16	‘Ny gonvedh’?
ISA.29.17	A ny vydh a bur verr spys pan vydh Lebanon
ISA.29.17	dreylys dhe dir feyth,
ISA.29.17	ha'n tir feyth bos tybys avel koeswik?
ISA.29.18	Y'n jydh na an vodharogyon a glew
ISA.29.18	geryow lyver,
ISA.29.18	ha dhiworth duder ha tewlder
ISA.29.18	dewlagas an dhellyon a wel.
ISA.29.19	Arta an re uvel a's tevydh lowena y'n 
ISA.29.19	ha'n voghosogyon a lowenha yn Sans Ysrael.
ISA.29.20	Rag ny vydh an turant na fella,
ISA.29.20	ha'n den a wra ges a dheu dhe dhiwedh,
ISA.29.20	hag oll an re yw hewoel dhe wul meschyv a vydh treghys dhe-ves;
ISA.29.21	an re a dhampen den der er,
ISA.29.21	ha gorra maglenn rag an darsywyas y'n yet,
ISA.29.21	ha treylya breus an den gwiryon gans fals dhustuni.
ISA.29.22	Rakhenna yndellma y lever an 
ISA.29.22	Na fella ny vydh Yakob ow kemmeres meth,
ISA.29.22	ha na fella ny vydh y fas gwannliwek;
ISA.29.23	rag pan wel y fleghes,
ISA.29.23	ober ow diwla, a-ji dhodho,
ISA.29.23	i a sansha ow hanow,
ISA.29.23	ha sanshe Sans Yakob,
ISA.29.23	ha perthi own a Dhuw Ysrael.
ISA.29.24	An re a wander yn spyrys a dheu dhe gonvedhes,
ISA.29.24	ha'n re a grodhvol a dhegemmer dyskans.
ISA.30.1	Go-i an vebyon dhiwostydh, yn-medh an 
ISA.30.1	a dewl towl nag yw ahanav vy,
ISA.30.1	a wra keffrysyans nag yw herwydh ow spyrys vy;
ISA.30.1	may keworrons pegh dhe begh;
ISA.30.2	neb a gerdh dhe mos yn-nans dhe Ejyp
ISA.30.2	heb govynn ow bodh,
ISA.30.2	ha hwilas gweres yn nerth Faro,
ISA.30.2	ha trestya yn goskes Ejyp.
ISA.30.3	Mes nerth Ejyp a vydh meth dhywgh,
ISA.30.3	ha trestya yn goskes Ejyp a vydh disenor.
ISA.30.4	Kyn fo y bennsevigyon yn Soan,
ISA.30.4	ha'y gannasow devedhys bys yn Hanes,
ISA.30.5	pubonan a vydh methek
ISA.30.5	dre bobel nag yw dhe les ragdha,
ISA.30.5	na dhre naneyl gweres na les,
ISA.30.5	mes meth ha keredh maga ta.
ISA.30.6	Profoesans a-dro dhe vestes an Negeb.
ISA.30.6	Dre dir a ahwer hag angoes,
ISA.30.6	a lewes hag a lew owth usa,
ISA.30.6	a nader ha sarf askellek,
ISA.30.6	i a dheg aga rychys war skoedh asenes,
ISA.30.6	ha'ga thresoryow war geyn kowrvergh,
ISA.30.6	dhe bobel nag yw dhe les.
ISA.30.7	Gweres Ejyp yw euver ha diles.
ISA.30.7	Rakhenna my a's henow
ISA.30.7	Rahab Diek.
ISA.30.8	Ke lemmyn, skrif e war leghenn a-ragdha,
ISA.30.8	grav e yn lyver,
ISA.30.8	rag may fo yn dydhyow diwettha
ISA.30.8	dustuni bys vykken.
ISA.30.9	Rag homm yw pobel dhiwostydh,
ISA.30.9	mebyon wowek,
ISA.30.9	mebyon na vynn klewes
ISA.30.9	lagha an 
ISA.30.10	neb a lever dhe'n welesydhyon, ‘Na welewgh’,
ISA.30.10	ha dhe'n brofoesi, ‘Na brofoesewgh dhyn an gwir,
ISA.30.10	kewsewgh orthyn taklow fekyl,
ISA.30.10	profoesewgh husow;
ISA.30.11	kewgh mes a'n hyns, treylyewgh dhiworth an fordh,
ISA.30.11	astelewgh dri Sans Ysrael a-ragon.’
ISA.30.12	Rakhenna yndellma y lever Sans Ysrael:
ISA.30.12	Drefenn hwi dhe dhenagha an ger ma,
ISA.30.12	ha trestya yn arwask ha toell,
ISA.30.12	ha kregi warnedha;
ISA.30.13	rakhenna an kammweyth ma a vydh ragowgh
ISA.30.13	avel aswa yn fos ughel parys dhe goedha, deantell, balek,
ISA.30.13	may teu hy thorrva distowgh, a-dhesempis.
ISA.30.14	Hy thorrva a vydh avel torrva lester priweythor,
ISA.30.14	brewys heb pita,
ISA.30.14	rag na vo kevys yn y vrewyon darn
ISA.30.14	dhe gemmeres tan dhiwar oeles
ISA.30.14	po dhe dhri dowr yn-bann dhiworth dowrargh.
ISA.30.15	Rag yndellma y lever an Arloedh 
ISA.30.15	Yn edrega ha powes hwi a vydh selwys,
ISA.30.15	yn kosoleth ha fydhyans y fydh agas nerth,
ISA.30.15	mes ny'n mynnewgh.
ISA.30.16	Hwi a leveris,
ISA.30.16	‘Na, drefenn ni a fi war vargh’ –
ISA.30.16	rakhenna hwi a fi!
ISA.30.16	ha ‘Ni a varghok war vargh skav’ –
ISA.30.16	rakhenna agas helghysi a vydh skav!
ISA.30.17	Mil a fi a-rag godros onan;
ISA.30.17	rag godros pymp hwi a fi,
ISA.30.17	bys may fowgh gesys
ISA.30.17	avel gwelenn-vaner war benn menydh,
ISA.30.17	avel arwoedh war vre.
ISA.30.18	Rakhenna an 
ISA.30.18	ha rakhenna ev a sev dhe gemmeres truedh ahanowgh.
ISA.30.18	Rag an 
ISA.30.18	gwynnvys yw kemmys a'n gorta.
ISA.30.19	Ytho an bobel yn Sion, trigys yn Yerusalem, ny oel namoy. Ev a gemmer truedh ahanas orth son dha gri; kettell y'n klew, ev a'th worthyp. 
ISA.30.20	Kyn rollo an 
ISA.30.21	Dha dhiwskovarn a glew ger a-dryv dhis, ow leverel, ‘Hemm yw an fordh, kerdhewgh ynni’, pan dreylyowgh dhe'n dyghow, po pan dreylyowgh dhe'n kledh. 
ISA.30.22	Hwi
ISA.30.23	Ev a re glaw rag dha has a hesydh y'n dor, ha bara, askorr an dor, a vydh tew ha pals. Y'n jydh na dha jatel a beur yn peurva efan; 
ISA.30.24	an oghen ha'n asenes a wonedh an dor a dheber boes ha bara an gog lesys dre bal ha forgh. 
ISA.30.25	War pub menydh ughel ha pub bre ughel y fydh goverow ow resek gans dowr, yn dydh an ladhva vras pan goedh an touryow. 
ISA.30.26	Golow an loer a vydh avel golow an howl, ha golow an howl a vydh seythplek, avel golow seyth dydh, y'n jydh may kelm an 
ISA.30.27	Otta, hanow an 
ISA.30.27	gans sorr ow leski, ha gans mog tew ow mos yn-bann;
ISA.30.27	y dhiwweus yw leun a sorrvann,
ISA.30.27	ha'y daves yw avel tan ow tevorya.
ISA.30.28	Y hwyth yw avel avon ow fenna
ISA.30.28	ow trehedhes bys an konna,
ISA.30.28	dhe groedra an kenedhlow gans kroeder a dhistruyans,
ISA.30.28	ha gorra fronn war dhiwen an bobel a wra dhedha mos yn stray.
ISA.30.29	Y'gas bydh kan kepar hag yn nos solempnya goel, ha lowena an golonn, kepar dell gerdhir gans son an bib dhe dhos yn menydh an 
ISA.30.30	An 
ISA.30.31	Rag Assyria a vydh brewys gans lev an 
ISA.30.32	Pub strekys a welenn an geredh a wra an 
ISA.30.33	Rag tanses y loskans
ISA.31.1	Go-i an re a dhiyskynn dhe Ejyp rag gweres,
ISA.31.1	ha kregi war vergh,
ISA.31.1	ha trestya yn charettys rag aga bos lies,
ISA.31.1	hag yn marghogyon rag aga bos pur nerthek,
ISA.31.1	mes ny virons orth Sans Ysrael,
ISA.31.1	na ny hwilons an 
ISA.31.2	Mes ev yw fur hag a dhre drog;
ISA.31.2	ny dhaskelow y eryow,
ISA.31.2	mes ev a sev erbynn chi an dhrogoberoryon,
ISA.31.2	hag erbynn gweresoryon an re a wra sherewynsi.
ISA.31.3	An Ejyptianys yw denel a-der Duw;
ISA.31.3	aga mergh yw kig a-der spyrys.
ISA.31.3	Pan wra an 
ISA.31.3	an gwereser a drebuch ha'n den gweresys a goedh,
ISA.31.3	hag i oll a dhe goll war-barth.
ISA.31.4	Rag yndellma y leveris an 
ISA.31.4	Kepar dell romm lew po lew yowynk erbynn y breydh,
ISA.31.4	pan vo routh a vugeledh gelwys er y bynn,
ISA.31.4	ny berth own a'ga lev
ISA.31.4	na ny'n jeves euth aga thros,
ISA.31.4	yn kettella 
ISA.31.4	dhe vatalyas war venydh Sion, ha war hy bronn.
ISA.31.5	Avel ydhyn ow pargesi, yndella 
ISA.31.5	a vydh skoes war Yerusalem;
ISA.31.5	ev a vydh skoes dhedhi ha'y delivra,
ISA.31.5	hy sparya ha'y sawya.
ISA.31.6	Treylyewgh dhodho ev may hwrussons rebellyans down er y bynn, A vebyon Ysrael. 
ISA.31.7	Rag y'n jydh na pubonan ahanowgh a dhenagh y idolys owrek a wrug agas diwla dhywgh yn pegh.
ISA.31.8	‘Assyria a goedh der an kledha a-der dre wour,
ISA.31.8	ha kledha, nag yw a vab-den, a's devor.
ISA.31.8	I a fi dhe'n fo rag an kledha
ISA.31.8	ha'ga gwer yowynk a vydh gorrys dhe hwel krev.
ISA.31.9	Y garrek a dremen dhe-ves rag euth,
ISA.31.9	ha'y bennsevigyon a gilfi dhiworth an vaner yn skruth’,
ISA.31.9	yn-medh an 
ISA.31.9	ha'y forn yn Yerusalem.
ISA.32.1	Otta, myghtern a reyn yn ewnder
ISA.32.1	ha pennsevigyon a wovern gans gwirvreus.
ISA.32.2	Pubonan a vydh avel kudhva rag an gwyns,
ISA.32.2	ha skovva rag an annawel,
ISA.32.2	avel goverow dowr yn tir sygh,
ISA.32.2	avel an skeus a garrek bras yn tir skwith.
ISA.32.3	Ena ny vydh degeys dewlagas an re a wel,
ISA.32.3	ha diwskovarn an re a glew a woslow.
ISA.32.4	Kolonn an re dhibreder a gonvedh godhvos,
ISA.32.4	ha taves an re a gews yn unn hokya a vydh freth ha kler.
ISA.32.5	Ny vydh an foll gelwys nobyl namoy,
ISA.32.5	na ny vydh drogwas synsys dhe vos hel.
ISA.32.6	Rag an foll a gews follneth,
ISA.32.6	ha' y golonn a wra droktra:
ISA.32.6	ev a wra taklow didhuw,
ISA.32.6	ow kewsel falsuri a-dro dhe'n 
ISA.32.6	ow kul gwag enev an den nownek
ISA.32.6	hag ow skonya ri dowr dhe'n den mayth eus syghes dhodho.
ISA.32.7	Sherewynsi an sherewa yw drog;
ISA.32.7	ev a dewl towlow
ISA.32.7	dhe dhiswul an voghosogyon gans lavarow gowek,
ISA.32.7	hwath pan vo klem an edhommek gwir.
ISA.32.8	An den nobyl a dewl towlow nobyl,
ISA.32.8	hag y'n taklow nobyl ev a sev.
ISA.32.9	Sevewgh, hwi venynes yw attes, klewewgh ow lev;
ISA.32.9	myrghes fydhyansek, goslowewgh orth ow lavar.
ISA.32.10	A-ji dhe blydhen ha nebes dydhyow
ISA.32.10	hwi a gren, hwi venynes fydhyansek,
ISA.32.10	rag trevas an grappys a fyll,
ISA.32.10	ha ni dheu trevas an frut.
ISA.32.11	Krenewgh, hwi venynes yw attes;
ISA.32.11	skruthewgh, hwi yw fydhyansek;
ISA.32.11	omstryppyewgh ha bedhewgh lomm,
ISA.32.11	grogysewgh agas diwglun gans yskar.
ISA.32.12	Gweskewgh war agas diwvronn rag an gwelyow desiradow,
ISA.32.12	rag an gwinbrennyer feyth,
ISA.32.13	rag dor ow fobel
ISA.32.13	le may teu spedhas ha spern yn-bann,
ISA.32.13	rag oll an chiow heudh
ISA.32.13	y'n sita lowen.
ISA.32.14	Rag an kastell a vydh forsakys,
ISA.32.14	tervans an sita a dhifyk;
ISA.32.14	Ofel ha'n tour-goelyas
ISA.32.14	a vydh grugek
ISA.32.14	lowena dhe asenes gwyls,
ISA.32.14	peurva dhe flokkys,
ISA.32.15	erna vo an Spyrys dinewys warnedha a-wartha.
ISA.32.15	Ena an gwylvos a vydh tir feyth,
ISA.32.15	ha'n tir feyth a vydh synsys dhe vos koeswik.
ISA.32.16	Ena gwirvreus a drig y'n gwylvos,
ISA.32.16	hag ewnder a annedh an tir feyth.
ISA.32.17	Ober gwiryonedh a vydh kres,
ISA.32.17	ha sywyans ewnder a vydh kosoleth ha sawder bys vykken.
ISA.32.18	Ow fobel a drig yn peurva hebask,
ISA.32.18	yn annedhow saw, hag yn powesvaow kosel.
ISA.32.19	Kyn fo an koeswik terrys yn-nans gans keser,
ISA.32.19	ha'n sita levenhes orth an dor,
ISA.32.20	gwynnvys vydh an re a wonis has ryb pub avon,
ISA.32.20	ha gasa dhe dreys an ojyon ha'n asen wandra yn rydh.
ISA.33.1	Go-jy, ty dhistruer,
ISA.33.1	mes ny veus distruys;
ISA.33.1	ty a draytas,
ISA.33.1	mes nagonan ny wrug dha drayta.
ISA.33.1	Pan astelydh distrui,
ISA.33.1	ty a vydh distruys;
ISA.33.1	pan astelydh trayta,
ISA.33.1	i a wra dha drayta.
ISA.33.2	A 
ISA.33.2	Bydh agan bregh pub myttin,
ISA.33.2	ha'gan selwyans yn termyn ankres.
ISA.33.3	Orth tros an tervans, poblow a fi dhe'n fo;
ISA.33.3	pan os eksaltys, kenedhlow yw skattrys.
ISA.33.4	Preydh a vydh kuntellys kepar dell ve gans an lokust;
ISA.33.4	avel hes a lokustes i a lamm warnodho.
ISA.33.5	An 
ISA.33.5	ev a lenow Sion a wirvreus hag ewnder.
ISA.33.6	Ev a vydh faster dha dermynyow,
ISA.33.6	rychys a selwyans, furneth ha skentoleth;
ISA.33.6	own a'n 
ISA.33.7	Otta, gwer golonnek a gri y'n stretys;
ISA.33.7	kannasow kres a oel yn hwerow.
ISA.33.8	An fordhow meur yw gwastys,
ISA.33.8	nyns eus tremenyas y'n hyns.
ISA.33.8	An kevambos yw terrys,
ISA.33.8	ha dispresys yw an tiow;
ISA.33.8	ny wrons vri a dus.
ISA.33.9	An tir a gyn ha gwedhra;
ISA.33.9	Lebanon a gemmer meth ha pedri;
ISA.33.9	Sharon yw avel gwylvos,
ISA.33.9	ha Bashan ha Karmel a shak aga del dhe-ves.
ISA.33.10	‘Lemmyn my a sev’, yn-medh an 
ISA.33.10	‘lemmyn my a vydh ughelhes,
ISA.33.10	lemmyn my a vydh eksaltys.
ISA.33.11	Hwi a gonsev us, hwi a dhineyth kulyn;
ISA.33.11	agas anall yw tan a wra agas devorya.
ISA.33.12	An poblow a vydh leskys avel lim;
ISA.33.12	avel spern treghys, leskys vydhons y'n tan.’
ISA.33.13	Klewewgh, an re yw a-bell, pandr'a wrug vy;
ISA.33.13	aswonnewgh ow galloes, an re yw ogas.
ISA.33.14	An beghadoryon yn Sion a berth own;
ISA.33.14	kren a dhalghenn an re dhidhuw:
ISA.33.14	‘Piw ahanan a yll triga gans an tan a dhevor?
ISA.33.14	Piw ahanan a yll triga gans flammow a dhur bys vykken?’
ISA.33.15	An den a gerdh yn ewnder ha kewsel ewnhynseth,
ISA.33.15	neb a dhenagh gwayn a arwask,
ISA.33.15	neb a shak y dhiwleuv ma na synsons falswober,
ISA.33.15	ha stoppya y skovarn ma na glewons a skoellya goes,
ISA.33.15	ha degea y dhewlagas ma na welons drog –
ISA.33.16	ev a vydh trigys y'n ughelderyow,
ISA.33.16	dinasow an karregi a vydh y skovva;
ISA.33.16	y vara a vydh res dhodho, ha ny fyll dowr dhodho.
ISA.33.17	Dha dhewlagas a wel an myghtern yn y dekter
ISA.33.17	i a wel tir owth ystynn pell.
ISA.33.18	Dha golonn a berth kov a'n browagh:
ISA.33.18	‘Ple'ma an den esa ow nivera?
ISA.33.18	Ple'ma an den esa ow poesa an toll?
ISA.33.18	Ple'ma an den esa ow rekna an touryow?’
ISA.33.19	ny welydh an bobel valgh byth moy,
ISA.33.19	pobel a yeth re ankoth dhe gonvedhes,
ISA.33.19	taves koynt angonvedhadow.
ISA.33.20	Mir war Sion, sita agan solempnitys apoyntys;
ISA.33.20	dha dhewlagas a wel Yerusalem,
ISA.33.20	trigva gosel, tylda anwayadow;
ISA.33.20	ny vydh y ebilyer nevra tennys yn-mes,
ISA.33.20	na ny vydh y gerdyn terrys.
ISA.33.21	Mes ena an 
ISA.33.21	tyller a avonyow ha goverow ledan;
ISA.33.21	ny vydh gorholyon gans roevow ow mos ynno,
ISA.33.21	na ny vydh lester bras ow tremena dresto.
ISA.33.22	Rag an 
ISA.33.22	an 
ISA.33.22	an 
ISA.33.22	Ev yth yw neb a wra agan sawya.
ISA.33.23	Dha lovanweyth a greg lows,
ISA.33.23	ny yllons synsi fast sel aga gwern,
ISA.33.23	na gwitha an goel lesys yn-mes.
ISA.33.23	Ena preydh pals a vydh kevrennys;
ISA.33.23	hwath evredhyon a yll pylla.
ISA.33.24	Ny lever annedhyas, ‘My yw klav’;
ISA.33.24	kammweyth an bobel trigys ynni a vydh gevys.
ISA.34.1	Nesewgh, hwi genedhlow, dhe glewes,
ISA.34.1	ha hwi boblow, goslowewgh;
ISA.34.1	klewes an nor ha pup-tra eus ynno,
ISA.34.1	an norvys hag oll y askorr.
ISA.34.2	Rag yma sorrvann dhe'n 
ISA.34.2	ha konnar erbynn oll aga luyow.
ISA.34.2	Ev re's distruis
ISA.34.2	ha'ga ri dhe ladhva.
ISA.34.3	Aga re ledhys a vydh tewlys yn-mes,
ISA.34.3	ha'ga fler a yskynn dhiworth aga horfow;
ISA.34.3	aga goes a res war an menydhyow.
ISA.34.4	Oll lu nev a wra pedri,
ISA.34.4	ha'n ebron a vydh rolys avel rol-skrifa;
ISA.34.4	oll aga lu a wedher
ISA.34.4	dell wedher delenn dhiworth gwinbrenn,
ISA.34.4	dell wedher figys dhiworth figbrenn.
ISA.34.5	Rag ow kledha re evas y walgh yn nev;
ISA.34.5	otta, ev a dhiyskynn war Edom,
ISA.34.5	ha war bobel a wrugavy aga sakra rag breus.
ISA.34.6	Yma dhe'n 
ISA.34.6	gwalghys yw a vlonek,
ISA.34.6	a woes eyn ha gever,
