GEN.1.1	Chongpangpülei Kahvangi vangshothü hatü kahdoknyü ling. 
PRO.23.8	hatü nüngi shahmei etükpü angsha vaidaihen.
PRO.23.9	Ngapa hük danshi nüngi shah te-etei,
PRO.23.9	büpai nüngei kihikon yaktükshasha.
PRO.23.10	Ammei shongpü viong lemchang kü tephintei,
PRO.23.10	nevaijü hashihhathülei kah lenei teyah;
PRO.23.11	Mehenangkü jomei
PRO.23.11	Yangbü-ü wong kohshi nyüke,
PRO.23.11	hatü büpai jom khüambakahen.
PRO.23.12	Nyuhpüvenpü kü nüngi mong shuohtuh,
PRO.23.12	hatü nyinghenhinghen kü nüngei dhaong shaangtuh.
PRO.23.13	Nüngei hapeü hashih mebü-üng ungei-aeihen shuongei tetuh;
PRO.23.13	Nüngi hanbhi-i bheishuohjao jom nedidaipih.
PRO.23.14	Nüngi hapakei bheijüang
PRO.23.14	nüngi jom dihen kübü yanglanghen.
PRO.23.15	Ngelei hapeü, nüngi kon kohshi nyuküjema, ngeiyao mongonghen.
PRO.23.16	Nüngei jubenyeijaangi mehe jiü,
PRO.23.16	ha eküjema, ngei ngelei mongei mongonghen.
PRO.23.17	Nüngei mongdangi mang
PRO.23.17	shennyakthü kü mük tehüh,
PRO.23.17	shejao nüngei 
PRO.23.18	Hingmei nüng shingvaishi monglem hük nyüpeih,
PRO.23.18	hatü nüng monglempü angsha nevaidaipih.
PRO.23.19	Bangtuh, ngelei hapeü, hatü kon kohtuh,
PRO.23.19	hatü nüngei mong jiüshangpü kü kamtuh.
PRO.23.20	Nükchokyiümokpüthü mü tekü,
PRO.23.20	nevaijü hahnempüthü mü tejemtei;
PRO.23.21	Mehenangkü nükchokyiümok,
PRO.23.21	hatü hahnempüthü taopa leihen,
PRO.23.21	hatü hahtü shi mon shipai ashakten ümshi nyuhen.
PRO.23.22	Nüngbüh nüngpaümpü ampalei ven dantuh,
PRO.23.22	hatü viünyü leidaijü anyü kü ne-ühneyingi teyakphong.
PRO.23.23	Shahhing shaklangtuh, hatü hapa teyutük;
PRO.23.23	Kihikon, nyingpühingpü, hatü danaokpü kon shaklangtuh.
PRO.23.24	Daülangpü shennyakei payü longi mongonghen;
PRO.23.24	Üpai kon kohpü hapeü bühhahnya,
PRO.23.24	hapa hapeü kü mongongnyeih.
PRO.23.25	Anyü ampa mongonghütuh;
PRO.23.25	nüngei hümlungnyü mongmeihütuh.
PRO.23.26	Ngelei hapeü, nüngei mongdang ngei kü yahshih,
PRO.23.26	hatü nüngei müki ngelei lemthü kü veituh.
PRO.23.27	Mehenangkü büm yupü nyühayü chülohpü kahsha,
PRO.23.27	hatü mükbongjuyunglayü shoshippü yungkuk.
PRO.23.28	Pinnyü-ü gühpa kei tapei nyunyüke,
PRO.23.28	hatü bahathü longi hingnelempü dahünyüke.
PRO.23.29	Üpai, “Onyükei” shei enya? üpai mongmangnya?
PRO.23.29	Üpai dehilaonya? üpai eelanya?
PRO.23.29	ten nedükpü kü üpai mih ma yahhünya? Üpai mükhaknya?
PRO.23.30	Hathüyü yiü danei nyupüthü;
PRO.23.30	vuktükpü yiü jepei kamteipüthü nyüke.
PRO.23.31	Yiü hakpüh-i nyujao nüngi hapa kü tevei,
PRO.23.31	mechem ha pati mongei laukei aonghen,
PRO.23.31	ha inyainyiami lühdainyeih.
PRO.23.32	Shompülei hapai biüi kaokpükei,
PRO.23.32	hatü biütam leü kei nyukahen.
PRO.23.33	Nüngei müki thamabenüng dou eehen,
PRO.23.33	hatü nüngei mongkü mongongbenüng dou lekahen.
PRO.23.34	Nüngü yungching shangkü shipü keiha deihkahen;
PRO.23.34	Yungching yungmok shangkü lempü keiha deihkahen.
PRO.23.35	“Jomi ngei kü bheiteke,
PRO.23.35	shejao ngei kü nesheüpha; jomi ngei kü üpteke,
PRO.23.35	shejao ngei kü ha leyei nepeinyu.
PRO.23.35	Ngei mechem paohenshang shao-üng yiü danghen” shei nüngi ehen.
PRO.24.1	Nüngi nemeipü vaüei tedeih,
PRO.24.1	nevaijü jom mü nyuhen telüm;
PRO.24.2	Mehenangkü jomei mongkü ten dükhen mon temnyüke,
PRO.24.2	hatü jomei ju-i vongshüh vamhühen mon enyüke.
PRO.24.3	Kihikoni shemongsha lingnyeih,
PRO.24.3	danaokpai hapa chongnyiam lingnyüpeih;
PRO.24.4	Nyingpühingpai dungnuk kemei douvang,
PRO.24.4	hatü nethe meipü doui matüknyeih.
PRO.24.5	Kon kohpü shennyak kü ngan longi nyüpeih,
PRO.24.5	hatü nyingpü shennyakü wong kohpüthü mü nyeipüba;
PRO.24.6	Mehenangkü vehok hokhen shingvaishi lem hupü nadang;
PRO.24.6	hatü shahnying epü longi nyujü vehok neüaokhen.
PRO.24.7	Ngapa hük shingvaishi kihikon shah-ü longi shaoshi;
PRO.24.7	noknyü banghthai shingei ju kü shah nevami nyunyeih.
PRO.24.8	Üami ten dükhen temnya, büpa kü ten ngaibü shei nyükhen.
PRO.24.9	Ngapalei küpjanü mang, hatü mih vüshih-ei epü küpeüi jiühitnyeih.
PRO.24.10	Baonghok nyih nüng kuidaijema,
PRO.24.10	nüngü mong maanpü shennyak.
PRO.24.11	Dihen müei lüdaipüthü nüngi yangtuh;
PRO.24.11	jüshingei müei deilangpüthü yepei tuhtuh.
PRO.24.12	“Hami ha nang nenyingangpih” shei nüngi ejema,
PRO.24.12	mongdang dokpü Kahvangi hapa ne-eehen je?
PRO.24.12	Nüngei yangnyu yompübai ha nenyinghen je?
PRO.24.12	Shennyak peü kü laophüi dükpü aimü neshuohhen je?
PRO.24.13	Ngelei hapeü, nyahjiü hahtuh;
PRO.24.13	mehenangkü hayü meiangpeih;
PRO.24.13	nyahdük kübü nyahjiü hahhenü vüngnyangi nyüpeih.
PRO.24.14	Hapa keiha nüngei laangha shingvaishi
PRO.24.14	kihikonü vüngnyangi nyüke;
PRO.24.14	Nüngi ha dangjema, nüng shingvaishi ngoikahen kü monglem nyüpeih;
PRO.24.14	hatü nüng monglempü angsha nevaidaipih.
PRO.24.15	Nemeipü shennyaki daülangpü shennyakei
PRO.24.15	shem bomhen danpükei tenyu;
PRO.24.15	Daülangpüthü nyushingei nüngi iy-aongmako dou tedük;
PRO.24.16	Mehenangkü jom nyetpa dolangmao,
PRO.24.16	jomphong shao-üng paokahen;
PRO.24.16	shejao mangthü vongshüh-i mahkemhen.
PRO.24.17	Ammei vepathüi vongshüh pongküjü “Hüha” shei te-e;
PRO.24.17	Jom huluh shuohküshingkü am mongteong;
PRO.24.18	Hei nevaijema 
PRO.24.18	hatü mongmanghen,
PRO.24.18	hatü büpa mongshihpü jom lemeipü yaakdaihen.
PRO.24.19	Mang shennyakthü nyupü nangkü nüng mongteshang;
PRO.24.19	nüngi nemeipüthü vaüei tedeih;
PRO.24.20	Mehenangkü shennyakten shing ngoikahen monglemneshiü;
PRO.24.20	Shennyak tenei awdük vangngai metdaihen.
PRO.24.21	Ngelei hapeü, 
PRO.24.21	hatü ong kü dhüm shuohtuh;
PRO.24.21	Nüngi üpalei venao nedani tenyu;
PRO.24.22	Henyi pheni ngangahük kü nüng kü vongshüh koei peikahen,
PRO.24.22	hatü henyi-i koei peikahen vongshüh üpai nyinghen?
PRO.24.23	Hathüyü kon kohpübai epü khih:
PRO.24.23	Shahphen shingei baong hanei nopeyü nemei.
PRO.24.24	Üami nemeipüthü kü, “Amphong pungpü neshiü” shei ehenshang,
PRO.24.24	nanglakthüi büpa kü thaüvaühen,
PRO.24.24	hatü jati büpa yaktükhen.
PRO.24.25	Shejao üami nejiüpüthü kü hanghi shuohnya, mongonghen,
PRO.24.25	hatü jom kü moihiman peihen.
PRO.24.26	Shahhing shahnyok shuohpeyü ju kü jüppükeinyüke.
PRO.24.27	Phaü dou kemei temtüktuh,
PRO.24.27	hatü nüngei kah temtuh; hapheikü shem vetuh.
PRO.24.28	Ten yepaokpü neshiüshiüi nüngei chingyowpa khüei shahshem denpü teshuoh,
PRO.24.28	hatü nüngei jubenyeijaangi lawlüpei te-e.
PRO.24.29	“Ngei kü dükphopü keiha ngeiyao mih kü dükhen, jomi mehe dük,
PRO.24.29	ha kü ngei nyokei shuohhen” shei te-e.
PRO.24.30	Nehetpü shennyakei kah,
PRO.24.30	hatü ngapalei nyalingngupai kah peih-ei ngei daishingkü;
PRO.24.31	Hüh-i longei daitü, kahdok kemei thüngi lümlangtü,
PRO.24.31	hatü yaongpe bendaitü eeteke.
PRO.24.32	Ngei mehe ee, ha kü mongshuoh-ei
PRO.24.32	veishingkü haleipü nyinghahpü longpü dangteke.
PRO.24.33	Maani mon shipai, maani mon mükngüh dhaongpai,
PRO.24.33	hatü maani mon nyiumeipai;
PRO.24.34	Taopünangpü gühpa kei peikahen,
PRO.24.34	hatü neshiünebaongpü lahhilaong noshi gühpü am kei peikahen.
PRO.25.1	Hathüyü Solomoni epü lebü kandok shahthü Judah amei ongpa Hezekiahlei lakchongbüthüi nyangei tuhpü nyüke:
PRO.25.2	Kahvangei müknyinshekhangü
PRO.25.2	shahhidouthü joei tuhhen ha nyüke,
PRO.25.2	shejao ongpalei dou-ü hathü yemei danghen nyüke.
PRO.25.3	Vangsho shaopü keiha, kahdoknyü chüpü keiha,
PRO.25.3	ongpalei mongü neyepaoki nyüke.
PRO.25.4	Ngin kü nyupü nedaüpü yaktüktuh,
PRO.25.4	shejüang ngin shükbüi doumei leiyei lingkahen.
PRO.25.5	Ongpa toueipü nemeipü yaktüktuh,
PRO.25.5	shejüang büpalei ongching shahhingi lingkahen.
PRO.25.6	Ongpa touei nüng nyingi longpü keiha tehu,
PRO.25.6	hatü longpüthü thaishingei uoshing meipü tekhüam;
PRO.25.7	Lupülongpüthü touei hai dangpü meyü,
PRO.25.7	“Nüng halei aongei uotuh”
PRO.25.7	shei ehahpü-üng meipüba.
PRO.25.8	Nüngi mehe eepa,
PRO.25.8	ha shülangi shahphen shingei tedei;
PRO.25.8	Mih hanei-i nüng veühüshingkü,
PRO.25.8	nüngi dohpülei mehe dükhen?
PRO.25.9	Nüngei chingyowpa mü shah kü dakteishingkü mih-ei shahjo ngaiyei te-e;
PRO.25.10	Hei nevaijema nüngi epü shah danpü hanei ami nüng veühühen,
PRO.25.10	hatü nüngi dangpü menten mechemao nemahdaihen.
PRO.25.11	Jiüshangpü shah epeyü ngin kü hon lükpükei nyüke.
PRO.25.12	Nyinghahhüpü shennyak kü kon kohpü shennyaki lohpeyü honchü,
PRO.25.12	hatü hon-ow kei nyüke.
PRO.25.13	Hahvet hepak kü shü kaongpü keiha,
PRO.25.13	shahhing epü phongmokbü-ü büpa
PRO.25.13	shompüthü touei nyüke;
PRO.25.13	Büpai laophülei shembüthü kü nyiumei koei peinyeih.
PRO.25.14	Laophüi thintho neshuohhen kü
PRO.25.14	lahtü changmeipüthüyü vang nekei-i phum thih-ei vanglük lükpükei nyüke.
PRO.25.15	Nenteiaokpai vanglem lembü hük yawhlangnüng aok,
PRO.25.15	inyainyiami shah epai vangao bhagtükaoknyeih.
PRO.25.16	Nüngi nyahjiü dangjema,
PRO.25.16	nüngi hah-aoksham mon hahtuh;
PRO.25.16	nyeishi hahjema hapa bhaitükhen.
PRO.25.17	Nüngei chingyow amei chengei tepei;
PRO.25.17	chengei peijema jomi nüng kü tenghen hatü jiühitphahen.
PRO.25.18	Chingyow khüei shahshem denpü shuohpeyü phung,
PRO.25.18	yanlu hatü lahhan kei nyüke.
PRO.25.19	Shanghah nyih shahhing ne-epü shennyak kü monglemteipeyü,
PRO.25.19	mangdaipü bha hatü khodaipü la kei nyüke.
PRO.25.20	Mongshangpü shennyak kü kesho lokshuohpeyü,
PRO.25.20	haongket kü ashak nyiuktükpükei,
PRO.25.20	hatü ma kü hüm shihpükei nyüke.
PRO.25.21	Nüngei vepathü aeiyei eejema hahhen yah-eishuoh;
PRO.25.21	jomphong yung leyei eejema, yinghen yung yah-eishuoh;
PRO.25.22	Hapakei dükpai nüngi jomei
PRO.25.22	shangjing kü awtao haüshuohnyüke;
PRO.25.22	hatü 
PRO.25.23	Pehe vanglüki vang keipü keiha,
PRO.25.23	shah luteipü shennyaki mongshihpü dhe hunyeih.
PRO.25.24	Depülaopü nyüha hük mü shem hük kü nyulei meyü
PRO.25.24	shem adokei aongei dhetshi nyupü-üng meipüba.
PRO.25.25	Tailu kahmük leipü shahjangmeiyü yung leyei
PRO.25.25	üng üdaipü kü yungthüng yingpükei nyüke.
PRO.25.26	Daülangpü shennyak hüki nemeipü am kü lem
PRO.25.26	hupeyü nyaühut nyupü yunglok,
PRO.25.26	nevaijü mak dungdaipü yunglok kei nyüke.
PRO.25.27	Nyahjiü ahshi hahpao nemei;
PRO.25.27	ahshi menlong ngampai yahhen yempao nemei.
PRO.25.28	Laophü nyingi ne-ungne-aeipeyü
PRO.25.28	bham laamdaipü chingnyü kei nyüke.
PRO.26.1	Shaonyüsha kü shü vüpükei,
PRO.26.1	hahvet shingkü vang keipükei,
PRO.26.1	ngapa kü dhüm shuohpeyü nebahnyih.
PRO.26.2	Shing nelingi piteipü ajekha kei,
PRO.26.2	nevaijü khihmang ouha yüteipü keiha,
PRO.26.2	nüngi danghen neshangpü kü thaüvaü nehetnyih.
PRO.26.3	Koyei kü bheipü keiha,
PRO.26.3	gadu kü nyiam maapü keiha, ngapa hük kü bheiyeishuoh.
PRO.26.4	Nüngi ngapa hük kü büpa ngapü aimü shah teleitei,
PRO.26.4	Hei nevaijema nüngao büpa leshi leidaihen.
PRO.26.5	Ngapa hük kü büpa ngapü aimü shahnyok shuohtuh,
PRO.26.5	Hei nevaijema büpai ngeiyü kon kohpü shennyak shei deihhen.
PRO.26.6	Shennyak hükei la langtükpükei,
PRO.26.6	nevaijü iy-aongmakoteihen yempükei,
PRO.26.6	ngapa hük mü shah shomteipeyü nyüke.
PRO.26.7	Ngapalei ju kübü kandok shah-ü lakhopai la shüshi kampükei nyüke.
PRO.26.8	Ngapa kü dhüm shuohteipeyü
PRO.26.8	nyeikaunglah kü yaong dungpükei nyüke.
PRO.26.9	Ngapa hükei ju kübü kandok
PRO.26.9	shah-ü yiüi chokpülei lakei hühthang nopükei nyüke.
PRO.26.10	Üpai ngapa nevaijü peihpü leipü heüheü müei leihahnya,
PRO.26.10	büpayü jiüjiükei mih kü klong kappükei nyüke.
PRO.26.11	Shi hüki laophüi bhaipü hahnüng leipükei,
PRO.26.11	ngapa hüki laophülei ngadou leiyei leiyei düknyüpeih.
PRO.26.12	Shennyak hüki laophü
PRO.26.12	nyingi kon kohnyüpeih shei deihhahpü nüngi eela?
PRO.26.13	Nehetpa hüki, “Lemnyülei mailang nyüke, longi mangpü shahnyü
PRO.26.13	chingshongei longnyüke” shei enyeih.
PRO.26.14	Shemsha küpei küpei leipü keiha,
PRO.26.14	nehetpa hüki laophülei shinshingei lemnyeih.
PRO.26.15	Nehetpa hüki laophülei nükshungei lak deüshi nyunyeih;
PRO.26.15	büpai julei nük anei hahhenao vaknyüpeih.
PRO.26.16	Shennyak nyeti kon kohshi shahnying epü meyü
PRO.26.16	nehetpa hüki büpa-üng kon kohpeih shei deihnyeih.
PRO.26.17	Laophülei nang nevaipü kü mih depü kü laophüang shihlangei depeyü,
PRO.26.17	shidhaong kü dükpükei nyüke.
PRO.26.18	Shennyak hük chingyowpa kü lueilemtepü,
PRO.26.18	“Ngei nyienei epeih” shei epeyü,
PRO.26.19	Ngapa hük awjung nevaijü leü kohpü lahhan mü ngateipükei nyüke.
PRO.26.20	Pü neshiüjema aw metdainyeih,
PRO.26.20	mihla epü neshiüjema, dehilao dohdainyeih.
PRO.26.21	Awtao kü awkhin üpükei, aw kü pü jakpükei,
PRO.26.21	dehilaohüpü shennyaki dehilao vamhünyeih.
PRO.26.22	Mihla epeyü ahshi-üng vüngnyangi nyüke;
PRO.26.22	hapayü longi lümshi lüh-ei shanshihnyeih.
PRO.26.23	Mongdangei ten tuhtü julei mon shahmei epeyü,
PRO.26.23	haümdük kü honyungi howpükei nyüke.
PRO.26.24	Akhümmong-üm shennyaki julei mon shahmei enyüpeih,
PRO.26.24	shejao mongei mih lomohhühen khenyüpeih.
PRO.26.25	Büpalei shah longi bangnyuhüshi
PRO.26.25	nyulangmao, hapa kü hingtelem;
PRO.26.25	Mehenangkü büpalei mongei jiühitbenüng lem nyet joshi nyüke.
PRO.26.26	Büpalei jiühitnalai lueilemei jolanghen aok,
PRO.26.26	shejao büpalei mang banghthai shingei ngaikahen.
PRO.26.27	Shennyak hüki kahsha shojema,
PRO.26.27	hapa kü büpa-üng vühen; shennyak hüki yaong ngowjema,
PRO.26.27	hapai büpa kü-üng jeephen.
PRO.26.28	Shahshem epü yeijaangi mongkü
PRO.26.28	ma yahpüthü kü jiühitnyeih,
PRO.26.28	hatü yawhpüyangpü jubeni lomoh danghünyeih.
PRO.27.1	Ngenyihpü nang deih-ei nüng techangmei;
PRO.27.1	Mehenangkü hepaki mehe koei peikahen ha nüngi nenying.
PRO.27.2	Lebü shennyakthüi nüng kü nyemvihpha,
PRO.27.2	shejao nüngei jui nevai;
PRO.27.2	Yenpa hüki nyemdupha, nüng nyingi nevai.
PRO.27.3	Yaong hatü bhih vihnyüpeih, shejao ngapa hüki koei
PRO.27.3	peipü shanghah-ü nyiphen mao vihpüba.
PRO.27.4	Mongshihpeyü ahshi mangshi; lohpeyü longi nemei,
PRO.27.4	shejao mükhüh mongyungpü touei üpa yaongaokhen?
PRO.27.5	Joei bamtei leimeyü ngaiheyei lohteipü-üng meipüba.
PRO.27.6	Vepa hüki om kü jüppü longi heühen,
PRO.27.6	shejao küphü hüki ma yahphopeyü meipü-üng.
PRO.27.7	Mechem mohmeihen, nyahjiü dangkao nehahhünyih;
PRO.27.7	shejao aeipü shennyaki shahyakpü dangkao vüngnyangi hahtüknyeih.
PRO.27.8	Laophülei shem leipü paüdaipü shennyakü ou hük laophülei
PRO.27.8	jep leipü paüdaipü leangpeih.
PRO.27.9	Vong meipü hatü ayingshüi
PRO.27.9	mongkü mongong peihünyeih,
PRO.27.9	shejao shanghah-i laangha mangtüknyeih.
PRO.27.10	Nüngi nüngei küphü nevaijü ampalei mongjempa teyakphong;
PRO.27.10	Nüng kü vongshüh dhaümkü shingkü
PRO.27.10	jeihinaülei shem yemei tedai;
PRO.27.10	Tailuei nyupü jeihinaü meyü yopailei nyupü chingyowpa-üng meipüba.
PRO.27.11	Nüng kon kohtuh, ngelei hapeü,
PRO.27.11	hatü ngelei mongkü mongong koei leikei;
PRO.27.11	Shejüang ngei kü eelapüthü kü shahnyok shuoh-aokhen.
PRO.27.12	Kenhingpüthüi vongshüh eeyei jodainyeih,
PRO.27.12	shejao neliha hei-üng daiyei ponghahnyeih.
PRO.27.13	Yenthüng hükei bheishe hang shemhen lahpü
PRO.27.13	shennyakei ashakviha yahlangtuh.
PRO.27.14	Üpai nepnüng lomi paoei
PRO.27.14	laophülei chingyow kü moihimannya,
PRO.27.14	hapayü thaüvaü kei deihtuh.
PRO.27.15	Loh-ei mon nyupü nyühayü vang mangpü nyih
PRO.27.15	nedoh-i vang keipü kei nyüke.
PRO.27.16	Pinnyü kü dohtuh shei
PRO.27.16	eteipeyü vanglük dohtüknüng kheteipükei,
PRO.27.16	hatü mainga kü laki paohteipükei nyüke.
PRO.27.17	Nyiami nyiam yüei nahhüpükei,
PRO.27.17	shennyaki shennyak nahhünyeih.
PRO.27.18	Üpai adhajük kah lingnya,
PRO.27.18	büpai haleipü betjük hahhen;
PRO.27.18	Üpai laophülei shembü kü jungnya,
PRO.27.18	büpa kü dhüm shuohhen.
PRO.27.19	Yungi shennyakei dhe hupükei,
PRO.27.19	shennyakei mongi büpa mekeipü shennyak ha hunyeih.
PRO.27.20	Dipü hatü mahpü am nyupü yimching mechemao nemanyih;
PRO.27.20	hapakei shennyakei müki mükmong nemanyih.
PRO.27.21	Awi hon hatü ngin dokpükei,
PRO.27.21	vihpülüpü dangpai shennyak hük doknyüpeih.
PRO.27.22	Ngapa hük kü hah shüpükei
PRO.27.22	shemshak kü shihtü shüshuohlangmao,
PRO.27.22	büpa kü nyupü nga hapa netükaokpih.
PRO.27.23	Nüngei mithü mehe laphen kü nyüpa ha nyingtuh,
PRO.27.23	hatü nüngei mohohthü kü mong shuoh-ei veituh.
PRO.27.24	Mehenangkü angpü deipü düngei nenyunyih,
PRO.27.24	nevaijü ong athen denshem peü shing nevaipih.
PRO.27.25	Mechem thüng vetlanghen, phenha shao ninyüpeih,
PRO.27.25	kahshangthü leipü phenha vetlangjü,
PRO.27.25	shao ja neennyüpeih.
PRO.27.26	Mithüi nüng ümhen ashak yahphahen,
PRO.27.26	hatü yumthüi kahlei bhei yahphahen.
PRO.27.27	Nüng hatü ammei shemong, hatü am chongphopü
PRO.27.27	nelathüi hahhen yum amma changshi nyuhen.
PRO.28.1	Üpaiyao nechangpü kü nemeipüthü nyaidainyeih,
PRO.28.1	shejao daülangpüthü mailang kei monglongnyeih.
PRO.28.2	Mechem kahmük hük kü podongpolong vamhenshang,
PRO.28.2	vanglem lempü longi vamnyeih;
PRO.28.2	shejao danaokpü hatü nyingpü shennyaki
PRO.28.2	chingmeivangmei kü tuhnyüpeih.
PRO.28.3	Taopathü kü shüveipü vanglem lembü-ü sheili
PRO.28.3	bhonglangpü bhiyung kei nyüke.
PRO.28.4	Üami shahkung yakphongnya,
PRO.28.4	hathüi nemeipüthü kü dunyüpeih,
PRO.28.4	shejao shahkung bangpüthüi hathü mü khünyüpeih.
PRO.28.5	Shennyaktenthüi shahhing nyingei neaoknyih,
PRO.28.5	shejao 
PRO.28.6	Shemmei vaitü lemnyong kü kamlei meyü,
PRO.28.6	taojao shahhing kü kampü-üng meipüba.
PRO.28.7	Üami shahkung noteinya,
PRO.28.7	jomphongü kon kohpü hapeüthü;
PRO.28.7	shejao hahnempüthü mü jemteipüthüi laophülei pa hai danghünyeih.
PRO.28.8	Üpai mih-i lupü bheishe hang kü bhüpü longi üei yah-ei shemmei leinya,
PRO.28.8	büpalei mopü taopathü kü bampü shennyakei lakmongei shüdaihen.
PRO.28.9	Üpai shahkungnyü kü dhaong neshaangnya,
PRO.28.9	büpai phoppeyü jiühitbenüng.
PRO.28.10	Üami daülangpüthü lemnyong lemei mühenshang,
PRO.28.10	jomi laophüi shohahpü kahsha kü vühen;
PRO.28.10	shejao eela neshiüpüthüi mükjüp meipü danghen.
PRO.28.11	Shemmeipai ngei-üng kon kohpeih shei deihnyüpeih,
PRO.28.11	shejao yao-aokpü taopa hüki büpa peipeilei-i eenyüpeih.
PRO.28.12	Mechem daülangpü
PRO.28.12	shennyaki vanglem lemhen, peüi mongongnyeih,
PRO.28.12	shejao mechem nemeipüthüi vanglem lemhenshang,
PRO.28.12	nanglakthüi jolem yemdainyeih.
PRO.28.13	Mang jopü shennyak mechemao moihiman nedangpih,
PRO.28.13	shejao üami mang lahnya,
PRO.28.13	hatü ha nedüknya, jomi phahji dangnyeih.
PRO.28.14	Üpai düngei 
PRO.28.14	shejao üpai mong vaanei nyunya,
PRO.28.14	büpa vongshüh kü vühen.
PRO.28.15	Ngüngei nyupü mailang, nevaijü kethen
PRO.28.15	nyeandaipü sheptao keiha,
PRO.28.15	taopathü shak kü nemeipü
PRO.28.15	shennyaki vanglem lempü nyüke.
PRO.28.16	Danaokpü neshiüpü ongpayü
PRO.28.16	mih kü shüveipü vanglem lembü,
PRO.28.16	shejao üpai shahshem kü jiühitnya,
PRO.28.16	yangnyu shoshoei nyuhen.
PRO.28.17	Shennyak hanei-i mih jüpü mang jotü hanghijema,
PRO.28.17	büpa mangdi thahshi paüeiyonei angtuh;
PRO.28.17	üpaiyao büpa kü tesheüh.
PRO.28.18	Üpai shahhing kü kamnya, büpa yanghen,
PRO.28.18	shejao üpai nejiüpü lem kü kamnya, ngangahük kü mahhen.
PRO.28.19	Üpai kheyei kah lingnya, büpai hahhen danghen,
PRO.28.19	shejao üpai angsha dousho kü changteinya, taohen.
PRO.28.20	Shahhing epü shennyakü moihimani maei nyuhen,
PRO.28.20	shejao üpai shemmei leihen shaoksheünya,
PRO.28.20	mechemao nehanghi-i nenyupih.
PRO.28.21	Dhe veiyei dou dükpeyü nemei,
PRO.28.21	shejao haneiyü nük omhük tata kü nejiüpü düknyeih.
PRO.28.22	Taohinangi büpa danei nyüpeih shei nenyingi
PRO.28.22	kaungtut shennyaki shemmei leihen shülangnyeih.
PRO.28.23	Yawh-eiyangei epü meyü üpai shennyak hük kü yeanei lohshuohnya,
PRO.28.23	büpai pheilei mongmei eehen.
PRO.28.24	Üpai laophülei nyühiha leipü güh-ei yahtü,
PRO.28.24	“Hapayü pungpü nevai” shei ehenshang,
PRO.28.24	büpayü ten dükpülei mongjempa.
PRO.28.25	Hahnempü shennyaki dehilao vamhünyeih,
PRO.28.25	shejao üpai 
PRO.28.26	Üami laophü kü monglemnya,
PRO.28.26	hathüyü ngapathü;
PRO.28.26	shejao üpai kihikon kü kamnya, büpa yanghen.
PRO.28.27	Üpai taopa kü shuohnya, büpa meheiyao netaohen;
PRO.28.27	shejao üpai jomphong eeyao ne-eepükei nyunya,
PRO.28.27	thaüvaü longi danghen.
PRO.28.28	Mechem nemeipüthüi vanglem lemhenshang,
PRO.28.28	nanglakthü jolem yemdainyeih;
PRO.28.28	mechem nemeipüthü mahhen,
PRO.28.28	daülangpüthü danyüpeih.
PRO.29.1	Longi lohhah pheikü üpai mong vaanei nyuhenshang,
PRO.29.1	yanglem neshiüi topshi mahhen.
PRO.29.2	Mechem daülangpüthüi
PRO.29.2	vanglem lemhen, nanglakthü mongongnyeih;
PRO.29.2	shejao mechem nemeipüthüi vanglem lemhenshang, nanglakthüi mahng thepnyeih.
PRO.29.3	Kihikon kü bampü hapeüi laophülei pa mongonghünyeih,
PRO.29.3	shejao üpai büm yupü am mü jemteinya, mop daümnyüpeih.
PRO.29.4	Shahhing homei ongpa hüki kahmük hük chong wonghünyeih,
PRO.29.4	shejao üpai yawhdou kü kennya,
PRO.29.4	büpai ha bentüknyeih.
PRO.29.5	Üpai laophülei chingyowpa kü shahshemi dueiounya,
PRO.29.5	büpai laophülei la kü tai haenhahnyeih.
PRO.29.6	Shennyakten hüki laophülei mangei tai kü mannyüpeih,
PRO.29.6	shejao daülangpü hüki kesho lokei mongongnyeih.
PRO.29.7	Daülangpüthüi taopathü kü jiüpü dükhen kennyeih,
PRO.29.7	shejao nemeipüthülei mongkü henüng leyei neshiü.
PRO.29.8	Nebahnevaipüthüi ching hük awi haptüknyeih,
PRO.29.8	shejao kon kohpüthüi mongshih meitükaoknyeih.
PRO.29.9	Mechem kon kohpü shennyaki ngapa
PRO.29.9	mü shahphen shingei shah dakteihenshang,
PRO.29.9	ngapai mongshihnyeih, nyinyeih,
PRO.29.9	hatü mong netheannyih.
PRO.29.10	Iythüng anhüpü shennyaki
PRO.29.10	hingshangpüthü kü jiühitnyeih.
PRO.29.11	Ngapa hüki dendoh mongshihnyeih,
PRO.29.11	shejao kon kohpü shennyaki ungei-aeiyei tuhlangnyeih.
PRO.29.12	Vanglem lembü hüki shahshem kü bangjema,
PRO.29.12	büpalei lakchongbüthü kemei shennyakten leidainyeih.
PRO.29.13	Taopa hatü shüveipa nyiphen kü ha aihük mü nyüpeih:
PRO.29.13	Jijinyiphen kü eehen mük 
PRO.29.14	Ongpa hüki taopathü kü baong nehani shahphenjema,
PRO.29.14	büpalei ong uoshing den kü wong kohshi nyuhen.
PRO.29.15	Hanbhi hatü lohpümangpai kihikon shuohnyüpeih,
PRO.29.15	shejao neveni longhahpü hapeüi nyü veühünyeih.
PRO.29.16	Mechem nemeipüthüi vanglem lemhen,
PRO.29.16	jüteishangteipü ahnyüpeih,
PRO.29.16	shejao daülangpüthüi hathü dopü eehen.
