GEN.1.1	Pathianin a phut taka irnêng le irvân a siama, 
2CH.25.4	An nâihai chu tônhai maka, Mosia dân bua, 
2CH.25.5	Reng Amazia chu Juda mihai le Benjamina mihai chu a panam ang dungzuiin sipai chi dang dangin an omtirhaia; sângkhat pâlhai, irzakhat pâlhai, hruaitu hrang an dang pehaia. Pasal kum sômhni chung tianga chu an om vinga, an rêngin mi nuai thum an ni. 
2CH.25.6	Hihai bâka hin hmâr tianga Israelhai, mi nuai khat, tangkarua her sângthum irzaminliin a hruaihaia. 
2CH.25.7	Reng kuang khan deipu inkhat a honga, “Hi Israel sipaihai hi hruaihai no ro. Hmâr tianga mihai tiang 
2CH.25.8	Irdoina khan hrâtpuihai hrangin irtûng no ro. Irdoina inhnêtu nina hi Pathian thu kêng a ini; ni râlhaiin nan hnêna an ti,” a hong tia.
2CH.25.9	Amazia chu deipu kuang, “Tangka ki lei ipêkhai kha te, itin mo a ini ta hrang?” a tia. Deipu khan, “
2CH.25.10	Amazia chuangna sipai pâl, Efraima ram ata honghai chu an banhaia, an fetirhaia, Judahai chunga ningmur irlâkin an fe tâka.
2CH.25.11	Amazia chu ngam takin a sipaihai leh michi irhôra a fepuihaia, Edom sipaihai leh an irdoia, mi sîngkhat an thathaia. 
2CH.25.12	Mi sîngkhat an chelhaia, Sela kho kôla rôlpûka an hruaihaia, an namthâkhaia, an thi zoi vinga. 
2CH.25.13	Amazia’n irdoina a itîrhai loi sipaihai khan Samari le Beth-Horon kâra Juda khopui chu an doia, mi sângthum vêl an thata, râllâk sum tamtak an lâka. 
2CH.25.14	Amazia’n Edom-hai an hnêa, a hongin chu, an millimhai a hong chôia, a siana a sina chubai a mûka, an makunga mirimhoi a hâla. 
2CH.25.15	Hi sika hin 
2CH.25.16	Rengin, “Itiklai khan mo rêng kuanga thu irdon hrangin nang ki ibe, dâihrek ro, nang thatpaina ki ti,” a tia. Deipu’n, “Ki thu ti irngai nuam mak chea, hi hi ni tho tâk sikin, Pathianin nan boipai a itum a nih ti kin hriat ta,” a ti phota, a dâihrek ta.
2CH.25.17	Juda rêng Amazia le a ulianhaiin Israel doi an tuma, Jehua nâipa Jehoahaza nâi Israel rêng Jehoasa kuang, “Pa le pa, irdoi ei ta,” tia inphût hrangin mi a tîra. 
2CH.25.18	Jehoasa’n hiang hin a sâma, “Voikhat chu Lebanon tânga ilhling kunghai hin Lebanon-ah sidar thing kuang, ‘Ki nâipa dôngma hrangin ni nâinu ni pe ro,’ a tia. Ramsa chaihaiin ilhling kung chu an palthût tâka. 
2CH.25.19	Amazia, Edom mihai ni zu inhnêhai hi ni irsong a ni hi na! in sûnga om chi chian ta ro. Nang le ni mihai ta hranga poi hrang thil phordok ta no ro,” a tia.
2CH.25.20	Amazia khan a thu kha ite bê’n bê pe maka, Edom mihai pathian irlim a biak sikin Pathianin Israelhai kuta pêk a lei itum a ni. 
2CH.25.21	Israel rêng Jehoasa le Juda rêng Amazia chu irdoi hrangin an suaka, Judai rama Beth-Semes kho kôla an irdoi tâka. 
2CH.25.22	Juda sipaihai chu hrât ta mahaia, mâni in lam panin an intân tâka. 
2CH.25.23	Israel rêng Jehoasa chu Juda rêng Amazia, Joasa nâipa, Ahazia tupa chu a chela, Jerusalema a hruaia, khopui kulbang chu, Efraima mikot ata bang kil tianga inkhâr an iti dênin kulbang mûk irzaminli chu an siatpaia. 
2CH.25.24	Râllâk sum le tempil rângachak le tangkarua hai, Obed-edoma irchihai ihrung ngai tempil bêl le bûr le rêng ina sum hrêna sahai chu a lâka, bândaa khit hrangin mi a tuanghaia. 
2CH.25.25	Juda rêng Amazia chu Israel rêng Jehoasa nêkin kum sômhlei ringain a dam sôt uala. 
2CH.25.26	An lal phut ata a mong dênin Amazia sinthohai chu, Israel le Juda rênghai thurchi ti irziakna bua a chuang. 
2CH.25.27	Khan, Amazia chu 
2CH.25.28	A ruak chu sakor an inpêltira, Davida khopuia rêng thâna an phûm tâka.
2CH.26.1	Judai rama mi murdihaiin kum sômhleiruka ulian Amazia nâipa Uzia chu a pa irthûla rêng hrangin an inthanga. 
2CH.26.2	(Amazia thi zoiin Uzia hin Elat khua a lâk nôka, Judai ram inding nôktu kha) 
2CH.26.3	Uzia chu kum sômhleiruk a niin an lal irphuta, Jerusalema kum sômringa kum hni an lala. A nu chu Jerusalema mi Jekoli a ni. 
2CH.26.4	Amazia angin 
2CH.26.5	Pathian thu tianga kaihruaitu Zekaria dam sûng chu 
2CH.26.6	Uzia chu Filistia mihai a rûna, Gath khua kul banghai an siata; Askelon kôla le Filistia ram hmun da danga kul a sina. 
2CH.26.7	Pathianin Filistia mihai, Gurbala om Arab-hai le Meun-hai chu an hnêpuia, 
2CH.26.8	Amon-hai khomin, Uzia kuang, khâzana an chôia; roiinpuiin Aigupta ram dênin ar hming an thang tâka.
2CH.26.9	Jerusalem kul bang chu a sinsiam inthara, bangkil mikot an itihai, Irhôr mikot an itihai, kul kôina taka inkhârhaia in irsâng a sina. 
2CH.26.10	Khan, kholaia khom kul nei khua an dinga; tuipang a choi saa; nitâk tianga omhai, tâng sîphaia sehrât a vâi intam hluka, loi inmân tiang ar hnik oka, tâng rama khom grep an phuntirhaia, phâiram sahai khan thôl an thotirhaia. 
2CH.26.11	Sipai tamtak, irdoi thei zât a neia. An thurchi irziakna chu ziaktu Jeiela le Maaseia, rêng milian Hanania haiin an vonga. 
2CH.26.12	Hruaitu sânghni irzarukin a sipaihai an hruaia. 
2CH.26.13	Reng tianga kop, râlhai doi thei zât, mi nuai thum sângsari le irzaringa a nei. 
2CH.26.14	Uzia’n chu a sipaihai phohai, ufeihai, thîrlukhumhai, thîr songkolhai, thalhai, sâilungdênga hrang lung inhlûm a pêk saa. 
2CH.26.15	Jerusalema khan a mi kut theithiamhai isin thal kâpna khôlhai, lung lianpahai hlôn theina khôlhai, in irsânghai le kul kalnahai a buna, a’rhming khom an thang pe ok tâka. Pathianin a changpui sikin khaang taka roiinpui a ni.
2CH.26.16	Reng Uzia chu a roiinpui ok zoiin chu, a’rsong pehaia, a isiatpuina chu a ni. A Pathian 
2CH.26.17	Ochai inlaltak Azaria le ochai hâitak takin 
2CH.26.18	 khap tumin an zuia, “Uzia 
2CH.26.19	Uzia chu tempil sûnga mirimhoi hâlna dokâng kôla khan a ngîra, mirimhoi hâlna bûr a chôia, ochaihai chunga khan a ning an mur pea; khannisian an makunga ngêt, 
2CH.26.20	Azaria le ochaihaiin rêng michal an ena niin chu, an inlâi raka, tempil sûng ata kha an inhnotsuaka. 
2CH.26.21	A natna sikin rêng Uzia chu a dam sûngin a porinche tâka, tempila lût a’rthiang ta no sikin, ama ina a om chian tâka, a sin tho thei ta maka, a nâipa Jothama’n ram chu a op tâka. 
2CH.26.22	Khan, Uzia inlal sûnga a sintho murdi chu deipu Isaia’n a’rziaka. 
2CH.26.23	 Uzia chu a thia, rênghai thânmuala an phûma, pân irvei a ni sikin rênghai thâna se nuam mahaia. A nâipa Jothama chu ama irthûlin an lal tâka.
2CH.27.1	Jothama chu kum sômhni ringa mi a niin an lal irphuta, Jerusalema kum sômhleiruk an lala. A nu chu Zadoka nâinu Jerusaii a ni. 
2CH.27.2	A pa angin 
2CH.27.3	Tempil hmâr tianga lampui hi Jothama isin a ni, kho kulbang khom a siam insa intama, ‘Ofel’ an itihna len vâng chu a sate’n a sinsiam a ni. 
2CH.27.4	Judai ram sûnga khuahai a sina, rampuia kulhai le râl hrungnahai a sinhai hluka. 
2CH.27.5	Khan, Amona irchihai rêng a doia; an hnê tâka. Khan, Amona irchihai khan kha kuma khan tangkarua her sângthum irzaminli le gohu phur sîngkhat le barli phur sîngkhat an pêka. Khaang dênin Amona irchihai khan a kum hnina le a kum thumnaa khom an pêka. 
2CH.27.6	Khanchu Jothama khan 
2CH.27.7	Jothama rêng a chang laia thil tunghai thurchi, an irdoina thuhai le a thil rêl dânhai, Israel le Judahai thurchi irziakna bua a chuang ving a ni. 
2CH.27.8	Jothama chu kum sômhni ringa a niin an lal irphuta, Jerusalema kum sômhleiruk an lala. 
2CH.27.9	A thia, Davida khopuia an phûma, a nâipa Ahaza chu ama irthûlin an lal tâka.
2CH.28.1	Ahaza chu kum sômhni a niin an lal irphuta, Jerusalema kum sômhleiruk an lala. A pu Davida tho dân ang zôm nuam loiin 
2CH.28.2	Israel rênghai tho dân a lâka, Baal irlim an sintirhaia. 
2CH.28.3	Hinom irhôra mirimhoi a hâla, Israel mihai makunga 
2CH.28.4	Tânga nam dang pathian biakna hmun irsânghai, thing dâihlim satak hnuaia hai, Ahaza chu ar bôl ngaia, mirimhoihai a hâl ngaia.
2CH.28.5	 Ahaza’n thilsual a tho sikin, Suria rêng kuta Pathian 
2CH.28.6	Israel rêng Remalia nâipa Pekahia khomin Ahazia chu a doia, an hnêa. Juda sipaihai satak tak mi nuai khat le sînghni a thata. Judai rama mihai chu an irchibulhai Pathian 
2CH.28.7	Israel sipai Efraima pasal sa Zikria’n Ahaza nâipa Maaseia chu a thata. Reng in enkoltu Azrikama a that saa; rêng hnuaia mi Elkana khom a thata. 
2CH.28.8	Judahai chu a urênghai an ni nâkin, Israel sipaihai chu nupang le nâipang nuai hni suaka an chelhaia. Samari khuaa an kalkhumhaia, râllâk sum tamtak an chôi pehaia.
2CH.28.9	Samari khuaa khan 
2CH.28.10	Jerusalem le Judai rama om pasal le nupang suaka inomtirhai nin itum mai a ni hi. Nangni khomin 
2CH.28.11	ki thu hi irngai hi roi, hi sala nin ichelhai hi nin urênghai, nin farnuhai kêng an ini, insuapaihai roi, khano’nchu, 
2CH.28.12	Hmâr tianga rêng hruaitu lian minli, Jehohanana nâipa Azaria hai, Mesilemota nâipa Berekia hai, Saluma nâipa Zehiskia hai, Hadlaia nâipa Amasa hai khomin sipaihai sintho chu a sa ti mahaia. 
2CH.28.13	An kuang, “Nin sala nin ichelhai hi, hin hong hruaihai no roi, 
2CH.28.14	Khanchu, sipaihaiin sala an ichel le râllâk sum an hong ichôi chu mipui le an hruaituhai kuta an inhlan tâka. 
2CH.28.15	Mi minlihai hi an râllâk sum ata sala an ichelhai kuang sil le kai pehai hrangin an tia, silkai hai, kekok bun hranghai an pêka, an sâbe pol hrangin oliv hriak an semhaia. Mâni kea fe thei loi raka irzalhai chu sakuartung chunga an inchuangtirhaia; sala an ichelhai murdi chu Judai ram Jeriko-a an hruai kîrhai vinga. Khan, Israelhai chu Samari tiang an fe tâka.
2CH.28.16	Kha laia khan rêng Ahaza chu ama changpui hrangin Assuria rênghai a koia. 
2CH.28.17	Edom-haiin Judai ram an hong doia, an inhnêa, mi tamtak an chelhai a ni. 
2CH.28.18	Filistia-hai lakin nitâk tianga tâng mongna phâi khuahai le Judai ram Negeb-hai an hong doi nôka. Anni len vâng chu Beth-Semes hai, Aijalon hai, Gederot hai, Soko le a kôlvêla khuahai, Timna le a kôlvêla khuahai Gimzo le a kôlvêla khuahai an lâka, an lua pehaia. 
2CH.28.19	Juda rêng Ahaza chu a mihai satna hrang ngaitua viat loiin, 
2CH.28.20	Assuria rêng Tiglat-Pilesera chu Ahaza chu va san nêkin intakna an tungtir pea. 
2CH.28.21	Ahaza chu tempila rângachak hai, rêng ina mihai le mi irchong ualhai ina mihai a lâkhaia, Assuria rêng chu a pêka, khannisian a’rfêna om maka.
2CH.28.22	A sân a charindong lai tak khomin Ahaza chu 
2CH.28.23	Ama inhnêtu Suriahai pathianhai chu chubai a mûkhaia, Suria pathianhai hin Suria rêng an changpuia, khasikin an kuang thilinhlan hrangin ni changpui ngêt a ti, iti a ni. Kha kha a mihai leh an isiatpui nôkna chu a ni. 
2CH.28.24	Khakhêla tempila hmangrua a lâksuaka, an siata, tempil chu a khâra; Jerusalem khuaa maichâm a sinhai hluka; 
2CH.28.25	Judai ram khopuia le kho sûnga hai nam dang pathian biakna hmun irsâng, mirimhoi hâlna hrang a sin pher phura. Hiang hin ar chibulhai Pathian 
2CH.28.26	A roirêl sûnga a thurchi danghai chu a phut ata a mong dênin, Juda le Israel rênghai thurchi irziakna bua a chuang. 
2CH.28.27	 Ahaza chu a thia, rênghai thâna ni loiin Jerusalema an phûma, a nâipa Hezekia chu ama irthûlin an lal tâka.
2CH.29.1	Hezekia chu kum sômhni ringa a niin Judai rama rêng a chang irphuta, Jerusalema kum sômhni kuak an lala. A nu chu Zekaria nâinu Abija a ni. 
2CH.29.2	A pu Davida’n 
2CH.29.3	An lal phut kum, tha maton taka, Hezekia chu tempil inkhârhai chu an honghaia, a siathai chu an sintirhaia. 
2CH.29.4	Tempil nisua tianga tuala khan ochaihai le Levi irchihai a koibukhaia. 
2CH.29.5	An kuang, “Nangni Levi irchihaio, irthiang infâi unglân, nin pahai Pathian 
2CH.29.6	Kin pahai chu 
2CH.29.7	Tempil mikot chu an kala, meiser an thata, mirimhoi hâl mahaia, hmun Irthianga Israelhai Pathian ta hrang hâlirvôm thilinhlan inhlan mahai. 
2CH.29.8	Hi sika hin 
2CH.29.9	Kin pahai chu khandai leh tukthat an nia, kin nâinuhai le nâipahai, kin dôngmahai leh sala an chelhai a ni. 
2CH.29.10	Kin chunga a ningmurna hi an tômtir sabeiin Israelhai Pathian 
2CH.29.11	Ki nâihaio, omchian ta no roi, 
2CH.29.12	Khahai laia khan Levi irchihai hi an oma: Kohata irchihai laia mi, Amasaia nâipa Mahata le Azaria nâipa Joela, Meraria irchihai laia mi: Abdia nâipa Kisa le Jahalelela nâipa Azaria; Gersona irchihai laia mi. Zima nâipa Joa le Joa nâipa Edena. 
2CH.29.13	Elizafana irchi laia mi: Simria le Jeuela; Asafa irchi laia mi; Zekaria le Matania; 
2CH.29.14	Hemana irchi laia mi: Jehuela le Simeia; Jeduthuna irchi laia mi: Semaia le Uziela. 
2CH.29.15	Hi mihai hin an irchipui Levi irchihai an bukkhôma, an irthiangtirhaia; rêng thupêk angin tempil an irthiangtira. 
2CH.29.16	 tempil sûnga ochaihai an lûta, thil porche an ihmu murdi chu 
2CH.29.17	Tha khatna, sûn maton taka tempil irthiangtir an phuta, a sûn riatna nî chu tempil sum omna dênin an infâia. Sûn riat dang, sûn sômhleiruk dênin tempil sûng chu Pathian biakna inruk hrangin an infâi nôka, an irthiangtir tâka.
2CH.29.18	Levi irchihai chu rêng Hezekia kuang an fea, “Tempil sûng kin irthial irthiangtir ta. Hâlirvôm thilinhlan hâlna maichâmhai, bai ser siana dokânghai le a hmangrua murdi kin irthiangtir ta. 
2CH.29.19	Ahaza’n 
2CH.29.20	Reng Hezekia chu Jerusalema hruaitu u ualhai chu a koibukhaia, 
2CH.29.21	sherâtchal sari, kêlbelrachal sari, kêlbelrate sari le sual irbôlna thilinhlan kêlchal sari an hong chôia; ochaihai chu 
2CH.29.22	Sehrâthai chu an thata, an thisen chu maichâma an intheka, kêlbelrate khom kha an thata, a thisen chu maichâma an intheka. 
2CH.29.23	Reng le pungkhômhai makunga khan sual irbôlna thilinhlan hrangin kêlchalhai an hong kaia, an lu chunga an kut an irnghata, 
2CH.29.24	ochaihaiin an thata, an thisen chu sual irbôlna’n an hmanga, Israel mi murdihai sual irbôlna’n an inhlan a ni. Reng thu angin hâlirvôm thilinhlan le sual irbôlna thil inhlan chu Israel mi murdi ta hranga inhlan a ni.
2CH.29.25	Reng deipu Gada le deipu Nathana hmanga Davida kuang 
2CH.29.26	Davida itum ngai ang tum zât an chôia. Ochaihai khom bekul chôiin an ngîra, 
2CH.29.27	Reng Hezekia chu hâlirvôm thilinhlan chu inhlan hrangin an hrila; an hor hlanin chu mipuihaiin 
2CH.29.28	Khataka om murdihaiin Pathian chubai an mûka, hla an saka, an thilinhlan a kâng zoi mân chu mirimhoi an hâl zui pata. 
2CH.29.29	Reng Hezekia le mipuihai chu an khûksadela Pathian chubai an mûka. 
2CH.29.30	Reng le hruaituhaiin Davida le deipu Asafa hla phua, 
2CH.29.31	Hezekia’n mipuihai kuang, “
2CH.29.32	A’rbukkhômhai khan thilinhlanhai, lômthu hrilnahai an hong inhlana, a nuam murdihaiin hâlirvôm thilinhlanhai an inhlana. A’rbukkhômhaiin hâlirvôm thilinhlan hrang an hong ichôihai chu sehrâtchal sômsari le belrate irzahni le belra irzakhat a ni. 
2CH.29.33	Sehrâtchal irzaruk le belra sângthum khom thilinhlan chi danga an inhlana. 
2CH.29.34	A that hrang ochai an ruk no sikin an that zoi mân chu Levi irchihaiin an sanhaia. A hnungkhôn tiang chu ochai tam ual khom an thâr irthianghai tâka. Levi irchihai hi ochaihai nêkin an lei irvong irthiang thei ual a ni. 
2CH.29.35	Mipuihai thilinhlan hâlhai hi ochaihai tho hrang a nia, an sa that mipuihai fâk hranghai khom hi an ihâl hrang a ni; hâlirvôm thilinhlan leh irrualin uain an hong inhlanhai khom hi ochaihaiin an ibun bak hrang a ni. Khanchu tempil sin thôna chu an phut nôk tâka. 
2CH.29.36	Reng Hezekia le mipuihai chu an râiinfân oka, Pathianin hianga tho thei nôk hranga a tempila hmang thei hrang le hruai theia an om sika hin.
2CH.30.1	Mipuihaiin a zoro taka Ferkân kût hmang thei mahaia, ochai tamtak irthâr irthiang zoi irman mahaia, mipui khom Jerusalema irbuk an la tôma. 
2CH.30.2	 Reng Hezekia le a rualhai le Jerusalema mihai an irhrila, a tha khatna ni loiin, tha hninaa Ferkân Kût hmang an inchuka, rêngin Israel ram le Judai rama thu a thonhaia. 
2CH.30.3	Efraimahai le Manasea-hai len vâng chu Jerusalem tempila honga 
2CH.30.4	Reng le mipuihaiin an thil tho chu a sa an tia. 
2CH.30.5	Hmâr tianga, Dan rengata sim tiang Beerseba kâra Israel mi murdi chu Jerusalema a tam thei dôr honga, ferkân kût hmang hrangin an koihaia. 
2CH.30.6	Reng le a rualhaiin palaihai chu Judai ram le Israel rama mihai va fialhai hrangin an tîrhaia, ngênna lekha hiang hin an thonhaia, “Israel mihaio, Abrahama hai, Isaka hai, Jakoba hai Pathian 
2CH.30.7	Nin pahai le nin uhai nin irchibulhai Pathian 
2CH.30.8	Anni angin nin tukulinlian ta no roi, 
2CH.30.9	 tiang nin hor hei photin chu nin râlhaiin sala an ichel nin rual lungthunghai kha, len renhai an ta, hong hruaihai an ti. 
2CH.30.10	An mi tîrhai chu Efraima le Manasea irchihai omna ram kho tina an fea, Zebulun ram khom an tunga; khannisian mihaiin an nuisohaia. 
2CH.30.11	Khaang pum khom khan Asera hai, Manasea hai, Zebulun hai, Jerusalema hong nuam an oma. 
2CH.30.12	Judai rama khom Pathianin sin a thoa, rêng le a rualhai thu anga lungrual taka Pathian nuamlam tho an irzuk ok tâka.
2CH.30.13	Tha hni zoia chu bai chol pol loi kût hmang hrangin Jerusalema mi tamtak an irbuka. 
2CH.30.14	Jerusalema pathian dang, biakna maichâm om murdi chu, mirimhoi hâlna maichâmhai leh an lâka, Kidron tuia an paia. 
2CH.30.15	Sûn sômhlei minli ni chu ferkân kûta thilinhlan kêlbelrate chu an thata. Ochai le Levi irchi, porinchehai kha an inzâhai hrai sikin 
2CH.30.16	Pathian mi Mosia dân bua hril angin an omna hrang hmun indanghaia an om vinga. Levi irchihaiin thilinhlan thisen chu ochaihai an pêka, anni’n maichâma an intheka. 
2CH.30.17	Mi tamtak chu an porche sikin ferkân kûta kêlbelrate that irthiang maka, Levi irchihai khan an that pehaia, 
2CH.30.18	Efraima hai, Manasea hai, Isakara hai, Zebulun hai laia mi tamtakhai chu an irthâr irthiang no sikin dân loi angin ferkân kût an ihmang a ni. 
2CH.30.19	Reng Hezekia chu khahai ta hrangin a chongchaia, “O 
2CH.30.21	Râifân takin sûn sari sûng chu Jerusalema honghaiin bai chol pol loi kût chu an hmanga, a sûn tin Levi irchihai le ochaihaiin hnuk inring takin 
2CH.30.22	 biakna hranga an thil neihai leh inkhôm kaihruai an thei sikin, Levi irchihai chu rêng Hezekia’n an pâkhaia.
2CH.30.22	An irchibulhai Pathian 
2CH.30.23	sûn sari dang kût hmang nôk an nuama, raifân takin an hmang nôka. 
2CH.30.24	Reng Hezekia chu sehrât sângkhat le kêlbelra sângsari, mipui thilinhlana hruai an inthea, an hruaituhaiin sehrâtchal sângkhat le kêlbelra sîngkhat an tho saa. Ochai tamtak an irthâr irthiang tâka. 
2CH.30.25	Mi tukhom Judai rama mi honghai le Levi irchihai, ochaihai, Israel ram ata honghai, Judai ram le Israel rama nam dang oma honghai khom an raiinfân tak taka. 
2CH.30.26	Jerusalem khuaa khan tukhomin an lôma, Davida nâipa Solomona thi hnunga khaang dôra raifânna la om ngai ma. 
2CH.30.27	Levi irchihai le ochaihaiin mipui ta hranga satvurna an hrila, 
2CH.31.1	Kût an chînin chu Israel mihai chu Judai ram kho tina an fe irtheka, an lungphunhai, an pathiannu Aseri irlim an iphunhai an naminrîla, maichâmhai le hmun irsâng, nam dang pathian an biakna hmunhai an insiata, Judai ram khêla Benjamina hai, Efraima hai le Manasea biala mihai khom an insiata, mâni in tiang an kîr nôk tâka. 
2CH.31.2	Reng Hezekia chu ochaihai le Levi irchihai chu sin an irsem ngai ang khan an tho hrang dân an fel pehaia. An sin hrang chu hâlirvôm thilinhlanhai, irngeina thilhai le tempila Pathian biakna bukhalâi hai, tempil mikot kôla 
2CH.31.3	 Hezekia chu ama sehrât le kêlbelra rual rengata a sûn tin le a zân tin hâlirvôm thilinhlan hranghai le, sabat nihai, tha thar nihai le kût zoroa hâlirvôm thilinhlan 
2CH.31.5	Khaanga thu a pêkin chu Israel mihaiin an thilpêk bai indi a sa zâthai, uainhai, oliv hriakhai, khuaihlutui hai le an thil tharhai le an inei murdi an sôma inkhat leh an hong pêk tâka. 
2CH.31.6	Judai ram khopuia om murdihaiin an sâ sôma inkhathai, an Pathian 
2CH.31.7	A tha thumna ata chu an hong pêk phut tâka, tha sari tena an hong ipêkhai chu a irbuk hluk tâk a ni. 
2CH.31.8	Reng Hezekia le hruaituhaiin thilpêk tam lam kha an hmu’n chu 
2CH.31.9	Rengin ochaihai le Levi irchihai kuanga thilpêk lam chu an ikhop le khop loi ar donhaia. 
2CH.31.10	Zadoka irchia ochai inlaltak Azaria’n, “Mihaiin thilpêk tempila an hong chôia ta hi chu fâk hrang kin nei tâka, fâk sêng loi tamtak a izôk a ni, 
2CH.31.11	Reng thupêk angin tempil ram sûnga hin neinun siakhômna an sina. 
2CH.31.12	An thilpêk le sôma inkhat chu a porinche loina hrangin an siaa. A enkol hrangin Levi irchia mi Konania an inkunga, a sangpa Simeia’n a changpuia. 
2CH.31.13	Anni hnuaia sin hrangin Levi irchi Jehiela hai, Azazia hai, Nahata hai, Asahela hai, Jerimota hai, Jazabada hai, Eliela hai, Ismakia hai, Mahata hai, Benaia haiin chu rêng Hezekia le ochai inlaltak Azaria kha an inkunga. 
2CH.31.14	Imna nâipa Korea, tempil nisua tianga mikot hrungtu hruaitutak chu 
2CH.31.15	Kho dang, ochaihai omna khan hi Levi irchi Edena hai, Miniamina hai, Jesua hai, Semaia hai, Amaria hai, Sekania hai chu fâk hrang kha satakin an sempuia, an Levi irchi chanpuihai khom; a poimo le poimo loihai khom ti loiin an isem sîp sîp ngai a ni. 
2CH.31.16	Pasal kum sômthum chung tiang, tempila sintho theihaiin chu an dinghmun enin an donga. 
2CH.31.17	Ochaihai chu an irchi anga irsan thei hrangin sin an irsema; Levi irchi kum sômhni chung tianga mihai chu a pa pâla sintho hrangin an semhai a ni. 
2CH.31.18	An irhming chu an dôngmahai, an nâihai le an iompui indethai leh an irziak vinga, itiklai khoma sintho hranga koihai thei an ni. 
2CH.31.19	Arona irchihai omna hrang thingtâng khua le a kôlvêla sâ vâina ram inkunga om, ochaihai kuanga fâk le nêk hrang sem hrang an inkunghaia, Levi irchihai irhming chuanghai khom an pêkhai ngai. 
2CH.31.20	Judai ram pumpuia rêng Hezekia chu a Pathian 
2CH.31.21	A diktakin a Pathian sin a thoa, tempil a’rngaiirsânga, a dânhai a zôm hrai sikin, lam tinrênga a irhniangtir a ni.
2CH.32.1	Hezekia’n 
2CH.32.2	Hezekia’n Jerusalem khom doi a tum ti an hriatin chu 
2CH.32.3	a rualhai leh an irhlet irhlôma, Assuria-haiin Jerusalem an hong nâi tena tui in hrang an nei loina hrangin kho kôla tuikuanghai chu nelinbitpai zit hrangin roi an rêla. 
2CH.32.4	Hruaituhai khan mi tamtak an hruaihaia, tuikuang om murdi chu tui irhmu loiin an nelinbit zita. 
2CH.32.5	Rengin kho kul bang indernahai kha a phoa, in irsânghai a sina, Jerusalem kho milui Milo an iti irnêng an inelinbitna kul banghai a sin insatira, ufei le phô tamtak an sintirhaia. 
2CH.32.6	A kho mihai chu sipai hruaituhaiin an hruaihaia, khopui lûtna mikot tualzôl lian taka khan mihai an bukkhômhaia, ar chuhaia. 
2CH.32.7	An kuang khan, “Huaisen takin om unglân, irnak song roi. Assuria le a sipai tamhai hi chihai no roi, nin ichi viat hrang ni ma, anni nêka roiinpui ei kôla hin a iom a ni. 
2CH.32.8	Ama chu mihriam hrâtnain a’rnghata, eini chu 
2CH.32.9	Senakeriba sipaihai chu Lakis khuaa an om zoiin Hezekia le Judai rama mi a hruaia, Jerusalema omhai kuang palai a tîra. 
2CH.32.10	Assuria rêng Senakeriba’n hiang hin a tia, “Jerusalem lâka om hranga khan imo nin la iam sika nin la iom mai? 
2CH.32.11	Hezekia khan, 
2CH.32.12	Nin Pathian biakna hmun irsâng le maichâmhai setin Jerusalem le Judai rama mihai chu maichâm inkhata Pathian chu chubai mûk nin ta, khatak khan thil inhlan nin ti, titu kha hi Hezekia hi mo ni ma? 
2CH.32.13	Keima le ka pahaiin ram tina nam danghai kin isoisak dânhai kha nin lan hriat mo? Anni pathianhaiin an mihai kha ki kut ata an ni sut thei ngai mo? 
2CH.32.14	Ka pa khan an pathianhai kha an doktirhai vinga, nin Pathian hin a kut ata nangni san le mo nin iam? 
2CH.32.15	Khasikin, Hezekia hin nangni huang no ri se, a he la no unglân, Assuria rengata a biaktuhai khan a san thei tûte nam pathian om mahai. Nin Pathian khomin nangni sansuak zoi ni mo,” a tia.
2CH.32.16	Assuria sipai hruaitu khan 
2CH.32.17	Assuria rêngin lekha leh Israelhai Pathian 
2CH.32.18	Khua inhnê olsam ual sabeiin Jerusalem kul kôla omhai insî a tuma, Hebrai chongin thu a hrila. 
2CH.32.19	Jerusalem Pathian chu nam dang pathian, mihriam isiamhai angin a soisak a ni.
2CH.32.20	Reng Hezekia le Amosa nâipa deipu Isaia chu an chongchaia, Pathian an koia. 
2CH.32.21	 vântîrtôn a zuang tîra, Assuria sipaihai le an hruaituhai a zuang thata. Assuria rêng chu mualphoi takin an khua tiang a kîr tâka. Sûn khat chu an pathian biak ina a om laiin a nâi senkhathaiin khandai leh an tuk thata. 
2CH.32.22	Reng Hezekia le Jerusalema mihai chu khaangin Assuria rêng Senakeriba le an râlhai kut rengata 
2CH.32.23	Jerusalema 
2CH.32.24	Kha zoro laia khan Hezekia chu thi vângin a naa, a chongchaia, a dam nôk hrang thu irsinsiana 
2CH.32.25	Khannisian, Hezekia chu 
2CH.32.26	Inhnung tiang chu Hezekia le Jerusalema mihai an irsîra, an irngaiintôma, Hezekia dam sûng chu 
2CH.32.27	Reng Hezekia chu a’rchong ok tâka, tukhomin an irngaiirsânga, a rângachak hai, tangkarua hai, lungmantam hai, thil mirimhoi hai, phô le thil dang hlutak tak hrêna hrangin in a sina. 
2CH.32.28	A buhai, uainhai, oliv hriakhai siana hrang siakhômna in a sina; sehrât inhai, kêlbelra irkul a sina. 
2CH.32.29	Hihai khêla hin Pathianin kêlbelra hai, sum le pâi chi tinrêng a pêk saa, khuahai a sinsiama. 
2CH.32.30	Hezekia hin Gibon tui a tiala, tui lam a sina, Jerusalem kho sûnga khur inkhata an luang irchuntirhai a ni. Hezekia chu a sintho hmun tina manchang a suaa. 
