MAT.1.1	Abraham le David a pasalnai Jisu Khrista hongkanthuina pa le puthui rabu ha hi ani.
JHN.7.17	Tu a chang innom Pathian lungdo tho rang mihan kimanchuhi Pathian an phut ahong ani nimak hale ka binga kijek jekmaking tiha nan jet rang ke. 
JHN.7.18	A ma a bing a ajek a maha ning a binga lianpui na ranga ahong ani, tak-ha ama ahong tirpu lianpui rang a hong a maha chong ajui. Hale adik lui chuan iom neimak. 
JHN.7.19	Mousi dan ha nang nin nan pek nimak mo? Tak-ha tu khat innom dan ha juimak che u, ijarra mo kei nathat na ranga nan kan siam?” 
JHN.7.20	Mitamngain an lui sang, “Tu ning mo nang nathat rang anti?” Nang nin asatlui Thavang khonam nachoike; an lui ti. 
JHN.7.21	Jisun alui sang, “Kein chuan lian tak kathoa nang nin nan ngaidon na nan om. 
JHN.7.22	Ajarko Mousi ning nan naingai vun nantanrang chong ana pek jui. Hava Mousi an phut nimak, nanpu nan pa ngain anluiphut ani. Nang nin sernikhuo hin naipangai vun nan tan. 
JHN.7.23	Sernikhuo ning hin na nai pang an khat vun tanhi Mousi dan ha akuimak aninko kein sernikhuo hin mi khat kimandam jarra nang nin ka tak chunga nan lung mo inat? 
JHN.7.24	Maisua en innang chongtan maru, tak-ha adik tak han chong tanru.”
JHN.7.25	Jerusalem ma mi alek in an luiti, “Anmanin that ranga an tok mi ha hiva hi nimak mo? 
JHN.7.26	Enru; mitam karra phuanga aman chong alui ri, tu khat innom iom lui ri ma u; lam kai ngain ama hi Khrista ani tihi aching athei lamkai pu ngain adik an hong jetrangmo? 
JHN.7.27	Khrista a hong phale hon na an phut ihong, tu khat innom jet noni cheu. Tak-ha hiva mihiko keininko hon na anphutmo ti a kan jet. 
JHN.7.28	Jisun biakinna rasa a shanga ilui man chu; “Nang nin kei hi a thianga hon na an phut ihongmo tihi nan jet mo? Kei ka binga ka ranak ka hong chang mak, nang nin nan jet lui adik ama an phut ani jarra ani, 
JHN.7.29	keiko ka jet ajarko a man inahongtir ani.” 
JHN.7.30	Hava phat han, anmanin churna rang an lui tok, tak-ha tu khat innom churngam mau. Ajarko ama pha la hong tung mak. 
JHN.7.31	Tak-ha mipui karra atam lamin ama tak an ngai jarra an luiti, “Khrista a hong phale, hiva mihi ning itho chuannek chuanlian tho tor nati mo?”
JHN.7.32	Pharisingain mitam karra Jisu tak chunga chong an ri hi an jet jarra anmani le thiampungain Jisu chur ranga anluitir. 
JHN.7.33	Jisun alui ti, “Pha bongkhat jak kein nang ni kana ompuirang a nijui. Hava suale ana hong tirpu ama omna mun han kan le rang kani. 
JHN.7.34	Nang nin kei natok nanti; tak-ha na mu noni cheu, ajarko ka omna mun han nang ni hongtorno nicheu.” 
JHN.7.35	Jiwngai anmani karra anluikanti, “Honmo achea keinin ama kan mu tor makrang? Jiwngai om na Grik khopuia a chea ihong manjet rang mo?” 
JHN.7.36	A man atia, “Nang nin kei nanatok rang ke, tak-ha namu noni cheu, hale ka omna mun han nang ni hongtor noni cheu; iti chong hi imo itina ani?”
JHN.7.37	A torna nikhuo han, kholaikhang, Janbukheng ban nikhuopui nihan, Jisun a ngirra rasa shanga a hong ti, “Tu achang innom a tui aral aninko, kei jiang hong sennang hong in rase. 
JHN.7.38	Chong thiang in ari anga, tu achang innom kei tak ana ngai miha ama lung sunga an phut ring na tuidungha lonnati.” 
JHN.7.39	Jisun hiva irihi ama tak angai mingain nuk a thavang imunarangha iluiti ani; ajarko ama lianpui na iluimumak jarra, thavang ha hava laitak lui hong pe mak.
JHN.7.40	Mipui karra mitam tak in hiva chongngai hi an jet phat han, mi alek in an luiti, “Hiva mihi adik tak chong luiriha ani.” 
JHN.7.41	Herkhat in anti, “A mahi Khrista ani.” Tak-ha mi alek in anti, “Nimak, ajarko Khrista ha ning Galili anphut Khrista ihonglui rang mo? 
JHN.7.42	Chong thiang in iri ha ko Khrista ha David phunga anphut aluini, hale David iluiomna Bethlehem khopuia nai a hong chang tia adik chongin itisa nimak mo?” 
JHN.7.43	Hiva jarra han, mitam karra rupni ankansemna an om jui. 
JHN.7.44	Mi alek in Jisu an lui churjot, tak-ha tu khat innom a chunga an kut sittor ma u.
JHN.7.45	Thiampulian ngai ha ning thiampulianngai le Pharisingai jiang an honga anmanin an lui dingkel, “Ijarra mo ama nan hong tuang mak?” 
JHN.7.46	Alutir angak pungain anluisang, “A ma chong ri anga tu khat innom chong larichil ma u.” 
JHN.7.47	Pharisingain anluisang, “Nang ni ham adik lui lamtiangmo inaruaijui?” 
JHN.7.48	Aluitirpu ngaile Pharisingai an khat in ama tak an ngai jui mo? 
JHN.7.49	Hiva mitamngai hi ning Mousi dan ha jet ma u; hiva jarra anmani Pathian Lungthak na anmu jui? 
JHN.7.50	Nikodimas ha Pharisingai karra mi ankhat ani; a man Jisu kanmupui ranga jan khat aluiche, a man a luiti. 
JHN.7.51	Na dan nuk juia mi ankhat chuan ahong thomakma, achong ri kan jet mak ma keinin dikmak tia nontak pektor masing. 
JHN.7.52	Anmanin anluisang, “Asatjui nang om Galili mo nini? Chong thiang ha telro, Galili an phut chong phuang mi tu khat om suak ma u tihi na jet rang a suak.”
JHN.7.53	Anmani ning an inn ina an che jui.
JHN.8.1	Hava suale mirakip inna anlui che, tak-ha Jisu ko Olib tangbunga a luiche jui. 
JHN.8.2	Jingtiang masa Jisu veikhat biakinna a hong kanleret, mirakip a kolla achun khomma a man a onga anmani ha manchu aphut jui. 
JHN.8.3	Dan oja ngaile Pharisingai ning numei khat mi le a chuk lui omchan satlui chuan atholaitak an churra an hong kairuaia amai kung a anmanngir. 
JHN.8.4	Han anmanin Jisu jiang anti, “Oja, hiva numei hi Pasal dang khatle siatna an tho laitak kan hong chur ani. 
JHN.8.5	A ma chong pek nukjui ja ko hiva numei hi lunga dengthat na rang Mousi ning chong i napek ani a tun nangin imo na ngaidon? 
JHN.8.6	Anmanin ama maral peklut na ranga hivahi ensin na an neia an luiti ani, tak-ha Jisun akunna a kut simma leipak aluisun. 
JHN.8.7	Anmanin an ngir chunga chong an dingkel ani jarra Jisun akunna anmani jiang aluiti, “Nan karra siatna ite khat nei lui miha ning ama jiang man Lunga deng rase;” 
JHN.8.8	Hava suale ama akunna, leipak akutchalla aluisun. 
JHN.8.9	Anmanin hava an jet phat han, Ulian tenna an phut mi ankhat, ankhat anluichea, an renga an tanpetjui. Jisu amai kunga anmanngir numei jak ha a ngirra an luimak jui. 
JHN.8.10	Jisun a hong ahongtanga ati, “E, numei, anmani honne an che jui? Nontak napek rang tu khat om om lai ma u mo?” 
JHN.8.11	Numei nun alui sang, “Oja tu khat om omlaimau,” Jisun alui ti, “Asatjui, han ko kein om na mansiat making; chetaro a tun tenna an phut vei khat siatna tholaimaro.”
JHN.8.12	Jisun veikhat anmani jiang a ti, “Kei ramuol la avar ha ka ni; tu a chang innom kei kanuk anajui ama han ring na a var ha nei nati, hale a jing na mun na om noning.” 
JHN.8.13	Pharisingain ama jiang an lui ti, “Nang in nabi binga chong shakhi na tho na chong shakhi ha dik mak.” 
JHN.8.14	Jisun alui sang, “Kein ka binga chong shakhi ki tho an in nom, adik tak ka ri ke, ajarko kei kahongna an phut kein ka jet. Nang nin jet mak che u, hon na an phut ka hong, honne kiche, tihi. 
JHN.8.15	Nangnihko miring tak sa omchan nuk jui a chong nan tan; Keinko tu khat chunga chong tanmaking. 
JHN.8.16	Tak-ha kein chong kitan inko, ka chongtan ha adik tak inirangke, ajarko ka binga chong kitannimak; anahongtirpu kapale chong kantanrangke. 
JHN.8.17	Nan dannako hingahin nan lui jiak, tiko, chong shakhi mi anni ha ning adik tia an jot inko adik ani. 
JHN.8.18	Kein ka binga chong shakhi ki pek hale kei ana hong tirpu ka Pan nom ka chunga chong shakhi ana pek.” 
JHN.8.19	Han anmanihan an hong ti, “Napa hon mo a om?” Jisun alui sang, “Nang nin kei ham, ka pa ham jet ma che u; Nang nin kei ha nannajet aninko, ka pa ham nan lui jet rang ani.” 
JHN.8.20	Jisun ning hava chonglim alui ri biakinn sunga peisakok. Sekhui manchunna a mun han iri ani; Jisu ha a pha latung takmak tu khat innom ama churlaimau.
JHN.8.21	Jisun veikhat anmani jiang a luitiret, “Kei cheretrang ka ni, nang nin kei natok nanti, tak-ha nang ni nan siatna jarra thinanti; kei ka chena mun han nang ni chetor hongtor noni che u.” 
JHN.8.22	Hava han Jiwngai an hong ti, “A man ‘Kei che na mun na nang ni chetor noni che u’ itihi imo itina ani, a binga kan that rang mo itina ani?” 
JHN.8.23	Jisun anmani jiang a luiti, “Nang ni ko ramuol la an phut mingai ha nanni, tak-ha keiko chunga an phut a hong ha kani. Nang ni ko hiva ramuol la an phut nan ni, tak-ha kei ko hiva ramuol la an phut ni making. 
JHN.8.24	Hava rang jarra nang ni nansiatnahin nan thi rang ke, tia kein kinaripe ani, “Kei hi kei ka ni tihi tak nanngaimak aninko, nan siatna jarra thinanti.” 
JHN.8.25	Anmanin an lui dingkelret, “Nang tumo nani?” Jisun alui sang; “A ma sat nang ni jiang ka ri hava tak hake. 
JHN.8.26	Nan tak chunga chongtan ranga le ri ranga a tam innom a na hong tirpu ama ha adik ani, hale kein ama jiang an phut ki jet kijetha ramuol siatnaram hin kimanjet ani.” 
JHN.8.27	Jisun a pa chong ri ha anmanin imo ani tihi luijet theimau. 
JHN.8.28	Hiva jarra Jisun anmani jiang alui ti, “Nang nin minai pasalnaiha nandomsang phat han, ‘Kei hi kei ke’ tihi nan na jet rang ke, kabingjak lungdoa kein tho making, ka pa ha ning ina manchu jak ha keinkari, nang ni rang ani jui.” 
JHN.8.29	Kei ana hong tirpahale kan om suam, a man kei ha namakma ajarko lungdo ha kein kathochak. 
JHN.8.30	Jisun a ti chong angai mirakip in takngai na an lui nei.
JHN.8.31	Jisun takngai mingaijianghan a ti, ka chong ringai hi nan jui inko: Kathiamruoi takbal nan ni. 
JHN.8.32	Nang ni adik ha nan jet rang ke, hale adik ha ning na san nati. 
JHN.8.33	“keini Abraham vonchoi rui hake kan ni,” tia an sang, “Hale keini tu khat jak suak ham lachang masing, tu ning mo an na manchang rang ke tia an ri?” 
JHN.8.34	Jisun anmani jiang a ti, “Kein nang ni jiang adik tak kinarike ani. Tu ang siatnei miha ko siatna suak ke ani. 
JHN.8.35	Suak ha ko insungmi nitheng noning, tak-ha Naihako insungmi nithengnati. 
JHN.8.36	Mi Pasalnai ha ning nangni ha ana masu aninko nang ni ha tak balla ana ma sua jui ke. 
JHN.8.37	Nang ni ha Abraham vonchoi ngai nan ni tiha kanajet, tak-ha nang nin kei lam nathat na rang nan tho; ajarko nang nin kina manchu hi luima che u. 
JHN.8.38	Kei a na hongtirpu ka pa ruia kari ani, tak-ha nang niko nan pangai an ri lam ha nan tho. 
JHN.8.39	keini kanpako Abrahamke tia an hong sang. Jisun anmani jiang a ti, nang ni Abraham a naingai nanninko ama ning itho anga nan lui tho rang ke. 
JHN.8.40	Kein Pathian tenna kahongjet adik ha na manjetna ranga ka tho ani, tak-ha kei lam nathat na rang nan tho; Abraham ko hi anga lui tho mak. 
JHN.8.41	Nang nin nan pa atho anga nan tho han anmanin an hong sang; Pathian jak ke kan pa kein in kan nei, ha jarra ama anaingai ha kan ni. 
JHN.8.42	Jisun anmani jiang a ti, Pathian ha kan pa alui ninko nan lung inasiat rang ke; ajarko, kei Pathian tenna ka honga hin ka om. Kei ka ranak ka hong nimak, a man a na hong tirke. 
JHN.8.43	Kachongrihi ita mo nan jet torlui? Ajarko ka chong ri nang nin jet thei ma che u. 
JHN.8.44	Nang ni nan pa ko Seitan hake ani, hiva jarra ama lungdo ha nang nin nan jui; a phut lai tenna a mako mi thatke ani, hale adik natianghan om mak. A ma jiang adik na ha om mak, a man a tho na rakip leisei jak a ri, ajarko leiseipa ani jarra, leiseiri rakip rang om an pa ani. 
JHN.8.45	Tak-ha kein adik tak a kari ani, hiva jarra nang nin tak na ngai ma che u. 
JHN.8.46	Keihi siatnei ka ni tia nang ni nan karra an khat in nan na titormo? Kein adik ha kari, ita mo nang nin tak nan na ngai lui? 
JHN.8.47	Pathian tenna a hong ha ning Pathian chong ha angai, nang niko Pathian tenna nimak che u; hiva jarra Nang nin ngaimakcheu.
JHN.8.48	Amanin Jisu jiang an hong ti, nang ko Samaritan mike Seitan choi nani tia Kannari lui mo ani? 
JHN.8.49	Jisun a hong sang, kei seitan nei making, ka pa chit jak ka nei ani, tak-ha nang niko chitlejak na nei mak che u. 
JHN.8.50	Kei ranga chitlejak ka dei nimak tak-ha, atokrangle le chongtan an khat a om. 
JHN.8.51	Kein adik ha kari ani, ka chong ri angai rakip in thino ni u. 
JHN.8.52	Amanin an hong ti, nang ko na lung sunga a om tihi kan jet jui; Abraham le Pathian tashantheingai om an thi jui, tak-ha Nang na mi man chu a jui ngai ko thino ni u nati. 
JHN.8.53	Abraham Kanpako a thi jui, ama nek kalianko timakche tak-ha ama nek nalianmo? Hale, tashantheingai om anithijui nang ko tumo kani tia na ngaidon? 
JHN.8.54	Jisun a hong sang, kei ka thei jak ranga chitlejak ka kan nei inko, havaha iom nimak; kein chitlejak na nei ha ko Ka pa ke ani, amahake nang nin kan Pathian nanti ha. 
JHN.8.55	Nang nin ama ha luijetmachu Keinko Kajet, kein ama ha jet making katinko; nang ni anga leiseiha ka ni jui. Tak-ha kein ama ha ka jet a chong om ka jui. 
JHN.8.56	Nan pa Abraham ko kei ka hong rang pha ha a mu jot aning aluisat, hale a mu jarra a ning a satjui. 
JHN.8.57	Anmanin an hong ti, kumsom rangajom latunglui nang in Abraham mo na mu? 
JHN.8.58	Jisun anmani jiang a hong ti, kein nang jiang adik kari ani, Abraham an nei mak ma ka lui om jui. 
JHN.8.59	Han anmanin lung anrut dengrang anti pha, Jisun a kan thup biakinn a mak a ache jui.
JHN.9.1	Jisun hingan ahonglonlai an nei lai tenna mitdel pasal khat a mu jui. 
JHN.9.2	A thiamruoingain an dingkel “Oja tu Siadna jarra mo mitdella nai ihong chang hi? A ma siatna jarra mo animakle nulepa siatna jarra mo?” 
JHN.9.3	Jisun a hong sang, “A ma siatna jarra nimak, a nu le a pa siatna han nom nimak ama tenna Pathian ranak ha mu thei na ranga ani. 
JHN.9.4	Kei ana hong tirpu chuan kan sin rang ha avarlai hin Kansin rang ani, jan ahongnin inko tu khat in nom chuan sin tor ma u. 
JHN.9.5	Kei ramuol la Ka om lai, ramuol la var ha kani.” 
JHN.9.6	Hava suale, Jisun leipak vutdiha achil thuan na amitdel ha leipak pokhan anotpejui. 
JHN.9.7	A ma jiang a ti, “Cheinlang Silom tuikhurra namai hong phiaro.” Mipaning a chea amaihi a hong phiasua phat han a mit a mua a hong kir jui. 
JHN.9.8	An inn ri an intang mingai ning man lai khani atholai an lui mu mingai ning ngom an hong ti; A onga khani tho ha hivami himo nimak? 
JHN.9.9	Aviar in anti amahike; tak-ha a dangngain a ti, nimak an kan puoke han a man a hong ti, kei ke kani. 
JHN.9.10	Han anmanin an dingkel ija mo a tunko nimujui? 
JHN.9.11	A man a hong sang, Jisu anti mi ha ning leipak pok aviar alui a ka mit anot, hale che in lang Silom tuikhurra namaihi hong phiaro ana ti; han ka chea Kamai ka hong phia sualenle kamu jui. 
JHN.9.12	A ma hon mo a om? Tia an hong dingkel, jet making tia a sang.
JHN.9.13	Mit delpaha anmanin Pharisi ngai jiang an hong tuang. 
JHN.9.14	Jisu ning leipak pok mitdelpa aluimandamha sernikhuo a luini. 
JHN.9.15	Pharisingain mitdelpa jiang ija mo na mit na mu tia an dingkel. A man a ti; “A man leipak pok alui a ka mit anot; kamai ka hong phia sualen le ka mu jui.” 
JHN.9.16	Pharisi aviar in an hong ti, hiva tho pa, mi ha ko Pathian tenna nitornoning; ajarko a man sernikhuo dan ha jui ma, aninom aviar in an hong ti, ijamo siatmikhat in angakpa chuan itho? han anmani masia rupni an suak jui. 
JHN.9.17	Han Pharisingain mipa jiang anhongtiret, namitdel hi aman dam ke nati, asatjui, han ko ama ruia nang ko imo na ngaidon? A man a sang ama ko Pathian tashanthei khat ke. 
JHN.9.18	Jiw Ulianrup ngain ama hi amit aluidella amu jui, tihi a nu, a pa, an kui maje tak luingai tormau. 
JHN.9.19	Anmanin a nu a pa jiang an dingkel mitdella nan nei nai ha hivahi mo? Han ko a tunko ijamo a hong mu? 
JHN.9.20	Anu a pa ngain an hong sang, mitdella kan nei kan pasalnai ha amahike. 
JHN.9.21	Tak-ha, ijamo a man a tun imu, hale tu in mo a mitdel hi amandam atakjiang ding kelru, ulian ani jui a tak in nasang nati. 
JHN.9.22	A pa, a nu ngai ning hiva antinako Jiw ulianrupngai ha an chit jarra ani, ajarko Jisu hi Mesaia ke tia tak angai miha Sainagok tenna notcheirei tia kan jot na alui om. 
JHN.9.23	Hiva jarra ani a nu, a pa ngain a tak jiang dingkelru ulian ani jui an lui ti ani. 
JHN.9.24	Veini chang na han, mitdelpa ankuia an hong ti, Pathian mai kung a chongsam na nei inlang adik karirangke tiro; nang anamandam miha siatneike tihi keinin kan jet. 
JHN.9.25	A man a hong sang a mahi siatneimo? Neimak mo jet making. Kei ka jet khat ko, ka mit aluidel tak-ha a tun ko ka mu jui. 
JHN.9.26	Anmanin an dingkel, a man nang jiang imo a tho, ijamo namitdel iman dam? 
JHN.9.27	A man a hong ti, kein nang ni jiang kari ver jui, nang ninko na ngai ma che u irangamo ama ruia nanjetjot ret? Nang ni om ama thiamruoimo nan chang jotjuimo? 
JHN.9.28	Anmanin ama ha khuo ankhonga an hong ti, “Nangke ama thiamruoiha, tak-ha na ni keini ko Mousi thiamruoi kan ni.” 
JHN.9.29	Pathian ning Mousi le an kan biak ti ko kan jet. Tak-ha nang nati mi ha ko hotenna mo i hong tihi kein in jet maksing. 
JHN.9.30	Mipan a hong sang, miha ning Kamitko a man dam jui, tak-ha ama hi hon na ihongmo ti ko jet making nanti hiko ka ngak e. 
JHN.9.31	Pathian ning siatnei ngai ko jet mak, tak-ha ama chitlejak a nei, a lungdo a tho ngaiha ko a jet pe. 
JHN.9.32	Ramuol phut lai tenna a mit della an nei miha amukhir tihi tu khat in nom luijetmau. 
JHN.9.33	A ma ning Pathian tenna a hong animak inko hiva chuan hi tho tor noning. 
JHN.9.34	Anmanin an sang, nang ko siat nale kanruoia an na hong neia na hong lian ani, han keini lam hi na man churangmo niti? han ama ha Sainagok tenna an not cheijui.
JHN.9.35	A suak chuan rakip ha Jisun a jet miha akanmupuia a ti, Minai pasal hi tak mo na ngai? 
JHN.9.36	Mipan a hong ti, Oja mi ha na ri pero tu mo ani miha, han ama ha kein takngai kati. 
JHN.9.37	Jisun ama jiang a ti “Nang in ama ha na mu jui, a tun nang le nankanbiak ama ha ani.” 
JHN.9.38	Mipan a hong ti, “Puma tak ka ngai ti a Jisu madonna a khup abilingjui.” 
JHN.9.39	Jisun a ti, “Ramuol la kihonghi chong tanranga ani,” a mit delngain an mu rang a mu ngain an mit idel rang, 
JHN.9.40	hava sierra a om Pharisi aviar in chong ha an jet an hong ti, keini om kan mit mo adeljui? 
JHN.9.41	Jisu ninga sang, “Nanmit aluidel inko siatluinei noni che u tak-ha, nang nin kan mu nanti jarra siatna nan nei jui.”
JHN.10.1	Jisun a ti, “Kein nang ni jiang a thianga ka na ri ani, tu ang belram kot lutluia a dang pal varal tianga a hong lut ha ko, a ruk le arep ranga a hong ani. 
JHN.10.2	Belram kot a lut miha ko belram selpuha ani. 
JHN.10.3	Kot ngakpu ha ning kot longpe nati, belramngai ha anminga akuia a rasa an jet; han a man a ruoia vanga a tuang. 
JHN.10.4	A ma ning avaruoi suak phat han, an madon alon na, belram ngain an jui, ajarko, a rasa an jet. 
JHN.10.5	Amanining midang khat ha juinoniu, ajarko amelle a rasa jet ma u; ama tenna phut an tan rang ani.” 
JHN.10.6	Jisun hiva tetan na hi anmani jiang ari, tak-ha anmanin imo atina lui jet ma u.
JHN.10.7	Jisun vei khat avatiret, “Kein adik tak kinari ani; belram ranga kot ha ka ni.” 
JHN.10.8	Ka madonna aleihong ngaiha ko a ruk rep anni jarra, belramngain an rasa lui jet ma u. 
JHN.10.9	Kei kot hakani kei jiang a hong rakip ring na mu nanti; hong lut nati suak nati hale khop nati. 
JHN.10.10	Aruk ha ning mithat ranga manmang ranga ihongke ani; kein ka hong hiko, nang ni ring na ranga le lungdo tung na ranga ani. 
JHN.10.11	‘Kei belram asat selle anmani rang athitor ha ka ni.’ 
JHN.10.12	Belramsel alopa ha ning asat belramsel animak jarra, ram ui ning a hong pha belramngai ha a mak a tan, han ram ui ha ning belramngai ha anot ankansenverjui. 
JHN.10.13	An niak ani jarra belramngai ha taktelmak. 
JHN.10.14	‘Kei asat belramsel ha ka ni’ 
JHN.10.15	Ka pa ning a na jet kein nom ka jet, ha ang han belramngain nom an na jet, hiva jarra anmani ranga ka ringkhuo ka pek tor. 
JHN.10.16	Hijak ni luia a dang belram om an la om, ti ko kei Kabelramngai hiva sunga kan chel lui; Karasa na jet nan ta anmani ha va tuang kata, belramrup khat jak chang nan tau ashelpu om khat jak nirang anni. 
JHN.10.17	“Kapan kei alung ana siat, ajarko, ka ringkhuo ha ama ranga ka pek; han kein veikhat kamukhier rang ani. 
JHN.10.18	Tu khat innom kei Karingkhuo luitor noni u, ka pa ning cham a na pek nuk juia ka ringkhuo ha ka pek jot le ka pek ka lui khir jot le kaluikhir, hiva ranak hi kei ka nei.” 
JHN.10.19	Hiva chongruia anmani masiaha rupni an suak jui. 
JHN.10.20	Mitam lam ning an hong ti,” iruija mo nanlangai? A ma ko Seitan a choia avet jui ke. 
JHN.10.21	“Aviar in anhongtiret, Seitan choi mi ning hi ang chong ritormau hale a mitdel om mandamtor ma u.”
JHN.10.22	Phabi a hongni pha Jerusalem ma biakinn lut na ut ha an lui tho. 
JHN.10.23	Jisun Solomon biakinn tualla aluilon. 
JHN.10.24	Mingain ama ha an hong dep hale an dingkel, “A thianga na ri pero nang Mesaia mo na ni? I duk sot mo keini jiang nila kanthup rang?” 
JHN.10.25	Jisun a sang, “Kein a thianga nang ni jiang. Karijui, tak-ha nang nin tak na ngai mak che u; Kein ki tho rakip hi ka pa ranak ani tihi jet thei ani. 
JHN.10.26	Nang nin tak na ngai mak che u, ajarko nangi kabelram karra kan chel mak che u. 
JHN.10.27	Karasa belramngain an jet; Kein nom ka jet, hale kanuk ha annajui. 
JHN.10.28	Anmani ha kumsot ringna ka pek; thichil lai noni u; Kei jiang tenna tu khat jak innom na sut tor noni u. 
JHN.10.29	Irakip kara ka pa ning a na pek anmani ha khel la satke ani; han tu khat jak innom ka pa kut chung tenna sut tor noni u. 
JHN.10.30	Kei le ka pa le khat jak kan ni,” 
JHN.10.31	han mingai ha ning ama ha deng na ranga lung anrutjui. 
JHN.10.32	Jisun anmani jiang a ti, ka pa tenna chuan a tam kathoha nan mu jui, hava chuanrui jarra homo nan jot lui kei ha lunga na deng rang nanti. 
JHN.10.33	Anmanin an hong sang, chuan sat ruia kein in nang ha lunga nadengjot maksing, tak-ha, Pathian ha esella nirijarra hale, nang in miring na ni bak a Pathian nichangjot. 
JHN.10.34	Jisun a sang, “Nang ni dan Sunga a kan jiak Pathian nin a ti, nang ni pathian nan ni.” 
JHN.10.35	keinin kan jet chong thiang rabun a ti ha adik ke ani, Pathian chong ha mingai jiang a hong pek, anmani ha pathian antike. 
JHN.10.36	Kei ko Pathian nai ka ni kati jarra mo ani? A pa ning a lungsiat ramuol la ihongtir ama ha Pathian na esel nan ta amaruia mo nan ri. 
JHN.10.37	Kein ka pa chuan ha ka tho mak inko kei tak na ngai maru. 
JHN.10.38	Tak-ha, kein ka tho inko tak nannangai mak in nom ka pa ning kei jiang a om. Kein ama jiang ka om tihi jet a tak nan hong ngai na rang chuan ha takngairu. 
JHN.10.39	Anmanin Jisu chur na rang an lui tok, tak-ha anmani kutveng tenna aterjui. 
JHN.10.40	Johon ning tuiamanlutna Jordon va ralla Jisun a che ava omjui. 
JHN.10.41	Han mitam lammin Jisu jiang an honga an hong ti, “Johon inko jet na chuan hi iom tho mak, tak-ha mihiningko Johon ning alui ri nuk juia a tho.” 
JHN.10.42	Hava mun han Jisu ha mitam lammin tak an ngai jui.
JHN.11.1	Bethani khopuia Lazarus anatpaha alui om han, a u Meri le Martha om an lui om. 
JHN.11.2	Meri ning puma a ke han, Sariak rimhui anot pea; asamhan anot hulpe han a naipangpa Lazarus alui nat. 
JHN.11.3	Hiva jarra a u nu ngai ning Jisu jiang chong an pek “Puma na sap lungsiat ha a natjui.” 
JHN.11.4	Jisun hava ha a jet phat han, a ti, “Hiva a nat hi thina rang a nat nimak, tak-ha hiva jarra Mi Pasalnai manpak nale lianpui na mu na ranga ke ani.” 
JHN.11.5	Jisun Meri, Martha le Lazarus a lunga siat. 
JHN.11.6	Jisun Lazarus a nat ti chong a jet tenna phut a om na mun na nini suale a tung jui. 
JHN.11.7	Hava suale a man a thiamruoingai jiang a ti, “keini Judia tiang kirkhir tarei,” 
JHN.11.8	Thiamruoi ngain Puma jiang anti “Oja Jiwngai ning a tun tak lunga nadengrang anti ha, Sontiang nala cheret rang mo?” 
JHN.11.9	Jisun a sang, “Nikhat sunga nidan somlei anni nimak mo? Hiva jarra tu ang mi ning sunna a lon inko kutsuikesui om noning, ajarko a man ramuol la var ha a mu. 
JHN.11.10	Tak-ha tu ang mi ning jan na a lon inko kutsuikesui nei nati ajarko, avar ha a man jiang om mak.” 
JHN.11.11	Jisun hava arisualenle “Lazarus ajaljui, a tun kei chekata va kei thui rang ka ni; a ti.” 
JHN.11.12	Thiamruoingain anti, ‘Puma, ama a jal aninko, a nat damrang ani.’ 
JHN.11.13	Tak-ha Jisun ko Lazarus a thi jui a ti na ani; anmani ngaidon na ko ajalla a pong akansak ke anti. 
JHN.11.14	Hiva jarra Jisun a thianga anmani jiang Lazarus a thi jui tia a manjet. 
JHN.11.15	Tak-ha nang nin tak nanngai na rang. Kein ama jiang lui om making ti a nang ni jiang ka ning asat, keini ama jiang che rei. 
JHN.11.16	Deuma anti Thoma ha ning a sap Thiamruoingai jiang a ti, puma le keini thisuam ranga che rei.
JHN.11.17	Han Jisun a hong tungpha, Lazarus ha thanna an phumna nimanli ani jui tiha a jet jui. 
JHN.11.18	Bethani ha Jerusalem tenna phut mail kilometar anni anthum a kan lak ani. 
JHN.11.19	Jiw mitamtak in Meri le Martha an nai pangpa thijarra lung hui luitak mathem ranga an hong ani. 
JHN.11.20	Martha ning Jisu a hong ti chong a jet pha, a chea avakan mupui; tak-ha Meri ko inn sunga a om. 
JHN.11.21	Matha ning Jisu jiang a ti, ‘Puma nang na lui om inko kanaipangpa hi thinoning, 
JHN.11.22	ha aninom nang in Pathian jiang ama ranga na lam rakip ana pek rang ke tihi ka jet. 
JHN.11.23	Jisun ama jiang a ti, na nai pangpai ringkhir rang ani tia a manjet.’ 
JHN.11.24	Marthan a ti, atorna nikhuo han ama hi a hong thui khir rang tihi ka jet. 
JHN.11.25	Jisun annajiang a ti, “Kei thui khir nale ring na ha ka ni, tu ang mi ning kei hi tak ana ngai inko athi innom aring khir rang ke ani, 
JHN.11.26	han tu aninom kei tak anangaiha ring khier nati veikhat thilai noning tihi tak nangaimo?” 
JHN.11.27	Amanu ning a sang, ‘Puma, Pathian nai Pasal ramuol la ahong Mesaia na ni, tihi kein tak ka na ngai.’
JHN.11.28	Marthan hi a ti suale anaipangnu Meri jiang a che rukchian a kan biakpui, “Oja ha hin a om ma Nang anatok tia a hong manjet.” 
JHN.11.29	Meri ning ha a jet pha, a thui ret a rak tak a kanmupui ranga a che jui. 
JHN.11.30	Tak-ha Jisu ko khuo sunga la hong tung ma, Marthale an kan mu na han ala om ani. 
