MAT.1.1	Yisa Masia yejamm piinue na: u din tee David yaaboonne, ki David mun din tee Abraham yaaboonn.
ACT.3.21	ŋaan Yisa maŋ lek sii be Yendɔuŋ ni, ki Yennu-n tan ŋamm bona kura, kaman nan wa din te ki u popeenn sɔkiniinba nba din be yaayoo ni na yet biaŋinba na, ki bi mun pak turit na.
ACT.3.22	“Ŋann maŋe ki Moses mun din yet a ‘Ti Yomdaanɔ Yennu sa turi u sɔkiniisɔɔ, a ki u sii tee i mɔŋ nirɔ, kaman nan wa nyinn min biaŋinba ki teenin u sɔkinii i boor nna na. Gbiintirɔ man ki tun linba kur ki u sa pak turi; 
ACT.3.23	ki daanɔ nba ki gbat sɔkinii maŋ maami, Yennu sa nyinn li yɔɔ i sinsuuk ni ki biirɔ.’
ACT.3.24	“Yennu sɔkinii Samuel nan sɔkiniinba nba wei u paak ki din piak Yennu maan, bi kura din want linba tan sa teen Yennu Niganntɔɔ Masia ti yoo nee. 
ACT.3.25	Yennu mɔsona nba ki u din senn ki tur u sɔkiniinba maŋ, li mɔsona tee i yare; ki lor nba ki u din lor nan ti yejamm na, li lor mun bia tee i yare, kimaan u din yet Abraham a ‘A yaaboonyenɔ nie ki tingbouŋ na teeb kura tan sa la n mɔsonŋann.’ 
ACT.3.26	Li paak ki Yennu gann u Toontunnɔ Masia maŋ ki tumɔ i boor ni sinsinn, a wun te ki i kur-n nyik i biit ki la mɔsonŋann maŋ.”
ACT.4.1	Yoo nba ki Piita nan Jɔɔnn daa din see ki piak teen niib maŋ na, ki Yennu jiantu ŋasaakak lanjimanba yudaanɔ nan Sajusiinba nan Yennu jiantu yudamm kpir baar Piita-nba boor ni, 
ACT.4.2	kimaan bi wutoa doo nan Piita nan Jɔɔnn, a bi want niib a Yisa daan fiir kuun ni paak, ki li want nan kpeemm tan sa fiir kuun ni ki jen bi manfoor ni biak.
ACT.4.3	Li paak ki bi soorib ki kɔɔmm dansarik a lin yenta, kimaan yoo poŋ gara. 
ACT.4.4	Ŋaan ki niib bonchiann nba din gbat Piita maan maŋ teen Yisa yada ki teen Yisaweira. Ki jab nba teen u weira na kann din tee kaman nan tusa ŋaŋŋmu na.
ACT.4.5	La tan yent sanyiɔk ni, ki Juu teeb yudamm nan saakab nan sennu wannteeb lakin bi tituk kaanu ni Jersualem; 
ACT.4.6	ki bi lakin nan Yennu jiantu yudaanɔ Annas, nan Kayafas, nan Jɔɔnn nan Aleksander nan jiantu yudaanɔ maŋ ŋaatesiab, 
ACT.4.7	ki te ki Piita nan Jɔɔnn fiir ki set bi sinsuuk ni, ŋaan ki bi boib a “Panboor bee ki i mɔki? Ki ŋmee sann nie ki i fiin wɔbik nba na?”
ACT.4.8	Ŋanne ki Yennu Seyeeŋ fiir Piita ni, ki u jiin ki yetib a “Yimm chanbaanba nan saakab, gbiintir man, 
ACT.4.9	li-i tee ki i boit dinna na ki jikit saa toonŋann nba ki ti tun ki tur wɔbik na, nan wa la laafia na paakie, 
ACT.4.10	ŋann li ŋan ki i kura-n bann, ki Israel teeb kur-n mun bann nan Nasaret nirɔ Yisa Masia sann paake ki jɔɔ maŋ la laafia ki see i numm ni na. Li Yisae ki i daan te ki bi kpaau dapunpunn paak ki kpiiu, ŋaan ki Yennu fiinɔ kuun ni na. 
ACT.4.11	Ŋɔɔe tee daanɔ nba ki Yennu gbouŋ piak u po na, a ‘Tann nba ki yimm tanmaara yêtɔ na, a ŋannii set tee lɔtik ni tanŋann.’ 
ACT.4.12	Ki sɔɔ sann ji kaa tingbouŋ na ni ki Yennu tur niib a bin la tinnu, see Yisa kuukɔɔ.”
ACT.4.13	Tituk teeb maŋ nba din la Piita nan Jɔɔnn parcheenn nba ki bi mɔk na, ki bia bann nan Piita nan Jɔɔnn tee damm nba ki mi gbouŋ bonŋann na, li din yaar ŋaan litibe, ki bi ji bann nan bi tuu tee Yisa weinanleebe. 
ACT.4.14	Ba la jɔɔ nba ki bi won te ki u paak na, ki u see Piita nan Jɔɔnn boor ni na, bi ji din ki mɔk mɔb nba sa pak ki biiribi.
ACT.4.15	Ŋanne ki bi din ŋaan ki bi daa nyii bi lakinu diiuk maŋ ni daann, ŋaan ki bi biar faa bi leeb labaar, 
ACT.4.16	ki boi bi leeb, a “Ti sa teen jab na nlee na? kimaan sɔɔ kur nba be Jerusalem poŋ mi yaarlituk toonn nba ki bi tun maŋ na. Li paak nna ti ji kan fit nɔi; 
ACT.4.17	ŋaan ŋaant man ki tin kpaamm kpaanii, ki bi ji daa mi ki yi Yisa sann ki teen niibi, ki Yisa maan maŋ ji daa bia yat ki saa niib ni.”
ACT.4.18	Ŋanne ki bi yiimm, ki bi jen kɔɔ diiuk na ni; ki bi betib a “I mi man ki i ji mi ki jii Yisa sann ni ki pak ki wann sɔɔ jik.” 
ACT.4.19	Ki Piita nan Jɔɔnn jiin ki betib a “Ki i yaa mɔŋ mɔŋ po ŋarin, i dukin nan lanne tokin Yennu boor ni? ti ji sak i mɔb ŋaan nyik Yennu mɔb amii nlee? 
ACT.4.20	kimaan timm kan fit ki nyik pinpauk linba po ki ti la ki bia gbati.” 
ACT.4.21	Ki tituk teeb maŋ lek kpaamm kpaanii nan nunmɔnjar, ŋaan ŋaab yann a bii saa, kimaan bi ki la sɔnsau nba ki bi sa dat bi tuba, kimaan niib na din piak ki dont Yennu sann nan ba din fiin wɔbik na paak. 
ACT.4.22	Jɔɔ nba ki bi te ki u paak na bina din gar kaman nan binpiinna nawa.
ACT.4.23	Ba ŋaa Piita nan Jɔɔnn yoonba, ki bi ŋmat kun bi leeb peŋ, ki saa yetib linba ki Yennu jiantu yudamm nan saakab maŋ pakib.
ACT.4.24	Ba mun gbat nna maŋ ki bi kur taan leeb nan dudukyent kuukɔɔ, ki mei Yennu a “Ti Yabint Yomdaanɔ, fine din nan sanpaak nan tiŋ na, nan mɔkgbeŋŋa nan linba kur be leŋ, 
ACT.4.25	ki a Seyeeŋ maŋ nie ki a din wann ti yeja David wunba din tee a toontunnɔ, ki u din bunt buntir ki yet a
ACT.4.25	‘Binba ki tee Israel teeb na pir nan wutoa,
ACT.4.25	ki Israel teeb lorin lor yanna,
ACT.4.26	ki tingbouŋ na kpanbara nan yudamm taan leeb
ACT.4.26	ki took a bin kɔn nan ti Yomdaanɔ Yennu
ACT.4.26	nan u Niganntɔɔ Masia na.’
ACT.4.27	“Li tee barmɔniie nan Herod nan Ponshus Pailat nan binba ki tee Israel teeb na nan Israel teeb daan set lakin doo na ni, ki lor lora a bin kpi a popeenn toontunnɔ Yisa, wunba ki a din gann ki sennɔ na. 
ACT.4.28	Ŋanne ki bi lakin, a bin tun linba kur ki a poŋ din dukin a yanbɔɔt ni nan a paŋ, ki yaa li tan sa teen na. 
ACT.4.29	Tɔn, mɔtana, ti Yomdaanɔ, gbiintir niib na nba fɔ kɔnfɔɔt nan nunmɔnn ti paak na, ki ŋaan ki timm nba tee a daaba na-ii piak a maan nan parcheenn bonchiann, 
ACT.4.30	ŋaan tant a nuu ki te ki baatib-n la paaku, ki ŋaan ki tii tuun bakitnauŋ toonjaana, nan a popeenn toontunnɔ Yisa sann paŋ ni.”
ACT.4.31	Ba gbenn Yenmiaru na yoonba, ki siaminba po ki bi tikir na ji jek, ki bi kura gbee yent nan Yennu Seyeeŋ, ki ji piin piak Yennu maan nan parcheenn.
ACT.4.32	Li yoo na ki Yisaweira maŋ kura taan leeb nan dudukyent kuukɔɔ, ki chentir bi bona ki teen bi leeb. Bi sɔɔ din ki yaa a u yen siar nan u mɔŋi. 
ACT.4.33	Li yoo na jik ki toomiinba maŋ din nyint ti Yomdaanɔ Yisa kuunfiiru siara, ki siara maŋ din mɔk paŋ bonchiann, ki Yennu sommir bonchiann din be bi kur ni. 
ACT.4.34	Ki linba na sɔɔ din kaa bi ni ki pɔt siari, kimaan binba din mɔk bi mɔŋ mɔŋ kpaant nan bi ŋei din tuu kɔie, ki gaar li likirii ki baar nann, 
ACT.4.35	ki tan teen toomiinba na, ki bi chentir ki teen bi leeb nan ba loon biaŋinba. 
ACT.4.36	Ki jasɔɔ din be leŋ ki u sann yi Josef, ki u din tee Liifai booru ni nirɔ, wunba ki bi din marɔ Saiprus, ki toomiinba na din yiu Banabas (ki li paak tee Sommtɔɔ na), 
ACT.4.37	ki u din tan kɔi u kpaab, ki gaar li likirii ki baar nann, ki tan tur toomiinba na.
ACT.5.1	Jasɔɔ nna mun din be ki u sann yi Ananias, ki u ŋaapoo sann mun din yi Safaira, ki u din tan kɔi u kpaab ki gaar li likirii, 
ACT.5.2	ŋaan paat likirii maŋ paak ki bɔr, ki u ŋaapoo mi li po, ŋaan jii linba tenn na, ki baar nann ki tan tur toomiinba maŋ. 
ACT.5.3	Ki Piita boiɔ a “Ananias, bee ki a ŋaan ki Sintaanii kɔɔ ki yent a par ni, ki a faar faak ki loon ki a kpann Yennu Seyeeŋ, ki paat likirii nba ki a daan kɔi a kpaab na paaki? 
ACT.5.4	Fa daan daa ki kɔi a kpaab maŋ na, li daan ki tee a yar kaa-aa? Ki fa bia daan kɔir na, li likirii maŋ bia daan ki be a yent ni kaa-aa? Ki bee teen ki a dukin a par ni ki tun linba na? A ki faar faak maŋ ki paan nirɔ kaa, ŋaan a faar ki paan Yennue.”
ACT.5.5	Ananias nba gbat nna maŋ yoonba, ki u kpo ki baa li yoo na. Ki jaŋmaanchiauŋ kɔɔ binba kur gbat u kuun maŋ po. 
ACT.5.6	Ki naasimm fiir ki jiiu ki pɔbinɔ chinchenn ni, ki jiiu nyii nanɔ ki saa piiu.
ACT.5.7	Ŋanne ki li yann waaminna, ki u ŋaapoo baar ki kɔɔ, ŋaan daa ki bann linba teeni. 
ACT.5.8	Ki Piita bia boiɔ a “Betirin, li set tee barmɔniie nan fin nan a sɔrɔ kpaab likirii nba ki i gaar na kurii na-aa?” Ki u jiin a “Nn, li kurii na.” 
ACT.5.9	Ki Piita boiɔ a “Bee ki fin nan a sɔrɔ taan mɔb, ki lor lor a i bikin ti Yomdaanɔ Seyeeŋi? Tɔn, naasimm nba jii a sɔrɔ ki saan ki saa piiu na, ŋammii kɔɔ tammɔb nna, ki bi mun bia sa jiia nnee ki saan piia.” 
ACT.5.10	Li taakpaak ni, ki u kpo ki baa, ki naasimm na kɔɔ ki la ki u kpoa, ki bi bia jiiu ki nyii nanɔ ki saa piiu ki kpianɔ nan u sɔrɔ. 
ACT.5.11	Li yoo na ki jaŋmaanchiauŋ soor Yisaweira kur nan binba kur gbat maan maŋ po.
ACT.5.12	Li yoo na ki toomiinba na tuun bakitnauŋ toonjaana niib na ni bonchiann. Ki Yisaweira kura tuu taan leeb Yennu Yennu ŋasaakak, Solomon barintir boor. 
ACT.5.13	Binba ki tee Yisaweira na din ki mɔk par nba ki bi sa lakin nammi, ŋaan niib din piak dont Yisaweira na bonchiann, 
ACT.5.14	ki jab nan poob bonchiann din teen yada ki pukin Yisaweira na po.
ACT.5.15	Ŋanne ki niib din nyi nan baatib, ki dɔɔntib gadɔi nan dundɔɔnii paak sanjokpinii ni, a Piita-i taŋŋi baar ki gaar yoonba, ki u yunyuŋ-n lek baa bi paak ki bin la laafia. 
ACT.5.16	Ki niib nba din be Jerusalem digbanbis ni mun jikit baatib, nan binba ki narinbiit daamiib na, ki baat namm, ki bi kura din laat laafia.
ACT.5.17	Li paak ki Yennu jiantu yudaanɔ nan u weinanleeb kur, binba tee Sajusiinba na, din fiin punponn bonchiann nan toomiinba na, ki din te ki bi saan 
ACT.5.18	ki saa soor toomiinba maŋ ki kɔɔmm dansarik. 
ACT.5.19	Ki li nyiɔk maŋe ki Yennu malaka sik ki loot dansarik tammɔi, ki nyinn toomiinba maŋ, ŋaan betib a 
ACT.5.20	“I saa man Yennu ŋasaakak ni, ki saa set, ŋaan mɔɔnt ki tur niib manfoor na maan kura.”
ACT.5.21	Ba gbat u maan maŋ, ki bi saan ki saa kɔɔ Yennu ŋasaakak maŋ ni, sanyapob ni, ki ji piin ki want niib maan maŋ.
ACT.5.21	Ki Yennu jiantu yudaanɔ nan u weinanleeb na din yiin Israel teeb yudamm kura, ki lakimm tituk kaanu, ki bi tan tun lanjimanba a bin nyinn toomiinba maŋ ki baar namm na. 
ACT.5.22	Ŋanne ki bi saan dansarik maŋ ni ki saa got, ki ki labi, ki ŋmat tituk maŋ ni ki saa betib a 
ACT.5.23	“Ta baar dansarik ni yoonba, ti la ki tammɔi kpare kenkenkema, ŋaan ki dansarguura na be tammɔi ni ki guu, ki ti loot tammɔi na, ŋaan ki ki la sɔɔ dansarik diiuk maŋ ni.”
ACT.5.24	Yennu jiantu ŋasaakak lanjimanba yudaanɔ nan jiantu yudamm nba gbat nna maŋ, ki li teemm yaarlituk nan toomiinba na botu maŋ paak, ki bi ji biris linba sa teen. 
ACT.5.25	Ki taan sɔɔ ki jasɔɔ nna kɔɔ, ki yetib a “Gotir man, jab nba ki i won kɔɔmm dansarik wonn na, bi see Yennu jiantu ŋasaakak ni ki want niib Yennu maan.” 
ACT.5.26	Li yoo na ki lanjimanba yudaanɔ na jii u jab, ki bi saan ki saa nyinn toomiinba maŋ ki jen namm, ŋaan bi ki nyimm nan paŋ kaa, kimaan bi tiin jaŋmaanii a niib na tan sa mann jaatib tana.
ACT.5.27	Ba baar namm yoonba, ki bi te ki bi saan set tituk teeb na sinsuuk ni. Ki Yennu jiantu yudaanɔ na yetib a 
ACT.5.28	“Ti daan turi mɔb nan nunmɔnn, ki yaa a i daa want niib Yisa sann ni, ŋaan gotir ya tan tun linba na, ya jii i wannu maŋ ki yat Jerusalem kur po, ŋaan ji loon a i teent Yisa kpiira.” 
ACT.5.29	Ki Piita nan toomiinba leeb na jiin ki yetib a “See ki ti lek-ii saak Yennu mɔb ki gar nirɔ mɔb. 
ACT.5.30	Yisa maŋe ki i daan poŋ kpaa tabinɔ dapunpunn paak ki kpiiu na, ŋaan Yennu nba tee ti yejamm Yennu na, ŋɔɔe fiin Yisa kuun ni, 
ACT.5.31	ki jiiu donnɔ ki kaanɔ u niidiitu po, ki teenɔ Yudaanɔ nan Tinntɔɔ, a Israel teeb-ii nyik bi biit, ki wun nyik bi toonbiit ki chabib. 
ACT.5.32	Timm nan Yennu Seyeeŋe tee Yisa kuunfiiru maŋ siara damm; ki Yennu jii u Seek maŋ ki tur wunba saak u mɔb.”
ACT.5.33	Yudamm maŋ nba gbat nna maŋ, ki bi wutoa fiir, ki bi ji yaa bin kpi toomiinba maŋ. 
ACT.5.34	Ŋaan Farisiisɔɔ nna din be tituk na ni, ki u sann yi Gamaliel, ki u din tee sennu wanntɔɔe, ki niib kur din teeu nibaakir; ki u din fiir ki set, ŋaan yet a bin daa nyinn toomiinba maŋ nanyer po waan; 
ACT.5.35	ŋaan bet tituk kaanu damm maŋ a “Hei, Israel teeb, i mi man nan ya yaa i teen niib na linba na fan. 
ACT.5.36	Sianyoo nba din gar, ki Tiudas din want u mɔŋ nan u tee nijaansɔɔe, ki niib kaman nan kobii ŋanna na din tee u poorpojɔɔmu, ŋaan niib nba din tan kpiiu, u jɔɔmu na kura din yate, ki u jagberin na gbenn. 
ACT.5.37	Ki ŋann tan gar nna, ki Judas, wunba din tee Galilee nirɔ mun din nyii ki set nikant yoo na, ki want u mɔŋ, ki din tunn niib bonchiann yan ki bi waau; ki niib bia mun din tan kpiiu, ki u jɔɔmu na kur yat. 
ACT.5.38	Mɔtanara, kpan ŋaant Yisaweira maŋ man, ki daa teeb siari; ki li-i tee ki bi dudukit nan bi toona na-i tee nisaarik yarie, li tan sa gbenna. 
ACT.5.39	Ŋaan li-i tee ki li tee Yennu yarie, i kan fit ki nyannibi. I sa la ki i mann kpet ki kɔn nan Yennue gbaa.”
ACT.5.39	Ŋanne ki tituk teeb maŋ ji sak Gamaliel mɔb na, 
ACT.5.40	ki yiin toomiinba maŋ ki kɔɔmm, ki te ki bi boob kpaasir, ŋaan ŋaab, ŋaan turib mɔb a “I mi man ki i ji kii yi Yisa sann maŋ.”
ACT.5.41	Ŋann maŋe ki toomiinba maŋ nyii tituk kaanu na ni nan parpeenn, Yennu nba la ki bi jaŋ nan feidinu, Yisa sann paak na. 
ACT.5.42	Ki daar kur ki bi saa Yennu jiantu ŋasaakak ni, ŋaan bia lin niib ŋei ni, ki want niib a Yisa tee Yennu Niganntɔɔ Masiae, ki bia mɔɔntir u barŋanii na, ki ki nyikiti.
ACT.6.1	Li poorpoe ki Yisaweira ŋammit yabitir ki pukii, ki bunburimii tan baar Juu teeb nba piak Griik maan, nan Juu teeb nba piak bi mɔŋ maan na sinsuuk ni; kimaan binba piak Griik maan na din yet a bi-i toor jeet daar kur, bi pakɔi ki laat bi tora nan leeb na. 
ACT.6.2	Ŋanne ki toomiinba piik nan bannlee na yiin Yisaweira maŋ kura, ki tan yetib a “N naa waas, li ki ŋan ki tin nyik Yennu maan mɔɔntii ŋaan biar jeet toru ni. 
ACT.6.3	Li paak, gotir ki gann jab bannlore i sinsuuk ni, binba ki i mi nan bi binbeŋ ŋan, ki bi bia mantik gbee nan Yennu Seyeeŋ nan yanfantir, ki tin teemm toona na yudamm; 
ACT.6.4	ŋaan ki timm-n jii ti mɔŋ yoo ki teen Yenmiaru ni, nan Yennu maan wannu ni, ki daa naki.” 
ACT.6.5	Ki mɔtaauk niib na kur ji din mɔk parpeenn nan toomiinba maan maŋ paak. Ŋanne ki bi gann Stiifen, wunba mantik gbee nan Yennu Seyeeŋ nan yada na, nan Filip, nan Prokorus, nan Nikanor, nan Timon, nan Pamenas, nan Nikolaus, wunba din nyii Antiok, ki ki tee Juu nirɔ, ŋaan din kpint u jiantu ki waa Juu teeb jiantu na. 
ACT.6.6	Mɔtaauk niib na nba gannib yoonba, ki bi te ki bi saan set toomiinba na tɔɔnn po, ki toomiinba maŋ miar Yennu ki turib ŋaan jii bi nii ki yii bi paak.
ACT.6.7	Li poorpoe ki Yennu maan ŋammit ki yat kɔɔ niib ni, ki Yisaweira mun bia yabitir ki pukii bonchiann Jerusalem, ki Yennu manteeb niburchiauŋ sak Yisa barŋanii ki teenɔ yada.
ACT.6.8	Ki Stiifen din la Yennu sommir nan yikoo bonchiann, ki din tuun bakitnauŋ toonjaana niib na sinsuuk ni. 
ACT.6.9	Ŋaan nisiab din ki sakɔ. Binba din nɔi nan Stiifen maŋ din tee Juu teeb nba din tee daaba, ki bi ŋaab bi daabsin ni. Ki bi nyii Sairene nan Aleksandria nan Silisia nan Asia nie. Bi mun din mɔk bi mɔŋ Yenjiantu diiuko. 
ACT.6.10	Ki Yennu Seyeeŋ din tur Stiifen yanfantir bonchiann, ki bi ki fit nyannɔ nan u maan maŋi. 
ACT.6.11	Ba din ki fit nyannɔ na, ki bi din kɔɔ nisiab a bin yet a nna, “Ti gbat ki u piak bonbilankant ki biir Moses nan Yennu.” 
ACT.6.12	Ba yet nna maŋ yoonba, ki niib na nan saakab nan sennu wannteeb wutoa doo, ki bi fiir ki soorɔ, ki saan nanɔ bi yudamm tituk boor ni; 
ACT.6.13	ki bi tan baar nan nisiab nna biak a bin faar faak, ki yet a “Yoo kur jɔɔ na yɔɔ piak ki biir Yennu jiantu ŋasaakak maŋ, nan Moses sennu nee, 
ACT.6.14	kimaan ti gbat ki u yet a Yisa nba tee Nasaret nirɔ na sa bet Yennu ŋasaakak na, a ŋaan lebit Moses kaar nba ki u din senn na.” 
ACT.6.15	Binba kur din lakin kar tituk maŋ ni din kpaa bi ninbina ki gorii Stiifen, ki tan la ki u nummpo lebit ki ji naan nan malaka nummpo na.
ACT.7.1	Ŋanne ki Yennu jiantu yudaanɔ boi Stiifen a “Li set tee mɔniiee?” 
ACT.7.2	Ki Stiifen yaa a
ACT.7.2	“Chanbaanba nan n naa waas, gbiintir man, yoo nba ki ti yeja Abraham din be Mesopotamia yakir po, Kaldea tiŋ ni na, li yoo ki u din daa ki saan Haran na, ki paŋ daanɔ Yennu na dɔkit u paak, 
ACT.7.3	ki yetɔ a ‘Fiit ki nyik a tiŋ nan a niib, ŋaan saan siaminba ki n sa wanna na.’ 
ACT.7.4	Li yoo na ki u fiir ki nyik Kaldea tiŋ maŋ, ŋaan saan ki saa kar Haran doo ni. U baa kuun poorpoe, ki Yennu bia te ki u fiir, ki baar tiŋ nba ki ti be na ni. 
ACT.7.5	Ŋaan Yennu daa din ki turɔ tiŋ na nan bonmintika a wun yenti, ŋaan senn mɔsonn a u tan sa turɔ tiŋ nna, ki ŋɔɔ nan u yaaboona-ii yen. Yennu nba din senn mɔsonn nna yoonba na, ki sɔɔ ki Abraham daa ki mɔk biki. 
ACT.7.6	Ki Yennu din yetɔ a ‘A yaaboona tan sa saan ki be tingaŋ niewa, ki tan sii tee daaba leŋ, ki bi tan sa la muksuk leŋ bonchiann, ki tan jaŋ bina kobiinna. 
ACT.7.7	Ŋaan tiŋ maŋ niib nba ki bi sii tuun ki teemm na, n tan sa dat bi tuba, ki li poorpo, a yaaboona maŋ tan sa nyi tiŋ maŋ ni, ki baar tiŋ na ni, ki jiantin.’
ACT.7.8	“Li poorpo ki Yennu din senn mɔsonn ki tur Abraham, ki bia din wannɔ mɔsonn maŋ nyinn, a ŋɔɔ nan u yaaboona-ii porii puna. Ki Abraham din tan mar Aisak, ki li daa ŋanniin daar ki u potɔ; ki Aisak mun din tan pot u bik Jakɔb; ki Jakɔb mun din tan pot u waas piik nan bannlee binba tee ti yabint yejateeb. 
ACT.7.9	Ki Jakɔb waas maŋ din tan mɔk punponn nan bi waarɔ Josef, ki din tan soorɔ ki kɔiɔ, ki nisiab daau ki saan nanɔ Ijipt tiŋ ni, ŋaan Yennu din be nanɔ, 
ACT.7.10	ki din nyinnɔ fara kura ni, ki bia turɔ yan ki te ki Ijipt kpanbar Faro nianɔ ki jiiu teenɔ yudaanɔ Ijipt tiŋ ni, ki bia te ki u tee yudaanɔ u ŋaak ni.
ACT.7.11	“Li poorpo ki kon tan baa Ijipt tiŋ nan Israel tiŋ Kenann ni kura, ki kon soor niib bonbiir, ki ti yejamm kɔŋ jeet. 
ACT.7.12	Jakɔb nba din gbat a dii be Ijipt yoonba, ki u tun u waas leŋ. Ŋannii din tee bi sinsinn saanu.
ACT.7.13	“Bi saanu taar munnlee nie, ki Josef ji din te ki u naa waas na bannɔ. Ŋanne ki Faro ji din bann Josef booru. 
ACT.7.14	Ki Josef ji din tumm a bin ŋmat kun u chanbaa Jakɔb boor, ki saa jii ŋɔɔ nan u ŋaateeb kur ki jen namm Ijipt na; ki bi din tee niib piinnlore nan baŋŋmu.
ACT.7.15	“Ŋanne ki Jakɔb nan u ŋaateeb maŋ fiir saan Ijipt ki saa kar; ki li poorpo, ŋɔɔ nan u waas din tan kpo gbenn leŋe. 
ACT.7.16	Jakɔb nba din kpo na, ki bi jii u gbanant ki kun nann Shekem nba be Kenann tiŋ ni na, ki saa piiu kakur nba ki Abraham din daa nan likirii Hamor nibooru boor ni na; ki li poorpo Jakɔb waas nba din tan kpo na, ki bi mun din tan jii ŋamm yaa kpaba ki kun nann, ki saa pii leŋ biak.
ACT.7.17	“Yoo nba din tan per nan Yennu-n gbeen u mɔsonn nba ki u din senn Abraham na, li yoo maŋ, ti niib Israel teeb nba be Ijipt na ji yabit bonchiann. 
ACT.7.18	Li poorpoe ki sɔɔ din dii Ijipt naan, ŋaan ŋɔɔ din ki mi Josefi. 
ACT.7.19	Ki kpanbar maŋ din dia ti niib diabiiuk, ki din tuu ton namm bonchiann, ki bia din tuu miab a bin nyinn bi sanpantii bi ŋei ni ki lub ki bin kpo.
ACT.7.20	“Ŋanne ki bi din tan mar Moses, ki u fan bonchiann, ki be u baa ŋaak ŋmaarii ŋanntaa. 
ACT.7.21	Ba din tan nyinnɔ ŋaak ni yoonba, ki kpanbar na sapaamɔ din lau, ki gaarɔ ki jiiu ki wubiiɔ; ki u ji tee u mɔŋ bik. 
ACT.7.22	Ki bi din wann ŋɔɔ Moses yan kur nba ki Ijipt teeb mɔk, ki u din tan teen wunba mi pinpauk bonchiann, ki bia tuun paŋ toona.
ACT.7.23	“Moses nba din tan teen binpiinna Ijipt niib ni yoonba, ki dasiar ki u tan dukin a wun gɔn u mɔŋ mɔŋ booru Israel teeb. 
ACT.7.24	Wa lin gɔntib na, ki u tan la ki Ijipt nirɔ boo Israel teeb ni yenɔ; ki u baar a wun fatɔ, ki tan kpii Ijipt nirɔ maŋ. 
ACT.7.25	(U din mi a u naa waas na sa bann a Yennu tan sa te ki ŋɔɔ-n tan nyinnib daabsin ni, ŋaan bi din ki bann nna.) 
ACT.7.26	Ki li yent sanyiɔk, ki u bia la Israel niib bannlee ki bi kɔn; ki u loon ki wun taamm ki bin maŋ nan bi leeb, ki yetib a ‘Gotir man, i tee naa waase, ki bee teen ki i boo i leeb ki teen i leeb danii?’ 
ACT.7.27	Ki wunba tur u lɔɔ daŋ na pii Moses, ŋaan betɔ yaa a ‘Sɔɔ ki ganna a a teen ti yudaanɔ amii ti barbuurɔ. 
ACT.7.28	A yaan loon ki a kpin kaman nan fa won kpii Ijipt nirɔ na amii?’ 
ACT.7.29	Moses nba gbat nna yoonba, ki u chiar nyii Ijipt tiŋ ni, ki baar Midian tiŋ ni ki be leŋ, ki din tan kɔɔn poo ki mar bonjabis bannlee.
ACT.7.30	“Bina piinna nba din tan gar, li poorpo, ki u din tan saan muuk ni dasiar, ki saa baar Sainai jɔɔr boor ni, ki la mupeuŋ, ki li di ki lenii kunkonjagotuk paak, ki malaka dɔkit muu maŋ ni.
ACT.7.31	“Moses nba din la nna maŋ ki li teenɔ yaarlituk. Ki u chat nakin a wun ŋamm got, ki ji gbat ki ti Yomdaanɔ Yennu kunkɔr ki u beerɔ ki yaa a 
ACT.7.32	‘Mine tee Abraham Yennu na, ki bia tee Aisak Yennu nan Jakɔb Yennu. Mine tee a yejamm maŋ Yennu.’ Moses nba gbat nna yoonba, ki jaŋmaanii ji kɔɔu, ki u ji see ki jekir ki ji ki mɔk par nan wun goti. 
ACT.7.33	Ki ti Yomdaanɔ Yennu betɔ a ‘Pitir a taasaat nba ki a pir na, kimaan siaminba ki a see na tee boyeenne. 
ACT.7.34	Tɔn, n got ki la Ijipt teeb nba dint n mɔŋ niib Israel teeb farchiauŋ Ijipt tiŋ ni biaŋinba, ki n gbia bi fabinii. Ŋanne ki n sik ma n fat nyinnib. Li paak n sa tuma Ijipt.’ ”
ACT.7.35	Ŋanne ki Stiifen bia lek piak ki saa a “Moses nba nee ki Israel teeb din yêtɔ na, ki bi din betɔ yaa a ‘Sɔɔ ki ganna a a teen ti yudaanɔ amii ti barbuurɔ,’ ŋaan ŋɔɔ nee ki Yennu mun din gannɔ a wuu tee bi yudaanɔ nan bi fatitɔɔ biak; ki ŋɔɔ Yennu din te ki malaka pak nanɔ ŋaan tumɔ. Malaka maŋe ki Moses din lau kunkonjagotuk paak muu na ni na. 
ACT.7.36	Ŋɔɔ Moses din tee daanɔ nba din nyinnib Ijipt tiŋ nna, ki din bia tuun bakitnauŋ toonjaana Ijipt tiŋ ni, nan ba bia din saa poot Mɔkgbeŋmuŋ na, nan ba bia din be muuk ni binpiinna na. 
ACT.7.37	Li Mosese din yet Israel teeb a ‘Yennu tan sa tun sɔkiniisɔɔ i boor ni kaman nan wa tumin biaŋinba na, ki u sii tee i booru ni yenɔ.’
ACT.7.38	“Li bia din tee Moses maŋe din be nan ti niib Israel teeb lakinu ni, muuk ni na. Leŋe ki u din tan doo Sainai jɔɔr paak, ki saa be nan Yennu malaka, ki malaka maŋ din piak ki teen Moses, a Moses-n sɔkin tur ti yejamm Israel teeb. Li yooe ki Moses din gaar Yennu manfoor maan ki tur ti yejamm nan timm. 
ACT.7.39	Ŋaan ti yejamm din ki loon ki bin sakɔ. Li paak ki bi din yêtɔ, kimaan bi yan tunn Ijipta; 
