GEN.1.1	Sa pagsugod sa Dios pagbuhat sa kalibotan ug sa tanang butang sa kalangitan,
ISA.26.11	Pakitaa sila sa gugma mo alang sa imong katawhan
ISA.26.11	aron bation silag kaulaw.
ISA.26.12	Ikaw nga nagbuhat sa tanan alang kanamo,
ISA.26.12	mohatag kanamo sa kalinaw.
ISA.26.13	O Yahweh nga among Dios,
ISA.26.13	daghan ang mga pangulo nga naghari kanamo
ISA.26.13	apan ikaw lamang ang among 
ISA.26.14	Patay na sila ug dili na mabuhi;
ISA.26.14	mga anino na lamang sila ug dili na mobangon;
ISA.26.14	gisilotan mo sila ug gilaglag
ISA.26.14	ug wala nay mahinumdom kanila.
ISA.26.15	Apan gipadak-an mo ang among yuta, O 
ISA.26.15	gipalapdan mo ang mga utlanan niini
ISA.26.15	ug kini nakapasidungog kanimo.
ISA.26.16	Gikastigo mo ang imong katawhan, O 
ISA.26.16	ug sa ilang kaguol nag-ampo sila kanimo.
ISA.26.17	Tungod kanimo, O 
ISA.26.17	sama kami sa usa ka babaye nga nagbati,
ISA.26.17	naglit-ad-lit-ad sa kasakit tungod sa bata nga hapit na mogula;
ISA.26.18	sama kami sa nagbati nga nag-antos sa kasakit
ISA.26.18	apan hangin ray among gianak.
ISA.26.18	Wala man kami makaangkon ug kadaogan alang sa among yuta,
ISA.26.18	wala gayod kami nahimo.
ISA.26.19	Mabanhaw ang imong mga patay
ISA.26.19	ug mobangon ang ilang mga lawas.
ISA.26.19	Kamong nahitipon na sa abog
ISA.26.19	mobangon ug moawit sa kalipay!
ISA.26.19	Sama nga ang yamog
ISA.26.19	maghatag ug kinabuhi sa yuta,
ISA.26.19	banhawon usab sa 
ISA.26.19	kadtong dugay nang nangamatay.
ISA.26.20	Katawhan ko,
ISA.26.20	sulod kamo sa inyong mga lawak ug tak-opi ang pultahan;
ISA.26.20	panago kamog makadiyot
ISA.26.20	hangtod nga mapuypoy na ang kapungot sa Dios.
ISA.26.21	Moanhi ang 
ISA.26.21	aron pagsilot sa katawhan sa kalibotan tungod sa ilang mga sala,
ISA.26.21	ug ang yuta mopadayag sa dugo nga giula diha kaniya,
ISA.26.21	ug dili na niya tagoan ang iyang mga patay.
ISA.27.1	Niadtong
ISA.27.2	Niadtong adlawa ang 
ISA.27.3	“Ako maoy nag-atiman niini;
ISA.27.3	matag gutlo gibisibisan ko kini,
ISA.27.3	ug gibantayan adlawg gabii
ISA.27.3	aron dili binuangan sa uban.
ISA.27.4	Wala na ako masuko niini.
ISA.27.4	Maayog tunok pa ang akong ikaaway
ISA.27.4	kay sunogon ko gayod silang tanan.
ISA.27.5	Kon ang kaaway sa akong katawhan modangop ug makigdait kanako,
ISA.27.5	panalipdan ko sila.”
ISA.27.6	Sa umaabot nga mga adlaw
ISA.27.6	ang katawhan sa Israel, ang kaliwat ni Jacob,
ISA.27.6	mogamot sama sa usa ka kahoy;
ISA.27.6	mamulak kini ug manalingsing
ISA.27.6	ug mapuno ang kalibotan sa bunga nga gikan niini.
ISA.27.7	Ang Israel wala kastigoha sa Dios
ISA.27.7	sama sa pagkastigo niya sa mga kaaway niini,
ISA.27.7	o gipamatay sila sama sa iyang pagpamatay sa iyang mga kaaway.
ISA.27.8	Gipabihag mo sila agig silot kanila;
ISA.27.8	gipahilayo mo sila pinaagi sa kusog nga hapak sa timog.
ISA.27.9	Mapasaylo lamang ang sala sa Israel
ISA.27.9	sa diha nga ang mga bato sa mga halaran sa mga diosdios
ISA.27.9	mapulpog sama sa anapog,
ISA.27.9	ug wala nay magpabilin sa mga simbolo sa diosa nga si Asera
ISA.27.9	o mga halaran sa insenso.
ISA.27.10	Magmingaw na ang kinutaang siyudad
ISA.27.10	ug mahimo kining puloy-anan nga biniyaan sama sa diserto;
ISA.27.10	didto manibsib ang kahayopan ug mopahulay.
ISA.27.11	Inigkalaya sa mga sanga
ISA.27.11	pangahuyon kini sa mga babaye ug isugnod.
ISA.27.11	Katawhan sila nga walay panabot
ISA.27.11	busa dili sila kaluy-an sa Dios nga maoy nagbuhat kanila.
ISA.27.12	Inig-abot nianang adlawa, gikan sa Eufrates ngadto sa Suba sa Nilo, tagsatagsaon pagkuha sa 
ISA.27.13	Ug niana unyang adlawa patingogon ang dakong trumpeta aron pagtawag sa mga nangabihag sa Asiria ug sa Ehipto. Mamauli sila ug mosimba sa 
ISA.28.1	Alaot ang gingharian sa Efraim!
ISA.28.1	Ang iyang himaya nagkalawos na sama sa koronang bulak,
ISA.28.1	nga gipurongpurong sa iyang mga hubog nga mga pangulo.
ISA.28.1	Nangalimyon sa pahumot ang ilang mapagarbohong mga ulo,
ISA.28.1	apan nangatumba sila sa kahubog.
ISA.28.2	Ang 
ISA.28.2	aron pag-ataki kanila.
ISA.28.2	Sama siya sa unos sa yelo,
ISA.28.2	sama sa usa ka kusog nga bagyo,
ISA.28.2	ug nagdalag daghang tubig nga iyang ibundak sa yuta.
ISA.28.3	Yatakyatakan ang korona nga gipasigarbo sa mga palahubog sa Efraim,
ISA.28.4	ug mahanaw ang nagkalawos nga katahom niining mapahitas-on nga mga pangulo,
ISA.28.4	sama sa unang nahinog nga bunga sa igera panahon sa ting-init;
ISA.28.4	inigkakita sa tawo niini, iya kining pupuon ug kan-on.
ISA.28.5	Niadtong adlawa ang 
ISA.28.5	mahimong sama sa koronang matahom,
ISA.28.5	alang sa nahibilin sa iyang katawhan.
ISA.28.6	Hatagan niyag kaalam sa paghukom ang mga maghuhukom,
ISA.28.6	ug kaisog kadtong mipasibog sa mga kaaway
ISA.28.6	nga diha na sa ganghaan sa siyudad.
ISA.28.7	Bisan ang ilang mga pari ug mga propeta nagsusapinday sa kahubog
ISA.28.7	kay nakainom mag isog nga bino,
ISA.28.7	ug wala na silay maayong panghukom;
ISA.28.7	dili na makasabot ang propeta
ISA.28.7	sa mga panan-awon nga gipakita sa Dios kanila;
ISA.28.7	ang mga pari wala nay maayong panghukom
ISA.28.7	sa mga kaso nga ilang gihusay.
ISA.28.8	Nagyanang sa sinuka ang lamisa,
ISA.28.8	ug walay dapit nga wala mahugaw.
ISA.28.9	Nagmulo bahin kanako ang katawhan ug miingon,
ISA.28.9	“Kinsa may gitudloan nianang propetaha?
ISA.28.9	Kinsa may nagkinahanglan sa iyang mensahe?
ISA.28.9	Maayo lamang kanang mensahea sa mga bata nga bag-o pang nalutas.
ISA.28.10	Balikbalik ang iyang tinudloan
ISA.28.10	ug kutikutihan kaayo siya.”
ISA.28.11	Kon
ISA.28.11	makigsulti ang 
ISA.28.12	Gitanyagan kamo niyag pahulay ug kalipay,
ISA.28.12	apan wala kamo mamati kaniya
ISA.28.13	kay alang kaninyo ang pulong sa 
ISA.28.13	balikbalik lamang ug walay pulos,
ISA.28.13	busa matikay-ang kamo ug mabitik ug bihagon.
ISA.28.14	Busa kamong mapahitas-on nga nagmando niining katawhan dinhi sa Jerusalem,
ISA.28.14	pamatia ninyo ang pulong sa 
ISA.28.15	Kay
ISA.28.15	“Kami ug ang kamatayon, ingon man ang Seol, may gikasabotan,
ISA.28.15	ug inig-abot sa kastigo, sayloan kami
ISA.28.15	kay ang bakak ug ang limbong mao may among dalangpanan.”
ISA.28.16	Busa
ISA.28.16	“Ipahimutang ko sa Sion ang usa ka sukaranang bato nga nasulayan na sa kalig-on,
ISA.28.16	bililhong bato alang sa lig-ong sukaranan:
ISA.28.16	‘Ang mosalig niini makabaton ug kalig-on.’
ISA.28.17	Sama sa paggamit ug tunton
ISA.28.17	sukdon ko sila pinaagi sa hustisya ug pagkamatarong;
ISA.28.17	ug silhigon sa unos nga yelo
ISA.28.17	ang mga bakak nga ilang dalangpanan,
ISA.28.17	ug ang ilang salipod sanapag tubig.”
ISA.28.18	Unya dili na matuman
ISA.28.18	ang gikasabotan ninyo sa kamatayon ingon man sa Seol,
ISA.28.18	ug inighapak sa makalilisang nga katalagman,
ISA.28.18	mahiagom gayod kamo niini.
ISA.28.19	Mahiagom gayod kamo inig-agi niini matag buntag ug gabii,
ISA.28.19	ug ang kalisang mismo maoy magpasabot kaninyo sa mensahe sa Dios.
ISA.28.20	Mahisama kamo sa tawo nga naghigda apan dili makatuy-od,
ISA.28.20	kay ang higdaanan mubo man kaayo;
ISA.28.20	ug naggamit ug habol nga dili paigong ihabol
ISA.28.20	tungod sa kagamay niini.
ISA.28.21	Kay
ISA.28.21	ug masuko siya sama sa nahitabo didto sa walog sa Gibeon.
ISA.28.21	Usa kini ka buhat nga katingalahan ug talagsaon.
ISA.28.22	Busa ayaw kamo pagbugalbugal
ISA.28.22	kay tingali unyag pahugtan ang paggapos kaninyo;
ISA.28.22	nadungog ko nga laglagon sa 
ISA.28.23	Busa pamati kamo sa akong isulti kaninyo.
ISA.28.24	Magpunay ba lag daro ang mag-uuma
ISA.28.24	ug walay tanom-tanom?
ISA.28.25	Sa pagkalimpyo na sa pugsanan,
ISA.28.25	dili ba isabod man niya ang anis ug lunga,
ISA.28.25	ug tinudlingon pagpugas ang trigo ug sebada
ISA.28.25	ug tamnag laing klase sa trigo ang kadaplinan niini?
ISA.28.26	Kay bahin niini gitudloan siya sa Dios.
ISA.28.27	Ang anis ug lunga dili sama sa trigo ug sebada nga giukon o paligsan.
ISA.28.28	Ligson ba niya ang lugas aron himoong pan?
ISA.28.28	Dili siya magpadayog giok hangtod sa hangtod;
ISA.28.28	dili niya paligsan sa karomata ug sa iyang kabayo ang mga lugas.
ISA.28.29	Kining maong mensahe naggikan sa 
ISA.28.29	kahibulongan ang iyang mga tambag
ISA.28.29	ug dili matukib ang iyang kaalam.
ISA.29.1	Alaot ka, O Ariel,
ISA.29.1	Palabya ang usa o duha ka tuig
ISA.29.1	uban sa mga kasaulogan niini.
ISA.29.2	Unya silotan sa Dios ang siyudad nga ginganlag “Ariel.”
ISA.29.2	Ug unya may maghilak ug magminatay,
ISA.29.2	ug ang siyudad mahisama sa mga halaran sa mga mananap nga sunogon.
ISA.29.3	Sulongon ka sa Dios ug palibutan,
ISA.29.3	ug magbuhat siyag mga tore ug mga trenseras batok kanimo.
ISA.29.4	Unya malumpag ka;
ISA.29.4	ug gikan sa imong nahimutangan mabati ang imong tingog,
ISA.29.4	daw tingog sa multo nga lugos madungog,
ISA.29.4	daw hagawhaw lamang.
ISA.29.5	Apan ang imong mga kaaway mapulpog sama sa abog,
ISA.29.5	ug ipadpad sa hangin sama sa uhot.
ISA.29.5	Ug unya sa kalit
ISA.29.6	luwason ka sa 
ISA.29.6	magpadala siyag nagdilaab nga kalayo ug alimpulos;
ISA.29.7	mahanaw sama sa damgo, sama sa panan-awon sa gabii,
ISA.29.7	ang tanang mosulong sa Ariel lakip ang ilang mga hinagiban.
ISA.29.8	Sama sa mahitabo sa usa ka tawo nga gigutom unya magdamgo nga siya nagkaon
ISA.29.8	ug mahigmata nga gigutom gihapon,
ISA.29.8	o sama sa giuhaw nga nagdamgo nga siya nag-inom
ISA.29.8	ug mahigmata nga giuhaw gihapon.
ISA.29.8	Ingon niana ang mahitabo sa tanang nasod nga mosulong sa Bukid sa Sion.
ISA.29.9	Sigi, paghinanggaw kamo
ISA.29.9	ug liboga ang inyong mga ulo;
ISA.29.9	taptapi ang inyong mga mata
ISA.29.9	aron dili kamo makakita!
ISA.29.9	Paghubog kamo apan dili sa bino;
ISA.29.9	pagsusapinday
ISA.29.10	Kay
ISA.29.10	ug gitabonan niya ang inyong mga mata,
ISA.29.10	kamong mga propeta,
ISA.29.10	ug gipandongan ang inyong mga ulo,
ISA.29.10	kamong mga manalagna.
ISA.29.11	Ang kahulogan sa matag panan-awon mahimong sama sa usa ka basahon nga sirado. Kon ipabasa kini sa tawong makabasa moingon siya, “Unsaon ko pagbasa niini nga sirado man kini?” 
ISA.29.12	Ug unya kon ipabasa nila kini sa dili maantigong mobasa, siya moingon, “Dili ako maantigong mobasa.”
ISA.29.13	Ug
ISA.29.13	“Kining mga tawhana nagpasidungog kanako sa pulong lamang,
ISA.29.13	apan ang ilang mga kasingkasing halayo kanako,
ISA.29.13	ug ang ilang pagtamod sa akong mga sugo
ISA.29.13	sama ra sa ilang pagtamod sa sugo sa mga tawo,
ISA.29.13	pinaagi sa pagsag-ulo.
ISA.29.14	Busa
ISA.29.14	kay pahamtangan ko man sila sa nagsunodsunod nga hampak;
ISA.29.14	makawang ang kaalam sa ilang maalamon,
ISA.29.14	ug dili na makasabot ang masinabuton.”
ISA.29.15	Alaot kadtong nagtago sa ilang plano gikan sa 
ISA.29.15	ug gusto magbuhat diha sa kangitngit
ISA.29.15	ug nag-ingon, “Walay makakita kanamo o masayod sa among gibuhat.”
ISA.29.16	Gibalit-ad
ISA.29.16	Mas importante ba diay ang lapok
ISA.29.16	kay sa magbubuhat ug kulon?
ISA.29.16	Makaingon ba ang binuhat sa iyang magbubuhat,
ISA.29.16	“Dili ikaw maoy nagbuhat kanako;
ISA.29.16	wala kay igong panabot?”
ISA.29.17	Dili na madugay nga ang Lebanon
ISA.29.17	mahimong usa ka uma nga daghag abot
ISA.29.17	ug mahisama na usab sa usa ka lasang.
ISA.29.18	Niadtong adlawa ang bungol makadungog na kon basahan siyag basahon,
ISA.29.18	ug ang mga buta nga nagpuyo sa kangitngit makakita na.
ISA.29.19	Makakaplag na usab ug kalipay diha sa 
ISA.29.19	ug ang mga kabos magmaya tungod sa Balaang Dios sa Israel.
ISA.29.20	Mahanaw ang mga tawong bangis
ISA.29.20	ug mawagtang ang mga mabugalbugalon,
ISA.29.20	ug puohon ang tanan nga mahigugmaon sa pagbuhat ug daotan.
ISA.29.21	Puohon sa Dios ang nagbutangbutang sa iyang isigkatawo,
ISA.29.21	ug naglaang sa tawo nga naglaban sa katarong,
ISA.29.21	ug kadtong naghikaw ug hustisya
ISA.29.21	sa mga inosente pinaagi sa paglimbong.
ISA.29.22	Busa mao kini ang gisulti sa 
ISA.29.22	“Katawhan ko, dili na kamo maulawan pag-usab,
ISA.29.22	o mangluspad sa kaulaw.
ISA.29.23	Inigkakita ninyo sa inyong kaliwat nga akong ihatag kaninyo,
ISA.29.23	pasidunggan ninyo ang akong ngalan;
ISA.29.23	simbahon ninyo ang Dios ni Jacob,
ISA.29.23	ug kahadlokan ninyo ang Dios sa Israel.
ISA.29.24	Unya sila nga nangalibog makasabot na unya
ISA.29.24	ug ang mga gahig ulo motuman na sa akong sugo.”
ISA.30.1	Nag-ingon ang 
ISA.30.1	“Alaot ang mga pangulo sa Juda kay sila misupak kanako.
ISA.30.1	Naglaraw sila ug ilaila ra
ISA.30.1	ug naghimog kasabotan nga supak sa akong kabubut-on,
ISA.30.1	ug sa ingon nagpatungpatong ang ilang sala.
ISA.30.2	Sa walay pagpakitambag kanako, nangadto sila sa Ehipto
ISA.30.2	aron pagpakitabang sa hari sa Ehipto,
ISA.30.2	ug aron makapasilong sa iyang landong.
ISA.30.3	Apan maulawan lamang sila sa ilang pagdangop kaniya,
ISA.30.3	ug sa ilang pagpasilong sa landong sa Ehipto.
ISA.30.4	Kay bisag ang ilang mga embahador
ISA.30.4	atua na sa mga siyudad sa Ehipto nga mao ang Soan ug ang Hanes,
ISA.30.5	ang katawhan sa Juda maulawan lang gayod gihapon
ISA.30.5	kay wala man silay mapaabot nga tabang gikan niining mga tawhana.”
ISA.30.6	Mao kini ang giingon sa Dios bahin sa mga mananap sa Negeb:
ISA.30.6	“Ang mga sinugo nila milatas sa makuyaw nga mga dapit
ISA.30.6	diin magpuyo ang mga liyon,
ISA.30.6	ang mga lala nga bitin ug ang mga pak-ang halas;
ISA.30.6	gidala nila ang ilang bahandi,
ISA.30.6	gikarga sa mga asno ug kamelyo
ISA.30.6	aron ihatag sa nasod nga dili makatabang kanila.
ISA.30.7	Walay kapuslanan ang tabang sa Ehipto
ISA.30.7	busa ginganlan ko siyag ‘Ang Dragon nga Walay Gahom.’”
ISA.30.8	Gisugo ako sa Dios nga isulat diha sa usa ka basahon kon unsa kadaotan ang katawhan,
ISA.30.8	aron may kasulatan nga kanunayng magmatuod sa ilang pagkadaotan.
ISA.30.9	Kay katawhan sila nga masupilon,
ISA.30.9	mga anak nga bakakon nga dili buot nga tudloan sa 
ISA.30.10	Sila miingon sa mga mananagna:
ISA.30.10	“Ayaw pangitag panan-awon,”
ISA.30.10	ug ngadto sa mga propeta:
ISA.30.10	“Ayaw kamig sultihi unsay matarong;
ISA.30.10	sultihi hinuon kamig mga butang nga anindot paminawon
ISA.30.10	ug matahom nga mga panan-awon.
ISA.30.11	Ayaw alihi ang among dalan;
ISA.30.11	ayaw na kamig sultihi mahitungod sa Balaang Dios sa Israel.”
ISA.30.12	Busa nag-ingon ang Balaang Dios sa Israel,
ISA.30.12	“Kay wala man kamo magtagad sa akong gisulti
ISA.30.12	ug nagsalig man kamo sa pagpanlupig ug sa mga buhat nga daotan
ISA.30.13	busa sad-an kamo;
ISA.30.13	sama kamo sa habog nga paril nga may liki,
ISA.30.13	naghirig na ug katumbahon
ISA.30.13	ug sa kalit lamang mahugno.
ISA.30.14	Ang iyang pagkahugno sama sa pagkapusgay sa usa ka kulon,
ISA.30.14	ug walay tipak niini nga igong kasudlag kalayo
ISA.30.14	o magamit sa pagkabog tubig gikan sa atabay.”
ISA.30.15	Kini mao ang pulong sa Ginoong 
ISA.30.15	“Balik kamo ngari kanako ug pahulay ug maluwas kamo;
ISA.30.15	diha sa kahilom ug pagsalig anaa ang inyong kusog.”
ISA.30.15	Apan dili kamo gustong mohimo niini.
ISA.30.16	Miingon hinuon kamo,
ISA.30.16	“Dili mahimo kay mangagiw kami sakay sa tulin nga mga kabayo.”
ISA.30.16	Busa nanglayas kamo
ISA.30.16	apan mas tulin ang maggukod kaninyo.
ISA.30.17	Managan ang usa ka libo sa hulga lang sa usa ka tawo;
ISA.30.17	managan kamong tanan sa hulga sa lima,
ISA.30.17	hangtod nga kamo na lamay mahibilin
ISA.30.17	sama sa tukon sa bandila didto sa tumoy sa usa ka bukid,
ISA.30.17	ug mahimo kamong usa ka timaan didto sa usa ka bungtod.
ISA.30.18	Busa naghulat ang 
ISA.30.18	nga ikapakita niya ang iyang kaluoy nganha kaninyo,
ISA.30.18	ug ikalipay niya ang pagkaluoy kaninyo.
ISA.30.18	Kay ang 
ISA.30.18	bulahan ang mosalig kaniya.
ISA.30.19	Matuod gayod kini, O mga tawo nga nagpuyo sa Sion sa Jerusalem. Dili na gayod kamo maghilak. Ayaw duhaduhai nga kaluy-an kamo sa 
ISA.30.20	Bisag gihatag sa 
ISA.30.21	Kon motipas ka sa tuo o sa wala, mabatian mo ang iyang tingog diha sa imong luyo nga moingon, “Dia ra ang dalan; subaya kini.” 
ISA.30.22	Unya ngil-aran na kamo sa inyong mga diosdios nga hinimog plata ug bulawan. Inyo kining ilabay daw hugaw nga trapo ug moingon kamo, “Wala na kami magkinahanglan kaninyo.”
ISA.30.23	Ug paulanan niya ang binhi nga inyong ipugas ug hatagan kamo niyag daghang abot ug daghang kasibsiban sa inyong kahayopan. 
ISA.30.24	Ug ang mga baka ug mga asno nga gigamit ninyo pagdaro mangaon sa labing maayong kan-onon. 
ISA.30.25	Ug sa kabukiran ug kabungtoran modagayday ang mga sapa inig-abot sa adlaw nga pamatyon ang inyong mga kaaway inigkalumpag sa ilang mga tore. 
ISA.30.26	Ang bulan mahisama ka hayag sa adlaw ug makapito unya piloa ang kahayag sa adlaw sa panahon nga tambalan na sa 
ISA.30.27	Ang gahom ug ang himaya sa ngalan sa 
ISA.30.27	makita ang iyang kasuko pinaagi sa kalayo ug sa aso.
ISA.30.27	Kon mosulti siya,
ISA.30.27	ang iyang pulong makapaso sama sa kalayo.
ISA.30.28	Nagpadala siya ug hangin sama sa nagbaha nga suba nga mobanlas sa tanan,
ISA.30.28	aron pag-alig-ig sa mga nasod diha sa nigo sa kalaglagan,
ISA.30.28	ug aron hiktan ang baba sa mga katawhan aron sila pahisalaagon.
ISA.30.29	Pag-awit kamo sama sa buhaton ninyo inigkagabii kon maghimo kamo sa balaang kasaulogan. Pagsadya kamo sama sa mga tawo nga, dinuyogan sa plawta, moadto sa Templo sa 
ISA.30.30	Ug ipabati sa 
ISA.30.31	Mangahadlok pag-ayo ang taga-Asiria inigkadungog nila sa tingog sa 
ISA.30.32	Ug duyogan sa katawhan sa Dios ug tambor ug alpa ang matag hampak nga ipahamtang sa 
ISA.30.33	Dugay nang giandam ang dapit diin sunogon ang hari sa Asiria. Dako ug lapad ang daob. Andam na ang daghang igsusugnod ug maoy mopasiga niini ang gininhawa sa 
ISA.31.1	Alaot kadtong miadto sa Ehipto aron sa pagpakitabang
ISA.31.1	sa nagsalig sa kadaghan sa ilang mga kabayo,
ISA.31.1	ug sa kadaghan sa ilang mga karwahi
ISA.31.1	ug sa gahom sa ilang mga sundalo,
ISA.31.1	inay sa Balaang Dios sa Israel
ISA.31.1	aron mangayo kaniyag tabang!
ISA.31.2	Maalamon ang Dios
ISA.31.2	ug may gahom sa pagpahamtang ug katalagman,
ISA.31.2	ug dili gayod mobakwi sa iyang gisulti.
ISA.31.2	Makigbatok siya sa mga tawong daotan
ISA.31.2	ug niadtong nanalipod kanila.
ISA.31.3	Ang mga Ehiptohanon tawo lamang ug dili Dios;
ISA.31.3	ang ilang mga kabayo mananap ug dili espiritu.
ISA.31.3	Inigbakyaw sa 
ISA.31.3	mangatumba sila ingon man ang ilang gitabangan
ISA.31.3	ug mangamatay silang tanan.
ISA.31.4	Nag-ingon ang 
ISA.31.4	“Sama sa liyon nga magngulob kon makatukob
ISA.31.4	ug dili mahadlok sa singgit ug kabanha sa mga magbalantay sa karnero nga magpanon sa pagdasdas kaniya,
ISA.31.4	walay makapugong kanako sa pagpanalipod sa Bukid sa Sion
ISA.31.4	kay ako mao ang 
ISA.31.5	Ug sama sa langgam nga nanalipod sa iyang mga piso,
ISA.31.5	ako, ang 
ISA.31.5	manalipod sa Jerusalem aron pagluwas niini.”
ISA.31.6	Ang Dios miingon, “O katawhan sa Israel, nakasala kamo batok kanako kay inyo man akong gisupak. Apan karon, balik ngari kanako! 
ISA.31.7	Niadto unyang adlawa isalikway ninyong tanan ang inyong mga diosdios nga plata ug bulawan nga inyong gibuhat tungod sa inyong pagkamasupilon.
ISA.31.8	Unya pamatyon ang mga taga-Asiria sa espada nga dili iya sa tawo,
ISA.31.8	ug mokagiw sila ug ulipnon ang ilang mga batan-ong sundalo.
ISA.31.9	Tungod sa kalisang modagan ang ilang hari,
ISA.31.9	ug biyaan sa mga opisyal ang ilang bandila sa gubat.”
ISA.31.9	Mao kini ang giingon sa 
ISA.31.9	diin may kalayo nga nagsiga kanunay aron pagsunog sa mga halad.
ISA.32.1	May usa unya ka hari nga maghari diha sa katarong,
ISA.32.1	ug ang iyang kadagkoan mangulo uban ang hustisya.
ISA.32.2	Ang matag usa kanila mahimong tagoanan panahon sa subasko ug sa bagyo,
ISA.32.2	sama sa tubig didto sa dapit nga nagmala,
ISA.32.2	ug sama sa landong sa dakong bato didto sa diserto.
ISA.32.3	Kadtong makakita ug makadungog
ISA.32.3	dili na magpakabuta-bungol.
ISA.32.4	Mahimo na silang mapailubon,
ISA.32.4	masinabuton ug matinud-anon sa ilang ipamulong.
ISA.32.5	Dili na isipong but-an ang hungog
ISA.32.5	o ilhong matarong ang mga limbongan.
ISA.32.6	Kay ang sulti sa buangbuang pulos walay hinungdan
ISA.32.6	ug daotan siyag mga laraw;
ISA.32.6	ang iyang buhat ug sulti
ISA.32.6	pulos pagbugalbugal sa 
ISA.32.6	Wala niya pakan-a ang gigutom
ISA.32.6	o painuma ang giuhaw.
ISA.32.7	Ang tawong daotan daotag binuhatan;
ISA.32.7	naglaraw siya sa paglimbong sa mga kabos
ISA.32.7	ug paghikaw kanila sa ilang katungod.
ISA.32.8	Apan ang tawong matarong dili manlimbong
ISA.32.8	ug barogan niya ang katarongan.
ISA.32.9	Mga babaye nga nagkinabuhi nga haruhay ug wala lang magtagad,
ISA.32.9	pamati kamo kanako!
ISA.32.10	Mga usa ka tuig sukad karon
ISA.32.10	mangurog na kamong mga babaye nga mga dato ug walay kabalaka,
ISA.32.10	kay sa tingpamupo sa ubas wala na kamoy mapupo.
ISA.32.11	Busa pangurog kamo sa kahadlok,
ISA.32.11	mga dato nga babaye ug walay kabalaka;
ISA.32.11	paghukas kamo ug pagtapis ug sako.
ISA.32.12	Pukpoka ninyo ang inyong mga dughan tungod sa kaguol,
ISA.32.12	kay ang tabunok nga kaumahan
ISA.32.12	ug ang mabungahong kaparasan nangadaot,
ISA.32.13	ingon man ang yuta sa akong katawhan
ISA.32.13	nga mga sampinit na lay nanurok;
ISA.32.13	panghilak kamo tungod sa pagkahanaw sa malipayong panimalay
ISA.32.13	ug sa masadyang siyudad.
ISA.32.14	Kay biyaan sa katawhan ang siyudad ingon man ang palasyo;
ISA.32.14	ang bungtod ug ang bantayanan mahimo nang kamingawan;
ISA.32.14	mahimo na kining puy-anan sa mga ihalas nga asno
ISA.32.14	ug sibsibanan sa mga karnero.
ISA.32.15	Apan ipadala sa Dios kanato ang iyang Espiritu,
ISA.32.15	ug mahimo nang mabungahong kaumahan ang diserto,
ISA.32.15	ug mohatag ug daghang abot ang kaumahan.
ISA.32.16	Unya maghari ang hustisya ug katarong sa tibuok nasod.
ISA.32.17	Ang tanan mobuhat sa katarong
ISA.32.17	ug motunhay ang kalinaw hangtod sa kahangtoran.
ISA.32.18	Magpuyo nga malinawon ang katawhan sa Dios,
ISA.32.18	ug mahilayo na sa katalagman.
ISA.32.19	Unya mangahulog ang tibug-ok nga yelo
ISA.32.19	ug mabugnaw ang kalasangan
ISA.32.19	ug ang tibuok siyudad magmalinawon.
ISA.32.20	Bulahan ang tanang nananom daplin sa katubigan,
ISA.32.20	ug may malinawong sibsibanan ang baka ug asno.
ISA.33.1	Alaot ka, manlalaglag nga wala pa gayod malaglag!
ISA.33.1	Ikaw nga maluibon ug wala gayod luibi!
ISA.33.1	Inighunong mo na sa pagpanglaglag,
ISA.33.1	laglagon ka usab!
ISA.33.1	Ug inigkahuman nimog pamudhi,
ISA.33.1	ikaw na say budhian!
ISA.33.2	O 
ISA.33.2	kay ikaw ang among gisaligan.
ISA.33.2	Panalipdi kami kanunay
ISA.33.2	ug luwasa kami sa panahon sa kalisod.
ISA.33.3	Inigpakig-away mo alang kanamo,
ISA.33.3	managan ang katawhan tungod sa kagahob.
ISA.33.4	Sakmitan ug ilogan sila sa ilang mga kabtangan,
ISA.33.4	sama sa gihugpaan sa mga til-as ug dulon.
ISA.33.5	Gamhanan ang 
ISA.33.5	palungtaron niya sa Jerusalem ang hustisya ug katarong
ISA.33.6	ug lig-onon ang nasod.
ISA.33.6	Panalipdan niya ang iyang katawhan
ISA.33.6	ug hatagag kahibalo ug kaalam.
ISA.33.6	Ang ilang labing bililhong bahandi
ISA.33.6	mao ang pagtahod ug pagbaton ug kahadlok sa 
ISA.33.7	Nagpakitabang ang mga maisog,
ISA.33.7	ug midanguyngoy ang mga embahador nga naningkamot sa pagkab-ot sa kalinaw.
ISA.33.8	Makuyaw ang kadalanan
ISA.33.8	busa wala nay tawong magsuroysuroy.
ISA.33.8	Wala nay pagtumanay sa mga kasabotan,
ISA.33.8	ug wala na hatagi ug bili ang tawo.
ISA.33.9	Nagbangotan ug nawad-an nag kadasig ang tibuok nasod.
ISA.33.9	Nangalaya ang lasang sa Lebanon;
ISA.33.9	ang Walog sa Sharon nahisama sa diserto;
ISA.33.9	ang Basan ug ang Bukid sa Carmel nangaupaw na.
ISA.33.10	Ang 
ISA.33.10	“Karon, molihok ako ug ipakita ko ang akong pagkagamhanan,
ISA.33.10	ug pasidunggan ako.
ISA.33.11	Walay hinungdan ang inyong gilaraw busa wala kamoy makuha;
ISA.33.11	giunay ninyog patay ang inyong kaugalingon.
ISA.33.12	Mangapulpog kamo daw anapog
