GEN.1.1	Yn y dechreuad creodd Duw y nefoedd a'r ddaear. 
JER.13.11	Oherwydd fel y gafael gwregys am lwynau rhywun, felly y perais i holl dŷ Israel a holl dŷ Jwda afael ynof fi,” medd yr 
JER.13.12	“Dywed wrthynt y gair yma: ‘Fel hyn y dywed 
JER.13.13	Yna dywedi wrthynt, ‘Fel hyn y dywed yr 
JER.13.14	Drylliaf hwy y naill yn erbyn y llall, rhieni a phlant ynghyd, medd yr 
JER.13.15	Clywch a gwrandewch; peidiwch ag ymfalchïo,
JER.13.15	canys llefarodd yr 
JER.13.16	Rhowch ogoniant i'r 
JER.13.16	cyn iddo beri tywyllwch,
JER.13.16	a chyn i'ch traed faglu yn y gwyll ar y mynyddoedd;
JER.13.16	a thra byddwch yn disgwyl am olau,
JER.13.16	bydd yntau'n ei droi yn dywyllwch dudew,
JER.13.16	ac yn ei wneud yn nos ddu.
JER.13.17	Ac os na wrandewch ar hyn,
JER.13.17	mi wylaf yn y dirgel am eich balchder;
JER.13.17	fe ffrydia fy llygaid ddagrau chwerw,
JER.13.17	oherwydd dwyn diadell yr 
JER.13.18	“Dywed wrth y brenin a'r fam frenhines,
JER.13.18	‘Eisteddwch yn ostyngedig,
JER.13.18	oherwydd syrthiodd eich coron anrhydeddus oddi ar eich pen
JER.13.19	Caeir dinasoedd y Negef, heb neb i'w hagor;
JER.13.19	caethgludir Jwda gyfan, caethgludir hi yn llwyr.”
JER.13.20	Dyrchafwch eich llygaid, a gwelwch
JER.13.20	y rhai a ddaw o'r gogledd.
JER.13.20	Ple mae'r praidd a roddwyd i ti, dy ddiadell braf?
JER.13.21	Beth a ddywedi pan roddir y rhai a ddysgaist yn feistri arnat,
JER.13.21	a'r rhai a fegaist yn ben arnat?
JER.13.21	Oni chydia ynot ofidiau, fel gwraig wrth esgor?
JER.13.22	A phan feddyli, “Pam y digwyddodd hyn i mi?”,
JER.13.22	yn ôl amlder dy gamwedd y codwyd godre dy wisg,
JER.13.22	ac y dinoethwyd dy gorff.
JER.13.23	A newidia'r Ethiopiad ei groen,
JER.13.23	neu'r llewpard ei frychni?
JER.13.23	A allwch chwithau wneud daioni,
JER.13.23	chwi a fagwyd mewn drygioni?
JER.13.24	“Fe'u chwalaf hwy fel us
JER.13.24	a chwythir gan wynt y diffeithwch.
JER.13.25	Hyn fydd dy ran, yr hyn a fesurais i ti,” medd yr 
JER.13.25	“am i ti fy anghofio, ac ymddiried mewn celwydd.
JER.13.26	Mi godaf odre dy wisg dros dy wyneb,
JER.13.26	ac amlygir dy warth.
JER.13.27	Gwelais dy anlladrwydd, dy odineb, dy weryriad nwydus,
JER.13.27	a budreddi dy buteindra ar fryn a maes.
JER.13.27	Gwae di, Jerwsalem! Ni fyddi'n lân!
JER.13.27	Pa hyd, eto, y pery hyn?”
JER.14.1	Dyma air yr 
JER.14.2	“Y mae Jwda'n galaru, a'i phyrth yn llesg;
JER.14.2	y maent yn cwynfan ar lawr, a chri Jerwsalem yn esgyn fry.
JER.14.3	Y mae'r pendefigion yn anfon y gweision i gyrchu dŵr;
JER.14.3	dônt at y ffosydd a'u cael yn sych,
JER.14.3	dychwelant a'u llestri'n wag;
JER.14.3	mewn cywilydd a dryswch fe guddiant eu hwynebau.
JER.14.4	Oherwydd craciodd y pridd am na ddaeth glaw i'r wlad;
JER.14.4	mewn cywilydd cuddiodd yr amaethwyr eu hwynebau.
JER.14.5	Y mae'r ewig yn bwrw llwdn yn y maes, ac yn ei adael am nad oes porfa;
JER.14.6	y mae'r asynnod gwyllt yn sefyll ar y moelydd uchel, ac yn yfed gwynt fel bleiddiaid;
JER.14.6	pylodd eu llygaid am nad oes gwellt.”
JER.14.7	“Yn ddiau, er i'n drygioni dystio yn ein herbyn,
JER.14.7	O 
JER.14.7	Y mae ein gwrthgilio'n aml, pechasom yn dy erbyn.
JER.14.8	Gobaith Israel, a'i geidwad yn awr ei adfyd,
JER.14.8	pam y byddi fel dieithryn yn y tir,
JER.14.8	fel ymdeithydd yn lledu pabell i aros noson?
JER.14.9	Pam y byddi fel un mewn syndod,
JER.14.9	fel un cryf yn methu achub?
JER.14.9	Ond eto yr wyt yn ein mysg ni, 
JER.14.9	dy enw di a roddwyd arnom; paid â'n gadael.”
JER.14.10	Fel hyn y dywed yr 
JER.14.10	“Mor hoff ganddynt yw crwydro heb atal eu traed;
JER.14.10	am hynny, ni fyn yr 
JER.14.10	fe gofia eu drygioni yn awr, a chosbi eu pechodau.”
JER.14.11	Dywedodd yr 
JER.14.12	Pan ymprydiant, ni wrandawaf ar eu cri; pan aberthant boethoffrwm a bwydoffrwm, ni fynnaf hwy; ond difethaf hwy â'r cleddyf a newyn a haint.” 
JER.14.13	Dywedais innau, “O fy Arglwydd 
JER.14.14	A dywedodd yr 
JER.14.15	Am hynny, fel hyn y dywed yr 
JER.14.16	Oherwydd y newyn a'r cleddyf, teflir allan i heolydd Jerwsalem y bobl y proffwydir iddynt, heb neb i'w claddu hwy eu hunain na'u gwragedd na'u meibion na'u merched. Tywalltaf eu drygioni arnynt.’ ”
JER.14.17	“A dywedi wrthynt y gair hwn:
JER.14.17	‘Difered fy llygaid ddagrau, nos a dydd heb beidio.
JER.14.17	Daeth briw enbyd i'r wyryf, merch fy mhobl;
JER.14.17	ergyd drom iawn.
JER.14.18	Os af i'r maes, yno y mae'r cyrff a laddwyd â'r cleddyf.
JER.14.18	Os af i'r ddinas, yno y mae'r rhai a nychwyd gan y newyn.
JER.14.18	Y mae'r proffwyd hefyd a'r offeiriad yn crwydro'r wlad,
JER.14.18	a heb ddeall.’ ”
JER.14.19	A wrthodaist ti Jwda yn llwyr? A ffieiddiaist ti Seion?
JER.14.19	Pam y trewaist ni heb fod inni iachâd?
JER.14.19	Disgwyl yr oeddem am heddwch, ond ni ddaeth daioni;
JER.14.19	am amser iachâd, ond dychryn a ddaeth.
JER.14.20	Cydnabyddwn, 
JER.14.20	a chamwedd ein hynafiaid;
JER.14.20	yn wir, yr ydym wedi pechu yn dy erbyn.
JER.14.21	Ond oherwydd dy enw, paid â'n ffieiddio ni,
JER.14.21	na dirmygu dy orsedd ogoneddus;
JER.14.21	cofia dy gyfamod â ni, paid â'i dorri.
JER.14.22	A oes neb ymhlith gau dduwiau'r cenhedloedd a rydd lawogydd?
JER.14.22	A rydd y nefoedd ei hun gawodydd?
JER.14.22	Na, ond ti, yr 
JER.14.22	ynot ti yr hyderwn, ti yn unig a wnei'r pethau hyn oll.
JER.15.1	Dywedodd yr 
JER.15.2	Ac os dywedant wrthyt, ‘I ble'r awn?’, dywed wrthynt, ‘Fel hyn y dywed yr 
JER.15.2	“Y sawl sydd i angau, i angau;
JER.15.2	y sawl sydd i gleddyf, i gleddyf;
JER.15.2	y sawl sydd i newyn, i newyn;
JER.15.2	y sawl sydd i gaethiwed, i gaethiwed.”
JER.15.3	“A chosbaf hwy mewn pedair ffordd, medd yr 
JER.15.4	Gwnaf hwy yn arswyd i holl deyrnasoedd y byd, oherwydd yr hyn a wnaeth Manasse fab Heseceia, brenin Jwda, yn Jerwsalem.”
JER.15.5	“Pwy a drugarha wrthyt, O Jerwsalem?
JER.15.5	Pwy a gydymdeimla â thi?
JER.15.5	Pwy a ddaw heibio i ymofyn amdanat?
JER.15.6	Gadewaist fi, medd yr 
JER.15.6	a throi dy gefn arnaf;
JER.15.6	ac estynnaf finnau fy llaw yn dy erbyn i'th ddifa;
JER.15.6	rwy'n blino ar drugarhau.
JER.15.7	Gwyntyllaf hwy â gwyntyll ym mhyrth y wlad;
JER.15.7	di-blantaf, difethaf fy mhobl,
JER.15.7	am na ddychwelant o'u ffyrdd.
JER.15.8	Gwnaf eu gweddwon yn amlach na thywod y môr;
JER.15.8	dygaf anrheithiwr ganol dydd yn erbyn mam y gŵr ifanc,
JER.15.8	paraf i ddychryn a braw ddod arni yn ddisymwth.
JER.15.9	Llesgâ'r un a esgorodd ar saith o feibion;
JER.15.9	syrth mewn llesmair,
JER.15.9	machluda ei haul, a hi eto'n ddydd;
JER.15.9	fe'i dygir i gywilydd a gwaradwydd.
JER.15.9	Rhoddaf i'r cleddyf y rhai sy'n weddill,
JER.15.9	yng ngŵydd eu gelynion, medd yr 
JER.15.10	Gwae fi, fy mam, iti fy nwyn i'r byd
JER.15.10	yn ŵr ymrafael, yn ŵr cynnen i'r holl wlad.
JER.15.10	Ni bûm nac echwynnwr na dyledwr,
JER.15.10	eto y mae pawb yn fy melltithio.
JER.15.11	Dywedodd yr 
JER.15.11	“Yn ddiau gwaredaf di er daioni;
JER.15.11	gwnaf i'th elyn ymbil â thi
JER.15.11	yn amser adfyd ac yn amser gofid.”
JER.15.12	“A ellir torri haearn, haearn o'r gogledd, neu bres?
JER.15.13	Gwnaf dy gyfoeth a'th drysorau yn anrhaith,
JER.15.13	nid am bris ond oherwydd dy holl bechod yn dy holl derfynau.
JER.15.14	Gwnaf i ti wasanaethu
JER.15.14	canys yn fy nicter cyneuwyd tân, a lysg hyd byth
JER.15.15	Fe wyddost ti, O 
JER.15.15	cofia fi, ymwêl â mi, dial drosof ar f'erlidwyr.
JER.15.15	Yn dy amynedd, paid â'm dwyn ymaith;
JER.15.15	gwybydd i mi ddwyn gwarth er dy fwyn di.
JER.15.16	Cafwyd geiriau gennyt, ac aethant yn ymborth i mi;
JER.15.16	daeth dy air yn llawenydd i mi, ac yn hyfrydwch fy nghalon;
JER.15.16	canys galwyd dy enw arnaf, O 
JER.15.17	Nid eisteddais yng nghwmni'r gwamal,
JER.15.17	ac ni chefais hwyl gyda hwy;
JER.15.17	ond eisteddwn fy hunan, oherwydd dy afael di arnaf;
JER.15.17	llenwaist fi â llid.
JER.15.18	Pam y mae fy mhoen yn ddi-baid,
JER.15.18	a'm clwy yn ffyrnig, ac yn gwrthod iachâd?
JER.15.18	A fyddi di i mi fel nant dwyllodrus,
JER.15.18	neu fel dyfroedd yn pallu?
JER.15.19	Am hynny, fel hyn y dywed yr 
JER.15.19	“Os dychweli, fe'th adferaf ac fe sefi o'm blaen;
JER.15.19	os tynni allan y gwerthfawr oddi wrth y diwerth,
JER.15.19	byddi fel genau i mi;
JER.15.19	try'r bobl atat ti, ond ni throi di atynt hwy.
JER.15.20	Fe'th wnaf i'r bobl hyn yn fagwyr o bres;
JER.15.20	ymladdant yn dy erbyn ond ni'th orchfygant,
JER.15.20	canys yr wyf gyda thi i'th achub ac i'th wared,” medd yr 
JER.15.21	“Gwaredaf di o afael y rhai drygionus,
JER.15.21	rhyddhaf di o law'r rhai creulon.”
JER.16.1	Daeth gair yr 
JER.16.2	“Paid â chymryd iti wraig; na fydded i ti feibion na merched yn y lle hwn. 
JER.16.3	Canys fel hyn y dywed yr 
JER.16.4	‘Byddant farw o angau dychrynllyd. Ni fydd galaru ar eu hôl ac ni chleddir hwy; byddant fel tail ar wyneb y tir. Fe'u lleddir gan gleddyf a newyn, a bydd eu celanedd yn ymborth i adar y nefoedd a bwystfilod gwyllt.’ 
JER.16.5	Fel hyn y dywed yr 
JER.16.6	Byddant farw, yn fawr a bach, yn y wlad hon; ni chleddir mohonynt ac ni alerir amdanynt; ni fyddant yn anafu eu cyrff nac yn eillio'u pennau o'u plegid. 
JER.16.7	Ni rennir bara
JER.16.8	Ac nid ei di i dŷ gwledd, i eistedd gyda hwy i fwyta ac yfed.’ ”
JER.16.9	“Fel hyn y dywed 
JER.16.9	“Yn y lle hwn, o flaen eich llygaid ac yn eich dyddiau,
JER.16.9	rwyf yn rhoi taw ar seiniau llawenydd a hapusrwydd,
JER.16.9	ar lais priodfab a phriodferch.”
JER.16.10	“Pan fynegi'r holl eiriau hyn i'r bobl, dywedant wrthyt, ‘Pam y llefarodd yr 
JER.16.11	Dywed dithau wrthynt, ‘Oherwydd i'ch hynafiaid fy ngadael i,’ medd yr 
JER.16.12	A gwnaethoch chwi yn waeth na'ch hynafiaid, gan rodio bob un yn ôl ystyfnigrwydd ei galon ddrygionus, heb wrando arnaf fi. 
JER.16.13	Am hynny, fe'ch hyrddiaf chwi allan o'r wlad hon i wlad nad adwaenoch chwi na'ch hynafiaid; yno gwasanaethwch dduwiau eraill, ddydd a nos, oherwydd ni wnaf unrhyw ffafr â chwi.’
JER.16.14	“Am hynny, y mae'r dyddiau ar ddod,” medd yr 
JER.16.15	ond, ‘Byw fyddo'r 
JER.16.16	“Yr wyf yn anfon am bysgotwyr lawer,” medd yr 
JER.16.17	Oherwydd y mae fy llygaid ar eu holl ffyrdd hwy; ni chuddiwyd hwy o'm gŵydd, ac nid yw eu drygioni wedi ei gelu o'm golwg. 
JER.16.18	Yn gyntaf, mi dalaf yn ddwbl am eu drygioni a'u pechod, am iddynt halogi fy nhir â chelanedd eu duwiau ffiaidd; llanwodd eu ffieidd-dra fy etifeddiaeth.”
JER.16.19	O 
JER.16.19	fy noddfa mewn dydd o flinder,
JER.16.19	atat ti y daw'r cenhedloedd, o gyrion pellaf byd, a dweud,
JER.16.19	“Diau i'n hynafiaid etifeddu celwydd,
JER.16.19	oferedd, a phethau di-les.
JER.16.20	A wna rhywun dduw iddo'i hun?
JER.16.20	Nid yw'r rhain yn dduwiau.”
JER.16.21	“Am hynny, wele, paraf iddynt wybod;
JER.16.21	y waith hon mi ddangosaf iddynt fy nerth a'm grym.
JER.16.21	A deallant mai'r 
JER.17.1	“Y mae pechod Jwda wedi ei ysgrifennu â phin haearn,
JER.17.1	a'i gerfio â blaen adamant ar lech eu calon,
JER.17.2	ac ar gyrn eu
JER.17.2	Y mae eu hallorau a'u pyst wrth ymyl prennau gwyrddlas ar fryniau uchel,
JER.17.3	yn y mynydd-dir a'r meysydd.
JER.17.3	Gwnaf dy gyfoeth a'th drysorau yn anrhaith,
JER.17.3	yn bris
JER.17.4	Gollyngi o'th afael yr etifeddiaeth a roddais i ti,
JER.17.4	a gwnaf i ti wasanaethu dy elynion mewn gwlad nad adwaenost,
JER.17.4	canys yn fy nicter cyneuwyd
JER.17.5	Fel hyn y dywed yr 
JER.17.5	“Melltigedig fo'r sawl sydd â'i hyder mewn meidrolyn,
JER.17.5	ac yn gwneud cnawd yn fraich iddo,
JER.17.5	ac yn gwyro oddi wrth yr 
JER.17.6	Bydd fel prysgwydd yn y diffeithwch;
JER.17.6	ni fydd yn gweld daioni pan ddaw.
JER.17.6	Fe gyfanhedda fannau moelion yr anialwch,
JER.17.6	mewn tir hallt heb neb yn trigo ynddo.
JER.17.7	Bendigedig yw'r sawl sy'n hyderu yn yr 
JER.17.7	a'r 
JER.17.8	Y mae fel pren a blannwyd ar lan dyfroedd,
JER.17.8	yn gwthio'i wreiddiau i'r afon,
JER.17.8	heb ofni gwres pan ddaw, a'i ddail yn ir;
JER.17.8	ar dymor sych ni phrydera, ac ni phaid â ffrwytho.
JER.17.9	“Y mae'r galon yn fwy ei thwyll na dim,
JER.17.9	a thu hwnt i iachâd; pwy sy'n ei deall hi?
JER.17.10	Ond yr wyf fi, yr 
JER.17.10	ac yn profi cymhellion,
JER.17.10	i roi i bawb yn ôl eu ffyrdd
JER.17.10	ac yn ôl ffrwyth eu gweithredoedd.”
JER.17.11	Fel petrisen yn crynhoi cywion nas deorodd,
JER.17.11	y mae'r sawl sy'n casglu cyfoeth yn anghyfiawn;
JER.17.11	yng nghanol ei ddyddiau bydd yn ei adael ef,
JER.17.11	a bydd ei ddiwedd yn ei ddangos yn ynfyd.
JER.17.12	Gorsedd ogoneddus, ddyrchafedig o'r dechreuad,
JER.17.12	dyna fan ein cysegr ni.
JER.17.13	O 
JER.17.13	gwaradwyddir pawb a'th adawa;
JER.17.13	torrir ymaith
JER.17.13	am iddynt adael yr 
JER.17.14	Iachâ fi, O 
JER.17.14	achub fi, ac fe'm hachubir;
JER.17.14	canys ti yw fy moliant.
JER.17.15	Ie, dywedant wrthyf,
JER.17.15	“Ple mae gair yr 
JER.17.16	Ond myfi, ni phwysais arnat i'w drygu
JER.17.16	ac ni ddymunais iddynt y dydd blin.
JER.17.16	Gwyddost fod yr hyn a ddaeth o'm genau yn uniawn ger dy fron.
JER.17.17	Paid â bod yn ddychryn i mi;
JER.17.17	fy nghysgod wyt ti yn nydd drygfyd.
JER.17.18	Gwaradwydder f'erlidwyr, ac na'm gwaradwydder i;
JER.17.18	brawycher hwy, ac na'm brawycher i;
JER.17.18	dwg arnynt hwy ddydd drygfyd,
JER.17.18	dinistria hwy â dinistr deublyg.
JER.17.19	Fel hyn y dywedodd yr 
JER.17.20	a dywed wrthynt, ‘Clywch air yr 
JER.17.21	Fel hyn y dywed yr 
JER.17.22	ac na ddygwch faich allan o'ch tai ar y dydd Saboth, na gwneud dim gwaith; ond sancteiddiwch y dydd Saboth, fel y gorchmynnais i'ch hynafiaid. 
JER.17.23	Ond ni wrandawsant hwy, na gogwyddo clust, ond ystyfnigo rhag gwrando, a rhag derbyn disgyblaeth. 
JER.17.24	Er hynny, os gwrandewch yn ddyfal arnaf, medd yr 
JER.17.25	yna fe ddaw trwy byrth y ddinas hon frenhinoedd a thywysogion i eistedd ar orsedd Dafydd, ac i deithio mewn cerbydau a marchogaeth ar feirch—hwy a'u tywysogion, pobl Jwda a phreswylwyr Jerwsalem—a chyfanheddir y ddinas hon hyd byth. 
JER.17.26	A daw pobloedd o ddinasoedd Jwda a chwmpasoedd Jerwsalem, a thiriogaeth Benjamin, o'r Seffela a'r mynydd-dir, a'r Negef, gan ddwyn poethoffrymau ac aberthau, bwydoffrwm a thus, ac offrwm diolch i dŷ'r 
JER.17.27	Ac os na wrandewch arnaf a sancteiddio'r dydd Saboth, a pheidio â chludo baich wrth ddod i mewn i byrth Jerwsalem ar y dydd Saboth, yna mi gyneuaf dân yn y pyrth hynny, tân a lysg balasau Jerwsalem, heb neb i'w ddiffodd.’ ”
JER.18.1	Dyma'r gair a ddaeth at Jeremeia oddi wrth yr 
JER.18.2	“Cod a dos i lawr i dŷ'r crochenydd; yno y paraf i ti glywed fy ngeiriau.” 
JER.18.3	Euthum i lawr i dŷ'r crochenydd, a'i gael yn gweithio ar y droell. 
JER.18.4	A difwynwyd yn llaw'r crochenydd y llestr pridd yr oedd yn ei lunio, a gwnaeth ef yr eildro yn llestr gwahanol, fel y gwelai'n dda.
JER.18.5	Yna daeth gair yr 
JER.18.6	“Oni allaf fi eich trafod chwi, tŷ Israel, fel y mae'r crochenydd hwn yn ei wneud â'r clai?” medd yr 
JER.18.7	Ar unrhyw funud gallaf benderfynu diwreiddio a thynnu i lawr, a difetha cenedl neu deyrnas. 
JER.18.8	Ac os bydd y genedl honno y lleferais yn ei herbyn yn troi oddi wrth ei drygioni, gallaf ailfeddwl am y drwg a fwriedais iddi. 
JER.18.9	Ar unrhyw funud gallaf benderfynu adeiladu a phlannu cenedl neu deyrnas, 
JER.18.10	ond os gwna'r genedl honno ddrygioni yn fy ngolwg, a gwrthod gwrando arnaf, gallaf ailfeddwl am y da a addewais iddi. 
JER.18.11	Yn awr dywed wrth bobl Jwda ac wrth breswylwyr Jerwsalem, ‘Fel hyn y dywed yr 
JER.18.12	Ond dywedant hwy, ‘Y mae pethau wedi mynd yn rhy bell. Dilynwn ein bwriadau ein hunain, a gweithredwn bob un yn ôl ystyfnigrwydd ei galon ddrygionus.’ ”
JER.18.13	Am hynny, fel hyn y dywed yr 
JER.18.13	“Ymofynnwch ymhlith y cenhedloedd,
JER.18.13	pwy a glywodd ddim tebyg i hyn.
JER.18.13	Gwnaeth y forwyn Israel beth erchyll iawn.
JER.18.14	A gilia eira Lebanon oddi ar greigiau'r llethrau?
JER.18.14	A sychir dyfroedd yr ucheldir
JER.18.14	sy'n ffrydiau oerion?
JER.18.15	Ond mae fy mhobl wedi f'anghofio,
JER.18.15	ac wedi arogldarthu i dduwiau gau
JER.18.15	a barodd iddynt dramgwyddo yn eu ffyrdd, yr hen rodfeydd,
JER.18.15	a cherdded llwybrau mewn ffyrdd heb eu trin.
JER.18.16	Gwnaethant eu tir yn anghyfannedd,
JER.18.16	i rai chwibanu drosto hyd byth;
JER.18.16	bydd pob un sy'n mynd heibio iddo yn synnu,
JER.18.16	ac yn ysgwyd ei ben.
JER.18.17	Fel gwynt y dwyrain y chwalaf hwy o flaen y gelyn;
JER.18.17	yn nydd eu trychineb dangosaf iddynt fy ngwegil, nid fy wyneb.”
JER.18.18	A dywedodd y bobl, “Dewch, gwnawn gynllwyn yn erbyn Jeremeia; ni chiliodd cyfarwyddyd oddi wrth yr offeiriad, na chyngor oddi wrth y doeth, na gair oddi wrth y proffwyd; dewch, gadewch inni ei faeddu â'r tafod, a pheidio ag ystyried yr un o'i eiriau.”
JER.18.19	Ystyria fi, O 
JER.18.19	a chlyw beth y mae f'achwynwyr yn ei ddweud.
JER.18.20	A ad-delir drwg am dda?
JER.18.20	Cloddiasant bwll ar fy nghyfer.
JER.18.20	Cofia imi sefyll o'th flaen,
JER.18.20	i lefaru'n dda amdanynt
JER.18.20	ac i droi ymaith dy ddig oddi wrthynt.
JER.18.21	Am hynny rho'u plant i'r newyn,
JER.18.21	lladder hwy trwy rym y cleddyf;
JER.18.21	bydded eu gwragedd yn weddwon di-blant,
JER.18.21	a'u gwŷr yn farw gelain,
JER.18.21	a'u gwŷr ifainc wedi eu taro â'r cleddyf mewn rhyfel.
JER.18.22	Bydded i waedd godi o'u tai,
JER.18.22	am i'r ysbeiliwr ddod yn ddisymwth ar eu gwarthaf;
JER.18.22	canys cloddiasant bwll i'm dal,
JER.18.22	a chuddio maglau i'm traed.
JER.18.23	Ond yr wyt ti, O 
JER.18.23	am eu holl gynllwyn yn f'erbyn, i'm lladd.
JER.18.23	Paid â maddau iddynt eu camwedd,
JER.18.23	na dileu eu pechod o'th ŵydd.
JER.18.23	Bydded iddynt faglu o'th flaen;
JER.18.23	delia â hwy yn awr dy ddigofaint.
JER.19.1	Fel hyn y dywed yr 
JER.19.2	a dos allan i ddyffryn Ben-hinnom wrth fynedfa Porth Harsith
JER.19.3	a dweud, ‘Clywch air yr 
JER.19.4	“ ‘Am iddynt fy ngwrthod, a chamddefnyddio'r lle hwn ac arogldarthu ynddo i dduwiau eraill nad oeddent yn eu hadnabod, hwy na'u hynafiaid na brenhinoedd Jwda, a llenwi'r lle â gwaed y rhai dieuog, 
JER.19.5	ac adeiladu uchelfeydd i Baal, i losgi eu meibion yn y tân fel poethoffrwm i Baal, peth na orchmynnais, na'i lefaru, ac na ddaeth i'm meddwl— 
JER.19.6	am hynny, wele'r dyddiau'n dod, medd yr 
JER.19.7	“ ‘Gwnaf gyngor Jwda a Jerwsalem yn ofer yn y lle hwn, a pharaf i'r bobl syrthio trwy'r cleddyf o flaen eu gelynion, a mynd i afael y rhai sy'n ceisio'u bywyd; rhof eu celanedd yn fwyd i adar y nefoedd a bwystfilod gwyllt. 
JER.19.8	Gwnaf y ddinas hon yn arswyd ac yn syndod, a bydd pawb sy'n mynd heibio yn arswydo ac yn synnu at ei holl glwyfau. 
JER.19.9	Gwnaf iddynt fwyta cnawd eu meibion a chnawd eu merched; bwytânt gnawd ei gilydd yn y gwarchae ac yn y cyfyngder a ddygir arnynt gan eu gelynion a'r rhai sy'n ceisio'u bywyd.’
JER.19.10	“Yna fe ddrylli'r ystên yng ngŵydd y gwŷr a aeth gyda thi, 
JER.19.11	a dweud wrthynt, ‘Fel hyn y dywed 
JER.19.12	Felly y gwnaf i'r lle hwn a'i breswylwyr, medd yr 
JER.19.13	A bydd tai Jerwsalem a thai brenhinoedd Jwda fel mangre Toffet, yn halogedig—yr holl dai lle bu arogldarthu ar y to i holl lu'r nefoedd, a lle bu tywallt diodoffrwm i dduwiau eraill.’ ”
JER.19.14	Daeth Jeremeia o Toffet, lle'r oedd yr 
JER.19.15	“Fel hyn y dywed 
JER.20.1	Yr oedd Pasur fab Immer, yr offeiriad, yn brif swyddog yn nhŷ'r 
JER.20.2	trawodd Pasur y proffwyd Jeremeia, a'i roi yn y cyffion ym mhorth uchaf Benjamin yn nhŷ'r 
JER.20.3	Trannoeth, pan ollyngodd Pasur ef o'r cyffion, dywedodd Jeremeia wrtho, “Nid Pasur y galwodd yr 
JER.20.4	Canys fel hyn y dywed yr 
JER.20.5	Rhof hefyd olud y ddinas hon, a'i holl gynnyrch, a phob dim gwerthfawr sydd ganddi, a holl drysorau brenhinoedd Jwda, yng ngafael eu gelynion, i'w hanrheithio a'u meddiannu a'u cludo i Fabilon. 
JER.20.6	A byddi di, Pasur, a holl breswylwyr dy dŷ, yn mynd i gaethiwed; i Fabilon yr ei, ac yno y byddi farw, a'th gladdu—ti a'th holl gyfeillion y proffwydaist gelwydd iddynt.’ ”
JER.20.7	Twyllaist fi, O 
JER.20.7	Cryfach oeddit na mi, a gorchfygaist fi.
JER.20.7	Cyff gwawd wyf ar hyd y dydd,
JER.20.7	a phawb yn fy ngwatwar.
JER.20.8	Bob tro y llefaraf ac y gwaeddaf,
JER.20.8	“Trais! Anrhaith!” yw fy llef.
JER.20.8	Canys y mae gair yr 
JER.20.8	yn waradwydd ac yn ddirmyg ar hyd y dydd.
JER.20.9	Os dywedaf, “Ni soniaf amdano,
JER.20.9	ac ni lefaraf mwyach yn ei enw”,
JER.20.9	y mae yn fy nghalon yn llosgi fel tân
JER.20.9	wedi ei gau o fewn fy esgyrn.
JER.20.9	Blinaf yn ymatal; yn wir, ni allaf.
JER.20.10	Clywais sibrwd gan lawer—dychryn-ar-bob-llaw:
JER.20.10	“Cyhuddwch ef! Fe'i cyhuddwn ni ef!”
JER.20.10	Y mae pawb a fu'n heddychlon â mi
JER.20.10	yn gwylio am gam gwag gennyf, ac yn dweud,
JER.20.10	“Efallai yr hudir ef, ac fe'i gorchfygwn, a dial arno.”
JER.20.11	Ond y mae'r 
JER.20.11	fel rhyfelwr cadarn;
JER.20.11	am hynny fe dramgwydda'r rhai sy'n fy erlid,
JER.20.11	ac ni orchfygant;
JER.20.11	gwaradwyddir hwy'n fawr, canys ni lwyddant,
JER.20.11	ac nid anghofir fyth eu gwarth.
JER.20.12	O 
JER.20.12	ac yn gweld y galon a'r meddwl;
JER.20.12	rho imi weld dy ddialedd arnynt,
JER.20.12	canys dadlennais i ti fy nghwyn.
JER.20.13	Canwch i'r 
JER.20.13	Achubodd einioes y tlawd o afael y rhai drygionus.
JER.20.14	Melltith ar y dydd y'm ganwyd;
JER.20.14	na fendiger y dydd yr esgorodd fy mam arnaf.
JER.20.15	Melltith ar y gŵr aeth â'r neges i'm tad,
JER.20.15	“Ganwyd mab i ti”,
JER.20.15	a rhoi llawenydd mawr iddo.
JER.20.16	Bydded y gŵr hwnnw fel y dinasoedd
JER.20.16	a ddymchwelodd yr 
JER.20.16	Bydded iddo glywed gwaedd yn y bore,
JER.20.16	a bloedd am hanner dydd,
JER.20.17	oherwydd na laddwyd mohonof yn y groth,
JER.20.17	ac na fu fy mam yn fedd i mi,
JER.20.17	a'i chroth yn feichiog arnaf byth.
JER.20.18	Pam y deuthum allan o'r groth,
JER.20.18	i weld trafferth a gofid,
JER.20.18	a threulio fy nyddiau mewn gwarth?
JER.21.1	Dyma'r gair a ddaeth at Jeremeia oddi wrth yr 
JER.21.2	“Ymofyn â'r 
JER.21.3	Dywedodd Jeremeia wrthynt, “Dyma'r hyn a ddywedwch wrth Sedeceia: 
JER.21.4	‘Fel hyn y dywed yr 
JER.21.5	Byddaf fi fy hun yn rhyfela yn eich erbyn, a'm llaw wedi ei hestyn allan, a'm braich yn gref, mewn soriant a llid a digofaint mawr. 
JER.21.6	Trawaf drigolion y ddinas hon, yn ddyn ac yn anifail; byddant farw o haint mawr. 
JER.21.7	Ac wedi hynny, medd yr 
JER.21.8	“Wrth y bobl hyn hefyd dywed, ‘Fel hyn y dywed yr 
