GEN.1.1	Ante pëgwëko W̃ën ntind viỹë ŋa, ambin ŋa g'inkal iŋa ntiko ten.
JHN.7.19	Moyis njëɗaku 
JHN.7.20	Kore ỹa më ntëkwaniha: «
JHN.7.21	Yesu më mbok ntehnëkëhni: «Iñë ryampo fo liɓu do wëli w̃uhnë fop pëmpëhnahnëku! 
JHN.7.22	Moyis ntehnëku 
JHN.7.23	Awa, ge kácik fatah facan hnë fac ntaw̃ëla hna, menëɗina sariya Moyis ỹa, soŋe ye ntavëku g'ami kaɓi ahnë yërënëɓu fop hnë fac ntaw̃ëla? 
JHN.7.24	Tavëryin kitiŋ ile worun ƴëtëluhna. Kitiŋëryindën gante nke toña ka.»
JHN.7.25	Awa, vëryampo vëvë Yerusalem va nësëɗëniho soŋe Yesu ỹa: «Gena bi aỹi yëkëlehnakënde ndaw̃ehni? 
JHN.7.26	Ƴëkëryina: tase vahnë fop nësëɗ do ñoñ dehnëɗena! Mpëd, paryi njavëtëniha vësankaf fu vi umë ye Arëhnayik a. 
JHN.7.27	Ɓare Arëhnayik a, ge njijëɗ, ahnë ƴëtëɗina bi ne nkejëk; do aỹi asan, njëtëɓun hn'ile nkejëk hna.»
JHN.7.28	Awa Yesu, ante karaŋëɗëhëhniwo vahnë va hnë selele 
JHN.7.29	Ami, njëtëɓuha, kaɓi ỹalu hna matiɓu, do umë faƴiko.»
JHN.7.30	Awa, soŋe wanës watac, vëyaɓah ñaɗëniho pëlaniha, ɓare ahnë pëlalawohna, kaɓi wati lëw̃u ỹa tëkëlohna ten. 
JHN.7.31	Ɓare vahnë vëyaɓah ɓulunda hna kwëtahnënihawo. Ntehnëɗëniho: «Ge Arëhnayik a tëkik, ntiɗ bi wëdahëse wafëmpëhnahnah ntëbi wante tëk ntik aỹi asan ŋi?»
JHN.7.33	Yesu më ntehnëk: «Nkolahnëɗen ten toƴe. Tac mbokaɗëfu hn'ale faƴiko hna. 
JHN.7.34	Wati rac rëkëɗun ayëkëlehnënduno ɓare nuɗilunohna; kaɓi koɗiluhna ayiwu w̃uhnë hn'ile nkeɗëfu ami hna.»
JHN.7.36	Ye ga pëhnëtanëɗ waŋi wanës: “Njëkëlehnëɗunëho do nuɗilunohna, kaɓi koɗiluhna ayiwu w̃uhnë hn'ile nkeɗëfu ami hna”?»
JHN.7.37	Fac le ỹak hwëhnak nafa ambënt hna yeho fac rëkwa ỹa. Fac rac, Yesu më kahnëk haryënkw kore ỹa, do ndeka: «Ge ahnë njoka w̃ënka, njij ỹal mën hna do ciya. 
JHN.7.38	Ge ahnë kwëtahnëko, ahnë arac nkeɗ gante nësëk Vikerëh ka: “W̃ënka waƴaɓah wante njëɗahnëɗ sël ntaw̃ary, uwám paryi ŋa njaliɗ hnë umë.”» 
JHN.7.39	(Yesu soŋe Iƴir nte nuỹaɗëni vële hwëtahnëka va nësëɗëho. Wati rac, Ƴir iŋa ƴëɗahnilohna ten, kaɓi Yesu matëndilohna ten hafo tëk laña hnëfak lëw̃u hna.)
JHN.7.40	Kore hna, vëyaɓah hnë vële wëryëko wanës watac va ntehnëɗëniho: «Paryi nke, aỹi asan ye 
JHN.7.41	Vëryampo ntehnëɗëniho: «Arëhnayik a ye!»
JHN.7.41	Ɓare, vëryampo më ntëkwani: «Arëhnayik a koɗ bi mati Galile? 
JHN.7.42	Gena bi Vikerëh va ntehnëk Arëhnayik a avë hnënk Ahnaw̃ 
JHN.7.43	Koyëna ɓulunda ỹa nahan dëw̃ hni ŋa nëmpëlëko g'ahaw̃ary soŋe Yesu ỹa. 
JHN.7.44	Vëryampo hnë vëhni ñaɗëniho pëlayi, ɓare ahnë ɗëkëlohna pëlahna.
JHN.7.45	Vëyëka Cery W̃ën Cankaf va mbokalehnini g'ante nkeni vësankaf vësëna wasaɗëha gë 
JHN.7.46	Më ntëkwani: «Koɓëri ahnë nësëna g'umë ki!»
JHN.7.47	Wafarise w̃a më ntëkwani: «Ye! Maw̃ërun w̃uhnë fëna arokayiwu? 
JHN.7.48	Koɓëri bi nurunëha asankaf aryampo ma farise aryampo ale hwëtahnëka? 
JHN.7.49	Hali! Vahnë vële wok vëyëtëna 
JHN.7.50	Nikodem yeho farise aryampo ale yentiko hnam ỹa. Ɓiỹëna ɗus umë yiko vëhni Yesu hna. Umë ntehnëkëhni vëỹëntaw̃ va: 
JHN.7.51	«Awa, sariya fu ỹa maw̃ëryak bi tame kitiŋi ahnë ndaw̃i hara gwëryina ten do hara ƴëtina uw̃eh ule ntik w̃a?»
JHN.7.52	Më ntëkwaniha: «Avë Galile bi yeru, wëjë fëna? Ƴëkëry Vikerëh va do nuɗu wëla 
JHN.7.53	[Tac, pitëlëlehnëni ale-wo-le mënc gë ỹalu.
JHN.8.1	Yesu njiko hn'ikuŋ inte w̃acik 
JHN.8.2	Ga pacëk, wakëwak fo, mbokako selele 
JHN.8.3	Taŋ, 
JHN.8.4	Më ntehnëniha Yesu: «Aharaŋ, aỹi asëval g'asan naŋëtëlehnini hnë wati nte ndakakëndëni ŋa dënk. 
JHN.8.5	Hara, 
JHN.8.6	(Hn'iŋi tëƴ, urënd tëndëhnëɗënihawo, nuỹahnëni ile ntehnëɗëni menëk.)
JHN.8.6	Yesu dëkwalohna, tënkwëko do pëgw kerënd g'irufa ỹa nkal hna. 
JHN.8.7	Kaɓi nkoniho tëƴëndëniha, awa Yesu më matëndak do ntehnëhni: «Ale wok koɓëri menëna hnë w̃uhnë ỹa ndënkw ntuta.» 
JHN.8.8	Tac më mbok tënkwëk do mbok kerënd kat nkal hna.
JHN.8.9	Ga nkwëryëni wanës watac, njilehnëni aryampo aryampo, vicër va ryënkwëko ten. Tavëlehnëniha Yesu g'asëval a fo hnam. 
JHN.8.10	Awa Yesu më matëndak do ntehna: «Awa ne nkehëhni vële yojakëhi va? Ahnë gena bi ale hitiŋëki hafo cëm hna?»
JHN.8.11	Asëval a më ntëkwak: «Aharaŋ, ahnë gena ale hitiŋëko.»
JHN.8.11	Awa Yesu më ntehnëka: «Ami fëna kitiŋëɗilihna. Ƴiry, do ant'avoka w̃en.»]
JHN.8.12	Yesu mboko nës kat kore hna: «Ami ye humpen ɗuniỹa ha. Ale rëfëɗëho ỹa ƴasëɗina hn'umëhwëry: nuỹaɗ humpen hunte ryënëɗ uwám usër hna.»
JHN.8.13	Soŋe rac 
JHN.8.14	Yesu më ntëkwakëhni: «Ha, ami dënk hnësaɗ: ɓare wanës mën ŋa kwëhnak nafa, kaɓi ami njëtëɓu hn'ile matiɓu hna do hn'ile njiɗëfu hna, ɓare w̃uhnë ƴëtëluhna hn'ile matiɓu hna gë hn'ile njiɗëfu hna. 
JHN.8.15	W̃uhnë, ile hnuɗun fo hitiŋëɗun; ami, kitiŋëɗa ahnë. 
JHN.8.16	Ɓare, ge kitiŋëɗëhëfu, kiti mën ỹa catëɗ, kaɓi gena ami fo hitiŋëɗ, Rëm ale faƴiko ỹa g'ami nkeɓun. 
JHN.8.17	Kerina bi 
JHN.8.18	Awa ami, ami dënk ye seɗe mën ỹa, do Rëm ale faƴiko ỹa fëna nkenëhnëko seɗe.»
JHN.8.19	Awa më tëƴëniha: «Ne nkeha rëmuh ỹa?»
JHN.8.19	Yesu më ntëkwak: «Paryi ƴëtëlunohna do paryi ƴëtëlunahna Rëm mën ỹa fëna. Ge njëtakëndunëho, njëtakëndunëha Rëm mën ỹa fëna.» 
JHN.8.20	Yesu, ante karaŋëɗëhëhniwo hnë selele 
JHN.8.21	Yesu më mbok ntehnëkëhni kat: «Njiɗëfu do njëkëlehnëɗunëho, ɓare gë wameh hun ŋa cëmëɗun. Koɗiluhna ayiwu hn'ile njiɗëfu hna.»
JHN.8.23	Yesu më ntehnëkëhni: «W̃uhnë vëvë gëɗ yerun, ɓare ami avë g'ambin yeɓu. Iỹi ɗuniỹa hwëhnëku, ɓare ami kwëhnëlohna iỹi ɗuniỹa. 
JHN.8.24	Soŋe umë lehnahnëmu: “Gë wameh hun ŋa cëmëɗun.” Ha, ge kwëtahnëluhna “Ami ye
JHN.8.25	Awa më tëƴëniha: «Mo yeru?»
JHN.8.25	Yesu më ntëkwakëhni: «Kwëlëkwël pëƴaɗëmuno koɓëri wapëgwa hna. 
JHN.8.26	Soŋe hun ỹa, njaɓëk vile hokëndëɓu hnësu hitiŋahnu. Ale faƴiko ỹa ahwëhn toña ye, do ile fëƴaɗëmu hnë ɗuniỹa ỹi ỹalu hna ñëŋajëɓu.»
JHN.8.27	Vëwëryëɗilohna Yesu soŋe Rëm ỹa nësëndëhëhniwo. 
JHN.8.28	Awa më mbok ntehnëkëhni: «Ge njelërunëha Ajë Ahn'a, njavëtëɗun “Ale ye ỹa yeɓu”, njavëtëɗun ñoñ diɗa g'ufër mën: ile karaŋëko Rëm ỹa fo hnësëɗëfu. 
JHN.8.29	Ha, ale faƴiko ỹa g'ami nkeɓun; tavëlohna ami fo, kaɓi ile ñaɗ ỹa liɗëfu kwëlëkwël.» 
JHN.8.30	Wati nte nësëɗëho Yesu aki ŋa vëyaɓah kwëtahnënihawo.
JHN.8.31	Awa Yesu më ntehnëkëhni 
JHN.8.32	Koyëna njëtakëndun toña ỹa do toña ỹa ntikëndëhu vahnë vële ye afaya.»
JHN.8.33	Më ntëkwaniha: «Fuhnë, Abëraham hwëhnëkëfu, koɓëri gelëfuhna muk vëramp ahnë. Hak koɗu alehn: “Nkekëndun afaya”?»
JHN.8.34	Yesu më ntëkwakëhni: «Toña ỹa fëƴaɗëmu: Ale-wo-ale liɗ wameh a, aramp wameh ye. 
JHN.8.35	Hara aramp geɗina kwëlëkwël avë tere, ɓare aju ahwëhn tere ỹa avë tere kwëlëkwël ye. 
JHN.8.36	Ge Aju W̃ën ỹa lik ayewu afaya, awa paryi nke afaya yeɗun. 
JHN.8.37	Njëtëɓu hnënk yerun gë Abëraham. Ɓare soŋe ile yëkëlehnëɗun aryaw̃uno ỹi, umë rufahnëɗ ŋwëỹërun wanës mën ŋa. 
JHN.8.38	Ami, ile hnuɓu vëhni Rëm mën ỹa hnësëɗëfu. Do w̃uhnë, ile wëryërun rëm hun hna liɗun.»
JHN.8.39	Më ntëkwaniha: «Fuhnë, rëm fu ỹa, Abëraham ye.»
JHN.8.39	Yesu ntehnëkëhniwo: «Ge paryi vutah Abëraham yekëndun, ile ntiɗëho ỹa rëkakëndun alindu. 
JHN.8.40	Ɓare mama pëƴahnëmu toña ile ỹëŋajëɓu W̃ën ỹa, njëkëlehnëɗun aryaw̃uno. Abëraham ñoñ dina ile w̃ëntëlëk gë iỹin ki! 
JHN.8.41	W̃uhnë, ile ntiɗ rëmun ỹa dënk liɗun.»
JHN.8.41	Më ntëkwaniha: «Gelëfuhna vësëval vële wafëɗ vankaf vantëw̃ hni. Rëm ryampo fo hwëhnaɓun: W̃ënu ŋa ye!»
JHN.8.42	Yesu më ntehnëkëhni: «Ge paryi W̃ënu ŋa yekënd Rëm hun ỹa, rëkakëndun aỹanduno, kaɓi W̃ën hna matiɓu do soŋe lëw̃u ỹa yijëɓu hnë fagant hun hna. Ƴijëla soŋe lëmën dënk, umë faƴiko. 
JHN.8.43	Soŋe ye ye gwëryëɗiluhna ile lehnëɗëmu ỹa? Umë ye kaɓi mëkëɗiluhna ahnëpawu wanës mën ŋa. 
JHN.8.44	Rëmun ỹa, 
JHN.8.45	Ɓare ami, toña ỹa hnësëɗëfu. Soŋe umë ye kwëtahnëɗilunohna. 
JHN.8.46	Mo hnë w̃uhnë hoɗ tufahn menëɓu iñë ryampo? Ge nësëɗëfu toña ỹa, soŋe ye kwëtahnëɗilunohna? 
JHN.8.47	Ge W̃ënu ŋa hwëhnëku nëpaɗun wanës wadëw̃u ŋa. Ge nëpaɗiluhna, kaɓi kwëhnëluhna ye.»
JHN.8.48	Wasëwif w̃a më tëƴëniha Yesu: «Kwëhnalëfuhna bi toña lehnëfu avë 
JHN.8.49	Yesu më ntëkwak: «Gelëfuhna gë ƴine. Rëm mën ỹa lënënëɗëfu, ɓare w̃uhnë, ŋwëỹërun dënënëɗilunohna. 
JHN.8.50	Ami, ƴëkëlehnëla 
JHN.8.51	Toña ỹa fëƴaɗëmu: ale lënënëk wanës mën ŋa cëmëɗina muk.»
JHN.8.52	Wasëwif w̃a më ntehnëniha: «Tame, pacëkëfu gë ƴine nkerun. Abëraham cëmëk, 
JHN.8.53	Wëjë bi lëbëka Rëm ỹa, Abëraham, nte sëmëk? Do cëmëni fop wakila ŋa fëna! Mo liyahnëki yeru?»
JHN.8.54	Yesu më ntëkwak: «Ge ami dënk rëkakënd sëmbandu, icëmb mën iŋa kwëhnakëndina nafa. Ale sëmbëɗëho ỹa, Rëm mën ỹa ye, umë dënk lehnëɗun ye W̃ën hun ŋa. 
JHN.8.55	Ƴëtëlunahna, ɓare ami njëtëɓuha. Ge ntehnakëndëɓu ƴëtëlëw̃ahna, aw̃ër yekëndëɓu, had w̃uhnë. Ɓare njëtëɓuha do ntënënëɗëfu wanës wadëw̃u ŋa. 
JHN.8.56	Abëraham, Rëm sankaf hun ỹa, natëkawo ɗus kaɓi njëtëko tëkiɗëfu. Nuko fac lëmën ỹa do natëkawo.»
JHN.8.57	Awa wasëwif w̃a më mbokëni ntehnëniha: «Kwëhnalihna ten wabëhn wafëhw imbëɗ (50) do alehn nuruha Abëraham!»
JHN.8.58	Yesu më ntëkwakëhni: «Toña ỹa fëƴaɗëmu: ani gë nagahnënde Abëraham ỹa, “Ami Ye
JHN.8.59	Ga nkwëryëni watac, mbankëpëɗëniho wëraka ntutahnëniha, ɓare Yesu më cow̃ak do cahnëlehn selele 
JHN.9.2	 vëlëw̃u va më tëƴëniha aki: «Aharaŋ, soŋe ye nagik aỹi asan mëp? Soŋe wameh wadëw̃u ŋa dënk bi ye ma wameh vële hnagëka ŋa ye?»
JHN.9.3	Yesu më ntëkwak: «Gena soŋe wameh wadëw̃u ŋa, gena fëna wëɓa vële hnagëka ŋa; mëpëk soŋe vahnë va fop nuhahnëni ile mëkëɗ nti W̃ënu ŋa. 
JHN.9.4	Tëfëkëfu ntiyin waɗoku ale faƴiko ỹa ante nkok mëɗëna ten ŋi. Mëɗ uŋa tëhajëk, hn'ile nkoɗ kolëna ahnë mbok ndokuŋ. 
JHN.9.5	Wati nte yeɗëfu ɗuniỹa ỹi fop, humpen ɗuniỹa ha yeɓu.»
JHN.9.6	Ga nësëk watac, Yesu më tëpëk nkal hna do nëgw nkal iŋa gë wato wadëw̃u ŋa, do mbërya inkal tac mëp uŋa vinkër hna. 
JHN.9.7	Tac ntehna: «Ƴiryeyi awëñaj pisin le w̃acëɗe Silowe ỹa.» Uw̃i w̃ac «Ale Faƴik» pëhnëtanëɗ. Umëp uŋa njilehn nkwëñaj, do mëpëtako mbokajatënd!
JHN.9.8	Vësaryëntaw̃u gë vële hnuɗëhawo kwëlëkwël ga muntaɗ va më ntehnëni: «Gena bi aỹi asan lañaɗëho kwëlëkwël muntand?»
JHN.9.9	Vëryampo ntehnëɗëniho: «Umë dënk ye.»
JHN.9.9	Vëhaw̃ary më nkwajëni: «Ale mëntëlëni fo ye.»
JHN.9.9	Ɓare umë, më ntehnëk: «Paryi, ami dënk ye.»
JHN.9.10	Awa më tëƴik: «Hak ntiru ahnuhahnënd?»
JHN.9.11	Më ntëkwakëhni: «Asan ale w̃acik Yesu ỹa sëkënakëh toƴe nkal iŋi, mbëryo vinkër li do ntehno: “Ƴiryeyi Silowe hna awëñaj.” Më yiɓu, wëñaju do, taŋ hnulehnu wapacëk!»
JHN.9.12	Më tëƴëniha: «Ne nkeha Yesu tac?»
JHN.9.12	Më ntëkwakëhni: «Ƴëtëla.»
JHN.9.13	Më njoniha asan ale w̃ëpëko ỹa gë 
JHN.9.14	Hara, hnë 
JHN.9.15	Awa wafarise w̃a më tëƴëniha vëhni fëna, hak kolahnëk nund. Më ntehnëkëhni: «Nkal cëkah liyiɓuho vinkër li, më wëñaɓu, do tame nuɗëfu.»
JHN.9.16	Wafarise wëryampo më ntehnëni: «Ale lik iỹin ỹa matina W̃ën hna, kaɓi dënënëɗina ntaw̃ëla ŋa.»
JHN.9.16	Ɓare vëhaw̃ary më ntëkwani: «Hak koɗ ahnë aw̃en nti iỹi sifa wëdahëse wafëmpëhnahnah?» Wanës wadëw̃ hni ŋa nëmpëlëko.
JHN.9.17	Awa më mbok tëƴëniha kat ale w̃ëpëko ỹa: «Wëjë lë, ye hnësëru soŋe lëw̃u ỹa kaɓi vinkër hu va mëpëtëk?»
JHN.9.17	Më ntëkwakëhni: «
JHN.9.18	Ɓare, 
JHN.9.19	Më tëƴënihëhni: «Aỹi asan paryi bi ajë hun ye? Umëp bi nagik paryi? Ge toña ye, hak ntik awa nuhahnëɗ tame?»
JHN.9.20	Vële hnagëka va më ntëkwani: «Njëtëɓun ajë fu ỹa ye do mëp nagik. 
JHN.9.21	Ɓare ƴëtëlëfuhna bi ye liyak nuhahnëɗ tame do ƴëtëlëfuhna fëna bi mo w̃ëpëtëka. Tëƴëryina: naỹëk, koɗ ntëkwa umë dënk!» 
JHN.9.22	Vële hnagëka asan va nësëniho koyëna kaɓi ntakëkëhniwo gë vësankaf wasëwif va: njëtëniho vëhni tëko pëhnani ntanihëhni 
JHN.9.23	Soŋe rac ntëkwahnëniho vële hnagëka mëp va: «Tëƴëryina umë dënk, naỹëk, koɗ ntëkwa!»
JHN.9.24	Awa wafarise w̃a më mbok macehnëniha kat asan ale w̃ëpëko ỹa do ntehnëniha: «Dënënëryehna W̃ënu ŋa ahnës toña ỹa. Njëtëɓun fuhnë asan arac aw̃en ye.»
JHN.9.25	Më ntëkwak: «Ƴëtëla bi aw̃en ye ma hali. Ɓare njëtëɓu iñë ryampo: mëpëɓuho do tame nuɗëfu.»
JHN.9.26	Më mbokëni tëƴëniha: «Ye ntiki? Hak njërënëki?»
JHN.9.27	Më ntëkwakëhni: «Nësëhnëmu, ɓare nëpalunohna. Soŋe ye ỹaɗun avok awëryuno kat? Ñaɗun bi mpëd, w̃uhnë fëna, ayentiwu 
JHN.9.28	Awa pëgwëlehnëni njew̃ëndëniha do ntehnëni: «Wëjë, arëfal aỹi asan yeru! Fuhnë, vërëfal Moyis yeɓun. 
JHN.9.29	Njëtëɓun W̃ënu ŋa nësëhnëkawo Moyis, ɓare aỹi asan, ƴëtëlëfuhna dënk bi ne matik!»
JHN.9.30	Asan a më ntëkwakëhni: «Umë fëmpëhnahnah ye: njërënëko do ƴëtëluhna, w̃uhnë, hn'ile matik hna! 
JHN.9.31	Fuhnë fop, njëtinëk W̃ënu ŋa nëpaɗilëhnihna vëw̃en va, ɓare ge ahnë ntënënëɗëha do nti ile ñaɗ ỹa, nëpaɗëha. 
JHN.9.32	Koɓëri gwëryina ga nësëɗe ahnë mëpëtëka ale hnagik mëp. 
JHN.9.33	Aỹi asan, ge matekëndina W̃ën hna, ñoñ kokëndina nti.»
JHN.9.34	Umë ntëkwaniha: «Wameh fo yeru koɓëri nte nagiru ŋa do aỹand aharaŋëfu!» Ntalehnëniha caliŋa hna.
JHN.9.35	Yesu njëtako ntaniha asan a, më njëkëlehnëka do tëƴa: «Kwëtahnëruha bi 
JHN.9.36	Asan a më ntëkwaka: «Aharaŋ, pëƴarye bi mo ye soŋe holahnu hwëtahnuw̃a.»
JHN.9.37	Yesu më ntehnëka: «Nuɗuha gë vinkër hu vi. Umë dënk hnësëndëhi iỹi wati.»
JHN.9.38	Asan a më ntehnëka: «Ahwëhn, kwëtahnëmi.» Ndëkwëhnëlehn haryënkw Yesu do cëmba.
JHN.9.39	Tac Yesu më ntehnëk: «Soŋe tufahn ale-wo-le ile nke ỹa yijëɓu hnë iỹi ɗuniỹa. Koyëna vële wok vëhnuɗina va nuhahnëni do vële hnuɗ va nkeni had vumëp.»
JHN.9.41	Yesu më ntëkwakëhni: «Ge vumëp yekëndun, dehnakëndena menërun. Ɓare wëli: ntehnërun nuɗun. Soŋe rac wameh hun ŋa hnë w̃uhnë nkok.»
JHN.10.1	Yesu mboko ntehn kat: «Toña ỹa fëƴaɗëmu: ge kwëhnaru kece wape do ge ahnë kaƴëk cape ndampo tënkëna hnë rënka hna, ahnë arac ale ye do bandi. 
JHN.10.2	Ale rënkëk rënka ỹa, umë ye aheryëherya wape ŋa. 
JHN.10.3	Ayëka kece ỹa piɗëtëhnëɗëha aheryëherya ỹa rënka ỹa do wape ŋa nëpaɗëni kopa lëw̃u ỹa. Macëɗëhëhni wape wadëw̃u ŋa ile-wo-le w̃ac lëw̃u w̃a do canëhni. 
JHN.10.4	Ge canëkëhni fop wante kwëhnëk ŋa, gë vëhni rëkëɗ njasëntënde do tëfëlëɗëni, kaɓi njëtëni kopa lëw̃u ỹa. 
JHN.10.5	Muk warëfëlendilahna ale nkoni wayëtëna; nkaryëɗëniha ŋaw̃ët, kaɓi wayëtëna kopa lëw̃u ỹa.» 
JHN.10.6	Yesu uŋi mëntëndëlehn nësëhnëkëhniwo vahnë va fop, ɓare vëyëtëlohna ile nësëɗëho ỹa.
JHN.10.7	Awa më mbok ntehnëk: «Toña ỹa fëƴaɗëmu: ami ye rënka kece wape ŋa. 
JHN.10.8	Fop vële ryënkwëhnikow̃o vi vële ye do wabandi do wape ŋa wahnëpalëhnihna. 
JHN.10.9	Ami ye rënka ỹa. Ale rëfëk ỹal mën tënkahn ỹa pehëtëɗe. Koyëna koɗ tënkënd do cahnënd gante ñaɗ ka, do nuỹaɗ ile tokëɗ. 
JHN.10.10	Ale ỹa, ule fo njijëɗ, iɗaw̃ do përëkan. Ami, njijëɓu soŋe nuỹahnëni vahnë va sël ntaw̃ary, uwám paryi w̃a, do njaɓëhni.
JHN.10.11	«Ami, aheryëherya afërën a yeɓu. Aheryëherya afërën a pëhwëtak njëɗahn ntaw̃ary dëw̃u ŋa soŋe wape wadëw̃u ŋa. 
JHN.10.12	Ale sosëɗe koryi soŋe keryahnënd herya do kwëhnëlihna umë dënk wape ŋa, umë gena aheryëherya paryi: ge nuka ỹin ỹa, ga njijëɗ, tavëɗëhëhni nkary. Awa ỹin ỹa tënkëɗëhëhni wape ŋa pëlahni wëɗampo do wañëntaw̃ ŋa campëɗëni. 
JHN.10.13	Aỹi asan, koyëna ntiɗ kaɓi cosik ntihahn ɗoku rac do nafa wahwëhnana wape mën ŋa soŋe lëw̃u.
JHN.10.14	«Ami, aheryëherya afërën a yeɓu. Njëtëɓuhëhni wape mën ŋa do wape mën ŋa njëtëniho, 
JHN.10.15	had gante njëtëko Rëm ki do njëtëɓuha Rëm ki. Njëɗahnëɗëfu ntaw̃ary mën ŋa soŋe wape mën ŋa. 
JHN.10.16	Kwëhnaɓuhëhni kat wape wakaw̃ary wante wok wayentina kece li. Tëfëko watac fëna yojëw̃ëhni; nëpaɗëni kopa mën ỹa, do koyëna kore ryampo fo nkeɗëni g'aheryëherya aryampo fo. 
JHN.10.17	Ge Rëm ỹa ŋahnëɗëho, kaɓi njëɗahnëɗëfu ntaw̃ary mën iŋa ye. Njëɗahnëɗëfu ɓare mbiɗëfu fëna. 
JHN.10.18	Ahnë koɗina nufëhno ntaw̃ary iŋi, ɓare g'uhnatah njëɗahnëɗëfu. Mëkëɗëfu yëɗahnu do mëkëɗëfu viwu kat. Umë ye ile ntehnëko Rëm mën liwu ỹa.»
JHN.10.19	Nahan 
JHN.10.20	Vëyaɓah hnë vëhni ntehnëɗënihawo: «Gë 
JHN.10.21	Vëryampo më ntëkwani: «Ale nkeni gë ƴine nësëɗina aki; ƴine koɗ bi mëpëta ahnë?»
JHN.10.22	Wati huji yeho do ntiɗeho 
JHN.10.23	Yesu nkentiko do nder cankaf nte w̃acik Salomo
JHN.10.24	Awa 
JHN.10.25	Yesu më ntëkwakëhni: «Tëkëmu fëƴawu, ɓare kwëtahnëluhna. Nurun waɗoku wante liɗëfu g'uw̃ac Rëm mën ŋa; watac ye seɗe mën ỹa. 
JHN.10.26	Ɓare kwëtahnëɗiluhna kaɓi gentiluhna kore wape mën hna. 
JHN.10.27	Wape mën ŋa nëpaɗëni kopa mën ỹa; njëtëɓuhëhni do tëfëlehnëɗëniho. 
JHN.10.28	Njëɗaɗëfuhëhni uwám ule wok puɗina ỹa: wasëvëɗina muk do ahnë koɗina teɓow̃ëhni. 
JHN.10.29	Rëm mën ale yëɗakow̃ëhni ỹa hnaỹëk lëbëk fop, do ahnë koɗina nufëhni gë fanka hnë umë. 
JHN.10.30	Ami gë Rëm ỹa, aryampo fo yeɓun.»
JHN.10.31	Tac fëna kat, wasëwif w̃a, ga nkwëryëni watac, më mbok nufani wëraka ndaw̃ahnëniha. 
JHN.10.32	Awa Yesu më ntehnëkëhni: «Ntiɓu tase hun viỹë vifërën viyaɓah gë fanka Rëm ỹa, soŋe iỹëhne hnë watac ỹaɗun aryaw̃ahnuno gë wëraka?»
JHN.10.33	Wasëwif w̃a më ntëkwaniha: «Gena iñë fërën ile liru ỹaɗeru aryaw̃ahni, ɓare kaɓi W̃ënu ŋa yew̃ëɗu. Wëjë ahnë fo yeru, do aỹand aliya W̃ën!»
JHN.10.34	Yesu më ntëkwakëhni: «Kerina bi Vikerëh hun hna: Ami, Ahwëhn a, ntehnëɗëmu: “Wamën yerun”
JHN.10.35	Njëtinëk koɗena ntihëti hn'ile nësik Vikerëh W̃ënu hna. Awa Vikerëh hun hna W̃ënu ŋa “wamën” macëkëhni vële ntehnëɗ va. 
JHN.10.36	Do ami, Rëm ỹa tëhnako paƴe ɗuniỹa li. Awa hak koɗun alehnu W̃ënu ŋa yew̃ëɗëfu ge pëƴahnëɓu 
JHN.10.37	Ge diɗa ɗoku Rëm mën ỹa, ant'ahwëtahnuno. 
JHN.10.38	Ɓare ge ntiɗëfu, wëla kwëtahnëlunohna, maw̃ëryin ahwëtahnu wëla waɗoku mën ŋi fo. Koyëna njavëtëɗun, pëgw dol hafo kwëlëkwël, Rëm ỹa hnë ami nke do ami hnë umë nkeɓu.» 
JHN.10.39	Soŋe rac, vësankaf wasëwif va mboko njëkëlehnëndëni pëlaniha, ɓare pehëkëhniwo.
JHN.10.40	Ga ndëcëk watac, Yesu më mbok njik gë cape ñëntaw̃ mbë sën Yurëdan ka, hn'ile pëgwëko njaryënd 
JHN.10.41	Vahnë vëyaɓah njijëniho ỹalu hna. Ntehnëɗëniho: «San wëla dahëse fëmpëhnahnah ryampo dilohna, ɓare fop ile nësëɗëho soŋe aỹi asan ỹa toña ye.» 
JHN.10.42	Do vëyaɓah hnam kwëtahnënihawo Yesu.
JHN.11.1+JHN.11.2	Hn'ankol Betani hna ntëɗëniho 
JHN.11.3	Vësëval vëhi vërac më paƴëniha ahnë nji ntehna Yesu: «Ahwëhn, lawo hu ale ỹaru aỹand a, tesëk.»
JHN.11.4	Yesu, ga njëtak watac, më ntehnëk: «Uw̃i res gena ɗaw̃ iŋi fo ndaw̃ëɗëha, umë 
JHN.11.5	Hara Yesu ñaɗëhawo Marët, gë Mari, do g'ahery hni Lasar. 
JHN.11.6	Ɓare ante njëtako Lasar tesëk ŋa, wafac wahi mboko ñëw̃ hn'ile nkeho hna.
JHN.11.7	Tac më ntehnëkëhni 
JHN.11.8	Vërëfal va më ntëkwaniha: «Aharaŋ, ɓiỹëna ga njëkëlehnëɗënihino vëvë Yuɗe va ndaw̃ënihi gë wëraka, do tame ñaɗu avoka hatac?»
JHN.11.9	Yesu më ntehnëkëhni: «Gena bi wëwati pëhw gë wahi ye facë hna? Ge ahnë njasëɗ g'anent, gëw̃ëɗina, kaɓi nuɗ wapacëk gë humpen ɗuniỹa hi. 
JHN.11.10	Ɓare ge g'umëɗ ga njasëɗ, nkëw̃ëɗ, kaɓi humpen gena hnë ahnë arac.»
