GEN.1.1	Pradžioje Dievas sutvėrė dangų ir žemę.
ISA.6.9	Jis atsakė: „Eik ir sakyk šiai tautai: ‘Ir toliau girdėkite, bet nesupraskite, ir toliau žiūrėkite, bet nematykite’.
ISA.6.10	Sukietink širdį šitos tautos, apkurtink jos ausis ir aptemdyk akis, kad nematytų akimis, negirdėtų ausimis, nesuprastų širdimi, neatsiverstų ir nebūtų pagydyta“.
ISA.6.11	Aš klausiau: „Ar ilgai, Viešpatie?“ Jis atsakė: „Kol miestai pasidarys tušti ir be gyventojų, namai be žmonių, o kraštas pavirs dykyne.
ISA.6.12	Viešpats ištrems žmones toli; kraštas visiškai ištuštės.
ISA.6.13	Jei iš jų liks dešimtoji dalis ir sugrįš, jie vėl bus naikinami. Tačiau kaip nukirtus uosį ar ąžuolą lieka kelmas, taip šventoji sėkla bus jų kelmas“.
ISA.7.1	Judo karaliaus Achazo, sūnaus Jotamo, sūnaus Uzijo, dienomis Sirijos karalius Recinas ir Izraelio karalius Pekachas, Remalijo sūnus, atžygiavo kovoti prieš Jeruzalę, bet neįstengė jos paimti.
ISA.7.2	Kai Dovydo namams pranešė: „Sirija susidėjo su Efraimu“, karaliaus ir jo tautos širdis taip drebėjo, kaip dreba nuo vėjo miško medžiai.
ISA.7.3	Viešpats tarė Izaijui: „Tu ir tavo sūnus Šear Jašubas eikite pasitikti Achazą prie aukštutinio tvenkinio vandentiekio keliu, kuris veda į vėlėjo lauką.
ISA.7.4	Tu jam sakyk: ‘Stebėk ir būk ramus; nebijok ir tavo širdis teneišsigąsta šitų dviejų smilkstančių nuodėgulių: nirštančio Sirijos karaliaus Recino ir Remalijo sūnaus.
ISA.7.5	Kadangi Sirija, Efraimas ir Remalijo sūnus surengė prieš tave sąmokslą, galvodami:
ISA.7.6	‘Žygiuokime prieš Judą, išgąsdinkime jį, nugalėkime ir paskirkime karaliumi Tabeelio sūnų’,
ISA.7.7	Viešpats Dievas taip sako: ‘Taip nebus ir tai neįvyks!
ISA.7.8	Sirijos galva yra Damaskas, o Damasko galva yra Recinas. Dar šešiasdešimt penkeri metai, ir Efraimas bus sunaikintas – tautos nebebus.
ISA.7.9	Efraimo galva yra Samarija, o Samarijos galva – Remalijo sūnus. Jei jūs netikite, neišliksite!’“
ISA.7.10	Viešpats toliau kalbėjo Achazui:
ISA.7.11	„Prašyk Viešpatį, savo Dievą, ženklo iš požemio gilybių ar dangaus aukštybių“.
ISA.7.12	Ahazas atsakė: „Aš neprašysiu ir negundysiu Viešpaties“.
ISA.7.13	Tuomet Izaijas sakė: „Klausykitės, Dovydo namai, ar jums neužtenka varginti žmonių, ar varginsite ir Dievą?
ISA.7.14	Pats Viešpats duos jums ženklą. Štai mergelė taps nėščia, pagimdys sūnų ir pavadins jį Emanueliu.
ISA.7.15	Jis maitinsis pienu ir medumi, kol išmoks atmesti, kas pikta, ir pasirinkti, kas gera.
ISA.7.16	Prieš berniukui išmokstant atmesti pikta ir pasirinkti gera, šalys, kurių karalių bijaisi, bus sunaikintos.
ISA.7.17	Viešpats leis tau, tavo tautai ir tavo tėvų namams patirti tokių dienų per Asirijos karalių, kokių nebuvo nuo Efraimo ir Judo atsiskyrimo laikų.
ISA.7.18	Tuomet Viešpats sušvilps musėms Egipto upės gale ir bitėms Asirijos krašte
ISA.7.19	ir jos atskris ir nusileis slėnių tarpekliuose, uolų plyšiuose, ant visų krūmokšnių ir ganyklose.
ISA.7.20	Tą dieną Viešpats iš anapus upės pasisamdytu skustuvu – Asirijos karaliumi – nuskus galvos ir kojų plaukus, taipogi ir barzdą pašalins.
ISA.7.21	Tuo pačiu metu atsitiks, jog žmogus laikys vieną karvę ir dvi avis
ISA.7.22	ir jos duos tiek pieno, kad jis valgys sviestą; ir kiekvienas, kuris bus išlikęs šalyje, valgys sviestą ir medų.
ISA.7.23	Tuo metu vieta, kur augo tūkstantis vynmedžių, verta tūkstančio šekelių sidabro, pavirs erškėtynu ir usnynu.
ISA.7.24	Žmogus ten eis su strėlėmis ir lanku, nes usnių ir erškėčių bus pilnas kraštas.
ISA.7.25	Visi kalnai, kurie dabar kapliu kasami, taps neįžengiami dėl usnių ir erškėčių, juose ganysis galvijai ir vaikštinės avys“.
ISA.8.1	Viešpats įsakė man: „Imk didelę lentelę ir įrašyk aiškiomis raidėmis: ‘Imk grobį, skubėk plėšti’“.
ISA.8.2	Aš pasiėmiau ištikimus liudytojus, kunigą Ūriją ir Jeberechijo sūnų Zachariją.
ISA.8.3	Aš įėjau pas pranašę, ji pastojo ir pagimdė sūnų. O Viešpats man tarė: „Duok jam vardą: ‘Imk grobį, skubėk plėšti’.
ISA.8.4	Prieš vaikui išmokstant pašaukti tėvą ir motiną, Damasko turtai ir Samarijos grobis bus Asirijos karaliaus išvežti“.
ISA.8.5	Viešpats man toliau kalbėjo:
ISA.8.6	„Kadangi ši tauta paniekino ramiai tekantį Siloamo vandenį ir pamėgo Reciną ir Remalijo sūnų,
ISA.8.7	Viešpats atves prieš jus daugybės galingų upių vandenis – Asirijos karalių ir visą jo garbę. Jis išsilies iš savo vagos ir užtvindys visus laukus.
ISA.8.8	Jis tekės per Judą, patvins ir sieks iki kaklo; išties savo sparnus ir apdengs visą tavo šalį, Emanueli!“
ISA.8.9	Susirinkite, tautos, ir jūs būsite nugalėtos! Išgirskite, visos tolimos šalys, susijuoskite, būsite nugalėtos! Susijuoskite, būsite nugalėtos!
ISA.8.10	Susitarkite tarpusavyje, iš to nieko neišeis. Tarkite žodį, bet jis nebus įvykdytas, nes Dievas yra su mumis!
ISA.8.11	Viešpats kalbėjo man, stipria ranka laikė ir įspėjo mane neiti šitos tautos keliu, sakydamas:
ISA.8.12	„Nevadinkite sąmokslu to, ką šita tauta vadina sąmokslu. Nebijokite to, ko ji bijo, ir neišsigąskite.
ISA.8.13	Kareivijų Viešpatį laikykite šventu, Jo bijokite ir prieš Jį drebėkite.
ISA.8.14	Jis bus pašventinimas, suklupimo akmuo ir papiktinimo uola abiems Izraelio namams, spąstai bei kilpa Jeruzalės gyventojams.
ISA.8.15	Daugelis suklups, kris ir suduš; įsipainios ir bus pagauti“.
ISA.8.16	Saugok liudijimą, užantspauduok įstatymą tarp mano mokinių.
ISA.8.17	Aš lauksiu Viešpaties, kuris paslėpė savo veidą nuo Jokūbo namų, aš pasitikėsiu Juo.
ISA.8.18	Aš ir mano vaikai, kuriuos man davė Viešpats, esame kareivijų Viešpaties, kuris gyvena Siono kalne, ženklas ir įspėjimas Izraeliui.
ISA.8.19	Jie jums sako: „Klauskite mirusiųjų dvasių iššaukėjus ir būrėjus, kurie jums murma ir šnibžda“. Argi tauta neturėtų klausti savo Dievo? Argi reikia klausti mirusiųjų gyvųjų reikalais?
ISA.8.20	Kreipkitės į įstatymą ir liudijimą. Jeigu jie taip nesako, nėra juose šviesos.
ISA.8.21	Jie klaidžios suvargę ir išalkę. Būdami alkani, jie pyks ir keiks savo karalių ir Dievą, žiūrėdami aukštyn.
ISA.8.22	Kai jie pažiūrės į žemę, visur bus sielvartas ir tamsa, tamsybė ir priespauda. Jie pateks į nakties tamsą.
ISA.9.1	Kas patyrė vargą, tiems nebus tamsu. Seniau Zabulono žemė ir Neftalio žemė buvo paniekintos, bet ateity paežerio kraštas ir kraštas anapus Jordano, pagonių Galilėja, bus išaukštintas.
ISA.9.2	Tauta, gyvenusi tamsybėje, išvydo didelę šviesą. Gyvenusiems mirties šešėlio krašte nušvito šviesa.
ISA.9.3	Tu padauginai tautą ir suteikei jiems džiaugsmo. Jie džiaugiasi Tavo akivaizdoje, kaip džiaugiamasi pjūties metu arba dalijantis grobį.
ISA.9.4	Tu sulaužei tautą slėgusį jungą, juos plakusią rykštę, jos prispaudėjo lazdą kaip Midjano dieną.
ISA.9.5	Visų karių apavas ir krauju sutepti rūbai bus ugnimi sunaikinti.
ISA.9.6	Kūdikis mums gimė, sūnus mums duotas. Ant jo peties viešpatavimas, jis bus vadinamas Nuostabusis, Patarėjas, Galingasis Dievas, Amžinasis Tėvas, Ramybės Kunigaikštis.
ISA.9.7	Jo viešpatavimas plėsis ir taikai nebus galo. Dovydo sostą ir jo karalystę jis sustiprins ir įtvirtins teisingumu ir teisybe per amžius. Kareivijų Viešpaties uolumas tai padarys.
ISA.9.8	Viešpats pasiuntė žodį Jokūbui, jis krito į Izraelį.
ISA.9.9	Tai žinos visa tauta, Efraimas ir Samarijos gyventojai, kurie puikybėje ir išdidume kalbėjo:
ISA.9.10	„Plytų mūrai sugriuvo, mes juos atstatysime iš tašytų akmenų; nukirto laukinius figmedžius, mes juos pakeisime kedrais“.
ISA.9.11	Todėl Viešpats sukels prieš juos Recino priešus ir sukurstys priešininkus.
ISA.9.12	Sirija rytuose, o filistinai vakaruose ryja Izraelį, plačiai atvėrę nasrus. Dėl viso to Jo rūstybė dar neatsileido, Jo ranka dar pakelta.
ISA.9.13	Bet tauta nesigręžia į Tą, kuris juos baudžia, jie neieško kareivijų Viešpaties.
ISA.9.14	Todėl Viešpats nukirs Izraelio galvą ir uodegą, palmę ir nendrę tą pačią dieną.
ISA.9.15	Vyresnieji ir kilmingieji – tai galva, o melą kalbantys pranašai – uodega.
ISA.9.16	Šios tautos vadai yra suvedžiotojai, o jų vedamieji pražus.
ISA.9.17	Todėl Viešpats nesidžiaugs jų jaunimu ir nepagailės nei jų našlaičių, nei našlių. Jie visi yra veidmainiai ir nedorėliai, jie kalba kvailystes. Dėl viso to Jo rūstybė dar neatsileido, Jo ranka dar pakelta.
ISA.9.18	Nedorybė kaip ugnis praryja usnis ir erškėčius, padega miško tankumynus, o dūmai kyla kaip stulpai.
ISA.9.19	Kareivijų Viešpaties rūstybė padegė šalį. Tauta bus lyg kuras ugniai. Žmogus nesigailės savo brolio.
ISA.9.20	Jis griebs iš dešinės, bet alks, ris iš kairės, bet nepasisotins. Kiekvienas valgys savo kūną.
ISA.9.21	Manasas – Efraimą, Efraimas – Manasą, abu drauge – Judą. Dėl viso to Jo rūstybė dar neatsileido, Jo ranka dar pakelta.
ISA.10.1	Vargas tiems, kurie leidžia neteisingus įstatymus ir užrašo neteisėtus sprendimus,
ISA.10.2	kad pašalintų beturtį iš teismo ir paniekintų mano tautos vargšų teises, kad našlės taptų jų grobiu ir galėtų apiplėšti našlaičius.
ISA.10.3	Ką jūs darysite aplankymo dieną, kai nelaimės jus užklups? Pas ką bėgsite ieškoti pagalbos, kur paliksite savo turtus?
ISA.10.4	Be manęs jie pateks į nelaisvę, žus nuo kardo. Dėl viso to Jo rūstybė dar neatsileido, Jo ranka dar pakelta.
ISA.10.5	Vargas Asirijai, mano rūstybės rykštei ir lazdai.
ISA.10.6	Aš ją pasiųsiu prieš veidmainių tautą, prieš savo rūstybės žmones ją nukreipsiu, įsakysiu plėšti, grobti ir mindyti ją kaip gatvių purvą.
ISA.10.7	Bet ji ne taip galvoja: ji svajoja sunaikinti daug tautų.
ISA.10.8	Ji sako: „Ar mano valdovai nėra karaliai?
ISA.10.9	Ar Kalnė ne kaip Karkemišas? Ar Hamatas ne kaip Arpadas? Ar Samarija ne kaip Damaskas?
ISA.10.10	Ar mano ranka nepasiekė stabmeldžių karalysčių, kurių stabų buvo daugiau negu Jeruzalėje ir Samarijoje?
ISA.10.11	Argi negaliu padaryti Jeruzalei ir jos stabams, kaip padariau Samarijai ir jos stabams?“
ISA.10.12	Todėl, kai Viešpats užbaigs savo darbą Siono kalne ir Jeruzalėje, Jis nubaus pasipūtusį Asirijos karalių, jo išdidžiai pakeltas akis.
ISA.10.13	Nes jis sako: „Aš tai padariau savo galia, savo išmintimi tai pasiekiau. Aš panaikinau tautų ribas, išplėšiau jų turtus, kaip karžygys pažeminau jų gyventojus.
ISA.10.14	Mano ranka surado tautų turtus kaip lizdus, kaip surenka paliktus kiaušinius, taip surinkau visą žemę. Nė vienas nepajudino sparno, nepravėrė snapo ir nesučirškė“.
ISA.10.15	Ar kirvis giriasi prieš tą, kuris juo kerta? Ar pjūklas didžiuojasi prieš tą, kuris jį traukia? Ar lazda pakyla prieš tą, kas nėra medis? Ar rykštė plaka tą, kuris ją laiko?
ISA.10.16	Viešpats, kareivijų Dievas, užleis sunkias ligas ant jo riebiųjų ir jo garbę sunaikins lyg ugnimi.
ISA.10.17	Izraelio Šviesa taps ugnimi, jo Šventasis – liepsna. Per vieną dieną Jis sudegins ir sunaikins usnis ir erškėčius.
ISA.10.18	Jis sunaikins jo miško garbę ir sodo sielą bei kūną. Jie sunyks kaip sunkiai sergantis ligonis.
ISA.10.19	Jo miško medžių taip maža beliks, kad vaikas galės juos suskaičiuoti.
ISA.10.20	Tuomet Izraelio ir Jokūbo namų likutis nebesirems juos nugalėjusiais, bet tiesoje vilsis Viešpačiu, Izraelio Šventuoju.
ISA.10.21	Jokūbo likutis sugrįš prie galingojo Dievo.
ISA.10.22	Izraeli, jei tavo tauta ir būtų gausi kaip pajūrio smiltys, tik likutis sugrįš. Sunaikinimas numatytas ir pelnytai užplūs.
ISA.10.23	Viešpats, kareivijų Dievas, įvykdys numatytą sunaikinimą visoje žemėje.
ISA.10.24	Todėl Viešpats, kareivijų Dievas, taip sako: „Mano tauta, gyvenanti Sione, neišsigąsk asirų, kai jie plaks tave rykštėmis ir muš lazdomis kaip egiptiečiai.
ISA.10.25	Nes dar trumpa valandėlė, ir mano rūstybė bei pyktis pasibaigs jų sunaikinimu“.
ISA.10.26	Tada kareivijų Viešpats pakels prieš juos rimbą ir smogs jiems, kaip smogė Midjanui prie Orebo uolos. Jis išties savo lazdą virš jūros, kaip tai padarė Egipte.
ISA.10.27	Tą dieną jų našta bus pašalinta nuo tavo pečių ir jungas nuo tavo kaklo, ir patepimas sudaužys jungą.
ISA.10.28	Jie pakilo iš Rimono, atžygiavo į Ajatą pro Migroną ir paliko atsargas Michmaše.
ISA.10.29	Jie perėjo tarpeklį, Geboje nakvojo. Rama dreba, Sauliaus Gibėja išbėgiojo.
ISA.10.30	Šauk balsiai, Galimų dukra! Teišgirsta tave Laišoje, vargšas Anatote.
ISA.10.31	Madmena ištuštėjo, Gebimų gyventojai ieško išsigelbėjimo.
ISA.10.32	Dar šiandien jie pasieks Nobą, pakels grasinantį kumštį prieš Siono dukterį, prieš Jeruzalės aukštumą.
ISA.10.33	Štai Viešpats, kareivijų Dievas, nulauš su triukšmu šakas, aukštai iškilusius nukirs, aukštieji bus pažeminti,
ISA.10.34	miško tankumynus iškapos kirviu, Libanas kris nuo Galingojo.
ISA.11.1	Iš Jesės kelmo išdygs atžala ir iš jo šaknies išaugs šaka.
ISA.11.2	Viešpaties dvasia bus ant jo: dvasia išminties ir supratimo, dvasia patarimo ir galybės, dvasia pažinimo ir Viešpaties baimės.
ISA.11.3	Bijoti Viešpaties jam bus džiaugsmas. Jis teis ne kaip akys mato ir pasmerks ne kaip ausys girdi.
ISA.11.4	Jis teisingai teis beturčius ir bešališkai krašto romiuosius. Jis ištiks žemę savo burnos lazda, nužudys nedorėlį savo pūstelėjimu.
ISA.11.5	Teisumas bus jo strėnų raištis, ištikimybe jis susijuos juosmenį.
ISA.11.6	Vilkas gyvens su avinėliu, leopardas gulės su ožiuku, veršis, jautis ir jaunas liūtas bus drauge, juos ganys mažas vaikas.
ISA.11.7	Karvė ir lokys ganysis, jų jaunikliai guls drauge ir liūtas ės šiaudus kaip jautis.
ISA.11.8	Motinos maitinamas kūdikis žais prie angies urvo, ir mažas vaikas kiš ranką į gyvatės olą.
ISA.11.9	Niekas nekenks ir nežudys mano šventame kalne. Kaip vanduo pripildo jūrą, taip žemė bus pilna Viešpaties pažinimo.
ISA.11.10	Tą dieną Jesės šaknis bus vėliava tautoms; pagonys ieškos jo, nes jo poilsis bus šlovingas.
ISA.11.11	Tuomet Viešpats vėl pakels ranką gelbėti savo tautos likutį, kuris bus likęs Asirijoje, Egipte, Patrose, Kuše, Elame, Šinare, Emate ir jūros salose.
ISA.11.12	Jis iškels vėliavą tautoms, surinks Izraelio pabėgėlius ir Judo išsklaidytuosius iš keturių žemės kraštų.
ISA.11.13	Tuomet Efraimo pavydas išnyks, ir Judo priešai bus sunaikinti, Efraimas nepavydės Judui, Judas nebekovos prieš Efraimą.
ISA.11.14	Jie skubės jūros link prieš filistinus ir kartu apiplėš rytiečius. Jie pasieks ir valdys edomitus ir moabitus, amonitai jiems paklus.
ISA.11.15	Viešpats išdžiovins Egipto jūros liežuvį. Jis taip pat, pakėlęs savo ranką, padalins upę į septynis upelius; tuomet bus galima pereiti per ją sausuma.
ISA.11.16	Ir bus platus kelias mano tautos likučiui, kuris išliko Asirijoje, kaip buvo Izraeliui išeinant iš Egipto.
ISA.12.1	Tuomet tu sakysi: „Aš šlovinu Tave, Viešpatie. Nors buvai užsirūstinęs ant manęs, bet Tavo pyktis atslūgo, ir Tu paguodei mane.
ISA.12.2	Dievas yra mano išgelbėjimas. Aš Juo pasitikiu ir nebijau, nes mano stiprybė ir giesmė yra Viešpats. Jis yra mano gelbėtojas“.
ISA.12.3	Jūs su džiaugsmu semsite vandenį iš išgelbėjimo šaltinių,
ISA.12.4	sakydami: „Girkite Viešpatį, šaukitės Jo vardo, skelbkite tautose Jo darbus, kalbėkite, kad Jo vardas didingas.
ISA.12.5	Giedokite Viešpačiui, nes Jis padarė didingų darbų; tebūna tai žinoma visoje žemėje.
ISA.12.6	Džiūgaukite ir šūkaukite, Siono gyventojai, nes Izraelio Šventasis yra didis tarp jūsų“.
ISA.13.1	Regėjimas apie Babiloną, kurį matė Izaijas, Amoco sūnus.
ISA.13.2	Iškelkite vėliavą kalno viršūnėje, šaukite garsiai, mokite ranka, kad jie įeitų pro kilmingųjų vartus.
ISA.13.3	Aš įsakiau savo pašvęstiesiems ir pašaukiau savo karžygius, kad įvykdytų mano rūstybę, – tuos, kurie džiaugiasi mano išaukštinimu.
ISA.13.4	Kalnuose minios triukšmas tarsi gausios tautos. Tai sujudimas karalysčių ir susirinkusių tautų. Kareivijų Viešpats ruošia kariuomenę kovai.
ISA.13.5	Jie ateina iš tolimos šalies, nuo padangių pakraščių; tai Viešpaties rūstybės įrankiai žemei sunaikinti.
ISA.13.6	Verkite, nes Viešpaties diena arti; ji ateina kaip sunaikinimas nuo Visagalio.
ISA.13.7	Dėl to visos rankos nusvirs, kiekvieno žmogaus širdis sutirps.
ISA.13.8	Jie išsigąs, juos apims skausmai ir kentėjimai. Juos suims skausmai kaip gimdyves. Jie apstulbę žiūrės vienas į kitą: jų veidai degs ugnimi.
ISA.13.9	Artėja Viešpaties diena, žiauri ir pilna rūstybės bei keršto, kad paverstų žemę tyrlaukiais ir sunaikintų jos nusidėjėlius.
ISA.13.10	Dangaus žvaigždės ir žvaigždynai nebešvies, saulė, tik patekėjus, aptems ir mėnulis nebešvies.
ISA.13.11	Aš bausiu pasaulį dėl jo piktybės, nedorėlius – dėl jų kalčių. Aš sustabdysiu puikuolių pasipūtimą ir pažeminsiu baisiųjų išdidumą.
ISA.13.12	Aš padarysiu, kad žmogus bus brangesnis už auksą, o vyras – už gryną Ofyro auksą.
ISA.13.13	Aš supurtysiu dangus, o žemė pajudės iš savo vietos dėl kareivijų Viešpaties rūstybės Jo degančio pykčio dieną.
ISA.13.14	Kaip išgąsdintos stirnos arba avys, kurių niekas nebegano, kiekvienas grįš prie savo tautos, į savo kraštą.
ISA.13.15	Ką suras, perdurs, ką sugaus, nužudys.
ISA.13.16	Jų kūdikius sutraiškys jų pačių akivaizdoje, išplėš namus ir moteris išprievartaus.
ISA.13.17	Aš sukurstysiu prieš Babiloną medus, kurie nevertina sidabro ir negeidžia aukso.
ISA.13.18	Jie strėlėmis žudys jaunuolius, nepagailės nėščių moterų nei jų kūdikių.
ISA.13.19	Babilonas, karalysčių šlovė, chaldėjų pasididžiavimas, taps kaip Sodoma ir Gomora, kai Viešpats jas sunaikino.
ISA.13.20	Jis niekad nebebus apgyvendintas ir niekas jame negyvens per kartų kartas. Arabas ten nebeties savo palapinės ir piemenys nebeganys savo bandos.
ISA.13.21	Laukiniai žvėrys ten šeimininkaus, jų namai bus pilni pelėdų. Stručiai ten bėgios ir šokinės satyrai.
ISA.13.22	Hienos kauks bokštuose ir šakalai puikiuose rūmuose. Babilono galas arti, jo dienos suskaitytos.
ISA.14.1	Nes Viešpats pasigailės Jokūbo ir vėl išsirinks Izraelį, apgyvendins juos jų pačių krašte. Prie jų jungsis ateiviai ir glausis prie Jokūbo.
ISA.14.2	Pagonys paims juos ir parves į jų vietą. Izraelitai Viešpaties žemėje juos apgyvendins kaip tarnus ir tarnaites. Jie padarys belaisvius tuos, kurių belaisviai jie buvo, ir pavergs savo prispaudėjus.
ISA.14.3	Kai Viešpats po visų vargų, baimės ir kietos vergijos, kurioje vargote, jums suteiks ramybę,
ISA.14.4	tada dainuosite pasityčiojimo dainą apie Babilono karalių, sakydami: „Kaip nurimo prispaudėjas, auksinio miesto nebeliko!
ISA.14.5	Viešpats sulaužė nedorėlio lazdą, jo valdovo skeptrą,
ISA.14.6	kuris be paliovos įtūžęs plakė tautas, jas pavergė ir žiauriai persekiojo.
ISA.14.7	Visa žemė nurimo ir ilsisi, linksmai dainuoja.
ISA.14.8	Džiaugiasi kiparisai ir Libano kedrai, sakydami: ‘Kai tu kritai, kirtėjai nebeateina kirsti mūsų’.
ISA.14.9	Pragaras sujudo pasitikti tavęs ateinančio; dėl tavęs pažadino mirusiuosius, visus žemės valdovus, pakėlė nuo sostų visus tautų karalius.
ISA.14.10	Visi jie kalbės tau: ‘Tu nusilpai kaip ir mes, tapai mums lygus!’
ISA.14.11	Tavo didybė nugarmėjo į pragarą su tavo styginių skambesiu. Kandys yra tavo paklodė ir kirminai užklojo tave.
ISA.14.12	Kaip tu iškritai iš dangaus, Liuciferi, ryto aušros sūnau? Kaip tu kritai žemėn, kuris buvai pamynęs tautas?
ISA.14.13	Tu sakei savo širdyje: ‘Aš pakilsiu į dangų, iškelsiu savo sostą aukščiau Dievo žvaigždžių, sėdėsiu dievų kalne tolimiausioje šiaurėje.
ISA.14.14	Aš pakilsiu aukščiau debesų, būsiu lygus Aukščiausiajam!’
ISA.14.15	Bet tu esi nublokštas į pragarą, į giliausią bedugnę.
ISA.14.16	Kurie tave mato, įsižiūri ir galvoja: ‘Ar tai žmogus, prieš kurį drebėjo žemė ir karalystės?
ISA.14.17	Kuris pavertė pasaulį dykuma, sugriovė miestus ir nepaleido savo belaisvių?’
ISA.14.18	Visų tautų karaliai garbingai guli savo kapuose.
ISA.14.19	Tu gi išmestas iš karsto kaip bjauri šaka. Esi apdengtas kardu nužudytųjų kūnais, guli duobėje tarp akmenų, kojomis mindomas.
ISA.14.20	Tu nebūsi palaidotas su kitais, nes sunaikinai savo kraštą, išžudei tautą. Niekada nebus minimi piktadario palikuonys.
ISA.14.21	Išžudykite jo vaikus už tėvo nusikaltimus, kad jie nebepakiltų, neapgyvendintų krašto ir nepripildytų žemės savo miestų“.
ISA.14.22	„Aš eisiu prieš juos, – sako kareivijų Viešpats, – sunaikinsiu Babilono vardą ir likutį – sūnų ir vaikaitį“, – sako Viešpats.
ISA.14.23	„Paversiu jį ežių buveine ir vandens liūnu; visa iššluosiu sunaikinimo šluota“, – sako kareivijų Viešpats.
ISA.14.24	Kareivijų Viešpats prisiekė: „Kaip Aš sumaniau, taip įvyks, kaip nusprendžiau, taip ir bus.
ISA.14.25	Aš sutraiškysiu asirus savo žemėje ir sumindžiosiu juos kalnuose. Jų jungas bus pašalintas ir jų našta nuimta nuo Izraelio pečių.
ISA.14.26	Tai Aš sumaniau padaryti visoje žemėje ir pakėliau ranką prieš visas tautas“.
ISA.14.27	Kareivijų Viešpats taip nusprendė, kas tai pakeis? Jis ranką pakėlė, kas ją sulaikys?
ISA.14.28	Karaliaus Ahazo mirties metais buvo paskelbta:
ISA.14.29	„Nedžiūgauk, filistinų žeme, kad rykštė, kuri tave plakė, yra sulaužyta. Iš gyvatės šaknų augs angis, o iš angies kiaušinių – drakonas.
ISA.14.30	Beturčių pirmagimiai bus maitinami, neturtingieji gulės saugiai. Tavo šaknį pražudysiu badu, jis išžudys tavo likutį.
ISA.14.31	Vartai, dejuokite! Mieste, šauk! Išsigąskite visi filistinai! Iš šiaurės atslenka dūmai, jų gretose nėra nė vieno atsiliekančio“.
ISA.14.32	Ką atsakyti tautos pasiuntiniams? Viešpats įkūrė Sioną, Jo tautos vargšai ras čia prieglaudą.
ISA.15.1	Regėjimas apie Moabą. Tą naktį, kai Ar Moabas ir Kir Moabas buvo sunaikinti, Moabas žuvo.
ISA.15.2	Dibono duktė pakilo į aukštumas raudoti; moabitai rauda dėl Nebojo ir Medebos. Jų visų galvos plaukai nukirpti ir barzdos nuskustos.
ISA.15.3	Gatvėse jie vilki ašutinėmis, ant namų stogų ir aikštėse visi rauda ir dejuoja.
ISA.15.4	Hešbone ir Elealėje jie taip rauda, kad jų balsas girdėti Jahace; net Moabo kariai šaukia ir dreba.
ISA.15.5	Mano širdis liūdi dėl Moabo. Žmonės iš jo bėga į Coarą. Kiti eina taku verkdami į Luhitą. Kelyje į Horonaimą jie rauda, nes visa sunaikinta.
ISA.15.6	Nimrimų vandenys išdžiūvo, žolė nuvyto, nauja nebeželia, ir nėra jokios žalumos.
ISA.15.7	Visa, kas dar liko, jie nešasi per Karklų upelį.
ISA.15.8	Šauksmas girdėti visame Moabo krašte; jis girdimas Eglaimuose ir Berelime.
ISA.15.9	Dimono vandenys pilni kraujo. Bet Aš siųsiu Dimonui dar daugiau nelaimių: liūtų Moabo pabėgėliams ir krašte likusiems.
ISA.16.1	Siųskite krašto kunigaikščiui avinėlį iš Selos į dykumą Siono dukros kalnui.
ISA.16.2	Kaip iš lizdo išmesti paukščiukai yra Moabo dukterys prie Arnono brastų.
ISA.16.3	Sušaukite pasitarimą, įvykdykite teisingumą. Tegu tavo šešėlis būna kaip naktis vidudienį. Išsklaidytus paslėpk, neišduok pabėgėlių.
ISA.16.4	Priimk, Moabai, mano išsklaidytuosius ir pabėgėlius, tegul jie gyvena pas tave. Būk jiems apsauga nuo sunaikintojo. Prispaudėjo nebėra, plėšimas pasibaigė, niokotojai pašalinti iš krašto.
ISA.16.5	Gailestingumu sostas bus įtvirtintas. Jis teisėtai sėdės jame, Dovydo palapinėje, teisdamas, ieškodamas teisingumo ir skubėdamas įgyvendinti teisybę.
ISA.16.6	Mes girdėjome apie Moabą, koks išdidus jis yra! Jo išdidumas, akiplėšiškumas ir įžūlumas tėra tuščias pasigyrimas.
ISA.16.7	Visi moabitai verks ir raudos. Jie verks ir liūdės dėl Kir Hareseto pamatų, kurie bus sujudinti.
ISA.16.8	Hešbono laukai išdžiūvo ir Sibmos vynmedžiai, kurių vyną gerdavo tautų viešpačiai, yra sunaikinti, vynuogynai, kurie tęsėsi iki Jazero, siekė dykumą ir anapus jūros.
ISA.16.9	Aš verkiu drauge su Jazeru dėl Sibmos vynmedžių, laistau ašaromis Hešboną ir Elealę. Tavo vynuogyno derliumi džiaugiasi priešai.
ISA.16.10	Linksmybė ir džiaugsmas dingo iš derlingųjų laukų. Vynuogynuose nebėra nei džiaugsmo, nei linksmybės. Spaudyklose niekas nebespaudžia vyno. Aš nutildžiau dirbančiųjų šauksmus.
ISA.16.11	Mano siela dėl Moabo skamba lyg arfa, o širdis liūdi Kir Hareseto.
ISA.16.12	Jei Moabas pasirodys aukštumoje aukoti ir eis į savo šventyklą melstis, jis nieko nelaimės.
ISA.16.13	Tai yra Viešpaties žodis, kurį Jis kalbėjo seniau apie Moabą.
ISA.16.14	Bet dabar Viešpats sako: „Per trejus metus Moabo didybė sunyks, iš gausios tautos liks tik mažas ir silpnas likutis“.
ISA.17.1	Pranašavimas apie Damaską. „Damaskas nebebus miestas, jis taps griuvėsių krūva.
