GEN.1.1	Pradžioje Dievas sukūrė dangų ir žemę. 
NEH.7.50	Reajos palikuonys, Recino palikuonys, Nekodos palikuonys, 
NEH.7.51	Gazamo palikuonys, Uzos palikuonys, Paseacho palikuonys, 
NEH.7.52	Besajo palikuonys, Meunimo palikuonys, nefišsiečių palikuonys, 
NEH.7.53	Bakbuko palikuonys, Hakufos palikuonys, Harhūro palikuonys, 
NEH.7.54	Bacluto palikuonys, Mehidos palikuonys, Haršos palikuonys, 
NEH.7.55	Barkoso palikuonys, Siseros palikuonys, Temacho palikuonys, 
NEH.7.56	Neciaho palikuonys, Hatifos palikuonys.
NEH.7.57	Saliamono vergų palikuonių: Sotajo palikuonys, Sofereto palikuonys, Peridos palikuonys, 
NEH.7.58	Jaalos palikuonys, Darkono palikuonys, Gidelio palikuonys, 
NEH.7.59	Šefatijos palikuonys, Hatilo palikuonys, Pocheret Cebaimo palikuonys, Amono palikuonys.
NEH.7.60	Iš viso Šventyklos tarnų ir Saliamono vergų palikuonių buvo trys šimtai devyniasdešimt du.
NEH.7.61	O tai sugrįžusieji iš Tel Melacho, Tel Haršos, Kerub Adono ir Imero, bet negalėjusieji įrodyti, kad jų protėvių namai ar kilmė izraelitiška: 
NEH.7.62	Delajos palikuonys, Tobijos palikuonys, Nekodos palikuonys, iš viso šeši šimtai keturiasdešimt du;
NEH.7.63	iš kunigų: Hobajos palikuonys, Hakoco palikuonys, Barzilajo palikuonys; šis buvo vedęs vieną iš Barzilajo Gileadiečio dukterų ir buvo vadinamas jų vardu. 
NEH.7.64	Jie ieškojo savo šeimos kilmės įrašo, bet negalėjo surasti, todėl pripažinti netinkami kunigo tarnybai. 
NEH.7.65	Valdytojas įsakė jiems nevalgyti švenčiausiųjų valgių, kol nekils kunigas, nešiojantis 
NEH.7.66	Visos bendrijos skaičius buvo keturiasdešimt du tūkstančiai trys šimtai šešiasdešimt, 
NEH.7.67	neskaitant jų tarnų ir tarnaičių, kurių buvo septyni tūkstančiai trys šimtai trisdešimt septyni. Jie turėjo ir du šimtus keturiasdešimt penkis giesmininkus bei giesmininkes. 
NEH.7.68	Jų arklių buvo septyni šimtai trisdešimt šeši, mulų – du šimtai keturiasdešimt penki, kupranugarių – keturi šimtai trisdešimt penki ir asilų – šeši tūkstančiai septyni šimtai dvidešimt.
NEH.7.69	Kai kurie kilčių galvos aukojo statybos iždui. Valdytojas paaukojo iždui tūkstantį aukso darikų, penkiasdešimt dubenų ir penkis šimtus trisdešimt kunigiškų apdarų. 
NEH.7.70	Keletas iš kilčių galvų paaukojo statybos iždui dvidešimt tūkstančių aukso darikų ir du tūkstančius du šimtus sidabro minų. 
NEH.7.71	O tai, ką kiti žmonės paaukojo, sudarė dvidešimt tūkstančių aukso darikų, du tūkstančiai sidabro minų ir šešiasdešimt septyni kunigiški apdarai.
NEH.8.1	visi žmonės susirinko į aikštę priešais Vandens vartus. Jie paprašė raštininką Ezrą pateikti Mozės Įstatymo knygą, kurią 
NEH.8.2	Tad septinto mėnesio pirmą dieną kunigas Ezra pateikė Įstatymą sueigai – ir vyrams, ir moterims, ir visiems, kurie galėjo klausytis ir suprasti. Tai įvyko septinto mėnesio pirmą dieną. 
NEH.8.3	Jis skaitė iš jos, atsigręžęs į aikštę prie Vandens vartų, nuo aušros iki vidudienio ir vyrams, ir moterims, ir galėjusiems suprasti. Žmonės ausis ištempę klausėsi Įstatymo knygos. 
NEH.8.4	Raštininkas Ezra stovėjo ant medinės pakylos, kuri buvo tam reikalui pastatyta. Šalia jo dešinėje stovėjo Matitija, Šema, Anaja, Ūrija, Hilkija ir Maasėja, o kairėje – Pedaja, Mišaelis, Malkija, Hašumas, Hašbadana, Zacharija ir Mešulamas. 
NEH.8.5	Ezra atskleidė knygą visų žmonių akyse, nes stovėjo aukščiau už visus žmones. Jam atvertus knygą, visi žmonės atsistojo. 
NEH.8.6	Ezrai pašlovinus 
NEH.8.7	Ir levitai – Jozuė, Banis, Šerebija, Jaminas, Akubas, Šabetajas, Hodija, Maasėja, Kelita, Azarija, Jehozabadas, Hananas, Pelaja – padėjo žmonėms suprasti Įstatymą, jiems stovint savo vietose. 
NEH.8.8	Jie skaitė iš knygos – iš Dievo Įstatymo, išversdami jį ir paaiškindami prasmę. Taip jie galėjo suprasti, kas buvo skaitoma.
NEH.8.9	Valdytojas Nehemijas, kunigas ir raštininkas Ezra ir levitai, aiškindami žmonėms, sakė visiems: „Ši diena šventa 
NEH.8.10	Be to, jis tarė jiems: „Eikite, valgykite rinktinių valgių ir gerkite saldžių gėrimų, skirdami dalį tiems, kurie nieko neturi sau paruošę, nes ši diena šventa mūsų 
NEH.8.11	Ir levitai ramino žmones, sakydami: „Nusiraminkite, nes ši diena šventa. Neliūdėkite!“ 
NEH.8.12	Tada visi žmonės nuėjo valgyti, gerti, dalytis maistu ir švęsti linksmybės šventę, nes suprato jiems paskelbtų dalykų prasmę.
NEH.8.13	Kitą dieną visos tautos kilčių galvos, kunigai ir levitai suėjo pas raštininką Ezrą mokytis Įstatymo žodžių. 
NEH.8.14	Jie rado parašyta Įstatyme, kurį 
NEH.8.15	Taigi jie išleido atsišaukimą ir skelbė visuose savo miestuose ir Jeruzalėje: „Nueikite ant kalvų ir parsineškite alyvmedžio, laukinio alyvmedžio, mirtos, palmės ir kitų lapuočių šakų palapinėms pastatyti, kaip yra parašyta“. 
NEH.8.16	Žmonės išėjo ir parsinešę pasistatė palapines ant namų stogų, kiemuose, Dievo Namų kiemuose, Vandens vartų aikštėje ir prie Efraimo vartų. 
NEH.8.17	Visa iš nelaisvės sugrįžusiųjų bendrija pasistatė palapines ir gyveno palapinėse. Taip izraelitai nebuvo darę nuo Nūno sūnaus Jozuės dienų iki tos dienos, todėl buvo be galo daug džiaugsmo. 
NEH.8.18	Iškilmė švęsta septynias dienas; aštuntą dieną, kaip įsakyta, įvyko iškilminga sueiga.
NEH.9.1	To mėnesio dvidešimt ketvirtą dieną izraelitai susirinko pasninkaudami, apsivilkę ašutinėmis ir apsibarstę žemėmis. 
NEH.9.2	Tada Izraelio palikuonys atsiskyrė nuo visų svetimtaučių, atsistojo ir išpažino savo nuodėmes bei savo protėvių kaltes. 
NEH.9.3	Ketvirtadalį dienos stovėdami savo vietose, jie skaitė iš 
NEH.9.4	Ant aukštos levitų pakylos stovėjo Jozuė, Binujas, Kadmielis, Šebanija, Būnis, Šerebija, Banis bei Kenanis ir skardžiu balsu šaukėsi 
NEH.9.5	Levitai Jozuė, Kadmielis, Banis, Hašabnėja, Šerebija, Hodija, Šebanija ir Petachija tarė:
NEH.9.5	„Stokitės ir šlovinkite 
NEH.9.5	per amžių amžius!
NEH.9.5	Tebūna pašlovintas tavo garbingas vardas,
NEH.9.5	viršijantis visokį palaiminimą ir gyrių!
NEH.9.6	Tu esi 
NEH.9.6	Tu padarei dangų,
NEH.9.6	dangaus aukštybes su jų galybėmis,
NEH.9.6	žemę ir visa, kas ant jos,
NEH.9.6	jūras ir visa, kas jose.
NEH.9.6	Tu duodi visiems gyvastį,
NEH.9.6	ir dangaus galybės tave garbina.
NEH.9.7	Tu esi 
NEH.9.7	kuris 
NEH.9.7	išvedė jį iš chaldėjų Ūro
NEH.9.7	ir 
NEH.9.8	Radęs jo širdį esant tau ištikimą,
NEH.9.8	kad duosi jam ir jo palikuonims
NEH.9.8	kanaaniečių, hetitų, amoritų,
NEH.9.8	perizų, jebusiečių ir girgašų kraštą.
NEH.9.8	Savo pažadą tu įvykdei,
NEH.9.8	nes esi teisus.
NEH.9.9	Tu 
NEH.9.10	Tu 
NEH.9.10	visus jo tarnus
NEH.9.10	ir visus jo krašto žmones,
NEH.9.10	nes žinojai,
NEH.9.10	kaip įžūliai jie elgėsi su mūsų protėviais.
NEH.9.10	Taip pasidarei sau vardą,
NEH.9.10	išlikusį iki pat šios dienos.
NEH.9.11	Tu 
NEH.9.11	kad jie pereitų per jūrą sausa žeme,
NEH.9.11	bet 
NEH.9.11	tartum akmenį į šėlstančius vandenis.
NEH.9.12	ugnies stulpu naktį,
NEH.9.12	apšviesdamas kelią,
NEH.9.12	kuriuo jie turėjo eiti.
NEH.9.13	kalbėjaisi su jais iš dangaus,
NEH.9.13	duodamas jiems
NEH.9.13	dorus įsakus, tikrus pamokymus,
NEH.9.13	gerus įstatus ir įsakymus.
NEH.9.14	Tu apreiškei jiems savo šventąjį šabą,
NEH.9.14	davei jiems įsakymus, įstatus ir Įstatymą
NEH.9.14	per savo tarną Mozę.
NEH.9.15	Jiems alkstant, tu 
NEH.9.15	o jiems trokštant, 
NEH.9.15	ir 
NEH.9.15	kurį buvai prisiekęs jiems duoti.
NEH.9.16	Bet jie – mūsų protėviai – elgėsi įžūliai ir
NEH.9.16	užkietinę savo sprandus
NEH.9.16	neklausė tavo įsakymų.
NEH.9.17	Atsisakę klausyti
NEH.9.17	tavo nuostabiųjų darbų,
NEH.9.17	užkietino savo sprandus
NEH.9.17	ir nusprendė grįžti į vergiją Egipte.
NEH.9.17	Bet tu esi gausaus 
NEH.9.17	maloningas ir gailestingas,
NEH.9.17	lėtas pykti, gausus ištikimosios meilės,
NEH.9.17	ir jų nepalikai.
NEH.9.18	Kad ir buvo jie 
NEH.9.18	‘Tai tavo Dievas, kuris išvedė tave iš Egipto!’ –
NEH.9.18	ir padarę didelių užgaulių,
NEH.9.19	nepalikai jų dykumoje.
NEH.9.19	Debesies stulpas, vedęs juos kelionėje,
NEH.9.19	nepasitraukė nuo jų dieną,
NEH.9.19	nei ugnies stulpas, švietęs naktį jiems kelią,
NEH.9.19	kuriuo turėjo eiti.
NEH.9.20	Savo gerąja dvasia juos apdovanojai,
NEH.9.20	kad jie suprastų;
NEH.9.20	savo manos neatėmei nuo jų burnų,
NEH.9.20	vandens parūpinai troškuliui numalšinti.
NEH.9.21	Keturiasdešimt metų taip palaikei juos dykumoje,
NEH.9.21	kad jie nieko nestokojo;
NEH.9.21	jų drabužiai nenusinešiojo
NEH.9.21	nei jų kojos sutino.
NEH.9.22	Tu davei jiems karalystes bei tautas
NEH.9.22	ir paskirstei jiems žemę.
NEH.9.22	Jie 
NEH.9.22	ir Bašano karaliaus Ogo kraštą.
NEH.9.23	Tu 
NEH.9.23	kaip dangaus žvaigždės
NEH.9.23	ir 
NEH.9.23	į kurį buvai įsakęs jų tėvams eiti ir jį paveldėti.
NEH.9.24	tu nugalėjai jiems krašto gyventojus kanaaniečius,
NEH.9.24	atidavei jiems į rankas kartu su jų karaliais ir tautomis,
NEH.9.24	kad pasielgtų su jais, kaip jiems patinka.
NEH.9.25	paveldėjo namus, kupinus visokių gėrybių,
NEH.9.25	jau iškastas vandens talpyklas, vynuogynus,
NEH.9.25	alyvmedžių sodus, gausybę vaismedžių.
NEH.9.25	Jie valgė, buvo sotūs, tapo rubuiliai,
NEH.9.25	mėgaudamiesi tavo begaliniu gerumu.
NEH.9.26	ir nusigręžė nuo tavo Įstatymo.
NEH.9.26	Tavo pranašus, įspėjančius grįžti pas tave,
NEH.9.26	jie išžudė ir didžiai tave užgavo.
NEH.9.27	Tu atidavei juos priešams į rankas;
NEH.9.27	priešai juos engė.
NEH.9.27	Prispausti jie šaukėsi tavęs,
NEH.9.27	tu išgirdai juos iš dangaus
NEH.9.27	ir iš savo didžio gailestingumo davei jiems išgelbėtojų,
NEH.9.27	kurie išgelbėjo juos iš jų priešų rankų.
NEH.9.28	Bet vos tik gavę ramybę
NEH.9.28	jie vėl ėmė daryti pikta tavo akyse.
NEH.9.28	Tada tu atidavei juos priešams į rankas,
NEH.9.28	idant šie būtų jų valdovai.
NEH.9.28	O kada jie vėl gręžėsi šauktis tavęs,
NEH.9.28	tu išgirdai juos danguje
NEH.9.28	ir iš savo gailestingumo nuolat gelbėjai juos.
NEH.9.29	Tu įspėjai juos,
NEH.9.29	kad sugrąžintum prie savo Įstatymo.
NEH.9.29	Tačiau jie elgėsi įžūliai,
NEH.9.29	jie nusidėjo tavo įsakams,
NEH.9.29	kuriuos vykdydamas žmogus randa gyvastį.
NEH.9.29	Pasižiūrėję per atkaklų petį,
NEH.9.29	jie užkietino savo sprandus ir neklausė.
NEH.9.30	Per daugelį metų buvai kantrus su jais,
NEH.9.30	bet jie nė viena ausimi nesiklausė;
NEH.9.30	užtat atidavei juos žemės tautoms į rankas.
NEH.9.31	Nepaisydamas to, iš savo didelio gailestingumo
NEH.9.31	jų nesunaikinai ir nepalikai,
NEH.9.31	nes esi maloningas ir gailestingas Dievas.
NEH.9.32	Tad dabar, mūsų Dieve,
NEH.9.32	didis, galingas ir šiurpą keliantis Dieve,
NEH.9.32	kuris savo ištikima meile palaikai Sandorą,
NEH.9.32	tenebūna tau nereikšmingos visos nelaimės,
NEH.9.32	ištikusios mus –
NEH.9.32	mūsų karalius, didžiūnus, pranašus,
NEH.9.32	protėvius, visą tavo tautą
NEH.9.32	nuo 
NEH.9.33	Tu buvai teisus dėl viso, kas mus ištiko,
NEH.9.33	nes elgeisi ištikimai,
NEH.9.33	o mes elgėmės nedorai.
NEH.9.34	Mūsų karaliai, didžiūnai, kunigai
NEH.9.34	ir protėviai nesilaikė tavo Įstatymo,
NEH.9.34	nepaisydami tavo įsakymų ar įspėjimų,
NEH.9.34	kuriuos jiems davei.
NEH.9.35	Net savo pačių karalystėje,
NEH.9.35	nepaisydami tavo visokeriopo gerumo,
NEH.9.35	kurį jiems dosniai teikei,
NEH.9.35	plačiame ir derlingame krašte,
NEH.9.35	kurį jiems davei,
NEH.9.35	jie nenorėjo tau tarnauti
NEH.9.35	ir nuo savo nedorų darbų nenusigręžė.
NEH.9.36	Štai mes – vergai iki šios dienos,
NEH.9.36	vergai krašte, kurį tu davei mūsų protėviams,
NEH.9.36	kad naudotųsi jo vaisiais ir dosniomis gėrybėmis.
NEH.9.37	Jo gausus derlius tenka karaliams,
NEH.9.37	kuriuos tu mums paskyrei už mūsų nuodėmes.
NEH.9.37	Jie valdo, kaip jiems patinka, mūsų gyvastį
NEH.9.37	ir mūsų galvijus.
NEH.9.37	Mes kenčiame didelę priespaudą!
NEH.10.1	Turėdami visa tai prieš akis, mes sudarome tvirtą sutartį raštu. Šiame antspauduotame rašte įrašyti vardai mūsų didžiūnų, levitų ir kunigų.
NEH.10.2	Antspauduotame rašte įrašyti: Hachalijos sūnus valdytojas Nehemijas ir Zedekija; 
NEH.10.3	Seraja, Azarija, Jeremija, 
NEH.10.4	Pašhūras, Amarija, Malkija, 
NEH.10.5	Hatušas, Šebanija, Maluchas, 
NEH.10.6	Harimas, Meremotas, Abdija, 
NEH.10.7	Danielius, Ginetonas, Baruchas, 
NEH.10.8	Mešulamas, Abija, Mijaminas, 
NEH.10.9	Maazija, Bilgajas, Šemaja; tai kunigai;
NEH.10.10	levitai: Azanijos sūnus Jozuė, iš Henadado sūnų – Binujas ir Kadmielis 
NEH.10.11	bei jų giminaičiai: Šebanija, Hodija, Kelita, Pelaja, Hananas, 
NEH.10.12	Michėjas, Rehobas, Hašabija, 
NEH.10.13	Zakūras, Šerebija, Šebanija, 
NEH.10.14	Hodija, Banis, Beninuvas;
NEH.10.15	žmonių vadai: Parošas, Pahat Moabas, Elamas, Zatuvas, Banis, 
NEH.10.16	Būnis, Azgadas, Bebajas, 
NEH.10.17	Adonija, Bigvajas, Adinas, 
NEH.10.18	Ateras, Ezekijas, Azūras, 
NEH.10.19	Hodija, Hašumas, Becajas, 
NEH.10.20	Harifas, Anatotas, Nebajas, 
NEH.10.21	Magpiašas, Mešulamas, Hezyras, 
NEH.10.22	Mešezabelis, Cadokas, Jadūva, 
NEH.10.23	Pelatija, Hananas, Anaja, 
NEH.10.24	Ozėjas, Hananija, Hašubas, 
NEH.10.25	Ha Lohešas, Pilha, Šobekas, 
NEH.10.26	Rehumas, Hašabna, Maasėja, 
NEH.10.27	Ahija, Hananas, Ananas, 
NEH.10.28	Maluchas, Harimas, Baana.
NEH.10.29	O kiti žmonės – kunigai, levitai vartininkai, giesmininkai, Šventyklos tarnai ir visi, kurie yra atsiskyrę nuo šalies tautų, kad laikytųsi Dievo Įstatymo, drauge su savo žmonomis, sūnumis, dukterimis, su visais, kurie žino ir supranta – 
NEH.10.30	vienijasi su savo garbingais giminėmis iškilminga priesaika, norėdami sekti Dievo Įstatymu, duotu per Dievo tarną Mozę, ištikimai laikydamiesi ir vykdydami visus 
NEH.10.32	Kai šalies tautos atneš prekių ar kokių nors grūdų parduoti šabo dieną, per šabą ar bet kokią kitą šventą dieną, mes jų nepirksime. Septintaisiais metais atsisakysime žemės derliaus ir visų neapmokėtų skolų.
NEH.10.33	Be to, įsipareigojame kasmet duoti trečdalį šekelio mūsų Dievo Namų tarnybai – 
NEH.10.34	padėtinės duonos eilėms, nuolatinei javų atnašai, nuolatinei deginamajai aukai, šabų, jaunačių, iškilmių atnašoms, pašventintų dovanų atnašoms bei atnašoms už nuodėmę permaldavimui už Izraelį ir visiems darbams mūsų Dievo Namuose. 
NEH.10.35	Taip pat mes metėme burtus tarp kunigų, levitų ir žmonių dėl malkų atnašos mūsų Dievo Namams. Kiltys privalo jas atnešti kasmet nustatytu laiku, kad būtų kuro 
NEH.10.36	Be to, įsipareigojame kasmet atgabenti į 
NEH.10.37	Taip pat mūsų sūnų ir mūsų gyvulių pirmagimius, kaip įsakyta Įstatyme, mūsų kaimenių ir bandų pirmagimius atgabenti į mūsų Dievo Namus kunigams, tarnaujantiems mūsų Dievo Namuose. 
NEH.10.38	Taip pat mes atnešime į mūsų Dievo Namų sandėlius pirmąją tešlos dalį – pirmienas mūsų grūdų dovanų, visų medžių vaisių, vyno ir aliejaus kunigams ir mūsų laukų 
NEH.10.39	Kunigas, Aarono palikuonis, bus su levitais jiems renkant dešimtinę; levitai atneš 
NEH.10.40	Izraelitai ir levitai javų, vyno ir aliejaus dovanas turi sunešti į sandėlius. Ten yra šventovės reikmenys, ten yra kunigai, einantys tarnybą, vartininkai ir giesmininkai.
NEH.10.40	Mes nepaliksime daugiau Dievo Namų“.
NEH.11.1	Tautos didžiūnai įsikūrė Jeruzalėje. Kiti žmonės metė burtus, kad vienas iš dešimties atsikeltų gyventi į Jeruzalę – šventąjį miestą, o devyni dešimtadaliai pasiliktų kituose miestuose. 
NEH.11.2	Žmonės gyrė visus vyrus, kurie savanoriškai ryžosi gyventi Jeruzalėje.
NEH.11.3	Štai srities didžiūnai, kurie gyveno Jeruzalėje. 
NEH.11.4	Jeruzalėje gyveno ir Judo žmonių, ir Benjamino žmonių.
NEH.11.4	Iš Judo žmonių: Mahalalelio sūnaus Šefatijos sūnaus Amarijo sūnaus Zacharijos sūnaus Uzijos sūnus Ataja iš Pereco palikuonių 
NEH.11.5	ir Zacharijo sūnaus Jehojaribo sūnaus Adajos sūnaus Hazajos sūnaus Kol Hozės sūnaus Barucho sūnus Maasėja iš šilojiečių palikuonių.
NEH.11.6	Iš viso Pereco palikuonių, gyvenančių Jeruzalėje, buvo keturi šimtai šešiasdešimt aštuoni narsūs vyrai.
NEH.11.7	Benjamino žmonės: Izajos sūnaus Itielio sūnaus Maasėjos sūnaus Kolajos sūnaus Pedajos sūnaus Joedo sūnaus Mešulamo sūnus Saluvas, 
NEH.11.8	taip pat Gabajas ir Salajas, iš viso devyni šimtai dvidešimt aštuoni. 
NEH.11.9	Zichrio sūnus Joelis buvo jų vadas, o Ha Senūvos sūnus Judas – valdytojo pavaduotojas mieste.
NEH.11.10	Iš kunigų: Jehojaribo sūnus Jedaja, Jachinas, 
NEH.11.11	Ahitubo sūnaus Merajoto sūnaus Cadoko sūnaus Mešulamo sūnaus Hilkijos sūnus Seraja, Dievo Namų pareigūnas, 
NEH.11.12	ir jų broliai, kurie atliko Namų apeigas, iš viso aštuoni šimtai dvidešimt du; taip pat Malkijos sūnaus Pašhūro sūnaus Zacharijos sūnaus Amcio sūnaus Pelalijos sūnaus Jerohamo sūnus Adaja 
NEH.11.13	ir jo broliai, kilčių galvos, iš viso du šimtai keturiasdešimt du, ir Imero sūnaus Mešilemoto sūnaus Achzajo sūnaus Azarelio sūnus Amašsajas 
NEH.11.14	ir jo broliai, narsūs galiūnai, iš viso šimtas dvidešimt aštuoni. Jų prižiūrėtojas buvo Ha Gedolimo sūnus Zabdielis.
NEH.11.15	Iš levitų: Būnio sūnaus Hašabijos sūnaus Azrikamo sūnaus Hašubo sūnus Šemaja, 
NEH.11.16	Šabetajas ir Jehozabadas iš levitų vadų, kurie buvo atsakingi už Dievo Namų išorės darbus; 
NEH.11.17	Asafo sūnaus Zabdžio sūnaus Michėjo sūnus Matanija buvo galva – meldžiantis jis užvesdavo padėkos giesmę, o Bakbukija, vienas jo brolių, buvo pavaduotojas, ir Jedutūno sūnaus Galalo sūnaus Šamūvos sūnus Abda. 
NEH.11.18	Iš viso levitų šventajame mieste buvo du šimtai aštuoniasdešimt keturi.
NEH.11.19	Vartininkai: Akubas, Talmonas ir jų broliai, einantys sargybą prie vartų, iš viso šimtas septyniasdešimt du.
NEH.11.20	O kiti izraelitai, kunigai ir levitai visuose Judo miestuose gyveno kiekvienas savo pavelde. 
NEH.11.21	Bet Šventyklos tarnai gyveno ant Ofelio. Ciha ir Gišpa vadovavo Šventyklos tarnams. 
NEH.11.22	Levitų prižiūrėtojas Jeruzalėje buvo Michėjo sūnaus Matanijos sūnaus Hašabijos sūnaus Banio sūnus Uzis. Jis buvo iš Asafo palikuonių – giesmininkų, paskirtų Dievo Namų tarnybai. 
NEH.11.23	Jiems taikytas karaliaus įsakymas ir nustatyta tvarka kasdienėms giesmininkų pareigoms. 
NEH.11.24	Mešezabelio sūnus Petachija iš Judo sūnaus Zeraho palikuonių buvo karaliui po ranka visiems žmonių reikalams.
NEH.11.25	O dėl kaimų su laukais, tai kai kas iš Judo žmonių gyveno Kirjat Arbos mieste ir jo kaimuose, Dibone ir jo kaimuose, Jekabceelyje ir jo kaimuose 
NEH.11.26	ir Ješūvoje, ir Moladoje, ir Bet Pelete, 
NEH.11.27	Hacar Šuale, Beer Šeboje ir jos kaimuose, 
NEH.11.28	Ciklage, Mechone ir jo kaimuose, 
NEH.11.29	En Rimone, Coroje, Jarmute, 
NEH.11.30	Zanoache, Adulame ir jų kaimuose, Lachiše ir jo laukuose, Azekoje ir jos kaimuose. Jie apsigyveno nuo Beer Šebos iki pat Hinomo slėnio.
NEH.11.31	Kai kas iš Benjamino žmonių įsikūrė Geboje, Michmaše, Ajoje, Betelyje ir jo kaimuose, 
NEH.11.32	Anatote, Nobe, Ananijoje, 
NEH.11.33	Hacore, Ramoje, Gitaimuose, 
NEH.11.34	Hadide, Ceboime, Nebalate, 
NEH.11.35	Lode ir Onojyje – amatininkų slėnyje.
NEH.11.36	Keletas levitų padalų iš Judo buvo perkelti į Benjaminą.
NEH.12.1	Štai kunigai ir levitai, kurie parvyko su Šaltielio sūnumi Zerubabeliu ir Jozue: Seraja, Jeremija, Ezra, 
NEH.12.2	Amarija, Maluchas, Hatušas, 
NEH.12.3	Šechanija, Rehumas, Meremotas, 
NEH.12.4	Idojas, Ginetojas, Abija, 
NEH.12.5	Mijaminas, Maadija, Bilga, 
NEH.12.6	Šemaja, Jehojaribas, Jedaja, 
NEH.12.7	Saluvas, Amokas, Hilkija, Jedaja. Jie buvo kunigų ir jų brolių galvos Jozuės dienomis.
NEH.12.8	Levitai: Jozuė, Binujas, Kadmielis, Šerebija, Judas ir Matanija; pastarasis drauge su savo broliais vedė padėkos giesmes, 
NEH.12.9	o Bakbukija ir Unis bei jų broliai stovėjo priešais juos tarnybos metu.
NEH.12.10	Jozuei gimė Jehojakimas, Jehojakimui gimė Eljašibas, Eljašibui gimė Jehojada, 
NEH.12.11	Jehojadai gimė Jehonatanas, o Jehonatanui gimė Jadūva.
NEH.12.12	Jehojakimo dienomis kunigai, kunigų kilčių galvos, buvo šie: Serajos kilties – Meraja, Jeremijos kilties – Hananija, 
NEH.12.13	Ezros kilties – Mešulamas, Amarijos kilties – Johananas, 
NEH.12.14	Malucho kilties – Jehonatanas, Šebanijos kilties – Juozapas, 
NEH.12.15	Harimo kilties – Adna, Merajoto kilties – Helkajas, 
NEH.12.16	Idojo kilties – Zacharija, Ginetono kilties – Mešulamas, 
NEH.12.17	Abijos kilties – Zichris, Minjamino kilties – ...
NEH.12.18	Bilgos kilties – Šamūva, Šemajos kilties – Jehonatanas, 
NEH.12.19	Jehojaribo kilties – Matenajas, Jedajos kilties – Uzis, 
NEH.12.20	Salajo kilties – Kalajas, Amoko kilties – Eberas, 
NEH.12.21	Hilkijos kilties – Hašabija, Jedajos kilties – Netanelis.
NEH.12.22	Eljašibo, Jehojados, Johanano ir Jadūvos dienomis levitų ir kunigų kilčių galvos buvo įtraukti į sąrašą iki pat Darijaus Perso karaliavimo, 
NEH.12.23	o levitų kilčių galvos įrašyti į metraščius iki Eljašibo sūnaus Johanano dienų.
NEH.12.24	Levitų galvos buvo Hašabija, Šerebija, Jozuė, Binujas ir Kadmielis. Jų broliai, kurie stovėjo priešais juos ir giedojo šlovės ir padėkos giesmes, vykdydami Dievo vyro Dovydo įsakymą pakaitomis, 
NEH.12.25	buvo Matanija, Bakbukija, Abdija.
NEH.12.25	Mešulamas, Talmonas ir Akubas ėjo sargybą kaip vartininkai pamainomis prie vartų sandėlių.
NEH.12.26	Jie gyveno Jehocadako sūnaus Jozuės sūnaus Jehojakimo dienomis, valdytojo Nehemijo dienomis ir kunigo raštininko Ezros dienomis.
NEH.12.27	Jeruzalės sienos pašventinimui buvo pašaukti levitai iš visų gyvenviečių atvykti į Jeruzalę ir atšvęsti džiaugsmingą pašventimą su padėkos giesmėmis ir cimbolų, arfų bei lyrų garsais. 
NEH.12.28	Giesmininkų būriai suėjo iš Jeruzalės apylinkių, iš netofiečių kaimų, 
NEH.12.29	iš Bet Gilgalo ir iš Gebos bei Azmaveto kaimų vietovių, nes giesmininkai buvo pasistatę sau gyvenviečių aplink Jeruzalę. 
NEH.12.30	Kunigai ir levitai pirma apsivalė patys, paskui apvalė ir žmones, ir vartus, ir sieną.
NEH.12.31	Tada aš užvedžiau Judo didžiūnus ant sienos ir sudariau du didelius būrius padėkos giesmėms ir eisenai. Pirmasis jų leidosi eiti ant sienos į dešinę Mėšlo vartų link. 
NEH.12.32	Paskui juos ėjo Hošaja bei pusė Judo didžiūnų 
NEH.12.33	ir Azarija, Ezra, Mešulamas, 
NEH.12.34	Judas, Benjaminas, Šemaja ir Jeremija 
NEH.12.35	bei keletas jaunų kunigų su trimitais, ir Asafo sūnaus Zakūro sūnaus Mikajos sūnaus Matanijos sūnaus Šemajos sūnaus Jehonatano sūnus Zacharija 
NEH.12.36	bei jo broliai Šemaja, Azarelis, Milalajas, Maajas, Netanelis, Judas ir Hananis su Dievo vyro Dovydo muzikos instrumentais, o jų visų priekyje ėjo raštininkas Ezra. 
NEH.12.37	Prie Šaltinio vartų jie palypėjo tiesiai aukštyn Dovydo miesto laiptais prie sienos pakilimo virš Dovydo rūmų ir nuėjo iki Vandens vartų rytų pusėje.
NEH.12.38	Kitas būrys su padėkos giesmėmis nužygiavo į kairę. Aš sekiau juos su puse žmonių ant sienos virš Krosnių bokšto iki Plačiosios sienos 
NEH.12.39	ir virš Efraimo vartų, Senųjų vartų, Žuvų vartų, Hananelio bokšto, Šimtinės bokšto iki pat Avių vartų. Prie Sargybos vartų buvo sustota. 
NEH.12.40	Taip abu padėkos giesmių būriai sustojo Dievo Namuose. Ir aš, ir pusė pareigūnų su manimi, 
NEH.12.41	ir kunigai Eljakimas, Maasėja, Minjaminas, Mikaja, Eljoenajas, Zacharija, Hananija su trimitais, 
NEH.12.42	ir Maasėja, Šemaja, Eleazaras, Uzis, Johananas, Malkija, Elamas ir Ezeras. Giesmininkai, Izrachijos vadovaujami, garsiai giedojo. 
