JON.1.1	Keriab Yaweb dora Amitaib nono Yona gam ogureaga. 
LUK.6.40	Sibam degi mogoide nugeab sibam sarigegi fere emegerwarge. Bangeagako, nu idadau sibam düdi kenegafotudiba, baba sese gam, nu nugeab sibam sarigegi fere sibenana taideregeaga.
LUK.6.42	Nagüb ege gam au mara ere büreaga baba kegewabgegarba, bana aranüm büreyan wawege, ‘Mai, ye nab ege gam nom büreaga baba düfotuwebüregün gege’? Na kioutuka fere, nagüb ege gam au mara ere büreaga baba düfotubeie. Bangüdie nag idadau agügüdi, büreyanüb ege gam nom fanamere büreaga baba düfotuwe.”
LUK.6.44	Fere au nama ferar kegefaigüdie, au namade kogi baba sibamgeregen. Fere simai nini muri dumegi tugu gam kümüna au kurabüb magi düfaigedige. Baba tugu au fanamere kogi dumegi tugu gam wain murib magi düfaigedige. 
LUK.6.45	Fere nama nu, ututun nama epüra fanam nub kob gam büreaga. Bangar nu kabia nama güfaigeaga. Fere kogi nu ututun kogi epüra nub kob gam bürarge. Bangar nu kabia kogi güfaigeaga. Babanüm ututun kob nub gam gobeaga baba, subede pitaifaigeaga.”
LUK.6.47	Fere güre ye gam oguradi dora yeb edüdi daiwarba, bana ye fere babanümüb kabiaure wangeregün. 
LUK.6.48	Baba fere nu fere güre fata idawebüregegi sibe. Nu ub kese kureregeaga, bangüdie kagu diferar kaneregeaga. Bangüdi kübüdim biar kanüdi kagu sogigabereregeaga. Bangüdie baba kekia fata fereregeaga. Bangar kuiai sese taidar yagüde fata baba esuwar, fata suruweregarge. Amure, fere baba nu fata nama sogi fereaga. 
LUK.6.49	Bangeagako fere yeb dora edüdi daiwarge baba, nu fere güre fata udi gam tuaberegi sibe. Babaure kuri yagüde fata baba esuwarba, pirikanana surudi kürüna koigeregeaga.”
LUK.7.1	Jisas ferefinabur gam dora pitaifotudi, kümüna Kaperneam fib ere gam taideaga. 
LUK.7.2	Maraipapangab taugegi güre büreaga, nu sarua mogoi güre tugu. Nu nugeab sarua mogoi baba idadau kob duwafaigeagako, mügar baba sarua mogoi nu subo tugu, bangar kumebürenanageaga. 
LUK.7.3	Maraipapangab taugegi, Jisas büreagagegi dora edeaga, bangar nu Judawarüngab taba fere simai sugurungar kümüna totowedi ogura nugeab sarua mogoib subo namaberebüregüdi sugurungeaga. 
LUK.7.4	Bana nini kümüna Jisas gam taidüdi, marbinab gamde kororab dora menüm wawen, “Baba taugegi nu fere nama, na nu saguwegi nama. 
LUK.7.5	Nu sige Juda simai kob sigafaigeaga. Nugede sinib kunube fata idaweaga.”
LUK.7.6	Bana Jisas nini keab kümüneaga. Nu kümüna fata gam iroto taidarbere, baba maraipapangab taugegi babade, büreabmana sugurungar Jisas gam menüm dora düdi kümünen, “Erekokai, na ogurebüre utungegena. Ye fere namagar na ogura yeb fata gam iruweregabge. 
LUK.7.7	Babaure ye menüm utungun, ye fere namagegar, igede ogura na kegeneregün. Babaure na dora gürena doragab, yeb sarua mogoi maig namaweregeaga. 
LUK.7.8	Ye banüm doragün, baba amure, ige tugu ige fere yanim tugubüde tauiar nu minigo bürün. Bana ige tugu ige maraipapawar tugu ige minigo bürfaigen. Bana ye güre waudi, ‘na kümünegürba’, nu kümünafaigeaga. Bana ige güre waudi, ‘na oguregürba’, nu ogurafaigeaga. Bana igeab sarua mogoi waudi, ‘na fünai baba gegürba’, nu güfaigeaga.”
LUK.7.9	Jisas dora baba edüdi, fere babab doraure tergeaga. Bangüdi piruaboudi ferefinabur ginere nuge daiwen baba wangeaga, “Ye wangün, fere memeb kob kainana sibe, Israel fere güre kegeurge.” 
LUK.7.10	Bana baba fere simai maraipapangab taugegide sugurungar kümünen baba, nini maigüdi fata gam oguren baba, sarua mogoi namaweaga baba kegewen.
LUK.7.11	Dü güre gam Jisas fib ere güre gam kümüneaga, yanim nub Nain. Nugeab daidaiwegiwar tugu ferefinabur gin erewar tugu nuge keab kümünen. 
LUK.7.12	Nu güb fib ere baba koiweaga babab kudumege ere iroto taideaga, bangüdi fere gürekoi fere güre kumeaganwaib kemeidi fib ere obgoira füraboien baba kaingeaga. Fere babab ana, nu nono gürenakuana baba tugu, kab nugeab tugu kumar oyemadi büreaga. Bangar baba fib ere gamnab ferefinabur gin ere, finege baba keab oguren. 
LUK.7.13	Erekokai finege baba kegeudi, kürüna kororabweaga, bangüdi finege menüm waweaga, “Na meregena.” 
LUK.7.14	Bangüdi kümünadi, fere baba kemeien baba kur gam kube difereaga. Bangar fere simai kur baba kemeien baba biboyen. Bangar Jisasde wageaga, “Omo mogoi, ye wanün, na sirade.” 
LUK.7.15	Bangar fere kumeaganwaib baba, siradüdi gotogeaga, bangüdi dorageaga. Bangar Jisasde nugeab ana maig duweaga. 
LUK.7.16	Ferefinabur gürenakuti Keriabüb sogi ere baba kegeudi kob siradar, Keriabüb yanim siradgaberen. Nini wagen, “Kiari fere güre ere manage sige kodigo taideaga.” Bangüdi wagen, “Keriab manage nugeab ferefinabur sagüngebüre ogurafotuweaga.” 
LUK.7.17	Bangar Jisasde daba daba geaga baba doraman, ferefinabur gürenakutide düdi, Judia distriküb fib itut gürenakuti gam tugu eib eib fib gam tugu dora mangüdi urigegin.
LUK.7.18	Jonüb daidaiwegiwarde baba daba daba gürenakuti Jisasde geaga babaure Jon wawen. Bangar Jonüde nugeab daidaiwegi aküre yagüngüdi, 
LUK.7.19	nugeküre Erekokai gam kümüna menüm totowebüregüdi sugurungeaga, “Na fere Keriabüde sugurwar ogurebüre dora idafotuweaganwaib baba ferede, ede sin güre momoweregenande?” 
LUK.7.20	Baba fere aküre Jisas gam taidüdi, wagen, “Jon Yag Fidegibüde sugursigar na gam ogurenan, menüm totonebüregeaga, ‘Na fere Keriabüde sugurwar ogurebüre dora idafotuweaganwaib baba ferede, ede sin güre momoweregenande?’”
LUK.7.21	Baba sese gam Jisas ferefinabur eib eib subo tugub namabürüngeaga. Bangüdi etob kogi toi fanamge nini gam büreaga baba düfotugeaga. Bangüdi nude gar ege gomo simai, agügen. 
LUK.7.22	Bangüdi Jisasde Jonüb daidaigegi aküre gam dora menüm toweaga, “Ninaküre daba daba mügar kegewenan tugu edenan tugu babaure kümüna Jon wawane. Ege gomowar nini maig agügen, kebe kogiwar urigen. Ferengab mube lepra subo tutug baba, urun taiden, kagub kogi simai nini dora eden, ferewar kugumgafotuwen baba, nini maig siraden, bangar kogiwab ferewar nini dora nama eden. 
LUK.7.23	Bana fere simai ye kegeidi, kob kainana ninib fürügarge baba, nini ebebearwane.”
LUK.7.25	Nini am daba kegewebüre kümünenan? Nini kümüna fere güre karün toi nama nama eneaga baba kegewebüre kümünenande, io? Ferewar karün nama nama enüdi, mube gamnab daba daba nama nama tugu, babanüm ferewar erekokayaungab fata gam bürfaigen. 
LUK.7.26	Ba nini am daba kegewebüre kümünenan? Nini kiari fere güre kegewebüre kümünenande? Io, nuge dogo. Bana ye nini wangün, baba kiari fere Jon nu, kiari fere gürekoi gürenakuti emegerüngeaga. 
LUK.7.27	Baba fereure dogo Keriabüb budide menüm wageaga, ‘Ede. Ye fere güre igeab dora pitoiebüre sugurweregün, bangar nu kese agfürüdi kümüneregeaga. Bangüdi nagüb erekobo ekotagabereregeaga.’ 
LUK.7.28	Ye menüm wangün, Jon fere gürenakuti meme kübüdim gam büren baba, emegerüngeaga. Bangeagako fere nu Keriabüb Koroba gam kürüna fanamere büreaga baba, nu Jon emegerweaga.”
LUK.7.30	Bangeagako, Farisiwarie kabiab sibam ferewar keab, nini Jon kube gam yag fidedige. Babaure, Keriabüde erekobo nama abatarüngeaga baba, nige duen.
LUK.7.32	Nini mogoi farafara sibe guruwegi fib gagam gotogaboudi bürüdi, mogoi farafara gürewarure menüm yogegi sibe, ‘Sin ninag meruwebüregüdi keag fuwenanko, ninag meruwarge, sin kororab mun orenanko, ninag meregi uruwenan.’” 
LUK.7.33	Bana Jisas namana menüm wageaga, “Jon yag fidegi nu ogureaga ba, nu bret tugu wain mum tugu nifaigarge. Bangar ninagüde wagenan, ‘Etob kogi nu gam büreaga.’ 
LUK.7.34	Mügar Fereb Nono ogureaga meme, nu daba tugu yag tugu neaga, bangar ninagüde wagfaigenan, ‘Kegewenan, baba fere nu daba tugu wain mum tugu gugub nuaigeaga. Nu kegeam degi ferewar tugu menmen gügab fere gürekoi tugub büreanüg.’ 
LUK.7.35	Nini banüm wagfaigenan, bangeagako ferefinabur Keriabüb sibam deginwaib baba simaide, sige menüm abatarsigen Keriabüb sibam namafanam.”
LUK.7.37	Finege güre kabia kogkogi güfaigeaga baba, nu baba fib ere gam büreaga. Nu Jisas Farisi babab fata gam daba neagagegi dora edüdi, wel kiag güre kuri nama tugu baba düdi ogureaga. Baba wel keag, kegenam gamde idawenwaib. 
LUK.7.38	Bangüdi nu kümüna Jisasüb nige gam kebe iroto biboudi, mür büreaga. Agugur nugeab Jisasüb kebemara gam edogeaga, bangar finege baba nugeab taba sarade tatageaga. Nu Jisasüb kebe epüra fanam nur dokuwarge, bangüdi wel kuri nama tugu baba düdi kebemara nub gam kubeiaga.
LUK.7.39	Baba Farisi Jisas yaguwar ogureaganwaib baba, nu daba daba finege babade geaga baba kegeudi, menüm ututun toitoiweaga, “Baba fere nu kainana kiari fere garba, finege baba nugeab kebemara gam kube difereaga baba sibamgeregeaga, bangüdi kabia nub tugu sibamgeregeaga. Baba finege nu menmen gügab finege.”
LUK.7.40	Jisas nu fere babab ututun sibamgeaga, bangüdi menüm waweaga, “Saimon, ye dora güre wanebüregün.” Bangar Saimonde wageaga, “Sibam sarigegi, na dora nab pitoie.” 
LUK.7.41	Bangar Jisasde wageaga, “Fere aküre nini, fere gürena gam nurto tugu. Güre baba nu nurto K500.00 tugu, güre baba nu nurto K50.00 fanam tugu. 
LUK.7.42	Nugeküre nugengab nurto maigaberegi towarge, bangar baba ferede nugeküreb nurto ebgafotuweaga. Bana nab ututun baba, aküre baba wonide baba fere namana meduebeaga?”
LUK.7.43	Bangar Saimonde menüm dora toweaga, “Yeb utunba, fere nurto nugeab erekokai ebgafotuweaga baba.” Bangar Jisasde waweaga, “Ututun nab kainana.”
LUK.7.45	Na nurdokiabge. Bangeagako, ye ogura iruaboin sese gam, meme finege nu yeb kebemara nurdokua büreaga. 
LUK.7.46	Na wel düdi yeb taba gam kubeiabge. Bangeagako, meme finegede wel kuri nama tugu düdi ogura yeb kebemara gam kubeiaga. 
LUK.7.47	Bangar ye wanün, sige meme finege kegewenan gam, nu ye kürüna medweaga baba, sige sibam, Keriabüde nub menmen toi gürenakuti unaigafotuweaga. Bangeagako fere menmen fanamere gar Keriabüde nub menmen unaigeaga baba, nub medweaga baba fanamere.” 
LUK.7.48	Bana Jisasde finege baba menüm waweaga, “Ye nab menmen toi unaigafotun.” 
LUK.7.49	Fere simai tag gam nugekeab kurebdir kinen baba, dora baba edüdi, nugenuge menüm doragen, “Meme fere nu wonigar nu menmen toi unaigeaga?” 
LUK.7.50	Bana Jisasde finege baba menüm waweaga, “Nagüb kob kainanade gar, mügar na Keriab küre nama bürün. Na kümüne, kob nab dab fanam büreregeaga.”
LUK.8.2	Bangar finabur gürekoi, nuge egime Jisas nugede nini gam etob kogi toi difotugüdi, subo nugengab tugu kenegafotugeaga, baba finabur tugu, nu keab urigüdi kümünen. Güre baba Maria, nu Makdala fib ere gamnab Mariagüdi yanbafaigen. Egime Jisasde nu gam etob kogi nonob tugu düfotuweaganwaib. 
LUK.8.3	Joanaie Susanaküre tugu, finabur gürekoi epürage tugu nu keab kümünen. Joana nu Kusab fia. Kusa nu Herotüb fatab taugegi büreaga. Baba finaburwarde, Jisas nugeab daidaiwegi simai keab sagüngebüre, nugengab daba daba düdi dünügafaigen.
LUK.8.4	Fib ere gürenakutib gamnab ferefinabur Jisas gam oguren, bangar ferefinabur epürage gurudi büren. Bangar komina dora güre menüm dünügeaga, 
LUK.8.5	“Fere güre kümüna wit magi küm gam furabina kümünar, wit magi gürekoi erekobo gagam musudgeaga. Bangar ferede bitobaitowegin, ai toide tugu ogura nen.
LUK.8.6	Wit magi gürekoi kübüdim kegenam tugu gam musudigen. Bangar wit kuaia tataigenko, kübüdim yag kenegar, baba wit kuaia toi gürenakuti genangabougüdi kugumgen. 
LUK.8.7	Wit magi gürekoi muri toi dumegi tutug kodigo musudigen. Bangar muri dumegi tutug baba, wit kiab foudi wit korotaugen. 
LUK.8.8	Wit magi gürekoi kübüdim nama gam musudgüdi kuaia fowen baba, nama, 100, 100 banüm feren.” Jisas komina dora baba doragafotudi menüm yogeaga, “Fere kagub tugu garba dora meme ederegeaga.”
LUK.8.9	Jisas komina dora babab ginim pitoiaga babaure, nugeab daidaiwegi toide, nuge totowen. 
LUK.8.10	Bangar menüm wangeaga, “Ninag Keriabüde eungar Keriabüb Korobab, iwagegi dora toib, ginim, sibamgafotuwenan. Bangeagako, ferefinabur gürekoi nini komina dora gürena edfaigen. Bangar nini epürabede agugafaigenko, am daba güre sibamgedige. Nini dora epürabede ederegenko, dora babab ginim sibamgeregedige.”
LUK.8.12	Wit magi toi erekobo gam musudigen baba, nini ferefinabur Keriabüb dora edegi sibeko, kuri Satande oguradi dora baba kob ninib gam düfotuweaga. Satan menüm utungeaga, ‘Nini kob kainanagedi Keriabüde igaingeregeagagüdi bangeaga.’ 
LUK.8.13	Wit magi toi kübüdim kegenam tugu gam musudigen baba, nini ferewar dora edüdi, düdi, dora babaure ebebearwegi sibeko, nini wit magi toi kübüdim gam ginim kanegi kene sibe, babaure sese siga fanam gamba, kob kainanageregen, bangar fürüregi sese gamba unonogüdi Keriab ebgadügafaigen. 
LUK.8.14	Wit magi toi dumegi muri toi kodigo musudigen baba, nini ferewar Keriabüb dora edegi sibeko, daba daba nuge gam tataigen babaure ututun toi toiudi, sarawen. Kegeam daba daba tugu kübüdim meme gamnab daba dabaure tugu ebebearwegin. Bangar baba daba dabade korotaungar Keriabüb dora idadau daiwedige. Nini daba idadau ara ebeabgegige sibe. 
LUK.8.15	Bangeagako, baba wit magi toi kübüdim nama gam musudigen baba, nini ferewar dora edüdi sogsogi debetawegi sibe. Kob ninib baba nama fanam surur büreaga, bangar sogi biboudi nama für büren.”
LUK.8.17	Daba daba gürenakuti iwagen baba, kuri ekeba tataigeregen. Daba daba gürenakuti ferewarde korotataugedi büreaga baba, kuri ekeba tataigeregen. Bangar fere sibamgeregen.
LUK.8.19	Baba sese gam Jisasüb anaie, Jisas nugeab mebemana, Jisas nuge kegewebüre oguren. Bangeagako, ferefinabur epürafanam gurudi büredurudi, Jisas nugeab gin nuge iroto oguregi dirugungeaga. 
LUK.8.20	Fere gürekoide, Jisas menüm wawen, “Anin nagüb, mabünmana keab, nag kegenebüre obugo bai biboudi büren.” 
LUK.8.21	Bangeagako dora ninib maig menüm toweaga, “Ferefinabur Keriabüb dora edüdi daiwen, baba simai gürena nini yeb anigamana, nini yeb mabamana.”
LUK.8.22	Dü güre gam Jisas nugeab daidaiwegi toi keab oude güre gam ebeden. Bangüdi menüm wangeaga, “Yag nigu bairasari kümünegi.” Bangar kümünen. 
LUK.8.23	Oude gururwarbere, Jisas nu kineaga. Bangarbere yag nigu gam kübür sogi taideaga, bangar oude gam yag gobebüregeaga, bangar kenegebürenanagen. 
LUK.8.24	Bangar kümüna Jisas imoudi wagen, “Eregeam, eregeam, sige kenegebüregenan bana.” Bangar siradüdi kübür baba tugu yag nigu baba tugu nunurungeaga. Bangar kübür tugu yag nigu tugu saweaga, bangar yag maig binawarge. 
LUK.8.25	Bangar Jisasde menüm totongeaga, “Aranüm? Kob kainanagegi ninib arag büreaga?” Bangar daidaigegi simai Jisasde fünai gugub geaga baba kegeudi, kimgüdi ututun toitoiwen. Bangar nuge nuge menüm wagen, “Am ferenana menüm? Nu kübür tugu yag tugu kakongar nugeküre dora nub eden.”
LUK.8.26	Bana Jisas nugeab daidaiwegi toi keab Gerasawarüngab yau kümüna taiden. Fib baba Galili yag nigu baira büreaga. 
LUK.8.27	Bana Jisas oude ebgadüdi kümüna taideaga. Baba fib ere gamnab fere güre nuge gam taideaga. Etob kogi gürekoi fere baba gam büren. Egimena ude dagfaigarge. Nu fata güre gam bürfaigarge. Nu ferefib gagam bürfaigeaga. 
LUK.8.28+LUK.8.29	Ferewar fere baba taugafaigen baba, muri sogi saka kube kebe sawaigafaigen. Bangeagako, nu muri sogi baba gürenakuti katafotugafaigeaga. Bangar etob kogi babade gufaigar, gururudi fere kene gam bag kümünafaigeaga. Bangar etob kogi fere baba ebgafotuwebüre güdi Jisas doragafotuweaga. Bangar fere baba Jisas kegeudi, magaudi Jisasüb kebe iroto fürügeaga. Bangüdi erenana yogüdi mengeaga, “Jisas, na Keriab Kekia Asaub Nono, na ye gam am bangebüregün? Aio, na ye kogi fürüiegena.”
LUK.8.30	Bangar Jisasde menüm totoweaga, “Nab yanim won?” Bangar wageaga, “Yeb yanim Maraipapa,” amure, etob kogi epürage nu gam iruwen babaure, banüm wageaga. 
LUK.8.31	Bangar baba etob kogi toide Jisas gam yogüdi wagen, “Na sin kudesigab ub ginim kene baba gam kanübugona.”
LUK.8.33	Bangar baba etob kogi toi fere baba ebgadüdi kümüna dawai toi gam iruwen. Bangar baba dawai gin, erenana gururudi fib kogi güre gam kanen. Bangüdi yag nigu gam fürügüdi yag nüdi kugumgen.
LUK.8.34	Dawai taugegiwar baba daba taideaga baba kegeudi gusaraudi, dora düdi fib ere gam tugu, eib eib tugu kümünen. 
LUK.8.35	Bangar ferefinabur ogura amdag dabanana taideaga baba kegewebüregen. Bana Jisas gam ogura taiden baba, etob kogi fere baba uriawen baba kegewen. Nu ude dageaga. Ututun nugeab namawar Jisasüb kebe iroto gotogüdi büreaga. Bangar ferefinabur kegeudi kimigen. 
LUK.8.36	Bangar fere egime etob kogi nu gam bürar Jisasde düfotuwar namaweaga baba fereb doraman, fere daba daba taidar kegewenwaib babawarde dora mangen. 
LUK.8.37+LUK.8.38+LUK.8.39	Bangar Gerasawarüngab distriküb fere gürenakuti Jisas baba fünai gugub geaga babaure ututungüdi, kimgüdi Jisas uriangüdi kümünebüregüdi bikuwen. Bangeagako, fere etob kogi toi uriawen babade Jisas menüm totoudi bikuweaga, “Na euiab ye naküre kümünaide?” Bangeagako, Jisasde sugurwar maigeaga, bangüdi menüm waweaga, “Na maigübe nagüb fib gam kümünabe, Keriabüde nag, sagünebüre daba daba gürenakuti geaga babab dora pitoie.” Bana Jisas oude gam ebedüdi maigeaga.
LUK.8.37+LUK.8.38+LUK.8.39	Bangar fere baba nugeab fib ere gam kümünadi, Jisasde nuge saguwebüre daba daba gürenakuti geaga babab dora, ferefinabur gam pitoiaga.
LUK.8.40	Bana Jisas maigüdi yag nigu baira kümünar, ferefinabur gürenakuti ebebearwen, amure, momoudi bürenwaib babaure. 
LUK.8.41+LUK.8.42	Bangar fere güre taideaga, nub yanim Jairas. Nu kunube fatab taba fere güre. Nu momugo gürenakuana fanam tugu, momugo baba nu mene gürena bede fogo aküre banüm. Momugo baba kumebürenanageaga. Bangar Jairas nugeab momugo babaure kob kürüna koigeaga. Babaure nu Jisasüb kebe iroto oksosob orudi, Jisas igaiudi Jairas nugeab fata gam kümünebüregüdi, totoudi bikuweaga.
LUK.8.41+LUK.8.42	Bana Jisas kümünar, ferefinabur ginbata nu keab kümünadi nu gam gütgütwanagen. 
LUK.8.43	Finege güre büreaga, nu kagi sinoyegi bata bürfaigeaga, nu mene gürena bede fogo aküre büreaga.
LUK.8.44	Baba finege Jisasüb nige iroto oguradi, Jisasüb karün kuab babab maga kebe gam, gemuna tumaureaga. Banüm bangar, pirikana kagi nugeab paudi, kenegeaga.
LUK.8.45	Bangar Jisasde menüm totogeaga, “Wonide ye gam kube difereaga?” Bangar gürenakuti wagen, “Ye kene. Ye kenegen.” Bangar Pitade wageaga, “Eregeam, ferefinabur epürage ginbata biboudi koiwataunen, bangüdi nag gam gütgütwanagen.” 
LUK.8.46	Bangeagako Jisasde wageaga, “Gürede ye gam kube difereaga. Sogi gürekoi uriaidi kümünar wagün.” 
LUK.8.47	Finege baba mügar sibamgeaga, iwageregarge. Bangarbere kutudi, Jisas gam iroto oguradi, kübüdim gam nurmaga difürüdi oksosob oreaga. Bangüdi ferefinabur gürenakutingab ege gam wageaga, “Kagi subo yeb pirikanana kenegeaga. Amure, ye Jisasüb karün tumaurun babade.” 
LUK.8.48	Bangar Jisasde menüm waweaga, “Finege, na yeure kob kainanagün, bangarbere na maig namaun. Arie, kob nab dab fanam büreregeaga.”
LUK.8.49	Jisas doraga bürarbere, kunube fatab taba fere güreb fata gamnab fere güre oguradi, taba fere baba menüm waweaga, “Nab momugo kumeaga. Sibam sarigegi fere kub namana duwegena.” 
LUK.8.50	Jisas baba edüdi, taba fere gam dora menüm toweaga, “Na kimigegena. Na kob gürena kainanagab, momugo nagüb maig siraderegeaga.” 
LUK.8.51	Bana Jisas taba fereb fata gam kümüneaga, bangüdi ferefinabur eungar nuge keab fata gam iruwedige. Nu Pita igaiweaga, Jonie, Jems küre tugu, momugo babab emeana, nin gürena nuge keab iruwen. 
LUK.8.52	Bangar ferefinabur fata gam bürfotuwen baba, momugo babaure kororabüngar mür büren. Bangeagako, Jisasde menüm wangeaga, “Meragana. Kumarge. Eina kinbüreaga.” 
LUK.8.53	Bangar kuipariwen, amure, nini sibamgen, momugo manage kumeaga. 
LUK.8.54	Bangeagako Jisasde momugob kube debetaudi menüm yogeaga, “Momugo, na sirade.” 
LUK.8.55	Bangar momugo babab etob maig nuge gam ogurar pirikanana siradeaga. Bangar Jisasde momugo baba daba gürekoi duwebüregüdi wangeaga. 
LUK.8.56	Bangar momugob emeana tergen. Bangeagako, Jisasde nuge küre sogsogi menüm wangeaga, “Ninaküre daba meme taideaga babaure fere güre wawagana.”
LUK.9.2	Bangüdi Keriabüb Korobab dora pitoiebüre tugu, subo ferewar namabürüngebüre tugu sugurungar kümünen. 
LUK.9.3	Bangüdi menüm wangeaga, “Nini daba daba kiregüdi kümünagana. Nini urigegi at debetawagana, far tugu kemeiagana. Bret tugu kegenam tugu dagana. Baba tugu mube enegi aküre dagana. 
LUK.9.4	Nini fib güre gam taidüdi fata güre gam iruwaboidiba, baba fata gamnana bürane. Kuri fib baba ebgadüdi gürekum kümünebüreie, fata baba ebgadane. 
LUK.9.5	Fib ere güre gamnab ferefinabur ninag igaingüdi nugengab fata gam kümünedigegarba, baba fib ere ebgadane. Kümünebüreba ibur kebe gama ninagüngab gam büreaga baba, porowane. Bangar baba kabia gegin baba, kogigüdi kim sibamgeregen.” 
LUK.9.6	Bana daidaigegi simai fib adab adab gagam kümünen. Bangüdi dora nama pitoidi, babanana subo ferewar fib itut namabürügen.
LUK.9.8	Bangar gürekoide tugu wagfaigen, “Elaija taideaga.” Bangar gürekoide wagen, “Kiari ferewar egime kugumgen babawar, güre maig ferefib gamde siradeaga.” 
LUK.9.9	Babaure Herotüde menüm wageaga, “Ye sarua mogoi wangür Jonüb barub manage katafotun. Bangeagako, fere baba nu wongar tün nub siradar, ferewarde doragedi edün?” Bangüdi Jisas kegewebüregeaga.
LUK.9.10	Dora turewegi ferewar maigüdi ogurafotudi, nuge daba daba gegin babaure Jisas wawen. Bangar Jisasde igaingüdi, fib ere güre gam kümünen, nub yanim Betsaida. 
LUK.9.11	Ferefinabur epüra, Jisas kümünafotuweagagegi dora edüdi, daiudi kümünen. Bangar nuge gam oguren babaure ebebearweaga. Nin gam Keriabüb Korobab dora pitoiaga, bangüdi babanana subo tutugub ferefinabur idadangeaga. 
LUK.9.12	Ututumira nugeab dora turewegi toi, nuge gam oguradi menüm wawen, “Na ferefinabur sugurungab fib itut adab adab kümüneregen. Bangüdi daba tugu, kinegi fib tugu fitaweregen. Meme gam bürenan baba, fere kene.” 
LUK.9.13	Bangeagako, Jisasde daidaiwegi simai menüm wangeaga, “Ninagüde daba dünügane.” Bangar wagen, “Sin daba yamaige. Bret taba tugu, wade aküre fanam gürena büreaga. Na sin kümüna meme ferefinabur gürenakutingab daba murugeregenangüdi gündag?” 
LUK.9.14	Fere 5,000 banümdag büren.
LUK.9.14	Bangar Jisas nugeab daidaiwegi toi menüm wangeaga, “Wanügar 50-50 gurudi gotogeregen.” 
LUK.9.15	Daidaiwegi simai banüm bangedi, ferefinabur gürenakuti gotogen. 
LUK.9.16	Bana bangar Jisas bret taba tugu wade aküre baba tugu düdi, kekia fib nama gam agügüdi Keriabure esegeaga. Bangüdi bret tugu wade tugu pusudi daidaiwegi toi dünügeaga, bangar kabataudi ferefinabur dünügen. 
LUK.9.17	Bangar nedi fugongar daba makita makita bürdaiweaga baba, daidaiwegi simaide tobgüdi far gürena bede fogo aküre gobaberen.
LUK.9.19	Bangar maig menüm dora towen, “Gürekoide menüm wagfaigen, na Jon yag fidegib. Gürekoide wagfaigen na Elaija. Bangar gürekoide wagen, ‘Kiari ferewar egimengab baba, güre maig siradeaga.’” 
LUK.9.20	Bangar totongeaga, “Bana ninagüde ye wonigüdi wagenan?” Bangar Pitade dora maig menüm toweaga, “Keriabüde nugeab ferefinabur maig ogura igaingebüre dora idafotuweaganwaib na baba fere.”
LUK.9.21	Bana Jisas nuge wondag baba, nugeab daidaiwegi simai dora sogi dünügüdi, fere güre wawagana güdi tageibürüngeaga. 
LUK.9.22	Bangüdi wageaga, “Fereb Nono nu kub epürafanam kemeieregarge. Bangar taba ferewar, kobegegi taba ferewar tugu kabiab sibam ferewar keab, nige duweregen. Bangüdi dora diferedi fere gürekoide orfotuweregen. Bangar dü küi gam ba maig siraderegeaga.”
LUK.9.24	Amure, fere güre nugeab gotogegi sogsogi debetawebüregüdiba, nub gotogegi kenegeregeaga. Bangeagako, fere güre yeure utungudi gotogegi nugeab uriafürüdiba, nub gotogegi nama büreregeaga. 
LUK.9.25	Fere güre kübüdim gamnab daba daba gürenakuti darbere, nuge koigüdi kumarba, baba daba daba gürenakutide aranüm saguwebeaga? 
LUK.9.26	Fere güre igeure tugu igeab dora tugu febawarba, bana kuri Fereb Nono nugeab meram ere gam tugu, emeb meram tugu, Keriabüb dora dugurewegiwarüngab meram gam tugu büregi sese gam ogureregeaga baba, nu tugu baba fere febaweregeaga. 
LUK.9.27	Ye kainana wangün, fere gürekoi meag bibowen baba, ara kumediberenana Keriabüb Koroba baba kegeweregen.”
LUK.9.29	Sibdibwa bürarbere, nurmaga nugeab adab taideaga. Bangar karün nugeab maurasau taideaga, bangüdi meramgeaga. 
LUK.9.30	Bangar fere aküre nuge keab doraga büren baba, Mosesie Elaijaküre. 
LUK.9.31	Nugeküre Keriabüb meram tugu taidüdi, Jisasde Jerusalem bag daba daba güfotudie, kübüdim baba ebgadüdi kümüneregeaga babaure doragen. 
LUK.9.32	Pitab mube tugu, daidaigegi aküre babab mube tugu siroi siroingar kinen. Bangar kuri maig siraden baba, Jisasüb mube gam meram kegewen, baba tugu fere aküre Jisas keab bibowen baba tugu kegengen. 
LUK.9.33	Bana fere aküre Jisas keab bibowen baba, Jisas ebgadüdi kümünebüregedibere, Pitade Jisas menüm waweaga, “Eregeam, sige meag bürenan baba nama. Sin kim yana fata küi fereregenan. Güre nagüb güre Mosesüb, güre Elaijab.” Pita dora baba dorageagako, nuge dora aranüm dorageaga baba, babab iginim sibamgarge.
LUK.9.34	Pita dora baba dora gar bere, demenana fioude korotaungar kimigen. 
LUK.9.35	Bangar demenana sube güre fiou kodigode menüm wageaga, “Meme yeb Nono. Nu igeab fünai gebüre uruagafotur büreaga, nub dora edane.” 
LUK.9.36	Baba sube doragafotuwar agügen baba, Jisas nugenakuana bürar kegewen. Bangafotudi gir ebgadüdi maig musuwen baba, daidaigegi simai baba daba kegewen baba, fere güre wawedige.
