MAT.1.1	Иисус Христостыҥ ада-ӧбӧкӧлӧри. Ол Давид ле Авраамныҥ калдыгы.
ACT.10.19	– Бат, ӱч кижи сени бедиреп туру. 
ACT.10.20	Тур, јерге тӱжӱп, бир де эреҥистелбей, олорло кожо бар. Мен олорды ийгем.
ACT.10.21	Петр Корнилийдеҥ ого ийилген улуска тӱжӱп, айтты:
ACT.10.21	– Слердиҥ бедиреп турган кижигер мен болорым. Не керектӱ јӱригер?
ACT.10.22	Олор каруу јандырдылар:
ACT.10.22	– Бисти јӱс јуучылдыҥ јааны Корнилий ийген. Ол Кудайга чындык ла Оноҥ айап јӱрген кижи, оны иудейлер ончозы тооп јат. Сени айлына кычырып, айдар сӧзиҥди уксын деп, агару ангелдеҥ јакару алган.
ACT.10.23	Айдарда, Петр олорды айлына кийдирип, кӱндӱледи.
ACT.10.23	Эртезинде дезе туруп, олорло кожо чыкты. Иоппиядагы карындаштардыҥ кезиги оныла ок бардылар. 
ACT.10.24	Соҥы кӱн Кесарияга келдилер. Корнилий дезе тӧрӧӧн-туугандарын ла јуук најыларын јууйла, олорды сакып отурган. 
ACT.10.25	Петр ӱйге кирип јадарда, Корнилий уткып, оныҥ буды алдына јыгылып, бажырды. 
ACT.10.26	Је Петр оны тургузып,
ACT.10.26	– Тур, мен бойым база кижи – деди.
ACT.10.27	Оныла эрмектешкенче ӱйге кирип, кӧп улус јуулганын кӧрди. 
ACT.10.28	Олорго айтты:
ACT.10.28	– Иудей кижиге ӧскӧ укту кижиле билижери эмезе оныҥ айлына кирери јарабазын билеригер. Је Кудай мени бир де кижини быјар эмезе ару эмес деп адабазын деген. 
ACT.10.29	Оныҥ учун мени кычыргылаарда, мойнобой келдим. Анайдарда, сурап турум: не керектӱ мени кычырдыгар?
ACT.10.30	Корнилий каруу јандырды:
ACT.10.30	– Тӧрт кӱн мынаҥ озо, шак бу ӧйгӧ јетире мен орозологом, тогус саатка барып јадарда, айлымда мӱргигем. Кенетийин мениҥ алдыма јылтырууш кийимдӱ эр кижи тура тӱжӱп, 
ACT.10.31	мынайда айткан: «Корнилий! Кудай мӱргӱлиҥди укты, буурзап эткен быйаныҥ санаазына кирди. 
ACT.10.32	Иоппия јаар Петр дейтен Симонго улус ий. Ол талайдыҥ јанында јаткан тере илеечи Симон-эште айылдап јат. Ол келип, сеге айдар». 
ACT.10.33	Оныҥ учун сеге ылтам улус ийгем. Је бат, келгениҥ јакшы. Биске айтсын деп, сеге Кудайдыҥ јакарганын ончозын угарга, эмди ончобыс Кудайдыҥ алдында турубыс.
ACT.10.34	Айдарда, Петр айдып баштады:
ACT.10.34	– Кудай улустыҥ чырай-бӱдӱжине кӧрбӧй турганын эмди чындаптаҥ оҥдоп јадым. 
ACT.10.35	Је кандый ла калыкта Оноҥ айап, чыныла эдип јӱрген кижи Ого јарап јат. 
ACT.10.36	Ол Иисус Христос ажыра энчӱ керегинде Сӱӱнчилӱ Јар јарлап, Израильдиҥ уулдарына сӧс ийген. Иисус – Ол ончозыныҥ Кайраканы. 
ACT.10.37	Иоанн креске тӱжетенин јарлыктаган соҥында Галилейдеҥ баштайла, Иудей ичинде не болгонын билеригер: 
ACT.10.38	Назарет јеринеҥ Иисус керегинде, канайып Кудай Оны Агару Тынла, кӱчле майлаганын. Ол быйанду керектер эдип, кӧрмӧстиҥ базынчыгында улусты кӧдӱрезин јазып, базып јӱрген, нениҥ учун дезе Кудай Оныла кожо болгон. 
ACT.10.39	Бис дезе иудейлердиҥ ороонында ла Иерусалимде Ол нени эткениниҥ ончозыныҥ керечилери. Оны агашка илип, ӧлтӱрип койгондор. 
ACT.10.40	Ӱчинчи кӱнде Кудай Оны тиргизип, Оны кӧскӧ кӧрӱнер эдип салган – 
ACT.10.41	ончо калыкка эмес, је биске, Кудайдыҥ озолодо туткан керечилерине. Бис дезе Ол тирилген соҥында Оныла кожо ичип-јип јӱргенис. 
ACT.10.42	Ол тирӱлердиҥ ле ӧлгӧндӧрдиҥ Кудай тургускан Јаргычызы болгонын улуска јарлыктазын ла керелезин деп, биске јакарган. 
ACT.10.43	Ого бӱткен кандый ла кижиниҥ кинчеги Оныҥ адыла ташталар деп, Ол керегинде ончо јарлыкчылар керелеп јадылар.
ACT.10.44	Петр айдып турганча, оныҥ сӧзин уккан ончо улуска Агару Тын тӱшти. 
ACT.10.45	Петрла кожо келген томдолгондор ортодоҥ бӱдӱп тургандар Агару Тынныҥ сыйы ӧскӧ улуска да урулды деп, алаҥ кайкадылар, 
ACT.10.46	нениҥ учун дезе, олор ӧскӧ тилдерле эрмектенип, Кудайды улуркадып тургандарын уккандар. Оноҥ Петр айтты:
ACT.10.47	– Бу улус Агару Тынды бис ле чилеп алган. Айдарда, сууга кирип, креске тӱшпезин деп, олорды кем токтодор?
ACT.10.48	Айдарда, Иисус Христостыҥ адында креске тӱжигер – деди. Оноҥ Петрды тоолу кӱнге олордо артып калзын деп сурадылар.
ACT.11.1	Апостолдор ло Иудейде јӱрген карындаштар Кудайдыҥ сӧзин ӧскӧ калыктар да јаратканын уктылар. 
ACT.11.2	Петр Иерусалимге келерде, томдолгондор оны каарып, 
ACT.11.3	айттылар:
ACT.11.3	– Сен томдолбогон улустыҥ айлына кирип, кожо ажангаҥ.
ACT.11.4	Айдарда, Петр не болгонын јӱргеери айдып баштады:
ACT.11.5	– Иоппия калада мӱргип турала, кӧрӱлтеге алдыргам: тӧрт булуҥынаҥ тудулып, јаан-элбек кеден ошкош неме теҥеридеҥ тӱжӱп келеделе, меге јеткен. 
ACT.11.6	Мен оноор кӧрӱп, ајыктап турала, јердиҥ базып јӱрер тындуларын, аҥдарды, јылып јӱрер тындуларды ла теҥериниҥ куштарын кӧрӱп ийгем. 
ACT.11.7	Меге айткан ӱнди уккам: «Тур, Петр, буларды сойып ји». 
ACT.11.8	Је мен айткам: «Канайтса да јибезим, Кайракан! Быјар айса ару эмес неме оозыма качан да кирбеген». 
ACT.11.9	Теҥеридеҥ ӱн экинчи катап айткан: «Кудайдыҥ арутаганын ару эмес деп јарлаба». 
ACT.11.10	Мынайда ӱч катап бололо, оноҥ ончозы теҥери ӧрӧ ойто кӧдӱриле берген. 
ACT.11.11	Је бат, бу ла тушта Кесариядаҥ меге ийилген ӱч кижи мен болгон турага баскылап келген. 
ACT.11.12	Тын меге эмеш те эреҥистелбей, олорло кожо бар деген. Бу алты карындаш мениле кожо барган. Байагы кижиниҥ айлына келдибис. 
ACT.11.13	Ол кижи биске оныҥ айлында ангелди кӧргӧни керегинде куучындаган. Ол ангел ого мынайда айткан: «Иоппия јаар улус ийип, Петр дейтен Симонды алдырып ал. 
ACT.11.14	Ол сеге сӧс айдар, ол сӧстӧр сени ле айылдагы улузыҥды аргадаар».
ACT.11.15	Мен айдып баштаарымда, башкыда биске де чилеп, олорго Агару Тын тӱшкен. 
ACT.11.16	Ол тушта Кайраканныҥ мынайда айткан сӧзин эске алгам: «Иоанн суула крестеген, слер дезе Агару Тынла крестедеригер». 
ACT.11.17	Анайдарда, Иисус Христос Кайраканга бӱткен биске чилеп, Кудай олорго андый ок сый берген болзо, Кудайга удурлажатан мен кем андый?
ACT.11.18	Мыны угала, томдолгондор токынап, Кудайды алкап, айттылар:
ACT.11.18	– Кудай ӧскӧ калыктарга да јӱрӱм аларга, Ого баштанар арга берген туру.
ACT.11.19	Бу ӧйдӧ Стефаннаҥ улам болгон истежӱдеҥ тоскон улус Финикия, Кипр ле Антиохияга јеттилер. Олор иудейлердеҥ башка сӧсти кемге де јарлыктабай јӱргендер. 
ACT.11.20	Кезиги Кипрдиҥ ле Киринейдиҥ улузы болгон. Олор Антиохияга келеле, еллиндерле де эрмектежип, Иисус Кайракан керегинде Сӱӱнчилӱ Јар јарлап турдылар. 
ACT.11.21	Кайраканныҥ кӱчи олорло кожо болгон, ума јок кӧп улус бӱдӱп, Кайраканга баштанган.
ACT.11.22	Мыныҥ табыжы Иерусалимдеги серкпеге једерде, Варнаваны Антиохия јаар ийдилер. 
ACT.11.23	Варнава једип барала, Кудайдыҥ јакшылыгын кӧрӧлӧ сӱӱнип, Кайраканга акту јӱрегинеҥ чындык болзын деп, ончозын сергидип турды. 
ACT.11.24	Ол јалакай, Агару Тынла толгон, Иисуска тыҥ бӱткен кижи болгон. Анайып, Кайраканга кӧп улус бӱтти. 
ACT.11.25	Оноҥ Варнава Савлды бедиреп, Тарс тӧӧн барды. Оны табала, Антиохияга экелди. 
ACT.11.26	Олор бӱткӱл бир јыл серкпеде туштажып, кӧп улусты ӱреттилер. Антиохияда ӱренчиктер эҥ баштап христиандар деп адалгандар.
ACT.11.27	Ол кӱндерде Иерусалимнеҥ Антиохияга јарлыкчылар келди. 
ACT.11.28	Олордыҥ Агав дегени туруп, бастыра телекейде улу ачана-торо болор деп, Тынла кӱн-эртеде билип айтты. Андый ачана-торо Клавдий тушта болгон. 
ACT.11.29	Айдарда, ӱренчиктер кажызы ла Иудейде јаткан карындаштарга арга-кӱчи јеткенче болужар болуп јӧптӧштилер. 
ACT.11.30	Анайда ла эдип, јууп алганын Варнава ла Савлдаҥ серкпедеги јаандарга ийдилер.
ACT.12.1	Бу ӧйдӧ Ирод-каан серкпениҥ бир кезик улузына јаман эдерге, олорды истеп баштаган. 
ACT.12.2	Оныҥ јакарганыла, Иоанныҥ Иаков карындажын кылышла сайып ӧлтӱрип койгондор. 
ACT.12.3	Мынызы иудейлерге јарап турганын кӧрӧлӧ, Петрды база тудуп алды. Ол тушта ачытпаган калаш быжыратан байрам кӱндер болгон. 
ACT.12.4	Оны тудала тӱрмелеп, тӧрт кижидеҥ турган тӧрт бӧлӱк черӱчилдерди каруулдадып койды. Оны пасханыҥ кийнинде калык алдына чыгарарга турган. 
ACT.12.5	Анайдарда, Петрды тӱрмеде каруулдагандар, серкпе дезе ол учун Кудайга кичеенип мӱргиген.
ACT.12.6	Ирод оны јаргылаарга чыгарайын деген кӱнниҥ тӱнинде Петр эки черӱчилдиҥ ортозында эки кынјыла кынјылаткан уйуктап јатты. Каруулчыктар дезе эжиктиҥ јанында тӱрмени каруулдап тургандар. 
ACT.12.7	Кенетийин Кайраканныҥ ангели кӧрӱнип келди, тӱрмени јарык чалыдып ийди. Ангел Петрдыҥ кабыргазына тӱртӱрип, оны ойгозып,
ACT.12.7	– Капшай тур! – деерде, кынјы колынаҥ тӱже берди.
ACT.12.8	– Курчанып, ӧдӱгиҥди кий – деп, ангел айтты.
ACT.12.8	Ол анайда ла этти. Ангел:
ACT.12.8	– Катанчыгыҥды јабынып, мениҥ кийнимнеҥ бар – деди.
ACT.12.9	Петр чыгып, оныҥ кийнинеҥ барды. Ол ангелдиҥ эдип турганы чын болгонын билбей, кӧрӱлте кӧрӱп турум деп сананган. 
ACT.12.10	Баштапкы, оноҥ экинчи каруулды ӧдӧлӧ, олор кала дӧӧн киретен темир каалгага базып келдилер. Каалга олордыҥ алдына бойы ла ачыла берди. Олор чыгып, бир оромды ӧдӧрдӧ, кенетийин ангел јоголып калды. 
ACT.12.11	Петр билинип келеле, айтты:
ACT.12.11	– Эмди чыннаҥ кӧрӱп турум: Кайракан Бойыныҥ ангелин ийип, мени Иродтыҥ колынаҥ ла иудей калык сакыган ончо немедеҥ аргадаган.
ACT.12.12	Мыны билеле, ол Марк дейтен Иоанныҥ энези Мария-эшке келди. Анда кӧп улус јуулыжала, мӱргип турган. 
ACT.12.13	Петр каалгадагы эжикке токулдадарда, Рода деп јалчы кыс угарга базып келди. 
ACT.12.14	Петрдыҥ ӱнин таныйла, сӱӱнген бойынча каалганы ачпай, ӱйге кийдире јӱгӱрип, Петр каалганыҥ јанында туру деп јарлады. 
ACT.12.15	Олор дезе:
ACT.12.15	– Санааҥ ордында эмес – дешти.
ACT.12.15	Је ол чын деп, јана баспай турды. Олор дезе:
ACT.12.15	– Бу оныҥ ангели – дежип турды.
ACT.12.16	Петр токулдатканча болгон. Каалганы ачып, оны кӧрӧлӧ, алаҥ кайкадылар. 
ACT.12.17	Олор унчукпазын деп, Петр колыла имдеп, Кайракан оны тӱрмедеҥ канайда чыгарганын куучындап,
ACT.12.17	– Бу керегинде Иаковко ло карындаштарга айдыгар – дейле, чыгып, ӧскӧ јерге ууланды.
ACT.12.18	Таҥ адарда, Петрла не болгон деп, јуучылдар тыҥ шакпырады. 
ACT.12.19	Ирод дезе оны бедиреп таппады, каруулчыктарды шылайла, ӧлтӱрзин деп јакарды. Оноҥ Иудейдеҥ Кесария јаар атанып, анда артып калды.
ACT.12.20	Ирод Тир ле Сидонныҥ улузына чугулданып турган. Олор дезе биригеле, ого келдилер. Каанныҥ Власт деп кӧдӧчизин бойлорыныҥ јанына тартала, амыр-энчӱ сурадылар, нениҥ учун дезе олордыҥ јери каанныҥ јеринеҥ азыранып турган.
ACT.12.21	Эрмектежип алган кӱнде Ирод, каан кийимин катанып, ширееге отурып, олорго сӧс айтты.
ACT.12.22	– Бу Кудайдыҥ ӱни, кижинийи эмес! – деп, улус кыйгырыжып турды.
ACT.12.23	Кудайга мак јетирбеген учун Кайраканныҥ ангели оны ол ло тарый јыга соккон; ол курт-коҥыска челдедип, тыны кыйылып калган.
ACT.12.24	Кудайдыҥ сӧзи дезе тыҥып, таркап турган. 
ACT.12.25	Варнава ла Савл ижин бӱдӱреле, Марк дейтен Иоаннды кожо алганча, Иерусалимнеҥ кайра Антиохияга бурылдылар.
ACT.13.1	Антиохияныҥ серкпезинде мындый јарлыкчылар ла ӱредӱчилер болгон: Варнава, Нигер дейтен Симеон, Киринейдиҥ кижизи Луций, Ирод башчыла кожо таскаган Манаил ле Савл. 
ACT.13.2	Олор Кайраканга бажырып, орозолоп турарда, Агару Тын айтты:
ACT.13.2	– Олор Мен кычырган керекти бӱдӱрзин деп, Меге Варнава ла Савлды бӧлип беригер.
ACT.13.3	Айдарда, олор орозолоп, мӱргийле, Варнава ла Савлга кол салып алкап, божодып ийдилер.
ACT.13.4	Агару Тыннаҥ ийилген бу экӱ Селевкияга келдилер, оноҥ ары Кипр јаар јӱстилер. 
ACT.13.5	Саламинге келеле, иудей синагогаларда Кудайдыҥ сӧзин јарлыктадылар. Иоанн олорло кожо јӱрӱп, болужып турган.
ACT.13.6	Бастыра ортолыкты Пафка јетире ӧдӧлӧ, илбичи ле тӧгӱн јарлыкчыга, Вариисус деп иудейге туштадылар. 
ACT.13.7	Ол керсӱ Сергий-Павел деп проконсулла кожо болгон. Проконсул Варнава ла Савлды бойына кычырып алып, Кудайдыҥ сӧзин угарга кӱӱнзеген. 
ACT.13.8	Элима-илбичи дезе (оныҥ грек ады) проконсулды Кудай јаҥынаҥ кыйыштырарга ченежип, олорго удурлажып турган. 
ACT.13.9	Је Савл, оны база Павел дежер, Агару Тынла толуп, ого чике кӧрӱп, 
ACT.13.10	айтты:
ACT.13.10	– Сен – кӧрмӧстиҥ уулы, кандый ла чынныҥ ӧштӱзи! Ичиҥ кандый ла куурмакла, кандый ла јаманла толгон. Кайраканныҥ кӧнӱ јолдорын мыйрыйтатанын токтодорыҥ ба? 
ACT.13.11	Эмди, бат, Кайраканныҥ кӱчи сеге удура, сен сокорып, ӧй јеткенче, кӱн кӧрбӧзиҥ.
ACT.13.11	Бу ла тушта ого караҥуй ла карачкы тӱшти. Ол ары-бери кармадап, једекчи бедиреп турды. 
ACT.13.12	Проконсул не болгонды кӧрӧлӧ, Кайраканныҥ ӱредӱзин кайкап, Кудайга бӱтти.
ACT.13.13	Павел ле оныла кожо јӱргендер Пафтаҥ јӱзеле, Памфилиядагы Пергияга келдилер. Је Иоанн олордоҥ айрылып, Иерусалимге бурылды. 
ACT.13.14	Олор дезе, Пергиядаҥ ары барып, Писидиядагы Антиохияга келдилер. Суббот кӱнде синагогага кирип, отура бердилер. 
ACT.13.15	Јасак ла јарлыкчылардыҥ тӱрбектери кычырылган соҥында синагоганыҥ јаандары олорго кижи ийип, мынайда айттырдылар:
ACT.13.15	– Эрлер, карындаштар, улуска ӱредӱ сӧзигер бар болзо, айдыгар.
ACT.13.16	Павел ӧрӧ туруп, колын јаҥып, айтты:
ACT.13.16	– Израильдиҥ улузы ла Кудайдаҥ айап јӱргендер, угугар! 
ACT.13.17	Бу калыктыҥ Кудайы ада-ӧбӧкӧлӧристи талдап алган, бу калык Египет јеринде јӱрерде, оны кӧдӱрип-улуркадып, колыныҥ кӱчиле ол јердеҥ чыгарган. 
ACT.13.18	Олорды тӧртӧн јылга јуук куба чӧлдӧ азыраган. 
ACT.13.19	Ханаан јеринде јети калыкты кырала, јерин Бойыныҥ калыгына энчи эдип ӱлеген. 
ACT.13.20	Мыныҥ кийнинде тӧрт јӱс бежен јылга јуук ӧйдиҥ туркунына олорго Самуил јарлыкчыга јетире јаргычылар берген. 
ACT.13.21	Оноҥ калык олордо каан болзын деп сураган. Кудай олорго Саулды берген. Ол Вениамин угынаҥ Кистиҥ уулы болгон. Саул тӧртӧн јыл башкарган. 
ACT.13.22	Кудай оны јайладала, олорго каан эдип Давидти туткан. Ол керегинде керелеп, айткан: 
ACT.13.23	Сӧзин бергениле, Кудай оныҥ ӱренинеҥ Израильге Аргадаачы Иисусты экелген. 
ACT.13.24	Ол сыраҥай келер алдында Иоанн бастыра Израиль калыгы Кудайга баштанып, креске тӱшсин деп јарлыктаган. 
ACT.13.25	Бойыныҥ ижин божодоло, Иоанн айткан: «Слер мени кем деп бодоп турганыгар? Онызы мен эмезим. Је бат, Ол мениҥ кийнимде келедири, мен Оныҥ ӧдӱгиниҥ буузын да чечерге турбазым».
ACT.13.26	Эрлер, карындаштар, Авраам угыныҥ балдары, ортогордо Кудайдаҥ айап јӱргендер! Слерге бу аргадаштыҥ сӧзи ийилген. 
ACT.13.27	Иерусалимде јаткандар ла олордыҥ бийлери Иисусты таныбай јаргылап, кажы ла суббот кӱнде кычырылып турган јарлыктардыҥ сӧстӧрин бӱдӱрген ине. 
ACT.13.28	Ӧлтӱрерге бир де шылтак таппай, Оны ӧлтӱрзин деп, Пилатты сурагандар. 
ACT.13.29	Ол керегинде бичилгенин ончозын бӱдӱреле, Оны агаштаҥ тӱжӱрип, сӧӧк јуур јерге салып койгондор. 
ACT.13.30	Је Кудай Оны тиргизип алган. 
ACT.13.31	Оныла кожо Галилейдеҥ чыгып, Иерусалимге келген улуска Ол кӧп кӱндердиҥ туркунына кӧрӱнген. Эмди олор калык алдында Оныҥ керечилери. 
ACT.13.32	Бис слерге Сӱӱнчилӱ Јар айдып турубыс: Кудай Иисусты тиргизеле, ада-ӧбӧкӧлӧргӧ берген сӧзин биске, балдарына, бӱдӱрген, 
ACT.13.33	экинчи сарында бичилгениле: 
ACT.13.34	Ол артабазын деп, Оны тиргискени керегинде Кудай мынайда айткан: 
ACT.13.35	Оныҥ учун Ол ӧскӧ јерде айдат: 
ACT.13.36	Је Давид бойыныҥ ӱйезинде Кудайдыҥ табын бӱдӱреле, јада калган, ада-ӧбӧкӧлӧрине биригип, тобрак болуп калган. 
ACT.13.37	Кудайдыҥ Тиргискени дезе, чирибеген. 
ACT.13.38	Оныҥ учун, эрлер, карындаштар, Иисуска болуп кинчектер ташталары слерге јарлалып турганын билигер. 
ACT.13.39	Ол ажыра бӱдӱп турган кажы ла кижи, Моисейдиҥ Јасагы ажыра јайымдалып болбогон не ле немедеҥ јайымдалат. 
ACT.13.40	Анайдарда, јарлыкчылардыҥ мынайда айтканы слерле болбозын деп чеберленигер: 
ACT.13.42	Олор Иудейдиҥ синагогазынаҥ чыгып јадарда, улус бу айтканыгарды келер субботто база айдыгар – дедилер. 
ACT.13.43	Јуун божоордо, кӧп иудейлер ле Кудайга чындык, иудей јаҥын алган кӧп ӧскӧ улус Павел ле Варнаваныҥ кийнинеҥ бардылар. Олор буларла эрмектежип, Кудайдыҥ јакшылыгында болуп јӱригер деп, бӱдӱндирип турдылар.
ACT.13.44	Ээчий субботто бӱдӱн калага јуук улус Кудайдыҥ сӧзин угарга јуулды. 
ACT.13.45	Је иудейлер кӧп улусты кӧрӧлӧ, кӱйӱнип, Павелдиҥ айтканына удурлажып, јамандап турдылар. 
ACT.13.46	Айдарда, Павел ле Варнава јалтанбай айттылар:
ACT.13.46	– Кудайдыҥ сӧзи элдеҥ озо слерге јарлыкталар учурлу болгон. Је слер оны јектеп, бойыгарды бойыгар ӱргӱлји јӱрӱмге јарабас эдип турганыгар учун ӧскӧ калыктарга баштанып јадыбыс. 
ACT.13.47	Анайда биске Кайракан јакыган јок беди: 
ACT.13.48	Мыны угуп, улус сӱӱнип, Кайраканныҥ сӧзин макка чыгарып турдылар. Ӱргӱлји јӱрӱмге тургузылган улус ончозы Кудайга бӱтти. 
ACT.13.49	Кайраканныҥ сӧзи ороон ичине таркап турды.
ACT.13.50	Је иудейлер Кудайга чындык абакайларды ла каланыҥ јарлу улузын тӱймедип ийдилер, олор дезе, Павел ле Варнавага удура истежӱ баштап, бойыныҥ јеринеҥ чыгара сӱрдилер. 
ACT.13.51	Олор буттарынаҥ тоозынды олорго кактап, Иконияга келдилер. 
ACT.13.52	Ӱренчиктер дезе сӱӱнчиле, Агару Тынла толтырылып турдылар.
ACT.14.1	Иконияда андый ок болды. Олор иудейлердиҥ синагогазына кирип, сӧс айдарда, ума јок кӧп иудейлер де, еллиндер де Кудайга бӱттилер. 
ACT.14.2	Багынбаган иудейлер дезе кара јаҥдуларды тӱймедип, карындаштарга удурлаштырып ийдилер. 
ACT.14.3	Андый да болзо, апостолдор анда тапту узак јӱрӱп, Кайракан керегинде јалтанбай айдып турдылар. Кайракан дезе, Бойыныҥ јакшылыкту сӧзиниҥ чынын керелеп, олордыҥ колыла билдилер ле кайкалдар јайаар болды. 
ACT.14.4	Калада јаткандар эки јара бӧлинди: кезиги иудейлердиҥ, ӧскӧлӧри дезе апостолдордыҥ јанында болгондор. 
ACT.14.5	Кара јаҥдулар ла иудейлер бойыныҥ бийлериле кожо Павел ле Варнаваны уйатка тӱжӱрип, ташла шыбалаарга јӱткӱп турарда, 
ACT.14.6	олор мыны билип, Ликаонияныҥ Листра ла Дервия калаларына ла олорды эбире јерлерге ырбап, 
ACT.14.7	анда Сӱӱнчилӱ Јар јарлап јӱрдилер.
ACT.14.8	Листрада базып болбос бир эр кижи отурган. Энедеҥ кенек чыккан бойы, ол качан да баспаган. 
ACT.14.9	Ол Павелдиҥ айтканын угуп отурган. Павел ого чике кӧрӱп, ол бӱдӱп турганын, аргадалар аргалу болгонын билеле, 
ACT.14.10	тыҥ ӱнденип, айтты:
ACT.14.10	– Иисус Христос Кайраканныҥ адынаҥ сеге айдадым, будыҥа тӱс тур!
ACT.14.10	Онызы тура јӱгӱрип, база берди.
ACT.14.11	Павелдиҥ эткенин кӧрӧлӧ, улус ликаон тилле кыйгырыжып чыкты:
ACT.14.11	– Кижи бӱдӱмин алынган кудайлар биске тӱшти!
ACT.14.12	Олор Варнаваны Зевс деп, Павелди дезе, сӧс айдып турган учун, Гермес деп ададылар.
ACT.14.13	Каланыҥ ары јанында Зевстиҥ байзыҥы турган. Оныҥ абызы каалганыҥ јанына букалар ла чечектеҥ ӧргӧн ӧрӱмелдер экелип, улусла кожо тайылга эдерге турган. 
ACT.14.14	Је Варнава ла Павел апостолдор мыны угала, кийимдерин јырта тартып, улустыҥ ортозына кийдире јӱгӱреле, 
ACT.14.15	тыҥ ӱнденип айттылар:
ACT.14.15	– Эрлер, слер нени эдип тураар? Бис слердий ле улус эдибис. Слерди бу тӧгӱн кудайлардаҥ теҥери ле јерди, талайды ла олордо бары-јогын јайаган тирӱ Кудайга баштанзын деп, слерге Сӱӱнчилӱ Јар јарлап јадыбыс. 
ACT.14.16	Ӧткӧн ӱйелерде Ол ончо калыктарга бойыныҥ јолыла јӱрер јӧп берген. 
ACT.14.17	Је Ол Бойы керегинде керелеп, быйан эдип, теҥеридеҥ биске јаҥмыр јаадырып, тӱжӱм, аш-курсак берип, јӱректеристи сӱӱнчиле толтырган.
ACT.14.18	Мынайда айдып, олорго тайылга этпезин, кажызы ла јанзын деп, улусты јӱк арайдаҥ бӱдӱндирип салдылар. Бойлоры калада артып, улус ӱретти. 
ACT.14.19	Антиохия ла Икониядаҥ бир кезик иудейлер келеле, апостолдор тидим јарлыктап турарда, «Олор бир де чынды айтпай, ончозы тӧгӱндеп јадылар» – деп, улусты тӱймедип ийдилер. Павелди ташла шыбалап, ӧлӱп калган болор деп, каланыҥ ары јанына чыгарала, анда артырып койдылар. 
ACT.14.20	Ӱренчиктер оны эбире јуулыжып келерде, ол туруп, кала јаар барды. Эртезинде дезе Варнавала кожо Дервия јаар јӱре берди.
ACT.14.21	Олор бу калага Сӱӱнчилӱ Јар јарлап, тапту кӧп улусты ӱренчиктер эттилер. Кайра јанарда, Листрага, Иконияга ла Антиохияга кирип, 
ACT.14.22	ӱренчиктердиҥ тынын тыҥыттылар. Кудайга јаантайын чындык болзын деп јакып, «Бис Кудайдыҥ Каандыгына кӧп шыра ӧдӱп кирер учурлу» – деп, ӱредип турдылар. 
ACT.14.23	Кажы ла серкпеде јаандарды кол салып кӧстӧйлӧ, Павел ле Варнава орозолоп, мӱргийле, олорды бойлоры бӱткен Кайраканга берип койдылар. 
ACT.14.24	Оноҥ Писидияныҥ ичиле ӧдӱп, Памфилияга келдилер. 
ACT.14.25	Пергияда Кайраканныҥ сӧзин јарлыктайла, Атталияга тӱштилер. 
ACT.14.26	Оноҥ чыгала, Антиохия јаар јӱстилер. Кудайдыҥ јакшылыгына бойлорын беринип, эдетен ижин бӱдӱрип салдылар.
ACT.14.27	Једип келеле, серкпениҥ улузын јууп, Кудай олорло нени эткенин ончозын, канайып Ол ӧскӧ калыктарга бӱдериниҥ эжигин ачканын айттылар. 
ACT.14.28	Анда ӱренчиктерле кожо узак јӱрдилер.
ACT.15.1	Иудейдеҥ келген кандый да улус карындаштарды ӱредип турдылар:
ACT.15.1	– Моисейдиҥ чӱм-јаҥыла томдотпозогор, аргаданып болбозыгар.
ACT.15.2	Павел ле Варнава олорло јӧпсинбеди, мынызы јаан блааш-тартышка экелди. Айдарда, Павел, Варнава, бир кезик ӧскӧзи де бу суракла апостолдорго ло серкпедеги јаандарга Иерусалим барзын деп шӱӱштилер. 
ACT.15.3	Анайдарда, серкпе олорды аткарып ийди, олор Финикия ла Самарла ӧдӱп, кара јаҥдулардыҥ Кудайга баштанганын јолой куучындап, ончо карындаштарды айдары јок сӱӱндирип турдылар.
ACT.15.4	Иерусалимге једип келеле, серкпеге, апостолдорго ло серкпедеги јаандарга уткыдып, Кудай олорло нени эткенин, ончозын айдып бердилер. Анайда ок Ол ӧскӧ калыктар бӱтсин деп, олорго эжик ачканын айттылар. 
ACT.15.5	Је фарисейлердиҥ ӱредӱзиле башкарынып, бӱдӱп турган кезик улус ӧрӧ туруп, айттылар:
ACT.15.5	– Ӧскӧ улусты томдоп, Моисейдиҥ Јасагын бӱдӱрерин некеер керек.
ACT.15.6	Апостолдор ло серкпедеги јаандар бу керектиҥ аайына чыгарга јуулдылар. 
ACT.15.7	Узак шӱӱжӱниҥ кийнинде Петр ӧрӧ туруп, айтты:
ACT.15.7	– Эрлер, карындаштар! Ӧскӧ улус менеҥ Сӱӱнчилӱ Јардыҥ сӧзин угуп, бӱтсин деп, Кудай баштамы кӱндердеҥ ала ортобыстаҥ мени талдаганын слер билеригер. 
ACT.15.8	Кижиниҥ јӱрегинде не барын билеечи Кудай биске чилеп, олорго Агару Тын сыйлап, кере берген. 
ACT.15.9	Јӱректерин бӱдетениле арутап, бис ле олор ортодо бир де башкаланыш этпеген. 
ACT.15.10	Айдарда, ада-ӧбӧкӧлӧрис те, бис те апарып болбогон уур јӱкти ӱренчиктердиҥ белине артып, эмди Кудайды не керек ченеп јадыгар? 
