MAT.1.1	Gava si o lil katar e vicha e Jesukristoki, vou saia katar e vicha e Davideki ta i e Abraameki. 
JHN.7.26	Dikken, sar del orba angla saurre, ta ni ppenen leke niso, ¿Sai avelpe kai i e sudura pachan kai de istina vou si o Mesias? 
JHN.7.27	A amen llana katar si gava; kana ka avel o Mesias, niko ni ka llanel katar avel.
JHN.7.28	O Jesus saia ando cher e Devleko kana asunda gala orbe ta ando baro avazi ppenda:
JHN.7.28	—¡Tumen mislin kai pinllaren man ta mislin kai llanen katar avau! Me ni avilem me mandar, a gua kai bichalda man si chachuno, ta gale tumen ni pinllaren. 
JHN.7.29	A me pinllarau le, soke letar avau, vou bichalda man.
JHN.7.30	Ondaka mangena te ppanden le, ta niko ni ttoda o va pe lete, soke ni ios ni aviloia leko llive. 
JHN.7.31	But llene pachaie ande lete, ta ppenena:
JHN.7.31	—Kana ka avel o Mesias, ¿ka cherel mai but bare ezgode Devlikane neko gala kai cherel gava?
JHN.7.32	E fariseura asunde kai but llene ppenena gava letar; a von ta e mai preche popura bichalde e boñikura te ppanden e Jesuse. 
JHN.7.33	Ondaka o Jesus ppenda lenge:
JHN.7.33	—Cherricha ios ka achau tumenchar, ta ka llautar golete kai bichalda man. 
JHN.7.34	Ka roden man ta ni ka malaven man soke kote kai me ka avau tumen nasti ka llan.
JHN.7.35	Ondaka e judiura ppenena maskar pete:
JHN.7.35	—¿Kai ka llal gava kai amen nasti ka malava le? ¿Ka llaltar kai e judiura kai si maskar e griegure, ta ka sikavel ande Gresia? 
JHN.7.36	¿So si gava kai ppenda ‘Ka roden man, ta ni ka malaven man, soke kote kai me ka avau tumen nasti te llan’?
JHN.7.37	Ando mai baro llive e eslavako, o Jesus ustilo ta ando baro avazi ppenda:
JHN.7.37	Kogo si trusalo te avel mande. 
JHN.7.38	Kogo pachal ande mande, sar ppenel o Pisipe, letar ka ezvoril o pai o llundo.
JHN.7.39	Gava ppenda katar o Duo kai ka len gola kai ka pachan ande lete; soke ni ios ni diaia o Duo, ta ni ios o Jesus ni saia blagosime.
JHN.7.40	Neseve llene kai sea kote, kana asunde gala alava, ppende:
JHN.7.40	—Chache si gava o porauko.
JHN.7.41	Aver ppenena:
JHN.7.41	—Gava si o Mesias
JHN.7.41	A aver ppenena:
JHN.7.41	—Iok, soke o Mesias nasti te avel katar e Galilea. 
JHN.7.42	Pisime si kai o Mesias si te avel katar e vicha Davideki, katar o foro kai ikkardol Belen, isto kotar katar saia i o David.
JHN.7.43	Ta fulade sea saurre cheres o Jesus. 
JHN.7.44	Nesave llene lendar mangena te ppanden le, a niko ni ttoda o va pe lete.
JHN.7.45	E boñikura katar o cher e Devleko avile kai e mai bare popura ta e fariseura, ta puchle len:
JHN.7.45	—¿Soke ni anden e Jesuse?
JHN.7.46	E boñikuria ppende
JHN.7.46	—¡Nikada niko ni dia orba sargo gava!
JHN.7.47	Ondaka e fariseura ppende lenge:
JHN.7.47	—¿I tumen kojadilen? 
JHN.7.48	¿A so; vareko katar amare sudura pachaia ande lete, o varesavo fariseo? 
JHN.7.49	Gala llene, kai ni pinllaren o zakono, von si proketime.
JHN.7.50	O Nikodemo, o fariseo kai aviloa kai o Jesus iek drom, ppenda lenge:
JHN.7.51	—Amaro zakono ppenel kai nasti dosara nika te na asunaia mai anglal gole llene, te sai llana so cherda.
JHN.7.52	Ppende leke:
JHN.7.52	—¿I tu san katar e ppuv e Galileaki? Chitisar ta dik kai katar e Galilea nikada ni likisto ni iek porauko.
JHN.7.53	Mapalal katar gala ezgode suako lleno llelotar kai po cher.
JHN.8.1	A o Jesus llelotar po burdo e Maslinkengo, 
JHN.8.2	ta ttiarinako rano pale irisailo kai o cher e Devleko. E llene avile lete; ta vou besindo sikavela len.
JHN.8.3	Ondaka e kovacha e zakonoke ta e fariseura ande lete iekke diskinia kai maladea ando kurvaluko, ta ttode la po maskaral katar sa e llene, 
JHN.8.4	ta ppende leke:
JHN.8.4	—Kovachi, maladam gale diskinia kana cherela kurvaluko. 
JHN.8.5	Ando zakono, o Moises ppenel amenge te mundara barrenchar gale diskinien. ¿A tu so ppene?
JHN.8.6	Von ppenena gava te zumaven le, te sai dosaren le. A o Jesus bangilo ta ttodape te pisil pe ppuv e naiea. 
JHN.8.7	Ta sar von puchena le but droma, ortosailo ta ppenda lenge:
JHN.8.7	—Te chudel o purvo barr ko tumendar ni cherda bilachipe.
JHN.8.8	Ta pale bangilo ta i pale ttoda te pisil pe ppuv. 
JHN.8.9	Kana von asunde gava achardepe dosale ta ttode te llantar iek pala iek, katar o mai purano llik kai o mai terno. Kana o Jesus dikkla kai achilo samo vou ta e diskinia kai achilia po maskaral, 
JHN.8.10	ortosailo ta puchla la
JHN.8.10	—Chei ¿kai talen gola kai dosarena tut? ¿Niko ni dosarel tut?
JHN.8.11	Voi ppenda:
JHN.8.11	—Ea Gazda niko ni dosarda man.
JHN.8.11	O Jesus ppenda lake:
JHN.8.11	—Ni me ni dosarau tut; llatar ta na cher ios bilachipe.
JHN.8.12	O Jesus pale dia orba e llenenge, ta ppenda lenge:
JHN.8.12	—Me sem o villelo e suetoko; ko pachal ande ma, ni ka llal ando truñariko ta ka avel le o villelo e zivotoko.
JHN.8.13	Ondaka e fariseura ppende leke:
JHN.8.13	—Tu de orba isto tutar: Gola orbe inai chache.
JHN.8.14	O Jesus ppenda lenge:
JHN.8.14	—Te dau orbe chache isto me mandar, so ppenau si o chachipe, soke llanau katar avilem ta i kai llau; a tumen ni llanen le. 
JHN.8.15	Tumen krisisaren sar krisisaren e manusa. Me ni krisisarau nika; 
JHN.8.16	a te krisisarava, mi kris si chachuni, soke inai sem korkorre, soke o Dad kai bichalda man, i vou krisisarel manchar. 
JHN.8.17	Ande tumaro zakono ppenel kai dui llene te dena isto iek orba gua si chachipe. 
JHN.8.18	Isto me dau orba lachi me mandar, ta o Dad kai bichalda man, i vou del orba lachi mandar.
JHN.8.19	Von puchle le:
JHN.8.19	—¿Kai talo cho dad?
JHN.8.19	—O Jesus ppenda lenge:
JHN.8.19	—Tumen ni pinllaren man, ta ni pinllaren me Dade; te pinllardena man, pinllardena i me Dade.
JHN.8.20	O Jesus ppenda gala alava kana sikavela ando cher e Devleko kote kai guruvena e love kai dena e Devleke. Ta niko ni ppangla le soke ni ios ni aviloa leko llive.
JHN.8.21	O Jesus ppenda lenge pale:
JHN.8.21	—Me llautar, ta ka roden man, A ka meren ande tumaro bilachape, kote kai me llau tumen nasti llan.
JHN.8.22	Ondaka e judiura ttode te ppenen:
JHN.8.22	—¿So, ka mundarel isto vou pe, soke ppenel: Kote kai me ka llau tumen nasti llan? 
JHN.8.23	O Jesus ppenda lenge:
JHN.8.23	—Tumen sen e ppuviake, me sem katar o miloso; tumen sen gale suetoko, me inai sem gale suetoko. 
JHN.8.24	Goleke ppendem tumenge kai ka meren ande tumaro bilachipe; soke te na pachana kai me sem, ande tumaro bilachipe ka meren.
JHN.8.25	Ondaka puchle le
JHN.8.25	—¿Ko san tu?
JHN.8.25	O Jesus ppenda:
JHN.8.25	—Me sem so mai anglal ppendem tumenge. 
JHN.8.26	Si man but ezgode te ppenau ta te krisiu tumendar, a gua kai bichalda man ppenel o chachipe, ta me so asundem letar, gua ppenau e suetoke.
JHN.8.27	Ta von ni acharde kai dela lenge orba katar po Dad. 
JHN.8.28	Goleke ppenda lenge:
JHN.8.28	—Kana ka vazden e Chave e manuseke, ondaka ka acharen kai me sem, ta kai niso ni cherau me mandar, soke so sikada man o Dad gua ppenau. 
JHN.8.29	Soke gua kai bichalda man si manchar; mo Dad ni mukla man korkorre, soke me suako llive cherau so si leke drago.
JHN.8.30	Kana o Jesus ppenda gala ezgode, but llene pachaie ande le.
JHN.8.31	O Jesus ppenda e judionenge kai pachaiea ande lete:
JHN.8.31	—Te achena tumen ande mo alau, chache ka aven me disipulura; 
JHN.8.32	ka pinllaren o chachipe, ta o chachipe ka braduil tumen.
JHN.8.33	Von ppende leke:
JHN.8.33	—Amen sam katar e vicha e Abraameki ta nikada ni sama esluge nikake; ¿sar tu ppene kai amen ka ava braduime?
JHN.8.34	O Jesus ppenda lenge:
JHN.8.34	—Chachimaia ppenau tumenge kai kogo cherel bilachipe, si esluga katar o bilachipe. 
JHN.8.35	Iek esluga ni achel ostade ande iek familia; a o chavo achel ostade ande familia. 
JHN.8.36	Goleke, te braduila tumen o Chavo, tumen ka aven de istina braduime. 
JHN.8.37	Llanau kai tumen sen katar e vicha e Abraameki; a tumen mangen te mundaren man, soke tumen ni pachaien ande me alava. 
JHN.8.38	Me ppenau so dikklem pasa mo Dad; isto gia, tumen ppenen so asunden pasa tumaro dad.
JHN.8.39	Von ppende leke:
JHN.8.39	—¡Amaro dad si o Abraam!
JHN.8.39	O Jesus ppenda lenge:
JHN.8.39	—Te avilena tumen chave e Abraameke, cherdena so cherda o Abraam. 
JHN.8.40	A akana mangen te mundaren man kana me ppendem tumenge o chachipe kai sikada man o Del. ¡O Abraam nikada ni cherda iek ezgoda gia! 
JHN.8.41	Tumen cheren e buchi tumare dadeki.
JHN.8.41	Von ppende leke:
JHN.8.41	—¡Amen ni biandilam katar o kurvaluko; Iek Dad si amen, o Del!
JHN.8.42	O Jesus ppenda lenge:
JHN.8.42	—Te aviloa tumaro dad o Del, tumen volisardena man, soke me avilem e Devletar. Ni avilem me mandar, o Del bichalda man. 
JHN.8.43	¿Soke ni acharen so ppenau tumenge? Soke tumen nasti asunen me alava. 
JHN.8.44	Tumaro dad si o llavolo, ta so si leke drago gua si so tumen mangen te cheren. O llavolo suako llive mundarda, ta ni achilo ando chachipe, ta nikada ni ppenel o chachipe ta kana kojavel del orba prema so si vou soke si iek kojamno ta vou si o dad katar o kojaipe. 
JHN.8.45	A me kai ppenau o chachipe, tumen ni pachan. 
JHN.8.46	¿Ko tumendar sai ppenel savo bilachipe cherau? A te ppenava o chachipe ¿soke tumen ni pachan man?
JHN.8.47	Ko si e Devleko, asunel e Devleke alava; goleke tumen ni kamen te asunen len, soke ni sen e Devleke.
JHN.8.48	Ondaka e judiura ppende e Jesuseke:
JHN.8.48	—Amen ppendam sukar kai tu san samaritano, ta kai iek llavolo si ande tute.
JHN.8.49	O Jesus ppenda lenge:
JHN.8.49	—Ande mande inai o llavolo. Me dau liubao me Dade; a tumen ni den man liubao. 
JHN.8.50	Me ni rodau te den orba lachi mandar e llene; o Del si gua kai mangel le gia, a vou si gua kai krisil. 
JHN.8.51	Chachimaia ppenau tumenge, kai ko kandela mo alau, ni ka merel.
JHN.8.52	E judiura ppende leke:
JHN.8.52	—Akana llana kai o llavolo si ande tute. O Abraam ta sa e poraukura mule, a tu ppene: ‘Kogo kandel mo alau ni ka merel’. 
JHN.8.53	¿So san tu mai baro neko amaro dad o Abraam? Vou mulo ta i e poraukura mule. ¿Ko misli kai san tu? 
JHN.8.54	O Jesus ppenda:
JHN.8.54	—Te dau orba lache isto me mandar, gua ni mol mange niso. Mo Dad si kai del orba lachi mandar, isto gua kai tumen ppenen kai si tumaro Del. 
JHN.8.55	A tumen ni pinllaren le. Me pinllarau le; a te ppenava kai ni pinllarau le, avilema kojamno sargo tumen. A me pinllarau le ta kandau leko alau. 
JHN.8.56	O Abraam tumaro dad, veselisailo soke saia te dikkel mo llive; ta dikkla le ta veselisailo.
JHN.8.57	E judiura ppende e Jesuseke:
JHN.8.57	—Ni ios inai chuke ni pinda burs, ¿ta ppene kai dikklan e Abraame?
JHN.8.58	O Jesus ppenda lenge:
JHN.8.58	—Chachimaia ppenau tumenge; kai me sem mai anglal neko o Abraam.
JHN.8.59	Ondaka lie peke barra te chuden ande lete; a o Jesus gurudilo ta likisto katar o cher e Devleko.
JHN.9.1	Kana o Jesus avilo, dikkla iekke llene kai saia korro sar kai biandilo. 
JHN.9.2	E disipulura puchle le:
JHN.9.2	—Kovachi, ¿soke gava lleno biandilo korro? ¿Ko cherda o bilachipe, vou o leke dada?
JHN.9.3	O Jesus ppenda lenge:
JHN.9.3	—Ni cherda ni vou ni leke dada o bilachipe; gaia ezgoda avilape gia te sai dikkol e Devleki buchi ande lete. 
JHN.9.4	So si ollivesea, morabi te cherau e buchi goleki kai bichalda man; e riat avel kana niko nasti radil. 
JHN.9.5	So avava ando sueto, o villelo e suetoko sem.
JHN.9.6	Kana ppenda gava, chungardia pe ppuv ta cherda glibo pe chungarea ta ttoda le pe korreke akka. 
JHN.9.7	Ta ppenda leke:
JHN.9.7	—Lla jalau tut ando bunari e Siloeko (gava si: “Bichaldo”).
JHN.9.7	O korro llelo ta jaladape, ta kana irisailo dikkela. 
JHN.9.8	Ondaka gola kai zivina pasa lete ta i gola kai omanglal dikklea kai mangena esmola puchenape:
JHN.9.8	—¿Inai gava kai besela te mangel esmola?
JHN.9.9	Nesave ppenena:
JHN.9.9	—Vou si.
JHN.9.9	Aver ppenena:
JHN.9.9	—Iok, sargo vou si.
JHN.9.9	A vou ppenela:
JHN.9.9	—Ea, me sem.
JHN.9.10	Ondaka puchle le:
JHN.9.10	—¿Sar akana sai dikke?
JHN.9.11	Vou ppenda lenge:
JHN.9.11	—Gua lleno kai ikkardol Jesus cherda glibo ta ttodale pe me akka, ta ppenda mange: ‘lla kai o bunari e Siloeko ta jalau tut’ Me llelem, ta kana jaladem man dikklem.
JHN.9.12	Ondaka puchle le
JHN.9.12	—¿Kai talo vou?
JHN.9.12	Vou ppenda lenge:
JHN.9.12	—Ni llanau.
JHN.9.13	Inllarde angla e fariseura e llene kai saia korro. 
JHN.9.14	Ando sabado saia kana o Jesus cherda glibo ta sastardaia leke akka, 
JHN.9.15	a von puchle le sar akana dikkela. A vou ppenda lenge:
JHN.9.15	—Ttoda pe me akka glibo, jaladem man, ta akana dikkau.
JHN.9.16	Nesave fariseura ppende:
JHN.9.16	—Inai e Devletar gua kai cherda gava soke ni kandel o sabado.
JHN.9.16	Aver ppenena:
JHN.9.16	—¿Sar sai cherel gala bare ezgode Devlikane te si bilacho?
JHN.9.16	Ta von janape maskar pete, 
JHN.9.17	ta pale puchle gole kai saia korro:
JHN.9.17	—¿So ppene tu katar gua lleno kai putarda che akka?
JHN.9.17	Vou ppenda:
JHN.9.17	—Me ppenau kai vou si porauko.
JHN.9.18	A e judiura ni pachana kai vou saia korro ta kai leke akka sastilea, ondaka ikkarde leke daden e korreke 
JHN.9.19	ta puchle len:
JHN.9.19	—¿Vou si tumaro chaurro? ¿Tumen ppenen kai biandilo korro? ¿Sar akana dikkel?
JHN.9.20	Leki dei ta leko dad ppende:
JHN.9.20	—Amen llana kai vou si amaro chaurro ta i kai biandilo korro; 
JHN.9.21	A sar dikkel akana, ni llana, ta ko putarda leke akka ni gua ni llana. Puchen isto le; vou ia si baro, isto vou sai ppenel tumenge.
JHN.9.22	Leki dei ta leko dad ppende gava, soke darana katar e judiura soke ppendea kai kogo ppenela kai o Jesus si o Mesias, ka traden le katar e kkanlliri e judionengi. 
JHN.9.23	Goleke ppendea leko dad ta leki dei: “Puchen isto le, vou si baro.”
JHN.9.24	E judiura pale ikkarde gole llene kai saia korro, ta ppende leke:
JHN.9.24	—Ppen amenge o chachipe ando anau e Devleko. Amen llana kai gua lleno si bilacho.
JHN.9.25	Vou ppenda:
JHN.9.25	—Te si vou bilacho, me ni llanau. Samo llanau kai sema korro ta akana dikkau.
JHN.9.26	Pale puchle le:
JHN.9.26	—¿So cherda chuke? ¿Sar sastarda che akka?
JHN.9.27	Vou ppenda lenge:
JHN.9.27	—Me ppendem tumenge sar, ta ni kamlen te asunen. ¿Soke mangen te ppenaule pale? ¿A so? ¿I tumen mangen te aven leke disipulura?
JHN.9.28	Ondaka jolaile pe lete, ta ppende leke:
JHN.9.28	—Tu san leko disipulo, a amen sam e Moiseseke disipulura. 
JHN.9.29	Amen llana kai o Del dia orba e Moisesea, a gua lleno ni llana katar si.
JHN.9.30	O lleno kai saia korro ppenda lenge:
JHN.9.30	—¡Savo chudo si gava! Tumen ni llanen katar si vou, a vou sastarda me akka. 
JHN.9.31	Saurre llana kai o Del ni asunel e bilachen; o Del samo asunel golen kai blagosin le ta kanden le. 
JHN.9.32	Ta nikada ni asundilo kai vareko sastarda e akka iekke lleneke kai biandilo korro. 
JHN.9.33	Gava lleno te na aviloa e Devletar, nasti cherdaia niso.
JHN.9.34	Ondaka ppende leke:
JHN.9.34	—Tu biandilan ando bilachipe, ¿a tu ka sikave amen?
JHN.9.34	Ta tradie le katar e kkanlliri e judionengi.
JHN.9.35	O Jesus asunda kai tradie katar e kkanlliri e judionengi gole llene kai sastardaia leke akka; ta kana malada le, puchla le:
JHN.9.35	—¿Pacha tu ando Chavo e manuseko?
JHN.9.36	Vou ppenda leke:
JHN.9.36	—¿Ppen mange ko si vou, te sai pachau ande lete?
JHN.9.37	O Jesus ppenda leke:
JHN.9.37	—Tu dikklan le: Me sem kai dau tuia orba.
JHN.9.38	Ondaka gua lleno dia changa angla o Jesus, ta ppenda:
JHN.9.38	—Pachau, Gazda ta blagosisarda le.
JHN.9.39	Ondaka o Jesus ppenda:
JHN.9.39	—Me avilem ande gava sueto te cherau kris, te sai dikken e korre, a gola kai dikken, te sai korraon.
JHN.9.40	Nesave fariseura kai sea lea, kana asunde gaia orba puchle le:
JHN.9.40	—¿So i amen sam korre?
JHN.9.41	O Jesus ppenda lenge:
JHN.9.41	—Te avilena korre, ni avilaia tumen bilachipe. A akana soke ppenen kai dikken, tumen sen dosale.
JHN.10.1	Ondaka o Jesus ppenda lenge: “Chachimaia ppenau tumenge kai kogo ni del katar o udar e rindoko, gua si chorano ta kochkari. 
JHN.10.2	A gua kai del katar o udar e rindoko, gua si chobano e bakrengo. 
JHN.10.3	Ta o lleno kai arakkel o udar putarel leke, ta o chobano ikkarel suakone bakre pe po anau; ta e bakre asunen leko avazi; ta ikanel len katar o rindo, 
JHN.10.4	ta kana ikanel saurren, llal angla lende ta e bakre llan pala lete soke pinllaren leko avazi. 
JHN.10.5	A von ni ka llan pala iek lleno kai ni pinllaren, ta ka nasen letar soke ni pinllaren leko avazi.”
JHN.10.6	Gaia paramichi ppenda lenge o Jesus, a von ni acharde e orba kai dela lenge.
JHN.10.7	O Jesus pale ttoda te ppenel lenge: “Chachimaia ppenau tumenge: Me sem o udar e bakrengo. 
JHN.10.8	Sa gola kai avile mai anglal mandar, sea chorane ta kochkaria a e bakre ni asunde len. 
JHN.10.9	Me sem o udar: Ko nakkel mandar, ka avel braduime. Ta ka avel sargo iek bakro kai del andre ta likel, ta malavel char.
JHN.10.10	“A o chor avel samo te vazdel, te mundarel ta i te zatrisarel; a me avilem te avel tumen but zivoto. 
JHN.10.11	Me sem o lacho chobano. O lacho chobano po zivoto del pala e bakre; 
JHN.10.12	A o lleno kai radil samo te pochinen leke, kana dikkel kai avel o ruv mukel e bakren ta nasel, soke vou inai o chobano, ta inai leke e bakre. A o ruv lel peke bakren ta cherel len te fuladon. 
JHN.10.13	A gua lleno nasel soke chererle samo pala e love, ta ni chitilpe leke e bakren.
JHN.10.14	“Me sem o lacho chobano, ta pinllarau me bakren, ta me bakre pinllaren man, 
JHN.10.15	gia sar pinllarel man mo Dad ta me pinllarau le; ta ttovau mo zivoto pala e bakre.
JHN.10.16	Si man aver bakre kai inai katar gava rindo; i golen si te anau; von ka asunen mo avazi ta ka avel samo iek stoka, ta samo iek chobano.
JHN.10.17	“Mo Dad volil man soke me dau mo zivoto te sai avel mange dino o zivoto pale. 
JHN.10.18	Niko ni lel mandar mo zivoto, soke isto me mandar dau le. Soke mange si dino te dau le ta i mange si dino te lau le pale. Gala si e alava kai ppenda mange mo Dad te cherau.”
JHN.10.19	Kana e judiura asunde gala alava, pale jalepe maskar pete. 
JHN.10.20	But llene lendar ppenena gia:
JHN.10.20	—¿Soke asunen le kana iek llavolo si ande lete ta dilailo?
JHN.10.21	A aver ppenena:
JHN.10.21	—Iek lleno kai si ande lete iek llavolo nasti ppenel gala alava. ¿Sai iek llavolo sastarel e akka iekke korreke?
JHN.10.22	Ando Jerusalem cherena e eslava katar o cher e Devleko. Ta saia o viendea, 
JHN.10.23	ta o Jesus llala ando cher e Devleko katar o udar kai ikkardola Salomon. 
JHN.10.24	Truisarde le e judiura ta ppende leke:
JHN.10.24	—¿Pe gachin ios ka diliare amen? Te san tu o Mesias, ppen le amenge.
JHN.10.25	O Jesus ppenda lenge:
JHN.10.25	—Me ppendemle tumenge, ta ni pachan. E bucha kai me cherau ando anau me Dadeko si kai den orba isto mandar; 
JHN.10.26	A tumen ni pachan, soke ni sen katar me bakre sar ppendema tumenge. 
JHN.10.27	Me bakre asunen mo avazi, ta me pinllarau len, a von llan pala mande. 
JHN.10.28	Me dau len zivoto ostade, ta nikada ni ka meren, ta niko ni ka lel len katar mo va. 
JHN.10.29	Mo Dad kai dia len mange, si o mai baro, ta niko nasti lel len katar me Dadeko va. 
JHN.10.30	Me ta mo Dad sam iek.
JHN.10.31	Ondaka e judiura pale lie peke barra te chuden ande lete, 
JHN.10.32	A o Jesus ppenda lenge:
JHN.10.32	—Me sikadem tumenge but lache bucha me Dadeke; ¿katar savi lendar mangen te chuden e barrenchar ande ma?
JHN.10.33	E judiura ppende:
JHN.10.33	—Ni ka chuda e barrenchar ande tute pala nisavi lachi buchi kai cherdan, amen ka chuda barra ande tute soke che alavenchar kuslan e Devle; soke tu kai san manus chere tut o Del.
JHN.10.34	O Jesus ppenda lenge:
JHN.10.34	—Ande tumaro zakono si pisime: ‘Me ppendem kai tumen sen dela.’ 
JHN.10.35	Amen llana kai so si pisime ando zakono nasti ppagol, ta o Del ikkarda dela golen kai avila lende leko alau. 
JHN.10.36	A me kai o Del bichalda man ando sueto, ¿sar tumen ppenen mange kai kojavau soke ppendem o Chavo e Devleko sem? 
JHN.10.37	Te na cherava e bucha me Dadeke, na pachan man. 
JHN.10.38	A te cherava len, ta te na pachana man, pachan ande ezgode kai cherau, te sai llanen kai o Dad si ande mande, ta me sem ando Dad.
JHN.10.39	Pale mangena te ppanden le, a o Jesus naslo lendar.
JHN.10.40	Ta o Jesus pale llelotar pe o goia rig o Jordan, ta achilo po ttan kai o Juan kristila. 
JHN.10.41	A but llene avena lete, ta ppenena:
JHN.10.41	—Chache si, kai o Juan ni cherda ni iek bari ezgoda Devlikani, a sa so ppendaia katar gava lleno, saia o chachipe.
JHN.10.42	Ta kote, but llene pachaie ande lete.
JHN.11.1	Iek lleno kai ikkardola Lasaro saia nasualo, ta vou saia katar e Betania o foro e Mariako ta e Martako kai sea leke pea.
JHN.11.2	Goia Maria kai lako pplal saia o Lasaro, saia goia kai jaladaia e Jesukristo e merisoia, ta koslaia leke porrne pe balenchar.
JHN.11.3	Ta e dui ppea bichalde te ppenen e Jesuseke:
JHN.11.3	—Gazda, cho amal kai voli si nasuailo.
JHN.11.4	O Jesus, kana asunda gava, ppenda:
JHN.11.4	—Gava nasualipe inai merimako, Gava nasualipe si te sikadol e zor e Devlekita ta i leke Chaveki.
JHN.11.5	Ta o Jesus volila e Marta, lake pea ta e Lasaro, 
JHN.11.6	kana ppende leke kai o Lasaro saia nasualo, achilo kote kai saia, dui llive ios. 
JHN.11.7	Mapalal ppenda e disipulonenge:
JHN.11.7	—Aven pale ande Judea.
JHN.11.8	A leke disipulura ppende leke:
JHN.11.8	—Kovachi, e judiura mangena te mundaren tut e barrenchar, ¿a tu pale mange lla incha?
JHN.11.9	O Jesus ppenda lenge:
JHN.11.9	—¿Inai e llivese desudui saiata? Ko llal ollivesea, ni perel soke dikkel o villelo gale suetoko; 
JHN.11.10	a ko llal orachaia, perel, soke inai villelo.
JHN.11.11	Mapalal katar gala orbe, ppenda lenge:
JHN.11.11	—Amaro amal o Lasaro sovel, a me ka llau te llungavau le.
JHN.11.12	E disipulura ppende leke:
JHN.11.12	—Gazda, te sovela, ka sastol.
JHN.11.13	A so ppenela lenge o Jesus saia kai o Lasaro muloia, a von mislina kai dela lenge orba katar e lindri kana o manus sovel. 
JHN.11.14	Ondaka o Jesus ppenda lenge bristomaia:
JHN.11.14	—O Lasaro mulo. 
JHN.11.15	Ta veseliu man kai me ni sema kote, pala tumende, te sai pachan. Akana aven lete.
JHN.11.16	Ondaka o Tomas, kai ppenena leke Didimo, ppenda e disipulonenge:
JHN.11.16	—Aven i amen te mera lea.
JHN.11.17	Kana avilo o Jesus, malada kai cherela star llive sar kana o Lasaro saia ando limori. 
JHN.11.18	Betania saia pasa o Jerusalem preko trin kilometrura; 
JHN.11.19	ta but katar e judiura avilea kai e Marta ta i e Maria te den len zor cheres lengo pplal. 
JHN.11.20	Kana e Marta asunda kai avela o Jesus, lleli te malavel le; a e Maria achili ando cher. 
JHN.11.21	Ondaka e Marta ppenda e Jesuseke:
JHN.11.21	—Gazda, te avilana kate, mo pplal ni muloa. 
JHN.11.22	Ta me llanau kai sogo ka mange e Devletar ka del tut.
JHN.11.23	O Jesus ppenda lake:
JHN.11.23	—Cho pplal pale ka zivil.
JHN.11.24	E Marta ppenda leke:
JHN.11.24	—Ea, me llanau kai vou pale ka zivil kana ka usten e mule ando llive mai anglal.
JHN.11.25	Ondaka o Jesus ppenda lake:
JHN.11.25	—Me sem o llundipe ta o zivoto. Ko pachal ande mande, i te avela mulo, ka zivil; 
JHN.11.26	ta i kogo zivil ta pachal ande mande, nikada ni ka merel. ¿Pacha gava?
JHN.11.27	Voi ppenda leke:
JHN.11.27	—Ea, me pachau kai tu san o Mesias, o Chavo e Devleko kai saia te avel ando sueto.
JHN.11.28	Kana ppenda gava, e Marta lleli te ikkarel pe ppea e Maria, ta ppenda lake po chorial:
JHN.11.28	—O Kovachi si kate ta ikkarel tut.
JHN.11.29	Kana e Maria asunda gava ustili oma, ta avili lete. 
JHN.11.30	O Jesus ni resloia te del ando forichi; vou saia po ttan kai e Marta maladaia le. 
JHN.11.31	Kana e judiura kai sea ando cher ta denala la zor, dikkle kai e Maria ustilia oma ta likistia, llele pala late soke mislina kai llala kai o limori te rovel.
JHN.11.32	Kana e Maria avili kote kai saia o Jesus, dia changa angla leke porrne, ta ppenda leke:
JHN.11.32	—Gazda, te avilana kate, mo pplal ni muloa.
JHN.11.33	O Jesus kana dikkla kai e Maria rovela ta i e judiura kai avile laia rovena, izdraia ando duo ta tristosailo, 
JHN.11.34	ta puchla len:
JHN.11.34	—¿Kai ttoden le?
JHN.11.34	Von ppende leke:
JHN.11.34	—Aide ta dik, Gazda.
JHN.11.35	Ta o Jesus rovda. 
JHN.11.36	Ondaka e judiura ppende:
JHN.11.36	—¡Dikken sar volila le!
JHN.11.37	Ta nesave lendar ppenena:
JHN.11.37	—Gava, kai putarda e korreke akka, ¿ni sai cherdaia o Lasaro te na merel?
JHN.11.38	O Jesus but tristome, avilo kai o limori. Kai saia ande iek anadipe ta iek pechina ucharela le. 
JHN.11.39	O Jesus ppenda:
JHN.11.39	—Ikanen e pechina.
JHN.11.39	E Marta, e ppei goleke kai muloa, ppenda leke:
JHN.11.39	—Gazda, kkandel soke cheren stare llive kai mulo.
JHN.11.40	O Jesus ppenda lake:
JHN.11.40	—¿Ni ppendem chuke kai te pachaia, ka dikke e zor e Devleki? 
JHN.11.41	Ondaka ikande e pechina, ta o Jesus vazdia pe akka upre ta ppenda:
JHN.11.41	—Dade, dau tut fala soke asundan man. 
JHN.11.42	Me llanau kai tu suako drom asune man, a ppendem le pala o sueto kai si kate, te pachan kai tu bichaldan man.
JHN.11.43	Ta kana ppenda gava, urkisarda:
JHN.11.43	—¡Lasaro, like avri!
JHN.11.44	A o Lasaro kai muloia, likisto, ta leke va ta i leke porrne sea ppangle e dorienchar, ta leko soro saia ulime iekke chitea. Ta o Jesus ppenda lenge:
JHN.11.44	—Putaren le ta muken le te llaltar.
JHN.11.45	A but llene katar e judiura kai avilea e Mariaia pachaie, soke dikkle so cherdaia o Jesus. 
