MAT.1.1	Wya ka tva saba mndəra taŋ ma Yesu Kristi zivra Dawuda. Dawuda guli ná, zivra Abraham ya. 
ROM.15.5	Ka vlaghunavla Lazglafta lɓa ŋuɗuf ŋa mndu nda ksa ŋuɗuf ŋa mndu ta nzaku nda dzratawi mataba ghuni nda ma ksay ghuni ta saɗa Yesu Kristi. 
ROM.15.6	Mantsa ya, ŋa zləzlvay ghuni nda ŋuɗuf turtuk, nda lwi turtuk guli, ta Lazglafta Dani ma Mghama mu Yesu Kristi.
ROM.15.7	Kasuvuswakasa ta vgha tama sani nda sani, ŋa vlaŋtá glaku ta Lazglafta, manda ya kasuvə Kristi ta vgha nda kaghuni ya. 
ROM.15.8	Ka yu ta mnaghunata ná, sasa Yesu Kristi maganatá slna ta la Yahuda ŋa maranaŋtá həŋ kazlay: Tɗukwa Lazglafta kəʼa, ŋa dzanaghatá ghəŋa skwi ya tanaf Lazglafta ta imi ta sləməŋ ta dzidzíha taŋ. 
ROM.15.9	Sasa guli ŋa zləzlvay gwal kul nzakway ka la Yahuda ta Lazglafta ta ghəŋa tawa hiɗahiɗani manda ya nda vinda ma deftera Lazglafta kazlay:
ROM.15.9	tsaya dzaʼa kəl yu ka zləzlva hga gha mataba gwal kul nzakway ka la Yahuda,
ROM.15.9	ŋa fay ɗa ta laha vla glaku ŋa hga gha
ROM.15.10	Ka gwaɗa Lazglafta mnata guli na:
ROM.15.10	«Kaghuni gwal kul nzakway ka la Yahuda,
ROM.15.10	gwafwagwa ta rfu kawadaga nda mnduha Lazglafta
ROM.15.11	Kaʼa mnata guli na:
ROM.15.11	«Inda kaghuni gwal kul nzakway ka la Yahuda,
ROM.15.11	zləzlvawa Mgham Lazglafta.
ROM.15.11	Ka zləzlva inda mndəra mndu ta Lazglafta
ROM.15.12	Ka anabi Isaya nda ŋani guli na:
ROM.15.12	«Dzaʼa sabsa zivir ma mndəra Yesay,
ROM.15.12	ŋa gayni ta Mgham ta ghəŋa la Grek,
ROM.15.12	ŋa nzakwa la Grek nda fatá ghəŋ tida
ROM.15.13	Lazglafta ná, Lazglafta ta vla faftá ghəŋ ya. Ka vlaghunavla tsi ta rfu nda zɗaku ma zlghay ghuni nda ŋuɗuf, kada nzata kuni nda fata ghəŋ nda ma mbrakwa Sulkum nda ghuɓa.
ROM.15.14	Zwanama ɗa, grafgra iʼi kaghəŋa ɗa kazlay: Nda fa vgha ghuni ŋa maga skwi ɗina, nda sna kuni ta inda skwi ya nda ra ka snaŋta, nda sna kuni ta tva vluvtá hiɗaku kəʼa. 
ROM.15.15	Aŋ mndani, ma na defteri vindaghunaf yu na ná, dvaghunagha dva yu ma sana vliha taghəŋa sana skwiha ŋa havakta ghuni. Kəl yu ka mnaghunata mantsa ya ná, kabga zɗiɗiŋzɗa Lazglafta ta huɗi, 
ROM.15.16	ka faftá iʼi ka kwalva Yesu Kristi mataba gwal kul nzakway ka la Yahuda. Ka faghutá tsi ta iʼi ŋa mna Lfiɗa Gwaɗani, ŋa nuta gwal kul nzakway ka la Yahuda ka skwi vlaŋ lu ta zɗəganatá Lazglafta. Sulkum nda ghuɓa ta nanaftá tsa skwi ya vla lu ya ka skwi ta raŋta Lazglafta. 
ROM.15.17	Tsaya tama ná, ta ghubay yu ta ghəŋa ɗa ma Yesu Kristi, ta ghəŋa slna Lazglafta ya maga yu. 
ROM.15.18	Haɗ yu ta walaŋtá mna sana skwi, ka ya maga Kristi nda ma iʼi a tsi wa. Nda ma iʼi hlakta tsi ta gwal kul nzakway ka la Yahuda ŋa nzakwa taŋ ka gwal snanatá gwaɗa ta Lazglafta. Nda nza nda ma gwaɗa ɗa, nda nza nda ma slnaha ɗa. 
ROM.15.19	Nda ya nda ma mazəmzəmha nda mandərmimiha, nda mbrakwa Sulkuma Lazglafta magata tsi. Zlraf ma luwa Ursalima yu ta tuza tsa Lfiɗa Gwaɗa ta Kristi ya ka laghwi dikw ta haɗika Iliri. 
ROM.15.20	Ma vli ya ta kul snaŋtá mnduha ta gwaɗa ta Kristi yeya kumta maya ɗa ta mna Lfiɗa Gwaɗa kada kwala yu ta magay ta thatá ŋa sana mndu ta magata. 
ROM.15.21	Mantsa ya vindafta lu ma deftera Lazglafta kazlay:
ROM.15.21	«Dzaʼa nghaŋngha gwal ta kul walaŋta lu ta mnanaŋtá gwaɗa tida ta həŋ.
ROM.15.21	Dzaʼa snaŋsna gwal ta kul walaŋta lu ta snanamtá
ROM.15.22	Tsaya skwi ta pyaftá iʼi ka labə da kaghuni. 
ROM.15.23	Ndanana tama ná, kɗiŋkɗa yu ta slna ɗa ma tsa luwaha ya. Nda kɗa fitika ɗvafta ɗa ta lagha da kaghuni. 
ROM.15.24	Ta labə yu ka dzaʼa ta haɗika Ispay ya ná, dzaʼa laghala yu da nzɗavata da kaghuni, ŋa sliʼafta ɗa hada ka dzaʼa, ŋa katihata ghuni. 
ROM.15.25	Ndanana karaku ná, nda sliʼa yu da luwa Ursalima. Ta klaŋtá katu ya kataŋ lu ta mnduha Lazglafta hada yu, 
ROM.15.26	kabga gwal zlghay nda ŋuɗuf ta haɗika Mekaduniya nda ya ta haɗika Akaya ná, kurakura hahəŋ kaghəŋa taŋ ta tskaftá skwi ŋa kataŋtá gwal ka pɗu mataba mnduha Lazglafta ma luwa Ursalima. 
ROM.15.27	Hahəŋ kaghəŋa taŋ ta kurata kataŋtá həŋ. Aŋ mndani, ka dməŋ nzakwani má ta həŋ kabga kataŋkata la Yahuda ta gwal kul nzakway ka la Yahuda nda mutsaftá tfawi ma Sulkuma Lazglafta. Mantsa ya guli ná, nda ra ka kataŋta gwal kul nzakway ka la Yahuda ta hahəŋ nda skwiha ma ghəŋa haɗik ta htaghuta da həŋ. 
ROM.15.28	Dgata ɗa ta vgha nda tsa skwi ya, grafgra yu kazlay: Lamla tsa skwi tsghanaf lu ta həŋ ya da dzva taŋ kəʼa ya, sliʼafta ɗa tsa ka dzaʼa ta haɗika Ispay, ŋa lagha ɗa nda da kaghuni. 
ROM.15.29	Nda sna yu kazlay: Ma tsa lagha dzaʼa lagha yu da kaghuni ya ná, dzaʼa lagha nda tfatawa Kristi katakata yu da kaghuni kəʼa.
ROM.15.30	Zwanama ɗa, ma nzakwa ndiʼatá vgha mu ma Yesu Kristi nda ya ma ɗvu ya ta vlamata Sulkum ná, ta ndəɓa dzvu yu da kaghuni ŋavawa ŋa kawadaga nda iʼi ma maga duʼa da Lazglafta ŋa katihata. 
ROM.15.31	Magawa duʼa da Lazglafta kada ndapta yu ma dzva gwal kul snaŋtá Yesu ta haɗika Zudiya, nda ya ŋa tsuʼafta mnduha ma Ursalima nda rfu ta na katu ta klə yu ŋa taŋ na. 
ROM.15.32	Mantsa ya tama, kata kumay Lazglafta, dzaʼa ɓhadaghaɓha yu nda rfu da kaghuni, ŋa mbiʼapta ɗa ta vgha da kaghuni. 
ROM.15.33	Ka nza Lazglafta ta vla zɗaku kawadaga nda kaghuni demdem. Ka nza tsi mantsa ya.
ROM.16.1	Ta kumay yu ta snaŋta ghuni ta mukuma mu Fabe. Slna Lazglafta ta magə tsi ma luwa Saŋkre. 
ROM.16.2	Ka ɓhadaghaɓha tsi da kaghuni, ka tsuʼafta kuni manda ya ta raŋta mnduha Lazglafta. Ka kataŋta kuni ma skwi ya zbaŋ tsi ta kataŋta ghuni. Tsatsi guli ná, dagala mnduha katana tsi, katihakata ta vərɗa iʼi kaghəŋa ɗa guli.
ROM.16.3	Ka ganaghata kuni ta zgu ta i Priskila nda Akilas ta nzakway ka gwal ta ksə ŋni ta slna Yesu Kristi kawadaga nda həŋ ya. 
ROM.16.4	Kərɗakərɗa htsiŋa taŋ mista ɗa, ŋa mbaɗiftá iʼi. Iʼi nda ghəŋa ɗa yeya a ta rfa həŋ wu, nduk nda inda gwal kul nzakway ka la Yahuda ta nzakway ka Igliz ta rfa həŋ. 
ROM.16.5	Ka ganaghata kuni ta zgu ta Igliz ta tska vgha ga taŋ ka maga duʼa ya. Ka ganaghata kuni ta zgu ta Ipayneta gra ɗa tegeɗ tegeɗ. Tsatsi taŋtaŋa mndu ta zlghaftá Kristi ta haɗika Asiya. 
ROM.16.6	Ka ganaghata kuni ta zgu ta Mari ta dzata vghani ka maga slna ŋa ghuni ya. 
ROM.16.7	Ka ganaghata kuni ta zgu ta i Adranikus nda Zuniyas, ta nzakway ka la ini. Si kawadaga ŋni nda həŋ ma gamak. Mal tsa hahəŋ ya snaŋ lu mataba gwal ghunay. Tiŋəl hahəŋ ta zlghaftá Kristi ka iʼi.
ROM.16.8	Ka ganaghata kuni ta zgu ta Ampliyas, gra ɗa tegeɗtegeɗ ma ndiʼatá vgha nda Mghama mu. 
ROM.16.9	Ka ganaghata kuni ta zgu ta Urbeŋ gratá ksa slna mu ma Kristi nda Stasis gra ɗa tegeɗtegeɗ guli. 
ROM.16.10	Ka ganaghata kuni ta zgu ta Apeles ta maraŋtá ndiʼata vghani ta Kristi. Ka ganaghata kuni ta zgu ta gwal ma həga ga Aristabul. 
ROM.16.11	Ka ganaghata kuni ta zgu ta Hirudiyaŋ la ini, ganagha kuni guli ta zgu ta mnduha Lazglafta ga Narsis. 
ROM.16.12	Ka ganaghata kuni ta zgu ta i Trifene nda Trifwaz, ta fata ghəŋa taŋ tərdehw ka maga slna Lazglafta ya. Ka ganaghata kuni ta zgu ta Persida magra ɗa tegeɗ tegeɗ, ta ŋavata tərdehw ka maga slna Lazglafta guli ya. 
ROM.16.13	Ka ganaghata kuni ta zgu ta Rufus ta nzakway ka mndu snava hgani ma gwaɗa Lazglafta ya. Ganagha kuni guli ta zgu ta mani ta klaftá iʼi manda zwaŋani ya. 
ROM.16.14	Ka ganaghata kuni ta zgu ta i Asiŋkrita nda Fligwana, nda Hermes, nda Patrubas, nda Hermas, nda pɗakwa zwanama kawadaga nda həŋ ya. 
ROM.16.15	Ka ganaghata kuni ta zgu ta i Faluluka nda Zuliya, nda i Nere nda mukumani, nda Ulimpa, nda inda mnduha Lazglafta kawadaga nda həŋ ya.
ROM.16.16	Ka gaguvta kuni ta zgu va huɗukhuɗuk ta həŋ. Ta ga zgu inda Igliz ma Kristi ŋa ghuni guli.
ROM.16.17	Zwanama ɗa, wyawa dzvu, ɗaswa ka kuni nda gwal ta kladamtá daga vgha da taba ghuni ya, nda nza həŋ ka tuthun, ta irna həŋ nda tsa tagha skwi taghaf kuni ya, tsaghwa vgha nda həŋ. 
ROM.16.18	Mndərga tsa mnduha ya ná, maganatá slna ta Kristi Mghama mu a ta magə həŋ ɗekɗek wu, ŋa huɗa taŋ ta maga həŋ ta slna. Hlemem ka həŋ ta magaku. Ta gatutawi, ka nana gwal kul snaŋtá dgata skwi ɗina nda ya kul ɗinaku həŋ. 
ROM.16.19	Kaghuni ná, nda sna inda gwal zlghay nda ŋuɗuf ya ka kuni snatá gwaɗa Mghama mu. Ta rfu yu katakata ta ghəŋa kaghuni nda tsaya. Ta kumay yu ta nzakwa ghuni nda ɗifla maga skwi ɗina. Ka nzata kuni suɗek kul maga ghwaɗaka skwi. 
ROM.16.20	Lazglafta ná, tsatsi ta vla zɗaku, dzaʼa gi huʼanaphuʼa ta halaway, ŋa vlaghunatani ta mbraku ta ghəŋani. Ka nza zɗakatahuɗa Mghama mu Yesu kawadaga nda kaghuni.
ROM.16.21	Ta ga zgu Timute gra ta ksa slna ɗa guli ŋa ghuni. Ta ga zgu la ini, i Lukiyus nda Yasuŋ nda Susipata guli ŋa ghuni.
ROM.16.22	Ta ga zgu iʼi Tirtiyus ta vindaftá na defteri na guli ŋa ghuni ma hga Mghama mu.
ROM.16.23	Ta ga zgu Gayus ta nzaku yu ga taŋ ya ŋa ghuni. Ta tskə ga taŋ inda Igliz guli ta vgha. Ta ga zgu Irasta mnda ŋanatá tseda luwa ŋa ghuni. Ta gay zwaŋama mu Kartus guli ta zgu ŋa ghuni.
ROM.16.23	[ 
ROM.16.24	Ka nza zɗakatahuɗa Mghama mu Yesu Kristi nda inda kaghuni demdem.]
ROM.16.25	Ŋa Lazglafta glaku! Laviŋlava ta dihaghunata manda va ya ta mnə Lfiɗa Gwaɗa, ya ta mnə yu ta ghəŋa Yesu Kristi ya. Tsa Lfiɗa Gwaɗa ya ná, skwi si nda ɗifa ya daga ghalya, zlagigiŋ lu. 
ROM.16.26	Ndanana ná, sabsa ta daɓi nda ma vindi ya vindaf la anabi, manda va ya mna Lazglafta ŋa kɗekedzeŋ guli, ka snanamtá lu ta inda mndəra mndu ŋa snata taŋ ta gwaɗani ma zlghafta taŋ.
ROM.16.27	Ŋa Lazglafta glaku! Da tsatsi turtukwani ɗifil nda ma Yesu Kristi, ŋa kɗekedzeŋ! Amin.
1CO.1.1	Iʼi Pwal, hgaf Lazglafta manda ya kumaf tsi ŋa nzakway ka mnda ghunay Yesu Kristi. Kawadaga ŋni nda zwaŋama mu Sustene, 
1CO.1.2	ta vindi yu ta na ɗelewer na ŋa mnduha Lazglafta ma luwa Kwareŋt, kaghuni ta nzakway ka ŋa Lazglafta nda zɗakatahuɗa Yesu Kristi, hagafhaga ta kaghuni ŋa nzakwa ghuni ka ŋani. Hagafhaga guli ta inda gwal ta nzakway ma sana vliha kavghakavgha ta maga duʼa da Mghama mu Yesu Kristi. Tsatsi ná, Mghama mu ya demdem. 
1CO.1.3	Ka nza zɗakatahuɗa i Da mu Lazglafta nda Mghama mu Yesu Kristi kawadaga nda kaghuni. Mista ghuni ka zɗakwa taŋ guli.
1CO.1.4	Ta va rfay yu ta Lazglafta ɗa ta ghəŋa kaghuni ma vəl zɗaŋtani ta huɗi ma guyaghunaftani nda Yesu Kristi, Zwaŋa Lazglafta. 
1CO.1.5	Manda va tsaya nzakwani. Ma tsa guyatá vgha ghuni nda tsi ya ná, vlaghunavla ta inda skwiha. Tsaya kəl kuni ka laviŋtá gwaɗa nda snaŋta mnigiŋtá vərɗa skwiha guli. 
1CO.1.6	Ma mnaghunata ŋni ta gwaɗa Yesu Kristi ná, ka dihavatá tsa gwaɗa ya ma ŋuɗufa ghuni. 
1CO.1.7	Tsaya kwal kuni pɗatá inda skwiha ta vlə Lazglafta ŋa mnduhani, na tsa kaghuni ta kzla fitika nghəglaŋta mu ta Mghama mu Yesu Kristi ya. 
1CO.1.8	Lazglafta dzaʼa vla mbraku ŋa ghuni ha ka sagha tsa fitik ya, ŋa kwala lu vzaftá rutsak ta kaghuni baɗu tsa sagha Mghama mu Yesu Kristi ya. 
1CO.1.9	Tsa Lazglafta ta hagaftá kaghuni ka guyaghunafta nda Yesu Kristi ta nzakway ka Mghama mu ya ná, haɗ ta tsakalawi wa.
1CO.1.10	Zwanama ɗa! Kdəkwakdək, ta ndəɓay yu ta dzvu ŋa ghuni nda hga Mghama mu Yesu Kristi. Dzərawadzəra ta wi, ma dagə kuni ta vgha ghuni, ka skwa turtuk ka kuni nzaku. 
1CO.1.11	Kəl yu ka mnay mantsa zwanama ɗa ná, sliʼafsliʼa gwal ga Kluwe ka sagha da mnihata kazlay: Ta zlərɗawi kuni ma vgha ghuni kəʼa. 
1CO.1.12	Dagavapdaga kuni mataba ghuni. Wya tsa skwi ta mnə kuni ya: «Ŋa Pwal aŋni» ka sanlaha, «ŋa Apwalus aŋni» ka sanlaha, «ŋa Kefas aŋni» ka sanlaha, «ŋa Kristi aŋni,» ka sanlaha guli, na skwi ta mnə kuni. 
1CO.1.13	Kidaghi gamndər daga ta Kristi na? Pwal ta mtuta ta udza zləŋay ta ghəŋa kaghuni ra? Ari nda hga Pwal a magaghunafta lu ta batem na? 
1CO.1.14	Ta rfay yu ta Lazglafta ɗa kabga haɗ ya maganaf yu ta batem mataba ghuni, ka nza a tsi ka i Krispus nda Gayus wa. 
1CO.1.15	Mantsa tama, haɗ ya dzaʼa mnay kazlay: Nda hga Pwal magiɗifta lu ta batem kəʼa wa. 
1CO.1.16	Aya! Si zanapta ɗa tsa: Maganafmaga yu ta batem ta la ga Stefanas. Ta graftá yu ná, haɗ sana mndu magəglanaf yu ta batem ta ghəŋa tsaha ya wa. 
1CO.1.17	La ka dzaʼa ka maga batem ŋa mnduha a ka Kristi nda iʼi wu, la ka dzaʼa ka da mna Lfiɗa Gwaɗa ŋa mnduha, kaʼa nda iʼi. Ka dzaʼa ka klaʼatá ɗifla ghəŋa gha ka mnay a kaʼa nda iʼi guli wa. Ka má si skwi ma ghəŋa ɗa ka yu klaʼata ka mnay katsi ná, má dzaʼa nzakway mtatá Kristi ta udza zləŋay ka skwa bətbət.
1CO.1.18	Aŋ mndani, gwaɗa ta mtatá Kristi ta udza zləŋay ná, nda nza ka tsaɓaku da gwal ta zaɗaku. Tsaw da amu gwal ta tva mbaku ya, nda sna amu kazlay: Mamu mbrakwa Lazglafta mida kəʼa.
1CO.1.19	Wya skwi nda vinda ma deftera Lazglafta:
1CO.1.19	«Dzaʼa zaɗanazaɗa yu ta ɗifla ghəŋa mnda səla, dzaʼa hərɗiŋhərɗa yu ta mahizla ghəŋa mnda səla,» kaʼa.
1CO.1.20	Ka si mantsa ka Lazglafta mnata ya ní, ga gwaɗa ta ɗifla mnda səla tama? Ga gwaɗa ta gwal ta mnay kazlay: Nda sna aŋni ta zlahu kəʼa tama? Ga gwaɗa ta gwal ta zlərɗutawi ma na ghəŋa haɗik na guli? Haɗ gwaɗa ta həŋ ɗekɗek wa. Niŋna Lazglafta ta ɗifla mnduha ma na ghəŋa haɗik ná, ka skwi ka bətbət.
1CO.1.21	Nda ŋa taŋ ma ɗifil ná, traptra mnduha ma ghəŋa haɗik ta tsatsaftá skwi maga Lazglafta nda ŋani ma ɗifil. Ka klaftá Lazglafta ta tsa gwaɗa ta mnə mu, niŋ hahəŋ ka gwaɗa tsaɓaku ya, ŋa mbanaftá mnduha ta zlghafta. 
1CO.1.22	Má maraŋnamara lu ta skwi ka mazəmzəm, kada grafta ŋni ka la Yahuda nda ŋa taŋ. Tsa skwi mnaŋna ɗifla ŋni ya ŋa aŋni ta snay, ka la Grek nda ŋa taŋ. 
1CO.1.23	Aŋni, gwaɗa ta zləŋatá Yesu Kristi ta udza zləŋay ŋa aŋni ta mnay. Ka zaɗiŋtá tsa gwaɗa ya ta la Yahuda. Tsaɓaku tsa gwaɗa ya ka hamata gwal kul nzakway ka la Yahuda guli ta mnay. 
1CO.1.24	Ka gwal hagaf Lazglafta ŋa nzakway ka ŋani, dər má la Yahuda tsi, dər má hamata Grek a tsi ta mnay na: Kristi mbrakwa Lazglafta nda ɗifla Lazglafta ya, ka hahəŋ. 
1CO.1.25	Tsaw tsa skwi maga Lazglafta ta nghə mnduha manda tsaɓaku ya ná, malaghumala ta ɗifla mnduha. Ka ka mbegi Lazglafta ká mnduha ta gray ya guli ná, tsa nzakwani ka mbegi ta grə mnduha ya guli ná, malaghumala ta mbrakwa taŋ.
1CO.1.26	Zwanama ɗa ɗaslawa nzakwa ghuni na tsa kaghuni hagaf Lazglafta ya, ka mndəra wati ma mnduha kuni? Sira a gwal nda sna ta skwi mataba ghuni ta nghə mnduha ma ghəŋa haɗik wa. Sira a gwal dagaladagala mataba ghuni wa. Sira a gwal ta za mgham mataba ghuni guli wa. 
1CO.1.27	Lazglafta ka ghəŋani ta zabaftá tsa gwal ta nghə mnduha ma ghəŋa haɗik ka rgha ya, ŋa pghanaghatá hula ta tsa gwal nda ɗifla ghəŋa haɗik ma ghəŋa taŋ ya. Tsatsi ta zabaftá gwal ka mbegi ta nghə mnduha ma ghəŋa haɗik ya ŋa pghanaghatá hula ta gwal nda mbra. 
1CO.1.28	Tsatsi ta zabaptá gwal ta nghə lu ka mnduha tsa lu, htuhta həŋ katakata ta nghə mnduha ma ghəŋa haɗik ya, ŋa ŋwisaganatá deghreʼ ta gwal dagala dagala. 
1CO.1.29	Zabapzaba Lazglafta ta mnduha mantsa ya, kada kwala mndu ta ghərɓaku ta kəmani. 
1CO.1.30	Lazglafta ta ndiʼaghunaftá nda Yesu Kristi, ka famatá tsi ta Yesu Kristi ka mnda vlamatá ɗifil. Nda ma Yesu namafta Lazglafta ka mndu tɗukwa ta wa irani, ka fatá amu ka mnduhani, ka varagaptá tsi ta amu ma dmaku. 
1CO.1.31	Tsaya tama, «ka ta kumay mndu ta ghərɓaku katsi, ka ghərɓa tsi ta ghəŋa skwi kɗiŋ Mgham
1CO.2.1	Vərɗa iʼi ná, ma fitika lagha ɗa da kaghuni da mna ɗifatá skwa Lazglafta ta zlagamapta ná, haɗ gwaɗa nda la mnaghuna yu wa, nda sna yu ta skwi a ka yu guli wa. 
1CO.2.2	Ta sliʼaftá yu ka lagha da kaghuni ná, haɗ sana skwi ta ndanə yu ma ghəŋa ɗa ŋa mnaghunata ka ta ghəŋa Yesu Kristi, tsa Yesu zləŋaf lu ta udza zləŋay ya tsi wa. 
1CO.2.3	Ma tsa nzakwa ɗa da kaghuni ya ná, kulembet nzakwa ɗa, ta zləŋ yu, ta ghudzaku yu. 
1CO.2.4	Ma tsa fitika mnay ɗa ta gwaɗa Lazglafta ka tagha skwi ŋa ghuni ya ná, maraghunaŋta hiɗaku ka ghuɓaptá kaghuni a si ta magə yu wa. Sulkuma Lazglafta nda mbrakwani ta maraghunata kazlay: Kahwathwata tsa gwaɗa mnə yu ya kəʼa. 
1CO.2.5	Tsaya tama, ta mbrakwa Lazglafta dihafta kaghuni ta zlghay nda ŋuɗufa ghuni ta hiɗakwa mnduha a wa.
1CO.2.6	Ta mnə ŋni ta gwaɗa ŋa gwal nda sifa ma zlghay nda ŋuɗuf ná, vərɗa ɗifil taghə ŋni, hiɗakwa gwal dagaladagala ma na ghəŋa haɗik ta dzaʼa zwaɗuta na a wa. 
1CO.2.7	Tsa ɗifil mnə yu ya ná, ɗifla Lazglafta ya ta nzakway ka skwi si nda ɗifa kul nghaŋtá mnduha si ghalya ya. Ma kɗaku lu ka zlagəgiŋtá ghəŋa haɗik ná, fafa Lazglafta ŋa mba amu, ŋa ŋlamafta. 
1CO.2.8	Haɗ ya dər turtuk ma gwal dagaladagala ma na ghəŋa haɗik na, nda sna ta tsa ɗifil ya wa. Ka má nda sna həŋ katsi, má zləŋaf a həŋ ka dzata ta udza zləŋay ta Mghama glaku wa. 
1CO.2.9	Tsaw tsa skwi maga Lazglafta ya ná, nda nza manda ya nda vinda ma defteri ta mnay kazlay:
1CO.2.9	Skwi ya ta kul nghaŋtá ira mnduha,
1CO.2.9	nda ya ta kul snaŋtá mnduha nda sləməŋa taŋ,
1CO.2.9	nda ya ta kul ndanaŋtá mnduha ma ghəŋa taŋ ya,
1CO.2.9	skwi payaf Lazglafta ŋa gwal ta ɗvuta
1CO.2.10	Ŋa aŋni maraŋnaŋta Lazglafta ta tsa skwi ya nda ma Sulkumani. Sulkum ná, nda sna ta inda skwi, nduk nda kɗavakta skwi ma ndana Lazglafta. 
1CO.2.11	Mnda səla ná, sulkumani yeya nda sna ta kɗavakta skwi ma tsatsi. Manda tsaya Sulkuma Lazglafta guli ná, tsatsi yeya nda sna ta kɗavakta skwi ta nghanatá Lazglafta. 
1CO.2.12	Amu ná, Sulkuma na ghəŋa haɗik na a mutsaf amu wu, Sulkum daga da Lazglafta ŋa amu ta mutsafta. Vlamavla Lazglafta ŋa snaŋta mu ta inda skwiha vlama tsi nda zɗakatahuɗani. 
1CO.2.13	Ta mnə aŋni ta tsa skwiha ya ŋa mnduha ná, nda ɗifla mnduha ma ghəŋa haɗik a wu, nda ɗifil ya ta taghə Sulkuma Lazglafta ta tagha aŋni. Mantsa ya kəl ŋni ka tsislanaptá inda skwiha ta sagha da Sulkum ŋa gwal nda tsa Sulkum ya.
1CO.2.14	Mndu ya kul haɗ Sulkuma Lazglafta ma tsatsi ná, tsuʼa a ta skwiha ya ta taghə tsa Sulkum ya wa. Manda tsaɓaku ta sna tsatsi ta tsaha ya, laviŋ a vani ta snaŋta wu kabga nda Sulkuma Lazglafta ta laviŋta lu ta galay. 
1CO.2.15	Mndu nda Sulkuma Lazglafta ma tsatsi ná, laviŋlava ta gala inda skwi. Tsatsi ya tama, haɗ sana mnduha dzaʼa laviŋta galaptá tsatsi wa. 
1CO.2.16	Manda va ya nda vinda ma defteri ta mnay kazlay:
1CO.2.16	Waya nda sna ta ndana Mgham na?
1CO.2.16	Waya ta laviŋta vlaŋtá hiɗaku
1CO.2.16	Ama aŋni, ndanu manda ŋa Kristi ŋa aŋni ta ndanay.
1CO.3.1	Ka vərɗani ka lu mnay katsi zwanama ɗa ná, ma tsa fitika nzakwa ɗa da kaghuni ya ná, manda mna gwaɗa ŋa gwal nda Sulkuma Lazglafta ma həŋ a mna yu ta gwaɗa ŋa ghuni wu, manda mna gwaɗa ŋa mnduha ma ghəŋa haɗik mna yu, kabga si ta ka zwani kuni ma zlghafta ghuni ta Kristi nda ŋuɗuf. 
1CO.3.2	Uʼa ya vlaghuna yu, ɗafa a wu, kabga laviŋ a kuni ta ŋafta wa. Dər ndanana na ná, laviŋ a kuni ta ŋafta wu, 
1CO.3.3	kabga manda nzakwa mnduha ma ghəŋa haɗik tata nzakwa kuni ta nzaku. Ka si tata draku kuni, tata zlərɗawi kuni mataba ghuni katsi ya ní, nzaku manda ŋa mnduha ma ghəŋa haɗik a ta nzaku kuni nda tsa ra? Manda ŋa taŋ tata nzakwa kuni. 
1CO.3.4	Ka si «ŋa Pwal aŋni,» ka sanlaha, «ŋa Apwalus aŋni,» ka sanlaha ka kuni ta mnay mataba ghuni ya ní, ta manda nzakwa hamata mnduha a kuni nda tsa ra?
1CO.3.5	Wa Apwalus, wa Pwal na? gwal ksanatá slna ta Lazglafta ŋni his his, ghunaf tsi ŋa mnaghunatá gwaɗa ŋa zlghafta ghuni ta Kristi. Ta magay dər wati ma aŋni ta slna Mgham Yesu manda ya vlaŋna tsi. 
1CO.3.6	Sləgafsləga iʼi, ka tiŋtá Apwalus ta imi distani. Lazglafta ta ɗyay ka gəlay. 
1CO.3.7	Daga mndu ta sləgay tani, daga mndu ta ta imi distani tani, sana skwi a hahəŋ wa. Lazglafta turtukwani ta ɗyay ka gəlay. 
1CO.3.8	Ka skwa turtuk mndu ta sləgafta nda mndu ta tatiŋtá imi. Dər wa dzaʼa mutsay ta nisəlani taɓta slna ya maga tsi da Lazglafta. 
1CO.3.9	Nda gwa aŋni ma slna Lazglafta. Nda nza kaghuni manda vwaha Lazglafta.
1CO.3.9	Manda həga Lazglafta nzakwa ghuni guli. 
1CO.3.10	Zɗiɗiŋzɗa Lazglafta ta huɗi ka thatá yu ta tughwani manda vərɗa mnda ba həga, ka lagha sani bay ta ghəŋani. Ɗaswa ka mndu dzaʼa bay ta ghəŋani tama. 
1CO.3.11	Ya nda ghada thatá tughwani ya. Tsa dughwaŋani ya ná, Yesu Kristi ya, haɗ sana tughwa həga dzaʼa thəglafta lu wa. 
1CO.3.12	Ta tsa tughwa həga ya ná, ta bə nda dzindar sanlaha, nda kufur ŋa sanlaha, nda pala ŋa sanlaha, nda udzu ŋa sanlaha, nda sləka ŋa sanlaha, nda dzuma ŋa sanlaha. 
1CO.3.13	Baɗu tsay Lazglafta ta guma dzaʼa saba dər wa ta daɓi kabga vu dzaʼa galay. 
1CO.3.14	Ka driŋ a vu ta slna tsa mndu ta tughwani ya wu katsi, dzaʼa mutsay ta nisəlani. 
1CO.3.15	Ka driŋdra vu ta slna tsa mndu ya, mutsafta a ta nisəla wa. Tsatsi, dzaʼa mbafmba ŋa nzakwani manda sumbun.
1CO.3.16	Sna a kuni ka mnay kazlay: Həga Lazglafta ta nzaku Sulkuma Lazglafta mida kuni kəʼa ra? 
1CO.3.17	Ka ɓadziŋɓadza mndu ta həga Lazglafta ná, dzaʼa ɓadziŋ ɓadza Lazglafta ta tsatsi guli, kabga nda ghuɓa həga Lazglafta. Tsa həga ya ná, kaghuni ya.
