MAT.1.2	Burahemu wamuzhala Isaka. Isaka akimuzhala Jakobu. Jakobu akimuzhala Juda na nduguze a kilume. 
ACT.10.23	Bai P'et'ero akiakaribisha mangire mo nyumbani na akiap'a ndazi.
ACT.10.23	Siku ya hiriye P'et'ero wadziondzola-ondzola na achenda na aryahu at'u. Ndugu angine kula Jopa nao makwenda pia. 
ACT.10.24	K'uzhona zho siku ya hiriye makifika Kaisaria. Naye Korinelio were anaathariza. Korinelio wakala adzaaiha hamwenga o amanyie, na o asenae a kurya na kuusa. 
ACT.10.25	Vikara P'et'ero arihokala anangira mo nyumbani, ye Korinelio wamudhana na akimupigira mavindi kumuvoya. 
ACT.10.26	Ela P'et'ero akimwamba, “Hedu ungarara! Mimi ni mwanadamu thu.”
ACT.10.27	Bai P'et'ero achangira mo ndani kuno ananena na ye Korinelio. Mumo ndani akithekeza mu thele at'u. 
ACT.10.28	P'et'ero akiamba, “Ninwi enye munamanya kukala Sheria yehu siswi Ayahudi k'aihuruhusu kugwirana na mut'u ariye si Muyahudi, hedu hatha kumutsemberera. Ela bai Mulungu adzananyesa kukala nisiambe mut'u yoyosi ni mukolo here sheria yehu iambazho. 
ACT.10.29	Ndosa nirihoifwa sikahalire, nidzire. Vikara namala niuze, were munanihirani?”
ACT.10.31	akiamba, ‘Korinelio! Go mavoyogo gadzasikirwa ni Mulungu na zho vit'u up'azho akiya adzavikumbukira. 
ACT.10.32	Bai huma at'u mende ko Jopa makamwihe ye Simoni, aifwaye P'et'ero. Mut'u iye ni mujeni wa Simoni yuyahu fundhi wa k'ingo ambaye anatoa k'anda-k'anda za bahari.’ 
ACT.10.33	K'uzhona zho haho henye, nikihuma at'u madze kwako mara mwenga, nawe bai udzahendat'o kudza. H'aya bai, vivi hosi fu haha mbere za Mulungu husikire gosini ambago walagizwa ni Bwana ufwambire.”
ACT.10.35	Ela iye anahokera at'u osi kula kahi za kila lukolo ambao manamwagoha iye na manahenda go gav̱iryago. 
ACT.10.36	Bai uu ndo uv̱oro ambawo ye Mulungu wauhuma kwa at'u a Iziraeli, naye wauhuma ili aambire Uv̱oro Udzo wa dheri kukirira kwa Jesu Masihi ariye ni Bwana wa at'u osi. 
ACT.10.37	Ninwi munamanya go garigokala kahi za Judea ndzima, na maut'u gago gaandza Galilaya bada ya uryahu ubat'izo uriwohubiriwa ni Johana. 
ACT.10.38	Nanwi munamanya viryahu ambazho ye Mulungu wamudzaza Roho Mweri na akimudzaza nguvu ye Jesu wa Nazareth'i. Naye Jesu bai wakwenda kuno na kuno kuhenda madzo, na kuahoza o at'u osi mariokala ma ts'ini za nguvu za Shethani. Jesu wahenda vivi kwa kukala ye Mulungu were a hamwenga naye.
ACT.10.40	Ela Mulungu akimufufula siku ya hahu na akimuhendya aonekane. 
ACT.10.41	Naye k'aonewerwe ni at'u osi bule, ela waonewa ni aryahu mashahidhi mario were matsagulwa kare kimbere ni Mulungu, nao ndo siswi furiorya na kunwa naye bada ya kufufuka kula kifwani. 
ACT.10.42	Iye wahulagiza fuahubiri o at'u na fwamboze ushahidhi kukala iye Jesu nde ariyetsagulwa ni Mulungu akale jaji wa ao mario moyo na ao mariofwa. 
ACT.10.43	Na ao manabii osi bai manamboza ushahidhi dzuluze, kukala kila mut'u amukuluhiraye iye, bai mut'u iye andasamehewa dambize kukirira na ro dzinare iye Jesu.”
ACT.10.45	Vikara aryahu Amasihia a Kiyahudi mariokala madzire na P'et'ero kula Jopa mangalala kuona cho kipawa cha Roho Mweri kidzahokerwa hatha ni at'u mario si Ayahudi. 
ACT.10.46	Kwani maasikira mananena na luga
ACT.10.46	Ndo P'et'ero akiamba, 
ACT.10.47	“Vidze hana mut'u adimaye kuaziza at'u ano masibat'izwe na madzi? Kwani madzamuhokera ye Roho Mweri dza here siswi hurizhomuhokera.” 
ACT.10.48	Kwa vizho bai, P'et'ero akilagiza mabat'izwe kahi za dzina ra Jesu Masihi. Badaye o at'u makimuvoya P'et'ero akale kuko kwa siku za kuthala, naye akihenda vizho.
ACT.11.1	Bai aryahu ahumwi na o ndugu mariokala kahi za Judea ndzima, masikira kukala aryahu at'u mario si Ayahudi mahokera neno ra Mulungu nao. 
ACT.11.2	Kwa vizho P'et'ero arihombuka ko Jerusalemu, aryahu Amasihia mariokala manamala kuangiza lwembeni o Amasihia mario si Ayahudi, makwatya kumwangirira. 
ACT.11.3	Makimwamba, “Uwe wakwendangira nyumba za at'u mario si Ayahudi na mario k'amadzangizwa lwembeni, ukirya nao.”
ACT.11.4	Ndo P'et'ero akikwatya kunena, akiadondolera kila kit'u lwazu-lwazu here maut'u garizhohendeka kula chaho. 
ACT.11.5	Akiamba, “Mut'u mimi were ni kahi za mudzi wa Jopa navoya, bai nikiona maono. Kahi za go maono nikiona kit'u here riguwo rinatharamushwa kula mulunguni. Riguwo riri were ridzagwirwa yo mitsaye mine, bai rikithima ho nirihokala. 
ACT.11.6	Nirihotsungurira mo ndani nikiona nyama a magulu mane, a tsakani, mahambalao ts'i na unyama wa kubururuka. 
ACT.11.7	Gonya nikisikira sauthi ikiamba, ‘Ungarara P'et'ero, utsindze urye.’ 
ACT.11.8	Nikidzigidzya nikiamba, ‘Hatha bule Bwana! Mo kanwani mwangu be k'amudzangira kit'u chochosi kiricho kulengana na sheria ya Kiyahudi ni kikolo.’ 
ACT.11.9	Bai iyo sauthi ikinena kaheri kula mulunguni ikiamba, ‘Usihale kit'u kidzichotsuswa ni Mulungu ukachamba ni kikolo.’ 
ACT.11.10	Ut'u uu be wahendeka hatha k'ana t'ahu gonya vivi ro riguwo rikivufwa kuuya mulunguni kaheri.
ACT.11.11	“Na wakathi uwo wenye, poo, anaalume ahahu mariokala madzahumwa kwangu kula Kaisaria makidza kahi za yo nyumba niriyokala ninakala. 
ACT.11.12	Bai Roho Mweri akinambira nende hamwenga nao hasiho kisoi. Bai nikiahala ndugu ahandahu na fuchenda hamwenga na huchangira kahi za nyumba ya mut'u aifwaye Korinelio. 
ACT.11.13	Hurihongira, ye mut'u akifuthalira viryahu arizhombolerwa ni malaika mo nyumbani mwakwe na akimwamba, ‘Huma mut'u ende Jopa akamwihe Simoni ariye pia anaifwa P'et'ero. 
ACT.11.14	Iye P'et'ero nde andiyekwambira maneno gandigokwokola uwe hamwenga na nyumbayo yosi.’
ACT.11.16	Ndo nikikumbukira garyahu arigoamba Bwana kukala, ‘Johana wabat'iza at'u kwa madzi, ela ninwi mundabat'izwa kwa Roho Mweri.’ 
ACT.11.17	Vikara vikikala Mulungu waap'a kigerwa kicho ambacho ndo kicho hurichogerwa siswi hurihomukuluhira Bwana Jesu Masihi. Bai mino were ni h'ani, hatha nijeze kumuziza Mulungu?”
ACT.11.20	Ela bai angine kahi zao, mariokala manambola kisiwa cha Kuporo na K'irene, marihofika Anitiokia makwendakwacha kuahubiri o Ayunani kuko nako. Mahubiri Uv̱oro Udzo wa Bwana Jesu. 
ACT.11.21	Bai nguvu za Mulungu zere zi hamwenga nao, na at'u anji makikuluhira na makimugalukira Mulungu.
ACT.11.22	K'uzhona zho uv̱oro uu ukirifikira ro kanisa ko Jerusalemu, bai makimuhuma Barinaba ende ko Anitiokia. 
ACT.11.23	K'uzhona, Barinaba arihofika kuko na kuona viryahu ambazho Mulungu wakala adzaahasa, wafwahirwa na akiangiza moyo osini ili maenderere kumukuluhira Bwana na mioyo yao yosi. 
ACT.11.24	Barinaba were ni mut'u mudzo ariyedzalwa ni Roho Mweri na ariyekala na kuluhiro bomu. Bai at'u anji marefwa kwa Bwana.
ACT.11.26	Bai Barinaba arihomona Sauli makudza osi muhaka Anitiokia. Nao kwa mwaka muzima, makala makithunganana na ro kanisa kuko na kidza mafundisha at'u anji sana kuko. Kuko Anitiokia ndiko ambako o anafundzi a Jesu maandza kuifwa Amasihia kwa mara ya kwandza kamare.
ACT.11.28	Mumwenga wao were anaifwa Agabo. Agabo waungarara na kwa nguvu za Roho akinena kimbere kukala kundakudza ndzala ya kitai kahi za urumwengu muzima. (Ndzala ii yakudza jeri wakathi wa kuthawala kwa Kilaudio.) 
ACT.11.29	Bai o ndugu makipanga kukala kila mumwenga wao kulengana na wadimiwe amboze musadha kwa o anafundzi andziyao ko Judea. 
ACT.11.30	Nazho ndo marizhohenda. Mahirika yo mitsango yao kwa o azee a kanisa ko Judea kukirira kwa Barinaba na Sauli.
ACT.12.1	Vikara kahi za wakathi uu, muthawali Herode wakwatya kuatesa angine kahi za ro kanisa. 
ACT.12.2	Wamwalaga Jakobu nduguye Johana kwa mushu. 
ACT.12.3	Bai arihoona kukala ut'u uu unaafwahiza o Ayahudi, wamugwira P'et'ero naye. Maut'u gaga gahendeka wakathi uryahu wa sikuk'uu ya Mikahe Iso Ts'ats'u. 
ACT.12.4	Vikara arihomugwira P'et'ero, wamuhala na akimusindikira jela na akilagiza arindwe ni makundi mane ga shikari ane-ane. Herode were adzapanga amwamboze ndze ajibu k'esi mbere za at'u bada ya sherehe ya P'asaka. 
ACT.12.5	Kwa vizho akithuwa kuikwa mo jela, ela ro kanisa bai rikimuvoya Mulungu kwa chadi dzuluze.
ACT.12.6	Bai usiku uryahu wa kulalira siku ambayo Herode were andamwamboza ajibu k'esi, P'et'ero were arere kahikahi, kuno ni shikari na kuno ni shikari. Naye were adzafungwa minyororo miri, na kuko ndze ya muryango were kuna shikari. 
ACT.12.7	Bai lola malaika wa Bwana achambola, na wo mulangazawe uking'ala mo chumbani. Ye malaika akimupiga-piga mo lwavuni ye P'et'ero akimulamusa. Akimwamba, “Uka mara mwenga!” Na lola yo minyororo potho, ikigwa kula mo mikononi mwakwe. 
ACT.12.8	Gonya ye malaika akimwamba, “Dzifunge wo ukandao na uvale zho virahuzho.” H'aya P'et'ero akihenda vizho. Ye malaika akimwamba, “H'aya dzikut'e ro ambaro na unithuwe.” 
ACT.12.9	K'uzhona zho P'et'ero akimuthuwa ye malaika kwombola ndze ya yo jela, ela ko k'amanyire kala zho arizhokala anahenda ye malaika ni zha jeri, kwani hatha waona here kwamba anaona maono beye. 
ACT.12.10	Bai ndoo vivii, hatha makikira cho kikundi cha kwandza na cha hiri cha o shikari na machambolera wo muryango wa chuma ambawo ndo wa kwangirira mo mudzini. Marihofika haho, wo muryango ukihenda kuvuguka wenye na makimbola. Vikara marihonenda kahi za barabara mwenga, lola ye malaika akimwangamika.
ACT.12.11	Ndo P'et'ero akitsundzulukwa na akinena kimoyo-moyo akiamba, “Vivi namanya ni jeri kukala Bwana adzahuma malaikawe akadzanamboza magandzani mwa Herode na gosi marigo o Ayahudi were madzapanga kunihendera.”
ACT.12.13	P'et'ero akibisha na wo muryango wa ko ndze, na hachambola musichana mumwenga aifwaye Roda ariye were ni muhendzi wa kazi wa mo nyumbani, bai achenda ili akamuvugulire. 
ACT.12.14	K'uzhona zho arihomanya kukala wo mumiro ni wa P'et'ero, wadzalwa ni raha ut'u wa kwangalaza hatha akiuya malo hasiho kuusundula wo muryango, achendaamba, “Ni P'et'ero benwi!” O at'u marihosikira vizho makimudzigidzya makiamba, 
ACT.12.15	“Una vilalu uwe.” Ela arihosita kuamba ni P'et'ero, o at'u makiamba, “Iye ni malaikawe.”
ACT.12.16	Wakathi uwo P'et'ero were anabisha thu, bai marihosundula wo muryango na kumona, mangalala kamare. 
ACT.12.17	P'et'ero akiavungira mukono manyamale, gonya akiathalira viryahu Bwana arizhomwamboza ko jela. Badaye akiamba, “Ambireni Jakobu na o ndugu angine dzulu za maut'u gaga.” Gonya akiuka achenda kut'u kungine. 
ACT.12.18	K'uzhona zho kurihocha, o shikari mabudzyika sana. Makiuzana-uzana na kuamba, “Vino be akale ye P'et'ero adzakwendahi?” 
ACT.12.19	Bai Herode akilagiza P'et'ero amalwe hatha apatikane, ela bai k'amamonere bule. K'uzhona zho Herode akiauza-uza maswali o arindzi gonya akilagiza manyongwe. Bada ya gaga Herode wauka Judea na akitharamuka kwenda Kaisaria na akikala kuko siku za kuthala.
ACT.12.20	Herode were ana k'ondo na at'u a Tiro na Sidoni. K'uzhona zho o at'u makiungana na machendamona. Nao were mamwangola-ngola Bulasito ariye were ni muhumiki adziyekuluhirwa ni ye muthawali, hatha akikira upande wao. Bai makwendamala dheri na Herode, kwani chakurya chao ao at'u a Tiro na Sidoni were kimbola ko Herode arikokala anathawala.
ACT.12.21	Bai yo mbadha mariyoikana irihofika, Herode wakelesi kahi za kihiche cha endzi kuno adzakot'ea go mavwaloge ga kithawali, bai akikwatya kuahutubia o at'u. 
ACT.12.22	Marihosikira yo hotubaye, makipiga njerejere makiamba, “Ii be ni sauthi ya mulungu kamare, si ya mwanadamu hatha.” 
ACT.12.23	Haho henye malaika wa Bwana, akimwakasha, naye akiriwa ni minyolo akifwa, mana k'amup'ire nguma Mulungu.
ACT.13.2	Vikara marihokala makumuvoyani Bwana na kufunga, ye Roho Mweri waamba, “Nithengerani k'anda Barinaba na Sauli kwa ut'u wa yo kazi niriyoaihira.” 
ACT.13.3	Kwa vizho marihokala madzafunga na kuvoya maaikira mikono gonya makiamboza machenda.
ACT.13.5	Marihofika Kuporo mangira mudzi wa Salami, makihubiri neno ra Mulungu kahi za go masinagogi ga Ayahudi kuko. Johana Mariko were a hamwenga nao dza here mut'u wa kuaviza-viza.
ACT.13.6	Bai Barinaba na Sauli makwenda kuno na kuno kahi za cho kisiwa hatha makifika P'afo, kuko P'afo makimona muganga mumwenga wa Kiyahudi aifwaye Bari-Jesu. Mut'u yuyu were ni nabii wa ulongo, 
ACT.13.7	kidza were anaelewana na luwali Serigio P'aulo. Serigio P'aulo were ni mut'u wa akili sana. Bai ye luwali akilagiza Barinaba na Sauli mende ko kwakwe mana were mana haja na kusikira neno ra Mulungu. 
ACT.13.8	Ela bai yuyahu muganga, ariye dzinare kwa Kiyunani ni Eluma, akiaikira vikwazo na akijeza kumugaluza ye luwali ili asikuluhire. 
ACT.13.9	Ndo Sauli, ambaye pia were anaifwa P'aulo, akimuthema dzitso ye Eluma kuno athele Roho Mweri, akimwamba, 
ACT.13.10	“Uwe u mwana wa Shethani na u hadhui wa kila kit'u kiricho karakara! U thele kila samupuli ya ukengi na ujanja na unajeza kuuhala ujeri wa Bwana na kuuhendya ulongo. 
ACT.13.11	H'aya bai, lola mukono wa Bwana u dzuluzo, nawe vivi undakala kipofu kwa muda na k'undaona mulangaza wowosi.” Naye haho henye matsoge gachangira kunje na kiza, naye akikala ni wa zuzuru-zuzuru kumala mut'u amugwire mukono amutsetseze. 
ACT.13.12	K'uzhona zho ye luwali arihoona gago garigokala gadzahendeka, wakuluhira na achangalazwa ni go mafundisho dzulu za Bwana Jesu.
ACT.13.14	H'aya makiuka kula P'eriga na machenda kut'u kuriko kunaifwa Anitiokia kahi za ts'i ya P'isidia. Bai siku ya Sabato irihofika machangira kahi za sinagogi makikeresi. 
ACT.13.15	Bai hachambola mut'u akishoma Maoro kula kahi za Sheria ya Musa na kula kahi za Maoro ga manabii. Gonya aryahu abomu a ro sinagogi makihuma mut'u achendaambira o ani P'aulo vivi, “Ndugu, chamba muna neno rorosi rindiroangiza nguvu aa at'u be hunamuvoya murinene.” 
ACT.13.16	Ndo P'aulo akirungarara akiavungira mukono ili mamusirikize, akiamba, “H'enwi at'u a Iziraeli na ninwi nyosi murio k'amu Ayahudi, ela munamwogoha Mulungu, nisirikizani hedu! 
ACT.13.17	Iye Mulungu wa at'u a Iziraeli waatsagula o akare ehu na akiahendya makikala taifa bomu kahi za kuishi kwao ko Misiri, kidza akiamboza kula kahi za ts'i iyo kwa nguvuze nyinji, 
ACT.13.18	na akiavumirira kwa miaka mirongo mine ko nyika. 
ACT.13.19	Iye Mulungu vizho, akiganonga makabila mafungahe ga at'u mariokala manatoa kahi za ts'i ya K'anani na akihala yo ts'i yao akianosa at'ue ikale yao. 
ACT.13.20	Maut'u gaga gosi gahala miaka magana mane na mirongo mitsano, badaye Mulungu akitsagula at'u na akiahendya makale vilongozi na alamuli ao, bai zhakala vivi muhaka wakathi wa nabii Samueli. 
ACT.13.21	Bai badaye, o at'u mamala muthawali na Mulungu akiap'a Sauli mwana wa Kishi wa kula kahi za mbari ya Benjamini, naye Sauli wathawala miaka mirongo mine. 
ACT.13.22	H'aya, badaye Mulungu arihomufuta Sauli, wamutsagula Daudi na akimuhendya akale muthawali wao. Mulungu wanena dzulu za Daudi akiamba, ‘Nidzafwahirwa zhomu ni Daudi mwana wa Jese. Kwani nidzamona kukala andahenda kila kit'u nindichomwambira ahende.’ 
ACT.13.23	Bai kula kahi za lukolo lwa mut'u yuyu, Mulungu waarehera mwokoli Jesu o Aiziraeli here arizhokala walaga. 
ACT.13.24	Ela kabila Jesu k'adzaandza kaziye, Johana wahubiri kwa o Aiziraeli osi dzulu za kuthubu na kubat'izwa. 
ACT.13.25	Naye Johana arihokala akumarigizani kaziye, waamba, ‘Vidze munaelelya kukala mino ni h'ani? Bai mimi si iye mumutharizaye, ela lolani, kuna mut'u andiyekudza nyuma zangu ambaye sifika hatha mut'u wa kumuvula virahu.’ ”
ACT.13.26	P'aulo akienderera kunena akiamba, “Ndugu zangu, ana a Burahemu, na ninwi ambao k'amu Ayahudi ela munamwogoha Mulungu, uv̱oro uu wa wokolwi, k'aungadzire, ela wakudza kwa ut'u wa siswi. 
ACT.13.27	Ao at'u a Jerusalemu na athawali ao k'amamanyire kukala Jesu were nde mwokoli, ela marihokala madzamuhukumu kwalagwa makigathimiza garyahu maneno ga manabii gashomwago kila siku ya Sabato. 
ACT.13.28	Idzaho k'amadimire kupata ushahidhi wa kuthosha wa kumuhukumu kwalagwa, ao mamwamba P'ilato alagize alagwe vizho. 
ACT.13.29	Bai marihogonya kumuhendera garyahu garigoorwa kahi za Maoro dzuluze, mamuthinya kula ho musalabani machendamwangiza mbirani. 
ACT.13.30	Ela Mulungu akimufufula kula kifwani, 
ACT.13.31	naye akionewa siku nyinji zenye ni aryahu ariokala akisafiri nao kula Galilaya kwenda Jerusalemu, Bai at'u aa ndo mashahidhie kwa o at'u ehu.”
ACT.13.33	ambacho Mulungu adzakithimiza kwehu siswi ana, kwa kumufufula Jesu kula kifwani. Here zaburi ya hiri kahi za chuwo cha Zaburi iambazho kukala,
ACT.13.33	‘Uwe u Mwanangu,
ACT.13.33	mimi vivi rero nidzakala Babayo.’
ACT.13.34	‘Jeri wenye nindakuhasa
ACT.13.34	here nirizhomulaga Daudi kukala ningamuhasa.’
ACT.13.35	‘K'undamuricha ye muhumikio mueri aole.’ ”
ACT.13.37	Ela iye ariyefufulwa ni Mulungu kula kifwani k'aolere bule. 
ACT.13.38+ACT.13.39	Kwa vizho ndugu zangu, namala mumanye kukala ninwi munaambirizwa dzulu za musamaha wa dambi kukirira kwa Jesu. Kukirira kwa iye bai, kila mut'u akuluhiraye anahendywa muhachi kula kwa garyahu ambago were Sheria ya Musa k'aidima kumuhendya muhachi. 
ACT.13.40	H'aya dzimanyirireni bai, ili garyahu garigoorwa kahi za chuwo cha manabii gasimupate bule. 
ACT.13.41	Nago ganaamba vivi:
ACT.13.41	‘Lolani nwi at'u a zarau,
ACT.13.41	makani na mwangamike.
ACT.13.41	Mana mimi nindahenda kit'u kahi za wakathi wenu,
ACT.13.41	ut'u uriwo k'amundaukuluhira kamare,
ACT.13.41	hatha mukaelezwa kidza ni bule.’ ”
ACT.13.42	Vikara P'aulo na Barinaba marihokala makumbolani mo sinagogini, o at'u maambira o ani P'aulo madze kaheri kahi za yo siku ya Sabato idzayo ili madze manene zaidhi dzulu za gago maut'u marigokala madzaganena kare. 
ACT.13.43	Bai uryahu muthunganano urihokala unafumukana, P'aulo na Barinaba mathuwiwa ni Ayahudi anji na at'u angine anji mario were manathuwa dini ya Kiyahudi, bai o ani P'aulo masumurira na at'u na makiakokot'era ili makaze kuremera wo udzo wa Mulungu.
ACT.13.45	Ela o Ayahudi marihoona ro thele ra at'u, madzalwa ni wivu na makikwatya kunena mai dzulu za go arigokala P'aulo ananena, makimuhukana-hukana. 
ACT.13.46	Ndo P'aulo na Barinaba makiadzigidzya hasiho woga makiamba, “At'u siswi were k'avina budhi fuandze kumwambira neno ra Mulungu ninwi kwandza, ela kwa kukala munarikahala na k'amudziona kukala munav̱irya mupate uzima wa kare na kare, lolani funamuricha na hunenda kwa o at'u mario si Ayahudi. 
ACT.13.47	Mana vizho ndizho Bwana arizhofulagiza, akiamba,
ACT.13.47	‘Nidzakuhenda ukale mulangaza kwa o at'u mario si Ayahudi,
ACT.13.47	ili uwe urehe wokolwi kahi za urumwengu muzima.’ ”
ACT.13.50	Ela o Ayahudi makiavuga akili aryahu ano m'ama mariokala manamwagoha Mulungu na manaishimiwa sana, na makiavuga akili aryahu anaalume mario ni abomu kahi za mudzi uwo, na makikwatya kuatesa o ani P'aulo na Barinaba na makiainga kula kahi za jimbo rao. 
ACT.13.51	Aryahu ani P'aulo bai makikut'a-kut'a ro vumbi ra maguluni mwao here onyo kwao, gonya makiuka machenda Ikonio. 
ACT.13.52	Na o anafundzi makikala mana raha sana na makidzalwa ni Roho Mweri.
ACT.14.2	Ela aryahu Ayahudi mario k'amakuluhirire, maavuga akili aryahu at'u mario si Ayahudi ili makale kinyume cha o ndugu. 
ACT.14.3	Bai P'aulo na Barinaba makala kut'u kuko kwa muda mure wenye kuhubiri dzulu za Bwana hasiho woga. Ye Bwana akinyesa kukala wo uv̱oro wa nemaye ni wa jeri, kwa kuap'a nguvu za kuhenda miujiza na maut'u ga kwangalaza.
ACT.14.4	Bai ro kundi ra at'u kahi za mudzi uwo rikigazhika, kabadhi kakikala upande wa aryahu Ayahudi, na kabadhi kangine kakikala upande wa aryahu ahumwi. 
ACT.14.5	Mwishowe aryahu at'u mario si Ayahudi na o Ayahudi hamwenga na vilongozi, makitsila njama ya kuahenda kit'u kii o ahumwi. Mana were madzapanga maakot'e mawe. 
ACT.14.6	K'uzhona zho o ahumwi makivigundua na makichimbira kwenda kahi za midzi ya Lukaonia ambayo ni Lusitera na Deribe, kidza machenda hatha kahi za go malalo gadzigoizunguluka yo midzi iyo. 
ACT.14.7	Marihokala ma kuko, bai maenderera kuhubiri wo Uv̱oro Udzo wa Mulungu.
ACT.14.9	Vikara akikelesi akimusirikiza P'aulo ananena. Bai P'aulo akimuthema dzitso ye kidende na akimona kukala anakuluhira kukala andahozwa, 
ACT.14.10	Kwa vizho akinena naye kwa sauthi ya dzulu akimwamba, “H'aya ungarara na magulugo!” Haho henye ye mut'u akiguluka na akikwatya kwanenda. 
ACT.14.11	K'uzhona zho, ro kundi ra at'u ririhoona vizho arizhokala P'aulo adzahenda, mapiga k'ululu kahi za luga yao ya Kilukaonia na kuamba, “Milungu idzathima kwehu kwa umbo ra anadamu benwi!” 
ACT.14.12	Bai Barinaba makimwamba nde Zeusi,
ACT.14.13	Ye mulombi wa Zeusi, ambaye hekalure were ri ko ndze ya wo mudzi, akidza na ndzao za ng'ombe na viremba zha maluwa muhaka ho muryango wa kwangirira mo mudzini. Iye hamwenga na ro kundi ra at'u were manamala kuambozera sadaka o ahumwi.
ACT.14.14	Ela Barinaba na P'aulo marihosikira maut'u gaga, mahala zo nguwo zao makizitharura kunyesa kukala zho at'u marizhokala mananena na kuhenda were k'aviafwaha kamare. Nao lola mauka malo muhaka mo kundini kuno manaamba, 
ACT.14.15	“Asena, kwanoni munahenda kit'u dza kino? Siswi naswi be fu at'u thu, fu binadamu dza here ninwi. Siswi fudzamurehera Uv̱oro Udzo, hudzire humwambire muriche kuhasa vit'u vivi visizho mana na mumugalukire Mulungu ariye moyo, na ariyeumba dzulu na ts'i na bahari na zhosini virizho mumo. 
ACT.14.16	Haho kapindi, iye Mulungu, waaricha at'u osi mathuwe maut'u gao genye. 
ACT.14.17	Ela hamwenga na vizho k'arichire kudzambozera ushahidhi wa kukala a kuko. Iye Mulungu anamup'a v̱ula kula dzulu na anamup'a vilimo vidzo, iye vizho anamugera chakurya kinji na anayadzaza mioyo yenu raha.” 
ACT.14.18	Na lola hatha bada ya maneno gaga kidza zhakala vikomu kwa P'aulo na Barinaba kuzulia ro kundi risiambozere sadaka.
ACT.14.20	Ela o anafundzi marihomukundzumanyikira, waungarara na akiuya kaheri mo mudzini. Bai siku ya hiriye, iye na Barinaba mauka na machenda Deribe.
ACT.14.21	Bai P'aulo na Barinaba mahubiri wo Uv̱oro Udzo kuko Deribe na at'u anji enye makimukuluhira Jesu. Badaye makiuya ko Lusitera, Ikonio na Anitiokia, 
ACT.14.22	kuno manaangiza nguvu na kuap'a moyo o anafundzi ili maenderere kutoa kahi za ro kuluhiro. Makiamba, “Ko kwangira kahi za uthawali wa Mulungu, be suthi fukirire shidha nyinji zenye.” 
ACT.14.23	Bai kahi za wakathi uwo vizho, P'aulo na Barinaba matsagula azee kahi za kila kanisa, na kwa kufunga na kuvoya, makiaika mbere za ye Bwana mariyemukuluhira.
ACT.14.24	Kigonya o ahumwi makikira na jimbo ra P'isidia na makifika P'amufulia. 
ACT.14.25	Bai kuko P'amufulia mahubiri ro neno ra Mulungu kahi za mudzi wa P'eriga ndo makitharamuka machenda Atalia. 
ACT.14.26	Kuko Atalia machangira chomboni na makidziuja Anitiokia ambako ndo marikovoyerwa ho chaho kwamba Mulungu aaonere mbazi na aavize kahi za yo kazi ambayo were ndo vivi madzaimarigiza. 
ACT.14.27	Bai marihofika kuko, marikusanya hamwenga ro kanisa na makithala kila kit'u ambacho ye Mulungu wakihenda kukirira kwa ao, na makithala viryahu ambazho Mulungu wavugula muryango na o at'u mario si Ayahudi makikuluhira. 
ACT.14.28	Nao bai o ani P'aulo makala kuko na o anafundzi kwa muda mure wenye.
ACT.15.2	K'uzhona zho kit'u kiki kindaahenda P'aulo na Barinaba manenezane na aa at'u jeri-jeri. Mwishowe vikionewa kukala baha P'aulo na Barinaba magwirane na ndugu angine na mambuke kwenda Jerusalemu kwendaauza mashauri o ahumwi na o azee a kanisa dzulu za kit'u kiki cha kwangizwa lwembeni. 
ACT.15.3	H'aya makihumwa ni ro kanisa, nao machenda. Kahi za charo chao, makira na Fonike na Samaria, kuko makiambira o at'u viryahu ambazho o at'u mario si Ayahudi mamugalukira Mulungu. Bai uv̱oro uu waahenda o ndugu mafurahi sana. 
ACT.15.4	Vikara marihofika Jerusalemu, makaribishwat'o ni ro kanisa, na o ahumwi na o azee a kanisa. Ndo makiadondolera kila kit'u ambacho Mulungu wakihenda kukirira kwa ao. 
ACT.15.5	Ela angine kahi za aryahu mariokuluhira na mario were ma kahi za chama cha Mafarisayo makiungarara makiamba, “At'u ao ni mangizwe lwembeni ndo maamuriwe kuithuwa yo Sheria ya Musa.”
ACT.15.6	Bai o ahumwi na o azee makiona baha maike mukut'ano na masumurire dzulu za kit'u kiki. 
ACT.15.7	Vikara kahi za mukut'ano uwo makudzasumurira kwa muda mure wenye hasiho kugwirana maneno, ndo P'et'ero akiungarara na akinena nao akiamba, “Ndugu zangu, ninwi munamanya kukala ho kapindi Mulungu wanitsagula kula kahi zenu ili niambirize Uv̱oro Udzo o at'u mario si Ayahudi, ili masikire na makuluhire. 
ACT.15.8	Na Mulungu amanyaye mioyo ya at'u, wanyesa kukala adzaahokera kwa kuap'a Roho Mweri dza here zho arizhohup'a siswi. 
ACT.15.9	Haho marihokuluhira, Mulungu waatsusa mioyo yao dza zho arizhofutsusa mioyo yehu wakathi furihomukuluhira. K'aambire ano mavino ano mavino. 
ACT.15.10	Vikara, mbona munamujeza Mulungu kwa kuahika o anafundzi muzigo uriwo waashinda o akare enu na siswi kuutsukula? 
ACT.15.11	Ela bai, hunakuluhira kukala siswi hunaokoka kwa mbazi za Bwana Jesu, karakara na ao.”
ACT.15.13	Bai marihotosa wo moro wao, Jakobu waungarara na akiamba, “Ndugu, nisirikizani hedu. 
ACT.15.14	Simoni
