PSA.2.1	Ango solian da no Dios no nasiones aya. Ango paro o aro a planohen da a abo so kayayawan. 
LUK.16.28	ta ari pa sa o dadima sa a kakakteh ko as ichakey ko an iyangay na sa patanggalen tapian di dana sa mangay do yanan koaya a pandidiwan.’ 
LUK.16.29	Amna vinata ni Abraham, ‘Tori o pinatolas da Moises kanira no profeta sa a logar a mapatanggal sira,’ 
LUK.16.30	amna vinata na, ‘Manawob ava ya mo ama Abraham, asna an mian o yapo do yanan nioaya a mayvidi a mapatanggal sira am manehseh sawri.’ 
LUK.16.31	Vatan sia ni Abraham, ‘An di da panganohdan o vinata da Moises kanira no profeta sira am nawri pa sava anti o panganohdan da o nangay dira a yapo dia.’”
LUK.17.1	Vinata ni Jesus do disipolos na saya, “Omhamo ava o kayan no pakayapoan no kadodog kano kapakagatos no tawo pero nawri o mangananawa so pamandan o tawo a pakayapoan da nia. 
LUK.17.2	As no akmaya sia tawo am mapipia an paypongan o lagaw na so rakoh a bato as kapagagtos sia do taaw as kano kapamarin na so kadodogan da no mametdeh pa saya. 
LUK.17.3	Makapatak kamo do parinyen nio. An somnada o kakteh nio am pasonongen nio sia as kapakabo nio sia an masolib a manehseh. 
LUK.17.4	An pangayen ta ta do asa karaw as naypipito kayan no pasolian na dimo am pakaboan mo so maypipito an nawri o iyahes na dimo o kapakabo mo dia do kapanehseh na.”
LUK.17.5	Vatan da sia no apostoles saya di Jesus, “Payparakohen mo pa mo Apo o saray namen.” 
LUK.17.6	Vatan sia dira ni Jesus, “An mian o saray nio a akma so dekey aya votoh am maparin nio a paydisen do mando nio o kayo aya a masapwat as kangay na a mamoha do taaw.
LUK.17.7	“An mian o pachirawatan nio a nawara a yapo a magarado anmana yapo a manidib do vinyay am payserbian nio paro sia a makavata sia, ‘Nyeng ka na mangay a koman’? 
LUK.17.8	Omba, ta no vatahen nio sia am, ‘Mananadi ka as kapayhanda mo niaken so oyaven ko tapian machitadi ka na anti an tayoka ako.’ 
LUK.17.9	Anmana yosad na paro pa pamahmahsan o pachirawatan naya do kaparin na so niyokoyokoran naya sia? Omba. 
LUK.17.10	Akma pa sia o kaparin nio, ta an napatongtong nio anti o atavo a niyokoyokoran ninio no Dios am no vatahen nio pa anti am, ‘Tod kami a pachirawatan as tod namen a pinarin o niyokoyokoran niamen.’”
LUK.17.11	Do kapaypakwan ni Jesus do Jerusalem am nanahan do payawan no Samaria kano Galilea, 
LUK.17.12	as do kasdep na do asa ka dekey a kavahayan am mian sa o minvayat sia a asapoho a ka madipad a makavawa sia, 
LUK.17.13	as katawatawag da a makavata sia, “Jesus a Apohen, ichasi mo pa yamen.” 
LUK.17.14	Do nakavoya na so kaparin daya am vinata na dira, “Iyangay nio a ipavoya o nakatova nio na dira do papali a sira so tay-anongen sia o komwan do ganit nioaya.” As do nakangay darana am napia sa atavo. 
LUK.17.15	Asna no asa aya dira do nakadidiw na so nakapia narana am nayvidi di Jesus a mapamato so boses na a omdaday so Dios, 
LUK.17.16	as kangay na domogod a komheb do kokod ni Jesus a mamahemahes sia. As no machitatarek do naparin aya am no tawo aya am asa ka Samaritano. 
LUK.17.17	Vatan sia ni Jesus do tawotawo sawri, “Asapoho paro sava a natova? Asna ara sa dino o sasiam sawri. 
LUK.17.18	Moyvoh paro o matarek aya so idi o mayvidi as masolib a mamahemahes do Dios?” 
LUK.17.19	Vatan na sia do natova aya a tayto pa domogod do salapan na, “Mayvangon ka as kangay mo na, ta makayamot do saray mo am tayto ka natova.”
LUK.17.20	Do nakahes da nia no Fariseo si Jesus an mango dana o kawara no paypatolan no Dios am vinata na, “No kasitnan no kapaypatol no Dios am pachirayayan ava no mapaparin a kavoyan sia. 
LUK.17.21	Anmana mavata ava o katayto na daw anmana diaya takwan no paypatolan aya no Dios am machipanghovok dinio.”
LUK.17.22	Vatan na sia dira do disipolos na sawri, “Mawara anti o tiempo a kaoyod nio a mahoho a makavoya so Naytawo aya so aran asa a karaw amna mavoya nioava anti ya. 
LUK.17.23	Mian sa anti o makavata sia dinio, ‘Tayto sia dawri,’ anmana ‘Tayto sia dongoriaw,’ amna onotan nio sava ya. 
LUK.17.24	Ta an kawara na anti am akma anti ya so kapaychichidat na a mayrayay so kavoyan sia do valogan kan do kadpidan. 
LUK.17.25	Amna no Naytawo aya am manma pa a mayparahan do pandidiwan as kano kaskeh da nia no tawotawo sichangoriaw. 
LUK.17.26	As no kaparin anti no tawo do kapayvidi no Naytawo aya am akma do tiempo ni Noe, 
LUK.17.27	ta nawri o nisanga da o adan da sa pariparinyen a akma so kakan da, kapaychaynoynom da as kano kapaychakovot da a abo so kapananggal do manam ori a delobio a manda do nakasdep ni Noe do arka ori as kawara no delobio awri a chinadimanan da. 
LUK.17.28	Akma pa anti ya do tiempo ni Lot, ta no tawotawo sa am parinyen da o sivog da sa pariparinyen a akma so kakan da, kapaychaynoynom da, kapanadiw, kapaydakaw, kapaymohamoha as kano kapayvahay da. 
LUK.17.29	Pero mawara dana o kakaro darana da Lot do Sodoma am natimoy no apoy kano makohat a bato a nia so chinadiman da atavo. 
LUK.17.30	Akma anti sia o kaparin no kadi makatanggalan so kapayvidi no Naytawo aya.
LUK.17.31	“As do araw awri anti am no kadi darana somavatan pa do vahay da no tori abo do vahay da anmana tori do takey do kaktokto da pa nia librien o kadwan do warawara da, 
LUK.17.32	as ari nio manakem o naparin do kakovot ori ni Lot. 
LUK.17.33	An sino o komita sia o tanyan na pakamian am payrarayawan na o viay na asna no ombo so viay na do ngaran no Dios am iya anti o makarawat so somnivog aya viay. 
LUK.17.34	Do ahep ori anti a kapayvidi no Naytawo aya am mian sa anti o dadwa a makaycheh as no asa am mahap anti as mavidin o asa. 
LUK.17.35	Mian sa anti o dadwa ka mavavakes a mangagiling as mahap anti o asa as mavidin anti o asa. [ 
LUK.17.36	Mian pa sa anti o dadwa ka mahahakay do takey. Mahap anti o asa as mavidin anti o asa.]” 
LUK.17.37	Ahsan da nia di Jesus, “Dino anti o kaparinyan na nia, mo Apo.” “Matalamad anti ya a akma so katalamad no kapanmo nio sia ta an dino yanan no nadiman a vinyay am dawri o kakpehan da no manomanok a koman sia,” kwana no tinbay sira ni Jesus.
LUK.18.1	Pinawnonong ni Jesus dira do disipolos naya o asa aya a ka parabola a inanawo sira a masolib a machahoahok as kadi da dispresioan. 
LUK.18.2	Vinata na, “Do asa ka kavahayan am mian o asa ka hoyis a di ninchad kano diamo no Dios kano tawo. 
LUK.18.3	Mian pa o asa ka makasiasi a bioda a di minhemhes a mangay do hoyis aya a makavata sia, ‘Torohan mo pa yaken so hostisia dira do omtetek aya diaken.’ 
LUK.18.4	Do kavayo nawri a mangangay sia no bioda aya am nisikaso nava o iyahes naya a sidong. Amna do kwanasaw am vinata na do aktokto na, ‘Aran abo o kamoamo ko no Dios anmana tawo, 
LUK.18.5	am makayamot do kafermi no bioda aya a omsaloval diaken am parinyen ko anti o iyahes naya, ta tarek a maypahara pa o kasaloval ko niaya an fermi paya mangay a machisiasi diaken.’” 
LUK.18.6	Vatan sia ni Jesus, “Tori nio nadngey o pinarin no hoyis aya a di ninchad kano diamo no Dios. 
LUK.18.7	Asna no Dios paro pava o di somidong sira so tawotawo na a tomawag dia do kararaw, as kano iya paro o mapasadisadit so kapanidong na? 
LUK.18.8	Vatahen ko ta makalo naynio a adngeyen as kagom na ninio. Asna an mawara anti o Naytawo aya am adasan na paro anti o tawo a masaray nia?”
LUK.18.9	Pinawnonong na pa o parabola aya dira do makamia nia o tanyan da mapaparin as kaparo da so kadwan. 
LUK.18.10	“Mian sa o dadwa ka tawo a nangay do templo a machahoahok. No asa aya am Fariseo as no asa aya am asa ka makagatogatosen as maparo a mangolekta no Roma. 
LUK.18.11	Naytetnek o Fariseo a maydasal a makavata sia, ‘Mamahemahes ako do Dios, ta akma akoava so kadwan a tawo a mangotangotap, makagatogatosen as mangadwan a akma so tawo aya daw. 
LUK.18.12	May-ayono ako pa so kadomidominggo as katoroh ko so kasapoho no kaynakman ko.’ 
LUK.18.13	Pero no maparo aya a mangolekta no Roma am naytetnek do mandichod na as katod na komheb a tomogtog so kalangangan na as kavata na sia, ‘Dios, ichasi mo yaken ta makagatogatosen ako.’” 
LUK.18.14	Vatan sia ni Jesus, “Vatahen ko dinio ta somnavat ya a chinapakaboan a dia akma so Fariseo ori, takwan an sino o mapamato so karakohan na am pamahbohen asna no mapamahbo so karakohan na am iya o pamatohen.”
LUK.18.15	Do naypisa am aro sa o dedekey a kametdehan a inangay da di Jesus tapian palapawan na sa so tanoro na as kabendision na dira. Pero do nakavoya da sia ya no disipolos na sawri am nipenpen da sa a maypasngen di Jesus. 
LUK.18.16	Amna tinawagan saya ni Jesus as kavata na sia dira, “Inolay nio sa a mangay diaken o kametdehan siraya asna vadawen nio sava, ta sira o tawotawo a akma so kaparin no kametdehan o machangay do paypatolan no Dios. 
LUK.18.17	As no kakawyoran na sia am katadkan na an risibien nio o kapaypatol no Dios a akma so kaparin no saray no asa ka metdeh am machangay kamoava anti dia.”
LUK.18.18	Mian o asa ka masolib do ononotan da no Judeo a minahes nia di Jesus, “Mapanmo ko o kapia mo a mananawo, as ivahey mo pa diaken an ango logar ko a parinyen tapian marawat ko o viay a abo so pandan.” 
LUK.18.19	Vatan sia ni Jesus, “Ango vatan mo diaken so mapia. No machimavoyvoh a mapia am no Dios. 
LUK.18.20	Ari mo sa mapanmo o pidipidit sa: ‘Mangadwan kava; mandiman kava; manakaw kava; maydaday kava; torohan mo so anib kano onor o inyapoan mo.’” 
LUK.18.21	Vatan sia no tawo aya, “Pinasada ko pa sava ya a nakayapo do kametdeh ko.” 
LUK.18.22	Do nakadngey sia ya ni Jesus am vinata na sia, “Tayto pa o asa a kolang dimo. Iyangay mo idakaw o atavo a miniminyan mo as kapayatay mo sia o sadiw na dira do makasiasi tapian mian o kaynakman mo do hanyit as kawnot mo na diaken.” 
LUK.18.23	Pero do nakadngey sia ya no tawo aya am oyod a nangsah takwan oyod a maynakem. 
LUK.18.24	Tiban dia ni Jesus as kavata na sia, “Oyod a masadit o kawnot da no maynakem do paypatolan aya no Dios. 
LUK.18.25	As masonosonong o kapayhawos no kamelyo do dodoyan no dayem kano kawnot no maynakem do paypatolan no Dios.”
LUK.18.26	Vatan da sia no nakadngey so akmaya sia a vinata ni Jesus, “An ara masadit am sango paro maparin a makarawat so viay a abo so pandan.” 
LUK.18.27	Amna vinata ni Jesus, “No dia parin do ayet no tawo am maparin do ipakapamarin no Dios.” 
LUK.18.28	Vatan sia ni Pedro, “Tayto mo mapanmo ta chinaroan namen sa o familia namen as kawnot namen dana dimo.” 
LUK.18.29	Amna vinata na dira, “Vatahen ko dinio so kakawyoran ta arava o komnaro do vahay na, do kakovot na, no kakakteh na sa, no inyapoan na sa anmana sira o kamanganakan na a makayamot do kawnot na do paypatolan no Dios 
LUK.18.30	a di anti makarawat do viay na sichangoriaw so manghavas pa kano tinoroh naya as kapakarawat na pa so viay a abo so pandan.”
LUK.18.31	Pinataywawa na sa o dose saya as kavata na sia dira, “Tayto ta mangay do Jerusalem as tiban nio ta no atavo a nakatolas a komapet do Naytawo aya am makatongtong anti. 
LUK.18.32	Ta itoroh anti sia dira do Hentil a atetekan, asnesneken as kan titipan. 
LUK.18.33	Iplotan da anti sia as kadiman da sia amna do ichatdo na a karaw am mirwa anti a maviay.” 
LUK.18.34	Pero arava o chinaintindian da so vinata na saya, ta natayo dira o inmonmoan na.
LUK.18.35	Do kapaypasngen da do kavahayan no Jerico am mian o asa ka tawo a mavota as mapalimos do payis no rarahan, 
LUK.18.36	as do nakadngey na sa o aro ori a omhavas a tawo am inahes na an ango o mapaparin awri. 
LUK.18.37	Vinata da sia, “Si Jesus a iNazareth am tayto maypahavas dia.” 
LUK.18.38	Do nakadngey na sia ya am nangyangyaw a makavata sia, “Jesus a tayabo ni David, ichasi mo pa yaken!” 
LUK.18.39	As sira o tawo do masngen ori sia am chinahoya da sia as kavata da so kapakadomi na amna pinaypaliak pa no katawatawag na a makavata so, “Jesus a tayabo ni David am ichasi mo pa yaken!” 
LUK.18.40	Minhes si Jesus as kavata na sia o kapawnot da sia a iyasngen sia. Vatan sia ni Jesus, 
LUK.18.41	“Ango ichakey mo a parinyen ko dimo.” Tominbay o mavota aya as kavata na sia, “Apo, no kapirwa ko a makavoya.” 
LUK.18.42	Vatan sia ni Jesus, “Risibien mo o iyahes moaya a kapakavoya mo, ta no saray mo o tayto a tomnovatova dimo.” 
LUK.18.43	As nanyeng a makavoya as kawnot na di Jesus a omdaday kano mapakagloria so Dios. As sira o tawotawo saya do nakavoya da so naparin aya am pinakagloria da pa o Dios.
LUK.19.1	Mian dana si Jesus do Jerico as tod dana maypahavas do plano na. 
LUK.19.2	Amna mian o asa ka tawo a makey a makavoya sia. No ngaran na nia am si Zakeus a asa ka maynakem a tawo as asa dira do apopohen da no maparo saya a mangolekta no Roma. 
LUK.19.3	Si Zakeus aya am oyod na chinakey o kavoya na si Jesus do kapanahan nawri amna do kaaro no tawotawo am makavoya ava takwan oyod a mavodis. 
LUK.19.4	Dawa nayayo a manma do anaman ori ni Jesus as kakayat na do asa ka kayo. 
LUK.19.5	Mawara o kasinmo sia ni Jesus o yanan naya am tomnangay as kavata na sia, “Zakeus, nyeng ka a gomtin daw ta do sicharaw am mangay ako dimo do vahay mo.” 
LUK.19.6	Dawa nanyeng a gomtin si Zakeus as kaoyod na masoyot a omyavayava ni Jesus. 
LUK.19.7	Do nakavoya da sia ya no tawotawo sawri am pinaro da si Jesus as kavata da sia, “Makey sawen ya a mangay a bisita no asa ka makagatogatos a tawo.” 
LUK.19.8	Vatan sia ni Zakeus, “Apo, tiban mo, ta kara anti no miniminyan ko am ipanoroh ko do makasiasi as an ara o pinangolektan ko so manghavas do sivog ko a hapen dira am tadian ko anti ya dira so maypipat.” 
LUK.19.9	Vatan sia ni Jesus di Zakeus, “No kalibrian am tayto nawara do vahay moaya do sicharaw aya, takwan imo am tayabo ka pa ni Abraham. 
LUK.19.10	Takwan no Naytawo aya am nawara a komita as kano omlibri sira so makagatogatos.”
LUK.19.11	Do katori da mapia so kadngey si Jesus am pinawnonong na o akmaya sia a parabola do katori na masngen do Jerusalem as kan do kapanmo na sia o katnaya darana dia o kanyeng narana somitnan no kapaypatol no Dios. 
LUK.19.12	Vinata na, “Mian o asa ka mato a tawo a mangay do matarek a kavahayan a romawat so payanongan na a maypatol as do kwanasaw am mayvidi. 
LUK.19.13	Manam a komaro am pinatawag na sa o asapoho do pachirawatan na sa as katoroh na dira so malit so kantidad a kartos as kavata na sia dira, ‘Ipaynegosio nio ya a manda do kapayvidi ko.’ 
LUK.19.14	Amna chinakey dava no kaydian na sa o kapaypatol na dira as napaytovoy sa so omrepresenta nira a makavata sia, ‘Ichakey namen ava o niaya a tawo a apohen namen.’ 
LUK.19.15	Mayvidi dana do nakatayoka narana a romawat so kapaypatol na am pinirwa na sa ipatawag o tinorohan na sawri so kartos a ipaynegosio da tapian mapanmo na o naganansia da. 
LUK.19.16	Vinata no nanoma ori a mawara, ‘Apo, no kartos moaya diaken am tayto nayganansia so maypisapoho.’ 
LUK.19.17	Vatan sia no apohen aya, ‘Tayto ka mapia a pachirawatan as makayamot do kaparin mo a ichasaray do dekey a pinapondan dimo am torohan koymo so ipakapamarin kano anongen a manyokoyokod do asapoho a ka siodad.’ 
LUK.19.18	Mawara o asa am vinata na, ‘Apo, no kartos moaya diaken am nayganansia so maypidima.’ 
LUK.19.19	Vatan sia no apohen aya sia, ‘Manyokoyokod ka anti do dadima a ka siodad.’ 
LUK.19.20	No asa am nawara a makavata sia, ‘Apo, tiya o kartos moaya a dia nabdibdis, ta nia am tod ko konokonen, 
LUK.19.21	ta ichamo koymo do kapanmo ko so kaistrikto mo as kapangdaw mo do naganansia no kadwan kano mapanmo ko am panghapan mo so natay o natrabaho no kadwan.’ 
LUK.19.22	Vatan sia no apohen aya sia, ‘No mismo moaya vinata o hapen ko a ihosga dimo a asa ka marahet a pachirawatan, ta ari mo mapanmo o kasivog ko a masadit a pakamiahen as kapangahes ko so natay ko do natrabaho no kadwan. 
LUK.19.23	Manngo paro an nibangko mo tapian mian pa o nakarapa dia.’ 
LUK.19.24	Vatan sia no apohen aya do tawo sawri a masngen dia, ‘Hapen nio o kartos aya sia as katoroh nio nia do naypisapoho aya so ganansia.’ 
LUK.19.25	As vinata da do apohen aya, ‘Tayto dana o asapoho sia.’ 
LUK.19.26	Vatan na sia dira, ‘Vatahen ko ta sira o mian so nahap am karapan pa anti o itoroh dira asna dira do abo so nahap am pakarohen pa anti o mian dira.’ 
LUK.19.27	Vatan pa sia no apohen aya, ‘Sira o minkontra as naskeh aya niaken a manyokoyokod da am hapen nio sa as kadiman nio sira do salapan ko.’”
LUK.19.28	Tayoka a mangononong si Jesus am pinatongtong na o kapangwan naya do Jerusalem. 
LUK.19.29	Do kasngen da somdep do kavahayan no Betpage ka do Betania do katori da do tokon no Olivo am tinovoy na sa o dadwa do disipolos naya manma, 
LUK.19.30	as kavata na sia dira, “Mangay kamo do kavahayan aya as kahap nio so dekey a kabayo a di pa pinangabayoan do viay na a tori mawal do asdepan do kavahayan aya. 
LUK.19.31	An mian o omahes nia an ango ahapan nio sia am vatahen nio, ‘Ipahap ya no Apohen a serbien.’” 
LUK.19.32	Dawa nangay sa o dadwa aya as kavoya da so kabayo aya do vata ori ni Jesus a yanan na. 
LUK.19.33	Do katori da omovay so itan naya am vinata da no taydira aya sia, “Ango ovayan nio do kabayo aya.” 
LUK.19.34	Vinata da, “Ipahap ya no Apohen a serbien.” 
LUK.19.35	Inahap da o kabayo aya as karasay da dia no mankantad a lamit da as kapasakay da si Jesus. 
LUK.19.36	As do kayam da do rarahan ori am pinangayan da no tawotawo sawri so lamit o panahanan naya. 
LUK.19.37	Do kasngen darana do Jerusalem do kawsok da do tokon aya no Olivo am naytavo sa o aro aya a tawotawo na sa a omdaday kano mapakagloria so Dios do makakniknin sa a navoya da a pinarin na. Oyod saya maliak kano masoyot. 
LUK.19.38	No pavatahen da am, “Mabendito o Patol aya a mawara do ngaran no Dios. Tayto o karadinepan kano kasoyosoyotan a yapo do hanyit!”
LUK.19.39	Amna mian sa o Fariseo a nakavata sia di Jesus, “Penpenen mo sa o tawotawo mo saya do vatavatahen daya.” 
LUK.19.40	Vatan sia ni Jesus, “An di sa mayliliak ya am vatahen ko ta aran no batobato saya am mayliliak sa ya a omdaday diaken.”
LUK.19.41	Do kasngen darana do Jerusalem aya do kavoyan narana sia ni Jesus am pinaytanyitanyisan na 
LUK.19.42	a makavata sia, “Pakasi nio ta no karadinepan a logar nio a marawat sichangoriaw am arava o kapanmoan nio sia, 
LUK.19.43	as do masngen a tiempo am adivovongen da anti nio no kalaban nio as kadi nio makalibrian, 
LUK.19.44	ta lalasen da anti nio a pachirapasan da no kametdehan nio sa as kabo anti no mavidin do vahavahay nio do kaloyo da a makayamot do nakadi nio sincharan dia o kalibrian aya a tinoroh dinio no Dios.”
LUK.19.45	Mian dana do Jerusalem aya am nangay do templo as kasitnan na mapakaro sira so maydakaw do sahad no templo aya, 
LUK.19.46	as kavata na sia dira, “No vatahen no nakatolas am, ‘Vahay a pachahoahokan o vahay ko,’ amna tayto nio pinarin a kakpekpehan no manakanakaw.”
LUK.19.47	As do kararaw am nangay a mananawo do templo aya as sira o maato a papali kano eskriba sira kanira no maato a tawotawo do kavahayan am chinita da o kahapan da sia a rarayawan, 
LUK.19.48	amna arava o mapaparin da takwan naytavo sa o tawotawo a domngey so pawnonongen naya.
LUK.20.1	Asa karaw do katori ni Jesus a mananawo kano mapawnonong so Evanghelio aya dira do aro a tawotawo do templo ori am nawara sa o maato a papali, sira o eskriba as kano adngedngeyen da no Judeo, 
LUK.20.2	as kavata da sia dia, “Ivahey mo pa diamen an ango anohed mo a omparin sira so aro a pariparinyen mo as kano yapo dino o ipakapamarin moaya.” 
LUK.20.3	Tinbay sa ni Jesus, “Tayto o iyahes ko dinio as atbayen nio yaken. 
LUK.20.4	Niaya o iyahes koaya. Sino pinakayapoan no anohed ni Juan a manbawtismo. Yapo do Dios anmana do tawo.”
LUK.20.5	Nakadngey da sia ya am somitnan sa a maychakavahey a makavata sia, “An vatahen ta o nakayapo na do Dios am iyahes na diaten daw an ango pakayapoan no kadi ta nanganohdan di Juan. 
LUK.20.6	Asna an vatahen ta o nakayapo na do tawo am batoan da yaten no tawotawo saya takwan sincharan da si Juan a asa ka profeta.” 
LUK.20.7	Dawa no tinbay da di Jesus am no kadi da makapanmoan so itbay da so iyahes naya. 
LUK.20.8	Vatan sia dira ni Jesus, “Dawa ivahey koava dinio an dino o pakayapoan no anohed kano ipakapamarin ko.”
LUK.20.9	Pinawnonong na pa ni Jesus o omonot aya a parabola. Vinata na, “Mian o asa ka tawo a mian so takey a nimohan na so obas as do kanam na a mangay do matarek a kavahayan so mayendes a tiempo am pinawnong na ya. 
LUK.20.10	Mawara dana o kalogar na makahap so natay na am napaytovoy so pachirawatan na dira do pinawnongan naya tapian itoroh da o kanatayan sia no takey naya. Amna no pinarin da do tinovoy naya am tinaho da as kapavidi da sia a abo so todango a nahap dira. 
LUK.20.11	Minirwa pa mapaytovoy o taytakey aya am alit pa no kaoyod na naraway no pinarin da sia as kabo no nahap na dira. 
LUK.20.12	Paytovoy na so ichatdo na am nirawarawa da ya as kapakaro da sia do takey aya. 
LUK.20.13	Kwanasaw am vatahen no taytakey aya, ‘Tovoyen ko sawen o ichaddaw koaya manganak, ta sigorohen ko am aniven da anti sia.’ 
LUK.20.14	Amna do nakavoya da sia no maytaketakey saya am vinata da, ‘Niaya o manganak naya a omamohon so takey aya as dimanen ta tapian yaten dana anti o taydira so takey aya.’ 
LUK.20.15	Dawa pinakaro da sia do takey aya as kadiman da sia. Do hahawen nio am ango anti do vata nio o parinyen no taytakey aya dira do akma saya sia a maytaketakey na. 
LUK.20.16	Iyangay na paro sava ya dimanen as kapanoroh na so takey naya do kadwan?” Amna vinata da no nakadngey aya sia, “Pavawahen pa no Dios o kaparin na nia!” 
LUK.20.17	Amna tiniban sa ni Jesus so oyod a matarem as kavata na sia, “Ango do vata nio o ichakey na vatahen no akmaya sia nakatolas,
LUK.20.17	‘No Bato aya a chinaskeh da serbien no mapatnek so vahay am nayvadiw a maimportánte dana ta nia o soyid na.’
LUK.20.18	An sino o madodog do Bato aya am makararayaw as an sino kagagtosan na am madpid.”
LUK.20.19	Do kahahaw da sia no eskriba kanira no maato sawri a papali o kasira no tongdohen no istoria aya ni Jesus am chinakey da ahapen a kolongen amna naparin dava ya do kamo da no aro saya tawotawo. 
LUK.20.20	Oyod da sia pinakapia ononotan as kapaytovoy da so ispiya a toman domngey sia amna no kachita da sia o kapayrahtan no chirin na tapian maparin da sia hapen a isalap do makapamarin a manyokoyokod. 
LUK.20.21	Vinata da sia, “Imo am mapanmo namen o kapia mo a mananawo as kahosto no vatahen mo as kadi mo mangatatadkan as an maparin am nanawhen mo pa yamen do sivog aya kakawyoran a komwan do Dios. 
LUK.20.22	Mayanong paro o kapamaga namen so bienes do Emperador do Roma?” 
LUK.20.23	Amna tori na mapanmo ni Jesus o mian do aktokto da as vinata na dira, 
LUK.20.24	“Torohan nio pa yaken so plata,” as kahes na nia dira, “Sino o taylitrato kano tayngaran sia o mian do plata aya.” “No Emperador,” kon da. 
LUK.20.25	Vatan na sia dira, “Itoroh nio do Emperador o logar nio a itoroh sia as itoroh nio do Dios o logar a itoroh sia.” 
LUK.20.26	Do akmaya sia a vinata na am nakatbay sava kano arava o chinahapan da sia do yanan daya no aro a tawotawo, dawa tod dana sa makadomi a maychaknin no kasolivan no atbay naya.
LUK.20.27	Mian sa o nangay sia a gropo no tawo a di manganohed do kapirwa pa anti a maviay no tawo anchowa. Tawagan saya so Saduceo. 
LUK.20.28	Vinata da di Jesus, “Maistro, no vatahen no onotan ta a pinatolas ni Moises am an mian o asa ka mavakes a nadiman so kakovot as abo so manganak am hapen na ya a kakovot no kakteh no nadiman aya tapian mian o manganak da a pangaranen do nadiman ori. 
LUK.20.29	As mian sa o papito a ka mahahakay a makakakteh. No matoneng aya dira am naychakovot amna nadiman ya a abo so manganak, 
LUK.20.30	as ahapan sia no wari naya a kakovoten amna nadiman pa ya a abo so manganak, 
LUK.20.31	as nikakovot no ichatdo dira do makakakteh saya amna tomnahisa sa madiman a manda do ichapapito daya as kabo no manganak da. 
LUK.20.32	Do kwanasaw am nadiman o mavakes aya. 
LUK.20.33	No iyahes namen aya dimo am niaya. Sino paro anti dira do papito saya o mabnek a kakovot no mavakes aya do manam a tiempo a kapirwa a maviay no nadiman.”
LUK.20.34	Vinata dira ni Jesus, “No tawotawo sichangoriaw am maychakovot sa, 
LUK.20.35	pero sira o payvangonen anti no Dios do manam a araw am maychakovot pa sava, 
LUK.20.36	takwan ara pava o kadimanan da daw, ta machalit sa anti do angheles no Dios, as makayamot ta pinayvangon sira no Dios am kamanganakan na sira ya. 
LUK.20.37	As si Moises do pinatolas na a komapet do nakapachisisirin na sia no Dios do omnininyas a kayo am nibnekan na o Dios a Dios ni Abraham, ni Isaac kani Jacob, 
LUK.20.38	as iya am Dios ava no nadiman, ta iya o Dios da no maviay as do salapan na am maviay o atavo.” 
LUK.20.39	Vatan da sia no kadwan do eskriba sawri, “Maistro, tayto hosto o vinata moaya,” 
LUK.20.40	takwan vinata da ya do nakapakabo da so iyahes sia.
LUK.20.41	Vatan sia ni Jesus dira, “Ango vatan da sia o kapaytayabo sia ni Patol a David o Mesias aya. 
LUK.20.42	As si David am nia pa o vatahen na do Salmo na:
LUK.20.42	‘Vinata no Dios do Apohen koaya, “Maydisna ka do kawananan ko sia 
LUK.20.43	a manda do kapangay ko sira so omlaban dimo do panayahboan no kokod mo.”’
LUK.20.44	Tinawagan sia ni Patol a David so Apohen na asna maypango o kapaytayabo na sia.”
LUK.20.45	Do kadngey da sia no tawotawo sawri am vinata na dira do disipolos na, 
LUK.20.46	“Makatanggal kamo dira do eskriba saya a sira so oyod a makey a mayvidividi a mangonay so mayid a laylay as kakey da torohan so onor do angayan da a kaaroan no tawo a akma so kakpekpehan da sa kano pamistan sa. 
LUK.20.47	Amna sira mismo o mapakasiasi sira so bioda as katavotavon da sia o akma saya sia marahet a pariparinyen da no maanaro a kapaydasal da. Vatahen ko ta tayto ompanaya sira a mahara a kastigo.”
LUK.21.1	Do kayan ni Jesus do templo am navoya na sira o maynakem a tawo a tomoroh so regalo da. 
LUK.21.2	As navoya na pa o asa ka makasiasi a bioda a tomoroh so dadwa ka sentimos. 
LUK.21.3	Vatan na sia, “Vatahen ko dinio so kakawyoran ta rakorakoh o tinoroh no makasiasi aya a bioda as kano katavoan no tinoroh da no kadwan aya, 
LUK.21.4	takwan tomnoroh sa ya do sobra da asna no bioda aya am tinoroh na o voyvoh na a kartos do tori na panghovokan a kapakasiasi na.”
LUK.21.5	Do katori da machimavid dia no tawotawo saya o sinerbi a ipatnek so templo aya kano labor sa a tinoroh no tawotawo am vinata ni Jesus, 
LUK.21.6	“No tayto nio saya mavoya am maytavo anti a mararayaw as arava o mavidin a magen do gadagada naya.” 
LUK.21.7	Ahsan da nia, “Maistro, an mango o kaparin na nia as kan ango anti o kapanmoan namen sia.”
LUK.21.8	Vinata ni Jesus, “Makapatak kamo tapian abo mapaychawaw dinio, ta aro sa anti o mawara a omserbi so ngaran ko as kavata da sia, ‘Yaken o panayahen nioaya,’ as ‘Nawara dana o tawsan no mondo.’ Vatahen ko dinio o kadi nio manganohdan dira. 
LUK.21.9	An madngey nio anti o mahara sa arap am mamo kamoava, ta kaylangan o kaparin da nia amna nyeng pava anti o kavosan no mondo aya.
LUK.21.10	“Mian sa anti o matatarek a kavahayan kano nasiones a mangay do arap, 
