MRK.1.1	Eiwa God da Mai, Yesu Keriso,
LUK.13.8	“Ata ainda buro embomi ainde mina sisina, ‘Badari, doyo! Duberi da (1) bé eiwa tepo sima eiari, na edo gido butu demonda duredo depure awa ainda tutuda piedo gane. 
LUK.13.9	Edo ni eiwa duberi neinde be aina gido, awa dave, inge dowana. Ata be ae aina gido awa, kapedo augana.’”
LUK.13.10	Awara, Oena Apari Deguta da (1)de Yesu mi Judah embomainda benunu oroda ainda, embomai atopaposisina. 
LUK.13.11	Edo eutu da (1) ainda awa, asisi beyaemi ari gun ogegembari isite duberi 18 ango doturisina. Ainda gun vetu awa bé dambu darae edo ami matawa dambu darido petari tao ae. 
LUK.13.12	Ata iji angode, Yesu mi eutu awa gido gumbarate tedo ainde sisina, “Eutu, imo ito bundarida awa udegetena. Ito karu itae esira.”
LUK.13.13	Ango tedo ami eutu ainda tamonda ipa pipiteiri burigibé eutu awa dambu darido erido peposite God dasiga esisina.
LUK.13.14	Ata, aindabé Yesu mi eutu awa Oena Apari Deguta ainde gao esisina, awatedo, Judah embomainda benunu oroda badararimi sinigambari edo embomainde sisina, “Deguta 6 awa emboda buro ari iji. Awa embo, iji angode imomane gumbuwo gao ari bave. Ata Oena Apari Degutade gao ari einda bainyae!”
LUK.13.15	Edo Badari mi embo ainde mina sisina, “Imo ae ito buro otatawo de awa aodari pisido ambo ambo ae embobo! Imomane da dami Oena Apari Degutade itomane wo kao o wo donki ainda sima ari yaida awa udegedo gisijido kundo un piawo indorote edo ewa. 
LUK.13.16	Eutu eiwa womane berari daginegari God da jisida. Eutu eiwa Abraham da orobeda gagara. Satan mi eutu eiwa bunjisina borerebé duberi 18 ainda doda. Awatedo, eutu eiwa ainda bundarida udegari awa Oena Apari Deguta einde bureira awa dave ae rita?”
LUK.13.17	Edo iji angode ami ge eiwa siri, ainda gitopo embobo berari awa mengido amengitumengi esitera. Ata embomai berarimi buro davegave embo ami eira awa goteite yawa esitera.
LUK.13.18	Edo Yesu mi tedo sisina, “God da gisijiari awa nongo arapa ani? Edo kariwa ro bani? 
LUK.13.19	God da gisijiari kariwa da (1) awa engo: Embo da (1)mi maine vero kundo ainda buroda urisina. Vero awa erido bajido ni bajina esisina. Edo ainda papatuda ni wasidemi baba edo gundo awamaneda ma gaputera.”
LUK.13.20	Edo tekago ami tedo sisina, “God da gisijiari kariwa nongo tani? 
LUK.13.21	Ainda kariwa nei awa engo: Eutu da (1)mi ou bajina palawami
LUK.13.22	Ainda amboda, Yesu pepeta edo nasi babainde babaingaede ainda torido idegedo eite embomai atopaposite Jerusalem kena maunsisina. 
LUK.13.23	Edo pepeta maunsiri embo da (1)mi gundo ainde tedogosisina, “Badari, embomai indewae tonembari barita?”
LUK.13.23	Edo Yesu awamanede sisina, 
LUK.13.24	“Imomane edo gido engo ewo! Kotembari da (1) bé eite do jinenegewo God da gisijiari yaida torari to saka ainda torave. Aindabé, embomai jiwae awa torain buro okain bé edo ara, ata torari tao ae. 
LUK.13.25	Iji da (1)de Mando Tutumi erido manguro be jiaina. Iji ainde imomane arapada petedo tatain jiveite dao tedo awa, ‘Badari, Badari, nakare embo manguro pirige!’
LUK.13.25	“Ata ami mina taina, ‘Na imomane gae! Yai nonda edo gumbevi?’
LUK.13.26	“Ango tari tuturo edo ge mina tawa, ‘Nakare imonde daedo besida indari injido kundo esitera. Edo inemi natokare nasida embomai atopapositeta.’
LUK.13.27	“Ata embo ami mina taina, ‘Na imomane gae! Yai nonda edo gumbevi? Dodo eve mambú! Imomane berari awa jimbo bebegae ari embomai!’
LUK.13.28	“Edo iji ainde inemane Abraham de Isaac de Jacob de awamane ae peroveta mamatu berari de awa God da gisijiari yaida gido, edo imomane akuta awa ajiregari puwa ponda itawa, imomane ji site ji gambawo kitorukatoru taina. 
LUK.13.29	Embomai yai berari: iji vitarida, wotarida, edo idarida edo tawari kena, awamane gumbara. Edo God da gisijiari yai ainda anumbedo indari indara. 
LUK.13.30	Ge bé, iji angode God mi tataimbari embo nenei jiari vitara dero ikaneda, edo dariga embo nenei piari wotara dero tuda.”
LUK.13.31	Deguta dá ainde, Parasi mane nenei Yesu da yai gundo ainde sitera, “Daotari Herod
LUK.13.32	“Na embo awa adu ae!” ami mina sisina. “Imomane maundo embo abu sino inge ainde tewo gare, ‘Deguta boroko einde na emboda doda bineimane itari awa onena, edo karu egeregari gao eno kaviyegetera. Deguta boroko edo audo na buro ana. Edo deguta tamonde (3) ami, nato buro God mi avigesisina awa, itae ana.’ 
LUK.13.33	Awarata, aindabé awamanemi peroveta mane yai nenei ainda dae betae, ata Jerusalem nasida akuta, awatedo, na deguta boroko, edo audo, edo deguta amboda, matawa pepeta edo Jerusalem nasida daedo mamana.
LUK.13.34	“O Jerusalem embomai, Jerusalem embomai, imomane peroveta mane God mi pieuri gundo eora awa ganumami augedo deowo betora. Na iji jiwae imomane God da rirowada tonemain jipapa edo etena, teta ni kokora ai mi ainda wasimi mamai doregidaregi edo eira ango. Ata imomane na jipapa ae edo na ajiregetewa. 
LUK.13.35	Giwo! God mi imomane ajiregedo dowari nasi itomane usibesi ara. Edo nane imondemane ge eiwa tena, imomane na tekago mana gawa, nato iji gumbari tekago gumano gosite tawa, ‘God da ao ari embo einda yai itare! Embo eiwa 
LUK.14.1	Edo Oena Apari Degutade, Yesu mi Parasi maneda badarari da (1), ainda mandoda indari inaintedo maunsisina. Edo toriri, awamane ainda yai jisi tatakitaki esitera, buriya ro ari ainde bekumba ge piaintedo. 
LUK.14.2	Ango edo embo ipatai sirari awa Yesu da yai gupusina. 
LUK.14.3	Edo Yesu mi Aodarida jirogari embobo ae Parasi mane de ge site tedogosisina, “Moses da ge okain Oena Apari Degutade ainda awa nongo tariri, embo gao aro kaviyegorote tari isirita?” 
LUK.14.4	Ata awamanemi ainde ge mina tae, damodamo esitera. Awatedo, Yesu mi embo ainda tamonda ipa pisido gao esiri kaviyegedo maunsisina.
LUK.14.5	Ango edo ami awamanede tedogosisina, “Edo embo da (1) itomane doda ainda mai ko wo kao Oena Apari Degutade uro ugonubé barida duraina awa gido, ami boraebé maundo ainda topo uroda awa dumbari vitainita?” 
LUK.14.6	Edo awamanemi ainda ge mina tari tao ae esitera.
LUK.14.7	Edo Yesu mi embomai nenei gundo awamane akuta embo babainda dero dave indari besida avigekavige edo budo anumbetero gosisina. Awatedo, ami awamanede eniya ge eiwa sisina:
LUK.14.8	“Iji nonde embo da (1)mi jimbari bondo siya edo imo dao tari maundo gido embo babainda dero dave indari besida anumain eote! Aindabé, bondo tutumi embo bajina imo daginegari dao tari gumbae esira, awatedo. 
LUK.14.9	Edo bondo tutumi imo aedade dao tesira ami gundo imonde taina, ‘Embo einde yai eiwa pie!’ Ango tari imo tuturo edo mengoteite wotedo dero tubéda anumbata. 
LUK.14.10	Ata iji angode imo bondo jimbari maundo gido, dero tubéda anumbeyo! Ango ato bondo tutumi gundo imonde ge engo taina, ‘Otawo, dero awa dodo yai dave ikane einda visiyo!’ Ango siari embomai berari imonde bondoda itera ami gara, imo tou eira awa. 
LUK.14.11	Daedo eiwa giwo! Embo aimi ainda dao akuta jiari vitaina awa, God mi piari wotaina. Edo embo aimi ainda dao akuta piari wotaina awa, God mi jiari vitaina.”
LUK.14.12	Ango edo imo wareregedo mando tutu ainde sisina, “Iji nonde imo sipo rorae o turo rorae siya eite ito otatawo, nanonameji, simbo matomono, ritako nembu nenei gaiapa jiwaede jimbote! Ango ata awa, iji amboda, awamanemi imo mina jimbaro maundo indari dave indata. 
LUK.14.13	Ata iji nonde imo bondo siya eite gido embomai mapa rorae isisigae, daguna ari, tai ambari, edo jisiguba ari awa jimbuyo gumbore. 
LUK.14.14	Aindabé, awamane imonde mina ari tao ae, awatedo, God mi imo ao aina. Edo God mi embomai wasiri dambu darari jiari erara iji ainde, ito mina piari bata.
LUK.14.15	Edo embo da (1) ainda ae Yesu de daedo besida anumbesisina ami ge awa ingido ainde sisina, “Dubodave awa embo aimi God da gisijiari yaida anumbedo turo rorae inaina.”
LUK.14.16	Edo Yesu mi ainde ge mina sisina: “Embo da (1)mi bondo bajina siya eite embobo jiwae gumborote dao sisina. 
LUK.14.17	Edo bondo ari iji gumbiri, ainda buro embo piedo sisina, ‘Maundo embomai matu gumborote dao siutana, awamanede teyo, “Indari kumbari neindekainde berari matu siya etena, awatedo, gumbuwo indave!” ’
LUK.14.18	“Ata awamane berari kotembari evekara bureite tuturo edo daginegari ge sitera. Embo tuturoda buro embomi maundo gosisina, ami ainde sisina, ‘Na butu kupo da (1) orietena awa, maundo udugedo gain ena. Awatedo, doiyobé tena. Badarari tato gae esirita?’
LUK.14.19	“Edo embo neimi sisina, ‘Na buro ari wo kao 10 teka orietena awa, kundo maundo bavedogain ena. Awatedo, doiyobé tena. Badarari tato gae esirita?’
LUK.14.20	“Edo daedo neimi sisina, ‘Na aro borokobé jimena. Awatedo, na gumbari tao ae.’
LUK.14.21	“Ango tetero gido buro embo dodo egenembedo gundo ge ro berari sitera awa ainda badararide sisina. Edo badarari sinigambiri ainda buro embode sisina, ‘Burigibé mambuyo! Ango maundo nasi bajinada begata babainde babaingaededa embomai mapa rorae isisigae, daguna ari, tai ambari, edo jisiguba ari, awamane kundo gumbato einda torore.’
LUK.14.22	“Ainda amboda, buro embo maundo buro ro arate sisina awa itae edo egenembedo gundo sisina, ‘Badarari, buro ro anate ge okain teteta, awa kera edo itae etena. Awarata, tonga inono embo nenei torara awa isira.’
LUK.14.23	“Edo badararimi buro embode sisina, ‘Nasi arapada idegedo mambuyo! Begata bajinada edo tonga erari begata beda embomai kakowa edo tamundo ge davemi engega ato eraro kundo gumbato torore! Ango ato embomi mando nato siraro beda are. 
LUK.14.24	Nane imondemane tena, embomai berari tuturoda dao siutana awa, mana bondo nato indara.’”
LUK.14.25	Edo iji angode, embomai jisijisi Yesu de daedo pepeta edo mauntero imo wareregedo awamanede sisina: 
LUK.14.26	“Edo embo aimi nato yai gumain eira awa, nato ambodani ari tao ae, ata edo gido imo na dubobé daginegedo baina awa ainda aimamo, aro ae mamai de, nanonameji, ru aimono, edo daedo ainda wasiri akuta dubobureira ango. 
LUK.14.27	Edo embo da aimi ainda memesida orega bouga kumbae dodo na ambo ambo aina awa nato ambodani ari tao ae.
LUK.14.28	Imomane embo da aimi ainda oro ribori ikanebé gamain jipapa aina awa, gisibé anumbedo inguta manguta inono rita awa udugedo gaina. Edo awa inono gido ami buro itae aina. 
LUK.14.29	Edo imo dasivi darido buro itae ae dowato itaina awa, embo berarimi gido imo tuturo edo tedojijireite tara, 
LUK.14.30	‘Embo eiwa ainda oro ribori gamain tuturo esira, ata buro awa itae ari tao ae.’
LUK.14.31	“Edo daedo, daotari da (1)mi ainda itoro embo ajijigari 20,000 aundo daotari nei ainda itoro embo ajijigari tepo 10,000 ainde duduno ain gumaina, gisibé daotari neimi anumbedo isite ainda embobode ge kataina, edo imo inono ainda embo ajijigari 10,000 ami ainda gitopoda embo ajijigari 20,000 ainde duduno edo daginegainita? 
LUK.14.32	Imo ango ari tao ae gido, ami burigibé ainda béga bari embomai piari maundo begata toropuda daotari nei tamundo béga bari ge tedogara. 
LUK.14.33	Awatedo, dá ango imomane berari, embo da aimi ainda topobé awa berari gun jindedo dowae eira gido, awa nato ambodani ari tao ae.
LUK.14.34	“Ambodanibé awa kato ango embomaimi indarida pisido ainda gavida mina dave budo era. Awarata, katoda gavi sisigaina awa, ainda gavida mina bari tekago piari tao ae. 
LUK.14.35	Edo dá ango ainda butu gavi piari awa dave ae. Awatedo, embomaimi rorae awa tepo nasi arapada augara.
LUK.14.35	“Ingiwo! Imomane ge ro tena awa bé gain edo awa gawa!”
LUK.15.1	Edo iji angode, tax kumbari embo jiwaebé ae embo bebegae de guputera Yesu ge sira awa ingain. 
LUK.15.2	Edo Parasi mane ae Aodarida atopapasigari demi ge guguma gaguma sitera, “Embo eiwa embo bebegae oro site budo awamanede indari injido kundo eira.”
LUK.15.3	Ango tero gido Yesu mi awamanede eniya ge eiwa sisina:
LUK.15.4	“Awaratako imomane embo da (1)mi, ainda wo sipumane ajigari 100 awa, da (1) dadoegari, imo nongo aini? Ane boraebé nenei ajigari 99 awa kiyan indorote dodo, imo maundo da (1) dadoegesira awa kakowa eimango tamaina. 
LUK.15.5	Edo iji nonde tambira awa, yawa eite ainda gapoda piari durari kundo 
LUK.15.6	overegedo nasida gumaina. Edo otatawo ainda ae nembu ainde dao tari gundo doregaro awamanede taina, ‘Nato wo sipu da (1) dadoegatara awa tamena. Na yawa ena. Kaende nya taiore!’ 
LUK.15.7	Nane imondemane tena, dá ango yawa ari bajinabé owamane utuda ara, edo embo da (1) bé ainda jimbo dodo God da yai wareregaina, gaegae edo embo wasiri dambu darari ajigari 99, awamaneda jimbo itae, edo God da begatada dodo yai neinda aimbae.
LUK.15.8	“Edo daedo, eutu da ami ainda ganu silver babaingae
LUK.15.9	Edo iji nonde tambira awa, ainda otatawo ae ainda nembu de dao tari gundo doregaro awamanede taina, ‘Nato ganu saka da (1) dadoegatana awa tamena. Na yawa ena. Kaende nya taiore!’ 
LUK.15.10	Nane imondemane tena, dá ango awa, God da anelamaneda doda yawa ari idegaina, iji nonde embo da (1) bé aimi jimbo beyae dodo God da yai wareregaina awa.”
LUK.15.11	Edo Yesu mi tedo sisina: “Embo da (1) awa ae ainda mamai tote (2) de isiretera. 
LUK.15.12	Deguta da (1)de mai sakami ainda mamode sisina, ‘Mamo, imo betae gisida nato gaiapa ine na embo siya esiteta awa piato banita.’ Ango tesiri, embo awa erido ainda gaiapa mamai tote (2)de avigekavige esisina.
LUK.15.13	“Ango esiri ainda amboda iji indewae itae esiri, mai saka awa ainda rorae berari dada edo budo idegedo yai aikeda maunsisina. Edo imo maundo ainda ganu tepotapo jigamo esisina. 
LUK.15.14	Edo ganu berari jigamo esiri itae bé itae esiri, ainda amboda, potari iji visiri yai ainda beji bajinabé gupusina. Edo embo ainda yai nei ro itae doturisina. 
LUK.15.15	Awatedo, imo nasi tutu embo da (1) ainda yai maunsisina, ainda buro embo ain. Edo nasi tutu embomi mai awa ainda pumane sima arate piesiri ainda bowada maunsisina. 
LUK.15.16	Edo imo beji betain edo pu undeite pita pusi inaina ango kotembesisina, ata embo da aimi ainde indari piae.
LUK.15.17	“Ainda amboda, mai awa isite kotembari dave budo, ami sisina, ‘Mamo natoda buro emboboda tau piedo eira, awamane indari kumbari jiwaebéde, ata na einda beji betain eite itena! 
LUK.15.18	Na boroko erido maundo mamo natode tana, “Mamo, na God da yai edo ito yai jimbo beyae esitena. 
LUK.15.19	Na dave ae. Awatedo, ine namonde ‘Mai nato’ teote. Tepo ito buro embo ango buwasi.” ’ 
LUK.15.20	Ango tedo imo erido tuturo edo overegedo maunsisina ainda mamoda yai.
LUK.15.20	“Edo mai awa maundo mandoda atutumbae saka aikeda eiri ainda mamo jisi piedo gosisina. Edo imo do ari bajina bureite tumundo mai awa boraebé tanjido munegesisina.
LUK.15.21	“Ango esiri maimi ainde sisina, ‘Mamo, na God da yai edo ito yai jimbo beyae esitena. Na dave ae. Awatedo, ine namonde “Mai nato” teote.’
LUK.15.22	“Ata mamomi ainda buro embobo dao tesiri gumbero awamanede sisina, ‘Mambuwo, ombari ribori davebé dave kundo gundo mai einde piawo ombare. Edo ipa bubuko ainda ipa toroda piedo tai woru ainda taida piave. 
LUK.15.23	Ango edo maundo wo kao vete gavide awa budo kundo gundo dewo betari, nya taiawo embo einde indeite kaende dubodave ore. 
LUK.15.24	Aindabé, mai nato eiwa betari ango sitena awa tekago wasiride gumbira; edo dadoegesisina awa tamena awatedo.’ Ango edo dubodave eite bondo tuturo esitera.
LUK.15.25	“Edo iji angode mai bajina awa rorae ve urari buroda maundo eiri jiriri overegedo gundo mando aikae eite embomai ya urari ae sino de to deda yavi ingisina. 
LUK.15.26	Awatedo, imo buro embo da (1) dao tesiri gumbiri ainde tedogosisina, ‘Yavi owa nongo eri?’
LUK.15.27	“Edo buro embomi sisina, ‘Ito nameji saka awa overegedo nasida gumbira. Edo aindabé ito mamomi embo awa beyae nei ro tambae tekago kumbira, awatedo, mamo itomi wo kao vete gavide awa desiri indari bajinabé era.’
LUK.15.28	“Ango tesiri nameji bajina sinigambari edo imo mandoda torari jipapa ae esisina. Awatedo ainda mamo idegedo gundo mai maundo torarate engega esisina. 
LUK.15.29	Ata mai bajinami ainda mamode engo sisina, ‘Giyo! Na duberi berari eiwa tau itae, buro embo ango, ito ge ro berari tedo eta awa, kera eite gundo borokoda. Ango iretena awa, imo namonde wo gouti vete da (1) piae dedo, nya taiedo ae, otatawo nato de injido dubodave ae. 
LUK.15.30	Ata iji einde imo mai emi ito ganu tepotapo viro eutude jigamo edo itae esiri overegedo gumbiri, wo kao awa vete gavide awa embo dedo nya taieta.’
LUK.15.31	“Edo mamomi ainde sisina, ‘Mai nato, imo awa iji berari namonde isima edo eta. Awatedo, rorae berari nato yai isira awa ito. 
LUK.15.32	Ata, aindabé nameji ito eiwa betari sitena awa wasiride gumbira, edo dadoegesisina awa boroko tamena, awatedo, dave awa kaende jivedo putedo injido kundo eite dubodave ore.’”
LUK.16.1	Ango edo Yesu ainda ambodanide eniya ge nei engo sisina:
LUK.16.1	“Iji da (1)de rorae embo da (1) ami gisijiari avigesisina, ainda gaiapa sima arate. Edo ainda amboda embo neneimi gundo rorae embode, ‘Embo awa ito gaiapa sima ae dumbae eira,’ ango tedo bekumba esitera. 
LUK.16.2	Awatedo, rorae embomi ainda buro embo dao tesiri gumbiri ainde sisina, ‘Imo buro nongo nongo eto embo neimi imo bekumba ero ge ingeni? Buro nongo esi awa ove gaiedo pieyo gane! Imo gisijiarida buro dodo idege!’
LUK.16.3	“Ango tesiri buro embomi akuta tedo sisina, ‘Na buro ro ani? Badarari natomi buro natoda teugaina awa. Na goroba itae. Nanemi butu durari tao ae. Edo na embo neinde ganu piorote atega ana, awa mengari nato. 
LUK.16.4	Awara, na kotembari dave bena. Edo gido engo ana, iji nonde nato badararimi na buro natoda teugari idegano, embomai neneimi na “Oro” tedo bara awamaneda mandoda.’
LUK.16.5	“Edo imo embo ainkaimi ainda badararida roviravi tepo kundo jigamo esitera, awamane berari dao tesiri guputera. Edo embo gisi gupusina ainde tedo gosisina. ‘Imo badarari natoda rorae mina piae nandogo tepo budo jigamo eutasi?’
LUK.16.6	“Edo embo gisi gupusina ami mina sisina, ‘Na ni olive beda gama sigi
LUK.16.6	“Awatedo, gaiapa sima ari embomi ainde sisina, ‘Awara, ingota ito eire kundo anumbedo 50 gaieyo.’
LUK.16.7	“Ango edo embo nei gumbiri ainde sisina, ‘Imo badarari natoda rorae nandogo tepo budo jigamo eutasi?’
LUK.16.7	“‘Na wheat kanjia babain 1,000 burana,’ embo neimi ango sisina.
LUK.16.7	“Edo gaiapa sima ari embomi sisina, ‘Awara, ingota ito eire kundo anumbedo 800 gaieyo.’
LUK.16.8	“Edo badararimi wasiri awa gido gaiapa sima ari embo dambu darae awa dasiga esisina, aindabé, ami ainda jirogari jigamo edo buro esisina. Ge engo tena, aindabé, iji einde butu embomaimi awamaneda jirogari jigamo jiwae eite buro edo era, ata God da embomaimi tepo awamaneda jirogari jigamo saka eite buro edo era. 
LUK.16.9	Edo nanemi imondemane tena, itomane butu gaiapami, otawo teteka bawate, ango buro ewo. Edo ango awa, iji nonde imomane betedo utuda mambawo awamanemi imomane ategesite bara, natopo itari nasi ainda.
LUK.16.10	“Edo embo aimi rorae sakabé awa gebémi jigamo aina gido, embo awa rorae bajina awa inono jigamo aina. Edo aimi rorae sakabé awa jigamo ae dumbae aina gido, embo awa rorae bajina awa inono gebémi jigamo ari tao ae. 
LUK.16.11	Awatedo, gaiapa butu einda jigamo ae dumbae edo ewa gido, God da gaiapabé natopo itari utuda awa mana imondemane piaina. 
LUK.16.12	Edo imomane embo neinda rorae jigamo ae dumbae edo ewa, embo aimi rorae itomane topobé imondemane piaini?
LUK.16.13	“Buro embo da (1)mi badarari tote (2)da buro iji dá ainde ari tao ae. Embo awa ainda badarari nei jipapa ae eite neinda dubobudo aina, ko ami ainda badarari nei tou eite neinde sinigambari edo aina. Inemane God ae butu gaiapa de tumondebain ari tao ae.”
LUK.16.14	Edo iji ainde Parasi mane ganu dubobudo esitera, awamane yai ainda isite Yesu ge berari sira awa gido imo tedo jijiritera. 
LUK.16.15	Ata embo ami awamanede sisina, “Imomane emboda jisida wasiri dambu darari ango edo ewa. Ata God mi do itomane gido eira. Awatedo, imomane ajiregaina. Dave rorae ango embomi kotembedo era awa beyaebé God da jisida.
LUK.16.16	“Edo Aodarida
LUK.16.17	Awarata giwo! Utu de butu de awa manaina, ata God da Aodarida ge saka da (1) bé awa mana siraina.
LUK.16.18	“Edo embo da aimi ainda arode ove engo ‘Jimbari itae ena’ gaiedo ainda aro dowari mambari eutu nei jimaina, embo awa jimbo ipuda ari ainda aro matuda yai esira. Edo embo da aimi eutu nei iu dowari jimaina, embo awa jimbo ipuda ari ainda iu matuda yai esira.
LUK.16.19	“Awara, gaiapa embo da (1) isinesina. Ami ombari jiari tokona
LUK.16.20	Edo daedo, iji angode awa, mapa embo da (1) isinesina. Ainda dao awa Lazarus, edo embo awa ginimi tutupegari. Iji berari ainda otatawomi kundo maundo embo gaiapade ainda manguro beda kondade ari atega ain pioro isima edo esisina. 
LUK.16.21	Edo imo gaiapa emboda tenemba indari itoto durari awa, inain jipapa edo esisina. Ango isiuri sinomanemi gundo ainda gini mamatu taribo eora.
LUK.16.22	“Ango edo, mapa embo awa betesiri God da anelamanemi kundo maundo Abraham da demonda
LUK.16.23	Embo awa goietero imo bebetegarida sima ari yai,
LUK.16.24	Awatedo, embo ami Abraham dao tedo sisina, ‘Mamo Abraham, niyao emi na aveira, edo memesi beyaebé burena. Na do ewasi! Lazarus pie, ainda ipa toromi un saka jimundo kundo gundo iwawa natoda piari damodamo are.’
LUK.16.25	“Ata Abraham mi mina sisina, ‘Mai nato, kotembeyo, iji angode imo butuda isima esiteta awa, rorae davegave budo esiteta. Ango eiwoto Lazarus awa rorae bebegae budo esisina. Ata embo awa boroko kondade ari dave bureira, edo imo memesi beyaebé bureta. 
LUK.16.26	Awarata, nei da (1), aindabé, God mi yai tonga kapari ugonubé pipisisina toropu nakare itera einda edo imomane ainda, na imo kondade ari tao ae ena. Awatedo, embo da aimi nakare itera einda isite imomane ainda maundo tembari tao ae, edo embo da aimi imomane itewa ainda isite nakare einda gundo tembari tao ae.’
LUK.16.27	“Edo gaiapa embomi sisina, ‘Aiyaee! Mamo Abraham, ango teta awatedo, Lazarus piewasi mamo natoda mandoda mambare. 
LUK.16.28	Aindabé, nato nanonameji ipa da (5) ounda itera, awamane ge tari gore. Buro beyae nane eona, edo memesi beyaebé bari yaida gumena itena, engo eóre!’
LUK.16.29	“Ango tesiri Abraham mi ge mina sisina, ‘Awamane itera ainda Moses da Gaiari ae
LUK.16.30	“Ami sisina, ‘Ango ae Mamo Abraham! Ata, edo embo da (1)mi bebetegarida edo maundo awamanede ge taina, awamaneda beyae dodo God da yai wareregara.’
LUK.16.31	“Ata Abraham mi gaiapa embode sisina, ‘Edo awamanemi Moses ae Peroveta mane deda Gaiari, embomi ajigedo tera, awa ingainyae, edo bebetegarida embo da (1)mi erido maundo awamanede ge taina, awamane daedo gebé ainyae.’”
LUK.17.1	Ango edo Yesu mi ainda ambodanide sisina, “Rorae neindekaindemi euri embo jimboda durudo era. Ata, embo do ari aimi embo nei bawari jimboda duraina. 
LUK.17.2	Dave da (1) awa embo ainda duboda ganuma bouga bajinade kaingedo ewada augaro injido betaina, gaegae edo embo ami ari mamai babaingae einda da (1) gebé ari nato yai awa dowaina, God da rirowa natopo itari baina. 
LUK.17.3	Awatedo, imomane akuta dave edo goteite iwo!
LUK.17.3	“Ito nameji jimbo ari gido, ainde kondade ari ge okain teyo. Edo ainda do wareregari gido, awa kotembedo doyo. 
LUK.17.4	Edo ami deguta dá ainde imonde jimbo beyae ajigari 7 aina, edo ami ito yai, ajigari 7 deguta dá ainde gundo taina, ‘Doyo tena, na imonde wasiri beyae engo etena. Imo tedogotena, na kotembedo dowasi?’ Ango tari gido, embo awa kotembedo doyo.”
LUK.17.5	Edo piari aimbari embobomi Badari de sitera, “Nakare kondade ewasi natokare gebé ari awa badare!”
LUK.17.6	Ango tetero Badari mi mina sisina, “Edo itomane gebé ari tegada maine vero saka ango gido, awa inono ni bajina eiwa tawo ge itomane kera edo akuta tutude utugedo wotedo ewada petaina.”
LUK.17.7	Yesu mi daedo sisina, “Imomane da aimi buro embo ainda, awa indari buroda buro eima ta wo sipumane sima eima, iji nonde mandoda gumbari ainde tainyae, ‘Einda anumbedo indari ito injiyo!’ 
LUK.17.8	Ango ae. Ata ami buro embode taina, ‘Turo indari nato taieyo! Ango edo ombari teka omundo na kera eiato indari injido kundo ane! Ainda amboda, imo daedo indari ito indate.’ 
LUK.17.9	Aindabé buro embo awa buro ro arate ge okain tesira awa ambo ambo eira, badararimi ainda buro embo ategae. 
LUK.17.10	Edo dá ango, iji nonde imomane God da ge kera edo ro berari awate tesiri etewa awa, inemane tewo, ‘Nakare awa tepo buro embo. Nakare tepo buro ro orote God mi tesira, awa etera.’”
LUK.17.11	Ango edo Yesu ae ambodani de pepeta eite yai Samaria edo yai Galili da toropuda pepeta edo maundo Jerusalem kena maunsitera. 
LUK.17.12	Awamane nasi neinda totorero, embo ajigari 10 ginimi tutupegari gundo begata demonda pepositera. Awarata, aindabé Judah embomainda aodari awa embo karu engogodemi embomai karu itaededa yai aikae mamborekae, awamane saka aikeda pepositera. 
LUK.17.13	Edo dao ikanadebé tedo sitera, “Yesu, Badarari, nakare do edo e kaviyegore!”
LUK.17.14	Edo iji ainde Yesu awamane gido ami sisina, “Mambuwo pirisi maneda yai. Ango awo imomane gore. Edo awamane gara awa imomane kaviyegari bewa.” Ango tesiri awamane ainda maunsite, kaviyegari buritera.
LUK.17.15	Ango edo embo ajigari 10 ainda doda embo da (1)mi ainda tamoda gini mamatu itae awa gosisina. Edo imo kaviyegari bira ango gido, egenembedo God ikanadebé dasiga esisina. 
LUK.17.16	Edo imo atoto edo Yesu da taida dudureite imo ategesisina. Edo eiwa Samaria embo.
LUK.17.17	Yesu mi embo nenei demonda itera ainde sisina, “Embo ajigari 10 awa eteno kaviyegetera. Embo nenei ajigari 9 awa nondari? 
LUK.17.18	Judah embo ae, emi akuta tenda overegedo God dasiga ain gumbirita?” 
LUK.17.19	Edo Yesu mi ainde sisina, “Erido pepeta edo mambuyo! God mi ito gebé ari nato yai pieteta ami imo esiri kaviyegeteta.”
LUK.17.20	Ango edo iji da (1)de Parasi manemi Yesu de tedogari pipisitera, “Ijibé nonde God da gisijiari tuturo aini awa?”
LUK.17.20	Ami awamanede mina sisina, “God da gisijiari iji nonde tuturo aini awa imomane jisimi dave edo gari tao ae, 
LUK.17.21	aindabé giu! God da gisijiari itomane toropuda isira.
LUK.17.22	Edo Yesu mi ainda ambodanide sisina, “Iji amboda gumaina awa okain. Deguta angode inemane na, Embo da Mai, tekago gundo embo berari gisijiana, awa gain jipapa awa, ata, imomane na gari tao ae. 
LUK.17.23	Edo embo neneimi imondemane tara, ‘Giwo! Embo awa eire!’ o ‘Giwo! Awa oure!’ Ango taro gido gebé edo awamane ambo ambo eove. 
LUK.17.24	Edo na ge ango tena aindabé, dá piripiri ari ango burigibé maundo parara piari utude butude berari ainda datemaina, deguta ainde na, Embo da Mai, gumano embo berarimi na gara. 
LUK.17.25	Ata iwata ango gumbae gisida awa, na memesi neindekainde jiwae bana. Edo embomai iji einda itera ami na ajiregara.
LUK.17.26	“Edo Noah da degutade, wasiri ro embomi edo esitera, dá ango awamanemi eiaro deguta ainde na, Embo da Mai, gumana. 
